Great 	 recently stay daughter . really nice hotel downtown location . Close Soho , China Town Greenwich Village . subway 5 min walk Uptown Manhattan . staff friendly helpful . would recommend hotel . within 20 min walk financial district , World Trade Centre Staten Island Ferry . great Value money , good restaurant . room clean although big , everything could want . want drink central tea / coffee make service floor . 
 Oct 24 2005 	 Love Tribecca Grand 	 return trip New york . travel least month . lately choose Tribecca Grand favorite place stay . tribecca one good good hotel stay . service impecable . room furnish comfortable format , wondefrul ammenitie . sunday brunch buffet wonderfull , mention good price . location ideal , close Village great shopping . with hotel stay city personal favorite . introduce several personal friend business associate , enjoy much . 
 Sep 11 2005 	 will not come back 	 stay long week TG summer , will not go back . be town business need full eight hour , not stay , particularly weekend . noise loud thur , Fri Sat night , ask move 5th 8th floor . still loud ! eat restaurant drank bar . staff place serious attitude , though way cool work , really . bottle wine bought cork taste awful . ask replace barman look though two head ! door / bell staff nice , except weekend evening : bar quite popular , bounc , be dress head toe black , maybe look though might 21 , rude aggressive big issue attention detail . give price pay hotel paramount , small thing happen : replacement toiletry room ; gym equipment break ; gym water cooler not fill ; towel gym ; bedroom furniture chip batter ; cupboard door break ; drawer stick ' open ; tv VCR not record ( tv way small , way ) .That say , management responsive complaint . assistant manager speak solicitous concerned , good make . still , ' m go back . 
 Sep 8 2005 	 great location 	 great hotel . 's close great restaurant bar - Nobu 60 Thompson Street . 's also walk distance Canal street cool pub . the room sleek comfortable . staff tremendously helpful hotel lobby entrance bright safe . food great , although bar bit stuffy ( roped section hotel exist ) .Overall , highly recommend hotel . 
 Aug 31 2005 	 Loved Tribeca Grand 	 stay tribeca Grand 4th time one favorite Manhattan hotel . room contemporary , yet invite . service , moment arrive , excellent also friendly . I highly recomment hotel anyone want stay Manhattan , especially trendy tribeca . 
 Aug 23 2005 	 Trendy together ! 	 although price hotel shoot past couple year , Tribeca Grand remain one favorite hotel NYC . room small , like New York hotel room , well plan thought . & quot ; hip & quot ; design hotel retain warmth many & quot ; & quot ; hotel lose desire & quot ; cool . & quot ; service fantastic neighborhood good walk Soho , Village , Nolita . would stay hotel every time come New York price would come little . certainly , excellent hotel experience . 
 Aug 16 2005 	 well rate 	 big let . stayed far well hotel NYC half price . small room . bar cool service , slow . really look forward stay feel rip . 
 Jul 27 2005 	 price really right ! ! 	 stay get really good rate . well locate enjoy SOHO money price noisy . resedent does'nt like say coupe - relatively small ( though pretty well appoint ) room go hotel busy noisey bar loby . noise resonate atrium room seem balcony give atrium- noisy despite noise resuction sysyem sound like loud air - con . trendy , dark despite say - price REALLY good - maybe worth risk . would advise senior traveller . 
 Jul 14 2005 	 Friendly 	 spend wedding night Tribeca Grand . everything promise along complimentary bottle champagne . staff extremely friendly discreet- not wed part . could imagine interior noise problem club lobby , seem aware ready address problem . great smell hotel product . 
 Jul 12 2005 	 New York City good 	 husband stay Tribeca Grand Memorial Day weekend . live tri state area , need get away everyday life . overall wonderful stay ! staff helpful . location , Location , Location- hotel . great shopping , nightlife , NYC culture . room spacious , neat , modern . also love hotel bar , reccomend apple martini ! 
 Jun 29 2005 	 excellent service 	 good Room Service door team america . could believe friendly earth room service ( english guy wonderful ) door staff . hotel great . noisy atrium weekend , room quiet . good downtown hotel New York . 
 may 28 2005 	 tribeca Grand - Grand Place Stay 	 Lobby well appoint , yet comfortable ... Church Street Bar pack interesting people every night . room spacious . business need furnished room . staff could friendly helpful . every request grant promptly . location perfectly position within walk distance China Town , Little Italy , Soho Village . 
 may 8 2005 	 Excellent stay 	 stay boyfriend 5 night , vacation . review read pretty scary ( especially noise part ) hopefully not true we ! hotel nice , love lounge - bar middle . stay sunday night thursday night , maybe be not suffer noise ( 4th floor ) . find noise - reduce machine quite efficient . the room nice , large bit dark ( view build Waters St quite enjoyable ) , feel like home hour . cd player , goldfish , tv bathroom ( ultimate decadence ) , iPod loaning , fun good idea . all hotel staff seem nice we , despite fact not think exactly belong hip - trendy - population come here.2 bad point , though : breakfast quite expensive get ( continental breakfast one croissant , bowl fruit - salad ) . price ( less ) , would rather go Bubby 's ( 120 Hudson St North Moore st ) , nearby , good pancake ever ! another bad point concern lounge bar : maybe , French , use go hotel bar ( St Regis Hotel , instance ) serve least almond 2 glass wine . ask olive , quite surprised discover expensive glass wine ... 8 $ olive seem little petty , especially place like ... however , bar nice . so , know would rather breakast elsewhere , stay tribeca Grand ! location great , close SoHo , chinatown nice little restaurant , even walk Greenwich Village time ... another good tip next hotel : look great vietnamese restaurant , go Nam ( 110 Reade St , Church St W.Broadway ) . excellent ! 
 May 7 2005 	 Go W 	 decor cheap bland . tv work phone fall apart upon use . staff would quickly try fix problem never able actually fix . think good customer service engineer room entire stay . offer change room , insist . would recommend guest relation service staff attend basic customer service training . the coffee provide floor horrible . travel NY frequently would highly recommend W Bryant Park Hotel . try find hotel downtown never return tribeca . 
 May 5 2005 	 over - rate loud 	 hotel poorly design w/ bar gathering area middle hotel noise music travel ! stay 2nd 3rd floor - loud ! also , room kinda dingy dark ... expect honest . lot attitude think overrated word go . 
 Apr 29 2005 	 try Cool New York 	 hotel 's good cool , nice thing . room modern , big New York , technically well equipped -- though not wireless network , need laptop , PDA , want work . like almost american hotel day , decorate shade fawn brown become depress long business trip . area around hotel bustle raw , without threaten . transport link good . although newly build , Tribeca Grand design look like old conversion , galleried industrial - style open corridor round central atrium . british visitor reminiscent inter - war council estate . the central well also bar , get noisy night hotel attract lot lively young people . room special hissing machine ( guest ' control ) cut noise music traffic outside ( amazingly , work ) .Staff helpful , little consecending anyone not fit age / social class profile hotel aim . good news public area dark 's possible look cooler really be . the downside ( share sister hotel , Soho Grand ) incredibly mean ( yet expensive ) breakfast . buffet , dish menu take age order , age arrive . meantime nothing -- even glass water -- keep company , though give tepid coffee jug manage find waiter -- grugingly replenish beg . quickish option continental breakfast . even take age come turn bowl fruit salad , plain bread roll croissant ( serve ice cold ) . can not butter . horrible . get breakfast elsewhere -- 's meal America well almost anywhere else , cheap . 
 Apr 19 2005 	 love concept friendly staff subway noise 	 stay one sunday night superior room two double bed small dog . room range superior , deluxe , , order , make room small inexpensive room . book tablet hotel site , 179 . tend stay 4 star hotel , even ' m extremely squimish picky cleanliness decor . previously stay Sofitel , Hemsley , Mariott NYC , prefer Sofitel other cleanliness , service , warm pleasant decor . I curious explore tribeca facinate ultra pet friendliness hotel , well interesting amenity offering bose wave cd player fax machine every room , gold fish pet pet , ipod docking station , power shower , etc . hotel never crowd stay , never wait concierge / valet parking / reception desk . every staff member friendly , helpful pleasant . hotel exterior lounge modern looked well keep new . seem club scene ( hotel lobby mainly lounge club goer ) sunday , , minimal noise . the room fine , though lead believe tub stall shower booking , full bath . decorate non - descript gray dark brown tone . furnishing veneer ( wood veener ) , look hagard , shop recently city loft modern decor , attest lack quality durability & quot ; modern & quot ; contemporary & quot ; furnishing . tend inferior expensive price ( pay heavily design . ) , crack bathroom floor tile peel veener not surprise bother . bother : color scheme room gloomy . not match all- dark purple carpet ? ! ? dark glossy redish brown door ? ? curtain need update , noticed stain . the bad issue , unexpectedly , noise physical rattle room subway train . subway either run directly hotel , sideway line hotel run extremely late night , seem . ( notice subway vent line along sidewalk along hotel ( face parking lot ) ) . end restless night toss turn , finally manage light sleep wee hour help BOSE noise - cancel headphone ( ) . room equip call noise cancel device , true noise cancel device like headphone counter opposite wave length hear less noise ) white noise device adjust loudness . prove useless already enough white noise room ( mini refrigerator , computer , etc ) , aggrevate noise level add it . valet parking 40 , cab fare south end central park cost 10+tip . recommend tribeca Bread Bread Tribeca ( italian place across hotel recommend concierge ) , horribly junky food . probably well order room service quality cost . 
 Apr 5 2005 	 try Soho Grand instead 	 stay week business will not go back . room comfortable , average size ( New York hotel standard ) unlike stay W Hotels -- except noise . music bar area every night go 2am - bar bit see see spot , tend quite busy . the week stay private party hotel one evening , bar limit pay hotel guest . go figure . also not appreciate accost door couple thug hire security event . hotel staff little apologize make feel comfortable pay guest . if be bother loud music 2am casual attitude staff , particularly private event go , mean hotel . next time , will go back one W Hotels sister hotel , Soho Grand . 
 Apr 4 2005 	 Never 	 letter send general MANAGER RECEIVED email asking stay WAS.Mr . Nicholson , sorry report stay service Tribeca Grand Hotel lot less even mediocre . personal emergency fiance 's family pop early day call hotel request either cancellation change date . also ask pay cancellation fee . hotel tell , would charge whole amount , not notify hotel soon enough . understand . check would late evening , around 1am . besides Master Card validate full amount pay cash room , reservation woman deny we access mini bar . therefore , walk room , follow young man milk crate empty mini bar whatever else counter . embarrass we word . also request non smoking room . course walk room hit stench similar ashtray . young man milk cart juice liquor , etc . , enlighten we 1st , 2nd , 3rd floor fact smoking room . heating / air system confuse we also . one minute cold , next hot . think educate enough figure control air system . maybe ? unable sleep 3,4 , maybe rent movie . nope , could not either . point , decide suck $ 500 something try get sleep . morning come , wake woman room , want make bed . oh God , overslept , must late check ....... wait minute , be early 10:00am . rude . be sure hear knock . pressure shower nozzle nice thing happen we stay . moss product , way gross . want brunch downstair leave agree provide hotel business . know may sound like person complain everything , spend many night various hotel throughout city top office locate Waldorf Astoria , think make somewhat hotel savvy person . know expect . service room quality , decide never stay Grand hotel . speak room quality , beyond & quot ; used & quot ; bed cover white sheet terri cloth blanket par expectation high end hotel / room . truly disappointed feel like could ' ve experience well Motel 6 . sleaze , dirt , low class write . sorry report back unhappy response , , sorry choose stay Tribeca Grand Hotel . will not make mistake . neither friend client mine . thank time , Jaime Jaime XXXXXXXXFLORALIA DECORATORSat Waldorf Astoria 
 Mar 22 2005 	 Wonderful Staff 	 wonderful stay . room might noisy , request quiet one really could not hear noise outside , despite DJ Friday Saturday night ! enjoy dinner drink Friday night , love fitness center , room small staff make go beyond helpfulness . great hotel- nice attention detail . particularly like goldfish room , ipod / sounddock , welcome package art , shopping , dining recommendation . definitely recommend want stay trendy place trendy neighborhood . 
 Feb 8 2005 	 Avg . Hotel Great Location noisy 	 husband stay hotel November 2004 . clean - NY standard - decently sized price . service excellent - especially concierge staff . however , restaurant overprice food okay . also , lounge area extremely noisy 2:00 - 3:00 a.m. Friday night ( really please not go try sleep Saturday ! ) since hotel design atrium lounge lobby , noise 2nd floor room wake repeatedly throughout night . say ... location great - tribeca close Chinatown Soho well several subway stop . 
 Jan 29 2005 	 totally pretentious 	 spend 3 night Tribeca Grand . hotel pretentious start finish . staff condescend , service poor . wastepaper basket empty , hair dryer work wake call 20 minute early . service restaurant also extremely slow , almost entirely empty . would reluctant stay . 
 Jan 12 2005 	 Chill Pill 	 look forward first ever trip New York month , read review site anticipation brace real disappointment - noise , peel wallpaper snooty staff . however , lovely time tribeca Grand moment step moment leave . take get use minimalist decor , great power shower use refreshing product slip silky egyptian cotton sheet cookie ( overly - tempting ! ) minibar , know make sense ! try cram whole exciting , buzz city 4 day , course , impossible Tribeca Grand dim light muzak real seeing sight . yes , breakfast expensive much tasty not eat evening ... treat say ! nye great .. try get Times Square not fancy stay metal pen surround cop six hour without toilet head back hotel fantastic mojito , watch celebration big screen crawl 4th Floor . Perfect handle hussle bustle point . 
 Jan 9 2005 	 excellent place park low Manhattan 	 suffer trendy , unusable website , read mixed review , go gut , say would good destination adult night wife ( park daughter grandmother ) .aside bit bottleneck checking , entire experience excellent . booked & quot ; Tryst Tribeca & quot ; package include champagne check - in , excellent batch chocolate cover strawberry room , breait fast bed , late check - out . true inexpensive overnight , hey Manhattan . budget - conscious skip one , still think decent value . ultra - high shelf , hotel new well design , way cookie cutter . Sure 's hip , style thing charge . folk complain noise , concern wife light sleeper . unfounded fear noise cancellation system room , downtown , relatively quiet , complaint . 
 Jan 3 2005 	 Cool 	 trendy , cool hotel . expect meet celeb whilst . real nice bar environment , chill different . totally recommend young minded funky people like place beautiful people ( especially staff , phew ! ! ) go New year well ever . go . 
 Dec 30 2004 	 return 	 location great , will not stay hotel . husband 40 birthday want cool hotel stay . lobby lounge nice staff personality not even attempt smile . ' m New York take seriously . inclination go bed 4 a.m. forget . lounge club basement go strong thought head would explode . know stay late not matter go . room sparce cold . furniture beat . , go Ritz . 
 Nov 23 2004 	 can not recommend 	 recently stay can not recommend anyone hope get restful night 's sleep ... least weekend . bar / club locate right middle hotel room locate . imagine courtyard situation club . bass thumping 4 am although impressed amount soundproof door / wall , could still hear distant thump try fall asleep . go NYC party ( ) tribeca fun , trendy hotel . beware pricey drink , though ... $ 8 domestic mass - produce beer stupid . use bar meeting place nightcap . drink purchase elsewhere . room not anything write home either . typically like sleek modern , something really drab place . not help stain curtain . can not say would stay . 
 Sep 20 2004 	 Ignore negative reviews good place stay know city 	 ' m sure people expect hotel , say great experience 3 day stay . bathroom flat - screen tv break ( exactly make break option ) staff transfer we another room hesitation . everyone friendly , champagne toast upon check , never point feel like anyone snobbish unhelpful . bartender even gave we glass full olive hotel - room gin . ( note liquor store across 6th Ave ( ahem , Avenue Americas ) good alternative minibar price ) .the room nice , grant huge , NYC . not get big suite less 1000 night . not get big room less 450 . cozy ( cramp ) , clean , stylish room comfy , comfy bed , ( totally quiet weekend , not know everyone complain regard noise ) quite happy rate . also , quite happy location . tribeca great little bar , look & quot ; scene & quot ; be $ 7 cab ride $ 2 subway ride away . feel many reviewer expect stay Waldorf Four Seasons around $ 2 - 300 night . well , ai not go to happen . clean , hip hotel close many great area subway ride rest . understand shock people think NYC Times Square Statue Liberty know city offer willing explore tourist trap path , great place stay . otherwise , favor , stay W Times Square double price , keep eye double decker bus take TGI Fridays free . come minute ... 
 Aug 9 2004 	 hotel Rank ! 	 overprice , room filthy , bed actually fake wood veneer peel . can not believe place ! ! web picture nothing like room , old ( many year ? ) service bad . also Sunday buffet , wait staff snobby hell never come back refill coffee . unreal . pay $ 2,000 4 night 1 star , $ 20 motel . pass . 
 Jul 21 2004 	 Noisy poor location bad cocktail . 	 high expectation hotel meet one single respect ( size bill check ) . room overlook noisy bar , not expect get sleep well early hour . quite high room noise get bounce straight whole atrium . add insult injury , say bar ( can not beat , join ) order martini , extra dry straight olive receive tumbler full ice contain watery vodka far much Vermouth twist . hotel sit rather awkwardly several exciting part town without actually manage part . spend considerable sum money contemplate spending somewhere else earn . 
 Jul 8 2004 	 great place 	 ' ve come back several day New York stay Tribeca Grand think great place stay . read several review Trip Advisor mixed expectation find hotel stylishly decorate room well equip nice touch like Bose stereo , cd selection mini tv bathroom . bar restaurant area good place hang people watch sanctum bar downstair host good range dj . staff incredibly helpful friendly hotel 's location perfect . heap great restaurant bar doorstep tribeca Landmarc , Harrison , Tribeca Bread , Tribeca Grill etc , plus area close downtown , Soho etc . despite stay busy 4th July weekend issue noise couple occasion water seem little cold shower find twist tap trick . great fun hotel fab location - would not hesitate go back . 
 Jun 28 2004 	 care noise prefect ten tartinin . 	 take wife NYC 32nd birthday could not pick well place , sick norm go Tribeca Grand . close soho , canal street , Little Italy . good service barmaid could little nice care couple drink . Doormen Front Desk helpful , Mike Concierge Desk help place eat go . room clean , make sure ask gold fish front desk . cd player room cool music , plenty . far enough away Broadway , Time square , Plant hollywood close enough want take subway town . not stay go bed early Church hop'n 2 . 
 Jun 17 2004 	 sheek hotel 	 great hotel ! stay hotel past six month . staff great ! friendly accomodating . room average size offer many amenity ... one favorite , luxurious bath robe . would definitely recommend hotel . 
 Jun 8 2004 	 stuffy old geezer yet still unimpressed hotel 	 thing first , yes - hotel hip . yes , staff informal chic . yes , goldfish bring room companion . yes , get loud atrium centre hotel . yes , stylish hip groovy . right , know thing book still unimpressed quality room . high speed internet work , cabinetry break ( hold printer / fax machine inside ) , room service fast food lackluster , bed marginally comfortable though pillow rather nice , mini bar extensive fair amount amenity . seem place see people watch rather place relax enjoy room room 's sake . think nail coffin turn review mediocre never horrid experience breakfast downstairs . seat boyfriend coordinate baggage situation upstairs bellman , proceed wait 5 - 7 minute anyone come acknowledge presence - boyfriend come offer menus . place order ask two glass ice water lemon clean glass ( two table remnant o.j . pulp trace lipstick mine ) . waitress take time bring glass water ice lemon . know go long breakfast . ask hostess could ice lemon refer back waitress . keep mind two table two people entire place . food finally come 15 minute still request lemon busboy , manage bring right . needless say one receive tip . at beginning trip , stay Le Parker Meridien phenomenal - continued London stay wonderful Radisson property right near Marble Arch Oxford ... end trip low note hotel , perhaps do research return Le Parker ! 
 May 24 2004 	 meet expectation 	 money , think much nice hotel NYC . impressed staff , room small drab . prefer Hudson W. would stay ! 
 Feb 26 2004 	 AWESOME HOTEL TRENDY 	 stay Tribeca Grand Hotel & amp ; Soho Grand Hotel time . say two , tribeca FAVORITE ! pretty disappointed reading review . say problem stay tribeca . staff friendly , remember guest ! ! ! exceptionally polite ! ! ! upscale place pricey ! ! ! bottom line ? . get pay ! wrong ? ? ? think ? logical nice / expensive restaurant nice hotel . would want pay $ 400 room serve $ 2.99 breakfast buffet ? ? ? ? music could loud middle atrium bar know prior booking room ? would honestly expect ? ? ? room decent size , may expect space price comfort bed furniture room make ! hope help anyone look stay Tribeca . would HIGHLY recommend tribeca someone look great stay upscale , trendy hotel lot fun go downstairs atrium look stay ? family ? vacation child pet may want reconsider . 
 Feb 20 2004 	 young crowd ... 	 go trip , read review find pretty mixed . read magazine see movie & quot ; two week Notice & quot ; pretty hip hotel bad review probably stuffy old geezer . five night stay realize assumption correct . great look hotel young hip . without 's problem . look , staff , food drink hope . pretty pricey . get Grand King $ 209 / night room service drink seem high even NY . find entire staff friendly helpful , snooty like review say . hotel room small , not surprise . 's Manhattan , unless shell big buck . thing little shabby like curtain odd stain wood around platform bed quite chip scratch . be NY , not hang hotel room even notice thing . hotel actually great location . two station close , one take uptown west side park station ( Chinatown ) take uptown east side park . lot great restaurant area . tribeca Grill top tribeca Bread great place lunch . hotel brunch Sunday fantastic . the hotel night one popular hot spot neighborhood low Manhattan . People pay $ 20 cover get Sunday night . also private party go night manage sneak . partied bunch guy first season & quot ; Average Joe & quot ; include Adam . nice guy . ' m one drop name , day , ride elevator Willem Dafoe ! , enjoy stay . 's definitely gear young hip town holiday , business . when visit ny , usually like stay different hotel time , definitely stay Tribeca Grand next time stay downtown especially be offer good rate . 
 Jan 23 2004 	 Rock Casbah ! 	 previously stay number boutique hotel NY noteably 's sister hotel Soho Grand high expectation . service good , staff respectful ambiance cool hip . however , one can not help feel central atrium bit stark . room 8th floor essential staying weekend club night noise grounf floor deafen till 2 am afterwards get din conversation . room low floor must nightmare sound . location great want hip crowd definitely great choice especially early evening cocktail . overall would stay experience second time around would probably plump Soho Grand , 60 Thompson Holiday Inn Soho want Soho location . Recommended - Good 4 * hotel . 
 Jan 21 2004 	 okay . 	 mixed feeling hotel . get good rate , consider , worth pay ( $ 209 per night ) . good location far subway concern ( c train 1/2 block away , great ) , much right near hotel far little grocery store , bar , etc . the room fine , could definitely clean . find someone 's dvd borrow list make bed ( really weird ) stray hair , . bed comfortable , room decent size - large , decent ( Grand King ) . bathroom nice - small tv , good linen bath product . nice size shower pretty good water pressure . again , get deal fine , otherwise would not worth it . oh , also , weird smell lobby time . 
 Jan 16 2004 	 Yuck 	 Fake hip , way . way overprice get . employee quite nice , accomodation smoke mirror . tiny , unsoulful room , average quality linen , noisy . cost in - room internet service . get sit aeron chair . actually heat hot water 6 hour day check due repair . january . food mediocre overprice . would definitely stay , unless cut rate half . 
 Jan 5 2004 	 highly recommend 	 be sight see crowded city , Tribeca Grand stay . hotel highly recommend ever NY . room cram one city , staff extremely welcome friendly , instal bathroom mini tv , area hotel location quiet quaint , lastly , be complimentary coffee hot coco every floor friend absolutely love . conveniently , right across street there s pharmacy little street 's little japanese restaurant also recommend . forget stayin ' city , Tribeca Grand definetely place would stay ever ny . 
 Jan 5 2004 	 pay price chic . 	 stay New Year 's Eve , spend $ 125 attend fancy bash hold . lounge sexy , hip , even indulge priced drink . staff friendly experienced issue & quot ; snobbiness & quot ; .I love location though - near Chinatown Soho ... different stay Times Square . find much authentic . the room tad small , bathroom modern , complete tv ! goldfish nice touch well . I would definitely recommend hotel - though rather pricey . 
 Dec 31 2003 	 ideal base four day sightseeing trip . 	 read review Tripadvisor two concern seem noise staff attitude . e mail hotel 's head hospitality directly raise issue tell go great length minimise noise problem ( not bother anyway , New York vibrant city earplug ! ) also assure staff would ensure good time . give excellent rate worth every penny . staff warm , helpful welcoming . concierge , Kevin great . organise everything we , restaurant booking , transport , theatre ticket ease nothing seem much trouble . none party icon fashion ' sniffiness ' staff , include cocktail waitress ! doorman always chatty humourous despite cool black outfit . room facility adaquate , stylish modern . bathroom trendy ! room service breakfast hotel delicious wellpresente . hotel easy walk distance Greenwich Village , Soho , Little Italy , Ground Zero Taxis cheap run Midtown north . , would recommend hotel , leave plan wonderful Kevin , smile staff will smile back , take earplug be worried noise sleep like log without wonderfully comfortable bed . 
 Nov 30 2003 	 bad hotel experience ever 	 appal tiny room terrible room decor . room look like inside Amtrak train car creepy metal sink small , ugly tv set . I stay Friday Saturday night music bar center hotel atrium keep 1:00am Friday 2:30am Saturday . when call complain Saturday night front desk offer make room service previous night complimentary . nice check course meal still bill . ask remove incredibly rude staff accuse & quot ; scamming & quot ; he . stay tribeca Grand hotel bad hotel experience ' ve ever ! ! 
 Nov 29 2003 	 much well expect ... 	 ... give review site . the room ( grand king upper floor ) pretty comfortable two . bathroom bite small side ( large enough european standard ) . yes room refreshment centre expensive small grocery store across hotel Church Street ( unfortunatley not discover last day ) .generally , staff polite welcoming , although cocktail waitress Church Lounge bit off - ish ( however friendly male bartender make ) .I think room white noise machine problem noise . I would definitely stay provided get good discount room rate . 
 Oct 24 2003 	 Good 	 stay 16/10 19/10 . really nice hotel good area problem . room nice noise bar , seem control worried go read review . problem cocktail waitress either , actually polite attentive . drink pricey expect hotel . 
 Oct 8 2003 	 Style substance 	 dislike place intensely . noise late night party intolerable , room decorate trendy way , dingy unattractive view . nice selection cd , horrific overprice everything . business centre joke , although helpful person front offfice staff . Doormen cute , linger memory . will not back . 
 Sep 25 2003 	 great 	 Stayed tribeca Grand Sept 2003 . room okay , big expect . CD 's player good , mini bar / room tray stuff possably expensive ever well stocked . problem room key stop work staff horrendously rude . also really unhelpful book car airport , ' ve never problem hotel . well situated would rather save money stay cosmopolitan staff treat guest dirt . 
 Sep 6 2003 	 Cocky Cocktail waitress 
 Sep 2 2003 	 Watch noise ! 
 Aug 17 2003 	 pretentious 's Manhattan ! 
 Aug 14 2003 	 Awesome stay Tribeca Grand NYC 
 Aug 5 2003 	 pretentious good 
 Jul 14 2003 	 wow ! could not ask ! 
 May 28 2003 	 oh quiet 
 May 4 2003 	 can not beat ! 
 Apr 23 2003 	 hip guest ... 
 Feb 11 2003 	 Ms . 
 Nov 22 2009 	 100 ? ? ? ? ? ny ? ? ? ? ? ? ? ? ? ? ? 
 Jun 2 2009 	 très bien mais ... 
 Mar 27 2009 	 Sehr schöne Hotel 
 Feb 4 2009 	 un très bon moment ... 
 Jan 28 2009 	 Supberbe sejour New Yorkais dans un hotel très tendance 
 Dec 26 2008 	 très bel hôtel merveilleusement situé 
 Dec 22 2008 	 New York come non l'avete mai vista ! 
