good 	 ' ve stay Ridgemount nearly 20 year -- travel alone , take group student SUNY Geneseo , play friend . Mrs Mr Rhees , owner , son long - time employee make hotel home - away every sense word . true , room well other , clean clean daily , warm winter , friendly small room . be free tea / coffee machine lounge . breakfast wildly generous wait - staff kind tourist not quite know difference B & amp ; b restaurant . leave purse , laptop , first - bear room doubt everything return . the location priceless . several major bus line , 2 short block two Tube stop , long block British Museum , big Waterstone 's world right across street ! Bliss ! ( eat Wagamamma leave almost New Oxford St. ) small fee laundry -- priceless service day carry - on baggage ! Drop morning , pick night = budget traveler 's delight . five time ' ve take group student January study - abroad class 's Ridgemount make possible . small group ( 10 - 12 ) SUNY staff one faculty member admin person , be much work without net faculty member . ridgemount net . know kid get 24/7 good advice London travel help main desk , know safe time around hotel , Rhees family pitch help sort situation . Mrs Rhees bring tea juice room sick student class Canterbury son drive we hospital another occasion . wonderful family genuinely want help way possible . ( provide shoulder cry tired / exhaust / piss - off professor . ) people write bad review may know hard find clean , safe , affordable room middle London . the two good room # 20 ( small double one flight garden side ) # 2 , tiny single first landing . ( # 2 bath microscopic , entire west wall room giant window opening back garden summer 's like sleep terrace -- fabulous . ) street side noisy summer ( duh ? ) winter window close , 's problem . many room without bath , nice option break . share facility extremely clean . bed great real cotton sheet generous blanket -- need , heat generous ' ve every experienced 2 + decade constant visit London . stay long couple week , go London House ( Goodenough College / Club Mecklenburgh Square ) option expensive not academic / member . I really can not say enough good ridgemount . stay ! 
 wonderful stay clean great service ( small room ) 	 stay Ridgemount four day , room private bathroom , happy . pick base favorable review Tripadvisor . excellent thing hotel : - CLEAN -- one speck dirt anywhere room bathroom . housekeeper clean room every day standard.- Breakfast -- serve downstairs 7 - 9 . unlimited juice , hot drink , cereal , toast , jam , plus hot meal , usually subset thing : tomato , egg , cheese , ham , sausage . be vegetarian , will modify dish you.- Friendly -- owner staff meet exceptionally friendly , eager help , seem really enjoy jobs- Free luggage storage -- useful last day- free internet -- wifi reach room 3rd floor- free hot drink day- cold soda 50 pence- amazing location -- 5 minute British Museum , less 5 minute Tube Goodge St. 15 minute walk St. Pancras , train Paris . thing know come : - room small- noise Gower Street- elevator , carry luggage stairsother information : - hotel provide bar soap , shampoo- & quot ; disturb & quot ; sign -- maid knock door see could come clean room ... though will admit sleep bit lateall , want clean , conveniently locate , comfortable ( albeit small ) room , reasonable price ( London standard ) , ridgemount place go . 
 Jun 16 2007 	 good budget hotel great location 	 return week Ridgemount Hotel . great stay . hotel budget , clean comfortable superb location . double room overlook back garden ensuite bathroom . room basic , adequate clean , daily service . breakfast great , staff friendly , Mr. Rhees always available suggestion regard local restautant , cultural event , sight interest . also first time several visit London hotel claim & quot ; free interenet access & quot ; actually provide ! 
 Jun 15 2007 	 clean friendly family own hotel great value 	 hotel joy stay . ornate give excellent service , clean bed , great breakfast , warm friendly helpful staff . great location near British Museum safeneighborhood lot great shopping place eat . internet tea free round clock . everything close . 
 Jun 4 2007 	 ridgemount come back 	 stay second time one week nice clean hotel . manager family friendly . english breakfast great . service maid kindly help everything need . come back . thank Mr. Mrs Rees suggestion umbrella every day . love . 
 may 26 2007 	 great stay Family 5 	 family 5 ( , husband 3 child age 8,9,11 ) spend 11 night . reserve room 5 ( 1 double bed 3 single bed ) main floor . still enough floor space walk around without difficulty bathroom . extremely difficult find good London budget hotel great location accommodate family 5 one adjoining room . rees family work hard kind helpful family . spend good part morning help guest direction suggestion . hotel common room sofas , tv , free coffee tea machine , desk - top computer free internet use . Breakfast include good . ridgemount Hotel one good value London . definelty return . love stay . 
 May 24 2007 	 great experience 	 ' ve London time . look decent room reasonable rate New Year holiday . find review Ridgemount good make reservation . staff nice room awful . also impression would private bathroom , case . bed uncomfortable room smell old / musty . find hotel dirty well . price worth . would rather go . would stay . 
 Mar 28 2007 	 enjoy hospitality 	 not want break bank want nice clean hotel great location helpful staff great english breakfast , place . wife stay 3 night middle March ' 07 . old couple run place son ( think 's son ) nice help we direction accomodation . room large , 2 bed clean bathroom room . breakfast , serve like be restaurant . thing would recommend request room away street traffic bit loud time , bad . overall , great stay would stay . 
 Feb 25 2007 	 Great Location 	 stay 3 night . 's great location within walk distance british museum Soho . 3 underground station within 10 min walk . old , clean family run hotel . good value money even though breakfast little small . room top floor share facility . facilite clean time even though hotel completly full . room quite even though front main street . absolutely recommend look budget accomodation . 
 Feb 20 2007 	 Excellent hotel ! ! 5 star ! ! 	 stay 4 night ridgemount pleased room , # 17 . triple ( quad ) room 3 bed -- 2 twin 1 double en suite bathroom . 's ground floor ( = 1st floor we Americans ) , CLEAN , roomy ( even spare chair : - ) , shower excellent water force ( not dribble ) . can not emphasize nice clean floor / carpet not get foot dirty walk . bathroom similarly clean tile not feel necessity wear flip - flop ( zori ) like place ' ve stay ! 's back hotel , hear little ( ) noise particular room not room adjoining & quot ; neighbor & quot ; room , not hear anything either . be close lounge pc free internet access locate ( 1 pc ; find busy late afternoon / early evening not mind midnight write : - ) .The proprietor , Mr. & amp ; Mrs. Rees , friendly ; Mr. Rees cook visit ( usual cook holiday ) make excellent breakfast ( canadian bacon , egg cook right taste -- runny hard -- toast ; time tomato ; cold cereal kid -- corn flake , bran flake , frostie = frosted flake ) helpful ask go give excellent direction ; rest staff similarly friendly helpful . the location fabulous ; able walk theatre , restaurant , British Museum , 3 tube station nearby : Goodge Street ( close ) , Euston , Russell Square . get good use Oyster pass ( pay - as - you - go half - price fare ) even well walk around see local attraction . book room 2 month advance email directly get quick turnaround response willing accommodate request ( ground 1st floor room back ) . room 's temperature control individually comfortable without adjust temp . hairdryer provide ( bit flaky , turn every time ) . telly ( tv ) bit small ( 12 & quot ; screen wall mount high ) , be negative . all , outstanding value money incredibly pleasant stay . absolutely endorse hotel return next trip London . 
 Feb 15 2007 	 gem ! 	 ridgemount gem hotel wholeheartedly recommend . three night great pleasure . alled family staff warm , welcome ever helpful . pride hotel reflect outstanding polish shine every area building - scrupulous maintainance . Rigemount 's location price can not better . cook breakfast generous hearty . look forward next visit . 
 Jan 31 2007 	 good cheap hotel run nice family Wales 	 come back couple week UK fiance . spend last 5 day stay ridgemount hotel central London really pleasant surprise . room clean , bit small bad consider inexpensive compare place look . bathroom not overly large either , spotless . place run sweet Welsh family really nice we give we good advice thing perhaps importatly thing avoid . cook breakfast also pretty good ( necessary - London cold winter use NorCal climate ) . sure could find comparable place , place good people nice . would definitely stay ever return London . 
 Jan 31 2007 	 pleasantly surprised 	 planning trip London little wary range review hotel receive , range cesspit good hotel ever ! however give price location think worth risk least one night . end stay almost week ! will not claim 's good hotel ' ve ever stay ( even top 5 ) definitely good value ' ve ever encounter . staff exceptionally helpful , room fine ( , be somewhere sleep ) breakfast nice ( Trad . English ) . sell first place location , not disappointed . much central London within walk distance really feel heart soul city . if money object would not stay , like we , travel budget Ridgemount definitely hotel would recommend . 
 Jan 27 2007 	 mostly clean 	 hotel nothing ok . price be like expect fancy surprised get realize not . room bathroom en suite . bathroom spotless roomy enough shower comfort . the room also spacious enough comfort despite old carpet first glance appear clean . sheet clean check comforter filthy ... fill hair goodness know else previous guest ! fact dirty refuse sllep bed result pretty cold night London winter ! matress like sleep box rock back truly ached next day . breakfast leave lot desire . location great budget hotel . 10 minute walk Covent Garden start high action area . houston street tube station 4 minute walk also nice . never stay ! never look fancy clean place good night sleep get back room . ridgmount spotless sense flithy other one good night sleep ! brave enough try make sure ask room bathroom & quot ; en suite & quot ; otherwise share other hall . 
 Jan 17 2007 	 great budget hotel 	 recently stay Ridgemount awonderful time . wife never londonbefore location hotel mean wewere able see want shorttime London . hotel also offersdiscount lot attraction savedus quite bit money . the room clean comfortable . staffwere kind always available answer ourquestion . the breakfast fill able skiplunch early supper . we great experience . wife 's parent arecoming London next month havealready tell stay would happilyrecommend hotel . back sure . 
 Jan 14 2007 	 Excellent Value 	 wife Daughter spend New Year Hotel . clean comfortable breakfast good . hotel convenient place go LondonThe owner nice extremely helpful . certainly book next time come stay London 
 Jan 13 2007 	 bad 	 location good . walk distance British Museum , Covent Garden Soho . also convenient shopping , Oxford street block away . room small ( expect price centre Lonfon ) , tv , hairdryer . free shampoo , take own . disadvantage : really thin wall floor / ceiling . hear someone heavily snore next room watch tv . - would rate hotel average . important note - pickup / transfer service airport bargain price - go it . will stay ? sure . 
 Jan 11 2007 	 Nerdy Northerner 	 recently stay whilst business central London . central , good value , clean hotel understand hotel not bar . however , ensuite bedroom , whilst small , immaculate , breakfast hot , tasty generous staff helpful every way . cook , assume husband family run hotel , helpful check morning breakfast know go absolutely fabulous knowledge public transport network . unfortunately , not lift stair . there lounge , may unfortunately smoke , computer Interet access , soft drink machine free tea / coffee . not appear curfew front door key , yet perfectly quiet respectable . approximately 5 min walk Goodge Street , Euston Square Warren STreet tube station . I back . 
 Jan 5 2007 	 Fantastic experience 	 return week ridgemount andi great time . ridgemount perfectlylocate theatre walk away . also many sight family want tosee close . hotel clean staffwere helpful , always ask we know wherewe go . room overly large forthe price pay central London , itwa bargain . breafkfast really start dayoff great . full English , bacon , Eggs toast etc . iwas plan another trip London . woulddefinately stay . 
 Oct 24 2006 	 great stay Ridgemount Gower Street 	 wish stay heart London within walk distance huge numeber attraction close transportation Ridgemount Gower perfect budget minded traveler . great full english breakfast include ( coffee , tea , hot chocolate , milk , juice , egg , bacon , sausage , cereal , lot toast , baked bean fry tomato ) clean room bathroom . friendly staff , free internet lobby ( one machine share ) collection board game paperback , free coffee tea machine . downside room small , fridge . lot option dine around , remember travel child pub open food evening . also remember convient food express store close early Sunday . almost impossible find carton milk time area . during stay family ensuite room 2 separate room share bath . really sure share bath , without option . clean nature place take care concern . elevator 4th floor family ensuite bit climb luggage . London bargain pleasant place stay . walk distance kind University life , British Museum , Piccadilly Circus , Trafalgar Square . remember , many large public Museums free admission England . could spend 4 day British Museum alone . hop hop bus good buy familiarze major attraction . London transit pass worthwhile purchase . London City pass attraction useful . not possible see enough attraction day make pay . get tired ! hotel book attraction could direct . mind , develop appreciation direction Londoners , tend put get whomever give we little obscure . bring umbrella ! departure hotel arrange cab Gatwick little cost tube train 2 adult 2 child much convienent . one Hotel staff meet local Tesco Express checkout give we casual conversation couple local building interesting boy ( WWII history ) completely radar tourist attraction map description . people really know area . bus street stop traffic light near hotel . mean street side room noise , say disturbing . would definitely stay . one kid point , else stay say Charles Darwin live across street ? 
 Sep 29 2006 	 People Ridgemount Hotel make difference 	 stay hotel 19 21 Sept ( 3 night ) . admit bit wary stay hotel know rather old . stay , hotel old charm . room stayed freshly paint clean . Mrs Rees ( one owner ) generously give we triple room price double room request room ground / first floor . room face Gower Street , busy street , quite noisy night traffic wheezing . please request room face back light sleeper . however , busy street make we feel safe walk back hotel night . guest give key main door CCTV focusse main door someone monitor office almost time . moreover , people stay hotel mainly couple , student family hotel locate amidst row hotel . ( 2 female traveller ) feel quite safe staying . hotel centrally locate - Goodge Street tube station minute ' walk away Leicester Square minute ' walk . shower take getting use use detachable showerhead rather one fix wall . breakfast include room rate - english breakfast - simple filling staff serve dining area efficient pleasant . Mr Mrs Rees son well another staff man office friendly helpful . free tea / coffee make facility internet access lounge area . all , would consider stay place ever come back London . 
 Sep 24 2006 	 Excellent prize 	 trouble . little bed Bathroom .. 4 person pay 92 pound / day London , good . cheap . it cleen , nice place , good breakfest , free internet . well locate - walk British Museum . Staff , everybody write - excellent . help everything . if not need Hilton ( not enough money ; - ) ) , be good alternative ! recommend . 
 Sep 23 2006 	 cheap worth . 	 yes , hotel quite affordable . spend three sleepless night Ridgemount , would recommend holiday traveler go ahead shell another £ 50 well lodging might actually get decent night 's rest . , be spend several thousand dollar holiday , 's sense save pound spend day stumble around London every bone muscle ache brain sleep - deprive haze ? insist ignore advice save penny stay Ridgemount ( note well , write & quot ; sleeping & quot ; Ridgemount ) , -- circumstance -- allow place room face street . three night , mercilessly torture Room 19 , ground floor en suite twin room window foot roar traffic , traffic hardly let hour dawn . ( industrial - strenght earplug inadequate dampen noise . would ask move , hotel fully book . ) night ridgemount narrow , short , extremely hard bed moped zooming past ( seem like ) inch head approximate experience sleep London sidewalk , except one must acknowledge Ridgemount , credit , much clean sidewalk , scrupulously clean , fact . cleanliness neighborhood location , though count much , ridgemount ' unequivocally positive quality . facility lack suggestion charm grace , furnishing uniformly old , cheap , worn , dowdy , crowded , uncomfortable -- , clean . as breakfast , , american standard London standard , unimpressive : frosted corn flake cereal ( not particularly care ) , coffee , orange juice , one egg cook sunny - side , two slice ham / bacon , white bread toast , rather good marmelade jam , lifeless vegetable . variation breakfast offer vegetable : half grill tomato first day , can bean day . breakfast waitstaff , appear eastern european immigrant girl late - teen early twenty , charmingly shy , prompt , quiet , unobtrusive . indeed , brief interaction young lady far endear aspect ridgemount experience . the hotel desk staff -- part -- civil responsive inquiry , young man work morning desk give we accurate helpful information bus route . however , different young man desk evening last night stay could conceal irritation , explain early flight Rome next day would press time , ask settle bill night rather wait morning . keep tell could morning . keep explain would rush morning , would like settle bill . relent state flatly would pay bill hand credit card . almost forgot mention , response initial email inquiry twin room en suite , quote rate £ 52 per night . send credit card information finalize booking , email confirm booking request accommodation quote high rate £ 68 per night . upon check information post Ridgemont ' web site , able see hotel err initially quote rate room without bathroom , even though ask room private bath , complain seem honest mistake . however , checkout appreciate surly hotel desk clerk 's unsolicite falsely hospitable offer denominate charge credit card US dollar rather british pound . sly trick , inexperienced traveler fall time , know & quot ; dynamic currency conversion & quot ; create windfall profit merchant substantially increase cost transaction customer , receive highly unfavorable exchange rate merchant yet still pay whatever ( sometimes double ) & quot ; foreign transaction fee & quot ; credit card issuer normally add charge make foreign country . opinion , hotel merchant present & quot ; dynamic currency conversion & quot ; option , without explain unfavorable consequence customer , care customer ' good interest . 
 Sep 15 2006 	 great location wonderful hospitality ! 	 family four stay Ridgemount 8 time past 10 year . recent stay 7 day July 2006 . proprietor , Mr. Mrs. Rees staff always extremely gracious willing provide suggestion visit good way get . hotel well maintain immaculately clean . room comfortably furnish tv . internet access parlor along coffee tea . serve full english breakfast - include cereal , egg , sausage , bacon , bean really delicious toast ! close proximity University London , British Museum , Oxford St Covent Garden . Tube stop Goodge Street Russell Square . 's home way home . would stay anywhere else London ! DI Palo Alto , CA 
 Sep 9 2006 	 perfectly pleasant lodging 	 pleasant place low - budget London traveler . user note , room , pleasant , , linen room clean well - tend . elevate ridgemount average unremitting friendliness attention everyone work . visit August , London absolutely teem tourist , even proprietor , night clerk , lady serve breakfast really nice . could helpful , ! never give impression tired hearing 4,000th time stupid question demand entitle -- hostess , arrange cab airport departure , stand stair wave we away . our breakfast varied day -- always : ( narrow ) choice cereal , egg , orange juice , tea coffee , toast , butter margarine like . addition , either bacon , sausage , tomato , mushroom bean -- every day . which fine -- heck really need ? location also fabulous -- mere block British Museum , close several city park , near couple Tube stop . number useful shop , include Boots Marks & amp ; Spencer , restaurant within easy walk distance -- particularly enjoy dinner YO ! Sushi . neighbourhood ( be right across street Royal Academy Dramatic Arts ) feel safe . the downside convenience traffic -- room front house quite noisy window open . additional windows instal block sound , effective , room get warm . would recommend earplug sleep . as one ( two , actually ) number convert edwardian townhome immediate area , ridgemount charm character , also elevator , rather steep narrow stair . room perfectly adequate space guest luggage -- be nice sizeable ' cubbie ' stow case , cupboard extra linen -- little extra furniture , actual work room might tough . internet free -- hurrah ! -- , always line get computer , surprising result keyboard little , um , tired . still , cash - conscious casual vacationer 's unfit , highly recommend Ridgemount . 
 Aug 30 2006 	 heart London reasonable rate 	 stay Ridgemount four night wife 14 yo daughter , find clean , extremely friendly , excellent location reasonable rate . surely , good place could find first time London ! 
 Aug 8 2006 	 ok London guess 	 read rave review place tripadvisor lonely planet , book 5 night stay . say , fine London , hotel city world would demanded money back . London hotelery sad state affair consumer accept 50 pound night & quot ; good & quot ; price double room really even big enough single room ( travel partner take turn stand corner one could get door ) , share bathroom , blister heat ( wall always hot touch 35 degree temp do not help . hotel provide tiny tiny table fan try keep we cool ) street loud make one feel one sleep right middle busy expressway . redeme quality hotel quite well locate city centre , staff extremely friendly - although mostly unwilling fulfill request big fan change term stay , free internet . , , apparently good deal London , 's good vacation save money . would go back hotel , spring autumn ( avoid heat ) rear facing room . 
 Aug 5 2006 	 bad great 	 ridgemount fine british budget hotel standard . PROS : -The staff friendly helpful , say lot.-The lounge offer free internet , great - the hotel cleancon : -front room face Gower Street noisy due traffic , siren wail hour . light sleeper , nightmare . least , bring earplug . well yet , get room face onto back garden.-the single room tiny - water pressure trickle . not expect invigorate morning shower . I would stay , quieter back room . 
 Aug 4 2006 	 Good not believe hype breakfast 	 quaint old place pretty well locate . staff efficient pleasant . everything fine , modest . breakfast include people say substantial . 's . 's breakfast . fruit kipper buffet . get egg bacon sausage , cereal tea coffee . 's . enough last past mid - day . 
 Jul 19 2006 	 exactly need 	 comfortable , basic little lodge house exactly look begin comb massive amount information available online hotel London . budget , still standard cleanliness , safety ( dodgy neighborhood - , do ) , comfort . spend three night Ridgemount Hotel ( two different room book conflict ) . since spend day ( part night ! ) , really use room share bath sleeping & amp ; shower , respectively . breakfast everything other rave - amazing toast ( ? ) , enough cereal / egg / side keep full lunch . staff friendly helpful overly nosey ... not book expect Ritz - be go get price . get good location near several tube station , decent bed ( heavenly okay ) , solid breakfast , enjoyable budget stay expensive city . 
 Jul 13 2006 	 Great Location Helpful Owners 	 husband , mother - in - law recently stay Ridgemount July 7 - 10 . overall , find room , food location wonderful stay . first glance , hotel clean welcoming . locate Gower Street , busy Monday morning leave . sit area free tea coffee , cold drink sale , internet access . room lot large reviewer make seem . family room ( one double two twin ) basement floor towards back hotel . share bathroom , one room . room spacious plenty room luggage junk still walk around . small TV fan . window open allow air . sink room , nice since not in - suite toilet . nearby toilet small ( like find ) , hot water good pressure . food good . breakfast area near room , woke get dress go eat . food serve menu include traditional english breakfast . ham ( bacon ) well stay England . service fast servicer kind . the location ridgemount great . two station nearby - Goodge Street Russel Square . bus stop block away , . Trifalgar Square good 15 - 20 minute walk . British Museum nearby , . pub store around hotel . find owner informative London . binder information whatever ask . give great direction opinion anything want . able buy ticket sight see tour discount , ask anything want . even call taxi we ride back airport . think anyone stay Ridgemount happy price , room , food , location great service owner . 
 Jul 12 2006 	 visit - wonder top rank review ... 	 price - ok nothing . small clean room basic furnish , bacon egg bean plus cornflake breakfast , free coffee / tea machine . 's . good locate , friendly staff . next trip London find another hotel ( know - may will choose ... ) 
 may 31 2006 	 happy Ridgemount 	 great choice budget hotel visit London . mom planning vacation , want stay Bloomsbury area want check Kensington , split time two , stay Ridgemount Bloomsbury time . great choice - clean , reasonalby price , incude full english breakfast , en suite room ( mean private bathroom ) , tv lounge free tea & amp ; coffee , soda vending , book borrow , wonderfully helpful staff really make stay pleasant . internet access available lounge £ 1 20 minute . elevator however , step issue , request room ground floor . 's conveniently locate bus , Underground , shop & amp ; restaurant . side hotel room face street get street noise busy Gower Street . happy would definitely stay return London . 
 May 28 2006 	 Great Value Good Location 	 stay 4 time show highly rate hotel . location excellent central . 's 20 minute walk Leicester Square . not like walk underground station short walk away . on last visit hotel hot due noise road outside could not leave window open night . however negative comment could make hotel . for central location , hotel provide amazing value money . room clean even decor slightly outdated . breakfast sufficent . last least owner friendly helpful . 
 May 22 2006 	 great time ridgemount 	 husband stay Ridgemount Hotel May . wonderful stay . owner helpful give direction morning breakfast huge good . one morning overslept get dining room 9 am . still allow cold cereal , toast coffee . room small , clean . shower small average size person would difficult time get , however , water always hot good water pressure . location great . close New Oxford St. shopping well British Museum . even walk West End catch show . would recommend hotel anyone look good budget hotel great breakfast . 
 Apr 22 2006 	 pleasant stay 	 good , central location bus stop right front hotel underground 3 Min walkvery friendly helpful staffsmall room clean , everything need city trip : - good matress- work hairdrier- shower constant hot water temperature- free coffee machine lounge- good breakfastgower street quite noisy , noise ok window close , maybe ask back room summerour good deal yet London , come back 
 Apr 22 2006 	 Great Value Visit ! ! ! 	 good location , great access tube bus easily take around London . locate within Zone 1 , central location . very welcoming atmosphere , great host ! full breakfast every morning , accomdate request - direction , must - see , etc . great choice family . room clean daily . stay 3 night vacation US , definitely visit . complaint ! 
 Apr 20 2006 	 top league budget hotel 	 fifth trip London finally say find really good budget hotel city ! stay 2 different room . one big one ground floor room last floor small bathroom look new . I could write long review reason : room clean bathroom , double bed good . the staff polite helpful really feel welcomme stay Ridgemount feeling 2005 York stay charming B & amp ; B treat guest foreigner arrive spoil peace . breakfast good nearly plain luxury compeare use previous visit hotel London . hotel lift . partner helped suitcase suppose book advance ask room close ground floor possible take couple picture welcome & quot ; study & quot ; . splendid idea book hotel personally ' m glad rank quiet high TripAdvisor ranking . highly reccomended ! 
 Mar 31 2006 	 clean good food close everything 	 happy stay ! room small , clean . bathroom clean , , good water pressure LOTS hot water ( unlike place stay England ) . breakfast reviewer say ( husband LOVED food every morning ) , folk run place good direction suggestion see area . even help we find chemist still open Sunday night ! area 's feel safe homey , 's far shopping tube station . would definitely stay . 
 Mar 21 2006 	 nice serviceable choice 	 take college freshman daughter week London ( first trip ) spring break Mar 12 - 18 . Ridgemount Hotel turn good choice . tube station ( Goodge Street ) three minute walk . British Museum similar distance street . the room pleasant surprise . rather roomy european standard , clean well maintain . bathroom adequate , also spotless . the breakfast cut experience London hotel . cereal , juice , coffee tea starter . morning full plate english hot breakfast : egg ( cook way ) , toast , bacon ( lean nice , fatty stuff see ) , rotate additional item , sausage , baked bean , tomato . week 's time , one get tired fare , true home , too . the proprietor cordial helpful , quick advice bus route way get Oxford . while street bit noisy ( Gower Street parallel one - way Tottenham Court Road ) , problem . plan work central airconditioning , also reduce noise issue , especially summer . give try . 
 Dec 5 2005 	 damn stair ! 	 breakfast good . sure quality bedsheet . get bit itch.central enough covent garden.dont go top floor unless marathon 
 Nov 12 2005 	 great location . helpful management 	 Location perfect - fly via Stanstead Gatwick perfect location easy access train . .. well simple walk many main attraction cental London . most helpful staff - could do help . Good & quot ; English & quot ; breakfast . room bite small - look pay travel stay hotel room . unfortunaltely lift take care eavy bag top floor . 
 Nov 5 2005 	 ridgemount . hard beat ! 	 return Ridgemount Hotel . good value money London . handy bus tube , comfortable , fill cook breakfast , wonderful helpful host ( Mr & amp ; Mrs Rees ) spotlessly CLEAN ! room maybe bit date give feeling stay someone 's home old building really get feel London . 
 Oct 24 2005 	 excellent value ! 	 spend 3 night Labor Day weekend Ridgemount hotel would definitely stay . room , # 2 , single en suite top first stairwell , face back building . ' problem noise except day , could hear front door buzzer quite clearly . room really small – maybe 7 ' x 7 ' ( twin bed run width room ) – high ceiling window take one wall nice . room contain tall , narrow wardrobe , chair build - in shelf serve desk hold tv small electric fan . real issue room shower bathroom maybe 2 ' x 2 ' mediocre water pressure . clean , though , make tolerable . the drink machine internet provide lounge convenient . find breakfast bit tiresome third day , though . choice cereal , toast , coffee tea , plate egg , bacon , plus something else change daily ( bean , sausage , tomato morning ) . ' quite tasty , little heavy bore three morning row . location - wise , great – like Bloomsbury area . short walk ( maybe 5 min , ? ) British Museum , slightly Oxford Street . addition , bus stop across street could access Oxford Street , Trafalgar Square , Leicester Square , Hyde Park , Victoria station king cross station – never take tube ; find bus convenient – 3 pound all - day pass , save bit walking get need go back . compelling reason stay , though , proprietor , Mr. Mrs. Rees exceptionally helpful . ask guest every morning plan day offer great advice get place . luggage lose way Mrs. Rees kindly draw map nearest Marks & amp ; Spencer ' . ( also good know – offer laundry service case need . ) seem genuinely interested guest ’ welfare . ' ask well host . for price , hardly beat value , location , warmth Ridgemount . 
 Oct 16 2005 	 Pleasant Stay 	 ridgemount lot thing go - good price , great location , friendly staff . overall good stay . negative small room ( taller wide , far ) somewhat thin wall . look budget accomodation , minor quibble otherwise pleasant place stay . recommend ! 
 Sep 29 2005 	 great value 	 stay five night Ridgemount MUCH review website . great choice . great value . en - suite room . room small , . bathroom room clean . breakfast typical English breakfast hook Frosties english milk . hotel walkable everything plenty tube option nearby . would definitely stay . 
 Sep 12 2005 	 lovely 	 immaculately clean , delicious breakfast , charming owner staff . room small , expect consider house build ( private home ) 250 year ago . house back pretty garden front Gower Street , lead straight British Museum . honestly do not think one find friendly central hotel London money . 
 Jul 29 2005 	 Good Choice 	 stand one night Twin room Ridgemount . recommend hotel , everything ok . staff friendly helpful , Location hotel quite central , near Soho , 5 minute walk next subway station , room clean , size also ok , bathroom clean small like london hotels price range , english breakfast ok . room streetside , give noise evening even second window close , night ok . price good choice . 
 Jul 6 2005 	 great place stay 
 Jul 5 2005 	 Size not Everything 
 Jun 25 2005 	 small nice 
 Jun 16 2005 	 really nice place stay 
 Mar 6 2005 	 great value ! 
 Feb 9 2005 	 ridgemount decent value money 
 Jan 14 2005 	 lovely experience 
 Jan 1 2005 	 little shabby friendly 
 Aug 5 2004 	 keep come back ! 
 Jun 29 2004 	 nice clean close tube station 
 Nov 16 2009 	 Una comoda e pulita pensione gestione familiare 
 Oct 19 2009 	 Veramente ottimo ! 
 Oct 8 2009 	 excellent rapport qualité prix et super accueil 
 Sep 18 2009 	 Sitio estupendo trato excelente . 
 Aug 30 2009 	 Pulitocentrale accogliente ! 
 Aug 23 2009 	 fenomenal ubicación - Habitación muy pequeña 
 Aug 18 2009 	 Nettes Hotel mit freundlichem Personal 
 Jul 15 2009 	 Altamente recomendable 
 Jul 3 2009 	 Consigliato 
 Jun 24 2009 	 Hotel Ridgemount ... ci tornerei ! 
 Jun 23 2009 	 il miglior rapporto qualità - prezzo - gentilezza 
 May 30 2009 	 Sehr gute saubere Hotel mit sehr nettem Personal ! 
 May 27 2009 	 excellent hotel 
 May 19 2009 	 La posizione è il suo punto di forza 
 Mar 29 2009 	 Hôtel très agréable et bien placé avec un excellent accueil 
 Mar 8 2009 	 ottima scelta ! 
 Jan 3 2009 	 fantastico ridgemount ! 
 Dec 27 2008 	 endroit très agréable 
 Nov 22 2008 	 excellent rapport qualité prix 
 Nov 1 2008 	 consigliabile per la cortesia e per l'ottimo rapporto qualità - prezzo ! ! ! 
 Aug 28 2008 	 Perfecto . Tu segunda casa en londre 
 Jul 19 2008 	 Hotel limpio con atención excelente 
 May 5 2008 	 Modesto pero estupendo 
 Apr 1 2008 	 la nostra seconda luna di miele : - ) 
 Dec 17 2007 	 suffisant pour un court séjour . 
 Nov 9 2007 	 Bon rapport qualité / prix 
 Oct 21 2007 	 Das Ridgemount - einfach aber gut ! 
 Sep 7 2007 	 Posizione e accoglienza Ok 
 May 5 2007 	 Excelente relación calidad - precio 
 Apr 10 2007 	 Super rapport qualité - prix et accueil adorable ! 
 Aug 16 2006 	 Piccolo pulito ed accogliente ... eccezionale per gli standard londinesi ! ! ! ! ! 
