Amazing 	 happy overall value hotel . service incredible - location awesome - room comfy ! ! ! love breakfast morning - great coffee ! ! free internet service extremely helpful .... complimentary bottle Perseco chocolate room .... Wine night .. awh .... room pretty good size - ny , especially . offer pass gym , want vacation ? find complaint hotel . could walk 30 Rock Central Park . subway block away ... 5th avenue 1 block away ! not get well . 
 Mar 19 2007 	 outstanding experience ! ! 	 hotel wonderful . beautiful facility , excellent staff , comfortable homey beyond anyone could expect Mid - Manhattan . atmosphere like charming country inn , room well lounge delightful . 
 Mar 16 2007 	 Great Botique Hotel 	 ' ve stay hotel 3 time last year absolutely love . location great ( midtown ) close thing . staff professional , helpful , knowledgable .... recommend Broadway play , set dinner reservation around town . the accomodation nice . plus , great continental breakfast , well , nice wine cheese & quot ; happy hour & quot ; .The Monkey Bar really cool lot history . love italian food , definitely go Cellini 's across street . 
 Mar 14 2007 	 Country hotel city 	 like English country hotel mid - town Manhattan . comfortable room , helpful staff affordable valet parking . include continental breakfast complimentary tea , cookie , wine , cheese afternoon nice touch . note Monkey Bar currently close rennovation ( May ? ) , although room service available . 
 Mar 8 2007 	 go back every time get chance 	 fifth sixth stay . be favorite among handful similar small hotel ' ve return Manhattan . service excellent friendly . lounge complementary wine cheese evening breakfast morning make feel relaxed homey , time preserve romantic & quot ; European & quot ; flavor . 
 Feb 27 2007 	 First Time Elysee - Great Hotel 	 stay Elysee weekend Feb. 23 - 24 attend wedding . try Casablanca , favorite hotel , full . however discove Elysee own owner book . great hotel . small change room , large bedroom sit area large upscale bath . staff attentive enjoy sitting room ( ) 2nd floor well nice continental breakfast include room rate . would recommend hotel heartbeat . 
 Feb 22 2007 	 great place stay location amenity service 	 exhaustive search use Trip Advisor , Expedia countless avenue seek accommodation , decide Hotel Elysee . happy do . to we , cleanliness , service , value location imperative Elysee offer ; - Immaculate find fair size room end every long day adventure . yes room ( 145 ) little worn , king size bed , marble bathroom , spectacular view , turn service make it.- Service expect . receive entire staff . doorman great , front desk staff quick everyone @ Monkey Bar ( great place ) know make Martini- Value key . $ 275.00 week $ 245.00 Friday , Saturday Sunday February . breakfast excellent , cookie tea afternoon nice snack . decent wine , champagne , cheese cracker evening always great way start night.- Location – within minute walk Central Park , Bloomingdales , Louie Vuitton , Radio City Music Hall , Subway Station , Rockefeller Centre , Times Square decent restaurant count . New York great city visit , great place create lifetime memory Hotel Elysee great place start 
 Feb 21 2007 	 Hotel WONDERFUL ! 	 stay Hotel Elysee week New Years 2005 2006 . hotel make trip much wonderful . staff helpful , friendly fun . include breakfast good , serve delightful setting . New Years morning look window , diningroom / library , snow cover street . Christmas wreath hang every window add warmth hospitality . service always great . period charm hotel addicting . room good size wonderful decor comfort . not large modern hotel , description & quot ; boutique hotel & quot ; fit perfectly modern necessity . hope come back hotel ! 
 Feb 14 2007 	 great weekend Elysee 	 return yesterday great weekend nyc.the Elysee centrally locate Times Square Central Park , bus cheap enough get Manhattan . we love Elysee , staff helpful . room clean , bathroom well stock toiletry towel . the breakfast lounge really good , great selection bread pastry , well delicious fresh fruit , range tea coffee . we enjoy informal drink nibble lounge meet lovely people drink there . the purpose trip meet daughter husband fly home Seattle . I would recommend hotel , hope return one day , summer - bitterly cold trip ! ! 
 Feb 13 2007 	 Gorgous Hotel 	 lovely time Elysee - location great 5th avenue shopping , staff extremely friendly helpful . cute little bar downstairs nice cocktail , highlight stay lovely lounge area overlook street , free drink snack serve evening . also fantastic breakfast , include price room , big plus holiday America usually charge extra everything ! ~The snag room small , particularly spectacular inside - easily forgive relax lovely drawing room , ideal chatting , reading , chill . would recommend hotel woman traveler , kid , teen , would especially recommend old traveller couple cosy handy Mid Town . 
 Jan 30 2007 	 wonderful botique Hotel 	 Mid town location . easy walk distance Times Square , theatre district , 5th Ave shopping , three block moma , excellent restaurant easy walking distance . room well appoint quiet . complimentary breakfast adequate wine cheese evening get good start . 
 Jan 29 2007 	 Great Location getaway ! 	 husband stay Elysee getaway weekend . love location traditional styling room hotel . walk distance good shop New York , Times Square , Museum Modern Art . terrific value package come continental breakfast parlor room . great time cap evening martini stylish Monkey Bar hotel Lobby . 
 Jan 22 2007 	 impressed 	 read review early year originally make book little concerned later review give cause concern . we family 2 adult 3 teenager . book suite superior room . arrive late night swiftly process take room . understand comment post point , yes place wear find immaculately clean comfortable . staff excellent obliging . the evening drink snack great apart greediness guest , particularly hog free internet access , thoroughly enjoy it . we would definitely return . 
 Jan 21 2007 	 good business hotel 	 use hotel since 1994 primarily business . stay hotel NYC ; however , always choose Elysée . this hotel 's location optimum . central place business afford access midtown 's good restaurant , shop cultural venue . also , female traveler feel safe attend here . the staff hotel sublime . know name always sure one favorite room available upon arrival . without mention , previous request attend , i.e . coffee maker room , iron board . new amentitie improvement year past . use hotel approximately six time year , least week time . comfort see face Front Desk always remember name . my preference always boutique hotel . Elysée may everyone , need 24 hour room service , butler outside door , may place . want great location intelligent staff remember like , hotel definitely you . their breakfast wonderful staff could helpful , especially Lina . always greet big smile see . favorite amentity wine hor d'oeuvre hour 5 - 8 pm , perfect way end day . last visit , wonderful Argentine Malbec fantastic Sauvignon Blanc New Zealand . to sum , always look forward stay . must away home definitely place . 
 Jan 20 2007 	 plus + minus 	 baby boomer traveller require comfort bit luxury . the hotel little shabby room little big usually get NY . staff friendly location central . breakfast awful think American accept ok . please someone teach mkake coffee .. ahhhh . thing flavour coffee ? one big positive hotel Bill 's Bar right across road . forget Monkey Bar hotel ( close 2 am New Year 's Eve belive ? ? ) . Bill 's Bar tiny tiny bar populate octogenarian , kid , great jazz , stage singer . piano man start play start sing . fabulous really back time . wonderfully polite gregarious great evening . not foget tip piano payer . 
 Jan 12 2007 	 Disappointing 	 husband recently go NYC honeymoon . originally plan stay large hotel chain , like Hilton , decide small , romantic boutique hotel would much nice . read review seeing rate Romantic Hotel NYC travel guide , decide Hotel Elysee . book directly hotel , tell honeymoon , stay 11 day . less impressed . the concierge deal phone ( use help make restaurant reservation ) usually polite , seem new job . call remind thing several time . nag , call check thing ( stay New Year 's Eve holiday , want make sure restaurant not book . ) , often forget call certain restaurant say would . also call confirm every reservation . past experience , concierge usually . also ask several time restaurant recommendation , never get . pull Zagat guide phone flipped . ' m sorry , Zagat guide , , not need someone read phone . feel concierge , part job know restaurant area able make recommendation upon request . the room average . king suite , tell twice phone would kitchenette full - size fridge . arrive , mini fridge living room . get late tired not complain keep room , retrospect , especially consider honeymoon , request different room . flat screen tv living room nice , couch uncomfortable ( old fold - out ) never sit watch . view ridiculous - a lovely air shaft overlook another building . well view hotel . bathroom small fine , understand room much small NYC . however , expect clean . one morning , every new towel leave housekeeping night hair . great thing wake to . the service fine , everyone helpful get bag room , one friendly . realize attitude different NYC , be stay small hotel like , expect , especially be pay much . make we feel bit unwelcome , we huge favor there . all 's nice hotel , great , unless maybe piano suite . would try somewhere else next time . 
 Jan 9 2007 	 Charming hotel great location 	 stay Elysee New Year . 's charming , elegant little place . classy well appoint , yet unpretentious . the library club room superb , breakfast ( fresh juice , fruit salad , bagel , pastry , toast cereal ) . another nice touch coffee cookie available day long . due hectic schedule not manage evening cheese wine . the staff respectful helpful , yet bit fun time . guest equally charming . the whole ambience French ( would imagine name ) . Monkey Bar serve lovely food . all , lovely experience would recommend anyone look small , quiet , elegant place minute walk 5th Avenue . everything place wonderful . 
 Jan 4 2007 	 Calm Oasis Manhattan Hustle 	 boyfriend stay 5 night Christmas New Year . location excellent - close everything want see - Time Square , Central Park etcThe Bedroom ( 61 ) nice , quite large , although decor look little bit tired . bed great - huge really comfy . picky would say bit noisy - back hotel near heating vent , quite noisy - not complain expected noise city . complain sure would moved we trouble . Bathroom fab -all marble shower great - powerful . the good thing hotel service - anything want , hotel staff would bend backwards get . communal area nice , complimentary breakfast excellent - really good fresh fruit salad , croissant , bread etc . another tip -if smoker like we , great cigar bar call Club Macenudo 9 block hotel still smoke - yipee ! really nice inside , staff good , good food - want ! go bar hotel , not keen - nearly pitch black inside quite expensive compare place go . I would also recommend Cellini Italian Restaurant across road hotel - great food service good value - two course good bottle wine two $ 100.overall fab time New York Hotel - definatley go back definatley stay Elysee . 
 Dec 30 2006 	 New Home New York City 	 stay Elysee 's sister property Casablanca June really liked decide try Elysee location midtown . go quick 48 hour trip LA NYC e - mail hotel ahead time request room back hotel ' m light sleeper , trip short really hope would able accommodate . book deluxe king room . checking tell upgrade one bedroom suite back hotel . feel like reach across counter plant one nice young man ! escort suite absolutely giddy delight never happen . suite spectacular ! living room large NYC standard plasma tv armoire . bedroom equally large spacious bathroom do marble . wish stay long 48 hour . the complimentary breakfast deliver room $ 5 . call request service morning bring immediately consist large pot coffee , bagel , fruit . tip deliveryman dig ! could not believe incredible service get . wine cheese evening generous relaxing . free wi - fi room also much appreciate . what set Elysee apart staff . request inquiry meet professional response . hotel boutique style intimate staff address first name basis , make feel like home . travel NYC quite bit business pleasure try , new home away home . abundant complimentary breakfast , wine cheese free wi - fi make Elysee great value . , cheap , NYC ? add complimentary service fantastic staff Elysee simply can not beat . thank everyone make stay effortless . wish could stay suite week ! 
 Dec 5 2006 	 love Elysee 	 warm cozy hotel , great midtown location , without crowd noise big hotel . room immaculate beautifully appoint . staff friendly courteous . be always first choice need stay New York . 
 Nov 26 2006 	 impressed 	 excited read wonderful review Trip Advisor ... okay . like quaintness though , room lovely . , bathroom clean - hair sink tub upon arrival - quite small . never think would care room peephole door buzzer room either side we loud , think someone door several time open door find out . staff friendly helpful . breakfast good . great location think great value . 
 Nov 18 2006 	 ok Value Price 	 wife stay Hotel Elysee three night November long weekend . would agree another review say hotel great value money . here high low point : high point : - wine cheese receptption 5 - 8 weekday night nice good cheese selection good wine champagne- continental breakfast great fruit , wonderful pastry , juice , coffee great staff- location fairly convenient places- good service throughout prompt attention request ( like print boarding pass , etc ) - clean throughout- good quality sheet towels- great shower water pressure- package deliver hotel promptly deliver . low point : - bathroom extremely small vanity place belonging toilet close wall , actually hard use . end use closed toilet lid place belongings- may say furniture & quot ; vintage & quot ; & quot ; charming . & quot ; call old well worn . - one elevator extremely slow- room face street window leak , hear wind , noise , etc . night- A / C unit not exactly quiet cycle throughout night- wait 5 minute get hot water morning- coffeemaker , peephole , morning paper mention previous reviewso , , look small hotel , great service , nightly wine hour breakfast , can not beat . value large , new room bathroom space , may dissappointe . 
 Nov 16 2006 	 great small hotel 	 stay Hotel Elysee quite chance . book Casblanca ( small , sister hotel Times Square ) wrong date ! concierge promptly start call get room Elysee . location great ( although party attend Times Square , hence first choice Casablanca ) hotel lovely . believe room recently renovovate . noise street even though room 54th . bathroom clean nicely decorate . clubby , library - style lounge second floor complimentary continental breakfast available ( wine & amp ; cheese later day coffee day ) . hotel small room large NYC standard ; small seating area well double bed . staff friendly obtrusive . definitely stay . 
 Nov 13 2006 	 Fantastic Hotel 	 stay Elysee 3 night . hotel central major sight shopping street . arrive put 3rd floor front . room lovely noisy do not get sleep night . complain move , without fuss , 6th floor back . difference . room lovely spacious quiet . breakfast lovely wine cheese evening . would recommend hotel anyone could guarantee room back hotel . 
 Nov 8 2006 	 favorite hotel NYC ! ! ! 	 travel lot accommodate , professional staff ever experience ! room immaculate quiet . can not recommend enough . tell everyone know Elysee well good , be say lot avid traveler . 
 Oct 23 2006 	 good value 	 choose hotel good review Tripadvisor . true location excellent staff quite nice . , certain quaintness stay 99 room hotel NY . , $ 425 per night basic room , value . let explain . no disrespect european friend review site , american expectation proper hotel room quite different : room must quiet , bed superb , room spacious . first , coffee maker room ? continental breakfast free library , be try force pay product . darn inconvenient get dress , go library fill cup hoof back room cup hand . whatever happen free morning paper door ? 50 cent much hotel spend NY time ? one last dinosaur like read paper morning ? hotel old , listen air conditioning unit window start shut night long ( like Motel 6 ) . ( date hotel unit vent room overhead compressor locate elsewhere . ) room back , overlook air shaft . interested view , quiet . however , 24 hour low roar rooftop mechanical unit we . window proper , double - glaze soundproof window , would problem . , not . our room 92 full length mirror ( wife like kind thing ) , peephole door ( see buzz outside ) , , counter space bathroom . stay hotel like Europe , would think , & quot ; charming & quot ; . $ 425 per night one competitive hotel market world , not meet New York standard price level . 
 Oct 19 2006 	 Friendly Personal Atmosphere 	 stay NYC hotel find one good . spacious quiet room , wonderful breakfast friendliness staff guest . sometimes wait lift peak breakfast time never long . room vary low face street noisy problem . definitely return . 
 Oct 18 2006 	 enjoy stay 	 yes , everything ' ve read spot - on . add place book far advance , thank part endorsement . Stayed Elysee hotel many time past . wife return recently wedding enjoy stay usual . hotel beautiful peaceful , refined atmospheric . want quiet , intimate setting , real feel old - style glamour place stay . breakfast perfect . think missed time italian wine use serve . even though little disappointed , enjoy stay . 
 Oct 10 2006 	 Nice hotel ... 	 first , love location . hotel locate nice side street minute lot action . folk front desk nice . hotel small quaint . room locate 15 floor not experience long delay elevator . room small , although clean . bed comfortable . pro : Wine 5 - 8 2nd floor great . location great room clean comfy . breakfast goodcon : 400 + per night , feel bit expensive 
 Sep 24 2006 	 nice would try elsewhere next time . 	 find Elysee european other . starter , nobody speak French . british feel . one & quot ; pantry & quot ; room ( 604 ) . wierd , meander hallway small wet bar , microwave fridge way decently sized bedroom . good king bed , definitely great . standard sheet . Gilchrest Soames toiletry . choice high - end would except price . breakfast nice , especially guest around read paper . table sofas , comfortable . coffee pretty bad , ask receive complimentary cappucino ( doppio ) . bottom line upwards $ 400 . night , ai not worth . would less . 
 Sep 8 2006 	 new favorite hotel NY 	 great hotel ! large room ny . good A / c . quiet . marble bath , hallway wet bar . spotless . Maids disturb sign door . not eat breakfast hubby say great . great location . fine linen , good amenite , firm comfy bed . like well Casablanca , Michelangelo , Algonquin ( tiny room ) , Lucerne other ' ve stay exception St. Regis twice price maybe Lowell ( also twice price ) definitely stay . 
 Sep 3 2006 	 hide gem center Manhattan 	 love small european hotel rarely see anything similar United States . could swear Paris middle New York . hotel ooze charm , breakfast incredible , stafff friendly helpful price right ! 
 Sep 1 2006 	 fabulous 	 return 3 night stay hotel elysee .. fabulous hotel ! ! hotel gorgoeus , room charming .. marble bathroom right .. think back paris ! ! hotel staff uniformly pleasant helpfull ... always cheerful attitude .. travel alone & quot ; mature & quot ; lady really appreciate ! ! treat breakfast & quot ; wine cheese & quot ; deligtful atmosphere ! ! sum , hotel new york ! ! hesitate tell everyone gem .. would rather keep secret ! ! ! ! ! ! 
 Aug 22 2006 	 Great Hotel 	 back hotel staying week . hotel , room bathroom absoutely spotless . room mini refridgerator mini bar bed comfortable big . breakfast fill 's include room rate . afternoon also nice meet chat complimentary cheese & amp ; wine . staff friendly . problem elevator slow get . location hotel brillant , 2 block 5th Ave 's glory street Central Park . restaurant hotel excellent , great steak Monkey Bar lively every night . would defiantely stay Hotel Elysee return next . 
 Aug 21 2006 	 love bed ! 	 book stay two night base previous positive review Hotel Elysee . disappoint . love ' marshmallow creme ' comfortable bed sleep great . nice small frig room think size sleeping area bathroom fine . like good size soap shower , Gilchrist & amp ; Soames brand nice . think front desk staff extremely reserve , really not approach info ( restaurant recommendation , etc . ) not seem open . really like continental breakfast - huge bowl delicious cut fruit really jazzed pastry , cereal etc . choice . want bagel toast , ask one staff , also , one morning offer cappucino nice touch . lovely quiet hotel great location . 
 Aug 8 2006 	 old world elegance without kill pocket book 	 hot NYC open car door , feel like stand front blast furnace , cool air hotel 's lobby wrap comfort arm around , start smile . hotel great , combine old world elegance expect find NYC , extra value upscale hotel soak . park 24 hrs $ 25.00 $ 45.00 , wireless internet free $ 10.00 per day , wonderful continental breakfast include : fresh fruit , bagel bake good , cereal , hard boil egg , coffee , fresh juice , tea . bathroom marble , room furnishing elegant topped crystal chandlier . elevator tad slow , hey nothing perfect , . one problem drain shower not work well , fix promptly . chamber maids front desk staff considerate , helpful . location wonderful , two block 5th Ave , several incredible restaurant , 2 block & quot ; 6 & quot ; train , 3 block new moma . hotel simply build , people right management make work , hotel get right stuff . 
 Aug 6 2006 	 Unbelievable 	 return three night stay Elysee . could BETTER . nine lady every single one we felt make right choice . meeting morning second flour lounge terrific . could set approximate time meet would able enjoy good continental breakfest ever . fresh word day . could get well . yes . wine cheese hour spectacular . walk day , theater , love meeting . also love location . make one comment , would carpet suite replace . however , carpet , husband stay next trip . 
 Aug 4 2006 	 really nice boutique hotel 	 recently stay 6 night honestly say be one real thing complain hotel . bar another story ! ! great service noisy . actually see couple wait pay bill getting ignore leave bill hand angry ! hotel small quiet . room 12th floor hard hear traffic street . room nice , mostly antique type furnishing clean . bathroom small fan , 's minor quibble . least could open window air . breakfast pretty good . evening wine cheese nice - they even champagne ! never deal much front desk staff seem friendly efficient enough . love second story breakfast / wine cheese room could sit window see street people watch . think could sit day . quaint elegant hotel . really love . hope come back next year , hopefully will not another record heat wave ! 
 Jul 28 2006 	 another bullseye Tripadvisor ! 	 pick hotel 4 night stay Manhattan July rave review Tripadvisor . disappoint . positive feature : great location midtown Manhattan ; helpful staff ; complimentary buffet breakfast free newspaper ; large bedroom New York ; complimentary drink nibble Club Room 5 pm 8 pm Monday Friday ; room rate reasonably price . negative feature : one rather slow elevator ; bedroom somewhat dark dingy . these minor gripe . highly recommend place would certainly stay . 
 Jul 7 2006 	 Discovery Manhattan Treasure 	 moment step vestibule utterly charming Europeran style boutique hotel , know make perfect decision . usual hotel completely full , thus force try something new . much research , little apprehension , settle ' unknown we ' Hotel Elysee . can not begin tell , happy outcome decision . Hotel Elysee first choice destination visit New York . pleasingly congenial intelligent front desk staff , elegant yet understate tasteful decor , wonderfully comfortable bed luxurious pillow , room 's rejuvinating sit area fireplace , kind accomodate housekeeping personnel -- hotel deliver everything guest could wish . not forget mention two complimentary bottle water delicious chocolate bar wait we enter spacious well appoint room , savory thoroughly satisfy complimentary wine , cheese , cracker , fruit provide evening , tasty ' gratis ' european breakfast serve every morning , unlimited provision coffee , tea , fruit cookie make readily availablle times beautiful sit area . perhaps importantly , treat high level care friendly efficient staff ever experience NYC . hotel gem every way ! unforgettable home away home ! 
 Jun 30 2006 	 Special Place 	 security industry professional , travel NYC thirty year . fortunately , ten year ago , discover Hotel Elysee . remarkable warm , inviting & quot ; home away home & quot ; significantly alter individual 's travel disposition . other write great location , charming parlour second floor , complementary breakfast , nicely appoint clean room , charge room wireless , intimate ambiance overall outstanding value Elysee etc . -- true , set hotel apart friendly professionalism staff ... start Hotel Manager John Avina . John & quot ; gets & quot ; customer service impart philosophy effectively entire Elysee team . stay another hotel Manhattan even attend conference different hotel entirety business center downtown . family join Elysee fan club always look forward arrive New York home . quite simply , Elysee experience soften intimidation factor associate New York give neighborhood feel . finally , find exercise important , Elysee relationship first class health club chain block away . facility dwarf even good hotel fitness center term variety state art relevance ... , , additional charge . elysee many thing ... importantly , wonderful hotel family 's home away home ! 
 Jun 12 2006 	 Kind Disappointing 	 prepare love Elysee reading review , unfortunately experience not quite good . pro : location great , room nice ( large compare other ' ve New York ) , shower great breakfast free internet definitely appreciate . major con : elevator , several time take long reach we full finally , force walk stair many time - hassle normally definitely hassle 5 - month - old baby stroller . beyond , problem hotel staff always seem bare minimum never go beyond . one example many : check , bellman trouble one room key . get work though , forget two day later accidentally grab bad keycard go breakfast subsequently get locked room . would nice follow immediately replace bad key . also get all - time bad restaurant recommendation front desk . love discover new restaurant different part town rely hotel guidance . time turn great . however , request Elysee nearby restaurant good food ( not matter 5 - star hole wall ) someplace appropriate 5 - month - old . send we Brasserie 53rd . bad , bad , bad ! stroller - friendly , food presentation substance , bad take hour get food - 15 minute long good baby willing remain quiet . $ 140 mediocre meal bad service , actually still hungry left . probably stay Elysee next time , since would love finally settle favorite NYC hotel lot go . however , would hope well ( personalize ) customer service next time . past month ' ve pay roughly $ 325 / night Loews Vanderbilt Nashville Mauna Lani Hawaii , amazing staff Elysee really pale comparison ( maybe fair compare , much money expect ) . 
 Jun 8 2006 	 hotel like hime 	 hotel elysee comfort home . wife stay many time . every room unique comfortable . second floor lounge great , especially breakfast evening . find well hotel anywhere . staff good ! ! 
 Jun 5 2006 	 New York Hospitality 	 warmly welcome elegant Hotel Elysee , conveniently locate 54th Park . Elysee could make well base see site minute Central Park , moma host NY attraction . staff friendly helpful ( offer indeed make dinner reservation we , example ) , accommodation pleasant capacious ( dress chamber reasonably price room ) stay & quot ; home & quot ; almost enjoyable venture fabulous playground metropolis . hotel boast nice candle - light bar frequent nearby office worker uninspire entirely adequate restaurant . 
 Jun 2 2006 	 great hotel 	 great location . nice staff . fact complimentary breakfast strong point hotel since place be around 20 $ per person . complimentary cookie tea / coffee available day wine / cheese / cracker 5 pm 8 pm every week day . beautiful breakfast - tea room . 's computer internet access also wifi access room ( free ) . room bathroom nice ( see picture room , number 77 ) , clean . problem mattress firm need replacement . despite New York 's noisy reputation disturb night ( 7th floor ) . 
 May 24 2006 	 Great Value Money 	 love Hotel Elysee . red eye flight get NYC bright early . front desk offer store luggage we ask we go 2nd floor breakfast . breakfast great ... bagel , muffin , scone , various tea coffee choose . hotel small compare typical hotel chain find great . elegant remind nice english hotel feel decor . bathroom clean update modern facility one would expect . marble floor great , shower easy use navigate , water pressure awesome . second day , not realize hotel stop serve breakfast go anyway find nice accommodate woman clean . offer make tray us room bagel , fruit , muffin etc . truly amazing service consideration . afternoon downtime , hotel offer biscuit cracker fruit coffee tea . certain time , 's wine serve various cheese bread / cracker . truly great value money spend hotel . location great . walk distance lot place cab hard find NYC . walk nice dinner , walk theater , walk catch subway . would definitely stay visit NYC . 
 May 22 2006 	 Elysee gem ! 	 Hotel Eylsee wonderful ! return week one deluxe ( standard ) room , good size well furnish ( sized chair room ) . 2nd floor lounge terrific . extra amenity include - continental breakfast ( include hard boil egg ! ) ; day beverage , cookie fruit ; wine ( include prosecca ) cheese evening , make civilized welcome relief usual no - frill hotel offering . feel pamper ! location perfect - quiet enough still within walk distance theater ( rainy time cab disappear ! ) . wireless internet access every room -- - public pc 2nd floor . hotel definitely gem ! 
 may 9 2006 	 real gem 	 want sample New York style , be well place Hotel Elysee , 60 e 54th Street . situated right Madison Park Avenues , traditional hotel offer good value accommodation NY . could not well place , could not well run . give try , disappointed . 
 Mar 29 2006 	 Group Trip Success 	 stay Elysee four night March group ten friend . we feel surrounding safe , comfortable well locate . complimentary breakfast snack Club Room excellent good value . room also good place we meet morning . hotel quiet , clean well maintain . staff member assist nice . I would definitely stay would recommend hotel future stay . 
 Mar 6 2006 	 Hotel Elysee : Excellent Value 	 wife spend two night last month . positive negative , whole enjoy hotel would stay again . first negative . get excellent rate Quikbook ( $ 240.00 Sunday night ; $ 250.00 Monday night . although hotel full , desk staff rather curtly refuse give we room king size bed make reservation Quikbook . make customer feel like second class citizen avail program participate hardly good marketing . front desk staff whole would benefit reading & quot ; make Friends Influence People & quot ; ; rude curt . name hotel encourage French - inspire officiousness ? room nice , slightly tattered . bed iron frame make uncomfortable sit we . chair sit area scuff wear . chest drawer scratch . now positive . location terrific . mid - town , location Madison Park quite upscale somewhat quieter point west . breakfast fantastic ; well freebie ever . attendant one nice ever encounter . probably one low pay employee hotel , good art hospitality . freebie also welcome . attend wine cheese ; however , free pass New York Sports Club great . bottled water chocolate nice touch . modest room , include small sitting area . bathroom spotless marble . hotel charmingly old - fashioned air . Phillip Stark o.k . , enjoy mural wall even elevator . place sense elegance early time . tweak could place could world class . 
 Feb 20 2006 	 nice hotel 	 stay 3 night Hotel Elysee . room spacious beautiful . 12th floor never hear anyone , although one night hear garbage truck pick outside . breakfast nice consist pastry , muffin , scone , lot bread choice yummy jelly . also several cereal , prune , hard boil egg . big bowl good mixed fruit , yogurt , pack instant oatmeal . also several kind juice , 3 type good coffee syrup , many tea choice . thoroughly enjoy club room throughout day night also , stop activity . newspaper , pc internet , piano tv small attached room always . always fresh coffee , tea little cookie . staff pleasant helpful . great location . would definitely stay . 
 Feb 16 2006 	 Cozy charming convenient 	 pleasant stay Elysee busy time NYC - right middle huge fashion trade show , Westminster Kennel Club dog show day big snowstorm modern city history . Elysee quiet , less - busy 54th Street within walk distance Park Ave . , Fifth Ave . , Rockefeller Center , shopping , etc . room , french decor , crystal chandelier old - world furnishing , one four entire floor ( 15th ) , quiet - like gracious apartment building . housekeeping excellent . bed comfortable . two ( minor ) thing , however , concern bathroom . lovely ( black white marble ) spotless , water pressure shower sink uneven . big deal , know issue TripAdvisor member . may something top floor old building , know . plenty hot water , however . also , pedestal sink pretty look , offer vanity space store thing . ' m guy live travel kit , not big inconvenience , might woman traveler cosmetic , perfume , etc . still , minor quibble . would happy return Elysee . breakfast Club Room nice touch , Monkey Bar lively , happen spot otherwise sedate , peaceful hotel ( good food drink , ) . check Bill be across street Cinquanta italian restaurant four block away 50th St. alternate place go . be also decent wine shop across street hotel . highly recommend Elysee . 
 Feb 12 2006 	 wonderful hotel ; great location 	 book anniversary weekend Hotel Elysee base review read TripAdvisor . extremely pleased service , room , ambience , amenity . everything hotel wonderful -- room large comfortable ; continental breakfast ( include room rate ) excellent , appetizer wine afternoon also real treat . the location convenient lot place want visit walk . gem hotel , reasonably price get . highly recommend . 
 Jan 24 2006 	 Old World Elegance Big Apple 	 wife spend fabulously romantic weekend right Christmas treat wonderfully . Elysee feel hotel 1950 , everything feel new well maintain time . sure take part continental breakfast second floor , comfortable couch chair , delicious eat plenty newspaper book . be go Broadway play , be convenient right walking distance . dinner Monkey Bar -- retro decor , half expect Frank Ava walk arm arm . drink old - school tavern Bill 's 90 Piano Bar right across street . highly recommend ! 
 Jan 18 2006 	 Absolutey exquisite hide - away ! ! 	 never stay anywhere else go New York City ! ! yes , first time city never sleep thrilled manage choose stay fabulous hotel . every single member staff always times attentive , forthcoming helpful . whole attitude well selling point hotel ! room good size , important since stay 10 night holiday season ( Xmas 2005 Jan. 2006 ) . furniture high quality stylish . bathroom adequate size , nicely smell soap toiletry , bathrobe soft turkish cotton . really good . our room look street yes , weekday get noise . , since come city not bother we . however , would recommend ask room back build use level street noise . the complimentary breakfast much large selection offering would expect could keep go day . coffee tea remain available whole day 5 pm also offer selection cheese wine ( champagne ) . nice touch , cozy comfortable room , not run back hotel every day ' to take advantage ' this . personally would try time stay little gem , compare price ! not exactly come cheap , get much ' good value ' pay . the downside opinion , need leave area fair choice restaurant . place around hotel inspire opinion . catch metro head village restaurant ' row choice much well . be still close enough , necessarily ' walkable' . anyway , MISS staying ! ! ! 
 Jan 5 2006 	 Charming Hotel 	 stay Elysee 12/29/05 - 1/2/06 find hotel , room , staff everything expect . solarium room 7th floor extremly quiet ( great extensive amount club slept day ) staff extremely professional meet need . would definitly recomme Elysee . 
 Jan 3 2006 	 Elysee downtown Manhattan Best 	 return 4 - day stay Hotel Elysee downtown Manhattan . great stay . the staff fantastic accommodate . 's central location great make get around city easy , especially us non - city folk ! continental breakfast great evening wine cheese great add touch . 
 Dec 29 2005 	 Elysee wonderful ! 	 use Trip Advisor faithfully plan vacation would say several day spend NYC first leg honeymoon research ' ve do trip . NYC forum Trip Advisor amazing local expert helpful . by recommendation local expert choose Hotel Elysee location honeymoon stay . 's perfect location East Midtown ( 54th park madison ) quaint boutique style hotel . look for . the room adequate size , bathroom small ok two people . 15th floor far away street noise , 54th typically small , quieter street other around . like historical location homey room feel Elysee room . take advantage extra mini refridgerator room stock soda , water snack convenient deli / store across street . we LOVED staff . wonderful helpful especially Kevin . extra ammenity continental breakfast wine cheese evening great comfortable , cozy room . also like use internet contact kid go . convenience walk cental park , 5th avenue , Time Square Theatre district beat . definitely make trip back Elysee . love highly recommend hotel . 
 Dec 8 2005 	 wonderful Weekend Getaway 	 stay Elysee weekend late July . fabulous weekend ! hotel staff friendly accomidate . love coctail hour Friday evening . room immaculate atmosphere warm . would highly recomme hotel plan weekend big city . 
