Great 	 great hotel . stay room 609 spacious . friendly staff , large room easy access central london ( 25mins tube ) . room hotel could facelift , comfort quality would stay . get good price online book early . stay many London hotel cramp room rude staff professional place 
 stay room food awful ! ! ! ! 	 partner stayed weekend go think hotel nice . room need date , old fashioned furniture style . first be not bother went breakfast food terrible . scramble egg runny , veggy option good good choice food could get . tea coffee cold fruit fresh ! ! ! ! would recomme stay ! ! ! 
 Feb 5 2007 	 tired hot shabby . 	 partner stay 4 night Toy Fair , lucky stay one night . air con work room constant 22.5 degree . bed hard lumpy sheet threadbare . the light dull grey . the service dreadful , look half sleep feel though put . breakfast good experience , tea coffee offer , go find yourself . the redeem feature location . there hotel . go here . dreadful . 
 Jan 14 2007 	 Dobule book 	 Booked Britannia International Alpharooms.com 3 month advance pay front . receive voucher e - mail correspondence . arrive due date due time , tell room Inn ! apparently , time booking ( September ) system double booking occur ! 3 month advance remember correspondence . send we hotel , & quot ; standard ( 4 * ) & quot ; , pool , & quot ; would make nice we & quot ; . hotel Britannia Hampstead . 4 * , would push give 3 * . receive bottle wine & quot ; make nice & quot ; , nice ! room smoking room - request we ! smell corridor bad , even bad room ! stain carpet , wardrobe door , lamp work , old , old furniture , fray bedspread - duvet , campbe child sag middle , view Thames book ! view condensation window , complete mildew . we people move , speak people breakfast , show move arrive 9.00am tell room ready go shopping day , would ready get back ! arrive back evening discover room , doubled book ! ! ! arrive International , , busy people wear badge , clearly conference take place hotel , believe take booking . International clearly think okay lose booking conference - probably lot money ! never book Britannia Alpharooms . we think would take alpharoom get home book pay advance . however , not accept responsibility . take hotel time ! totally spoil weekend . 
 Dec 15 2006 	 mediocre least A / c 	 stay client meeting Canary Wharf 2 day , think would convenient . , stay pretty mediocre , sure worth it . the hotel swarm guest arrive , wait 30 minute line get check in . my room large , old carpet , worn sheet / comforter , furniture good 30 year old . on positive side , get good rate ( think due location ) , pizza restaurant make good pizza dinner . otherwise kind disappointment . also , stay August hot , thankful A / C . guess count something ... 
 Dec 11 2006 	 poor experience 	 stay commence 20th October 200625minute get check , electronic guest room door key function , therefore return reception 20 minute wait , leave family wait corridor . many staff surly attitude , wait staff appear lack personal hygiene , ' not pleasant experience one eat hotel restaurant' . some bedroom bathroom fitting break , poorly maintain shower head result flood bathroom floor . we become aware swim pool order go use confront handwritten note hang stair , explain use would time . I advise friend family consider hotel , advertised time four star hotel , stay far well three star hotel . 
 Nov 27 2006 	 complete disaster 	 not bother book . hotel overbook routinely mean pre - pay room count nothing . service appalling . fail offer satisfactory alternative accommodation . disgrutled customer fight bar . opinion , avoid cost . advise ...... 
 Nov 14 2006 	 place need get time . 	 stay conjunction seminar place work organise city . many free room London time , hence stay . hotel seem unsure identity modern outside chintzy inside . room well average . room , double jacuzzi , turn two twin bed put together . get problem take three attempt get room room key not work . speak staff problem , get duty manager & quot ; can not help speak colleague there . & quot ; overall experience hotel seem sum wrong Britannia chain . seem plod along hotels area seem evolve time . refurbishment option place , benefit customer . 's brand new Hilton along road place , will probably use future ( ' m sure will not wake constant rumble DLR train ) . 
 Nov 1 2006 	 sure fuss 	 stay 4 night , go read report Tripadvisor , therefore expect horror stay . check smooth , room spacious , breakfast good , plenty choice , room clean every day change towel want . slight downside twin bed little small slightly uncomfortable . yes pool shut , hotel maintenance time . easy get either Canary Wharf Tube South Quay DLR ( near station ) . 
 Oct 30 2006 	 stick 	 room : suppose ready 2 pm request non smoking room case . room date give impression not clean . double room consist two single bed push together . Keycard work properly involve numerous visit reception . all reception staff appear trainee . breakfast poor , fruit can fruit & quot ; English breakfast & quot ; look terrible . I stay business purpose short distance London City airport 5 minute walk Canary Wharf . good thing hotel . 
 Oct 23 2006 	 pool even open ! ! ! 	 book see people 's review . contact hotel make sure booking recieve . day later confirm . send email confirm , also ask pool open ( one review say ) tell probably would not - think awful , book tell , not 
 Oct 23 2006 	 Book elsewhere . anywhere 	 stay business trip foolishly believe ad lastminute.com . fly Australia , look forward bit comfort London . place something else , take 30 min check , whcih largely consist gormless look young girl , constantly press key keyboard . room remarkably kitsch naval feel not think clean since Francis Drake 's time . room jacuzzi alas . try , 5 min water run . look back 's quite amusing , time 's though especially pay good money privilege . hotel feel neglect lack customer care . believe review misleading . favour book somewhere else . due stay fortnight , check 4 arduos day book nice hotel couple minute away . 
 Oct 8 2006 	 Book elsewhere 	 without doubt , bad hotel ever misfortune stay . room absolute disgrace , wallpaper peeling , furniture shabby double room consist two ( uncomfortable ) single bed place together . this hotel require serious make , allow advertise current manner 
 Oct 4 2006 	 tired shabby 	 stay Britannia 4 night late September 06 , take advantage special offer room rate . word go happy experience . late arrival 1 am find queue check ' new booking system implement ' accord sign desk receptionist clearly ' know use properly ( maybe adequate staff training need ? ) one member staff desk although several other could see lurk room behind reception . take 45 m get room . however get free upgrade ' executive ' room . hotel general tatty urgent need complete refurbishment – lot peel wallpaper , hole wall , chip floor tile , wear carpet , chip faded paint etc . room big tatty like rest hotel , door key ( swipe card ) ' work properly , security lock break , loose floor tile bathroom , bath fitting plating polish away , overlook light railway run near hotel ( 5 am train noise – great ! ) room change front side hotel solve noise problem tatty décor faulty door swipe card fail work properly duration stay . bill " continental breakfast " include poor insult , serve breakfast room ambience prison waiting room one waiter , table counter dirty . take one breakfast unfortunate get book hotel nice deli road step opposite front hotel ( open weekend lot food place nearby Canary Wharf ) . summary – suggest ' stay . plus side , plenty free newspaper provide . 
 Oct 3 2006 	 good place stay 	 London fully book last week end dockland . hotel 5 minute walk canary wharf station , reception good trainee confused explain actually book none smoking room . thankfully supervisor take control upgrade penthouse room , little date view fantastic . Breakfast awful , feel work canteen want escape , top food cold appetize all . I stay two day visit bar day , like breakfast room invite stock level poor / none existent . do not ask slim line tonic ... whole do not want go back , really pleasant stay ... 
 Sep 30 2006 	 Staff Friendly 	 read review go prepared go review say . the front desk staff desparately need customer service class . check process takes forever disappear behind door constantly stand sure , ever come back . great feeling . when check , make sure tell leave card open phone call , breakfast etc . idea charge hotel nothing else , can not make phone call go way downstairs , wait line straighten out . the breakfast expensive , get elsewhere , . coffee pretty bad . the big thing consierge never answer phone maid take big pile belonging cause thought check room leave . luggage lose would not come till next day . take 6 full day straighten out . the pool repair stay bummer . the bright spot bar . friendly staff , could well selection beer though . I ' m stay Mariott Canary Wharf next time . 
 Sep 16 2006 	 keep away 	 arrive reservation tell record bluntly tell go away could help . thankfully able find alternative hotel quite quickly ( internet great really need shudder think would happen late night ) next day contact people reservation give copy confirmation hotel . day get short e - mail apology Brittania promise free upgrade next time . WARNED 
 Sep 11 2006 	 hotel Character misunderstood 	 stay hotel august september work hard day like business man look forward get back hotel hit bar get back normality . stay many hotel bar always quite solom feel bar lively group guest enjoy friendly bar staff talk sport travel nice personal touch hotel lack.i remember check bad flight delay usual add security measure get hotel wary 's rep surprise taxi door open see see badge head concierge refreshing see manager lead example bring bag reception desk introduce receptionist young lady check smile flight well needed.went room find even though room not modern decor functional comfortable . unpacked thought would see bit london go lobby via one three lift meet well suited gentleman ask ignore think another guest turn chap manager assist information require concierge busy.without drag stay refreshing say least . staff friendly expecially front office team bar staff . can not comment breakfast ' m always 6am.i would suggest wth hotel would take everything pinch salt everyone taste different would stay give chance . 
 Aug 18 2006 	 2nd time unlicky 	 stay hotel June 2006 - arrive 2 am , long , delay flight tell room available move another hotel . finally get 2nd hotel ( far Canary Wharf ) 3.30am . I return second night stay upgrade suite , pleasant surprise . because , decide give hotel second last month . time even worse - give room , although ' non - smoke ' smell strongly smoke . bed incredibly uncomfortable food horrible ( cover plate boiling soup clingfilm melt soup ..... ) . call ask could move well room , not smell , tell good could open window - fail return close ask sleep window open 11 degree outside overnight . just not ruin holiday stay ! 
 Aug 17 2006 	 good value London good hotel 	 book hotel back ( get good deal Britannia hotel website ) , read review site rather worried stay seem lot negative comment leave hotel . I return 3 day stay Britannia International honestly could find fault hotel 's staff . hotel claim 4 star , truth probably like 3 star get cheap deal website hotel offer fantastic value money . room 12th floor ( top ) lovely view Canary Wharf tower . room large ( compare central London hotel ) , large bathroom comfortable bed . decor room fine , may cut edge design room practical perfectly clean , rest hotel might add . the meal take hotel breakfast , fine lot choice offer . staff speak helpful , friendly efficient . opinion hotel great location far enough away central London get away crowd yet within easy reach . Canary Wharf tube station ( Jubilee line ) South Quay dlr station within minute walk central London 20 minute . Canary Wharf area also lot offer large underground shopping mall good selection bar & amp ; restaurant nearby . to honest not think hotel deserve low rating , assume traveller bad experience . think hotel excellent value money would recommend anyone look good value London hotel 
 Aug 17 2006 	 bad hotel 	 catalogue problem deal hotel say strongly enough no - one ever enter hotel let alone pay money stay it . I get marry 5 August 2006 hotel book husband first night . negotiate discount rate relative fly wed hopeful room service would top notch . prior wedding spend several hour correct major mistake reservation make regard booking make family . reservation department get every boo wrong , one example book mother 3 night 3 room . bear mind mother live London book one night , one room ! wedding day brother unable check we , despite tell could contact ( Travel Trade Manager ) . & quot ; lady & quot ; reservation tell leave wedding reception ( Corney & amp ; Barrow - Cabot Square ) , walk dress , check , walk back wedding reception ! brother want arrange flower champagne put room not . told & quot ; lady & quot ; reservation book mother - booking night 3 August ! not book mother fully book . deal phone call mid - way wedding reception understandably get upset . & quot ; lady & quot ; reception tell & quot ; continued talk way would hang ! & quot ; make matter worse , get hotel wedding reception meet another bride groom , bride tear . book room back March find twin room wedding night ! believe get well deal end though transfer Marriott . bar not open tell would effort find alternative accommodation mother make wedding night , mother spend night room - romantic first night would not say ? ! get room shabby , big chunk wood take furniture ( look like dog bite ! ) , staff rude could speak little English , food breakfast cook , cleaner leave glove clothe , list go . Monday take go personal email prove make almighty muck even not really get satisfactory outcome . manage get money charge mother 's room refund get room 2 night free . compensation ruin wedding night , sorry , even token bottle champagne - nothing ! implore never , ever stay shoddy , shabby hotel - bad hotel ever stay definitely bad customer service ever receive . inmidst make complaint funnily enough - still wait reply ! 
 Aug 11 2006 	 Nice hotel near Excel 	 hotel close excel ideal trade show . big hotel great facility need city . location fine close Docklands Railway transport . restaurant nice hotel would like thank staff pleasant stay help late night taxi ! cheer . 
 Aug 7 2006 	 absolutely terrible 	 book room one night , ask double bed . get free upgrade ( ? ! ) turn two single bed push together ! , upgrade worth anything , except lot floor space . BEDS poor , hard , could feel spring squeaky . duvet , horrible old itchy 10 year old blanket clean sheet ( plus point ) . bathroom adequate , barely . poor shower . ask bottle wine bar one white , pinot grigio . go restaurant get bottle something different pay extra get deliver room , much later . we could not bear even try breakfast , go walk get . see queue full tourist , early would wait 40 min 0730 Sat morning ! acceptable . , terrible night stay business . , would look Marriot Hilton nearby pay extra . 
 Jul 28 2006 	 ' ve write early 	 see bad thing hotel , 2004 stay nice . price get excellent London . feel like 4 star hotel . 's water , view nice . room clean spacious . breakfast good . not eat dinner . 's close rail system get attraction . ' m guess bad review people never happy . underground station hotel , underground mall . nice . 
 Jul 19 2006 	 not stay ... 	 without doubt hotel bad service ever experience . on arrival 4.05 pm 2 colleague informed room cancel resold not arrive 4 pm . nowhere documentation state requirement . receptionist gormless extreme finally call duty manager make Basil Fawlty seem like reasonable person . explain not hotel 's responsability would try find alternative accomadation we basically tough . eventaully 2 half hour arrive , manage secure twin triple room share . something work hard achieve duty manager insist room available ' twin room get let tour group ' not check talk we say standard hotel practice - travel around World confirm ' normal ' hotel cancel book customer not arrive 4 pm , especially without give customer warning might that . the room hot ( aircon ineffective ) , dirty small . the bad service continue concierge send we completely wrong direction ' nearby restaurant ' room service turn breakfast order 6.45am request demand cash breakfast . roomservice argue we could not put bill oto room ( even though credit card number ) proceed barge room pick telephone talk reception handing phone we say would need speak they . I honestly never stay anywhere terrible service would implore anyone think might good place stay think . 's terrible place need renovation without slight understanding customer service . not stay . 
 Jul 16 2006 	 awful stay 	 stay Britannia International one week June work Canary Wharf hotel available area . terrible stay . mattress bed incredibly uncomfortable - think could feel every spring . overall room decor incredibly ugly ( must least 6 clash pattern ) . clock room wake - up call service work two day . staff helpful explain problem . hotel generally shabby uncomfortable . food service well would expect supposedly 4 star hotel . gym small , old equipment , include price room . evacuation fire hotel ( yes real fire ! ) opportunity speak guest complain air conditioning work room ( heat wave London ) amongst problem . recommend . since stay hotel Central London unable find accomodation well hotel Canary Wharf . 
 Jun 22 2006 	 bad ever 	 stay hotel think four star accomodation hardly 2 star term quality room , service discurtious staff . really want pay punishment place ! otherwise really stick , sleep car hire tent do not go ! nothing bad place worst ! ! ! 
 Jun 19 2006 	 disappointing 	 wife due stay hotel three night check one . the reception staff speak limit english seem able handle vast amount tour group stay here . the room spacious fantastic vie Canary Wharf . mar delapidate state furnishing include mattress old spring poke back . try make outside phone call could not . front desk inform we need set account . complain convince tham give credit card detail check thay give we outside line . we park car underground parking garage tell 15 pound 24 hour . two hour take car go shopping . front desk tell pay parking two hour 2 pond per hour could take car . make sense , go time 24 hour could end cost 48 pound total . complain manager directly 15 minute heat conversation front desk give ticket saying would charge ! 5 pound total . even try make favour . I think sad way hotel like promote fact 4 star 2 star well . this hotel fall far expectation . we return hotel . 
 Jun 8 2006 	 Horrible 	 stay June conference therefore choice take offer accomodation . however , describe hotel ' hell hole ' serious need update . hotel might state art early 90 's past sell date ! ! room shabby , outdated musty . net curtain ( yes net curtain ! ! ) hole , carpet threadbare place decor ' chintzy ' . awoken early constant sound DLR rattle past window well man shout swear top voice 6 am morning ( warn wall thin ! ! ) Breakfast also dissapointment despite sign indicate guest wait seat , several staff completely ignore wait reception desk one even stand next swear loudly could unlock store cupbard . end walk table even offer option tea / coffee ! ! whilst choice continental full english average . like room , lunch evening meal also dubious dish taste like re - heat several time . result come home rather upset stomach ! plus side ( one plus ! ) room rather large spacious really compensate rest hotel . in term location , would choose stay Canary Wharf unless business would certainly never go back Britannia . area busy weekday plenty bar nice sit outside summer desert weekend therefore recommend tourist . 
 may 28 2006 	 great value internet price 	 go internet get direction hotel accidently come upon Trip Advisor . read review mostly appalling hotel somewhat apprehensive stay . time late cancel internet booking expect bad . pleasant surprise , staff extremely friendly helpful , room clean breakfast ( food consume ) absolutely fine . the thing agree hotel could uplift slightly date . I not qualm stay ! 
 May 25 2006 	 Rude Staff Stale Rooms Poor Food - could ask 	 look cheap alternative business travel canary wharf . place solution . 6 week stay 3 night week could not take . absolutely consistent- rude staff- iron room ( business travel ! ) - terrible food- non smoking room smell like astray- bed cover must never washed- v slow check / check out- painful decor- point program frequent guest ( main reason ' m go back ! ) fair - couple plus points- free wireless internet access ( first UK hotel ? ) - good location wharf ( 10 min main block ) - small fitness room pool . ( pay extra ) 
 may 23 2006 	 Kitch rude 	 decorator hotel fire , personel manager . room cause severe degree visual indigestion ever encounter . hugely mismatch floral fabric , tear , discoloured lace curtain , red blue patterene carpet , long over - use quilted beadspread , gold red armchair ... good keep sunglass . staff act through - out trap policy support . upon check - inn mention extras settle cash . minibar room , order bottle water room - service . arrive half hour later settle cash . serve mediocre breakfast buffet , leave restaurant , ask tell settle cash . reservation make one month advance Gold Card ... upon arrival midnight long flight , front office manager could retrieve book depite hold copy email confirm reservation ... overall , give hotel four star ? 
 May 18 2006 	 be get alternative ... 	 would like echo thought reviewer - hotel 4 star standard . hotel tired date , & quot ; red carpet & quot ; outside hotel , feel like staff entrance rather guest main entrance ! service slow checking , try charge full rate even though book cheap rate internet Euro 75.the room tidy furnishing tired . bathroom reasonable size not expect quality bathroom product . use hotel facility comment . upside , hotel well locate Canary Wharf main reason choose stay price . hotel also close Canary Wharf underground station . say , need stay Canary Wharf , definitely find well value money option elsewhere town , & quot ; feel good & quot ; factor . 
 May 13 2006 	 even 1 Star 	 hotel rate 4 star not . room horrible , old fashion , basic cold ! ! staff rude Manager advise wirte Head Office resolution .. Wrote Head office , Manager respond regurgetate letter reply say sorry , resolution offer , not happy . stay HOTEL ! ! poor quality price . Travelodge Liverpool street far well one 3 star much cheap ! ! 
 May 2 2006 	 even worth 1 star 	 choose hotel part business dinner , base star rating location central London . shocked be . the hotel 10 - minute walk canary Wharf many bar shop , well 5 minute walk South Quay Docklands Light Railway Station , link City rest Docklands area . even though 's 4 - star hotel , decor bulde incredibly date . maybe 4 - star 20 year ago , room dirty , furnishing throw year ago . on arrival staff , though efficient , not polite . head use pool experience . pool area dirty , change area look though not clean week help get key use locker . leave valuable side pool . floor sauna also litter rubbish . Disgusting . the rest hotel could well describe okay . room first floor dinner good view Docklands service staff pleasant enough . bar area afterwards lack sofas seat - many people stand . give miss . not even worth one star . 
 May 1 2006 	 stay one night would recommend 	 hotel easy find tube station also locate near shopping centre . bedroom window could see Millenium Dome ! ! read people 's review hotel use pool eat restaurant comment facility look hotel impress one . 
 Apr 25 2006 	 average hotel - good location dockland 	 stay one night london marathon . pre - book room discount website - check - in fast efficient . room large - look like re - furbish recently bathroom certainly not redecorate . everything work apart Air Con rubbish ( number review state ) eat restaurant point blank refuse spend £ 14 breakfast . location good , 5 minute walk Herons Quay dlr station - nice view London . fast , efficient checkout concierge service look bag ( charge £ 1 per item per day ) conclusion - decent hotel look dockland base trip . 
 Apr 24 2006 	 would return Britannia International 	 husband book hotel treat first wedding anniversary , paper hotel seem nice - especially 's location , practice complete let . hotel reception area nice true reflection rest hotel . room basic - could find luxury Travel Lodge - view bedroom window exceptional . staff speak extremely basic English really akward ask general question hotel facility direction - also really unhelpful . take we vintage bottle champagne want drink room actual wedding anniversary - begrudge we two champagne glass . weekend also hide charge not allow take towel room pool instead pay hire towel pool area , something never hear . pool area mould ceiling wire hang neither pleasant safe ' grunt ' ask change locker . breakfast fiasco . usually give instruction sit help buffett . recieve neither make sit dirty table expect use rest pot tea leave people we - make well aware inconvieniance cause ask fresh one . final straw arrive ask night one hour extention check time - surprisingly grant receptionist try charge we extra hour nobody write extention give . one save grace weekend location hotel - Canary Wharf fantastic place fantastic shopping / restaurant etc also really easy get central london - visit Wharf must . however , would not recommend stay Brittania International Hotel due exceptionally poor service accomodation much need face lift . 
 Apr 4 2006 	 get well deal London 	 Britannia International Hotel offer jacuzzi room , carvery restaurant , hotel bar , car parking , swimming pool , gym cool canary wharf location . anyone give hotel less 4 star never travel . sound advice travel London - & quot ; want bag take room , ask somebody & quot ; .I stay valentine day , jacuzzi room 75 pound hotel - Assist . excellent price , dinner Thames 2 inch table , riverside restaurant , wedding hotel banquet room - can not bad people get marry . do not put hotel people rant , would home 2 star hotel , whine anything everything . go pleased ! 
 Mar 31 2006 	 horrible hotel 	 give hotel one star , actually mean 4 - star hotel . room average , service dramatic , staff rude . avoid hotel . well . 
 Mar 12 2006 	 unfortunately say good thing Britannia International 	 return London stay three night Park Lane Hotel Piccadilly four night Britannia International Canary Wharf . whereas Park Lane Hotel nice , say Britannia . to short point , shall mention thing need fixed:1 . din room serve breakfast ( Jenny 's ) far clean . plate glass plain filthy cutlery . want take egg cup soft boil egg one clean one . also notice staff set table , hold cup thumb cup fork tip fork instead handle . floor outright dirty . service non - existent . call several time pass staffer bring we coffee . yet , several staff member / waiter stand around nothing . food buffet arrange nicely attractive . one evening , dinner restaurant even service awful dirty.2 . room decor unattractive , staff 's fault . fault , room stuffy ventilation work properly bathroom sink clog . ask housekeeping fix two thing , nothing do . , solve air problem want open window . order open close window , one call concierge , . leave room come back much later find rain somebody housekeep draw curtain open window , nobody actually close , get wet around window.3 . two phone message , important . message light blink , way know message wait . many hour later ( one actually next morning ) , receive phone call message . service excuse it.4 . find front desk staff polite completely nonchalant . ask wether could check one hour later tell would charge we BP10 . , way attract hotel guest come back . I see Britannia Hotels try hard improve internet booking . may rather look improve hotel , least one . I , never recommend anyone stay hotel experience , doubt even want try another Britannia Hotel . 
 Mar 1 2006 	 ok nothing special 	 stay London Marathon Weekend offer package hotel . te experience pretty bland , room ok ( although two twin bed push together double ) , service ok ( nobody help bag room not ready even though arrive advertised check time ) .We order breakfast deliver room ( 26 mile run want bit substinance ) . not arrive get something eat way , although still manage charge we breakfast ! whole , get cheap price ok stay . 
 Feb 17 2006 	 pretty nice uncomfortable bed 	 decide stay Britannia since half price Marriott . room nice - sort antique feel , without feeling & quot ; old & quot ; . stay superior room , size standard US room . gripe & quot ; double bed & quot ; , really 2 single bed push together . mattress thin comfortable . get room great view water , staff generally friendly . 
 Jan 25 2006 	 Watch be EUR country 	 check non - uk credit card , hotel try force pay EUR instead GBP , use rate much high rate commonly charge credit card . comment I´d like pay local currency , i.e . GBP , , hotel staff start use strange argument unfriendly one insist pay GBP . happen several time . find behaviour ( happen colleague well ) strange . think right pay local currency ! 
 Jan 3 2006 	 could ask ? ! ? ! ? 	 boyfriend book hotel 21st good hotel stop . feel like celebrity walk reception red carpet . room lovely gorgeous view canary whalf , millenium dome river along building Docklands . bit way get west end . the thing fault breakfast totally disgusted . I m glad do not actually pay come deal part hotel . definetely stop ! 
 Jan 2 2006 	 forgetable experience 	 clean value money room discount rate , buffet breakfast stampede first morning . four star rating questionable , health studio swimming pool one unhygenic see . return . Mike G . 
 oct 9 2005 	 bad hotel experience 	 pull taxi see three man , appear work hotel , stand around talk . none come help bag assume not hotel staff . silly . check . still mention anyone help bag , lumbered room . level service describe introduction Britannia turn utterly representative rest experience . first morning , receive request wake - up call . one night come back hotel 11:15pm . need quick meal get bed . try phone room service could not get . finally phone front desk say would get phone . 10 minute later give wait couple try get room service . never get message . order turkey cranberry sandwich - seem like least offensive option extremely limit sandwich - only menu . arrive 45 minute later , turn disgusting food ever serve hotel . without shred exageration , bread stale , turkey represent thin slice process turkey food product , trace cranberry ( hope flavor sandwich ) , , bad , lettuce completely limp , place actually black slimy rot - kind thing anyone else would thrown away day ago . utterly insult serve sandwich . complain , hold piece limp rotten lettuce , room service waiter say ' that be Britannia ' . straight horse 's mouth . replacement sandwich - hold lettuce - much well manage get put bed shortly 1:00am . epilogue story equally unreal . leave room service tray room . housekeeping remove place hallway , remain . get back room 10:00pm next night , peek head door midnight . credit , go morning , . get cab driver figure go airport . , say , go different hotel . driver laugh - first time ferry weary Britannia surviver alternate accommodation . one comment offerre number time pull guest find staff stand around talk , absolutely intention help anyone bag . fairness , one waiter breakfast room give good service . I never consider stay Britannia . 
 Aug 23 2005 	 huge room great breakfast 	 Twin room spacious , nice view Canary Wharf Millenium dome , dockland railway outside window disturb we , breakfast excellent value , three course feast . take bit time get underground , Jubilee line quite speedy . leisure facility could coat paint bit TLC . last Minute price deal excellent - full price range . 
 Jun 12 2005 	 mixed bag 	 stay Hilton Docklands 3 week early interesting compare two . plus side room International big access Docklands Light Railway ( DLR ) Tube 5 minute walk away . side , breakfast bad Hilton yoghurt muesli sign tell sort milk juice drinking . promise free bottle wine never materialise weather warm keep window open deafen sound DLR go bridge South Quays Heron Quays station . find strange big difference rating hotel Hilton across river - think take thing account 's little difference . 
 Jun 10 2005 	 Bland ! 	 read bad review somewhat apprehensive staying . check ok , mention double bed 2 single push together . breakfast ok . bad point horrendous stifle heat bedroom night time , a / c must kick . everywhere include non - smoking room smell stale tobacco entire hotel need revamp . major gripe can not use phone room unless authorise £ 50 credit card activate . dont think would stay . 
 May 30 2005 	 somewhat ordinary 	 Hotel o.k . unspectacular . stay one night . exterior brutish somewhat unwelcoming . unfortunately , interior ( clear reception ) vary garish , date downright tacky . the hotel badly need overhaul . decor need enliven . staff fine though . bad bit leisure facility . pool really poor state - peel plastework evidence mould ceiling . for purportedly 4 star hotel , think owner must really better this . I would pitch like 2/3 star - extent £ 125 night weekend break family room feel like good value think would ! ! spend two previous night Premier Travel Inn £ 48 night . bad International ...... 
 Apr 28 2005 	 Excellent Stay 	 Excellent Hotel great location , many bar shop close . also short walk away Undergound DLR . 
 Apr 9 2005 	 good hotel noisy 	 recently take 2 day break hotel . extremely easy find right centre dockland next Canary Wharf tower . easy drive hotel car parking £ 15 per day underneath . also reach Docklands light railway Canary Wharf underground station Jubilee line . stop around 10 minute walk hotel . initially presentation entrance reception hotel good . staff helpful , tang european accent case many uk hotel . room perfectly adequate twin ensuite . great view London River Thames 12th floor . price excellent value leisure break cost around £ 150 include breakfast night . easy book room line . large amount building work currently take place area although mainly confine working hour 8 - 5 cause we problem noise . look like plan permission grant large 15 tower building erect next hotel start yet certainly restrict hotel view complete probably couple year time would suggest create noise whilst build . big noise problem experience light railway elevate across dock . run every 3 minute 5.30am midnight sound like jet plane taking . get use first night make interesting view hotel room . hotel well place outside hustle bussle central London reach tube , bus railway 30 minute hotel . 
 Apr 6 2005 	 probably well 	 husband live London need place stay lease . Britannia week Novotel Greenwich ( much well ) . hotel good point . convenient Canary Wharf DLR Jubilee line . room bathroom spacious clean enough old style furnishing may consider quaint ( tacky ) . concierge duty evening fantastic . the restaurant pizzaria food overprice quality . bad part uncomfortable bed eternity spend lift every day . not good night 's sleep week . we pay 100 pound per night much . Novotel Greenwich little way , spend 75 per night excellent hotel . 
 Mar 15 2005 	 wonderfull hotel 	 hotel wonderfull , could fault breakfast overprice , two bowle cereal cupper nearly £ 13.the Room Jacuzzi room actually supprise good ( go easy bubble bath thing multiplys ) , large room nice view , staff helpfull without intrusive , dinner resaurant fab 3 course meal £ 13.50 bargain matter come from . the bar comfortable view river , important clean .You will not dissapointe . 
 Mar 1 2005 	 good lively hotel ! 	 I ve stay number time , room average size old style decor clean comfortable . breakfast tasty eat buffet . good bit hotel bar seem stay open till 5 am week 3 am weekend . really nice friendly atmosphere . would definately stay . price vary seem cheep book hotel group website . 
 Feb 19 2005 	 look great actually average 	 stay Britannia couple time amazed fluctuating level service . time happy seem middle - ground term service ( truly dreadful ) quality room . I sure first open great general over - the - top decor chintzy look belie fact hotel really not good . expect wait age check - out lift ( seem break - down lot ) . also expect fairly shambolic breakfast serve hard - work import staff speak little English . I understand hotel teeter edge exclusion major travel company book business e.g . Hogg Robinson / BTI 's easy see ... Hilton , Docklands side river actually much well hotel - extra 10 minute away . alternatively , big budget stretch Four season excellent . 
 Dec 4 2004 	 good night long holiday ... 	 stay Britannia International Hotel night dicounte price . room comfortable quiet lovely view furniture bedsheet / blanket certainly need replacement . staff delightful , completely overbooke follow night find hotel room another hotel discount rate extremely helpful . every staff person meet helpful disagree review term staff . would stay one night since find decor quite depressing outdated area safe , convenient underground nice shopping centre nearby . view hotel brilliant interior definitely need style re - vamping , shabby reproduction art , halogen lamp 80 bizarre chandelier right window . would stay ( perhaps long ) rennovate bit ! 
 Nov 27 2004 	 good hotel thing .... 	 stay 2 night weekend November , overall find hotel nice place . get really good rate of£60.00 per night fairly basic pleasant double room lovely view Thames . downside check - queue 45 minute Saturday 4 pm check .. finally get front concierge ( decide help reception ) could find detail 5 minute explain train aspect check . check Monday morning queue hotel refuse credit £ 11.80 deposit already pay book agent say receive ( even though write ! ) pay full amount - still process try get back ! upside lovely bar / lounge area use go West end night , hotel nicely locate 5 minute walk tube station . would consider staying would double check situation deposit first ! 
 Nov 7 2004 	 great choice ! ! ! 	 excellent choice whatever purpose , even holiday , though hotel locate near big business center London ( Canary Wharf ) . hotel locate near tube station pretty modern shopping mall . also DLR train station get city center Greenwich time . if get room view Canary Wharf side will amazed . view fantastic . room pretty big , clean bright . the disadvatage hotel be first time , be pretty hard find be tube . will get , get easy . this hotel pretty expensive try book advance Internet ( get 60 % discount rate ) .We ' ve week ( 9 - 16 August 2004 ) , would surely return . overall - great place . 
 Nov 7 2004 	 glad do not pay full price 	 get cheap room first night london flight , basically do not intend go sightseeing want rest take thing easy . find room nice , staff polite . thing could really find fault fact room hot AC do not seem make difference double bed fact 2 single mattress make thing little hard ; ) location seclude peaceful , room par 4 * hotel I ve stay around world . would go price good ( £ 70 ) first night long flight little local surround area . 
