well 	 stay Priceline rate good experience . first , put 32nd floor one good view Montreal ' ve . ( we Priceline regular usually expect something low floor view parking lot . ) second , bed fantastic . third , right top Metro . yes , room date lobby seem bit fuddy - duddy be 40 . overall , would mind stay . 
 Dec 20 2004 	 Front Door Yuk 	 would four star except front door work weekend . swimming fitness area access weird go massage rmt section get poolI massage good therapist however work space cramp . parking 22.00 canadain day valet . I recommand parking people never drive montreal parking lot huge . also direction give get lose montreal 20 year leave old age ask hotel direction could help . swimming pool hot tub fitness area nice well see travel . 
 Oct 12 2004 	 good stay 	 everything excellent . problem blackout drape window . I trouble sleep result . 
 Sep 10 2004 	 nice view ! 	 hotel great location -- 2 block lively nightspot St. Catherine St. walk distance Old Montreal . window really cool . corner room 23d floor , nice quiet , spectacular view city . concern park front hotel seem awfully dark little shady night . 
 Aug 30 2004 	 Great Hotel ! 	 stay Marriott one week readingreviews website . pleased choice . hotel situate downtown busySte . Catherine St / Cresent St. area . 2 block St. Catherine . hotel clean , spacious lobby area . store gift shop lobby level . also elevator lobby take Metro train . room nice , basic room , request fridge drink ( room mini bar not use ) . bed comfy , unfortunately not quite get view want , room face say & quot ; downtown & quot ; take . parking premise , valet park time ( add ' l charge ) , park $ 18 ( CAD ) go . one day arrive late afternoon space ( SUV 's park front ) , ask use parking garage street $ 15 ( CAD ) , privilege ! refuse , park street pay 1 hr parking , be free 6 pm itwa Saturday , free parking Sundays . bad experience . I would stay maybe try hotel nearer St. Catherine ( night not want walk 2 block child ) . however hotel main street parking premise . also Ste Catherine night kid friendly ( peep show , etc . strip ) , many bar / pub etc . overall , hotel perfect ! 
 Aug 18 2004 	 stand pack big hotel 	 ' ve stay many time Montreal Hilton Bonaventure Le Centre Sheraton business trip 's company contract special room rate . time , full due convention stay Marriot Chateau Champlain regular non - smoking one - bed room . 3 hotel price , less depend promotion & amp ; vacancy . 3 hotel connect metro underground shopping , within several block . Sheraton furthest old town outside edge financial center . Hilton top railway station , close old town . chateau 15 minute walk old town , across small park frequent quality , free musical performance good weather month office worker congregate lunch outside . purpose , prefer Chateau Champlain first , Sheraton , Hilton last . course money probably get well , like Intercontinental Queen Elizabeth ( large hotel ) especially Hotel Gault ( boutique hotel ) .The Sheraton typical , big boring business hotel massive convention feel , efficient uninspiring . furthest away old town . small room , 18x12 216 square foot . Chateau Champlain standard room 24x14 336 square foot . Chateau Champlain use belong upscale , CP / Fairmont Hotels group . want Fairmont Montreal , stay expensive Queen Elizabeth royalty stay ) . Champlain Marriot , former glory , build superior Hilton Sheraton ( build Holiday Inn spruce ) . chateau feel personal . lobby inviting & amp ; attractive . hallway bright , long , attractive . contrast , hallway Sheraton stain carpet , hallway Hilton extremely long low - class , expose concrete wall . Hilton wonderful roof top oasis ( good unless be fine weather though ) .Although Chateau Champlain large , bit & quot ; boutique & quot ; feel unlike Sheraton Hilton . see convention room horde man suit hang around Champlain like business hotel ( although lavish convention room tuck away ) . room spacious downtown hotel . every room glorious half - moon window , circular shape extend room , give room architectural interest lack chain ' bland room . build 37 story high many room view . course view well other . river view , mountain view , good view tower downtown skyscraper ( like mine ) , other view uninspire downtown lowrise . room merely face office tower across street , check preference make reservation arrive . standard room clean totally odor free . invite , although several small furniture scratch typical hotel use ( marriot ) , nothing complain . new carpet , old tan carpet not particularly like . room bright ( moon window ) , bed comfortable . room high speed internet connection two phone line connection available . large desk area , large work chair , 2 nice wing chair . housekeep effective friendly . wallpaper good quality good shape , couple small tear repair look . however , ice machine locate alternate floor , walk 22nd floor 23rd floor ice . room somewhat unique layout large look , separate dressing / wardrobe area private rest room . nice one person dress wash privately ( ) rise early morning , want undress private . parking $ 18 / day unlimited in / out , $ 21 valet . doorman help everyone wear smile . gym , massage service , hot tub supervised pool open 6 11 pm daily second level . outdoor pool garden like Hilton - family may prefer summer . main floor restaurant quite good inviting . guest obtain choice 2 free english - language newsapaper daily lobby . 4 floor executive / concierge room . concierge person everyone else lobby . staff efficient , helpful fully bilingual . 
 Aug 18 2004 	 great hotel perfect location 	 great time August 2004 hotel . location perfect- attach underground metro system , block old town chinatown etc . the room good condition , large window nice view . staff courteous helpful . one problem- parking garage- renovation really mess . confuse arrive depart keep closing part garage hotel run space . hope fix problem negative aspect stay hotel . 
 Aug 9 2004 	 relax getaway 	 go montreal weekend stay marriot . think nice hotel . good location . nice staff . restaurant breakfast fantastic . even leave skirt back bathroom door leave mail within week . whenever visit montreal stay hotel . 
 Jul 14 2004 	 Good Hotel 	 frequent Montreal regularly business switch Hotel Hotel last year . four month ago find Marriott could happy choice . even strike offer extra & quot ; Marriott Reward & quot ; point per night free breakfast , even corporate rate . , rate avaerage come Hotels , chain Hotel , would put rest since feel like Boutique Hotel yet half cost . definitely worth try folk 
 Jul 5 2004 	 ... 	 return hotel past weekend delighted see face serve past , lockout . unfortunate take long , however , , yes definately return Marriott , prime location , great view close everything ..... except casino : ) back August 
 Jun 23 2004 	 nothing extra - ordinary 	 family 2 adult n 2 kid stay hotel 15 June 04 one night 25th floor .... room typical Marriott ... service ok ... nice lobby ... interior ... pool ... although find small size ... kid love .... room serivice however one thing impressed . no microwave room request .... would not allow baby 's milk heat ... staff kind rusty ... little realise lock - out Stirke 4 long month . the location hotel great .... heart Downtown ..... enjoy ... expectation high Marriott . 
 Mar 17 2004 	 Marriott Workers Line 	 please advise worker lock hotel since February 2004 . idea , unless wonder security guard stand lobby . visit hotel least 5 6 time year go Montreal . idea next morning go walk Peel street see worker use provide room service wait restaurant cold . know issue behind lock , find bothersome travel way hotel not inform anyone cross picket line . one thing find rather odd check around 845pm send we Concierge Lounge wait room ....... never experience , wait make sure room ready . one thing note breakfast restaurant free , charge . would much rather pay bill breakfast see friendly staff back work : ( 
 Feb 23 2004 	 anniversary getaway remember ! 
 Jan 15 2004 	 Coul not ask 
 Jan 7 2004 	 Chateau Champlain wonderful ! 
 Jan 4 2004 	 build luxury hotel Marriott 
 Nov 12 2003 	 good hotel 
 Oct 22 2003 	 wonderful place ! 
 Jul 30 2003 	 great hotel 
 Jul 14 2003 	 really nice 
 Feb 25 2003 	 typical marriott fine 
 May 31 2002 	 Decent 
 Oct 7 2009 	 Na ja 
 Aug 14 2009 	 Excelente ubicación 
 Apr 26 2009 	 super hotel ! 
 Sep 14 2008 	 excellent 
 Aug 18 2008 	 Marriott Chateau Champlain ? ... una buona scelta ! 
 Sep 7 2007 	 Tout le confort souhaité ! 
 Sep 20 2006 	 un excellent etablissement ! ! ! ! ! 
