Bedbugs 	 wake red welt back . move new room offer free breakfast . ! never experience sincerely hope never happen . 
 great location . fine room . 	 location 45th & amp ; Madison great need get Grand Central ' ve never nyc want relatively close thing . usually prefer stay west side get room tue . Thanksgiving Week excellent price use PriceLine . NYC hotel room small exception ( chair desk touch bed tuck desk ) bed excellent . be flat screen tv bathroom / shower etc . fine . really short closet space much room store anything 2 carry sized bag , , be NYC space premium . a / c work fine we unlike reviewer hotel quiet . bar busy bartender seem bit grumbly first warm . would definitely stay , especially priceline.com room rate . unless be look luxurious big room spend lot time , fine . 
 Family Fun 	 great hotel locate great area nice view nice clean hotel 
 Great want stay @ Midtown 	 hotel can not well locate NYC : 100 mts 5 Av 200 central Station , go walk Broadway central Park ! service great , arrive room three already book pay want give we smoking room 1 bed room three .... talk time give we pay ! room comfortable clean . come back NYC will not stay @ midtown .... would go back roosevelt price benefit value . 
 be look reasonably clean hotel experience . 	 although read bad review Roosevelt , thought would give try consider location think reasonable deal time Priceline . my room terrible . entrance lobby look decent enough , room small extremely dirty . curtain moldy , , shower curtain , drape room ! ' m surprised room stuffy humid . thermostat , ancient wall fan & quot ; cool & quot ; & quot ; warm & quot ; option , way , loud . also , mirror hang bathroom door cover greasy white spot ( still idea ) ... disgusting ! kind cleaning staff not wipe mirror ? carpet wear dirty bathroom smell dank . tub old deep scratch across surface . bad , bed smell like urine ... exaggerate . top thing , something room aggravate allergy sneeze sniffle night . mention view , lack thereof ? good thing place location . thought get good deal Priceline , would stay even someone pay . frankly , expect 3.5 star hotel . would not mind small room paper thin wall , especially old hotel , management make effort make room reasonably clean ... 
 quality vrs price would give F F F F 	 use concierge broadway ticket . charge double price . comp anything . room antiquate , analog tv , tiny , tiny bathroom . coffee room may purchase @ restaurant $ 4.50 cup . never stay . a / c unsat , hole carpet . lobby location great.jerryenmon @ yahoo.com 
 Sep 9 2008 	 would go back Roosevelt 	 return fromNew York stay Roosvelt Hotel around corner Grand Central Station great position . hotel lobby grand get quite busy . room comfortable clean quite overlook road . staff ok bell boy friendly . New York cheap Christmas time sale look hard enough bargain . lucky enough go back New York would stay Roosevelt . one word warn roof top bar Mad46 expensive full worker ask ( tell ) move table reserve sign . welcome place . 
 Sep 8 2008 	 never stay 	 hotel nice enough upon arrival - old style architecture , grand lobby , etc . however , staff rude , treat 2nd rate customer booking room hotwire . lot unnecessary reference ' type room ' request ( eg instead say ' your room ready yet ' say , ' the type room request ready yet ' - request anything special , room ... ) .The kicker HOT WATER morning . bath tub faucet break ( could turn hot water ) . go shower , wait patiently 5 minute make sure hot water come ( never ) , call cleaning service ( conceirge desk available ) . transfer manager , terribly apologetic . feel like complain tv screen fuzzy ( btw ) , HOT WATER , basic amnety hotel . oferre MOVE another room infuriate even stand naked , drape towel , dripping wet , 30 minute get ready meeting friend breakfast . think joke ! move room ? ! ? ! end take cold shower , go downstair ask refund . say could give one since room prepay . audacity offer discount future stay - would ever stay . hope hotwire take list hotel . book hotwire many time never bad experience . addition ' minor problem ' hot water , wall paper peeling , a / c loud ( window unit ) , tv fact , fuzzy , stain toilet seat , staff rude . bell boy coerce tip , find REALLY rude . would give tip anyways , even give chance . recommendation steer clear hotel - much well option around NYC . 
 Sep 7 2008 	 Loved ! 	 Roosevelt perfect first visit NYC ! beautiful hotel , convenient location , helpful staff , overall wonderful experience . receive free room upgrade mention several time , find clean though certainly huge quite large enough need . last night request change room child join we need two double bed ; staff incredibly accommodate . complaint coffeemaker room , something be use hotel . also mini fridge , something rather common , small issue would certainly prevent stay . item would convenient , however , especially store leftover fabulous restaurant dine ! refuse pay Starbucks coffee hotel lobby , choose instead walk restaurant across street pay $ 1.00 less per cup ! overall , pleased Roosevelt would not hesitate stay . 
 Sep 3 2008 	 would not stay 	 stay Roosevelt 5 night 27th aug- 1st Sept. first impression good , nice lobby etc .. check - in quick , give room 3rd floor , have book Superior room 2x double ( family 4 ) roomthe room clean enough , although tired date . linen clean change regularly , clean towel everyday . nice new flat screen tv . bathroom date dirty , bath look like paint paint chip away . not use bath , shower . overall , service good , would not return Roosevelt . spend last night New York @ Hilton New York , stay last year . wished have spend whole trip . 
 Sep 2 2008 	 Terrible Customer Service 	 want say hotel 's customer service ohone worst .. operatoer never ( ' ve call many time ) tell transfer uyour call sale , reservation , etc , etc . the reservation agent sound rather somewhere else bother call they . anyway , experience would much well make feel welcome . big task bvelieve go long way . what do not understand manager kow guess do not care .. would call hotel secret caller feel treatment .. hotel . 
 Sep 2 2008 	 Average 	 upon arrive around 1 pm informed could not check room 3 pm , fine . go checkin process leave bag bell boy , grab lunch return around 5 pm . go collect room key tell room book not available ( cosy queen ) could another room two twin bed instead . explain want room queen bed receptionist would not give we time scale would ready . overall attitude quite rude seem like not really care . decide go double twin tired flight . good first impression hotel . main lobby reception nice always busy add vibe hotel . get upto floor house room , decor tired . old furniture , tear wallpaper generally date . room pretty much , carpet dirty , bed fortunately good TV newish LCD panel . the bathroom adequate , old decor least clean . get good deal hotel , be worth . not expect much . 
 Aug 31 2008 	 over - rate ! 	 say - stay week awful ! suppose 4/5 star hotel dreadful . arrive bell boy grab bag climb 3 step ( even recetion ) hand tip ! good start ! get reception desk tell 3hour wait room staffing problem , explain migraine interest - even offer glass water ! eventually get room right next lift - need migraine think put noise week much husband go recetion request another room . speak 3 different people argue politely offer another room . arrival one , toilet break , electric hang wall air con work noisy fashion . another trip downstairs - time feel absolutely dreadful husband go reception get pretty stroppy . 3rd room offer adequate - could ignore grubby carpet , bubble plastic bathroom , next cleaner cupboard overlook back vent hotel kitchen ! clean ! website look amazing - reception certainly really impressive would seem pased hallowed ground recetion room another life ! given view 3 visit , would guess past ' unlucky ' choice room . staff unhelpful - point downright rude housekeeper always pleasant seem good surface job . conseirge great really helpful . maybe manager need look customer relation training ! leave letter complaint get reply . email letter complaint upon return - get reply . send customer satisfaction survery ( laugh ) reply negetivly - still reply . get email say since post negetive feedback would touch - still wait ! good laugh still send email invite we ' visit soon ' ! ! ! stay NYC several time one place absolutly return - even offer free ! next stay back ' the Intercontinental - Barclay ' justify 5 star rating . 
 Aug 29 2008 	 impress 	 hotel nice staff helpful friendly , find rude , strange country want ask question want help direct right direction , feel bother , find staff snobbish.hotel near shop great , shower good , room clean.i eat hotel , expensive , take food back hotel evening , room clean , clean staff leave card bed see room service price , take see food wrapper bin choice eat hotel not.i would go back hotel , view room tower block , check tell nice view look street true , leave customer form say rude staff guess bin , attitude care . pay decent money stay hotel expect good service get .. eat grand central station food court reasonable.take trip china town , sample food fantastic cheaptime square experience go dark light world.i feel safe walk day night , new york must see designer clothe cheap trainers.would go back ny would stay different hotel . 
 Aug 28 2008 	 Super hotel - great location 	 return week Roosevelt love . midtown location convenient everything - walk distance esb , Rockefeller Centre , etc , course , Grand Central Station round corner easy access subway slightly remote location . be business district relatively quiet night - 10 - 15 minute walk away be TImes Square ! lobby hotel impressive . not already tell , would think have get wrong hotel since look far expensive have pay . staff pleasant polite . have make mistake book we smoking room - give we non - smoking room upgrade we cost . room spacious - 2 big & amp ; utterly comfy bed . Bathroom ok - although shower not drain quickly ( minor gripe something bother we ) . tea / coffee make facility room fridge store water & amp ; juice . air - con little noisy night two find rather soothe ! bar serve lovely food - chicken club sandwich easily feed two us delicious . 's newly open rooftop bar tend attract Madison Avenue type offer nice view . we love New York love hotel much be save go next year ! 
 Aug 28 2008 	 Nice hotel nice location 	 friend stay Roosevelt 6 night August , first impression good . hotel good location ( near Grand Central , NY public library , 5th Avenue - good shop 10 min walk times square ) . England , use hot climate , fortunately taxis relatively cheap get around . check quite simple although receptionist unpleasant - toss key across desk bad attitude . additionally , safe room break , call security fix promptly security guy also give we free breakfast ! ( room basis - breakfast quite good would probably get sick everyday - usually go cafe - cafe metro quite good breakfast $ 5 . ) additionally hair dryer break room never repair . the cleaning service quite good maid friendly actually take notice ' do disturb ' sign - quite often ignore hotel stay . hotel room average , stay ' petite room ' , ' petite ' true . room include large plasma tv quite good channel - movie channel , MTV , BBC etc , iron facility etc . also look cheap way get hotel airport , JFK get rip end pay $ 90 guy tell we would cost $ 50 . another man run private taxi business practically run away suitcase attempt rip we . yellowcab usually quite cheap get around have probably suggest . another thing , everyone expect tip , come country tip often necessary find strange - one guy give we piece paper much luggage loiter round minute give dollar , additionally restaurant sometimes add onto bill state 15 - 20 % sufficient . point interest would recommend would see Broadway show ( see Mamma Mia excellent funny ) , Statue liberty , Empire state building ( good view night que short ) top rockerfeller centre good day get great view central park . central park lovely place spend nice day walk round , visit strawberry field go row boat near boathouse . restaurant would recommend Tavern Green central park ( outdoor pretty lantern live music , nice end night horse carriage ride $ 40 ) , Ellen 's stardust diner near theatre Times Square quite good young people , waitress try make broadway serve sing - food not good 's different experience lot child customer enjoy . overall would recommend Roosevelt would definitely return . question regard Roosevelt may send message 'd happy help . 
 Aug 25 2008 	 Nice Hotel 	 stay 9 night Roosevelt month wife 8 year old daughter . room big , comfy , clean ( although one day leave note housekeep clean dust . ) . furniture really need update . leave tip sevice well do , leave 2 dollar day housekeeping . nice surprise newspapper everyday ( except weekend ) door . another good thing aminitie every day , even give mouthwash solution . although 14 floor still hear lot noise street , NY city do not reaaly sleep . would stay sure . 
 Aug 22 2008 	 great stay price 	 book Roosevelt reasonable price . convenient Grand Central Times Square . flight arrive early let we check early , appreciated . elevator , not bother noise . staff helpful . atmosphere classic . good deal price . 
 Aug 18 2008 	 's fine 	 quick stay Roosevelt past weekend must say little disapointe . LOCATION - Perfect Midtown 45th Madison . think 's great location . plenty restaurant around transportation close . Bryant Park ( favorite spot NYC ) 5 block away . LOBBY - when arrive almost blow away stately beauty lobby public area . almost stunning . 's beautifully restore . ROOMS - Mine tiny indeed . actually tiny not even desk laptop . hey NYC . bed comfortable nice linen pillow . also great flat - screen television . okay , far state positive ..... well , one hotel look seems great first glance . really practical purpose , be ok ....... however , not start keep place , be go nothing run - down tourist hotel within another 10 15 year . here be list : -Old slow evelator ( need modernized ) -almost ever door hallway scuff mark dirt . show real lack attention cleaning.-major scuff mark bedskirt room.-Many , many spot hallway carpet rips stains.-HORRIBE bathroom plumbing . toilet would flush properly due insifficient pressure . shower one bad ever . take one ok shower . scald hot , twice ice cold . in - between temp - even spend 10 - 15 minute play it.-staff not job . exmple , pack elevator , bellhop count money ride instead smile make eye contact guests.-security bit lacking . night , evelator bank & quot ; roped & quot ; however twice one ever ask see room key . if get good deal place , say go . exception shower issue , think experienced traveler would find issue . the hotel management need get hotel 's p 's Q 's would fabulous ! 
 Aug 9 2008 	 good location 	 good lacation Broadway theatre , bad place 
 Aug 8 2008 	 Great Location 	 New York accomodation New York accomodation . expensive tiny room . ny 16 time , unless big budget stay Omni Berkshire ( beautiful hotel - however tend save money put towards shop instead ! ) , always change hotel price keep increase last hotel fault steer away . roosevelt relatively nice hotel price location . room nicely decorate clean . location perfect get around city shopping ! small crticism noise street - stay alot bad ny , not completely sound proof either . nice hotel budget , want something nice , can not afford stay room $ 400 + night , base , would recomme Roosevelt . 4 star experience would usually get another city country - hey be ny ! 
 Jul 31 2008 	 Roosevelt great ! 	 Loved Roosevelt . got summer special room & quot ; cozy queen & quot ; , upgrade king size without even ask . room big ( NY standard ) , bathroom fine , two window overlook city , quiet . location amazing - right next Grand Central Station easy walk Times square . will stay every time go city ! 
 Jul 28 2008 	 somewhat Tired Tourist Hotel 	 stay hotel one night July 24th , 2008 . old hotel slow elevator . location bad midtown . breakfast buffet great , may find expensive ( $ 30 ) . room rate quite reasonable staff friendly helpful . room good sized , clean , decor old fashioned . however , air conditioning supurb . walk room hot day refreashingly cool . Problem night , air conditioner leak carpet , create large wet spot walk get bed . room safe work . honor bar room vend machine hall alcove work , possible buy water room . hard believe housekeeping know wet spot front air conditioner . bathroom small adequate one person . huge hotel -- must 1000 room build long time ago . could major remodel , guess owner happy continue , since largely cater tourist look inexpensive , well locate hotel . business person , probably would stay , look well locate hotel simply ok , might good choice . 
 Jul 28 2008 	 Great Location Great Smaller Hotel 	 could not please arrive Roosevelt . small hotel , great staff . room simple , clean , large New York city . location perfect- right theatre district , walk district & quot ; restaurant row , & quot ; ton great restaurant , different variety . 
 Jul 25 2008 	 Fabulous Hotel Great Location 	 book Roosevelt location price satisfied accommodation service . room ( two double ) virtually would see picture , comfortable bed , crisp white linen , soft duvet , 32 & quot ; LCD flat panel television . surprised open closet find walk - in - amazing NYC ! bathroom floor tub bit date , make clean everything . linen towel fresh day ; welcome treat long day walk around city . the Roosevelt great location , allow walk numerous attraction , include Broadway Times Square . addition , Grand Central Terminal two short block away , convenient hop subway . staff helpful friendly . one helpful hint - book major travel deal website , may want call hotel confirm right type bed assign . case not , front desk staff great getting sort , despite fact not fault . 
 Jul 25 2008 	 usually fine aware .. 	 stay Roosevelt almost every time go NYC business . mostly get special rate client make cheap hotel find . however , cheap rate incentive aside , would probably choose stay Roosevelt anyway . stay 10 + time last year , hardly ever anything complain . one thing note : room really crap shoot . personally , like charm hotel room cookie cutter shape size . admit room Roosevelt small feel cramp . also know bathroom stall shower small lip separate rest bathroom , though never anything tub shower bathroom . one time problem room give one third floor , non - smoking , yet room reek cigarette smoke . think might low floor , odor might come street . rate , request different room high floor accommodate right away . within last month add nice flat screen tv 's room . carpet could really stand replace area hallway guest room , be really bothersome . room service usually prompt professional , go staff lounge downstairs . also recently open rooftop lounge call mad 46 , not check yet hear 's nice ( weather cooperate ) . overall enjoy Roosevelt regardless small issue . 
 Jul 25 2008 	 's okay 	 nothing special . mainly business NYC Marathon , make thing little bit crazy . Staff be not friendly , big room ( do not get small room America ) small bathroom though.it ' okay guess , clean well locate overrate . 
 Jul 21 2008 	 Room Snafu wonderful location 	 love / hate relationship Roosevelt . let start begin , book two double take nephew trip graduation present . call hotel morning notify would check late due late flight . get hotel around midnight tell double available could queen . explain unacceptable say ' anything accommodate we . ask rollaway bed , however ' work due room small . check back follow morning night still claim nothing available . request additional bedding nephew sleep floor first two night . finally able move we two double last night . room tiny , clean . think paint carpet could update , really ' bothersome . first room handicap room shower awful , get entire bathroom wet water also go room drain work properly . bathroom much well second room . think bed comfortable much needed walk heat day . pillow stiff comfortable . room great flat screen . noise street could hear easily , however ' big deal tired go day fall asleep spite noise . staff pleasant even ' nice upset room snafu . concierge bell hop quick , nice easy deal . ' see maid , room spotless come back day . I love location , good part hotel almost make nephew sleep floor two day . ' away chaos Times Square , however close enough walk something want spend lot time . hotel super close Grand Central Station make great use subway . 5th avenue block away Chysler Building close . feel like great central hub everything want do . if hotel could straighten hotel situation room soon would happy , ' look compensate anything like . want room book . 
 Jul 15 2008 	 great breakfast Tomas well ever server ! 	 friend always stay Roosevelt Hotel New York City go long weekend see many play squeeze weekend . almost five year ago , meet Tomas , serve we breakfast . good service , go back two three time per year hotel feel like family . ' ve watch Tomas ' son finish high school get ready attend college . Tomas , ' ve meet many people hotel share information many friend , regularly visit Roosevelt Tomas . one man make difference make stay big city feel special . feel like treat like royalty Roosevelt , Tomas ! stop tell Florida lady send ! 
 Jul 15 2008 	 fantastic hotel fantastic location ! 	 return 6 night stay NYC Roosevelt . incredible experience ! hotel perfect location beautiful ! free room upgrade ( read trip - Advisor many people get ) room quite large confortable . 2 queen bed conforter awesome lot pillow ! Bath & amp ; body work complimentary sample bathroom nice , air conditioner work well maid lovely . friendlty , beautiful smile professional . prepare tip store bag get , ( another tip get trip - Advisor ) , bellman appreicative gracious tip . arrive , come 45th street entrance stay low level , bypass stair lobby . go right short hallway , will come elevator . take lobby . struggle get heavy bag main stair lobby first night . Grand Central Station entrance right across street 's wonderful Cafe - Deli next entrance . turn right 45th street entrnace walk 45th . go straight Times Square ( be 4 - 5 block away ) . exit 46th St. side hotel , Waldorf Astoria one block away right one block . able figure subway system ( 1st time anything like we ! ) , walk easy Roosevelt . quickly easliy get Rockefeller Center , Empire State Buliding , Central Park , Times Square , show go Theater District bus tour go . great location helpful people everywhere . 
 Jul 15 2008 	 great location ! 	 stay Roosevelt begin May . hotel splendid , huge entrance , impressive . staff nice helpful . room not big visit NYC not stay room day . we perfect ! bed king size load different pillow , room clean everyday . word , enjoy staying would probably go back . 
 Jul 14 2008 	 Decent hotel 	 stay night hotel July 2008 - decent enough experience . location good , corner 45th Madison , be definitely centre thing want New York Hotel . the bedroom fairly small , bathroom also . bed reasonably comfortable . tv modern rest furnish quite old . I would not normally comment something trivial lift , reason lift hotel achingly slow , old also . overall , ok , would not rush back hurry . one thing note- concierge try sell car JFK $ 73 - not take - taxis flat rate $ 45 + toll + tip ( around $ 60 ) . get private car around rate . 
 Jul 10 2008 	 Loved Roosevelt 	 beautiful , classic hotel ! find reasonable rate hotel website ( $ 179 cozy queen ) read review tripadvisor , really worried . review completely wrong ! room clean , quite big NYC comfortable bed ! bathroom small normal old hotel , really plenty room toiletry . staff great ... helpful accommodate - make we feel like vip everywhere go . nice lounge / bar right next lobby be also great new rooftop bar must visit , even not stay hotel . , across street ( literally ) Grand Central ! easy get around town , think take cab twice late night . really can not say anything bad hotel . can not wait go back ! 
 Jul 10 2008 	 Splendid Hotel ! ! ! ! ! ! ! ! ! 	 husband return Roosevelt Hotel . second visit hotel , say special second time around . would recommend Roosevelt fantastic location ( Madison Ave , Midtown ) . seem high standard price suggest . staff extremely helpful , especially concierge . able leave bag securely arrival ( get check - in time ) departure ( late evening flight home ) . room small side ( queen ) , however , spotlessly clean , bathroom . although New York 's standard 18th floor not high , view rm 1802 quite magical night . room overlook Madison Ave , not disturb noise . one side bed not change four day however , Independence Day weekend fully book ! can not say except ' go stay Roosevelt ' 
 Jul 9 2008 	 nice hotel 	 book room expedia great rate $ 125 night Memorial day weekend . alittle skeptical read review alot people complain air condition cool properly loud . problem air condition work fine alot noise . room bathroom small clean . great location walk everything . would definitely stay . nice ! ! 
 Jul 7 2008 	 really 	 visit hotel three day business trip . although lobby nice , find room small even New York City standard price charge . addition bathroom small little room even shaving kit . concern : 1 ) stay 6th floor several occasion take long elevator arrive decide take stair . 2 ) wife cold want cup hot water mix medicine . call room service say would cost $ 5 bring cup plus charge water . think joke , . go downstairs bar simply get cup bartender flat refuse give sell one say get room service . next ask front desk say try deli street . overall sked would stay , would say . 
 Jul 7 2008 	 lovely hotel room slightly small 	 mum decide treat trip NYC 21st birthday book we stay Roosevelt . trip extremely exciting we never America ever travel internationally seperately , really want first trip together good one . upon arrival Roosevelt , impressed lobby bar area first come across . grand sophisticated feel , comfortable . the bellboy receptionist helpful . check quickly , without fuss . room 7th floor , assistance lift luggage ( tip obviously ) . entrance area floor clean tidy , ever slightly date decor . room nice , particularly huge , comfortable . mum ungraded room Superior room , mean large double bed , various upgrade amenity . bathroom basic , clean , could ask . supply safe wardrobe , could move set lock personalise code . keep cash , well passport , seem secure . location wise , Roosevelt quite central . Grand Central Station right around corner Empire State around 15 minute walk DownTown . opposite direction around 15 minute walk Time Square , taxi 's easy come . doormen front hotel happy flag one . second night , tired busy day sightseeing , decide dinner hotel bar , follow cocktail . food fresh tasty , little expensive . cocktail large , Mum soon realise pass one bed one ! ! fantastic deli opposite hotel , great selection breakfast , would strongly suggest anyone visit Roosevelt go . generally pleasant well locate hotel , friendly staff . would definately go back Roosevelt . 
 Jul 3 2008 	 trip ! ! 	 well recommend hotel . staff fantastic helpful . JFK airport manage loose luggage even have land , promise would Hotel next day , ! bar staff excellent , Tony legend ! take trip one yellow taxi 's , extremely funny ride ! Times square beautiful toy r Us , WOW ! ! must , especially young couple ! Stew 
 Jun 29 2008 	 bad hotel experience 	 first time New York hotel make half experience . problem ruin noticed thing go miss hotel room . follow thing STOLEN : GHD STRAIGHTERSONY CAMERATOMMY hilfiger cardiganphone CHARGERMAC make - UPPLUS .... new UGG BOOTS SLASHED ? ? ? ? ? travel world part job ' ve never anything like ever happen . plus , tell hotel item miss say ' invest ' . never get back us chase find question staff not find anything . 's ridiciolus thing ... one going say ' STOLE ' . 's upsetting one apologize , compensation give ... basicall hotel not care ! not stay - ' re THIEFS WORKING ! ! ! ! 
 Jun 28 2008 	 busy central exciting 	 stay family day head west . although small problem payment card pay display error bank contact properly get room acceptable . problem family room two double seem pretty much standard States not huge problem . ice machine vend machine corridor cheap alternative mini bar . hotel lobby phenomenal plenty space wait - also variety shop , coffee couple pay phone mean could avoid pay extortionate moblie charge foreign phone . breakfast buffet insane omelette waffle chef entertain . staff friendly waiter take time chat . breakfast expensive not get deal include day go cheap café round corner . great location really exciting , busy NY hotel . desk could organise trip really friendly guy fix we tour ticket recommend good deal , price trip . leave doormen easily secure we one car driver high standard . 
 Jun 23 2008 	 Great Location 	 great location , 5 minute walk Grand Central . lot place nearby eat breakfast local . try Starbucks hotel last morning really disappoint service standard drink food , would recommend eat . like walk hotel perfect easy walk distance many city 's attraction - 5th Avenue , Times Square , New York Public Library Central Park . standard room good - two large queen sized bed . service ok- impressive lobby . would stay . 
 Jun 22 2008 	 lovely hotel 	 lovely hotel stay quick trip New York . situate close Grand Central Station moment away 5th Avenue ( superb shopping ) block Times Square . ok , room quite small will not spend day . ensuite facility adequate . room clean tidy staff friendly . really enjoy stay week would definately go back . 
 Jun 18 2008 	 ok 	 stay hotel 4 night . good location , Beautiful Lobby , room old , maintenance need bathroom , hall , carpeting etc . , check quick , first room toilet would flush properly .. call maintenance . after plunge still luck ... request room change .. get right away room toilet flush twice every time . House cleaning know plumbing little do .. leave guest DISCOVER . make sure plumbing work arrive room . do get ADJOINING ROOMS .. noise next door keep .. slam door .. I m kid ! prepare tip 5 - 10 dollar store get luggage back time ... attendant always pull wad bill remind ... individual real class act ! try Affinia Manhatten well stay ... that s rate trip advisor ... much high level . 
 Jun 18 2008 	 Nice hotel - convenient location 	 stay husband 2 child weekend 6/13/08.nice hotel , beautiful lobby , check quick . hotel great location 5th avenue 2 block away . room room see line . obviously old room wear tear pretty small . tub nice size porcelain chip bottom shower curtain rod rust . bed comfy definetely clean room . room also quite could hear people either side we . another note get room , room next we order room service set remain food pick . stay follow morning , whenever house cleaning come , leave morning head day go get back around 7 pm , may normal , not know , ' ve never come across before . at one point room key stop work , quick run back front desk remedie . Valet parking also plus book . we would definetely stay . nice hotel $ . 
 Jun 12 2008 	 Character hotel 	 great location character . small room expect NY . not care . choose hotel 's character . concierge helpful . hotel busy weekend New York marathon ! know arrive ! excellent hotel choice . 
 Jun 12 2008 	 good stay 	 hard time find affordable hotel Manhattan . come across hotel hotels.com decide book . location excellent take coach bus airport Grand Central Terminal walk hotel . Grand Central Terminal , easily reach different part New York City . the room lcd tv bed comfortable . bathroom bite wear clean . also fridge room . give room face air - con generator bit noisy . try ask room high floor one face road . do consider hotel need one convenient location . 
 Jun 11 2008 	 Lovely Old Hotel 	 stay one night Roosevelt March . room quite large NYC standard . bed great , comfortable . wallpaper / paint look bit old , somehow , work historic old hotel - not bother might modern hotel old wallpaper / paint . the doorman wonderful - pose picture daughter . car wait pull husband try load luggage quickly , daughter ask doll , begin tell car wait , bellman say & quot ; oh , Dad , get doll , take minute & quot ; . heart that . we book package include breakfast buffet - highly reccommend - buffet fabulous ! lobby area beautiful , great take photo . 
 Jun 11 2008 	 Rudest hotel staff ever meet 	 location hotel absolutely brilliant want explore New York City - standard staff 's competency friendliness leave lot desire . they make mistake checking rang 11.45pm second night , demand come reception help sort - manager 's apology alone not replace good night 's sleep need work next day . my customer tell check yet rang speak , even though already check 3 day , check staff refuse let put suitcase storage room - offer generous tip . even , porter glare inconvenience he . for breakfast , cough whopping 30 buck , even want cup tea ! room card keep getting disconnect , kepot go elevator replace . on top , & quot ; lost & quot ; colleague 's reservation , ten dollar tip make & quot ; reappear & quot ; ! way , room dark depressing , want chance ask room high level noise . 
 Jun 10 2008 	 terrible experience recommend 	 stay hotel business 5 night . move room twice first time traffic noise second time problem water pipe room . people reception desk terrible customer service always make seem like fault issue . rarely complain hotel case unable sleep first 3 night . not towel replace chamber maid would expect class hotel . also find porter would acknowledge pull hotel limo try upper class hotel miserably fail . consider stay please look elsewhere ! ! 
 Jun 10 2008 	 wonderful Bed ! ! 	 get room wonderful hotel $ 150 priceline . com lobby stunning close Grand Station Times Square ( tip : seafood restaurant Grand station excellent cheap ) whole day walk manhattan bed feel heavenly . room clean nicely decorate . ( decent size , remember Manhattan say room huge ) staff lobby friendly give two queen size bed room request it . one thing though , coffe maker room one serve lobby ( Starbucks ) little pricy one find street . still memorably experience compare hotel availabe manahattan nice changep.s . & quot ; Maid manhattan & quot ; film Hotel ! ! ! 
 Jun 10 2008 	 Lovely Hotel 	 partner stay Roosevelt 3 night May . check immediately upgrade large room ( thank ! ) . hotel staff polite courteous . lobby impressive , beautiful display fresh flower . hotel bar right lobby could chill people watch busy day shopping sight seeing . room clean comfortable bed huge ! ! ! hotel right next Grand Central Terminal handy subway . plenty place eat near hotel time square block away . I would definately recommend hotel , would love stay real soon ! 
 Jun 9 2008 	 Fantastic Location Great Service 	 first port call America trip . we arrive three night stay happy check we early , additional charge . amazed close everything , Times Square easy walk away Grand Central Station could see hotel doorstep . we eat resteraunt one evening night leave continue travel room service . meal fantastic service excellent . I recommend friend shock see write review # 119 New York ! 
 Jun 7 2008 	 convenient location 	 stay couple night business trip : Hotel conveniently locate well refurbish . ; great choice business traveller though phone desk ! call front desk get one set , , still , whole thing annoying . room low floor ( 7th 8th ) zero view poor light , common NYC . 
 Jun 6 2008 	 one - Nighter 	 stay night - great ! arrive hotel morning ( 10 am ) planning store luggage hotel could explore NYC , guy front desk able get we room right away . comfy clean . plan stay another budget friendly hotel , find great deal hotels.com save ton . overall great experience . 
 Jun 1 2008 	 Great Location 	 choose hotel 4 - night stay good rate could find ( $ 200 canadian superior room hotels.ca ) . hotel fancy look lobby , superior room fine , size normal hotel room , flat - screen TV . room look fine complaint rather soft slightly uncomfortable bed . everyone seem friendly give we room early ( 9:30 ) . location great ... close Grand Central Station short walk Rockefeller Center Times Square . great breakfast place walk west 45th . try Top Rock ( Rockefeller ) instead Empire State Building -- - great view without wait line ! 
 may 30 2008 	 great hotel price 	 husband stay Roosevelt Hotel first trip NYC . find great rate hotel Memorial Day weekend please quality amount pay . give upgrade king room instead original room book . begin little bummed room 3rd floor view mechanical equipment hotel . however , think prove helpful room hardly definitely keep street noise . bed comfortable bathroom small still job . plus Bath & amp ; body work toiletrie nice touch . hotel could use little TLC carpet pull away wall near air conditioner . happy hotel price pay ... however , pay much money would probably disappoint . concierge helpful need never problem housekeep front desk . love Roosevelt 's location . close Grand Central , Rockefeller Center , Times Square . easy time get anywhere need small amount time . first timer city definitely great find price ! 
 May 28 2008 	 pleasantly surprised 	 get bargain rate $ 167 [ -- ] one - night stay Memorial Day weekend . expect lot pleasantly surprised favorably impressed . upgrade deluxe , corner room lot space somewhat under - furnish . find service well responsive many NYC hotel ' ve stay . bathroom small could use update comfortable stay would return price right . 
 May 28 2008 	 good location 	 hotel well locate midtown , rockfeller center , empire state building time sqaure . good look hall room . the room quite big clean . employee kind friendly . 
 May 26 2008 	 Great Hotel great location 	 stay hotel week may , book 24 hour sale rate Expedia , say pleased stay . bed comfortable , bathroom modernize room , towel sheet always clean . conciege reception desk staff helpful job well . negative room size , small enough ... ' spend whole vacation inside room . couple travel husband actually get big room bathtub ( pay ) , guess room small . bottom - line : great hotel , great location ( close Times Square Grand Central Station ) . totally worth ! 
 May 23 2008 	 excellent midtown location great hotel lot charm 	 Stayed Roosevelt wedding . function superb food beverage high quality . I room 2 double bed spacious new york hotel room . end corridor nice quiet . great location , block Grand Central , easy walk anywhere . convenient shopping able drop thing head need . would stay anytime 
