absolute 	 travel , stay White Swan Inn , San Francisco , perfect . staff always extremely attentative helpful . hotel 's ambience surpass other . beautifully appoint room antique , fireplace lot extra ammenitie . inn centrally locate important SF site . everytime opportunity SF , always stay White Swan Inn . price value beat . honestly think thing would made stay well . 
 charming boutique hotel 	 wife spend 4 night attend conference . location excellent , minute Chinatown Gate Union Square . staff helpful friendly . multicourse hot breakfast pleasant surprise , usual muffin coffee . room comfortable , well appoint , fireplace welcome SF night cool foggy . would gladly stay again . PMM Michigan 
 Jun 29 2005 	 great option conference hotel 	 recently attend large conference Moscone Center San Francisco . rather stay conference relate hotel wife opt White Swan Inn . impressed cosy atmosphere inn , close proximity point interest transportation , particularly fact inside front door feel distant city large San Francisco . find room quite spacious , decor well appoint , note comfortable bed . evening social get together downstair parlor opportunity meet talk folk part country share thought experience place visit see , something difficult impossible large hotel . feel though literally home away home . give chance return San Francisco return White Swan Inn . 
 May 7 2005 	 Cosy hotel 	 stay White Swan Christmas , great time . pour rain SF , room fireplace , big nice sit chair , feel cosy . great big bathroom deep tub ( bring drain cover super deep . ) microwave free drink room . staff good restaurant recommendation . breakfast excellent , wine hour nice except quality wine strictly average ( management say look work . ) fairly pricey , worth . would also check sister hotel next door , Petite Auberge . 
 may 6 2005 	 beware bathtub ! ! ! ! 	 give hotel 2 star rating Hotel ... 's large Bed & amp ; breakfast distinct problem . # 1 bathtub absolute nightmare ! Think & quot ; YUK & quot ; will get mental picture . old be rusty corrode around drain . hotel supposedly redo next week , good ? get rob daily hot bath & amp ; wear flip flop shower foot not touch black stuff . ask switch room , one available refinish bathtub BROKEN FIREPLACE ! ! ! real classy . # 2 eyesight problem , not try watch tv . 's million mile away bed . # 3 bed REALLY comfy , rest room need help . # 4 old , old , old elevator . # 5 ok , ok ... be within walk distance Union Square & amp ; Chinatown . however , hotel along Powell Street ( Westin St. Francis , Chancellor , etc . ) MUCH convenient ! ! ! want stay Powell , choose Orchard . the save grace B & amp ; b yummy breakfast buffet , SUPERIOR wine/ fruit & amp ; cheese sample 5:00pm , adorable bellman , Louis . way would ever stay b & amp ; b send voucher free night 's stay refinish bathtub & amp ; fix fireplace . otherwise , hefty $ 200 price tag , ' m Westin St. Francis . Hope reveiw help ! 
 May 4 2005 	 Wonderful Nostalgia 	 stay 3 night White Swann Inn thoroughly recommend , room beautiful comfortable staff extremely friendly . perfectly position touring city one block cable car Fisherman 's Wharf , Union Square China Town . complimentary breakfast good ! 
 May 3 2005 	 White Swan lovely ! 	 friend return England wonderful two week tour California son . last two night spend White Swan Inn San Francisco not disappointed . first impression friendliness reception staff . helpful give we much information advice regard restaurant , bar etc . impressed room ... lovely furnishing lot space not seem get english hotel ! within minute knock door enquire everything require ... nice touch . hotel lot character pleasantly surprised find could meet fellow guest late afternoon buffet wine etc lounge ... doctor order hard day 's sight seeing . White Swan 's location central minute walk hill Union Square China Town .... take cable car back drop we close hotel . , great end brilliant holiday would certainly recommend White Swan anyone want central hotel great value money . 
 May 2 2005 	 overrate 	 okay hotel , bit overrated tripadvisor . * room okay , fireplace work , even though ask fix , never get fix stay . bath tub , shower . * breakfast alright , well breakfast holiday inn , good bed & amp ; breakfast . * elevator terrible ; old , someone forget close door ( not shut automatically ) , nobody could use elevator . several time , use stair get room top floor.we switch different hotel ( commodore ) two day . 
 Apr 20 2005 	 complete second stay White Swan 	 enjoy good access Union Square lot good restaurant staff good advise . room old english style fireplace switch bed . breakfast especially delicious enjoy meet guest wine cheese buffet late afternoon . room refrigerator stock soft drink water without charge not happen big chain . bath toiletry especially nice time . think price reasonable consider nice breakfast glass wine evening . 
 Apr 18 2005 	 good bad .. still favorite 	 feel gleam review must try give clear picture Inn . luxurious Inn many place miss , favorite SF hotel . personality , wonderful customer service , clean nice sized room fireplace , good breakfast fresh fruit , egg , , afternoon wine reception visit guest . this Inn perfect staff clearly train well friendly helpful suggestion restaurant , site , shopping . property swank , modern , marble headstone new age . credit card like key door , buzz enter hotel give & quot ; house & quot ; key . remind name imply , country Inn , reminiscent stay Aunt Mary 's house , much well . hallway room little dark may give idea choose wrong hotel . however , open door room know home . fireplace room large city hotel book shelf , homey wallpaper , window open . ample sized bathroom , new , tub shower curtain , hair dryer , quality shampoo lotion , clean comfortable , hotel one could use shelf space bathroom . web site list various amenity . the location 3 block union square proper . within site hotel small neighborhood grocery type store restock forget item restaurant nearby . 
 Apr 6 2005 	 incredibly romantic 	 call White Swan Inn check stay could romantic weekend life man ' ve love 32 year never couple . right away ask expectation stay SF . tell statement sprung action . day later , receive call Nevin idea together could make stay right movie . never experience level service enthusiasm show potential guest . good word make stay something right romantic movie ever . offer personal world class service without invasive . bowl thoughfulness . room look like belong Jane Austen novel every thoughtful detail attend . throughout stay everyone hotel gracious . even check bellboy bring bottle water car ride . great feeling staff go beyond expectation every turn . would highly recommend hotel location , quaint charm first rate service . price reasonable receive . even enjoy sherry late afternoon , greet manager hotel . truly lovely rank top list ( stay notable hotel Penisula Hong Kong . ) try hotel , will not disappoint . 
 Feb 17 2005 	 highly recommend 	 stay White Swan Inn 4 night February 2005 . satisfied stay . comfortable enjoy many extra - turndown service , chocolate , rose room , Aveda bath product , quality breakfast , fireplace . able attend afternoon wine service city afternoon . location covenient - close transportation restaurant . 's charming Inn wonderful service great value . would stay SF future visit . 
 Feb 2 2005 	 ok - expect review 	 stay one night belate birthday little dissappointe . room nice & quot ; used & quot ; . trash floor bed , two nightstand break not seem quaint like old . fireplace nice bathroom small . couch room sink ground sit . wine cheese ok . ( napa little spoil regard wine . ) breakfast nice . , ok would stay . 
 Jan 19 2005 	 nice kid love ! 	 stay one night two child ( age 3 6 ) . staff helpful could make kid happy . walk dinner Lori 's Diner Sutter Powell ( kid - friendly ) comfortable night snuggle fireplace . king room large quiet ( street noise little sound guest ) . breakfast bring room go downstairs dining room . leave bag warm chocolate chip cookie two big balloon kid . ' ve stay many s.f . boutique hotel far well all - around ' ve experience . 
 Jan 16 2005 	 brilliant place ! 	 stay SF number time time different hotel ( Holiday Inn , Hyatt Regency other ) year Sept ' 04 pick White Swan follow review Tripadvisor . totally live expectation : friendly helpful staff , lovely public area interesting time amusing piece art ( pottery , picture , ornament etc ) terrific bedroom : large , well furnished , gas fire , personal library , fridge / mini kitchen area . good breakfast nice touch cheese wine & quot ; tea - time & quot ; .great place ! Terry - Coventry , England 
 Jan 14 2005 	 great place stay alone SF ! 	 cozy comfortable , real delight stay White Swan Inn . unable get room business trip large hotel happy read White Swan Trip Advisor . lovely Inn everything reviewer claim ! business friend stay Hotel Monaco room pricey , small , cold , bold stripe pattern ! hectic schedule quite delighted surrounded comfort cozziness ( large ) room . San Francisco boast many hotel big price wonder White Swan many amenity fair price ( great location , wonderful full breakfast , courteous attention , clean cozy , comfortable bed linen ) . thank , White Swan , enjoy 2 night plan return . remind quaint Euro hotel comfortable trimming . 
 Jan 8 2005 	 Birthday remember 	 mother 's 60th always want see Golden Gate Bridge ...... White Swan Inn pamper we ! wonderful breakfast morning ( quiche ) hot tea wine afternoon , thrilled . balloon , chocolate champagne waiting . room cozy . whole Inn quaint charming . warmth extend thoughout . Andy , Nevin Nadia extremely helpful direction reservation . fabulous time many fond memory . go back ! 
 Dec 27 2004 	 love White Swan 	 fiancé stay day Christmas wonderful stay . love fireplace room . choose breakfast bring we bed additional $ 5 decadent ! good location Union Square Nob Hill . definitely return . 
 Dec 15 2004 	 Good Spot 	 stay last 2 night honeymoon Dec. find staff helpful room good - sized . complaint 3rd floor room face away street . book room neat -- like fireplace , . favorite spot sit area downstair breakfast wine / cheese serve . sit least hour evening relax front fire . get Fisherman 's Wharf Chinatown & lt ; $ 10 via taxi airport $ 35 via taxi ( $ 15 pp shuttle ) . be 10 block get anything touristy . complaint room bit surprised bathroom . ' m sure hotel SF like , bathroom small shower ( seem shower maybe old hotel ) . would recommend hotel consideration , though think will stay near Fisherman 's Wharf return . 
 Nov 7 2004 	 great experience 	 one night fabulous find enjoy none less . arrive late partake evening wine / cheese enjoy breakfast . cozy comfort ground floor definitely require return trip ! want leave ! dinner recommendation L'Ottavo excellent ( close walking distance . ) negative $ 30 / day valet parking fee ( provide offsite service ) understandable since neighborhood gear toward park private vehicle . room comfortable although bathroom quite narrow . elevator take patience stair easily traverse problem . street noise problem time year could summer month window open . overall , great experience definitely return . 
 Oct 5 2004 	 Lovely Surprise 	 recently stay White Swan Inn start two week vacation two night . love ! great start vacation . room , staff , breakfast hospitality first rate . San Francisco not many sight lure room , would never leave . come back San Francisco , White Swan Inn first list . 
 Oct 4 2004 	 Pleasant Stay 	 recently spend couple night White Swan Inn could happy choice . room spacious , unique quaint , need cover . morning breakfast fabulous - would come back breakfast alone ! wine cheese spread could use little upscale - wine lack give proximity Napa Sonoma Valleys time thought could spend food . love feel like bed breakfast typical hotel . hotel disappoint ! 
 Oct 3 2004 	 great little inn 	 great 2 night stay White Swan Inn . staff excellent , room spacious , decor throughout well do . feel like small hotel London . Breakfast well do , lot little touch make great stay . complaint face Bush Street , air condtione , leave window open . lot noise especially 5:00 garbage truck arrive . make sure get one room back . 
 Aug 26 2004 	 second visit ` ` swan '' 	 find white swan last year stay 4 nite impressed return san francisco year , question would stay . Lara , Kim , Andy great folk kind word ... wonderful room , fireplace , tremendous breakfast , afternoon social tip eat ... close cable car , chinatown .... ' ve europe , canada u.s . never find hotel vlaue comfort.i rate 5 star .... 
 Aug 25 2004 	 beautiful quaint friendly 	 first trip west coast , husband stay White Swan Inn August 11 13th . friend recommend inn several select say certain would love - absolutely correct ! White Swan Inn certainly live reputation . beautifully tastefully decorate clean comfortable . addition generously sized room fifth floor fabulous breeze , room relax quaint keep we miss home . quiet peaceful , despite two block Cable Car route block Union Square . definately come back White Swan Inn return SanFrancisco enjoy amenetie well delicous breakfast evening cookie ! 
 Aug 18 2004 	 nice .... 	 Base positive review write , decide stay White Swan inn recent stay San Francisco 6 night . inn lot charm , room roomy , clean & amp ; bed comfortable . hotel good location walk Union Square , Chinatown , etc . , get chat qu breakfast & amp ; early evening wine / cheese social hour . now ... , room air conditioning ( sleep window open several time awake due city noise ) , television small & amp ; movie station ( could not sleep one night would watch movie available ) , bathroom small , pay use computer / internet service meeting room , breakfast average every morning , staff helpful tourist type stuff . thing may seem minor , excellent review give pass visitor , expect more . the next time visit San Francisco , ' probably stay Orchard Hotel even close trolley popular place SF . 
 Aug 4 2004 	 love stay white swan inn 	 family stay White Swan Inn July . great time . staff helpful , room clean nice . breakfast every morning excellent . 
 Jul 28 2004 	 Pleasant Stay ! 	 good : staff friendly & amp ; helpful ! nice evening reception , nice breakfast , clean room , like shabby chic , stay ! location great , walk take cable car powell street couple block away ! small 20 room . louis great ! ok : hotel old building , elevator little cranky creaky , problem walk & amp ; stair . hear creak people walk & amp ; stair ; remember old building . get room key . bad : window not lock room , not complain ask fix ; fault ! overall : go 7 yr old & amp ; great time ! 
 Jul 28 2004 	 EXCELLENT every way 	 first trip San Francisco could not well . everything hotel describe even well ... room - with FIREPLACE , breakfast , easy walk two fine reataurant city , knowledgable staff . 
 Jul 16 2004 	 third visit third teddy bear ! 	 stay June 11 - 13 2004 attend friend wedding . third visit . love ambience , large room fireplace switch . also love teddy bear . can not leave without one . breakfast excellent difficult enjoy low carb diet bread cereal . stay next SF . 
 Jul 14 2004 	 highly recommend ! 	 wife stay White Swan Inn July 7 9 , 2004 . extensive research on - line , select White Swan stay SF . initial impression staff friendly , place small . bellman help we luggage ( load cart ) wheel room - foot lobby ! also , hallway narrow crowded cleaning crew cart , etc . room ok . Bellman show we work fireplace , although really need since quite warm . note never could get work consistantly afterward , major issue however . also , room could use fan rather hot daytime . open window pidgeon threaten come since screen - could interesting ! nice touch include turn - down service chocolate complimentary soft drink water . complimentary breakfast average excellent hot egg dish day plus usual bagel , toast , juice , etc .. manage catch wine cheese taste one afternoon - nice . pay $ 179 per night plus parking plus taxis . seem reasonable downtown SF . one minor annoyance valet service take long time - never find exactly car go ! note use car couple time since drive somewhat stressful finding parking spot much ( include restaurant valet leave car middle alley park local BMWs Mercedes appently not really care ! otherwise , local nice / helpful however . ) - next time go fly / take taxis / mass transit . allow least 15 30 minute request car . also , high speed internet access . summary : highly recommend , reasonable rate SF , nice B & amp ; b atmosphere , bit calmness bustele downtown SF environment . 
 Jul 11 2004 	 great swan inn 	 recently stay white swan experience amazing . service great , breakfast bed amazing , fine . white robe , aveda product , old english decor big room fireplace . great hotel 
 Jun 21 2004 	 home away Home San Francisco 
 Jun 15 2004 	 Reserve early ! ! ! ! ! ! ! ! ! 
 may 24 2004 	 total agreement review 
 May 24 2004 	 little bit Paradise San Francisco ! 
 May 8 2004 	 home away home 
 Apr 18 2004 	 charming hotel ! 
 Feb 27 2004 	 always comfortable White Swan Inn 
 Feb 17 2004 	 warm invite - top Drawer ! 
 Feb 13 2004 	 Love love love White Swan Inn 
 Feb 12 2004 	 English Country Comfort - right Union Square ! 
 Oct 7 2009 	 un piccolo gioiello una città meravigliosa 
 Sep 29 2009 	 produit marketing mais des basique faible ! ... 
 Aug 27 2009 	 Hotel sympathique 
 Jul 13 2009 	 muy recomendable 
 Nov 11 2008 	 klein und fein 
 Nov 1 2008 	 EIne Oase der Ruhe inmitten der Großstadt ! 
