elegant 	 always want stay , use Park Hyatt . great location away Market St ( 8 min walk ) , close Hyatt Regency meeting location ( 5 min walk ) . hotel anchor western end Embarcadero Center Shopping tower - unfortunately many empty / closed store . still , close great restaurant North Beach & amp ; Embarcadero / Market ( one market , Slated Door , Kokkari ) . hotel sleek modern feel one enter lobby / bar area . fitness room compact well equip . firm comfortable bed w / high quality linen ( pillow soft taste ) . lot good lighting reading & amp ; work . flat screen tv add feature easy access medium outlet use iPods , video etc - useful ! noisy due siren firehouse station 1 block away , would gladly stay . 
 fantastic location easy access cable car BART walk distance Union Square 	 upgrade we Executive King Studio Suite . amenity great ... IPOD dock station room . literally across stree Embarcadero Shopping Centre . 3 block Union Square . 2 block trolley . would stay million time . staff quick serve . downfall : guy check we tad bit rude . 
 Jul 8 2007 	 Friendliest Hotel - Great Location ! ! 	 stay 2 night Jun 30 - July 2 , 2007 . great location tourism . everyone friendly . know name ... everytime enter exit would say hello goodbye name ! ! william- , concierge , helpful friendly . use Platinum American Express Fine Hotels Resorts book reservation , cost identical least expensive web site booking .... receive suite upgrade , 2 full american breakfast day ( 31.00 per person ) free dinner 2 one night unlimited cost ( ie : appetizer , salad , entree , dessert ... definately great benefit ! ! room spacious , good view , clean / update hotel / room . can not say enough nice thing hotel staff ......... definately would stay . thank Le Meridien , American Express Platinum review Trip Advisor wonderful stay ! ! 
 Jul 1 2007 	 Stylish Comfortable Business Hotel 	 Checking Le Meridien San Francisco smooth efficient : greet friendly staff person tell we hotel ' amenity assist welcome front desk person tell we room . front desk staff helpful throughout stay whenever stop ask question . in - house concierge staff also provide good service offer recommendation addition provide information ask . Le Meridien definitely business hotel – service seem geared clientele – ' stylish usual upscale business property . hotel nice public space seem update – perhaps hotel rebrande Park Hyatt 2006 . enjoy Bar 333 excellent wait staff interesting bar drink menu . Breakfast Park Grill relax delicious , pay price enjoyment : cost breakfast make we wish include nightly rate . Junior Suite city view : room include spacious , modern bathroom ( pleasant Le Meridien - brand toiletry ) , comfortable bed living room separate sleep area build - in television , dresser , safe , mini - bar unit . impressed slide door open , allow we get fresh air room , nice view city bridge / bay distance . Le Meridien welcome , friendly , comfortable hotel enjoy visit . may special competition ( San Francisco city fine hotel ) , ' good choice business leisure traveler recommend . 
 Jun 27 2007 	 Snazzy Hotel . well worth money . 	 go San Francisco friend 's birthday decide live Hotwire . Le Meridian somewhat difficult find Bart stop even direction . call ahead staff nice enough give we early check - in give we room high floor much well view . could see bay window . preconceived notion buy something discount website go discount service not case . everyone nice Bell hop pretty hilarious . hotel locate downtown Sunday , nothing really open . restaurant bar close early ' short walk Little Italy Chinatown stay open pretty late . Irish Bar across street thing open 9 pm . not attempt hotel restaurant though . good location pretty accessible mass transit touristy stuff . room gorgeous bathroom also pretty ornate . even give rob enjoy stay nice addition . definitely would recommend . 
 Jun 26 2007 	 great stay Le Meridien SF 	 visit Le Meridien long weekend , 6/21 - 6/24 find expectation hotel fully meet . after long flight New York choose take taxi SF International Airport cost $ 35.00 20 minute car ride Financial Center , Le Meridien locate . previously mention , BART train stop nearby somewhere along adjacent Embarcadero Center . check - in fast courteous . we book & quot ; Studio Room & quot ; , # 1906 , great view bay city , separate sit area separate large tv credenza , comfortable bed ' ve sleep , temperputic mattress . bathroom spacious , good basic ammenitie , separate tub , shower . Room keep clean , although turn - down service happen one night . we choose go eat every meal , except in - room breakfast first morning . service prompt accurate , food good ; usual elevated hotel price . San Francisco city easy navigate , partly be 7 x 7 mile ( hence San Francisco 49er ! ) , find Le Meridien centrally locate either walk ( love ) , take one electric - power bus , grab cab , even Trolley . everyone hotel friendly , courteous , specially Angela @ Conceirge service . always pleasantly helpful reservation direction , even help we rent car great day Sausalito Muir Woods . all , happy stay Le Meridien San Francisco , would definitely stay . 
 Jun 25 2007 	 Le Meridien Rocks ! 	 tough deciding stay San Francisco , husband extremely happy decision Le Meridien . let front desk know anniversary trip along fact first time away 2 year old . lady front say great room we . get room , 17th floor end suite ! room gorgeous . evening get back room , bottle champagne cheese cracker . hotel great location we not overcrowded . area pretty quiet weekend , okay . hotel close Ferry Building go around weekend , check Farmer 's market - awesome ! 
 Jun 19 2007 	 every room 's corner room 	 book hotel website , find good rate ( AAA -- $ 267 per night ) bay view king , 6 night . check - in fast have ever experience hotel . our room immaculate , view bay ( 19th floorroom ) spectacular . somewhat unusual footprint building ( stellate margin ) give every room impression corner room . room quiet , despite presence guestson side we ( evidenced & quot ; private & quot ; tag door ) .The bed comfy ( think one & quot ; bowling ball & quot ; mattress ) . plenty storage space two people , appreciate television hide cabinet use . bathroom spacious , usual amenity one would expect hotel price point . surprisingly , also bathroom scale , yield somewhat disconcertingresult almost week ( ) good eat San Francisco . our deficiency , minor one , one bathrobe room , even though make reservation two occupant . oversight correct promptly . breakfast include package , , supply coupon , one could order anything extensive breakfast menu ( value $ 31 per person -- unused portion coupon go server tip ) . food good , would not eaten not include . be quite pricey . the free coffee / tea lobby lounge every morning 9 am . the hotel centrally locate , across street Embarcadero center , minute walk Muni / BART station . less 15 minute walk , one get Ferry Building North Beach Chinatown . several different city bus also pick right around hotel . interestingly , room key gain admittance Yerba Buena art gallery , hotel sort partnership it . we check fitness centre downstairs , find wellequippe ( free weight machine ) , supply water andtowel . we pleasant stay hotel , would definitely come , particularly able match rate . 
 Jun 11 2007 	 Hotel restaurant always close dinner 	 great hotel , say close hotel restaurant dinner night substantially reduce value hotel , view . not feel like walk around city 's financial district business associate trying find quiet restaurant long tedious work day . tell hotel staff could & quot ; eat bar , & quot ; heck want nice meal bar ? hotel caliber price , would expect full service . , go back . 
 Jun 10 2007 	 Amazing View 	 stay anniversary amazing view Bay . room perfect . staff courteous . would not think stay anywhere else next time be town . 
 May 31 2007 	 great hotel 	 base review post tripadvisor expedia , book 2 room Le Meridian 3 night memorial day weekend . room quite clean spacious . parent ’ room corner , large great bay view whereas ' view . indeed , bed super comfortable . one night , husband try close slide door room , door get stick . moment call help desk , maintenance person come help take minute fix door . impressed . overall , pleasant stay , staff courtesy attentive . definitely return hotel need stay area next time . ( speak parking , since long weekend , able park car street two night free . ) 
 May 30 2007 	 Excellence - Hands 	 property exceed expectation . huge room size view , fantastic customer service . conveniently locate across street office yet seem exude much personality standard business hotel . view corner room simply wonderful . room include bedroom area well separate office , two point egress balcony , well appoint bathroom . indicate concierge small amount time enjoy immediate area , go way arrange transportation around city two fantastic restaurant , one lunch one dinner . excellent . note usually stay Four Seasons past enjoy room service Le Meridien much , much . look forward visit SF soon ( one favorite city world ) return Le Meridien . 
 May 28 2007 	 really like ! ! 	 really enjoy Le Meridien - friendly staff , nice room ( great bathtub bed ) good location , nice view . really one good hotel ' ve ever stay . highly recommend . get priceline $ 115 + tax . 
 May 24 2007 	 fabulous ! 	 fabulous location - great room , good view , comfortable bed . ask ! helpful staff . 
 may 16 2007 	 Fantastic stay wonderful staff 	 husband return 12 day trip California & amp ; first stop San Francisco . get incredible deal Priceline 4 night stay Le Meridien 29.4 - 2.5.2007 ; pay equivalent £ 50 night instead Starwood hotel website price approx £ 200 per night date ! - pretty happy even get hotel even , gem hotel . adjacent Embarcadero Center Financial District San Francisco . Center include restaurant staple Tony Romas & amp ; Chevys ( yummy mexican chain - recommend flauto & amp ; flan ! ) plus store Gap , Banana Republic , Victoria 's Secret , nine West & amp ; Williams Sonoma . sandwich shop & amp ; coffee bar - building essentially office store etc . , cater worker lunch break , 26 ( yes - 26 ) dentist work . opposite entrance hotel ubiquitous Starbucks , Jamba Juice San Francisco Soup Co. nearby . recommend Elephant Castle Pub opposite - 20 beer draft - turn local place could find open 9 Sunday night ( Financial District dead weekend hence bargain stay ) .The staff terrific - special mention great doorman friendly , helpful apologetic valet parking price ( steep $ 50 inc . tax factor price stay use twice ) . also overlook fact forget tip - be english 26 hour straight - always make we feel welcome . staff greet we friendly good morning day , room beautiful & amp ; immaculately clean even partial view Ferry Building Port San Francisco . first night arrive , return dinner turn bed , soft music CD player & amp ; 2 fortune cookie note thank we choose Le Meridien . we love location break hustle bustle Union Square - walk Ferry Building Union Square first day certainly not feel isolated . not attempt walk one steep hill Day one ... cab always front hotel reasonably price ( $ 8 boarding dock Alcatraz ) . also lot less pan - handler Fishermans Wharf Union Square area - many reviewer comment , make feel really sad mostly intimidate . say , think might felt uncomfortable 'd alone around high tourist area - , can not walk far without see someone beg & amp ; feel lousy say . stay Starwood hotel past Westin Times Square NY ( pay starwood rate via Priceline ) & amp ; hint low standard room customer service book cut - price web - site . highly recommend especially via Priceline & amp ; solid recommend even starwood rate . 
 May 10 2007 	 Quiet Location View 	 Le Meridien San Francisco Financial District San Francisco . stay Friday night late 3 pm check - out Saturday . one quiet hotel location experience San Francisco . 21st floor also contribute scenic view calm heart city . San Francisco basically five cluster major hotel . Union Square , Fisherman 's Wharf , Nob Hill , SoMA ( South Market ) four area much crowded local tourist weekend . a nice feature Le Meridien location one end Embarcadero Center complex . complex consist four large building outdoor garden walkway nice shop restaurant cafe . one pleasant area walk around shop eat urban center San Francisco wear . walk towards water lead historic Ferry Building half - mile walk Embarcadero Center complex . little $ 5.00 take BART train SFO airport Embarcadero stop five minute walk BART station Le Meridien sf.a unique feature hotel library room set lobby . hotel guest invite take book room reading . former elementary school teacher always enjoy see reading encourage . the price hotel generally high . room south side hotel ( face towards Market Street balcony . room north side hotel well view San Francisco Bay . try get floor 12 allow view adjacent building . 24 floor higher well . 
 May 7 2007 	 Fantabulous Staff 	 hotel customer service thing ! ! ! ! hotel staff absolutely amazing ! ! ! location hotel good . live New York City 15 year , amusing hear staff talk long walk 7 block more . we large room top floor city view parital view Bay Bridge along small patio . great late day drink long day sightseeing . bed comfortable husband want figure way bring home along comforter , least 300 thread count sheet . 76 year old mother law room 2 floor view even amazing . bay view spectacular , close personal , view Transamerica building . when arrive rain slightly ask Kristen , hope remember name , dark hair extremely polite pleaseant , know near drug store want buy umbrella , happily provide we one hotel ask would mind , name hotel . be free , darling , ! ! ! walk Fisherman 's Wharf dinner walk back upon return Kristen tell we keep look like rain morning .. mother law ask microwave floor one bring room immediately request strong hair dryer . I slightly sprain ankle sightseeing thing , nasty San Francisco hill , return , ask concierge , Laura , believe , hotel ice bag . provide laundry bag ice , say would call room check thorougly . 20 minute later receive call room Laura apologize one hotel ask need contact physician . I know seem like small thing , find usually small thing make break hotel stay . unreceptive , stiff staff little recommend hotel , however , Le Meriden proud people come contact . hope everyone choose stay least contact people mention assure stay wonderful ! ! ! 
 May 1 2007 	 definitely 5 Star - definitely stay next time . 	 stay 6 night , Saturday 21 April Friday 27 April . come back , definitely stay Le Meridien . rain upon arrival expect , rest week excellent time year . several hour search , wife find deal Priceline.com $ 1035 include round trip ticket two Phoenix SF , six night hotel . check hotel TripAdvisor read excellent review , take deal . TripAdvisor review accurate . staff friendly , helpful , always ready assist . housekeep superb . hotel room immaculate , upscale , perfect condition odor obvious aberration . beautiful bathroom spacious 6 ' x7 ' include bathtub / shower area . high pressure shower , fast hot water , high quality toiletry . main room 18 ' x14 ' , separate wall large entryway include bathroom entrance closet area . room contain king - size bed comfortable numerous various pillow comforter . sleep late every morning rarity since normally get back pain – even highly rate mattress . pleasantly surprised occur . room also contain night stand , desk , coffee table , love seat , single chair end table . 27 " tv sit 8 ' long x 4 ' high center contain mini - fridge , mini - safe , side drawer . air condition steady consistent little fluctuation . half outside wall room floor ceiling window . wall protrudes angle glass side room jut 4 foot building , give we much well view immediate area . also brighten room well . side , hear little bit noise street otherwise would ( least room 517 ) . consider fire station locate around corner opposite block , significant . regardless , much prefer window . PPV movie selection well normal many genre ' choose include international art film . movie price range $ 11 $ 15 , also include pre - release sneak preview movie $ 23 . two fortune cookie receive every day week , receive total 3 free PPV movie coupon . hotel excellent location , outside main tourist area , block major transit hub one easily get anywhere city little effort . arrive SF 10:30pm , miss BART come SF Airport pay $ 40 plus tip taxi . way back pay $ 5.15 BART minute . weekday traffic , BART would actually fast . 8 - 10 year ago ' afford rent car find need one , see city far enjoyable without one . due location , even well time . able tap WiFi hot spot room 5th floor , poor communication speed . opt $ 13 per day WiFi charge ( need ) . internet indispensable tool exploration San Francisco addition collection brochure , map etc . highly recommend $ 3 transit map purchase many place . fitness center excellent . clean , new , 3 treadmill , 2 recumbent , 3 elliptical , free weight , universal , fresh fruit , towel , cold water . value orient sacrifice comfort quality . get three . next time come Frisco , need search place stay , good price . the EMBARCADERO CENTER across street Le Meridien . nice place shop short time . also arts cinema . watch Black Book dutch english subtitle . suppose fact subtitle preclude mainstream release , movie strictly first - class suspense thriller exciting twist turn , center resistance WWII . time burn movie start , eat Fuzio ' Pasta across Cinema . share Chicken Picatta good . 
 May 1 2007 	 great business hotel SF 	 stay hotel numerous time Park Hyatt , summer 2005 , consult project . love - understated , quiet , great service , friendly staff convenient location make perfect base . return . hopefully staff style change new ownership . view north face , upper floor wonderful summer morning . like morning exercise , fitness room good location allow morning run along Embarcardero . 
 May 1 2007 	 horrible staff 	 come San Francisco celebrate 1st wedding anniversary decide stay establishment . long loyal customer Starwood Brand decide try Le Meridien . needless say , greatly disappointed . upon arrival hotel , greet valet , husband inquire car park , inform parking 5 block away . understandable , husband inquire secure , parking attendant rudely reply , & quot ; San Francisco , think ? & quot ; issue parking , concern shopping bag back car . okay ... valet rude , decide would ruin stay . upon check discover room king size bed request unavailable would room 2 double bed ... fine tired husband begin headache . later evening , husband 's headache begin get bad decide call operator see tylenol premise could purchase advise concierge would . however call , inform concierge incredibly busy & quot ; deal right & quot ; put , several people front . stay hundred 5 star hotel city around world never experience speak hotel staff rudely . needless say , get late evening husband decide retire evening . however , would case- 3 morning woken sound sound like people party next room . call twice informed noise would take care , even request switch room , assure management noise would take care , case continue 6 morning noise would die shortly tell , start . husband sleep evening . decide check early ask woman everything , tell dis - satisfaction basically nod proceed check we . make wonder require ask , obviously care satisfaction customer fail offer solution . car arrive , valet discover window leave open night bird fece inside car , something would result husband take car professionally clean later day . 
 Apr 26 2007 	 Impressive Hotel 	 wow ! impressed hotel . room absolutely beautiful . appreciate large shower , nice change hotel shower . bed excellent . will stay . 
 Apr 24 2007 	 one good hotel San Francisco 	 hotel comfortable bed ' ve ever experience hotel . beautiful property . room spacious . excellent view coit tower water . room 2411 skyline view - ask ! special touch give weather report everyevene next day , leave fortune cookie room , turn sheet , provide many blanket extra pillow . additionally , concierge helpful . location good , block Embarcadero Ferry Building , way excellent food market restaurant . hotel always clean quiet , perhaps not locate tourist zone . favorite place stay San Francisco . 
 Apr 21 2007 	 excellent bed well equip gym 	 Unsurprisingly , Le Meridien provide expect comfortable mattress ' ve come expect Starwood . San Francisco , room reasonably spacious usual desk office chair . especially enjoy use gym work 3 time stay . gym multiple elliptical trainer , weight machine free weight well complimentary water fruit . although not utilize , Le Meridien offer complimentary same - day laundering work - out clothe ( 9 am , ready 5 pm ) . staff exceedingly friendly helpful time need anything . Le Meridien provide complimentary business center , use many time . wait use business center , not pay internet access room . overall , feel quite pleased stay would stay . 
 Apr 14 2007 	 Room Improvement 	 positive thing hotel bed - big comfortable . front desk staff rather poorly behave particularly helpful . beware business traveller - need quiet place stay , not . hotel face street wall paper thin , hear neighbour time - walk , talk , singing , etc . room include complementary water inconvenient say least , shower average , list go . would prefer spend extra $ $ stay Ritz next time . place simply warrante $ 300 + spend suite . 
 Apr 11 2007 	 Marvelous Meridien 	 wow ... excellent hotel staff . love location well great view . stay 15th floor 24 story building . to hotel management : thank much take care we . wife stay 3 night , April 5 - 8,2007.your staff fantastic , meet every need . all dream come true celebrated 31st anniversary . may guest depart relax satisfied . awesome year . 
 Mar 29 2007 	 Return Visit Dissapoint 	 second stay location , wonderful ! SPG Gold Member , accomodate request upgrade treat we like Gold ! front desk concierge housekeeping , everyone extremely polite make we feel welcome well care . typically like stay close Union Square , service amenetie make Le Meridien worth sacrifice little convenient location . thank staff keep good work ! stay St. Regis bay area ! 
 Mar 19 2007 	 wonderful experience 	 family stay Le Meridian formerly Park Hyatt Embarcadero Center week New Years . room spacious terrific view San Francisco skyline . bathroom floor ceiling granite include shower . room extremely comfortable clean . bed comfortable comforter actually sleep good , something usually not happen us hotel bed . service hotel phenomenal around . front desk staff accomodate . husband business fax hotel everytime fax come thru front desk right top everything delivery thing . conceirge well ! ! friendly listen interest point we direction interest . everything suggest fantastic ! husband use gym every morning . pleasant work . provide chill towel scent mint refresh work . amenity gym inviting . downside stay hotel car parking fee . fee $ 50.00 per day . since business district plenty parking garage cheap , however , research opted pay hotel fee everyday know could easily get car anytime without walk 2 young child garage . whenever need car simple phone call downstairs trick always ontime car . although not young child tow be probably worth park public garage pay half price . across street pub type restaurant serve great food ! ! breakfast delicious way cheap room service . even get breakfast & quot ; go & quot ; one day let kid eat bed without room service price . hotel centrally locate within walk distance lot thing see San Francisco . walk cable car go China Town walk back China Town . lot walk see alot sight . highly recommend hotel anyone crave great service ammenitie . 
 Mar 11 2007 	 Super room great location 	 Le Meridien kind five - star hotel 's comfortable , still feel nice home - y clinical unfriendly . the lobby small , bar really table . Park Grill , hotel 's restaurant serve okay breakfast , nothing special . service bit slow , staff kind . room service fast efficient . in fact , everybody clean staff people man desk really friendly professional . concierge great help reserve restaurant book we complimentary town car ! not hotel . 's free car driver drive anywhere want downtown area thereof . even get ride back restaurant give call . sadly , service available weekend , be really great feature hotel . I stay regular double room great . bed massive comfy . toilet nice big enough separate desk toiletry , magazine etc . 's plenty storage space everything . for wireless internet connection work without hitch regular one speed great . the hotel 's location superb . 's quiet neighborhood Embarcadero , movie theatre across street Starbucks . block away Chinatown , North Beach club restaurant walk distance . downtown ( ie . Union Square ) also 5 block away , easily walkable . ' ve stay San Francisco many time location - wise , 's tough beat Meridien . 
 Feb 20 2007 	 Le Meridien Shines ! ! 	 reservation : got great rate use Travelocity AAA discount get we free parking ( N.B . : valet parking $ 52 per night ! ! ) .check - in & amp ; Check - out : polite , efficient , fast , accurate . room : great bed , furniture , bathroom , great linen , towel , bath product . room bathroom spacious well maintain . partial view SF Bay Bay Bridge . Additional Services : excellent concierge service ; free internet lobby business center . hotel gym BEST experience long time ; free weight , machine , excellent array cardio equipment , plus newspaper , water , orange , apple . location : easy walk waterfront Embarcadero . restaurant nearby , really need car get lot place want go . short drive Union Square , Chinatown , soma . close SF Museum Modern Art Yerba Buena Center . complaint : valet parking little slow fetch car occasion . overall : WINNER ! ! ! ! ! 
 Feb 14 2007 	 great location 	 stay Le Meridien right take Park Hyatt thing still bite chaotic - everything still say Hyatt . despite service great , room luxurious great time . room slightly masculine feel . room service particularly good . location great right near Embarcadero ferry building shop . easy walk restaurant , even walk North Beach . hotel quiet convenient . definitely stay . 
 Feb 5 2007 	 warm wonderful Chic ! 	 rare tht find true class chain hotel . the Le Meredien San Francicsco pure class -and trace snobishness ! greet warmly , able check early , upgrade lovely large studio room ( jr.suite ) incredibly tastefull furnishing , fantastic bed , wonderful bathroom stock interesting high end bath product , great veiw sky scaper San Francisco . upon return afternoon find birthday cake card - very sweet gesture . and cake scrumptious ! good coffee tea set Lobby morning . every single staff member smile helpful stay . loved location . while might ideal family looking explore SF first time , great location we already know city . much nice SoMa , Union Square , Market street . I look forward return fine hotel . 
 Feb 4 2007 	 soothe business hotel 	 last stay hotel Park Hyatt . remember stress even hectic business trip melt away enter asian - theme lobby . even though vacation trip , decide go back see whether magic survive change management , report have . the soothe lobby decor remain ( though 's disorient art installation extend panel revolve door ? ) . staff extremely pleasant helpful . business center hide behind concierge desk well - equip quiet . our room -- partial view Bay -- small side , extremely comfortable noise free . flaw -- particularly jarring otherwise well - tend setting -- light not work . and location can not beat . easy take quick stroll along waterfront calm jet - lag nerve , stone 's throw food paradise Ferry Building . it be business hotel , soothe one . 
 Jan 31 2007 	 absolutely Top Notch 	 Le Meridien San Francisco great place stay . room hotel fantastic . girlfriend especially enjoy comfortable bed . service check - in conceriege top notch , recommend great restaurant even provide personal contact nearby restaurant owner . hotel locate within block Ferry builide great place spend day grab breakfast . location also within walk distance Union Square Chinatown . hotel also complimentary car guest use prior reservation . great program shuttle dinner car available . room location , Le Meridien great place stay great city . 
 Jan 27 2007 	 Great Stay 	 stay Le Meridien 4 night , Jan. 3 Jan. 7 , 2007 , wonderful stay . book standard room , 2 double bed . room spacious well lay . hotel new , room 's furnishing nice new ( always pleasant ) . bathroom fabulous ( marble , super clean , large , great water pressure shower good soap ) . , really set Le Meridien apart concierge . book we SF 's good , difficult get restaurant short notice , go Micheal Mina , send we restaurant chauffure car , charge . plus , make reservation we mean make reservation 2 adult , 1 child 1 infant - i.e. , table 4 2 diner order ! would hesitate recommend Le Meridien want stay . 
 Jan 14 2007 	 Fantastic Hotel 	 fiance stay 4 night January . great hotel . room 21st floor , overlook bay bridge , floor cele window . bed comfortable , although comfortable one W Westin Hotels . Starwood Hotel expect . service top notch , comparable would experience Ritz Carlton Four Seasons . overall fantastic stay . 
 Dec 14 2006 	 terrific experience 	 wow , great hotel . room spacious clean marble countertop bathroom comfortable bed . use Park Hyatt hotel , amentie fantastic . skip valet parking park Embarcadero Center across street . be much cheap . 
 Nov 13 2006 	 Loved Le Meridien 	 stay hotel two night late Oct. really enjoy stay . loved room - spacious , comfortable bed , nice bathroom . stay 23rd floor , near elevator , incredibly quite . great view city ( check photo ) ! hotel great location - 10 minute walk Union Square China Town . one thing - bring car , not pay outrageous overnight parking fee ( think be around $ 45 per night ) , parking garage across street $ 28 ner night . would definitely recommend hotel , especially Starwood member . 
 Oct 30 2006 	 great location stay San Fran 	 hotel nice clean hotel huge room great area San Francisco ! new recently San Fran Chronicle design window ( Sunday , Oct 29th issue ) . walk Union Square 10 minute walk Embarcadero hit Fisherman 's warf 15 - 20 minute . we stay one night enjoy stay go back San Fran would stay . upgrade Junior Suite ( Gold Starwood member ) room awesome ! amazing view great size bathroom sit area . we breakfast room breakfast good . definately go area book ! 
 Oct 23 2006 	 lovely hotel great room great location 	 spend 3 night Le Meridien San Francisco October 2006 . beautiful hotel great service , huge room , good location . room spacious king bed , 2 upholstered chair , side table , large desk desk chair , large armoire minibar , drawer space , large tv . closet huge way . bathroom large , newly refinish marble tile vanity , lot mirror , great shower massage hand - hold option . toiletry luxurious towel robe soft , fluffy treat ! service excellent , everyone pleasant . two staff concierge desk weekend , cater need . know everything , great advice , lot map brochure . knowledgable pleasant . pay $ 120 / night Hotwire , incredible deal . staff never make we feel funny unwelcome despite low internet rate ( ' ve hear people report hotel past ) . concierge not look we ask cheap , touristy thing like bus route , treat we like customer there . restaurant room service incredibly expensive - $ 65 breakfast two , delicious , nothing extravagent . starbuck across street , bar across street also sell good breakfast much reasonable price . the hotel across street Embarcadero Center , business district lot shop , fast food , cafe , etc . two Walgreens block away . chinatown 5 block street , Ferry Building block way . North Beach begin block away , . wonderful location ! criticism hotel odd bathroom door - runner , like closet door , not close tightly . bathroom door always gap open . good thing want true privacy bathroom ! 
 Oct 17 2006 	 high price deliver ( mostly ) 	 great room , great ( though narrow ) view bay & amp ; Ferry Bldg , easy access Saturday morning farmer market , amazing array fresh stuff . place expensive , location , view , service -- worth splurge . parking rip $ 49 ( tax include ) . not check fitness facility : care be splurge ? get exercise walk City Lights bookstore , Brandy Ho 's chinese food , along Embarcedero glut Cowgirl Creamery bread shop inside Ferry Bldg . 
 Oct 5 2006 	 Pricey worth ! 	 hotel use Hyatt Battery recently purchase Le Meridien . stay hotel several time love . bed linen luxurious , room always clean , view great . think price tad high , quality gym , room , location make worth every penny . good hotel gym see SF hotel . hotel central Financial district make perfect business trip . first choice business trip SF . 
 Sep 25 2006 	 impressive ... 	 recent stay SF Mark Hopkins , last , disappointing stay , decide try much hype , new Le Meridien ( formally Hyatt ) . ' ve previously prefer close Union Square , however , recent visit City , discover Ferry Building , honestly say would much rather within walking distance ( literally spend day ! ) . be also Embarcadero right next hotel , 's lack nice shopping choice immediate vicinity . the hotel gorgeous . grand , top way , simple elegant . nice art deco decor throughout lobby bar ( ) . room fabulous surprise . book studio room , shock enter realize much like suite . 2 separate room ( living , bedroom ) nice sized bathroom gorgeous fixture . good part small terrace give way bay city view . quite impressive ! negative thing could point room fact shower / tub combo bathroom , seem really place nice , modern space . the hotel service flawless . grant , not ask anything unusual , everyone encounter friendly polite . I use small , functional gym . nothing impressive , still , clean new equipment . bottom line ... will stay . 
 Sep 18 2006 	 good location ; nice hotel 	 locate financial district , hotel well within walk distance soma area ( SF MOMA , Yerba Buena , etc . ) ferry building , great place spend weekend morning / early afternoon peruse farmer 's market . 's short drive cab ride Nob Hill pier ferry Alcatraz leave . public area hotel rather cramp pretty average . our room nice view bay -- probably worth pay extra $ 20 view . room really quite spacious clean , comfortable bed nice sized closet . tv sit bit low entertainment stand , work well nonetheless . nice Nakamachi stereo system sit top entertainment stand . bathroom tub / shower combination Le Meridien brand toiletry . would say , balance , room comfortable , though could perhaps use little freshening -- maybe new furniture , least , new covering sofa armchair . eat breakfast hotel -- get free part deal -- excellent , though course , would outrageously expensive pay . breakfast / dining area -- Park Grill -- quite nice , little outdoor terrace plenty space table . there nothing hotel make absolute standout , money -- pay 199 , -- would hard press find well option . 
 Sep 8 2006 	 make stay 	 stay 2 night celebrate anniversary . hotel upgrade we junior suite 23rd floor overlook bay . needless say , room impressive : great bath amenity , nicely appoint suite , impeccable service match . last night , front desk send bottle champagne chocolate - dip strawberry , toughtful nice touch . hotel centrally locate , walk distance restaurant , Chinatown , Fisherman 's Wharf , etc . since hotel business district , parking expensive . also pool wireless internet ( cable still available ) . overall , great property staff quick help smile around . 
 Sep 4 2006 	 nice hotel wonderful view top floor 	 stay three night Le Meridien San Francisco August . room beautiful , wide grat bed . staff nice helpful . give room 22nd floor , nice view downtown bay . the hotel locate downtown , near Jackson . nice place stay lot restaurant around block walk Chinatown . one objection : parking veryexpensive ( 49 $ per night ) . anyway , public parking next build 28 $ daily price . 
 Aug 30 2006 	 great room great bed great time ! 	 stay Le Meridien wife 's birthday thoroughly enjoy . locate close Jackson Square , Le Meridien walk distance Fisherman 's Wharf , Union Square Ferry Building ( great farmer 's market weekend ) . room large clean look renovate within last two year bed comfortable . water pressure excellent bathtub shower choose large bathroom ( bay view room Bay Bridge ) . also enjoy great breakfast morning bed . could happy experience definitely back next trip SF . 
 Aug 23 2006 	 Beautiful Property Service Issues 	 select Le Meridien romantic weekend San Francisco wife 's birthday find excellent rate hotel 's website . when check reception mention wife 's birthday , nice enough upgrade we large corner room spectacular view bay . unfortunately , key card provide work . neither second set , third , fourth . department blame another problem key , care key work . eventually security let we room . leave hotel afternoon , assure engineering resolve issue next set key would work . unfortunately , . security guard let we next time tell we surprised still use room , electronic lock work properly several week . immediate call manager , offer free cocktail free breakfast inconvenience , feel adequate , albeit overdue , response suppose 5 star hotel . other service ( maintenance ) glitch , everything fantastic . entire property modern tastefully furnish clean . hope give another opportunity demonstrate nice hotel . 
 Aug 22 2006 	 great stay 	 trip start San Francisco drive PCH San Diego stay 7 hotel 10 day . experience Le Meridien August 4 - 6 , 2006 could not well . give great room view Coit Tower , etc ... house car also available take & amp ; pick we Giants game Fri . night . everyone hotel helpful . like within walk distance Ferry Building & amp ; shop Embarcardero Center . walk Ferry Bldg . & amp ; ride F line Fishermans Wharf eat Bourdins & amp ; take cable car union square shop also . read take ferry ride Saulsilito lunch fun . not miss Golden Gate Bridge . would defintely stay . beautiful hotel & amp ; great location ......... 
