great 	 always pleased stay intercontinental hotel . Chicago especially pleasant helpful staff . 
 Jun 3 2008 	 Surprise InterContinental 	 government trip hotel one good one government rate . upon check - in surprised give special room 41st floor elevator entrance , two bathroom , load room , great view . hotel staff outstanding friendly hhelpful . food great . regret not bring someone share . 
 May 30 2008 	 Great Location Interesting History Lackluster Service 	 stay 4 night Memorial Day weekend . choose hotel due fact family attend professional organization 's yearly meeting hold location . bit concerned stay due many negative comment leave previous visitor . say overall bad anticipated would . location great . loby small get crowd noisy . able check early get decent room Historic tower -- pay extra money definitely worth view . room small comfortably decorate . bed pretty hard maid service spotty ( despite tip note leave ) . learn hotel quite history audio tour available . meet room 2nd-4th floor quite surprise -- will not spoil -- must check unusual beautiful space . fittness area quite nice , pool . must check pool -- Ron Howard 's film Cacoon & quot ; pod pool & quot ; sceen film . meeting attend well do . food service average busy large hotel . many wedding , reception , meeting go time staff handele well . this definitely & quot ; 4 - Star & quot ; hotel , not expect . service whatsoever . concierge joke , restaurant hotel . short , location history great . meet facility good . room small , clean , comfortable . service bad . check - in OK . must go eat MK restaurant Frontera Grill -- phenomenal worth price trip . Sofitel Peninsula primo choice city . 
 May 29 2008 	 good none bad ! ! 	 make reservation another downtown hotel , base price , still read every intercontinental review , wish hope could stay . shortly trip , find ad Travelzoo IC price less expensive pay hotel two block Michigan , book immediately . got early flight , doorman meet taxi . give we receipt bag , tell we would bring room room ready , pleasantly surprised tell room 25th floor ready we . check , way room 11 am ! , bag beat we room ! upsell attempt , glare book third party website , pleasant , quick , courteous process . the room small , sure , surprise . , however , clean , comfortable , well lay . much drawer space , beautiful flat screen tv put total 5 minute check weather report . view face tower , nothing great , , not sit look window . the room quiet , even though back elevator ( not hear , even ) . room make perfectly housekeeping staff ... everything immaculate , everything fully stock . bed extremely comfortable . the location prime # 1 reason stay . walk distance everything , overall , say , good hotel stay long time . highly recommend Corner Bakery ( everywhere ) , go , homework , read review , go open mind . glad . 
 May 27 2008 	 historic spendy great location ... 	 well last day four day stay Memorial Day weekend overall positive experience . pay extra $ 50 advice early write - up glad . view window 36th floor spectacular , esp . room 3603 . folk friendly , much like city . one notable exception friendliness reside oenoology bar hotel . people act like reject bad fashion show snootiness indeed male hostile outset . price eno high , cheese location good . try Hook Cheddar must patronize place . great . otherwise , many place preprandial libation . beat location hotel Chicago . room small . parent room like shoe box . understand historic tower , grab bag , give nick room rate , overall would go another location street ( Trump , Peninsula ... wallet stand meltdown credit card ) . stay , wander meet room floor 3 - 5 . amazing ( place build shriner quite historic . ) get view room happy . 
 may 20 2008 	 great state Intercontinental Chicago 	 ' ve stay Intercontental Chicago 9 time . item book hotel Priceline , however , book direct hotel several occassion . here be great stay Intercontental . POLITE STAFF . process hundred people day would surprised wonderful walk smile hearty hello . stay ICH Chicago time year always pay upgrade historic tower . always . be $ 50 upgrade , well worth , especially pay $ 100 priceline . buy upgrade , try get hotel right check - in time ask pay upgrade . not ask free ... never . polite ask corner room view river . however , go chicago twice year , ask Intercontinent Ambassador program . never join hotel program , one phone clerk tell seem good fit . 's $ 150 , get following:1 . automatically get room upgrade historic tower . use pay $ 50 night this2 . early check - in . usually get noon.3 . fruit , chocolate truffle , Evian wait room.4 . late check - out 4 pm . automatically . love this.5 . get free weekend night purchase FRI SAT night stay . let explain work first trip use it . I buy program $ 150 . book Memorial Day weekend Chicago . city book solid , cheap room $ 229 ICH Chicago . get upgrade $ 280 room get second night free . mention add perk , save $ 330 first trip $ 150 program . plus will use upgrade throughout year . good deal visit even twice year . Valet Parking expensive ( $ 50 per day ) service impeccable . internet also expensive ( $ 15 per day remember right ) ... wish free maybe one - time fee regardless length stay . otherwise be great hotel great staff . avoid eat Zest . 's disappointing . 
 May 13 2008 	 expect much 	 sad report Intercontinental Chicago waste money priority club point . expect much high end property receive little . priority club platinum ( 40 + week / year priority club property ) basic expectation express check , friendly staff , bathroom big 3 ' x 3 ' , clean room . check huffy clerk complain merge record use point pay stay . never look eye make attempt friendly . go downhill . notice several post reviewer recommend get ambassador club membership , would pay dime ! spend $ 21,000 hotel stay year far pay single cent get decent treatment decent room . please heed warning fellow traveler stay . Chicago believe well property get pay . 
 May 13 2008 	 wonderful Experience InterContinental 	 hotel great -- clean , quiet , beautifully decorate , good locaton excellent , superior , service . sorry get see pool . I would stay . fact , travel , research InterContinental Hotels first . 
 May 11 2008 	 Bustling Hotel Great Location ! 	 husband stay two day town fun . book Hotwire please hotel , especially consider pay $ 120 usd per night . arrive hotel 10:30 morning fully expect wait hour check , able check promptly . problem going put we room two double bed . explain man suppose king bed , would happy wait . get little agitated tell could upgrade , book online , guarantee certain room . quickly explain call check reservation two day prior certain girl reservation confirm guarantee king bed name would not mind wait regular king come available . soon say , king & quot ; room & quot ; pop room flash . , problem hotel . room 20th floor regular tower . small reviewer note , plenty space two we . like room feel european boutique hotel . location hotel probably good hotel shop everything right front ic head mile . one meal ( breakfast ) Zest fine . overprice like hotel breakfast , fine . nothing spectacular nothing bad . check 4 hour schedule airport , able hold bag bell desk shop . great hotel business tourist alike . 
 May 6 2008 	 Good Hotel .... 	 first good aspect - room old tower excellent - swim pool fantastic ( staff gym area great ) . situation hotel tremendous Chicago fabulous city . , not able check 9:30pm & quot ; room not ready & quot ; , date check people wrong take persuasion book room tell would move room floor renovate - room move would standard - problem . also ask stuff ready morning move staff would move . come back later day get new key told & quot ; check & quot ; - lengthy discussion told still check give key another room . room half size previous room next lift area - time outthe airline rang hotel ask tell flight cancel - tell & quot ; check & quot ; miss revise flight time . - thanks ! 
 May 6 2008 	 overprice ; bad service ; great location 	 colleague currently stay hotel business . the stay characterize bad service total lack attention detail : - maid service provide 1 full day , despite room service garbage lie around ( half eat food , etc . ) - laundry bag room- Package ship hotel temporarily lose ; Hotel request pick rather deliver room found- Room service unable accept food order temporarily- front desk clerk insist give 2 key 1 person despite repeat request 1 key only- front desk clerk provide mini bar key- Doorman provide wrong direction nearby destinationone might say minor ( except maybe maid service ) price charge ( & gt ; $ 400/ night ) one would expect near perfection experience one would get elsewhere . the hotel great location Michigan avenue room nice enough , many hotel nearby include Swisshotel , Sheraton , Fairmont , Hyatt , many other . 
 may 1 2008 	 ipod steal 	 ipod steal . management fill paperwork claim . direct call number process claim person would never pick phone would never return message . say not fault , warn leave anything valuable locked can not prove anything really steal . 
 Apr 29 2008 	 would never go ... 	 never really think go Chicago , friend go convention ask go .After much research Chicgo sound like great place .... especially Intercontinental ! ! arrive everything SEEMED really nice even Accepted 50.00 upgrade . think ... even seem ridiculous ! ! ! room indeed large pathetic view .... hot hot fact force ask FAN ! ! ! south use hot wheather God .... open window 5 star hotel ? tacky , Tacky ! ! mini bar Jr. size pretzel 6 buck .. charming say least ! bar downstir $ 11 cocktail Eggs Benedict ZEST cold . needless say nice thing go , ( except bartender snobby Rude ) , Bell man Maids ! ! ! thank God small favor ... Intercontinental Magnificent Mile ? magnificent ! ! ! ! 
 Apr 28 2008 	 Disappointing Hotel 	 book one night hotel Hotwire , disappointed facility , poor level service . drive , one come car offer assistance bag , parking , etc . 3 we stagger lobby door bag , hotel staff stand watch . one try even assist door . lobby particularly impressive , low ceiling , nothing distinctive . 3 chair , yes , 3 lobby . front desk person first try sell we expensive room , see 3 people reservation . $ 50 - 150 per night , could indeed get nice room . want stay $ 130 already pay . say give we & quot ; nice , large , corner room , particial view lake . & quot ; open door room shock small . even adaquate space access side bed . bed 8 inch wall clearance . one us crawl foot bed night . view lake , side highrise condo , nothing concrete sight . room one suitcase room , . use space available one , also forfeit access window , block narrow passage side room . closet approximately 40 inch wide 14 inch deep , little storage . climb 3 suitcase several small bag entire time . bathroom small poorly design , complete type industrial toilet find sport stadium . toilet dirty brown grime around base lid . shower clean , except black mold spot along grout . contact front desk see mistake make , since & quot ; spacious corner room lake view & quot ; tell . would acknowledge mistake make , give speech & quot ; upgrading & quot ; fee $ 50- $ 150 desire & quot ; nice room . & quot ; try third time , little later , resolve issue , convince talk robot . speech hand money want decent room family . star rating 4.5 5 , depend website , inappropriate property . 75 % say & quot ; amenity & quot ; include price room , therefore true amenity , must purchase additional cost . final insult condom available purchase basket snack top mini fridge . child discover along side $ 4 Snickers bar $ 6 mini pringle . intercontinental rival Motel 6 level service , inadaquate facility overall tackiness . ( apology Motel 6 , may unfair comparison . ) 
 Apr 28 2008 	 Nice Hotel way overprice 	 stay 3 night leisure trip . hotel fantastic location , bellman / staff front d - excellent . room king historic tower 19th floor , quiet , clean - however - way overprice . pay full price room , find & quot ; value & quot ; worth . amenity average , first class market public . maid service , cleanliness room great , beware - lot hide cost stay hotel - one already pay enough stay , pay nearly 50.00 park , 12.00 use internet , 20 + dollar workout , plus , plus , plus . beware hidden cost , book room though hotwire - offer special discount call directly . full price - expect lot . turn service , ( ' m sure would cost extra ) - overall good stay sure , somehow get cost .... might feel well & quot ; value & quot ; dollar hard time . 
 Apr 27 2008 	 love Chicago - care hotel ! 	 good thing hotel location Magnicent Mile , walk outside stroll street immediately notice overwhelming array shops department store . shop paradise serious shopper . open top bus tour ( hop on / hop ) station also two minute away . check – arrive 5.30am book room previous evening , check - in easy efficient especially time morning . notice later hotel extremely busy queue often see . room- room 556 face Michigan Avenue " Magnificent Mile " real view place 5th floor . room king size comfortable bed lovely feather pillow . huge plasma tv sit top cabinet good size - work desk handy catch work e - mail . broadband Wireless high - speed connection , work extremely well . long red sofa bed place beside large window . mini bar , safe wardrobe also neatly tuck comfortable spacious room . room modern 1930 ' décor , create soft cozy atmosphere . bathroom standard size shower bath ; good quality Damana toiletry also generously supply . breakfast – breakfast locate second floor Zest Restaurant . one order menu hot buffet meal , also include chef - cooking omelet ' . thoroughly enjoy every meal . bar – comfortable lobby bar offer cocktail , beer wine locate near reception . eno another bar , locate Historical Tower lobby level offer 300 variety wine 35 different type cheese selection handmade gourmet chocolate . next door hotel Starbuck ' coffee shop , find incredibly handy . facility – fabulous heated swimming pool locate 12th floor Historical Tower . pool junior olympic size beautiful blue Majolica tile fountain Neptune east wall pool . gym also locate floor . ATM machine locate near Business Centre Historical Tower lobby level . overall – give Intercontinental Hotel 5 star rating beautiful landmark building locate prime position Chicago offer comfortable quality room . ' nothing say dislike thoroughly enjoy five day stay . we actually love Chicago excellent shop / restaurant / cafe 's fabulous city traveller visit.- highly recommend Ellemay ! ! shop food - hard decide get 5 star ! 
 Apr 26 2008 	 disappointment 	 stay several year ago vague favorable recollection visit . stay old part enjoy traditional update room . time suite new tower charm comfortable . window high look dirty limited view obscure . sofa bed daughter worst encounter . price seem much high past . spite great location , doubt stay . 
 Apr 22 2008 	 price parking ridiculously high ! 	 wonderful day & amp ; evening Chicago , husband & amp ; unpleasantly surprised find upon check follow morning parking fee one overnight InterContinental Chicago $ 49 ! yes , hotel right Michigan Avenue , yes nice room , $ 49 one overnight parking seem inordinately high . usual $ 35 parking per night Chicago high enough , $ 49 top ; stay InterContinental ! ( book room HotWire , give parking fee cost book , will also leery use HotWire . 
 Mar 29 2008 	 great experience -- get hotwire price 	 intercontinental great hotel , helpful pleasant staff . 's central location , north river Michigan Avenue . facility high quality , 's good wine bar connect hotel . but normally pay relatively high price . fortunate get reservation hotwire pay economic price . one negative : charge extra like Wi - Fi gym . , excellent place stay visit Chicago . 
 Mar 28 2008 	 well advertise 	 stay two night meeting , much happy reviewer . room corner room king bed . not lot walk area , everything , include robe couch . like furniture decor , tv big flat screen . bed linen excellent quality . find staff unhelpful . fact , find everyone nice . wine , cheese , chocolat bar really good , serve food regular bar area , make pleasant evening . People right complain hotel charge everything , pay $ 100 hotwire priceline , would extremely happy . workout center good , pool absolutely gorgeous - throw back time lot chairss , tile , real deep end . miss swimmer . short - great location , nice hotel , bargain get via discount broker give everything . 
 Mar 25 2008 	 Great Hotel ........ awesome price Priceline ! ! 	 boyfriend stay hotel four night . booked price line $ 100 / night ( taxis include ) . nice hotel great location ! would stay . 
 Mar 23 2008 	 fantastic Stay ! 	 recently stay Intercontinental Hotel week . hotel wonderful location service great . we find staff helpful prompt . we highly recommend intercontinental travel need whether business pleasure . 
 Mar 17 2008 	 Good Hotel Excellent Location 	 recently stay Intercontinental . book throught Hotwire around $ 100 / night absolutely worth . hotel right Michigan Ave . across street Nordstrom Starbucks hotel . able walk Hancock Observatory ( 15 - 20 min walk ) , art institute Millenium park ( 15 - 20 min walk ) major mall shop . hotel itslef nice lobby room clean relatively modern looking . room small could not get room queen 2 double bed instead - but big deal . concierge able give advice list go , map , etc .. however want charge everything want use ( internet pretty expensive , fitness / pool area think $ 12 / pp use , toothbrush etc ) wouldv ' e nice jacuzzi lot walk cold would ' ve nice come back end day oh well ! tip : Subway ( blue line ) o'hare airport ( ORD ) easily accessible $ 2 per person . be almost hour ride get subway grab cab 's $ 5 ride intercontinental airport . , really heavy luggage lot luggage , point get subway , 's flight step get onto street . overall pleased intercontinental hotel would stay . pay lot , though , wouldv ' e expect big room queen bed . not know standard room , get room book Hotwire . 
 Mar 10 2008 	 nice place 	 beautiful hotel really neat wine / chocolate / cheese bar adjacent . room clean quiet . view lake nice . pool gorgeous ! ! ! not use go check impressed -- pool water warm . reason not give 5 star hotel charge extra use workout room -- think little lame . pool free though . would stay would disappoint pay lot room could not workout . 
 Mar 9 2008 	 Service not come close 4 star ! 	 hotel beautiful . nice flat screen tv , great view Magnificent Mile , nice furnishing . get room $ 79 / night Hotwire . honest , would not stay , even $ 59 / night . service terrible - concierge away desk , one else would help we find good place eat / drink / dance . finally , someone tell we great place go side town - Sangria . minor we , say accept 18 old club . , take $ 15 cab trip , Sangria tell we 21 . , go way back complain . ask front desk refund we cab ride , say could not . give we coupon free drink , time get back room , bar close . everyone behind front desk except one person treat we like second rate . top , everything cost extra - even toothbrush / toothpaste , case forgot , cost $ 2 . endless pocketbook love tip generously , ' m sure stay would wonderful , be like , will grudgingly hand $ 1 $ 1 tipping extra , add much spent room originally ! 
 Mar 9 2008 	 great location 	 great location ! walk distance many chicago hotspot 
 Mar 5 2008 	 good great Priceline folk beware 	 check 11 a.m. Friday , Feb 29 . ask 2 double bed tell absolutely none ( 11 a.m. ? ) . know chance take Priceline , feel * catch * upgrade & quot ; historic tower room & quot ; fit rollaway room ( 3 adult ) . option call front desk bluff except accept king bed 3 woman ( honestly consider ) pay $ 50 / night get big room . still get great rate end pay less $ 100 / person 2 night . the room nice , great . look south another tower ( new ? ) could see silver Michgan Avenue . bathroom vanity area NARROW . 's ridiculous fact unless be man woman w / no hair product , make - up hair appliance . the outlet situation bad . one outlet accessible near mirror outside bathroom ( outlet , space set hair dryer curl iron ) nightstand light clock already plug . use mirror dark ( unplug light ) without know time ( unplug clock ) . would kill offer power strip ? another outlet available nearly behind tv ( mirror nearby ) desk ( mirror ) . apparently woman not suppose get ready anywhere bathroom ( tiny vanity ) .The sink drain lock shut upon arrive require call Housekeeping open . promise rollaway ( deliver 12 - 1 p.m. per front desk ) room 6 1 call we 4 callback & quot ; Tiffany & quot ; ( give credit check back we ) arrive near 8 p.m . service apathetic part although location perfect hotel beautiful ( tour meeting area 2 - 4 ) , think average hotel , maybe 3 star , certainly 4 . 
 Mar 3 2008 	 return hopefully soon 	 first , get great deal Priceline risky . sometimes work , sometimes not , time , husband score big ! upgrade we refurbish vintage section hotel . room huge , view , well not really view , okay . experience three situation require phone call service , respond timely manner follow phone call make sure satisfied . even call 2:00a night discover heat not work properly . room within 10 min fix problem . wine , cheese chocolate wine bar ENO . cheese / chocolate / wine selection awesome , unfortunately service SLOW ! get around 7:30p Sat . wait staff seem completely overwhelmed prepared Saturday crowd . romantic . would return heartbeat . 
 Mar 2 2008 	 return ! ! 	 maybe come stay Embassy couple night , totally impress InterContinental Chicago . new tower room small decorate really cute . bed comfy room clean . you can not beat location -- within walking distance everything ! ! even free trolley go Navy Pier drop literally within step front door . concierge helpful polite . like wine atmosphere , Eno must ! ! , cool ! get hotel $ 90 / night Priceline may another reason like . 
 Feb 28 2008 	 great location average hotel 	 want fair . place decently decorate , room clean . not feel like 4 star . room service meal cold not prepare culinary delight . staff professional courteous . leave feel like 3 star . location great Michigan Avenue shopping site . not mind lackluster service , hotel not bad . price also reasonable . 
 Feb 23 2008 	 oasis Michigan Ave 	 stay IC Chicago several time . keep return location , pool fitness center . walk door right onto one vibrant street US . bit pool buff IC boast favorite indoor pool America . Fitness center include free weight , good range machine , sauna . service pretty good , although check line get little long busy time , although staff professional , friendly expect top notch hotel . 
 Feb 20 2008 	 great introduction one great city America 	 wife & amp ; draw hotel via conference wife present . wee bit pricey ( even conference - rate standard ) want sure good night 's sleep punish trip Australia . disappointed ! build truly lovely - mixture renovate 1920s recent . offer upgrade via traveller ' club ( forget exact title ) , membership pay upgrade ( plus assorted discount / accommodation voucher ) . opt exhaust 31 - hour journey home , glad - 2 large bathroom , living room huge comfy king - size bed . our area quiet , room quite dark heavy curtain draw - almost cause downfall next day , sleep solidly 11 am ( due jetlag ) wife 's showtime 1 pm ( fault - set alarm ) .staff good obliging . door staff friendly efficient ( many cricket fan , talk cricket bit ) . service problem promptly fix - cd player room work replacement come within 10 minute call . there tea - make facility room ( eg electric kettle ) , house staff obligingly bring jug boiling water morning time ( use make breakfast ) .Location mind - boggingly great - top Magnificent Mile within cooee business district . short walk subway station bit obscure - signpost , cut Westfield Centre road - figure study map plus ask concierge . we really use restaurant hotel . thank great location happy try different cuisine neighbourhood . visit bar late night ( weeknight ) , find restful quiet ( like ) .Chicago unusual early - spring snowfall visit . footpath generally lethal , door staff assiduously keep footpath front hotel de - iced . true mark magnificent service - attention small potentially uncomfortable ) detail . the hotel business centre , include pay - as - you - go internet in - house computer . computer present know WiFi room . I comment car - parking facility use public transport . all - truly memorable stay ! extraordinary . 
 Feb 18 2008 	 Excellent location 	 hotel great location ! right N. Michigan Ave . , within walk distance everything . room nice , bed one comfortable ' ve ever sleep . order room service one night average , really worth price . be plan take train O'Hare prepare little bit walk , 6 - 8 block . , great hotel , would definately stay . 
 Feb 16 2008 	 Excellent Stay 	 boyfriend go Chicago week Jan 28 - 31 . stay Intercontinental . go sign priority member free . get room $ 75 night hotwire . get expect new tower since book cheap rate get upgrade historic tower free . check 3 pm get 9 get check right . room 24th floor . spacious clean . bed comfortable view nice . staff helpful especially concierge . not eat hotel 's restaurant many option around . location beat . walk anywhere . ton restaurant shop right outside door . definately stay next time go Chicago . 
 Feb 16 2008 	 good location 	 previously stay Fairmont , unable accommodate we , recommend instead , think well Fairmont , location excellent . we get good rate junior suite , lovely , good sized room . room service prompt , staff helpful . the breakfast good , include room rate , excellent choice . however , dinner , restaurant seem cold - even though freeze snow outside , get impression not turn heating sit . large hotel , seem strange one bar one restaurant , plus wine bar . bar overflow conference attendee , impossible get drink . unlike Intercontinentals stay , not club floor , seem bit strange . 
 Feb 14 2008 	 Solid Service Amenities Great Eco - Practices 	 Intercontinental Chicago centrally locate Magnificent Mile , nice guest room good amenity , Starbucks inside property , solid service . on top , hotel couple special feature : -an aggressive greening campaign throughout operation - include energy efficiency , waste management , water efficiency , guest communication eco - friendly activities.-a spectacular art deco swimming pool several common space truly unique grand historic , old - hotel glamour way . my stay competently execute part ; bellman particularly accomodate . complaint 5 wake - up call come 5:30 - anybody depend solely hotel wakeup call not set alarm deserve get . bed comfortable high quality linen ; even small room nice extra furniture room work . 
 Feb 6 2008 	 Sweet ! 	 great location , great price . run towards lake side road . close shopping tonne restaurant . safe surround area . block close train station ! 
 Feb 4 2008 	 great location price 	 family stay 3 night , 18 - 21 Jan , happy location price thru ' hotwire $ 99 per night . room new tower , 2 double bed , little tired basically fine , although much storage space long stay . starbuck hotel open 6.30am-10.30pm , Walgreens opposite , lot shop / dept store . eat Sunday breakfast ( really brunch ) zest : pretty good selection omelete station make order . £ 12.50 we , £ 3.50 kid : reasonable thought 4 * hotel . even though truly freezing ( -25 wind chill ) walk Hancock Tower kid ( spectacular view , 10 min walk ) enjoy meal Grand Lux Cafe Fox & amp ; Obel Cafe ( 5 - 10 min walk ) . love Chicago enjoy Intercontinental : great value could hope get equivalent hotel London £ 50 night ! ! ! 
 Feb 2 2008 	 InterContinental ... great location enjoy Chicago . 	 stay every time visit Chicago . locate right Magnificent Mile lot shop restaurant right outside door . trolley available Navy Pier . find easy walk Millennium Park . visit January thrilled see add full - service Starbucks right lobby ... not leave building get latte snow ... even fireplace Starbucks . not miss wine bar ... also feature chocolate cheese ... try flight menu fun . like historic tower ... cost little really appreciate spacious room view . sometimes get historic room check - in $ 20- $ 30 ask ... ask not always let know . oh ... pool spectacular ... really keep like open 1920 's . 
 Jan 27 2008 	 5 * service . Outstanding 	 Intercontinental Chicago world class hotel . husband thoroughly enjoy stay . staff truly try anticipate every need attentive . immediately greet doorman / bellman assist we bag . check perfect wait everything order . we upgrade Historic Building give room view lake Michigan Ave . room elegantly appoint beautiful linen clean . bath large separate shower bath . room service prompt delicious choice . room quiet private . Maid service impeccable . pool beautiful 1920 's tile olympic sized pool . lobby bar comfortable lounge day sightseeing attentive service tasty tapasstyle offering . wine bar Eno offer warm sensuous place taste fine wine match either local chocolate cheese around world . intercontinental fine hotel truly care guest . 
 Jan 25 2008 	 Solid Business Hotel 	 solid service nice room . ask upgrade room usually accomodate request possible . beautiful 1920 's archecture well worth explore hotel . roof top pool miss . 
 Jan 19 2008 	 excellent location average room 	 stay overnight Intercontinental Chicago stopover way back Europe . hotel locate Magnificent Mile excellent easy access great shop number good restaurant . hotel house two building - historic tower modern annex . decor room somewhat unimaginative , room clean decent size . right next door Chicago Tribune , interesting build quirky stone inset facade famous building across globe ( think Taj Mahal St. Paul 's ) . hotel staff efficient room seem go competitive rate . Mag Mile , room look onto Michigan Avenue good view . although hotel undoubtedly good , nothing make stand . oh , can not go without coffee - 's Starbucks access directly lobby . 
 Jan 16 2008 	 good choice get good rate 	 get good deal Priceline , think $ 85 night . location : situate nicely north end Magnificent Mile . room : nice , clean room , good size . much view room , build . service : not get opportunity test service much , concierge friendly staff check . 
 Jan 11 2008 	 much well option look 	 hotel nice location Michigan Avenue , infront Nordstroom Hugo Boss . walk distance place Magnificent Mile . staff friendly eager help people . I stay suite , even decoration favorite style , confort might require upscale visit Chicago . try breakfast hotel , be simple dish delicious . 
 Jan 8 2008 	 great choice price right ! 	 book Interconti Hotwire , although site not reveal name hotel payment confirmation , buy bit & quot ; cat sack & quot ; . approach , however , give rock bottom price otherwise pricey hotel . pay $ 100 night whilst rack rate $ 300 + night . when arrive Interconti New Year 's day , hotel quiet reception staff attentive . get great room great view , although book Hotwire allow collect point loyalty card , manage get late check handy . unlike Interconti hotel , Chicago property rate 5 star 4 star farily reflect shortcoming . hotel main part ( rather typical chain hotel ) historic part ( wonderful decor ) . sure room two different build compare hall histroic part pretty spectacular . location hotel could well . walk distance many attraction , although January visit . come Chicago Hotwire get we another great rate , definitely stay Interconti . 
 Jan 7 2008 	 Huge Disappointment 	 ....................... stay thinking would nice , ........................... wallpaper fall wall . fan bathroom . what REALLy blow away $ 500 . /night even bar soap .... Littlle mom / pop motel supply ................... not waste money . Hotel Indigo one 's family beautiful . bath supply . well keep friendly staff ..... 
 Jan 3 2008 	 nothing great ! ! 	 wife stay New Year 's find hotel nice , nothing special . service live thi reputation short we , not rude , short . room nice , bed comfortable , bathroom bite small . flat panel tv allow Aux . input could hook dvd player watch movie TV . like we not care minibar room service , stay somewhere else . lot hotel area would offer experience cheap price . 
 Jan 3 2008 	 beautifully decorate 	 visit Chicago December 30th , 2007 January 2nd , 2008 stay Hotel Intercontinental Chicago . name price 4 star hotel Priceline end pay 1/3 price hotel . satisfied hotel soon aswe step lobby . beautifully decorate holiday season . arrive hour check - in front desk say would wait room ready hour . decide wait half hour ask . one girl tell we would wait another two hour room view ask another girl search thoroughly find we room right away . room tiny clean nicely decorate . bathroom pretty big size room . view decent think high enough get good view . perfectly locate among shop Magnificent Mile . room service bar drink overly price expect 4 star hotel . definitely recommend hotel also recommend book Priceline . good deal , name price . 
 Dec 27 2007 	 great location nice room 	 nice ( exceptional ) business class hotel great location shopping North Michigan Avenue . room fresh - feeling spacious , cramp , either , i.e . typical renovated hotel another era . bed room 1842 comfy ; heat & quot ; responsive & quot ; chilly night ; bathroom good luxurious , although nice range toiletry counter space spread . exellent housekeeping . thing expect good business - class hotel , e.g . in - room safe , coffee maker , etc . since leisure short stay , test internet connection fitness center ( lot power shopping museum instead . ) $ 48 / night parking charge , typical area Chicago . in / out privilege . not understand complaint another Tripadvisor poster : wait cold garage -- car quickly bring around front want it . there various restaurant Starbuck 's on - site . use Starbuck 's cafe breakfast since mood egg , panake , etc . latter fine , service excellent , although improve coffee ( bring Starbuck 's ? ) also lavish breakfast buffet , generally not go route . the Eno wine / cheese / chocolate bar look nice , busy thing . usual complaint place : music grate Euro - techno - loud something , conducive sipping wine . would ask turn ( ) stay . complaint minor happen : difficulty check desk could find reservation , one time confirmation number bury somewhere . ' can not say whether fault cedit card tgravel agency book ( use bill - back mile , use good room rate ) even check husband 's name , still no - go . book spare room , settle CC company hotel afterwards . reason , book use husband 's first name last name . someone think possibility . the room general quiet , face North Michigan Avenue north . holiday light ablaze , could also hear occasional siren go by . still , room ready , could check early . everyone nice polite . league Ritz Four Seasons , have happy stay . , good good rate , post rack rate would put league hotel . 
 Dec 16 2007 	 nothing special 	 five star / four diamond hotel , be still pretty nice despite low score . 's go type establishment , high expectation . build nice public area . combine top - notch location right Michigan Avenue short walk theatre district can not go wrong , right ? wrong . first , many little issue way place remodel . look like construction guy little sloppy . curtain room come roof , lids floor little offset recover dark nasty hole , door frame obviously repaint non - professional handyman etc . little thing , not little thing fork extra dollar ? hate pay $ 200 plus room , gut rob $ 10 wireless internet . bad part , not even work . complain not need pay least . think add access point strengthen signal make access free like many 3 star -type place ( Hampton Inn , Garden Inn , Fairfield Inn , name ) . want go fitness center long drive drain sweat . guess , guest pay ! breakfast nice , need cost much good dinner . top , make wait 15 minute cold garage get car . pay $ 100 valet parking two night ? nothing wrong attitude staff receptionist courteous nice say not want pay internet . think issue place relate management . get good deal , go ahead stay . 's bad place . well . 
 Dec 14 2007 	 lovely hotel 	 hubby stay one night shopping relax crazy Christmas rush . get great price Hotwire ' m sure be pleased , twice price would bargain compare hotel Chicago ' ve stay . location great , lot store restaurant right . walk hotel Union station . weather ok , be doable . day leave tho , sleeting , cab really necessary . the room comfortable , 5 star quality , other mention , watch extra ( mini bar , tv , parking ) . price outragious . knew go , stop 7 - 11 couple block away check in . they can not force open bottle water $ 6.00 , listen 30 minute music $ 10 . , not understand surprise checkout . this one hotel downtown pool , 's nice one ' ve see . not use , something consider think will time . a breakfast restaurant hotel would nice . starbuck option be fan . all , think wonderful hotel , nice staff would not hesitate recommend . 
 Dec 5 2007 	 great hotel fabulous location ! 	 weekend shopping trip around holiday , want something right Michigan Avenue . perfect location Magnificent Mile jaunt . great service , nice people , elegant interior , pleasant room . go ENO wine , cheese chocolate bar satisfy well . would stay without hesitate . 
 Dec 4 2007 	 Pleasant 	 stay two night main tower nice small suite upgrade due gold priority club status . room comfortable quiet even second bathroom . centrally locate hotel whose staff work hard please ; tough task give size hotel huge number guest . Starbucks lobby want avoid expensive breakfast restaurant . prepare occassional line access elevator front desk busy lobby ; bell staff work hard keep thing move . would definitely stay . 
 Nov 26 2007 	 ruin Wedding Night ! please boycott ! 	 book directly intercontinental -- special room wedding night . wedding , go Hotel excite happy . get , night change . treat rudely respect . tell us & quot ; room & quot ; even though confirmation number . instead show empathy , tell we go sit figure & quot ; us & quot ; . husband tux wedding gown ! apology ! concern ! give $ 20 told go find cab take hotel 'd & quot ; find & quot ; room . Intercontinental RUINED wedding night . tell anyone everyone experience . place suppose elegant . ' ve never treat poorly . never stay another Intercontinental Hotel highly recommend contribute place would newly marry couple ! ! ! steer clear place . 
