Welcoming 	 reception staff welcome helpful even late hour night . hotel nice , well locate . room basic , bit small basic furniture . bathroom however really nice multiple amenity . breakfast week end really good , weekday however limited choice always ask staff hot food . the negative comment hour opening bar . close 11 pm Sunday . 
 Jan 6 2007 	 pleasantly suprise 	 reading bad review bit hesitant stay Trafalgar , good price last minute booking business central London , not want hassle stay Paddington Olympia ( two usual Hilton stay London ) book delux room , Diamond member upgrade Delux plus . high floor , spacious , free water fruit . I bite nark whilst recognise hhonor status , not reward . booking tell could receive room upgrade , complimentry breakfast . I please quality room , modern , chitz . think bed particulary comfy ( opposite people review ) nice clean , soft sheet good blackout curtain . plenty lighting option room , bathroom nice , separate shower deep soak tub , lot large bottle toiletry . infact toiletry large ' ve come across hotel - could Aromapherapy Associates , like mo's . there little noise hotel room , either street public area . I not use bar time short , much time staff . time speak find friendly staff ever , neither appalingly rude either . maybe bit impersonal , nonethless , efficient . as location think great , desipte review find difficulty find hotel . good point : Room Style , Bed , BathroomBad point : hhonor benifit recognise , expensive internet 
 Jan 5 2007 	 Diamond member could well ...... 	 wife return six night stay Trafalgar . stay reward certificate . as Diamond member offer room upgrade free breakfast . find late Hiltons area book . Hotel ' ve come expect Hilton Category 6.positive : -The standard room put comfortable . -The bed big firm . -We like big bottle body wash shampoo bath.-although first floor , music bar loud we like member post . negative - the staff friendly we , must incompetent ( plain not care ) . example : 3 time get wake call request . ask front desk help book theater ticket never get back we . front desk tell we would book car service use day departure ...... next day find hadn't.-they spray sort fragrance hallway room daily cover smell carpet . fragrance pleasant.-there two small closet hang clothe , drawers.-room Service expensive good.-We charge $ 70 local call book theater ticket car service . 
 Dec 16 2006 	 great hotel eat ! 	 London office base area , often stay locally try Royal Horseguards , Charing Cross Thistle hotel . one far nice term decor , comfort spaciousness room . I like pack , noisy bar ground floor , especially can not hear room . would never beleive be one nois street corner world - room well soundproof . reviewer mention , seem little strange reception essentially bar , can not hear much go check - in , staff seem cope . room large , freshly decorate modern style comfortable . none chintzy fusty material find hotel . room stereo , dvd player game console addition usual tv broadband access . little touch large toiletry , fluffy dress gown slipper make feel homley welcoming . stay again . however . food inedible , room service atrocious vastly overpriced . Americans particular may shock even offend place manage cuisine . know granola actually crush corn flake branflake raisin lob ? certainly not , pretty surprised . will not catalogue full series error make course dinner breakfast delivery , suffice say never eat - number cheap nice place eat easy stumble distance . 
 Dec 11 2006 	 Beware Trafalgar Hilton Techno Trap 	 begin various example horrible service recently experience 3 night stay Trafalgar Hilton ? let us see - 2 twin bed receive Hilton Honors Gold member preference King / Queen ( 1 big bed ) . fix take next day involve simply push 2 twin bed together . deny different room due & quot ; booking & quot ; ? non - functioning internet connection box room take 24 hour fix least 6 call front desk vary degress assistance- discover laptop could plug directly wall work problem ? even internet connection begin function , next day problem return solve technician re - boot internet service room / floor ? take multiple call front desk receive vague indifference even woman saying & quot ; help & quot ; regard internet connection.- way get anything fix speak duty manager , not always effective either - although fair day 2 offer different room internet could fix . from loud , thump techno music bar / lobby hotel cause less yell guest receiptionist upon checkin ( evening ) & quot ; action & quot ; button phone ring ring ring ring answered & quot ; frosty & quot ; front desk people- call room service answer & quot ; need call back & quot ; .This bad hotel service experience ever have . never . 
 Nov 28 2006 	 Loved hotel - definately return 	 husband stay celebrate anniversary London . live London well stay variety hotel London past . hotel far exceed expectation . reviewer board really awful experience . shame treat well ( champagne cocktail arrival wait check celebrate anniversary ) , hotel goreous toiletry - full sized shampoo , shower gel body lotion , lip balm resting cream . giant fluffy towel , gorgeous duvet plenty television channel . overall upkeep hotel great , modern fun . iwould not neccessarily think parent would love , would comfortable less hip place . not breakfast - London hotel sell overprice food drink , instead walk 15 second close Pret Manger buy coffee breakfast reasonable price . without doubt bar extremely overprice , expect , plenty pub bar close much reasonable . overall , would highly recommend hotel , especially give fact pay 117 pound night ! London sensational . when return three day Paris , stay Thistle Charing Cross , 5 minute away assure sorely regret return Trafalgar - two hotel even remotely category . 
 Nov 22 2006 	 great deal well location 	 get great deal thru & quot ; last minute & quot ; stay friday night superbly locate hotel , next trafalgar square right heart London . agree previous reviewer , , staff & quot ; holy thou & quot ; attitude , give good get put . room facility truly 1st class although would baulk pay rack rate £ 20 breakfast ? ! ? wholly recommend stay especially company card . 
 Nov 21 2006 	 great hotel ! ! find service fantastic ! 	 find Trafalgar excellent hotel . use point weekend , business expense two . hotel treat slightly differently point - find service , good . concierge help book next trip ( even get show ticket Paris ) front desk take immediate action slight internet issue . deluxe double room good - big spacious enough relax comfortably . bad review must people ridiculously high standard can not stand even whiff issue . would definitely stay - amazing location , great lounge area lobby , good room ! 
 Nov 18 2006 	 unremarkable frontage fabulous location 	 return two night break Trafaflgar .room 409 paint chocolate brown colour . sound dreadful , actually quite modern ! . split level room divide 3 step . make sure wear shoe sock , might encounter unfortunate fate well half , , deep converstaion , start top step , end sentence , sit butt , low step , sore rear end . ! ( also beware go bathroom night , walk wardrobe , indeed Glass shower ! ) lot little extras room , Lip Balm , honey something relax balm , mega size bathroom toiletry . buffet breakfast ( cook ) adequate plenty selection , fresh fruit , yoghurt , smoothie , pastry etc . even order Gluten free bread day 2 ! staff restaurant enthusiastic inept however reception & amp ; concierge professionalBar appear much work ' watering hole ' usual London . look Clock , opposite Canada House ! 
 Nov 7 2006 	 get well still lack 	 stay twice place first open pretty nice modern hotel , service disaster . this time stay day free hilton miles service much well room average . room & quot ; double double & quot ; average London size . negative : - bed like sleep rocks- bathtub / shower awkward lean forward incline shower - Bizarre light controls- massive stain carpet lead bathroom- bizarre room service , leave message front desk would receive call back anywhere 5 - 20 minute later.- 15 pound non - wireless internet , that s ridiculous , get access card use internet lobbypositive : - staff overall friendly- Lobby bar seem finally crowd , past stay always empty- rooftop bar excellent- room pretty quiet- great location 
 Oct 23 2006 	 even Londn horrendous service 	 first thing say hotel experience SERIOUSLY depend amount pay . would recommend stay standard room . be crazy enough stay Trafalgar Sqaure , afford somerthe well . move . go even little bit away centre will get well deal . insist location - tourist admittedly pretty magical - must stay high standard room . if , experience may well pretty amazing . bathroom particualrly gorgeous , bed also worth talk , be lucky enough get view Nelson 's Column legitimately go home tell people centre London ( live London effect still appreciate ) . quality upgrade room undeniable . swish , clean comfy . however good room though , escape one obvious thing hotel . customer service truly , without exaggeration , horrendous . unusually London , staff encounter mostly british know be see good practice employ brits british hotel . rudeness something brits well ( say , british ) , be do finesse flick wrist , ' m sure devastating brilliant . fine Fawlty Towers style accommodation pay serious money Hilton own ( though - relevantly - Hilton brand ) hotel , imagine would amuse . good thing british rude people though , unlike fellow Europeans east , refuse accept rudeness , allow ( expect ) give good get . , britsh rude people gain respect start recognise equal . rudeness experience go far manager tell not even allow stay room , error guest going inconvenience . brilliant unresonableness , almost feel like applauding . instead , become sarcastic thank kindness manager soon begin understand . , hilarious stuff expect hotel price . finally , warn Hilton Honors member : although officially hotel part scheme ( indeed , pay room point fine ) , vip privilge . upgrade . free breakfast . could not care less tier level . show Hilton Honors card , be almost like disability embarasse acknowledge still want treat like guest . , hhonor people , lack tier benefitis rather like someone diss mother . may remain quiet attack inflict , never forget , certainly never forgive . 
 Oct 21 2006 	 enjoy stay price 	 stay Trafalgar 2 night business October 2006.initial sign encourage . other point , be really easy find . foot look Hilton Spring Gardens . be neither , really . be call & quot ; Trafalgar & quot ; throughout ( mention Hilton anywhere ) face onto Trafalgar square - 's back Spring Gardens . having find way , look recpetion desk could not find . , be point elsewhere site & quot ; reception & quot ; set 4 high table staff stand stand next . except not sight arrive . would get doorman find one , good book quickly . arrive room find smoker shower , bath . debate whether could face hassle change , receptionist rang ask ok . could hardly ask room bath smoke , agree find one . take 20 minute , arrive door , take new room helpful . breakfast pleasant , fiercely expensive . want 's traditional english breakfast ( cereal coffee ) £ 15 considerably top . add egg hit nearly £ 20 . not help inability waitress understand English 2nd day , leave wait egg have order have understand . all say , enjoy stay . fantastic location - theatreland , lot restaurant , Covent Garden , etc . , etc . easy walk . room large pleasant . bed comfortable non - feather bedding , request . experience , rate average . whether worth room rate obtain company 's booking system ( £ 215 per night plus 17.5 % vat ) another matter ... 
 Oct 7 2006 	 great location underwhelme hotel 	 spend night hotel whilst stay London . check – mid afternoon – room ready , go roof terrace bar , tell wonderful , wait room . roof terrace seat room hotel , good view Trafalgar Square , wonderful staff make sound . twenty minute ignore one member staff , seem concentrate serve guest seem know , go back reception see room ready . , go bar ten minute , order snack , half arrive waiter seem forget rest . fifteen minute later , still room , check staff apologise offer complementary coffee whilst wait . take twenty minute arrive , time key room . the lift hotel seem strange colour filter light , give eerie glow . room comfortable reasonably large consider central London location get . bed large comfortable , would expect quality hotel room there . the hotel fantastic location , Trafalgar Square , seem trendy modern property . would suspect hotel would appeal enjoy modern hotel setting , artistic lighting furniture , however , . back . 
 Oct 3 2006 	 location not everything * sigh * 	 family travel 's together may lose collect marble together . experience stay Trafalger Hilton early summer . pick Trafalger Hilton location , find fade ambience , hotel staff 's lack organization skill dreary . our family group consist ( age ) parent family group . try check , front desk claim lose one reservation . ( double check reservation phone day . ) ooop . three hour wait ' problem ' could fix . later find housekeeping ' lose ' reservation , customer would not check . would well front desk tell we truth straight away . would crashed one suite clean rest instead wait bar / lobby area . fyi : lobby real front desk . couple telephone table stick together computer . user friendly . the decor room badly maintain ' modern ' - minamalist sterile basically unconfortable . not ask bed . shudder . bathroom , could find light switch , bit grubby . perhaps housekeep crew problem figure switch well ? ( find switch fixture room great help . even directly outside room , feel funky ... disguise part entrance light panel downright kinky . perhaps modernism twist ? ) staff generally confused confusing . range accent interesting : necessarily bad thing add stinky attitude shake . breakfast nerve wracking experience dare ask second cup coffee . end wear one . no , would not stay . would not recommend . ' ve try place keep try establishment London not feel like sit duck ! cheer , good hunting . 
 Sep 29 2006 	 Hip stylish 	 fan clean minimalist line modern simplicity follow love hotel . frontline staff young stylish warm helpful . bed comfortable ever waste half day London stay indoor . find breakfast truly pleasant experience nice live ' piano ' music start day . like hotel central location bonus . 
 Sep 18 2006 	 location = great ! hotel = nothing special 	 location great – right Trafalgar Square . however , location , ' impressed . room bathroom small . outside , hotel classic , old architecture . inside , ' sleek modern . lobby look feel W Hotel . room clean small . breakfast ok , nothing special . staff friendly , make 2 mistake – 1 . forgot wake - up call , 2 . quote we wrong price car airport . quote we half would . shocked get lobby try confirm price . ok , ' think ' stay . 
 Sep 12 2006 	 Sleek Hotel great Location . 	 book Priceline excited stay $ 155 / not mid august . Trafalger square , location superb . staff pleasant . room clean hip . enjoy sony stereo .. sure neighbour : ) find check desk bit confuse square box worker around , que real sence order . lobby chic , light cool martini 's memorable .. think . great place 2nt stay busy London . highly recommend couple make memory . 
 Sep 9 2006 	 Location Location Location 	 Location . Straff come first there . room ok like contemporary feel room ( especially bathroom ) public area .Will stay Charing cross thistle future . enough say . 
 Sep 5 2006 	 Loved Trafalgar ... especially Location ! 	 stay Trafalgar three night August , 2006 . typical Hilton . matter fact , simply call Trafalgar . result , guest become confused simply look " Hilton " . property high - style similar boutique hotel ' stay . lobby area cool . many newspaper high quality magazine spread . large bar / lounge make majority lobby area . evening , DJ play music become quite scene . breakfast ( expensive ) serve downstair . reception area make four open station . really work guest staff . line , mass confusion ensue . like upgrade room second floor although impractical aspect high - style design . face Trafalgar Square , notice noise . upgrade room raise area leather chair ottoman ( comfortable ) work desk . two three step raise area low pile slippery carpet almost go fly due awkward position room . king bed comfortable large safe closet . bathroom modern clean . room good condition . the location ' beat . walk everywhere take tube . excellent casual take - out restaurant call " Pret " two door away . pick breakfast lunch bring back room . high quality sandwich etc . reasonable ( London ) price . hotel also close museum , million restaurant , half - price ticket booth Piccadilly , many theater area . London expensive ! cab airport $ 100 usd ! London friend tell we hotel arrange car driver way back Heathrow . convenient considerably less expensive taxi . even put charge hotel bill ... easy . enjoy stay location ? yes ! would stay Trafalgar ? sure … there many hotel London would probably shop around . 
 Aug 19 2006 	 GREAT SERVICE - Tired Hotel 	 stay Trafalgar Aug 8th & amp ; 9th . Limo driver could not find say HILTON building , eventually figure . location obviously can not beat . room minimalistic , tired , worn , clean . Hilton Honors member stay Hiltons world . ' m write service . excellent service hotel - good week ( stay 6 different hotel ) . staff & quot ; bend backward & quot ; helpful , ' attitude ' detect . fact concierge email 4 - 5 time arrive answer question . get feel though already know . unfortunately day terrorist arrest London due fly Ireland day . staff call 8 am alert situation . call airline Ryan Air stay hold hour try find whether flight go day ( due horrible mess airport ) . spend another 30 minute trying find another way we get England Ireland via train , ferry 's etc . wonderful make we feel safe secure tell we would hold room we fact could make country day due mess airport . reason alone would stay Trafalgar . applaud staff - management work hard renovate room ! 
 Aug 18 2006 	 Great Location Tired Rooms Horrible Staff 	 frequent guest Hilton Hhonours VIP Diamond member , stay many hotel around world think well positioned make realistic review hotel . the hotel one well locate hotel London , right Trafalger Square offer excellent access West end , China Town , Soho Buckingham Palace . the room good size however tired already . hotel managment do poor job periodical maintenance really show dirty wall , wear bathroom tired hallway . really shame see wonderful old building . the service hotel unfortunately leave alot desire . unfortunately many hotel London ( normally cheap one ) resort hire new ( cheap ) eastern european labour . staff hotel huge chip shoulder seem impression own hotel favour stay . happy argue general attitude poor indeed . would stay ? .. improve , problem else one stay London £ 200 per night great location ? try SOHO Hotel , absolutely superb boutique hotel great room , fabulous service funky . slightly Trafalger £ 20 £ 30 extra well worth ! 
 Aug 14 2006 	 need upgrade 	 stay hotel summer past 4 year . expensive -- location perfect theater usual tourist activity . room get & quot ; tired & quot ; ; bathroom floor stain carpet . front desk staff never english - first - language . year ( perhaps right heathrow security problem / termimal one closure hit ) , front desk staff less helpful usual . one front desk - staffer could communicate american teenager English . everything hotel decline except price . 
 Aug 13 2006 	 fantastic hotel central London 	 travel London often far good hotel ( class ) stay . location unbeatable , right London 's Trafalgar Square . central London 's attraction short walk away . the room large London standard love contemporary , modern feel . highly recommend boutique Hilton property ! 
 Aug 12 2006 	 's lot like LA 's Standard Hotel 	 hotel fun , super London location , remind Standard Hotel ( ) Los Angeles . take old hotel need rennovation instead full overhaul , add hip room accessory make seem modern . excellent bathroom room ! lobby hipster hangout . good service . 
 Aug 4 2006 	 Great Time Trafalgar 	 Hilton 's & quot ; new look & quot ; hotel . think W well hall / room lighting . lobby basically lounge - w . dj every evening bar rather busy night . problem concept , though suggest take room floor 1,2 may disturb music . addition , outdoor bar roof fantastic view Trafalgar surround area - so not take room 6th floor either - the bar right . room / bathrrom large well maintain . staff attentive friendly typical slow America service . lastly fantastic location ! ! . 
 Aug 4 2006 	 need little refreshing 	 use favorite hotel stay . stay hotel 3 night July , 2006 , find hotel get bit shabby appearance service . ceiling bathroom room paint peel ceiling , formerly nice blanket replace weird cheap - look tan blanket . service ok visit . hotel still trendy feel , could use paint job reminder employee guest come first . location hotel can not beat . drink bar GBP9.50 . bed moderately comfortable , great . 
 Jul 29 2006 	 Fantastic Stay 	 wife , daughter stay Trafalgar six night June . really love hotel . location great , right Trafalgar Square . need rollaway bed daughter staff accomodate . rollaway even quite comfortable ( accord daughter ) . design hotel fun interesting always , style come substance , thing not work right . bath tub leak water floor shower use . complaint . otherwise staff great , view rooftop bar spectacular , breakfast morning quite good . view , guess . stay turn well expect would definitely stay . 
 Jul 24 2006 	 highly recommend ! 	 Trafalgar absolutely amazing . room large spacious ; bed extra comfortable . everything hotel perfect . staff friendly , helpful knowledgeable . breakfast always welcome warm smile waiter remember room number . location also incredible , even though locate busy area London , double window keep noise bay . small rooftop bar , offer stupendous view London skyline . would definitely return whenever London . offer oasis peace civility hub busy city . 
 Jul 16 2006 	 Great Location . 	 stay one night , travel light quick night London . hotel excellent location . walk straight hotel onto Trafalgar Sqaure - grand . staff polite helpful . room clean service good . negative Schrager design minimalism quite boring , flat formulaic . design design sake . look hotel good standard , clean perfect . look style , decadence heritage one baby . grand location demand grand style . 
 Jul 14 2006 	 Trafalgar Hilton ..... great ! 	 go internet search hotel good location , reasonably price somewhat modern , least frilly , florally dowdy London prove quite difficult , come across Trafalgar Hilton . read review decide stay . 4 we stay could not happy choice . hotel great location ( 2 minute walk close tube station ) , walk distance Oxford Regent Sts , theatre , Soho . hotel modern , well decorate , fantastic roof top bar . room clean , modern , everything need include comfortable bed . bathroom large , include bathrobe , slipper large bottle moisturiser , shampoo great soap . disturb sign day ( disturb clean room sign actually puzzle play stick outside door frame something little different ) unlike hotel stay staff heed sign however leave message reception state would like room clean later would happy clean . fact hotel reception area almost bar ground level issue we seem reviewer . staff friendly time check time leave request query efficient great deal . would definitely stay Trafalgar Hilton would not even bother look anywhere else . 
 Jul 5 2006 	 difference 6 month make ! 	 stay hotel January 06 awful time . review stay post early site . husband complete Hilton Honors online guest satisfaction survey full detail vow never stay . Hilton Honors contact Hotel Manager duly contact we offer we complimentary stay . reluctantly decide try hotel . happy report hotel change immeasurably . always pretentious & quot ; designer & quot ; be , realise cool friendly rather cool rude . staff charming finally understand great service make great hotel . ever trendy bar , furnishing , design theme staff make break hotel . well do Christine rest team Trafalgar . 
 Jun 25 2006 	 focus 	 Trafalgar hotel super location . within walking distance many attraction London . hotel clean well keep guest focus . guest lobby . entry lounge often rent photographer fashion show host . guest room small , hard , twin sized bed . enough drawer space room light bathroom extremely poor . movie channel television work entire visit . would think traveler would disappoint hotel give rate . surprised operate Hilton . 
 Jun 14 2006 	 good hotel London 	 spend approximately 1/4 time London work . try several hotel , settle Trafalgar largely reason other mention : great location , great staff , great atmosphere . long hour office , be always good know always something entertain go Trafalgar Square . always find staff professional , friendly , fun , combination seem simple , travel realize 's rare commendable acheivement . staff actually seem fun spirit rub off . I second previous warning price drink bar ( 9.50 pound jack coke ) , keep mind bar one hot spot London . several place nearby cheap ( midwestern U.S. mind ) much fun . sport bar near Texas Embassy restaraunt one example . overall , love place . grant , majority time ' m company 's expense , price not affect much . be look great comfortable home - base see good London , would recommend . 
 Jun 12 2006 	 Hilton Schrager success ! 	 ' m big fan Ian Schrager 's beatiful minimalistic hotel ' ve never get beyond bar area since can not afford outrageous rate charge . Hilton do good job recreate Ian Schrager environment drastic departure standard Hilton type hotel . fact , Hilton branding find Trafalger , letter & quot ; H & quot ; remind Hilton . ammenitie execute differently Hiltons . reason , Trafalger may everyone . like post , stay Trafalger use Hilton Honors point . givin well equipt room without much view . Unilike post , realize use point give right room great view expense pay customer . expensive hotel folk pay stay deserve well view . favorite ammenity extra large bottle great smell shampoo , shower gel hand lotion . can not believe go London take ton space luggage bring back home think stay Trafalger every time use . marketing standpoint , think 's brillant idea give large bottle stuff hope hotel start . also many complimentary magizine lobby . pick recent copy Time London current listing thing . especially enjoy lobby bar Trafalger . lobby bar much work spot local tasteful entertainment early evening . like everywhere London , mixed drink expensive beer somewhat reasonable . chat bartender like , chance will comp drink buy drink twostaye Trafalger like stay axis world spin . center everything . recommend anyone deep pocket Hiton Honors point want stay unique hotel . 
 Jun 1 2006 	 Great Place Great Location little bit pricey 	 stay four night Trafalgar enjoy thoroughly . staff helpful courteous . receive newspaper morning free magazine lobby . room clean , quiet . sixth floor face courtyard middle , ' give we good view except worker office opposite . one weird incident watch couple likely lad sniff glue sleep face skyward Da Vinci pose . we check Trip Advisor leave , warning high price restaurant , ' eat hotel , find café round corner , serve traditional English four pound . the location superb , right tube close enough able walk lot site attraction . we drink bar , pretty expensive . ' remember exactly much , make point go again . on last night go booze get back hotel 3:00 . find main entrance press buzzer get let hotel . negative provide well security guest , really tricky figure inebriate state . we book trip Hotwire -- idea hotel ' get finalise deal . happy choice give we . 
 May 31 2006 	 Fabulous Trip 	 get good hotel ever stay . not listen negative review . husband stay two night celebrate 10th wedding anniversary . pay £ 360 include 2 night bed & amp ; breakfast dinner first night , good deal . ( hear people pay £ 215 room exclude vat , think little excessive ) . everything hotel luxury exceed expectation , staff friendly , food delicious , room modern / very clean , especially like roof terrace stunning view . hotel give we free bottle wine arrival room congratulate us anniversary , think nice touch . 
 May 28 2006 	 fabulous 	 wife recently spend 6 night Trafalgar . everything excellent : location , room , service , food . do not let negative comment noise service dissuade stay Trafalgar . be 50 's , party type , still wonderful experience . hotel headquarter Gumball Rally 3000 stay . hotel contact we advance offer move we Waldorf , explain would night , noisy party . decline offer regret . view bar roof awesome . panorama London 's good site . as service -- staff go beyond make stay pleasant . several staff -- quite young -- would check we way , offer suggestion go . way would ask we day , occasionally ride elevator we continue conversation . expensive , well worth . 
 Apr 20 2006 	 Excellent experience Trafalgar Hilton 	 wife stay Trafalgar Hilton April 14 April 20 . experience excellent . Trafalgar Hilton exceed expectation . simply put , pro stay Trafalgar ... 1 . LOCATION , LOCATION , LOCATION : locate right Trafalgar Square , Trafalgar Hilton within walk distance Trafalgar Square , National Gallery , St Martins - of - the - Fiends , Parliament / Big Ben / Westminster Abbey , Piccadilly Circus , Carnaby Street . London Underground station right street enterence Trafalgar Hilton ( Charing Cross - Cockspur Street enterence ) literally heart central London . also several restaurant / eatery nearby.2 . friendly attentive staff : staff friendly , professional , helpful attentive need . never rude aloof . take care need helping carry baggage hail cab convert money handle postage . 24 hour room service also plus.3 . attractive hotel / room : hotel ultramodern may everone , enjoy decor . tad minimalist , everything sleek , clean cool . room basic amenity one would expect ( toiletry , hair dryer , iron / board , internet access , tv / radio / clock , amble lighting , minibar , stationary , bathrobe & amp ; slipper ) . even newspaper ( Times ) deliver doorstep daily . room clean pleasant . the Con say Trafalgar prevent get perfect score reception / consigere desk midst restaurant / club somewhat loud music . however , not problem , people might . I wholeheartedly honestly recommend Trafalgar Hilton anyone stay London want center action ! -- Esper 
 Apr 13 2006 	 way cool 	 typical Hilton good thing . attempt young trendy seem work . fiftyish Americans schleppe bag Europe not feel least bit fashionable prepared feel intimated could nice . first give room directly bar . fortunately construction noise go afternoon complain nice move us floor . stay room would disaster bar get quite loud night . staff attentive helpful time . breakfast good , get we cab Victoria Station need leave , location perfect . definitely recommend . 
 Mar 26 2006 	 Excellent service perfect location 	 little worried reading past review hotel - surprise Mother 's Day want everything go well ... , staff excellent , service friendly attentive , could fault . room great size , especially London hotel , breakfast feast . think thing must change since early review opinion great hotel superb location friendly efficient staff , nothing much trouble . would doubt stay reccommende other 
 Mar 14 2006 	 love ' whole thing ' 	 stay Hilton friend young sister . well time live ! ! ! great location would not swap weekend world . ok , not good reception , bare mind hotel day try ' modern ' look . service great , everyone helpful . bar LIVELY evening good atmosphere ! ! although stay standard room , impressed . room clean , smell great good standard ! ! bathrobe slipper wait we get . leave complimentary lipbalm / rest cream bed little card . choose newspaper want morning etc . really nice ... ! ! ! stay 2 night .. breakfast Hilton ! ! say impressed selection brekkie .. quarm would , scramble egg like porridge ! ! nonetheless , great weekend thoroughly enjoy stay . like whole club / eat scene , hotel ideal location ! ! ! 
 Feb 27 2006 	 love 	 wife book two night 24th feb untill 26th deal include dinner 2 first night breakfast 2 follow 2days . I must say little apprehensive staying reading review fear turn tottaly groundless , moment arrive untill departure first class .We book delux room opition e - mail prior arrival request high floor room view Trafalger Square request meet full . the room super large , well fit large tv dvd Audio system Mini Bar , bathroom superb large bath walk shower large bottle gel bath cream could need.we decide include meal room cost we £ 5.00 service , meal 1st class young lady bring two us .On Saturday morning breakfast din room 1st class everything could want lay comfortable fashion . on Sunday decide include breakfast room breakfast fresh fruit , porridge , cook breakfast fresh jucice much , whole deal include extra sevice charge newspaper cost mere £ 379 .my wife spend many weekend london Friday Sunday Horseguards Thistle trafalger must say good lot , great postion super room friendly staff look every request fuss would stay would look forward 
 Feb 18 2006 	 try impress ? 	 firstly , place not cheap . last two occasion ' ve stay , rate around £ 240 / night . even London expensive . I stay location . despite home West London , get extra hour bed meet West end ! excuse night beforehand . the staff helpful , although occasion treat guest distraction stand modelling routine . the room ok , althought bathroom triumph style common sense . expect wet floor . the price kill . room service breakfast ( average good ) £ 15 . previous evening 's bar tab two people ( brandy cocktail ) £ 100 . location great though . 's reason stay view . Dorchester not much expensive feel like proper hotel . the bar look cool trendy - rbarreality 's much noisy , albeit & quot ; aspirational & quot ; hang - out local office worker . 
 Feb 3 2006 	 place anyway ? 	 book 4 night include 2 free night use whop 80,000 Hilton Honors Points have save 10 year . waste point ! still feel sick . location fantastic sightseeing many hotel area . trafalgar right Trafalgar Square , kind & quot ; Times Square & quot ; London . across street Academy St. Martin Fields . could walk big attraction London , include Buckingham Palace , Westminster Abbey London Eye . first arrive hotel , difficult find entrance since main entrance look like entrance bar . front entrance unattende . real front desk . table darkly light part bar . young ice maiden look young Russian ( ? ) fashion model type woman working & quot ; table & quot ; . stared approached desk . ( hello , & quot ; welcome Hilton & quot ; , nothing . ) give reservation sheet politely ask room view Trafalgar Square available . even though hotel seem empty stay , view room available . show room 2nd floor call view room , even though view build across street . say could not & quot ; free & quot ; would pay supplement 50 pound . decline . fashion model / desk clerk say put room aside New Year 's Eve package coudl not offer anything else . December 28 . never see event advertise invite . not invite ? room bad room hotel : small , back , overlook brightly light 24 hour parking garage office building . plead well room swung computer screen say & quot ; look , see available room ? be blue Hilton Honors member . high could give free upgrade , be not . & quot ; point have collect point ten year ignore . ask newspaper morning act exasperated ask paper want . ask one available act really annoyed let breath . one want ? many , even american newspaper . mention people lobby ? not like hold line . big rush ? take card key begin walk dismal room . ( jet lag setting would fight little hard stay low level room desk clerk keep call free room ) leave , fashion model / clerk mention restaurant go close get ready New Year 's Eve Party take place 3 day . turn leave room fashion model / desk clerk act panicky say , & quot ; wait , will get someone take bag . & quot ; since one suitcase wheel not see point keep walk like not hear . elevator dimly light squint find button press . one elevator light pink , one blue . great , 's point . hallway floor reek room deodorizer . room , 2 large wardrobe instead closet . large small room . room plain -- wardrobe , bed duvet , desk chair . think be go minimalist / modern . card maid service leave pillow say Trafalgar & quot ; stimulating , fun , easy , relaxed , straightforward natural . & quot ; Trafalgar call & quot ; lifestyle & quot ; hotel . be try cool , like W hotel like . instance , instead light switch light button . instead & quot ; Disturb & quot ; door hanger , & quot ; Disturb & quot ; magnet . could not figure put magnet , since door wood . end hang loosely door knob . later see metal strip outside door jamb , wall hall . another & quot ; lifestyle & quot ; touch modern bathroom . huge sink counter space . narrow rim around sink place toiletry article . everything keep fall gigantic sink . shower / bath another odd touch . drain center tub instead traditional spot one end tub , spout . , shower , be constantly stepping plug close difficult reopen . shower quickly start fill water . modern tub rim around collect water not drain . disturb see rim fill black mold . one side tub water sit mold grow ; side tub water run floor since curtain not close way one end , matter . corner behind toilet fill water stay . thermostat also & quot ; modern & quot ; , not temperature setting , range +5 -5 . never figure . morning think sick fever , +5 , -5 thermostat set wrong setting . something wrong remote television , maybe low battery . 5 wake free newspaper slamming door morning . check & quot ; free & quot ; day . not , rate would $ 275 night . not sure kind person would live Hilton Trafalgar lifestyle . sit nearly empty bar drink $ 15 martini listening old throbbing loud rave music . hotel ? walk past check table staff cool black uniform , stare , try figure be guest transient ? ' m San Francisco part whole dot com craziness . know cool . place bizarre , hospitality non - existent , food , well never find restaurant not know one thing sure , place definitely cool . 
 Jan 28 2006 	 different ... 	 either love hate hotel . middle ground . whole place minimalistic . everywhere public area black , grey , beige brown . colour see couple flower arrangement display . check area strange . awkward sideways face desk seem add bar area something afterthought . whilst subject bar , seem get lively , noisy . room fourth floor could hear dull thud music downstairs , enough interupt sleep , must intrusive low floor . want peace quiet , request high floor room ! room , would expect , minimalistic . minimalistic fact find unncecessary put handle wardrobe ! dvd player mini hi - fi nice touch . bathroom perfectly functional particularly noteworthy . note mini bar . do not even think ! £ 5.00 coke blatant profiteering even central London hotel . breakfast take sit black chair black table room dark brown wall , bare concrete column minimal lighting . food acceptable , expensive . some love hotel diffferent . personally , find dark , dull , dismal depressing could not wait get place ! 
