Great 	 friend stay Comfort Inn November week . find reception people helpful friendly . food Brendan 's good , not forget use key room card get money off - we do - and not ask ! ! ! hotel may bit date , clean . fantasic location . subway , Macy 's Empire State Building within 5 minute . whole love stay . bit paint would help brighten . noisy night dustbin collect New Yorkers like use car horn ! ! ! 
 Jun 7 2005 	 sight - see central ! 	 ( 2 adult + 2 17 year - old ) stay Comfort Inn 4 night start June . 's bit basic , clean enough need coat paint like we go use sleep ( 5 hour night ! ) , adequate sight - see base trip . lift get stick generally behave ok although top floor could slight wait sometimes . two small lift ( 5 people max . ) get busy time - see 3 large school party arrive stay - could problem . the famous Alex deserve reputation . mine knowledge steer we towards great sight - see tour eatery . get impression might make buck two recommendation would not begrudge tour take excellent . overall service staff helpful polite . Location superb . 2 minute Macys , Broadway , Empire State subway . also right opposite Metro Hotel fantastic roof terrace . late night cocktail 14th floor over - shadow esb one highlight trip . also sneaky look around Metro say get good rate would good step Comfort . do not try complimentary breakfast much choice elsewhere can not comment that . NYC unbelieveable place . high expectation surpass . one part break disappointing might lead Comfort Inn view rose - tint glass give average rating not put , be nothing wrong budget hotel . 
 Jun 6 2005 	 awful good whatever be worth ... 	 give okay rating mostly clean front desk man , Alex , really out - of - his - way friendly . Pros - Location pretty good . price reasonable NYC . sign bug . con - door either side room clearly reattache help lot screw , creepy . tiny elevator run , still really slow 13 floor building . floor stay ( sixth ) strong bleach / clean smell , room . still pubic hair bathtub wall along brown smear look like rust . mold bathroom ceiling , precariously place shelf sink look unstable , overall room dark sort dank . sock not particularly dirty walk around room think carpet fairly clean . bed sheet seem clean not sleep well . see sign bug anywhere reassuring ... , okay , room total 7 hour three day . I would not stay - good western presidential 48th much well shape slightly expensive . 
 May 19 2005 	 everything will need 	 choose Comfort inn hotel wife one night getaway Manhatten , work Manhatten know great location right ! ! ! nestle middle everything nice walk many attractiion . the room actually nice staff great ! ! ! really like great shower bed ws really comfortable . , 's lap luxury fine . elevator need work - stair give good workout . would stay would recommend everyone . 
 May 3 2005 	 superb location excellent value money ! 	 fiancé stay Comfort Inn 7 night . fly BA Manchester ( not listen say website benefit World Traveller , Manchester flight awful ) .We catch taxi JFK cost $ 55 toll tip . take half hour well worth yellow cab experience . arrival hotel , greet Benny help get case cab . helpful man , see famous Alex . the safe cost $ 1 per night , not surprised tell 's compulsory charge . be insure well worth payment . choose code everything secure . our room 5th floor ( Room 509 actually ) overlook ( midtown ! ) empire State Building . not face road generally quite quiet . review site not expect 5 * accommodation . far . know would relatively old , need facelift generally ok . fact room good size ny standard , clean . nothing prepare central heating system though . radiator hide behind massive radiator cover . first day wonder inside take look ... huge rusty antique radiator even Tommy Walsh would not want restore ! think ' this could never work ' . certainly , will know ! ! ! ! ! ! despite notice bathroom use towel twice save environment , towel bed sheet change daily basis . breakfast little bit disappointing , nonetheless worthwhile . make sure be 9 otherwise will face cereal oatmeal . miss breakfast small cafe next door excellent muffin . the location without doubt worth old room . literally 2 minute walk away Empire SB , Macy 's , Gap , H & amp ; M. 5 - 10 minute Times Square . walk everywhere first 3 day . yes walk south island , pay leg seize . subway amazing r line ( take Central Park South Ferry ( Staten Island Ferry ) ) doorstep . beware entrance end block close Sundays . metrocard cheap fantastic value . a word advice , be walk Flatiron Building please walk 6th Avenue Broadway . go ' wrong way ' twice Broadway feel uncomfortable section . if be like we label buy Diesel , G - Star etc . good shop Broadway SoHo . street line excellent shop , one look call Yellow Rat -- -- -- - . starbuck plenty , be always coffee hot chocolate stop . before buy Bloomingdales Macy 's visit Visitor Bureau 11 % card . look free gift voucher NYC guide . beware , Macy be not offer free gift anymore . 's 11 % discount voucher , get spend ! return New York future , without doubt stay . whether be old , location outweighs bad point . way see ' it be clean , time be shower , drop shopping bag , sleep . ' bed comfy enough we ! not expect New Yorkers bend backwards nice either . whole ' service smile ' seem escape many people come across . even street beggar yelled tell change . truth matter not fact change . credit card 's . retort hateful ' ' m sorry ' m goddamn polite ' , 5th Avenue ! bit point , not let spoil day . incidentally , be Brit want know money take $ 900 cash food sightseeing etc , plenty week . everthing else spend credit card . good credit card get Nationwide Card . load excellent rate . 
 Apr 27 2005 	 great time 	 stay hotel 5 night . well locate empire state building , times square , broadway , shop attraction long walk central park . nearby easy access subway bus stop.our room 11th floor small , tired grubby room 1 standard sized double bed little else , clean towel every day lot hot water . upstairs hall stair look dirty need updating.only 1 lift working sometimes need staff twiddle something get door close plus walk 11 floor one day people stick floors.reception area , bar restaurant look clean smart little deceptive . bar & amp ; restaurant average . good basic continental breakfast include . staff friendly helpful . hotel full inexpensive hotel popular . 
 Apr 20 2005 	 locationlocationlocation much else ! 	 stay comfort Inn Manhattan three night . location interested , great . could walk many places- Times Square , Empire State building , UN , Broadway , . however , room 2 double bed small could barely get closet air conditioner bed close wall . hall stairwell sad need repair keep clean . furniture room cheap wear . one work elevator not always work unless employee fix something keep door closing . time ice machine not work . ( complain , manager tell we ice machine & quot ; amenity & quot ; not count toward dissatifaction guarantee . ) housekeeping good . peanut drop floor first night , stay entire 3 day . positive bed comfortable shower hot . it seem like get pay . , , NYC inexpensive hotel . 
 Apr 12 2005 	 would ! 	 book Comfort Inn Manhattan & quot ; backup & quot ; hotel , hope get nice place Hotwire . never happen . say clean , people nice , breakfast basic perfect start teenage boy , location wonderful perfectly quiet 11th floor ! think bargain $ 135 2 double bed ! 1 small elevator ..... ridiculous ! ( hear one sign 5 year . ) be 11th floor , well everything need first time ! would not hesitate stay though ! 
 Apr 12 2005 	 great location - room little tired 	 stay 5 night begin April pay 199 dollar room 2 bed . good point : -location Location Location bestwe get room 311 small dirty window overlook brick wall advantage get street noise . lot clean towel smell smokefree coffee receptionthe breakfast ok bit boringnot good point : -The lift never see anyone work lift would suprise impove near future , one work queue long , least could use stair . room dark really sleep thereIt need good renovation job expect heavily use city hotelsummary , excellent location make somewhat tired surrounding , satisfied ecstatic . 
 Apr 11 2005 	 great location would recommend 	 Comfort Inn Manhattan excellent base trip ny begin April . fact could not ask well position . window could see Empire State building end road Macys ! , 15 minute Rockefeller Centre Saks . Times Square literally 10 minute , away , that . the room comfortable definitely bearable five day . Mine TV , hairdryer bath / shower . thing lack tea / coffee make facility . say , downstair reception free tea coffee available . Breakfast include adjoining restaurant later find actually anything Comfort Inn . serve great eveine meal ' eve feel like venture . breakfast fine - toast , bagel , orange apple , donut muffin stomach 8 am , cereal price cook breakfast NY style available . this great place stay not intent spend hour end room . , 's reason visit ny.the problem experience lift . one take service modernise fine , second lift play totally unreliable nine flight steep stairs fun ! overall : great location , comfortable stay would definitely recommend price . 
 Mar 30 2005 	 Nice stay Comfort Inn 	 sister 's family mine stay Comfort Inn 6 day ( 22 - 28 March ) . 2 room , room 2 adult two child , double bed sofa . room 601 large enough clean . bathroom quite small , washbasin tiny . staff helpful polite . continental breakfast ok , nice pastry fresh fruit ( apple orange ) . free coffee tea day long lobby . Complimentary USA Today . great location , step form subway Macy 's , make stay super . 2 elevator one not work ( tell elevator renovation ) , usually use stair instead wait . possible ask room top floor street quite noisy work day , quiet weekend . no possibility regulate radiator , temperature really hot night . March sleep four 170 dollar per night plus taxis . I believe price unbeatable consider standard hotel . we stay CoMfort Inn , 36th Street . 
 Mar 30 2005 	 Location Location location 	 stay hotel one Monday night March 28 . location excellent short walk Macy 's , Herald square . parking close reduce rate hotel . side -- elevator .... one work , leave one also trouble . spend alot time wait elevator since hotel help also use 5 people could use time . check - out actually walk skinny stairway 10 floor luggage assurance could get one . Staff say up - date elevator one ready 6 week . would check . could dangerous fire someone would trouble walk . good side breakfast good restaurant hotel . enough eat helpful staff . 
 Mar 29 2005 	 Great Place 	 use Comfort Inn Manhattan Shopping Trips theuk since 1995 . say Great Location , excellent Staff make welcome . feel much home Comfort Inn 
 Mar 26 2005 	 stay Comfort Inn Manhattan 	 fiance stay Comfort Inn , Manhattan 6 night February year would return hotel . hotel luxury hotel fancy great day New York not spend much time room apart sleep . hotel good location close subway within walk distance Time Square feel safe area . lot place go evening ; bar , restaurant club around evening would travel little distance problem consider get good deal price hotel . staff really helpful , always willing assist we , offer advise really attentive . room top floor , floor 12 stay one old fashioned elevator work mean wait 10 minute often take stair . however , assure temporary problem install new elevator . room small tiny bed comfortable . view top building not issue we spend time side hotel anyhow . bathroom mould ceiling , bath tap leak time generally not pleasant . , however , comfortable hotel , able overlook issue lift , bathroom old fashioned room , would stay hotel location , friendly staff enjoyment wonderful city New York . 
 Mar 20 2005 	 good 	 five - day stay encounter numerous problem . elevator commission ( walk 11 flight ) , bathtub hair drain ( hair ) , sink drain , could reach desk via telephone leave wake - up call . breakfast , however , wonderful . 
 Mar 18 2005 	 great hotel 	 third time iv new york 6 month ... stay twice .. room clean cosy .. staff great.great location.and stay 
 Mar 17 2005 	 good value money 	 stay Comfort Inn Manhattan 35 st 25/02/05 3/3/05 ( 5 night three friend ) quad room . the staff hotel friendly especially maid , unusual NYC people tend care . hotel room clean , bed change every second day give fresh towel every day along bed etc make . criticism would hotel corridor , lift room etc date 80 . modernise would excellent . complimentary breakfast every morning nice set day . at time year , cold , freak weather storm , lot snow hrs . end street Macy handy , could pop back purchase dump room . also would recommend Dinner Dance cruise ( World Yacht ) superb view excellent service 
 Mar 17 2005 	 Great Location 	 stay 9th - 13th March honeymoon find great . place look tired , location breakfast make . find staff friendly helpful . long expect thing posh , place great would recommend . 
 Mar 12 2005 	 definitely would stay 	 first ever trip New York Comfort Inn ideally situate Maceys couple minute away , Broadway Times Square , 5th Avenue within walking distance . hotel could do bit renovation decoration wise lift joke especially try get case downstairs book . staff helpful pleasant , room comfortable clean . recommend friend colleague would definitely stay . 
 Mar 11 2005 	 good price ! ! 	 stay comfort inn manhattan mar5 - 11th find perfectly adequate we ! ! luxury means , price decent ! ! staff fine alex find imformative ... ( previous poster must got bad day ) even dig scottish footie result ( not normally ... premiership usually ) ! ! complaint really .. apart lift , murder , slow one two work , take stair day 11th floor , location main thing .. central major attraction subway outside ! ! would stay ! ! 
 Mar 9 2005 	 good expect 	 Stayed Comfort Inn 18 - 21 Feb 2005 . advantage hotel 's excellent location , 's stone throw Macy 's Empire State right next bedroom window . also 10 minute walk Times Square . nice bar next door call Brendan 's get british footie result . however , negative , room reake cigarette smoke , even though smoker unbearable . hotel could not give we another room despite promise elimate odour we purchase air freshener , go away . also receptionist Alex abrupt point rude occasion , heating roast hot noisy . breakfast ok , cereal , bagel , toast & amp ; doughnut etc . 's worth go diner real american breakfast experience . try Empire Chelsea 's fab . I would recommend hotel budget request non - smoking room hope get one people check check request end old room - poor ! 
 Mar 7 2005 	 great stay ! 	 Stayed Comfort Inn Manhatten really cold snap February 2005 , put heating , noisy tired sightseeing sleep like baby . excellent location bar downstairs reallt handy . great breakfast need fill day . overall would definitely recommend . 
 Mar 7 2005 	 Good Central Hotel 	 spend 7 day hotel . Staff excellent check efficiciently mid evening . room overlook Empire State Building ( please note office either side building theatrically throw open curtain morning several office worker wave would not advise underwear ) . room quite small typical city centre place queen size bed . bathroom small however whilst clean expect . not spend much time room , well do not ny ? reception seem really nice staff friendly informative . never eat breakfast even though include price diner around infinitely well quite cheap . memorable thing location little Korea smell breakfast bun hon su roll cook leave hotel something fondly remember . the location beat , around corner esb , macy 's couple block away . never use subway everywhere walkable . hotel good value money . 
 Mar 2 2005 	 overall good value 	 would easy make criticism place - bathroom tiny , heat incredibly noisy , everything could little clean , one operate elevator joke . however ! ! overall , room spacious comfortable , breakfast good start day , location ideal staff always pleasant helpful . consider much hotel NYC cost , little time one would usually spend one room , CI Manhattan great value money would definitely stay . 
 Mar 1 2005 	 Location Location 	 back 4 nite stay comfort inn manhattan , great location , easy walk distance fifth ave , shopppe area , time square , broadway ! complaint one lift order since stay 11th floor , sometimes wait long time lift . great location access JFK airport , overall impressed get price pay ! not eat hotel comment , breakfast every day oxford cafe fifth ave v. nice overall great recommendation want luxury book somewhere else ! 
 Feb 15 2005 	 great hotel 	 Stayed Comfort Inn Manhatten January 17th 20th . good hotel , great breakfast morning . superb location . easy get airpport . would reccommend hotel . 
 Feb 9 2005 	 Brilliant 	 work tour operator feature hotel amongst other . stay many hotel NYC definately favourite price / location / staff . definately stay next time go ! 
 Feb 7 2005 	 Superb location 	 stay Comfort Inn Manhattan 9 night Jan 25th . first room show tiny , cold & amp ; depress however speak receptionist move large room big bathroom & amp ; 1 double & amp ; single bed . bedroom v clean - new towel every day . shower powerful w / load hot water . tv add bonus . eat breakfast hotel - great diner nearby . ( love PAX deli ) . hotel literally 2 min walk Macys , 5 min Empire state & amp ; subway locate end st ( practically outside hotel door ) .on downside ....... radiator make alot noise night time , cos tired not bother we . hotel bit run & amp ; lift joke . but excellent location make anything lack hotel . room back & amp ; could hear thing great . Prob would stay 
 Jan 30 2005 	 comfort inn comfortable ! 	 great hotel great location . book strength recommendation site spot . spend five night see everything - proximate macys , empire state , 42nd st penn station ( handy get train airport cost $ 9.50 single trip ) alex ( receptionist ) not good review make . take 20 minute tell we get sight see bus would not let receptionist deal anyone else keep break deal we deal other quite annoying . breakfast handy lift bit slow . great price though good sized room big bathroom excellent location . ps restaurant ( brendans ) good - possibly nice place eat trip ! 
 Jan 15 2005 	 amazingly quiet hotel super location 	 consider competition New York , little gem stand proud thoroughly recommend . room fairly small , could hear pin drop rear facing room . view 5th floor ( even though face Empire State ) bother I . the room brightly decorate exceptionally clean , real surprise first experience walk hotel ( use prehistoric lift ! ) . bathroom well stock water quality superb . continental breakfast include , although be small affair , couple cereal dispenser , brown / white bread toaster , juice , bagel course , tea & amp ; coffee . on downside , noticed wall little thin hopefully naughty going adjacent room will not keep awake ! also noticable lack security lobby level , breakfast think least 2 people sit street - nobody checking come out . overall tidy hotel perfect location - plan good night 's sleep long day Big Apple , think have foolish look elsewhere price . 
 Jan 5 2005 	 great deal ! 	 want room Nov.6 - 9 , 2004 , realize weekend NY marathon . Comfort Inn place $ 300 per night could find . book , expect bad . delight , wonderful ! clean , cozy , incredibly convenient . view room light - up Empire State Building unexpected bonus . even afford expensive hotel , would recommend stay Comfort Inn use & quot ; extra & quot ; money shopping fancy dining . terrific experience ! 
 Dec 8 2004 	 absolutely fabulous ... can not wait go 	 half stay Comfort Inn Manhattan 3rd 7th Dec 04 celebrate 21st Birthday 5th . arrive couple hour check really pleased able check early could good walk around everywhere fist time NY.Alex front desk angel throughout trip really help we many thing , go eat direction sightseeing . truly tree knowledge . now little bit hotel room . worried size bathroom read review site , however find ample , large bathroom home . ( always hot water ) . regard radiator , make wierd noise throughout night suppose little annoying , however , busy day shopping see site , head hit pillow count not affect sleep . breakfast basic , bread , toast , donut , tea , coffee etc 's cheap eat everything close proximity . lift amusing- slow ( never really wait minute hotel full ) one near desk tendency bounce slightly ground floor ! Macys end street Empire State Builidng around corner , subway stop end street , couple minute walk . use subway first time ever second day constantly . course careful easy use cheap really worthwhile consider , major tourist sight line . Times Sq one stop subway head Uptown amazing . all hotel great , staff ever helpful Alex gem , DEFINATELY back soon . another thing note , however relate hotel ; take tour whilst book advance call Phototrek Tour . Marc , photographer guide fantastic , take load load photo 's , deliver cd - rom within couple hour , turn great . would suggest visit site look one good experience whilst . W also load photo 's use together around think important tourist site we . go : -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -- -and mention Jennie Ian Francis reccommende he . hope helpful safe fun trip . 
 Nov 23 2004 	 Wonderful Hotel 	 holiday lifetime , 30th Oct - 5th Nov 2004 , base Comfort Inn . hotel excellent . room clean , bathroom clean fresh towel daily , exceptionally comfy bed . nice breakfast - endless fresh bagel , doughnut coffee . brilliant staff . helpful friendly , make feel welcome want - thank Benny , Alex , Milady lovely Jackie well chambermaid planet ! Follow Alex 's advice touristy place visit , get Jackie tell Harlem go see it . hotel location superb . one party minor walking difficulty , find get foot dead easy . Macy 's , Empire State subway minute away , Times Square easily walkable . 
 Nov 2 2004 	 could not well ! 	 stay Comfort Inn , Manhattan 7 night October 04 . nearly book hotel , read terrible review site , opt Comfort Inn base lot good review . soon arrive decide have make good choice - great reception area flower display change regularly , really comfortable room great view Empire State building . ( room back hotel seem view & amp ; quieter . ) room & amp ; ensuite bathroom really clean towel change daily . real bonus complimentary buffet breakfast - bagel , cereal , toast , doughnut , coffee , juice , serve ' Brendan 's bar' . Macy 's 1 minute walk , subway even close , couple bar opposite serve good food ( mention stay Comfort Inn ' Playwrights ' give discount bill . ) concierge , Alex , brilliant - lot great tip place go & amp ; way avoid queue . return New York definately book stay . ' chain ' hotel & amp ; $ 130 night pay , really could not do well . can not recommend highly enough - ten ten ! ! 
 Sep 27 2004 	 FANTASTIC 	 Staff great helpfulroom clean tidygreat locationwould stay hotel 
 Sep 7 2004 	 Prime Location 	 stay five night June 2004 , encourage positive review hotel previously receive . delighted find review accurate respect excellent value money , helpfulness staff close proximity lot main attraction . as base sightseeing trip , sure hard beat . room clean tidy , good sized , rear hotel , quiet . buffet breakfast adequate enough , not choose cuisine . budget hotel would certainly recommend anyone visit city day . 
 Aug 16 2004 	 great location 	 stay 3 night August . although old , room clean . kid point floor squeak slant room comfortable sleep well . back room bother noise street . breakfast buffet average kid certainly miss pool . price convenience location make downfall opinion . 's block esb , Macy 's metro . 's 5th & amp ; 6th Avenue easy get Times Square shop . 's parking garage next store & amp ; across street also convenient . would definitely recommend someone want good budget hotel . not pool think family would definitely stay . 
 Aug 15 2004 	 Excellent choice 	 stay hotel 6 th August 12 th August . staff good friendly . clean perfect , Alex frontdesk helpfull . every morning give we good advise , answer question . breakfast fine , og location superb . would deffinately stay . 
 Aug 10 2004 	 friendly handy home base 	 visit April , 2004 12 17 year old child . desk clerk make effort win wit trivium . continental breakfast plus , close proximity subway another plus . room adequate , especially consider sleep shower . feel safe handy home base . though little thing not perfect , would stay , especially 's deal . 
 Aug 5 2004 	 definitely stay 	 stay July 2004 . absolutely love location . quarter block Herald Sq . subway station , one block Empire State Bldg . , etc . good 24 hour deli around corner . hotel slow elevator , take stair . shabbiness common area , room , small dark , clean everything work bathroom , A / c , etc . loved electronic safe every room , make easy lock valuable . price $ 130 avg . , would definitely return . 
 Jul 20 2004 	 Great Hotel 	 great hotel , staff excellent . hold luggage us day give we excellent direction use subway get museum , etc . location little shady , seem safe enough . room small , bed comfortable large . juice coffee available day complimentary breakfast nice . internet computer downstair wireless access wireless laptop . clean . mid - price hotel , nice . 
 Jul 18 2004 	 love love 	 stay Comfort Inn Manhatton 30 th June 5th July totally love . staff friendly welcoming especially Alex Tony . room clean spacious stay 12th Floor fantastic view Empire state building , read alot bad review think go dread expect bad totally wonderful . also close attraction Empire State build 5 min walk Times Square 15mins . deffinately go ....... 
 Jul 13 2004 	 ok budget hotel 	 stay CI Manhattan July 5 - 9 . arrive late receive smoking room w / slightly different room & quot ; type & quot ; -- specifically request otherwise original reservation~ Front Desk able move we non - smoking next day watch check matter ! room dark small ( convert apartment understand ) split 4 & quot ; room & quot ; , either side elevator . floor quiet stay , elevator small unbearably slow , breakfast ok well nothing ! location great - walkable many attraction other say . , would probably return -- not room much anyway ! 
 Jul 2 2004 	 come back 	 whenever travel always worried hotel . let tell not worry Comfort Inn Manhattan . it situate around corner Empire State Building 10 - 20 minute walk ( depend traffic light ) away Times Square well worth visit day night . the room clean everyday staff friendly , 2 reason call front desk minor problem first deal within 10 minute second sorted go . great idea cold drink machine every floor . breakfast good bar & amp ; restaurant attach hotel handy , 2 meal ( good quality ) , tip add onto bill not math . can not wait go back Comfort Inn Manhattan 
 Jun 30 2004 	 Expectations yet Bearable 	 Overall , hotel great , yet terrible . definite positive negative aspect : positive : convenient location anything would ever need / attraction , reasonable rate , free breakfast coffee , fairly clean . negative : small bathroom , water temperature constantly change shower , slow and/or busy crowded elevator , manager staff bad attitude . we stay room 904 4 night end June 2004.would stay ? no.there many hotel price range provide much well overall experience . 
 Jun 29 2004 	 not understand Comfort Inn rate low ... 	 not understand Comfort Inn Manhattan rate far Comfort Inn Midtown . actually stay hotel April ' 04 , Comfort Inn Midtown superficially nicer Comfort Inn Manhattan , would without hesitation choose Comfort Inn Manhattan Midtown next trip NYC . service far superior , find hotel cozy location much well . trust , right Times Square seem great booking trip , actually deal throng people ever time step hotel royal pain . prefer Comfort Inn Manhattan . close Macy 's Empire State building , centrally locate NYC wonderful . ( subway stop right corner ! ! ) also , staff Manhattan terrific . really seem care good time NYC willingly help guest whatever need friendly speedy manner . staff Midtown , hand , seem busy overwork , ( front desk ever answer phone ) make one resistant ask help . also , free breakfast historic restaurant attach Manhattan FAR superior crowded , plain little room Midtown . , try decide stay Comfort Inn Midtown Manhattan not care superficial decor , like clean safe place well location good service discount price , highly recommend stay Comfort Inn Manhattan . 
 Jun 27 2004 	 great time staff wonderful 	 spend 4 night INN , great hotel , clean , room small not expect much room price , would definitely stay . worth price close everything . 
 Jun 3 2004 	 great inexpensive hotel Manhattan 	 Comfort Inn Manhattan nice hotel give location price . room decent sized downtown location , be convenient attraction ( want lot street activity outside door hour , stay little close Times Square ) . hotel offer free continental breakfast , , despite complaint ' ve hear , quite nice . window not open room though , happy ( air conditioner though ) . staff friendy , overall enjoy stay . 
 May 31 2004 	 Good Value 	 $ 108 per night queen size room , last week may ' 04 bargain ? find Hotel clean staff helpful . room view Empire State . the breakfast , also include price , make good start day . tea , Coffee , Fruit Juices , Cereals , Fruit , Toast big , sticky cream fill bun . overall - great price , great location excellent value 
 May 27 2004 	 cheap convenient clean 	 want basic hotel nice , clean , reasonably price good location get bargain - nothing , nothing less . the location great , especially want explore NY tourist . Fifth Ave Macy 's around corner . so 34th st. station great connection . Central Park , Times Square , Rockefeller Centre , Village bunch location within walk distance . the staff nice polite . problem plumb , send someone fix right away . all great value money . 
 May 4 2004 	 comfortable convenient 	 wife stay basis many comment website user . consider price pay room find hotel well manage room , though large , comfortable bed keep clean . like small bathroom order get sink little bit contortionist . breakfast - include price - good , oh , use plastic crockery . 50 yard subway station 5 minute away Macy 's . good location compare hotel category use New York , good value . concierge , Alex , mine information engage personality 
 May 3 2004 	 good location 	 plan last minute business trip NYC usual hotel book , decide try Comfort Inn . problem all - get 10AM & amp ; store bag room not ready . biz dealing garment district , hotel 's location perfect . also like N & amp ; r subway right corner take anywhere . 
 Apr 28 2004 	 Fantastic Value ! 	 stay Comfort Inn Manhattan four night . four room make great value money ! little hard four girl fight mirror space worth save ... money shopping ! hotel quite basic suit need perfectly ... hardly anyway . breakfast quite plain ... cereal , toast , bagel etc quite welcome everything else seem eat quite sweet rich ! definitely recommend Comfort Inn Manhattan good value break ! 
 Apr 24 2004 	 worth stay 	 book hotel part package UK read various review . find hotel ideal want . room ( 7 us adjoining room ) clean comfortable , bathroom big enough we problem hot water . 10th floor , back , mean fairly quiet , great view Empire State Building . child find room plenty big enough play sleep well every night sofa bed one room double . location hotel ideal , Macy 's one way , Times Square another , subway close , great place young one . staff pleasant helpful good meal restaurant last night . , good place go family group , bear mind use room sleep place main . re - visit NY child , would stay . 
 Apr 17 2004 	 Good Deal NYC 	 third trip NYC ( husband originally Long Island ) stay different hotel three time . first time stay Long Island ( expensive ) one night Essex House ( nice ) , second time stay Quality Hotel Broadway & amp ; W. 94th ( own chain ) 6 week 9/11 get great rate one travel hotel way uptown . after research , decide try Comfort Inn mainly be location price ( average $ 140 / night ) . stay 7 night . 7th floor face street . room quiet except first night could hear garbage truck early morning . say queen bed ( think really double ) fold - out couch two teenaged girl . bed hard use king - sized bed home , not sleep well . room fairly clean could use thorough deep cleaning . smoking room smoker not noticable smoke smell like place stay . room small fairly normal ny standard . really tight fold couch open . the bathroom really sub - par though . ' ve never see small sink life , kind like travel trailer . small shelf toiletry make almost impossible lean sink tooth brushing face washing . also , hot water sink . hot water shower another problem . really hit miss , mostly miss . several morning water lukewarm good shower quickly water turn downright cold . kid well luck nighttime shower . morning leave water not even lukewarm fly home without shower . uggg . the staff accomodate . first night radiator turn way we turn make overly warm room . ask front desk could turn rest stay promptly take care . alex front desk gem . life - long New Yorker informative . housekeeping staff respectful we not seem put fact often not leave room 11 . even though clean room we much early . little disappointed able get extra pillow kid staff say due several large group stay hotel ( spring break hotel fill young French Canadians ) .All thing consider , stay pleasant . not spend much time room anyway . the location excellent , near Macy 's , Empire State Building easy access subway . would stay travel kid husband would check hotel something little fancier spacious . 
 Apr 13 2004 	 Bad 	 hotel ... garage fire wait go back . find location good .... room BASIC capital B ..... smell cigarette smoke time constant headache ... not like much . 
 Apr 10 2004 	 Location location location 	 location wonderful . walk distance everything midtown manhattan subway less 1/2 block away . stay room 312 quite pleased . room huge fine price amount time spend . bathroom large roomy enough . one elevator order slow lucky 3rd floor . would definetly stay . staff quite friendly helpful . street outside quite busy street make nice quiet . ask room toward back . would make reservation choice hotel website . much cheap directly . 
 Apr 7 2004 	 ok sum 	 look somewhere 4 night stay brother ( easy find twin room ) around Mid March discover site extensively read ton hotel choose one base generally excellent review , good location reasonable price . overall generally satisfied . say price almost unbeatable location superb , however hotel seem lack certain area clean nice many previous review imply . room noisy heater appliance make intermittent noise throughout night would kept many people awake . view not expect anything . - look clean overall close inspection thing like plastic cup carrier bag leave bed , dirt grime nook cranny look like do rush . positive side room massive , bed comfy remade everyday , water always hot room really would expect money pay . breakfast could bit well hey not really expect much . ' ve give average rating that s exactly . adequate would expect pay . however go previous review could not help feel slightly disappoint 
 Mar 30 2004 	 problem 	 want find nice place affordable . check expedia find place around US $ 100 night sound terrible .. bedbug , mold , dirty , odour , etc ... place stay last time ( amazing Times Square Hilton ) $ 127 really expesnsive time .. find Comfort Inn Manhattan Choice Hotels site , look good . $ 144 night gold award Choice Hotels 4 year row .. superior quality , cleanliness , etc .. choose . plus great location .. near Empire State Bldg , First Ave , Macy 's , etc . we get room 1107 August 20 . room fine clean everything seem fine .. water get bit cold occasionally show , ok .. radiator / plumbing bang bit ok .. first morning wake .. BEDBUGS crawl two bed ( 3 we ) ... disgusting ! specifically choose hotel would not worry gold award . go desk clerk fine professional .. immediately give we new room ( 907 ) room fine ... bedbug ... get bite several time first night .. lot big bite swell itchiness .. take lot antihistimine ... fun .. checkout discount compensation give .. nothing ! 4 night stay , think would least get 1 night free trouble , discount . another problem slow elevator ... often walk stair .. would stay ? .. Times Square Hilton wll next stay think .. bite extra money worth it . I not think gold award ... room must bedbug find several , consider number bite reecive ( GF get 9 cousin get 5 ) first night , expect $ 144 night . this hotel nice .. everything generally ok . Times Square Hilton , also less expensive . evrything would okay ... bedbug ruin we . Itchy many day big red swelling . would think would give we discount , ... will not stay . 
 Mar 17 2004 	 Overall Bad 	 reserve room Comfort Inn Manhattan three - night stay December 2003 . employee chain , able obtain reasonable rate ( especially since stay Christmas ) .The lobby , although small , beautiful cozy . elevator slow definitely show sign age serve purpose fine ... still quick take stair . the room quite cramp . room two double bed one push right again closet make access hanger in - room safe quite chore . heat work well ... perhaps little well ... , crack window regain comfort . the bathroom impressive . nostalgic maybe , can not tell many time bump head glass shelf sink brushing tooth ... guest 's neither . also hard time maintain proper water temperature shower ... hot , cold . overall , hotel nice . impressed staff disappoint other . restaurant charming irish pub style food good . would recommend order daily special menu price attractive . plus , free continental breakfast ... add value room rate . the location also fantastic ... less one block Macy 's ( Herald Square ) close Empire State Building . not mind close quarter small amount time will room , check Comfort Inn Manhattan . 
 Feb 24 2004 	 ideal tourist . 	 great location , room fine front & amp ; workmen noisy 2 be onwards , earplug needed.room clean tidy decor bit date , Alex desk star ! ! ! ! ! ! ! ! , breakfast good , use Plowright pub across road Jeff barman great , like cheer drink bar watch basketball tv chew fat . price & amp ; location add general room difficult beat , end day sleep room not live ! ! ! ! ! ! ! ! ! stop ASK room back ( folk back & amp ; quiet ) 
