amazing 	 look website . look odd - not go . , like , think look amazing re - mortgage house , sell family silver - whatever take - visit ! ! think bad review people not get ? take Partner overnight birthday . hotel stunning . wonderfully eclectic mix style . gold tooth gnome seat next giant chess set foyer - need say ! ! staff wonderful make day absolutely perfect . Booked ' romatic package ' room look amazing arrival champagne rise petal . do not eat dinner hotel cocktail Asia de Cuba midnight pack still find we table 5 3 minute somehow . fabulous vibe really relaxed atmosphere somewhere busy . thank staff make day special . 
 fabulous ! 	 beautiful , hip trendy hotel , lovely room ( studio room champagne , rise petal , candle amazing view ) bar fantastic . Asia de Cuba wonderful food service perfect , although seem little keen move ' ve finish eat , even still drink wine . pricey worth money spend ! 
 Overpriced 	 Crowdy hotel , nice people , good restaurant Asia de Cuba nice lounge bar small room expensive quality 
 Jul 26 2006 	 supremely well Located Hip Design Hotel 	 Morgan ' Group - St. Martin ' Lane HotelI manage get great deal two night Friday Saturday stay £ 130 / night exclude vat ( 17.5 % ) via travelzoo . Londoner occasionally like holiday city , rate give we opportunity sample great hotel , right centre town stone ' throw Soho . rate include complimentary WiFi access upgrade Superior Room . part group Sanderson London Mondrian LA . park car NCP Car Park back hotel ; special rate arrive 6 pm depart 9 am morning £ 15 , much reasonable £ 40 charge per day otherwise . small car park , quite tight , close 11.30pm , open 6.30am . leave car home . need lug bag ramp outside hotel , annoying . at check , helpful cheery team welcome partner ( guy ) hotel , make reservation Asia de Cuba restaurant , hear miss . the bell boy take bag room , drink funky Light Bar . bit clipboard - ism going door , open hotel guest other guest list . amazing girl Saturday evening , though . Perfect modeliser ! give room 302 , corner room full floor ceiling window feel spacious . would go corner room . high floor get well ; third floor roofline , would like side hotel lower . overlook leave curtain open . ! ; ) 302 look St Martin ' Lane Noel Coward Theatre , Avenue Q show . Superior Room shower ; ask desk tell superior room choice corner room shower , regular non - corner room tub . bathroom cover beige marble , spotlessly clean . probably worth marginal extra Standard room report small ; although upgrade free . toilet separate rest bathroom glass door , door bathroom discretion need , well copious amount cologne ! hang space limit one small wardrobe curtain door ; try bring much . sizeable safe big enough small laptop . Carpet grey little past good , certainly tatty . otherwise room feel fresh , clean bright ; much big expect experience London . several people complain tv small – huge , widescreen SONY type , probably five year old perfectly adequate . dvd player provide . air conditioning excellent ( 33c outside icy indoor ) make change usual poor excuse a / c get London . light good , though fun " light mood " feature room bright might imagine ; gimmick . work desk chair sizeable need get something business relate do . bed poor quality , spring " ping " " exercise " . mention check say undergo mattress replacement program fix soon ; proper pillowtop mattress feature . sheet great quality egyptian cotton , fluffy pillow make less great mattress . WiFi signal strong easy connect ( get code desk ) . MiniBar overprice , bring small flask vodka Cranberry Juice put fridge evening drink shower . amazingly even charge £ 4 sewing kit rip - off . bathroom supply average quality , come small bottle ; enough one shower . nice body scrub , unscented feel luxurious . bring Jo Malone . no Tea Coffee facility room . crazy breakfast bed price £ 54 two people mean enjoy full english café round corner £ 15 total . we go OXO tower restaurant supper , doorman try put we hotel Mercedes , thank review avoid hail cab minute later . the highlight stay Jada , italian waitress Asia de Cuba restaurant . partner sit eat around 11 pm Saturday see Avenue Q , little tired Jada pep we , chat merrily we suggest excellent choice menu . sort restaurant still taste flavours hour worth every penny . great cocktail share , huge glass two straw great fun ! Jada ' cheery engaging attitude second none , really make evening we , easy end must long busy night . one last point , yesterday receive survey , duly fill mention many good point area improvement . Hilary , GM , email return personalised response . impressive good indication dedication excellence hotel aspire to . summary : supremely well locate funky cool design hotel great staff room , awesome Asia de Cuba restaurant exclusive Light Bar . ideal weekend theatre / club break . 
 Jul 10 2006 	 complain ? 	 read number review TripAdvisor girlfriend make book we start get concern . what FUSS ? hotel fantastic . great place stay . entire team work nothing warm friendly . we standard room yes , might big place stay , hotel right heart Leicester Square Covent Garden . book location sit room ! restaurant bar amazing . place see really cool crowd great atmosphere . action happen lobby area place hang out . the hotel appear offer something different . traditional view hotel want play safe … . go somewhere else boring ! , like we , want fun , different truly unique experience - check check ! 
 Jul 8 2006 	 Perfect end trip ! 	 arrive , little disapponted . I d see hotel photo , person feel decor bit cheesy unimpressive . almost feel like bank try cool . , get well well . starve check , go asia de cuba restaurant next lobby , pray be not go -- like food london , one good meal trip . take blue elevator room , like much . nicely design , white , small hallway door bed , noise outside minimum . bathroom huge , seperate stall toilet , plush towel , robe , really nice grapefruit soap keep order take . shower great water pressure , like mood lighting could customize . lot cabinet space , plenty room two people unpack two bag move around comfortably.the service amazing ! do not listen review ... everyone deal we really nice personable , one point even show stuff buy shopping gift . make reservation we coolest tasty restaurant , know go shop . breakfast buffet delicious , kind bread , fresh fruit , granola , yogurt , juice egg sausage make order.bottom line , money work . bit pricey , really get know fun cool place want see like londoner.b , st martin right across street starbuck walk distance big topshop ! need ? ? 
 Jun 9 2006 	 Loved ! 	 little sister go London vacation . book 4 night St. Martin 's Lane Hotel . want treat cool , trendy hotel middle everything . read review , little worried might spend lot money something would dissappoint , dissappointe . yes , staff young extremely good looking , willing help anything . front desk , bellman , concierge extremely helpful pleasant . concierge make great recommendation restaruant get we reservation trendy place little notice . yes , room small , unless pay 500 pound London , . stay standard room , love impeccably white floor ceiling window make beautiful . bathroom wonderful ! yes , everything price , one force eat mini - bar room service , take overpriced gadget home . area around hotel ideal . not even need take tube . walk distance West end attraction , many pub , great restaurant . complaint regard Light Bar . see pic website , interested going drink posh atmosphere . unfortunately , never mention club ( open night ) hotel bar . little sister 20 , allow . miffed . think pay way much hotel we able go sit hotel bar . 
 Jun 5 2006 	 Modern Great Location 	 nice suite St. Martin 's Lane Hotel , room whole place ultra - modern . room lot natural light , fixture , lighting , etc . good working order . base TripAdvisor review , sure lock everything possible night safe , problem . workout room pretty dismal , much , weight , one recumbent bike , two treadmill - one order . also , business office internet connection - 3 pound per 15 min . use - go internet cafe Old Street ( 5 minute walk ) get 1 hour 1 pound great cost saving . the staff mostly young , well - mean people , indifferent . bar downstairs open 5:30 p.m. always bounc attitude ask guest hotel reservation . little much attitude . location hotel great . starbuck , plus coffee shop , newsstand , restaurant , etc right door . street relatively quiet traffic night , huge amount noise , work little get cab , walk street Trafalgar Square . regard transportation , hotel deal local Mercedes Benz driver cost lot buck , need avoid , sure ask doorman & quot ; black taxi & quot ; not try convince take transportation . 
 Jun 3 2006 	 Fake Corner Suite Size 	 corner suite large comfortable fasely advertise 158sqm / 1,700sq ft floor plan advertise hotel website . beware room size actually around 700 sq ft . already make complain hotel manager although seem action would done update website , nothing do month . 
 may 9 2006 	 keep door lock ! 	 recently stay St Martin 's Lane Hotel Boyfriend 30th birthday great experience someone try force way room 3 am claim & quot ; security & quot ; . call security take 10 minute reach room nothing calm nerve serach & quot ; security & quot ; member . that bad enough thought report incident morning duty manager tell us & quot ; thing happen & quot ; & quot ; difficult keep track people come hotel & quot ; . price room have thought would make business know come go hotel ! 's offer apology not try deny kind thing happen . apology , conisderation , refund importantly customer care would not stay pay ! 
 May 7 2006 	 disappointing experience ... 	 stay night St Martins lane . pay 215pounds mean bargain ( book 5 room get well deal , apparently book -- - anywhere else get even cheap ) . room like cubicle , enough space 2 people walk around room . narrow desk chair order sit pull desk forward , block way bathroom ( course jump bed ) . everything room price tag . start 4 pound small bottle water go 250 pound cover . room not even contain kettle make cup coffee tea . need order everything room service ( course not come free ! ! ) . ask iron board bring we dirty one available . bathroom get shampoo , scrub body conditioner ( body wash , stick scrub ) . even though room white plain , carpet look rather dirty . tv hiding inside cabinet nothing exciting see anyway . probably old 13inch TV ever see . restaurant downstairs nice . however , expensive whole atmosphere food . disappointing thing pay 1800 pound ( without 10 % service charge ) tell we go prepare table someone else come . overall , would not stay would not suggest anyone . 
 Mar 26 2006 	 Fabulous Great Deal 	 fabulous hotel . ultra modern clean . got great deal Travelzoo 130pound include breakfast room upgrade Deluxe . would definitely stay . conveniently locate Covent Garden area Underground . fabulous ! 
 Mar 3 2006 	 hip good service 	 stay St. Martin ' lane 2 night . overall hip extremely modern hotel . room fine ( fancy ) style clearly come practicality . bed fine bathroom nice open floor heating nice . overall setup taste however . the corridor actually really depress staff cold whole hotel atmosphere . hip bar actually know throughout London think overrate like whole hotel . amount money rather stay somewhere else . say , love ultra cool hotel probably one . 
 Feb 17 2006 	 Style * * substance 	 get back overnight stay . apprehensive read rather negative review little wary overly style hotel generally not comfortable . , however , comfortable relax hotel despite seemingly uncompromise design . book studio upgrade deluxe studio - two wall floor ceiling window make spacious room feel even , excellent curtain blind give privacy good night 's sleep . huge bathroom decent bathtub separate shower wc . great attention detail mean minimalist appearance without sacrifice convenience comfort . negative : bed be great , although comfortable would think first impression ( seem bit bouncy taste ) . tv pretty shabby , cabinet 's house not great bit work either . price list everything room several notice along line ' you touch , ' ve buy ' instrusive say least not belong £ 350 / night hotel room . plus : look great , lovely contemporary building perfect location 's comfortable ; great bathroom ; room dine good , too . the really major plus , other comment , good feature : staff , great look ( ! ) friendly , helpful efficient - anticipate every need without ever obstrusive . every single member staff encounter wonderful . summation , 's Four Seasons ( preferred option still benchmark hotel IMHO ) be something little different , do pretty well , good staff ' ve pleasure meet . treat give try . 
 Feb 13 2006 	 friendly staff 	 hotel restaurant staff make weekend break special we . book superior room upgrade deluxe room , room clean / white lovely bathroom really good shower . read previous review please report toilet door . food restaurant good , service fantastic . pleasure stay somewhere staff friendly , stuffy . 
 Feb 4 2006 	 expensive trendy 	 spend one night . ' m 46 feel old . excellent location . great wackey decor , clean & amp ; generally good service . downside : indication room stat temperature try set ; room small ; poor bed ( cheap metal frame rolling centre ) ; could not get fact cook breakfast include room rate ( raise least 4 occasion - frustrating ) ; £ 10 drink bar ( short ) . sum : well value money e.g Hilton Executive accomodation Park Lane ; Suite Thistle Tower Bridge . 
 Jan 16 2006 	 Loving St Martins Lane 	 check St Martins Lane spend weekend absolutely love . never stay , would go back again . my wife eat dinner Asia de Cuba find Bento box great value money ideal pre - theatre meal . the Receptionists simply yummy feel really want we enjoy stay . if go must check Light Bar . apparently high demand guest list , room walk straight - cool ! 
 Jan 14 2006 	 every Hotel world like St Martins Lane 	 hectic Christmas / New year , wife need 24 hour away kid fun ourselvesi spend approx 50 night year stay Hotels Asia , USA Continental Europe work honest stay Hotel city live pretty rare . I use TripAdvisor time time , go city not company Hotel Programme . choose St Martins Lane positive TripAdvisor comment also tell friend & quot ; Experience & quot ; .We arrive Hotel Saturday afternoon , greet doorman , immediately introduce relieve us bag . receptionist Concierge ( receptionist introduce we ) warm friendly doorman . learn first name use time , love give we feel treat guest somebody else home . not tell wife type room book , however blow away Garden Room enter . whilst Garden not huge still Garden could sit outside ( unfortunately raining not get chance use ) . room modern crisp , clean ( ) decor everything need twenty hour . we dinner Asia de Cuba fantastic . atmosphere vibrant , couple friendly , & quot ; earth & quot ; attentive staff seem much fun , make memorable night . we couple cocktail Light Bar fantastic course help we sleep well comfortable bed . breakfast next morning deliver within 20 minute we order ( even Room Service & quot ; Breafast Hours & quot ; ) request later checkout meet & quot ; Problem & quot ; Front Desk . love room ( garden delicately light Night course private ) , love decor colours room turndown - Light Mood ( simple , know clever ) love dinner love friendliness staff come contact with . all great experience back next time want memorable night fun home town . PS : previous comment carpet & quot ; stuffy & quot ; corridor . floor stay cool new carpet ( love room number floor ) 
 Dec 5 2005 	 must try experience - fantastic ! ! 	 take 1 night stay birthday suprise - never experience hotel like , absolutely brilliant totally unique . from moment arrive quirkiness keep entertained start finish . starter hotel name sign anywhere reception , lift etc - people may find bit frustrating honest add whole experience . even find hotel room number mystery number weave carpet outside door . note old review number comment make stain worn carpet - must replace clean since notice problem . staff polite accommodate time . the room exclusive innovatively design ( would not expect anything less Mr Starke ) . mood light beautiful idea . bathroom spacious design superbly . contrary people say , toiletry supply free charge . my gripe along other everything room appear price tag content mini bar way way price - simple solution not like price not eat drink ! ! light bar friendly fun environment great atmosphere - happy drink night away here . if not already guess throughly stay St Martins Lane . acknowledge experience enjoy decor eccentricity everyone taste . love every minute would go back tomorrow . 
 Nov 30 2005 	 Great Location Friendly Staff Comfortable Room Happening Lobby 	 will admit . tad bite apprehensive book read current review site . regardless , opt stay St Martins Lane base previous positive experience ( 1999 - 2001 ) . yes , could update room electronic ( e.g . TV , stereo ) spruce hall carpet . regardless , recent stay ( 11/16 - 21/05 ) rather positive . first , location beat . secondly , staff ( doorman front desk cleaning staff ) service orient friendly . always greet & quot ; good morning & quot ; & quot ; hello . & quot ; thirdly , room ( standard double 5th floor ) good condition 2001 , bed comfortable , bathroom spacious surrounding quiet ( can not speak room low level ... close lobby ) . finally , enjoy lively , & quot ; happen , & quot ; scene lobby . 's great / convenient place meet friend drink night . , , St Martins Lane continue hotel prefer stay London . 
 Nov 9 2005 	 great service modern extreme ! 	 ultra modern hotel quirky feature strange garden gnome tooth - shape ( ? ) stool foyer , weird video lift ( one party comment reminiscent video & quot ; Ring & quot ; ) . great like sort thing ! location course ideal stone throw Leicester Square . the hotel clean fresh throughout , room include , decor modern - nice little feature mood - lighting behind bed . corridor somewhat like holiday inn type property though ! feel aspect lack think - room lighting , although adjustable , generally dim awful get ready go . bathroom door room ( inform generally case throughout hotel , although friend door twin room ) . take meaning & quot ; open plan & quot ; extreme ! mirror far socket can not look be hair . mini bar price astronomical ( eg , £ 5 small bag jelly bean nuts ) 's plenty stuff room run bill include price . fact , everything room ( include rather odd terracotta pot plastic plant wall ) purchase price ! room small , friend ' room slightly big . desk / chair , tv station mini bar underneath , hang space corridor etc . feel 5 * hotel money pay , would like space . staff friendly can not enough help , excellent range breakfast great service - include price room ( although sign additional optional service charge ) . 
 Oct 23 2005 	 Fabulous ! Loved St Martins Lane 	 boyfriend stay hotel 2 night September whilst business trip London . on arrival impressed overall look hotel find check service excellent standard smooth . hotel lobby modern hip great vibe even day . we book suite & quot ; Room 101 & quot ; find excellent size compare last Schrager hotel suite stay ( Royalton , New York ) . corner suite floor ceiling window , sit area , desk , two tv 's one 50 & quot ; wheel able manouvere choose . bathroom one well ever see hotel room . huge stand alone oval bath dominate room fitting Phillipe Stark . lighting room carefully plan dimmer switch light bed change colour suit mood - fabulous ! ! hotel breakfast good wide variety choice . hotel bar great , quite busy good atmosphere fantastic choice cocktail . the staff great hotel concierge really knowledgeable helpful . we miss opportunity eat hotels restaurant & quot ; Asia de cuba & quot ; believe also excellent place eat one fine London . overall really enjoy experience hotel would hesistate recommend friend . 
 Oct 7 2005 	 Fantastic ... shaky start 	 book hotel without read review first always somewhere want stay extravagant weekend break . Felt exhilerate finally do start read review post people scared ! moment arrive lobby give sense style oppulence would expect expensive first class hotel . however , check different story . staff polite show bar area ply free drink room ready . turn however room book long available hour twenty minute wait , finally give key ' upgrade ' room nice touch would expect nothing less consider long wait . the lift cool room amazing . brilliant view large bathroom fantastic too . the downside hotel fact corridor boil ! would definately stay put check - in incident hiccup ! 
 Sep 22 2005 	 tired run - down definitely hip 	 start say hotel not half bad fear . stay hotel client want . neighborhood surround hotel great . surprisingly , find staff attentive , friendly accomodating . room ( get upgrade Superior , think ) not small ( especially Schrager standard ) . room quiet , pretty thick wall , something fear . however , hotel wear definitely well take care . furnishing room , though modern , seem like not update year year . tv old 13 & quot ; hide cabinet straight discount rack ikea . sheet towel bathroom pretty nice . desk really small work desk chair junky plastic thing belong poolside 70 's era road motel . not expect effectively / comfortably work . hall seem grimy , might 're dark . gym pretty much joke - 2 treadmill weight , ' m sure anyone ever do maintenance . treadmill ( ) squeak clank , bike pedal bent cable weight set need oil maybe replacement . servicable gym , obviously really hotel say one , rather guest really get good workout . bar restaurant nice hopping , be be look , may right place . , though , give option London , will not stay . example , experience Metropolitan ( Hyde Park Corner ) , another hip modern hotel , much well . 
 Sep 19 2005 	 like modern design hotel - ! 	 stay 5 day personally agree many negative review regard hotel . service , staff , ambience , room food excellent . although appreciate use conservative enviroment old type athmosphere , place stay . modern room basically white comfortable , nice large bathroom . fantastic window floor ceiling give great view ! stayed intitially deluxe studio ( room 421 ) wonderful , due maintainance upgrade penthouse remain 3 night . fantastic room ( apartment ) . stay many de luxe hotel London certainly one ! return ! 
 Sep 18 2005 	 Ian Schrager 's Best 	 perhaps ' m bit jaded stay Royalton NYC , expect similar experience St. Martin 's Lane . Royalton everything portray 's picture post online , whereas , picture St. Martin 's Lane tend overstate reality . positive : excellent bellman , state other ; female concierge ( male one mention negative section ) , room , staff Light Bar . negative : everything else 3rd floor , carpet need serious replacement hallway , air conditioning , ' m expect AC London , least fresh air , stifle ; male concierge less helpful . purchase ticket online await arrival hotel . instead offer contact agency confirm delivery , wished & quot ; good luck & quot ; contact agency ! see guy concierge desk , keep walk lol . honest , next visit London try somewhere else . 
 Aug 5 2005 	 pretty good 	 london much travel experience , wife stay night without kid . pretty eclectic swag choccy pillow crowd pretty good . bloody expensive stuff rom fool pay 4 quid kit kat . love design , fantastic restaurant really nice staff want fawn grinner desk .. well wrong country buddy ! 
 Aug 2 2005 	 Fantastic 	 stay two separate occasion July 2005 . bit apprehensive reading review think hell ! staff friendly helpful . room standard , however lovely , clean decent view . we find nothing negative hotel ' glad pay visit . I would recommend would encourage guest post review dispel negative early post . 
 Jul 28 2005 	 nice ! 	 afraid read awful review . go anyway stay 4 night May . love almost everything . decor funny ... bed , luxurious . love come back room exhaust day sightseeing . shower / bathroom wonderful . wonderful view Trafalgar sqaure . Breakfast delicious ... yes , expensive . especially travel Dollar . Dinner Asia de Cuba one good meal London . like modern/ simple deisgn decor , stay . location can not beat . 
 Jul 28 2005 	 amazing 	 believe nothing strange people write , obviously stay standard room , standard people . hotel amazing , recommend anyone 
 Jul 2 2005 	 room nice lobby 	 nice hotel eat ( asia de cuba ) drink , not bother stay . room small furnishing feel flimsy cheap , although bathroom nice . not expect much view room look brick wall office litterally twenty foot away ( expect stare bored office worker leave curtain open ) . not understand hotel would elevator think interior design thought go guest room . find staff nice helpfull hotel dissapointing , usual hip / schraeger / stark hotel problem : great lobby / lousy room , hip hard get bar/ full unhip people , concern place look photographed well function . style substance . 
 Jun 7 2005 	 Loved St. Martin 's Lane ! 	 husband go London week may stay St. Martin 's Lane Hotel , absolutely love ! hotel modern fun … something ' use , ' happy get chance stay experience . St. Martin ' Lane ideal location , able walk Convent Garden , Leicester Square , Trafalgar Square within minute . staff friendly accommodate . bellman able call front desk get we upgrade room , fabulous . would see doorman daily quite friendly ask day site see . concierge always helpful help we find place breakfast , dinner , etc . also dinner hotel restaurant , extremely good worth price . worried reading review ' toiletry , lot review note everything sale … true . expect hotel toiletry ( lotion , shampoo , soap , etc ) , closet full - size item could purchase . 
 Jun 6 2005 	 worth money ... 	 stay St Martin & quot ; Lane hotel 4 night May 2005 . location hotel good , close lively place London . decide try hotel name Philippe Starck fond . experience hope . room small inconvenient . could find enough room open two luggage time . walk around room several time order get prepared go . wc shower locate teo opposite side room ! Traveller convenience comfort totally ignore . service quality average .. door lock break manage enter room help staff master key . request fix door lock next day , find nothing do next night return room . process repeat show unhappiness , send someone fix door last around hour keep we awake ... restaurant club reception make entrance hotel noisy crowd . hardly talk guy reception evening hour ... 
 Jun 1 2005 	 great location ok hotel 	 problem staff , many reviewer . though room adequate , large bed , decent bathroom ( not really need bathtub ) , good desk work . internet rate ridiculously price , everything bar . little humorous see ' bouncer ' post outside generally empty bar . , get think reasonable rate hotel location ( $ 290 ) , near tube stop , plenty walk distance . would stay price right ... guess not need goofy , stylize stuff seem stock trade hotel . 
 Apr 25 2005 	 definitely overrated ... 	 boyfriend stay St Martins Lane birthday say disappointing . arrive check - in , staff cold room way ready we . finally take room forty minute reception , open door find clean lady still tidy come across unprofessional . late check - in time , would expect hotel enough time get room ready we . but bad part stay extortionate price . expect pay £ 4.50 , yes £ 4.50 standard sized Kit Kat bar ! literally everything room price label mark . make we feel uncomfortable definitely make stay alot less enjoyable . expect hotel 's call good reputation lot class . 
 Apr 22 2005 	 chair would nie 	 hotel take minimalist whole new level discomfort ... minimal space , minimal attention staff even chair upon sit lick one 's wound ( not dare open First Aid kit reach Bandaid / Elastoplast incur £ 10 charge ) try come term one cajole pay luxury hotel price mirage ... flash real furniture .... fairness , bathroom nice , although note elsewhere tub 
 Apr 17 2005 	 overrate 	 St. Martin 's Lane provide service facility far 5 - star standard . long wait check , finally give room , shower bathtub ; ask switch , tell room hotel bathtub ( ? ) , nothing else available . , hand room key direct elevator- bellman available help we thing . corridor stain carpet musty smell . reach room , small could barely turn around . also , hotel peculiar practice fill hotel room thing buy- example , city guide London shrinkwrap shelf room . open , purchase owe 20 30 pound . true shampoo bathroom . instead small ( free ) sample - size , full sized shampoo , open , buy ( add bill ) . , hotel provide atmosphere uncomfortable ungracious . thing recommend location . I stay . 
 Apr 5 2005 	 ws Cool .... 	 go birthday ago ... absolute awe place . birthday surprise , not even realise hotel corridor room ... reception surreal ! ! suite , want something different definatley place go ! bathroom huge , light system activity , spend age play change whole colour room ( everything white , except tube lighting tuck bed adjust go whole light spectrum ! ) thing would say staff quick come room , even disturb sign door ... warn ! stay great experience ! 
 Mar 29 2005 	 Nice hotel bit odd ! 	 book St. Martins Lane last minute dot com get standard queen room english breakfast . arrival greet doorman look like model , reception modern , Salvador Dali type furniture look extremely uncomfortable ! reception staff helpful friendly . lift odd , feel like acid , quite dark small plasma screen arty clip show . not negative thing , bit strange ! first think strange room not door number realise carpet floor ! room lovely , white decor accesorie , even treadmill room lead bathroom . bathroom also nice - clean smart , thing shower bath . situate back hotel pleasent view overlook building , nice light . would not say room 5 star yes everything room price list ! mood enhance light nice touch though : ) not eat Asia de Cuba spend later part evening Light Bar pretty good hotel bar . extremely expensive though pay £ 12.50 per cocktail surprised find get charge £ 3.50 service charge waitress bring table bar ! hotel strict resident bar past 11 pm emptied bit while . breakfast morning excellent , lovely continential selection huge english breakfast , staff attentive ball . keen resturant , think odd looking , suppose 's mean really arty ! good stay , not think would stay 's many London hotel want try would recommend . 
 Mar 24 2005 	 good professional staff 	 stay two night month ( March ) . sort hotel would normally choose -we usually stay much traditional Claridges Capital , fancy change whole impressed . we stay one large room seem even large minimalist decor - everything white cream perspex . bed comfortable wife sleep well quite unusual us hotel . everything clean bathroom spacious well equip . agree previous reviewer everything room seem tobe sale include , usually free , sewing kit £ 3 ! ! ! ! ! ! staff uniformly cheerful , friendly professional , possibly well come across , although problem never really put test . we dine Asia de Cuba restaurant large Tuesday night eat busy . enjoy meal service excellent . by contrast cook english breakfast poor clearly cook long order ( arrive minute place order . ) 
 Mar 20 2005 	 price stylish substance 	 stay St Martins second time September 2004.well difference two year make . room corridor tatty , staff treat lucky , wait 20 minute check - queue system , could not get room go back reception guess , one available let we room would mind wait . involve hotel trade seem hotel put much emphasis style ( rapidly fade ) enough emphasis make hotel great - friendly , efficient , seemless service 
 Jan 4 2005 	 Preferred Sanderson 	 prefer St Martins Lane sister , Sanderson . bathroom much comfortable spacious , staff friendlier helpful , breakfast ( surrounding ) infinitely well . we stay New Years Eve , unexpected bonus room view London Eye – could watch firework bottle champagne . the minor quibble mention elsewhere – corridor stuffy stain carpet great . guest probably spend 0.01 % stay corridor , be hardly worth cry ! 
 Dec 31 2004 	 good location .... 	 taxi driver problem find hotel ask 2 driver finally find ! see get name outside mainly glass building revolve door . apart hotel nice . staff courteous helpful stick - up hotel ' ve stay . walk along corridor find room weird experience natural light feel bit like indoor maze room beautiful floor ceiling window . complaint seem everything sale room price list next many object bed comfortable mood lighting entertain daughter age ! overall location excellent covent garden leicester square whilst favourite hotel experience would repeat . 
 Nov 5 2004 	 funky functional great location breakfast service leave little desire 	 nice place . clean hotel . easy check - in . wireless internet . great location london . ' ve several time one well location . must love yellow white . it hard find . one way street make difficult get first try . breakfast service little slow . several day , , day ask thing ... like coffee ... couple time arrive . 
 Oct 18 2004 	 mouth trouser 	 DisappointedI wander corridor time look room number ... ahh , be ( multi - stained ) carpet , course ! ? ! low level room subject considerable noise Light Bar ' til 3 am ( seek member staff seat , wait 10 minute order drink leave thirsty ) okay , be perfect location , be strikingly beautiful , staff terribly friendly obliging , really eat Asia de Cuba ... food service faultless ( try prawn pesto appetizer ... dear God ! ! ) , work reckon could knock design walk - in shower not flood bathroom tap turn wet hand ( think clever design functionality ? ! ) ... never work get plug hole basin ? ! ! 's bit cryptic . thistle around corner may virtual aquarium , much well facility half price see money next timeNo offence Mr Starck ... still make smash ashtray ; ) ( leave feedback [ spite mechanism place collect feedback ? ! ] response ) . 
 Oct 11 2004 	 love 	 say love every minute : ) uk stay sanderson , decide stroll st martin see like , prepare bad bad review .... suprise suprise - awesome hotel.even room check . spotlessly clean room , good size.so take plunge book stay.everythe perfect , upgrade room double double , friendly staff everywhere housekeeping reception , light bar pack dj play crowd dancing.fantastic restaurant & amp ; breakfast.in fact sanderson great , everything think would - st martin suprise . next time london will stay , ignore bad review try - good time have london long time : ) 
 Aug 20 2004 	 good small detail need work 	 hotel stunning arrival , lot small thing lack . staff friendly breakfast excellent ( though extremely expensive ) , video art lift novel . carpet hall heavily stain room small , tv room , old style cabinet ( even old video ) appear dump corner room keep room whole . boot , door cabinet would stay open keep closing - good watch tv . well small amount channel . find aircon noisey night . annoying thing sample product room sale , include hotel souvenir like baseball hat . charge amount fora room do not expect room use shop window 
 Jun 17 2004 	 Heart City 
 Apr 10 2004 	 Way hip .... 
 Mar 21 2004 	 interesting expensive 
 Dec 6 2003 	 expect 
 Oct 12 2003 	 misleading 
 Sep 15 2003 	 far expensive 
 Sep 3 2003 	 Hip Factor go 
 Jul 24 2003 	 Overrated recommend 
 Feb 23 2003 	 great location ! 
 May 29 2002 	 absolutely Fabulous 
 Nov 10 2009 	 hôtel bien situé 
 Oct 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Sep 16 2009 	 séjourner au moins une fois dans sa vie ... puis se faire une opinion ! 
 Sep 5 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Aug 26 2009 	 Hotel di design ... bello e divertente ! ! ! 
 Aug 6 2009 	 Hôtel design très bien situé 
 Mar 16 2009 	 Semplicemente magnifico 
 Mar 13 2009 	 Tres tre bien situe et en tous point agreable 
 Nov 13 2008 	 Los detalle de las habitacione son sensacionale . 
 Sep 23 2008 	 exceptionnel 
