Wonderful 	 stay Le Meridien Shanghai part China trip . cold feeling little miserable arrive . soon enter room , forget cold ! room 36th ( ? ) floor view wonderful . although room large , feel spacious . furnish modern contemporary . husband like rain shower . location hotel ideal sightseeing . thing internet include , think could without . ( internet previous China hotel think use much . miss access . ) think return China year two , child . would love stay Le Meridien . 
 Great Great Location 	 hotel great location be holiday / leisure trip . right Nanjing Lu surround shop , restaurant cafe right literally & quot ; doorstep & quot ; , one enjoy bustle city life . breakfast offer hotel not dissapoint us - happy selection provide , room well appoint . convenient well locate cater well family travel young child . I also sister disable travel we . find hotel convenient , due location . able move freely without obtacle able wander around vicinity without difficulty . family wonderful vacation glad choose hotel . fact , month return home , family talk impending return another stay hotel . 
 Nov 9 2007 	 avoid hawker 	 fantastic 5 star hotel medium location . be away high end hotel Nanjing Road right beside hawker offer everything watch & quot ; lady massage & quot ; . guy really annoy aggresive . when walk , Zen waterfall lite candle night make place invite relax breakffst buffet Royal club poor . service attentative feel like watch . still good new hotel city enjoy thing get wear down.cj 
 Oct 28 2007 	 Good Location 	 Le Royal Meridian excellent location right next pedestrian section Nanjing Road . room nice & amp ; clean exception window filthy . would think glass would employ decent window cleaner ? breakfast hotel average wish staff could cheer bit restaurant . confuse thing lift need room card make move & amp ; not . find set lift take we ground floor room floor direct . last night noisy party terrace ten metre we go two o'clock morning . 
 Oct 25 2007 	 Great Location 	 stay hotel 2 night . very good location shopping . right Nanjing Roads hustle bustle . have executive room clean modern . the problem hotel majority staff seem stiff unfriendly . in fact never write review hotel instigate first review praise Westin Guangzhou . no comparison two . our bad experience ground floor welcome party front desk lobby level . its first time ever experience hotel yet loyal Starwood Gold member . just remember even check nothing mention far Starwood member facility . I ' m say not stay not expect much assistance require , stay location modern facility . food good . hotel lift place , Ground go Lobby walk lift room depend floor lift take . the hotel shop lobby del gold bullion that s inflate item be . as say location shopping hotel big plus say 5th time Shanghai Nanjing Road prostitute come everywhere . this big change see Shanghai , constant approach . I even discuss offer . now fault hotel do not get authority put stop , patron hotel face time walk front door . as Starwood member think go back four point Pudong everything great , one Starwood hotel . if loyalty sway ' m shangri - la sure . 
 Oct 23 2007 	 excellent experience 	 choose hotel largely base Tripadvisor recommendation ; stay 3 night early Oct 07 find whole experience extremely satisfying . Booked Royal Club room - main advantage include good buffet breakfast ( + egg dish cook well order ) + free ( alcoholic non ) drink + generous snack finger food 5.00pm - 8.00pm Club Lounge - well worth ( relatively small ) extra cost view . also drop Lounge anytime day coffee cool drink ; also unlimited free internet access . find staff throughout hotel extremely pleasant helpful . arrrival , discover have leave bag airport baggage claim - impress quick dedicated response staff retrieve get hotel 2 hour . request handle quickly pleasantly . find hotel area good access , eg , Shanghai Museum ( 15 min walk ) Bund ( 15 minute walk direction ) . would unhesitatingly recommend hotel ; definitely choose stay . 
 Oct 22 2007 	 great location design service good ` ` foreigner '' 	 24 year old chinese guy visit another country , ignore staff would greet non - Asians . check - in , one offer take suitcase room . local friend carry , felt ignore not westerner . one show room elevator system quite confusing . female staff help , be wrong male staff ? hotel sleek look decent view Shanghai . location tourist trap , store Nanjing Lu overprice . many hawker , scammer , etc . street . the morning buffet pretty good bargain consider price room service breakfast . 
 Oct 21 2007 	 wonderful come back night 	 boyfriend stay hotel two night , three day tour around Shanghai . ask high room check receive floor 43 ( total 60 something ) happy . also get great view tv tower . room big mean , everything room efficiently arrange not feel though stay small room . bathroom great , rain shower relax , temperature water could go hot water pressure strong need . thing would say bathroom open concept ( i.e . door room toilet travel way ceiling ) something family consider share room . personally find service hotel good , experience issue recent entry allude . , not speak Mandarin staff say thing , would idea . gym / sauna / steam room / pool area great , would definitely recommend traveler hotel check . eat buffet lunch one day , thoroughly enjoy - lot experiment local food , great break get great food use . great hotel would totally recommend anyone . 
 Oct 8 2007 	 great experience well 	 stay 5 night early October . lot confusion choice room , book Grand Deluxe promise upgrade forgot check tell reception already upgrade Grand Deluxe , think good deal . anyway Grand Deluxe high floor , 28th floor . REalised say lot customer reception ... upgrade . 1st room corner really small , like change nomal Grand Deluxe room . 2 night realise actually upgrade checke confirmation slip since lazy change room pack , ask reception could offer drink / b'fast instead chnage room . service reception poor ( compare Bali , Bangkok , S'pore ) kind enough offer junior suite kindly accept next 3 night . one thing chinese service staff , think understand language , tend talk among since undertsand 70 % say , pleasant . reception staff allude fact ' fussy ' customerOverall modern hotel , stylish room extremely modern . ( kinda like new Hiltons Bangkok KL ) room small bet good use spaceate italian restaurant hotel Cafe , average food . use gym good , modern equipment . location superb Nanjing Rd walk distance Bund . get really good rate rmb1200 get rate Shanghai , would stay . 
 Oct 6 2007 	 Modern work service 	 stay 5 night Royal Meridien recommend hotel young people care style cool bar people want excellent service . hotel really impressive bar general atmosphere lack term service . example wait long time in - room breakfast ( order day ) try breakfast restaurant next day service slow well . thing check ask non smoking room give smoking room get lobby change room . big issue chinese people use give 5 - star service yet stand thing would recommend . 
 Oct 1 2007 	 Excellent Hotel 	 probably good hotel stay China . the room excellent great view city . breakfast great one night eat italian restuarant - excellent . some family spa treatment enjoy gym pool facility . 
 Sep 28 2007 	 wonderful stay 	 stay 3 night Sept ' 07 . great service moment step taxi , luggage boy helpful staff take we reception ( not problem lift review mention ) .Well design room , clever use space designer . inch waste room feel spacious comfortable . make want stay room leave ! dinner french restaurant lobby floor . superb food / service although expensive Shanghai term . Buffet breakfast downfall , although menu change slightly day overall selection good worth price . overall , excellent hotel . definitely come back . 
 Sep 21 2007 	 Spectacular 	 open - flawless hotel . excellent location . wonderful attention detail room design . 
 Sep 21 2007 	 wonderful experience 	 stay Le Meridian April 2007 lovely time . platinum level starwood perhaps service average . reviewer hit highlight hotel . China dozen time business one nice hotel experience . swimming infinitity pool upper level sun come treat . would stay heartbeat . 
 Sep 3 2007 	 complaint Le Royal Meridien Shanghai 	 ' m Platinum Starwood elite member several program . Le Royal Meridien Shanghai exceed expectation look forward return trip . Opened 2007 , hotel modern skyscraper immaculate . Location middle Shanghai convenient subway taxi location . my upgrade suite concierge / club floor perfect . room well lay plasma ( plus dvd player ) swivel turn completely around view bed couch . bathroom great tub seperate shower - large rain shower head hand hold nice relief hot day . club lounge nice breakfast every morning ( notice cook station omelette 's ? around corner cereal / fruit bar last day ) well good layout food evening . drink complimentary day . infinity pool occasion great gym adequate . staff friendly helpful . leave envelope cash front desk delivery tailor . clothe hang room return . one complaint , would multiple elevator need reach room expect skyscraper hotel . 
 Aug 31 2007 	 Excellent 	 amazing view city restaurant executive floor . impressive decoration hall room . good breakfast buffet . 
 Aug 30 2007 	 definitely good choice 	 back stay Le Royal Meridien Shanghai . good point : location good - near shopping , restaurant Shanghai history museum . L'Occitane amenity - lovely verbena shampoo / conditioner , shower gel , body lotionfast room service - order tom yam soup , arrive 15 minute . pleasant staff - polite efficient , seem genuinely concerned . very clean - spotless room . club floor - PC 's free internet access , 24 hour complimentary drink ... snack regular hour . flat screen dvd player - plus lot cable channel choose fromhere con : Breakfast Club Floor ordinary . usual stuff : pancake , congee , egg ... possible problem water quality - 2 day Shanghai , start develop terrible rash face . could due general toxic haze pollution blanket city , sensitive skin ( not ) , suggest rinse face bottled water sure . so summary , Le Royal Meridien definitely good bet Shanghai . not like city , would recommend hotel anyone go . 
 Aug 23 2007 	 Fantastic Hotel 	 great hotel . Band downtown . back entrance open onto shopping street , walk . room excellent . try get high floor room . literally top Shanghai . service excellent . good security staff member everywhere help . price also bad . would highly recommend stay . 
 Aug 22 2007 	 average flawless 	 stay meridien 4 night august mixed feeling hotel . like hotel china enough staff deal guest check - in quick always people direct near elevator ( problem use , normal many elevator hotel 65floor like one do not mind use room key go nice safety feature ) . buffet restaurant lovely selection food lovely dessert , think breakfast could selection compare hotel stay china . quality equipment hotel room quite good . stayed grand deluxe room 43rd floor view great thought room large enough time , could bit comfortable . soon walk think room smell bit & quot ; humid & quot ; . understand . nice large GROHE curtain shower head bathroom area bath tub . whole floor area wet take shower hard dry compare normal bathroom . comfortable take shower overlook shanghai time , like towel floor exit tub instead slipery wet floor . I sure like room layout bathroom / room connection ( least like ) .The restaurant lovely overprice accord china standard . bar 65th floor offer good view shanghai . excellent location , right nanjing road , would probably go back without check option could find shanghai . 
 Aug 22 2007 	 great Stay price 	 stay Le Meridian well four season jc Mandarin trip . great Room moderate value relative hotel . location : Le Meridian locate Nanjing road . good baddepending be look . Nanjing always busy crowded people . lot low middle end shop explore . stand tourist expect approach folk . annoying get approached call & quot ; local student & quot ; looking spend money expensive tea house . walk distance Bund . room : Le Meridian room new . modern studio style . look like modern bachelor pad . Plasma tv . walk show window living area watch tv window take shower . great room good view . the Le Meridian lot folk Le Meridian lot folk good service well not seem mature Four season . cost / value : Le Meridian run 1650 rmb website . four season cheap stay long . 
 Aug 21 2007 	 Fabulous hotel ! 	 return long weekend Le Royal Meridien two friend . find great deal local travel agent ( HK $ 3,200 flight + 3 night ) although read review booking , still really impressed quality location hotel . whole look feel ultra modern luxurious . room comfortable , rain shower amazing , pool bright tranquil comfortable lounger 66th floor bar must - see ( girl ... try Coconut martini , serve male model ship Ladies night Friday ) ! be great little gift shop lobby , sell everything would find Shanghai Tang fraction price . pick copy & quot ; 's Shanghai & quot ; ( free local mag ) local restaurant bar listing . not seem much visit museum , old town Bund ( give tunnel miss ) . be look great dumpling , go Din Tai Fung Xintiandi ! 
 Aug 15 2007 	 Loved ! 	 stay 5 night Deluxe Club room include breckfast . rate taxis seem pretty high we ( $ 320 night ) concern whether would get value money , end go Trip Advisor recommendation go . glad ! hotel fantastic . room spacious , view fabulous , bed comfy , toiletry ( L'Occitane ) wonderful , in - room tea selection great . non - smoking floor really non smoking . hotel take leave Club facility hotel high standard . breckfast Club room every morning overlook Bund food selelction great . evening cocktail hour provide nice selection canape , pastry drink - generous food always nice thing . internet facility Clube lounge free . staff service excellent , really go way assist we every way possible , include post three large unweildy package - provide box , pack material , tape information regard postage , take box post office we check out . a lot people write review issue position lobby various elevator bank need get one section hotel next . really , big deal - certainly big enough warrant stay hotel . would return ? can not wait ! 
 Aug 6 2007 	 enjoy stay 	 originally book stay Westin Hotel change Le Roayl Meridien friend advise we location convenient certainly . hotel lovely must like modern opposed traditional decor . reviewer complain lobby main floor . common many hotel throughout China . hotel check fast convenient . however even five star hotel many staff behind reception desk understand English . friendly , however communicate difficult . ask concierge location store locate 300 foot hotel , one know store could tell we . read standard room small thought would big problem however . five suitcase two people could fit one suitcase closet . room lack space put anything away . sink allow room toothbrush . shower standard room impossible use water flow right onto floor ledge prevent water flow bathroom . ask upgrade several hour arguing finally move we another room . travel alone minimal amount luggage standard room fine . comfortable two people . buffet breakfast amazing , food restaurant lunch average . pool gym also excellent . hotel abundance staff stand elevator greet push elevator button . find uncomfortable eat meal , several staff stand inch side entire time . waiter leave side place order someone stand side fill water glass time . could get understand need privacy meal . go check call ahead time luggage pick . one come get luggage . callle two time still one come . take 5 suticase lobby . bell boy load one suitcase cab we tip $ 2.00 US , give we dirty look . staff hotel polite , however improve service . consider ratio staff hotel guest , excuse transport luggage . friend stay JW Marriott recommend hotel . also need find staff speak english assist tourist chinese businessman . even though enjoy stay , many 5 star hotel choose , would try another hotel instead . 
 Jul 27 2007 	 Excellent round 	 book hotel travel agent , email hotel directly airport pickup ( RMB600 ) , promptly reply within hour someone wait we exit arrival area . ride take 50mins upon arrive hotel , hotel rep greet we escort we room show we amenity suite ( excellent english ! ) room huge plasma tv could swirl around 360 degree bed sit area . one incident occur ( make understand LeMeridien top many 5 star hotel Shanghai ) . long taxi queue wait outside hotel ( weekend rain 6.30pm ! ) look queue , wait least 30mins , however , bell boy suggest could share limo ( Audi A6 ) 2 passenger 20RMB , course gladly accept ! return another 5 * hotel , - course long taxi queue , 10.30pm , metro already close , everyone start get annoy totally ignore queue , bell boy could not handle situation disappear ! ! go hotel complain ask much would cost hire limo , quote RMB400 ( Taxi would cost 16RMB ! ! ) tell there s always long queue can not anything ! ! ! show do not care there s war outside whereas LeMeridien offer we quick solution ! hotel 's location excellent , right next People Square shopping Nanjing Road , hotel floor start 11 hotel department store there s supermarket ground floor get water , snack etc ( bottle evian 45RMB hotel ! ) breakfast plenty choice order room service food arrive 20mins . this really hotel stay Shanghai ! 
 Jul 27 2007 	 can not beat location 	 stay hotel still trial operation period , package ( air / hotel ) get HK excellent value . location hotel amazing , right west end Nanjing Road pedestrian walk . also three minute walk People 's Square subway stop two major subway line intersect . possible take highspeed train airport Pudong , change subway reach hotel 80RMB , half taxi would cost luggage issue . however , relatively new , front lobby sort sight , side street , cab driver Shanghai know . cab drivers Shanghai native shanghaiese different topic together . room nice , love shower / bath , layout well design . nice indoor pool gym . ask fresh coffee cream ( 10 % ) lobby bar / restaurant , get 18 % table cream wine glass kitchen . one hand , diary product still foreign chinese 10 pm busy . , Le Royal Meridien . well , least staff try hard . guess justify fantastic rate . try show SPG membership card , never get point . guess pay travel agent , directly hotel . 
 Jul 20 2007 	 love hotel 	 hotel definitely five star hotel term service , amenity , decor , location . Shanghai last leg China vacation lot place compare . five star hotel ( american standard ) . entire staff speak english fluently helpful guiding around city . upgrade high floor absolutely amazing view Nanjing Road , literally outside hotel door . relax . still new hotel feel everyone eager please . the criticism would taxis seem know hotel . frustrating get taxi try explain even give hotel card . good thing hotel distinctive looking -- look build flash dotted line . traveller mention , high floor , switch elevator -- big deal . also , interrupt evening several time staff ask everything alright . nice check guest annoying answer door couple time night . 
 Jul 20 2007 	 absolutely wonderful experience ! 	 spend 250 night year hotel LeMeridien Shanghai one good hotel 's ' ve stay . property brand , spank new , 's heart virtually everything would want visit Shanghai . staff simply wonderful cater every beck call . be Starwood Preferred Guest , will love wonderful breakfast evening buffet spread . addition , design Royal Club Lounge make relax absolute pleasure . be go Shanghai , stay LeMeridien - you will not disappoint ! 
 Jul 15 2007 	 Great Location 	 good thing hotel room location . upgrade room 34th floor view city side . bath tub face Bund - amazing . location perfect . good walk right hotel door major attraction shop . on side , hotel lobby feel big . lot employee direct guest one tend get bit lose . reception 11th floor . one must take elevator arrive destination . chinese restaurant good , spa ok hairdresser bargain ( $ 10 hair wash blow dry ) . business center expensive . use internet cafe near order avoid silly price internet access . overall like hotel lot . common area cosy mean . 's lot noise , music go etc . 
 Jul 15 2007 	 Le Royal Meridien - place stay Shanghai 	 Quite simply , Le Royal Meridien Shanghai place stay Shanghai . Le Meridien perfect combination brilliant new property , outstanding service , terrific location , convenient located heart Shanghai . during four day stay never worry . connect room child perfectly situated . every request service immediately accurately act upon . pool exercise facility terrific . pros- well appoint , new rooms- courteous service , greet staff throughout hotel- great location Nanjing shopping- diverse breakfast buffet , outstanding food - attractive pool exercise facilitiescons- hotel lobby locate 20th floor , must switch elevator lobby level get guest room 
 Jul 3 2007 	 impeccable location excellent amenity 	 Le Royal Meridien catch attention web first open last November . pleasant stay end June 4 day . first , lift arrangement complicated review indicate . one set lifts street level lobby floor , two different set elevator mid floor room , high floor room . ample staff lift foyer show direction . the location hotel central esp want first - hand encounterance Shanghai , instead stay remote tour shanghai private car window . People 's Square Station acorss street , Nanjing Road pedestrian street 2 - min away . bar 789 66th floor , enjoy one good panoramic view shanghai . Y2,500 private area group drink face Pudong / River view , party 6 - 8 definitely worth it . the service- overall excellent - courteous friendly , bell service reception desk . concierge helpful . housekeep friendly helpful . good job complimentary shoe - shine long day walk rural side . flaw female server Le Bristrot display poker face every morning ! ! room spacious , good size desk face floor ceiling window offer view city , upgrade deluxe Club may bund view . open concept washbasin area , many glass shelve personal toileterie . separate toilet tub / shower . you enjoy tv view city take show bath raise electric blind glass petition separate bathroom sit area . 42 LCD TV w dvd player . Bathrobe , ample space closet / wardrobe . immaculate hardware . the sumptuous breakfast Le Bistrot lobby floor offer wide variety food . restaurant ample staff good start day unfriendly female server . the price lunch french restaurant great , food service . overall - 9 - month old hotel , excellent . yet time prove excellence endure many hotel China ignore importance maintence . 
 Jul 2 2007 	 Splendid Hotel Views impersonal service 	 Le Royal Meridien Shanghai one city 's good hotel , far food , design , location architecture go . 's place 's great come back , lack personal touch welcome make difference great experience unforgettable one . location : right heart city People ' Square . quality hotel Shanghai claim honor JW Marriott , still Le Meridien ' location even central . immediate north Nanjing East Road pedestrian street , must stop every visitor . enjoy great light night , beware pimp tout lady bar thing hotel ' back door . south old , pre - revolutionary christian church ' fun photograph , next , Shanghai ' shopping mall masse , Raffle ' Plaza . load restaurant , clothing store , even Cold Stone Creamery . west People ' Park , Grand Theater , Urban Planning Museum ( check huge model Shanghai 3rd floor , see every build main city area miniature ) , Museum Modern Art ( MOCA ) , Shanghai Art Museum . Shanghai History Museum 10 minute walk away People ' Square , ' place one spend several hour enjoy well gather exhibit . People 's Square big clothing fashion market lot fun right crowd girl . restaurant : buffet really good around , especially Shanghai . allure , french restaurant , manage charming french woman , Fanny , food tasty nicely present , especially white truffle soup . try business set lunch great value 3 course . chinese restaurant nothing special , chinese friend tell food lack delicate flavor real Guangdong dish , italian restaurant Favola quality creation , lack " special . " recommend upgrade club floor enjoy day drink , afternoon tea , evening cocktail appetizer ; ' great deal . room : floor ceiling window overlook city ; ' romantic , fascinating , invigorate , one thing make hotel special . come day window clean . room feel little small , comfortable nice touch like fancy french toiletry , large LCD tv , cloudlike bed . bathroom nice , except shower door stop seem strategically place toe stubbing . Tread softly . place hang towel bathroom ; set mine rim bathtub feel around find shower . Health Club : great atrium style pool , idyllic terrace overlook People ' Park , super comfortable hot tub right place . gym real gym , one make work look attractive . thing ' like though change room downstairs bit walk pool gym . feel strange walking stair , long hallway , dripping wet little chilly cold air conditioning . complaint : hotel 700 room , sure feel like . Staff seem busy preoccupied , nonsense business - like air . smile ' feel much different one get office ; lot politeness , little sincerity . even though surrounding incredible , miss genuine smile staff seem happy ' . ' still new hotel , ' likely Le Royal Meridien Shanghai mature fantastic place ' mean . might take another year two . 
 Jun 28 2007 	 Fantastic 	 stay 7 night businessstaye club room , well worth buffet drink day superbthe leisure faclitie one well see . hot tub look Shanghai skyline picturesqueroom nice also fantasic shower nice 42 & quot ; plasmalocation key tooonly downfall series lift need use get around hotel bt get use whileOverall truely great experience 
 Jun 5 2007 	 Great Hotel 	 hotel get good location Shanghai , central Nanjing Rd Bund , although taxi cheap Shanghai , nice able walk many attraction . hotel brand spank new , room spacious ultra modern . luxurious bed linen . breakfast vast cater taste nationality . bar 66 floor must , spectacular view city great cocktail snack menu could improve though . do not bother go Grand Hyatt cloud 9 drink stay hotel view well 66 floor Le Royal Meridien . Grand Hyatt high small window restrict view . nice indoor pool also Gym . one good chinese restaurant Shanghai hotel unfortunantly dinner , arrive late restaurant close 10 pm . fish tank enter restaurant awsome ! 
 Jun 3 2007 	 Top Line 	 top line hotel , block riverfront Bund area , disappoint . club level room 55th floor provide magnificent view city light ( smog ) perfectly appoint . couild ask well service attentive staff . breakfast morning 44th floor club level provide another perspective city skyline . open bar hor d'oevre available afternoon make extra expense bargain , word use connection hotel caliber . negotiate significant price concession 3 room 4 - night stay . we find dim sum restaurant hotel huge variety dish lunch . evening meal top rate Bund , rooftop restaurant , leave we disappoint . much preferrre Ye Shanghai french concession area -- sort Georgetown China , massive construction underway throughout city intrude . the staff difficulty English , government 's recent emphasis English school help problem next several year . surprised find computer internet access use apparently unauthorized version window operating system . overall , great stay . 
 May 12 2007 	 full swing 	 stay hotel twice now . first nov , second apr . in november day , hotel room amenity well inspect . U do not ask thing send room iron ironing board , umbrella etc . deco design make hotel look stunning . 42inch tv nice . bathtub rainshower ... staff confuse november , suprise consider hotel open . seem change , check efficient staff helpful willing talk . I head back westin nov visit visit meridien hotel choiceMy SuggestionsBusiness traveler : get royal club room . u meet anyone business use 8 person meet room club floor 2 hour complimentary . long stay : standard room seem little small unless . executive suite nice comfortable size . 
 Apr 25 2007 	 simply good ! 	 though open 6 month , Le Royal Meridien must premier hotel Shanghai . big ( tall 66 storey ) , beautiful perfectly locate . incredibly young hotel , staff almost uniformly efficient friendly . the room gorgeous functional ( though drawer would nice ) view incomparable . the spa fitness center world class . the main restaurant buffet excellent restaurant win award allure ( french cuisine ) .I can not think anything wrong hotel ! 
 Apr 25 2007 	 great location good hotel facilite fair service 	 stay first time though pass last October . location excellent : start Nanjing Pedestrain Street edge People 's Square . close Subway station , taxis difficult come . hotel still new ( open Sept 2006 ? ) , facility good shape . room fair size , though find room JW Marriott ( similar skyscraper across Square ) big . 42 & quot ; LCD nice touch . bathroom area within room , without formal partition . Shower bathtub combine one compartment , & quot ; rainfall - type & quot ; shower , DEEP long tub ( nice touch ) . & quot ; compartment & quot ; separate living area glass , could fully visible whoever be room ( not worry , 's curtain want privacy ) . toilet another compartment . personally prefer bathroom completely separate room . private business private business , afterall . get so - so view Square low floor , view high floor excellent , check 66th floor bar / lounge . service quality so - so . always get sort poor attitude chinese hotel . especially evident Concierge service people lobby restaurant . lift arrangement also hassle . always seem bit confusing lift go where . but take account , consider location quality facility , great price pay . cheaper JW Marriott / Westin / Ritz - Carlton . 
 Apr 22 2007 	 private holiday centre Shanghai 	 stay begin April , 5 5 night . for additional comfort Royal Club Lounge locate floor 44 personal Butler service decide Royal Club room . service top - end enjoy stay much . because 138 Royal Club room offer good breakfast lot different choice spacious Royal Club Lounge . I miss bit typical chinese breakfast . buffet breakfast typical french Meridien breakfast miss local influence . from 5.30 pm 8 pm offer Cocktail hour warm cold snack , pastry chocolate . also good beverage presentation offer international vine , Moet & amp ; Chandon Champagne , Cognac , Cocktails ... Personal Butler service include pack unpack clothe , personal wake - up call coffee room concierge service . also computer free internet access lounge . day , offer beverage service coffee tea non - alcoholic drink . the room spacious ( 38 sqm . ) open bathroom separate toilet . the location good tourist directly famous shopping street , Nanjing Road . I try & quot ; Ai Mei & quot ; Restaurant chinese meal & quot ; Allure & quot ; french gourmet cuisine . chinese restaurant , price low level good value money . the french restaurant upscale , personal service , course , high price chinese restaurant . the bar locate three top floor panoramic view good choice Martini cocktail . it memorable stay highly recommend modern , french style luxurious hotel . 
 Apr 17 2007 	 great hotel excellent location - place stay Shangahi 	 stay second trip Shangahi ( last time stay Westin Bund Center ) . happy overall hotel . 's excellent location downtown close subway major attraction . since ' m Platinum member Starwood upgrade suite arrival 56th floor great view Shanghai Tomorrow Square . room like Junior Suite suite , since bedroom not wall still nice . tv nice swivel thing rotate 180 degree bed view live area view . bathroom nice update large shower jacuzzi tub . I access lounge nice , though food spread bit disappoint experienced Starwood top tier hotel , still great . staff excellent extremely accommodating . bellboy even walk partner tailor 15 minute away get pant hem translate . helpful genuinely nice people . I would definitely stay , though tough choice Le Royal Meridien , St. Regis Westin Bund . 
 Apr 15 2007 	 Great Hotel 	 ' ve stay numerous hotel Shanghai last year Grand Hyatt , Westin Portman Ritz Carlton , LMR truly top list . ' m business traveler hotel cater globetrotte businessman would also fantastic hotel holiday get - away leisure traveler . hotel conveniently locate heart Bund right Nanjing Rd adjacent People 's Park . three subway stop nearby ; one within 100 yard walk entrance hotel . term location hotel well well situate area perspective . outside hotel lobby several restaurant cafe include Subway . hotel sum one word : Grand . lift confuse previous review indicate although set elevator serve floor . room extremely functional , contemporary pleasant . window span one entire wall room floor ceiling pair room east side hotel give wonderful view Nanjing Road , Bund even PuDong . room contain large plasma television , rainforest shower , extremely comfortable bed efficient desk face large window . several restaurant hotel . enjoy breakfast buffet serve all - day dining restaurant adjacent main lobby . favorite restaurant hotel italian restaurant call Favola . eat dinner four night trip , give knowledge Shanghai great eatery , fantastic accolade staff , food ambiance restaurant . actually enjoy stay hotel . great leg lamb great selection flat crust pizza . wine list sufficient , bit surprised lacked would describe medium price wine . lot choice sub- $ 100 many listing + $ 500 , lot surprise great hotel . staff restaurant return many night row . quick , responsive extremely cordial . many great conversation wait staff well hostess . hotel also nice spa fitness center . use spa , take tour base appearance remind spa Westin Hotel Shanghai . fitness center great , clean keep please temperature something many hotel pay attention . nice lap pool ; bring goggle , not rent set back $ 30 purchase pair . top hotel three story bar offer amazing 360 view Shanghai . ' great place kick back drink cigar long day office visit business partner . pro : - great staff friendly , efficient room great beds.- well decorated.- great location puxi- Favola restaurant fitness center . con : - buffet little expensive someone eat small breakfast . coffee shop adjacent main lobby entrance hotel breakfast simple coffee bagel muffin.- inconvenient time use different set elevator move hotel main entrance 65th floor . recommendation use set elevator whole stay . 
 Mar 13 2007 	 minor flaw overall great stay ! 	 stay 4 night early March business . hotel ultra - modern beautiful . room immaculate bed other - worldly . Location Nanjing Rd . prime . minor flaw : lobby locate 11th floor room locate 20 - 65 . however , trip room could require 3 separate elevator ride depend location . shower head placement awkward bathroom many greeter ( perhaps like extra attention ) . overall , wonderful hotel great springboard exploration Shanghai . also arrange great tour Shangha we . 
 Mar 2 2007 	 gorgeous price varie 	 stay hotel 3 night February 2007 $ 100USD per night ( find Hong Kong base travel agent website equivalent online hotel discount website base U.S. , $ 200usd per night . hotel room large , clean , modern definitely bargain $ 100 per night . view floor ceiling window great ( despite cloudy weather ) . housekeeping need fufille quickly upon phone call , front desk staff professional , proficient friendly . location hotel good . 's true need different set elevator go room , always someone direct right set elevator not rocket science . tour guide car three day comment proximity mass transit . hotel restaurant seem overpriced never clear whether 15 % & quot ; service charge & quot ; consider gratuity waiter . 
 Mar 1 2007 	 great hotel 	 return six day stay le royal meridien shanghai . great hotel . definately stay . fantastic location , lot thing see within walking distance . ( although taxi cheap want venture ) not problem taxi driver find place mention previously . also lift never problem always staff help . ( not take much work anyway ) excellent , friendly service hotel staff . not think could possibly helpful . ( even outdoor heater keep customer warm whilst wait call taxi ! ) room modern plasma tv dvd player . great view floor ceiling window . side find quite enough storage space clothe . we club room give free internet use club lounge . also snack drink throughout day . good afternoon tea cake , pre dinner drink ! also , book hotel car pick we airport although flight arrive hour early driver greet we . overall impressed . 
 Mar 1 2007 	 Good Hotel Good Location 	 recently stay brand new hotel business would definitely recommend business leisure traveler . room nice modern although bit small expect . nice surprise room : see glass window shower room bed room ; good reading light bed L'Occitane amenity . complaint room bed soft . big advantage hotel location . 's locate Nanjing Road close People 's Square find abundant shopping restaurant . the buffet breakfast wide selection food quality . 
 Jan 29 2007 	 brand spank new hotel decent location 	 Stayed Le Royal Meridien month opening . hotel take top half office tower , shopping centre block base tower . interior modern - although design might perhaps well serve little understatement . location next People 's Park excellent - hotel right next major Metro station well one Shanghai 's major shopping street . new , good idea keep hotel number speed dial case need concierge direct taxi driver . service attentive , although english competence good functional staff . ( make point anyone well English would probably work well - pay job , situation intolerable ) staff eager please attentive , although kink sort e.g . check one know Express Checkout card pass reception . the room decent view reasonably sized . outfit plasma tv feature one would expect international 5 - star hotel chain . 
 Jan 24 2007 	 Excellent 6 star hotel good location 	 stay 6 night . great hotel , fabulous location shopping eat . food cheap excellent standard . safely eat restaurant outside hotel . hotel food good -- -but nothing fantastic . would rather eat real chinese food outside . room comfortable high floor view sensational . huge plasma great kid . go taxi everywhere expensive . go Old Town eat famous restaurant upstairs serve good dumpling town . also sell beautiful dumpling ground floor little window ( be teahouse lake ) . shanghai 's famous dumpling restaurant miss . enjoy stay Shanghai hotel . however , think staff lack experience 5 star hotel need spell everything . expect meet unexpected need quickly -- -eg . , sheet sofabe kid -- already . extra towel kid everyday . ask direction anywhere bit irritating . patient not surprise much time wait question answer -- noone think independently hotel . speak english -- concierge Jimmy excellent everyone speak understand english well . overall , excellent hotel beautifully appoint fantastic pool , spa fitness centre . room comfortable quiet . would stay would expect typical 5 star service . try hard not experience make service top notch . be almost quite . 
 Jan 2 2007 	 modern nice 	 nice hotel outstanding location begin Nanjing road . modern design everywhere , nice staff , good buffet restaurant great swimming pool . room ok nice Meridien Hong Kong . 
