five 	 please , book , let warn , 15 dollar resort fee / day facility never use , valet tip , 12 dollar interne , plus tax , add ! arrive Wednesday night two night , check , leave luggage room , go , wait 15 minute car come valet , hardly anyone work time , one person front desk pretty much time wednesday , guess cut staff due economy . back hotel 1am , could not find slipper room suppose , call front desk say check , , look everywhere could not find . call housekeeping , take 20 minute slipper arrive . time almost 2am . know five star hotel decide bring show cap , step shower , start look show cap , relieved see nice little box say shower cap Spa Trump print box tray . reach , lid tear show cap inside , be empty ! use previous guest ! stay two / three star hotel , never see . , 20 minute shower cap arrive , wow never hard time take shower . next morning , wake arround 10 , want use stovetop . start long journey get item kitchen . call get transfer housekeeping , 5 minute hold time , finally pick phone , tell need couple item , lady say & quot ; pleasure & quot ; hung , wait 40 minute , one ever come , think lady not even bother help , call back wait forever , always music re back music , one ever pick housekeeping , call operator talk front desk matter . one pick . call operator tell one pick place , operator simply say & quot ; one pick , busy , need ? & quot ; , excuse , five star ? not ask need rude way , ask , & quot ; pass request , get ? & quot ; well least pass deliver another 30 minute . not start cook almost 12 . five star not poor service , housekeeping make wonder room clean properly , never see doorman open door we . sure we tight schedule , not 15 minute , 30 minute spend waiting service arrive much soon . stay neither recommand anyone know . really 3.5 star hotel max . 
 would rate 5 - star hotel 4 - star - maybe 	 get back trip Las Vegas . I look forward leasure stay hotel Death Valley trip . well , hotel nice , BUT:1 . get shower water run slow , shower head comparable motel shower . hard wash soap . 2 . bathroom glass door heave 1/2 inch space end door floor . open door hit toe close nail , let tell , hurt , lot ! ! ! simple piece rubber plastic button door would done trick . ( next day , husband problem3 . minor thing , would expect 5 - star hotel - toilet paper holder break , toilet paper top toilet time.4 . resort fee : sign paper check , say $ 15 / day , not say also $ 1.80 tax top . big deal , stay couple day get nice surprise checkout , head would help.5 . food : want order in - room service sandwich soup ( sick whole stay , could get room ) . calculate , price chicken noodle soup would $ 9 + $ 5 ( service charge ) + 18 % ( tax , gratitude ) .... husband get downstair take restaurant avoid ridiculous fee , menu restaurant completely different in - room menu . on hand . staff helpful , clean service nice clean room good . the bed towel nice fresh . room clean . kitchenette room also nice feature . we city view , yes Santa Fe train come time time load whistle , big problem , view room nice , actually city view , mountain view , beautiful . would stay - maybe , admit 4 star hotel . 
 Outstanding Place Stay 	 stay Trump hotel Las Vegas 5 night blow away quality hotel . know go resort fee everybody book hotel know find o.k service get outstanding . room well see world . staff friendly professional . definitely stay . property . 
 Jan 4 2009 	 Nice Room 's little thing ... 	 ' m fan Las Vegas Condohotels , stayed open far . term room , trump nice . 's similar signature , though slightly less square footage balcony . room fitting may slightly high quality signature , beautiful sink bath lot tasteful marble . room couple year new signature , may fresher . we check 3 pm New Years Day . front desk attendant pleasant , say room not ready yet . really not feel like wait -- lot people lobby obviously already wait room , ask upgrade room available . end upgrade premium corner suite 1 bedroom another $ 100 night would not wait . room 19th floor bathroom big bedroom , large window tub . unfortunately , view mostly freeway parking lot . would ' ve cool high floor strip view ... trump charge $ 15 day resort fee would not minded -- internet include -- 's extra $ 12 day ( , signature fee include wifi ) . resort fee include bottled water coffee -- water not replenish 2nd day , 1 coffee cup kitchen , creamer available hazelnut cream cremora flavor . bed linen least comfortable high end hotel ' ve stay past year , include Palazzo , Palms Place , Sig . room service take hour half arrive . food good quality , time get we wished have go breakfast . sum , hotel beautiful facility , clean , excellent , be obviously understaffed , many little thing add make really good hotel . signature maintain room well , be much well manage every way . even Palms Place , rough start stay , seem well manage much interesting room ... 
 Jan 2 2009 	 true experience 	 Plus:1 . Room deco.2 . nice view.3 . curtious staff . Minus:1 . Valet parking response slow.2 . house keep response slow . 
 Dec 31 2008 	 Absolute Ripoff ! not waste time money ... 	 hotel fully book confirm , arrive force we pay additional MANDATORY $ 15 ( plus tax ) day charge nonsense like use pool , newspaper room , useless stuff automatically include every hotel . option decline fee , think be absolutely ridiculous . then , claim & quot ; step away strip & quot ; , be like 20 minute walk away strip . also , room one bed uncomfortable pullout bed . lastly , loud constant whistle noise room , window leak wind noise . overall , consider suppose 5 star resort , think suck REAL real real bad . 
 Dec 28 2008 	 bad hotel 	 bad hotel . horrible service bad attitude , go get Trump . be look forward stay Trump hotel Chirstmas vacation turn complete nightmare . completely ruin Christmas . start hot water first night . yes , HOT WATER . believe ? kind establishment even hot water ? next day front desk wake we 6:30am , complete family , phone call try come room want check hot water . anyone right sense . room crack pitcher metion break phone . housekeeping forget deliver request item top , valet attitude bring car . son sick valet will not bring car front entrence , instead tell we WALK , winter cold , far end building pick car . carry kid run van . follow day , go make 4th complaint manager turn one . Guest angry valet , room , service , food . name . People wait 45 min . get car valet . thank Donald Trump ruin Christmas vacation . oh mention son 's first trip Vegas . sure make unforgetable ! 
 Dec 18 2008 	 relax nice ! 	 trump tower little strip , mall thank casino much quiet relaxing place . I room 33 floor room huge compare normal european room use . like small flat , bathroom huge separate tub shower . even tv build mirror . place well run can not give enough credit bartender work pool . bunch idiot Europe fun Vegas somehow make even well . thank guy ! even get house escalade drive we around instead call we cab like ask for . there probably fancy place Vegas fake marble , fake gold hand always look tip , non gambler place great . 
 Dec 15 2008 	 Great Value 	 stay popular time - able priceline $ 120 + tax Saturday night . beautiful hotel - amazing room decor amazing view . room modern absolutely amazing . Jacuzzi tub , separate shower , marble / granite . huge flatscreenTV . room come king size bed sofa bed . king bed amazingly comfortable sofa bed also comfortable accord brother . room also kitchenette microwave , stovetop , etc would useful not want eat every meal . dish provide . hotel slightly strip not expect middle action . gamble hotel . 5 minute walk strip - sort dark / long road walk night . probably change year plot land front hotel develop along strip . minimal interaction staff - front desk person thorough accommodating . valet car service slow may time day . valet car service $ 14 official self - parking . say park across street mall see car ticket decide valet . 
 Dec 14 2008 	 wonderfully suprise ! 	 hubby book hotwire.com thought would get room Wynn Venetian . live Vegas get night family town baby - sit . dissapointe first ... get blow away . there valet service park not expect , plus ATMs side . room georgous . clean huge tub jet beautiful view , quite . casino hotel perfect we . whole place beautiful top bottom . problem bed soft preferance husband fine . 
 Dec 12 2008 	 Luxury Living - home home 	 us hotel everything , Las Vegas see sight , Hoover Dam Grand Canyon . hotel strip short cab ride 10 minute walk casino , trump casino , plus we , interested gambling every day . want comfortable base Trump comfortable . the hotel nice reception area , staff friendly ; staff helpful professional . ( one maid clean room well one day , get tip ) generally feel welcome throughout stay . the bar nice ; gentleman serve bar attentive everyone , professional , even get try new drink . there nice gym swimming pool , area clean tidy good selection sun lounger plentiful supply towel . we small problem room first check , feel previous guest trash room . ( room fantastic smell damp . ) speak reception , quibble , could apologetic , tell we carpet wash maybe problem . they ask we would mind move say would upgrade we suite way apology . the suite fantastic , every amenity , kitchen cooker , freezer , dishwasher , bar area dine / sit area , plasma type screen din bedroom . bed comfortable , partner great night sleep , air conditioning great throughout property . the bathroom fantastic , amusement television inset bathroom mirror , plenty fluffy towel , dress gown slipper , sink , whirlpool bath . whole property well maintain . the staff door great , always happy help , call taxi give advice , look luggage etc . the negative railway line run quite close hotel train blast whistle / horn go level crossing . could disturb . hotel across road mall , shopper ' paradise love food plenty place eat nearby . hotel restaurant use this . we feel receive great value accommodation , would certainly return recommend accommodation friend . 
 Dec 11 2008 	 Sinfully delightful stay Sin City 	 book hotel Hotwire . discover Trump International check review . concerned describe hotel less 5 star . anyways , thought . headline : definitely worthy 5 star rating.1 . staff . extremely friendly helpful . well experience travel elsewhere2 . room public area : upgrade one bedroom . room stunning . 58th floor . perfect condition . kitchen make envious appliances.3 . location : bit Strip . WALK -- careful , sidewalk . real safety issue . Fashion Show Mall right across street . all great stay price . 
 Dec 8 2008 	 Good Value Rooms ' expect Vegas like Know 	 ' usually write review site , however , stay last weekend Trump Las Vegas , feel need add two cent hotel . let also say travel Vegas quite often stay every high end hotel/ condo - hotel city , lot opinion base comparison place one stay city . pro : room trump quite nice . check - in mix reservation , even though delay minute , nice front desk agent upgrade one - bedroom suite . room massive beautiful . master bathroom ( 2 full one , 1 ½ ) two - person shower , two - person whirlpool tub , double sink ( mirror tv ) , even full desk ! bedroom equally luxurious ample closet space , 32 - inch hdtv , comfortable bed . frankly , little like room – notable exception train noise definitely hear northern side building . in addition , room service Trump excellent food ( though late - night selection limit ) . also house car available time take around strip/ airport – welcome alternative take taxis around Vegas , something hotel Vegas offer guest ( Four Seasons place know ) . service tend also pretty good , despite clearly less people work probably hotel size . con : ' really anything happen ever hotel . since casino , 11 pm whole place basically ghost town . , ' much problem , cause many visitor Vegas think twice stay , , hurt business cause hotel make major cutback . really though , major complaint hotel follows:1 ) ' mini - bar room . , despite hotel website say big flaw . mean 11:30 pm want drink either call room service walk near hotel bar open ( Wynn ) . 2 ) ' ATM onsite . , mean want cash either walk Wynn , take $ 200 per stay credit card use room , however , cost 4 % service charge . addition , despite hotel say guest literature cash personal check $ 250 per stay , ' . summary : , like Trump ? ' know . give rate competitive standard room offering , ' say yes . however , ' come Vegas often , simply want experience town know , ' place . ' work want nice room good price , yes , Trump may good choice . 
 Dec 3 2008 	 EVER get 5 star rating ? ! ? ? 	 girlfriend not travel together since kid bear excited weekend reunion 5 star hotel . expect pamper great accommodation customer service appal treat stay afterwards . we arrive Friday evening call dinner sofa bed turn we . ( standard room come one king sofa bed . since sick visit , opt sleep separate bed . since room two double , leave one us sofa bed . ) arrive back dinner 2 hour later , sofa bed yet make . several additional call later , someone housekeeping finally come . unfortunately , make bed wrong give we sheet - mean force sleep comforter directly , kind gross , consider not generally wash thing . tired try call housekeeping not sure way make bed hotel . know well . every time call housekeeping automatically put hold eventually connect front desk . needless say , not sleep well . bed bowly lumpy - expect sofa bed , suppose . on Saturday , leave room around 11:00am call housekeeping room make . come back room 3:30pm , one come . go song dance get someone housekeeping . someone finally come 5:30pm . come back dinner around 10:30 - surprise , surprise room turn . give sick running fever , wait housekeeping yet go bed really stink . call , floor manager finally arrive convert sofa bed acknowledged sofabe totally make wrong . apologize say hotel 's occupancy rate night high since hotel open . get to tell - 's excuse . room book advance . staff , people . Sunday morning go shower , realize housekeeping even touch / clean shower area . shampoos soaps refresh , hair drain day . check Sunday , complain front desk , Peter sympathetic offer comp meal charge room , appreciate . also offer upgrade next visit . give book hotwire prepaid room , nothing could department . airport , friend staying realize leave ipod charger room . speak Peter assure would send . 1 month later , call hotel almost every day track . pass front desk , security , shipping ... everyone different answer charger . tell several time ship . also tell UPS would not accept could not spell work & quot ; Patriot & quot ; part address . even ask credit card number several occasion , even though make clear we cost shipping would covered hotel . today , admit find charger lose ( guess not really send like tell ) say send & quot ; shipping . & quot ; Needless say , hold breath . shock lack respect give we customer . definitely expect . back free upgrade . would recommend stay anyone . much feeling pamper . 
 Nov 25 2008 	 5 Star Property 	 hello everybody . book Trump blind bid Priceline hope stay Venetian Pallazzo . hotel core Las Vegas action today . the Trump lovely hotel friendly service , close 5 Star property give lack amenity make property warrant high rating . since Trump new , clean , fresh room . provide south strip view th 59th floor .... lovely ... , room lovely . bathroom exceptional , neither fresh newness , excepional bathroom merit 5 Star status . sorry say , 3.5 star hotel good , perhaps less give Vegas standard opulence . a word Train . request room might spare th noise . tell room . alas , nothing break loud noise late night . wonder whether hotel west side strip suffer trouble ? 
 Nov 24 2008 	 nice quiet hotel thing miss 	 get back stay Trump . happy room . would prefer stay , boyfriend say would stay . like quieter place enjoy little action . think location good . basically 's strip across Wynn hotel ( walk 5 - 10 minute ) . mall 1 minute walk find starbuck everything else hotel not offer . gorgeous entry completely quiet . not train noise , face strip . thing bother : cotton ball Q - tip bathroom ; large tub bubble bath even shower gel ( bar soap ) ; tea room ; place grab quick bite fancy restaurant ; totally lame night . also wish offer bottle water least vend machine buy water ice room . room beautiful , bed comfy , bathroom gorgeous $ 120 / night happy . would consider stay good deal ( Wynn Palazzo available ) clean not stink smoke . hopefully still work kink . overall good experience . worth go Priceline get cheap . 
 Nov 23 2008 	 almost exceptional experience ... 	 stay Trump International Hotel weekend trip September . originally bite skeptical hotel arrival know casino buffet , slightly Strip . fortunately , turn amazing place we . first , hotel 's pool great relax quiet , not crowd family like Strip hotel . second , service hotel exceptional , even though arrive early check - in , room ready we . third , room exceed expectation . ( else see tv bathroom mirror ? ) , fourth , even though love Vegas buffet , delight DJT restaurant lobby wait long line food great . I would rate hotel ' excellent ' train run early morning , hear morning , disrupt sleep . definitely stay . 
 Nov 19 2008 	 life expectation 	 stay Trump two night way back business trip L.A. excellent . strip little bit mean nice quiet walk Wynn 's casino door 5 min road be desperate loose cash . room superb , beautifully furnish , bathroom top notch . teethign problem check guess hotel not open long surprising . good pool area pretty quiet . hotel clsoe classy mall plenty place eat / drink nearby . if want respite Vegas underground car park casino floor stay ! 
 Nov 18 2008 	 5 - star all - night train ! UGH ! 	 interested see one would like love $ 109 Priceline deal get . check - in great - place practically empty . like strip close enough walk . room beautiful ; bathroom super ; be deal : awaken least hour night long loud long train horn , intermingle siren emergency & amp ; police vehicle . truly horrible . 37th floor , overlook strip South , train track issue incredible detraction would otherwise fine stay . hell could Trump thinking build train track soundproof room / window ? would never stay , matter deal . kind like sleep little night . Sigh . 
 Nov 12 2008 	 Excellent hotel city Vegas . ( Use Priceline ~ $ 150 ) 	 hotel nice . train bad people review let . light sleeper , not go Vegas . personally fall asleep tv wake b / c much Vegas . bathroom one good . watch glass door bathroom . could put much thought drawer room glass door slam quite easily . rate hotel avg hotel . however , hotel we want close action . stay first trip Vegas . shuttle hotel . even one airport . room fridge , ton drawer , microwave , hd lcd tv swivel arm , & quot ; kitchen & quot ; sink , phone ( even bathroom ) small tv mirror bathroom watch take nice bath jacuzzi . room service menu pretty limited sure go order drink order . get thing twice room service , sprite coke without . price difference almost $ 20 ! seem like overcharge lose receipt pay cash , not bother dispute although . go ABC store Fashion Show Mall across street put fridge good use . check check fast not many people stay . room clean whole hotel smell nice . elevator super fast not worry stay room high level . main gripe location everything cost . wireless internet $ 12 / day ; internet access business center computer $ 5.95/15minutes ! fitness room cost $ 22 / day ! ridiculous ask . anyhow , hotel away strip city , would give excellent rating . close enough strip aggravate walk b / c shuttle anywhere . everything cost fortune except price stay . 
 Nov 12 2008 	 prepare wait room 	 request 12:30pm check arrive 2:20pm ( official check - in time 3:00pm ) . room ready since & quot ; full last night . & quot ; , whether full matter ; 's management ensure room ready guest time . notice lobby / lounge area completely full people wait room . give option wait ( unspecified amount time ) room leave bag bellhop ( tip ) . offer compensation check back ( waive $ 14 / day valet fee ) . friend phone nearly full hour , get key room around 3:30pm , everyone else still wait room ; since Noon ! go back around 4:15pm , people still wait . around 6:15pm , even people wait check - in line lobby / lounge ! way anyone want begin vacation . there also fee smoking room . not smoke , apparently people adjoining room , doorway area room keep smell smoke , call reception / security . nevermind , odor promise smokefree . review talk long wait valet ( us 15 minute off - peak time ) , opt cab peak time . however , queue cab cross street Nordstrom get cab instead . time checkout , valet fee bill , remind have promise waive . , hotel end sole source stress vacation . room almost identical MGM Signature . would highly recommend stay MGM Signature instead -- signature relax much well manage . 
 Nov 10 2008 	 Husband / Wife review Trump Int ' l Las Vegas 	 Husband wife stay Trump Int ' l Vegas 3 night . if look peaceful respite short distance craziness Vegas strip ( husband ) , perfect place stay . want middle frenzy ( wife ) place stay . note casino hotel . Husband frugal appreciate great value provide book 5 - star hotel online discounter ( hotwire ) . hotel short walk action Vegas strip . Husband believe fun destination , fun journey . go Trump strip : Jaywalk across street , cut Nordtrom 's ( Fashion Mall ) , go food court , cut Neiman Marcus , across outdoor walk bridge , escalator , casino , escalator , ride casino tram . really 15 - 20 minute adventure good way husband work calorie . Wife not need work calorie thrill walk dress heel . positive : nice hassle free hotel . check easy . room huge nice . pool sundeck great low key . fitness room well equip bit drab side . would expect area Trump $ 22 / day fee . negative : certain time day lot people try catch cab . hotel staff not manage cab line well much confusion this . overall summary : great value want peace quiet not mind bit walk on - site casino . 
 Nov 10 2008 	 great hotel - Las Vegan fun ! ! 	 trump tower great hotel . 's clean , room great , people friendly . look quiet time Las Vegas great option.it right across fashilon Ave mall definitely lot shopping.having say , near strip . even walk Wynn take least 10 - 15 min . 's true Vegas experience . casino bar fancy restaurant . true vegas experience , would definitely recommend hotel . look bit quiet , lot shopping , quiet time , choice . 
 Nov 3 2008 	 Spectacular ! 	 Trump International Hotel & amp ; Tower Las Vegas impressive , style service . service registration desk valet service satisfactory . room spacious , clean , well appoint , neutral shade contemporary decor . aware automatic $ 15 valet charge room , well $ 22 / person charge use health club . inform either check - in . since adverse walking , serious gambler , care Hotel & amp ; Tower actually strip , casino . across street Hotel entrance Fashion Show Mall however , Nordstrom 's north door , exact . convenient shopping , eating , etc . 
 Oct 30 2008 	 think twice price right 	 put five star request priceline ( name price section ) . trump take price $ 40.00 per day ask website . since want five star , expect hotel pay attention detail ..... trump view . check room use bottle conditioner shower . bathrobe closet either ( suppose room , hangar closet empty ) . admit staff correct problem occur . door key program open pool door ... get new one . blue painter 's tape three place ceiling . one morning , use coffee packet regular replace decaffeinated housekeeping ( two decaf ) . call next morning see regular bring room . q - tip never replace housekeeping . hotel quarter mile strip sidewalk stop half way . walkway fashion mall right across street ( jaywalk ) . many people stay hotel pool quiet . enjoy pool , though square pool deeply 4 foot . * * * * important : hotel right next train track . expect 2 am 4 am wake call train 's whistle . on plus side , bathroom spacious marble nice . two room share foyer additional door hallway do not hear hallway noise . 5 star hotel close pay , would expect hotel still rate 5 star . 
 Oct 26 2008 	 nice room 	 really big room comfortable bed . awesome bath robe comfortable . amazing jacuzzi bathtub fit 2 fully grow people . thing location set back strip . involve bit walk great wear heel . opposite mall though convenient spot shopping . pool great lovely sun lounger . Service depend time hang there . tip anyone choose stay - ABC shop mall place close buy buy water , snack etc . 
 Oct 24 2008 	 wonderful room 	 room fantastic . 38th floor view great . bathroom brilliant massive jacuzzi bath tv build bathroom mirror . room fully equip kitchen . we greet bottle cold water upon check friendly receptionist name Kim . impressed would stay , especially since ther casino hotel smokefree . pool also great fantastic lounger double lounger couple ..... location wise 's right across road Fashion Show mall 's short walk get onto Strip . love place would definately stay . 
 Oct 19 2008 	 wonderful hotel 	 stay many time Las Vegas business first trip wife vacation . I want non casino hotel quality certainly Trump give we . the standard hotel general superb , suite excellent every facility necessary . the staff friendly helpful every way request . the hotel quiet non casino premise short stroll main & quot ; drag & quot ; opposite extensive shopping mall . the meal hotel breakfast , quality good expect hotel standard particularly cheap . overall satisfactory experience hesitation recommend . 
 Oct 6 2008 	 warned ! way fun typical Visitor ! 	 first , not realize condo building Trumps name ? although rent unit hotel room , way typical Vegas Hotel . leave condo building resident & amp ; open typical tourist . overall feel like visit old grandmother Park Ave : high - end unit sleep & amp ; find reason get ! simply nothing ! although might appeal old crowd ? mean : 's smoke - free , non - gaming , & amp ; extremely quite . ( except train honk hour night ) . like every hotel stay Vegas endless amenity keep visit next hotel . not expect cab wait outside decide go ( OFTEN ) . cab stand . hotel not strip need walk 10mins nearest hotel . drive , expect mandatory $ 14 parking fee . ( no - self parking ) ! frustration & amp ; lack amenity . two front desk clerk check - in took & gt ; 30mins . room spacious kitchenette mini bar ? hotel 1200 room one restaurant / bar , & amp ; locate museum like lobby ? quite ! oh not stay open late . forget room service not available 1 am ? attraction pool area & amp ; spa / fitness room . one & amp ; pool basic & amp ; small , include lounge area bar & amp ; tvs . quite & amp ; lack people ? finally fitness center . nice cardio machine limited weight machine & amp ; free weight . oh , & amp ; be $ 22 ! ( empty frig & amp ; empty water cooler ) . annoying water working . spa not open 9 am walk hall get water warm water fountain . like every hotel Vegas always excitement way . place , Circus Circus could well job entertain , seriously ! be extreme quite , people see / be see , & amp ; lack amenity , give try . not say not warn stay & amp ; ask & quot ; Vegas ? & quot ; _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ 
 Oct 4 2008 	 really 5 Star ? 	 Trump Tower shine like beacon get strip go north airport . may good part . locate north side Fashion Show Mall . nothing else sit middle ugly . tell construction area halt economy . the lobby large empty austere . welcome . employee nice . we book Priceline bid 5 Star hotel . expect Venetiian like . tell Trump Tower shock casino , live music type entertainment . be like morgue . plan pay extra $ 15 day valet . offer self park . we pay $ 121.00 per night plus $ 15 . could book right Trump $ 159 . big deal saving there . we choose 17th floor . room start . go , choose high floor limited view . the room nice well appoint kitchen . however table sit drink cup coffee . bathroom devine spa tub luxurious . all room suit one king bed one queen sleeper . three we one us sleep sofa sleeper . yuk ! 5 star business ! king bed hard rock . the place seem deserted . seem one guest floor whole time . can not imagine place stay business . if gamble , go tuscany fun win . also , go Wynn . earn 4 free buffet little money . food wonderful . I would stay Trump . 
 Oct 2 2008 	 great stay fabulous hotel ! 	 husband book hotel Hotwire unsure would like property get stay 2 night previously Caesars . stay Trump Tower Atlantic City remember lot gaudy gold surrounding , much else clean room . pleasantly surprised get Trump Tower , especially price ( $ 144 per night ) ! first , hotel brand new crowd , unlike hotel Strip . service moment step taxi excellent doormen front desk room service . room great generally consider picky . bathroom fantastic nice shower , large tub , tv mirror vanity . room nice furnishing comfortable -- even pregnant woman like ! pool nice break scream reveler child hotel . lounge sun shade bar wait staff attentive term bring food drink promptly . room service order deliver within 15 minute order delicious . also appreciate reprieve smoking casino . thing consider depend type Las Vegas experience look for:1 . casino husband fine since big gambler , come gamble might enjoy much ( ) . Wynn easy 10 minute walk hotel . might seem far first come street . 2 . extremely limited shopping restaurant hotel . Fashion Show Mall directly across street though.3 . room service menu limited.4 . amenity limit , perhaps hotel relatively new ? ask bubble bath since tub room perfect relaxation , . Front Desk say common request would correct within next month.5 . hear train middle night previous people write , personally think big deal . 27th floor face Strip maybe location matter ? overall experience outstanding , consider pay 4X pay room Caesars level room quality . look different Las Vegas experience outside standard casino / hotel fair mind stay away action , really recommend Trump . 
 Sep 28 2008 	 Average Average . 	 wife stay Trump Tower , Las Vegas week long work conference nearby Wynn . although room rather exquisite , extra charge average amenity outrageous ! daily charge wi - fi usage , daily charge gym equipment usage , etc . , ( standard inclusion provide much simple hotel ) keep we thoroughly enjoy surrounding relax ( also , note require additional surcharge website ) . visit many casino / hotel within one block radius , noticed lack atmosphere Trump could summarize & quot ; another expensive hotel & quot ; . side note - camera hold we bell desk overnight find additional photograph upon check follow morning . 
 Sep 26 2008 	 luxurious .... couple problem .... 	 stay Trump 3 night impressed luxury room . jacuzzi bath fabulous room spacious well decorate . casino restaurant Trump could problem want whole Las Vegas atmosphere hotel . however , quite happy go hotel rthat come back peace Trump . also pay extra use gym . the location not great . 's far end strip take fair walk major hotel casino . not think would problem walk long distance heat not much fun . lot taxis around though wish use they . our major problem room noise freight train blaring horn throughout night . husband wake everytime sound , hour 3 am . ask move relocate side hotel face strip . much quieter . odd allocate room first place hotel full receptionist aware room affect horrendous noise . so , overall fabulous , luxurious hotel aside location & amp ; train ! 
 Sep 25 2008 	 Escape smoke 	 girlfriend get steal Hotwire lovely property . Vegas numerous time want relax show , shopping , play tourist , dancing ! love smoke anywhere . everything high end . love Sur La Table , Crate Barrel , Le Creuset , Wolf Subzero appliance spa bath , sanctuary . even sweet price . tubs joke . huge go straight - half angle tub weak jet first class way . top like Venetian . trump understated , modern elegant yet functional . complaint : park mandatory valet slow pretty steep . end , , though , great place recharge . * * * * * move room since train honk loudly 3 am . get high floor . . move 22 40 something * * * 
 Sep 25 2008 	 Trump Oasis Vegas 	 Trump International oasis middle craziness Las Vegas . the room spacious king size bed one end , usual desk along wall , lovely sit area include comfortable sofa , two large chair coffee table overlook Las Vegas strip . size room sink ( complete garbage disposal unit ) , stove top , microwave refrigerator . Cutlery , dish , glass superior quality , toaster , blender , salad spinner , coffee maker . the cupboard drawer space extremely generous still & quot ; new hotel & quot ; smell it . the shelve unit tasteful geegaw decoration lovely picture book display . the bathroom could page . marble flooring , private toilet stall , oversized shower , tv mirror , decadent bathtub , one luxurious bathroom ever . shower gel , shampoo conditioner subtle pleasant smell nice enough use instead usual stuff . the pool deck bit feel unfinished business empty plant pot near pool , lounge chair pool side mini - cabana - sofas lovely extremely comfortable . think would nice serve drink pool side , staff seem available . I massage Trump spa , worth every penny . staff friendly professional , spa area real escape total bliss . only two negative stay Trump . first housekeeping staff slow service room second day , require phone twice get service . finish room , still call coffee , tea tissue refill . rectify , still forget tea . the second , room service prompt friendly , food delicious , exception fruit plate serve fuzzy blackberry . apology make , charge reversed problem . I would highly recommend Trump International anyone want relax away insanity crowd Las Vegas Boulevard , enjoy peaceful non - smoking environment , attentive kind hearted staff . trump still close enough Strip take part tourist stuff , Fashion Mall directly across street . 
 Sep 23 2008 	 Dump International - stay away ! ! 	 bad review post property true . fact , experience bad . location terrible . be five minute walk hotel Strip , 's bad part . road lead hotel , Fashion Show Drive , sidewalk one side street ( partial sidewalk ) night road dark heavy traffic . good luck cross ! LIke say , five minute walk way , leave hotel twice day , be 20 minute walk place crappy road . would BIG problem elderly someone trouble walk . location keep away noise Strip will deal loud train whistle . later . next pool area . 's complete BORE . rectangular pool , small size , hot tub . next train noise . loud annoying . room 56th floor sound loud . 's good part , come early morning . hoo - boy ! problem place include improperly instal shower door screw t.v . menu big problem housekeeping first night stay . be despite fact call front desk 3:00 tell room not clean . assure someone would clean room within short time get back around 11:30 , room still not clean . call front desk put hold 10 minute . go talk hotel manager tell somehow blame incredibly bad lapse basic hotel care may Disturb light turn ( ) . request comp night 's stay deny , maid finally come 15 minute late . take 20 minute noisily clean room finish around 12:45 . sound like five star hotel ? neither . room clean next two night hardly feel privileged room clean like . cheap hotel , would not surprised . suppose luxury property . joke . one last goody bill $ 221 show account . explained & quot ; not see & quot ; . oh great . nice thing jacuzzi bathroom t.v . build mirror , negative overprice dump far way plus . 
 Sep 23 2008 	 Bad Reviews Claim 	 travel Vegas 2 female family member stay Trump . agree hotel nice although well strip . the pool fabulous . 's would expect Vegas hotel , crowd , high price chair rental , people fight space big boob everywhere . barely 10 people pool give time , great round 2 person lounge chair sun cover , standard lounge chair , pool floatie also lounger pool . cabana be not complete yet 2 hot tub . the room good , nothing fantastic though . huge bathroom 2 sink great 3 lady try get ready time . toilet shower enclose glass area bit privacy ( although see ) . room make nicely day staff love complementary Trump slipper drawer keep toiletry organize ! kitchenette fine not free tea ( coffee ) cleaning staff replace coffee bring decaf . ask tea supply well coffee tell we would additional charge tea . also call ask cream , additional bedding , extra hanger , towel dish 3rd person not supply room ( although make reservation 3 people ) . staff accomodate call not ask item supply first place . there bat airconditione unit couple night annoying first hour train not bother we least . read previous review train specify check want room opposite side train high floor . room 5803 . view fabulous ( right strip toward Mandalay ) .The walk late night strip ( Fashion Show mall close ) darker side street side walk . little creepy 3 lady . I couple tip : - walk Fashion Show mall - 's cooler make trip strip seem short ( hour usually 10 am - 9 pm ) - Nordstrom be across street great cafe 3rd floor . Delicious salad , sandwich pasta . - ticket 2nite ( discount show restaurant ticket ) across Wynn Fashion Show mall . arrive 11:30am still get great ticket Mystere 's 7000 show . also discount buffet pass Paris - fabulous food ! - take taxi Trump Mandalay make sure cab driver take Industrial Frank Sinatra Dr . price trip $ 12 compare $ 20 highway . - ABC store Fashion Show mall purchase bottled water , milk , booze , candy / snack , cereal toiletry item . find quite handy convienience store close Trump . although 6th trip Vegas , think Trump quite lovely . 's nice smoke free attentive hotel return long day strip . suppose 's go popular party young adult 's great be old 35 like relax . 
 Sep 22 2008 	 fabulous ! 	 boyfriend spend 3 night Trump impressed . amazing Vegas yet stay beautiful hotel casino smoking permit . one intriguing thing place beautiful smell . think pump scent gardenias jasmine place : exquisite . we stay 24th floor hear train even - heavy sleeper room face strip - maybe 's solution people worry noise . air cond unit noisy BF turn fan : peace . concierge nice job get birthday cake balloon order boyfriend 's birthday room prior arrival . cake put plate cutlery , etc . nice - BF surprise happy . the spa nice : staff competent friendly . pool quiet be ok we . the breakfast DJT last morning really par . potato sit grill long time cold . server bring new portion , marginally well . really criticism . we would definitely stay enjoy quiet luxury . 
