location 	 fiancé spend day New York Thanksgiving . pre - booked hotel profit & quot ; book early - save money & quot ; -program . room 4th floor ; sadly , staff forgot request sparkle wine room , not arrive ; not big problem , hotel offer complimentary wine 5 - 8 pm every night ( even piano music friday ) . room good , though bathroom bite small , clean nicely do . bit problem shower sense water spill side , nearly impossible take shower without splash bathroom floor . also not problem , shower morning walk NYC day , not care much wet floor clean day anyway . reason rate hotel & quot ; good & quot ; & quot ; excellent & quot ; heating not work . already rather cold outside ask front desk could turn heating , reply , heating would turn automatically temperature drop 55 Fahrenheit . not . get little electrical oven , though , warm enough . would expect heating work rather expensive hotel . Rick 's Café second floor really like extended living room , wonderfully comfortable chair sofas . breakfast enjoy glass wine every evening . love interior decoration hotel - also quiet , despite right edge Times Sqaure . Thanksgiving Parade could really walk 20 metre hotel right middle . , would recommend hotel ; would return , though might get big room next time . 
 Perfect 	 friendly , comfortable , spotless , load extra touch . could one ask ? location ? right Times Square , great eating place , fifty yard Old Town Hall ( see Garrison Keillor Saturday night ) , around corner ABC , Starbucks , drugstore , two three block main Broadway theater , mid - way Empire State Building Rockefeller Plaza . thank contributor point way . hotel help make fabulous trip . 
 Wonderful Hotel 	 ' m write review hotel , use free wifi - greatly appreciated ! charming hotel second away Times Square - 's know quiet room . be within easy walk distance almost everything could want see , 's shortage fabulous place eat drink right day night , right outside door . the staff nice friendly , go way make sure be enjoy stay . room comfortable clean , even basic room bathtub plenty closet space . little touch , free bottled water room wine reception evening really make place stand . would stay sure ! 
 Nov 2 2008 	 fabulous 	 fabulous hotel , excellent location . wonderful staff spotless bathroom , comfortable bed ( small room , yes - New York ) , lovely decor , complimentary breakfast , tea , coffee , juice , biscuit pastry day , cheese wine .... list endless . if want central location , near everything , place . minute 's walk Times Square , three minute tour bus , five minute Fifth Ave , ten minute Empire State , Grand central station Rockerfeller Centre ( Magnolia Bakery - world 's good cupcake ) . also 15 minute walk Central Park Tiffany 's ! ! ! would return instant . 
 Oct 31 2008 	 wow ! 	 stay Casablanca begin October - book strength excellent review website , say certainly disappointed ... travel New York 5 - night break 8 month old baby tow ! moment arrive moment leave , make feel welcome , nothing ever much trouble ... provide we fridge room keep baby food cold , Laura boil water fill bottle we every night , help care receive faultless ... fact , even post two coat back UK we accidently leave behind ! room spotless , large enough not feel cramp even cot fridge obviously would not normally ! Rick 's cafe lovely place chill mad , busy day internet ideal get detail place visit , check - in flight home ... central location Times Square amazing , although room front hotel , never bother noise - pound street New York morning til night , not think anything would kept we sleep - always exhausted ! impressed stay , definitely return future ... 
 Oct 31 2008 	 oasis calm . 	 get home stay Hotel week . standard room service superb . locate 10yards hustle bustle Times Square , yet step door Hotel Casablanca immediately leave behind . great value money generally hotel give we great holiday experience . N Gough UK 
 Oct 29 2008 	 great hotel 	 recently stay 5 night Casablanca Hotel , arrive time check service fantastic . the room beautifully appoint , although huge , plenty space , worried hear tiny room many New York hotel . bathroom spotless . fresh fluffy towel , replace every morning also every evening use . Ricks Cafe open 24 hour day , peaceful oasis step Times Square . Breakfast serve , tea , coffee , juice biscuit available day free charge . complimentary wine cheese available 5 pm 8 pm every evening great way unwind hectic day shopping sight seeing . computer internet access available Ricks Cafe free charge . should get chance return New York , will not spend hour trawl internet look hotel book Casablanca Hotel . 
 Oct 27 2008 	 good NYC experience 	 ' ve reluctant stay Times Square area many trip city . brief theatre visit make necessity time . beyond delighted attractiveness serenity Casablanca ; Vanessa , Peter staff cordial extreme helpful manage luggage check - out theatre . major criterion immaculate bathroom , one flawless . lounge beautifully do , spacious provide lovely breakfast nice food day . Members family -not stay hotel- expect wait we lobby instead invite wait lounge wine cheese . hallway room imaginatively decorate spotless . renovation complete 7 year ago , indicate maintenance priority . our appreciation staff management fine visit . 
 Oct 24 2008 	 Happy 21st 	 daughter great stay celebrate 21st birthday . hotel provide perfect antidote hectic round shopping , sight - see entertainment . room comfortable , clean pleasant . atmosphere refreshment facility welcome welcome staff could friendly helpful . top perfect position stone 's throw Times Square yet relatively peaceful quiet . 
 Oct 22 2008 	 fantastic hotel ! ! can not wait come back 	 husband stay first leg honeymoon absolutely love . hotel small personal staff friendly & amp ; helpful without face ! ! give upgrade room plus bottle champagne token honeymoon . room fabulous , clean & amp ; comfortable although quite small New York spending much time room . complimentary breakfast , food wine much appreciate nice ! free internet lounge great always work , yes maybe wait minute hey much quibble really ! ! location could well , literally Times Square . fabulous restaurant nearby always feel safe . wait come back New York definitly stay Casablanca . big thank John , manager give we great advice sight , restaurant nightlife ! make we feel welcome credit hotel ! 
 Oct 22 2008 	 Excellent Choice 	 stay hotel two night pre - cruise strength review tripadvisor . must say excellent choice . travel weary arrive transatlantic flight request quiet room back . ' the staff check - in helpful cheerful give we need . room comfortable clean complimentary internet facillitie room . it oasis buzz NY street . excellent location , within stone 's throw Times square . Rick 's cafe second floor welcome we complimentary wine cheese . the staff front door helpful really go way make stay comfortable ; compliment . will certainly go back . 
 Oct 20 2008 	 be next time .... 	 marvelous service staff , superb location , comfortable room . evening wine cheese something hotel try , certainly facilitate guest mingle share tourist advice . Wish could afford go back new year celebration ! restaurant next door , Toni di Napoli , also good make sure famish .... portion huge ! Tony Maggie E. SussexEngland 
 Oct 18 2008 	 place stay ! ! ! ! ! 	 fantastic welcome arrival . straight away staff willing help make we feel right home , check everything need . 50th birthday hotel manager organise personal meet greet offer complimentary champagne day choose upgrade fantastic Suite . enter room greet large room bathroom extra large comfortable bed . complimentary goody , wine , water , bath robe , slipper , good size tv . excellent start day breakfast , offer good selection continental choice . add bonus lot NY hotel charge extra breakfast available . day tea , coffee , lattes etc available fruit cookie help . 5 pm - 8 pm hotel offer wine , cheese cracker another complimentary . particularly useful show ticket 8 pm not want eat big meal beforehand . the hotel great location theatre , shop everything else would want see here . overall experience hotel make New York trip even special would definately stay come back . could not fault thing ! 
 Oct 16 2008 	 great -- flawless 	 Casablanca wonderful location , truly oasis next chaos Times Square . 's easy get around Manhattan , hotel somewhat centrally locate major site . decor nicely do , everything clean . Ricks Cafe great place relax . room selection key . initally , end room 43rd Street , noisy ( roommate ) . move room back hotel . thing quieter , window AC unit look vent nearby restaurant , room odor food . another party spending time we stay central room ( 311 ) . though full - size bed instead queen size , window AC look courtyard adjoining Ricks , problem noise odor . would definitely stay Casablanca , could get room 311 411 , example . front desk staff helpful responsive . issue slow drain , seem common problem hotel . good value money , especially get room 311 411 . 
 Oct 16 2008 	 love 	 lovely place stay ! ! small size , 43 room , mean certainly get personalise service . turn service night charm friendliness staff could fault . centrally locate see New York offer breeze , lovely quite inside , nice come back relax to . would recommend friend would definately stay . 
 Oct 14 2008 	 good hotel - no.1 	 can not imagine well place stay New York . location perfect within 15mins walk Central Park , Empire State Building , Grand Central Station , Rockefeller Building , Broadway theatre , Macy 's etc 25 yds Times Square . the breakfast suit we perfectly great choice Ricks Cafe also pleasantly appoint handy computer keep touch . idea breakfast without go search Diner want ( although diner within 20 yard ) .The evening wine cheese party nice touch staff courteous time . think supply Umbrellas Guests usage one night rain go extra mile . Ray & amp ; Jacky King 
 Oct 13 2008 	 Nice Little Hotel 	 stay three night read good review site . firstly would say location brilliant , Times Square within walk distance lot tourist site . room back quiet would believe middle city . room large room perfect need . complimentary coffee biscuit available day welcome treat cheese wine evening . breakfast available Rick 's Cafe every morning good selection available . find staff courteous overall enjoy stay . 
 Oct 9 2008 	 smelly surly clean not understand hype 	 spend 6 - 8 week year New York City , mostly business sometimes pleasure , try numerous hotel rate Trip Advisor , usually excellent result . come back Hotel Casablanca . although hotel nice amenity ( proud ) wine cheese 5 - 8 pm , not make lack security , horrible , horrible sausage smell room . yes , sausage . also sorely disappoint level professionalism service front desk staff . security first , specific tangible concern . usually one person behind front desk , walk 11:00 pm Sunday evening ( doorman , except three day two night ) not even look whatever greet we already stair . Times Square - literally , square . crowded feel like anyone could walk right . room stay one deadbolt chain - although be nice place , find strange . two door enter hotel , one open we , ever . when check , clerk offer upgrade we full size room queen , note request fragrance feather - free . although offer upgrade , accept , upgrade : room actually full size bed . alas , clean spacious NYC hotel room ( stay many ) reeked sausage first open door . time return room , assaulted smell . attribute odor window unit air conditioner proximity restaurant . first go ask change room , clerk apologize , say room change we , hand air freshener . tell try avoid chemical , use air freshener would make room smell like chemical sausage . even carnivore would nauseate clothing , hair , bed saturated pork smell . the next day tell unpleasant , tell manager not , would . finally , John manager come 9 , suddently , magically , room available . first offer reduce room rate , move we suite , withdraw offer . suite smell like sausage , time , grossed , worth . regret ever come Casablanca . discover DVD remote not work , ancient apparently exchangable , front desk guy come try help , tell we would replace DVD player . 11 pm , tell would tomorrow . a last note staff : proud designation site one good city . however , happy , hesitate express feeling . one guy behind desk ( mention name get trouble ) seem clinically depressed share feeling malaise New York we . overall , disattisfied level customer service ( casual extreme ) lack concern staff . complain twice sausage , tell everyone side building trouble smell . & quot ; one ever complain ? & quot ; ask . & quot ; never ! first time ! & quot ; hotel immaculately clean - wine cheese time generous - 's worth . ( writing , cancel another reservation website . luckily , keep cancellation information . last month , happily ensconce West 11th Townhouse ( great place ! ) get call hotel asking arrive nine day reservation . take bit back forth - forward cancellation email - finally saw cancel . charge card advance , thankfully . ) 
 Oct 7 2008 	 Nice hotel - fault 	 choose Casablanca good review site . british in - law never New York think well way place middle Times Square . overall , good stay notable exception : 1 ) pull bed suite absolutely atrocious . middle sag much two people bed , would slide crevice . mattress need change asap ! advertise suite pull bed pull bed useless ? course , could move since hotel sell . 2 ) so - call & quot ; free wireless '' never work . tell call & quot ; department & quot ; phone person 45 min end never work . keep call front desk say problem entire building - review , seem wireless rarely work . 3 ) yes , computer use lounge always seem someone , need check address something , could . post sign 20 minute maximum , especially other need use computer . good things:1 ) great breakfast ( long not need huge american style spread ) hot drink always available ( daily newspaper ) 2 ) nice wine & amp ; cheese evening . expensive wine , still nice touch3 ) central location touristy thing , many subway stop place see within walk distance 
 Oct 6 2008 	 Casablanca great ! 	 stay read review site . Casablanca excellent location , Times Square . real bonus hotel free tea / coffee / biscuit day cheese wine reception 5 - 7pm evening . breakfast also good quality . staff friendly helpful . Rick 's cafe provide home home living room free internet access complete printing facility . would definitely stay . couple tip pick review would agree request rear facing room ( nice quiet ) book superior room bite extra space . enjoy ! 
 Oct 5 2008 	 Amazing 	 amazing location , top quality room & amp ; facility , great service staff encounteredthe room big fairly large NY standard & amp ; surprisingly quiet give 's location ( 20 yard Times Square ) breakfast good selection fruit , lot different pastry & amp ; coffee / tea option average StarbucksEvening cheese & amp ; wine unbelievable - choice red , wine sparkle wine ( water , juice , tea etc prefer ) approx 6 different cheese choose ! hotel certainly cheap ( pay approx £ 1300 5 night ) peace mind quality NY hotel , would certainly recommend stay 
 Oct 5 2008 	 fantastic hotel amazing staff 	 could not speak highly hotel . great location inside woul not know Times Square close . travel world 6 week would rate staff Davanzati Florence equal good ! friendly helpful . hurt back stay , exceptionaly care . problem first room , although big , noisy night face street . ask move 2 night , move much quieter , although small darker room back hotel . really not matter though really spend night room sleep important ! breakfast satisfactory happy hour nice touch . next time would get cab airport ( set price ) rather shuttle feel unsafe much luggage barrier passenger luggage ! would definetely return . 
 Oct 4 2008 	 Excellent Choice Hotel 	 Hotel Casablanca excellent choice stay New York . central , locate close Times Square , although ' great view like big hotel may , little quieter due Times Square , much friendly personal due size hotel . staff extremely pleasant happy assist request . really enjoy complimentary continental breakfast morning ( expected would eat breakfast time , really ' feel need end , eat hotel morning ) . choice cereal , croissant , pastry , muffin , yoghurt , fruit salad , bagel , boil egg , cheese preserve . tea / coffee / hot chocolate available day nice touch , evening cheese biscuit , wine also complimentary nice way tide dinner . ' drink much , really look forward good selection cheese , occasional glass sparkle wine evening . room also high standard , cleanliness throughout hotel . room little small , great storage space unpack , think pretty standard New York hotel read , ' really bother we . gripe although free internet , connection ' great . sure 6th floor ( think read another review ) , amount business user area , seem improve weekend . , minor thing we , pc lounge area use ( along printer ) well need something quickly . hotel also nice little terrace area lounge could sit outside amongst greenery , however rain pretty much time , people ' use much . overall , stay excellent , would definitely return hotel great location , friendly staff tasty cheese wine / breakfast ! 
 Oct 3 2008 	 great stay 	 nice boutique hotel step Times Square . stay four night mid - September could not well . room bit small clean . staff friendly , helpful eager please . breakfast nightly wine & amp ; cheese nice touch . back ! 
 Oct 3 2008 	 Great Location 	 great experience Casablanca . arrive early room ready . staff friendly helpful . Casablanca block Times Square fairly price accomodation . able walk dinner play . staff member help we direction Statue Liberty specific great never use subway system . would definitely stay . 
 Sep 30 2008 	 Oasis Calm 	 sister - in - law enjoy stay excellent hotel . staff friendly helpful , room lovely perfect size . breakfast wine cheese nice touch . yard Times Square noise .... oasis calm come back pound street ! highly recommend . 
 Sep 30 2008 	 Great Hotel 	 two couple Sydney Australia stay Casablanca Hotel 8 day middle September . find hotel oustande every respect . need view hotel ' the total package ' . locate right heart Times Square , room bathroom spotless well furnish , decor room hallway impressive piece de resistance Rick 's cafe second floor access 24 hour coffee , snack etc free wine cheese every evening . also free internet access cafe . great place relax meet guest . boutique hotel offer amenity large chain make hotel far concern - small , friendly staff place relax socialise outside room . arrive one room noisy ask move . problem quickly locate another room side hotel . received excellent service staff special mention Zishan Hassan exceptional provide information courtesy friendly approach . hotel certainly budget category consider worth money , especially give substantial complimentary breakfast , day snack free wine 6 pm 8 pm . would definitely return . 
 Sep 28 2008 	 shopping sir ? 	 find stay Casablanca pretty good . as reviewer say room pretty small - spotlessly clean right decor . the public area also nice , endless complimentary coffee cookie great long evening city unwind rest foot ! could not get nearer Times Sq try , location absolutely A1 , although need tolerance New York ' din ' outside room . on arrival friendly staff could not get credit card accept ... however heart flutter apologise guy enter detail incorrectly . we present enter room complimentary bottle sparkle Wine , nice touch , although not get room request - move we follow day hassle , fact bag etc move Casablanca staff whilst - smooth . overall nice , small , clean well run hotel . plus point ... location , staff , complimentary wine breakfast . minus point ... noise front hotel . Darren Lisa , Doddington , Cambs . 
 Sep 28 2008 	 look elsewhere - rate high ! 	 really not understand high praise hotel . I stay Sofitel Casablanca 3 night . sofitel incredible . Casablanca dreadful . rate Sofitel sell believe positive feedback site . honeymoon . Sofitel give we upgrade champagne , casablance nothing - even acknowledgement . even though , call book room , manager say would upgrade . run , musty smelling , staff clueless , poor service . ask room away street , due massive construction . get upstairs room face street . call desk someone bring key another room . instead help , take elevator , wait come back . go room 308 , view razor wire paint bucket . turn A / c loud sound go away . outside , huge A / c unit building . we could not even use one rare electrical outlet , wear cord would fall . tv , lamp , bed , ceiling fan , A / c outdate , disgusted long Sofitel . bathroom small pedestal sink toilet position could even sit without put leg side . water pressure temperature shower inconsistent . the internet work room , neither wireless , ethernet cable room . instead staff resolve problem , give we phone number say would charge call . upon checkout , try charge we call . ask manager remove charge . internet never work , go common room breakfast serve use internet . the food mediocre breakfast staff loud , annoying conversation instead clear table . breakfast essentially ordinary pastry cereal . cheese cracker generic wine evening . I ask front desk pizza place near . never find . next day happen walk - give we wrong direction even though 1 block away . location close crowd Times Square , disappointed hotel take fun trip . really become skeptical feedback site . 
 Sep 26 2008 	 great little hotel 	 third stay hotel would reluctant stay elsewhere NY stay couple hotel previously . yes may cheapest facility brilliant , 24 hour refreshment , breakfast , cheese wine evening use really get money worth . the room spotless even big - want spend time hotel room . the staff really friendly welcoming . the location great , Times Square step away subway escape noise crowd easy . 
 Sep 24 2008 	 say tin ! 	 book Casablanca reading review Tripadvisor main , would agree majority . arrive early expect greet friendly doorman room ready . stay 5 night , ask quiet room provide ( 609 ) . stay suite parent pleasantly surprised size room . read previous review expect space find plenty room stuff ! bathroom lovely spacious complimentary toiletry gorgeous - tip : not take ! housekeeping staff fabulous , bring clean towel fresh toiletry every morning afternoon , room spotless . tv bedroom living area stop argument remote ! definitely oasis come back hard day sightseeing - breakfast cheese wine save we alot money welcome . staff Rick 's Cafe great , could not enough us computer access really helpful check thing . meet great people stay hotel definitely much friendly , relaxed environment large chain . door staff friendly , offer welcome smile cheery goodbye enter leave hotel . downside , reception staff appear great knowledge local restaurant overly helpful . seem depend duty . staff great helpful friendly . look previous review seem vary experience . day staff certainly much friendly genuine ( perhaps other feed working night ? ! ) . unfortunately , bottle champagne hope Mum 's birthday materialise write previous review . bit disappointing hope special day would nice touch . hotel need keep top thing get complacent regard position Trip Advisor , otherwise quickly find slip rating . , great stay would definitely stay , perhaps keep open mind not expect much will not disappoint . make itinerary research go be reliant other plan trip . hotel great location could well ( literally Times Square ) . room small see perfectly adequate New York . really little oasis inside hotel , could not hear noise outside . doubt would find anywhere well manhatten price pay . 
 Sep 20 2008 	 Ups down Casablanca 	 book Casablanca reading review trip advisor . arrive lunch expect room ready check left bag take tour arrive back 9 pm . book deluxe king room request room back hotel , show room small double , room 508 , keep single room , quiet rear end hotel . contact reception tell room available hotel agree king room hotel full . next day another full daytrip book find move another room , time kingsize front hotel give bottle champagne . also make deduction cost nightly rate . second room bit large king bed unfortunately front building noisy , decide ask move buy earplug help . staff hotel good , polite helpful whatever make stay good one , stay ideal . check meet manager apologise problem give complimentary stay would like return future , nice gesture , ask see manager day arrive feel apology little late day . book hotel long time ago , directly website expect well hotel good review . 
 Sep 19 2008 	 worth money 	 stay get room $ 300 usd . find many great hotel around world review tripadvisor . first time agree majority . service hotel apparently use . book hotel weekend parent . want pay stay stop hotel ( live NYC ) day leave credit card info . clerk desk assure would bill card importantly , parent would see bill . even say would make note reservation see much room . well , see mom stay handed bill ask sign include charge room . : - ( first room give 3rd floor garbage leave imprint bed someone lie . folk call front desk manager ask & quot ; would like ? & quot ; kind question ? mom say happy sleep bed someone already lay offer new room . first thing manger 's mouth , & quot ; want ? & quot ; . room give 6th floor small bit wear around edge . also promise bottle champagne second night father 's birthday never arrive . parent 's call front desk proceed question whether tell truth miss champagne . the area around hotel heavy construction make sure ask quiet room . least request staff Casablanca honor we . 
 Sep 18 2008 	 wonderful Hotel ! ! 	 understand negative review hotel . impressed soon doorman greet we entrance . check breeze . arrive noon , room not ready , expect . ask front desk clerk direction pub want try - look internet , call facility confirm open , review direction make sure would find . 's SERVICE ! staff memeber equally helpful friendly . the room small , clean other state . room face courtyard hear bit noise city . as other state continental breakfast huge plus - assorted juice , coffee , tea , milk , yogurt , fruit salad , pastry , bagel , oatmeal , etc . wine cheese evening welcome long day sightseeing . do favor stay hotel - location , service , comfort , cleanliness , good value NYC ! 
 Sep 17 2008 	 First Visit New York 	 return week stay Casablanca . locate around corner Times Square , expect oasis behind entrance lobby . difficult add review write hotel , everything & amp ; hope . room comfortable , everything need , one downside noisy air - conditioning did'nt seem want turn ! however find get use .The service excellent , need doctor , appointment make & amp ; sightseeing within hour . we also recommend Tony 's next door , excellent food & amp ; service , especially busy day . also deliver room , real plus do not want go . refreshment offer day , & amp ; another nice touch cheese & amp ; wine early evening . lovely relax stay great location . we would love return enjoy another visit . 
 Sep 14 2008 	 warn > slow Internet ( ! ) 	 great location , clean & amp ; comfortable room nice morroccan theme . big bathroom closet plus . however , one big drawback ... internet connection floor ( 6f ) exasperatingly slow , come lounge 2nd Floor reasonable speed . overall , great hotel pleasure , stay away Casablanca hotel will NYC business . 
 Sep 14 2008 	 Fantastic service Casablanca 	 wife & amp ; recently travel Scotland & amp ; spend 8 day Casablanca , arrival departure superbly look staff , arrangement Rick 's Cafe breakfast , tea , coffee , fruit & amp ; snack day & amp ; wine nibble evening good hospitality possible . our room british standard size comfortable & amp ; adequate space , rear Hotel disturbance City Centre traffic minimal . the location perfect 65 pace Times Square therefore close Theatres & amp ; many restaurant . the standard service summarise offer we leave downpour suggest take one Hotel umbrella us case expose heavy rain leave Taxi Airport building . in view well Hotel New York location , & amp ; effciency staff , return New York one Hotel list , Casablanca 
 Sep 12 2008 	 peaceful mean 	 stay weekend 5 - 9 September , frank , slightly disappointed surprised , read objective review site . yes hotel conveniently locate 's far peaceful . although upgrade King Suite street face incredibly noisy warn get room front oasis , construction site less opposite work night traffic incessant - & quot ; plus & quot ; side air conditioning unit loud drown external noise . room soundproof advertise , room spacious , clean comfortable . however virtually sleep 4 night . other say , Rick 's Cafe nice lack enough table breakfast , 4 ( really enough 48 room ) sit normally otherwise need breakfast sit settee low chair get early business people laptop monopolise table . wine cheese evening day pastry drink welcome touch staff kind polite . would also echo other comment reception staff , helpful - point overly so . we eat associate Toni di Napoli restaurant one night unless partner ( ) want dish avoid ; serve ( indifferent ) food 2 3 people , would not even prepare single side salad – 's basically family fast - food place abrasive staff . walk block much well place eat . , $ 2000 dollar ( include taxis ) 4 night standard room rate even though upgrade , not value money hotel ' m sure other state probably much well option . minus point outweigh good point would not return . Read Trip Advisor comment hotel - 's easy get carry away effusive " peaceful " impression convey . 
 Sep 11 2008 	 great stay ! 	 lovely hotel , great location , would stay again . initial impression rather dull dark , end first day moroccan theme rather grow ? free breakfast , early evening snack welcome . 
 Sep 11 2008 	 Friendly Oasis 	 Excellent little oasis clamour Times Square . hotel make friendliness staff always willing smile , help go extra mile . snack , breakfast , wine , cheese ambience Rick 's Cafe also add ease enjoyment experience . would much rather stay ' grander ' hotel New York meet relative ! traveller , ( minor ) side size bedroom - however immaculately clean , peaceful , comfortable additional extra one could wish for . would definitely come back visit New York . 
 Sep 11 2008 	 Classy 	 base glow remark give hotel , book first trip ny care Casablanca . pleasant stay ! mention other , location fantastic . step outside BAM ! , be Times Square . step back hotel would never even know big city . room small , exceptionally well decorate , completely update clean . staff attentive , pleasant eager help way . complimentary item ( wine & amp ; cheese night , breakfast , dvd , internet access ) well expect . important , mattresse awesome ! firm nice linen . not normally sleep well hotel , exception . Book confidence . 
 Sep 8 2008 	 's good ... 	 first time write review Tripadvisor travel load use site , thought would start contribute . firstly , like Casablanca like year ago indeed ' find ' rate slightly well . NYC expensive realise hotel rate ( will get anything $ 380 ) reflect comparatively , hotel always bite good find term cost , little extra . the hotel nicely situate . right Time Square despite location , get back inner room , fairly quiet . get front room , expect street noise . room fine , twin room quite spacious nice favourite toward back hard get . king size premium room inner big standard large mean . decour inside room fine slight feel become worn . free WiFi room , great . also machine 2nd floor ( rick ) . big plus hotel continental breakfast , include rate nice wine / cheese every night 5 - 7 . change , case , front desk staff really varied meet / greet guest . check , less overwhelmed greeting ( stay 2x per year last year ) . change front staff whole different vibe . consistent doorman great . bit mixed , whereas remember time consistently friendly nice home feel . I think decide stay , follow . like small hotel , want central westside location take advantage breakfast happy hour ( coffee pastry day ) . come back chill 2nd floor area . particularly good travel elderly person child inclement weather . stay like something modern house facility . Time Square hotel , would one definitely prefer . short , nice find slot occupy bit top hotel actually provide ... 
 Sep 5 2008 	 Location Location Location 	 stay place recommendation friend . need thank . place close action Times Square yet fight way crowd get door tranquil hotel . hard believe hotel close Times Square . check efficient hassling take bag quite capable carry . standard room small , way put , job . one good thing lounge 2nd floor . peaceful lot reading material , tv free internet terminal . evening wine cheese excellent breakfast . Tonis , restaurant next door , good italian food till quite late . all great place , well worth money . would look else return NY . will straight back here . top Tip - ask quiet room face street . could bit noisy ( although quantify noisy ) . ask , get , courtyard face room quiet . 
 Sep 4 2008 	 Casablanca A++ 	 fantastic stay Casablanca first week US Open . staff , helpful minor mix - up room ...... extremely accommodate ! ! ! also , wine / cheese breakfast include price . bed comfy nice soft sheet good pillow . husband often travel NY business definitely stay highly recommend . great location . 
 Sep 4 2008 	 great hotel 	 select Casablanca base review post Trip Advisor definitely disappointed . hotel nice , staff nice professional ( well helpful ) , location perfect . definitely return . 
 Sep 2 2008 	 make we want visit NYC 	 third stay NYC first time casablanca . not really like NYC visit Casablanca really want go back . make onlie resevation almost instantly get personal email back reply personal preference . also reply almost instantly feel great . upon arrival friendly greet take care professional manner . hotel feature thing always find hotel nice free wine cheese afternoon . the location great Times Square outside door still interior hotel feature quiet relaxed atmosphere . 
 Sep 2 2008 	 Oasis 	 visit Greece spend six day magnificent hotel . it first visit city . great hotel , polite helpful staff .very clean hotel also . real oasis madness Times Square ! 
 Aug 31 2008 		 live expectation . truly peaceful respite craziness Times Square . problem car service pick front desk make amend consequent delay . otherwise perfect . 
 Aug 30 2008 	 do not find early 	 can not believe take we long find oasis . minute walk door greet staff know would never stay anywhere else .it wonderful place could not believe close everything yet inside frantic Times Square . many lovely touch lady play piano Friday evening , way staff remember . evening check new towel .I New york many time never feel pamper care . room small perfect need spotless . would recommend hotel anyone want bed sleep . 
 Aug 30 2008 	 Perfect hotel every way 	 every review Casablanca prove true daughter find week NYC . welcome e - mail , , check - out ( 4 a.m. ) treat like queen friendly staff comfortable hotel . morning greet smile everyone eager help we way welcome we back evening . location hotel Times Square could perfect . thank certainly recommend friend . six star rating inn like your . Marelyn Ballany , Winnipeg , Canada 
 Aug 29 2008 	 really great hotel ... 	 return two night Casablanca . great hotel large ! first positive - fantastic location , great staff , cheese wine , good breakfast include . arrive upgrade we King Suite free , retrospect rather large ' but ' come along . room front hotel building along street - trouble building work 24 hour day ! ! ! loading unload lorry night even jackhammer 1.30am - really struggle sleep light sleeper ! ! overall , really great hotel , careful room assign whilst build go street ........ 
 Aug 26 2008 	 Favorite 	 second stay Casablanca enjoyable first stay . stay 4 night . hotel go way accommodate , staff downright helpful friendly , seem happy hotel . especially enjoy Rick 's Cafe second floor available guest 24 hour day reading , refreshing snack , catch email . every morning delicious breakfast available every evening wine cheese cracker serve guest Rick 's Cafe , well . room beautifully clean , although small side ( someone Midwest ) , well - design comfortable , especially bed . love Casablanca Hotel ! disappointment trip want extend stay one night , could not full . 
 Aug 22 2008 	 peaceful convenient 	 Casablanca peaceful away hustle bustle Times Square ( Brits - think Oxford Street x 5 ) .it small friendly staff none excesse large manhatten hotel . room bite small side bed extremely comfortable , shower work , continental style buffet complimentary offering evening good . could not fault - would definitely return New York . 
 Aug 21 2008 	 Fabulous Hotel 	 husband stay Casablanca 3 night begin August . New York wedding . perfect base . it want . comfy bed , good bathroom , plenty storage bedroom . handy situation Times Square Subway round corner . staff could helpful . recommend restaurant book car airport . breakfast excellent wine cheese evening lovely touch . will definitely back . 
 Aug 21 2008 	 great find ! 	 stay Casablanca four night first ever trip New York . whilst probably small room ever stay detract way enjoyment hotel . Rick 's cafe tranquil oasis away bustle Times Square evening cheese wine lovely touch . breakfast good , save hassle find somewhere eat provide relax start long sightseeing day ! would definitely return hotel . 
 Aug 18 2008 	 good holiday ever 	 stay casablanca 5 night start august fantastic stay - hotel neare everything , 5th avenue , times square bus outlet ! think breakfast great lot choice relax start day . drink reception fab - staff really nice plesant . stay 5th floor room great , really big huge bed equally spacious bathroom . note , book superiour room maybe th estrandard room lot small . - yes noise street early morning keep window closed - new york not think hotel blame thing like bin collection police siren . actually get engage tell concierege night happen go dinner immediatly send complimentary bottle champage room . top complimentary bottle get special birthday holiday first place . lovely , intimate , boutique hotel warm welcome great service . top engagement surprise really good holiday ever ! 
 Aug 17 2008 	 Charming 	 hotel need busy noisy day sightseeing . location ideal want hub theartre district . the staff wonderful . our room good size bathroom excellent . complaint noisy aircon unit turn get good night sleep . the inclusion breakfast wine cheese evening excellent way start busy morning evening . this hotel charming find . 
 Aug 14 2008 	 well recommend oasis Times Square 	 impressed hotel . great location step Times Square complete oasis calm inside . deluxe queen room perfectly adequate two large bathroom walk closet . view room face inside courtyard fine we keep room quiet , ( quiet room standard US window mount airconditioner ! ) .The hotel tastefully thoughtfully furnish lot interesting touch follow adopt theme . much privately run quality individual hotel rather corporate style . all staff friendly efficient , quality interior furnishing cater excellent . really appreciate wine cheese reception break daytime sightseeing go back evening . breakfast equally enjoyable good choice cereal , fresh fruit , pastrie hot drink . refreshment available day complimentary nice touch . thoroughly recommend . 
 Aug 12 2008 	 great place stay 	 complaint property , super close Times Square heart Theatre district , quiet many amenitite ( breakfast , snack , wine cheese reception , good - sized bathroom , nice toiletry ) mention fabulous service . Jeffrey especially helpful , go back NY would definitely stay ! 
