wonderful 	 spend Thanksgiving week Summer Bay Resort Las Vegas wonderful time . exchange week Trading Places International . check - in Sunday breeze please one - bedroom first - floor condo . accomodation newly renovate decorate quite comfortable . king - size bed , two wall mount plasma TV 's , huge tub shower , appliance utensil one could need . location Strip convenient everything early morning run along strip , nightly stroll . transportation week , notice non - stop shuttle resort without transportation . pool hot tub jacuzzi right outside door clean , practically vacant every time use , enjoyable . employee encounter pleasant helpful . negative experience even comment wireless internet become unavailable mid - week , rest week . construction issue minimal disruptive least way . look quiet comfortable place stay , still within easy access Strip , Summer Bay Resort would high list place consider . 
 Oct 16 2005 	 bad 	 reading review Summer Bay depress already book . say not single complaint , much well anticipate . stay one bedroom lobby building . unit little small , nothing fancy , nothing really complain . clean , not smell , bug . nothing luxurious , fine . call maintenance twice , time respond within 5 minute fix problem . first time fault , break blow dryer , second time toilet flow . even follow call time make sure problem fix . take shuttle service Freemont Street - free . go sign shuttle , 8 group , shuttle already book put another shuttle service take we Freemont Street . also , bother sale people , plus . summer BAy less 5 minute walk Harrahs , Imperial Palace monorail . be 10 minute venetian 20 minute Fashion Mall . all - no complaint 
 Oct 16 2005 	 great time Summer Bay 	 little apprehensive reading review post , pleasantly surprised . a / C not work properly first unit , move we right away main building . give second bath okay 3 we . request receive renovate condo satisfied . unit clean roomy meet need . pool nice clean area around relax . entire staff terrific ... especially love Carrie Turbo Terry activity Sam Angel Concierge . night security staff great hurt leg taxi . since eat every night , store premise everything need breakfast . cook Vegas many good restaurant . walk strip Imperial Palace Harrah 's 5 - 10 minute shuttle leave main lobby . downside could see housekeeping come week take garbage , clean change towel . however broom etc . unit . place spread , would suggest ask renovate unit near main building . would recommend Summer Bay anyone would certainly stay . 
 Oct 14 2005 	 love Summerbay nice 	 place beautiful ! , concern stay bad review . use parent timeshare not regret what - so - ever . must say people give bad review may get stuck room yet renovate , call hand ask renovated room , get one . room main building .. like small apartment two , perfect . two bedroom tv & amp ; ceiling fan , living & amp ; dining room w/ tv cele fan , full kitchen amenatie full bath . see new furniture place building surround main building , make progress . yes room funny smell , hotel / motel , etc . not ? plus smoke room probably smell , smoke anywhere like drink anywhere ! hello ? ? pic room post soon get develop . good bud take pic outside forgot get inside digital 's one pic far . problem staff , everyone nice helpful . find 2 cricket room seperate occassion , be leave balcony door open time , really big deal , 's cricket ... everywhere Vegas . 
 Sep 28 2005 	 Loved - nice quiet 	 impressed Summer Bay . yes refurbish room great like mini apartment smell ! ! ! . 100 m walk pool get 2 . nice clean towel provide . stay 14 night housekeeping - twice available cancel one . like disturbed tidy people like space . really close strip monorail , ideal location . league top hotel somewhere quiet convenient strip ideal . free shuttle run nearby location helpful staff . 
 Sep 20 2005 	 Resort ! 	 place definitely resort ! stay bad place , definitely resort ! clean room , except ant appear bathroom two three morning stay . housekeeping come everyday clean towel trash empty everyday . kitchen area clean . smell room believe come air conditioner . dissipate enough noticable much . location close strip . overall , experience bad , probably shop around next time return Vegas . see bug room , except ant . state , housekeeping accomodate we stay . 
 Sep 19 2005 	 love Summer Bay Resort Las Vegas ! ! ! 	 stay Summer Bay Resort Las Vegas September 14 - 18 , 2005 , love ! worried stay prior arrive due bad review Summer Bay ; however , pleasantly surprised upon arrival ! stay Unit 512 , single complaint . arrive 2:00 p.m. , able check early . unit 512 directly across street office . two - bedroom unit clean nicely furnish . not single bug problem mismatch furniture , bar window ! ! also deadbolt lock properly use door handle , instruction post right door ! unit directly beneath monorail , never one time hear . actually , ride monorail frequently , excellent mode transportation strip . even stand next monorail upon arrive , virtually noise - free . really enjoy casino Imperial Palace , short walk . fact , walk back gate unit , already Imperial Palace 's garage . Harrah be also right next door , within two three - minute walk . to sum , wonderful trip , would return Summer Bay anytime go Las Vegas . fourth trip Las Vegas , always stay celebrity spa suite MGM Grand prior . therefore , high expectation anywhere stay . picky people , could find complaint Summer Bay . attach photo review . please look consider stay Summer Bay . we sincerely hope review help intend stay Summer Bay , not worry go ! ! ! 
 Sep 16 2005 	 False advertising - do not go ! 	 actually timeshare owner resort . stick since would sell even enemy . every time stay , stay terrible . room stench whole Fabreeze cover . every room stay roach sort bug . never truly clean manager act care comfort . say make big enough stink least get money refunded shut . however , cost high would rather get well service . say renovate room stay & quot ; yet renovate & quot ; so - call & quot ; renovated & quot ; room . disgust moldy horrible smell second hand store furniture . believe owner know renovation look like . could dump property , would . type person spend time strip return room get quick shower power nap , place . like want enjoy stay room well , stay somewhere else , anywhere else . motel 6 rent room hour well room . 
 Sep 12 2005 	 bad experience ! ! ! 	 stay & quot ; resort & quot ; labor day weekend . rent two bedroom . total six people party . not receive expect . arrive Friday , September 2 , check breeze lobby beautiful . arrive room ( 326 ) , we decide freshen heading & quot ; strip & quot ; . restroom clog , water go anywhere . call front desk , send someone , arrive twenty - five minute later . unclogged shower able finish shower . Saturday : bed not get do , trash not get take ... type housekeeping receive . third person decide take show HOT WATER ! . call front desk , send someone , arrive 30 minute later . man come room solve problem say heater big enough hold much hot water , going wait forty - five minute allow water get hot . RIDICULOUS ! ! ! ! Sunday : left & quot ; strip & quot ; call front desk ask could please provide housekeeping room , get transfer housekeeping . housekeeping tell would send someone immediately . return night time , guess ? housekeeping ! ! Upset happen since arrive , call front desk ask speak manager . speak lady can not recall name , say front - desk supervisor . ( upset ) proceed tell everything happen since arrive . response & quot ; wait complain ? & quot ; . say know housekeeping not go room said & quot ; housekeeping manager & quot ; . not get sort apology explanation . check Monday ( 9/5/05 ) . ask guy check we stay sad & quot ; horrible & quot ; explain happen . ask call make anybody aware . tell spoken supervisor work Sunday ( 9/4/05 ) night , not seem care . shrugged shoulder say & quot ; hope make next stay comfortable & quot ; . absolutely next time . listen review give & quot ; resort & quot ; chance ! LISTEN REVIEWS ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! 
 Sep 8 2005 	 Poor Accommodations 	 please listen negative review . stay 12 month old daughter parent 7 day . parent pre - pay whole trip , would find accommodation . first building , think # 14 , set two abandon building . scary would never feel safe . , room change immediately build 7 . much nice , still worth money . long walk strip everyday . trashcan bathroom ice machine work . call front desk repair although say someone way , never see anyone . take 4 day bring trashcan . would never stay . timeshare bad resort ever see . 
 Aug 23 2005 	 place near resort ....... 	 ' believe audacity call place resort . hotel old apartment building look like project . photo online near get arrive . room nasty stench cover , furniture look like pick garage sale . $ 150.00 night expect lot provide . ' fool … …… .. place RIP . 
 Aug 3 2005 	 Summer Bay Resort Old LV Apartments ! ! 	 book property stay 07/31/05 - 08/02/05 . husband book venetian thought would good close location mother stay self contain since aspect Vegas appreciate buffet . also think location would serve purpose part time baby sitting , sterilize bottle store perishable 3 month old also accompany we trip . upon check - in inform front desk clerk travel young child request renovated room advise website . state change we renovate room hand we key card room 363 like build 5 . not know think room horrible unrenovated state rancid odor . prepare move mother Venetian suite we husband notice room building close lobby much well conditon building away . immediately call front desk request change . speak supervisor opinion use receive compliant like & quot ; property depict website & quot ; , etc switch we room 253 building 2 . room 253 much well shape previous room property overall still pretty dissappointe room remain basically vacant majority stay . Most negative review read website appear somewhat harsh unreasonable towards various property question . case Summer Bay Resort quite generous . nutshell , place primary goal travel economically . discriminate traveller sense property ! picture review deceive ... beware ! ! Wish take photo prove . Summer Bay Resort one nickel dime place charge maid service , extra toiletry etc . definitely speed . consider saving look around pretty good deal much well property . although see benefit kitchen able afford eat day , personally would opt another facility place . hope help someone . 
 Aug 1 2005 	 stay Hotel ! 	 picture way close real . 's cheap motel . completely expect . false advertisement , sue . 
 Jul 31 2005 	 return Summer Bay ! 	 return one week ( 8 day ) vaccation Summer Bay Resort . last year stand 3 day enjoy stay much returned year . , unsatisfied . course , 4 * hotel - something need mind - theme strip hotel casino . consider price value get ok . hotel couple minute strip . room - one bedroom suite - clear ( enough ) contain urgently need . pool always nearby . first place completly new renovated suite , one queen size bed bedroom - small staying whole week . move bit old room , still ok king . pool area quite also equip spa . clean first visit , unfortunatly later week , even see pool boy cleaning , water crital clear beginning . generally people outside clean attentive : paper bag lie around house day , even people around drive golf car around whole day , nobody care . definitely improve ! also , stay try picknick bbq area - always equip table bench chair . disturb roach ( 20 ) suddenly appear . next day even big one lie front door ( dead ) . rest stay , try see roach day front building - real pitty take we joy sit eat outside . not like roach run foot . anyway - hotel ok , return place , since like quitness comfort room : price really good get . 
 Jul 17 2005 	 Great Family hotel 	 great location - quiet , close major attraction . overly busy hotel , easy relax - huge crowd deal ! easy walk distance major casino . 2 bedroom unit main building . great helpful staff - whatever help . hotel shuttle service dropping pick predetermine time throughout city - charge , tipping welcome . there 5 us party comfortable bed . everything unitd work well . would definitely come location . 
 Jul 17 2005 	 great family 	 stay Summer Bay Resort June 2005 , 2 family . although old room , spacious family 5 along 2 family need . call ahead ask main building get room available building . want close family member , hotel arrange , room right together pool . kid love much room not share bed . couch L shape could pull bed , teenager want sleep way say comfy . daughter 7 sleep side couch , son bed extra room . full kitchen , great staying week , dining room , 2 full bathroom , 2 bedroom , enough room dinner room family member come we . order pizza one night good . pool outside room could take kid swim one else around . although old hotel , travel lot people make sense stay . monorail close little one not walk far . forget continental breakfast though , pastry box wof go quickly . would stay take kid along . 
 Jun 30 2005 	 Loved Summer Bay Resort 	 group six return Las Vegas ( awesome time might add ) . location Summer Bay Resort put we within walk distance tram casino . condo clean comfortable . staff helpful cleaning personnel could not pleasant accommodate . would definitely return . 
 Jun 28 2005 	 would stay ; decent location 	 ( two friend ) decide rent room Memorial Day weekend . despite issue one person party wait around check early person actually book room - even though specifically request OUTLINED CONFIRMATION MAILED HOTEL two member party ( name list , mind ) may arrive early would fine check first . clearing issue phone ( plane way Vegas ) friend finally able check in . our unit behind Imperial Palace ( 6 - 7min walk ) . bad location . nice brunch Harrauh 's one day happy . imo good brunch far MGM Grand . MGM bit far Summer Bay . taxi ride . would suggest take taxi work way back walk . Lvg rm : queen size sofa bed , tv , coffee table , adjustable air cooling . kit : small area w / stove , sink , microwave , small round table fit two comfortably . Utensils ( fork , plate , etc ) , toaster oven . two high chair counter separate kitchen live rm . BDRM : queen size bed , tv , safe closet , iron brd & amp ; iron , two end table , dresser . Closet hall door close live rm bedrm & amp ; bathrm . comfortable place . unit ( outside main building ) gate BBQ grill yard . grill one night great . you must stay 7 day receive house cleaning ; although bed make trash take two three night . 
 Jun 8 2005 	 bad location .... 	 place may look little ghetto , seem safe , good part right heart strip . could get IPalace Flamingo within 10 minute walk ! room little shabby , bad . I stay main building row , close strip . Venitian Hotel close ! nice seperate bedroom area fridge hotel save $ time go eat . eat Imperial Palace buffet , bad . room avg $ 100 / night weekend june 2 - 5 . 
 May 23 2005 	 good $ $ bad location . 	 familiy stay Summer Bay 2 - bedroom May 2005 . facility ok price , location unit ( end property Winnick Koval ) scary . checked request renovated unit front property tell unit already assign . book main building , close , take risk stay . , think twice . hear lot siren kid joke located & quot ; CSI crime scene . & quot ; 
 May 23 2005 	 great location room so - so 	 recently , ( May 05 ) spend 7 night Summerbay las vegas . easy find , check easy , look around resort ask particular location , punch bunch button computer manage it . the resort , really think word resort come guess qualify . think old motel lobby , main pool work center , think 4 story building jr . 1 bedroom suite , 1 bedroom 2 bedroom suite , stairs elevator , stair fast.the main building call & quot ; tower & quot ; clean , lobby could belong 5 star hotel . nice , lot fancy tile , lot sitting room , many tv 's , card table , activity room friendly staff . access main ( outside ) pool lobby . game room 4 5 video game , work room universal type machine treadmill , dumbell machine , adaquate quality stay . pool curvy shape , clean , go 6 ft . hot tub round seat 6 - 10 depend close want , good size hot . towell plentiful platic bin pool . good part 24 hour pool access.my 1 bedroom Jr suite clean . full size fridge , small stove oven small microwave , coffee pot , double sink . bedroom queen size bed , alarm clock radio , 26inch tv , closet mirror door inside ironing board , iron , mop dust pan broom laundry basket . thinkthe laundry machine free , locate every level . bedroom small.living room coffee table , sofa sleeper , leather feel kind cover , couple chair , comfirtable dinng table 4 chair . 26 tv dvd.bathroom small , hair dryer plenty towell soap . bathroom low point room , old clean time replace ficture . I huge patio room , 1st floor 15 x 15 foot 2 lounge chair table 4 chair umbrella . great sit watch traffic people go harra , flamingo etc , rest resort , connect tower stand alone build maybe 20 room every set building pool , guess 30 building , that s say 12 pool property . stay building , look nice hear rennovate insidebut would long walk 1/4 mile main , good pool lobby , would stay , would pay hearing receptionist tell customer , $ 100 per night much place . location directly 1/2 block behind Harras , accoss street Ceasers Palace good stuff . monorail practically sit top summer bay , read noisy could hear go , head . monorail stop right back Harras , , convieniant place stay ride monrail 
 May 17 2005 	 Adequate - great 	 previously stay Summer Bay Property Orlando somewhat expect something standard disappoint . place see well day . new furniture appliance like put new seat cover sound equipment old jalopy . thing make bearable probably apartment total 10 wake hour week Vegas . good part place price location . cost we $ 249.00 week , Flamingo casino front door . would stay ? ? probably , weak probably . 
 May 13 2005 	 Summer Bay Resort - Good Location Near Strip 	 5/12/2005- recently spend week Las Vegas Summer Bay Resort . resort locate within easy walk distance middle Strip . remodel room comfortable enough nice furniture appliance . I reserve two one bedroom unit two people room . however , request stair , room near , roll away room . none request honor get . tell person desk make request mean facilite available . give room second floor , opposite side build , rollaway never materialize entire week . my husband interested information RCI Points System , attend timeshare presentation . reward ticket magic show Greek Isles . ticket show worth time . Greek Isles run place . attend presentation , would take option show Sahara instead . sale presentation high pressure , however . two thing week really oustande go show , KA MGM . pricey , worth . also , spend day Valley Fire State Park red rock incredible . park easy drive get , worth visit , take tour not car . 
 may 10 2005 	 Great Place Stay 	 stay Las Vegas many time , time use RCI timeshare stay Summer Bay . request 2 bedroom main building , kindly grant . the location excellent . behind Imperial Palace , walk IP 's garage . 5 min walk strip . stay hotels strip take least 5 min walk get room front entrance ! room good . two large bedroom , kitchen , one half bathroom , lounge balcony . room get clean one week stay , empty bin change bed linen . negative thing say Summer Bay . when return Las Vegas certainly stay Summer Bay , however would request room main building , building quite spread could end walk quite bit strip . buggy service available room main reception , shuttle service casino never need use these . the location overall excellent , walk Imperial Palace 's garage , slap bang centre Strip . would definitely recommend Summer Bay . 
 Apr 26 2005 	 Great Place 	 stay 4 night wonderful time . two bedroom clean , new leather chesterfield , large tv bedroom , plus living room , well supply kitchen . resort hostesse pleasant helpful . good shuttle service various casino many resort activity . excellent location . certain area renovation . Summer Bay also direct access Las Vegas Monorail . 
 Apr 13 2005 	 great time ! great location ! ! 	 family stay Summer Bay save money expect great service get ! time arrive , people help we vaction plan assure we stay would special . we love location . make easy see & quot ; site & quot ; feel comfortable secure walking hotel . we would stay ! 
 Apr 13 2005 	 bad ever 	 mean place call resort . without question bad & quot ; motel & quot ; ever . room ( appear convert housing project ) passable one morning lift toilet seat cover find carpenter ant dancing bowl . check - in desk extremely slow discourteous . unit pretty far main building walk outside must . also , leave anything value room unless place safe . possession & quot ; walk & quot ; . attempt contact & quot ; resort manager & quot ; , return call . overall , describe place would follow , & quot ; perfect place film episode COPS & quot ; . unless else stay , avoid motel . one thing . upon check purchase USA Today . walk away realize gift shop sell yesterday 's paper . attempt get money back day old paper inform sale final . refund ! Par course guess . 
 Apr 11 2005 	 like bad reviews .. Great Place say 	 worried staying place negative review , glad stay . stay lot place Las Vegas usually 3 star hotel Vegas like 1 star hotel anywhere else . room clean roomy . like 1 bedroom apartment . even 2 leather couch , 2 tv , fridge , microwave stove room . would recommend place anyone . one block heart strip . right behind Flamingo Casino . pay $ 120 night get bargain Vegas . make sure ask renovated room book . will not disappoint long expect Bellagio ... 
 Apr 11 2005 	 Summer Bay resort AKA Ghetto Motel 	 room place decent enough . room one block main building . surround side low income housing project . feel safe night short walk monorail station main building take door golf cart . renovate room like another review say floor uneven carpeting old . bathroom kitchen seem new . two bedroom two bath suite full size fridge stove dish pan etc . grocery store black away . door deadbolt neighborhood need . tell cab driver place ( vegas 40 year cop ) say place DUMP . use Ramada Inn . picture website Las Vegas Florida . post picture building surround area would look like dump . building paint pinky orange color tell building housing project . call three time get pillow towel find staff friendly . get pay . website show REAL photo Las Vegas property would stay . try post later . water park pool tiny . big one empty . gate keep winos ( see one pee brick wall ) gate tall . close board fall old motel call Flamingo Arms . 
 Apr 7 2005 	 Gold Crown pretty good 	 swap 2 bed gold crown resort Spain stay part package include hotel stay Frisco LA celebrate big 50 , friend experience timeshare , think place good location great , staff friendly helpful even manage get we book 8 Stratosphere , organise taxi 's we . yes place be not brand new even ' refurbish unit ' mis match furniture , good enough time spend unit . we party stay road Fairfield almost brand new unit small feel big impersonal . I read negative review go little worried happy enough get . 
 Apr 6 2005 	 like Reviews say ... 	 family stay hotel March 27 April 4 , 2005 . wonderful time , suite stay 2 bedroom , 2 bath suite , plenty hot water hot water tank people say hot water hard believe . family six plenty room . 2 twin bed one room queen queen sleeper sofa l - shape sofa kid could sleep also . dishwasher , stove , fridge , microwave coffee pot . bring plenty towel everyday never bother investing timeshare . pool heat main building across Ida street heat pool jaccuzi . think nice place stay without hussle bussle people get back room . nice attendant , friendly . activity main building kid family . would definately stay do not believe negative stuff read probably write people hotel something scared disappointed walk strip far , also cut building winnick go street take right corner margaritaville do not go parking lot . way great place stay ! ! ! back 
 Apr 4 2005 	 perfect place budget traveler 	 stay 2 night room # 458 building # 17 . checked make sure ask renovate room like prior review suggest . clerk helpful explain shuttle process give we map strip explain . say room renovate one feel well chance disappointed . building look like melrose place what s wrong . inside 2 bedroom/2 bathroom apartment like room welcome small kitchen furnish many ammenitie blender , microwave , fridge dishwasher . cupboard full dish , pot , pan . livingroom pleather sleeper couch , matching lounger , glass table comfy chair . far good ! bedroom tv 's comfortable bed . closet plenty space include safe . one bathroom shower . full tub . budget would rather play variety casino instead hotel stay cause casino . stay next time Las Vegas . b+ rating price quality 
 Mar 30 2005 	 fine family / group 	 yes , exterior look like & quot ; 70 southwest apartment complex & quot ; & quot ; Melrose Place & quot ; interior decor furnishing condo & quot ; recently renovate Motel 6 & quot ; , price , place fine group four adult toddler . we two - bedroom , two - bathroom condo Building 5 , halfway Ida Street ( run away Strip ) main building . exception one lightbulb , everything work fine condo , although pool courtyard building unheate , big heated pool main building couple minute ' walk away . the staff friendly helpful , nothing even remotely scary seedy location ( ) people street . could hear little noise inside unit , even though number large family / group build , least , takeoff McCarran go right complex . we not take advantage complimentary shuttle service , like fast pedestrian access Strip monorail via Imperial Palace Harrah 's . stay Audrie Street ( parallel Strip ) fast access Flamingo Bally's . the little convenience store child 's activity room main building nice touch , too . we question staffer several time interest purchasing timeshare , politely say , & quot ; thank , & quot ; subject promptly drop , decline friendliness level service . I ' m guess lot negative review place write owner much nice timeshare condo , exchange time elsewhere week . we low budget correspondingly low expectation , price , location amenity place fine . return Vegas large group child , would definitely stay . 
 Mar 28 2005 	 bad bachlor party 	 spend 2 night friend , real complaint get . perfectly honest ... not spend much time room . traveler budget place stay . expect treat like royalty go somewhere else . 
 Mar 21 2005 	 Nicer Excalibur MGM room 	 go large group bachelorette party worry read review . place fine . great time . staff actually nice ... rude . front desk curteous call taxis we happily . room clean . bit 80 's , totally Melrose Place , ' homeless shelter ' etc warn . not know people expect room sleep 6 , March Madness , $ 100 night . honestly . Summer Bay not try compete Bellagio , 's mean budget travel . Reminded Holiday Inn Motel 6 , character . location central , could hassle walk parking lot get Harrahs IP . , complaint . plenty towel , two bathroom , nice quiet sleep . 
 Mar 19 2005 	 mediocre good 	 let see , start . pay get . first , notice space inside room pretty big . stay 1 bedroom suite pretty large interior sing , frige , stove , bathroom , living room pull coach . let get bad part . hot water shower , seem problem time really inconvient . second night sleep , water would come show head . 9 pm call service . security guy come look left see could something . nothing happend hour , call service ... finally repair guy come around 11 pm fix shower head . totally incovenient . oh yea , scary terry front lobby first get check entertaining . 
 Mar 15 2005 	 find place 	 get home could not wait shower , room weird smell , floor uneven . bed horriable , basically pretty gross . 
 Feb 28 2005 	 Terrible 	 stay Summer Bay February 2005 disgusted facility . feel though stay homeless shelter . arrive room smell unbearable filthy . & quot ; renovated & quot ; room mismatch furniture , break lamp , Panosonic cassette player stereo system , break shower knob rip screen window . resort whole look like low income apartment complex gate window . feel unsafe walk anywhere near complex , let along staying room ( door not even deadbolt ) . notice police make frequent stop . would recommend place bad enemy ! ! 
 Feb 12 2005 	 good value money . 	 five golfing buddy rent 2 one bedroom unit short notice time share exchange . little crowded two bedroom unit available book . stay two different area complex . one unit main building lobby locate separate complex immediately east . unit main complex pretty small whereas decent size . complex appear old look seedy outside , unit clean appear recently renovate new carpet , tile fixture appliance throughout . two tv dvd player large unit . adequate linen towel place recieve maid service 4 night stay . can not say much resort amenity basically use place crash . one big advantage location 1/2 block strip Flamingo Las Vegas Blvd . intersection . find staff helpful friendly . notice box spring one unit break . word front desk result replacement instal . overall pleased value get exchange . not expect Bellagio . basic accommodation . 
 Feb 12 2005 	 resort nightmare either 	 book third party - Club Midwest Worldwide see picture excite . come site see review scared ! ! ! say pleasantly suprise ! arrive 1130a allow we check - in early . staff friendly accomodating . main building nice . take building ( stay 912 ) ... look like convert motel . sort even outdate Melrose place , know courtyard middle . however , get room , furnish nicely clean . housekeeping staff bring we extra towel . disappoint though , website say washer / dryer unit - not . monorail next door , though not hear anything overnight . location beat . walk 5 minute , heart strip . problem walk strip back room night . tiny woman . scared walk back , & quot ; resort & quot ; , offer shuttle major casino midnight take door . monorail lets 1/2 block away main building , 's option . also trolley let 1 block away main building . & quot ; resort & quot ; also offer shuttle grocery store , save money eat every meal . helpful , even though not want buy timeshare . already Minnesota . driver sometimes take destination one else shuttle . stay February 4 - 11 , 2005 . definately would call place resort , even renovation . price , pay 300 ( suprise taxis ) week . average 40 day , location amenity ( shuttle , etc ) worth look . next time travel Vegas week , stay . also picture room within next day , email will send soon . 
 Feb 9 2005 	 Summer Bay Resort : awful 	 stay late November ' 04 mom go able use week time - share , would lose . not free , would leave find another place stay . staff rude , unfriendly unhelpful . resort couple block away heart strip , believe , ghetto ... would never feel safe walking to / from strip alone night . room fairly clean , nothing special ; could probably benefit update . must construction go , though , couple building w / board - up window ( ? ! ) first building , pool working order . also give type room promise , much arguing w / the staff , finally move . property surround barbed - wire fence . whole atmosphere outside area remind boot camp . finally , let reiterate blatantly rude staff ... try straighten & quot ; problem , & quot ; mom encounter several nasty staff member . 
 Feb 2 2005 	 Excelent Value 	 stay main building23rd-30thjan . our room ( 3rdfloor ) clean furniture new also well equip king size heavenly bed rm1334 . thing miss picture .The wife mention people instal 7 top quality picture next day . the furniture leather couch & amp ; 2 easy chair . the location perfect .Your room key fit elevator acess Monorail Station . ( find chance 's mention advertising ) .So use Mono 3days .my rental car park 30 ft cover main entrance week . it also balcony look I / Ps carpark ( view nohell ) say turn 5 StarProperty .They install 3 television wall large lobby last week . & amp ; 2 workman busy paint building . I bite leary read negative review pleasantly supprised . I ' m time share owner feel low price pay week get excelent value money . when tell Concierge not interested time share promotion . the literature Vegas become scarse . Checkin & amp ; 2 am & amp ; 6 am right room tax $ 4.14 / day come surprise $ 30.00 expect bill . rdmidd @ sympatico.ca 
 Jan 25 2005 	 good ok 	 stay Las Vegas Resort thru 2 property owner . always stay main building get big balcony . part always pretty happy . however , check room light bulbs , screen door lock break . , call someone within 10 minute take care . good part 's central location . would not purchase again . I buy timeshare Reno really want use Vegas property , since bankrupcy stick use reno property purchase split ownership . want really bad deal Reno bad . maintenance almost $ 100.00 year . try add $ 30.00 Maid Service .. believe . one big event year Hot August Nights Telling 's totally book however could get ' $ 30.00 night 's Holiday . holiday ? opinion see anything Celebrity Resorts ... keep go way . 
 Jan 17 2005 	 bad ! 	 read mixed review , little worried making reservation , room decent price New Years , , not regret ! place undergo renovation , experience go completely depend get one renovate room . main lobby build quite nice , actually . however , room locate separate building - 2 - story apartment - type building spread two block . parking area back building look sort shady , street side not bad . choose park street 's locate right near Strip , be still plenty traffic around . we one - bedroom suite four we . 's plenty room , bed decently comfortable , although sofa bed . kitchen equip will need - glass , utensil , pot pan . the unit clean , furniture pretty new , two tv - one living bedroom . cable go second day never come back . call front desk , say cable company problem . unit dvd player , nice . pool center courtyard building empty , fine since winter . rain collect , look sort gross depressing . overall , clean enough , convenient Strip ( walk Imperial Palace ) , could not beat price , especially New Year 's Eve . be glamorous , be luxurious , 's resort . make sure request renovate room book check - in . staff seem pretty accommodating , efficient . 
 Jan 12 2005 	 experience fine 	 return stay Summer Bay Resort pleasantly suprise . ask last minute help company booth Consumer Electronics Expo ( CES ) company travel coordinator book , Vegas sell . read review nervous staying . check - in ask one nice room ( remodel resort ) room nice . room 280 close office . staff friendly receive fresh towel daily . room smell little , like smoking room non - smoking room . not bad though . 
 Jan 8 2005 	 recommend ! bad- listen review ! 	 start with- place ever travel write owner exchange company ! ! trip bad ! travel 12/26/04 - 1/2/05 horrible experience . read several review ( recommend RCI.com- exchange company ) disappoint , elsewhere Vegas week taken- opportunity trade someone else , take . mean figure sell unit $ 20,000- nice- maybe Four Seasons , least nice.1 ) first room # 431 2 bedroom , 2 bath ( Fountains ) smell badly , sheet bedspread stain ! hole ceiling patch , water leak around pretty orange . ceremic tile kitchen loose several piece miss . furniture old worn table chair well . a / c window unit old rusty ! bathroom mildew shower curtain , tub caulk miss mold take place floor not clean behind toilet sink tub toilet ever ! imagine- ask move ! ! 2 ) second room huge hole ceiling , call front desk & amp ; say would fix afternoon . left come back 6 hour later & amp ; find entire entranceway ( inside ! ! ) flood hole still ceiling ( room # 255 ) . message phone tell we come front office , go change room again.3 ) third room show timeshare presentation- smell musty bathroom disgraceful ! tub chip rusty . faucet loose mold base . floor also need clean around toilet , next sink tub toilet . caulk partially miss tub- replace green / black line . 4 ) window lock ! ! request 3 time deliver set lock ! street poorly light nice area- anyone walk street could slide window open climb right ! bad yet- staff not even care , tell we window not lock , even flinch tell ! 5 ) see member staff ( housekeeping ) enter rooms- catch unexpected b / c unit owner see ask enter room walk off- come walk room afternoon see we sit there- look shocked- ask , & quot ; help ? & quot ; reply , & quot ; not know anyone ! & quot ; walk front desk inform situation . say , & quot ; housekeeping , one enter room . & quot ; nice- feel really safe ! 6 ) room never cleaned- find member housekeeping staff fresh towel b / c 5 call desk , still never deliver ! read lot review BELIEVE ! not sad give resort Westgate place ! bring parent we Christmas present- embarresse ! never stay timeshare & amp ; want pamper they - it not happen ! traveler beware ! ! ! 
 Nov 22 2004 	 Pleased 	 stay Summer Bay Resort 11 - 19/11 - 21 . would not reccomend hotel family . would say adult look clean room homebase Vegas . 7 we request 2 two - bedroom suite building , happily accommodate . means & quot ; resort & quot ; not even know name . pleased room . large , clean well- stock . three room 27 & quot ; tv appliance new great working order . builiding monorail - noisy , night drinking - really not notice morning . prepare - surrounding pretty , never felt threaten unsafe . did- close drape , turn light rock ' n ' roll . suggestion - call Summer Bay directly reserve room . make sure get room one renovate building . remember - pay 76 buck NIGHT . can not put expectation 4 star hotel price . 
 Nov 19 2004 	 wonderful vacation 	 vacation Las Vegas last September 24 , 2004 . husband hesitant stay Summerbay Resort negative comment read internet . surprise , really good time stay resort one week . near strip accessible hotel restaurant want see . receptionist accommodate need . although part resort still renovation ( visit ) , room give we nice , complete clean . also provide free shuttle go Luxor , Circus Circus hotel . really wonderful vacation glad stay Summerbay Resort . 
 Nov 9 2004 	 horrible Nightmare ..... 	 trade week beautiful Sedona friend could experience Las Vegas .... check first , horrible resort call Summer Bay . first several night awful .... sumo wrestler .... front desk call & quot ; transient & quot ; , pay far less market price room . my friend transfer second room , laughably call & quot ; suite & quot ; , four gal share . one TOWEL room describe less low - income ho9using unit New York single - room occupancy housing unit . horrible smell .... horrible service ... horrible experience . stay away place ... writer , us travel writer , believe , fun experience ! 
