amazing 	 stay hotel head Paris Eurostar honeymoon ! will honest - bit budget cheap 4 * hotel could find within walking distance St Pancras - expect much . staff friendly check , hotel clean well present . bed HUGE comfortable indeed , really amazing thing view ! ! ! 14th floor direct view London Eye . way hotel organise mean pretty much room brilliant view London , book special room upgrade . excellent value money - wonderful start wonderful holiday ! 
 Jan 16 2007 	 mixed review 	 make hotel bearable fact pay $ 90 US priceline , would worth otherwise . have book upper room face british library , arrive , non - smoking room stank smoke , available room small one back stain curtain worn carpet . front desk staff impatient unhelpful . housekeeping staff over - the - top friendly , fix non - working hairdryer right away , clean everything well . bathroom shower modern clean , great water pressure . bed moderately comfortable , bit hard . room service food quite bad . great location underground ( esp . Euston Station ) , also near national car rental Pentonville Road ( book thru priceline / autoeurope good price ) . beware king Cross / St . pancra station night . come via tube Heathrow uncomfortable neighborhood . take taxi four block hotel everything fine . overall , least favorite hotel England trip , passable $ 90 night ! 
 Jan 15 2007 	 Thumbs Novotel ! 	 arrive Euston make way hotel midday . although room not ready early check , problem leave bag concierge . check quick , member staff friendly . arrive back see performance ' Les Mis ' find room 5th floor , back . unusually , not possible see road room could see building . however , mean traffic noise keep minimum , wake Sunday morning , although window close , could hear birdsong ! room well - equip trouser press , hairdryer , digital safe , iron ironing board , tea / coffee thing keep cupboard tv little odd , carry tray bedside desk order plug kettle . small quantity tea , milk sugar , ask , within five minute member staff arrive envelope full replacement ! bathroom quite well equip , interesting glass washbasin , mean could see foot . shower good powerful . other mention , bathroom frosted glass door , may problem unless either couple , naturist ! side breakfast wait 15 minute table , hotel busy four group . breakfast good ( recommend sausage ! ) .unfortunately panoramic lift spend duration stay stuck 8th floor not get travel admire view . peek door gym though , floor , realise wonderful view St Pancras station . the hotel couple minute walk Euston Kings Cross station - although weekend Piccadilly line train not stop king Cross northern line shut Euston ! therefore pleasant 10 minute walk Russell Square station - though member staff Novotel ( Eastern Europe ) tell we might take we 20 30 minute . all , excellent time probably good stay either us London hotel . 
 Jan 11 2007 	 London Euston Novotel - clean modern comfortable . 	 stay three night business : -- clean -- Modern -- comfortable ( comfortable bed ) -- good food ( breakfast room service ) -- good staffvery convenient three London 's major station ( Euston / St. Pancreas king Cross ) underground . I usually stay Grafton ( road Tottenham Court Road ) , stay Novotel . 
 Jan 6 2007 	 happy overall ... 	 Booked hotel website 26 - 30 December . cheap first 2 night work average 89 pound per night include breakfast . 5 minute walk Euston train / tube station get anywhere Central London easily . check quick frontdesk helpful . room bathroom good size clean . mattress soft comfortable . request extra pillow bring we quickly . problem a / c shower . first floor face main road barely noise . fault find fridge really tiny cold all . the breakfast good usual selection really enjoy . staff mostly friendly efficient . order room service one night , food ok , recommend . 2 computer internet connection lobby . charge quite expensive , pay one pound 10 minute . think cheap easy Internet . concierge help we book taxi Heathrow , do without hitch . check also quick . overall , happy hotel think match price . probably return . 
 Jan 5 2007 	 lovely stay 	 actually stay Jan. 1 - Jan. 3 , 2007 , 2007 option not available yet . also stay almost exactly year ago , end get via Priceline . room quite nice -- clean , great water pressure shower , comfortable bed . staff extremely helpful request ( check establishment open , ask extra pillow , thing like ) . also offer unique amenity room not last year , connector iPod want play music tv speaker . tv flat panel , . something last year still find useful -- area mirror sink will not fog shower . step , still see . handy ! location great -- couple block St. Pancras / King 's Cross Tube station ( Circle , Hammersmith , Piccadilly , Victoria , northern line ... maybe one ) right next British Library , house copy Magna Charta . while would not consider romance central , provide , pleasant stay we . 
 Jan 3 2007 	 perfect family trip 	 stay 2 night package include breakfast dec 27 - 29 great great stay . book 4 superior room - 2 adult 1 child room .. arrive well check - in time & amp ; give 1 room put stuff could head see london - room little different size layout perfect - modern - clean - well design tasteful -my room corner view british library Euston road kid love watch bus 's & amp ; taxis go ....... hotel good location want take taxi tube - little far walk covent garden ... breakfast great -buffet style - traditional english , pastry , meat , cerial , fruit everything . get 9 - get busy understand - good ... waiter bring coffee pot hot chocolate kid eat ... will not need anything else 4 pm oh forget glass elevator view 16th floor - great .. wish room view .. maybe next trip .. back 
 Dec 29 2006 	 Excellent 	 need London.big room , top floor 2 tv 's ! good location , near tube train.good staff . breakfast nice.price not expensive buying advance despite august.totally recommend 
 Dec 4 2006 	 Pleasant surprise 	 stay 5 night Novotel Euston pleasantly surprise hotel . good location Euston St Pancras / king cross train station attentive staff deal every request pleasant friendly manner ( know give hotel , really become less less ! ) . reasonable sized room well keep housekeeping staff small well equip gym make stay nice . breakfast resturant can not comment food - London oyster spoil choice ! possibly good value money , get cheap rate hotel offer go , will not regret ! 
 Nov 25 2006 	 Excellent ! ! 	 recommend 110 % anyone stay London , particularly tourist . . location excellent , easy 2 min walk king Cross , five min Euston . starbuck grocery store opposite , pub street opposite , easy walk British Museum nice studenty area . lovely view London Eye , City Canary Wharf distance room .. bit pricey worth , especially get cheap room . 
 Nov 24 2006 	 great hotel shame food 	 stay Novotel three day business stay . unfortunately strict & amp ; policy involve alcohol ( drink we ) annoyingly , prepay food hotel . as hotel trump 4 * food unnecessarily frilly . would not eat menu , food poor - steak bad send back - ' ve never do ever . buffet food well , astonishingly so . there however lovely pub opposite . go , be nice friendly cheap London . will save packet ! room lovely , modern clean . problem staff helpful considerate . would stay certainly would not eat choice . 
 Nov 13 2006 	 Excellent ! 	 spend night Novotel London Euston Nov 11th . Booked Hotel base previous review 's proximity King 's Cross station Wife arrive . literally five minute walk away Euston . impressed hotel . clean , modern , service quick efficient 's room high standard . would advise anybody book room Accor Hotel become member Loyalty Scheme . receive free upgrade Executive Room basis . all , great hotel great price £ 89 inc Tax certainly stay ! ! 
 Oct 14 2006 	 happy 	 Negative : * noise . first floor could hear traffic busy Euston Road . first night terrible , realise shut window correctly . tricky window , make sure properly close . be close mildly hear traffic terrible stop sleep . thing bus little loud . * staff front desk use car service ask cab . fare seem quite expensive . complain say front desk always use car service unless someone specifically ask normal cab . positive : * location . absolutely fantastic location , right king Cross Euston tube stop . could get anywhere London minute . plenty restaurant shop within easy walk distance , include great pizza place starbuck right across road . Burger King McDonalds also within 5min walk . * room comfortable . modern , well decorate - absolutely complaint area . bathroom glass door kind see . might problem , depend travel companion . * staff interact friendly professional . overall : happy Novotel Euston , would hesitate stay . would try get high floor next time , figure shut window , noise major problem . 
 Oct 11 2006 	 Good 	 Hotel price high London . but good value money . 
 oct 9 2006 	 Modern Chain Hotel Trick 	 location : right in - between Euston King 's Cross / St . pancra station . 3 - 4 minute walk either . 's hour ride Picadilly line to / from Heathrow . bus line stop foot entrance hotel well . , lot restaurant ( though award - win ) nearby , include Pizza Express , McDonald 's , pub , convenience store , etc . ROOMS : Modern would expect 4 - star international chain hotel . flat screen tv wide range channel , modern bathroom shower , work air conditioning , comfortable bed . pretty clean , though see loose hair bathroom . STAFF : efficient , helpful , friendly . check room less 4 minute ! INTERNET : consistent international chain , internet 's available free . NOISE : problem . not hear street noise noise guest floor . 
 Oct 1 2006 	 Modern Designed Hotel 	 really modern hotel Euston Road Kings Cross Euston . got really good price priceline . bedroom modern , large comfortable bed , flat screen tv also glass sink bathroom . not eat restaurant , look pricey . excellent check . would definitely stay 
 Sep 28 2006 	 Great Value Great Hotel 	 spend hour pore review plan 10 - day trip England . stay Novotel , Euston one night sort stopover Dorset head Northern England . come back London five day later trip stay different hotel , regret book entire London stay . hotel clean , modern , quiet , comfortable , find area immediate vicinity hotel little interest , excellent , central spot explore London 's surround area tube train . also happen picture postcard view British Library window . staff super friendly helpful hotel generally sophisticated unstuffy vibe . 
 Sep 26 2006 	 Excellent location 	 stay overnight two separate occasion business meeting . excellent location Kings Cross & amp ; Euston station , several bus route . room clean , comfortable reasonable facility , include tea / coffee & amp ; kettle . staff professional personable . hotel face busy Euston Road , sound - proof excellent . as lone female , feel completely comfortable secure . the price give location quality room good . prefer hotel bit character , would happily stay business . 
 Sep 26 2006 	 stay love . 	 arrive London Spain , tired sleep well previous 8 day ( Spain 's hotel bed uncomfortable one night sleep floor ) . go room , ( 2 young man ) decide would meet lobby 1 hour dinner . room , shower lie bed minute rest go meet friend . pleasantly surprise comfortable bed room . could even change room temperature fan setting personal comfort zone . comfortable ; decide stay night think call friend….when phone rang . friend also love room decide stay night well . wonderful room , clean . hotel food good , outstanding . could enlarge food selection - eat meat . breakfast 14 pound ( $ 26 ) , little pricey typical english breakfast . bar service slow first ( barman busy flirt couple pretty young lady – could blame ) . however , slow start , keep order come . go back next 6 day stay , never problem service . definitely would recommend hotel….in fact , . California Kid . 
 Sep 25 2006 	 not want leave 	 clean , fresh , pleasant every way , great view , good breakfast , good air - conditioning , comfortable 
 Sep 25 2006 	 No - Novotel 	 book single room Novotel , Euston Rd , London , Saturday night ( 23/9/06 ) . prepay advance via credit card , accept book condition specify booking could circumstance cancel . thus regard firm contract hotel . apparently Novotel feel oblige respect contract ! phone hotel 6 p.m. evening , tell subsequent booking group , intend re - house Novotel near Tower Bridge ( side London ) . since primary reason book hotel near party attend near Euston night , find excuse lame entirely unsatisfactory . make lot fuss , Novotel eventually find hotel fairly near & amp ; pay & amp ; also taxi event . cost room less pay advance Novotel . cause great deal anxiety & amp ; also inconvenience -- especially since phone call come 10 minute due leave get train London . I regard breach contract . hotel feel cancel single woman traveller notice completely unacceptable . although intend try hotel consider whether would use regular basis , never willingly use Novotel . thus would warn single traveller -- especially woman disability -- rely booking make hotel . 
 Sep 15 2006 	 great hotel great location - would stay 	 Stayed Novotel Euston London long weekend September 2006.the hotel ist easy reach via tube straight - through connection tube Heathrow airport . all tourist attraction easy reach aswell . the room clean & amp ; well equip ; even modern London standard .. nothing complain . the fron - desk helpful ! ! ! ! would definitely stay ecspecially good Priceline rate : - ) ) 
 Aug 24 2006 	 great hotel staff location ! 	 stay Novotel 2nd 6th August , 2006.We arrive check - in time wrong reservation . that ' problem big - smile lady front desk : find solution second get Superior Room 1 Queensize Bed Sofa instead standard double room travel agency erroneously book . extra charge . ( lucky another hotel , Paris : take 2 separate room , course , pay ! ) pay check Bancotel ticket , € 110 per day plus taxis . fuss here . the view ' well : St. Pancras - King ' Cross Station . two child Harry Potter fan , plus . location great arrive Edinburgh midnight . the room HUGE . modern , clean well light . complaint : glass shower screen glass bathroom door describe previous review . may need : usual thing like Coffee / tea maker ( delicious scottish cookie ) . other , like trouser press , shoe polish kit , desk tool ( stapler , scissor , rubber , pen … . ) .We ' enjoy stay Novotel ! 
 Aug 2 2006 	 Divine Beds lovely room highly recommend ! 	 stay one night go see Evita West end , cost £ 99 room , breakfast would £ 30 extra two not bother . hotel staff friendly , room available early check 12 absolutely lovely , bed divine huge soft extremely comfortable . room bathroom immaculate everything need available , iron , iron board etc also safe need . get good deal hotel check website pay upon booking . would definitely use hotel , 7mins walking distance Euston Station ideally place night weekend London . 
 Jul 9 2006 	 Adequate 	 plus point : - comfortable bed - big plus , thoughtfully design room ( except fact keep vacate desk chair let partner back forth ) .- function Orange wi - fi- handy location- okay value London- pleasant , helpful front - of - house staffminus point : - terribly uncomfortable , wear - out chair bar foyer- parking- Mediocre food restaurant ( Novotel West across town serve vastly well food serve much competent staff ) - absolutely pathetic cocktail experience : ask Old Fashioned , basic , classic , easy drink make ( sugar syrup , angustura , ice , Jack Daniels , slice orange , cherry ... 's ) , would never hear , refuse make instruction not list . ( can not call cocktail barman can not produce Old Fashioned . 's rule . ) advice : worth stay need area avoid catering : try superb Eagle gastro pub road 159 Farringdon Road EC1R instead . like Novotel experience ( be much like ) try Novotel West onsite parking , much well restauration . 
 Jun 7 2006 	 good hotel price 	 stay 3 night Novotel Euston London June 2006 . book room directly novotel good price ( ? 99 incl tax breakfast 2 ) . good price garantie really good price get via webpage . I book superior double room king ed sofa , price & quot ; normal & quot ; superior without sofa . get without sofa , & quot ; normal & quot ; one , space sofa . quite bige , complain . however complain tv 3 time . 5 channel ( music channel ) , quality picture poor , minute turn . nothing change tv 3 day . beside problem , room nice , big ( accord hotel London ) clean . breakfast full breakfast good selection . staff friendly helpfull . the hotel locate King 's Cross Euston Station tube station , 3 minute walk bus stop front hotel . easy reach city tourist attraction . the hotel 3 lift , one middle panorama lift glass wall . hotel 16 floor , good view lift . I recommend hotel everyone go stay night London . good international hotel fairly good price . ready pay twice , find well place stay , price good choice . Attila 
 Jun 6 2006 	 modern functional 	 Novotel London Euston pit stop one night whilst see show West end . priceline property initially bit disappoint due 's location , reflection GBP 57 include taxis four stop West End Northern Line really could not beat . check enquire upgrade tell GBP 30 would receive king size bed , free newspaper two free drink . say include two free breakfast would sale , agree ! total GBP 87 stay 16th floor face north ( quiet ! ) lovely large room nice contemporary bathroom . Breakfast morning relax affair one good buffet selection see London hotel . public area modern point little cold impersonal , compare old style hotel dust dirt seem part experience welcome change ! little tip ; take middle lift 16th floor , glass wall view city London rise surround builidng sight see ! highly recommend 
 Jun 4 2006 	 comfortable stay 	 short stay 2 night . 2 room ready arrive 10:30 . room locate back side hotel quiet . room twin bed minimal walking space , nice closet . room queen bed space , accommodate table chair . room bathroom clean . bed give we great night sleep . staff quick grant request extra pillow . hair dryer locate closet , near safe , reach wall mirror outside bathroom . tea tray replace daily . hall quiet clean . large hotel , never long wait elevator . center elevator glass exterior building give wonderful view area . ice machine work floor . staff offer send ice bar , need ice . staff professional helpful . find hotel close tube ... Euston Station . abundant place eat station side street station hotel , eat hotel . British Library locate across side street . fact priceline guest never mention . elect give credit card number hotel , problem . check quick professional . we satisfy stay would . 
 Jun 4 2006 	 new generation Novotel 	 do ! novotel experience seem get well Euston property shine example . receive warm greeting moment walk door check fuss free . ' m travel elderly father come different destination therefore could arrive today . staff know assure look ensure reach room . . flight attendant international carrier spend 120 + night per year hotel room . room fresh , bright design functionality mind . great work space perfect lighting ( finally hotel get right ) . room spacious safe , mini bar , iron , trouser press , well appoint bathroom - clean perfection ! quite critical & quot ; tripadvisor & quot ; however occasion hard press find anything fall short property . would say 's hotel would stay business although leisure traveller may also take advantage accessibility rail service . give guy 10 10 - 's great experience ! 
 May 21 2006 	 Great Hotel ! ! 	 want stay near Euston station , pick great last minute deal book direct Novotel . hotel fantastic -- clean modern , superb room . upgrade ' executive room ' guess be biased . furniture decor sleek moden ... ' m sure would similar regular room . we not eat hotel , food seem rather pricey . plenty restaurant , coffee bar , etc area , need eat hotel anyway . the location bit ' out way ' average London visitor ... 's perfect Euston Kings Cross train connection . we will definitely stay need hotel area . 
 may 16 2006 	 Convenient 	 well maintain hotel nice restaurant , side cocktail lounge gym . room clean convenience setting wake call tv.extremely convenient transport - roughly equidistant main railway station Euston King 's Cross & amp ; St. Pancreas . add selection Tube station ( Euston , Euston Square , King 's Cross ) bus stop nearby . icing cake British Library right outside front door . recommend single traveller , couple , business traveller , general tourist . 
 May 5 2006 	 good ! 	 excellent ! nice staff superb breakfast . stay top floor , great view . we always take tube Charing Cross , not know much neighbourhood . 
 Apr 21 2006 	 really great business hotel 	 business traveller , great hotel nice restaurant . stay quite often , room generally large comfortable . also gym hotel . 
 Apr 18 2006 	 average way ! 	 stay night April . choose hotel offer pretty good value money ( £ 70 per night ) . hotel fairly nice , typical Novotel property . arrival , ask want upgrade room Executive room £ 30 ( include 2 drink voucher bar free morning newspaper ) . decline standard room suit we fine one night stay . room fairly small , impersonal facility clean . bathroom tiny door open inward make move around bathroom difficult . fault room time nothing spectacular either . go hotel . Everything & quot ; average & quot ; . say , average bad thing ; will deliver basic well ( clean room standard comfort ) will not get surprise either . make stay memorable differentiate other ( especially London competition tough ) , would suggest Novotel would offer room upgrade free charge without extra on - top . think would great retention tool customer little extra cost hotel . hotel not seem busy guess way make extra pound . would stay , however , could easily pick Hilton Marriott ( earn airmile ! ) . 
 Apr 14 2006 	 Excellent hotel ! 	 great time Novotel , Euston . the reception staff wast friendly professional , make check - in check easy pleasant . room spcacious clean : ) concierge department absolutely excellent , make stay London much enjoyable . , stay hotel great would definately return . 
 Apr 10 2006 	 great hotel 	 great hotel , book novotel web site get good deal . the hotel well locate , excellent staff nice friendly feel it . dinner night first class £ 17 3 course London good food excellent . breakfast good , overall first class hotel fault stay .... 
 Apr 5 2006 	 super Novotel 	 Amazing Novotel ! beautifully docorate , well appoint hotel . 's central location work facility wonderful . would definitely stay ! 
 Feb 27 2006 	 complaint 	 stay one night weekend pleasantly surprised . book via Novotel ' web site low restricted rate , good deal . upgrade 15th " executive " level , nice surprise . find get room , mention check , seem waste opportunity make transaction little different instead operational necessity . mention would show appreciation gratitude clerk . room nice . nicely decorate although familiar hotel chain think " fashionably " minimalist " " functional " depend way look ! ' look particularly cheap tell cost option ( could say people want stay complaint ) . clean hotel throughout . stay much nice hotel cost lot one would expect . nice bathroom , bit small although adequate , nice big bathtub look fairly new . bed comfortable , large new mattress good quality ( tell cut area ) honest reason alone glad stay one night . would stay get rate long one night . tourist aaware busy area although top floor much traffic due weekend , noise still audible , low would cause problem . major building work area due extensive modernisation King ' cross station ( 10 min walk ) road surround station include one 's directly outside hotel . 
 Feb 15 2006 	 FAB NOVOTEL ............... LOVED ! ! 	 stay Novotel Euston weekend . little concerned hear hotel busy area main Euston Road . fade short walk Euston tube . yes busy bother . minute walk hotel 1 night stay make feel welcome . although check 2 pm room ready us arrival 10.30am . room v. clean comfortable little noise elsewhere . ticket football Arsenal show ticket west end evening . travel tube Euston great area easy get . pay breakfast Sunday morning , buffet style fab , great choice much want . overall find service , facilite location Novotel ideal already book weekend stay April . 
 Feb 14 2006 	 Sludge Tour MkII 	 yes , time . time last year write review hotel interesting go back see improvement . from remember last year 's review mention poor breakfast fact bundle away basement coach tour . food ( ) bland cold pleased report 2006 noticeable improvement ... food , wonderful hot fact proper Mirrors Restaurant rather basement . well chuffed ! reason Americans seem think room particular hotel small ... well ... english hotel rate . opinion lot room move around bed well Luxor Las Vegas fabulous , firm pillow . good . proper quilt rather blanket well . spotless whole hotel fact . plenty storage space hunt tea / coffee make facility hide pull - out shelf top drawer television ! take find hairdryer , stick onto inside main wardrobe . not use though room warm . thermostat control temperature seem hot whatever . end switch ! bathroom adequate size . bath deep take care get , although rail help regard . bath self - clean want one 's brilliant ! ! room not much space toiletry bear mind take lot smellie ! mini - bar room service use neither although fiancee say diet coke list cheap bar . strange ! imagine people would go something eat rather eat hotel , although tell £ 16 3 - course meal . notice rosette award AA , nice ! insist snack make sure buy 11 pm price shoot big - time ( £ 25 fact couple drink sandwich ) ! ! ! ! Sludge insist buy 11 pm rather inebriated time .. maybe staff take advantage , not know ! please buy anything shop run ethnic chap road . short - change fiancee big - time buy something desperate . plenty shop nearby Euston station ( king cross nearby well ) suggest go there . we use tube get Leyton Orient v Carlisle Utd game . think £ 3.50 return not bad ... Carlisle draw , great result usually lose Sludge Tours ! word warn drink bitter , really bad London . make hardened drinker party quite ill please drink small amount ( yeh , right ) ! lager drinker german lager hard find , unfortunately find Holsten Export pub road opposite rather main road . speak main road ... yes busy centre London , major city England think road noise expect . certainly not bother I . all wonderful stay weekend Valentine 's Day . go back 3rd year row ? probably ! : - ) 
 Jan 18 2006 	 Nice Novotel ! 	 stay one night Novotel London Euston one week ago . book room via Priceline get terrific rate ( around 80 $ inc . taxis ) .at price , be terrific value . this Novotel new generation Novotel say Novotel average . my room corner third floor : large modern , great design light , queen bed , big sofa , desk internet connection , plug adaptator , two window give two direction view , nice bathroom . love room ! staff ( desk concierge ) pretty friendly helpful . not try restaurant breakfast . about location , really convenient go use rail station like Euston , King 's Cross St Pancras . central want visit London . course , take Underground easily Euston , King 's Cross . october , stay Radisson Vanderbilt , suppose 4 - star hotel like Novotel . novotel thousand foot Radisson . 
 Dec 31 2005 	 Great Location ! 	 spend 2 night Novotel not disappoint ! read many awful review various London hotel prepare pay little confident Novotel would good choice . impressed helpful attitude staff grateful allow we check - in early ( arrive 09.30 ! ) room clean well - equip , also get high floor room request ( view great get high floor ) . slight complaint soft bed . great back trouble ! ... breakfast good ( include rate pay ) offer varied choice . hotel location excellent ! 5 minute walk Euston station rail , bus underground connection . would definitely recommend hotel ! 
 Dec 12 2005 	 great value price 	 return home great weekend spend London Novotel Euston . really great location train arrival north . 5 minute walk either king Cross Euston mainline underground station . the room comfortable , large modern hotel , well design good quality fitting . large bathroom separate walk - in shower . ( towel rather small ! ) room 15th floor great view north . quite - traffic noise sound adjacent room hallway . one good breakfast buffet four star hotel - great strong coffee ! friendly staff could helpful . only downside - cost wi - fi connection . EUR10 24 hour seem high . ( maybe seem expensive return Sweden every hotel stayed offer free wi - fi ! ) good hotel certainly return next time London . walk time - Oxford Circus / Regent St 30 minute , Trafalgar Square - 40 min . 
 Oct 13 2005 	 LOVED place ! 	 arrive Novotel late . change flight wonderful staff not mind hold room accomidate arrive 12:30 . absolutely love place pray stay . room modern , clean nice . beautiful bathroom . great location though , street could noisy . terrific english fry restaurant one morning drink bar one evening . hotel close king cross station 's lot nearby . British Library across street . get free paper every morning ice machine floor . hotel amazing . really can not stay enough . stay hotel part Cosmos trip Europe . question hotel Cosmos Vacations , please email let know . email SaraM1976 @ aol.com thank ! 
 Sep 27 2005 	 Excellent Service 	 wife really enjoy stay novotel euston , stay 4 night , room clean comfortable really impressed staff especially concierge polite helpful.we look forward next visit . 
 Sep 21 2005 	 well - price central hotel 	 stay last weekend rate £ 114.15 per night include breakfast . quite reasonable London breakfast excellent ( although probably worth £ 15 head staying room ) . room bit small , twin room ninth floor , surprised have stay business think room big . obviously ! however room back hotel not notice problem noise people say . reason think book hotel swimming pool . not exercise suite sauna / steam room spacious well - equip . staff friendly helpful , not problem stay . overall well worth money . 
 Sep 17 2005 	 good indeed 	 stay 7 night hotel . Seemed orient towards business traveller , although wife holiday . fit , worry all . the hotel block half fom king Cross St Pancras railway / tube station . convenent . Euston tube station bus interchange also couple block direction . the service hotel good ( complaint ) room clean well present . find bar meal good value meal restaurant , ' Mirrors ' , overprice opinion . decent restaurant nearby , along eat option king Cross St Pancras Station . thumb . 
 Aug 20 2005 	 nice place bring earplug 	 stay 5 night 2 room Novotel Euston family vacation . take double triple , book online 99 GBP per room per night include breakfast . consider London hotel price summer , be pretty good deal . room reasonably spacious nicely appoint . issue check - in : 1 : a / c triple ( queen sleeper sofa ) not work . staff 's response issue polite helpful , ask fiddle thermostat . complaint , someone tell a / c room not work would not fix , move another room , great view 14th floor . 2 : sleeper sofa 14th floor room break , one complaint fix ( replace ? ) promptly . my chief complaint , however , noise . Euston road busy day night , even window close , still sound like be open . several night , could even hear ( loud ) conversation street 14th floor , 2 morning . 's lot siren , . need double - pan window ... something . bring earplug want good night 's sleep . glass bathroom odd , terribly functional . reviewer note , carefully close and/or position shower door panel avoid flood , probably bathroom floor drain . 's plenty water pressure , shower feel great . the staff generally friendly , although sometimes command English not good ( many foreign - bear , seem ) . english breakfast buffet full - on , lot choice tasty . one caveat be US : checkout , without ask , & quot ; favor & quot ; , run transaction though credit card US Dollars , less - than favorable exchange rate ( 3 % ) . be smart , be use card charge 1 % , be well process transaction pound . unfortunately not notice have leave ( early ) . believe see sign , request process bill GBP , refuse sign . otherwise , be like , ' ve give hotel $ 50 tip . 
 Jul 3 2005 	 great room nice location 	 room good $ $ complimentary breakfast outstanding . right across British Library , go see Magna Carta amase document . tad far BIG attraction , tube station less block away . staff helpful .. major surprise London . 
 Jun 1 2005 	 Comfortable Convenient 	 regularly travel London business rarely spend much time hotel room . normally stay Caesar since price low definitely bargain London . past April spend little money stay Novotel Euston - great experience . staff friendly , eat dinner restaurant breakfast buffet every morning tasty . hotel clean , seem safe far City , short walk tube . room comfortable single bed , bathroom spacious clean . gym also pleasant view neighborhood sun deck ( whatever sun London ) . wall completely sound - proof could hear neighbor times overall good experience . wake - up call service need improvement ( miss 2 wake - up call ) suggest use alternative method like tv alarm . ' ve stay London definitely worth expedia price . 
 Mar 16 2005 	 great location 	 actually book thru priceline pay & lt ; $ 100 US night March 2005 . great deal . locate near king cross station allow subway access throughout London train access throughout England . otherwise , area fairly quiet retail limited site seing . staff wonderful pleasure deal . room clean spacious . first time London , make great time . long not mind heart action , great place . 
 Mar 15 2005 	 Good Value 	 large , modern hotel locate within minute King 's Cross Euston station - excellent base get anywhere quickly . area quite bad reputation , hotel locate ( ) busy Euston Road quite safe . stay Mar 12 - 14 excellent deal direct hotel 's website - £ 89 per night , great good hotel central London . staff friendly delighted informed arrival upgrade ' executive ' room . room fairly large , massive , comfortable bed , modern furniture etc . bathroom good size , glass sink ( uncracked ! ) bath / shower . Shower wonderfully powerful hardly want leave ! room tenth floor great view . corridor quiet ( even though hotel full ) . breakfast usual ( include rate - worth pay £ 15 extra ! ) . lobby area open bar pleasant , albeit continuation lobby bar proper . negative - mention , Euston Rd ( overlook ) busy , large volume traffic 24 hrs day lead quite bit noise . exasperate fact could not fully shut window ( defence , not inform staff ) ; stay , would ask room back . air conditioning joke , hot air spew matter low set temp ( turn , although heat still come ) ; room really uncomfortably hot time ( , not mention staff ) .Despite drawback , feel hotel well worth money pay ( London anyway ) , although would not keen pay rack rate ! 
 Mar 13 2005 	 Clean Modern Hotel Bad Night 's Sleep 	 stay hotel 11 - 12 March , pretty clean nice look hotel main lobby appearance . everything fantastic , include room . however , problems:1 . bed break staff not seem care - back pain next day2 . shower door not close properly splash water everywhere ! 3 . try charge breakfast not eat ! hotel 's attitude : let us see charge them anyway . but far hotel go , get good hotel room , definitely would 3 star hotel ( sorry , 4 star , would well charge something not eat ! ) .NB : keep mind past year ( probably next ) , construction around hotel King 's Cross Train Station renovation . be like past 5 year . 
 Mar 11 2005 	 good location nice modern clean room good view 	 hotel nice get deluxe room one upper floor - view London great . location hotel excellent business Bloomsbury wish visit various academic institution . bed comfortable room bright , importantly , clean . one exception light coloured carpet , show array stain ! another picky criticism awful quality tv reception ( little choice channel ) - four - star business hotel well ! ! usual , room service exorbitantly overprice Marks Spencer food store locate near Euston Station . price hotel room average nice 4 star hotel , however , not pay rack rate . 
 Feb 15 2005 	 Good Location 	 stay couple time December 2004 Jan 2005 . occasion pleasantly suprise quality room service . room clean newly decorate , bathroom also clean modern . overall good value hotel , great location KK Euston . 
 Jan 31 2005 	 Great Hotel ; OK Location 	 stay girlfriend December great stay . upside nice staff , big room ( london ) , nice furnishing , warm comfortable bed , decent rate , proximity tube . downside thing interest within walking distance , lack activity night , small bathroom . recommend afraid use public transportation get sight excitement 
 Jan 22 2005 	 terrific value money London 	 hotel locate Euston London St Pancras train station might obvious choice stay London . however , currently book standard room hotel 100 UK pound , give quality accommodation , terrific value money London . room clean , modern good lighting . bathroom , steam - free mirror nice touch . plus , hotel next Euston tube station easily get wherever need London . budget allow , would consider expensive executive room one reason : view London Executive Floor simply terrific . term facility , ( hotel standard ) good sized gym cardio resistance equipment . hotel staff efficient professional request deal promptly . thing think hotel lack broadband internet access , facility essential business traveller . overall , current rate , good hotel . could pay lot get much less elsewhere London . 
 Nov 11 2004 	 Great Hotel 	 stay hotel four night early September 2004 honeymoon must say really enjoy stay . get indifferent start arrive hotel inform overbooke do not room first night . consequently transfer Novotel Tower Bridge Hotel via London Black Taxi upgrade executive room breakfast . our room Euston awesome , executive floor great view London . modern decor , room classy comfortable . please note executive floor guest access executive lounge , operate week useless weekend stay . location excellent , 5 10 minute walk either king Cross St Pancras Euston train station . highly recommend hotel , however suggest reconfirm room day prior avoid dissapointment popular hotel . 
