great 	 rare thing - large hotel personal touch . register impose lobby , someone let slip birthday . two hour later , wine , chocolate card arrive room . can not buy sort pr . have arrive three hour ahead check - in time , accommodate without fuss ; 's underestimating value flexibility weary traveller . concierge travel / tour rep . equally helpful . hotel great location 42nd Street , many sight within comfortable walking distance . be go far afield NY state , Grand Central Terminal right . room large clean bed comfortable . bathroom surprisingly small ( even english guest ! ) , wife bemoan lack decently light magnifiable mirror contact lense , make - up etc . also , seem one place eat hotel around 1200 room . small quibble . overall , terrific . 
 Nice Thanksgiving New York 	 stay Grand Hyatt six night Thanksgiving week . overall nice hotel , minor glitch way diminish wonderful week New York . upon check - in , front desk agent inform upgrade & quot ; Lexington Suite & quot ; . nice big room overlook Lexington Ave . , Chrysler Building right next we . beautiful view room 1926 ! bed absolutely wonderful ; comfortable luxuriously soft . normally trouble fall asleep strange city ( especially New York horn honking 24/7 ) , problem bed . nice flat screen tv swivel could either turn face bedroom face tv area . great touch . nice feature in - room safe , iron ironing board . bathroom amenity also unique plentiful . follow minor problem notice stay : wall thin ( not hotel day ? ) . next door neighbor ( room 1925 ) bunch loud guy bang around yell hour day & amp ; night . make matter bad , smoke storm room . room non - smoking smell permeate hallway sometimes even come room . Nasty . plenty hot water take forever come [ hot ] faucet . let water run several minute come hot . guess travel long way . long day sightseeing walk , back hurt , decide take & quot ; sit bath & quot ; relieve ache muscle realize tub stopper not close . try try not work . use washcloth plug drain ( not work well ! ) . not bother report maintenance since not plan take bath . oh , wireless internet $ 9.95 24 hour . use connection fast & amp ; easy ( Mobile Hot Spot ) . not bother eat restaurant use room service hotel . comment quality see price stay away . nine dollar coffee ( one person ) ? thirty - Four dollar french Toast ? really , ridiculous , even New York . restaurant price , & quot ; jack - up & quot ; price room service . favor grab breakfast ( meal ) Grand Central Station . right next door will not even go outside access . take corridor low lobby level make right . take directly . be also starbuck corridor actually less expensive & quot ; coffee cart & quot ; lobby hotel . favorite place call & quot ; Hot Crusty & quot ; . able buy 2 large coffee , bottle OJ , bottle milk wonderful croissant total 8 dollar change . honestly , not know would ever pay extravagant hotel price . still shock ! be another money - save tip : come airport , go online book Super Shuttle . yes , share van make several stop , lot less expensive ( easy ) taxi . ride La Guardia $ 13.00 plus tip ( 16.49 ) . also use go back airport . save buck book round trip . overall great hotel , little bit away major noise crowd Times Square . would return , especially know get around pricey add - ons . 
 nice hotel 	 location hotel great look upper midtown new york city , also easily connect elsewhere via grand central station . cheap hotel stay grand building . staff credit hotel really helpful , polite friendly . room adequate size quiet good view side . I would however agree reveiw say business focus . conference business guest seem get slightly preferential treatment whilst house . 
 fantastic location 	 proximity Grand Central Station Newark airport shuttle stop make hotel convenient location . front desk busy , help quickly check early not issue . initially put extremely small room , notice much large room , call request change , deny . speak different front desk agent person , give slightly spacious room . furnishing average public area seem clean well - maintain . overall excellent business choice NYC . 
 Oct 19 2008 	 worth - shameful 	 hotel far Grand . hotel room average . location great , think many other great location value . pay $ 400 night , want charge we $ 20 use corkscrew , claim corkage fee . travel world hear charge . tell we could always go across street drugstore buy one . shameful . 
 Oct 18 2008 	 First Impression Hyatt -- Disappointed 	 need hotel room last minute kind excited Priceline give Hyatt Grand $ 210 . luckily , stay one night . the hotel great location , hotel great location , would not use & quot ; location & quot ; reason stay . reason , not get much value money . the room clean , sterile feeling . bathroom tiny little counterspace tv kind outdate . service friendly , robotic & quot ; job job nice , punk & quot ; kind way honestly , get creepy vibe place . would not stay . 
 Oct 16 2008 	 Location yes service -- stay somewhere else 	 wish could give hotel great review 's excellent spot really beautiful place . ' ve work hotel industry , however , know price point , distinguish another hotel service . Grand Hyatt 's service dreadful , return it . we attempt check early , have indicate reservation , tell nothing would available 4 p.m. , onus we call check something would open . annoying , ok , huge deal -- though tired red - eye flight , guarantee get room early . ask snotty front desk clerk hospitality room sort place change clothe maybe even brush tooth . tell we nothing -- get -- point lobby bathroom . I ' m sorry , $ 250 + per night , ' m expect slightly point bathroom . thankfully , nice lobby agent walk we try talk we make front desk clerk 's snarky service . change cramp stall go lobby rest moment hunt breakfast . sit place foot top large ottoman , 10 second pass security guard came demand remove foot -- OTTOMAN . exactly rest foot ? case , explain would come red - eye , try rest moment head ... yeah , nothing another admonishment . last straw . not room , fine -- not make whole thing bad rude every turn . the room recently remodel , 's good , be spacious NYC standard . bathroom absolutely tiny , clean . elevator service fairly rapid , though malfunction one send we floor next one three time finally take we lobby one day . again , be bad , nearly star level price point . will spend , spend somewhere else . 
 Oct 13 2008 	 would expect 	 stay Hyatt NY weekend whilst US business , partially due get Hyatt point someone else ' money , also know get certain standard . Hotels Manhattan always far expensive elsewhere , room tend far small added kick tooth . although pay , rate little far less salubrious place around mid - town , do cheap Manhattan know not great idea go budget . on arrival , despite ( probabaly ) disrupt flight pretty large queue , huge number automate check machine no - one seem use - walk straight , check get key , go . entirely sure people not use confirmation code book directly credit card could not easy . good way avoid queue , although be never go get free upgrade change choice room spot even machine . I will not go lobby area ostentatious water feature mind extremely tacky , care ? room , despite towards bottom range , incredibly spacious ny room - downside pretty tiny bathroom , still stock good toiletry . I can not comment room service , NY free weekend , not eat . must say staff , check be stay try get around 12 am , perfectly courteous despite roll back sorry state sometime around dawn . the location obviously good midtown - top Grand Central entail - someone end downtown perfect , however hotel downtown tend either exceptionally expense boutique rough , least taxi always know Grand Central be . the rate fluctuate quite lot , never go cheap place town , standard one rely , Hilton , Marriott mid high level hotel . big hotel not expect kind personal service get boutique , everyone seem want give good time apple . 
 Oct 13 2008 	 heart city ... 	 daughter go New York overnighter see little Mermaid Broadway . ' m Hyatt Platinum Passport member , able get room Hyatt Grand Central use point . consider expensive room New York , thrilled get room & quot ; free . & quot ; request two double bed ; , check early , end get & quot ; smoking & quot ; room . not think would issue , be smoker , smell overwhelming . turn a / c open window , never really dissipate . the room small average US hotel bathroom tiny american standard . ask extra towel book online someone come room promptly armful towel . room clean ( except smoke smell ) , be obvious old hotel . one lamp room not work ; fact outlet not work . , probably update fix electrical . the location good thing hotel . locate inside Grand Central , access subway plus dining area , good . walk Times Square take 15 minute doable . the little Mermaid highlight trip . daughter always love movie , lot fun go see . theatre old , beautiful . every seat great view stage . overall fun trip . next time , would wait another room take smoking room . even think ' ve get used smell , realize not . 
 Oct 12 2008 	 great holiday 	 stay Casablanca last year loving decide come back again . I notice price significantly increase look around . I get really good deal Hyatt £ 800 cheap casablanca ! ( save 2 1 week stay ) .I read review worry . arrive , lady reception lovely , really friendly give we voucher free coffee every day stay . I book room 2 double bed room spacious , bright modern . the bed really comfortable . I please find ipod dock huge tv.the bathroom average size fairly small bath not issue . I never encounter problem noise face road . you hear odd door close inconvenient time . I comment food never try any . there numerous place eat drink nearby reasonable ( huge portion ! ) overall impressed hotel . it huge impersonal , not really spend much time anyway . lobby impressive busy . I would definately return recommend it . I think bargain compare small hotel great location . 
 Oct 11 2008 	 never stay Hyatt ... 	 husband book stay Grand Hyatt wedding part NYC . hotel recommend wedding party centrally locate . could recommend . small child first weekend away year , phone hotel directly upgrade Lexington Suite ask early check - in . arrive last Friday afternoon 2 pm . room yet ready , check luggage go shopping walk . need get back hotel 3 pm need downtown rehearsal 4:30pm.and need shower change . arrive 3 pm room still ready could help we . manager actually interject complain clerk state , sorry , first come , first serve would wait 4 pm . check back twice 3 3:45pm ... room still ready desk clerk never offer alternative . finally husband demand another room change , tell come back 10:30pm order move original room . offer make move thing assist way . leave rehearsal dinner head back uptown check original room move bag suite . extremely disappointed lack proactive offer help we . demand substitute room change , ' m certain would ' ve end change lobby bathroom . accomodation ok , bathroom promise via phone . husband specifically ask soak tub , response yes , marble bathtub . well , wall marble , bathtub deep enough soak bathroom mediocre good . plan romantic fun weekend sour uncare staff . hotel cater large bus tour group ... see numerous member come go lobby . kind place want stay be look kind service . 
 Oct 11 2008 	 Mixed Feelings 	 Mid - February decide take girlfriend New York . fan Hyatt Franchise decide book 12 night trip Grand Hyatt . lobby quite simply beautiful , nice bar good restaurant . check room unhappy find . room small , paint floor small bathroom . 11 hour flight happy find bed comfortable . one notice door really SLAM shut , easily wake early morning . location hotel great , really walk distance away everything . great restaurant bar around . also supermarket around corner ( important see bottle water cost $ 5 ) . all - in - all really enjoy trip New York , would stay Grand Hyatt ( see cost average $ 380 night , two night cost much $ 620 ) , much well cheap alternative around . 
 Oct 8 2008 	 great stay Grand Hyatt 	 location hotel absolutely wonderful . convenient walk many place subway easily accessible . room decent size 2 people . everyone hotel friendly helpful . enjoy Grand Central food court drug store across street snack . experience everything hope New York City hotel . r & amp ; J Texas 
 Oct 6 2008 	 great stay Hyatt 	 friend stay weekend great time . front desk staff efficient even ask change room one bath well shower problem . room large tastefully decorate . location great . walk theatre , Fifth Avnue , Rockefeller Center etc bear mind location noise . bar great snack cocktail . breakfast buffett good quite pricey . coffee stand lobby good choice muffin , pastry , fruit etc take room . concierge helpful staff encounter . would stay hesitation able get similar rate . pay $ 339 night think fair get . my negative bathroom little bit tired smallish comparison room , spotlessly clean . 
 Oct 5 2008 	 average -- rude clerk limit luggage assistance many issue 	 like stay would return . the room : room large , tea / coffee maker , robe , water , mini bar . actually end stay two different room three day ipod docking station / radio work one . wall really thin -- hear people room next well hallway . the food : order room service twice : dinner breakfast . dinner , call 10:30 ask food bring early 11:15 ( plan interim ) . person say , & quot ; sure , wait least 50 min anyway food come 11:15 - 11:20 . & quot ; return room 11:15 , message phone saying try deliver dinner 11 . call room service say will bring food . food arrive 11:30 , stone cold . call mention something ( omelet $ 23 , otherwise may eaten , charge fee , $ 8 cup tea , total come nearly $ 65 ) . say would bring food , take another 45 minute . impressed ( though take account end ) .The service : couple occasion , one available help bag . would either wait carry ( opt latter ) . check - out person rude , dismissive , interrupt several time try clarify charge bill . bar charge wrong $ 10 ( $ 40 instead $ 30 ) , apparently difficult figure fix it . the hotel close subway station noises night ( loud enough wake ) .The location convenient tourist NY . stay Hyatt business chance take advantage nearby shopping , etc . the gym smallish , average , bottled water provide , though could fill tiny paper cup water cooler . overall , average stay problem . would neither return hotel recommend other . 
 Sep 29 2008 	 impressed 	 bit worried hotel read review really really like . two double bed room . although not massive room pleanty space . not understand people complain size - surely not go New York stay room day ? bed really comfy . could not hear noise corrider - apart occasional door . the staff reception really friendly . man visitor desk helpful . not eat hotel - restaurant bar look nice - tad expensive we though ! hotel perfect location - sandwich Chrysler Grand Central . minute top Fifth Ave , short walk Times Square . book hotel e Bookers flight 4 day trip come £ 630 - ' m suprise cheap stay nice hotel . return definatley try get hotel . we fly Newark Taxis cost $ 80 toll tip . believe 's flat rate $ 45 fly JFK . 
 Sep 24 2008 	 Great Location Comfortable 	 Hotel locate great location Grand Central Station spectacular ! ! everything want see NYC either cheap cab ride away short trip subway . room comfortable , clean bed great ! ! service also good ... issue speak staff happily assist we approachable . overall great hotel ... get early , get cheap price ! ! cheaper 3 star hotel ... 
 Sep 22 2008 	 Disappointing 	 stay July 2 night business trip . location convenient -- right Grand central station amenity . surprised see self serve kiosk check , work fine . work fine use couple day later check out . the lobby impressive , room . typical tiny overprice ( $ 289 / night ) NYC hotel room shower stall . window face office building get little light . room noisy well , close vend machine . maybe give lousy room ' m frequent traveler program ? ? light inside room poor , trouble connect internet second day , reason ( end rent equipment front desk ) .Overall , pretty disappointing experience . expect room little & quot ; grand & quot ; first walk hotel . 
 Sep 19 2008 	 can not beat Location ! 	 contrary review , find stay ( 30th floor ) comfortable , clean , roomy enough two adult , * * pay extra cable television , though $ 10 ; / night charge wifi . this good location sightseeing . within walking distance major thing want see ( Empire Chrysler building , Times Square , Central Park , Roc . Center ) close subway area accessible . for price expect access club floor continental breakfast , least room coffee maker . luck . event , would great home base not mind $ 400 / night price tag . 
 Sep 19 2008 	 Great Hotel 	 Grand Hyatt perfect . check 11 room ready . room 30th floor . bathroom little small , room huge . hotel 's location perfect . be right next Grand Central Station , not even walk outside get Grand Central Station since walk way hotel . 's 5 block Times Square . staff friendly helpful , help we direction . 
 Sep 17 2008 	 great location several small problem 	 enjoy stay . location amazing , like every reviewer say . grand central one favorite spot NYC love stop everynight crowd go place . hotel lobby large beautiful always bustle people . check - in great allow check 11 am ( get lucky would not expect get early checkin often ) . room huge ( New York , city 's standard ) . king size bed comfortable array pilow vary softness . alarm clock ipod dock nice . bathroom small tiny . room little worn . a / c cool never cold , room faint musty smell . sheet mildy dirty arrive , promptly change upon request . door lead room thin reach ground , every noise hallway hear ( luckily ' m sound sleeper ) . minor annoyance could problem picky traveler . overall would recommend hotel al friend would return . FYI , catch cab front hotel difficult certain time ( like dinner time Saturday night ) , usually pay walk around corner rather wait long line . 
 Sep 17 2008 	 still great 	 third visit hotel 14th visit New York , love place . the Grand Hyatt remain top choice hotel city due blend quality location . general standard hotel set general benchmark use travel . basic term simple thing well obvious thing well . meet expectation . I love fact Cisz Henderson capture hotel Grand Central Station Chrysler Building one recent painting . top tip - travel budget simply want experience real New York use subway reach hotel JFK . need use free airport bus collect outside arrival hall take Howards Beach subway station . take train Grand Central Station . right next hotel . cheap quite entertaining travel option . 
 Sep 15 2008 	 Location Location Location 	 everyone say , & quot ; location & quot ; hotel NYC . sit Grand Central subway make connection easy everywhere nyc.otherwise hotel low luxury huge box hotel . nothing wrong nothing exceptional . use Yankee stadium base perfect ( 4 ) subway line . the Palace cafe across street good breakfast ( 8:00 a.m. ) Gray Line tour outside front door . there easy check - in glitch hotel website booking . 
 Sep 11 2008 	 central location explore NY 	 enjoy 5 day Grand Hyatt cruise depart . book travel agent , say deal , love location , central everything . room ok , little small , comfortable . check - in clerk ask plan . think , nice , start tell excited NY . get look face continue up - sale theater ticket . oh , get . personally friendly interested we , job push service script . put heart back pocket , settle enjoy rest stay . service fine , clean room change sheet . big draw LOCATION . amazing . try get well price avoid look like car payment day stay . 
 Sep 5 2008 	 great location 	 stay Grand Hyatt last week August . already pay room 2 month ago hotel 's website pick room executive floor ( 31 ) offer continental breakfast afternoon snack separate room . room spacious bed sooo comfortable . bathroom small basic amenity . room overlook 42 st .. neat tidy clean meticulously every day . breakfast snack well expect may want choose option make reservation . hotel right next grand central terminal within 5 minute 5th avenue . impressive entrance . concierge staff helpful booking restaurant US open ticket . can not say impressed check - in process . ( maybe would expect detailed analysis room facility accommodation detail ) . anyway 's hotel conveniently locate offer easy access every place may want visit Manhattan somewhere else . 
 Aug 30 2008 	 nice hotel get excellent rate via Priceline 	 nice hotel build Grand Central Terminal ( GCT ) ( get GCT door lobby without go outside ) . room small not care . food expensive hotel , reasonable option food section gct.staff excellent , one issue . could hear everything room next door , sound insulation inadequate . call several time get security ask neighbor quiet bit . 
 Aug 30 2008 	 great location 	 great hotel ideal location walk away 5th avenue , sak etc short taxi ride macy . next grand central station make ideal visit new york landmark . hotel huge food great room spacious consider new york . find staff helpful polite . 
 Aug 26 2008 	 ideal short stay 	 get back 4 day trip NYC , stay Grand Hyatt , know mixed review hotel . 's good point : - centrally locate - ideal sightseeing shopping - easy walk everything midtown - nice look hotel - good value money get short stay deal - nicely decorate - helpful staff - coffee kiosk lobby - easy get taxi 's back next door Grand Central Station - comfortable bed - nice clean bed linen - good sized closet clothe suitcase - iPod docking station / speaker - cable tv - tour kiosk lobby - walkway Grand Central Station . it be bad point - busy hotel - lobby always full ( tourist , business people , convention people ) - room small expect - bathroom much small expect - little annoying thing rather room : bin bathroom , enough towel 2 - break glass along skirt board - one lamp working - room door not close quietly matter hard try ( take earplug sleep ) .Despite bad point - would definitely stay . week week internet surf decent hotel good rate good could find good value money - £ 660 4 night room . I would highly recommend hotel short tourist / shopping stay NYC - literally use room sleep washing spend wake hour . 
 Aug 22 2008 	 beware upgrade 	 hard beat location . simply great . service impersonal , check pretty much automated . no - one readily available talk problem . room adequate , poorly clean ( find previous guest ' keycard behind cabinet ) . electric dodgy - cartoon spark socket plug . view whatsoever window . I book business class could treat 10 yr old breakfast morning . disappointment give voucher check - in redeem pay breakfast bill . far good , find $ 45 per breakfast ( 10yr old ) cover coffee Danish ! upgrade get hot food ( another $ 26 morning ) ! Naughty advise front book especially seem pay tax twice - booking pay breakfast bill . big mistake . upgrade Business class do not even get free tv channel - tv extra cost . really problem not priority we , want unwind local telly , open wallet . also fork extra $ 10 access internet room turn limited useless I . Foyer extravagant aircraft hangar space . love , other might find impersonal . fantastic city holiday , will look another hotel next time . 
 Aug 19 2008 	 love 	 stay three night Hyatt great time . deinately consider hotell next visit ny . pro : - location ! great location right next Grand Central Therminal . easy axcess subway walk distance lot sight , restaurant etc . always taxi upfront well- friendly helpful staff . - get free upgrade without even ask get delux king room . room large ( extremely large ny ) nicely decore . clean . would appriciate one armchair though . - room view , would think room face street amazing view.- aircon quite work vellcon : - wifi ( $ 10 24h ) . internet slow expensive- annoyed standing almost 30 minute line , pay $ 2 bag / suitcase , get luggage store couple hour day departure . - room quite dark , even light turn on- raining really hard first day ask concierge could get umbrelly . tell close place would store street , ment soak time get . friend stay another hotell nearby offer free umbrella . free would course appriciate , least Hyatt sale.- find strange sell stamp mail send within US 
 Aug 17 2008 	 great hotel love ! ! ! 	 hotel great right middle ! , go stair take train anywear . block time square , easy walk . room nice huge wife 2 kid well stay 8 day go back look hotel first . 
 Aug 11 2008 	 room dark small family group 	 family two adult two child stay two night . book room two double bed , unlike US hotel stay , UK sized double , i.e . minimum size double . the room small tour USA dark - read time day impossible . the bathroom tiniest well . however , positive note , staff helpful time like lobby , work art waterfall . good location - central everything . 
 Aug 7 2008 	 great location room big thought would 	 wow can not beat location , far enough away Times Square ( walk time square matter minute ) not hear much noise ADD feel flash time square light people . the room clean allot big thought would . staff always friendly lucky get early check room become available . bed super comfortable . ask fridge 25 dollar great buy cereal milk save buying breakfast everyday . the drawback bathroom super tiny . toilet butt sink feel really crowded . book priceline get awesome deal 152 night . would pay regular 300 would bum price pay room fantastic ! eat comfort diner food great affordable . also try serendipity 3 dessert amazing . stay away Planet Hollywood , way overprice ok food . 
 Aug 6 2008 	 great location oh dark gloomy 	 stay business June - great location walk Manhattan . corporate hotel , staff friendly . bad thing though lighting - gloomy everywhere . room particular almost impossible see . bright lighting get dress closet ! ! 
 Aug 5 2008 	 Excellent Location site 	 ok let start good . check smooth nice room , rent 2 room , King Deluxe we double kid . limited view expect concrete jungle . room clean problem plenty towel , Ipod clock nice , conicerge helpful point we right direction . walk distance follow , Empire , tour boat , Times square , central park , MTA Subway right next door . Subwayed Ground Zero Yankee Stadium far . problem Breakfast Buffett $ 32 person yike ! ! ! concierge set we couple local cafe perfect . room 17 kid 30 go lobby switch elevator real problem something note . all big thumb 
 Aug 5 2008 	 good stay - impressive hotel 	 many complaint site standard room , trepidation wife book stay Grand Hyatt NYC . platinum card - holder Hyatt year , must admit hotel standard . large impersonal , nature type hotel , cater business traveller ( major city ) airline personnel holidaymaker . hotel huge ! foyer redolent airport terminal , high ceiling , check desk , rope area large number seat . Cosy bijou not , impressive . not time not teem people , strike large number school group stay ( perhaps be keep hear room poor repair ... young people come across respecter other ' property ) . however say hotel downtown Manhattan one good Hyatts stay . admittedly use point upgrade Hyatt Regency floor ( 31st ) , would extremely disappointed room manky describe review , fact pleasantly surprised . room probably refurbish last year , although scuff mark around low edge bathroom door , general state repair good , sign wear wallpaper paintwork . bathroom small , small cause inconvenience , shower produce good powerful spray block nozzle . always dislike bath Hyatt group install hotel ( least USA ) usually bite short always shallow , idiotic arrangement overflow - level high toe be lie - mean even reasonably svelte patron going belly uncover . find impossible relax bath US Hyatt , good quality shower particularly important . average corpulent american bath chain 's bathroom boggle mind . big complaint bathroom extractor fan , shower produce room full steam completely mist mirror . major issue , comment . the room 16 foot square well appoint , ( slightly ) soft double bed tv bit far away enjoy properly without aid binocular . since watch tv news not really matter , picture quality poor tv fault make make loud crackle picture jump regular interval . would hate watch film , say , not use much . in keep Hyatt hotel experience , light dismal . never understand chain miserly light , central light fit ceiling ( yes , know 's passé ) appear low wattage bulbs light , room always feel dingy ... not . window area premium New York available natural light also limited . problem not spoil stay way , be comment Hyatt planner ; let Light . room also quiet , apart one occasion gaggle idiot woman walk corridor outside room conduct shout conversation 4 am , quiet stay . real high feature stay Regency Club room , delightful something make use quite lot . serve complimentary breakfast ( largely continental style ) , be coffee soda available free charge day . People go room arm full Voss still mineral water run stall local market . day free food available , change day wear . breakfast change salad good quality dish , end pastry evening . idea afford , say 's superb welcome service . good thing club room , however , concierge . person reception desk , dedicate answer question help club member ... goodness good ! lady ( lady ) attentive , intelligent , eager help efficient . terminal connect Internet , course , research thing , advise place interest , place eat , way get , make reservation . course concierge foyer , queue attention , whereas floor immediate high quality attention . give example , ask name musical instrument store Manhattan want see could find second hand guitar ( Gibson ES335 , since ask ) . young lady tell leave , follow morning list shop , phone number , whether guitar stock , price range hold . say astonish ( say extremely grateful ) would understatement . hope return NYC distant future ( like go every year ) question stay hotel , pay Regency Club floor not point . comment staff . time treat offhand way one . contrary well treat , even foyer desk staff , not appear moment 's rest time . mail room , helpful guy assist send package . someone mention irritation fact Hyatt charge $ 2 per bag store day , indeed true . see military - type operation mount store bag deposit day leave , would say $ 2 small beer . must store room size aircraft hangar , queue deposit bag morning snake along foyer require two full - time people receive ticket bag . finally word location hotel ; be superb . 's couple door Grand Central , subway moment 's walk away ' good food market attach GC station . deli moment walk street ( opposite side road ) , serve good breakfast . hotel also around corner ( opinion ) world 's beautiful building - Chrysler building - pretty centrally locate walk main attraction . be also one rare occurrence Manhattan , two way street , taxis approach direction , make easy get . case ice cake airport bus Newark stop around corner , save small fortune take rather taxi Newark . ( incidentally , would always fly Newark , rather JFK , be much 's small pleasant airport . ) summary , least Regency Club , Grand Hyatt good hotel one would recommend unreservedly . 
 Aug 4 2008 	 Fantastic 	 get good rate still worried review see . experience negative issue bring post . everyone hotel amazing . travel pleasure 2 year old son . woman check upgrade room much large room would room play room roll away bed . enter room member engineering staff see we enter room ask could please change air filer AC see son . note change often want make sure fresh one since little one . refuse tip . state want make sure son comfortable . room great ( huge NYC ) , bother noise hotel location perfect ( 4,5 & amp ; 6 train right stair take almost anywhere city ) . 
 Aug 4 2008 	 go wrong 	 stay hotel back March mean write review month . travel agent spend life look decent hotel genuinely fault property . People complain staff really rather foolish - guarantee person mood , issue may behind desk computer system etc . staff always helpful often harass tourist sense anyone themselves . the location property ideal , get everywhere foot want hop cab everywhere . also two double bed room , brilliant room NYC particularly small , real bonus extra cost . bathroom clean functional room completely soundproof . would happily stay book many client since return problem whatsoever . 
 Aug 3 2008 	 Great Location Loud 	 get back one week stay Grand Hyatt New York . location perfect we use subway system daily get around city . although hotel adjacent Grand Central Station , certainly not hear noise . room certainly like typical Hyatt room . small small bathroom lack overall class Hyatts . wall room ridiculously thin problematic noise bother . room connect door next room make situation even bad . HIGHLY suggest request room without connect door . great location outweigh noise noise certainly bother . 27th floor could still hear traffic outside doubt go able find quiet place . Downstairs Grand Central Station lot decent place eat grab pizza , bagel , baked good , etc . 
 Jul 29 2008 	 Great Location ...... Great Hotel ! 	 stay Grand Hyatt July 24 - July 28th . book special TravelZoo . pay $ 199 night room 2 double bed , tell abnormal NYC . impressed arrive hotel . smack middle Grand Central Station Chrysler Building . lobby grand comfortable . arrive check hotel staff put luggage aside return . arrive back evening , pleasantly surprised long day sightseeing ! room clean spacious , exception bathroom ( alot space far counter around sink ) . review say poor service staff , experience problem area . really little front desk staff check . concierge , greeter door , bell man , baggage people friendly concierge especially helpful thing like direction , recommendation , check flight departure , etc . hotel 15 minute walk Times Square . say many time trip glad hotel Times Square ..... extremely hectic ! nice get crowd go hotel . 10 - 15 minute UN building , St. Patrick 's Cathedral , Empire State Building . problem noise street level ( 25th floor ) . one night could hear next door neighbour t.v . wall . room coffee maker , starbuck lobby . want fridge room could eat breakfast room able rent one stay . really complaint hotel . get great deal really enjoy stay ! 
 Jul 24 2008 	 Acceptable 	 know expect NYC hotel . typically get pay . case . worth price . staff consistently unfriendly , not think vacuum room long time , wall thin next door cell alarm wake , maid start bang door 8:30 . tv small , bathroom small . coffee room , either go downstair get room service ( get rip via either choice ) . 42nd lex great location - bad hotel standard . 
 Jul 14 2008 	 great stay Grand Hyatt 	 wife stay July 11 - 13 , 2008 . would regard hotel oasis , compare bustle street , Grand Central subway . say many time , location can not beat . step Grand Central subway . walk distance Times Square , UN , St Pat 's , Rockefeller , even walk Central Park ( okay , hike ) . front desk could not nicer . platinum status Hyatt , maybe help . get early try check ( 9:30 ! ) . coul not get room course , & quot ; never hurt ask department & quot ; , ask upgrade . ask would take large room , shower . sound okay us- end end room least twice size regular room- nice sitting area , not door adjoining room . overall , quiet , door lock make fairly large noise matter close door outside . bathroom okay size- shower look like could use little work , ' ve far , far bad . not expect view either- hotel location . not eat there- try pershe Square street breakfast / lunch , McFadden 's Pub 42nd two block east . also , 's food could imagine Grand Central - except everything look close early Saturday morning ( review , Statue Liberty / Ellis Island EARLY , really mean must EARLY ) . able get hour later checkout Sunday ( 1pm ) even though lot people come Start game . like try different place , would absolutely want stay next NYC stay . 
 Jul 9 2008 	 Grand Hyatt grand experience ! 	 little long , go : fiance stay Grand Hyatt New York uly 3 - 6 , 2008 . first impression hotel indeed grand beautiful . staff reception desk helpful , need something \from housekeeping , reception , concierge , always curtious friendly , weather contactd person phone . room nice , comfortable king size bed . bathoom small , expect NYC . location hotelis great , close Grnad Central Station ( next door ) minute walk Times Square . book hotel amazing discount rate , worth money . hotel restaurans pricy though . breakfast buffet $ 30 per person , eat breakfast . ( must say though , breakfast hard come midtown Manhattan ) . go downstairs one night drink desert hotel restaurant , tired go . quite pricy , nce treat . complaint room seem link adjoining door ( lock side ) wall super thin . could hear neighbour 's full conversation , loud . frustrate , feel though little privacy . otherwise , stay great ! 
 Jul 8 2008 	 avoid Front Desk don´t want problem 	 Excelent hotel , perfect location , good staff overall except front desk team ( aboslutely tragical ) .i serious problem check , front desk team unprepared , lack understand really unpolite , complete headache . seem totally Hyatt usual first class standard . bad . 
 Jul 8 2008 	 Great Location great housekeeping 	 like : great location , Chrysler build Grand Central Station . confortable large bed . great breakfast . deslike : order triple room option room king size small bed ... ... two single ( large ) bed . luckly travel sister brother . the housekeeping good . one day forget glass water another day forgot put face towel ... overall : reasonable option couple day value loaction . 
 Jul 4 2008 	 '' Touch Hotel ! ! ! 	 actually never stay Grand Hyatt NYC . advertise rate $ 199.00 weekend August 31st , ( Travelzoo 's top 20 deal July 2nd 2008 ) contact , good rate give room $ 349.00 . appreciate lie false advertising . avoid ! ! ! ! 
 Jun 28 2008 	 cheerful staff 	 ' Service smile ' not menu hotel . decor room bit tired look . say , hotel great location we . next door Grand Central Station . walk distance 5th Avenue , Madison Avenue Times Square etc . would stay despite downside . 
 Jun 28 2008 	 good great 	 pleasant staff -- every single person meet , capacity , friendly nice could be . room tiny , dark ( overhead lighting ) .The hotel overbooke , apologetic ( not front desk staff 's fault , deal ) , go way beyond accommodate inconvenience . sister check late , living room portion suite , huge , fold - out couch . put king next night , compe we breakfast , etc . rest stay . they handle lot large group ( choral group , think get lot ) . be quiet place . definitely bring earplug . street noise considerable , plumbing make weird clunk noise night , every night . the location great -- connect Grand Central Station ( underground tunnel station ) . tip : save money eat meal food court downstairs part Grand Central Station . be easy 15 minute walk Times Square , grab pedicab ( not want arrive theatre sweaty ) $ 15 - $ 20 . 
