great 	 lovely hotel , good view 59th street bridge particularly top floor bar . 10 minute walk central park much time square . great bar restuarant local area . amazingly large room central new york . two double bed room , space around edge ! can not wait go back ! 
 worth price - even discount ! 	 get $ 168 rate two night right thanksgiving give review think worth ( could ' ve save $ 50 day similar east side hotel ) - wrong . first dead area beyond York Avenue , right water thing nearby Mobile station . feel desert pull . come international flight lot luggage - one help lug stair . front desk professional nice - upgrade King bed . inside room , like decor bathroom ( nice bath product ) start notice glitch . heat 50 plus degree outside - way open window turn A / c hate use , need nap heat would ' ve keep awake . hotel directory service ( not know gym restaurant etc . ) tired go long walk store look minibar price see would cost drink water sleep .... could find price list anywhere even look inside minibar -- hot room ? ? ! ! nonrefrigerate drink - 's point ? basic cable even HBO ? several channel freeze ... regular rate $ 200 night , spring well cable . bad housekeeping . slam door almost half hour straight morning - 10 room floor housekeeper keep walk room let door SLAM loud noise . finally ask close door gently jetlagge - night try sleep . rude say - well , check room . say yes , door not need slam ! slam door call front desk complain . half hour later doze finally , room phone rang . HOUSEKEEPING ! ask wanted room service . response REASON disturb sign door keep bother housekeeping -- - disturb mean not call EITHER ! guest need something , course ask . badly manage place general feeling lack care room amenity . free wifi even lobby - walk Starbucks check email . pleasant experience front desk staff . 
 good price / poor location 	 stay partner 4 night hotel choose primarily sale price $ 190 per night . take consideration hotel generally provide discount early 5 day check - in date . also hope moderate pricing hotel service , . Wi - Fi internet cost $ 15 per day , local call also charge . location hotel little bit poor . hard get centrally locate site foot . try first day , decide take taxi . average taxi ride Times Squire cost $ 10 - 12 . like room design , furniture tired , tired thing heater work well . stuff reception helpful good looking ) . 
 Feb 7 2006 	 great Find NYC 	 Husband live far reach Brooklyn think might fun rent hotel weekend whilst friend overseas town . read reviews Tripadvisor site decide give Bentley try although honest , back mind somewhat skeptical hotel Manhattan $ 99 night Hotels . pleasant suprise ! room large , airy importantly CLEAN ! ! place truly bargain . probably good choice true tourist little bit way nearest subway somewhat hike bang buck great option people budget . 
 Jan 22 2006 	 Holiday lifetime 	 New York City- City never Sleeps that s exactly . amazing , experience lifetime . my partner take 18th Birthday April 2005 love every single minute it . the weather gorgeous atmosphere everyday life New York . there many place see shop . beware need least £ 2k spend money 2ppl 1 week . we currently save year visit December 21st birthday . the Bentley hotel excellent location 15 min walk Times square etc away noise . hotel clean , cosmopolitan everything need . the staff helpful polite . go back defonately return ' bentley' . if go , I m sure will much fun ......... Happy Holidays 
 Jan 18 2006 	 nice niche hotel 	 read review totally disagree . wife stay two night weekend Christmas Bentley pleasantly surpise . room clean , nice closet bathroom fine . find comical someone complain hall dark . problem . want , light show perhaps ? hotel exellent location . 3 4 block subway near ton restaurant . free Cappacino machine lobby plus . someone want luxury pay $ 500 $ 600 per night somewhere else . want nice clean hotel good location good price , recommend Bentley . 
 Jan 11 2006 	 La dolce vita ! ! ! 	 wonderful stay excellent staff . truly want East River view even call day arrival , could not guarantee one . arrive , request peak water since would nightcap restarant bar top floor go holiday gather city . explain not travel 2005 ( 3 major trip 2004 , Provence , Italia Nevis ) want start New Year water view sweet girl upgrade we junior suite , since restaurant / bar closed remodeling . wow , feel like queen view 59th Street bridge .... boyfriend say could sit chaise enjoy view forever . glad bring goody , not want leave party let alone check .... Bentley remind hotel stay Amsterdam year ago , cuppacino machine make right hope .... mini european vacation 70 mile home .. la dolce vita . request room 904 , would definitley spend extra lire relax exhausting day tourist NYC Sutton Place wonderful neighborhood . 
 Jan 11 2006 	 bring flashlight fan Bentley ! 	 okay , 's deal Bentley . 's . room clean ( especially bathroom ! ) , bed comfy ( well , mattress start sag hour ... ) , staff polite ( hold bag we tour city ) . hand , hallway dark ( hence , bring flashlight title ) , hotel boast & quot ; belgian linen & quot ; thick sheet . , room absurdly hot not need blanket sleep . air conditioning ? think button look , not work . also mention fan bathroom . , be easily emabarrasse people smell number 2 's , not stay bring fan . last definetely least , location ... be quiet safe , long walk subway . go NY husband four friend . two connect room ( one king double ) $ 339 total . price dirt cheap NYC . , although never stay hotel . guess could bad . 
 Jan 9 2006 	 please 	 wife stay Bentley one night take theater dinner Manhatten . book online later call room view river 59th st bridge , give problem . king - sized bed clean comfortable . heat good . bathroom clean enough size . shower water pressure good feature , nice strong . tv Reception channel good . rooftop restaurant close due renovation , not get chance check . thing like although still Manhatten hotel upper east side , away hustle bustle midtown . stay one night , not really interact staff , nice pleasant . feel price view area worth , go back summer ' 06 . 
 Jan 7 2006 	 well worth money 	 stay Bentley 2 week Christmas New Year love hotel . like many other read review concerned . do not get room bridge view like hope , blame tour operator never mention 3 different price could pay . find site afterwards . standard room , clean small room , sleep two people . nice bathroom nessasarily view river . pay standard room tour operator do not advise we otherwise . however , sign , ask receptionist could give we big bed , husband big go bed time . smile understand look room number computer . say would change room another one higher big bed . room lovely . spotlessly clean , towel change everyday bed sheet change regularly . free safe unusual since normally charge . Hairdryer bathroom ( way spotless ) iron ironing board ! C.D . player bed along telephone . ice bucket two glass . television least 20 channel . people dislike hotel ? corridor clean lifts smart modern big 3 . downside hotel location that s fault ! highly recommend stay 3 4 5 star hotel past . at moment refurbish restaurant honest , think do different time Christmas , finish , hotel definetly deserve 4 star rating . 
 Jan 4 2006 	 never ! 	 read many review Bentley Hotel , unfortunately bad one come true . all member staff meet without exception unfriendly even arrogant . room suppose & quot ; Deluxe & quot ; small . wall paper thin , awake twice neighbour talk normal volume . there window vent bathroom bedroom ! one thing enjoy spectacular view . someone tell management promote Valet Parking non - existant . for rate offer , trip disappointment recommend hotel . 
 Dec 28 2005 	 totally fantastic hotel ! 	 stay hotel December 21 - 26 . little worried would far centre Manhatten perfect . at check get upgrade Queen King Size room free ! great view 9th floor overlook bridge East River . bed huge , room spotless clean fresh bed linen towel every day ! tv room huge range station great . staff friendly , door man helpful time , nothing much problem they . be one block 1st Avenue , ten minute walk bloomingdale 25minute walk 5th Avenue . Taxi Times Square cost $ 7 $ 8.only disappointment hotel bar restaurant close two day check renovation , be reopen mid January . reception supply menu 's local restaurant deliver hotel free charge though , apologetic inconvenience . all fantastic hotel ! 
 Dec 17 2005 	 lovely stay 	 stay Bentley upper east side nyc , one night dec'05 . last minute arrangement , place due stay friend unavailable sit nite . contemporary hotel , nice decor , fresh clean , king size room , decent size , bathroom clean , good size . tv coffee make facility . extra special feature love roof top terrace , bar lovely , beautiful view 59th bridge.it magical especially xmas time . drawback hotel , block subway , residental area . nonetheless everything walkable NYC . good selection resturant nearby . try ' Fusha ' , japanese place , good food valuable money . hotel staff also polite , expect nyc ! would recommend hotel . 
 Dec 2 2005 	 good 	 Bentley Hotel 15 minute walk away 5th Avenue fairly easy find .. find reception staff awkward & amp ; unfriendly . however porter & amp ; rest staff pleasant & amp ; chatty . phone hotel prior visit arrange room high & amp ; nice view , tell would problem . arrive allocate room 2nd floor petrol station . station build ground floor hotel pump outside . none photo ' see show . hotel staff arrange we move 11th floor tell one would agree room view advance . ' energy long flight confront feel let straight away & amp ; staff care . restaurant close five night stay private function . disappoint see picture couple website show New York background night & amp ; look spectacular . hotel clean & amp ; maid service good . however room date & amp ; need refurbishment . wall near window room paper thin & amp ; easy listen neighbours conversation . with choice hotel available New York wish look little ' find hotel value money . 
 Nov 17 2005 	 wonderful hotel - definitely recommend 	 visit New York last weekend 18th birthday present daughter - girl weekend shopping , eat sightseeing . Bentley fantastic hotel - get complementary upgrade Junior Suite . room large comfortable , small well equip bathroom , fantastic view 59th St Bridge Roosvelt Island cable car . pack much day exhausted end day wonderful sink lovely comfy bed . capuccino latte lobby machine perfect , staff incredibly friendly would definitely stay . love location - far bloomingdale , 5th Avenue Central Park lot little area explore would not normally see . always feel safe round . recommend Tramway Diner Burger Heaven breakfast Silver Star Diner huge portion good price - cheesecake really not miss ! chinatown go Mandarin Court Mott Street dim sum - sublime incredibly cheap . also go Top Rock ( newly open Rockerfeller Centre roof ) fantastic view , less crowd Empire state cheap . 
 Nov 10 2005 	 Fair middling 	 first problem .... hot water first 2 night . be give smoking room non smoking room request ... ( yes , bride previous review ) despite ask 5 time plug bath help . maintenance visit room fix heating , not manage get bath plug 5 day there . now goodpoint ... location not bad , 10 minute walk subway . great coffee machine reception . great Diner one block , serve excellent breakfast . surprisingly quiet . excellent view rooftop bar . the staff either excellent awful .... guy man door stage ! 
 Nov 4 2005 	 fantastic hotel 	 hotel everything want , may block walk get shop sight walk road give real feel area . take 20mins walk Central Park . 19th floor view fantastic . especially Sunrise river . bed comfortable room clean . ok , not tea coffee machine room , one lounge downstairs . never eat restuarant look nice . staff always helpful nice . would definalty stay 
 Nov 3 2005 	 bad price 	 stay Bentley large Wedding Party . four room take family , think fare well , though none we get room face Bridge . suite book bride clearly smoke room though non - smoking one book ( could last reviewer get room ? ) .Our room clean nicely decorate . lack hot water first two day ( unless get early ) hotel apologise fix . coffee machine lobby good quality ( though would good room ) bar good view . staff pleasant generally helpful we . as location , think walk Lexington Ave Subway take 5 min , really not much hassle . all , bad price , would appear need sort reservation system . 
 Oct 25 2005 	 Bad Start 	 arrive seven hour flight tell people decide stay therefore room would stay sister hotel near time square . cause great problem family upper East Side want near . decent hotel would tell former people could not stay . say would move night would upgrade we return . ( ask non smoking room ) say - certainly . problem . the sister hotel send dump three hanger hang corner wardrobe . minute . return next day tell upgrade available non smoking room extremely rude receptionist dispute promise it . it loudly voice opinion treat suddenly non- smoking room produce no - where . hotel need redecoration , clean , cupboard television house fridge mini - bar do not . nowhere get coffee coffee- make facility room certainly tell available machine . altogether bad experience repeat 
 Oct 18 2005 	 Great Hotel 	 want comfortable room affordable price excellent service unbelievable view , can not beat Bentley ! NYC hotel room nice view hard come , let alone one price . draw - back hotel 6 pretty long block nearest subway station 60th 3rd . stay , bring comfortable shoe prepaire take cab ! 
 Oct 12 2005 	 good hotel tendency lose reservation 	 Bentley certainly nice hotel , arrive long journey Ireland , record reservation ( despite pre - pay ! ) . line ' its fault ' give put cab mid town sister hotel ( cab expense ) . gentleman next we tell . contact travel agent , determined hotel make mistake return upgrade suite complementary drink Bentley . great , find strange scenario mention times review thing happen man book we - prehap give reserved room certain time ? find breakfast option hotel inconvenient , otherwise , pleasant place stay . 
 Oct 11 2005 	 Great Value - hide treasure 	 book lodge NYC quick last minute trip . try break bank still say someplace comfortable . research thought would give Bentley whirl . I fly Newark due full flight grab cab Penn Station . bentley bit beat path 's Upper east side . prepare though choose location due close proximity La Guardia ( fly follow morning ) . arrive check - in time staff kind put available room . staff helpful friendly . decor remind bit boutique hotel ' ve book L.A. Miami . stay 6th floor right elevator lobby area . room nice size ( NYC ) offer desk , chair , closet . linen clean comfy . bath large wonderful lighting . quite roomy . I not mind walk b / c acknowledge book . I eat restaurant evening enjoy Vodka Penne Chicken dish . pricing seem reasonable . the view ambiance restaurant stunning . could relaxed evening . room also nice view bridge river view downtown . the bellman helpful arrangement car airport next morning ( 4:30am ) .Overall give hotel thumb would stay not centrally locate midtown and/or financial district . 
 Oct 8 2005 	 Norway - love stay New York 	 good hotel . room 19 . floor nice view bridge . use Subway get around Manhattan , fast easy use . 
 Sep 25 2005 	 Nice stay Bentley 	 finace stay Bentley 15 - 22nd August 2005 . first time New York want good base explore . Bentley great 's location brilliant - noisy little thing , far away - could walk Central Park 15 min . we arrive quite late hotel flight delay tell many room leave . put manky , dirty ( still thing previous guest bathroom ) basement room right next noisy boiler - good start ! however , go back reception move room 4th floor . smoking room - non - smoker tell could move morning high floor non - smoking room . settle tired not really anything else could do . the next day move river view room 15th floor - much well ! room spacious clean great view Queensborough bridge . stay rest time room problem . the bar roof great place visit tire day view New York fantastic . drink quite pricey bar New York ! not eat hotel can not comment another couple tell we nice . good place eat : Ritz diner breakfast - road corner . little bistro bottom bridge good . venture one block turn right , fantastic little mexican really cheap tasty . also irish bar near happy hour every day cheap frozen cocktail beer $ 3.overall Bentley good . little rough around edge boutique feel obviously do little cheaply . great location place walkable . want little peace quiet hustle bustle city fairly tight budget - , would recommend . want pure luxury pampering , . 
 Sep 22 2005 	 Bentley : great choice 	 boyfriend stay hotel august 1st 5th year ... pleasantly surprised enter room ( check quick & amp ; easy ) , not spacious , clean , modern , well accomodated . Bathroom fantastic ( Bath & amp ; shower , clean towel every day ) , BIG kingsize bed , television etc . ( room 1411 way ) . window look street river right ( bridgeview ) . rooftop restaurant spectacular panoramic view city .... beautiful night ! service great , nice & amp ; friendly staff , subway 10 , 15 minute walk , know book & amp ; ok . Delicious candystore & amp ; Bloomingdales near subway easy get everywhere train.we would definately return want go NYC , great stay . however , be fan walk little bit , would suggest hotel close subwaystation . : problem we . thumb way ! 
 Sep 18 2005 	 Fantastic ! would recommend ! 	 stay 4 night impressed . nice bar ( Baker st . ) restaurant around great deli breakfast , one block away . it be 15 minute walk subway , know book not problem we . staff friendly , professional helpful . hotel room clean , spacious well equip . fabulous view room - overlook east river Roosevelt island . would stay . 
 Sep 14 2005 	 nice stay ( Business Travel ) 	 $ 147 / night 2 night , upgrade suite . spacious . decor modern . air conditioning unit room loud otherwise amazing price within walk distance midtown appointment Bloomingdales . nice staff wireless internet , belgian linen . use pay least 2x weekday hotel Midtown , think pretty remarkable . 
 Sep 5 2005 	 good value 	 enjoy stay Bentley . book hotel strength review website glad say not dissapointe . the hotel decor stylist although slightly tired , however not detract good experience . it be quite big hotel quite impersonal 's fine purpose weekend city . as location , well 's little beat track not mind walk . 's 10 min central park . the view rooftop bar quite impressive although bar lack atmosphere . in summary - great value money . money can not go far wrong stay Bentley . 
 Sep 2 2005 	 far subway 	 july 2005 .... tooo hot ......................... walk subway uphill walk approx 8 - 10 block ... long hot walk ... hotel ok . staff slow respond problem . time reply ... 
 Aug 31 2005 	 Good Hotel Clean Romms friendly staff 	 ( family two kid ) stay Bentley Hotel tree day . arrive , overbooke room we : - ( staff friendly offer taxi another Hotel , book we one nigth . next day return give we update suite . beautiful view Manhatten . all nice clean Hotel friendly staff good price ; locate 500 next Metro - Station 1000 Central Park . if visit New York , surely check Bentley Hotel . 
 Aug 30 2005 	 excellent evening 	 hotel extremely comfortable location good access many restaurant east side convient central park museumsthe continetal breakfast glass enclose resraurant roof look east river manhattan wonderful way start day 
 Aug 30 2005 	 great cappuchino machine 	 nice hotel , look well inside , clean . request room view read review good view . location great , far attraction , although get cab place , far everything . staff helpful . dont GO CINEMA ROUND CORNER , AIR CON BROKEN PUT everyone wrong FILM.Dissappointing restaurant , avoid like plague , poor selection pricey . 
 Aug 23 2005 	 ? 	 Bentley locate far East , may feel Orient ! neighborhood safe many delis , grocery store , shop around , Bentley address far anything may want see . room large , modern comfortable expansive window exhibit urban scene . staff warm helpful . not mind walk use car service , excellent choice right price . 
 Aug 9 2005 	 great room great price ; nice view night 	 will definitely consider stay . not mind Animal Hospital Gas Station , since room great value large clean bathroom great view night ... $ 150 night ! go directly hotel 's website good deal . 's . 
 Aug 4 2005 	 NY Bentley great 	 upon check 4 night , ask upper room bridge view . upper floor take , 3rd floor . worried traffic may loud , air conditioner , do not hear thing . staff willing move we next day , room clean , air conditioning work great , bridge view night wonderful decide stay . room big thought would . staff go way answer question , bring extra towel , even bring packing material odd shaped package check onto plane . negative comment , would forgot toothbrush , go desk 11 pm ask one , . suggest walk around corner gas station one -- -- -hum ! ! ! ! ! ! use M31 bus stop front hotel , able transfer anywhere city . even though hotel convient part city , bus excellent mode get . would stay hotel ! 
 Jul 25 2005 	 great stay Bentley Hotel NYC 	 clean room great price . ask river side view stay 6 night room 1502 great view east river Queensboro Bridge ! ! bathroom look nice clean ! ! hotel locate eastern part midtown Manhattan , get everything need within couple block ! walk subway 10 minute . neighbourhood safe also later evening ! ! bus stop M31 across street , buy metro card also use every bus Manhattan . I trouble fuel station right beneath room , could not hear anything ! next time go NYC , stay Bentley Hotel ! 
 Jul 4 2005 	 pretty good hotel 	 book room online get nice package deal . hotel room $ 130 . hotel locate far end East 62nd Street . metro station exactly close , definitely walkable -- 10 minute . get Times Square , take 4 , 5 , 6 train downtown , Grand Central . take train Times Square . a large movie theater , Clearview Cinemas , locate block hotel . Dangerfield 's around corner theater . plenty place eat favorite japanese Art store locate 8th Lexington . oh , Bloomingdale be locate around corner metro station . about hotel -- locate quieter section Manhattan . , nowhere NYC absolutely quiet . fact , every hotel stay noisy extent , always bring earplug . though concerned noise level reading review , glad share other ' experience . sleep like baby . that say , hotel room minor defect . first , bathroom sink three large crack though already repair -- not pretty sight . second , tv plug slightly bent spark plug different outlet . third , iron 's dial ( heat setting ) go -- work cotton - base clothe , never encounter experience before . the hotel front desk always well - staff friendly . hotel 20 floor 2 elevator . hotel decor ok . hotel room decor ok -- although window blind wrinkle , look cheap shabby , dab brown color , cover whole window . business office . ( , NYC tourist fact -- free Internet Access Times Square Information Center next Loews Theater -- several computer feature Yahoo Mail . , wait . ) . also restaurant , serve breakfast -- open 12 pm.all , solid hotel minor defect . , ok esp . budget and/or skimp convenience order spend dollar meaningful useful way elsewhere . 
 Jun 28 2005 	 Bentley .... like Volvo- reliable safe 	 entrance hotel desire petrol station hang side bag rubbish hang back wall , though enter entrance presentable . quick easy check Lastminute [ - ] standard double room clean presentable though small small bathroom . bed comfertable corridor clean . the top floor bar / restaurant look shabby need modernising , never breakfast . gym pool . location wise , $ 10- $ 15 taxi away NY attraction . anything worth pay bit extra get close hotel main part newyork . we find good diner breakfast street call roxys diner , get good start . good budget traveler single person . 
 Jun 21 2005 	 wonderful hotel great price 	 would stay Bentley . wonderful room money . stay deluxe suite , separate bedroom king size bed , wonderful view 15th floor , table chair area queen size pull sofa . bed awsome comfortor . room clean housekeeping wonderful adhered request . 
 Jun 20 2005 	 good price pay 	 well read review little dubious stay there . the hotel not ritz , go see new york stay hotel room entire time . like free breakfast unlimited bagel , not much hey free , complaint toaster handle lift tray , woman put knife dislodge food , staff smile ... worry little . the room good size somewhat unusal shape , nice size relax unwind , bathroom quite nice , not ritz , hotel never claim impressed not go expectation . the main gripe waiting staff order meal , concerned chatting bar practically throw menu , friendly , dine not know standard behaviour . the view morning worth price hotel , nice breeze breathe fresh air riverside make nice way wake appreicate city , warn mobil station , well signpost pavement forecourt , wary getting run over . location quite good park , go summer pleasant walk subway downtown , carefull getting catch shopping time square till 1 am get subway walk couple block back dark . favourite part food emporium road , nice holiday esq feel it . all , would say hotel anything spectacular , hotel character , give tale tell come home friend nothing would say ruin holiday , well price would definatly stay . 
 may 23 2005 	 nice stay Bentley 	 return 4 night stay Bentley New York . hotel clean , doorman great . even though full , still ask receive room view river 17th floor . opposite side bridge view , still nice come night look river one side Upper East Side . bathroom clean small , tiny . air conditioner setting change , comfortable receive blanket cold blooded person . complaint lack wash clothe . call crazy , , wash cloth basic part take shower . first night find one , even though two people list reservation , two bed . next morning leave note tip , ask 2 wash clothe night Sunday . next two night fine , Saturday night return wet unexpected rain shower find ( zero ) wash clothe . put wet clothe shoe back go back stair , front desk send right . hotel main strip , quiet make . 2 day walk hill 7 block nearest subway station , figure # 31 bus stop right front hotel run across 57th east west side . make easy transfer subway stop along 57th . I would definetely recommend hotel stay . 
 May 21 2005 	 call service bad stay ! 	 stay Bentley night ago . check - in staff friendly offer room river view king bed . upon arrive room vacuum clean door , stay two day . room clean . good sheet bed , okay design . not sit three chair room . chair wood frame , sink inside frame cushion old wear . decor help torn wallpaper ... remind Barton Fink ! everything seem go okay return room 11:00pm find room break . nothing take ( leave nothing ) , dresser closet ransack . call front desk complain tell management would call morning . well management never call two day . fact , manager never hotel . ask move another hotel property compensation one night stay . go front desk ask manager contact say aware situation . front desk attendent say , & quot ; 's problem nothing take . & quot ; also , housekeeping never service room call 7:00pm upon return work . well , can not recommend Bentley ... stay away . 
 May 6 2005 	 suprisingly good 	 arrive hour early check time , due alloted room ready , upgrade fabulous sweet 17th floor . room comprise bedroom area huge bed , partictione double gass door lead lounge area suede sofa . brilliant . unfortunately week happen cold since 1977 , room admitadly cold . call reception tell we heater full wack , could offer we extra blanket , accept . really could not complain though , particualry cold . hotel whole good order decorate tastefully . bit rough around edge , defiantely accpetable . would definately return bentley . bit way ( upper east side ) still easy get around . comparison hotel look price , bentely definately good . 
 may 5 2005 	 take notice good thing .... 	 read countless review site regard hotel must admit aprehensive trip . need . hotel smart , modern , clean else , friendly . always find staff helpful could not enough we . see reviewer point view ( Room 1202 us excellent ) could look gas station unlucky . , ask move . couple move straight away . room clean bathroom spotless towel change daily . location good although away hurly burly city . central park 20 minute walk bus / tram readily available destination . would definately return Bentley next trip would recommend anyone . 
 Apr 20 2005 	 noise - good thing ? 	 look photo guess hotel something extra come design . . place . I't seem energy run . & quot ; oh cool table ... ah well table room ... & quot ; be important though bed , bed excellent . bathroom pretty new clean well . feeling hotel could well would live one upper floor . hotel 22 floor ( think ) live 2 : nd ... gas station right window . could'nt hear traffic noise though air conditioning system make loud noise time . way turn sometimes room really cold . Overall be perfectly average hotel bit . neighbourhood really nice though lot restaurant shop . did'nt feel like typical time square tourist area . sure would choose hotel next time NY though . ok . . one thing ... sure visit top floor restaurant ! miss get quick look leave ... shame look spectacular . 
 Mar 27 2005 	 nice hotel 	 hotel clean room decent size tvs microwave room bathroom spotlessly clean room , get room 9th floor overlook city room well view honest not really look window much anyway view not bother methe bar 21st floor nice barstaff friendly amazing view queensbridge city even go outside balcony take really good photosthe lobby impressive tea / coffee machine could get hot drink 24hour day lobby ice machine could get iceall member staff stay polite helpful . people say hotel beat track not find far fact think location brilliant away hustle bustlecabs time square $ 10 thought reasonablethe subway 10 - 15 minute walk away not feel long station travel numerous destinationscentral park far designer shop 5th avenuetakeaway food cheap shop corner lovely sandwhiche take away food cheap ny diner opposite corner eat breakfast large portion cheap ( eg 2 adult sixe breafast 2 egg chip mushroom tomatoe 2 toast coffee along ham 2 egg home fry 2 toast tea $ 11 ! ! ! ! that s £ 6 2 ) look photo want cheap clean place stay place absolutely wonderful time definately book hotel soon take child recommend hotel family friends.it sort hotel people bend backwards earth not pay high price lay back cool hotel definately people pretentiousthe staff flexible check early last day allow we store luggage whole daywe not try room service menu not seem priceyif choose hotel hope good time really make first visit new york one remember fond happy memory 
 Mar 23 2005 	 Value Money 	 stay Bentley 5 night . compare last stay another hotel midtown last visit ( Gershwin Hotel ) price Bentley excellent . service -for mid class hotel- average : arrive one room leave recommend change hotel room would noisy . although long flight wasn´t funny , appreciated offer change one night Marcel ( isn´t far good Bentley way ) . circumstance give we upgrade junior suite . come back next day , incredible view overlook skyline , East River Queensboro Bridge . bed huge , room around 30 square meter fantastic time . bus stop -as other already mentioned- right front hotel take Bloomie´s Barneys 10 min . bridge nice new restaurant ( Guastavinos ) plus conran shop plus Supermarket Food Emporium ( 5min walk hotel ) . you´re tired walking - place be . I imagine get quality hotel price like Bentley . get pay . 
 Mar 22 2005 	 Great Service Bad Management ! ! ! 	 friend rent suite weekend Bentley past January . not vacation past summer , decide stay ny nice , fun weekend . first day receive excellent , friendly service staff . surprise , major storm come day , decide make first night night . go shopping morning afternoon , dinner , come back hotel get ready . unfortunately time go sour vent stop blow hot air , hot water run get ready go around 10 pm . call front desk see problem tell we hotel problem hot water , getting fix soon . window room begin fog even freeze inside ( cold ) . hour constantly call front desk , decide go downstairs request move either different suite heat hot water , move another one hotel NY comparable room . they agree move we different hotel 11:30pm , even pay cab ride . check we filthy , badly decorate , tacky hotel near , room not even suite . 12 midnight point exhausted carry shopping bag plus luggage . could not move we comparable hotel book , ask refund we money would find hotel point . call around NY cheap place could stay not dirty , find regular room Marriott $ 30 go pay suite Bentley . get Marriott little 1:00am , exhausted hungry , order pizza , fall asleep movie . not even get go bar club second night , huge snow storm , third day go home early good friend 's father die heart attack night . huge inconvenience Bentley cause we first night , speak someone management , tell going see could , month wait phone call , someone else call back say we give we $ 30 dollar next night , since difference pay Marriott . could not anything us inconvenience cause we . say least not please management handle situation . come find , not one suffer lack heat hot water , everyone stay busy weekend , people even lack electricity part room . weird , true ! ! ! good thing Bentley decor friendly staff , pray nothing go wrong not deal management . 
 Mar 22 2005 	 Great Place Stay 	 recently go trip NYC stay bently . New York several time , far good hotel ever stay . hotel beautiful , room nice , clean spacious . hotel staff friendly helpful view hotel restaurant gorgeous . would recommend stay . 
 Mar 7 2005 	 Bentley - Welcomed Rest 	 recently stay Bentley husband treat Memorial Sloan - Kettering . little jittery review experience nice . after hospital day , deal husband 's requirement , try decipher doctor ' babble hospital politic , need peace quiet night . room quiet , not sure anyone else floor . bed comfortable , bathroom nice clean . also enjoyed go lounge 21st floor see sight night . restful . 
 Mar 7 2005 	 nice Hotel 	 stay Bentley Hotel week ( 3rd 9th Feb ) family ( wife son ) . first time NYC.It ' good location , need walk 10 /15 minute get southeast corner Central Park . fact , hotel close everything ' need take public transport every time go , furthermore find nice restaurant bar near hotel good breakfast quick lunch dinner . the room big enough we , two king bed , request . furniture ' new good condition . temperature room agreeable . bathroom clean good powerful shower . there noise street , York Avenue quite lot traffic . read reviews noise come room , ' problem . the staff friendly & amp ; helpful . respond quickly need anything keep distance ' need they . we ' spend much time hotel , need reasonably comfortable base visit city , . recommend hotel purpose . 
 Mar 2 2005 	 location location location 	 return 4 night stay new york , stay bentley love ! clean friendly . view restaurant breath taking . location hotel perfect , across street one block 1st avenue plenty bar restaurant , keep walk block block street different . bloomingdale ( good department store New York ) minute away . along Madison avenue 5th avenue central park divide east west . concern hotel little far away book , wrong . enjoy complimentry tea coffee 24hrs . 
 Mar 1 2005 	 will back 	 recently return week spend bentley . it first trip new york love every minute .. fact I ve already book next trip august can not wait . it important enjoy stay hotel well holiday , bently deliver , although initially dissapointe do not room high floor dread garage view , still thoroughly enjoy stay , room clean stylish unpretentious , staff friendly helpful personally think location great ; lovely neighbourhood , great bar restaurant . would want big tourist spot door step ? memorable experience walk random street soak atmosphere . personally would reccomend hotel anyone , especially like travel fiirst visit , since look hotel , like area hotel much I m come back more.have great holiday . 
 Feb 27 2005 	 well ? ? 	 back 7 day new york 6 night bentley hotel.it great , couldn´t imagine good price.we room 18 th floor nice view , clean , quiet - ? ok , walk 19 minute next subway station , didn´t care , amazing , see different street arount restaurant etc.next time , place 
 Feb 24 2005 	 Loved Bentley 	 get back four wonderful day New York . bentley great , get upgrade corner suite 16th floor . spectacular view 59th street bridge , east river midtown . its quite simple , wan na get city , see feel New York - then Bentley .... want gilt edge service stuffy staff go elsewhere ... bentley wonderful little hotel . nervous reading post , know New York waste kind folk ... 
 Feb 10 2005 	 keep look 	 loud . right near 59th St. bridge . lot traffic construction noise . surly service people . bathroom clean . strange accoustic . voice sound room come vent . exhaust fan bath shower steam whole room . far subway . numerous well choice . 
 Feb 8 2005 	 great stay 	 great time Bentley .... get lucky gota corner room . leave 59th street bridge ... rightthe beautiful east side . good view I ve ever hotel room . do not mind walk subway . not bad thoughtit would . fact hotel close everything end upwalke instead take public transportation . the staff great room clean . my complaint hotel plumbing issuesto address . toilet back change room without problem . overall .... book reservation ... will great time.liz 
 Feb 6 2005 	 Great Hotel NY 	 even though location bit beat path ( close subway stop 15 minute walk ) , hotel great . modern , clean lined decor , tastefully decorate room , nice bar top floor great view . coffee offer lobby morning several restaurant deliver free charge around corner . complaint window shade permanentley stick position . call front desk finally bring someone able low shade remain break inoperable rest stay . 
