small 	 read negative review website , decide upgrade arrive hotel . upgrade standard double en - suite executive double en - suite cost we £ 15 night , well worth money . explain standard room small , room little bed . upgrading get small , rather nicely furnish bedroom , high double bed ( wooden carving India style ) , room underneath stack suitcase . tv , big indian wardrobe , desk . big window face Trebovir Road . bathroom small , nice tile wall nice equipment , clean ( ! ) . first morning breakfast room full , decide breakfast local cafe instead , next two morning eat hotel . breakfast good plenty : roll , bread toast , croissant , muesli , fruit , cheese , coffee , tea , juice , milk ...... service also good . room ready arrive leave luggage foyer , return , luggage hade place room . next morning discover electric kettle clean ( probably early guest warm milk something ) point , kettle change immediately . some reviewer complain room size . quite agree , everything hotel tiny . web side photo almost real size photo ! tine reception , tiny room , narrow staircase , be plan spend much time hotel , serve need . location convenient : 1 min Earls Court underground station .. 
 Aug 30 2004 	 wonderful Experience mayflow 	 husband stay Mayflower Hotel October 2003 . room large ( London standard ) , clean , hardwood floor modern bathroom w / marble floor large shower . Mayflower Hotel also reasonably price , compare hotel , great location ( short walk Earl 's Court Station Internet Cafe ) . experience noise Tube station describe review . , however , bit street noise , expect large city . continental breakfast nice , service bit slow . would hesitate recommend hotel anyone may visit London future . know stay next visit London . 
 Aug 16 2004 	 Postage Stamp room ; great service 	 try put we basement , kind enough move we request ( basement room warm ) . room size postage stamps- husband ( slim people ) could manoeveur around room without climb bed . however , room clean- squeaky clean- location terrific- although Earl 's Court Station quite loud Monday Friday . Weekend bad . staff really terrific- helpful friendly . leave , lady front desk give we card tell we would take care we & quot ; next time . & quot ; will probably take . 
 Aug 15 2004 	 seriously lack service ! 	 recently stay hotel rate bad service ' ve ever receive London . book two seperate stay , first 2 night second 4 night . first glance hotel & quot ; wow & quot ; factor , price reasonable , completely offset surly rude mannered staff . request make meet indifference always & quot ; & quot ; . late check available , fan available room , early breakfast allow ( 15mins normal start time .. ) .. give , want service stay else .. lot decent hotel area . 
 Jul 12 2004 	 Fine London 	 great experience first time London ( UK ) . room small clean ; rate pay London , guess acceptable . breakfast also acceptable limitation space staff result slow service . if be light sleeper , guess will not able go bed midnight due train run rear building . despite , recommend be tight budget not be London ... 
 Jun 15 2004 	 beware apartment 	 stay mayflow hotel one night June 2004 . direct sister hotel ( Twenty Nevern Square ) , full night . promise & quot ; upgrade & quot ; apartment make inconvenience , turn downgrade capital D. apartment not look like anything see hotel 's website apartment not even phone , hairdryer , two towel per person . sofa dubious cleanliness ( would not touch ) , room element clearly new ( door ) clearly wear ( carpet , curtain , sofa , chair ) . enjoy stay glad night . guess room hotel much well quality . 
 Jun 14 2004 	 enjoy stay 	 hotel centrally locate nice area short walk Earls Court Tube station Picadilly line . hotel bright appear newly decorate contemporary style . staff friendly . room small adequate not plan spending alot time room . clean bathroom nice . continental breakfast good service great , three night stay table never set we breakfast feel like always follow waitress around ask something need . overall pleasant stay would definitely recommend hotel anyone . 
 Jun 8 2004 	 love stay ! 	 last week brother stay Mayflower Hotel London . hotel surprisingly good ! last year complete different expierence visit London hotel . yes , mayflow room quit smal , hear undergroud , Earl 's Court Station situate right behind hotel ( great , not walk far carry bag suitcase ) . expect ? be stay metropole , little village . service good , room clean , service excellent . everything hotel ( appartment Warwick Road ) renovate . continental breakfast good . certainly recommend hotel friend want visit London ! 
 Apr 21 2004 	 good price London hotel ..... 	 London expensive town stay ... thrilled stumble across Mayflower Hotel internet . web site look great , photo show selection tastefully decorate , modern room , rate perfect . well say , buyer beware . public room hotel fine . mom dad end score large , spacious room back building . fiance .. not lucky . first room walk - in closet w/ bathroom . hardly enough room two suitcase . ' ve travel lot overseas know room size state ... microscopic . request change room offer we apartment block road . apartment impressive ( spacious ) . offer we another room back hotel . decide take although much big original room zero air circulation . bottom line , book mayflower travle one person , sure specify want large room large bed . 
 Apr 19 2004 	 Great experience 	 family ( 2 adult 2 year old ) stay one Mayflower 's 2 bedroom apartment townhouse next hotel 3 day . positive experience . although reserve 1 bedroom apartment , give 2 bedroom , 2 bath extra charge . recently renovate full kitchen washer / dryer . hotel apartment locate Earl 's Court beautiful section London , well locate , quiet street , 3 minute walk underground station 5 minute walk Super Tesco ( large grocery store ) open 24 hour . absolutely perfect family explore London . not need much staff , personable attentive need . 
 Apr 10 2004 	 Excellent Value 	 end stay default sister hotel , New Linden overbooke . little annoy first arrive 10 pm tell transfer know nothing mayflow . however , pleasantly surprised , clean , wooden floor , lovely shower / wc , , nice staff . round corner Earls Court tube station - slight drawback room back hear train quite clearly big problem . small room think par course London hotel price range breakfast not luxurious perfectly adequate . would definitely stay . 
 Feb 12 2004 	 warn ! 
 Jan 30 2004 	 Awesome Hotel 
 Jan 9 2004 	 dissapointe 
 Dec 19 2003 	 small single room 
 Oct 22 2003 	 Super clean make sure room situate .... 
 Aug 5 2003 	 Great Place Great Value 
 Jul 21 2003 	 Modern Noisey 
 Oct 29 2002 	 helpful 
 Jun 23 2002 	 attractive remodeling . . . 
 may 17 2002 	 Nice Place stay 
 Oct 27 2009 	 größte Frechheit - Preis / Leistung 
 Sep 22 2009 	 El peor hotel de Londres . Pesimo 
 Sep 1 2009 	 Un descubrimiento 
 Jul 25 2009 	 Bello l'appartamento 24 F e tutto l'hotel 
 Jul 21 2009 	 Zimmer einfach zu klein 
 Jul 19 2009 	 Klein ist gar kein Ausdruck 
 Jul 12 2009 	 Bastante bien 
 Jun 6 2009 	 Hände weg 
 May 29 2009 	 hotel mayflow london ( sandra ) ( españa ) 
 Jan 22 2009 	 super für Städtereisen 
 Jan 3 2009 	 appartement décevant 
 Nov 29 2008 	 mediocre due passi dalla metropolitana 
 Aug 14 2008 	 ? ? ? ? ? ? ? ? ? ? 
 Jun 30 2008 	 Da ritornarci ... senza dubbi 
 Apr 16 2008 	 Gutes Mittelklassehotel 
 Apr 10 2008 	 Excelente relación calidad - precio 
 Oct 13 2007 	 Che camera ....... 
