slide 	 hotel way . go several year start great value find . time pass standard slip . dirty towel , disintereste staff , staff reception ... sense Service 
 Jul 24 2005 	 Wonderful Hotel 	 family stay Jury 's Inn Chelsea three night , July 13 - 16 , 2005 . clean , new staff helpful . special soap shower cap bathroom , coffee maker hair dryer room . room spacious , air conditioning life saver swelter hot . walk Fulham Broadway tube station pleasant , whether day night , take 12 minute normal walk pace . prefer bus , outside hotel take 20 minute get Earl 's Court tube station . highly recommend hotel definitely stay future . area one come district London . 
 Jun 27 2005 	 Fab Hotel - Great value 	 stay hotel 24th-26th June girlfriend short trip away . arrive early room unavailable hotel take bag let we free ever want . staff friendly although foreign nationality welcome other . room spacious clean . cleaner completley clean room replace towel may normal hotel efficient . leave hour come back room completely spotless . hot London Air Con room useful . originally book stay different hotel reading review hotel site I m glad change . 15 minute walk tube station nuiscance carry suitcase . nice area walk along carry normal shopping bag do not even feel time pass . bus stop bout 30secs away hotel walking bring front door tube station . hotel facilitate we late check handy store bag ready get flight . do not try breakfast price seem reasonable breakfast dinner . nice hotel . definately stay return london . 
 Jun 26 2005 	 good value book like walk ! 	 stay hotel June 2005 four night . hotel clean room spacious nice bathroom lot towel . it good value compare many hotel look at . however , good 15 minute walk Fulham Broadway tube station ( slow walker ) .you catch bus hotel tube station ( back ) , bus . 391 pass hotel , cost £ 1.20 single . pay bus . bus run frequently , every 15 minute , even evening . get one - day three - day travel card tube station , cover bus travel . would recommend buy travel card . when get tube back Fulham Broadway , would recommend get District Line train get Earl 's Court go Wimbledon , maximise chance get train want , District Line split several different direction . ( may sound confusing look Underground map will see mean ! ) Fulham Broadway Underground Station newly build shopping centre many restaurant cinema complex , also starbuck Sainsburys , convenient eat buy food eat later . 
 Jun 12 2005 	 4 star - cheap rate 	 stay Jury 's Inn Chelsea early June 2005 . book web site get great deal . room clean nicely furnish . would rate 4 star . problem location . quite walk subway . breakfast downstairs little confusing . 9 quid continental breakfast 12 complete breakfast egg . bus nearby course can not use already ticket . thing consider even take cab subway back hotel visa versa still good value . 
 may 23 2005 	 good hotel - check location 	 short stay early May . attractive , modern hotel pleasant , airy room , residential area . however , fool address - Fulham , Chelsea , good 15 walk Fulham Broadway tube station ( get direction hotel leave home , might get lose like ! ) ; taxi back theatre 11 pm one night cost we £ 25 plus tip - save cost hotel might well end spending transport . the food bar good reasonably price ; breakfast okay expensive £ 9 head . staff helpful polite , apart check staff member answer phone 3 time try find room computer . overall good , reasonably price hotel , take time money get central London . 
 May 9 2005 	 Disappointing Match Night 	 oh dear . stay Jury 's Inn , Chelsea , check whether Chelsea FC play home Stamford Bridge football ground . unfortunately , book stay young niece ( due good review read ) hotel absolutely heave Chelsea supporter singe chant . basically like terrace . try eat restaurant actually trouble hear waitress chant bar 50 foot away . not know much hotel fault - not know actually aim sell football crowd can not control situation - feel really aggrieve , though , stick situation without warn . problem well . restaurant suddenly decide close half hour mid - evening say busy . bar question football supporter stick hungry strand . ask manager ten minute seat we . bedroom noisy various reason ( one , bar ! ) . book twin room , thing exist hotel - get camp bed room second bed . niece sit promptly tip backwards ( broken ) put mattress floor sleep . morning , breakfast mainly ok butter ( margarine ) coffee instant . hardly remember ever give instant coffee b - and - b let alone three - star hotel . ' m really surprised bad experience review site good . assume hotel ' off day ' . plus really ought make clear fair hotel . room large , well equip apart lack proper second bed . bathroom huge . also say whole place absolutely spotless - ' ve seldom see clean hotel - count lot . also , staff pleasant enough . pay 70 GBP twin room breakfast , know cheap London standard , really would not stay unless knew not match night . 
 Apr 28 2005 	 Loved ! ! ! 	 stay Jurys Inn 2 week great ! husband stay 2 week honeymoon . perfectly locate beautiful upscale residential area - away hustle bustle tourist area . clean , staff accomodate . make home ! 
 Apr 5 2005 	 Great Value 	 stay first day / night travel half day . excellent value reasonably price - comfortable general accomodate staff . location lacking though - 15 minute walk Fulham / Broadway Tube station ( Zone 2 ) bus station within 5 minute walk want go route . area near Tube station pretty lively many pub , restaurant , internet cafe , etc . area surround hotel industrial . okay walk day to / from Tube , little eerie night . comfortable room - room individual a / c / heat control . room huge bathroom lot space main room . ice / water machine hallway be scared drink London tap water . breakfast kind expensive , since not seem option nearby get airport , stuck . guess plan build Tube station close hotel , would increase chance would stay . also stay Jurys Inn Galway Limerick - overall ' ve good impression chain . 
 Apr 2 2005 	 two Thumbs ! 	 be hard find fault brand new hotel amenity , include wonderful continental breakfast . atmosphere remind giant ikea ... modern furnishing architecture . allow room early ( 10:30 ) even though not ready we arrive . wait lobby 20 minute give key . not find location bothersome , fact be quiet around hotel light traffic . walk Fulham Broadway tube station time , find hop C3 bus right outside hotel get we Earl 's Court tube station 5 minute ( handy night ) . PS - get 2 night part British Airways air package also . make cost plane ticket well worth . 
 Apr 2 2005 	 excellent every WAY ! ! 	 SUPERB hotel ! stay long weekend Mid March 05 praise hotel staff highly enough . disabled lady - need wheelchair - restrict mobility use stick . staff attentive , helpful , pleasant - one even offer go shop - 10 minute away - ok manager duty discover something want could not supply ! ! ! often would offer level service attention ? room spotless ... 329 .. corner room lovely big window . bathroom ideal - plenty room lovely low bath ! nothing much trouble hotel ... fortunate enough pick friend day hotel travel arrangement make occasion need taxi station , , hotel everythign efficient ! book lastminute go incredibly smoothly everything do waiting arrival permit late check also helpful incredibly efficient ! thing could say might improve anything , apparently , book visitlondon.com , would price , would haveinclude full breakfast credit card charge . please ... book hotel confidence ... spotlessly clean EXCELLENT staff ! 
 Mar 30 2005 	 good value location suit 	 two & quot ; free & quot ; night Jurys Inn Chelsea part British Airways special . give we room noon nice - arrive Heathrow 7:00am . must upgrade standard room large 10 foot bow window 5th floor overlook tiny bit Thames . rest view busy construction major development adjacent Chelsea Wharf . finish sometime next year many amenity next door . area quite seedy major gas work nearby . become posh yacht basin expensive condo . the location still unknown taxi driver download map area save lot blind searching . location problem know get around London . good value whole city go block King 's Road take no.11 bus Liverpool Street Station . take past Parliament Buildings , St - Paul 's Cathedral many popular sight - £ 1 . start Chelsea able get top front seat double - decker . two minute walk water taxi take Westminster get boat Greenwich Kew . go Greenwich first time riverside interesting Greenwich Park large , beautiful free . the hotel clean new . provide good complimentary continental breakfast experience . so - call pub charm McDonalds complete monster television good beer . fish chip serve pub fishstick - ' orrible ! cheeseburger restaurant £ 10 's London one go food ! 
 Mar 28 2005 	 Excellent Hotel 	 stay Jurys Innn Chelsea three night ( Mar 17 - 20 , 2005 ) & amp ; find magnificent . stay Jurys Hotel / inn guarantee quality . room 6th floor great view London . hotel newly open pristine condition . room tastefully decorate , great bathroom & amp ; everything would expect modern hotel . browse previous post site regard location hotel would like give opinion subject . near tube station ( Fulham Broadway ) nice short 10min walk hotel . weather London unseasonalbly good ( 20c mid - March ) seem stone 's throw away . tube central London ( Oxford Circus ) take approx 10 - 15min . general area mainly residential , settled & amp ; quiet & amp ; extremely safe . never go perfectly locate hotel close attraction city . night venture West End socialise take cab home cost £ 20.with London big city firmly believe Jurys inn great value option & amp ; would heartily recommend anyone think visit London distant future . dissapointe ! P.S . great restaurant try 1492 Latin Fusion nearby Fulham ( 404 north End Road ) . 
 Mar 13 2005 	 hide gem 	 return six night stay Jurys Inn Chelsea . fantastic stay would definitely stay . room ready arrive early ( unexpected treat ) room well expect . read hotel room London tiny , one actually bit big imagine . coffee / tea room great long day , mastering & quot ; hairdryer drawer & quot ; style technique , ok . plenty pillow towel ( quality towel though ) bed pretty comfortable . room quiet nice view Thames ( though leave bit . ) bathroom great , huge well lay great water pressure shower ( figure adjustment ) . continental breakfast good restaurant meal great ( expensive Chelsea area ) . staff friendly helpful , attentive smiling . much write location , far , inconvenient , etc . well love hotel locate . busy day heart London , relax come & quot ; home & quot ; quiet little section city . bus Earl 's Court right front morning take 5 - 7 min . ( 15 - 20 eve ) . walk two fantastic restaurant King 's Road ( Chutney Mary & amp ; Jim Thompson 's ) ; easy walk ( 10 - 15 min . ) new train station arrive Imperial Wharf Chelsea Harbor building , hotel will not bargain long . Enjoy 's hide gem ! 
 Feb 1 2005 	 would stay . 	 stay January 05 . new hotel would equate new motel 6 US . room spacious corner room bath rather small although full 3 piece bath . room price include basic continental breakfast however 3 pound full breakfast wife continental breakfast . satisfied food . complaint hotel distance tube station . time 15 minute walk feel safe night . next day take bus easy cost 1.20 pound . bus make tube station easily accessible location become moot issue . hotel bar nice drink fairly price ( London ) . would see reason stay . pleasant helpful staff . 
 Jan 20 2005 	 Great Hotel ! - Location Issue Us 	 wife recently spend 6 day Jury ' Inn Chelsea London . special offer 2 free night British Airways connection Detroit - London ticket purchase , one 5 hotel could choose . initially little worried comment reviewer make distance London Underground . , however , find problem , please overall hotel . the hotel quite new , modern style . amenity high quality fine working order . hotel staff generally quite helpful accommodating . vouch whether knowledgeable London , question much issue . note particular , quite helpful accommodate we early check - in almost 4 hour regular check - in time , although travel January , typically slow travel time . grateful able sleep much overnight transatlantic flight arrive London 6:30am . the room small end american standard , probably relatively large UK . bathroom room amenity , tv , phone , climate control , new , high quality , fine working condition . room bathroom clean , housekeep fine job keep way . noise never issue . restaurant bar hotel , complimentary Continental breakfast include morning , substantial enough need . , upgrade full english breakfast available . downside hotel aside facility , ' other within minute walk distance , although probably change development Imperial Wharf area . there much comment distance hotel public transport . find issue . Fulham Broadway Underground station pleasant 10 - minute walk away easily walk regularly . neighborhood seem quite safe , even walk home midnight . addition , 391 Bus stop 2 - minute walk away , run relatively frequently . even Sundays , bus run every 10 minute ( every 15 minute , later evening ) , wait never long . walk quick bus consider wait time , bus might preferable raining . hindsight , consider location hotel issue . Tube quite close , , everything London easy reach . either take bus , tube walk whole 6 day . need taxi , even stay late night . also , around Fulham Broadway station many fine pub , restaurant , bank , shop , supermarket . location hotel improve even soon , Imperial Wharf Tube station propose , believe might open early mid-2005 , time confirm Transport London . station go around corner Jury ' Inn Chelsea . really complaint hotel , minor detail note follow . addition iron ironing board room , move hair dryer desk tv bathroom would appreciated . map local area hotel guide would helpful . payphone lobby , set toll free call make , unable use prepay calling card make call – charge room phone unreasonably high , usually case hotel phone . minor issue . we certainly recommend hotel without reservation anyone London short stay , business leisure . would hesitate stay London , pleasantly surprised stay . 
 Dec 20 2004 	 clean quiet way track 	 stay hotel week night review one experience . room - excellent . new , clean , fresh , quiet .. 8 month old would expect . restaurant - light , airy , nightly special , food good quality , limited menu however . cosy 1 - 2 - 1 's . staff adequate . reception - helpful . Breakfast - never take room number 3 free breakfast ! . staff lack morning . good traditional spread . location - near lovely Chelsea harbour .. 800yds near pub ; restaurant ; shop . Tube 1.5 mile away . Taxi £ 20 west end . actually refresh away hustle bustle . IMHO 
 Nov 24 2004 	 Nice inconveniently locate 	 husband stay last night London honeymoon early October . stay first part Copthorne Tara , old much convenient mass transportation resturant , shop , etc . arrive back London two day Edinburgh disappoint far tube station hotel . take cab , since one tube station seem know bus need . run problem next morning upon checkout -- early flight could not take bus call cab . take we back Fulham Broadway tube station , yet open . drive we way Victoria station catch train Gatwick . 's cheap ride . on bright side , Jurys Inn Chelsea obviously brand new , modern color scheme furnishing , update bathroom comfortable bed . staff exceptionally nice ; chat lady desk minute travel congratulate we wedding , etc . personable make we feel welcome . room comfortable quiet . not hear noise room get 5 a.m. wake - up call problem . overall , ' ve plan trip last detail need Chelsea area specifically , hotel great . be wing like prefer central walk distance tube , would stay Kensington . 
 Nov 9 2004 	 ok location problem 	 stay recently mostly cheap . pros : cheap priceclean relatively newhigh speed internet accessquiet arealarge bathroomnice bedscentral airconditioningcon : air conditone unit give audible click whenever started stop . not notice much sleeping . Occassionaly would stop though . the shower curtain would go way around metal rail holding tape joint . issue short person , might large person . also , shower head high , almost stand toe reach it . high speed internet access cost 7 pound 1 hour 15 pound 24 hour . luckily work billing not charge , conversion dollar good approximately $ 30 per day . the location tube awful . , not bother use tube two large suitcase . Taxi heathrow 40 - 50 pound , cheap convient . if family couple , visit toursim not stay . stay central london location , even little pricier . walk Fulham annoying . bus service always easy wait for . also , nothing around hotel except residential building . shop , bard , restaraunt , post office , etc . do get wrong hotel nice , tourist worth . 
 Oct 18 2004 	 good 	 book family room ( 2 adult & amp ; 2 child ) Friday Saturday Night . BE warn : book hoteldirect , tell room accommodate two chidren . reality , kid ' bed single fold - out sofa bed small fit two kid ( 6 8yrs ) .The manageress ( extremely helpful ) point inform hoteldirect , agency persist advertising room 2 kid . within 5 minute pointing problem , another put - I - up bed bring room daughter happy ! room clean , main bed comfy , bathroom excellent ( wonderful shower ) .breakfast good ( eat like ) - continental option , full English look good . the bar spacious child - friendly , serve bar snack 10 pm ( ideal long journey ) - number Irishmen ther testament quality Guinness ! hotel slightly beat track , get C3 bus Fulham Broadway / Kensington 391 Earl 's Court . I would recommend hotel anyone . 
 Sep 30 2004 	 great choice 	 stay Jury 's Inn recently two week really enjoy experience . hotel quite new . along everything clean spacious , staff friendly . also great breakfast serve morning nice dining room newspaper provide . bar / coffee shop also quite hop there . as far transportation go , work well understand bus use . c3 391 pick drop directly outside hotel , former go directly Earl 's Court tube station latter go straight Fulham Broadway . Earl 's Court well - locate tube stop get place easily . nowhere stay London middle every single place want go might well stay place like good rate , clean room attentive staff . 
 Sep 27 2004 	 welcome helpful 	 hotel fantastic ! welcome warm staff member promptly check . room bit small imagine , still comfortable . bathroom spotlessly clean furniture new clean . staff helpful find we cab tube off - hour among thing . 's bus run every 20 minute take tube pleasant walk well . Fulham Broadway station like shopping mall sort . quaint ! recommend hotel great value . 
 Sep 16 2004 	 wow ! loved hotel 
 Sep 12 2004 	 nice far Tube 
 Aug 16 2004 	 Jury 's Inn Chelsea Enjoyable experience 
 Aug 14 2004 	 Jurys Inn Chelsea : fantastic 
 Aug 10 2004 	 clean new hotel 
 Jun 9 2004 	 great hotel 
 Jun 3 2004 	 Outstanding Value 
 May 31 2004 	 great new hotel 
 May 14 2004 	 Brand new still need work thing 
 May 4 2004 	 great hotel ! ! 
 Oct 25 2009 	 ? ? ? ? ? 
 Aug 22 2009 	 ? ? ? ? ? ? ? ? ? ? ? 
 Apr 18 2009 	 Absolut zu empfehlen 
 Mar 30 2009 	 carino fuori mano caro non è chelsea ... ti devi fare chilometri per arrivare alla prima metropolitana ( fuhlam broadwa 
 Sep 7 2008 	 hotel agréable 
 Jul 28 2008 	 Hotel bueno aunque lejos del centro 
 Jun 13 2008 	 hotel perfecto 
 Nov 2 2007 	 Muy bueno 
 Mar 14 2006 	 Che tristezza il Jurys Inn Chelsea 
