great 	 stay hotel twice last month stay Shaftesbury hotel area year . spend business travel stay big top hotel outside London year little spoilt . find decent hotel decent price London hard work company hit right note fair mix cheap room ( London ) smart , fashionable , modern , clean room . hotel great location close Paddington Lancaster Gate tube handy bright light west end park . money relinquish think large spacious room , little tight side travel alone normally spend much time room problem . room modern , well kitte ( tea , coffee , complimentary biscuit , iron great business traveller ) . good television set clean stylish bed free broadband ( quick ) . service ok far bad reflect price ( book via Shaftesbury group website great price £ 75 deluxe double ) . breakfast fantastic money ( acid test England sausage bacon good usual ' frozen ' fair ) . number reviewer complain turning room ... check term condition book price guarantee room hotel book ferry another group hotel . 10 0.5 mile vacinity far alike . use hotel chain stay London ( someone use Hiltons Radissons world ) 
 WORSE HOTEL ever ! ! ! not stay ! 	 HORRIBLE HOTEL ever ! ! never ever stay hotel . book 2 room hotel early Nov 2009 , get confirmation . 15 hour plane , energy anything else ! get hotel first check - in , say room we ! worse thing happen US : - get STOLEN right inside reception area hotel : bag 700 usd cash , one laptop , one digital - camera inside bag . bag put beside 2 laddie group , 2 man deal check - in problem . the camera hotel record everything , not know reason could find ! ! report case police london.- final treatment get hotel send we hotel , still charge we first day hotel never chance stay ? ! 
 oct 22 2005 	 good 	 arrival hotel tell upgrade executive suite 2 night stay - thank goodness , dread think standard room may like ! room extremely small , tiny double bed ever see , however would ok room not hot air - conditioning unit noisy sleep . also , internet not work although inform desk staff shortly arrival , many excuse make next 2 day never fix . 2 saving grace , tube station 5 minute walk suite little kitchen not risk hotel food ! 
 Oct 15 2005 	 lucky 	 would read hotel shipping guest hotel , surprise tell arrival & quot ; problem room & quot ; would go elsewhere . compe drink wait taxi , Mercedes less , take we Shaftesbury Kensington , four - star hotel . this former Hogarth Hotel confuse another Shaftesbury elsewhere London . the hotel nice new . guess guinea pig train new staff . will hear complaint . hotel nicer ' m use , close Earl 's Court tube station area lively plenty good restaurant . 
 Oct 5 2005 	 picture website deceiving 	 see picture online book hotel look modern date . plus , website state hotel undergone remodelling coincide modern look . get , carpet stain , one wall paint blue , 2 strange look stain bed cover . room extremely small , fine since european hotel small room bathroom small cruise ship 's bathroom dirty ( grout stain yellow black yellow stained shower curtain ) . amount money one would pay room , worth stay . look elsewhere . disappointed room never stay . 
 Oct 3 2005 	 Probs ! 	 read review expect bad . get good deal £ 40 per room per night . say give location great value . only problem location room . junction two corridor stair overall noisy . tend blame guest rather hotel this . room fine , clean tidy . stay long would request change room good value location ! 
 Oct 1 2005 	 quite average 	 hotel well describe average . outside look like big luxury , inside can not quite keep . room bathroom clean tidy , small - bed take floor space . breakfast fill , nothing special . memorable experience , terrible either . 
 Sep 20 2005 	 Frustrating inconvenient ... good 	 research select hotel & quot ; sale & quot ; online ( ok , maybe know well ) , somehow manage find hotel , arrive late night tell overbooke hotel would transfer & quot ; another 3 star hotel & quot ; & quot ; good & quot ; Best Western Paddington . course , pay taxi transfer we , room pay hotel . however , notification arrival transfer another hotel never hear -- not enjoy -- frustrating ( understatement year ) would recommend hotel anyone ! ! 
 Sep 10 2005 	 could well big 	 child 1 1/2 year old , order double room cot . get twin room , cot . one reason , perhaps space cot , without throw one bed ... also get room ground floor window could open . c 25 - 30 room , AC , hot ... next day , get new room , little bit less small , window could open . service ok , staff spoke english ( norwegian ... ) one pre place free broad band internet . bring laptop , could make plan next day . think price pay , £ 45 per night , ok not include breakfast . next time holliday look review web page go ... Gunnar/ Oslo , Norway 
 Aug 22 2005 	 good western game 	 well , ' ve fall trap many other report . book room Paddington Court , surprise , surprise , sign , tell transfer another hotel unexplained problem fire alarm . arrive Hogath building site Earl 's Court wait line check - hour behind schedule . room coat thick dust result build work obviously not finish . window cover scaffold plastic sheeting . not air conditioning . bed not full double mattress box frame . also insist run credit card machine ask authorisation cover & quot ; extras & quot ; . , insist , normal query everyone see reception lead long wait check . game ? transfer go month . say dining room nice - moroccan stlye - breakfast good . 
 Aug 20 2005 	 absolutely ok ! 	 spend five night Paddington Court middle august . must confess leave Sweden really worried , especially read negative review . need worry . hotel fine . typical three - star London hotel . nothing nothing less . staff helpful polite . although book pay single room receive double . find room small three - star hotel staid London . might perfect family hotel travel child think would book room four - star hotel . would definitely recommend hotel single girlfriend since area feel safe . hotel conveniently locate close Paddington Station , catch several bus , underground train Heathrow Express . hotel notice could help quest book shuttle airport , something use since travel Heathrow . however , even though enjoy stay hotel would recommend someone handicap . hotel state lift al flours large statement . hotel lift , reach flour take several step stair get room . staid guest USA UK , Germany , Italy Spain , one else Sweden . believe scandinavian tourist would prefer Mornington Hotel , Lancaster Gate , ' nordic stile smorgasbord . Anna Jansson , Sweden 
 Aug 9 2005 	 make ` ` Fawlty Towers '' look like paradise 	 recently stay hotel 4 night . pay 79 pound single room receive room size dorm ! could get large suitcase door sideways . follow two morning , hot water . finally , second last day , complain , upgrade double size room ( still small international standard ) . breakfast also horrible ... poor selection egg stone cold arrive 930am . fact maitre have guest loud fight breakfast , end demand guest & quot ; meet outside sort thing ! & quot ; . Manager Hotel reception staff friendly , pity , hotel overprice disaster zone . 's shame , location terrifc , do not get much , anything money ! 
 Aug 7 2005 	 bad hotel 	 spend 2 week good Western Paddington Court late June early July . find hotel pleasant . stay suite room across street main hotel . room small well maintain , clean great bathroom . room refrigerator , micorwave , A / C . find staff friendly helpfull . location great , close Paddington Train Tube Stations Lancaster Gate Tube station . hotel block away Hyde Park . alot local pub resturant area . 4th trip London 2nd time hotel . bad hotel . 
 Aug 7 2005 	 homework avoid place like ! ! 	 stay BW Paddington one night 7/31/05 . check - in fairly prompt ... however get room .. already occupy ! ! ! imagine look gent 's face stroll & quot ; & quot ; room . I go back desk .. reservation clerk actually tell & quot ; be possible & quot ; ... & quot ; system show room empty & quot ; ... first would believe ! ! ! tell call room see . assign room small could barely move , half window ! ! ! exaggeration . never see double room small . map back door show floor / room map ... room actually pencil ( carve another room ) ! ! ! read review say ... & quot ; 's small room , London & quot ; ... bunch B.S. ! ! ! people never London never stay decent reasonably size / price accommodation allow crap ! ! ! never ! ! ! ! ! ! spend pound stay Millenium Gloucester ( 79GBP avg ) Saint Georges Hotel ( 95GBP inc VAT ) especially do not get London often ! ! : ) 
 Aug 3 2005 	 honeymoon disaster 	 like many reviewer , husband arrive Paddington Court straight flight San Francisco discover hotel overbooke would transfer another hotel . let emphasize : HONEYMOON ! transfer nice hotel , Hogarth Hotel , ( new name ) renovation first room hot water , a/ c ( heat wave ) view scaffold ! staff nice , know situation fault ; transfer we nice room large , scaffold view , hot water ! actually nice room , except still a / c . thus get one night good sleep , although fan give we help little . would recommend Hogarth people renovation do ; staff great . staff Paddington Court nice . forewarn other cautious booking hotel London , Europe anywhere world Expedia ! chance hotel overbooke ! offer compensation- travel voucher book ! 's bad business , opinion ! 
 Jul 25 2005 	 disorganize extreme 	 like previous reviewer , show find transfer another hotel . difference book 6 month advance , excuse know come ! staff apologetic , still make sit hot overcrowded lobby hour find we cab transfer . transfer find nowhere near wanted city , cause we incur additional cost order meet tour day . complain hotel management fact , offer & quot ; discount & quot ; rate next visit rate book online anyway . course , book property chain . 
 Jul 22 2005 	 Sense Humour require 	 husband horrendous experience Best Western Paddington July . arrive , tired , end long trip , look forward good sleep flight home . not . first man line arrive berate frazzle desk clerk accomodation want immediate room change , could not accomodate . next two businessman , tell problem room would need put another hotel . lengthy , heated exchange , storm hotel , cancel ' reservation ' . next , also tell room problem , going put we upgrade , four star hotel would pay taxi . sound good . however , wait much long hour ride . turn could not use taxi service , company arrangement , wait , wait , wait , clerk intermittently phone , plead come list unhappy traveller continue grow . finally arrive hotel , well midnight , horrified . ' four star hotel ' promise major renovation dark could see scaffold . sound sleep . air conditioning room stifle . window would not budge inch . front desk person come fight window also could not get open . solution : open door hallway let cool air . be 1 a.m. , not particularly viable option . sure enough , morning , construction start , quiet privacy construction people walk right window . the good thing experience camaraderie develop exhausted people wait we , catch predicament . irish couple dub ' 4 star hotel ' Fawlty Towers , us hoot . will see , see attach picture & quot ; 4 star upgrade & quot ; . 
 Jul 18 2005 	 book transfer another hotel 	 book hotel reading review . arrive check tell system crash day make book online ( 3 day ) result hotel overbooke . staff apologetic explain book we another hotel close calibre would put we taxi get . week - end break choose hotel location bar could meet friend . arrived & quot ; new & quot ; hotel find away want stay bar . feel disappointed wonder Best Western not courtesy call soon realise room we ? would prefer know advance instead feel con . 
 Jul 13 2005 	 suck 	 husband , 17 month old daughter travel NY London .... sleep baby cranky .... reach hotel 10 say would clean room 2 pm could check .... w come 1 pm see room ready ... say room transfer we another hotel .... also take money 4 day stay advance assure we room like one book good western paddington ( BWP ) ....... tired go hotel transfer we ... Hogarth Hotel ... Earls court . we book executive double ... pay premium $ $ $ / pound ... check room look small ... decide call day daughter cranky ..... next day find room standard double ( cost 70 pound ) instead executive double . pay 90 pound executive double . top renovation work go hogarth place ... rob we sleep . they move we executive double last day stay refund us balance .... argument ... good western paddington tell book standard double . hogarth hotel give we free cab ride king Cross station ( 18 pound worth ) day check out . pls .... take advice .... book BWP ...... unless u want spoil vacation . 
 Jul 9 2005 	 worth ! 	 two friend arrive home London today definitely return Paddington Court Hotel . book room three single bed , tell not one available give room double single lovely view brick wall , basement . shower stick 50 degree complain 3 time still fix . television also not work complain twice fix . iron work , window secure light bathroom not work . bad hotel stay ! 
 Jul 7 2005 	 give miss ! 	 send hotel overbooke ' sister ' hotel nearby . double room give smallest ever see . decor room bathroom fine new window old metal . lack catch swung wind . room third floor water pressure feeble . the bad thing happen arrive back visit theatre find luggage disappear . initially relieve go reception tell , , not steal move another room . room already occupy people go extract bag . luggage include laptop passport . cross seem find funny . advice avoid place like plague . 
 Jul 6 2005 	 rude staff huge rip - off 	 wish read review booking . initially , want put we ( two adult two young child ) two room sure closet past life . damp , dirty , really small , desperately need renovation . fit , & quot ; upgrade & quot ; we room double bed pull - out couch . pull - out couch look like come second - hand sale . ugly , dirty , bed matress two inch thick . internet work . staff unbelievably rude multiple occasion . serious attitude go place . stay hotel - terrible . 
 Jul 5 2005 	 hot 	 staff helpful . one occassion information seek right around corner hall , know nothing . go beg fan . room clean . room hot mold awful . two four we go doctor 2 time first week back 12 day later still deal respiratory problem . Breakfast slowly restock nothing brag . first stay London expect american style resort . health risk . 
 Jun 12 2005 	 Disappointed 	 not impress pic website . room small place move . smallest ever . top sheet bed dirty ... never see washing opinion . staff reception helpful nice considering price per night not think visit hotel . 
 Jun 9 2005 	 require space skip place ! ! ! 	 say room small , would understatement ! hotel clean , staff helpful flriendly , room incredibly small . ' m say , & quot ; ugly american tourist & quot ; either . ; stay London , world , simply put , room freakishly small . take wish . continental breakfast includse w/ room , otherwise , skip ( expensive 10pnds ) .internet ok , kinda like TiVo internet , basic stuff , fast , terribly slow , allow access web - mail , cant't beat that . Tube close ! ! 's Long March either , walk , dread final walk tube hotel ! neighbourhood safe , clean , middle - classish ... knock - down , , Chelsea , Kennsington . bed decent good , shower tooo small well , hall - way small ! Keibler Elf , bad place stay . 
 Jun 3 2005 	 Tatty 	 dump . do not fool pic . look great - get can not believe it . it not clean bathroom chip tile bit mould . have not decorate since eightiesthe handyman hotel want sack . taps loose - overflow bathroom not connect cause flood . loose fit everywhere , wonky shelf towel rail hang off . the carpet wear badly fit - lift look like good lift tiny old . they cock room key original room move flood . internet do not work either room not fix complain either time ( send handyman say know nothing ) . telly reception bad . make wait til 2 pm check . staff thick rude . near tube make either . 
 May 2 2005 	 ok price 	 49 Pounds per night one could complain location hotel . Clean centrally locate . staff ok . single room re - define SMALL London - extremely tight could hardly turn move shower . I wonder accessibility disable guest hotel - way many stair bear mind place ' new wing ' first floor , close .5 mile walk multitude stair climb elevator . ( despite clerk tell first set stair lounge , another set stair - forgot long corridor almost 3 flight stair bag ! ) .area nice quaint . price , good deal - anything , look elsewhere ! 
 Apr 25 2005 	 could complain 	 book triple room thru Londonnights.com hotel get £ 20 cheap go thru hotel . check room " commission " give we 3 single room instead ! well three bloke day night town ! ! single room small clean amenity require ( towel , soap , iron , etc . ) even internet access room . great value money compare joint ' stay quid less ! ! ! highly recommend place back . 
 Apr 20 2005 	 Nice .. 	 stay hotel March 2005 , totally love .. grant room small , pleasant hotel . staff friendly helpful .. location excellent , 5 minute walk paddington station 5 - 10 minute walk notte Hill.we would stay . 
 Feb 4 2005 	 stylish hotel friendly staff 	 ' ve stay hotel four five time past year always find pleasant experience . ? room modern clean , location excellent public transport buffet breakfast ample . complaint . negative comment ' ve see elsewhere site surprise since hotel give cause complaint number year partner particular stay . regard hotel ' safe bet ' booking accommodation London would unreservedly recommend - fact book short break stay several time . seriously doubt find somewhere superior price . not let complaint disgruntled customer put . 
 Jan 5 2005 	 cheap cheerful 	 arrive 27th December young son become sick whilst travel . wait patiently reception ( busy ) . serve , explain son ill need take room soon possible . tell room ready . receptionist say one bed room ( book extra one son ) . ask sort say - company book accomodation . call turn Hotels fault . wait three hour room . the room small , shower room leak accomodation . report nothing do . the hotel lovely area disappoint attitute staff . 
 Jan 2 2005 	 Pleasant stay good locale 	 read review forum Best Western Paddington Court Hotel ( BWPCH ) already book 4 night stay ( Dec 28 - Jan 1 ) terribly worried stay maybe good end satisfied place . place perfect couple heavyset middle aged North Americans first time trip budget . we room 1st floor overlook Devonshire Terrace . General Comments : bug evidence anywhere ; pleasant quite helpful staff ; safe neighborhood ; Minimal , , noise rms street ; rms number location clearly signpost ; great location access public transport airport transfer ( 13 pound one way Heathrow Paddington trip Heathrow Express train - 15 minute trip exactly ) ; 6 minute walk Paddington BWPCH ; 5 minute walk Lancaster Gate stn ; 5 minute walk Hyde park ; small rm expect London without pay fortune ; bed quite break much soft liking ; Bathroom size fine shower curtain complaint bit exaggerated think ' 230 lbs ; lot restaurant nearby - Braza 's ( italian ) probably good value . ( nobody neighbourhood hear Brazza ' name window Fontana di Trevi eventually discover Brazza ' name appear receipt ) 2 minute road 10 Craven Terrace ; Bizarrio ' Praed St ok well . economy , breakfast good deal Paddington stn ( simple breakfast 2 garfunkel Praed St ( gulp ) 20.00 pound ) ; ' use BWPCH restaurant comment ; several small grocery / convenience store within 1 minute walk hotel open 11:30 pm . Moore ' pharmacy opposite corner BWPCH quite handy medicinal need well ; 
 Nov 16 2004 	 stay away ! ! ! ! ! ! 	 live Essen , germany , stay hotel 10 - 14th november 2004.we ` expect much London several time ago . much : hot water shower 3 4 day . every day tell reception . user already write , unfriendly ` react become real angry , make scene . tell we , boiler ( water - heater ) defect change , wait water heat . request another room deny , none . third morning least water shower . reception really impressed . nothing happenend go third time make real scene . admit , without apologize , whole 4th floor water . argue , generously give room third floor , everything work . by way , room significant big first one . first room 4th floor , other already tell , , small . room bed wall around bed .... weekend wait time 15 minute get place breakfast - room . ` wait stand line stair room ... would accept , cold shower ` accept . much ! even ` wash ( long ) hair properly . if youv ` already book : don´t accept room 4th floor reclamation , repeat repeat reception , otherwise nothing happen ..... ! ! ! ! ! GOOD LUCK ! ! ! 
 Oct 25 2004 	 imagine bad place stay 	 well 1,000 night hotel last 10 year various place around world nothing come even close bad hotel . staff rude , room unbelievably small ( see big closet ) clean place either . choice stay London would suggest try bench Hyde Park instead . 
 Sep 27 2004 	 good best western world 	 first sight ought good hotel , sadly not . request double sized room , find broom - closet . room would small single bed . one side double bed hard - up wall , two people stand time , thin . tiny bathroom . everything , air - con , tv , tea - maker , closet etc present , clean , small . unfortunate occurence checkout , lose prepay voucher nearly get argument payment . take half hour sort . fairness , lobby redone thet cramp temporary quarter . cheap either , nothing London . five minute walk Paddington Station express train Heathrow , good location . might go back , would look elsewhere first . 
 Sep 8 2004 	 Fine 	 read terrible review , friend pretty apprehensive hotel , turn fine . course room small , visitor London know be go get spacious super - fancy place kind price . not air conditioning , advertise , get big oscillating fan , A / C not terribly miss . room clean , bathroom fine staff courteous helpful . midst renovate restaurant bar - lounge finish leave attractive . wait get room hassle check . would definitely stay . seriously think strongly negative review must people aware London hotel standard expect something luxurious budget hotel price . not afraid . be fine . 
 Sep 7 2004 	 great hotel ! 	 think hotel great ! yes , room small , much time spend room ? plus , standard cost London hotel , deal . it clean , decent sized bathroom , beautiful lobby lounge area . restarunt renovate , offer bring breakfast room . great location , 3 block Paddington train station . complaint website state air - conditioning . provide large fan sufficient . 
 Aug 28 2004 	 good enough american standard suite cool 	 room small 1 person book double . aircon , smell diesel fume open window . , transfer suite across street add 15 pound per night small kitchen , bright color , aircon bath tub still small . receptionist staff polite helpful . 
 Aug 7 2004 	 price good hotel average 	 arrive early ( 0600 ) ask time could ckeck . tell ( rude unfriendly staff - people whole England proud ) room would available 1100 . return 1100 spend next 3 hour waiting room . room extremely small , even english standard , clean functional . enough room two bag floor . the bathroom smallest ever see hotel . shower enclose glass could turn around without breathin - tall . water temperature hard control end scald could get away water without get show . end showered door open . the breakfast not worth wait end breakfast small cafe area . all hotel would suit use asian american hotel . , however , ok get cheap rate convenient . 
 Jul 27 2004 	 surprised negative review 	 okay , read review first trip London month . fully prepared horrible experience base saw , reservation make could change . go friend 's military retirement ceremony . Took & quot ; Black Cab & quot ; Heathrow not sure manage tube . also , tired want get straight hotel . cost 50 pound -- tip . when arrive noon , room ready able proceed . find staff friendly , competent , helpful . bellman available take rather heavy luggage stairs maze find room . really bad part stay . wind corridor ( small ) multiple stair manage ( , heart condition ) . part exhaust long day . definitely want get room toward front hotel low floor . request close lift possible , otherwise prepare tedious hike . I read many nightmare regard room , mine , albeit small , remodeled , clean , window open onto cross street , Craven Road . read guest book rightaway find small number fan available room . go right back get one , great help keep air circulating , cool sleeping . bathroom small , shower stall , adequate clean . cruise , imagine bathroom inside cabin . give idea . large man , manage work & quot ; deal & quot ; shower curtain not stick body whole time bathe . the bed okay . great mattress , sleep . I continental breakfast include partook morning , option expand full breakfast minimal charge . adequate , one server see continually greet morning left wish great day . REALLY find staff courteous willing help . staff except front desk around clock seem . have dinner restaurant first evening , find outside restaurant appeal . btw , new restaurant block hotel call Brazas outstanding ! ! stay , not miss ......... especially homemade pate ' . also chinese restaurant around corner quite good . I usually come back hotel lounge brandy evening retire . I never use underground , take taxi ( Black Cabs ) everywhere save time . not many day explore friend 's ceremony time essence . bit pricey , worth . everything London double pay state . although , ask hotel arrange taxi airport return , get brand new Mercedes AC , wonderful driver , great conversation way back . company hotel contract 22 pound . bargain convenience comfort . I take & quot ; Original London Bus Tour & quot ; give quick overall look want go back explore . helpful get orient city . 16 pound ticket good 24 hour . could get . even get free river cruise part deal . across street hotel suite . see hear one upset family size accommodation . , really not hear complain . , wide range people stay business people tourist . all , good experience would stay , although find bit remove rest & quot ; action & quot ; city . think probably people would go close Paddington Station , never see . also feel safe neighborhood . I go lot aprehension stay , decide would make & quot ; good stay . & quot ; speak say & quot ; hello & quot ; encounter staff respond warmly . think part staff not speak unless speak not want disturb . maybe London thing ........ think courteous remove . so , experience want come back add review . maybe bad one bring attention see remodeling go everywhere , find staff delightful . I guess sometimes boil & quot ; decide make it . & quot ; yes , not use U.S ............... not U.S.Hope help ! 
 Jun 27 2004 	 get Pay ... hmmm 	 Reception Desk Staff : LOVELY , HELPFUL , KIND ! ! room- triple : three twin bed . one broken mix match blanket , aged bedspread , heat radiator ... thermostat . maintenance staff turn radiator ... beware ... will roast way adjust temp . staff turn rad . off . telephone : could make call . could call Reception Desk . NOISE ! unbelievably NOISEY . door slam . wall thin tissue paper . hear neighbor . door room rattle another door close . BATHROOM- shower - rediculously small . unbelievably inefficient . room move all.sink- mix faucet ... one hot ... one COLDOUTDATED ! shower 2 ft 2 ft . Hair dryer nail INSIDE top drawer dresser . Hmmm ? ? ? 's good price prepare noise noise . lovely anyway serve purpose sleep bed . not expect luxury . be plain loud inefficient . computer ' rent ' work . date travel ... June 19th - June 25 , 2004 think twice choose stay . beware . get pay for . it locate nice area ! 
 Apr 7 2004 	 bad service ever ! save trouble ... 	 initially book room hotel think location would ideal since close proximity Paddington tube station , fact turn positive outcome stay . hotel appear lovely outside lobby quite nice , , first night wait check receive oman experience awful stay . couple complain request coffee 48 hour ago call several time remind concierge one anything . obvious upset concierge really nothing help , seem could not care less . would not answer ask manager 's name , would give contact number . couple enrage left fume . think first maybe night discover not blowdryer go front desk request one concierge say not one available room book moment would need wait someone leave next morning could one . find hard believe go along . call next morning around 6:30 ask blowdryer . tell would deliver one room 15 minute . half hour pass still sign blowdryer call time another person answer tell 's & quot ; drawer & quot ; ... ask drawer , continue vague hung . turn dresser drawer right beneath tv ( way not even work properly ) could not understand not tell night initially ask . anyway , problem staff . besides fact 1 ) rude disrespectful 2 ) totally incompetent , seem actually go way make stay difficult . need room one extra night since spend part vacation Paris tell would not problem get room . next day , however , try book something , receptionist , short indian woman whose name could not catch , tell we mistaken , nothing available night request . obviously furious give wrong information previous night absolutely nothing help we , sour expression show sign empathy situation . decide speak someone else next day assistant manager , Roy , handle matter put arrogant snooty attitude . not give we confirmation room merely sign letter say something available . come back Paris apparently mix - up could not find anything book cardholder 's name ( friend 's , stay ) tell we fully book night could not stay . fortunately , able get assistance manager really blessing . not would left place stay last night London . corteous kind also go way could we . turn room book name although would save we lot time trouble Roy tell we begin , anyway , get stay 4 star hotel instead Paddington rate promise we , sense lucke . even transportation hotel provide we thank manager ( can not remember name lose business card think something like Peader ; slim build , average height , red hair ) . really , can not fully express terrible service hotel manager person stand someone care customer . settle bad service stay good location would rather stay somewhere else nice friendly staff . will admit room decent still small , tv give we problem ( would not turn time ) . overall , would say be really worth stay hotel ruin trip make disgruntled twoard Londoners thank poor service attitude BWPCH . 
 Mar 30 2004 	 love sleep bug bad service ... 	 Deceptive . upon arrival Paddington Best Western , lobby look clean quaint . staff curt uninviting ( could Londoners ) . arrive room , boarder mention electricity room wait hour call concierge multiple time . wait cramp toom . room look clean , upon get bed , notice cockroach next pillow , later bathroom . enough disgust , suck . meanwhile , bathroom sign say , & quot ; USE & quot ; worried problem call management say worry . reasonable person would take sign not problem . reluctant use , end conceeding . go search hairdryer . problem escalate . not find one room call concierge note . say drawer , mention could not find . go bed wet head . morning leave day notify hairdryer say drawer say . say would take care . time arrive back night decide stop bother hope would . , sign hairdryer . call concierge say colleague went look one , never return . end bring another room actually use hair dryer new occupant arrive . furious , tired complain manager frustrating situation . ask five time * * * hairdryer ! afraid even ask roomservice ! besides find bug bed rest stay , opt stay hotel much possible . find well hotel well service , would highly recommend . Paddington BW , poor representation Best Westerns US . 
 Mar 29 2004 	 bad hotel London 	 LOL ... could not locate room , ask maid help we . could not even find room , escort back reception area ( idea get back ) someone else show we room . hotel like labryinth twist turn . get well ... room , floor squeak every step . literally thought would fall . oh forget bed ! uncomfortable thing ever attempt sleep . recommend place . learn mistake , stay ! 
 Mar 15 2004 	 cup tea 	 full agreement negative review offer fellow carping arrogant whine Americans discriminate traveler : good : proximity Paddington Station ; safe neighborhoodthe bad : unhelpful staff ; billing dispute ( not want honor rate book confirmation ) Ugly : room . & quot ; Small & quot ; would improvement . hallway . someone mention rat maze ? 
 Feb 29 2004 	 job 	 critical review completely unfair . spend 4 day stay work London hotel absolutely fine . warm , quiet , comfortable - clean . many hotel London keep awake constant traffic siren night long . peaceful . station nearby . lot restaurant nearby . area pleasant safe . staff friendly helpful . restaurant serve reasonable food cheap . want big room lot grovel personal attention pay 4 time much go elsewhere , want reasonable perfectly decent deal , hotel absolutely fine . really nasty flea pit cost much . hotel pleasant place go nice friendly staff . not take notice carp arrogant whine Americans - hotel civilised . 
 Feb 28 2004 	 Bad hotel . 	 terrible hotel . quite expensive , good value money . hotel maze . actually get lose first attempt leave hotel . write route hotel ( ok , charm ) . room small . shower almost unusable : way small much water . breakfast buffet almost not show choice . Neighbourhood Ok . would stay . 
 Feb 28 2004 	 stay whatever ! ! ! ! ! ! 	 good Western Paddington need association Best western terminated everyone convenience . hotel wonderful location suit girlfriend quite well avid runner . Hyde Park short walk street perfect running . hotel quite repulsive eye guest darken doorstep quagmire . desk staff speak little English seem inconvenience guest presence anything . first room receive smoking room ( reserve ) evidence smoke ripe air , carpet , comforter , curtain , anything could hold scent . comforter burn hole complete permanent depression last bed smoke beheamoth . upon bring attention desk staff suggest another room . alas perhaps something good come . chance however , room # 2 fare somewhat well though despite be immensely tiny size . entire stay yield signal intention move around room . much like live doll house imagine . light fixture must hung cheap hardware imaginable collosal weight strip right wall consequently dangle precariously bed remain screw . bathroom good except shower small like take shower phone booth . shower curtain would cling back like vinyl skin entire time one shower . heater stick relief window could open 4 inch let air . hotel decide screw windows shut height would escape comfortable lodging area . dilemma fire present challenging moment guest hotel quite literally rat maze . fifth day stay marked moment trip milestone finally remember find exit street . bad , fire happen guest would never find way . Paddington convert rowhouse present navigation problem even without smoke , confusion , panic . hotel ok wish spend little time possible , perhaps even sleep . first night spend sleep run clothe expose skin would come contact bed , blanket , comforter , pillow . 
 Feb 26 2004 	 Minimalist Hotels incorporate 	 first trip London , initial basis comparison choose hotel stay , Best Western 's price quality state assume thing overseas . 's get assume . 5'11 155 pound , not problem navigate point point b situation , even cramp one , traffic area hotel downright unsurmountable . comment shower primarily true experience save flooding issue . however , extremely intimate relationship shower curtain end stay insisted cling body every five second . Channel lineup television basic understandably ; recall correctly , total 13 option include cable radio broadcast . location definite benefit hotel ; walk tube station take less 10 minute enough atm restaraunt well one breakfast stop make one killer Peppermint tea ( locate along main road connect hotel Paddington tube station ) . choose eat breakfast outside hotel realize concept & quot ; continental breakfast & quot ; consist nothing microscopic pastry , dry cereal , milk , juice . additional option must order waiter / waitress cost . portion meager good price , external breakfast eatery make several quality english breakfast fast , friendly service big portion . along line service , guest hotel safely assume maintain first - name basis anybody work . personal reason , det night crew simply premise mistakenly take wrong bus wound way Chiswick 1am upon call hotel pursuit cab ( none find sight ) , simply shrug leave device ... dress shoe minimum four mile ' walk . guardian positively grief - stricken absence late hour confront front desk , appear unfazed . Maid service appear disregard preference different location wastecan time return room wastebask reset default location . in short , far well place room small amount , quality exponentially different . upon return Munich London , change stay Millenium Gloucester positively blow away difference . shower long cubicle , bed comfortable ( even cot bring consider non - smoking room leave double easy sleep ) , tv listing far expansive distance tube cut half . also , fitness center , EXTREMELY expansive continental breakfast friendly staff . not recall time open front door walk hotel unassisted . still yearn american food , be Burger King less five minute away . reason add make unmistakably obvious Best Western Paddington Court even possess ability gain two - star review . website mean plan trip update four - star rating accordingly . 
 Feb 8 2004 	 get pay .... 	 book hotel read review page , nearly change booking , hotel ideally situate near Paddington , easy access Underground , however convenient for . the room tiny ( we British use smallish room ) , bed uncomfortable , bath en suite , shower run like tap flood bathroom ( change ! ) , bathroom side step door narrow . breakfast - pay extra hot breakfast ( worth ? 4.50 ) , serve & quot ; cup tea & quot ; , pot anything ! basic . not one member staff ever say & quot ; good morning good evening & quot ; apart laundry boy final morning . next time be stay Hilton , Paddington . 
 Jan 11 2004 	 miserable dishonest property ! ! ! 	 typical overnite flight US , present front desk appox 0930 hrs . told & quot ; room & quot ; would available 1130 hrs . understand norm , big deal . instruct wait lounge . sit room 1430 hrs 30 + people tell story screw reservation sort . grow number wait people grow ( point overfull luggage room ) staff cheerfully check travel agent family ! ! ! ! finally , reach room find substandard , dirty , somewhat dishovele . travel Europe extensively find property big dissappointment encounter ! perhaps bench Paddington Station would accommidate ? ? ? 
 Dec 27 2003 	 London hotel 	 arrive Paddington Court room typical London , small well furnish . friend find mattress room see well day complain management . move large much nice room first floor . 8 day stay become nice . staff , hotel kitchen , great , breakfast nice , room clean everyday convenient tube bus . complaint join Best western Crown Club get point become catch 22 . make reservation internet another party count . big joke . hotel fault however . 
