great 	 overall satisfied , lobby make feel expensive hotel . room perfect , however wall thin , neighbour keep knock wall small noise room . hotel huge , morning breakfast area totally crowd - breakfast selection quite ok . 
 may 19 2005 	 beware ! 	 husband book stay Millennium Gloucester Priceline $ 100 per night . happy booking look forward stay hotel . when arrive hotel find courteous bellman take luggage give we receipt give front desk check . hotel lobby attractively furnish , though smokey . desk encounter staff likewise courteous professional . room ready first arrive hotel ( arrive 1:30 afternoon ) , room ready we 3:00pm ( normal check - in time ) . room first floor hotel somewhat small , well - equip attractively decorate . bed king - size bed , pleasant surprise , bathroom boast large bathtub / shower . less pleasant orange stain carpet warping wallpaper due water damage . issue easily overlook , however , expect hotel give Priceline customer one well room . however , could overlook fact none lamp room work . make quick call housekeeping send someone , though mean husband could take desperately need shower room full people try figure lamp problem , strange reason , replace item ( expensive ) minibar . initial hubub ( turn water leak second floor toilet short wiring room ) , finally able shower , dress , leave room explore neighborhood . find hotel EXCELLENT location tourist : quite literally across street Gloucester Road tube stop , two grocery store right next across street tube stop . also bank , travel supply store , wide variety restaurant pub within one - block radius hotel . hotel also boast several restaurant , bar , business center , facility . we satisfy choice lodging day arrival . Hampstead go ATM withdraw cash . request reject bit investigation show fund available account ! immediately make way back hotel several phone call realize hotel freeze * twice * amount money suppose card check ! may know , hotel request credit / debit card check hotel order cover incidental charge ( i.e . phone , restaurant , etc ) . hotel & quot ; freeze & quot ; fund account hotel assure collect fund check . know , contact hotel well arrival find much would freeze . tell would freeze 50 pound per night . give current exchange rate , would come little less $ 700 trip , problem we . however , hotel clerk , reason , freeze 100 pound per night , , imagine , take serious chunk budget ! complain hotel staff , first could not see problem . finally agree reverse errant charge , tell would take 5 business day charge go . explain unacceptable town week . communicated bank , bank willing release hold hotel would fax bank instruction . bit wrangle , hotel fax bank . however , hotel never apologize serious error , ever offer sort compensation offer assistance fund going release quickly . I concur many reviewer note Millenium Gloucester many thing recommend place stay , staff management completely unconcerned customer problem arise . stay hotel . 
 May 19 2005 	 Customer Service = Awful 	 ' ve London many time far bad hotel ' ve stay . Front Desk staff leave lot desire . perhaps train customer service would good ! ! ! also pls keep mind check - in 1 pm make sure time flight accordingly b / c will difficult time check early . one positive hotel literally hotel right next Tube . Hope help ! 
 May 18 2005 	 careful hide charge 	 hotel fine get decent rate . like mention reviewer , convenient location next three tube line . however , budget extremely careful hidden charge . checked charge 22.50 UK pound one 6 minute local phone call- equivalent $ 43 US dollar ! ! ! apparently although local , cell phone . look rate room could not fine , not make long distance call , figure short local call would ok . complain , give courtesy discount , come $ 33 . note exact call Hilton 4.23 UK pound ( ˜ $ 8.40 ) . also complain upon return email , general manager kind enough reply , wrote & quot ; privilege offer valuable guest flexibility good available rate room night , rather discount facility , telephone laundry charge . & quot ; not consider 4 pound local phone call ( Hilton ) & quot ; discount & quot ; , consider 23 pound call rip - off . sidenote , breakfast extremely expensive ( 18 pound per person ) , great little bakery around corner , worth . 
 May 17 2005 	 clean modern good location 	 hotel look nice . 's modern clean . location good . main disappointment call make special room request ( second time ) , person phone say hotel allow 2 people per room . end incorrect information complete lie ( hotel fact room 3 bed forth ) , cause we GREAT deal stress . halfway around world know . well , fortunately , husband call speak General Manager hotel . say fact allow stay ( 2 adult , 2 young child ) . relieve . arrive hotel , could give we room two separate bed , promise we would get room ( family room ) next day . well , next day , happen . frustrated . third night stay , finally able sleep comfortably little space . still happy . hotel good , clean , nice , convenient location . least not charge we extra two separate bed , unlike Hilton Metropole . quite tacky greedy part . really hate smoky lobby area . hate Europe overall . never hear second - hand smoke ? 
 May 16 2005 	 Good Value ; half block tube 	 budget traveller , really good deal money location . Gloucester tube half block away . american keep mind hotel run differently Europe UK . spend money lobby . therefore lobby look like typical american 4 star , room like 2 star . nothing terrible , nothing fancy plenty wear tear carpet furnishing . even , certainly can not beat location price ! ! ! ! find grateful close tube , particularly luggage tow ! ! ! ! also find staff courteous accomodate well . 
 May 13 2005 	 Top Hotel 	 Fantastic Service , warm welcome . try Club Service £ 116.- Staff professionnal , particularly receptionist . room comfortable , high Speed internet much appreciate . 
 May 10 2005 	 content budget traveler 	 partner fortunate land MG Priceline bid $ 80 / night week . real steal ! notify advance would check hour early , room ready , upgrade we ( free ! ) club - level room . encourage politely ask upgrade check - in ! ' hurt , seem like other successful , . addition spacious room separate elevator , club - level guest access quiet lounge newspaper , cappuccino , tea selection , fruit throughout day , well bubbly around 6 pm . breakfast club member , . still , find perfect spot relax head evening . room lovely , except considerable mold problem bathroom discover shower arrival . Blech ! housekeeping take look , quick switch we another club - level room , move luggage us see city . happy service , especially eager - to - help concierge duty afternoon evening . guess criticize service hotel , , probably less gracious . carpeting furniture wee bit shabby ( $ 80 / night , ' get right complain ? ! ) , bed wonderfully comfortable , crisp linen . bidet first bathroom , get part european travel . , although ' rarely find british hotel , bathroom washcloth . Woo hoo ! ' budget traveler like , recommend follow neighborhood : almond croissant Tesco ( 89p ! ) , espresso email Coffee Republic , late night take - away PizzaOrganic , dinner beer Drayton Arms pub La Brasserie ( Old Brompton ) .finally , little confusing find hotel first time get Tube . exit Gloucester Road Station ; face right cross street toward Millennium Bailey ' Hotel ; turn right walk 1/2 block hotel entrance , look like carport entrance , small sign . 
 may 6 2005 	 Location ideal 	 hotel situate safe neighborhood . ideal location , walk hotel , board bus , go tube walk restaurant , grocery store , coffee shop , internet cafe , drug store . Advise get pass bus & amp ; tube , real money saver . service good , room clean modern . review read make little wary staying . Carpet threadbare , hotel different hotel U.S. high volume business . anyone stay Euopean Hotels definitely many step . breakfast accord menu expensive include travel package . would stay even travel without tour group . Advise drink across street ans drink expensive hotel bar . 
 may 6 2005 	 good solid 4 * hotel 	 book hotel via priceline ( GBP 62 inc tax service charge ) six month advance staying partner could stay town see Kylie Earls Court . arrive 1 pm , hour check get room not problem . enquire upgrade Club Floor offer GBP 30 . get access Club Lounge unlimited , tea , coffee fruit ; free glass champagne either bar Club Lounge ; complimentary breakfast Lounge include hot item well traditional continental offering . course upgrade room . seem like good deal go . check notice entered system Mr & amp ; Mrs despite advise thing , indeed gay man male partner seven year little affront . ask check clerk change , however Mr & amp ; Mrs continue show tv , bar bill , final bill - impressive . everything fine . room spacious decorate modern style , obviously recently remodelle , though clearly not get round bathroom appear little tired . rest hotel good shape staff encounter friendly . bar expensive ( usual ) get quite crowded get table could problematic large group stay . overall would certainly recommend hotel visit London excellently place tube station minute front door , often get room good price either priceline number regular hotel website . highly recommend . 
 May 5 2005 	 not use phone ! ! ! ! ! 	 friend book three room , go see CREAM perform Royal Albert Hall hotel within walk distance lovely venue . plus : other point , couple hundred yard Gloucester Road station Picadilly , Circle District line tube . big time money saver be fly Heathrow . get hotel ( almost doorstep ) 4.80 pound . bad . the lobby spacious fairly elegant . room ok . clean , etc . bathroom large hot water problem anything sort . Minibars well stock expensive . Use shop pub street instead . minus : air conditioning ( room fan / heat control ) . temperature outside 60s/70s Farenheit , room pretty uncomfortable . think long hard book middle summer . for reason , housekeeping not provide face cloth ( wash cloth we Yanks ) . another minor annoyance . friend travel get . maybe housekeep fourth floor hostile Americans ? ? ? ? BIG MINUS : call friend live London hook drink . call cell phone ( figure would cheaper make local call hotel & quot ; roaming & quot ; internationally cell phone . ) boy wrong . seven MINUTE call friend local cell phone cost 26.25 pound . current exchange rate , 's usd 50 ! ! ! ! ! ! ! know hotel know charge exhorbitantly long distance forth , rip off . Caveat Emptor . 
 May 3 2005 	 Sorry overbooked ! ! ! ! ! ! 	 partner book two month advance one evening stay call 4 star hotel , going see Kylie Earls Court saturday evening partner 30th Birthday , lovely weekend plan . arrival reception desk , greet Assistant Front House Manager inform we hotel overbooke cart we sister Hotel Mayfair ! empathy show whatsoever ! admit due large group pay money ! general attitude tough -- -- . speak Reservations three time since book various reason , inform would ship we Mayfair ( mile away Earls Court ) . last time speak day arrival , message give situation . turn Millennium Mayfair . check go room . drilling go we , two sugar one coffe one teabag , wait hour housekeeping bring we ashtray Saturday night get keep awake singer pub downstairs ! write letter complaint , go attitude Millennium Gloucester Hotel expect miracle . read poor people experience also go Watchdog , ! spend money purse extra travel cost food , also book table two restaurant around Gloucester Road area cancel due move we fault , hotel group greedy wanting take much money possible . hotel group company ethic disgusting ! ! ! would even treat animal way treat we . ruin partner 30th Brithday cause we distress ! ! ! GO - even risk ! ! ! ! ! ! 
 May 2 2005 	 okay certainly nothing special 	 like previous poster , get hotel anonymous deal lastminute . arrive Gloucester Road station , literally take we one minute get hotel enter hotel impressed . beautiful reception , reasonably friendly staff . however room dissapointe , certainly first floor stay . accord staff hear talk lobby first floor room bus tour stay unfortunately although book independently , get allocate room too . wallpaper tear , carpet dirty , dirty window not open bathroom look tired broken handle bath , chip surface , etc ... stay one night would request another room however place stopover route main holiday room although tired date clean enough . the good thing - lovely area , close tube station , plenty local shop , bar restaurant . guess get pay mind £ 69 cheap hotel room nice area London . last time stopover also stay Kensington Harrington Hall ( also cheap deal ) although reception not half grand Millenium Gloucester , room first class ! 
 Apr 29 2005 	 great get cheap 	 brother stay Friday night March . book ticket Comedy Store Leicester Square need cheap convenient place stay . look Lastminute find Millenium Gloucester £ 54 night . price could not go wrong . hotel conveniently locate near Gloucester Road tube station take 15 minute get Leicester Square hotel room . hotel huge impersonal get full airline pilot crew . staff friendly enough , little apathetic , perhaps light little pay ? room ( twin ) comfortably furnish clean spacious bathroom . mini bar trouser press , etc , though advise mini bar 's one expensive ' ve ever see . would disapointe spend £ 100 + room price get perfect . keep lookout last - minute deal could grab bargain hotel room easy access central London . 
 Apr 27 2005 	 give pre - pay room away . 	 book hotel Priceline $ 80 night , mean pay room advance . arrive check - in around 8 p.m. ( check - in time 2 p.m. ) , assistant manager inform we room give away & quot ; group guest decide prolong stay . & quot ; kind policy ? pay room advance , give away someone not even reservation ahead time simply decide stay ! assistant manager pay cab take us sister hotel completely different neighborhood -- neighborhood request use Priceline . make matter worse , condescend dismissive lack sort empathy whatsoever . Beware be travel budget Priceline customer ; apparently management hotel think jerk around not pay full - price . 
 Apr 27 2005 	 wow ! 	 daughter go London four day vacation whirlwind trip -- book package air hotel . stay Millenium Gloucester . could please . elegant lobby , attentive friendly staff , clean room , large bathroom , lot hot water , small desk / writing area , small walk - in closet / dressing room . pale significance , however , look LOCATION . literally 20 step Gloucester Station stop picadilly line . ( within first fare zone . easily get ANYPLACE might want go London within minute , get Heathrow well hour , change hassle . neighborhood tube station safe time day night . couple convenience food place open 24 hour , want use small refrigerator room snack easy . location plus elegance . wow . 
 Apr 23 2005 	 comfortable great location 	 girlfriend stay two night week . get great ' anonymous hotel ' deal lastminute.comthe hotel attractive clean . room 4th floor . everything clean , room moderately spacious , enough two we . nice daybe addition bed . bathroom nice , massive bathtub large enough girlfriend , neither we wait long day walk around London . lift frustratingly slow . feel like time spend wait elevator arrive . neighborhood ( South Kensington ) nice , hotel 30 second Gloucester Road tube stop ; Piccadilly line especially convenient sightseeing . hotel meal look expensive , get lot breakfast snack Tesco convenience store across street . eat well , whole bag donut 50p ( $ .99 ) , compare expensive English Breakfast . hotel nice though usually expensive , watch great discount . 
 Apr 9 2005 	 helpful hint ... 	 stay nicely appoint twin room . ask free upgrade find previous room well ! bed quite comfy , water pressure great , complimenatry coffee / tea daily room . often would shop Tesco across way buy heavenly & quot ; flapjack & quot ; good yogurt ' ve ever ( passionfruit - mango - papaya Muller cherry vanilla w / crunchie ) store fidge . make sure charge accidently motion sensor fridge . tube ( across street ) connect 3 convient line . smart buy travelcard RailEurope.com . free ATM next tube Bureau de Change . love eat various food court local sandwhich chain . city affordable look around bit . museum free fabulous . love come & quot ; home & quot ; nice hotel tuck away lovely quiet area . also , suggest use internet service food chain ( Subway Bond St. huge internet cafe be cheap ) . London ( one great city ) anyway - not hotel room ; though fortunately happy likely repeat stay . 
 Apr 8 2005 	 great location wonderful room ! 	 husband stay March 26 - April 2 wonderful time . get Priceline pay $ 100 / night . arrive 7 course room not ready , upgrade we Club level due length stay . check , room spacious , clean , tastefully decorate . bathroom marble big tub ( bit slippery , provide anti - slip mat ) bathroom quite small . however , far end bedroom vanity area big mirror hairdryer , plenty room we get ready . light recess 2 bed reading . window open , nice day enjoy fresh air . the location wonderful ! Gloucester tube stop support 3 line , could get anywhere ! leave trip , order 7 day tube pass zone 1 & amp ; 2 RailEurope $ 36 . great buy save we ton $ . also 2 grocery shop ( Waitrose & amp ; Tesco ) pick snack bottled water . , drug store / pharmacy ( Boots ) case forget anything . go Patisserie across street ... wonderful ! great breakfast dinner . Hereford 's Pub fun place get ale . also , find concierge desk helpful . knowledgeable . we schedule day trip hotel Premier Tours . bunch choose . choose Windsor Castle , Stonehenge Bath . tourguide outstanding well organize . highly suggest time ! make sure bring power converter adapter overhear someone buy hotel $ 50 ! overall , enjoy stay ! Hope , ! 
 Apr 6 2005 	 Average Hotel 	 Millenium Gloucester so - so hotel . we warn four star hotel Europe actually equivalent three star hotel America , would say accurate . arrive 3:30 ( check - in 3:00 ) tell hotel room ready . sweaty , exhaust 8 hour plane trip well subway ride airport luggage . needless say , disappointed . tell we would 45 - minute wait , actually like hour half . apologize , even give we even complimentary drink bar . the room decent , extra amenity ( i.e . hairdryer ) . bathroom tub extremely slippery . the staff fairly helpful , certainly go extra mile . the save grace close tube station . overall , scale 1 - 10 , would give hotel 6 . 
 Apr 4 2005 	 expect 	 location perfect , right next Gloucester Underground station . decent restaurant with - in walking distance , well grocery store . hotel , hand , dissapointment . book 2 room internet , one parent , one two sibling , week stay . get mess reservation parent room book . wait 2 hour room . suppose one King room parent , one room three single we , suppose close possible . instead end parent 7th floor , us 3rd , give sibling one queen bed roll - away . move we another room 2 single roll - away next night . parent room nice . club level , spacious bathroom , nice bedroom . first room ok , big parent , nice . last room horrible . rust bathtub , cramp rollaway stuff , bathroom almost impossible maneuver around . recommend call double check reservation , ask put club level available . 
 Mar 31 2005 	 Terrific Hotel ! ! 	 stay hotel twice recent trip London ( March 05 ) . use priceline get reservation bid $ 89 night room ( use south kensington 4 star hotel get bid ) . upon arrival ( late night around midnight ) find room select ( non smoking room queen size bed ) , give tell would stay smoking room 2 twin bed . tell night manager completely displeased , immediately upgrade room Millenium Club floor , room king size bed , price tag $ 300 , pay $ 89 . second stay hotel , already upgrade computer . check , expect regular room instead find upgrade Millenium Club floor . hotel right across street Gloucester Rd tube station , three different line go , get anywhere pretty easily . bar restaurant hotel great one area . concierge desk hotel terrific ! able recommend several restaurant area , great ! ( couple make want go back London dinner , never mind sightseeing ) . would highly recommend hotel , hope stay future trip london . 
 Mar 24 2005 	 terrific value thank Priceline 	 stay wife 2 1/2 year - old son one week unseasonably warm unfathomably sunny March . book hotel Priceline pay paltry $ 90 US . stay worth every penny . like other write , location fantastic -- right across street Gloucester Road Underground Station around corner two supermarket , one 24 - hour Tesco . hope upgrade like many other receive , unfortunately none . matter . room plenty spacious comfortable . decor bathroom little tired , paint job room couple scar , ? first time ever stay business class hotel Europe ( oppose funky , independently own property ) . normally , would tend avoid chain search something little character . , not travel overseas toddler , trade - off worth . everyone complain cost food ammenitie : be LONDON , Pete 's sake ! not want spend twenty buck person breakfast ? go Tesco get almond croissant 89p . geez . try coffee across street & quot ; La Liaison & quot ; -- be quite good half price starbuck around corner . would want Starbucks anyway get home ? would high place pay rack rate ? nope . not , . enjoy ! 
 Mar 24 2005 	 good hotel good location 	 stay MG march 16 - 21 say complaint . really picky person hotel ... long clean roomy satisfied . say .... satisfied . get dirt cheap priceline ( $ 81 US ) review absolutly correct tube station step away hotel front 24hr supermarket , KFC , Burger King , small restuarant less block away . phone call 50p minute locally @ toll free call 1.5pounds long distance england 2.5 international call . recommend go Change bureau corner get call card 5 pound call state roughy 125 minute do not lot hang ( connection fee ) .... would go back ... especially price get ..... receive good service ..... ask US power convertor ... bring room do not charge ..... let check early ( arrive roughly noon ) . Hope safe trip ! 
 Mar 22 2005 	 Great Location 	 stay one night February year boyfriend . 's great location , 30 second walk Gloucester Road Tube St . think entrance lobby nice , fire place large seating area . room nice size bed comfortable ! order room service couple time staff bit slow friendly . food order chinese restaurant delicious definitely recommend it . some food wine maybe bit pricey , plenty restaurant Gloucester Road choose , also 24 hour Tesco Metro across road . book hotel last minute deal great value , would return hotel not think would pay full price . 
 Mar 18 2005 	 ok hotel great location 	 stay one night 5th March not overly impressed hotel . although be great location close Gloucester Road tube station , 's thing go . heat non existent never see maintence man promise would come check . comfortable bed central location reasonable price London . always stay area go London use hotel . other area slightly expensive alot value money . 
 Mar 17 2005 	 Hotel o.k . 	 stay Millenium Gloucester 3/23 3/28 . be come U.S. make sure get early check , not wait lobby 2 pm even though flight get Heathrow 9 am . be expect 4 star quality U.S. hotel , forget . room good size call get portable heater room cold , electricity go whole room 1/2 hr . one morning carpet lot stain . location great , right next tube 24 hr . supermarket next door nice . bad hotel 100.00 U.S. night . 
 Mar 14 2005 	 fab time ! 	 hotel look quite grand go first impression good . staff really friendly check quick . standard room book £ 60 priceline great value money . room bathroom really good size nearly everything could need . ask housekeeping couple bathrobe arrive within minute . parking cost £ 30 24hrs quite expensive worth us convenience . bit slightly disappointing wallpaper peel corner bedroom tap bath fall wall ! also , corner room overlook Holiday Inn light sleeper coach come go night bothersome . get earplug though sleep well . , great time , good value money , staff excellent would probably go back .... might upgrade though ! 
 Mar 12 2005 	 close station 	 stay 4 star London hotel husband . book lastminute bargain room rate , probably get poor room . upgrade room £ 30 club room free breakfast want splash out . good point . close ( 1 min ) Gloucester Road underground station . lovely communial area e.g . foyer restaurant . let we check early . bad point . obviously business hotal ( 2 conference stay ) therefore noisy lot come go . long wait check . staff abrupt border rude . room bit like travelodge . all , good location access / museum , good business . avoid want romantic weekend . 
 Mar 7 2005 	 Soggy 	 stay Millennium Gloucester London recently wake early water drip ceiling bedroom . call front desk say would send someone - wait 10 minute call we tell we would send someone - someone show look leak leave without word . no - one get back us situation , early wejust get leave . even checkout nothing mentionedabout incident bring . apology madeby receptionist excuse many staff beingforeign ... realise probably another guest cause problem , expect apology sort tell do , move room etc .. not check hotel 12 - suppose stay listen drip water ? oh look area leak notice ceiling black sagging , obviously beenthe first time happen . suppose thirtieth birthday treat half , end bit washout . 
 Mar 2 2005 	 good quality great price 	 book via priceline one night stay get upgrade club room check - in . room spacious comfortable offer needed night London . close Tube station , lot local restaurant close . friendly helpful staff . not use bar restaurant facility - ' London Hotel ' expensive , full business people ( expense account doubt ) . get hotel good rate laugh . 
 Mar 1 2005 	 Excellent Hotel 	 stay Gloucester love . absolutely complaint . room large especially compare typical London hotel . staff professional respect . glad discover hotel . convenient tube station ( right accross street ) . book thru Priceline reasonable rate . highly reccommend Millennium Gloucester , can not go wrong . 
 Feb 22 2005 	 decent hotel rate low customer svc 	 get hotel 3 night via Priceline ( $ 110 usd / not taxis ) . pro : + request non - smoking room . receive suspect fact arrive early day . + room size avg , bathroom modern clean.+Location superb - literally step Tube stop . nearby shop cheap internet cafe also plus . con : -window insulate well . cold air seep room & quot ; heater & quot ; joke ( make noise heat come ! ) .-At check - out , refuse print receipt indicate zero balance . common practice hotel would . idea why . in short , get pay - tourist class hotel typical amenity great location . not overpay one . 
 Jan 25 2005 	 regret 	 stay Millennium Gloucester Sat 22 January 2005 book Expedia . problem check however , price include tax standard room book 84.50 come 99.00.standard room nice large bed , good room furnishing tea / coffee facility . iron ironboard room well stock mini bar . warning - move something minibar automatically register ( sensor ) reception charge booking ! nice bar hotel though bottle Becks set back 3.75 . breakfast 20.00 go nice cafe road lovely full english fiver . excellent location Harrods ( ten min walk ) Royal Albert Hall ( ten min walk ) . lovely Hotel , 4 star quality highly recommend . 
 Jan 14 2005 	 location : safe clean convenient 	 wife stay Millenium Gloucester Dec. 26 - jan.1 . book hotel Priceline upgrade club room small fee . upgrade come complimentary buffet breakfast morning . breakfast food offer something everyone traditional english breakfast asian cuisine . desk staff poite helpful check early check slightly late extra fee . general neighborhood clean , safe , convenient tube . every neighborhood central London available within 15 minute . one favorite pub stop area turn Hereford Pub , short walk hotel . tesco grocery store come handy small snack like hobnob .... oat chocolate treat scrumptious . be look nice area not part hustle bustle easy transportation access action , hotel perfect . room adequate clean . a word advice Heathrow Airport traveller : take Heathrow Express Paddington Station get taxi hotel . 
 Jan 13 2005 	 forewarned ! ! 	 thoroughly enjoy experience Priceline securing room . rate extremely reasonable ( i.e . much less expensive full price ) overall satisfied experience . one aware sense get inside hotel largely business catering business world ( people business - sized expense account ) . thus , please forewarn come London inexpensive lodging , may place everything extraordinarily expensive hotel . price drink outrageous hotel bar , cost use internet nothing short usury , phone call abominable . fine experience last day instruct concierge make & quot ; toll free & quot ; phone call British Airways not . result charge excess 20 pound ( i.e. , $ 40us ) not even get question answer BA ! hotel manager deal try work issue unhelpful , unfriendly condescend . tell we ' ve concierge call would ' ve free , ask could waive charge since concierge ultimately responsible error . course say argumentative say condescendingly , & quot ; Sir , London expensive city . & quot ; , charge internet use literally 10 + time cost coffee shop across street ! short , would ' ve love give money different hotel , even slightly less comfortable , long run slightly reasonable people . choose go hotel , would recommend eat anything minibar , get phone card newsagent , use internet across street avoid excessive unreasonable charge finally , drink hotel bar unless expense account . 
 Jan 10 2005 	 impressed staff . 	 stay Millenium Gloucester 12/30 - 1/5 2004 pleased staff . book regular hotel room price line , however request upgrade Millenium Club additional cost , regular room millenium club room pretty similar . second day maintenance guy came tell we tub leaking , get upgrade Millenium business club class ( room totally different ) nice , contemporary , large , airy comfortable . bathroom three room pretty similar ( full marble quite nice . ) staff quite pleasant . location excellent- ( three stop Victoria four stop Oxford Circus , plus grocery store across street one right next door . ) arrive Gatwick like , take Gatwick express airport straight Victoria take cab Victoria hotel , be less 8 pound . never eat hotel quite cheap alternative around . hotel nice would certainly stay . gripe wa extensive smoking lobby ( bar right . ) get room $ 68 per night ( excellent deal 4 star . ) btw book vaction package priceline . review read book hotel quite harsh , expect lot problem nothing major happen . extremly pleased choice . 
 Jan 3 2005 	 Excellent Choice 	 husband & amp ; spend 5 day first trip London . hotel comfortable , great neighborhood adequate . although would like try another location next time , would hesitate recommend hotel . right near Gloucester tube stop bus stop . great little pub , restaurant , cafe , convenience store little shop nearby . decor hotel rsther contemporary old fashioned building , comfortable . find restaurant expensive eat . 
 Dec 26 2004 	 Nice 	 stay mid December 2004 impressed . I usually stay 2 - 3 star tourist / botique hotels pound hotel well worth it . the tourist hotel ok also Millenium ' americanized ' full - size room , bathroom , staff . american , especially family , not use Eurpoean size standard , will feel home . ' ve tourist hotel could barely get room never turn around shower - bathroom Millenium substantial . the hotel quiet , high quality , nice location . the tube station outside Gloucester Road - Kennsington Road mention previous review . throw ! Gloucester Road tube station all - important Circle District line take tourist spot , interested in . the neighborhood nice bit sparce far restaurant within walk distance - one hotel restaurant , & quot ; Olives & quot ; good steak pricy McDonald 's budget . there KFC think Burger King block well couple cafe kind Texas Ribs joint . of course two obligatory traditional pub nearby get real british brew along american sud . staff nice lobby public area impressive . I guess strange thing ' Roman Spa ' motif room hallway - hang bed paint roman dude naked waist look like one velvet Elvis painting Mexicans sell street corner Dallas . WIERD ! nice chuckle footnote exceptional stay nice hotel . I definately recommend . 
 Dec 14 2004 	 Nice hotel great price 4 star ! 	 surprised find nice hotel reading review . disagree 3 star room 4 star hotel . disappointed could not get free upgrade four conference going expect . book room priceline $ 100 / night Thanksgiving . room spacious - king size bed , mini bar huge tub marble . front desk accomodate provide extra pillow blanket . concierge great- love every restaurant recommend . french restaurant Lou Pescadou must . could not beleive great location either price London ! across street underground many cafe around catch breakfast . get breakfast hotel , set back arm leg find fraction price outside . 
 Nov 19 2004 	 great place stay ! ! 	 stay Millenium Gloucester mid - November , book hotel Expedia , upgrade Club room get ( extra 30 pound per night ) . room spacious modern , comfortable . Breakfast , also include club rate , also good , nice selection hot cold food . also , complimentary cocktail include evening , nothing special nice touch . locaton perfect , tube station across street central everything . overall , stay great , absolutely complaint . another note , visit London business time , stay Swissotel Howard prior Gloucester . room comparable respect , except maybe amazing view Howard . price double , breakfast include ! ! ! highly recomnend club room Gloucester . sorry can not comment room . 
 Nov 5 2004 	 Pleasant Stay 	 find hotel pleasant surprise , consider great rate ( via Priceline ) . room modern , clean , spacious comfortable -- tastefully decorate . bathroom little small . staff pleasant accommodate -- though would research rather try rely pleasant overwhelmingly competent staff . location great , ! right across Kensington tube station -- could not easy . we never eat hotel , bar area comfortable become fairly active night . breakfast serve free upgrade Club level lounge quite decent . by way , later stay another Millennium Hotel London ( Knightsbridge ) , not even half nice one ... stay past , not put one ... gloucester far , far nice hotel . 
 Oct 22 2004 	 good hotel money 	 stay hotel 3 night october . lobby look great room 3 - star type 4 - star . underground station outside hotel 5 - minute ride Piccadilly Circus Leicester Square . overall good hotel money ( pay $ 100 / night Price Line ) 
 Oct 19 2004 	 horrible story 	 wife get hotel via Priceline $ 84 night stay three night late September . hotel situate great location 5 min various museum 10 min Kensington Gardens . hotel american style hotel seem cater business crowd . staff generally excellent , well - speak helpful . manage get early 9 am check - in although honor request king bed . that be good part . horror story wife arrive early give room . exhaust overnight travel go straight bed . hour go sleep , awoke find bed swarm BUGS ! ! ! ! ! ! , headboard bed , clothe , hair , etc . needless say , flip scrape bug call front desk , pick bag leave room . greet elevator service manager take club level room . apologetic new room well leave , . hear nothing hotel incident never another apology concern show part . irrate hotel quality would show little concern guest endure disgusting bed full bug . even worse , still pay privilege . in defence , say rest stay fine . complaint make club level breakfast crowd food cold tasteless . for 4 star hotel , thing improve upon . 
 Oct 13 2004 	 really nice stay Millennium Gloucester Hotel 	 stay several day Millennium Gloucester Hotel London begin September . find hotel well keep attractive club room large tastefully furnish . continental breakfast morning many restaurant area serve wide variety menu choice . addition hotel locate near underground ( subway ) access various tourist attraction London easy get to . all , would definitely recommend hotel look forward stay return London . 
 Sep 30 2004 	 great place stay 	 husband return week long stay hotel . really lucke get hotel priceline . upgrade 7th floor - club floor - think due length stay . ( seem quite tour group airline staff stay hotel short stay . ) room large - king size bed couch . also travel infant really appreciate extra room . room bath clean . furniture definitely show wear everything still work fine . air conditioning work well . could sometimes hear neighbor due adjoining doorway . complaint . location beat . tube station across street around corner rode tube every . also enjoyed walk around neighborhood / Kensington . last day even hotel help we hire car service airport baby bag . staff helpful . 
 Sep 27 2004 	 love MG ! * * complaint ! ! ! ! * * 	 wonderful hotel exceed expectation . would stay . area ideal . 
 Sep 12 2004 	 cleverly locate american - style hotel 	 return four night stay hotel . flight arrive 6a concern lug baggage around check - in , give room right away . room service maid yet , quickly rectify courteous front desk way back . room could refurbish . however , nothing mismatch , threadbare , stain . look room comparable american standard king size bed , air - conditioning , safe , minibar , private bathroom locate away bustlle part city hotel meet everything . Gloucester Road underground station across street corner beatifully light tree front . delicious pastry shop call Patisserie across station . classic pub corner also pint . big Bus Tour ( open top double decker tour bus ) stop front underground station . perfect hotel look enjoy brilliant captial city offer day comfort american hotel night . charming , classic british hotel find . 
 Sep 11 2004 	 Happy Customer 	 extensive research London Hotels visit city week . read hundred review hundred hotel . decide Millennium Gloucester recommend friend ' m glad listen ! hotel wonderful location , right across tube station , Starbucks , Waitrose grocery store various restaurant amenity . major attraction like Hyde Park , Natural History Museum Harrods within walk distance rest quick tube ride away . the service courteous friendly . hotel room clean , spacious everything could need standard hotel room - even north american standard . agree post hallways need upgrade chip part peel wallpaper - many spend lot time along hall anyway ? hotel room bite dark otherwise , complaint . this hotel would hesitate return . price pay relative hotel London , well worth . 
 Sep 6 2004 	 yes good place stay 	 return three night stay agree reviewer . & quot ; standard & quot ; room nice , spacious , clean comfortable . true wallpaper carpeting long overdue replacement however everything good working order clean . little extras room in - room safe , iron , iron board , hair dryer heat towel rack ! location terrific hotel comfortable well run . would certainly recommend especially get good price ( via Priceline ) . will not better anywhere else price range . 
