one 	 stay hotel three night Thanksgiving 2009 . stay frequently Marriott brand hotel hotel many familiar positive attribute Marriott also drawback . doubt will return subseqent Las Vegas trip . check : arrive 9 p.m . wait 7 8 minute check sole person registration speak another guest . front desk representative overly friendly rude unfriendly , not feel warm professional welcome provide . seem rather uninterested check we in . Valet Bell Staff : quite exceptional . car bring timely fashion , always professional friendly . Luggage handle well . room : separate glass shower small separate tub . room moderate size usual great Marriott bed bedding / pillow . carpet already look worn room hallway hotel old . coffee maker / tea / coffee etc . bathroom not lot space room . desk small refrigerator safe moderate size tv one chair , also quite worn . housekeeping : good . ' m particular housekeeping issue please . internet : big disappointment . hard wired Internet , free club level room , locate hotel charge $ 1 per minute use computer internet Club Lounge . first Renaissance hotel stay charge internet computer use club lounge . way price . room rate : good special hotel room good value money spend : Restaurant ( Envy ) : Excellant . although not know would return stay hotel would definitely return restaurant . several friend reside Las Vegas recommend restaurant . birthday celebration service incredibly food extraordinary . Club Lounge : moderate good . charge alcohol , different Marriott Renaissance hotel frequent ( often international location ) lounge look bit wear also . always one attendant lounge quite pleasant , tv blare one trip lounge many young child run around play hide n ' seek make noisy atmosphere . ambience : overall , not find hotel plush great ambience . nothing horrible hotel not find service fantastic . front lobby often fill really loud noisy , sometimes obnoxious sport team member , staff nothing control . prefer Marriott Suites , couple block hotel . location : choose prefer stay strip usually visit family business gambling . location fine next convention center . $ 10 taxi ride main part strip use monorail , stop right next door . pool : small pool main level decent small lounge area . 
 Nov 15 2005 	 Missing mark 	 bill high End hotel & quot ; imaginative service culture & quot ; find Renaissance lack service culture . set ' high end ' goal , sadly miss mark . although comfortable enough , common amenity offer special enough nature warrant lofty price . discriminate price dictate elevated level effort please guest , common service offer Renaissance find several venue Las Vegas much , much less . impressed concierge find difficult meet even basic request . bar comfortable , , ' flag ' staff order serve , regardless busy might visit . ' shine star ' staff ( mostly low level staff ) , rule staff confuse , unaccommodate , unhelpful , especially front desk . " Envy " , onsite steakhouse also disappointment . although la carte menu adequate , service abysmal . waiter courteous , support staff confuse , seem wander , completely lose small room . , experience comfortable enough , worth lofty price . it painfully obvious owner new hotel strive specific clientele , facility certainly potential become high class destination , completely miss target offer substandard service almost comical confusion staff . Comical present bill . 
 Nov 10 2005 	 Somewhat Disappointing 	 reading review post , really look forward stay last week . however , real pleased experience . started check . confirm room king bed . get ( 1 afternoon ) , not king , double . big deal since travel alone , still want . when drop stuff room seem nice enough . plenty room . not really look around since want get strip . later evening get back , find soda spill dresser drawer not clean . find gritty stuff bathtub . oh well , tired not feel like complain point . over next couple day , find crumbs floor housekeeping miss use , wad kleenex bedside table drawer . addition , bathtub never get clean 3 day stay . , could complain family would have . otherwise hotel nice . relatively quiet nice strip wonder casino get room . would stay , unless meeting hold . otherwise many choice Vegas . 
 Nov 9 2005 	 bump overall nice 	 check Friday , 4th November . last day SEMA show next door convention center , place pack . friendly staff . beautiful room . upgrade suite seperate living area . nice . tub faucet working call guy came fix right away . great shower . actually decent water pressure , definite rareity huge casino - resort . bed awesome , quite posibly comfortable ' ve stay . much well Westin 's fame Heavenly . one major complaint though . wall paper thin . hear everything go next , even whisper . swear hear someone clearly yawn next door . not able hear someone yawn , tv want sleep , forget . know can not tear building start guess always . ENVY delicious . Pricey , par Fleming 's Morton 's . overall , awesome room , awesome shower , real heavenly bed , wall decoration serve actual purpose far contain sound . 
 Nov 6 2005 	 Excellent Hotel without casino 	 Ny wife book two night deal Renaissance web site upgrade club room use club lounge . arrival , valet front desk staff helpfulhotel room brilliant , flat screen tv , excellent bed bed , bath ahower etc . bonus club room access , free drink , hot snack evening good continental breakfast . hotel strip easy access monorail use day card three day card work lot cheap . make nice change go straight room smart uncluttered lobby ( slot machine ) would recommend , especially get upgrade package . 
 Nov 5 2005 	 SleekModern beat path 	 strip hotel ( Marriot chain ) sleek , modern well furnish flat screen tv modern fixture furnish . good bed . slightly inconvenient return strip want rest dinner show . agree other staff seem undertrained somewhat unhelpful . wife love vanity magnifying mirror purchase one 50 dollar . drawback Starbuck 's type coffee shop sell crap pastry upper scale restuarant place eat . place close monorail stop shuttle ( free ) Wynn . stop run midnight . cool hotel local phone call cost dollar ( pay phone lobby ) room apt . sized fridge free water . whoop te doo . it seem nothing free lv.would stay ? not know . would probably stay Bellagio could get good rate ( pay 270 per night include tax ) go Barbary Coast , old solid hotel strip . 
 Oct 27 2005 	 mixed bag 	 book $ 99 per night special club level online . pro : Doorman , front desk staff nice helpful time , comfortable bed , comfortable desk chair , large shower , soft towel . con : Carpet run , housekeeping miss hairband , small candy etc . floor furniture , cricket room furniture , light around vanity bath soft ( hard put makeup ) , club room staff little put people appear right time food drink available actually ask food wine glass wine , around 1:30am first night awaken noise sound like hand drill screwdriver . call d , really tired disorient , eventually figure sound real dream , get bed stop , get back bed happen , get hear wall near door -- room side , perhaps duct ? , get phone stop . 10 - 15 minute , put earplug bedside table wait . next morning front desk idea could . second night awaken sound lasting second , never happen second time . really weird . 
 Oct 25 2005 	 Beautiful Hotel HORRIBLE Service 	 call Friday night , Saturday stay confirm Package . champagne room room service breakfast , plus upgrade room . arrive Saturday room ready 1 hour , uncare Front Desk staff neglect let Valet Bellman know room available anyone . unload car drive away , bring back repack car . tell room Lock luggage , several people ahead we . get room - no upgrade make voucher need champagne breakfast . tell breakfast restuarant . call management , put hold - Manager could really care less service & quot ; approve & quot ; room service breakfast . Champange deliver wrong room . pool small , gym nice . deal Deal ! 
 Oct 25 2005 	 overall good place good price . 	 boyfriend stay Vegas property weekend ... mainly get good deal include breakfast Marriott website ( everything strip overprice sell ) . work really well ! monorail step away 15min till opposite end strip ... hotel clean , new , modern . service good . restaurant Envy get free breakfast yummy , service slow first day . next day waiter apologize make sure well experience greatly appreciate . love come back hotel weave thru million slot machine smokey air ! separate shower tub nice well . cons- look sunny spot lay pool , hotel will not work though ... pool pretty shady small . conceirge well connect could not get we well dinner reservation & quot ; hot & quot ; spot could get . one guy also give we name security work hot club help we avoid line , one club even know guy . also , room stay vanity area bathroom make difficult 2 people get ready time . lastly , would not allow late checkout even though ask well advance . : ( overall though , would go back . 
 Oct 24 2005 	 Good want hotel Strip 	 look good non casino hotel away Strip good place stay . hotel still fairly new , nicely decorate good room facility good view high floor gear towards business leisure traveller . reviews state , pool area really small not attract much sunlight , want sit buy pool , not stay ! one restaurant - Envy , excellent little expensive eat time . Access Strip make via Las Vegas Monorail ( $ 3 trip ) accross parking lot via excellent Wynn courtesy bus opposite monorail station . 
 Oct 7 2005 	 modernistic gem Strip 	 stay one - night - in - town - getaway house .... extremely pleased . great deal $ 120 ( via Renaissance website ) room look modern , cordless phone flat screen LCD tv . bed pretty comfortable bathroom clean . you will not get Vegas - casino feel like lot . feel like be far away Strip : - ) . would agree comment pool - not get much sunlight , especially afternoon . 
 Oct 7 2005 	 forget Casinos ! 	 Renaissance Hotel Las Vegas welcome oasis tired Casino scene ! reviewer note bedding , bathroom furniture modern , clean top quality . order room service ( corn / scallop soup + Maryland Crab Cake ) delicious . 
 Oct 5 2005 	 Reniassance wonderful 	 boyfriend stay 2 night Renaissance July 2005 . wish could stayed long . view wonderful , request ( non - smoking room , high floor , etc ) , meet ease ! really grateful strip late night hijinks arise . travel companion stay hotel strip not restful sleep do . the pool , small , pretty good . be bar , 's wonderful place enjoy Mojito . ( female waitress also bartender -- aske make Mojito . will glad ) .We not eat , grab bagel / muffin coffee cafe hotel . keep mind anything onsite hotel high cost due convenience , otherwise fine . all , pleased stay , would definitely recommend other -- not book ! : ) 
 Sep 30 2005 	 Good Food 	 stay night way back UK . room nice ' Club Room ' , though plasma tv hit miss picture quality . Quiet compare Luxor would stay week early . superb food ' Envy ' restaurant . check 04:00 not problem . 
 Sep 26 2005 	 Nice hotel ... 	 Marriott Platinum Rewards member . travel quite bit stay plenty Marriotts . hotel nice business hotel . offer basic amenity fall short essential one . first , bad ... many comment , pool small funtional . staff serious somewhat aloof . corcierge level staff , one worst experience . first evening , show 5:45pm ( open 5:30pm ) complementary snack already go . ask , lady say would bring later . bar item miss tell restaurant priority need booze . room right concierge noise wake we opening time , chair slide back forth we . bed hard . one restaurant store incidental . starbucks lady miserable 3 day -- know smile . now , good ... monorail 5 min walk . shuttle across street take Wynn ( must see ) . architecture modern pleasant . food restaurant superb . room nice appreciate free internet access . hotel quiet smoky area busy gambling action pass look elevator . overall , would recommend hotel go pleasure . party place ; business hotel . 
 Sep 16 2005 	 peaceful retreat way noisy strip 	 quiet retreat casino madness non - stop mayhem strip easy access monorail cab , comfortable place stay Vegas especially need close access Conference centre . bed great ... soft feather comforter fluffy pillow ticket hard night strip . staff friendly helpful parking free - valet self parking . the restaurant good although complain rip tattered napkin , give new one apology . unfortunately go strip want choice eat place hotel one restaurant . beware lounge area restaurant - offer ' lighter selection ' . order Club Sandwich turkey . large slab tasteless cheese include bread enormity , alongside huge pile cold greasy chip - pure junk food . chef might like try UK BLT ... neat small triangle butter brown bread Danish back bacon , tomato lettuce ! small tip hotel ... please provide shower cap ! ( clean window take photograph ! ) go roof hotel car park look view , especially night . we appreciate Starbucks Coffee room also Cafe . as tea drinker wish hotel would provide electric kettle ( ! ) . try make tea coffee maker difficult taste coffee ruin flavour . 
 Sep 12 2005 	 Loved Quiet Smoke - Free Gem ! 	 not even begin unpack weekend stay Renaissance , ' m rave hotel ! welcome warm , friendly , cheerful staff . free glass lemonade sugar - rim glass refreshing travel heat Las Vegas . request room view strip honor . view also include lushness Wynn golf course . room spotlessly clean . think could get clean shower door perfectly ? decor modern refreshing . beware bed ! 's comfortable , may sleep long mean , like . room include two free bottle water small refrigerator , bathrobe armoire , Starbucks coffee , tea , flatscreen tv . bathroom beautiful well , separate bathtub shower . love simple elegance shower much , be return insert buy remodel , copy 's design instead . love great bargain get quiet , smoke - free gem ! read review , decide travel via monorail stay . although enjoy much , next time will rent car well . rail travel along back side strip . take comfortable shoe still need much walking . Las Vegas block least ten time large one town ! monorail line go MGM Sahara , quick 15 minute . purchase day pass twice , pay shuttle bus tip airport , taxi ride long hike Rio buffet , would cheap rent car weekend . would enjoy visit part town well . travel monorail good bet traffic heavy . $ 10 unlimited 24 hour pass , $ 3 per ride . yes , pool small , lovely . love stroll around evening , enjoy way palm tree light , soak peace quiet . 
 Sep 10 2005 	 blissfully Quiet 	 finally , hotel business traveler vegas . 's strip , right convention center Hilton . casino , not get assaulted light noise everytime walk , not hike mile get elevator . 36 flat screen tv 's , comforter , turndown service , separate shower bathtub , free highspeed internet room ... need say ? arrive Labor Day stay three night . package call Tres Cool three night price two . package include access club lounge 15th floor - continental breakfast include heavenly homemade granola ever , appetizer 5 - 7:30 pm desert 8 - 10 pm . free . package also include $ 25 meal envy . monorail five minute walk ( pickup convention center ) want go strip . total bill $ 300 four day three night . the downside restaurant . would give 3 1/2 . food slightly overdone , someone not pay attention . restaurant hotel ( little coffee bar ) , not like , will go elsewhere . 
 Sep 7 2005 	 fabulous clean hotel 	 quite clean new hotel strip . be right next mono - rail get fro strip time . room bit small cozy luxurious bedding linen ' ve ever experience 4 star hotel . good sleep life sleep bed . con would shower stall lining come undone , water splatter floor , compare bunch shabby 4 star poser strip ( example ... Aladdin ! ! - & gt ; 4 star dump ) 's immaculate luxurious . go want hotel quite diginity . oh , mention wireless internet free ? go ! 
 Sep 1 2005 	 Tranquility Fab Restaurant 	 return 3 night stay agree previous review . place great find . without exception , every staff person professional , friendly helpful . hotel clean , bed great linen comfortable . glitch room refrigerator not work replace new one less 10 minute . Club Room available 24 hour great place refresh retreat heat . we take suggestion check Marriott website use & quot ; pkg & quot ; promotion code . get Tres Cool Package , stay three night third free , $ 25 dinner credit hotel restaurant , ENVY 2 monorail passse . breakfast available Club Room also save we expense . , great value . we hesitate use dinner credit since hotel restaurant leave lot desire . ENVY definitely exception rule . meal fabulous , much well one Rosemary 's # 1 rate restaurant site . Sea Bass good ' ve ever husband 's cream corn brandy side dish incredible ! although strip monorail station short walk across parking lot . also , across street catch Wynn Shuttle take Wynn be right strip point . no casino also plus ... long walk elevator . , much quieter . this place highly recommend . 
 Aug 27 2005 	 luxurious 	 sister two adult niece stay Renaissance Vegas settle one niece UNLV . tremendous ! take advantage hotel 's website package - $ 99 / night Club Level , 2 free drink / room lounge . club level lounge casual & amp ; comfortable , serve breakfast ( yogurt - granola parfait & amp ; breakfast burritos & amp ; fresh cut fruit addition typical continental breakfast fare ) , afternoon appetizer ( shrimp tempura & amp ; bite size pizza ) , evening dessert ( fancy - shmancy bite size pastry ) & amp ; coffee - include . bottled water soda available free charge time . food good fresh , service good , money save meal water significant . one server Club Level , Ricky , extremely helpful , offer help we carry coffee dessert family member stay room . staff friendly , quickly helpful , professional , without overbear . public space decorate hip , 50 's ' rat pack ' modern kinda way ( make sense ! ) . kind nice small touch - artistic room number plate , creative ' do disturb ' sign , lemonade martini glass lobby afternoon . room clean pretty spacious Club Level , bathroom lovely , separate oversized shower bath , nice amenity bathrobe . everything clean good condition . couple negative . note previous review , pool small shade 2 pm . nice lounge chair table , bar service pool ( bar right pool area though ) . strip , barely - quick monorail car ride get within minute . this non - smoking hotel casino . taste , wonderful . however , look boisterous place , . casual classy , overall upscale , affordable . 
 Aug 25 2005 	 absolutely adorable find 	 say choose Renaissance base review read . ' m glad say part spot on . we arrive Sunday , July 31 , 2005 check Tuesday , August 2 , 2005 go stay one night Venezia Tower Venetian . pay $ 143 night AAA discount ' voucher ' explain . wish know people get $ 99 deal for . I say stay Renaissance , Venezia pale comparison . positives1 . extremely friendly staff - everyone valet guy check - in concierge super friendly . tipping require although generously . pressure people genuine sweethearts.2 . quiet - walk feel like retreat . subtle , modern decor general feeling calm.3 . check - absolutely seamless . one issue . obtain Marriott Rewards voucher 100 Uk Pounds want apply stay . apparently thing ' give ' ebay take advantage . initial clerk credit we $ 110 find check , call reception correct end $ 160 credit towards 2 night stay . would definitely recommend look voucher ebay save we bundle.4 . location - Yeah 's strip like everyone say monorail literally across strip check . fast easy use exit Harrahs deal noise smoke extra happy go back renaissance.5 . room - large clean exception minor bathroom incident hardy husband take care . overall definitely top notch . room delight will hard press actually get strip . negatives1 . none - honestly , go high expectation meet . ok thing think room service . breakfast mediocre good people serve extra nice not bother we much . 
 Aug 24 2005 	 Renaissance ... Outstanding Service Great Room 	 stay weekend Aug11 - 13.1.what breath fresh air place . stay nite TheHotel , even pleasant experience personal touch extremely warm staff welcome.2 . modern decor . Little Starbucks - like cafe- excellent coffee pastry , pleasant sweet staff . bar / lounge look cool , sample.3 . bed incredibly comfortable . room service prompt ; room immaculately clean well - maintain . 4 . view may slightly prejudiced great weekend rate- $ 106 / nite govt / military rate , sometimes available.5 . slight problem- state , pool tiny almost always shaded . somewhat mitigate huge , comfortable lounging bed area , peace quiet there.6 . FREE WATER .... FREE WATER .... free WATER ! ! ! anything well ? seriously , nice touch , especially get & quot ; thoughtful & quot ; offer $ 4 bottle room mega - resort . bottom line- want great room , quiet , clean , modern hotel , stay get rate $ 150 weekend , $ 100 weekday . 
 Aug 23 2005 	 Great Business Hotel 	 Best hotel attendie exhibitor Las Vegas convention center . just step door convention center . nice fitness area business center . great staff . pool nice small mostly shaded , would sufficient leisure guest . bright side , pool area never seem crowded . room clean nicely appoint fixture comfy bed . highly recommend hotel . 
 Aug 20 2005 	 Peace 	 stay 3 night midweek daily rate $ 99 , include more - than - adequate daily continental breakfast , 2 single trip monorail pass , $ 25 credit hotel restaurant ( not use ) . pick hotel Marriott name , close off - strip location , great rate , lack casino action . hotel new , modern decor , cigarette - smokey , easy navigate due absence casino , multiple restaurant ( 1 ) , shop . be right next door ( 2 minute walk ) convention center monorail station , although mostly use rental car get around . convention town . staff , especially bellman valet helpful friendly . room , small side , 10th floor overlook backside strip , new Wynn hotel golf course . bed bit firm bed luxurious comfortable . bathroom large separate shower tub , shower water pressure weak . use pool hot tub twice late afternoon relax unwind , small ( small ' ve ever see ) , beverage food service , pool area dark somewhat claustrophobic . overall , would recommend hotel want peaceful comfortable refuge crowd noise strip . would stay . 
 Aug 19 2005 	 beautiful hotel 	 pros- upscale hotel strip . room beautiful , average size spotless . bed comfortable . free parking . pool / hot tub centrally locate close elevator . pool courtyard sun early late afternoon , great . workout facility great . cons- Breakfast include . 
 Aug 10 2005 	 great hotel minor deficiency 	 consider booked room $ 99 web special " Club Level Room , " come 2 complimentary cocktail Club Lounge access , hesitate complain , overall , hotel superb . ' rundown impression : plus : public area room well - appoint retro - modern / funky décor . the hotel offer free in - room internet access , flat panel LCD tv , great view , etc . bed extremely comfy , among good ' ever have . everything impeccably clean ( property 9 month old stayed ) room quite . the 24 hour gym well - equip offerre free bottle water . the staff generally friendly . there casino hotel , think great really nice able " come home " quiet refuge every night , away relentless dinge slot machine hotel . the location great . ' situate right next Convention Centre monorail station , across street golf course back new Wynn Las Vegas Resort . one thing REALLY happy discover first day free shuttle service offer Wynn , operate non - stop daily midnight street corner adjacent Renaissance ( literally one minute walk ) , right lobby Wynn hotel . make get back forth strip total breeze . negative : service restaurant mediocre ' accommodate special request . Breakfast serve 11:00 , odd Vegas . the pool small locate courtyard sun obscure 1:30 pm onward . compare Vegas hotel , pool area really suck . the Club Lounge bit lame specifically ask bring fresh fruit 3 bruise apple ( complimentary soft drink honor bar make though ) .The wall room thin sound - proof . frequently hear murmur neighbour talk could hear phone ring almost room . overall , Renaissance offer exceptional value luxury . go marriott.com enter promotional code " PKG " ' find great deal . short pay two three time much , ' hard press find well hotel . 
 Jul 27 2005 	 Great Hotel ; Pool suck ! 	 book hotel busy box w / end ( July 15 - 17 ) great price , comparison hotel area . choose great location ( 1 block behind strip ; next door LV convention center ) also choose newness . hotel apparently open less 1 year , figure look great clean . right ! room big clean bathroom gorgeous modern . room coffee maker flat screen tv mattress bedding sooo comfortable . the issue hotel pool area . be pretty awful . small center building , upon registration , front desk inform us sun 2 pm ! ! hotel probably fine time year warm hot , swim sunbathing interest , place stay ! attempt go hotel pool , turn away guest hotel . ruin trip bit , 120 degree Vegas swimming big deal us trip ! also , casino . not mind much , time really not get Vegas experience stay hotel . many business people seem stay . many group visit . 's lively hotel general . it be great hotel , stay summer . 
 Jul 22 2005 	 3 day advance booking deal 	 travel daughter & amp ; neice Vegas attend concert . look mid - week deal ( sound easy ) really not find . good could find , call hotel direct , Renaissance $ 149 AAA discount . check Marriot website show $ 99 night pkg ! book line cancel . interesting call hotel direct , transfer reservation Cleavland , Ohio . not know anything pkg discount offerre even catch monorail since not know even exist ! 
 Jul 15 2005 	 ball ! 	 Renaissance Las Vegas fashionable . go family trip friend parent . great time . hotel not strip not make difference . room nice sleep home bed . never experience great night 's sleep hotel Renaissance . hotel staff nice . one minor bump housekeeping . come back room day two find untouched . alert Verna clean another room floor , not even call front desk go . take care someone door clean room ten minute . not consider issue . take full advantage pool gym . clean well stocked . non casino hotel , accommodate . overall , would definitely stay Renaissance . 
 Jul 9 2005 	 nice alternative Strip except Housekeeping issue 	 other state , Renaissance Las Vegas nice alternative Strip . sleek style smoke - free , casino - free , noise - free environment . comfy bed , fast check - in , easy access manageable parking garage . pleasant hotel family weekend getaway . however , concern housekeeping issue . upon arrival room , 1 single tissue remain bathroom tissue dispenser , sheet remain toilet paper roll ( although additional roll provide sink storage ) , sugar , cream , stirrer include complimentary coffee . unsettling find use feel first enter room . Monday past Noon , trash 3rd floor elevator parking garage completely overflow , mound trash surround area . minor annoying problem spoil otherwise enjoyable stay . 
 Jun 21 2005 	 Comfy Contemporary Gem Strip 	 partner return relax 5 - day stay Renaissance Las Vegas . hotel exceed expectation include view , location , food , design , service , etc . enjoyable hard drag we away visit Strip Vegas attraction . let ' start location ; hotel perfectly locate adjacent Las Vegas Convention Center . town business location may seem like drag , new Monorail step away , secret tram directly Wynn Hotel next block , Hertz agency vehicle available onsite , entire city readily accessible . really make nice place quiet , yet sleek contemporary clean . none craziness typical Vegas casino hotel . overall entire place upscale , friendly , clean , modern downright livable . we purchase package Visa $ 150 night , include free breakfast morning . continental bagel juice buffet , rather could choose anything form menu beautifully design award - win restaurant . try almond waffle , egg frittata , whole - wheat blueberry pancake . even provide smoothie sampler meal . after breakfast enjoy pool . component hotel lack . fact pool experience shade times day . however , Vegas sun heat work hotel ' advantage . use sunscreen time still get toasty great tan . additionally , chill water fresh fruit availaible adjacent fitness center free charge . we originally provide eastern view ( away strip ) . nice enough , know view strip would dramatic . ask upgrade day two . say usually would cost $ 10 , happily arrange free move . view deliver see entire strip Mandalay Bay Stratosphere , overlook Desert Inn Golf Course Wynn . the room provide great comfy bed pillow , flat screen Phillips tv beautiful bathroom fantastic water pressure . comment paper thin wall true . among quiet hotel ' ve ever stay . treat try new Vegas hotel . 9 month old , hotel deliver front . perceive disadvantage would location strip , however work guest advantage provide quiet relax atmosphere , adjacent monorail free Wynn shuttle provide access everything could possibly desire City . 
 Jun 20 2005 	 great alternative Strip 	 stay one night mid - June attend concert . chose property recommendation think great ! staff extremely friendly knowledgeable . valet tell we avoid traffic Las Vegas Blvd . could get dinner reservation concert Mandalay Bay time . leave time friend another hotel close arrive 40 minute ahead time great meal take time . on morning leave , another valet give we two complimentary bottle water road trip home . the room amazing price , bed SUPER COMFORTABLE , location literally right next LV Monorail not drive town not want so . Good Location , GREAT Staff , Beautiful Property - definitely come back . 
 Jun 19 2005 	 Outstanding Service professionalism 	 Renaissance Las Vegas home professional courteous staff ' ve ever experience . ' ve travel extensively past 9 year staff fantastic . every request meet pleasantly , quickly courteously . could not accomodate . their location super , be 1 block strip great view Desert Inn golf course ( Wynn property course ) .It 's easy get convention center , monorail , north end strip Renaissance . the concierge breakfast snack outstanding . bed , comfortable . if be marriott member , use point head Vegas , highly recommend stay Renaissance . the upgrade bathroom amenity , hdtv flatscreen , great service make wonderful hotel get away . 
 Jun 8 2005 	 Quiet Contemporary 	 divorce mom , & quot ; run away & quot ; Vegas kid visit dad . much gambler , look non - casino property still close proximity Strip . also travel great deal business , delight find new Renaissance available ( especially since many point save Marriott , parent company ) .just everything read TripAdvisor accurate , feel prepared -- everything clean , contemporary , kind minimalist ( main lobby rather sparse decor ) refreshing change pace norm Vegas . I arrive Sunday Memorial Day , even though learn hotel around 40 % occupancy , could not get upgrade suite three night . get Club Floor room though , mean access continental breakfast , hor d'oeuvres , beverage dessert . convenience alone save lot money ! room TINY , flat screen tv , microwave , mini - fridge , plush terry robe separate glass - in shower make difference . oh , bed truly divine -- good sleep ' ve long time . comment make wall paper thin also unfortunately true -- every time someone next allow door close , tend slam hard sound like wall come ( annoying ) ! concierge service wonderful , look one - of - a - kind spa experience , make sure book treatment Stirling Club , private retreat part ultra - exclusive Turnberry Residences . guess Renaissance great connection ... guest , whisk away Lincoln Towncar highrise building . circular entryway lead club spectacular opulent -- lifestyle rich famous sure ! despite luxurious surrounding , find spa treatment pricing competitive , even though automatically add 18 % service charge , still want tip additionally . zen body wrap treatment die -- combination body scrub , body wrap light massage $ 70 last nearly hour . treatment , allow enjoy pool use club 's facility day , include spacious workout room indoor lounge area . monday , restaurant close not mean buy alcoholic beverage pool , spa experience really not need anything relax . Stirling Club giant maze marbled decadence , not want leave . back hotel , tiny pool hot tub area also disappointment , much size configure within courtyard . get hour 's worth sunshine , be plan tan , stay long Stirling Club , will not access pool hotel resort . envy , highly regard steakhouse , price pretty steep . instead dine , order meal room service get sample creation , find menu rather limit -- five six entree item lunch dinner . the highlight hotel proximity Convention Center Monorail Station . holiday weekend , area not nearly busy could , every night leave hotel see show dinner , Monorail clean , efficient , time , safe delight use get around . be $ 3 per ride , well buy $ 10 pass 24 hour ' use , be go back forth like do . all , love Renaissance brand , new property nice -- good ' ve stay , location , decent rate build - in benefit , be great either business travel leisure getaway noisy casino crowd . enjoy ! 
 Jun 6 2005 	 good Stay Renaissance 	 stay one night May 27th tell three thing good hotel . bed definitely comfortable bed ever sleep . Envy Restaurant good food taste trip . go lunch filet steak sandwich melt mouth . filet migon steak dinner Kokomo 's Mirage compare . talk waiter say use butcher . monorail quick walk away 's clean , safe quick . strip minute . dissapointment pool . adequate cushion lounger , regular rectangular pool courtyard landscaping . guess spoil come Mirage . way , Marriot Rewards member ask upgrade concierge level . receive complimentary breakfast . T NY 
 Jun 2 2005 	 comfortable bed Vegas ... 	 stay 2 day Memorial Day , great value , trendy fixture , decor , great pool chill , actually check around 8:30 pm , room key elevator 8:31 pm ! ! ! ! 
 May 31 2005 	 go back two month 	 stay 1 night memorial weekend . check - in , ' ve long list request every single item list accommodate . complaint . service front desk excellent . ever want , ask well accommodate you . my room 6th floor , view Wynn hotel . room mini fridge two complimentary bottle water . bed comfortable . think three different type pillow , total six . flat 32 & quot ; ( think ) hdtv plasma tv . room clean . complaint get , finish wash hallway carpet . carpet shampoo smell like manure . get room door close , could not smell anything not bother we much . as indicate reviewer , casino hotel . 's Wynn 's hotel Convention Center . mono - rail available $ 10 all - day ticket $ 2 way . mono - rail station right next door convention center , five minute walk . stop many popular hotel / casino strip . we love hotel 's center Las Vegas Las Vegas Blvd . not smoke not like walk casino get room perfect we . not try restaurant hotel , comment . price pay , 's heck deal opinion , hotel rank good three hotel 15 plus major hotel / casino ' ve stay Vegas . because like much , will go back July . 
 may 31 2005 	 Nice Hotel 	 boyfriend stay Renaissance Las Vegas may blast ! hotel employee polite nice . doorman treat like somebody . room clean nice . tv great wireless internet useful . clean room everyday fresh towel everyday . cafe lobby get coffee snack sandwich overprise girl work not know make coffee . love pool Renaissance . small crowded like hotel . hot tub great powerful water pressure . problem location . turn monorail useless walk even ride monorail . young not problem walk extremely exhausted second day rent car . 's think Strip . also , go fun meet people , not go people business people . want , non - smoky clean hotel relax willing rent car , go Renaissance , much fun 
 May 27 2005 	 worth money 	 husband get back Las Vegas less impressed hotel . first night get move 3 different room get right one . deal late night long flight something want . call early week confirm reservation room . next day , ventured strip come back door room open belonging miss . 45 minute complete chaos , hotel realize accidently check we cleaning staff take belonging clean room . secuirty , though , helpful entire situation . get belonging back nothing missing . one day 4 day stay , never clean room . near 5:00 find clean staff floor get fresh towel . pool small . 1:30 , be complete shade . needless say , never stay . expect much money spend . 
 May 18 2005 	 renaissance excellent expect 	 2 night stay , sit sun . valet parking easy eager please . always run give free bottle water . check fast easy , ask upgrade marriott member grant vip status , ( access concierge lounge , free food drink 3 time day ) room typicval marriott quality . PERFECT , bed 12 & quot ; woth fluffy bedspread huge pillow . pool view . 30 inch plasma type tv , desk , alarm cd radio bedside , free intrernet broadband , coffee maker tea also , iron board , hair dryer anything would want . computer room 3 computer . pool small , extravagant , huge palm tree 8 - 10 person hot tub , family size pad adjustable lounge chair cushion . pool side drink waiter . great stay , return anytime chance . location near hilton convention center . 2 block north end strip . 
 may 16 2005 	 excellent stay 	 return renaissance las vegas . Hotel beautifully decorate staff friendly . anniversary desk leave card cheese platter room . hotel locate strip new monorail system right across street make convienent . hotel like resort would see strip large pool server . husband spend day hard rock one day lounge around . hotel mainly fill business relate guest , several tourist well . probably would stay resort next time , people age , enjoy stay hotel gift anniversary . GREAT place want access strip without crowd noise . 
 May 9 2005 	 Great Hotel 	 excellent hotel . since business hotel casino smoke smell . staff great room neat quiet . lcd tv nice touch . highly recommend . 
