Great 	 hotel location great . stay many hotel City must say one one good . location great even middle Time Square normally like view awesome . restaurant bar 8th floor convenient we eat relax enjoy light . room good size , clean comfortable . would definitely stay ! 
 beautiful 	 good hotel ' ve stay . astonishing view , magnificent decor ... truly amazing ! 
 wonderful hotel wondeful location 	 stay husband two teenage child hotel two night . room clean , service excellent , location could well . really enjoy heart Time Square . 
 Jun 18 2008 	 another Excellent Stay reservation 	 recently spend two night discount & lt ; $ 250 / night rate . corner large average room unobstructe view Hudson . usual excellent housekeeping , large flat screen tv , comfortable king bed , furnishing good repair . room ready upon arrival 12:15 pm Friday afternoon . only reservation : breakfast buffet pricey ( already know ) not seem tasty food . waffle pancake .. kinda tired french toast ; ok omelet . good , fast service however . Buffet nearby Crowne Plaza well imo.alway stay since normally travel NYC see show location Broadway theatre beat . nearby Westin Hilton Garden Inn would possible alternative would Renaissance across Times Square . overall almost undoubtedly stay since know expect . 
 Jun 18 2008 	 Amazing Marquis 	 check hotel give room atime square view even though not request ! stay 28th floor room nice . agreat stay . 
 Jun 17 2008 	 another good review 	 spend 4 night Marriott Marquis nothing special add happy camper . fabulous hotel , large room , absolutely problem elevator delay , maybe reviewer not know use keypad . long wait ( twice four day ) 2 3 minute . time elevator arrive less 20 second . friendly , courteous staff , spotlessly clean , nice bed toiletry . part business group , several try hotel food impressed , especially breakfast . not eat hotel can not offer personal opinion . table service Atrium Lounge ( bar ) deadly slow , though . fantastic location like Times Square action , Floor 17 could still hear siren , horn , etc , enough keep we awake . planning visit Guggenheim , wait June 27th . outside inside construction special exhibit 2 small side gallery open , worth look at . we good food Bond 45 ( Broadway & amp ; 45th ) , Connolly 's Pub ( ditto ) , good super - fast breakfast Cafe Edison ( inside Hotel Edison 46th & amp ; Broadway , think ) -- well oatmeal ever anywhere good pancake waffle . stay away egg ham , though . skip Junior 's Bakery right across hotel -- take - out pastry sit - down breakfast disappoint worth hype . good meal Cancun Mexican Restaurant 8th Ave 56th & amp ; 55th . Killer frozen margarita ! take subway , especially WTC Financial District , sure ask booth attendant train take . stop want closed construction end Brooklyn . last time NYC 20 year ago , tip hat ex - Mayor Rudy Guliani . difference amazing . first , people much friendly open , proud city happy direct offer tip tourist . police EVERYWHERE ! feel absolutely safe . city street amazingly clean . can not wait go back thing not time trip . the hop on / hop bus worth money . want fun NYC experience , take one bicycle rickshaw hang ! 
 Jun 13 2008 	 Amazing Hotel 	 New York first time stay Marquis . really amazing hotel atmosphere , size location really capture New York . lucky enough stay 44th floor amazing view . room spacious clean good sized bathroom . highlight hotel lift ! soon arrive show work enter glass lift travel centre hotel view floor go ! like mini fairground ride ! hotel several restaurant , bar , theatre revolve restaurant / bar top floor ! apparently one New York take hour one rotation - great view . we eat restaurant 8th floor - delicious pizza great watch Times Square . View ( rotate restaurant / bar ) get busy - especially weekend , worth book get early . all staff really helpful charming . the location hotel ideal explore New York . subway doorstep want travel afield . really could not say bad word hotel ! 
 Jun 7 2008 	 King Times Square 	 idea anyone could rate hotel anything except 4 5 unless one expect something unreal . Marriott Marquis giant hotel right Times Square . People everywhere , duh ! ! ! great restaurant , delis , theater , shopping -- -all within ten casual minute foot . buy unlimited MetroCard $ 24 get seven day unlimited subway bus . one major transportatiojn hub 42nd Broadway , 5 minute away walk slowly . btw , subway system fantastic -- -fast , frequent , clean , go virtually everywhere . malign elevator system actually marvelous . never wait couple minute . ever . two Starbucks premise , huge atrium lounge enjoy coffee drink Junior 's Bakery across street fancy pastry & quot ; New York 's Best Cheesecake . & quot ; btw , TKTS ( discount outlet evening 's Broadway show ) currently Marriott permanent office renovate across street . another perk ! 's tip -- like chinese food , NY 's chinatown quite good cheap large city ever visit . if sound like NYC fan talk , , prior visit ... much . fully prepare dislike city could . NYC plain works city like San Francisco particular could learn lot Big Apple . stay eight day every day chock full activity sight -- -the Metropolitan Museum Art close second Louvre world , IMHO . back Marquis ... ask get TSq view 33rd floor . bed ok , bath fine space generous NY standard . concierge could little helpful 2000 room , overwhelmed occasion . never hear outside noise street occasionally hear door drawer slam next door . arrive 9:00 SF redeye immediately allow check ! departure , request late checkout ( another redeye flight ) stay 1:00pm . great service , would say . summary , hotel PERFECT first time NYC visitor everyone want middle party . 
 Jun 6 2008 	 stay away ! 	 New York beautiful city Times Square fun happen area , Marriott Marquis horrible . look completely different website . room horrible , carpet smell , wall damp , bathroom tiny , view times square hardly exist . do not like anything hotel , call concierge room keep hold 15 minute , go front desk queue 10 minute . really recommend hotel , New York fill nice hotel one . 
 Jun 3 2008 	 Perfect location first time visitor 	 stay 28th May - 2nd June 08.firstly elevator ... never wait minute one . easy use ( type floor number direct elevator use ) . yes get busy peak time ( people leave theatre around 7.30pm ) still wait minimal . location – great first time visitor ( ) right hub everything . walkable tourist location … esb , TOTR , Central Park etc . time get taxi Battery Park Staten Island Ferry South Street Seaport . room . perfect size . 33rd floor , view times square . 2 room 2 queen bed , ample room storage clothe also case ( handy keep open start storage thing go buy ) . 2 chair table beside floor ceiling window give great view time square . iron board plus hairdryer supply . toiletry change every day ( even use ) seem get different make show gel , shampoo etc every day even though use ) . hotel staff helpful friendly . big thumb ( big tip ) bellman go trawl busy street find taxi could fit 4 unhappy girl ( cause leave NY ) 6 suitcase we ( productive stay ) .View bar – negative part stay . food buffet bar great . would defiantly recommend go cocktail watch NY revolve around . spectacular view . eat elsewhere….there hundred restaurant choose right outside front door . staff great take important tourist picture ( us cocktail lol ) would stay . 
 Jun 2 2008 	 Decent 	 good hotel . let check early check late , front desk staff helpful . Valet parking fine , go around block b / c not realize street could access valet . surprisingly quiet room time square location . expensive , company pay . pay , would stay Times Square instead boutique spot village probably . elevator efficient fast , glass side speed drop make dizzy . 
 May 31 2008 	 one problem another reservation - handicap traveler beware ! 	 stay several family member Marriott Memorial Day weekend . Booked three room ( two handicapped ) directly Marriott reservation fortunately print bring copy reservation . one problem another room ( correct room type available , unable provide adjoining connect room , arrival departure date incorrect - not match reservation ) . person front desk seem try fix one problem , screw something reservation cause another problem . total end spend two hour deal various front desk personnel . travel quite regularly business never problem hotel ' ve stay . fact pay $ 400 per night bad experience make bad . find another hotel . 
 May 29 2008 	 great location NYC 	 Marquis right Times Square . check , request one room look right Times Square , absolutely fantastic ! area town cater tourist every way 's crowd everything ( hotel , restaurant , bar , etc ) expensive . local feel , go East Village . 
 may 29 2008 	 worth ! ! ! ! ! ! 	 Place : one talk hotel come stay Times SquareRate : $ 449.00 + taxis per nighttype room : 1 sized deluxe King Corner roomwhat get : 1 King size bed , work station , one 2 seater sofa , one arm chair foot rest , extra space closet , 42 & quot ; LCD TV , safe box room . what not get : Shower gel bath room , bath rob , Mini bar Fridge ! ! ! free internet room , usual welcome amenity deluxe room , chocolate night turn service , free break fast room coffee shop . fax machine . in fact pay $ 499 + taxis , ask reception shower gel bathroom . per housekeeping keep room high floor . ( 18th ) .Hotel say , fridge / mini bar room ! ! ! ! huge wooden cupboard fridge big old fashioned tv piece decoration occupy space room 42 & quot ; LCD tv place top ! ! ! 2300 hrs call business center send concierge collect paper fax , informed , sorry 's concierge service time ! ! ! ! probably last stay Marriott property worth spend $ 499.00 middle Times Square without even proper bathroom amenity . 
 may 27 2008 	 Big Hotel Big Price 	 can not get smack middle Times Square . like big , big hotel lot hub - bub will love Marriott Marquis Times Square . Broadway Lounge lobby level look Times Square fun place drink even be stay . staff courteous helpful level . business center complimentary computer access print boarding pass . stay elevator nightmare , - never wait 30 second elevator matter time day . personally , prefer small , quieter hotel , stay business convenient need receive special rate show attend - still expensive . room long mini - bar , request extra ice bucket keep couple thing cold . slightly inconvenient refill ice morning & amp ; evening ( would would reasonably close ice machine ) . room 1656 large comfortably appoint ; bed comfortable . minor note , bathroom magnify mirror - nice accessory come appreciate . big drawback wall thin noisy neighbor - side - night . could literally understand conversation . 
 May 24 2008 	 nice overprice .... ! 	 new yorker life , live tampa last 4 year ... ' sticker price ' shock expensive hotel big apple . conference two night ... standard room 41st . floor , breakast include , free bottle water , price $ 479 night .... kid . hotel typical marriott , times square / theatre district . hotel clean big . exercise room state art really nice like work .. hotel staff friendly ... ( like new yorker include ! ! : ) ) . open atrium nice glass elevator whiz . keep eye open probably see someone famous .... ! 
 May 23 2008 	 heart TImes Square 	 conference . room nice not loud like would expect Times Sqare . workout center great . lot equipment borrow headphone forget . currently place buy discount ticket play street Marriott get little crowded walk ton people wait line get they . the hotel convenient everything overall enjoy stay . 
 may 17 2008 	 enjoy Stay 	 daughter stay hotel March ( St Patrick 's Day ! ) , figure lobby , good time . many prefer stay less & quot ; touristy & quot ; place , choose specifically light location . right Times Square ( noisy ) get around , whether walk , cab bus , fairly easy . room clean , pay Times Square View , daughter could photograph throughout night . lobby ground floor , staff member direct people elevator . not fond restaurant ( could we ) , many choice area not matter . like able walk dark still tourist - type crowd around . gift shop nice ( important last minute & quot ; bring ... & quot ; ) although hotel expensive , enjoy stay . 
 May 14 2008 	 right Middle Hustle Bustle NYC 	 great hotel ..... modern . especially elevator , way issue . surprised size room NYC . great view river quiet side building . staff personable ( expect major city , 's business ) go View Lounge ( free entrance hotel , normally $ 7pp ) , include expensive cocktail . view promise . favorite quality hotel location , location , location . close everything bus subway walk . already book property week Christmas . want something tourist zone , size room location could not pass Marquis . besides will teenage brother / sister we time . ' m sure will love hectic area ! 
 May 13 2008 	 great stay @ Marriott Marquis ! 	 book 4 night stay hotel sometime January get real good rate . Liked hotel middle theatre district close theatre go . close lot good restaurant like Sardi 's , Juniors , Carmines , Bubba Gump Shrimp . close Good Morning America , Virgin Megastore , heart Times Square . bed smalller usual double bed make . long clean comfortable , happy . 
 may 12 2008 	 Good New York experience 	 get back two night Marriott Marquis New York celebrate 10 year anniversary . stay Marquis use reward point . beat location Marquis , settle right two & quot ; & quot ; intersection Times Square . everything could possibly want within walking distance ( even walk Grand Central Station . take train CT rather fight NY traffic ) . staff helpful friendly , front desk , concierge desk , security staff , concierge lounge staff even housekeep ... always get nice day enjoy day everyone pass Marriott uniform . previous review complain decor , normal hotel decor , Marriott decor care New York City saddle room worry decade decor come ! ! view fabulous , right north side Times Square look right flashy billboard , fun look night , although bright always look like daylight shut curtain take care .... surprisingly quiet room 30th floor , think sure would hear hustle bustle night quiet ...... complaint room window need washing , easy task New York City sure ... one complaint ticket booth ( not think even part Marriott , box office happen window Marriott ) people friendly , even seem want help we ... question pretty much ignore people desk joke amongst , well luck go right individual theatre box office ... thrusday friday night walk Broadway box office Thursday night walk window & quot ; Rent & quot ; 8:00 ( showtime ) get 8th row ticket half price friday afternoon walk box office & quot ; Phantom Opera & quot ; around 4:00 get front row center ticket ( actor hand ) .... want wing picky take walk chance box office .... overall trip fabulous would stay Marriott Marquis ( reward point course ) ! ! 
 may 11 2008 	 not disappoint . oh elevator 	 stay 4 time still love Marquis . good service front desk , lounge , housekeeping . admittedly not long time not use service . nothing beat 8 fl lounge nice cocktail , maybe cheese platter , fantastic view Times Square . also get literally anywhere want go minute hotel . I call concierge show ticket tell , forward ticket service without say . Marquis also pretty overpriced . pay $ 550 / ni nothing nice Marriott room . nice flat screen tv , plenty room , view Times Square . swallow cost enjoy superb location , nice room , good service . the thing tha tthis trip elevator HORRIBLE . think since put new elevator system well , almost late show wait sooooo long elevator . one finally come floor squeeze held breath . I would stay . hope price not go .... 
 May 9 2008 	 total disappointment 	 stay many Mariott property world look bit standardize everywhere , normally quite nice . however , Marriott Marquis New York exception . hotel 's website praise & quot ; Marriott Marquis sparkle update hotel room & quot ; frankly : design horrible feel like 2star hotel 80 . everything hotel cheap appearance , carpet cabinet bathroom - talk ceiling guestroom . corridor look like youth hostel , check - in service feel like one low - budget airline , restaurant breakfast create permanent desire finish quickly possible ... many thing worth spend time with . in SUMMARY : like look nice thing want feel good stay away home : stay . certainly never return property . 
 May 8 2008 	 Perfect family 	 pick Marriott Marquis family trip NYC location fact enjoy previous stay business . could not happy choice . room quiet , clean , comfortable . hotel facility , staff , view Times Square great . kid love place , especially glass elevator ( speedy efficient experience ) . highly recommend Marriott Marquis want stay right middle action Times Square . 
 May 7 2008 	 Perfect 	 four adult stay four night great time . come Yankee / Red Sox series not room much . none less , room spacious clean . hotel centrally locate . never encounter wait problem elevator . would highly recomment hotel traveler . 
 May 6 2008 	 love ... 	 3rd visit New York . everything great ... complaint . staff friendly . room New York really small . however , room large hotel New York . bad back bed comfortable . central hotel Times Square . room service expensive .... $ 48 bagel , bowl cereal , pastry . would highly recommend hotel . 
 May 4 2008 	 superb place great location 	 return home spend 4 night hotel , could fault all . the staff helpful , pleasant nothing much ask . room well equip ever need . this hotel great location want decent restaurant ask membe staff recommend two place we could fault . I would hesitate use hotel every time visit New York . the view well worth visit view fantastic whilst sip glass two ! enjoy , certainly . 
 may 3 2008 	 Beware - price change bill 	 make reservation travel agency give write confirmation price find charge $ 100 . despite several conversation desk manager mistake correct . travel agency blame hotel -- hotel blame travel agency . customer catch middle - upsetting would stay . 
 Apr 27 2008 	 elevator still drag quality hotel 	 third stay Marriott Marquis . prior stay , in - house parking sway choice . stay , proximity theater reassurance solve elevator problem slick new system . alas , busy April weekend ton visitor , hotel completely overwhelmed . one force take 8 flight escalator elevator traffic get heavy , include long & quot ; transfer & quot ; third floor keep go 8th floor lobby . usually wait 3 - 5 minute elevator , bad wait close 10 minute folk head theater time , guess . appalling . lot grumbling among fellow elevator & quot ; passenger & quot ; . hotel do good could space new technology , find still strategize around elevator time move , allow extra time backup . three day , entirely feed up . the glamor , glitz , nice room , nice service not count much can not get room normal way . staff go way helpful , definitely go different hotel next time head Times Square . one darn difficult ( gargantuan ) deal . shame ! 
 Apr 27 2008 	 crazy elevator 	 wife stay Marriott Marquis three night prior start cruise New York . on arrival porter sight no - one give we idea main reception area . ground floor area around main entrance chaos - crowd taxi hoard people . eventually work get , several heavy suitcase , eighth floor . first negotiate crazy elevator system ! ! large bank lift , rather get next empty car selecting floor number , enter floor number want wall mount keypad lift foyer , display tell lift wait . wait ..... wait … . ! ! guest tell we wait anything 20 minute occasion . wife conclude system program engineer grudge humanity . get Reception desk faith restore . check - in swift courteous , luggage whisk away efficient Bell Captain take we room 45th floor ( high guest room go ) make sure settle ok.gu room arrange around vast central open space extend 8th 45th floor . room fine – clean well fit , although view window Times Square little dizzying suffering vertigo ! public area spacious bar service good . say , ' like lounge area – big public – nowhere sit enjoy one ' private space . would stay – ! nothing wrong hotel , feel like battery hen vast people factory . 
 Apr 25 2008 	 elevator ruin we 	 room clean nice elevator problem overshadow stay . enough elevator size hotel . average wait one 10 - 15 minute . 22nd floor choice wait ... would stay issue . 
 Apr 25 2008 	 Great Location ! ton ! 	 Hotel locate inTimes Square ! great middle hustle bustle street within minute one escape comfortable , good - sized , quiet , clean room . town vacation daughter , friend , wife . love easy access shopping . also short walk reach subway station get anywhere city . though hotel eleveator frequently mention source pain hotel , find quite simple use . plug floor number go elevator designate . right next hotel MTV Studios . daughter friend great time watch celebretie exit building . quite crowd event love . plenty food option nearby - one night opt Junior 's ( good offering food ) another pick pizza John 's ( two block away ) . lady attend legally blonde two show right across street . overall , positive experieince . 
 Apr 24 2008 	 great first nyc trip ! ! ! 	 well review short sweet didint stay hotel often , sleep . marriot four day good stay . room average importantly bed clean . room pretty good size consider nyc standard room , maybe corner room . hotel literally times square walking distance many tourist attraction . take tourist bus see everything around manhattan include ground zero . la thought would feel cheesy two story bus fact matter conveniant ! ! ! stop everywhere towner would want go . well worth pay 3 day nonstop pass get around town cheap cab feel safe . stop everywhere ton bus go around . people front desk helpful friendly . 
 Apr 22 2008 	 Loved . 	 stay three night mid - April 2008 . read prior review hotel know use elevator show . system quite slick efficient . say enough friendly front desk & quot ; service & quot ; staff . check well throughout stay , whenever question simply need change , always meet willing person provide service . call front desk twice stay time greet & quot ; good morning Mr. XXXXX . may assist ? & quot ; location could well want stay Times Square . sure , be busy location , busy hotel . expect . entire stay hotel simply well expect . we use Fitness facility three day . fitness room locate 23rd floor , one nice faciltie ' ve see hotel like . two trainer morning assist monitor , need . towel provide , well water apple . fitness facility open 24 hour simply require room key enter , together sign - in . we unable access free internet room wireless card laptop . public area 8th floor . buck pay hefty $ 16.95 fee high speed internet room 2 three night . our room large sofa , chair , computer table , refrigerator , request prior check - in . room directly overlook Times Square , although book Times Square view room . 21st floor . price pay $ 339 per night . 
 Apr 21 2008 	 pretty darn good ... 	 really quite nice . be pay fantastic location , gym , big chain room ' ve see nyc.the hotel absolutely massive , never problem . check - in line not take 3 minute , never 1 minute wit elevator . elevator system bite odd , anyone 3rd grade education able master 1st day . room typical Marriott ( i.e . well avg . ) , NYC room quite large . downside slow - to - respond AC system . admit like room cold , system positively arthritic . the gym 2nd 3rd nicest large ' ve see ( behind Dallas Austin Four Seasons ) . ton treadmill bike , nice Hoist equipment . treadmill tv fan , tv block great view Times Square . be open 24 hrs , be nice treat . I not partake bar 8th floor gov't travel , not pay $ 15 - 20 burger martini . however , be quite close number good restaurant bar , well delis liquor store , addition rotten tourist trap Times Square . be also right theatre district , subway line , etc ... sum , hotel right middle NYC . not Ritz - Carlton , be explore NYC expect stay palace , place quite good . 
 Apr 6 2008 	 huge hotel decent room 	 massive hotel . multiple restaurant 2000 room . facility great location 's right middle Time Square action . the front desk efficient yet still friendly . room four we bit tight serviceable . be really anything special hotel ( aside 's size 's location ) room average . make sure venture outside hotel food restaurant expensive . numerous inexpensive food location nearby . 
 Apr 5 2008 	 Christmas New York 	 spend five night Marquis Christmas 2007.the room huge sofa , chair , massive bed big bathroom . clean comfortable . hotel typically corporate business like , many family appear stay . whilst well locate ( two minute Times Square ) huge hotel size remove real feeling friendliness . the lift nightmare : central block 15 lift serve different floor . expect wait large influx people one time . eat hotel , revolve restaurant top floor . offer buffet honest pretty awful . however , view fantastic skip buffet go drink . take hour revolve 360 degree . there lot great place eat nearby branch Juniors opposite hotel huge breakfast ( pancake good ) wonderful cheesecake . 
 Apr 4 2008 	 impress Marquis 	 ' ve New York many time always stay small hotel , curious enormous Marriott Marquis could warrant rave . business conference schedule nearby , perfect opportunity give Marquis try . personal preference still small hotel , say ' m impressed . location beat . people work uniformly pleasant , well - inform professional . corner room huge , especially NY standard . bed comfortable room quiet ( course 27th floor face Hudson River , Times Square ) . elevator system efficient rarely wait couple minute . Times Square TKTS booth attach hotel . airport check - in kiosk Starbucks near reception desk ( 8th floor ) . subway , bus taxis right outside numerous front door . recommend place stay first - time visitor New York , would hesitate suggest Marquis . 
 Apr 4 2008 	 amazing bar ! 	 book girly weekend trip New York via ww.Cityandshow.com fantastic , give travel advice rate competitive . the hotel amazing , Time Square near Broadway . great facility , clean . would especialy recommend bar top hotel , spin around get amazing view fantastic city . avoid use phone bedroom charge ridiculous rate , pay $ 15.00 dollar 30 second phone call ! ! would strongly recommend hotel . 
 Apr 2 2008 	 Loved Marriott Marquis New York 	 stay hotel read review trip advisor . the hotel fantastic make feel special , nothing much trouble staff . we Time Square view extra cost , room huge sofa 's chair , bed huge clean linen every day . we concern lift read review not think ever wait minute lift . the hotel joy definately stay . 
 Apr 1 2008 	 Best Hotel tourist NYC 	 good hotel stay tourist NYC ! center excitement energy Times Square offer . conveniently locate near Theater District within easy walk distance subway stop . excellent restaurant shop also closeby . room stay excellent , one view Times Square another view Hudson River . staff accomodate friendly . room large immaculate . also nice gym within hotel . bit pricey ( $ 349 per standard room ) worth extra money would usually spend location . 
 Mar 30 2008 	 great stay 	 self wife , BIL , SIL stay back June 2007 . GREAT hotel . see rate double since last year . hope return stay year , pay 220 night last summer rate 500 . not understand drastic increase . amenity teriffic , hotel extremely clean . staff helpful attentive . great overall stay . 
 Mar 28 2008 	 great View great location 	 take wife NYC see play birthday . stay one night Marriot Marquis , decide treat . great location , great view , central everything theater district . room large clean comfortable . stay city two three night year , would stay every time price low . pay $ 300 night , find deal nice hotel area $ 200 . 
 Mar 27 2008 	 good birthday ever ! - fantastic view city ? ? head love ! 	 stay hotel ... impressed decide go back ! ! experience start drop centre Times Square - take hotel entrance ( one either side block ! - big ! ) .. welcome concierge man tap floor 8 lift caller lift quickly come take reception ... say lift ... mean pod .. go outside central collumn building - go 45 floor ( can not quite remember total ) pretty amazing view - make ear go funny ! ! anyway .. check superb .. two room Time Square view .. floor ... say 's fine helpful receptionist .. without say anything .. make half dozen phone call finally say - room floor - nice ! ! anyway .. floor 38 wizzed amazing lift system - really get people look say wow ( upload photo ) walk room & quot ; WOW & quot ; - amazing view look & amp ; Time Sqaure ( look bottom right window could see ticket booth theatre give idea ) .We go theatre .. come back absolutely shatter ( 4 am UK time ) .. get straight bed .. god bed ! ! good bed ever mean ever sleep / on . not lot say not spend much time hotel ... great number place buy food - include handy Starbucks - good quick drink muffin action pack day start Macys ! want stay New York REALLY suggest stay . know will not able go back New York ( time sqaure area ) satisfied hotel ( expensive habit ! ! ) .. A1 Fantastic ! ! ! OHHH . ps . forgot say - also happen rotate restraunt top hotel ( hand uh ) go around per hour give view river , empire state building , chysler building etc . you either go expensive formal restraunt fairly formal lounge - fantastic buffet ( think fantastic platter food chocolate fountain ! ! ! ) 
 Mar 23 2008 	 not spend Money ! 	 great hotel , be stay somebody else 's dollar . be get everything want - price . afford , go . location heart Times Square , price inflate , Marriott Marquis assume guest business traveler spend money like water . stay business convention , fit profile . want use computer hotel 's business center ? $ 32 per hour . glass wine bar ? $ 13 . ( fact , wine list include one wine often buy home $ 8.99 bottle . charge $ 48 bottle . ) yet refuse honor credit card try check , name company , even though accept guarantee reservation . force use personal credit card . afford attitude 's demand high end service location . honestly , though , ' ve stay lot hotel good nice attitude , half price . will stay next year ... employer pay bill . next time ' m NYC ( three month ) will stay elsewhere , price rational people friendly -- money . 
 Mar 23 2008 	 Exceeded Expectations 	 spend 3 night hotel impress . 25th Floor & quot ; stay Breakfast & quot ; rate . thought well worth money , entitle we great buffet breakfast , include juice , coffee , pancake , waffle addition buffet item . room amazingly quiet , especially consider hotel middle Times Square . normally poor sleeper - but 3 wonderful night ' sleep hotel . quiet , bed extremely comfortable , room temperature good . heating system also quiet , unlike many hotel . take trip tourist , hotel convenient shopping , restaurant , course Broadway theater . staff generally good . hotel large modern design ; strike . obviously place look boutique hotel personal service- efficient , well - locate , comfortable . 
 Mar 22 2008 	 Loved Marquis ! excellent location . 	 great location , great room , helpful staff . week reservation , call confirm King bed since 20th anniversary trip use Amex point room . upon check - in tell , & quot ; Happy Anniversary & quot ; upgrade corner room , 30 % large regular room . 24th floor overlook Broadway ... wonderful view . clean room / hotel , comfortable bed sofa , 2 side chair , 2 desk area , full length mirror good size bathroom . would stay . Starbuck 's 8th floor nice convenience , . 
 Mar 22 2008 	 love NY ! ( Marriott ) 	 enjoy weekend ' getaway ' Marriott Marquis Times Square , NY . package include dinner revolve rooftop restaurant , View , buffet breakfast 8th floor restaurant , Encore . room not ready arrive 2 pm , promise regular check 4 . 4 pm still not ready ( request Times Square view ) , upgrade large suite Hudson River view . room huge , view beautiful package come champagne chocolate . breakfast next morning delicious choice buffet excellant . entire staff courteous , helpful pleasant , actually feel glad see we ! disappointmnet dinner view . reservation easy seat right away . restaurant beautiful service excellant , however , food bland , actually tasteless . revolve slowly not much look , mostly window washing equipement landing . next time will skip view eat one local restaurant . entire package 417.00 tax well worth ! 
 Mar 22 2008 	 great time 	 first visit New York little apprehensive stay , read review find bad one decide Marquis . look web hotel offer room 3 adult ( bring 21 year old daughter ) impress check trouble elevaitor . staff friendly helpful room spotlessly clean . 42nd floor trouble noise great view river . breakfast buffett little expensive last us day . use room service within 20 minute husband say sirloin burger good burger ever taste ! would recommend hotel anyone . 
 Mar 22 2008 	 Location Location Location perfect ! 	 admit reluctant stay NYC due bedbug problem lot research , Marriott Marquis perfect choice . stay 3 night CLEAN , beautiful although picky - incredibly impressed whole experience . I would recommend anyone look perfect , clean wonderfully locate ( heart Times Square ) place stay . dissapointed would love go back . 
 Mar 21 2008 	 great hotel 	 one good hotel ever stay great location get room fantastic view time square staff helpful freindly hotel pricey worth every penny revolve resturant top floor spectacular definately stay 
 Mar 21 2008 	 Super Comfy Beds 	 right middle action NYC . room spacious , clean quiet . even view river . good part hotel extremely comfy bed , especially long day sightseeing walk ! 
 Mar 20 2008 	 Perfect location great hotel ! 	 stay time hotel . business pleasure . the location perfect : right Times Square . restaurant , theater , shopping , etc right doorstep . the hotel huge . comfortable . room large comfortable . love bed ! hotel lobby experience , elevator go time . restaurant top floor excellent ! cheap , food great . go , view . seat restaurant rotate ! see entire city dinner . breakfast bit small , selection great . if be visit ny : go place . search good enough , find great rate . 
 Mar 19 2008 	 good experience 	 Marquis great hotel . staff amazingly friendly ( first impression everything ) bell staff help luggage assist check .. room ready ( also 4 hour early ) desk take phone number call ready .. staff also hold onto luggage check check still city charge ! ! think great start stay . room large NYC hotel room . clean . bed comfy . shower much water pressure tho . 2 starbuck hotel along several restaurant . location awesome , right Time Sqaure . 
 Mar 19 2008 	 call hotel direct advance good price . 	 go hotel yet , want let other know rate rec would call direct advance . call first week March tell plan come NYC 16 year old May 30th 3 day . look Marriott view empire state building room ( can not remember name ) . call direct . speak reservation planner tell take daughter first trip NYC see Rent 's final weekend . I tell could not afford much willing spend $ 250 night great view . room hotel $ 279 . said & quot ; ever come stay premiere hotel Marquis great view . & quot ; say expensive worth it . since already make reserve hotel feel like push go Marquis . since figure might visit many year ask rate . say $ 400 right time square jumbo TV ball drop new year right window . sound great - but pricey ! say top floor go $ 3000 new year ! say much sound perfect . say book way advance pay upfront would try find well deal . said & quot ; let us try ! & quot ; offer room & quot ; high floor view square daughter love & quot ; $ 290 night . book pay Friday Sat night . location save time allow we see area . I see site quote offer $ 400 hotel please call direct try well . good luck ! 
 Mar 18 2008 	 Typical Marriott . great location typical accommodation . 	 first , let say Marriott employee . love company 's hotel accommodation . every time stay Marriott , service : friendly helpful . say , Marriott Marquis Times Square New York live expect Marriott service level , not really anything typical Marriott property . fact , comfortable Marriott hotel around country Marquis . get particular hotel , however , location . perfectly locate Times Square Broadway 46th 47th . it expensive stay Marquis , although get discount employee . first floor lobby not really lobby . go 8th floor check . Weird , huh ? bunch high speed elevator circle take hotel , might wait many people go . room typical king standard room . partial view Broadway lovely view office building . bed comfortable , nearly much Marriott property ' ve stay . not think room equip new Revive bedding find many Marriott property . bed love stay Marriott 's , one not good other . plasma TV nice though , channel list include HD channel . as say , location great . wonderful come back see broadway show walk hotel , midst throng people . always want one people could veer path walk hotel . must say , wonderful . hotel quiet , be room , accommodation comfortable . price everything ridiculous , course , since be Times Square , else expect ? overall , hotel typical Marriott . nice design , great location , comfortable room friendly staff , nothing spectacular . good part Times Square . 
 Mar 9 2008 	 love 1980 's 	 love hotel ..... wonderful hotel heart time square . simple . love 1980 styling , fast fast lift kitch revolving restaurant roof . hotel one chain hotel love visit . everything would expect , bit more . do try buffett restaurant . 
 Mar 1 2008 	 experience 	 look visit New York City day two , hotel beat . many thing make Marriott Marquis great hotel Times Square , # 1 far location . locate directly dead center Times Square , make basically everything short walking distance . hotel feature incredibly convenient smart elevator system make get room hotel incredible number room easy process . main floor area lovely sushi restaurant , complete bar area wide range exotic drink glass - wall intimate - table - seat area directly overlook Times Square , give view nightlife chatting friend . room also overlook Times Square , great view never far away . musical theater enthusiast , hotel offer ticket booth inquire showtime , location , even buy ticket right hotel ( though rather high service charge ) . also , Marquis play host & quot ; Drowsy Chaperone & quot ; . service excellent , request rollaway bed room promptly deliver , staff always ready answer question . parking valet , convenient every way . hotel also offer huge exercise facility , not get opportunity use . mention hotel great idea short - term trip , since room quite expensive . long stay New York , imagine affordable location , short - term , amazing experience , Marquis not place stay , become memorable part experience altogether . ( recently visit NYC , even though not stay Marquis , still go bar restaurant ! ) 
