surprised 	 really surprise many great review muse , fact really great ! bellboy great , always help we . say snobbish Front Desk house keeping . stay 5 night , one day give towel , one day miss floor mat . find use towel duvet change bed sheet throughout stay . sorry say house keep standard ! please scruntinise bill check , find mini bar item charge bill daily basis consume anything mini bar . acceptable reputable hotel chain ! location hotel great ! one minute away times square , 10 minute away theater walk distance fifth avenue . hotel across road , may cheaper well ! say money pay , well hotel around . 
 comfy bed world 	 partner stay muse hotel late November 09 . keen stay hotel read great review site . hotel lovely , trendy , modern clean fantastic location ! 30 second times square . hotel lobby beautiful , bar always good relax drink two three . the hotel bellboy always friendly eager help question . reception staff hand quite rude time almost snobbish . not let ruin trip though aspect hotel make stay success . bed room unbelievably comfortable , room spotless , good size modern bathroom maid give we fresh towel bed linen everyday . place one room next building site cause disruption evening , pay fair price hotel not mind . overall good stay . 
 Jun 27 2005 	 Great Boutique Hotel Great Location 	 stumble upon hotel reading review several site . NYC upwards 20 time always stay Doubletree Times Square Plaza . afterall , ' ve one large hotel chain , ' ve . want try something different . location can not beat . 4 block subway , half block Times Square , 2 block 5th Avenue Rockefeller Center . room not ready get early , ask wait come let know ready . get call 5 minute room make sure everything look good . bed like sleep cloud ... comfortable bed ever . nice bathroom nice linen . two complaint .... street noise miss wake call one morning . end issue , would early flight may trouble . let know sincerely apologize sure miss next morning . street noise , not like help . 's something deal get use . would definitely stay price $ 300 . get $ 249 expedia Friday Saturday night . will back . 
 Jun 20 2005 	 Nice hotel Theater district 	 Muse nice hotel center theater district ... walk distance theater . overall nice . nice bed linen , comforatable bed , nice bath towel ( contrary reviewer say ) . also get nice price hotwire.com hotel . however , really not 4 star hotel , like claim expedia . like 3 3.5 . not extra something push 4 star . 
 Jun 14 2005 	 clean bit take shoppi trip bed bath shop 	 want like Muse .. staff friendly bed bath linen old room cleanunder bed dirty ! . urine smell front hotel . GREAT location bring earplugg use city noise . would good thing room guest ! 
 Jun 6 2005 	 make feel special get - go 	 first word hear enter hotel , & quot ; upgrade executive suite & quot ; know great stay . contemporary hotel 1/2 block Times Square , reach madden crowd prowl street . room quiet refine . comforter nicest see . even soap first class . nice touch not formal check counter . rather greet two concierge seated desk , ready help . not request could not handle . return next theater weekend , Muse top list hotel would consider . 
 Jun 6 2005 	 Complaints- Great Little Hotel Times Square 	 14 yr old daughter return delightful 72 hour & quot ; Power Shopping & quot ; trip NYC celebrate graduation middle school . blast Muse Hotel make thing even well . reggie , bellman direct we Red Flame Grill quick block away ( 44th @ 6th ) yummy breakfast belgian waffle . be busy diner reasonable price . as previously note , hotel right Times Square 46th . obviously , great location want take touristy sight enjoy Broadway drop many package shop 5th SoHo . stay Rm # 1204 ( Deluxe King ) book Hotels . noise . problem room towel . comfy bed , fluffy pillow sizeable marble bath . rate $ 249 literally book day check . feel safe well serviced . minor snafu hotel charge we prepaid room , quickly rectify plethora apology . return JFK via a+ Car service ; request & quot ; Fausto & quot ; driver . 's pleasant make traffic jam transfer fun . rate $ 77 plus tax . taxi have JFK airport $ 49 plus tip . , complaint ! would definetly recommend Muse return myself . here be New York ! New York ! 
 Jun 2 2005 	 good experience . . . 	 room much spacious typical NYC hotel . place appear recently nicely renovate clean , tasteful furnishing spacious , marble - line bathroom . though junior suite , toward back building , not offer much view , quiet certainly get plenty daylight . one window could even open opt natural breeze air - conditioning -- real plus . also , nice New York Times ( even fat Sunday edition ) automatically deliver outside door . location 's central ( near theater midtown ) , though exactly hip , we detest chaotic hustle + bustle Times Square , 's easy access hotel eastern end block ( Sixth Avenue ) -- rather Broadway . downside ? well , service leave something desire . example , chambermaid try enter room bed 9 Sunday morning -- even though have post & quot ; Disturb & quot ; sign . need extra towel one night , call downstairs 3 time wait 45 minute . otherwise , stay positive experience . 
 May 31 2005 	 get * * * * ? 	 stay Muse proximity Broadway play recommendation give site . one half block Times Square . read review choose remain positive hotel actually experience stay . well , spend seven night ... go . yes , small boutique hotel . guest extremely polite quiet ( hall noise ) . staff polite accommodate ... housekeeping especially helpful . room locate fourth floor front street . previous review complain excessive street noise right target . luckily we , pack nifty & quot ; sound soother & quot ; block bang garbage delivery truck toss turn sleepless night . room size adequate quite dark dreary . two day seven telephone housekeeping replace light bulb bedside lamp . Believe , one light go room , make noticeable difference . big negative quality bath towel deliver room . clean terribly worn . fact , one bath towel wear hole big enough hand go ( really ! ) . however , bring attention housekeeping , replace damage towel . nightly bed linen turn - down service complimentary Biscotti treat . two us room night one Biscotti leave two we share . ( big deal , $ 300 buck night would think guest would receive tiny Biscotti biscuit ) .Will stay ? . well - know four - five star hotel locate directly corner Broadway 46th face Times Square . decide walk see could get price pay Muse . difference unbelievable . room size twice Muse ( bruise bump furnishing ) . room competitor spotlessly clean , light airy , street noise ( course , room locate high floor ) . staff willing let we impromptu comparison . return December , stay compete hotel . 
 May 30 2005 	 Location .. location .. location ! 	 be look heart NYC , place stay . room clean hotel staff friendly . botique hotel us definately & quot ; must stay . & quot ; strongly recommend ! bar small quaint good drink . can not wait go back . three girl room plenty room ! 
 May 29 2005 	 pleasant surprise ! ! 	 husband get back spend Memorial Weekend NYC , stay Muse Hotel Times Square . live upstate NY travel city lot , safely say Muse comfortable , quiet hotel ever stay NYC luxuriously large room ( huge NYC standard ) ' ve ever experience . staff friendly helpful , bathroom gigantic ( big one home ! ) , bed pillow - top mattress comfortable . & quot ; backside & quot ; bldg , street , though always travel ear plug , not need ! walk distance fabulous restaurant Broadway theatre . definitely go , question ! 
 may 16 2005 	 Nice hotel 	 stay Muse Times Square April 2005 . location good - right Times Square . walk St. Pat 's Cathedral , Fifth Avenue shopping , Central Park . also walk Broadway show - problem . good casual dining across street Rosie O'Grady 's Irish Pub . not like menu hotel restaurant - swanky pricey . service ok - wait line check relatively painless . order drink bar one afternoon take back room . $ 10 bad margarita ever . could not even drink . room small nicely appoint . decor modern new . bathroom gorgeous soap amazing . know sound odd , take unused portion bar soap home us - good ! look funky - even joke husband get hungry could eat soap look like food . green look like nuts something . know make skin soft ever . enough soap . get NY Times everyday nice . would say nice hotel couple business traveler . definitely family . pay $ 250 night room think high think NY standard right . 
 may 6 2005 	 Muse - fantastic location 	 first visit New York - therefore opt hotel close Times Square , Muse Hotel disappoint . the location excellent - approximately 300 yard Times Square theatre district , 2 block 5th avenue ( shopping area ) easy stroll Macy 's Central Park . we executive room spacious benefit comfortable bed small sofa . decor modern clean , large bathroom quality bath product . we aware review comment noise street . 3 window onto 46th street problem noise . 
 May 5 2005 	 COMFORT value 	 Muse offer excellent staff along spacious room great bed . stay four night love location people work . would highly recommend anyone ! 
 May 4 2005 	 Great Place ! ! ! 	 stay Muse March 30 - April 2 2005 . go NYC sightseeing / theatre trip . place could not well . arrive ( noon ) , tell room not quite ready , GREAT bellstaff take bag storage . arrive back hotel 4 pm , bag wait we room . GREAT room 12th floor ..... decent - sized per Manhattan standard . bed excellent . bathroom awesome , bath amenity . high window afford small view Times Square ( 1/2 block away ) , another view east 46th St . not stay Muse view - location perfect need . across street little deli ( not spend fortune stuff mini - bar ) , nearest subway block . full day NYC , problem go sleep . hear terrible noise . one must keep mind hotel center busy city world , noise expect . quite frankly , not hear thing . noise issue , suggest ask room upper floor . ... issue noise . good - sized umbrella room come handy , ! terrible experience car service hire JFK hotel ( Carmel Car Service , driver drive 35 MPH leave lane Van Wyck , nearly half - dozen accident , cellphone swear half trip , get lose Manhattan ... tell get hotel ! ) .... return trip Newark , ask bellman option . tell get taxi ( $ 65 , include toll & amp ; tip ) hotel town car flat rate $ 90 . choose towncar . pressure take hotel 's car service . not remember driver 's name , young guy .... excellent . make Newark 50 minute , traffic . I imagine anyone love Muse . return NYC later year , definately stay again . our rate 3 night around $ 900.00 . bad beautiful hotel right middle theatre district . 
 Apr 29 2005 	 Piece heaven complete ciaos .. got to love NYC ! 	 love hotel , location awesome , 20 step Time Square , restaurant bar . within 2 block every possible show ... get well ! staff friendly helpful ... want incredible service ask Lauren , make miracle happen . District Restaurant wonderful , great feel delicious menu ... service quick fabulous . the room large New York standard , dreamy bed duvet pillow .... comfortable . loved nightly turn - down service . co worker ( travel agent ) love hotel much taking group 90 traveler October . can not wait see Muse 6 month ! 
 Apr 27 2005 	 class act way 	 check - in check - out effortless , room quiet ( 12th floor ) , spacious comfortable , staff gracious . housekeeping staff friendly considerate . we never push use car service ; cab cheerfully hail time . we try restaurant . one complaint : back bar cozy enough , 's much noise connect hall kitchen 's hard relax . if hotel another block away Times Square accompany foolishness , would give six star . recommend . 
 Apr 14 2005 	 theater district 	 come back feel compel offer sincere kudos muse hotel . four night ( 5 day ) never experience one false note , one moment annoyance disappointment staff and/or accomodation . perhaps experience loud street noise room close street ( 11th floor ) light sleeper . room , , spacious new york standard ; bed perfect ( taste ) -- feather pad top mattress , pillow , heavy coverlet . take red - eye los angeles dire need good night 's sleep . disappointed . turn - down service complete almond biscotti . new york theater , location muse hotel could well : walk distance almost every theater ; block away time square ; 2 4 block away subway line . every single staff member friendly , pleasant , eager help direction , reservation ; seem genuinely interested committed satisfaction . ( , really , not work hotel ! ) muse important part wonderful trip ' ve decide make new york muse hotel annual event . ; - ) 
 Apr 12 2005 	 nice nothing write home 	 go go great detail .... great location heart Times Square . room okay size super clean . kind old show little sign wear . staff freindly little militaristic , dress black . formal invite feeling . lobby cool unique approach checking . see review detail . one small fun tip . exit hotel , go leave Broadway . TGIF corner . right next , video / camera store earthcam . one freind , family anyone else know , logon onto : earthcam -- -- -- -- -- -- -- -- -- -- -- -- -- . see stand . kind fun . also several camera post around area Times Square . .... nutshell , descent hotel , okay room , little noisy ... heck New York ... honk horn .... , descent service , great location . enjoy email question .. .I will happy try help . 
 Apr 5 2005 	 impressed Muse 	 stay overnight Muse March 30th . impressed start . find staff extremely courteous moment open door we . check tell , surprise , room ready noon also upgrade . room extremely spacious , clean comfortable . although rather noisy outside , heart NYC ( noisy night Plaza , obvious way life NYC ) . location perfect restaurant , theater shopping . would absolutely recommend stay . 
 Apr 1 2005 	 Perfect Honeymoon 	 stay Muse five day early March 2005.i spend lot time find right place stay near ' the action ' ny disappoint - Muse perfect . location ideal Times Square , 20 second away , theatre , MoMA Central Park within easy walk distance . relax , quiet private feel hotel restaurant ( District ) .Staff never fail good direction arrange everything ask , even arrange limo ( UK standard ) JFK $ 60 . staff attentive without overbear whole time . criticism dinner one evening offer dinner next evening ' on house ' - surprised , obviously pull stop please . the room well appoint tastefully decorate lovely bathroom , super bed mod con . although two floor street , surprisingly quiet , certainly idea Times Square close . problem heating room soughte almost instantly . we love decor public room , cross Art Deco something else . definitely back next vist NY . 
 Apr 1 2005 	 run ! not walk high - price sleep - depriver 	 March 30th , check Muse one night , advance important business meeting follow day , read favorable review property . seem go reasonably well ( ought , $ 400 + ) around 10:00pm . thereafter , entire duration NIGHT , 5:30 , sound like someone drop dumpster rooftop surround building ( intersperse occasional back - up buzzer garbage truck , various banging uncertain origin -- fact , bed sometimes shake vibration ) . 5:00am , drag bedding bathroom , hope could score least hour two sleep ... avail . sleepless , check around 7:30am drag , half delusional bleary - eyed , meeting . this wretched experience . perhaps not hotel 's fault , really not matter point . could think schlepped meeting , sleep not get . , hand , not need sleep , suppose Muse would alright . ( although window looked not wash year room small , mini - bar door would not even fully open without hit bed . additionally , not bother note room number breakfast request ( blame ) breakfast never arrive . ) advice : pick different neighborhood , get sleep , save lot frustration . 
 Mar 28 2005 	 inspire stay elsewhere ... 	 Muse pretty little boutique hotel think bit highly . room clean comfy , bathroom spacious , four diamond rating , $ $ pricetag husband disappoint staff service . the Muse tout full service accommodation , offer one car service airport -- $ 75 plus toll tip . take cab $ 60 , call private car service $ 50 ( love Carmel ! ) take shuttle $ 20 per person . want anything one option offer , make arrangement . restaurant close ten . concierge give we bad direction twice . ask direction cafe two block away get half - hearted direction opposite direction . housekeeping hit miss . recive turn service one three night , hand towel never replace first night run bathroom tissue . dinner reservation problem , hotel manager offer we complimentary breakfast . comedy error continue , order wrong APPEARED BILL . book hotel accommodation hotel website thank goodness bring reciept -- get bill amount accomdation . think straigtene , check , woman front desk ( one & quot ; clear problem & quot ; early ) ask want put Visa ... hotel 46th ( though use mailing address 47th -- make bit tricky find first time visitor ) none end world -- plan special get away New York City -- thousand hotel option -- reason settle less perfect . not spend trip annoy frustrated like ; find hotel Muse splurge . 
 Mar 23 2005 	 enjoy stay Hotel 	 return first stay Muse NYC 3/22/05 . room clean bathroom big clean . amenity include honor bar , room safe , iron , bathrobe , luxury style bath product . king size bed comfortable . staff freindly present professionally . hotel offer vallet service ( $ 43 want ) . street noise audible room ( 5th floor , face front hotel ) hey , be NYC . location excellent locate within heart theater district broadway . room size average size NYC hotel overall , enjoy hotel definately stay . 
 Mar 7 2005 	 Location great - service excellent 	 friend stay Muse first weekend March 2005 - contemporary hotel . tastefully decorate extremely comfortable bed .... location perfect ... walk distance cool time square restaurant theatre ... cute man work ! overall great experience - would definitely stay recommend 
 Mar 2 2005 	 top spot mental city 	 wife return last week muse must say little relaxation pretty hectic city . look forward get back large super comfy bed day walking cite cite . place spotless , cool bathroom soap , excellent turn night ice lemon biscuit . room quite spaceous . hotel excellent loaction 30secs time sq dosent super busy feel time sq . would strongly recommend . note reasonable breakfast take right , 20 sec road corner europa cafe . decent pint gunniess meal across road rosy o'gradys . - 8.75/10 . 
 Mar 1 2005 	 would recommend NYC stay 	 stay Muse one night March . work put snowstorm . cute boutique hotel hip lobby . room well expect .. bed comfortable . get corner room 11th floor quiet , negative smoking floor .. could definitely tell room smell . bathroom huge great large sized , quality bath product . also two bathrobe use stay . restaurant bar lobby . go bar small , nice atmosphere staff friendly . even give co - worker free drink birthday . room also fairly large , tell big compare NYC hotel . two double bed desk . the problem wake - up call work 25 minute late ! never problem , suggest set alarm clock room also safe . would definitely recommend hotel , especially 20 30 something ... single traveler . also great area theater .. 46th 6th & amp ; 7th . 
 Feb 22 2005 	 Service Location Comfy ( Feb 16 - 21 ) 	 review read initially make hesitant reserve room , glad ignore negative review reserve room anyway . mean gauge be accustomed , stay generally W , Four season like . compare , would actually , overall , rate Muse much high . we arrive 7 am , clearly way check - in ; however , able accommodate we get we room 10 am . husband please course . never get impression anyone press tip , quite frank not tip doorman number thing unsolicite . instance , one hail cab - essentially already handle , help we put luggage cab , wait tip , say safe trip walk away . true , window allow bit draft , winter month chilly fail turn heater . however , find heating system work extremely well , thus never even notice draft . if ever stay New York , well aware tiny 200 sq . ft . guest room offer , Muse definitely offer lot space average . bedding , far , comfortable hotel bed ever pleasure sleeping . hotel keep clean . one reviewer indicate find housekeeping service rather intrusive feel differently regard . housekeep good knock door first thing morning - matter . not even hung & quot ; disturb & quot ; sign , never disturb housekeeping . also enjoy turndown service return evening also include empty additional trash replace use towel . return NYC summer , , undoubtedly , stay . 
 Feb 8 2005 	 Heavenly Bed . Excellent Service . 	 exceptionally comfortable king - sized bed . clean , quiet , well - appoint room . sublime bathrobe . tasty turndown biscotti . Charming , professional staff ready help anything . simultaneously sumptuous cozy . close theater restaurant . muse boutique hotel . love plan return . 
 Feb 6 2005 	 great ... cold staff eager tip 	 go honeymoon Muse Jan 22 week amazed way certain staff money motivate . due change arrival , give doorman generous tip , lead we hound help we possible way gain another tip . doorman seem helpful friendly , however tail realised not need cab help regular basis , result extra tipping ! ice cake departure badger use private car service airport . reject first offer , delay return bag we commit pricey service thus refuse get we ordinary cab , still would result tip they . on plus side hotel 's location great bed comfy . con side , window mean room pretty drafty room third floor smell garlic due vent restaurant . clean service also bite intrusive clean persist lay brand new glass face first table , leave last scratch remember . overall , great location , nice boutique hotel , ignore doorman , transport airport previously arrange not mind room breeze . 
 Jan 31 2005 	 Fantastic 	 second time New York rather bad experience Gershwin 2004 , much research Trip Advisor decide go Muse not disappoint . we arrive middle bad blizzard NYC 10 year bell boy right away get we inside warm quickly possible . check take 5 minute . the room fabulous , bathroom amazing ( fantastic product ) , bed comfortable ever location spot ! would recommend hotel anyone . think bad review Muse receive must people not get good word say anything . 
 Jan 26 2005 	 great service 	 husband meet mother NYC stay Muse last year . travel dog , Hero , Akita . service phenomenol . greet name upon enter hotel without even check yet . hotel life claim ask anything accomodate . entire staff great , personable , helpful etc . provide excellent concierge service . location can not beat . room extraordinarily comfortable bed fantastic . great experience ! 
 Jan 20 2005 	 Muse ... Nice Noisy ! 	 spend 2 night Muse ( Jan 17 & amp ; 18 ) . get rate $ 219 / night ... bad NY standard . our room 8th floor . room fine ... big enough nothing special . bed great ! housekeep ok ... turndown 1 night .... not know that . the room noisy ... lot trash truck , etc . noise issue , would well stay somewhere else . stay Sofitel last March . great hotel .... quiet . charge approximately $ 100 per night , decide try Muse . overall , satisfied . , will stick Sofitel .... afford ! 
 Jan 19 2005 	 First Time visitor- complaint ! 	 first time visitor wife & amp ; little anxious quality expect . need not worried . fortnight Christmas & amp ; although room cool , soon heat up . room average size amenity hand . having stay several hotel Europe Muse compare favorably & amp ; would recommend fully . excellent location way ! 
 Jan 19 2005 	 Stayed Muse 	 wife stay Muse night away anniversary enjoy much . muse intimate , chic hotel step Times Square . much enjoy smallness hotel get get attention staff always easy . felt benefit central location not deal hassle huge hotel like Marriot Westin . we upgrade Jr Suite nice . wife love bed although soft taste . room nicely do spotless . sit area suite nice not think would pay . bathroom nice chic not supply hair dryer . toiletry provide top notch . if be come town want stay heart city , think Muse great alternative big chain . Broadway theater literally 5 minute walk . good underrated restaurant right block . if be wonder show see , see Avenue Q . 's fantastic . 
 Jan 10 2005 	 Loved Muse 	 stay Muse husband one night getaway . look hotel $ 200 night ( book line hotel website ) , friend recommend we pleasantly surprised . beautiful lobby , attentive staff , big room . reviewer mention noise , room 1406 corner room quiet . problem temperature , window little drafty , soon put heat room warm right . NY Times deliver door italian Biscotti pillow night . would highly recommend hotel . 
 Jan 2 2005 	 excellent stay muse 	 family 4 stay Muse Hotel Manhattan December 31 , 2004 January 1 , 2005 . location one half block away Times Square , convenient Theater also New Year 's Eve celebration . security tight 46th Street . Long Island , New York , regularly visit Manhattan stay number well hotel . muse definitely perfect Theater Goers . the room exceptionally large , executive King room adult executive double double kid . & quot ; executive & quot ; room well worth slightly high extra price . for hotel close Times Square , reasonably quiet room long window keep closed . problem encounter difficult maintain temperature room right . tend little warm room , air conditioning unit little close bed King unit , force choose sleep air conditioning , blow right top , leave keep window open . the service hotel friendly , staff courteous attentive need . 
 Dec 29 2004 	 Muse .... truly pleasant experience 	 stay Muse result Xmas gift hubby buy . experience travel point view nightmare however hotel everything power make sure comfortable time arrive bag return we ! basic toiletry provide nothing ask question . read bad review pleasantly surprised find information convey inaccurate ! staff friendly , room ( although small expect large city NYC ) little cool time however concierge gladly send space heater job . toiletry room ammenitie wonderful generally , experience much average ! city busy New Year 's Eve around corner hotel quiet ( remember ! ) terrifically restful time . stay several NYC 's fine spot would return heartbeat ! nice job folk ! 
 Dec 27 2004 	 eh 	 Muse okay hotel - definitely great one would think give wonderful review read far . con - our toilet clean check ( will not graphic - but trust , notice oversight . ) something wrong tv , could not view number channel . also , room rather small . notice many people comment excellent room size , think room could large ( parker meridien definitely large room price range ) Pro's - the shampoo conditioner great , blanket comfy . service great well , call item forgot bring we , fairly fast . overall , would say hotel okay , inspire advertised , worth price . 
 Dec 23 2004 	 impressed 	 third stay Muse early December , wonderful experience . room great , quite warm , staff helpful friendly , location can not beat . travel great deal , make Muse hotel choice NYC . 
 Dec 20 2004 	 awful Awful Awful ! 	 think agree , basic thing expect night hotel . one fairly quiet space rest head second heat . Muse lack make stay uncomfortable . window seem problem . paper thin much cold draft come sway curtain back & amp ; forth . heat crank 80 degree still freeze . thank paper thin & amp ; poorly insulate window , 4AM hit like sleep UPS loading dock . sound truck car night long . apparently load dock truck company across street . sound like drive hotel room . mention mini bar break , room service one type wine . ? ? ? can not fathom . native New Yorker use cold weather bad experience two hotel , take cake ! catch cold boot , thank Muse . say - leave uninspired . 
 Dec 15 2004 	 Awesome ! ! 	 first visit New York , muse absolutely wonderful . clean , large ( comparison other New York ) helpful , comfortable bed awesome location . 1/2 block Times Square . definitly go back . 
 Dec 12 2004 	 Perfect 	 stay Muse Dec 2 - 6 first time New York love . room large , bed comfy - every thing perfect . staff polite , helpfull effecient would recommend hotel everyone . 
 Dec 11 2004 	 wonderful hotel ... good hotel ' ve stay NY 	 stay handful ny hotel ( Millenium Broadway , Omni Berkshire , Parker Meridian ) say Muse good experience bunch . staff probably big selling point . doorman bellman concierge housekeeping , nicest friendliest people . everyone eager help not get sense solely get big tip . room nice size NY , comfortable bed , great toiletry , etc . would stay heartbeat . 
 Dec 11 2004 	 Great Hotel 	 stay Muse Thanksgiving . single complaint ! hotel lobby room beautiful clean . first time NYC find Muse great location site . staff always available ready help . even call week go home inquire wonderful soap supply happy give info . would not hesitate stay ! 
 Dec 7 2004 	 Fantastic 	 Staff welcome morning nite porter . room big n bed die 4 : - ) . leave airport ask use town car rather cab bit dearer know wot yr pay ( victor driver brilliant ) ! 10 min macey spack bang times square , 46th st . Turn leave onto times square look Cafe Duke , great breakfast , deli : - ) stay shop wkend thanksgive well worth . 
 Dec 2 2004 	 Luv have ! 	 spend wonderful two night Muse Thanksgiving weekend luv have . staff courteous helpful . room clean nice amenity . great location . reserve room 19th floor enjoy view . highly recommend . 
 Nov 20 2004 	 great experience Muse 	 stay 11/12 - 11/14 . reserve double room roomy NYC room -- especially consider proximity Times Square ( 1/2 block 46th St. ) . room lovely staff attentive . issue catch cab . one - way East street , people Times Square tend get taxi could get Muse . not even rain - cold damp . end walk 6th Ave little well luck catch cab . good experience though . 
 Nov 18 2004 	 thank would nice 	 stay late October , arrive 6 am Sunday morning greet ( want well expression ) rudest , grumpiest receptionist could wish . say , prove par courteousness New York , mean , ' please ' ' thank ' every would nice ! thankfully rest stay superb . lovely big room , comfy bed , big tv , broadband internet , beautiful bathroom location die , second Times Sq . we would also certainly recommend Muse 's neighbouring restaurant : ' District ' ' Rosie O'Gradys ' - avoid receptionist Hell . 
 Nov 7 2004 	 wonderful every sense 	 stay Muse one night . could not please hotel . everyone courteous helpful , bed world comfortable , room lovely . 
 Oct 8 2004 	 NY Favorite 	 travel NY City year spend time various hotel convention size boutique . accomodation Muse last week September experience delightful . find everyone extremely friendly begin housekeeping staff , bell staff front desk . room roomy NY standard bed & quot ; & quot ; comfortable . nice find hotel use again . I would certainly recommend Muse well District , restaurant premise . eaten District multiple time pre - theater find dining experience superb . chef nice visit guest 
 Oct 4 2004 	 Hated Muse 	 read great review Muse frequent travelor New York City know well , think location would great . , room not bad , nothing special , cost high . bad part staff . ask concierge help get taxi airport , quote price ballpark . look yellow page arrange taxi service pick half price . appoint time , go lobby , sign driver . ask front desk anyone look ( six morning , lobby empty ) . say . go outside cab . driver say leave . would front desk ask name room number deny . guess want pay price cab . almost miss flight . be last time would ever stay . 
 Oct 4 2004 	 lovely atmosphere great location clean 	 stay Muse read great review site not disappointed . ' ve never stay NYC can not compare anywhere else , room big expect ( bed huge ) lovely clean . someone else mention , view rave window small , not go NYC spend time hotel ! bathroom beautiful generally room well decorate clean . staff also really pleasant , not eat restaurant look bit pricy . spend $ 20 breakfast be 200 yard Europa Cafe ! location fantastic be tourist ( like we ) plenty great restaurant nearby . overall would not hestitate recommend hotel . 
 Oct 1 2004 	 Nice NYC Hotel 	 husband stay Muse recently three night . fourth trip NYC hotel far good hotel ' ve stay NYC . 's bit pricey , worth location great hotel new , clean , great atmosphere comfortable . room king size bed bit cramp , long hallway within room large , beautifully tile bathroom . staff helpful hotel many nice ammenitie . however , experience two small problem . firstly , one night bed make incorrectly top sheet top blanket , instead , get bed blanket top sheet top blanket . housekeeping mistake , money charge thing like not happen ! secondly , small , stock refrigerator room fill soda , water , liquor , snack , etc . want something , remove charge room . take anything , rather put two bottle spring water inside keep cold . next day find water outside fridge lock could access . actually think kind funny bother complain everything else fine . hotel restaurant , District , seem nice always look empty . look menu way line opinion . continental breakfast juice , coffee , croissant cost $ 20 ! lovely hotel enjoy stay . hope continue remain clean nicely keep . would definitely stay . 
 Sep 30 2004 	 enjoy Muse ! 	 first time stay Muse . convenient location , clean , efficient quiet . we never see hear staff hall . restaurant quite good . loved bed ! staff helpful . think good value . suggestion : staff could little accurate subway schedule ... 
 Sep 22 2004 	 Muse pure perfection ... 	 husband return four night stay Muse . service receive hotel superb . staff courteous attentive , hotel extremely clean , loved decor , new interior , great location , bed extraordinarily comfortable many special touch make stay truly unforgettable . highly recommend Muse . 
 Aug 30 2004 	 lobby nice featherbed comfy ... 	 yes , yes , lobby nice featherbed comfy ... room dark . two small window face street . light horrible impossible put make - up room ( forgot pack little cosmetic mirror ) .We book pay really know stay internet site realize pretty much smack dab middle Times Square . like Times Square , hotel . not like crowd tourist move snail 's pace , would well advise stay elsewhere . my complaint : hotel restaurant nothing egg breakfast menu . good allergic egg ( like ) .Overall , terrible would stay . 
 Aug 30 2004 	 Hoorah Muse ! 	 stay Muse month July 2004 . service excellent ! everyone courteous helpful . room stay Deluxe King , adequate visit couple . bathroom prestine bed comfortable ' ve sleep awhile . even clean room twice day NY Times doorstep every morning . quite terrified New York hotel read many review TripAdvisor ( rat moldy bathroom ) ... glad run Muse ! highly recommend ! 
 Aug 23 2004 	 Cozy Sexy Spot Right Times Square 	 stay Marriott Cleveland Pittsburgh , enjoy uniquely comsopolitan accomodation New York ? muse dark , sumptuous sophisticated , make feel like be film . fact , one shoot right outside stay . special touch include heavenly featherbed toiletry will find like Bloomingdale 's Neiman 's . staff gracious , stylish especially kind repeat guest , may want make pie - a - terre Manhattan 
 Aug 21 2004 	 Way expectation 	 get room Muse internet hotel site . could decide stay Marriott Times Square , try luck Hotwire . muse beautiful ! room decorate nicely , roomy . great bathroom , nice soap shampoo . even Q - tip cotton ball . bed good hotel bed ' ve ever sleep . everything feather - bed , duvet , pillow ... unbelievable . cotton sheet . usually bring sheet hotel , can not stand polyester norm . service Muse outstanding . bed turn get back evening . newspaper wait outside door morning . ice already wait room check , fresh ice get home night . can not say glad end go Marriott . Muse come highly recommend satisfied vacationer . little thing make hotel beyond rest . lot lot little thing add fantastic time beautiful hotel . 
 Aug 18 2004 	 Great Location 	 get back wonderful 4 day vacation New York August 11th 14th . originally plan stay near Central Park Le Parker Meridian change mind stay Muse . great decision Muse perfect location half block action Time Square . go dinner one evening restaurant near Central Park ( Tao highly recommend ) meal walk back Muse difference area around Central Park quite wth little happen lot people street . contrast area around Muse beehive activity hundred people shop , bar , restaurant walk square . find service atmosphere Muse exceptional bed say look forward every night climb superb king size feather bed . highly recommend Muse stay next time visit New York . regard 
