ordinary 	 stay individual room Meliá White House one night . find hotel ordinary . decoration furnish pretentious bit date . the staff reception desk nice chek - in check - out fast . room small , much London standard ; however not even one chair & quot ; table & quot ; room ledge leg , barely 25 cm deep place narrow , poorly - light , aisle - like space ( awkward four - star hotel claim ideal business traveler ; course chair desk room would appear cram ) . tv big bit old . closet look bit shabby . bed comfortable . bathroom up - to - date really tiny ; even shelf toilet bag , small counter around sink . everything clean enough . coffee tea kit ( inside closet , place put ) .There something odd use in - room minibar : note advise customer use minibar cool stuff charge 15 pound . no free internet area hotel . rate 15 pound per 24h . I not breakfast hotel ; would remember price region 20 pound , good breakfast somewhere nearby ( Great Portland St. across street ) .The hotel well locate find plenty well locate hotel London similar cheap rate one does't add special value . in brief , fine 's nothing special . ' ve stay nice hotel London would recommend one get cheap rate . 
 Dec 1 2005 	 Liked lot 	 thoroughly enjoy stay . location close regent Park great Portland St convenient travel around town . the room comfortable , modern quiet . Breakfast be not bad either , decent selection 
 Nov 29 2005 	 good location nice service 	 girlfriend stay Melia White House weekend last October . main pro - close location near center London ( Regents Park ) , close Great Portland Street tube . room small cozy . nice furnishing , responsive staff . - enjoy , ' m sure good value money like it . we ' pay breakfast lot café far hotel . especially ( evening ) recommend italian restaurant far Hotel ( 15 minute walk ) – Pescatori . ' superb restaurant good service delicious food . would stay anytime , would not hesitate recommend hotel other . 
 Nov 19 2005 	 beware 2star flophouse wing WW2 mattress 	 book Melia White House Hotwire ( great rate $ 125 ) , please aware follow business practice . when check , be ask whether would like upgrade & quot ; large comfortable room & quot ; 20 pound . sound like good deal , be good night 's sleep , large room not much you . I decline upgrade . room small two twin bed ; comfortable feel look good . the mattress among worst encounter 15 year business travel ( creaky , unsupportive , could feel spring ) . pillow 3 inch thick feel like foam . last time ' ve mattresse bad Crete , check hotel late night without do research . 4 a.m. , try 3 hour fall asleep , find mattress impossible get comfortable ( become increasingly angry , vision drag mattress hotel 's reception area morning ) , speak night manager . handle matter well , immediately switch assume room would 20 pound upgrade . room proper mattress , proper douvet , comfortable pillow . end 4 hour sleep . smart hotel chain start wise fact ( primordial brain evolving ) customer expect good night 's sleep , proper mattress bedding play significant role . hotel offer two level service brand ... well , not get it . so ... book Hotwire , either go 20 pound upgrade , take chance get 2 star mattress room . would suggest complain mattress soon . ( immediately , proper amount outrage . ) 
 Oct 22 2005 	 Loved White House ! 	 stay Melia White House long weekend break last summer . convenient location near Regents Park , Great Portland Street tube stop , pub ( Green Man particularly good ) , grocery store . air conditioning keep room cool pleasant hot , muggy day night . nice furnishing , pleasant staff , cramp bathroom ... careful high tub small shower . pay & quot ; Royal Service & quot ; upgrade , provide we upgrade room , upgrade toiletry , use lounge / breakfast room , include drink , breakfast tapas evening . ' m sure would upgrade , think husband probably would ... enjoy , ' m sure good value money . we would stay anytime , would not hesitate recommend hotel other . 
 Oct 14 2005 	 like would stay 	 stay Melia week September 2005 . staff -- front desk , concierge , porter , housekeeping , restaurant staff -- courteous helpful . breakfast buffet fabulous something suit every dietary preference . be less one block tube station close Regent 's Park . nearby good pub pretty good Mediterranean restaurant . feel comfortable walk around neighborhood night . our room , although small , clean comfortable . problem get bathtub ' m short , 5 ' 2 & quot ; .I absolutely complaint Melia White House can not wait stay . 
 oct 9 2005 	 try hard worth Hotwire rating 	 purpose review warn avid Hotwire fan - like experience - hotel always offer Hotwire super low price four star rating . pay $ 125 night Hotwire , great , hotel 4 star . consider Hotwire rate Paris InterContinental 4 star [ also stay ] , be outrageous would put Melia White House level . first , maybe ' m chi - chi , bed top sheet ! think 's gross ! go straight cover zero fresh sheet protection - know stinky foot touch coverlet . know Melia Mexican / latin american chain , ' ve lot hotel South America , sheet ! bathroom amenity : hairdryer joke - vacuum like relic 1950 . soap / hair shampoo , etc . total generic brand scent orange color . Paris InterContinental , Moulton Brown . importantly , hotel management ( be South America ) like give runaround call , & quot ; faux - first - class service . & quot ; try uber - hard first class service unnecessary pomp address Madame , tacky chandeliar lobby bunch bellhop front , push come shove need extra help , really not know deal will promise world , anything . word management : go real first class hotel Europe training , come back , idea real first - class hotel . example , issue buffet breakfast [ incidentally , be fantastic ] hotel one restaurant [ inferior begin since late breakfaster rush ] , buffet end 10:30 a.m . come 10 a.m. pay full price [ $ 30 US per person ] , will get hose since will start noisily pack 10:15 . well , complain , definitely get money 's worth management come , try really hard elegant hospitable , nonetheless , still charge complain upper management , promise look leave course , never hear back [ although manager take e - mail , phone number , home address , etc . ] , . 's decent hotel , would put par good Holiday Inn , servicewise amenity wise , definitely 3 star [ TripAdvisor rate ] . 
 Sep 16 2005 	 okay 	 several good thing Melia White House : location excellent , service polite professional , housekeeping efficient . yes room small wall thin , case moderately - price european hotel - invest ear plugs pick will fine . early mention , sometimes need place eat sleep . come , would like convenient location , clean room comfortable bed . White House get two three right . bed ( least standard room ) terrible - way put . feel spring everytime roll , end lot sag middle . polished marble foyer world can not make bad night 's sleep . I ' m assume bed deluxe room big improvement , definitely upgrade . 
 Sep 13 2005 	 bad Customer Service 	 stay HOTEL ..... find charge twice stay , say keep another room fault . offer refund future discount good , tell nothing . ERROR hotel keep cash ..... SPREAD WORD HOTEL one avoid ! ! ! ( plus room tiny ! ) helpful customer service woman Berta - thank nothing ! 
 Aug 31 2005 	 Excellent Hotel 	 take review US ? one native Brit , enjoy Capital spite bomber ! White House right Agatha Christie ; expect see Periot come reception ! decor excellent , mostly red gold ( spanish tribute managment take ) upgrade & quot ; Royal Service & quot ; get great room , although agree & quot ; bathtub & quot ; difficult get ( 44 ! ) breakfast buffet excellent , freshly cook ( ask omlette anyway like ! ) . guest spanish , american , german , yes Italian Aircrew . like stay continent facility home beauty Regents park relax short 5 min walk away . 
 Aug 24 2005 	 great value Hotwire 	 recently spend three night Melia White House , price pay , can not complain . yes , be true , standard room tiny . fact think small stateroom cruiseship take prior stay , exception presence bathtub awkward getting already report . upgrade room 20 GBP , 's point , insterete sleep . hotel look attractive enough inside . Checkin snap Concierge helpful . mattress really could little well . rather & quot ; springy & quot ; . location fine , great access Great Portland Station . however , lug suitcase tube , beware escalator Great Portland , bag heavy , fun ! adventure . would not hesitate stay $ 115 U.S. per night include taxis , fantastic London standard ( breakfast include Hotwire guest ) . 
 Aug 4 2005 	 4 Star Hotel 3 Star Service 	 Melia White House nice hotel large room european standard . nice way location quiet . furniture carpet little worn , still nice . breakfast buffet wonderful eat late would need eat lunch . disappointed would let husband get breakfast sick . say order room service . want piece bread banana ! ! 4 star service ! also disappoint call bellhop get bag one come . , would expect star hotel . nice room -- -poor service ! 
 Aug 3 2005 	 good location great price online 	 stay Melia White House Hotel London three - day trip June 2005 . book hotel one website let choose star rating establishment , not reveal hotel pay . hotel definitely worth suspense ! hotel situate block Regent 's Park , Marlyebone , remain quiet peak traffic time . Great Portland Street tube station block away Madame Tussauds within comfortable walking distance . check , flyer front desk show room start 225 GBP ; pay $ 125 travel website ! room small well appoint staff , front desk housekeeping , extremely polite helpful . 
 Jul 27 2005 	 room Small - Avoid 	 standard room GBP128 night poor value . small hotel room ' ve ever . ask change require GBP30 extra . 
 Jul 22 2005 	 great able 	 use hotel choice selection offer Trafalgar Tours . rate & quot ; upper middle & quot ; category 2005 Trafalgar London / Europe brochure list AC . true ! multi - million dollar refurbishment , beautiful -- cool . trafalgar book also say tour hotel include contintental breakfast . , sell Melia White House short ! first morning , ask complimentary breakfast direct toward dining room sign outside say breakfast buffet 19 pound per person . say , & quot ; oh , , want free breakfast , & quot ; Melia , ! Eggs , waffle , omlet , pancake next enormous bowl hot chocolate sauce ( whew ! ) ; egg , english breakfast bacon , sandwich , fruit , piizza , cereal , ! attentive service well . save big buck eat huge breakfast , mid - afternoon lunch , evening snack instead dinner . save lot money way not come London eat . hotel clean beautifully refurbish , room . yes be small , go London stay room ? hotel back beautiful Retents Park step underground . convenience store ( aforementione money save snack fresh fruit ) restaurant next underground station well . caveat : beautiful remodeling hotel , bathtub standard class room elevate -- apparently run drain pipe . fine be fit spry ( even , be climb -- hang grab bar ) ; talk old woman lobby find climb tub downright frightening . not know high price room also challenge . , really wonderful place stay . italian airline crew stay -- usually good sign . 
 Jul 22 2005 	 ok . nice nothing special 	 pro : clean , nice furniture , nice bathroom . & quot ; Royal Service & quot ; worth upgrade cost . get full breakfast , beverage throughout day , free cosktail , food dessert 5 10 nice lounge . quiet location sleep . nice neighborhood , serval major tube within 100 yard . quick room service . food alsway come 10 - 15 minute . pretty friendly staff , although always assume speak Spanish - though switch english quickly ( spanish hotel chain ) con : dead night . pretty much nothing around 9 ish . internet service . pay large ( 15 pound ) fee get access room 24 hour . & quot ; Royal & quot ; lounge , hve wireless sign talbe . get laptop come back . try go say need access code front desk . seeing already pay next 24 hour , provider , assume get access . NOPE . wnat pay another 15 pound access internet - company already pay access . & quot ; Royal Service & quot ; . 
 Jul 22 2005 	 Decent experience Melia White House 	 girlfriend go London first time . able get Melia White house $ 105 night hotwire . get room two single bed , mean luxorious , adequate enough comfortable . 6 ' 0 tall , problem . hotel locate prime location central London . quiet , well locate safe area London , near edge Regent 's park . room adequate need , location - right across great portland tube station could not beat . great air conditioning , major noise slam door . got great night sleep night . positive - location , friendliness staffnegative - 95 penny minute phone - go pay phone lobby instead , high mini bar rate . nothing ordinary 4 * major city . 
 Jul 19 2005 	 Decent hotel terrible service - avoid ` ` standard single '' room cost 	 get back stay Melia three night want share not - so - positive experience . book room hotwire get standard single room strange bed short anyone tall 5 ' 6 & quot ; ( bed around 5 ' 9 & quot ; long ) . besides bed , room reasonably clean comfortable mean luxurious . issue hotel came ask relocate room bed fit . show & quot ; standard double & quot ; room normal double mattress hotel insisite pay 20 pound night ( ~ $ 40 ) want & quot ; upgrade & quot ; room even though hotel front desk plainly list single double room rate . eventually get room without pay extra , argue manager hour 20 minute get ... fun experience . one word caution : hotel locate residential part town limit restaurant / nightlife nearby matter you . I would not ever stay Melia unless staff learn basic customer service skill . 
 Jun 21 2005 	 bad 	 stay 20th June 2005 . location good , welcome professionalism staff mediocre , lobby , frankly , pretty cheesy . however , battle past bizarre lift system , cope grim colour scheme corridor , room smart , well - appoint quiet ( London standard ) .This would got 5 - star rating , air - conditioning almost non - existent one hot night year . would certainly stay cool weather . 
 Jun 18 2005 	 Impressive 	 choose hotel Expedia extensive search hotel London . wonderful hotel ! upgrade superior room somewhat small , noticed european hotel seem , beautifully furnish . comfortable bed excellent staff make stay thoroughly enjoyable . business center hotel offer good , well . highly recommend hotel . 
 Jun 3 2005 	 Great Deal nice London hotel 	 parent stay hotel visit live London . stay week , concerned would not find affordable place stay . seven night London easily run $ 1400 + , happy seek Priceline get hotel near apartment $ 100 per night . turn , superb bargain . the White House quite luxurious . lobby great marble finish , nice bar / lounge area . parent arrive around 10:00 , room ( understandably ) yet ready , spanish native work front desk extremely courteous apologetic . walk around London morning , return 1:00 room ready . room ! London standard , room palace . large , large , room 4 - star american hotel . come complete trouser press , coffee maker , towel warm . also american - style outlet , converter necessary hair dryer , curl iron , etc . location hotel also good . be within walk distance British Museum , block Great Portland Street tube stop . concierge helpful securing theater ticket recommend activity . I realize , however , parent get hotel STEAL $ 100 per night . aware may get price , especially stay short period . furthermore , room service drink quite expensive ( London hotel ) . still place great -- would definitely stay next visit London . 
 May 29 2005 	 would stay Heartbeat ! ! 	 book hotel trip boyfriend birthday . trying choose hotel London stressful . end use blind booking site , Hotwire base friend 's suggestion . could not happy . location great , 5 minute walk Tube . Regent Park closeby . staff friendly helpful . room nice . thing think could improve upon mattress . comfortable , little lumpy . , tremedously pleased would stay issue . 
 may 11 2005 	 Lovin 	 girlfriend stay melia white house valentine weekend year think fabulous ! ! arrive london hour could check concierge helpful take bag we could go sightseeing day . return check go room . room high standard massive bed ! impressed . breakfast good well , could eat much like ( everything full english pancake sandwich ) . would reccomend hotel anyone want stay london . room be not small like yank say , they re fine . 
 May 1 2005 	 much well expect 	 book hotel Lastminutes secret hotel section hotel name know payment make . my girlfriend dinner Mayfair search hotel London W1 . therefore somewhat put find hotel NW1 fear bad . however pleasantly surprised . hotel locate within minute taxi ride West End convenient . car parking minute walk away concierge make space available we modest charge £ 10 per day ( compare £ 30 per day NCP . ) staff mostly spanish generally enthusiastic friendly . room well expect price pay well furnished almost luxurious . furniture little chip around edge stain carpet minor . we superior room reasonable size . negative bathroom small . conflict review site might worthwhile enquire checking in . would definitely stay hotel . 
 Apr 19 2005 	 Loved White House 	 reading review hotel Tripadvisor look forward stay dissapointed . get free upgrade ( without ask ! ! ! ) hotel 2 min walk tube station quiet street . room good size lovely bathroom . breakfast include stay excellent also ( note £ 18.50pp pay ) .to sum Melia hotel group whole find excellent one exception . great stay would go back tomorrow . 
 Apr 17 2005 	 great location 	 Melia White House hotel meet need 3 day visit London friend : clean , good service , great location . feel London hotel , price superb - give 4 star instead 3 . hotel metre awat Great Portland Tube Station , also conveniently locate neat Regent Warren Street station , well . eat hotel price steep , plenty nice reasonable cafe nearby . location Regents Park superb , well , walk run garden start day stop cafe strawberry cream ! find room impressive , spend much time . basic room 2 twin bed small , option concern want spend money . 
 Apr 14 2005 	 love 	 take partner London surprise birthday trip book Melia White House accident rather recommendation ( special offer book without know hotel ) . pleasant surprise . reception beautiful spotless service 2nd none . opt upgrade superior room although room slightly small decor standard make . everything work order clean towel plentiful suppply . bar relax , comfortable superb service ideal spot chill hard day shop . although slightly expensive 4 star hotel stay . enjoy stay much book May birthday treat son 's first London trip can not wait get . 
 Apr 7 2005 	 great choice 	 pleasantly surprised . room smallish , european room seem , beautifully appoint . comfortable bed , great pillow , american plug need converter . bathroom nice great magnifying mirror . warn , tub sit high floor challenge even fairly tall . could use step stool ! breakfast buffet incredible ... huge variety really good food . hotel staff , particularly one young doorman , nice helpful . great location , directly across street underground station ( Great Portland ) .We would definitely stay . excellent value money . not forget washclothe ... european hotel evidently not provide . towel nice , though . big bath sheet towel warm . 
 Mar 17 2005 	 Loved ! ! 	 stay partner 2 3 time , although usually couple night love every time ! great location nice walk park get London Zoo one afternoon ! first time stay standard room well ever expect , big & amp ; spacious lovely decor everything need ! comfortable bed impressive bathroom - apart plug bath keep closing accident showering ! also experience superior room , even large still really great ! food cafe taste look great really good price ! evening restaurant absolutely fabulous . great food excellent service throughout ! also enjoy nice cocktail bar bed . relax many big lounge sofas waiter / waitress get everything ! also impress date lift system use seem work well . the atmosphere make feel like be really holiday , million mile away busy London ! would reccomend hotel anyone , not mind pay price . great romantic short break far home ! 
 Mar 17 2005 	 good start bad finish 	 one hotel stay thing start great go downhill fast . book ' mystery hotel ' lastminute pleasantly surprised arrival plush clean lobby room price pay . we also appreciative friendly spanish lady reception get we room 2 hour ahead check - in time , good , friendly concierge service . nothing wrong room service subsequently bad experience special Valentine 's Day buffet - food poisoning , apparently shellfish . local council since check hotel 's procedure report ok , report illness apart mine , experience put try place again . there also sleight - of - hand buffet pricing - bill ( pricey , even London ) £ 35 head , turn VAT not include ' optional ' service charge add bill presentation easily miss . £ 70 bill expect door turn £ 90 ( add drink two ) ... initially impress comprehensiveness breakfast buffet staff take age replace empty platter egg not want wait . I also unhappy get - return home - extra credit card bill ' minibar ' not use get refunded without comment , explanation , apology return phone call promise . , though , efficiently return item leave room . 
 Feb 24 2005 	 great hotel great service 	 stay Melia White House Feb 18 - 21 , 2005 great time . Hotel centrally locate , close several tube stop , within walk distance many restaurant . flight overnight , arrive 10 am , ( exhausted ) put we room right away . grateful ! nice room comfortable bed great bathtub . room include breakfast , pleased breakfast buffet service restaurant . staff helpful , lot suggestion short stay . husband 's birthday second day stay . order birthday cake room service , send house . happy Melia , would definitely stay . 
 Feb 15 2005 	 worth stay 	 Melia White House Hotel grand , friendly , clean accessible hotel one stay again . the critism parking ( use local NCP ) alcoholic drink bar extortionate average budget person . base price drink , entertain restaurant decide venture local indian theatreland . 
 Jan 22 2005 	 2 - 3 Star Hotel 	 wife stay Melia 4 day January 2004 . check midnight first visit London due weather delay NY . first impression staff definitely English . bit confusion check - in ; front desk claim reservation . upon show expedia print recipt , manager come sort problem . seem staff new language barrier ( staff Spanish ) . nevertheless , pro con : pro : great location Great Portland Station across street . relatively safe walk night . first time visitor , tube shut around 10 - 11pm . therefore , plan stay late Picadilly Circus cab ride relatively cheap . unlike reviewer complain noise level , find relatively quiet . maybe get lucky thing lucky with - see below . con : express reviewer , room extremely small . could barely open suitcase room without put bed . sort resemble Chevy Chases National Lampoon 's European Vacation London room , tad big gold crown molding . another pet peeve smell bed pillow . actually smell like body odor . pretty bad turnoff . bathtub really dangerous get . tub high step . floor marble ( nice ) get slippery wet careful get shower . often wonder old guest stay hotel hard time get shower . another con staff , helpful . inquire good english breakfast premise , unable recommend place . staff informative all . all , definitely 4 star hotel . idea Expedia rate average establishment 4 star hotel . , be 2 - 3 star . depend type traveller , Melia may hotel . do not care service want roof head night , may place . be first time visitor , good hotel may make big difference trip . overall , wonderful time London would probably vist , Melia Whitehouse . 
 Dec 19 2004 	 good hotel reasonable price 	 well travel , year , come conclude good hotel consist : 1 ) quiet room , 2 ) good air circulation summer winter , 3 ) cleanliness 4 ) comfortable bed . 4 thing , everything else secondary . Melia White House rank high 4 criterion make worthwhile property . report review , rating element : location : use underground great . convenient Great Portland stop . bellman : Excelllent , helpfulconcierge : Surly unhelpfuldesk staff : professional cold ( Britain ! ) breakfast buffet : excellent friendly staffoverall , London , fair value . 
 Nov 26 2004 	 Melia 3 star Hotel well 	 like one reviewer - stay Ritz + numerous 4/5 star hotel . unlike reviewer amaze he / she make comparison . Melia White House 3 star Hotel good . room sound proof advertise noisy . room was'nt particuarly clean note reviewer extremley small even London standard . positive courteous staff location . 
 Nov 24 2004 	 great breakfast otherwise average 	 Wife stay hotel last week . reception area good friendly staff . however disapointe put room next door bedroom work . workman stripe room bear noise drilling bang awful . ask member staff plate miss room appear much trouble . drink price bar rip eg £ 7 pint lager sparkle water , plus add service charge bill without ask . breakfast follow day however excellent , one good anywhere world . 
 Nov 20 2004 	 would recommend stay ( ' ve Ritz ) 	 wife stay Melia White House hotel early 2002 ( winter ) . get great rate time aavacation - please note , relatively soon 9/11 discount great US Dollar much strong now . I stay lot nice hotel , include Hotel d'Aubusson Paris Ritz Paris . Melia really decent hotel price , would hesitate stay . room small , be pretty much norm european hotel . stay Paris Hotel d'Aubusson room review & quot ; huge & quot ; european standard , US standard translate average small . travel Europe vacation want nice , clean somewhat average place stay . Melia White House definitely well expect . 
 Nov 17 2004 	 4 star pretension 2 star service 	 Service restaurant breakfast 4 day stay poor - slow clear plate bring hot drink . ' hot ' buffet one restaurant certainly hot ( disappointed customer ) range breakfast offering seemd vary restaurant restaurant . while restaurant - thi flagship spanish restaurant close Sunday evening . really 4 star service . food ' the Place ' average hotel fare . room flash although huge bed room small woudl get Travelodge . on positive side , concierge great - manage get we Le Gavroche 3 hour ' notice ! 
 Nov 8 2004 	 great location ! 	 book stay last minute get excellent rate . good thing hotel location . take 15 min walk Oxford Street Picadilly Circus , great go shopping evening . plus really easy get Great Portland Street tube station practically right front hotel . side room incredibly small 4star hotel get bath pretty tricky ! apart , fantastic place stay . 
 Oct 31 2004 	 ok 	 stay deluxe room average size room States . although London , supposedly spacious . lighting room bathroom dim - hard see anything bathroom ! shower leak floor obnoxious . two coincierge worst ever meet - extremely unhelpful unknowledgable . however , one helpful resourceful . Doormen friendly attentive . place restaurant food decent - service slow . gym small nice . unfortuanately , walk thru lobby rather go room elevator gym like hotel . location great - close tube regent park . everything accessible . also feel safe could walk home late night worry . room disappoint , service could well - however , look great place someplace convienent decent , would work . would consider three star hotel . also stay Landmark . room large lovely . staff attentive - workout room spa great . however , least twice much white house . 
 Oct 25 2004 	 Brilliant ! 	 read complimetary review Melia White House , feel need tell someone fantastic weekend spend . partner go weekend , book standard room . get impressed central location ( near shopping ! ) , impressive entrance . staff reception friendly polite , quickly check . although staff throughout stay appear spanish least foreign , level English could fault , nice friendly . we show room , although small , nothing compaire room find London ! massive Queen King size bed , lovely comfy decor nice . , later get upgrade even nice room , would happy stay small room , , be not plan spending day ! admit Bar expensive side , 4 * Hotel Bar London will not ? Friday night fantastic band , 1940 's style , good watch , loud ! would definatly go back Melia . although room small side , almost everywhere London , Melia exception . everything clean , bright , smart friendly , would hestitate recomend . 
 Oct 22 2004 	 Fantastic Location 	 like previous review , arrive hotel 4 p.m. , inform room ready come back 45 minute . however , whilst walk away reception desk , receptionist come we say room finish prepare . inside , standard room nicely decorate clean ( although need step ladder get shower ) , noise travel room next door corridor . we , importantly location . two tube station across road , hotel within walk distance Covent Garden , Oxford Street , Leicester Square Soho , Regent 's Park across road . great two night stay hotel would definately go back . 
 Aug 10 2004 	 Weekend trip teenage daughter 	 daughter book three night stay Melia White House 6th - 9th August incl . we arrive allocate check - in time keep wait lobby hour half , room ready . male receptionist say fault stipulating want non - smoking room ! empathy ! really not bother fact stand amount time . when finally get room , horrified discover tiny , could hear everything say room next door . honestly say never small hotel room , even Hong Kong ! pay £ 20 night upgrade deluxe room , infinitely well - huge bed altogether much big room bathroom . luxurious . like different hotel . rest stay great . tell could check later 12 pm ( lunch appointment 12 pm ) long pay £ 10 hour extra room . think hotel quite inflexible ! ! leave case concierge change loo get back . overall opinion - clean . deluxe room minimum would consider . reception staff great , apart one horrible guy ! lifts groovy . food drink expensive , mention another review - shop road . probably would try another go back , book 4 5 star hotel slightly central price deluxe room . 
 Aug 10 2004 	 Badl Housekeeping 	 Housekeeping really let hotel . room book call deluxe blood wall ! House keeping come sort whilst get upgrade another room . second room find use towel leave behind . sort . however maintenance person turn warn say loose toilet roll holder report promptly start use electric screwdriver whilst phone . find ' superior ' room fitting shower break . plus side spanish staff friendly breakfast good . locate close Regents Park major plus . base experience appear hotel large efficiently manage . therefore recommend hotel . 
 Jul 30 2004 	 Fantastic Hotel 	 Melia White House fantastic . deluxe room big . staff friendly helpful . locate across street Tube easy walking distance Regents Park , London Zoo , Baker St , Madame Tussauds . room service times ok . expensive , everything expensive London especially US dollar hurt Pound . highly recommend hotel . 
 Jul 19 2004 	 Melia 's White House Hotel ... Fabulous ! ! 	 end April , travel London mother mother - daughter trip . ever visit London , unsure stay . book enitre trip internet help Trip Advisor . Melia 's White House fabulous ! convenient Great Portland Street Tube Station ( approx . 1 block away ) . never feel unsafe , matter time outside hotel . staff hotel accomodating . always able utilize consierge service . helpful finding restaurant area within walking distance . room clean . one low end room small , not stop we enjoy . bar / lounge lobby comfortable , bit pricey drink breakfast , though . still enjoy much . would stay ? definitely ! ! 
 Jul 15 2004 	 wonderful honeymoon hotel 	 stay honeymoon London . love hotel . exceptionally clean . service hotel outstanding . everyone staff helpful friendly . room suite front hotel lovely . food good n around fantastic experience . would stay . Great Place stay ! ! 
 Jun 29 2004 	 nice clean great location american plug 	 get hotel request four - star Regency Park area Priceline . pay $ 110 incl . taxis breakfast , two people . room small , snow white linen king size bed , deep bathtub , american electric plug ( real bonus discover later trip even Hilton not provide ) , nice desk , barely room open suitcase . one drawback noise room next door , could hear every word argue couple thankfully not understand language . beautiful lobby bar area . since price not include breakfast , continental breakfast bar ( $ 14 pp ) , plenty fresh food , clean area not smell smoky . friendly desk personnel helpful concierge . locate right across Great Portland Street tube . easy walk many sight easy bus connection farther one . hotel quiet area behind church next Regency Park . 
 Jun 17 2004 	 would go back 	 Melia White House June 10 June 14.we package travel / hotel deal Expedia . however , would guess pay maybe US $ 100- $ 125 per night . excellent location contrary early review , room well appoint staff friendly helpful . the hotel adjoin Regent 's Park . one enjoyable activity trip see play open - air theatre park . 
 Jun 14 2004 	 Good excellent 	 stay hotel last weekend via internet deal find lastminute . good thing : hotel 4 * standardthe room clean tidy . great Breakfast buffetgreat location Regents Park , Oxford Street , Regents Street etc . Mini barBad thing : small room small bathroomthin wall - could hear people next door talk . so good hotel could well sound proof room make big recently spend million improve hotel . 
 Jun 14 2004 	 Beautifull hotel great food good location 	 amazing hotel , boyfriend stay long bank holiday weekend may 04 could not pick well . definately great value money . pay could never expect . staff friendly helpfull . breakfast include price lovely , brilliant selection , waiter even remember drink morning ! carefull price bar hotel , know would pricey , cost we £ 18 two drink , play relax music comfy chair / sofa's . we do not eat restraunt hotel look realy nice , street nearby go decent meal , Charlotte street ju 10 min walk away great place eat . the room spacious grand size bed , massive tv , mini bar ( expensive ) realy cheap shop road , air con heating , ful size ironing board + iron , lot room make spread thing around , huge window actualy open , do not good view be not . bathroom gorgeous , careful slip wet floor shower water seem leak bit ! many toiletry restock daily maid great . return room one day find towle could pick phone reception knock more . the hotel great location , road Madame Tussuards interesting little outing . Regents Park second Hotel London Zoo make good day out . I would definately recomend hotel , great , fantastic time . 
 Jun 10 2004 	 return completely satisfied .. return 	 every bit good expect ..... sont see anyone would displeased ... clean courteous . 
 May 25 2004 	 Gteat value 	 wife , baby son stay White House four day last summer think hotel potential . 1 choice future trip . quite surprised bad review ' ve see . give pay USD100 real 4 - star hotel London ( ! ) would not even complain small ( ? ) room . food hotel venue good reasonably price . complain service well . hotel centrally locate easily accessible anywhere . really weird read someone 's review taxi driver could find . author use license black cab probably . overall would definitely recommend hotel anyone . 
 May 23 2004 	 lovely European Hotel 	 May 2004 . room newly renovate simply perfect . staff wonderful offer time assistance . hotel beuatiful , residential neighborhood . lot eclectic dining 10 minute walk Charlotte street . charm new innovation come remodel . bit far sight . take tube must find extra minute bother . 
 Apr 5 2004 	 great clean safe average hotel ! 	 excellent hotel stay . stay 5 night . find room average , staff eager help question . cheerfully help arrange tour , happy answer question . room clean comfortable . complaint phone bill checkout . use phone card make call , still leave charge $ 120.00 , & quot ; pick phone . & quot ; find somewhat excessive . however , overall , hotel great place stay . would stay return trip . 
 Mar 20 2004 	 hotel horrible ! 	 ' m sure begin -- hotel horrendous ! waste money hotel . list Expedia & quot ; 4 - star & quot ; hotel -- maybe 4 star 10 . room wecrampe bedspread visibly stain . bathroom tiny ( although refurbish ) . lobby disgrace -- sofas chair dingy pockmark cigarette burn . place & quot ; off - the - radar & quot ; driver could not find place several radio call . wife arrive London early morning -- staff refuse allow we check 3:00 p.m. check - in time ( appear give preferential treatment many flight attendant / pilot appear stay ) . would stay pay -- far , bad part trip stay Melia White House . ' m sure give dump Excellent average rating -- maybe staff Melia White House ! spend pound stay decent place . 
 Mar 9 2004 	 Lovely Stay 	 husband stay White House Valentine 's weekend book Expedia special Royal Executive Service Room package . day book , check Trip Advisor read horror story couple book package find honor . make sure would receive , call hotel explain concern ( include mention find Trip Advisor ) . assure benefit include price pay . , happily report ! hotel well - locate ( within walk distance two tube station ) , well decorate maintain . american may find smokey time , Europe . spoil US plethora no - smoking law ! perk package include delicious full buffet breakfast private location ( quite large lounge include table seating sofas , chair , etc . ) lovey , complimentary drink day , full bar & quot ; finger food & quot ; 6pm-9pm . finger food turn sufficient full dinner wonderful . obviously , talented creative chef ! really , disappointment room size . hope one bit big , extremely comfortable , well - appoint small high quality room state . , comparison room friend Basil Street Hotel , huge ! plus , floor quiet - always excellent feature . overall , package bit pricey , London cheap . take consideration package include meal , drink , lovely room great location ... happy ! P.S . checking , mention TripAdvisor.com staff . interested review ( include negative one ) , give copy . be definitely valuable tool keep hotel staff abreast guest think ! 
 Mar 5 2004 	 fantastic ! ! ! ! ! ! 	 good hotel london . location perfect , two stop picadilly take tube regent ? park less 5 minute walking hotel . staff friendly breakfast buffet great.it keep full almost day . room big comfy , tv 40 channel , big bed , hot towel time water presure excellent . boyfriend stay 1 week fantastic . would choose without hesitation . feel free contact info . regard , alicia 
