ideal 	 many previous reviewer chronicle , staff , breakfast , afternoon wine cheese make Library Hotel special place worth bit extra cost big - box location . also appreciate central location * * fact , business district , much traffic street night . possible open window still sleep . rooftop bar lovely , busy happy hour . Grand Central around corner ; go uptown , downtown , crosstown ease . definitely return next nyc visit . 
 Jun 24 2008 	 Greedy management spoil stay 	 choose stay great review sound appeal . unfortunately , although agree review post , completely enjoy stay . the room great , free facility day evening lovely location great . one appeal we advertise roof top reading area bar . wonderful hectic day think ... sadly case . you aware although hotel advertise lovely brochure website one Hotel 's facility , management choose bar guest 's use charge other use day conference evening wedding reception . throughout entire stay bar take lift top floor enjoy advertise Hotel Facility 8 5 day conference evening social event wedding reception . hotel point responsibility management hire conference organisor take area , hence bar we lift ! management Hotel charge guest stay advertised facility hire external party ... nice money spinner could't care less happy ! would stay Hotel staff let could deal complaint degree maturity concern ... robotic glaze look & quot ; please feel free contact management happy nice day ... & quot ; spoil stay plenty Hotels would stayed advertise wonderful sounding , never see roof top area .... boutique room expect , nicely decorate box random book place demonstrate Library theme .... rip opinion ethical management company opinion . if financial company mislead customer way would fine ! ! ! 
 Jun 23 2008 	 Best Hotel ' ve stayed 	 normally phase either positively negatively hotel stay many , say one stand one well ever visit . the staff professional , helpful entertaining . location perfect . room stylish modern ( although large ever ) . communal facility / area outstanding ( include free use computer without usual complicated log process ) . although fairly pricey , worth every penny long way expensive NY hotel . for anyone consider different hotel save $ 50- $ 100 night - not ! price hotel quickly forget , quality hotel remember . 
 Jun 21 2008 	 Perfect location special trip ! 	 hotel quaint & quot ; New York Boutique & quot ; style hotel . book first trip New York City 25th anniversary . go recommendation co - worker glad . property immaculate amenity bountiful . continental breakfast wine cheese reception every night well 24 hour reception area snack light drink available ... include price hotel . easy access computer printer , rooftop sit area wonderful 2nd floor reception area . also , mention occassion book hotel nice card small gift waiting room arrival . great touch ! room small , tell typical New York , well appoint pristine . the location right 41st Madison Ave . easy walk distance Grand Central Station , 5th Avenue Shopping , Times Square , Rockefeller Plaza , Park Ave . New York Public Library know else could not get see 4 day there . and , pale comparison courtesy , professionalism , speed overall friendliness staff . big trip we Library Hotel solid lynchpin great introduction NYC . thank compliment hotel staff . 
 Jun 17 2008 	 great quiet hotel middle NYC 	 partner stay New York new year 07/08 . choose hotel review TA disappoint ! hotel lovely , really comfortable great staff . sure , room not huge ... perfectly adequate need . city hotel 's need : centre Manhattan , close grand central station , great service , comfy bed ... little extra really make difference . really make breakfast ( give we great start every day ) , cheese wine evening complementary internet access . I would say hotel well suit couple old group people want discover NYC , want come back end day relax . we stay double room ( one small ) issue noise lift night . problem , partner light sleeper . give ear plugs fine . would say light sleeper either take ear plug consider slightly expensive room . not miss bar top floor . great breakfast , even well cocktail finish evening . I NYC , hope come . stay hotel - Library perfect we . 
 Jun 16 2008 	 Library great - staff amazing ! ! ! ! ! ! ! 	 moment sister arrive library hotel experience fantastic ! long day travel greet door time get room call dinner reservation Kellari Taverna . room small clean , comfortable quite . well appoint . quick glass wine cheese cracker walk restaurant . end night rooftop bar - Bookmarks . perfect ! day one great free breakfast 2nd floor Ground Zero , Wall Street Soho . leave morning tell front desk want see 39 step sightseeing call say get us 6th row ticket deliver hotel . return evening ask another dinner suggestion - salute ! not disappoint . Mansion experience club scene . staff give we free pass call check wait . get wait we . get cab usher we right even though line . day two walk Madison MoMA shop rest afternoon . returned decide ask nightlife recommendation sister mention birthday . time get upstairs bottle wine two boxed coffee mug ( ask one birthday souvenir ) . bite eat show Madison & amp ; Vine lobby hotel . great food ! staff hail we cab send we umbrella . 39 step fantastic . next stop - Hudson Hotel bar - cool ! concerned get cab staff say call need cab would call one we . day three sister head back home Chicago Scottsdale respectively . take street fair Avenue Americas walk around Times Square . hotel checkout 1:00 pm nice change . my sister already plan return . people wait staff , cabby , sale clerk , passerbys street nicest helpful people ever meet . Whomever say New Yorkers rude dead wrong ! ! ! ! FABULOUS staff - Igor , Leonard , Walter , Michael Monique , say thank make birthday trip NYC memorable one . see next year ! ! ! ! ! ! staff - Igor , Walter , Leonard , Monique Michael helpful fun ! 
 Jun 15 2008 	 Serene 	 spend 3 night fly visit New York , choose read tripadvisor review every bit perfect describe . really traquil retreat hot buzzing street . staff delight , always helpful suggest place eat etc . deluxe queen room small perfect , everything one need , clean lovely comfy bed . the breakfast , day snack / coffee evening wine cheese wonderful , really treat stay would certainly come back . 
 Jun 13 2008 	 like Library : Quiet 	 husband stay Library Hotel last weekend second anniversary . stay wonderful . staff welcome , helpful , leave we alone , unless question . room nice size exactly expect Manahattan hotel . definitely clean orderly . would absolutely stay . 
 Jun 8 2008 	 fantastic stay 	 wonderful experience stay . room clean comfortable . second floor reading room enjoyable breakfast quite nice . thoroughly enjoy afternoon wine cheese , save we run late evening show not time dinner beforehand . good part hotel staff . unobtrusive always exceedingly helpful . steer we toward excellent restaurant every time ask . wish upstairs bar stay open later , would recommend hotel anyone . 
 Jun 8 2008 	 Quirky charming excellent service 	 spend one week early April - first trip ny ( second trip bf ) . delay flight South Carolina mean arrive late , greet sidewalk charming bellhop whisk away bag . reception desk staff delightful - welcoming , jokey still professional . offer we glass wine , reach room discover whole bottle prosecco . ever welcome ! go seek food , get load recommendation fast - fooderie within block , eat well . stay continued vein . the breakfast ample delicious ( pancake waffle - bit disappointment ) . pastry toast bagel excellent ( love concord grape jelly ) , vast range drink - as - much - as - you - like tea , coffee hot cold drink generally welcome . especially since one could return day , room ( library / breakfast room / wine - zone ) , top cake coffee ( whatever one fancy ) .Each evening 5 - ish couple hour free wine ( include prosecco ) cheese / nibble feast . take good advantage . also take opportunity borrow book read stay , also borrow movie ( dvd ) one night ( night also get hotel order we take - away - ultimate luxury many way ) .The hotel really well - place mid - town site , couple minute stroll Grand Central ( excellent oyster bar ) . whole trip US 3 week , day NY use laundry service get clean clothe , excellent - beautifully present clothe return we , cost excessive . I would definitely try stay return NY . bedroom pretty small , everything fit , bed extremely comfy . free slipper still go ( couple month ) , bathroom well - design . hear noise room . little street noise ( remember rightly , face onto 41st construction go opposite ) enough annoying . 
 Jun 5 2008 	 nothing wrong ! ! 	 love hotel ! husband New York , without kid , long w / e blast . check - in , front desk nice map great info we . room beautiful , go suite , extra room nice , definitly expect anything huge , previous review expect even small , think good size new york city ! wine cheese awesome , eat / drink much first night could not eat restaurant reserve ! breakfast also great , people read room ( everything serve ) polite drink food always fresh plentiful . something run low , would tell we would right ! bar 14th ( ? ) floor Crazy busy 2 time try go , need wine 2nd floor ? location rock , walk everywhere , probably see 10 % city love every minute ! would recommend anyone . 
 Jun 4 2008 	 great hotel ideal location 	 return 4 night Library Hotel absolutely love . hotel excellent position well connect subway bus route also within easy walk distance many major sight attraction : Empire State ( 10 min ) , Library Bryant Park ( 1 min ) , Grand Central ( 3 min ) , Chrysler Building ( 5 min ) , Times Square ( 10 min ) , Rockefeller Plaza ( 15 min ) . really feel right centre action hotel welcome relax . the hotel beautifully furnish throughout great attention detail . bedroom small side way problem case barely ! bathroom lovely bed extremely comfortable . 2nd floor reading room nice 14th floor terrace bar conservatory real bonus ' great opportunity drink open air . team staff charm helpful arrival stay . breakfast good ( pastry , bagel , fruit , cereal , yoghurt etc ) free coffee pastry available throughout day . evening weekday also complimentary wine cheese reception 2nd floor reading room brilliant unwind long day sight - seeing . also recommend Madison & amp ; Vine restaurant corner hotel ; good food great staff . overall , hotel benefit small other great personal touch , quality remain high throughout atmosphere friendly . solo female traveller extremely comfortable hotel also stay area city . would certainly stay return trip city . excellent . … New York fantastic , definitely worth visit ! 
 Jun 3 2008 	 great location staff peace quiet . 	 stay Library Hotel four night Memorial Day holiday could please accommodation . like stay good friend home access cookie , chesse , wine , coffee tea 's feel like . room accommodate Dallas everything big manage place comfort everything possible might need pleasant space . truly believe place stay single , couple woman visit NYC . could enjoy stay NYC . make sure ask discount coupon many NYC event . 
 Jun 3 2008 	 peaceful paradise 	 wife pleasure stay Library hotel NYC May 21st May 28th 2008.I never think could ever exist hotel like hearth capital world . hotel small , ' full charm sophistication . seem like home . treatment discreet full nice facility service run every day every time day . breakfast , free wine taste , food beverage , book , classical music , mention many nice thing . the stuff really polite helpful . room extremely clean tidy . ' suggest sure hotel acquaintance . 
 May 31 2008 	 Library Hotel perfect place 	 Library Hotel great location , wonderful staff . public transporation 1 block away . stay NYC 5/16/08 - 5/23/08 . 
 may 27 2008 	 Check Library 	 beautiful building , ideal location , lovely decor , relax atmosphere , friendly staff ( especially Reading Room ) . highly recommend . 
 May 24 2008 	 Pedacito de Cielo ! 	 husband Ecuador , spend anniversary ny . could not choose wonderful place stay . practically not leave hotel ... spend hour read cozy little library , could enjoy cappuccino , muffin scone day long , listen soothe , great choose music . never miss Wines Cheese afternoon . room locate 11th floor . quiet , tastefully decorate incredibly comfortable . love amenity ! ever go back NY would not doubt hotel 's choice ... although hope next time dare leave place actually see city ! yogini kind efficient take care reservation . 
 May 18 2008 	 Loved Library ! ! 5 star . 	 read review trip advisor fall love hotel not dissapoint ! fantastic stay , 's nice hotel ' ve stay in . staff friendly anything make stay enjoyable . room - yes , be small 's luxury spend time sightseeing anyway . bed sooooo comfy ! breakfast great , cereal , coisant , danishe bagel etc . Location - madison avenue . around corner grand central station could see Empire state rooftop gardenOverall love hotel staff stay go NYC . 
 may 14 2008 	 glad stay 	 spend three night Library Hotel May great thing say . hotel well situate midtown within walk distance alot shopping , dining , theatre . catch subway one block away Grand Central Station prefer hail cab . room good size room move around . bed clean comfortable . bathroom beautifully tile sparkle . hotel include complimentary breakfast quite good wine cheese 5 pm 8 pm every night ( also complimentary ) . lounge always open coffee tea . find staff top notch . always polite , well prepared ready help we phone call club booking . the area busy noisy night always construction something go . husband need ear plugs sleep night . 's city . prepare . look small hotel look comfort will not disappoint Library . 
 May 13 2008 	 great Stay Library 	 stay 3 night room name Fairy tale must say great hotel , staff front desk always helpfull always nice hello staff get back hard day shopping / sight seeing . they offer great breakfast well room give great view along Madison ave . hotel restaurant stair street good place eat gin tonic watch street life . room imaculately present could fault . the thing like cost hotel opinion expensive £ 250= $ 500 ish per night , hey get pay for . if consider stay ny , book dissapointe . 
 may 12 2008 	 Loved hotel enjoy every moment stay . 	 excellent hotel staff . second stay within matter month . accommodation staff exceptional . staff always go way make customer welcome request service never great . we go second time celebrate anniversary . hotel staff mgmt welcome we complimentary bottle champagne help we celebrate special occasion . the hotel service complimentary morning breakfast , snack day wine cheese event afternoon . hotel worth visit . always first choice visit New York business pleasure . 
 May 3 2008 	 oasis comfort 	 first time Library - husband 's 4th 5th 's stay business . stay week 001modern history 9th Floor elicit negative comment . , know pretty full ( reassign couple day arrive single petite husband 's daft business travel agent book ! ) know 15th anniversary not feel prominently display book Nazism 1st World War , portrait fascist dictator Neville Chamberlain bed really help foster romantic atmosphere . say room pretty similar decor , 's picture book , pop gory war analysis plain sight try eyeball Neville everytime get bed . negative - room small expensive , yes 's New York - yadda yadda yadda ... worth comfort joy decent sized well - light bathroom actual surface put thing little extra like cheese wine prosecco evening ; cawffee tea biscuit tap ; communal space include wonderful little outside roof terrace . decent hot shower , good quality toiletry ( love scrub soap ) , robe slipper , dvd 's takeaway deliver door , gloriously friendly , charming informative staff ( special mention Igor lovely lady Reading Room study child pyschology ) - could want midtown hotel ? okay agree poster comedy shower curtain ( short stick like wet tissue ) girlie issue - please full length mirror somewhere ? oops negative - lie be positively ! Loved would happy stay anytime hope review not mean can not get room next time ! ! oh make sure make time Hemingway cocktail bar ... 
 Apr 29 2008 	 good not quite live hype 	 book Junior King Suite ( expensive room ) several month advance 40th birthday , specifically ask Love Room ( due great reveiw TA ) , give 3 alternative case not available . check back day arrival see whether allocate particular room get non committal answer along line & quot ; can not guarantee anything will bear mind & quot ; . quite disappointed therefore arrival give room 406 ( ancient language ) not even one 3 alternantive , bear mind many tale people get upgrade without even ask little miffed get low floor ( add noise bring ) . however , plus side room nearly ready arrive 1030am offer chance wait Reading Room breakfast finish . great , breakfast room absolutely pack nowhere sit , trek back reception ! , plus side , immediately offer help bag check check . get room pretty happy . suite certainly small side , NY probably quite spacious . wonder though tiny room must . however , room well appoint , bed super comfy , room bathroom spotless , bottle spark wine leave we along birthday card . 14th floor area roof garden close private function day arrive , open later evening notice many people take breakfast tray , presumably read room 2nd floor busy . perhaps consider put table Reading Room , plenty space , maybe breakfast bar stool along window . could shift breakfast spacious 14th floor . maybe 's mistake room ambiance make people want linger , relatively table make essential 's quick turnaround breakfast time . quality continental breakfast ( pastry , fresh fruit etc ) wine / cheese evening good . also free wifi couple pc printer access , useful printing airline boarding pass . ' ve also stay sister hotel Casablanca , balance probably prefer Library . moment hotel rating number 3 hotel ny . Whilst be good , can not believe 2 place people think well overall . 
 Apr 28 2008 	 like boutique / special hotel will likely love 	 give upgrade king room queen price sell Queen really want twin size / petite bed good start : ) sit . eve meeting friend town - DC . want stay long time be always book excited stay . be clean , beautiful , comfy cozy . rooftop garden ABSOLUTELY FANTASTIC - 5 star ! lovely 2nd floor book various subject , comp . breakfast / wine happy hr really great hang 24/7 . bedroom large understand 's recognize jr . suite . bathroom clean , modern , NY , fine size . 's nice modern layout book selection great . big problem view overlook 41st St blind , will get quite bit light . also , expect comfy bed - mattress quite hard . ' ve stay hotel , price level comfort / style level much comfortable bed wise . otherwise , be great ! ipod speakers room also enjoy : ) know , give lot comp - wifi happy hr / breakfast could bad : ) 
 Apr 26 2008 	 Disappointed - not live rave review - ignore honeymoon 	 First will say nice hotel good location mostly pleasant staff . however base rave reviews Trip Advisor really expect - something memorable special . I read numerous story people upgrade randomly nice room story hotel somehow special dessert deliver couple restaurant . sound pretty good see stay part honeymoon ( aware ) thought might stand chance special treatment ? wrong . not even congratulate we even mention entire time stay ! ! ! really disappointed . People wait whole live one - off experience perk honeymoon , even friendly congratulation usually get . stay lot nice hotel even less pricey hotel around world hotel make effort even one birthday . Library Hotel honeymoon completely ignore . even mention sign form ask purpose stay guy desk check we even mention . seem cold impersonal . feel embarrassed book place really talk place husband beforehand yet nothing really special . I book hotel month advance make simple request quiet room high floor . give 4th floor ( 14 floor ) ask possibility move high floor . eventually guy desk say one room ( 6th floor ) could move couple allocate check yet make special room request . really annoy meant room available choose give we even though make special request month advance . will note way friendly couple abrasive way 's way would rubbed wrong way . also could believe one even offer help we take luggage room ! ! ! arrive long flight wreck watch we haul everything chat front desk ! ! ! really awkward embarrassed booking place . anyway end 6th floor . room ok quite small . roof garden 14th floor really nice 3 occasion try go enjoy could book private function ! ! ! disappoint also . as well , make call front desk day check ask borrow scale need weigh balance luggage ahead flight . surprised one anywhere hotel . anyway , be . still feel let experience . hotel good point certainly personal touch feeling care also key . wish book somewhere else find well deal online nice hotel NYC book initially not switch base rave review . think twice be look book . 
 Apr 26 2008 	 charming gem Mid Town NYC . 	 hotel cater possible interest arrange floor room accord Dewey Decimal System book classification . stay 7.01 Architecture ; room wonderful supply book include invaluable guide New York skyscraper . room good size bed comfortable . bathroom spacious good supply essential . the Library manage create feel home home . one almost imagine one guest wealthy friend Manhattan . 2nd floor art deco style reading room enjoy complimentary cheese wine well coffee . breakfast relaxed affair fresh juice good selection bagel . pastry cereal . complimentary copy New York Times provide . make sure take advantage stay two minute walk Grand Central Station indugle cocktail whilst people watch ; fabulous . 
 Apr 20 2008 	 WOW amazing hotel 	 stay Library Hotel final night honeymoon . check efficient receptionist genunine friendly . final night honeymoon upgrade we Love Room make final night honeymoon special . room beautiful balcony provide lovely view sit enjoy New York . the bed really comfy bottle sparkle wine wait we . complimentary contiental breakfast lovely good selection fresh item regularly refill . free tea , coffee pastry throughout day also another lovely touch . the hotel lot lovely touch make little bit special . have know go good would stay stay New York . return NY defintiely book stay again . book hotel go NY worth every penny . 
 Apr 18 2008 	 good boutique hotel ' ve stay 	 honestly one good hotel find city . attention detail incredible staff nice team people ever encounter . really enough go way help - look place , call make reservation , print map - literally everything need , happy do . the room carefully consider whilst compact , feel oppressive . spotlessly clean bathroom lovely . the location unbeatable , right next Grand Central easy get anywhere subway , walk everywhere , easy be . the countless supply book welcome bar reading room mean tempt leave hotel sit drink coffee , raid ever - present supply muffin pastry , read one thousand book ! much New York see allow ! would not even consider another hotel next trip - Library . 
 Apr 16 2008 	 interesting hotel can´t see make top list 	 spend 5 night Library Hotel give positive review . fault false advertising , call petite room website really minuscule . bathroom adequate New York amenity non - descript . bookworm nice library available hotel say even selection room high quality . Breakfast , happy hour offer 2nd floor nice experience , cheap also exaggerated . service nothing special , mostly polite efficient exception one employee . 1 3 experience make cut New York ( place usually high expectation term service ) . don´t see reason stay hotel give much well alternative available price range , perhaps bit expensive fact closet sized room compensate that . it would great place half number room . 
 Apr 15 2008 	 good Hotel New York 	 great hotel . stay 4 night love every minute . location hotel make great base , close everything . staff fantastic travel UK sort lot thing we beforehand via email give we load useful info . room lovely , really clean comfortable . one good part hotel though read room use read paper hundred book also use rest point great view madison ave . grab great cup coffee 24 hrs day use place lot quick break crazy street . feel safe . decide trip could every come back New York would always stay . can not recommend enough . great , great , Great . 
 Apr 13 2008 	 Library tranquility heart New York 	 Library Hotel live review tripadvisor . really gorgeous small hotel look forward return room day . breakfast snack offer throughout day excellent , often make free wine cheese afternoon - add little touch make Library unique . location another bonus , heart midtown around corner Grand Central Station - yet , rather surprisingly could not hear hussle bussle room sleep soundly night . room lovely , complaint clean - staff good around need good , honest advice eat , drink dance night away team reception ever - so helpfull . one slight grumble mini - bar record everytime something move around fridge ' sale ' spend 15mins check - out go rather long itemised bill explain not consume content - minor grumble . would definitely stay Library next trip city . 
 Apr 7 2008 	 wonderful hotel great part Manhattan 	 Library bibliophile although book lover take special pleasure selecting room base Dewey Decimal System . hotel great location near glorious Grand Central Station within walk distance New York Public Library midtown attraction . love Library high style comfy accommodation . thoroughly enjoy stay . 
 Apr 4 2008 	 enchant experience 	 stay library hotel amazing ! room different genre , room great collection book follow genre room . room pretty much look , diffence book . staff dream come true , not talk eleven year old datughter like two , talk like talk . friendly helpful . New York City not need information thing , sure concierge service . second floor free coffee , breakfast snack great . also outdoor area sit read top floor . hotel ; big botique hotel also love . top locate great spot , Madison 41st street . without doubt , stay hotel ! 
 Apr 2 2008 	 amazing wedding venue ! 	 fiance lucky enough chance upon website Library Hotel looking location NYC wed . look relatively small venue 30 guest ( friend family travel UK ) not want compromise style sophistication . right first phonecall hotel event co - ordinator staff warm friendly genuinely keen ensure wedding ( fact whole seven night stay ) roar success . say experience Library Hotel dream come true understatement ! suite stayed perfectly proportion immaculately present ; complementary breakfast wine cheese reception delicious welcome touch ; uncompromise helpfulness flexibility staff work wedding day greatly appreciate ; friendly yet unintrusive approach staff wait guest afternoon wedding reception add feel New York sophistiaction hope ; food drink serve wedding throughout stay second none ! new husband hope return hotel soon hold special memory we ! 
 Mar 20 2008 	 Perfect ! 	 upon arrival tell upgrade , get point right . hotel staff incredibly nice welcoming offer help anything ... restaurant suggestion , direction , etc . we expect super tiny room pleasantly surprised . small grant , well lay really feel small . bathroom fabulous ! bed incredibly comfortable . we NY wedding 14th floor lounge offer we perfect spot go friend dinner visit . staff courteous friendly drink super tasty . it great experience ! 
 Mar 17 2008 	 Perfect 	 stay hotel Christmas 2007 perfect . room hotel peaceful make trip relax stress free vacation . perfect location walk show dinner . ' ask well hotel location NYC . keep good work ! 
 Mar 13 2008 	 great place 	 bit belate want write something say wonderful hotel be . we stay extended weekend Christmas perfect . staff friendly , room spotless , bathroom amenitite top notch , bed comfortable . great free snack coffee clubby feeling lounge . front desk / concierge great making call restaurant already reservation order get we extra special treatment ( work ) . perfectly locate . can not wait head back next Christmas . 
 Mar 12 2008 	 already recommend hotel - say lot 	 visit NYC basicly first time Big Apple tourist . want central location , actually top priority , good central location find . easy walk Times Sq , Madison Sq Garden , Empire St Bldg . Grand central side block mean direct access subway network reach site . the hotel experience also near - spotless performance part Library . people meet friendly helpful . room , incl . bed , cleanliness , view size , good . a / c - heating , however , noiseless , put polite . everthing else fine , thing become issue . negative remark ' m go need make . overall , everything read review : yes , like come day sit quiet comfort club , Reading Room , refreshment course , nyt.there always risk acquire reputation , management personnel tempt slip standard set hotel . let us hope not happen . keep way ( raise price high ) many visitor happy Library hotel continue success . 
 Mar 10 2008 	 truly lovely hotel excellent stay 	 deluxe queen room 2 night Library . friendly helpful staff , excellently clean room / ground . amenity free wine / cheese reception evening free cont . brkfst help soften blow $ 399 room . excellent location . contact hotel help get restaurant reservation large dining party stay help immensely , even see hotel . poured rain stay , generous umbrella guest , excellent attention detail . would highly recommend hotel comfortable bed . also clock w/ ipod docking station surprise delighted ! room nice size NYC , definitely ridiculously small bathroom quite nice well . 
 Mar 7 2008 	 excellent hotel great service 	 library hotel unique hotel great city . small scale ( 60 room ) boost service city hotel take entire city block . instantly feel welcome upon arrival , staff may young , friendly good make feel home . room decent size , well equip . hotel serve complimentary breakfast ( include newspaper ) , rare new york mistaken . coffee juice available throughout day , every evening complimentary aperitive : wine , cheese cracker serve 5 pm 8 pm . perfect moment relaxation come back day city , perfect stop go find restaurant . great location , , grand central station ( subway connection ) times square . great hotel ! already save next visit . 
 Mar 3 2008 	 Nice indeed 	 stay Library Hotel past Sunday night please experienced . I actually live Brooklyn , not exactly come out - of - town . want one - night stay Manhattan order recharge battery . work long hour , often home , actually day , find drift back towards desk work . , literally need get home order get rest peace . choose Library Hotel base , part , read TripAdvisor get recharge need . the hotel nicely do . 's modern , & quot ; in - your - face & quot ; kind way . staffer encounter exceptionally nice helpful . room ( include bathroom ) common area spotless . wine & amp ; cheese reception nice touch . sleep not partake breakfast . 14th floor bar close Sunday ( room service , fine know restaurant ' m impressed ) , could lounge bar area wanted look like fine place enjoy cocktail . get pretty fair rate directly hotel Sunday rather slow time year . the drawback could see room small . stay Junior King Suite easily small & quot ; suite & quot ; ' ve ever stay . , however , know go not concern room fine . bed incredibly comfortable shower pressure excellent . bathtub huge , ' m big man fit without problem . here be think would absolutely love Library Hotel : Bookworms ( obviously ) ; traveler prefer boutique hotel experience versus high - end chain ; traveler look quiet alternative mid - town location ; , people enjoy stay night least stay ( common space , dvd library , stack book , etc . provide plenty free entertainment , plus 's nice lounge upstairs ) .I probably would not stay Library Hotel , be live next time & quot ; vacation & quot ; Manhattan , will look something high luxury scale amenity ( big room big thing ) . however , already recommend friend come visit want stay somewhere nice , little bit different good location . Library Hotel get high mark rate TripAdvisor well - deserve . 
 Mar 3 2008 	 Library perfect read 	 stay many boutique hotel city , Library Hotel one impressed . staff gracious friendly . public room extremely well maintain point feel like visit opening weekend . Breakfast , Snacks , wine cheese throughout day 2nd floor Reading Room great bonus room rate . location perfect like walk outside front door hotel steady stream people ( Times Square ) , also want location many walkable dinner option close enough entertainment well . walked easily see couple play Zagat highly rate restaurant . do let price scare , one hotel feel get money 's worth . beautiful space want leave recommend friend . 
 Feb 25 2008 	 reader 's delight 	 husband live county far Manhattan work block two away hotel . plan weekend enjoy city , instead work . avid reader Library Hotel perfect atmosphere . enjoy ambiance infamous Love Room delightful . staff charming accommodate , tell truth , not demand sort . breakfast continental , fine purpose Rooftop Garden Lounge perfect pre dinner drink . will back soon , hope . 
 Feb 18 2008 	 sharing room Lowell Frost 	 Superb little hotel block Grand Central . library cheerful staff , impeccably clean room , lovely public space . breakfast good , although perhaps could well place caliber . access expresso machine day long small amenity . open wine bar start 5 pm , drinkable white ( ghastly red ) . room bookshelf take theme : ' poetry ' room , 8th floor , contain work Robert Lowell , Frost , Pound , many other . be single , small tidily arrange . third party arrange stay : post average price $ 400 + , one wonder ; special price mid $ 200s , available website , be surely good bargain midtown Manhattan . 
 Feb 18 2008 	 Excellent 	 must rank amongst good hotel experience . as reviewer note , location excellent : half way Madison Av Central Park Financial District couple block away big department store . also close local subway link . the reception bell staff friendly , responsive helpful . room theme . room small , matter communal room hotel would incline spend time ... bistro look nice , although not try . free drink breakfast serve second floor - nice library . call & quot ; roof garden & quot ; designer den exceed expectation . visit late evening : intimately lit , sort place might take date guess ; cocktail excellent bar staff equally . bedroom ( bed ) comfortable ; shelf stuff full book . nice little touch like chocolate weather forecast appear bed evening ; iPod player ; CD / dvd , complimentary dvd hire well stock mini bar . would certainly go back . perhaps lack facility big chain hotel , swimming pool gym , ambiance hotel , room , staff , decor communal area make . 
 Feb 16 2008 	 great location ! 	 location close subway wish choose something midtown . room warm modern design . staff encounter responsive courteous . dine outside hotel many nice neighborhood option . 
 Feb 15 2008 	 real new york library 	 book ( sorry ) library hotel last two night honeymoon . staff room fantastic . initial email state last two night upgrade we love room balcony overlook madison avenue partial view real new york library . nothing ever much Bill , thank get pizza be arrive late two nice restaurant next door . try pera next night , turkish / mediteraean food . lovely , although touch expensive overall . wife baulk cost library originally , end , agree well worth . great location , romantic accomodating . thank library . 
 Feb 14 2008 	 Library Hotel Exceeds Expectations ! 	 Library Hotel gem , perhaps poem . stay three night visit family attend dog show every interaction staff member positive friendly . hotel 's public area ( second fourteenth floor ) private room spotlessly clean , well design , attractive . library theme charm fun anyone ever use Dewey Decimal system . never stay anywhere else New York City already look forward & quot ; booking & quot ; next visit . 
 Feb 12 2008 	 New Yorks Gem 	 Long arrive hotel , question answer promptly via email . arrival Library Hotel , meet extremely helpful reception staff , take pride hotel keen promote NY whole . room spotlessly keen , everything need remarkably quiet consider constant city traffic ever present outside . the breakfast set we day hotel staff keen advise see , good get around suggest various place eat . book ticket event never much trouble good seat house Carnegie Club Saturday Evening . all , happy write review , recommend hotel look forward visit . 
 Feb 10 2008 	 great service ever ! 	 wife stay Library Hotel 4 night . short period time , staff make we feel like family . attention detail exceptional warm friendly staff make stay perfect experience . surprised thing VIP desert deliver table Uncle Jacks Steakhouse compliment hotel not even think know going eat . in summary , agree travel would perfect every city travel Library Hotel ! 
 Feb 7 2008 	 Excellent 	 outstandingly comfortable personal atmosphere , staff friendly without intrusive . reception staff helpful type query , room first rate good stay small hotel close museum / art gallery / shop central park . also refreshment available time real bonus relax surrounding 
 Feb 3 2008 	 great weekend getaway ! 	 work NYC , live northern NJ , Christmas gift husband , arrange Saturday night 's stay Library Hotel . great see New York tourist perspective , oppose daily grind , Library Hotel offer lot bang buck ! Library Hotel beautiful , serene place fill love detail . stay Fairy Tale room , sort delightful child 's book peruse , well correspond frame print wall . love wine cheese dinner , receive complimentary bottle prosecco room ( since be newlywed ) , feast delicious breakfast read New York Times follow morning . love bath amenity , robe slipper perfect . it be difficult make full use hotel one night , feel really get money 's worth . ' m glad pick hotel romantic weekend . 
 Jan 29 2008 	 Library Hotel - stay ! 	 recommend hotel highly enough . location good get NYC , room small perfectly form , staff pleasant , breakfast lovely ... hard part convince leave every morning ! 
 Jan 28 2008 	 amazing serivce beautiful hotel 	 hotel everything promise , . location fantastic , right around corner Grand Central Station . situate beautiful brownstone building corner Madison 41st , interior elegant look website . second floor lounge great place relax hard day , hotel provide free wine cheese every evening 5 - 8 pm grab good book , rest foot enjoy surprsingly good wine prosecco offer . Breakfast also serve second floor lounge quite basic , certainly job - especially city hotel room . good choice cereal , bagel , bun , pastry , sweet savoury spread , egg , delicious fruit salad , juice , different flavours tea coffee . request room want advance tell staff promise particular room advance - however , lucky get first choice anyway . review point room tiny , perfectly form comfortable . 9th floor could hear traffic noise , small boutique hotel New York City , expect hear noise benefit make small room traffic noise . perhaps great asset hotel staff , book restaurant attraction ticket we , nothing much trouble . everyone friendly helpful give personal service . would definitely stay , recommend anyone visit New York . general tip get around New York , not afraid use Subway , especially stay close Grand Central . much easy clean expect $ 24 week pass far good way get around . evening catch cab everywhere - also much cheap expect easy flag ( make sure know address anywhere go - one driver could got restaurant name ) 
