Crowne 	 Amazing hotel . posh pricey wonderful place brilliant view times square . 
 great short break 	 hotel ideal position visit major shopping centre , view get soon go reception door Times Square . we arrive Thursday 5.45pm trouble book queue , book break use point upgrade onto conceige room , corner room view central park distance Times square also include free breakfast save time money use conceige lounge day . the bed extremely comfortable surrounding pleasant . staff efficient parcel deliver hotel arrive keep safe . I would hesitate recommend hotel visit Crowne Plaza would hotel choice . 
 great place 	 nothing complain . great location , friendly staff . nice clean modern room . fantastic 
 fabulous staff great hotel location 	 trip surprise husband birthday , come mixed group set couple , two family child . we arrive soggy Saturday half term , greet large check queue , diminshe swiftly efficient friendly staff .Although room not ready not deter we experience action 1st ever visit NY . go walk arrive back 3.00pm queue check horrific everybody want collect thi key etc . queue dissapate , whilst wait speak lady name Vicky husband priority point , able use surprise , soon see name recognise call make 2 month early ! ! ! ! great service skill , impress even , remember bday treat , good thing ever happen upgrade we King size room overlook Times square . WOWThe hotel comfortable poeple already express view internet charge , drink food , agree , ny .. visit deli etc splash out . all staff always courteuous , helpfull excel area , request room extra pillow etc , meet expectation . I problem return home card use twice bill , apoligetic swiftly refund , thing happen everybody human . to finalise love location hotel simply brilliant , thank Leo always smile nothing much trouble , Teresa sort payment Vicky thank .. asset crowne plaza . 
 Oct 31 2007 	 great location service 	 husband return last minute trip New York . we book Crowne Plaza Priceline rate $ 150.00 night - quite bargain receive ! arrive early , tell wait room ready later afternoon . I ask Jaime , desk clerk could get high floor room view . the adorable boy say , & quot ; problem , great room 29th floor overlook harbor . & quot ; Terrific - we go lunch see show return 4:30 pm.the room incredible - it double size other floor - room 2912 - and view lovely . the room immaculately clean - one queen size bed new bed , huge bathroom ton towel , desk , center console TV.We also refrigerator . I think removed , big deal . the problem lack pressure shower , nothing complain about . I figure later probably handicap accessible room , thus size . some people feel since Priceline deeply discount room obtain bad room available . I always find ask nicely , arrive early enough , get upgrade . especially desk clerk Jaime - I want adopt , sweet . kudo well Natasha , another lovely desk clerk . all , great experience . the location perfect - everything doorstep , Starbucks everywhere coffee , fabulous breakfast Cafe Europa Broadway . the Marriott Marquis street , obtain half - price ticket show , subway staion 50th Broadway . I ' m New York originally , love go back visit . the Crowne Plaza well worth stay in . and try Priceline - the regular rate 2 night 339.00 ! 
 Oct 31 2007 	 great location average hotel 	 stay weekend October . general , CP decent , frill , large hotel centrally locate Times Square . want Times Square , theater touristy activity , can not beat location . go thing , mean avoid Times Square hotel . hotel well run , despite huge number room . customer service , house cleaning , restaurant / bar service , conceirge service get high mark . couple pleasant suprise feature hotel drive taxi drop off / pick fitness center . cover / drive back entrance great taxi entrance exit without use Broadway . cover , come handy rain . 's glamorous feature , practical one . fitness center , NY Sports Club , private fitness center chain . right build everything one would expect big gym - weight kind , cardio machine , even group class . significantly well fitness center offer top end hotel offer . area need improvement include common space hotel , need update freshening . hotel somewhat date feel . go room . bed comfortable , amenity par Best western . tv old low tech , closet door pretty flimsey , one sink crack discolor . nothing horrible , space badly need update . give hotel far cheap , definite knock place . , want well locate , well run hotel near action , fine CP . want romantic luxury style hotel area , would opt W hotel , probably not much expensive . 
 Oct 28 2007 	 great place see New Year 	 take girlfriend New York week around New Years 2002/03.I book directly phone UK let book agent . helpfull staff explain would propose grilfriend could anything special arrival . room bottle champagne strawberry set ready offer use top floor lounge propose . subsequently deed ontop empire building , gratefull hotel help . see New Year , hotel excellently position time squre security allow hotel guest evening itself.p.s . top tip , steak restaurant opposite hotel , name escape . book table 9 pm , take nice leasurly meal enjoy drink etc , come onto street countdown . beat stand throng 7 hour ! 
 Oct 24 2007 	 Central 	 arrive 11/10 stay til 14th .. lovely hotel , check 2.30/3pm tell room would ready another hr , bite eat wait . give 2 card room one do not work go get sorted need ID etc .. breakfast good , fill day ! ! overall room clean view spectaciluar Times Sq . 40th floor . cleaner everyday make bed change laundry .. cost we $ 389 night .. thing would suggest do not ring home hotel phone , rang Ireland 5 min cost $ 30 , think bit expensive .. Defo go back 
 Oct 22 2007 	 bad - return 	 first let say stay Crowne Plaza , Manhattan several time business pleasure since 1995 . book hotel one night ( , long stay ) evening October 9 , 2007 . son get back Paris always enjoy stay hotel . we stay Room 2309 - unbelievably run .... curtain old .... Sleep Room bed two little pillow , soft worn , large sham pillow ..... desk multiple wire run chair around carpeting wear dirty . every bath , wash cloth , etc . hair previous guest ..... disgusting ..... since major jet lag evening , wait morning contact front desk line check extremely long plane catch home wait next day . I make comment know Crowne Plaza website lady name Lashana Guest Relations call . give 2,500 point towards Priority Club Gold account . entire cost $ 512 bad experience . my suggestion stay away . 
 Oct 18 2007 	 Class - Crowne Plaza Times Sq 	 Reservations make hotel website 3 week prior stay . check - tell could 2 double bed friend king . say acceptable told would wait ( 2 + hour ) room . try charge $ 30 . per day print confirmation change 599 569 Thurs 499 469 Friday also Sat night . finally get room quality room rate charge . complain manager tell qualify discount make reservation online ( website ) could anything situation . note : make reservation line . Priority Club amount key gym never use . furniture drawer front remove room safe stuck inside refrigerator remove . carpet dirty . employee hotel great - courteous helpful . food ok . stay 5 year ago enjoy hotel convenient time pit . expensive low quality room amenity . recommend hotel unless major improvement make . 
 Oct 16 2007 	 little run ... 	 stay property 7 year ago last visit NYC think good value . location good attribute smack dab middle Times Square within walk distance many attraction , include area theatre . however , hotel use good value price . book club level room $ 469 per night steep people 's standard . nice club floor amenity definitely afternoon cocktail appetizer drink serve lounge . breakfast ok pretty bare bone . room par . room tiny bed ok , superior mean . bathroom shower drain work workable form entire time . expect $ 469 per night . upon arrival room , letter state due schedule upgrade facility , possible day could man outside window . 's privacy ? also , book room , assure would able get late check - out last day honor . feel customer service adequate neither room . pay $ 200 - 250 per night , would satisfied , rate pay , pleased return . 
 Oct 14 2007 	 Decent hotel good location special charm . 	 Booked hotel two night Labor day week end . get corporate rate first night worth . pay full price second , much get . ' Manhattan , ' m complain . overall : decent room , great view onto Times Square . centrally locate . quite nice room . remain big hotel , without charm . say bit biased spend follow 3 week great little guesthouse South Africa . might compare apple orange . could really go either way rating , 3 4 , end nothing really special place . get corporate price 's good deal . 's average Time Square hotel guess . 
 Oct 11 2007 	 Excellent Hotel around ! 	 hotel Priceline $ 160 day , incredible rate . the Crowne Plaza Times Square exceptional moment check staff warm friendly . clerk check we would say hello daily ask we day . the room large New York standard Priceline win 2 double bed make large room . maid service ammenitie exceptional . bed beyond comfortable room spotless . yes , review mention hotel room need little updating / refreshing not take away enjoyment room . check picture .... thank Crowne Plaza Times Sqaure wonderful 5 day . can not wait visit ! ! ! 
 Oct 8 2007 	 Class Class Class ... 	 hotel must traveller want smack bang central location Times Square . place class . room fantastic spectacular view Times Square . good value . definitely go back hotel .... 
 Oct 1 2007 	 great location 	 stay hotel 15 - 18 September 2007 pay £ 200 per night club room 36th floor . the room fine bed comfortable thing miss mirror bedroom . we couple problem main one pool close refurbishment tell advance . second want use business centre online check return flight open 6.15pm business centre close 6 pm tell use internet cafe round corner . feel hotel offer use facility . staff go way helpful . overall hotel good great location sightseeing / shop however staff / service good average . 
 Sep 26 2007 	 nice hotel great location 	 clean hotel , great location , friendly staff great price priceline . be tourist NYC , hotel work great family . complaint . 
 Aug 19 2007 	 Crowne Plaza Manhattan ... perfect hotel choice ! 	 stay Crowne Plaza Manhattan five night June 19 - June24 , 2007 . fourth time stay Crowne Plaza , like previous stay , fantastic experience . arrive hotel well check - in able make room around noon . room amazing . clean well keep , view Times Square make $ 400 per night charge well worth . 23rd floor must say quiet entire stay . staff friendly helpful making sure need hotel guest meet . be look hotel 's locate center everything , look Crowne Plaza . hotel right Times Square walk distance many Broadway theater . mention , Rockefeller Center 5th Ave several block away . definitely can not beat location ! also lot eating choice area , never worried look place eat . , Crowne Plaza Manhattan perfect hotel choice anyone look place stay NYC . yes , price bit expensive side ; however , stay , will realize 's worth every penny ! 
 Aug 2 2007 	 okay ... worth money 	 room not bad , $ 300 / night , expect much . guess pay location . ' ve stay nice Holiday Inn Express ' . Priority Club member , get perk , nothing brag . kill 2 ( flying ) bug room , odd since 26th floor . bed pretty comfy staff helpful friendly . might stay half price . 
 Jul 29 2007 	 high floor good room 	 one good room high floor excellent . good view . location great breakfast decent . staff helpful . , fair price Manhattan hotel good location . bargain get pay . 
 Jul 26 2007 	 Hotel large variation quality room 	 colleague stay Crowne Plaza business trip book pay company . due flight delay arrive 10 p.m . seem extended discussion registration hotel nearly full considerable push able get update room 41st floor partial view Hudson River . colleague accept give end room obviously update year , chunk take furniture , appeared clean recently two bar soap amenity . stay night registration first thing next morning request change . staff refuse believe room update clean ( look ? ) eventually begrudgingly move day update corner room 40th floor overlook Broadway toward Time Square . hotel fine business meeting schedule 15th floor several meeting room available small group division meeting . breakfast , lunch mid session snack provide hotel generally quite good ( except one totally healthy snack afternoon people group make run across street M+M store ) . concierge quite helpful restaurant suggestion make reservation . restaurant hotel good late night meal first arrive staff even pleasant stay open later schedule late arrival . all , Crowne Plaza decent hotel . five six block walk main theater district area always lively interesting . book travel prefer stay Marriott Marquis ' ve always well accommodation service certainly acceptable business trip not pay . 
 Jul 17 2007 	 room shabby area i.e . lobby great 	 change room one night hairdryer wardrobe door break 1st room . tell would move we next day 2nd room bad condition . good thing room bed nice husband daughter get bug bite stay ... good thing staff helpful bar lobby area lovely , however would prefer well quality bedroom would never stay . sorry do not take photo would never believe furniture bedroom two star hotel . 
 Jul 16 2007 	 Great Location ! 	 everything experience great . room clean provide great view Times Square . concierge knowledgeable . would recommend hotel anyone . 
 Jul 10 2007 	 Central Location - much close 	 well could not ask anything central start . check handle well fast . enough lift never wait long lift . our room 45th floor view toward Hudson river . room good size , clean , large bed flat panel tv . bathroom little date every thing work clean . room quiet nice come back hussell bustle outside ! ! . AC unit corner though look like would not handle hot weather well . use stay , hot day record April record Central Park . use bar dinner hotel . fine general not normally worry much offer ! ! . access Club Lounge 46th Floor handy Teas & amp ; coffee snack breakfat bed ! .On whole staff helpful friendly ( always get one 's exception ) . value money individual view feel . get think good rate certainly would not pay full tariff ! ! ! .Its Westin well other . if go enjoy New York ! 
 Jul 1 2007 	 great location 	 Crowne Plaza wonderful location want walk see play , go Rockefeller Center , shop 5th Ave . , see sight Times Square , enjoy Central Park , catch red bus tour city ! not kid - friendly hotel . . . hang hotel New York City ! stay low floor , room okay . would recommend stay get good rate . would not worth $ 300 $ 400 per night . 
 Jun 20 2007 	 Perfect location great view spacious room 	 Crowne Plaza directly locate Times Square Manhattan many hotel claim Times Squares , reality block away . hotel kind stylish interior . reception bit inconveniently locate first floor , reachable stairway . room spacious especially corner room , AFAIK upgrade necessary , even nice . bathroom ( niche main room ) toilet / shower separate . price one night stay Sunday Monday 320 usd . 
 Jun 18 2007 	 frustrating experience 	 husband decide stay Crowne Plaza part good air / hotel package book site59.com . Crowne Plaza web site , room bed look clean , fresh nice ; & quot ; sleep & quot ; package appeal , large fitness center . what disappointment . moment arrive hotel one bad experience another . line check , appear front desk under - staffed . 5 minute wait , woman check we front desk not greet we , ask name stand stare computer screen occassionally click mouse 10 minute without explain happen reason delay . she tell we put we room king - sized bed , turn 2 double bed . bad thing room ( 2624 ) , suppose non - smoking , REEKED cigarette smoke . ask room transfer tell hotel over - sell option & quot ; pilot 's room & quot ; Murphy bed pull - out cot . stay room truly disgusting . front desk tell we would send security floor since someone must smoke , smell not go away strong wake next morning . also hair not soap dish shower . we ask room change morning staff nice , say would move we room king - sized bed ; come front desk get key , would move bag one room we . get front desk long line front desk . thankfully nice woman concierge desk call manager we not wait line . nice woman name Theresa come give we new key , get new room - , way , smell fine - double bed , king bed would promise . call Theresa bring we key third room . 30 minute later bellman show bag . this third room king bed , faintly bad odor - interestingly , also room # 24 ( though 36th floor ) , wonder perhaps ventillation problem part hotel . clear , 3624 not smell like smoke , odor faint , still bit . anyway , despite fact stain wall wood dramatically peel dresser , third room fine . point spend hour day deal room change , mention time spend unpack re - packing . hotel mess enough stick terrible smell room , correct situation much gracefully efficiently , get room change right first time . then go business center internet connection down . later pay watch movie could not see subtitle ratio tv display set incorrectly not allow access adjust it . the & quot ; sleep package & quot ; appeal online fine ( lavendar sheet spray , eyemask , sleep cd ) ironically find bed pretty uncomfortable due soft mattress , know 's matter personal taste . heavy curtain great job keeping room incredibly dark , though course be Times Square hear street noise , even 36 floor . fitness center far highlight stay . 's New York Sports Club huge - every piece fitness equipment could imagine , plus full class schedule ( aerobics , spin , yoga , etc ) nice - look lap - pool . free access site59.com package be usually $ 10 hotel guest . the plus central location - right many subway stop take we everywhere Union Square Upper West Side 5 - 10 minute . overall , though , stressful experience . 
 Jun 17 2007 	 Excellent Stay 	 live fairly close New York normally would stay overnight wedding City want drive home . able check early , great since need room change fancy clothe . beautiful spacious , clean room overlook Broadway . noise issue since air conditioning run . Coffee Maker room much appreciate . provide real glass cup , think mandatory hotel rate 3 * high . lately , however , run lot 3 * hotel provide plastic paper cup . parking underneath hotel , $ 39 24 hour , taxis include . location great tourist sightseeing course Broadway show . lot City Tours leave Times Square Area . 
 Jun 16 2007 	 Nice Hotel Great Location 	 stay April 17 - 22 . like cool air available AC not mid - week . snow day probably reason . call window pried open ; really stuck . 26th floor love view street . noisy open window , be big city kid problem get sleep . north Times Square nice give we chance walk crowd rather enter right . closeness subway big plus . take train everywhere . eat hotel restaurant lunch arrive check - in wait room ready . food great . eat breakfast buffet . time food excellent , expensive ( $ 20 / lunch , $ 22 / buffet ) . room two queen nice clean . fridge minus . bathroom good size shower enough pressure . worried read NYC review water pressure super small room would get something look like cruise ship cabin , plenty room water . Brooks Theatre see Moon Misbegotten short two block away restaurant eat within easy walk distance . side note : 2 month still taste great food eat . never city every restaurant serve delicious food . elevator two set ; upper floor low - middle floor . keep elevator wait minimum . staff contact friendly helpful . first visit NYC find friendliness relax busy day site see . room mini - bar probably would give excellent rating . not fault hotel central AC since April unpredictable . write Trip Report Independent Traveler web site , wish read detail New York City vacation . 
 Jun 14 2007 	 Stellar Hotel ! 	 impressed service Crowne Plaza . book package deal website . happy room . Crowne Plaza hotel feature spa experience gift waiting room eye mask , lavender linen spray , relaxation cd earplug . normally need city noise would keep awake night , not hear outside noise room . staff great hour security impressive . late night , security guard check valid room key second guard elevator ..... real peace mind woman family travel . lobby construction , care . bed soooooo comfortable room big NYC standard . family member stay Hyatt Grand Central Crowne Plaza beat hand . policy not care charge administrative fee want late check . be pay room rate $ 200 per night , think allow late checkout without incur fee . 
 Jun 10 2007 	 Great Hotel .... favorite Manhattan 	 second time stay Crowne Plaza Times Square , , excellent stay . book room Executive Club level . well worth extra money . continental breakfast nice evening hor d'oeuvres time . they give we corner room 42nd floor . view toward east north great . room everything need nice stay New York . roomy 32 & quot ; flat scrteen tv great long day city . the fitness center first class . service part . I read review booking . bed bug check arrive ( NYC hotel ) find evidence anything day evidence past problem . hair dryer bath room work , within minute , new one arrive door . the hotel cheap .... service property . security night great . see young couple try snow guard let onto elevator without key , none . part everyone helpful ; professional . attend three Broadway play weekend hotel two minute walk one they . the bed great intense day city room temp control nicely . room amentitie entirely satisfactory . if report negative thing minor ... bartender executive lounge absolutely miserable one night . shame also , since 20 % tipper service good 0 % tipper service bad . take seriously . one regret part .... late get train station rush , forgot tip housekeeper . need find rectify that . this premium hotel experience . pay . well worth become hotel choice stay Manhattan . 
 may 31 2007 	 great location clean comfortable - loved ! 	 stay weekend 18th 21st May 2007 . arrival , wait check short travel friend book room Club Level , receptionist kindly upgrade we could enjoy benefit ! wait hour room clean , hardship . staff encounter polite friendly . it friend 's birthday call we room help plate cheese cracker bottle wine find return , along birthday card lovely receptionist - nice suprise ! room 46th floor great view Hudson spacious clean . bed 7 foot wide comfortable . suppose access dedicated concierge never see anyone manning desk . Club Lounge great place drink venture night continental breakfast good too . the area around hotel busy 24 hour day , reassure room card check every evening could access lift . we able check online return flight business centre use facility 5 min , complimentary . we would definitely stay location great near theatre place eat - love stage Deli block . 
 may 21 2007 	 Excellent location 	 Booked hotel due location disappoint . Situated Times Square heart Broadway , busy space move street . two lady due location feel completely safe return hotel late night . stay 20th floor , great view window however 4 day planning stay roomn much ! ! read previous review bedbug therefore bite worried , however not experience problem . unfortunately due limited time able use see hotel facility . New York sight see shop hotel definately must . 
 May 18 2007 	 good location ok hotel 	 due large choice hotel area , read many review make booking ( wife 's birthday want special - count not quite achieve ) . location really good , minute Times Square even close subway station . general condition room fine , although lead believe hotel renovate 2006 - obviously include new wall paper carpet , definitely bathroom . bath one short , dumpy bath get quite often middle Easten hotel , really acceptable day . also , escalator reception working duration stay ( 4 day ) , get lift round corner . having say , service hotel really good . gym well equip , even close rather early Sunday . real complaint hotel , adequate , well position clean - would probably try somewhere else visit New York ' ve stay well 4 * hotel . 
 May 15 2007 	 Great Location Great View Good Room 	 Mt wife & amp ; stay 42nd floor Crowne Plaza May 1 - 4 2007 celebrate 20th anniversary . pay extra & quot ; Executive Level & quot ; room , mean room 42nd floor high , complimentary breakfast evening hor d'oeuvre , access 46nd floor lounge ( breakfast & amp ; evening snack serve ) .We supposedly river / harbor view room , search hard find harbor river distance . still , room great view surround area , large building nearby . room average size , bathroom hard enter door lead bathroom open outward cramp sink area . the room nice setup large desk ( plentiful easily accessible electrical outlet ) , large flat panel television comfortable bed . problem bedbug traveler report ( although hesitant go back read report ) .Overall , satisfied hotel room . major complaint escalator break every day stay hotel . we plan return NYC sometime , probably stay hotel hustle Times Square . 
 May 8 2007 	 beware -- second incident shard glass 42nd floor lobby 	 careful walk hotel guest floor . come back hotel incident shard glass room floor give another chance . less expensive corporate rate hotels area save client money . wait lobby elevator 5 pm , notice ten shard glass scatter 42nd floor lobby . 7 next morning , glass still . show manager . come back 6:30 pm , still miss piece glass . if someone walk without shoe floor ice , could unpleasant surprise . this hotel need responsible management . maybe someone corporate read . 
 May 4 2007 	 Times Square location - beware bed bug ! ! ! ! ! ! ! ! ! 	 stay Crowne Plaza 4 night Times Square come home bed bug luggage . contact hotel tell professional check room come clean . ask copy report , tell would provide . endure costly expense due negligence . stay Crowne Plaza - Times Square risk ! ! ! ! ! ! ! ! ! ! 
 Apr 25 2007 	 look Bed Bugs 	 stay Crowne Plaza Times Square April 10 - 14 , 2007 business trip . reserve king non - smoking , arrive hotel , put room double bed FOLDED WALL ( room 2823 ) . room teeny tiny adjoining room side . could sit end bed knee would touch television stand ( 5 ' 7 & quot ; ) . hotel turn air conditioning yet ( hotel turn summer month ) room warm . window open 3 inch , would stay open prop open guest service book . room small hot could hear neighbor conversation verbatim ? ? okay , get , basically sleep , right , besides , company 's dime , mine . easy sound ..... first night , bed basically like sleep box spring , hard uncomfortable . notice leg really itchy ! ! think either reaction laundry detergent use sheet , soap product hotel carry . the next morning request move different room displeased room 2823 . tell would move unitl 3rd day hotel full . fine , think , stand one night hear shrill laughter neighbor 2 a.m. leg itch like mad . third morning , move room 2815 . door hall world difference room 2823 ! ! get king size bed much room . room 's temperature acceptable adjoinging room ... hooray ! much happy .... itchy leg continue , time , itch move stomach arm . morning departure , sit bed put shoe . feel another bite look arm find bug , similar appearance appleseed , bite . smash think nothing . never see bedbug , besides , not lure childhood rhyme ? ? wrongthe bite still continue get home , find stupid bug ( like first one ) leg . really perplex see bug Crowne Plaza leg . reseach internet , low behold , discover BEDBUGS ! ! ! yes , freaking BEDBUGS travel back North Carolina . never see bedbug life stay Crowne Plaza , make home personal feeding trough . go get exterminator know go cost ? not , yet anyway , bet 's go cheap . thank lot Crowne Plaza , univited Begbugs guest future extermination bill . beware room 2823 2815 . way , informed hotel , respond complaint . also , co - worker stay room 2723 ( original room , be double , much large one adjoining room ) far affect bedbug . be keep finger cross . 
 Apr 25 2007 	 ok really value money 	 I ve newyork three time decide take wife 40th want nice hotel would hard find well money sevice .i do not think see refubishement long time . pool disapointe old hat streem room work turn trainer intreste finding stay new good location hotel good well would stay fridge . one bath robe per roon ask second arrive bath room design circus people small . orverall old date hotel ideal buniess 
 Apr 23 2007 	 OK 	 stay 6 night April - family 4 include 2 teenager . hotel fulfil requirement high level room Times Square , first time visit NYC kid . Club Room large enough four we , although reservation assure would fine . supposedly refurbish room OK . room service ok.pool big disappointment - fine want train , fun swimming , normally part family holiday - one reason choose hotel other . very much business hotel . not think saw speak one person twice course stay . no - one really care , , good time . personal touch all . Served 's purpose , certainly would not rush back . 
 Apr 18 2007 	 good hotel good area 	 hotel ideal visit ny . heart NY handy central park Financial District . tub stop close hotel . check ok . particularly friendly girl , professional . room ok ( pay room 22nd 44th floor ) .Breakfast ok . good choice food ( ' italian ' use Continental breakfast ) .concierge service good . we use room service facility . 
 Apr 15 2007 	 staff unfriendly .. ! ! 	 Australia travel far see wonderful NYC . tired hungry greet unwelcome stance hotel staff . good location facet hotel room , service , staff food standard ' hotel mean ' ! plan another trip ' 08 definately stay ! 
 Apr 13 2007 	 one good choice Times Square 	 among NYC hotel , one , along Time Square Hilton , two good ' ve stay . issue hotel check line , often long somehow progress slow hotel ( much much slow ) . room clean , date , nice furniture housekeeping nice job ( compare NYC hotel ) . noise level suprisingly low , especially consider book hotel usually . location fantastic . nice lounge tend get busy , convenient . staff seem helpful note seem high security presence monitor public area . would definitely recommend hotel , especially get via [ -- ] reasonable rate . 
 Apr 12 2007 	 fault report 	 stay 2 night late March 46th Floor Priority Club Members , hotel free Priority Points . also give access Club Lounge free snack & amp ; drink late afternoon lovely buffet continental breakfast . stay Time Square always able hear hussle bussle 46th floor Crowne Plaza , quiet indeed . extremely comfortable bed . excellent quick check inNo problem report . 
 Apr 5 2007 	 Waste Great Location 	 hotel major disappointment . 's great location Times Square . unfortunately , confirm reviewer say check frustrating , time - consume hassle , good way start . also confirm plumb antiquated drain run slow . room service move speed move glacier . post sign bar restaurant open strictly decoration meaningless . reviewer say bar restaurant open late , case close half hour early , cause we major headache . add sparsely tastelessly furnish room bare corridor , can not help feel sad waste precious real estate . 
 Mar 29 2007 	 Great Hotel Great Location 	 stay dozen hotels city almost every area Manhattan . one make top 5 list . hotel conveniently locate Times Square - great business tourist travel . room executive floor free access club lounge breakfast reception . treat great time walk checkout . room nice great bed flat screen television . health club nice , close enough park exercise ( highly recommend ) . choose hotel price right . 
 Mar 29 2007 	 Great Service Big Apple 	 husband stay Crown Plaza near Times Square birthday weekend . upon arrival receptionist friendly helpful . room ready we since know birthday , leave bottle chill champagne full , delicious birthday cake ! good ! entire weekend nice . never disturb pushy maid thin wall . shower great , host bottom escalator always helpful everyone seem relaxed friendly . thank , Crown Plaza , make birthday memorable ! 
 Mar 13 2007 	 Nice Hotel 	 stay November 10 - 15 , 2006 . LocationThis hotel locate heart time square . stand front lok right see ball drop new year eve . Wayne Brady stay stay , friend see get elevator . reunion broadway show & quot ; Chicago & quot ; . walk distance attraction , see Color Purple . good show . DiningBreakfast buffet $ 25.00 Pancakes good . item typical standard fare buffet item . roomsnice , comfortable bed . work desk , Boombox , nice eye patch sleep , make feel special important . BathroomsClean , replenish toiletry daily . Fitness Centerstate art excercise equipment , many aerobic cardio class available take ( local use facility well membership require ) steam room , sauna , pool . check in/ OutThe hotel crowd due major conference area . several reservationist , line move quickly . Good Morning AmericaGet stand line @ 0600 . easy get . Luke Laura General Hospital day . Fun experienceReccommendedYes , family , girl trip , business . 
 Mar 4 2007 	 great location - comfortable 	 hotel great location ! staff helpful friendly . food good . room superb giant Widescreen LCD tv excellent view 43rd floor . as Platinum Priority club member , allow access club lounge 47th Floor . , complementary breakfast cocktail evening . if want stay somewhere good overall Manhattan location , have hard push find well hotel . you 2 minute walk heart Times Square 4 minute Times Square Subway station . I definelty back ! 
 Mar 2 2007 	 Great Location ... 	 friend get room priceline.com . great deal ( $ 150 / night ) . hotel right middle Times Square . get room 32nd floor view excitement Time Square offer . room clean staff friendly . would not pay full price , great experience . 
 Mar 1 2007 	 fab hotel great location 	 stay February 4 night husband two girl . bit worried reading review , arrival staff could not nice check fast . beautiful room 17th floor overlook Times Square , view . room spotless . would deffinately recommend hotel travel Ny would stay . 
 Mar 1 2007 	 Engagement ... Special Trip .. 	 Simon , London , England . my girlfriend stay Crown Plaza Time Square , New York 21st - 25th February , 2006 . trip surprise girlfriend NY ask marry I . review : overall nice stay hotel . rate 4.5 * hotel noticable feature justify rating . hotel excellent location right Time Square . hotel staff friendly attentive hotel vey clean comfortable . the hotel begin 16th floor rise upto around 50 floor . floor 30 command high rate , due view , basically inside . 42nd floor king size bed , fantastic view ton room within room . for 4.5 * hotel get expect , nice coffee , moisturiser , dress gown , load towel excellent room service . bathroom quite small , enough room two people time , although sadly enough room two bath together ; - ) 42 '' plamsa screen excellent . great choice film , music show interactive , 4.5 * hotel , usual 4.5 * price . I tell hotel propose second night ( say yes , btw ! ) put punnet strawberry champagne room evening get back - lovely touch . anyone stay hotel nice time . manage expectation arrive . one / two waord warn : Room Service - price food deliver room extortionate ! ! ! £ 14.00 two coke plate chip . order room service unless rich ! Shower - ' ve stay NY 4 time shower always crap large hotel . exception . bath course fine allow time run , water pressur ein general crap NY.Extra Taxes - check hotel charge taxis hotel include . ammount around $ 20 / £ 10 per night , nothing ridiculous warn . overal staff friendly , doorman good , hotel clean Starbucks day turn bar evening . everything hotel expensive , buy expect Crown Plaza . the pool 15th floor 14meters long , be divide 5 lane , stay lane , allow 2 people one time lane . stayin hotel throw ( literally ) user member pool . little embaressing , pool mmeber know hotel guest come first.b advice give stay not say first trip NY . ' l time walk . ' ve afew time , know city want good time without come back buggered great hotel stay ! last point - check travel web site call hotel directly , price really vary ! ! ! 
 Feb 18 2007 	 heart time sq 	 stay hotel twice -The location great right heart Times Sq easy use base . quite corporate would expect not feel place NYC busy / fast pace - view night amazing seeing Times Sq light up . would hesitate use hotel . Love NYC 
 Feb 16 2007 	 Excellent Location 	 Excellent location right heart New York . clean room . speedy check . plenty space New York shopping . friendly helpful concierge . get chance sample restaurant many place eat New York . view indoor pool room . 
 Feb 12 2007 	 Fantastic hotel great service 	 stay four night birthday surprise girlfriend . check fantastic ( Thanks Maureen ) staff unbelievably helpful freindly . book upgrade Club floor level place 43rd floor . window take wall ( corner ) give we view central park , time square . room fantastic , plenty space , large bathroom , huge 50 inch plasma screen tv , big bed ever see entire life . room also warm comfortable , absolutely complaint . on night girlfriend birthday , get ready go , bottle champagne along starwberrie dip chocolate cream , send room happy birthday card compliment Maureen front desk , kind touch , make whole experience complete . the hotel ideally locate everything want , staff could not helpful . would certainly hesitate stay , would recommend hotel anyone . little apprehensive reading review say stay nothing short superb , experience look forward . 
 Feb 7 2007 	 review wrong ! ! ! 	 afraid book Crown Plaza read review . call upgrade room club level request broadway view . arrive 12:30pm go straight room checkin breeze staff friendly . room 4402 . corner room entire room almost window . one side face Hudson river side Time Square . problem view slightly obstruct time square side due brick wall . overall fantastic room . large space need . clean towel large unlike read early review . friend forget toothbrush call front desk less 2 minute someone knock door toothbrush toothpaste . access Club lounge breakfast evening drink snack good . breakfast hot food muffin , ceral bagel . perfect we . would definitly stay ! ! ! close everything nice . would recommend upgrade club level . 
 Jan 30 2007 	 good location bad room 	 stay 21st floor January . reception coffee bar refurbish nicely enter room , not impression stay Crowne Plaza ! room looked maintain since 80th carpet big stain . heating system get switch night time , room freeze cold . amenity : shower gel bathroom slipper bathrobe . positive thing room comfortable mattress . lady - supervisor breakfast unfriendly interfere impolitley approach waiter serve we previous day . good hotel : Bell associate friendly helpful , special thank Eric good service ! breakfast serve fresh orange juice much like . straight Time Square 2 min walk away subway station . all worth pay call rate $ 269 + tax find well experience less money . recommendation : Check & quot ; Time & quot ; next door . 
 Jan 19 2007 	 really bad service .... 	 hotel great location room good size . big fan Crown Plaza chane europe however , staff hotel make one bad hotel ever stay . reception rude unhelpful , waiter unatentive . make security staff porter really good . however final straw maid . hotel ever stay phone room 9.30 morning ask leave could clean room , even day check out . ! ! ! 
