check 	 not actually stay night clift ' ve many business meeting Red Room . service always excellent & amp ; love decor ! 
 Nov 22 2005 	 expensive Phone Calls 	 room cute , love Asia de Cuba service terrible . rude short customer , not person say . , come meeting , make couple phone call within California , end cost $ 12 every 3 minute . make 6 quick phone call cost $ 180 ! appal , ' m even sure company pay silly expense . place definitely business - friendly . 
 Nov 6 2005 	 Clift Young People 	 might interesting hotel 35 year old . modern minimalist style dark lighting lobby hall way lot young people gethere Asia de Cuba restaurant bar . place night laud . room clean spend money furniture . stay Junior suite impress . bathroom small plain . think mistake choose hotel . 
 Oct 31 2005 	 Great Hotel 	 3rd Hotel Morgans Group ( formerly Ian Shrager ) ' ve stay . ' ve stay Mondrian LA Hudson New York . ' m also really familar St Martin 's Lane Sanderson London - kind knew expect . I pleasantly surpise - hotel , although still funky - lot cosier hotels Group . Lobby , Bar Restaurant ( Asia de Cuba ) relatively small panel dark California Redwood large open fireplace reception . overall effect less intimitading design hotel ' ve stay in . the room decent size closet , smallish tv , dvd player cd player . bathroom small comfortable . room decorate cream pale lilac accent tangerine . the bar crowd expect one place hang - out San Francisco . something appreciate free well equip Gym Business Center . really great able use internet without pay extortianate hotel fee . if be worried noise ask one internal room . be worried ' pretentious ' not stay cool boutique hotel choose one numerous chain hotel San Francisco . 
 Oct 18 2005 	 great designer hotel * * * * 	 love hotel . 's great city designer hotel . love good surprise hotel good one .... lobby cosy fireplace , next stepp elevator : green , violet red mirror ... everything special bright . room friendly even though bathroom small 's still comfy . ikea furniture user write , be Philippe starck ! ! ! bar ( make redwood ) seem place San Francisco crowd , be great . not dinner Asia de Cuba restaurant , look perfect . look detail hotel love . everything special . staff friendly look good ! ! 's kind staff service will classic 4 - 5 star hotel like ritz , new generation hotel . oh yes room rate expensive ! ! get . bad old furnish hotel california tour cost lot ! right next door Grand Café ( restaurant / brasserie ) serve excellent seafood wine .... end review : like design , fashion , perfect location ... hotel ... 
 Oct 1 2005 	 overall nice hotel 	 ok , mixed feeling clift ... first be well mark street vistor SFO , try navigate street fly right past ... walk cool lobby dark wood bar area , either say wow cool oh , ... love ambiance clift .... bed great , room nice / spacious ( room ) , gym small , front desk forgetful doorman well ... nice look ! anyway , go SFO early , spend weekend conference 17 mile drive Napa day trip . day trip arrive late hotel , 9 pm . mind call hotel let know hold non smoking king room ... check late . course get hotel first night , give key double bed , smoking room . upset jet lag tired , promise change room tomorrow , go bed . viste Napa leave early next morning call inquire move tell pack would move ... get night stop desk pick new room key . well know happen ... get Napa , meet blank stare front desk move . 10 min decision make upgrade suite ... hey suited fine ... really decision could make 2 mistake . location Great , drink great , atmosphere cool little snobby smile smile . want stay happen , sophisticated place Clift . one last thing , breakfast Max 's 1 block . great food ! 
 Sep 29 2005 	 get Kidding ! ! ! 	 know trouble discover hotel signage identify ( pretentious , cool ) . room decent size ( deluxe ) although bathroom joke ( never see small one hotel ) ikea plexiglass orange furniture , small tv , lack drawer hard bed do not help . weekend prepare even noise ( allot traffic noise even 8th fl . ) usual . the $ 51.65 parking ( charge tax parking ) insult enough take 1/2 hr get car Sunday morning . the lobby , bar restaraunt unique do not come close make worth it . if young ( 30 ) painfully hip may place otherwise go elsewhere . 
 Sep 26 2005 	 great room service 	 boyfriend spend week clift could fault single thing . staff friendly helpful , room service good hardly bother go eat bed huge one comfortable ever sleep . room overlook street problem noise . always like try different hotel return san francisco would hesitate stay clift . 
 Sep 19 2005 	 stay clift ? not think 	 stay night disastrous time road Adagio . greet receptionist not really interested . stay 4th floor Guiness Book Records small bathroom get room nice enough . go bed night bad night sleep . noise unbelivable ! guest security knock door . seem soon drift prompt ' Room Service ' start . think becuase Saturday night go one unfortunately appear way thing throughout stay . in addition redwood bar require reservation would like sit . not one pay guest offer sit outside bar reception area draft front door company . come ! 
 Sep 13 2005 	 wonderful get deal use helpful hint 	 pleased experience Clift , although glad read website get . room pleasant clean . bed linen comfortable . staff extremely pleasant helpful . firstly , husband arrive hotel 9:30 morning , let we check early ( add fee ) . bellman chat we entire way cool place go see town . want direction drive Muir Woods , already print find we quickly . people dissatisfied visit , think know get . hip , trendy spot cater people fancy hip trendy . family orient place spend afternoon kid hang pool . that say , picetag hotel slightly excessive ... get deal orbitz room end cost $ 150 / night 3 night stay ( fri mon ) , would annoy pay full price stay . also , bahroom small , husband pretty thin short , not bother we all . some helpful tips:1 . ask interior courtyard room . , happy oblige we one 4th floor ... hear traffic noise.2 . not park help ... overprice ! rode BART town walk block hotel , rent car day need Enterprise Nikko Hotel ( 3 short block away ) $ 25 / day return day not need pay parking . alternatively , lot 1/2 block street Taylor will park car $ 18 overnight.3 . hotel restaurant also overprice ... skip try Scala 's Bistro Sir Francis Drake hotel Powell . meal Scala 's excellent quality . portion size perfect ( huge room dessert ) . 4 . Place Disturb tag doorknob want sleep . clean crew serious business come around 8 am check room , 9 am see go could clean room.5 . $ 10 ethernet connection ? ! ? ? ! ? ! ? walk union square use free wi - fi sit outside enjoy park . 
 Sep 9 2005 	 love experience 	 definitely stay hotel next time . bit pricy worth .. staff helpful kind . beautiful room . nice location .. make sure breakfast Taylor street coffee shop block taylor street . 
 Sep 6 2005 	 4 star 	 get back 4 night stay Clift one bedroom suite . quite problem hotel . start condition room , stain furniture , stain floor , paint chip doorways wall ( room look beat . ) whole hotel beat , need lot repairr , everywhere look stain . paint miss dent , something wrong everywhere . room large furniture extremely uncomfortable . bathroom tiny thing ' ve ever see hotel . 1/2 size powder bath home . read one person review state clift comfortable bed ever sleep , influence decision stay , let tell , bed hard ! ! ! ! ! bed ' ve ever sleep life , one night sleep floor bad . husband get one good night sleep . back hurt several day awful bed . tell receptionist upon check horrible bed say get complain lot ! ! ! ! luckily , stay long room decor horrible , much orange plexiglass ( coffee table , dining table , nightstand , & amp ; part furniture paint orange . ) also Concierge ( ) unhelpful people ever . travel 2 small child ask amusement park would better young kid ( Paramount Great Adventure . ) say defitantely great adventure . call park tell we closed day . way something else , tell husband know park open b / c research leave call yes , park open , go couple ride kid . 2 day later decide take Paramount , wow park incredible aged kid , could go almost every ride , park concierge recommend . also , Clift claim kid friendly hotel , child 's menu , get popcorn toy first night arrival ( promise ) stroller situation joke . claim rent stroller . well , try rent one idea talk , finally someone housekeeping call we say 1 , not know , try find . 1 1/2 hour later call tell we find flat . eventually fix tell need 2 stroller say 1 stroller rent . also , concierge ( ) 3 place recommend dinner kid , every night could get we place reommende ! disappointed hotel , upkept well furniture worst ! ! ! would never stay clift . 
 Sep 1 2005 	 Poor Service small dimly light room 	 definitely worth money . hotel far luxury class . bathroom poorly design relation bedroom tiny . room make inbetween night . overall , find room uncomfortable . 
 Aug 29 2005 	 somewhat dissapointe 	 price , say place average . dimly light entrance way , bar restaurant area set relaxed , sexy atmpsphere perhaps vibe carry actual floor hotel would work well elevator open floor eye surprise see lilac hallway white trim ( remind dollhouse ) - never think have one care thing much not go color ugly . also , noise travel throught room . room look identical person post pic - small price bed not comfy . say though , think staff nice overly accomodating . also good area - accessible everything . probably will not go back expensive would def stop drink Redwood Bar - cool hotel ( downstairs ) . 
 Aug 24 2005 	 like other say ... 	 .... clift ok , good value money room bathroom small ! ! incredible girlfriend book room we Clift couple week ago night city . spend weekend Hotel Vitale across town month ago high expectation room price range . other mention name hotel , ( thank make take extra spin around block friday afternoon traffic Clift ) need really look , little room curb park overprice valet ! ( later ) check smooth , friendly staff , quick luggage door . room nice , furnishing kinda cheapy , tv lamp etc . bed nice , sheet nice , good part room . Bathroom ok , small nicely do guess , slow drain tub , awesome water pressure .... never see anything powerful ! ! go Redwood Room dinner elsewhere , Pale Ale mix drink $ 22 ..... yeah speacialty drink good ..... come .... bar staff ok , could attentive ! give we late check 2 pm , nice , service overall good . long wait get car back Valet , $ 45 park car overnight plus another $ 7 tax much . clift ok , good value money , probably go back . 
 Aug 10 2005 	 Great Hotel - Classy People 	 room immaculate . Crisp , white bed linen . the staff make hotel ! ! ! always well present ( extremely attractive ) , polite helpful . will back soonbtw - crowd bar classy , prepared meet interesting people 
 Jul 29 2005 	 Nice Hotel Expensive Parking 	 Clift Hotel conveniently locate Union Square , Trolley Stops , etc . room bit small , still comfortable . decor hotel amazing . service great , concierge helpful . side , choose valet park find much cost . suprise find $ 45 plus 14 % city tax . parking garage right around corner $ 18 $ 20 plus 25 % city tax . downside garage in / out privilege , clift . overall , hotel great experience - would return ! 
 Jul 18 2005 	 nice hotel excellent location 	 first let start thank previous reviewer note hotel completely umarked street , have not say would drive around ever look . actual review . sf usually stay hilton near cliff get excellent deal clift decide give try . clift nice hotel , location excellent , close union square market st . room decent sized bright furnish & quot ; ikea - esque & quot ; way . staff curteous friendly . , nice hotel , do not think would pay full price get good deal , mean go . 
 Jul 12 2005 	 Excellent Hotel ! 	 great stay ! love white linen - clean . great look friendly staff - back ! ! ! phillipe , thank recommend Townhall . great picture us & quot ; chair & quot ; . 
 Jun 2 2005 	 worth $ $ $ 	 first trip San Francisco . needless say not stay hotels area town , not know Clift compare . trouble locate hotel , though little vigilant read other ' trouble find . check breeze . front desk busy time staff courteous helpful . room fairly small redecorate , furnishing look rather cheap . bathroom ultra - small , look like vanity , mirror , tile , possibly shower / tub new . toilet look like something public restroom . bed one comfortable one ' ve sleep . gym surprisingly adequate , consist 4 treadmill , 2 stationary bike , 2 stepper , full set dumbbell ( 5 - 110 lbs ) , flat bench , incline bench , cybex multi - station . overall , not super - disappointed , feel money pay quality room ' ve much well . next visit , ' m go explore option . 
 Jun 1 2005 	 absolutely perfect ! 	 booking room , go onto travel advisor , little worried Clift . experience Memorial weekend . upon enter hotel , fiance warmly greet doorman , front desk staff . room book Expedia , Huge ! ! room immaculately clean gorgeously appoint . frette sheet robe , comfortable bed ever sleep hotel , travel living . sink area huge enough toiletry , well ample shelf space . shower like stand waterfall . could not believe much water come ! inbath supply nice . read lot noise , could hear pin drop every second room , Memorial Weekend . tv little small , CARES ... see San Francisco . never eat hotel cocktail Redwood Room , something else . sure drink expensive , great , bartender really friendly . honestly not know complaint . clift fantastic . can not wait return , HIGHLY reccomend . 
 Jun 1 2005 	 Disappointing . worth . cute anymore . 	 good thing clift comfortable bed . room small , decor plain . crowd long cute . forget front desk . simply worth price . clift . 
 may 23 2005 	 not stay unless get really good rate room 	 decor lobby bar hotel interesting modern , location ideal . also , able check couple hour early , much appreciated . everything else pretty much thumb . first , hotel sign identify mark , require much circle around aimlessly . room tiny difficult maneuver around , lead many bruise leg bed frame . bathroom , other note , -- -- -- . television tiny somewhat pathetic ( realize San Francisco could watch tv , still ) . parking ridiculously expensive fairly inconvenient . even voucher significant discount daily rate , course honor initially , require already unreasonably long check - out time involve uncomfortable haggle whether would actually honor ( leave feeling like somewhat cheapskate , come -- $ 46.50 / night ( $ 40 parking $ 6.50 & quot ; parking tax & quot ; ) ? ! scandalous ) . waitress lobby lounge horribly rude pretty much go way ignore we , bring completely undrinkable cocktail choice return ( something ' ve never ever do ) , course overcharge we end miserable ordeal , require & quot ; negotiate & quot ; bill pay order receive ( opposed thing order never actually get ) . , okay experience , certainly live expectation purportedly nice hotel . weather beautiful vacation otherwise enjoyable , might annoy experience Clift . 
 May 16 2005 	 look brain 	 ' ve stay Clift twice , time experience mix . hotel look great -- clean cool line , high ceiling , big window , comfortable bed . standard room pretty small . stay corner room suit three night -- -the room glamour , fill light , good view . service however , poor , spotty , mostly indifferent . staff front desk seem overburdened phone call , handle guest -- always find harry , rush -- warm . five hundred dollar night ( one bedroom suit ) -- expect kind service . ( Ritz - Carlton , even though cover chintz , great service ) absense good service , would least appreciate staff warm , could exhibit modicum charm beautiful hotel . I would say good way describe hotel would , like beautiful girl party , nothing say . 
 Apr 23 2005 	 Poor Delivery ! 	 overprice , Attitude ? ? ? go accross street Monaco back & quot ; W & quot ; clift wrong . 
 Apr 6 2005 	 hate 	 snobby staff , small room ( even get suite ) , high room tax , expensive parking , people room next we smoking pot night & quot ; gym & quot ; consist approximately three treadmill , three stairmaster one weight machine . good thing hotel checking . 
 Mar 31 2005 	 come Ian ! ! ! 	 ' ve spend night Delano Mondrian Clift ' even come close experience ... amount money spend , place absolutely horrible ... room like walk grandmother room staff even noticeable time walk door time check ... disappointing ... Ian ashamed ... 
 Mar 21 2005 	 comfortable bed great scene 	 check Hotel Adagio across street not A / c ( barely slept night ) , Clift Hotel turn wise choice . walk 9:30am Saturday ask desk availibility . room ready . great suprise ! . get upgrade King room fair rate . bed comfortable room big expect two closet . bathroom tight , expect . bar scene good town staff helpful . would definetly stay Clift . 
 Mar 14 2005 	 great decor 	 husband stay night room nice . bed comfortable sleep good night . dinner & quot ; Asia de Cuba & quot ; food great . food cold taste good & quot ; Asia de Cuba & quot ; . 
 Mar 11 2005 	 hotel nice 5 star snuff 	 everyone Clift great decore nice . bathroom small , though , not much place put thing . need fine tune .... 
 Feb 7 2005 	 Loved ! ! 	 wonderful experience around . clift fun exciting hotel ! husband , baby girl , stay four night January 2005 . staff wonderful extremely helpful baby need ! ! ! ! frown upon take baby restaurant busy night , graciously WELCOMED ! WONDERFUL WONDERFUL . cuisine delicious , room luxurious little small expect San francisco . 
 Jan 21 2005 	 Excellent 	 's scene , not expect stay one Ian 's hotel ? service excellent location conveniently middle everything . decor beautiful yet edgy . overall , pleasurable experience . 
 Jan 15 2005 	 hip decor okay staff 	 Locating clift particularly perilous night one - way street distinguish marker purple window ( luckily , remember website photo ) . hip decor interesting ( antler furniture , oversized chair , animal skin , etc . ) , though one might afraid sit furniture would elicit critical look staff . check somewhat cumbersome due computer glitch , otherwise fine . room decent size overlook street noise carry well . pity since stay hotel employee picket outside several hotel area begin 6 a.m. 6 p.m. ( check see still labor dispute hotel ) . furniture come light color ( white , cream , lilac , melon ) not entirely functional , like orange plastic bedside & quot ; table & quot ; would useful stepping stool . however , appreciate hotel design room tastefully do clean line , smooth texture , solid color . particularly beautiful morning sun full force . beware , though , bathroom indeed small less functional . large mirror blanket one wall teeny wastebasket underneath table beneath sink . feel untidy drawer contain toiletry , , result , keep roll everywhere . mini - bar well - stock useful item come hefty price ( hotel ) . wall thin could hear neighbor watch tv night . fitness center much small expect , clean well - equip . concierge helpful locate great restaurant last minute . hotel really locate center downtown San Francisco , make easy walk Union Square , MOMA , attraction . ' m Los Angeles ' ve eat Asia de Cuba Mondrian ( beautiful restaurant way ) , not interested dine Asia de Cuba Clift . spot glass Redwood Room , reserve table well advance since stand tight space not much fun . room beautiful , although LCD display little eery . return late night weekend , someone probably ask see guest card admit door . actually think 's good idea security reason . overall , staff friendly , although bit aloof certain instance . hotel clean nothing date , well bad . see people age lounge public space . would stay party occassion , not consider particularly romantic hotel . 
 Jan 9 2005 	 trendy comfortable 	 hey , 's Ian Schraeger hotel . be go lot cool oversized furniture , moody lighting , attractive staff town . bugs hotel . rest , bed bed great . bathroom nicely update . staff extremely helpful courteous . room service , restraunt , bar fabulous . million pay per view movie room tv internet service . think great place stay work pleasure . especially get good rate . 
 Jan 5 2005 	 traditional hotel experience 	 hotel & quot ; experience . & quot ; stay hotel wedding party pay around $ 190 / night . think rate fair high class hotel comparable other SF area . stay standard room bride & amp ; groom high - end suite get experience . decor room minimal modern . white sheet duvet splash color use pillow throw , mirror , plexi - galss . bathroom small , well appoint clean . like stay , definitely snooty . sign hotel , ask , doormen harp & quot ; exclusivity & quot ; hotel . even though request table reservation bar wedding party , one arrive finally get one , ask move 30 minute . drink ridiculously price . overall , enjoy stay depsite snootiness , might try reasonably price hotel next time . 
 Jan 4 2005 	 hip trendy comfortable clean center everything ! 	 stay clift twice time pleasurable experience . think hotel great place adult - centrally locate , friendly staff , happen lobby / bar / restaurant scene . room small comfortable clean . stay many Ian S. hotel one favorite . dowdy like many & quot ; nice & quot ; San Franscisco hotel . 
 Jan 3 2005 	 Superb except Asia 	 arrive part Honeymoon world tour Christmas\04 . clift definitely compare well 5 star hotel stay . tell would either love hate think quite fair statement . love reason would not give 5 star ASIA DA CUBA restaurant . food nice little pricey get staff shock rude ! think guy serve we remember 's restaurant work customer unsure 's Menu piece cutlery use courteous rude . hotel room nice bathroom little small . staff ( particularly Lyndsay ) polite helpful . be also great location couple block Union Square . lastly great time redwood room , drink pricey know go ! definitely stay eat restaurant ! 
 Dec 15 2004 	 Clift Hotel 	 Nice Hotel overprice . if query bill make sure get ammende print copy bill leave 
 Dec 10 2004 	 stay 	 tiny room .. bathroom size closet ... ... wife ask sit particular couch , & quot ; could move seating & quot ; ? ? ? ? ? ? ask another couple enjoy glass wine across we ... response & quot ; reservation sit & quot ; ! ! ! ! ! amazing ! ! ! mention stop enter question room stay , name , etc ..... save money -- stay somewhere nice . if must see , go bar , wait 30 minute get half full martini $ 12 , rudely insult super hip , brand new hairstyle bartender . 
 Nov 11 2004 	 Fabulous 	 read bad review Clift trip apprehensive stay appear , people vocal upset place . 's feel need put two cent . boyfriend stay four night Nov 3 - 7 , 2004 . yes , be true -- iron , dresser , fridge etc . ' ve also stay Hudson 's situation . think great job amount space give . yes , minibar expensive , 5 liquor store within block radius hotel , pharmacy across street . mention Redwood Room downstairs . ( make good martini ) .The room trendy . delicious bed -- -super fluffy pillow cozy comforter . minimalistic furniture , curtain frame four wall , oh god ! mirror , ' m talk floor ceiling , two oppose wall room every morning would wake 10 stare back . could not help put show treat like that . and staff snobby , like read . helpful courteous . ' judgemental , even walk TAKE - out food snack room . People age would hang lobby bar area , San Francisco 's hip superficial . signage hotel . 's way top building . need look . know ' m get technical , need defend CLIFT . people write say 's sign * wah wah wah * occupy look foot see . anyway , great time . service wonderful . Turndown service every night . hotel choice be honeymoon try force romantic moment every second day . 
 Nov 4 2004 	 trendy pour moi 	 stay two night either end honeymoon Hawaii October . clift definitely young trend setter want see stay trendy hotel . entrance difficult locate name indicate clift front . entrance reception modern dark , initially like try check light bit difficult . feel need torch find way around lobby area . staff friendly extremely helpful . the room ultra modern furniture sparse . room small bathroom tiny . sit loo toilet roll top ! ! , disappointed tea / coffee facility room , plus safe not work either . mini bar extremely expensive even charge little sewing kit hotel normally provide . wall thin get noisy neighbour , trouble . second night , room connect room luckily neighbour not stay late breakfast next day could practically hear chew . definitely cup tea young hip person , would probably love ! 
 Oct 22 2004 	 try hard cool 	 glorious Clift another attempt Morgan 's group & quot ; cool . & quot ; outrageously expensive mini - bar room rate , room feature wall 70 percent mirror . ultra - glass - in feature unappeale earthquake - prone San Francisco . staff major attitude iron , iron board coffee pot room . the bed ok furniture uncomfortable uninvite - Feng Shui , forget - mirror & quot ; shars & quot ; everywhere suffer nightmare do . there score well deal 300 dollar night San Francisco dreary replay Morgan 's group jail cell . 
 Oct 3 2004 	 ` ` Old Clift '' much nicer 	 stay Clift three night summer ( July 23 - 26 , 2004 ) . wife often stay old Clift Hotel take renovate Ian Schrager group . old Clift may show age , spacious , elegantly furnish room convenient part town . disappointment see do great hotel ! book Studio Jr. Suite describe & quot ; L & quot ; shape room . quickly discover one former spacious room old Clift remember fondly , chop two room ... create window - less bedroom area cramp sit area . decor make abundant use petroleum base synthetic material ( think plastic drapery , plastic night stand & amp ; table , plastic cover furnitiure ) oppose wall cover floor ceiling tint mirror . mirror tend give room subtle feeling nausea hard bench type furniture uncomfortable . bed good quality must contract lumber company mattresse . wife particularly disappointed bathroom . cramp , barely enough room one person turn around . counter space even tub scale fit small space . old Clift spacious , well appoint , marble bathroom . the lobby public area dim lighting , seem stylish attractive first , become annoying . elevator compartment darken could even see person stand next you . they even ruin famous Redwood Room Bar . warmth intimacy old Redwood Room miss , replace garish lighting hard , uninvite bench type seat . hostess greet we entrace & quot ; oh .. inquire reservation ? & quot ; . acutally , want glass wine go dinner , seeing do ambiance , almost tear . unless attacte dark space synthetic material , would give hotel pass . certainly back . 
 Sep 28 2004 	 cool trendy plain 	 cool place ! ! ! window outside beautiful , inside rockas well ... unfortunately , room suck ! ! ! be big , 's plus bed comfy 's . 's contrast greatly overall style Clift . lobby , restaraunt bar cool trendy room pastel purple wall white furniture . pretty much , plan spend time outside hotel room , place ideal ! ! ! ! 
 Sep 21 2004 	 Hip happeningbut ....... 	 hotel great location , hip trendy hotel bar Spot weekend . , although lot money spend couple year ago remodel , basically ( room wise ) old hotel get paint furnish ikea furnishing . say look bad . maybe high end room much well . coffee maker room . tiny bath . lobby nice restaurant bar . dark inside hotel . could not wait get outside light . great appetizer staff good . would probably stay . great bed . would put 3 - 4 star . 
 Sep 21 2004 	 VVVV BAD 	 go hotel Valantine 's Day weekend . hotel nice cool entrance . busy nice part SFO call Union Sqaure . ahs lto fo good shop place eat . however , hotel , small entrance make look like boutique hotel . really be not , lobby loud club / bar opposite entrance . first book junior suite , do not like . real small like watch little tv . tv Junior Suite 15inch screen . upgrade one bedroom suite , be not much fun either , room big , comfortable , bathroom clean small . move go Palace night , like five star hotel . want suggestion , please do not go ... save money might well stay four Seasons . 
 Sep 15 2004 	 Vacation SF 	 great ! would stay . service good . room lacking . request ironing board & amp ; iron . stay mandarian oriental service exceptional . expect . WAY . 
 Sep 12 2004 	 Clift Hotel : aspire rich cool 	 not quite achieve either goal . genuine class , pamper good hospitality , stay elsewhere . stay Clift Hotel basis enjoy drink Redwood Room previous trip San Francisco . young couple like dress think bar lobby attractively hip . hipper thou turn sadly , residential experience completely underwhelming . although room pretty enough diaphanous cream curtain pale birch furniture , mar stain carpet musty smell . bathroom unbelievably tiny although slim , end bruise thigh bumping door , stupidly open inward already small space . also , surface area toiletry , guess fine travel toothbrush . we irritate fee highspeed internet access absence coffee maker , latter basic necessity could find 1 star motel . annoyance prominent exhibition room number exhorbitantly price item sale . our maid nice friendly concierge fine , rest staff young , unprofessional overly concerned posing fully focus need guest create luxurious atmosphere . although hotel worker human being private life , be remain - private . wait front desk return item housekeeping , not want hear receptionist chat previous night 's partying not get bed 6 morning . price Redwood Room adjoin restaurant terribly inflate although food nice , outstanding simply worth money . husband enjoy good thing neither we like rip Clift Hotel , feel every turn . 3 day move check Monaco next door stay last time exquisite ( see review Tripadvisor ) .there nothing majorly wrong hotel money much well . definitely call Redwood Room pre dinner cocktail admire video installation , stay somewhere else . 
 Sep 3 2004 	 fail meet expectation 	 Clift hotel fail meet expectation major dissappointment . definitely five star hotel . general unwelcome feel one experience upon enter lobby compound arrogant pushy attitude door staff , front desk staff , especially cranky concierge . not pool , 's pungent smell floor , pay use internet . hotel dimly light visitor can not see worn stained carpet . hotel become infested nightclubber night cheezy type act like monkey lobby furniture well keep guest annoyed techno music blast spanish suite right next door . 's hotel bar , Redwood Room . not mind pay fine modern bar experience Clift fail department . bar attractive stylish , blend history old grande hotel modern element silky smooth collage . 's positive end - great design , poor execution . approach hostess stand guest looked escort appropriate location . interestingly , attractive look , prominent location . seat right bar . sharp look bartender stand around chat not notice deep need drink quite time . approach , ask signature cocktail . bartender respond ask usually drink ( Chopin Martini ) , walk away , make drink , present , say , will $ 14 . ask colleague want drink . opt bottle beck . $ 8 . last visit bar . 
 Aug 13 2004 	 Wonderland Jetset 	 Clift web site say hotel & quot ; wonderland jetset . & quot ; be true . stay often add fun business trip . , ' test help decide clift right : stay clift : think ' cool ' " stealth hotel " ( sign name building ) speak least two language ( require truly jetset ) know Prada DKNYYou collect frequent flyer mile 14 different airlinesyou willing look minor problem staff simply good lookingyou willing pay $ 15 drink lounge beautiful room full beautiful people . you expense accout trust fundThe think own minivan make skin crawl stay clift : think ' totally absurd hotel signYou retire librarian look peaceful place sleep read . you fashion - challenge ( know ) collect " Precious Moments " figurinesyou handle bit friendly attitude staff guestsYou find ask , " Philippe Starck ? " budgetyou minivan 
 Jul 30 2004 	 image matter ... 	 first clue lack signage . clift far trendy identify location anything common nameplate visible street . the valet parking staff friendly , though , assume find place car crowd curb front hotel . plan hefty $ 40 per night valet parking . once inside , clever theatricality lobby , dining room bar make effort arrive seem worthwhile . check - in efficient , exactly friendly welcoming . a warning , though . get room pass - through door room adjacent , immediately return front desk ask pay room solid wall . neighbor stay night long play music entertain guest . despite call manager 12:30 PM call 3 , noise continue unabated till 4:30 , leave recourse spend early morning lobby . lobby ? well , night staff inform sorry , could give another room morning manager arrive . three hour later arrive give another room . accord bell staff , ample empty room . apparently due group rate , night staff not & quot ; authorized & quot ; give another room . effect , rule far important comfort inconvience . ... sleep 4 - star hotel first night . the next night four - night stay , friend decide investigate bar . hostess condescend find we table great deal attitude announce might one minute - depend long staying ! decide not nearly important enough enjoy gloomy darkness thumpa - wumpa music bar Clift , cross street discover delightful Cafe Grand equally delightful Hotel Monaco . evidently Kimpton hotel regard guest value friend Schrager property - like ever - so - precious clift - . unless share attitude , course , enjoy trade superior glance staff . I will give Clift ample star design poseur - power . fine hotel ... truly , lot learn hospitality . 
 Jul 21 2004 	 Unique hotel 	 comment previous review spark interest clift : & quot ; would recommend hotel family . weekend similar stay night club . & quot ; reviewer absolutely correct . be plan bring kid San Francisco , may want stay Hampton Inn instead . decor Clift minimalist yet fun creative ... definitely night - clubbish feel . service excellent friendly ; not experience attitude snobbishness mention previous review . sleigh bed comfortable , love luxury linen . corner room surprisingly spacious . hotel location convenient . complaint , bathroom seem somewhat small valet parking seem little pricey . , would definitely stay Clift next time be town ! 
 may 1 2004 	 terrific service great location 	 read not - so - favorable review staff term friendliness concerned prior arrival . concern unfounded . service excellent staff incredibly friendly . 's fun place stay great location - walk distance China Town Union Square shopping 
 Apr 5 2004 	 something fun different ... 	 place not try hard ultra hip cool . fact hotel not even put sign build door tell . say , stay Clift transport hip trendy city lifestyle , exactly want weekend getaway suburbia . room clean , light , tastefully decorate modern style ; comfy sleigh bed superior cotton bedding . ' m pretty picky sheet , tempt buy take home . hotel bedding custom make new set available sale . stay clift pricey . trendy five - star hotel . however , package find good discount people want regular chain - like accomodation adventurous try something different . opt deluxe room clift glad . three large window outside face corner room allow lot light pleasant city sound filter . Clift 's location ideal sweeping view ; acceptable select hotel . nice touch decor room mirror floor ceiling curtain adorn wall . need artwork way , pleasant mix color , fabric , glass , contemporary furniture . decor might select home ? probably , change scenery sure fun evening . room candle match ready go warm indirect lighting helped make contemporary romantic getaway . cd player excellent sound dvd player nice touch . might find tv joke 's 19 & quot ; model , , not shell big buck watch tv . location Clift excellent theatre / shopping crowd get cab difficult . front desk staff doormen friendly helpful . thing keep stay excellent experience breakfast Asia De Cuba restaurant . decor food nice , must understaffed morning decide go , although restaurant even 25 % full . breakfast include special package rate , go dine matter , expect decent , excellent courteous service fine restaurant . could barely get refill ice tea . table next mine get impatient almost downright rude slow service . , would steer clear breakfast , unless be include rate . reviews lunch dinner seem well ... maybe someday will check , many choice city , Asia De Cuba leave bad impression time return eat . people leave review complain noise , smell smoke hallway , dresser room , encounter problem . find closet adequate luggage unpack necessary item reduce wrinkle . noise , CITY , country getaway , anticipate would hear noise point stay , honestly , never disrupt noise way . definitely rate hotel high term nice stay feel good value money . 
 Apr 1 2004 	 wow ! clift come back ! 	 cift 6 month . Saturday night WOW ... service blow away . smile everywhere . every single staff person flash smile endulged need fun conversation . Lets face , always cool place ... hey ... San Francisco NYC Los Angeles . San Francisco ... beautiful people .. want treat . Clift Staff recieve message delivering . bravo ... back ! eat Cuba de Asia . oh gosh ... meal incredible . goddaughter us angel ... not ... would never take kind restaurant . staff go way make we feel like royalty . ( kid place kid kind special ) . waiter Sean , not even know say . know every detail , spice , food texture . money ! know stay away . recommendation right . honest , handsome , professional . want take home . dinner Redwood Room . not , go . expensive , drink fantastic atomosphere .... energize . staff Redwood Room , Bar None ( pun intend ) , good get . something go gang Clift see San Francisco Light . attitude . staff fashionable , smart , quite frankly cool . go way way treat we well , make evening fun ... right manager check make sure great night . staff still beautiful ... make feel . something alive well clift . stop check ... will not sorry . 
