Nov 	 not want check ... 	 perfectly situated , reasonably price comfortable apartment ? ! ? gem . back ! 
 Sep 2 2007 	 remain top hotel money 	 return hotel recently another weekend getaway chicago . 3 year stay say experience remain above - average . whilst style hotel would run towards Peninsula , prefer feeling ofbeing hotel.-room continue well - maintain ; super clean , bed extremely comfortable , ample toiletry . generally stay suite arranged room brother indicate extremely comfortable.-service always great ; polite , friendly helpful staff general rule here.-sofitel bar ; one good hotel bar find chicago ; great vibe , great service , outstanding meeting place . major plus hotel . because objective chicago 2 - night weekend getaway perhaps seek much hotel other site recall anything negative hotel . highly recommend . 
 Aug 25 2007 	 Wonderful 	 ' ve stay many many hotel ( business pleasure ) say Sofitel Chicago probably BEST hotel experience ' ve ever ! go hotel romantic getaway weekend simply love entire experience . OVERALLFirst hotel French ( french style , french decor , french staff ) . boyfriend also French think feel bit like home . staff also curteous , genuine , helpful . roomour room floor ceiling window unbelievable view entire city . decor fantastic - everything look new modern , bed amazing lighting/ ambiance room perfect . foodthe food hotel restaurant great - blow mind away amazing - price quite good . good part bake french bread - 's INCREDIBLE . even send we home fashionable look doggie bag full fresh baked bread . 
 Aug 23 2007 	 great location stylish value money 	 wonderful experience sofitel . great experience sofitel ( find sterile ) . Chicago sofitel perfect location go shopping , room sizaeable , clean stylish . rate hotel ( usd 260 / night ) far cheap nearby Peninsula four season . would definitely recommend - good business center well 
 Aug 21 2007 	 good stay entirely worth $ $ $ 	 Hubby stay past weekend ( Aug 17 - Aug 19 ) service staff , attentive . think , valet car , 6 people greet we and/or open door we . stunning ! check ok , book hotel 6 month ago call stay make sure Sofitel privlege card system . assure . upon check - in , find , . end get ' free drink ' coupon end stay ( could long use . ) also , newspaper outside door . one big plus like stay hotel free newspaper read . can not believe pay 350 per night not even get lousy newspaper . room nice , certainly nowhere close one nice ' ve stay . even equip flat screen television . Hubby comment right away . odd . sit room ' art deco ' ' welcome ' really . would perfect host people drink something , , area comfortable ' hang . ' tv place far away couch face , whole scheme ' sitting room ' not make much sense . location hotel good . be couple block ' top ' Magnificent Mile shopping , far everything walk good health . definitely go next door Tempo Grill breakfast . be fast good ! highlight sofitel excellent concierge . one ( name Jackie ) actually get we extra last minute ticket sell - out Second City show ( ticket need one friend . ) interaction concierge hotel top notch . , be nice hotel . 's well decorate attentive staff . however , little thing like view lake ( room , ) daily newspaper delivery , right Mag . mile , detractor pay pay . not feel like waste $ $ feel could get less ( make sense . ) 
 Aug 19 2007 	 clean beautiful friendly 	 one good hotel ' ve ever stay -- ' m picky . Pro 's : great location one block busy Michighan Ave terrific restaurant outdoor cafe friendly unpretenscious staff incredibly clean brand new sleek decor hip international clientelle always feel safe ( see theft story ) Con 's : little pricey ( pay @ 315.00 / night ) adjoin room great city view much lake view 40.00 / day valet parkingOverall wonderful experience . almost stay drake - but ' m glad not . check become date run . 
 Aug 18 2007 	 Sofitel architecture mixed staff 	 stay one night summer convention . location lake , Michigan Ave , fact many tall building around , even high floor , lake barely visible . three block Rush street / nightlife ok . interior Sofitel chic , kind like W dark , get mean . many rich people lurk lobby bar , feel rich look . one staff french accent , rest , fact one expect & quot ; Sofitel - attentive & quot ; . make other , although laissez - faire trait come tad -- -oh Paris . room decent , huge deluxe many way . door bathroom double wooden door , bath huge opulent . desk could functional , & quot ; glad thought & quot ; sort way . concierege outstanding . overall , like place , Millenium Knoickerbocker stay back horribly old noisy par be . the Peninsula nearby one all - time favorite Chicago . place all - modernity , cleanliness , service , coolness -- -just great place . sofitel still top 25 % . perspective , stay type hotel 10 - 15 time year US . 75 % business , rest family pleasure . 
 Aug 16 2007 	 Excellent 	 junior suite 25th floor , excellent . suite huge , lovely king bed beautifully decorate throughout . fact , entire hotel beautifully decorate thoughtfully design . hotel staff first class , reception prompt polite concierge knowledgeable ever encounter . we not eat restaurant although always busy . many great place eat within short distance hotel . the hotel well situate block great shopping Michigan Avenue also catch trolley tour bus outside Hancock Centre . would certainly recommend hotel other look good quality four - star accommodation . will definitely stay next time visit Chicago . 
 Aug 15 2007 	 Love Sofitel 	 agree positive review . sofitel wonderful hotel . modern , contemporary . love light lobby . Bathroom CLEAN . love robe . one minor complaint housekeeping barge two separate occasion ( nearly naked time ) . Wrote survey receive stay mgmt respond promptly apology . would definitely stay highly recommend . 
 Aug 10 2007 	 Wonderful Hotel ! 	 excellent choice look hotel Chicago . moment check , notice attention detail everything flower foyer service staff . room clean modern bed comfortable not want get . sleep well ! find excellent deal internet able stay price less luxurious hotel . happy choice stay . disappointed hotel . 
 Aug 10 2007 	 never wan na stay anywhere else Chicago 	 outside hotel please eye classy . front desk staff attentive wonderful . get hotel 8:30am Thursday red eye request check early . not room available yet , check not 12 pm check not usually 3 pm , say could give we room 1 pm . also not bat eye advise boyfriend allergic feather say would & quot ; defeather & quot ; room . leave go sightseeing leave bag bellman ( patient organize ! ) woman front desk ask phone number contact we room ready . give we call 11 am leave message let we know room ready key front desk . there robe we room nice . room simple modern , pleasing eye . 10th floor view building ( Hancock tower viewable ) small courtyard / park next hotel . bed pillow wonderfully comfortable bathroom gorgeous , complete marble tile , shower counter . full size hair dryer supply ( connect wall mini kind ! ! ) , separate tub . speaker bathroom hear tv bedroom ! magnify mirror bathroom ( helpful shaving boyfriend ! ) along live bamboo plant bathroom . lounge nice , modern good vibe , currently allow smoker disappointment . STRONG martinis , attentive service go along . great atmosphere . not eat Cafe des Architectes hear 's good . small adorable boutique shop adorable wonderful item available include soap , lotion , jewelry , intimate novelty book . voice displeasure ( smoking lounge ) survey stay promptly receive personalize e - mail hotel manager . love personal service , would not hesitate stay . awesome location close Hancock tower , shop / mall everything look ! ! 
 Aug 7 2007 	 great hotel ! ! ! ! 	 great Hotel stay one night anniversary top choice , bed good service good great location , downfall retrieve car say come 10 minute take 30 . 
 Aug 6 2007 	 good expect still great hotel 	 review confirm , really nice property ideal location . crisp , contemporary feel certainly W Four Seasons , yet upscale typical W. Lots dark color , dark wood , moody lighting , frosted glass , transparent tile lobby floor change color . cool architecture outside be walk toward hotel several block away right angle . shop dining within block hotel incredible . particularly good dinner Le Colonial nice Summer lunch sidewalk patio Tavern Rush . the room not large design clean line , comfortable bed , pretty marble bathroom separate tub shower . hide speaker bathroom pipe tv audio fantastic touch . nice view 26th floor , although right next elevator hotel seem pretty full , never hear noise hall . housekeep excellent job . I want give Soiftel 5 , big service blunder , can not justify anything 4 . service generally friendly efficient stay , rough start . check 10:30am , know room would not ready , bellman check 3 bag ( also tip front ) give desk clerk 3 baggage claim tag ask bag send room ready . know would return around 6 pm not much time dinner change head back . upon return 2 3 bag make room . 3 call 30 minute wait bring , get response . could not wait long have late dinner , go lobby find one even attempt find bag . nobody front desk ( bell desk call seem route ) take ownership issue bellman not seem aware need bag -- - sit bell closet whole time . would not care much forget send one bag deliver right away call , not happen . disappoint handle one really seem care . issue , enjoy Sofitel think $ 275 summer weekend rate pretty fair . top hotels town ( Peninsula , Four Seasons , Park Hyatt , Ritz - Carlton ) not double Sofitel 's rate next time ' m Chicago , will probably try one instead . $ 450 - 600 per night trip , could not justify difference . 
 Aug 2 2007 	 wonderful ! 	 stay two night Sofitel . absolutely wonderful hotel . great location . short walk Mag Mile heart Rush Street . every staff person talk extremely kind go beyond every way . room modern . room overly big , bathroom large separate tub shower . eat french restaurant lobby . food good . beef fish prepare season perfectly . couple wine flight tasty . lobby bar also lively , although allow smoking , atmosphere overall nice . 
 Aug 1 2007 	 Outstanding Location Staff 	 Booked hotel read review site pleased choice . join Sofitel Privilege scheme suggest elsewhere site allocate high level room hotel good view . room clean well furnish . bathroom - separate shower bath luxurious good selection toiletry . staff could enough always available assist planning trip , give advice transport system point place eat . try hotel food plenty place eat nearby -good spot include Bistro 110 round corner lively eaterie Rush street . Einstein Brothers breakfast Deli adjacent hotel always easy get food require . Hotel 's location Magnificent mile make superb place stay location Rush Street give access night life . ideal shopping trip sightseeing . free trolley service water tower serve major attraction - possible walk far Navy Pier , Millenium Park loop Hotel . would certainly stay Chicago . Contray comment site - security around hotel excellent room contain free digital safe deadlook inside door . a wonderful experience ! 
 Jul 30 2007 	 wonderful urban hotel 	 stay Sofitel freezing , blustery , cold week - end February . large stylish room become refuge Arctic condition outside . room design elegant , understated modernity like Sofitels around world , create fine fabric linen . bathroom large utterly comfortable . service hotel could well absolutely love breakfast hotel restaurant . work well equip gym allow partake Chicago 's fine cuisine . hotel locate fine neighborhood block bar Rush Street shopping Michigan Avenue . hotel city accommodation try emulate . well , price range , Chicago . 
 Jul 28 2007 	 great hotel 	 really enjoy two night stay Sofitel . our high - floor room stylish well furnish decent view city . location great magnificent mile shopping , dining , Hancock Centre Museum Contemporary Art . 's less convenient business district not really problem we . the bar excellent ( would even well would stop play insipid techno music background - not sophisticated , not french hardly anybody Europe listen stop , ok ? ) .We not opportunity eat hotel much choice surround area include great McCormick & amp ; Schmick be across street . the staff valet attendant well - present , friendly attentive , proving & quot ; cool & quot ; & quot ; welcoming & quot ; time . aside bit confusion check - in ( might fault , Accor website ask first name surname reverse usual order ) near - perfect stay . it come price 's worth ! 
 Jul 26 2007 	 High Five 	 staff Hotel excellent . every employee Reservationist check efficient professional . 
 Jul 25 2007 	 Fantastic Hotel 	 adore everything hotel : decor , service , room , bed , view , elevator , everything . hotel restaurant & quot ; Cafe des Architectes & quot ; well worth money ( especially breakfast ) . love comfortable modern chic extremely friendly people , hotel . highly recommend stay . 
 Jul 24 2007 	 Fabulous Hotel excellent location great weekend ! 	 return weekend Chicago fabulous ! arrive Midway & amp ; take train hotel ( one super easy transfer elevator luggage get Chicago walk block hotel ) , matter fact pretty much exclusively use public transportation weekend except one night dinner . the weather weekend beat , course help overall experience … we check ease . got really sweat deal Sofitel website include breakfast two $ 275 / nite cost & amp ; well worth ! . surprised book top floor , 32nd . fabulous view , request . room immaculate , bathroom top marble oversized shower . importantly bed comfortable , well ever sleep price , feather top make nice . complaint would pillow , hotel level . honestly thing find complain about . this international hotel guest world , make fun interesting . lobby public space modern comfortable . bar hop every night , much lounge setting . use wireless computer use T - mobile $ 10 day , include room fee ( also hard wire connection ) . highlight start day breakfast ( additional charge ! ) everyday . one insane buffet , order menu literally whatever want . order egg , pancake french toast ? yup , take check end . indoor outdoor seat well . oddly enough , get message phone one afternoon breakfast compe wait bit morning get order take sorry . act hotel take business seriously . issue check tip leave breakfast wipe along food cost , add money back bill apparently pool tip . service hotel quite attentive , restaurant doorman , one exception … .We find one good way see almost city bicycle , Chicago exception . cover much ground one day insane , exhausted end day ' sit dinner . bed hotel incident come back hotel one point grab something one valet come garage car almost take boyfriend bike , close drop bike front car get way , guy look pull like bad hell . one hurt sure valet understand happen English rather limited . issue , lot people come & amp ; go area , entrance fairly tight , careful general . so , bike tour … first ' say enough Chicago Greeter program ! service city offer hook someone live Chicago give personalize tour free ! well show town local ? ! pick variety tour request , . ask bike tour neighborhood . certainly get bike touring company ( do ) nothing beat personal service touch program . aside free , service free bike rental free , insane ! get bike company everyone else rent fee waive greeter program . know ! take train park walk rest way . Marshall wait we get way . interesting note Chicago Greeter program – like book least 2 week advance need custom program request ( big deal ) " greeter demand " ( something like ) weekend , go get someone available . think like 200 volunteer program , many retiree , really fun way learn city oppose can script . we tour around 2 + hour see much Chicago see . , bike see Grant Millennium Parks fraction time walk , stop along way like . also , fabulous Chicago Mayor Daley serious commitment biking transportation . bike lanes street , rack bus , bike route map city streets bike directional sign street – make big difference . really feel comfortable even ' know city make way around without intimidate . from rent bike another 4 hour ( pay ) ride place . trek Wicker Park Bucktown , definitely get " neighborhood " feel . walk mass eclectic shop & amp ; bite head back Lincoln Park ( lot nice shopping ) – nice area . park shore return bike . awesome fun ! much would never see foot alone . for highlight weekend go one expensive restaurant life , Spiaggia , food & amp ; service pretty darn excellent . course , love , get try many flavor without full ' breath end evening . waiter even suggest great wine $ 100 , small task bottle go high $ 800 + . great way kick weekend first night . around corner hotel Rush St Downtown Dog , take hotdog place bomb , always hit go Chicago . one night dinner Rush Street Carmines ( thin ) really late eat find place easy , food great , well . one night head south Loop Chicago Firehouse search steak . place nice , old firehouse restore , cool space & amp ; also outdoor seating . food good , top fabulous , change scenery nice , apparently Mayor Daley move emerge part town hang lot . waiter Noel excellent , since open , service around quite good . closed game Wrigley field ! great fan mini - stadium seat top house surround ball park something see person ! 
 Jul 22 2007 	 modern clean fun 	 be go to stay downtown Chicago , be likely go pay $ 200 / night . might well stay one nice hotel pay little . 's Sofitel . it be modern look throughout . room clean simple . surprised not flat panel tv round - out modern look . bed extremely comfortable - great linen , mattress pillow . bathroom nice well sized . I really like design lobby . floor great rotate color light come translucent tile - really cool . great modern look flower arrangement nice bar . wireless internet free . got to pay T - Mobile wireless access . it be well get room face north east . will see photo room face southwest not much look - decent , great . 
 Jul 20 2007 	 hotel breathtaking 	 husband 's birthday , happy room .. oh love bathroom . 
 Jul 19 2007 	 Good Hotel Service Location 	 stay hotel four night July 2007 . room excellent . clean , quite comfortable . the marble bath room great . hotel look new luxury . the staff always helpfull nice . sofitel close major attraction north michigan avenue . order breakfast room enjoyde much . highly recomend hotel . I think good hotel Chicago . 
 Jul 17 2007 	 time favorite hotel 	 everything perfect sleek modern hotel . staff could helpful , bed ultra comfortable , location ideal , restaurant standout . room , , great tremendous bathroom . nice hotel make vacation much fun , ultra nice . 
 Jul 16 2007 	 Amazing Sofitel Water Tower 	 AMAZING ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! close perfection . staff good world . Beautifull suite ( upgrading , thanks ) superb view . fantastic restaurant . great bar . simply perfect . thank again . DelafinoAntwerp Belgium 
 Jul 15 2007 	 Loved decor 	 spend 10th wedding anniv . beautiful . loved modern decor . cocktail Le Bar dinner reservation Luci brazilian bartender delightful . lobby light scented candle evening room real orchid find nice touch . everything within walking distance . room extrremely clean nice view 23rd floor . would definitely stay highly recommend Sofitel . 
 Jul 15 2007 	 Fantastic hotel - highly recommend . 	 one nice hotel stay Christmas . spend 4 night christmas last year everything excellent ! would highly recommend ... 
 Jul 12 2007 	 Awesome . 	 great bed , clean room , amazing bathroom , nifty view , wonderful service , expensive parking ( $ 40 , 's Chicago ) , speedy . european sensibility amenity , air conditioning ! 
 Jul 5 2007 	 Excellent Hotel 	 boyfriend stay Sofitel end June please hotel . would recommend get Priviledge Card , since upgrade room . book standard King room low level hotel put we 21st floor great view . staff member courteous definitely want make stay comfortable possible . complaint not tell we pay parking front desk leave pay Valet guy charge credit card parking well . reverse charge credit card immediately though , without hassle . , excellent hotel stay ! 
 Jul 5 2007 	 great hotel excellent location 	 choose Sofitel basis previous experience city report site . disappoint . the location excellent , short walk main attraction , yet situate small square restricted traffic . warmly welcome , pleased room impress decor lobby public area . we choose eat breakfast nearby Tempo cafe , enjoy delicious waffle ( & quot ; Morning Glory & quot ; ) good service , can not comment Sofitel dining experience . our room almost identical Sofitel New York bed heavenly ! think well equip mantaine , disappoint broken window blind break immediately request repair - view we ( though could nagged another repair , not ) last night stay , hotel experience power outage . experience , situation reveal good deal ethos hotel quality staff . way unprecedented occurrence handle excellent , staff hand reassure , offer assistance , candle light stick possible . since room 27th floor , pleased elevator remain operation public area light emergency power . air calm , assure service general good natured attitude say . well run hotel take business seriously . we would return , indeed would look forward another visit .. 
 Jun 19 2007 	 great hotel wonderful location 	 recently return four night stay Chicago stay two different type hotel , Flemish House two night Sofitel two night , excellent totally different way . thoroughly enjoy stay Sofitel book base review website , disappointed . little nervous initially read couple adverse comment regard security room , however never issue . 26th floor glimpse lake pleasant , room spacious , wonderful large bed , comfortable superb bathroom separate walk shower . location excellent , within five minute walk Bloomindales , Macys , load restaurant bar . beach also within easy walk distance . use fitness room hotel small adequate . small business centre 2nd floor provide free internet access , great keeping touch online check . good tip read Tripadvisor become Sofitel Loyalty Customer , get free drink house could anything fancy , wife champagne cocktail $ 14 ! also one two little extra like late check . eat rthe restaurant wonderful little deli 50 yard away call Guess , think , next door Cru , excellent . would certainly recommend hotel would stay go back Chicago . 
 Jun 17 2007 	 Excellent Downtown Location Beautiful Hotel 	 Sofitel minute Hancock building , Michigan Ave , shopping , restaurant , bus , train trolley . within short walk , go Water Tower visitor center get info , brochure , & amp ; map need trip . buy go Chicago card discount museum attraction . the high - rise hotel beautiful , tad expensive . coffee restaurant five buck . go downstairs next door cafe dozen cheap place meal . also grocery store south . coffee maker room , instead min - bar soda , etc . soda snack machine , stock gift shop . negative . the room bath large bed great . be clean bright . stay week love location never eat restaurant limit menu cost . true downstair bar . many pilot stewardessess stay 's obviously & quot ; & quot ; place be . we would stay would recommend age . check picture room view , amazing ! 
 Jun 10 2007 	 great 50th birthday ! ! 	 go Chicago surprise 50th celebration ! spend fair amount time research want stay . book 4 night Sofitel could not please . concierge help we several request arrive ( set limo , even e - mail sign driver hold ! ... birthday basket make ! ) front desk personnel upgrade room one top floor beautiful view even run switch basket , would ready surprise ! room comfortable bed ... ah ... heaven ! can not say enough nice thing ... location great ... close enough everything , yet quiet ! would recommend hotel anyone can not wait go back ! Restaurant Tips ... great food , try Cafe 28 , Keefers , Red Light . Fultons River , Ditkas ( right street ! ) . 
 Jun 4 2007 	 Fantastic Hotel 	 wow . fantastic hotel , excellent facility . stay back April en route wedding Cleveland . room huge , book suite actually size 3 room . comfortable , bed die . huge bathroom mean huge . eat restaurant lovely . breakfast lovely menu lot choose from . fabulous hotel definately worht good review 
 May 29 2007 	 relax weekend 	 much already say hotel , not think 's much add . confirm great thing say hotel . 's clean , modern , friendly , service orient , welcoming , well locate , great value . room nice bed bathroom even well . one thing could add extremely nice location hotel , central everything . five minute walk Michigan Ave . , five minute wabash get Rush St shopping / eat Grand Ave . shopping / eating . walk Millenium Park take 20 minute , bad . surround great restaurant nice cafe . like property , GREAT hotel ! 
 May 22 2007 	 LOVED Sofitel- FAV hotel 	 great hotel ! favorite hotel city ! friendly staff great service , sofitel place . able dine restaurant , CdA service impeccable . mention quality food well presentation , Chef amazing . recommend dining hotel ! bar fun atmosphere great conversation . guestroom spacious , awesome city view , comfortable bed spacious bathroom . hotel offer luxury experience warm welcoming feeling . can not say enough hotel can not wait stay ! 
 may 16 2007 	 Security issue - not recommend hotel 	 stay hotel business trip , conduct business meeting hotel bar , customer grab cash wallet . security inform , tell wait talk . twenty minute wait informed continue wait l would never able report incident , despite fact hotel guest . unfortunately go business dinner could long wait . long story short , long feel comfortable hotel wish someone , anyone would talk . ' ve since phone manager , promise call back research incident , yet hear back , despite promise would call back two day ago . expect hotel . 
 may 16 2007 	 one nice hotel stay Chicago 	 stay Chicago business pleasure least 3 4 time per year , stay number hotel city less category hotel . think Sofitel fantastic location one overall comfortable hotel stay at . there fancier , decadent hotel . other Chicago flair . other amenitie modern . around great place sleep relax thing , room comfortable , relatively quiet , good food - even room service ( find often case even expensive chain hotel ) , etc . the room clean , great view city , like mention - location exactly would think average tourist would want walkable many thing . bathroom nice , excellent water pressure , tub shower , nice robe , good lighting . bed super comfortable feathertop mattress . room service ( breakfast one day , late night snack another ) quite good . the room average size big city hotel electronic tv nothing fancy . comfort location ( two important thing average trip ) think fabulous choice . 
 May 15 2007 	 Robbed Sleep Hotel Room 	 nice hotel , nice room . stay hotel one night wedding , experience every traveler 's bad nightmare . room break rob sleep . cash , jewelry ... make matter bad , hotel refuse accept incident occur , many word accuse we lie . imagine anything bad ? wake morning find purse door , cash emptied wallet , expensive bracelet miss ( bracelet wear event night -- clearly happen middle night ) . lock interrogation report show entry room 2 am sleep . yet hotel unwilling rectify matter . lucky not hurt . safety consider stay hotel , highly recommend . 
 May 12 2007 	 typical Sofitel 	 stay short notice . plane delay severe weather hotel around airport sell . call Sofitel , get room . Sofitel make good lousy situation . staff friendly accommodating . room spotless tastefully decorate . lounge restaurant good . would definitely stay . 
 May 7 2007 	 Superb choice 	 hotel could well base see Chicago . perfectly position shop great restaurant . hotel classy modern . staff great throughout . check soon arrive ( 11.00am . ) room lovely - bathroom great ( marble walk shower ) . bar area also lovely - nice touch like fake invite log fire . would choose stay anywhere else . love . 
 May 7 2007 	 Fabulous Service Decor ! 	 since move Chicago , always curious Sofitel since architecture unique . architecture stunning since top portion hotel protrudes street . bunch friend town , mention look stay Sofitel . wound stay . room comfortable , especially bed since duvet . love 24 - hour room service , especially night town ! hotel not come cheap , think 's worth price . modern , contemporary decor lobby phenomenal , especially night multi - colored light lively yet comfortable atmosphere Le Bar . back bar Cafe des Architectes , especially dinner . fillet braised beef delicious . 
 May 5 2007 	 Great Hotel several problem stay 	 stay @ Sofitel Water Tower December 7 - 10 , 2006 . nice hotel , friendly staff , nice room , several thing happen stay hotel class allow happen . the first night , awaken @ ~12:15AM housekeeping try get room . seriously . woman knock door several time , try open door ( could not , b / c put safety bar across ) . several loud proclamation & quot ; Housekeeping , & quot ; finally leave . at ~12:30AM , room phone rang . night manager tell housekeeping try get room clean , think move another room . tell , fact still exact room check 5 hour ago . proceed press issue & amp ; swore go front desk checking , request another room , move . seriously . tell , still , fact , room . ask wife switch room ( , course , would mean wife stay another room , not tell , not notice go bed ) . one problem w / this hypothesis ( besides obvious problem already state ) : fly town early business reason ; wife would arrive follow morning . unless switch room 500 mile away , unlikely occur , either ( make reservation , however , apparently buddy , manager , decide try angle ) .but none enough manager believe switch room . proceed ask verify last 4 number cc use check . point enough , tell , & quot ; No . & quot ; tell bad enough housekeeping try barge midnight . bad enough , @ 12:30am manager argue whether switch room . bad enough decide call guest late , much . get bed prove still actually room pay . ask would contact night , finally apologize say , & quot ; No . & quot ; rest stay go fine check , point realize double bill one night , also charge dinner hotel restaurant ( CAFE DES architecte ) , fact , never eat @ hotel restaurant ( dinner also apparently take place night wife arrive ) . night manager convince stay two room also one charge mystery dinner take place double bill . will give benefit doubt say honest mistake . so still recommend hotel ? nice , room clean , exercise facility adequate , location fine ( mile , close enough ) . also , everything take care follow week hotel GM , also compe first night b / c trouble . end , everything work fine . I give 4 star b / c hotel caliber detail orient enough problem occur stay simply occur . night manager able realize clerical error must make , make note ask suppose room switch next morning . try figure thing call middle night . bogus charge . . . well , thing happen . take care . quality hotel make sure problem simply not occur instead fix via damage control later on . bottom line : not hesitate stay @ Sofitel . go sleep , might want unplug phone . 
 May 5 2007 	 great hotel Chicago 	 stay Sofitel Chicago Water Tower 3 night early April 2007 . convenient location block shop Golden Mile . good restaurant hotel serve la carte breakfast different usual fare nice french twist . dinner restaurant also good . price reasonable . room comfortable , problem card access door lock usually require several swipe opening . excellent service bellman concierge front desk staff . would definitely stay visit Chicago . concierge recommend small van tour , excellent . however early April early visit Chicago popular activity boat tour architecture Chicago operate yet . 
 May 4 2007 	 Fab room great service - get pay . 	 ' ve stay hotel twice , business short break wife . superb service , excellent clean room like menu restaurant , tasty well present food . hotel excellent location shop good spot Chicago within walk distance good central point kind trip . if downside ( struggle come genuine one ) could investigate try get great water pressure shower ( 15th floor ) however water hot real issue . excellent place return . 
 May 2 2007 	 Loved Sofitel 	 wife stay Sofitel April 26 - 27 , base review read internet . neither we ever stay Sofitel difficult decision Omni come Sofitel . service stay fantastic . comfortable bed , beautiful bathroom excellent location Michigan Ave./Oak Street shopping . during stay , also enjoy great coffee dessert Cafe well famous Sofitel Continental assortment pastry bread . highly recommend ! 
 Apr 25 2007 	 great Stay ! 	 stay Sofitel one night anniversary . stay two Sofitel 's ( New York , Washington ) always impress service - one exception . room clean beautiful , bed comfortable service exceptional . alert anniversary , find water chocolate cover strawberry room . thank Sofitel always failsafe place stay . 
 Apr 22 2007 	 incredible trip time cab stop til check . 	 wonderful time anniversary trip . arrive extremely early - could not check right away , call cell noon allow we check . service wonderful - always like & quot ; welcome Back & quot ; . room great , spacious amazing shower head . clean we . concierge make we reservation great steak house - send away Ditka 's ( be different review ) . staff courteous prompt . iron work originally , call new one bring quickly . make trip Chicago amazing - one will not soon forget . 
 Apr 15 2007 	 Excellent standard would expect Sofitel 	 stay Sofitel 6 night Easter . hotel lovely , non - smoking room 28th floor spotlessly clean . staff reception concierge desk always helpful . enjoy several cocktail bar nice . breakfast hotel particularly care choice food . position hotel excellent one block Michigan Avenue shop ! John Hancock building also close instead go observatory go Signature Lounge 96th floor cocktail nice . get view across Chicago . business area second floor 3 computer 2 printer able check - in online journey home print boarding pass handy . return Chicago would hesitate stay hotel . 
 Apr 11 2007 	 great hotel 	 stay one night . comfortable room big bed good decor . helpful staff ( always struggle find elsewhere ) . good location , although short cab ride blue subway line O'Hare . 
 Apr 10 2007 	 nice location bad advice 	 recently stay hotel mixed feeling . facility nice nice Sofitels e.g . Philadelphia . well term condition Madrid , geneve other . bugged way keep say , & quot ; desk staff know everything Chicago & quot ; clearly . bad advice outdoor market , location attraction , average time train airport . nice think well . 
 Apr 9 2007 	 Excellent hotel 	 stay Sofitel two night Easter weekend . pleased room -- huge , big picture window good city view , everything new excellent shape , trendy light , impressive marble bathroom separate stall shower tub . new flat screen television would improvement , tv acceptable . the people reception desk friendly , lobby modern interesting . whole hotel little touch interesting decor architecture set apart run mill hotel . wife think fitness center good -- machine top line . we eat breakfast hotel restaurant , service excellent food quite good . hotel locate short distance & quot ; Miracle Mile & quot ; shop Rush Street restaurant . I would almost certainly stay visit Chicago -- wife think top flight hotel worth money . 
 Apr 9 2007 	 Great Hotel 	 service perfect , concierge marvellous , room clean clean , smell dirty , decoration room HORRIBLE , lot mirrow wall , small room , nice bath , excellent bed theonly thing do not use sheet cover duvet do not like , prefer traditional cover sheet bed . excellent location , sure come back . Federico 
 Apr 3 2007 	 great quick trip 	 great hotel wonderful staff . 7 year old go chicago go American Girl , right around corner . great room 30 th floor . clean room service good . even good kid menu . concierge wonderful . nothing problem . ohare airport nightmare . next time take husband advice leave first thing morning . 
 Mar 18 2007 	 Quality choice 	 manage change booking ( pay supplement ) Sofitel O'Hare Water Tower thank helpful Night Mgr O'Hare . the Water Tower remain excellent hotel - room give smoking bad . funky , quality furniture plenty space good fitting throughout . comfortable clean bed . truly premium 4 * hotel ( well room definitely 5 * ) . restaurant ( dinner - really enjoy franco - american style Starck - ish furniture ) breakfast excellent staff polite helpful . location , course , also plus point walk shop ( case , sadly ) central business meeting . back . 
 Mar 6 2007 	 love Sofitel ! 	 stay Sofitel handful time last month business love - much group friend go weekend Chicago be stay ! always nice clean , room modern , front desk staff kind proactive ( ask need help room , need cab , anything would make stay nice , notice ' ve stayed try give room different view time , need help find anything hotel city , etc . ) .One thing love room bathroom - separate shower tub . be nice ' m alone business relax bath want . even walk street water tower shopping , get bath salt come back room . I think hotel great complaint stay far . location perfect around shopping , restaurant , etc . take cab office , doorman take care 's easy enough continue stay instead somewhere close office . , would highly recommend either business pleasure ! 
 Feb 26 2007 	 Great Francophone Hotel 	 stay Sofitel 1 night quick business trip everything nice staff particularly exemplary . individual go way ensure everything satisfaction . Loved french accent , & quot ; Bonjour & quot ; wake - up call , surprisingly strong bread program restaurant . food CdA also quite good quick lunch -- $ 21 four - plate special worth order . bathroom nicer room , other note , stand - alone bath shower . room fine , bit small , comfortable bed . short truly luxurious . $ 10 / day internet bit unfair , real complaint . chic hotel . 
 Feb 18 2007 	 great place great location 	 cold Chicago , still manage great time , underwrite usually quality lodging . the euro - chic approach sofitel familiar urbane british traveller , still delight check stylish lobby discover spacious room give . you could'nt quite see Hancock tower room , view not terrible . in keeping would expect french hotel , room well appoint , staff polite discreet clientele seem quite colourful , much keep explore city spend much take advantage strength Sterling . a 2 minute walk Michigan Avenue , proper local cafe supermarket block - location perfect . I think reason get 5 star fact comfortable bed , complicated construction layer , ever job ensure restful night sleep . 
