perfect 	 part group 4 couple stay hotel would recommend highly . the room good size location could better less 5 min walk oxford street bond st tube station.lot restaurant within walk distance . staff hotel helpfull give we lots recommendation restaurant shop , sightseeing etc . the hotel relaxed atmosphere away hustle bustle . 
 Nov 14 2006 	 disappointing 	 like good class hotel room book deluxe room executive lounge access £ 200 per night . select Millenium due good location shop Oxford Street . great disappointment waste lot time try sort problem room . addition reception staff unhelpful one apologise even smile stay - impolite . unable gain access hotel room arrival 14.00 walk start shop , result late back rush dinner friend . give reasonably furnish good sized room 3rd floor , unbearably hot turn air con put temperature 18c low . shower terrible , pressure hot water - impossible rinse soap body shampoo hair , manage use bath tap ! ! make stressed late join friend . way complain reception agree take action . return later night room even hot ( prove temp display air con panel ) shower still work . rang reception tell we nothing wrong either system , suffer bad night window wide open . next day leave hotel ask help room problem receptionist promise solve move we another room . return later day another receptionist deny knowledge problem state record complaint call engineer . waste rest precious evening London try get solution happen . much discussion receptionist agree let we move room . try 4 ! ! ! three terrible heat problem , one 5th floor excellent shower , one work air con although shower also work least felt would get night sleep - 2nd floor face square receptionist incredibly reluctant let we move inexplicable since level room allocate . entire evening go late go dinner . totally stress trecke executive lounge 7th floor - incidently despite daily complaint room key would open door ( suppose ) always wait someone come let we . lounge save grace hotel - staff incredible , delightful friendly service offer welcome ( pay additional cost room charge ) . hotel 4 star rate expensive ( since find 5 star hotel area price ) . never return definitely recommend stay . 
 Nov 14 2006 	 pretty good 	 nice hotel . although never smoke hotel room , always ask smoker 's room occasion turn lucky choice : room get ( Nr . 237 ) large , double bed , desk chair , recline chair cocktail table , large well tune tv ( flat screen never mind ) huge bathroom separate shower cabin . furthermore : room smell fresh , apparently nobody smoke age . iron board iron immediatily supply request . observation : modern & quot ; Turner & quot ; bar pretty staff competent , bottle shelf light behind , see bartender ' face , little eerie . typical lack think interior designer . hotel book business relationship rate cheap . 
 Nov 7 2006 	 bargain ! 	 great stay Millennium Mayfair Hotel 27th - 30th October . hotel excellent location - close Oxford Street , Marylebone Piccadilly . furthermore , good variety restaurant pub within walk distance . the reception - staff always polite , helpful smile , feel welcome take good care of . big size room nice double bed ok bathroom . room well furnished . this 4th stay hotel , already book week April 2007 . recomend Millennium Mayfair Hotel , feel hotel bargain . 
 Sep 14 2006 	 bad night stay 	 stay Friday night catch show west end . mention post , lobby large well furnished , room - 4th floor , round corner lift - fine though outstanding desk chair , double bed , tv , Ironing board Iron . view look back hotel , Grosvenor Square . tv – flatscreen / hd presuming room one refurbish one mention – bad reception watch able , stay ' issue catch show . location mention post great , quick walk Bond Street tube station , Oxford Street Regent Street . however : fund raising / benefit / party hold . mean loud music play 0130 , stop we sleeping - 4th Floor , hate think like people room . unfortunately good night sleep high criterion , might occur often , effect every room blemish stay .. 
 Sep 14 2006 	 great place stay ! 	 lovely hotel ! .... friendly staff , clean , comfortable close everything need . 
 Sep 8 2006 	 Decent Mayfair Hotel 	 hotel 's question be look for . I travel London business regularly stay overnight third time . need somewhere comfortable else quiet . hotel deliver criterion . as reviewer notice 's refurbishment programme underway . look like room front complete whilst back bit dingy need brightening . room away square likely quieter . it be also worth bear mind 4.5 star hotel locate middle expensive real estate world . basis , internet rate offer hotel website good value ( anything £ 200 night Mayfair bargain busy time ! ) . not shock end unrefurbished room . interesting see happen rate refurb complete . room apart , medium sized , quiet hotel excellent staff great location . like place buzz lively bar . want something offer good value one step 5 star give try . 
 Aug 22 2006 	 Disappointed ! 	 decide & quot ; upgrade & quot ; hotel book conjunction european tour arrange local travel agent . decide extend stay London add additional 5 day millennium end tour . check staff polite helpful . room give another story . dark , dingy small . second stay hotel ( final five day ) give one room smell exhaust second room view mass large metal pipe first floor . ask room change givenroom 456 464 fourth floor wing . similiar room first part stay equally dark dingy . bath tub could fill use shower head way use tub spout . sink stopper break could fill sink water . blow dryer upgrade modern model one four room occupy , room tube like apparatus hot ot hold less one minute attempt dry one hair . room itsef quite spartan one desk one chair . magazine second room stay . magazine first room . toiletry consist shampoo , rinse , cake soap cotton ball . make mirror include bathroom electrical componet remove , therefore extra light already dim room . I ask extra pillow , iron ironing board deliver room . board exactly paint piece particle board . iron shut every time run piece clothing turn stroke dial maximum heat would completly shut . try order movie one evening T.V . would give we access avaiable listing . someone come look able go find list available movie . able access one option albe find . ask we write list movie suppose located room apparently one either . kind enough go locate one we somewhere hotel however partial list . kid say option available room first stay ( first room option Blockbuster etc . ) . short get see movie . gentleman try help we curteous smell strongly curry ? try sprinkle powder round room follow departure attempt clear air . ( like curry ! ) 3 week holiday visit number different hotel please accomodation , unfortunately 10 day millennium big dissappointment . 
 Jun 5 2006 	 Loved ! 	 stay hotel bank holiday weekend love ! read bad review book emailed manager . reassure hotel undergo new management work hard improve hotel promise allocation refurbish room . continue assist question later email big help . upon arrival hotel minute wait room offer complimentary drink bar . get room bottle champagne us husband ' birthday . gesture really appreciate . we impress room . decorate lovely , clean surprisingly big . two single bed put together make large king . also sit area , mini bar , tea coffee facility view Grosvenor Square . I think whole hotel decorate high standard find staff friendly helpful . for excellent location yet reasonable price hotel fault . maybe make sure ask room overlook square ! 
 May 31 2006 	 Tale Two Hotels -- part 	 return wonderful , 8 - night visit London . husband travel parent trip mother ' first Europe , special occasion indeed . savvy traveler , decide handle hotel reservation -- familiar expensive hotel London want make sure comfortable convenient accommodation . ' use Priceline past visit London know could get great place fraction cost . split stay Priceline ' seem inventory 8 straight night 2 room . first three night , stay Millennium London Mayfair . little disappointed first , stay Thistle Charing Cross last visit London , spoil location – mention , review Millennium quite mixed . upon arrival ( 11 am ) tell one room ready would available 2 pm . decide let parent take available room since know want change get rest . room average size ( although mother law call small – use Eurpoean hotel ! ) 2 single bed locate 6th floor quite area hotel . bathroom spacious , large , thick towel , towel warm array nice amenity include shoehorn , sew kit , q - tip cotton ball . two robe closet well slipper , trouser press , iron load room . husband impress wide screen hdtv , ( confused plasma ) , plenty channel choose . also mini bar , selection complimentary tea hairdryer ( locate next mirror desk rather short cord ) . overall , room comfortable tastefully decorate … little worn around edge , nothing worth note . 2 pm , husband able check give King room first floor . shock open door see size room ! enormous , even american standard ! sofa , 2 chair , coffee table , small cushioned bench . bathroom also huge , complete shower tub , plenty counter space ( granite btw ) , towel warm , amenity list aforementioned paragraph . interesting room include robe slipper mini bar . note mention two bottled water next complimentary tea free since room mini bar . view window direct interior air conditioning unit – biggie . feel guilty luxurious spacious accommodation decide would switch parent . graciously accept offer ! overall , give hotel 8.75 10 . lobby large invite plenty seating . entire staff friendly , helpful accommodating . bed room comfortable shower good water pressure ever experience Europe ! location quiet area short walk Oxford , Bond Regent Streets , far enough away feel little seclude hustle bustle . find great little café breakfast -- Truc Vert … short walk hotel – Grosvenor Square Oxford Street . also late night drink hotel bar -- Brian Turner , hip little place great service , well Pine Room , ( late night ) sandwich beer . friendly staff , decent price . apologize length review , want thorough possible . pay $ 160 Priceline , consider hotel tremendous value . actually little disappointed switch remain 5 night stay ! " PART II " London hotel review , please see post Thistle Charing Cross information two property compare . 
 May 30 2006 	 Lovely Hotel Great Location 	 wife stay hotel couple night recently . wife check first go meet hour later . dismay get call check tell awful , miserable depressing bedroom . quite surprised hotel generally get good review tripadvisor.com although expectation never particularly high London hotel unless stay 5 * place pay lot money . anyway , arrive room wife not far wrong . room first floor window open brick wall air conditioning duct run length . room also stale smell air , carpet threadbare bathroom date . basically desperately need modernisartion . anyway , problem think go reception see could find well room . lady reception could friendly accomodate promptly move room 3rd floor ( # 317 ) tell fully refurbish . difference . room overlook Grosvenor Square could see tree , grass sky ! everything new ( include bathroom ) total contrast first room give . stay request refurbish room not fob tatty first floor unrefurbished room . room sort everything else stay perfect . staff polite ; fairly good dinner Brian Turners Restaurant ( food ok quite pricey ) sleep brilliantly . hotel excellent quiet location . would fully recommend hotel fall short 5/5 room refurbish . 
 May 29 2006 	 beware review : good location value ! 	 get back 2 night stay Bank Holiday please another satisfied customer contradict appalling / harsh review . room fine : linen clean , deco up - to - date , facility work fine , power shower fabulous , service obliging . short , everything would expect 3 - 4 * hotel . we get room good rate Priceline ... seem like Millennium chain also many deal airline travel agent would make worthwhile . however find bar price bite top ... 4 * price find standard room like 3.5 * .In defence though , location Mayfair wonderful . could not really ask well location ( quiet square oppose Oxford Street ) . also , despite room bargain rate , staff happy oblige we give we double room ( oppose twin give ) . 
 May 29 2006 	 impressive service location 	 first , location excellent visitor London . 's short walk Oxford Street ( public transport mainstream shopping ) , Hyde Park Bond Street . travel elderly relative , ideal much doorstep include big leafy square sit , lovely , quiet Mayfair street garden wander around . ' ve stay plenty acclaim hotel around world , think staff probably amongst helpful friendly , often stop chat keen fix minor problem without make we feel trouble . whole stay feel - good experience . have make request advance have note , despite cheapskate Priceliner . room overlook Grosvenor Square , request , far lift . small side compare room floorplan , fine purpose plenty storage space . desk antique - style rest furnishing look & quot ; well - use & quot ; feel ok character room alongside modern furniture . maybe feel - good factor influencing ! room clean well - stock . space mini - bar store bit piece . tv wide - screen good choice international channel . not use pay - tv anything else can not comment . broadband internet access room £ 20 24 hour , £ 5 4 hour ... seem pretty expensive not often stay London hotel ( local resident ) not know compare . not appear bill point waive anyway . wireless access business centre free access club room . safe room not big enough hold old - style laptop ; first time ' ve come across problem . bed nicely furnish comfortable , room quiet sound adjoining room even though hotel seem busy . hardly street noise , especially night . window double - glaze could open wide . AC heating seem fine . the shower incredibly powerful , heat towel rail good touch especially get drench outside need dry clothe . the exterior , public area corridor look good . check - in efficient ; although queue check - out seem bit disorganised deal quickly . not need disabled room find disabled lift back useful way help relative avoid use ground floor stair . food expensive - 's Mayfair hotel . find price Brian Turner 's restaurant similar nearby Mayfair hotel ( less , compare somewhere like Connaught around corner ) . breakfast , treat , service choice food excellent .... staff offer carry plate buffet table carry loading , happy fetch choice . tell celebrity chef around 's happy talk customer . pub , Audley , good food around back hotel , plenty little cafe restaurant nearby North Audley Street . food hall selfridge good picnic food , & amp ; , plenty cheap option nearby too . I feel extremely well price pay Priceline , would happy return pay necessary . feel real sense pride place . 
 May 29 2006 	 great upscale hotel ! 	 husband book 3 - night stay Millenium - Mayfair via Hotwire . happy choice ! check late , give & quot ; slightly large & quot ; room check - in staff . view ( back room low floor ) , not expect fabulous room give rate . room extremely luxe & amp ; comfortable - definitely 4 + star hotel ( ' m picky ) . go downstairs eat Pine Bar lobby first night - 's great spot be jetlagge , since be open past 1 am ! piano bar , lot people smoke - yes , really & quot ; acclimate & quot ; England quickly . hotel good location - Mayfair / Grosvenor location , central walk around London get pretty quiet night . would definitely stay could ! 
 May 2 2006 	 stay away ! 	 poor ! ! ! stay away cost ! ? ! room cramp dire need refurbishment . window huge crack room constantly cold , complain give extra blacket heater not consider move another room ! top item jewelery go missing room manager dismiss claim without investigation ! ? ! 
 Apr 23 2006 	 walk ' round Grosvenor Square ... 	 wife stay Millenium Mayfair Hotel 1 night March 2006 . night stay last night Europe , fly back States next morning . check fine , pleasantly surprised room ( # 167 ) large average London hotel . view courtyard , taxi drop - off locate , view Grosvenor Square would prefer . bathroom little bit small , big enough get around , shower pressure ' horrible . big problem stay Millenium Mayfair noise come courtyard . maybe bad room location entire hotel , literally right entrance way car . quite noisy outside night every arrival departure pull . also area seem use trash removal , delivery truck , folk like walk outside drag noisy barrel cobblestone . also , Millenium Mayfair advertise " satellite tv " . perhaps american definition satellite tv different Europe , compare US standard joke . rec ' 15 channel , normally ' care , look forward quiet night room , vegge front good telly watch . also think hotel bite shabby price pay . carpeting disrepair , décor look straight 1955 . good thing say MM . bed comforter extremely comfortable , breakfast spread ( include rate ) nice – good Europe . location quiet . close tube stop 10 minute away , like sort isolate hustle bustle London , still close main sight . not see 1 scarlet begonia Grosvenor Square . 
 Apr 14 2006 	 love hotel ! ! ! 	 mother , two sister , teenage daughter , 20 year old niece stay week Christmas . excited see location hotel ! ! room lovely quite large comparison hotel mother stay London . staff great . love piano bar waiter bartender could nice . piano player terrific great place end evening day sightseeing . Paul , concierge help we tremendously seek good restaurant within walk distance question bus tour London , etc ... continental breakfast include could not believe variety offer . say enough nice thing stay suprise negative review . would recommend hotel anyone believe extremely picky . 
 Apr 13 2006 	 nice hotel business traveler 	 stay hotel teenage daughter Spring Break school 6 night . select location , room , executive level , service ( laundry , concierge ) . pay 172 pound per night deluxe room executive floor . get sit area continental breakfast . have think dedicated concierge , could wrong - never see . perhaps person attend breakfast / snack / cocktail room also serve concierge . centrally locate Grosvenor Square house beautiful park front hotel . 's east Park Lane , walk Hyde Park 2 minute . walk Harrods , 30 minute . quick walk Bond Street Tube station ( also Green Park ) .many restaurant walk distance . Cab Heathrow 56.00 pound plus tip ( eh , lot luggage ) . check midnight able order room service ( 24 hour ) . busy , room service several time . always prompt , adequate good - nothing write home . use laundry service twice also good well prompt . not use bar , eat restaurant ( seem closed every time want eat ) . minor problem key work executive lounge room - quickly fix . room nice . large , two closet , mini bar hot water tea / coffee . twin bed , sofa , 2 chair , coffee table . bathroom nice bidet towel warm , plenty towel toiletry restock adequately . Bellman nice , doorman equally . taxi queue behind hotel ( even 5:30am ! ) . front desk helpful currency exchange , question . executive lounge sweet evening . think odd cocktail hour . perhaps miss hor d'oeuvres ... go . breakfast good though . tasty croissant coffee maker want take home suitcase ( cocoa , espresso , latte , filter coffee touch finger ! ) . good part concierge . know would need help lot one particular really deliver . can not believe never get name could mention . good . exceptional . arrange several thing we lovely change pace typical service one get often day . always overly enthusiastic get we want , even though ill bit tough trip . think hotel really business traveler ( ' m sure 's target market ) , get everything want . nothing negative say . would probably spring executive level . want convenience factor breakfast - use , probably not worth difference cost due exchange rate . 's typical increase compare regular room rate ... course be double current US dollar conversion . 
 Mar 21 2006 	 Tired Old Heap 	 great location - bad 's stuck low rent hotel - Rooms dingy , mine miss tv ( & quot ; stolen & quot ; accord front desk ) - bar service surly , british least , totally overpriced drink soggy food - & quot ; gym & quot ; one rickety treadmill - good part club lounge whose manager employee nice helpful - bottom line : claridge course neither price 
 Feb 25 2006 	 Loved hotel 	 book two refurbish room face park opposite hotel . l amazed negative review . LOVED hotel , amazing location , large room l see London hotel large 3 piece suite desk large bed . service prompt friendly . close everything . easily walk matter minute . l say want exceptional room book refurbish 35sqm room good experience . 
 Feb 22 2006 	 Forget provide proper b 	 hotel look great 's location magnificent . seem focus outside forget basic function hotel : good bed , breakfast bath . my bad problem room hot window not open properly . stand chair , use cutlery tool , finally manage open 10 cm . see windows room wide open , might specific problem room . the showerhead fix wall . might save cleaning , 's impractical remove soap body . I book bed - only Millenium Hotels website ( without aware ) . ask GBP 16.50 breakfast outragious , go elsewhere . 
 Jan 6 2006 	 Great Hotel ! ! 	 stay Mayfair friend celebrate New Years Eve 2005 . fifth trip London ( although first ) , hotel great . breakfast well continental breakfast hotel stay , quite good variety , include egg , bacon sausage . room surprisingly spacious ( Hotels stay small room ) , clean . bathroom could little update , clean suited purpose . location excellent , within easy walk distance Park Avenue , Oxford Street Regent Street . would absolutely stay hotel ! ! 
 Dec 29 2005 	 mediocre 	 stay hotel wonderful location ( ) , however , hotel problem . construction floor really dusty noisy . also , air conditioner broker window room break unbearably hot . feel like stuck sauna . fiance manage jam knife prop window open help little . hotel apologize nothing could . could not switch we another room either conference . spend little $ 200 night definitely worth . probably will not come back hotel , even though area great . 
 Dec 15 2005 	 stay somewhere else 	 hotel disappoint , unless low expectation little idea value money . stay 2 occasion , vain attempt give try – reality tired , old hotel desperate need help – albeit good location . bathroom old , shower poor , room taint old cigarette smoke , frightening air - conditioning system seem design sleep prevention . breakfast poor ( expensive ) , bar miserable middle - aged . London easy place find value money come accommodation , . spend £ 25 extra stay Metropolitan would advice . 
 Dec 12 2005 	 central location - fine hotel possibly little shabby around edge 	 stay Millennium Mayfair business . on arrival make lobby ( no - one help luggage though ) check . room large suite pleasantly surprised grandeur . however , constant ' knock ' sound come bathroom - like hot water pipe knock . go back reception , immediately change room another - minimum fuss . the next room great - decor high standard tradtional english style . bathroom adequate - clean - however feel little tired shabby . the room service breakfast great ( never go breakfast ' m business ) - proper , fresh cafetiere coffee ( instant coffee ! ) , fresh flaky croissant lovely toast bread . my gripe would restaurant not open Sunday night - embarrassed try get - food available room service menu , either serve bar room . all , have happy stay Millennium Mayfair book priceline . ' m sure be tourist though , may want something slightly grander money . 
 Dec 10 2005 	 maybe lucky ... 	 ... bathroom water leak : dark water soak till floor ( disgusting ) , MOREOVER wedding party hotel Saturday night : wall vibrate 2am finish , labour work early Monday morning room next mine . otherwise , hotel well place bedroom nice . 
 Oct 15 2005 	 nice hotel questionable practice ... 	 well let fair start say hotel nice , clean exceptional price . location fabulous within walk distance bond street shopping bond street tube stop make easy access tourist attraction well airport . however ... arrive late night around midnight informed room prepay 3 month ago available . fact , entire hotel book apologize say would move we & quot ; sister & quot ; hotel Knightsbridge . course , since prepaid room Mayfair agree plan . insist put we four star hotel area pay . get one step away furious people finally agree put we nearby Marriott hotel . say go confirm superior , return state suite & quot ; sudden & quot ; become available . seem not want pay Marriott cough suite we make level honesty bit questionable . overall , though hotel nice , clean , locate ideal place tourist thing . probably would not stay though treat upon arrival . 
 Oct 7 2005 	 Loved Location Loved Service 	 actually trip large group company work . room large would like , spend time anyway ? ? queen size bed extremely comfortable soft , sleep great - that be care ! room tastefully decorate great view Grosvenor Square . location hotel unbeatable - so close Oxford Bond Streets , Piccadilly , Buckingham Palace half mile away . even walk back hotel seeing show Saturday night West end , take we 30 minutes- feel safe.the good thing hotel service- Nic , Paul , Frederick- concierges- also barstaff fabulous . even maid friendly room clean time get back breakfast . Nic go - to guy restaurant reservation , cab , London info hotspot . everyone go beyond accomodate we . remember get cab restaurant reservation tough weekend . Sunday evening especially tough get cab many out - so let staff know want cab early ! go Audley Pub drink lunch Richoux breakfast , tea dessert . one thing- hair dryer bathroom . room , not . bring own - I anyway- 3 - prong plug room . also iron iron board . like 's want doing- use it . enjoy stay not overly critical- 's great place ! 
 Oct 6 2005 	 Posh ! 	 not think ever stay hotel posh ! room huge sitting area , flat screen tv , king bed great desk / working area . bathroom marble real bathtub ! internet access room via ethernet cable cost 5 quid 4 hour , breakfast outstanding quality choice taste . helpful staff desk well . company trip , price way could stay ( company rate 130 pound per night , tax additional ) . gripe would long advertise walk Bond Street station ( less direct ) . otherwise could give negative feedback ! 
 Sep 13 2005 	 comfy 	 move dreadful Copthorne Tara feel immediately ease . manager show we room linen bed great , smell clean fresh view great staff discreet helpful . despite AC break , lift working transferring stay completely still love stay ! ! 
 Sep 3 2005 	 good enough 	 stay four night 100 usd per night , courtesy priceline . give bargain basement price , satisfied got - clean , comfortable , spacious ( london ) room decent tasteful decor . say , hallway - carpeting doorframe pretty beat . wall usual acceptable amount scuff window tape - up crack . electrical outlet computer not work , either . call ask , desk say , & quot ; be old , not work . & quot ; hotel need TLC people care . undergo renovation , interesting see clean ... , probably mean will not get 100 usd future . 
 Jul 6 2005 	 satisfactory low 4 * hotel near shopping 	 stay three night mid June 2005 standard double room . friendly helpful staff . hotel moderately tired . ' like well - maintain 5 year old car minor dent scratch functional know mean . hotel design 3 lift 1 " permanently " service leave 2 . wait lift morning " peak " period could long . air conditioner noisy work well 32 ° c+ heat wave . room size average clean tidy . bathroom amenity basic . location okay , 10~15 minute ' walk leisurely pace Bond Street tube station Oxford Street . exactly close within walking distance . Green Park tube station 20~25 minute ' walk . SPAR convenience store around corner hotel well post office 5~10 minute ' walk towards Regent Street . room rate include meal breakfast buffet £ 17.5 . try restaurant hotel . many restaurant nearby , especially towards Oxford Street . good low 4 * hotel shall stay room rate competitive . 
 Jul 4 2005 	 great wonderful room 	 stay whilst attend wedding reception round corner . therefore choose hotel due loaction . excellent suprise , large room spotless huge King bed , sofa , coffee table chair along complementary fruit etc . bathroom good quality fitting everything need . get lucky ? not know ask room 414 great overlook park . we use resturant , bar room service apeare pricy probably expect part London . shop around internet good rate , pay £ 99 . think represent excellent value money . 
 Jun 13 2005 	 Spoil 	 14 we choose hotel troop colour weekend June 11th . some crowd never London ! imagine face enter Grosvenor Square see fabulous facade hotel . the room nice indeed.a minor detail could point could improve upon , would picky . after drink around Mayfair area Shepherd market , meander back & quot ; Pine bar & quot ; hotel . if stay , make point get know & quot ; Derek & quot ; fabulous resident pianist . we request manner tune . from Elton John , Andy Williams.from ballad rock roll ........... never fail come good . he learn name pleasure spend time around piano . great hotel . impressive location . helpful staff . we will definitely back . one tremendous weekend . & quot ; double thumb & quot ; 
 May 23 2005 	 hotel FAB ! ! ! 	 hotel great , staff helpful polite . the room lovely view overlook park . drink little pricy expect . great location Oxford Street min walk away . would go back hotel without qustion ! ! 
 May 12 2005 	 think great ! 	 stay hotel last weekend birthday first trip London , must say boyfriend love ! quite impressed room , average huge widescreen tele . location hotel lovely , little park middle square weather nice lovely sit picnic ! do not actually shop eat around Mayfair want travel round see plenty option ! staff seem friendly enough . two little problem really room tend get warm night also maid decide hoover room next we 8.00 Sunday morning , make lot noise seem clang ! near tube Bond Street , 5 minute stroll . definitely recommend hotel want somewhere centrally locate site enjoy peaceful area . 
 May 8 2005 	 good hotel great location 	 stay hotel principally location pleased room service offer hotel . as wife run London Marathon look hotel near Jubilee Line , away hustle - and - bustle London ensure wife get good night 's sleep . hotel Grosvenor Square - close American Embassy . grosvenor 5 minute walk Oxford Street Picadilly . we mention marathon reception check upgrade we room executive floor , 7 . room lovely well appoint . yes hotel restaurant pricey - Head Chef Brian Turner , well recognise english celeb chef . really eat Hotel restaurant ? go walK South Audley Street find fantastic italian , English , fish chinese restaurant within short walk . you doubt find well hotel elsewhere London really love area would return hotel . 
 Apr 26 2005 	 absolutely atrocious customer service . 	 get transfer hotel original hotel give room away another guest decide prolong stay . ( be completely different rant , especially consider fact pay room advance . ) , tell would get upgrade room Mayfair , room end smoking room two twin bed original reservation double bed non - smoking room . additionally , shower not work , cigarette burn bedsheet . staff absolutely empathy we whatsoever . incredibly dismissive condescending . wait -- get even well : ask concierge restaurant recommendation , first suggest high - price hotel restaurant . course , budget , ask another suggestion . actually nerve recommend McDonald 's . kid . 
 Apr 25 2005 	 fulfil expectation 	 book one night stay hotel lastminute . get good rate check review trip advisor worried make mistake . thankfully case . check give huge room kingsize bed . room spotlessly clean service receive excellent . the area quiet almost forget london , temperature room right .The bathroom luxurious . comfortable stay definately return hotel next visit London . 
 Apr 22 2005 	 stay away 	 leave large note bed point sheet stain use . ask clean sheet . ignore . lodge complaint hotel checkout . receive reply apology two week . stear clear hotel chain . deserve business . write complimentary review another London hotel . 
 Apr 9 2005 	 terrible place -- -- avoid -- - 	 check 14.00 room available ... 15.50 ! apology , empathy , explanation , nothing ! visit chamber person ... knock door ! Manager , indian look person , unkind , avoid eye contact , excuse , excuse , excuse , somebody late , fault . pricy brekfast long queue . loud piano bar open till 3 o'clock full drunk non - resident doggy look lady . Millennium Mayfair - N e v e r g N ! 
 Mar 25 2005 	 Shabby dingy 	 stay Hotel March 6 -10 2005 . choose base review / price / location . location good part stay : walk distance Oxford Bond Streets . room spacious wear spot . bathroom need rennovation , clean . towel musty smell . corridor blue stain carpet , sometimes redolent nursing home . buffet breakfast costly , limited selection , mediocre . likewise food serve hotel , Turners highly regard restaurant , substandard disappointing . staff courteous professional . bar , overheard guest complain shabby room dingy hallway . return London soon , hotel . 
 Mar 20 2005 	 nice 	 nice rack rate . pay £ 70 per night . ok value although tube station 10 min walk away . staff helpful . 
 Mar 2 2005 	 brill place especially concierge 	 bit delay fantastic weekend break Millennium Mayfairrooms lovely big especially London . breakfast dinner superb Turners . highlight ConciergeNick / Paul / Micheal Fredrick . four high knowledge London chatty friendly , nothing much trouble . book theatre ticket Sightseeing tour trough great seat tour great . I would definelty go back again . many thank Millennium keep Good Work . 
 Jan 30 2005 	 Wonderful Service Millennium Mayfair 	 husband celebrate 8th wedding anniversary London October 2004 please Millennium Mayfair exceed expectation every way ! service impeccable . room spacious , beautifully furnish ( even fresh flower ) , comfortable . the concierge , Nick , tremendous help we . recommendation dine excellent assistance coordination transportation from / to airport perfect . rest staff , include lady club floor business center always professional , friendly helpful . entire staff Millennium Mayfair make first visit London truly memorable experience thank ! Mayfair locate beautiful part London , wonderful shop dine within walking distance . always recommend hotel anyone travel London . 
 Jan 27 2005 	 Fantastic ! + + + + + + + hotel 	 stay family 22 - 25th Januar 2005 third time together . always service hotel superb . get spaciuos room perfect since travel son almost two year old ( need space play toy etc ) .clean modern room , would rate 5 - star hotel . compare hotel London stay , hotel certaintly good one . close Oxford street tube ( less 5 minute walk ) beautiful park outside hotel make hotel central calm . we give good recommendation hotel . stay , ! 
 Dec 13 2004 	 ok 	 Hotel locate excellent situation . beside oxford street , regent street etc . close tube station oxford St. bad thing would say . hotel 4 star , would say 3 star . bedroom freeze arrival problem closing window get someone look . heating not seem work either ask heater bring never . also bathroom small leave 2 towel 2 us towel hair etc . also extra pillow blanket keep we warm night . we get priceline price , great value ti pay full price , would probably pick somewhere else . great thing location & amp ; price get priceline 
 Nov 27 2004 	 favourite London hotel ! ! 	 absolutely love hotel . fiance take every year birthday always wonderful . pay extra superior room think make big difference would highly recommend . large room sit area bed soooo comfy ! breakfast favourite lazy like bring room ! ! staff always helpful especially parking car handle luggage . come London month company christmas choose Radisson hotel close location sure wonderful honest ... miss Millenium back next year :0 ) 
 Nov 25 2004 	 nice 	 stay two night ( 11/20 - 22 ) get hotel priceline $ 100 night . great price london . hotel good location ... 3 block Oxford St Bond St. tube stop . quiet square US canadian embassy . hotel quite nice , flashy . room fine price ... decent size ( though small bathroom ) . slightly worn feel place , still fine london . would happy get hotel price . 
 Oct 12 2004 	 Excellent stay 	 come back London yesterday , want tell hotel excellent choice get good deal . ' ve pay $ 111 night worth every dollar . arrive 10a.m room 45 minute ( event though check time 2:00 ) . also request club room give access club lounge brakefast day snack . pay extra 30 pound per night , ' ve get big room 6 floor . room huge european hotel , problem ' ve encounter bathroom door old handle break door could not closed . , problem hotel . location excellent , be right next door american canadian embassy 2 minute walk middle oxford street . also take 10 - 15 minute walk backingham palace . see location excellent . 's , future traveler please note close tube station hotel oxford street station , inspite tell hotel . exit green park station take cab walk 10 - 15 minute , oxfoerd street station ( even though require change train green park station ) 's 5 minute walk . 
 Oct 5 2004 	 good location staff helpful - small bathroom ! ! 	 stay long weekend Oct 2004 . got great deal Priceline ( £ 55 per room / night ) , bad four - star London . impressive building , room ok size bathroom tremendously small . think small bathroom due particular room , ask room change . reception ok enough , however discover new bathroom small . bar restaurant serve good food drink . room service expensive . staff helpful , could fault . stay Sat & amp ; Sun well , come Monday security around US embassy bit oppressive . would stay , would consider room upgrade Club . 
 Jul 26 2004 	 good hotel quiet neighborhood 	 good hotel definitely worth 45 gbp spend night . room large spacious open quiet court yard . take 15 minute walk one 3 near Tube station , maybe be good thing . good hotel . probably need little refurbishment , still good . 
 Jul 8 2004 	 nice hotel 	 Millinium Mayfair wonderful hotel . get priceline $ 90 per night July 4th weekend . can not beat price . location great ... walk distance many thing hotel clean , piano bar great room nice large usual London hotel . the downside price food drink hotel . expensive . one eat drink somewhere else . 
