pleasant 	 stay hotel Thanksgiving holiday surprise please ! hotel accomodation great . room comfortable king bed & amp ; sleep like baby ! continental breakfast great ! hotel bar great ! will stay hotel ! location ! ws fabulous ! 
 Nice Budget Hotel 	 town Macy 's Parade select hotel base fact good deal could find . selection criterion . look clean , simple room , . husband stay every hotel price range imaginable , trip , try stay cheap , know would never room . room clean small . NYC hotel small , brace . bed comfy bathroom clean . lobby area nice provide complimentary breakfast coffee , juice , bagel , do - nut . location great explore subway around corner one block . complaint AC bang roar night ( even , yes , know , be true ) . let front desk know , polite , nothing fix . strange window unti banging , never hear neighbor street . staff polite , old exactly & quot ; hip & quot ; cool place eat drink . advice . would probably stay , personally fan neighborhood close Times Square , many visitor , location perfect . 
 great value 	 travel NY often business stay many nice hotel ( Palace , Plaza , etc ) , bit worried one . travel mother , want spend lot , review choice TripAdvisor , pick Hotel Times Square . must admit good choice value - minded traveler . relatively quiet block 46th 5th 6th avenue -- close 5th Avenue shopping east theater west . would caution guest avoid room east side hotel next several month , however , big construction project start lot next door . room face 46th street noise minimal ( NY ) . hear nothing wall either . the room small normal ny . room clean bathroom newly remodel plenty shelf space nice enough towel . problem hot water . bed comfortable sheet soft , albeit rather thin . blanket bedspread ok , likely area watch newness redesign start fade . the room always warm , often hot fact , sleep AC low make temp perfect well block street noise . the breakfast room downstairs ' m sure elevator low level . doorman , help luggage get taxi . lobby nice computer guest use . my complaint vend machine not work newspaper available purchase hotel 
 Aug 19 2008 	 wish could positive 	 book 4 day Shop Stay package list $ 109 per night web include coupon shop , restaurant , bottled water etc . price offer list reservation special code box . arrive , tell $ 109 offer available August , although clearly state available May December WEB . charge $ 259 instead . package material give we Day 4 not available even , morning check bag check room . give bag 4 p.m. come back luggage . bag contain gingerale instead water , coupon mall outside New York City restaurant coupon . leave table anyone else use . fight 3 day discount base thing go wrong stay . positive : comfy bed fairly large New York room , quiet . coffee pot room . nice business center 3 computer . repair people come tv phone , professional . good location theatre subway . negative : take 4 hour , 2 call trip front desk get extra pillow . phone break 2 day negate suppose perk free call . tv reception poor -could not get Channels 2 - 7 . 3rd evening lukewarm water , 4th morning , cold . former visitor 's make - up brush find day 4 , side bed , checking not leave anything . breakfast mob scene morning table . clerk great difficulty keep turnover replenish food . green bananas available . concierge misdirect we Metropolitan Museum , would think would popular spot NYC ! entire weekend , tool tape leave top stair anyone trip . also , paper leave elevator floor 2 day . on sheet list hotel service give guest check - in , guest ask leave positive review on - line . ' m sorry honestly can not . 
 Aug 14 2008 	 Great Location ! ! 	 hotel recommend we neighbor . would definitely recommend . laugh last review problem find hotel . pleasantly surprised get . everyone friendly , check go smooth . far room size definitely adequate . stay Paris couple year ago room twice size . room clean always make properly . room continental breakfast serve adequate mob scene price right ( include cost hotel ) . look fine dine quiet place breakfast pay big buck elsewhere . also laugh 7 am & quot ; wake call & quot ; jackhammer next door . guess price pay ever change city . also like fact could call telephone anywhere USA charge . family 's opinion , not let bad review scare . go find . place hang hat night . enjoy city . sure back . 
 Aug 8 2008 	 Great NYC location 	 first , cab driver could find hotel get curb block suppose . problem make reservation , Super 8 franchise . manager currently negotiate new franchise . currently canvas sign marquee , name Hotel Times Square . we pick hotel due great location -- 46th 5th 6th -- couple positive review site remodeling spring . the staff friendly ( always case NYC ? ) decor nice remodeling . NYC , think value great -- $ 209 / night AAA discount . two caveat -- construction next door start 7 a.m. -- may hard sleep . second -- continental breakfast consistent mob scene . early get , well . lot foreign tourist due weak dollar . re : TKTS booth day show ticket -- three block away would nice concierge mention take cash . line long , move quickly . get good seat play want ( 39 step great ) half - price . if return , would defintiely consider stay . 
 Aug 4 2008 	 good value beware false advertising 	 tough review write . room stay nice room price , consider Times Square area . two double bed bathroom . problem book room Super 8 's website . website clearly state would room two double bed sleeper sofa -- important family 6 . check go room 10th floor , imagine surprise see two bed sofa . go back front desk , rudely tell wrong reservation . put phone manager explain never room two bed sleeper sofa . make due situation two boy sleep floor extra blanket make & quot ; bed & quot ; .given false advertising Super 8 's website , rudeness front desk , will not stay . family 4 less , bargain location . 
 Aug 1 2008 	 stay Hotel Times Square New York 	 stay hotel July 2008 10 night . arrive early , problem booking give room straight away . room perfect fresh towel toiletry everyday . bed comfortable coffee / tea make facility provide room . complimentary self service breakfast include cereal , toast , cheese , doughnut , fresh fruit , yoghurt , tea , coffee orange juice . could eat much like . breakfast room could big always busy . always manage seat , guest take breakfast room . hotel central getting would certainly recommend stay Mid -Town area New York . 
 Jul 30 2008 	 Basic accommodation 	 hotel basic accomodation get good price may value money central location . however price pay expect . picture website deceptive show light bright large room , whereas room dark grim small ( need light day time see ) , not help dirty window . the room recently refurbish wallpaper etc new however bathroom tiny shabby . the experience hotel ( end July ) help noise , noise street add construction go side hotel . give currently large hole would anticipate construction site ( sound lorry digger early 5 am ) time come . appear windows double glaze even high floor hear noise . lift hotel extremely slow busy help congestion cause cleaner trolley , also day check one lift order wait lift 20 minute could carry suit case downstair . do seduce ' free ' breakfast , basic low quality buffet basement bit fight space - give first morning prefer pay decent food pleasant surrounding . the reception staff check could helpful , however lady check extremely unpleasant make various mistake seem get angry mistake - perhaps bad day least expect apology end tortous exercise check non forthcoming . to sum would give hotel miss contstruction go , would consider need central location tight budget get cheap deal expect hotel room time . 
 Nov 13 2009 	 Ótimo hotel recomendo totalmente 
 Nov 13 2009 	 Ottimo e consigliatissimo ! 
 Nov 12 2009 	 Muy Satisfactorio con un pero 
 Nov 10 2009 	 buen hotel buena situacion buen precio 
 Nov 3 2009 	 mas vale preveniro .... 
 Oct 26 2009 	 Excelente relacion calidad precio ubicacion 
 Oct 15 2009 	 time Square Hotel 
 Oct 7 2009 	 Ottima posizione buon rapporto qualità / prezzo 
 Sep 30 2009 	 Muy Aceptable 
 Sep 30 2009 	 Muy buena experiencia 
 Sep 23 2009 	 Nos encantó 
 Sep 9 2009 	 Ottima posizione per visitare new york 
 Aug 20 2009 	 suffisant pour NYC 
 Aug 16 2009 	 bon rapport qualité / prix au coeur de Times Square 
 Aug 2 2009 	 Un ottimo hotel molto vicino Times Square 
 Jul 22 2009 	 Ótima localização mas com alguns poréns ... 
 Jul 21 2009 	 Cuando Vuelva Nyc Volveré Hotel 
 Jul 7 2009 	 ubicacion ! ! ! ! 
 Jun 28 2009 	 Excelente Custo x Benefício 
 Jun 23 2009 	 peut mieux faire ... 
 Jun 22 2009 	 Youpiiii ! Les travaux sont finis ! 
 May 19 2009 	 Da consigliar e da tornar 
 May 19 2009 	 Le meilleur endroit pour visiter Manhattan ! 
 May 19 2009 	 Super hôtel bien situé meilleur rapport qualité - prix 
 May 17 2009 	 qualità prezzo - locazione ottimi ! 
 may 6 2009 	 Chambre spacieuse et trés propre et trés bien situé à NY 
 Mar 17 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 Mar 15 2009 	 Hotel muy bien situado con habitacione baño limpio completamente reformado 
 Feb 28 2009 	 Excelente localização 
 Feb 24 2009 	 Bien Ubicado ! ! 
 Feb 5 2009 	 excelente excelente excelente 
 Jan 12 2009 	 Ottima posizione camere confortevoli 
 Dec 28 2008 	 Super Hotel 
 Dec 5 2008 	 dipende da cosa ci si aspetta ... 
 Nov 6 2008 	 très bel hôtel 
 Sep 25 2008 	 Guter Preis und Lage 
