great 	 third stay London past 12 month continue excellent . Book & quot ; Vista Suite & quot ; get room separate , generously proportion sit area bay window big curve sofa sit read New York Times coffee spectacular view Central Park ( river high enough floor ) . really believe room great value consider size / cost option mid town hotel standard . located couple block park , shop 5th avenue , carnegie hall half block Moma , ideal position long weekend NYC . feel like private apartment . new boutique ( hip ) hotel may eclipse London & quot ; cool factor & quot ; , hotel offer good looking , functional , immaculately clean room ( still smell brand new never smoke ) , quiet . get old want hear thump hotel bar 3:00am London pleasantly peaceful . restaurant food good , especially breakfast selection . gym well equip free WiFi . concierge department helpful doorman remain touch edgy . , go wrong choose London . 
 Jan 12 2008 	 Good Midtown Hotel 	 travel New York business three time year , one reason another , usually relate availability , not stay hotel twice . make effort revisit one though ; good - service , room , amenity , everything . downside , small downside , doorman bite overzealous whistle hail taxicab , hear room face front . room size excellent make minor problem . room size important , especially New York , especially stay one NY hotel bathroom small keep knock razor bathroom sink toilet . get idea . 
 Jan 8 2008 	 overrate London NYC 	 arrival London NYC appear modern glossy contemporary hotel expect . however , service helpfulness staff short supply . course 7 day stay , due booking able eat one evening meal hotel Gordon Ramsey Maze Restaurant unless want eat 5.30pm another occassion . expect eat every evening . one meal able book 9.30 pm 5th day arrival restaurant tell table ready . sit bar 25 min , go ask table ready . , seat another 10 min menu wine list present we . despite 9.30pm reservation , order meal 10.30pm . dress code adhere many people eat jean trainer spoil whole ambience . afternoon tea hotel one occassion amaze charge $ 35 half dozen mini - cake half dozen mini - savouries pot tea & amp ; coffee ! suite hotel blandly decorate comfortable . lighting bedroom abysmal . not enough light select clothe hang rail properly . ( wardrobe make room look untidy ) . order room service couple time ( coffe etc facility suite ) although delivery cost gratuity already add bill , room service guy hang around tip time . overall think hotel rely fact ' Gordon Ramsey ' restaurant tag , unfortunately live hype . 
 Jan 5 2008 	 Fab Midtown Pick 	 new London NYC fabulous midtown pick . walk distance Times Sq , shop 5th Ave , MOMA . trendy décor , slick staff , efficient concierge desk - expect NYC . suite nicely appoint shade blue , grey , silver . room airy spacious , rarity New York . living room elegant comfy semi - circular couch hug window . love reading paper coffee . well design work station -- ample light , sleek ergonomic chair , several plug point . door divide two room , nice privacy . really great bed well calculate lighting bedroom . loved separate dressing room plenty space huge mirror enough two . plenty space spread luggage without make room messy . bathroom nice . minimal , well design lot counter space lighting . commode far end rectangular bathroom ( well ) . shower space uber chic practical – rectangular space shower head end side - by - side shower . great couple pm somewhere . great ' share anyone else ! Vur love 3 night stay 
 Dec 31 2007 	 Poor Service London 	 room large gym good machine . high point . every service subcontract , include concierge . eat breakfast restauant , compe make dismal service provide concierge . request fun night 50th birthday great restaurant fun entertainment afterwards . concierge send we restaurant provide would consider one overprice disgusting meal ever eat . imaginative suggestion entertainment comedy club afterward . unfamiliar comic_strip routine . could get well advice cabbie . room large furniture stark cold uncomfortable . drawer room except desk night stand bedside . would give place one two star good day . 
 Dec 22 2007 	 Love ! 	 think hotel wonderful ! clean , sevice helpful . problem room could hear noise street , provide ear - plug , still noisy . 
 Dec 11 2007 	 Great Looking hotel disappointing service 	 Group 4 girl annual visit shopping NY . first time visit London NYC . want stay suite together take 2 bed 29th floor . minute arrive service disappointing . message leave reception pass . concierge handle basic reservation hotel anything complicated resist . room service really take 30mins teapot . room really nice . bed , sheet pillow absolutely fab . Towels shower fantastic . privacy bathroom good door slide gap . view room . eat bar Maze ( bistro ) . food good . bar small portion bit surprise price not reflect . maze brilliant concept . food service without fault , exception hostess use popularity restaurant excuse less fully courteous ! location great shopping eating want uptown buzz . doorsman great character bring Riga , experience delighted chat . , shame , sorted service , element firm favourite . London expensive inconsistent attitude service GR may hot new , crowd move arrogance host note . btw lunch St Regis Sat - fab little bar , amazing service feel like royalty one busy day year without booking . old style service , real sense brand represent , London could learn . 
 Nov 27 2007 	 expect suppose 5 star hotel . 	 expect suppose 5 star hotel . room bath , large shower . also fan bathroom , privacy non - existant gastrointestinal need solitude . when arrive , turn bed find goo sheet transfer different room immediately . the lobby small , without kind sit area . stay Ritz Plaza price . 
 Nov 21 2007 	 Gorgoeus Rooms 	 hotel recommend American Express Platinum card really impressed get late check - out , free breakfast afternoon tea booking . room fantastic - excellent size ( consider be NYC ) , great decor really quiet . staff lovely helpful find location ideal shopping 5th Ave . criticism service breakfast little slow inefficient , would definately stay 
 Nov 18 2007 	 bad ; hope 	 want surprise fiancé birthday weekend little getaway right city . let say New Yorkers partial Parker Le Meridian ' ve stay several time . want try different hotel flair Le Meridian might turn notch term style comfort . I pick London base review read Trip advisor . give fact reservation last minute , expect expensive . even still overall find hotel comfortable staff friendly . the room comfortable large . food , however , average staff botch first room service order . gracious resolving problem . overall would say London good hotel , especially be visit New York want center city within easy striking distance good dining , good shopping , theater etc . Book early get good rate room ! 
 Nov 7 2007 	 price much well ! 	 hotel impersonal , soulless midtown monster high room rate tepid service . go NY frequently ( month ) , think know price . hotel deliver . first TripAdvisor review ever ; disappoint London NYC move sign post review . room service slow ; always make sure take maximum time deliver food ( 30 minute ) , even coffee . , leave something dinner order go fetch . rather common , really not hotel price range , hotel 's shortcoming ( ) , simply add grow list disappointment . learn room service mistake par course . decide request newspaper , ask twice . also , call concierge say would like order two newspaper ( mean NY Times Financial Times ) misunderstood we say could one paper , hotel make sure enough paper go around ! ( hello , say . be look one copy two different paper . ) miserly . paper show 20 minute later . ask refill room service coffee , begged deliver quickly standard 30 minute , get reply : & quot ; will ask , can not guarantee will able it . & quot ; ask moon . also try brunch lobby restaurant . waste time . walk , could see restaurant overrun crowd look like ignore ; least half - dozen unbusse table clear view , one way clear . almost squalid . hostess begrudgingly offer clear table we . long pause , wandered table lazily pick item ; seem lose interest halfway task begin conversation co - worker . stand around awkwardly moment wander , probably would hope 'd . truck - stop coffee shop would well service , slightly less ambience . end Carnegie Deli , block away , glad . hotel 's decor : cold sterile . rely heavily color would describe & quot ; sage & quot ; seem really break neck stay squarely within bound current notion & quot ; tasteful , & quot ; whatever . take risk . result stultifyingly bland . white - shoe law firm would happy look . year ' time look tired institutional - let veneer wear . warmth zero personality ; sort metaphor service ethos . hotel 54 - story building south Central Park probably stunning view . would not know ... sadly , consign 9th floor , look back someone 's apartment fire escape . aside usual traffic noise one get NY ( be use ) hear dog bark night . room outfit though Leona Helmsley 's penthouse , overstuff circular sofa marble top table , dreary back - alley view ( see picture ) . could creative low floor room , warm bit skip Louis XIV - meets - South Beach look , bother . undoubtedly get volume discount furniture , carpet drapery . check , front desk clerk dutifully ask we stay . say not impressed . forget exactly say , not matter . honest , really could not care less . the friendly people bell staff , be be tip . 
 Oct 31 2007 	 outstanding hotel first class ! 	 return three night London nyc , New York . first class hotel beautiful suite . totally agree pictures justice , room much big exceed expectation . negative hotel , service great , food fantastic ( although expensive , would expect 5 star hotel ) bed well ! really , really comfortable . think choose hotel please go , will not disappoint . family shall definately stay next time visit Big Apple .. 
 Oct 27 2007 	 Favorite HOtel NYC 	 August October stay Christmas . love ! staff friendly love afternoon tea . room large ; 1 bedroom suite 2 bed . one daughter sleep couch plenty room . bathroom big . recommend 25th floor high room decorate warm color much comfortable sofa ; bathroom large ; bathtub , room low floor shower . hotel 5 * sure ! 
 Oct 20 2007 	 absolutely loved ! ! ! 	 spend weekend alone NYC post long week work . London NYC little middle NYC ! Photo 's website justice . room much big . comfortable . great friendly efficient staff . super bar ! trendy . not eat Gordon Ramsay 's packed night . definitely recommend hotel . location perfect - walk everywhere ! 
 Oct 15 2007 	 amazing hotel excellent service 	 stay hotel 2 night end July . hotel wa sone good every stay . near everything New York . room amazing view 37th floor excellent . staff also brilliant arrive 10 am even though could check 2 pm . surprised hear room ready amazed speedy service staff . we even allow late check - out flight evening . 
 Oct 15 2007 	 Miss Righa London NYC Fine 	 long time fan Righa love . first stay convert London NYC . contrast Righa , London NYC hip , stylize fun . aesthetic room visually stunning . living room portion room much work friendly Righa couch uncomfortable much fun sit . bed nice ; great foam mattress . bed California king traditional king . linen top notch . bathroom visually pleasing bathroom small one Righa . tub take shower make large . , hotel still nice great location . think new hip stylize look wear well ( stylize couch already stain ) still great location great room size . 
 Oct 2 2007 	 Great Hotel 	 fussy come hotel - especially New York ! hotel nice surprise . ' candid ' photo make room look bit dingy infact much large expect nice clean . bed extrememly comfortable location perfect - block away Central Park close 5th Ave Tiffanys Saks - road moma . nice hotel . 
 Sep 6 2007 	 close premier hotel 	 take chance book 3 night stay despite negative review Tripadvisor . hotel operate London less year new owner obviously spend million dollar renovation use top line material . yes , modern livingroom furniture attractive comfortable , bed make hard couch chair . management spare expense mattress , sheet pillow . clean person keep forget replace dirty glass clean glass , he / she leave clean rag room one afternoon . wait 20 minute car , find sit front not call . willing overlook mistake wonderful everything else . well staff training would move hotel next level would make premier hotel . would stay , would disappoint stay anywhere else next time be New York . 
 Sep 2 2007 	 ' m fussy London ` ` keep satisfied '' 	 hotel excellent . well situate Central Park , major store , Apple , MOMA etc . I suite superb - modern , stylish super comfortable . the staff could enough extremely professional . like say head , ' m fussy London give absolutely nothing complain about . I want late check plane leave evning . speak reception say absolutely fine .Most place pull face , moan groan relcutantly give extra 2 hour check time , charge . I get 5 hour charge . would go back ? - yes . would recommend ? YesGo ! 
 Aug 22 2007 	 everything expect ! 	 can not believe people complain everything , make thing major ordeal ! ! want good hotel NYC , stay somewhere else expect pay alot per nite ! wife stay London NYC 3 night love ! modern contemporary feel - exactly wanted . Everything & quot ; new & quot ; since remodelle last year - , clean spacious room . great location , check - in staff nice . service London Bar could well , especially $ 15 per drink ! advice , go elsewhere food drink - many great establishment Manhattan , bother sit hotel eat ! overall , hotel excellent value absolutely come back next time . truly think recent naysayer post extra , extra picky ... 
 Aug 19 2007 	 relax Stylish Hotel .. Great Location ! 	 husband visit friend New York away without 4 child . moment walk hotel take away ! beautiful lobby nice walk . Front Desk staff excellent . show room really happy decor . stay King Bed Flat . small suite , nice . not need suite . thing not minibar . , fine .. time . travel stay many fine hotel throughout world picky . really think decor beautiful . bathroom do Waterworks tile floor beautiful shower . use concierge service several time excellent . friendly give we great idea . would definately stay . never experience bad service . everyone extremely friendly . 
 Aug 15 2007 	 need ! 	 spend four night London NYC recently friend 's wedding . terrific hotel centrally locate Midtown next Ziegfeld Theater several block Park . room spacious nicely appoint ; sit room divan , chair , desk , separate bedroom king bed huge bathroom double shower . room flat panel television wireless internet . find bed comfortable super soft sheet room extremely quiet NYC ; 27th . towel toiletry nice well . enjoy meal downstairs Maze one evening . 's lively place attentive server delicious tapas size offering . reserve far enough advance accommodate Gordon Ramsey , , accord several people dine , like place earth ! 
 Aug 13 2007 	 Uncomfortable Hotel Terrible Service 	 stay four night July20th one bed suite two bed suite .. whilst love New York , could say Hotel . the suite spacious , furniture soooo uncomfortable . there tea coffee facility suite , service worst ever experiance . room service slow , arrive order wrong . breakfast , three we get breakfast whilst two wait another twenty minute , get wrong order . well far go food . but third morning raining decide try again . bad decision . service even worse , two get breakfast 25 minute , other get wrong order 40 minute . when check even give we wrong bill . for price level comfort service totally unacceptable . would stay ? no . absoloutly . never . 
 Aug 8 2007 	 Great experience 	 back London NYC New York overall great experience . admin frustration though . we originally plan rent apartment Upper East Side month ago decide try switch hotel . reserve two London Suites online ask two twin bed room close other . all confirm although rang confirm week travel bit vague promise . on arrival NY tire trip initial impression London & quot ; wow & quot ; sadly room booking fear require apologising end twin large double . after initial annoyance stay superb ... checkout comment later . the room first class , comfortable , cool ( good air con 95 degree heat outside ) great attention detail apply . the room superb technology , ipod dock , Plasma tv , interactive phone electric blind . one room ( 51st floor ) great view Central Park ( worth ask view ) bathroom luxury way . abundance fluffy large towel lot toiletry great walk shower ! staff friendly concierge helpful . overall time London fantastic , central , immaculately clean frequent business traveller fussy . our kid adore place everyone friendly kind they . onto checkout . frustrating charge take place although sort , take long time put low last couple hour enjoy light meal bar whilst wait car JFKIf set aside bit admin frustration overall experience first class would go back tomorrow without hesitation ! beware price extra , minibar , breakfast food & amp ; drink bar price high side ! top place - go ! 
 Aug 7 2007 	 give miss ! 	 well read various review Trip Advisor mostly positive . like contemporary hotel regular customer Gordon Ramsays London . take plunge error . we half way stay already move brief fellow traveller . we 2 x 1 bedroom suite wife two 22 yr old son . suit spacious lack room clothe . we check 8 pm maid still finish room . order room service one dish miss arrive rest family finish . item miss ask . herein lie theme everything London ask chase . Breakfast Maze major aggro 45 min wait food , orange juice ! surly service . non meat eater find half way mushroon omellete ham ! rescue Lady Manager apologetic breakfast house . the Hotel say GYm would ready early 2007 , ready house temporarily dingy hot room would grace run state run sport centre . mini bar stock chase every day get restock . in summary service poor seem part culture advice plenty hotel NYC live expectation US level service . think Gordon make big mistake associate culinary standard service level outfit . Steve & amp ; Linda Jones UK 
 Aug 7 2007 	 spacious Comfortable Hotel 	 wife stay London NYC 8 - 2 / 8 - 5 . suite 51st floor fabulous , room 5114 . open floor plan several large window . bed linen top notch . one little f.y.i . , beer little steep lounge front lobby . return see Police Madison Square Garden pick couple beer take room . $ 10 , ouch . pleased . room quiet , comfortable feel rate reasonable level quality size room . 
 Aug 6 2007 	 pleasantly surprised ! 	 Clean well locate Central Park . price bad Manhattan . ' stay St Regis Four Seasons . hotel clean room large . would recommend give try . décor bit funky care long clean spacious ! 
 Aug 6 2007 	 Stylish Solitude City 	 boyfriend & amp ; plan last minute trip City see friend , catch show Yankee game , eat heart content . choose London perfect Central Midtown location unwind , take shower , lie head day 's hard work trompe around city , course catch occasional quick bite . basically wound except latter . like Rihga Royal , property ' prior incarnation , all - suite hotel . room spacious stunningly simple décor . get opportunity see one room first room smoking floor result smell like casino , ask change . Bellman make quick phonecall take care we immediately . ' even go back front desk . bring we high ( large ) corner suite , let we Master key go reprogram key card we . service ! long day travel , choose grab quick bite Gordon Ramsey ' restaurant ( Maze ) downstairs . would first last time so … terrible food – much $ $ $ $ little & quot ; taste menu & quot ; portion almost insultingly small . think tapas , much expensive ! not go appetite , , make sure least wallet full . as rest hotel , encounter EXCELLENT service smile staff member encounter , thoroughly enjoy stay . room wonderful , bed incredibly comfortable , ability listen tune iPod use room ' iPod docking station ( room ) allow make home quite easily . the style room hotel modern , look vintage " Old School " New York experience , hotel . fact modern décor pose problem ( minor one ) would caution traveler about:1 ) sofa living room area comfortable enough sit moment , consider option sleep whatsoever . word , quick afternoon siestas , stow unexpected overnight guest . bring to … 2 ) bathroom ' décor modern small slide door separate rest entire suite . lockable , neither sound view - proof , would recommend " well - season " couple solo traveler bear mind booking . also door one bathroom , mean shower door either ( see photo ) messy one enthusiastic cleanser . overall delightful experience one would absolutely repeat ! 
 Jul 30 2007 	 Midtown Glam Chic . nice . 	 Swish Lobby , great vibe form moment walk door . room huge NYC standard . Liked decor except powder blue settee date look already & amp ; get even , quick . powder blue decor fav . & amp ; bit cold & amp ; hotel - y still nice room . bathroom though fab . gorgeous double end shower . clever use space . staff nice & amp ; well train . concierge great . Breakfast delicious & amp ; might good omlette ' ve ever . bar / non - formal dining room slick . love room . Art Deco & amp ; Hollywood Regency meet 2007 . would definitely recommend . esp . summer special room . definitely worth money . esp . NYC . 
 Jul 27 2007 	 would love stay hotel 	 town see Kelly Regis show decide go check London Hotel . thought might drink ask hotel manger sneak peek one room ! stay ny least 6 time year . live NJ like stay summer holiday child special occasion . normally stay Marriott Times Square New York Palace . check fabulous review go see hotel booking stay . walked greet doorman extremely courteous . show we way bar area . arrive around 4:30ish~ place empty choice seating . bar staff excellent . bar manager Joshua exceptionally friendly offer suggestion bar menu . order Champagne Pear cocktail Ginger Provincial drink take breath away~ drink $ 12 $ 16 bar area expensive tell good two drink ever ! little short cash decide order two drink share ! ha ! good decide charge bill ! ! ! ! ambiance drink service~ could not leave ! happen restaurant week city dinner special 3 course meal $ 35 ! ! ! decide stay dinner ! ask Joshua could show we one room hook we Front Desk Manager Michelle Matthews~ awesome ! take we empty room awe decor . room super clean~ Fabulous art deco couch window ! check hotel photos~ exactly accurate ! double shower ! travel lot never see double shower~ rain shower fixture bed~ sooooo comfortable~ yes lay ! could not help . Michelle give we history hotel~ 8 month old~ show we new meeting area room work look NY city ! get back elevator pleasantly surprised see famous actor ! dinner fabulous ! everything cook perfection ! famous chef Gordon Ramsay~ say come weekly say hi guest night before~ Joshua guest tell we information . befriend guest stay hotel bar question hotel service rooms~ give 5 stars~ say third time buisness~ laywer love staying hotel . OHHHH forgot mention bathroom bar area ! awesome~ 10 - 15 intimate stalls~ fabric towels~ lot anemitie clean right spot soon leave ! check even not go bathroom ! ha ! time leave bar area around 7ish~ yes , quite ! jam packed~ get early ! one last thing ! notice order drink appetizer people afternoon tea there~ tea service 3 - 5:30 . can not wait stay London hotel ! ! ! go reserve room today stay August ! let know go ~ Sue 
 Jul 26 2007 	 Top Notch hotel experience discern well heal 	 whole excellent smart hotel experience , rather pricey , worth discern traveller high expectation hotel accomodation location . great Mid - town location , close Central Park , 5th Ave , Carnegie Hall many Broadway theatre . good 10 minute walk Times Square , right subway station walk much . attractive quirky contempory interior design throughout hotel spacious bedroom suite , although lighting bit low sparce taste . comfortable bed linen bedroom well great gadget , tv & amp ; IPod dock station . impressive minute designer shower bathroom . good spacious lounge & amp ; study area large bay window oversized chaise . helpful knowledgable conceriege , swift effecient friendly reception staff - nothing much trouble . would highly recommend Gordon Ramseys restaurant special evening meal ( albeit kid ) - whole experience high standard , food delicious service efficient professional , still deliver humour warmth . wine rather pricey excellent . set meal two reasonable pricey wine set we back 500 dollar ex tip . one thing strike we par exorbitant in- house breakfast menu , may forgive volume standard food exceptional - regrettably ! stay hotel would therefore recommend take breakfast close dinner deli 's , recieve renoune NYC breakfast experience fraction cost ! stay NYC 3 night two son 2 bedroomed suite situate 34th floor . pleasant rather obstruct view Manhatten river high rise building hotel surround we . 
 Jul 19 2007 	 can not wait return London NYC 	 absolutely over - the - top experience begin end . least expensive spot town , defy find hotel caliber offer suite size low price . will not . since hotel freshly renovate , every inch property spotless & amp ; fresh . London Suite 17th floor silent window close . suite parlor separate bedroom small entryway & amp ; well - light bathroom , enormous . huge mirror bathroom wall separate fabulous light panel make makeup application breeze . addition , shower area ~9 ' x 4 ' & quot ; rain shower & quot ; type fixture one end , & quot ; shower massage & quot ; fixture . also Euro hand - hold fixture , basis cover regard shower option . bed offer super deluxe pillow - top comfort , pillow fab . linen high thread - count sateen . ambiance minimalist / elegant suite & amp ; throughout hotel . not try restaurant / bar . loved every moment & amp ; look forward return . hopefully discount rate continue forever . 
 Jul 18 2007 	 Excellent stay London NYC 	 wife recently stay London NYC two night , July 16 17th . stay suite 41st floor . request view central park receive . however , not make big deal future . park view mostly block another skyscraper directly front London . could see far right left tree great view . quiet high floor . also request room double shower head . good idea ( especially someone might want shower ) . one head rain shower pressure good running . note , shower completely closed . glass door open middle . water splash little . thin mirror middle shower . good shaving . air conditioning work well toiletry high end . room modern side lcd sitting room one bedroom . ipod docking station take advantage free wireless internet room . we think service front desk concierge helpful polite . way , eat dinner Amalia Telepan excellent . hotel everyone . like stay modern & quot ; swanky & quot ; hotel NYC . look cozy , rustic , charming , old school , cheap , probably place . book thru hotel 's web site use AAA discount . also , not park hotel charge $ 55 / night . pay $ 28 / night . 
 Jul 11 2007 	 new favorite NYC hotel ! 	 incredible property 's expensive worth . room gorgeous , first class way . every room suite 2 flat screen tv . bathroom like spa highly recommend dine Gordon Ramsay - 's dining experience ! 
 Jul 5 2007 	 swish suite 	 stay London NYC six night June . New York hotel price June high , whilst cheap $ 367 per night ( use special offer AMEX ) , think receive good value money . suite spacious exquisitely decorate ( basic suite , city view ) . enormous bed wonderfully comfortable appreciate electric closure curtain . bathroom chic functional gorgeous white glass mosaic tile , though shower screen could big avoid wet floor . calm return day sightseeing often return suite afternoon put foot refresh go evening . concierge helpful give good guidance use subway system , recommend restaurant etc . criticism would slide door bathroom dress area seem cheap shoddy compare everything else seem like afterthought . dinner GR real treat , breakfast hotel , prefer go Au Bon Pain nearby . 
 Jul 2 2007 	 one Favorite Suites ever 	 move back London , first trip stateside seem appropriate stay London ! last meal London Gordon ramsay Royal Hospital Road great us sample nyc.the hotel great location place like hang - 5th Ave , Central Park , easy access Upper West side downtown . within walk distance favorite restaurant ( Jean - Georges , Vong , Sarabeth 's , Le Bernandin ) , ton great shopping 2 - minute walk MOMA.The hotel lobby small quite impersonal . nowhere sit hang . , would go London Bar ( tapas version GR 's restaurant ) would order drink . staff friendly bellman / doormen kind work tip not go tip every turn , not expect move hair help . our room 23rd floor - small - sized suite . imagine large room partition half sit room area bedroom . loved detail like flat screen , automatic blind , etc . - chic boutique - like . love sit area friend movie night Magnolia cupcake drink one night ! comfortable . the bathroom nice single shower head - miss double shower head read . fixture nice , newness great ! place clean - housekeeping good job every day . bed comfortable , pillow . all , would definitely come back recommend other give shot . ' ve stay Waldorf Astoria , Waldorf Towers , Hilton formerly Drake / Swisstoel . favorite hotel - would Waldorf Towers , accidentally wash sister 's favorite stuff bunny never bother apologize compensate we poor service . 
 Jun 4 2007 	 stylish 	 husband spend two night London see review UK magazine . disappoint , love space proper door bedroom sitting room . bed comfortable shower room chic mosaic marble tile floor . ( ' m sure 's good idea eliminate bath completely enjoy double shower ) . unlike many hotel , WIFI work charge extra . bar good ambience pre dinner drink Ramsay restaurant surprisingly ok give hype . the thing trendy New Yorker friend like colour sofa- could live two day definitely consider return excellently locate hotel . 
 May 10 2007 	 Style Comfort 	 recent stay London NYC overall great experience . say attitude concierge pleasant & amp ; front door service slow , rest staff front desk , room service , housekeeping restaurant friendly , attentive professional . the room large & amp ; beautifully appoint . choice furnishing linen flat screen TV 's ( 2 ) , nothing less perfect . ( couch firm look great ) . enjoy large umbrella available use well fluffy bathrobe , slipper great toiletry . room service prompt , egg bene bit overcooked fruit fresh & amp ; sweet ; coffee good & amp ; strong . I enjoy high tea bar area rainy afternoon delight selection service . afternoon cocktail bar expensive , line NYC bar . bartender offer great suggestion service fun , lively atmosphere . Radio City , Carnegie Deli , MOMA & amp ; great shopping walking distance . cab slow front hotel , easy catch short walk street corner . I prefer small boutique hotel something old world charm ( modern personal style ) find hotel welcome warm excellent location . stay . 
 May 2 2007 	 Ice Queen Barbie decor ( comfort level ) 	 mean , stay London NYC always want see like live & quot ; Ice Queen Barbie 's Dream House & quot ; circa 1962 . ghastly light blue striped settee dominate room 's & quot ; seating & quot ; area ( prove even less comfortable might expect life - size dollhouse furniture ) . least eye - opener depressing gloom hallway . annoyingly inadequate lighting level continue sleeping area . guess Barbie never much reading bed . on hand , not stay London NYC think hotel bathroom door bite luxurious . ( fair , slide modesty panel almost cover whole doorway . ) bathroom decor spartan ice white gray tile glass . little thought give guest convenience . bizarre shower stall ( 6 foot long 2 foot wide individual shower head end -- can not use ) evoke institutional locker room romantic rendezvous . lack towel bar mean put bath towel floor outside stall able reach need . will not return . 
 May 1 2007 	 Phenomenal Hotel 	 Normally , write review busy life allow little time . however , feel compel share pleasant experience other . our stay London NYC nothing less excellent time arrive time leave . bellman readily available drove check - in process prompt friendly . arrive early expect quite pleased room await we 9:30am . shortage staff could not friendlier courteous . not unusual greet 7 - 8 ( ) staff member make way front lobby room . room attendant nice accomodate . quite unusual experience & quot ; southern - style & quot ; friendlieness NYC . big thumb management ! ! ! room , say enough . clean - important . look modernly unique spacious . bathroom impressive ( , clean ) over - sized spa - like shower offer various showerhead spray . slipper robe nice add touch . bedroom beautiful french door separate main room . bed comfortable . 2 tv 's optional head set . favorite feature include powered curtain sheer open close via wall switch well sofa table lift electronically become dining table . feel like spend 2 night & quot ; room future & quot ; ! ! city attend family event , opportunity dine hotel 's restaurant , Gordon Ramsay , know fabulous . , however , cocktail London Bar ambiance quite pleasant . hotel locate superb area Manhattan , block Central Park close Broadway 5th Avenue , make convenient everything city offer . able walk everywhere go . downside stay London NYC spoil phenomenal hotel likely make stay hotel disappointing . 
 Apr 30 2007 	 good new hotel slight issue 	 stay week London NYC like location , room brand new large nice NYC . stay low floor high floor room . although high floor room / suite good view city , bridge bit park prefer low floor room . cozy well feel . wish stay whole time . room clean nice easy live . bed good linen fine . bathroom good also . safe need new battery take two phone call , electrical outlet bathroom work . room service AMAZING . chef fantastic , Gordon Ramsey , everything devine . one major problem though . stay 54th floor get elevator leave evening son . press lobby button start descend . lift stop suddenly , shot begin fall . free fell hear bend , moan groan metal hit together think going die . son looked said & quot ; love Mom . & quot ; throw forward hit emergency stop button alarm . security come loud speaker say & quot ; & quot ; , bring . good start evening . traumatize break time get back elevator building . glad leave . management credit one night stay trouble . my Father call hotel find happen concierge tell upset run late elevator stop often . LIED . tell service put use day fall . management close elevator inspection / repair . let work bug stay . great value point . 
 Apr 29 2007 	 Nice Large Suites ... 	 initially please hotel arrive @ London NYC . however , street not prettiest , surround area . flip side , be centrally locate everything need : Met , Ed Sullivan Theater , MoMa , shopping , etc . also room large ( suite ) , clean tastefully decorate contemporary traditional flair . room least 725 square foot , beautiful hardwood floor instal hare bone pattern , Waterworks bathroom fixture , glass mosaic tile wall bath , 7 ' two person shower ( rainhead shower , hand hold standard shower head ) white carrara marble bath vanity , mosaic tile bath floor thirsty robe . complimentary one day internet -- charge 12.95 / day , well stock mini - bar , two flat screed television nice lineup free cable channel ( HBO , etc ) , ipod hook - up alarm clock , plenty storage luggage , decent view room 46th floor , drape sheer control electronically , comfy bed ( comforter pillow - synthetic pillow available request be allergic wife ) , desk ample work space speaker phone , comfortable couch leather rock chair livingroom make quite happy . real complaint hotel noise . opinion , not insulate sound well renovation hotel . could hear water rush pipe neighbor shower every single time someone enter left room could hear front door slam shut . hotel adjust mechanism door would keep noise . point , be whole lot do plumbing noise . live downtown Chicago accustom quite bit noise . perhaps newness noise bother . nevertheless , sensitive thing keep mind ask room farth neighboring room . also , think room close area housekeeping may keep supply . morning four day stay , hear door slamming shut , regularity , 8:00 10:00 . one note caution , believe still renovate hotel may hear construction noise 8:00 9:00 . staff , everyone friendly helpful . not chance dinner restaurant , drink appetizer . blt tasty bar quite busy Thursday around 11:00 pm . not know would repeat meal cost $ 50 ( tip ) sandwich , drink french fry , tired seek anything else . would consider stay , money would look option well . main reason noise issue . could fix , hotel maintain current level cleanliness , would not think twice give another try . 
 Apr 25 2007 	 Perfect Getaway Weekend 	 make recent trip NYC choose stay London NYC hear friend . honestly say hotel staff exceed expectation . minute walk , feel welcome pamper . lazaro front desk never fail greet name whenever see . concierge helpful booking in - room massage time want . room service fabulous show exactly time promise . lovely suite 36th floor . newly remodel decor restful -- clean , simple line subject someone else 's taste art . memorable hotel experience definitely return . 
 Apr 20 2007 	 Great Hotel Impeccable Service London NYC 	 book two night London NYC 7th Anniversary . initially put room smell smoky non - smoker , request different room . put suite one top floor . regular room beautiful , modern spacious ; suite fabulous . large room , amazingly clean bed quite comfortable . staff attentive . location superb . enjoy stay highly recommend hotel other . travel world stay many hotel -- rate top list price location . definitely stay future want quick get - away NYC ! 
