great 	 apart amazing location , hotel charge lot , great experience . everything , mean everything , cost extra . check peasant experience hit large bill 
 good NY hotel experience date 	 spend 2 night mid - Nov , business . hotel conveniently locate , far 5th avenue , close main attraction popular mainstream shop . staff reasonably friendly , helpful professional . hotel ' feel big , nice . like many NY big city hotel , public area salubrious comfortable , unusually also charm character . ' chance visit hotel gym . my room large , well maintain clean , decorate non - offensive slightly bland corporate style . bathroom large , spacious modern , fit good standard . bed comfortable , room well sound insulated . overall , good , functional , business hotel room . however , another reviewer comment , would describe luxury hotel . overall , definitely one good hotel experience NY , usd 400 / night . 
 Jul 9 2008 	 Fabulous Service Unbeatable Location 	 first foremost , service New York Palace fabulous . concierge laundry service everyone , staff helpful , efficient , friendly make we feel home . housekeeping staff wonderful . enjoyed nightly turn service well exceptionally clean room bathroom . need anything , ask need meet quickly smile . our room 20th floor overlook St. Patrick 's Cathedral ... beautiful view . spend lot time look large window . bed linen nice change daily . enjoy able control light bedside table touch button . bathroom clean nicely appoint serve purpose well . love really great shower head plenty hot water . vent fan would welcome addition . the elevator fast never wait second go . fresh flower display lobby beautifully decorate well - keep . historical aspect building appeal we ... original part build 1880' . if could change anything stay , would agree reviewer breakfast expensive , excellent quality . service morning seem bit harry ... thing good , other mediocre ... quite worth steep price . one supper Itsana think good service perfect . one outstanding quality NY Palace location . pleased fact able walk almost everywhere go . adventurous take subway terminal minute two hotel . look forward return NY Palace future already recommend friend . 
 Jul 9 2008 	 Outstanding Service 	 consider world traveler . hotel outstanding stay July 3 July 7 , 2008 . service could well . e.g. -- -i call lobby ice send room . by time get room 33rd floor , ice . amenity quite perfect . Istana breakfast , bar late evening , front desk , houskeeper , concierge desk -- -were eager please hope return Palace . first stay . matter hotel , employee seem stop say & quot ; hello help ? & quot ; training staff must huge task ...... successful . I able get good rate include breakfast 4 day weekend call hotel directly . daily breakfast would quite costly ( standard ) package .... 
 Jul 4 2008 	 overall good effort . even New York ... 	 year primary corporate hotel former employer , Palace send visit client family . finally stay week , report back favorably ( disagree mother 's bellyache circa 2002 ) . cost lot rack rate Palace deliver comfortable room consistent service . be hotel guest city ' ve live long period representative typical traveler 's experience . expectation high know thing , yet requirement actually low reason . impressed condition Palace avoid pitfall New York hotel suffer : staff attentive rather apathetic , facility mean use e.g . well - appoint gym , room properly maintain show ill side effect advanced age . the location perhaps big positive clearly top choice business leisure traveler . notice significant number spanish - speak guest could see many staff equip serve language . speak well way hotel manage . may true luxury hotel , neither rate . suit fine , back personal travel well business . 
 Jun 29 2008 	 not bother 	 think long hard choose hotel stay New York . stay Towers section hotel . positive side , room huge , never crowd either front desk conceirge desk tower room ( different complete chaos section hotel ) . room dusty & quot ; old building & quot ; musty smell try mask cleaning supply ; switch room one somewhat ( completely ) well , would expect hotel rating . manager courteous clearly try please ( however , try get touch front desk / manager near impossible & quot ; guest service & quot ; line not answer least 20 ring . do not bother include breakfast option- service horrible , food much well . soggy toast , butter , cold slimy egg , etc . many plate hardly touch go back clear table around we . service attentiveness breakfast well 2/10 ( ie . , little chance get refill coffee . ) stay several hotel part & quot ; Leading Hotels World & quot ; network , hotel not close league . 
 Jun 23 2008 	 Top Tier Hotel 	 New York Palace perfect choice trip midtown Manahattan , especially be plan see Broadway show business midtown . I rarely notice much staff hotel one way . general rule check 's last see . however , trip hard notice helpful staff . time pass hotel employee say hello ask everything alright . go street get cab bellman would ask want cab , could help direction , etc . rain offer umbrella , etc . service great . the room nice . configuration standard hotel room , nice interior . bed quite comfortable nightly turn - down service . the bathroom good water pressure , standard towel nice toiletry . room nice light include read light bed . could control , along air conditioning & quot ; privacy please sign & quot ; , hotel bed . I nice view St. Patrick 's cathedral room . hotel block good number store , include Saks Fifth Avenue . 's short walk Rockefeller Center , bit long walk Broadway , within walk distance Central Park . cab Broadway quite easy inexpensive . , hotel excellent choice trip New York . 
 Jun 19 2008 	 enjoyable stay brilliant location 	 stay Palace Hotel 3 night May . book standard double room request room nice view ( anniversary ) . allocate nice room 28th floor huge window overlook St. Patrick ' Cathedral . room quite spacious nicely furnish two queen bed ( comfortable indeed ! ) decent bathroom . overall , really enjoy stay . hotel perfectly locate shopping , Central Park , Broadway etc . walk place hotel . staff helpful ( send complimentary strawberry anniversary nice touch ) public area pleasant although huge give size hotel . eat Gilt , hotel ' fine dining restaurant ; set menu $ 82 per head food beautifully present , service outstanding ( without fussy ) panel dining room feel quite small intimate . on downside , room service really expensive tea - make facility room although ' shortage Starbucks nearby . american breakfast include room rate ( otherwise $ 32 per head ) would disappoint pay full price portion generous ( speak female small appetite ! ) food lukewarm time . also , breakfast serve lobby hotel ; enjoy spacious table first day wedge banquette seating next day feel bit self - conscious conversation someone sit close . couple minor niggle … want use internet 5 minute last day check flight . business centre policy minimum 15 minute use internet cost $ 15 . end , agree let we 5 minute free would expect limited internet use complimentary hotel class . similarly , check credit card statement , hotel charge us item mini bar ' use . take several email sort bit frustrating give minimal amount relative cost stay . , small complaint , would definitely stay hotel visit New York near future - although perception good value definitely help strength pound dollar … .ps people overseas use add tax , charge additional $ 55 per room per night various taxis checkout ( include Opodo package ) . 
 Jun 11 2008 	 great location - but expensive cuppa Joe ! 	 fabulous hotel . attentive hotel staff . convenient location . so - so- food room service . expensive -- -If memory serve right pay $ 8.00 cup coffee . would stay eat drink . 
 Jun 6 2008 	 Good Choice 	 recently stay four night New York Palace . location faultless . check quick efficient although charmless . receptionist face might crack have smile ! give room iconic view St. Patrick 's Cathedral forgive ! room palatial comfortable . exceptional bed premium linen plenty closet space , large flat screen tv good quality toiletry bathroom . bathroom palatial luxurious room little disappointing work well nothing lack , plenty towel , little thin . not seem bother environment though change towel ( bedding ) every day whether need . turn service professional . avoid breakfast read previous review astronomical cost put anyway . seem problem lot people lengthy queue breakfast morning . use numerous delis surround hotel get take away breakfast eat room - sound tacky mean alone either ! public space limit rather gloomy original mansion still impressive . frequently get crowd uncomfortable . dinner Gilt , hotel 's ' signature ' restaurant also locate mansion part hotel . seven us service attentive , presentation good astronomical bill end think quite frankly worth it . however , enjoy stay would recommend without hesitation . 
 Jun 4 2008 	 LOVED PALACE ! ! 	 stay palace four night amazing experience . yes , expensive ( average $ 500 per night , mention nearly $ 60 per night room taxis ! ) , NYC unreasonable . LOVED room , love location , love service receive . everything first class . special occasion ask nice room - tell reserve corner King room view cathedral . $ 50 per night standard room well worth . ask room high floor since sensitive sounds night . give we lovely room 28th floor - quiet quite large - 350 sq ft . bathroom marble everything clean . bring complimentary cake room since tell celebrate birthday . bed soooo comfortable . , great stay . would love stay someday . 
 Jun 4 2008 	 great hotel 	 return hotel everything fabulous book 2 room 2 adult 2 teenager arrival give free upgrade room 31st floor stunning view st pats cathedral , rockerfellar centre , times square , even right hudson river also love location would certainly stay 
 Jun 3 2008 	 Excellent location 	 Palace 's mid - town location perfect visit Fifth Avenue Rockefeller Center offer relatively easy - access Broadway ( 10 - 15 min walk . ) package include parking breakfast great ' ve always let we check early . also , concierge helpful making & quot ; special & quot ; dinner reservation . 
 May 30 2008 	 Loved NY Palace 	 spend two night NY Palace fabulous . I pre - booked ( pay extra ) room view St Pats – say ' glad , would disappointed get ' view ' – even though ' spend great deal time room worth ( would recommend $ 35 extra per night ) .from moment arrive moment leave whole experience special & amp ; make feel way . check speedy take room 29th Floor – wow . the room perfect – guess expect pay . spacious spotless comfortable bed . the location hotel excellent , ' close everything , feel like ' little bit hustle behind courtyard . all staff deal genuinely helpful – although downside feel tip everyone – know ' quite normal US , feel bit tired one guy get bag car reception , another guy take reception room – could cost fortune tip ; ) ' eat hotel time – also decline $ 37 breakfast favour local diner $ 7 – ummm … .. , quite enjoy breakfast local . anyhow , love would definitely stay . 
 May 29 2008 	 Welcoming acommodating 	 travel 2 yr old wherever hotel , greet welcome . Executive Lounge great benefit . locker room comfortable , even though gym bit small want work machine . would definitely return service midtown location . 
 may 27 2008 	 Amazing Hotel Amazing Location Amazing Service 	 Wife go NYC Honeymoon stay hotel 4 night . get four hour check - in want check city . expect check bag walk around city . go ask check bag , lady front desk ask we wait see room available . ! catch , bellhop tell we typically first time patron . usually pay room arrive early . call bellhop help we bag . typical , first assume , empty conversation occur . tell , Brian , honeymoon wait elevator take we room . look room number tell we have right back . 10 minute pass get kind mad take long . finally come back tell we surprise . move 23rd floor ( 17th ) side building . Brian tell we first room would ' ve face big brick wall . new room magnificent view St. Patricks ( right across street ) . room HUGE . maid service amazing . thing like price room service ( hey , kind place ) .We book stay hotel website . get discount rate one night free . $ 1600 final bill . $ 400 night - bad . great location ! right Madison 50th 51st 
 May 27 2008 	 Nice stay Palace 	 Managed get good rate breakfast Expedia Memorial Day weekend . the NYP great hotel good location . room large even large tv . breakfast room every morning nice . however breakfast $ 120.00 2 people include rate expensive . negative hotel extra other point . car parking $ 60.00 day drink $ 8.00 . also call taxi Newark airport hotel say could arrange one $ 170.00 . take yellow cab $ 70.00 end . stay Sofitel last July would probably go back Sofitel next time find well overall , however NYP would come close 2nd . 
 May 26 2008 	 good 4 * Hotel NYC 	 stay four night family trip NYC - pick hotel base TripAdvisor rating . good sized room ( incl large bathroom ) central New York well place everything would want short trip . staff mix - friendly helpful , other little bit cold . stay top hotel around world , business vacation - good 4 * hotel good bit short 5 * . 
 May 23 2008 	 Loved ! get Pay 	 's expensive , save money use Travelocity . New York , pay space , Palace Hotel get . room roomy , completely quiet , immaculate , window actually open ( crack ) , large bathroom ( anyone find hotel room big bathroom NYC $ 500 ? ) . bed totally comfortable . incredible view St. Patrick 's cathedral , awesome location near everything . giant hotel lobby comfy chair piano player add experience - much fun place depress front desk area . hotel ridiculously expensive gourmet restaurant , expensive excellent restaurant . internet access $ 16 , glass orange juice $ 10 , in - room movie insane $ 25 - pick extra carefully . staff extra polite point frightening . disliked : room somewhat hot even AC , bathroom fan / vent . 
 May 22 2008 	 Elegant 	 stay Palace prior NYC cruise departure . one thing like property . location fantastic ; hotel within walk distance many NY ' popular attraction . room clean , comfortable nicely decorate . amazing view St. Patrick ' Cathedral . staff could friendly charming . Ana front desk send we bottle wine anniversary ; thoughtful complete surprise . one minor problem ; unexplained reason ( flat screen ) tv would randomly turn would turn . take sign waste time watch tv exciting place . premier property clear staff truly care comfort guest commit provide world class service . 
 May 20 2008 	 incredible 	 incredible hotel beautiful tasteful decor . go restaurant / bar- 's stunning . staff friendly- pretentious stick - up like many posh hotel . could not believe helpful . also , completely quiet room ( sound traffic , etc . ) always case central hotel . would stay recommend everyone . also , be great place romantic weekend . 
 May 20 2008 	 Super Super Super ! ! ! ! ! 	 return recently New York Palace four night stay . check quick efficient . room fabulous . light could turn bed ! ! ( handy ! ) . bedroom beautifully decorate , spotless comfortable bed . first night selection fruit , cheese nicely word birthday card leave husband visit celebrate 40th birthday . turn service night radio turn play soothe music welcome night . staff pleasant nothing much trouble . location great , fabulous shop step away . New York Palace fantastic place stay . Book , will not disappoint . 
 May 19 2008 	 good hotel NYC ! ! ! ! 	 wife 's 1st time city 7th wedding anniversary . staff terrific ! everything smooth start finish . check , room ready early expect . wonderful man check us establishment . kind . love chocolate cover strawberry bring room anniversary . suprise thrilled . view also amazing ! make trip special one . 
 may 9 2008 	 Real Palace 	 New York Palace stun every way . room wonderful , really clean , spacious , comfortable , can not fault way . staff polite , helpful although sometimes overly friendly first meeting , find smile go long way towards make smile ! location fantastic , near Sak 's ? Central Park fifteen minute stroll away , Times square ten minute , Rockefeller Centre literally across road ! okay , be expensive , world get pay , Palace definitely worth cost ! 
 May 6 2008 	 good stay New York hotel 	 stay Palace last day April , together husband , son wife . reserve two bedroom tower section hotel . upon arrival upgrade two bedroom suite , fantastic big , terrific view . service incredible , everything ask get time , even microwave ! ! assign butler ( ? ) show we room . name Papa extremely kind competent , make stay totally enjoyable . & quot ; & quot ; price breakfast . completely outrageous ! plenty restaurant around . , big problem ! location hotel could better . walk almost everywhere . check - in check - out quick . stay staff seam know we everyone address we name ! hope come back magnificent city soon stay Palace . 
 may 3 2008 	 call luxury huge price 	 first say lobby astonishing . unfortunately thing hotel not good . staff extremely friendly . friendly point seem extremely fake . one exception : business center get treat extremely coldly arrogantly . I travel around world lot say bad expensive breakfast ever serve . first quality food , horrible . try continental breakfast include fare . include bad taste muffin ever croissant . ridiculous price 50 dollar two ( plus tax + 15 % service ) . horrible experience try american breakfast . much well least get stomach full course pay ( 64 dollar 2 plus tax + 15 % service ) . scramble egg tasteless half time cold . overcooked time . potato rosti also cold almost every time . everything need salt pepper taste anything . would expect food well quality least fresh prepare . quality food tell otherwise . every breakfast buffet even cheap hotel much well . good food mean well mood . every morning ruin junk . we room 21st floor . corner room spacious nice . nothing spectacular though . bathtub small two people . romantic bath together . main complaint room noise . street busy bring earplug . think noise not much problem high . complain must add tv extremely poor quality . image extremely distort side . would not expect poor quality 5 star place . as American Express Platinum / Centurion cardholder expect much room upgrade promise Fine Hotels & amp ; Resort -program . although hotel high catecory room available not upgrade ( give & quot ; spacious corner room & quot ; ) . complain promise upgrade we high room gategory amenity include room gategory would not give . case would meant small room floor high . decide ' upgrade' . so plenty money waste not mind spend like crazy place . want value money could choose much well . one example outrageous price use internet . 19 dollar 5 minute internet + 2 print . one last warning can not emphasize enough . avoid breakfast cost ! 
 Apr 30 2008 	 great 	 second stay propert although structure beautiful magnificent right . service second time around leave much desire especially well fiancee treat initial stay back february . difference clear moment arrive . first time , bell hop ready help we luggage front desk get us room comfort . time around left fend ourselves . the evening turn service nice dandy time trying find clean lady leave pillow ( hide behind curtain ) . next complaint concierge , would think would somewhat knowlegeable local area ask good place informal brunch type breakfast loss . push restaurant food average price astronomical portion miniscule . luckily find great place call mural 54 serve fantastic continental breakfast buffet around 20 dollar short walk away 65 west 54th street . another peeve although option book floor bed selection tell we get guarantee bed selection ( yes go directly though hotel . ) wary book one room plan two queen bed travel mate , guess may spend time close think . room however consistenly clean around yes would gladly stay ath Palace , hope visit resemble frist second . 
 Apr 29 2008 	 Great Hotel poor Breakfast drink service 	 check website good price call hotel directly cheaper include free american breakfast ! hotel great , large room , beautiful lobby , convenient location . negative , small bathroom , poor breakfast small portion lack lustre service . we also disappoint order two Manhattan cocktail bar strong could drink , order different cocktail still charge cocktail drink . poor show . 
 Apr 29 2008 	 great place one luxurious night 	 afford , great . Got & quot ; deal & quot ; 395 / night==415 Javits tax , etc . one night arrive early ask late check . wonderful deli across Madison -- Reuben 's outfit great breakfast fresh soup walk back . 
 Apr 23 2008 	 New York Experience look 	 hotel absolute gem . classy word go epitome five star service . the check - in area fully staff get see quickly , luxurious room spectacular view could not find fault anything . minor gripe in - room charge internet useage . low - end hotel give away guy ? ( $ 16 day ) take advantage executive lounge food excellent free wine . view 39th floor incredible . also eat ' Gilt ' almost flawless mar loud , boorish lot sit right next we . food unique though . a special New York experience can not recommend highly enough . 
 Apr 22 2008 	 highly recommend 	 stay hotel husband 6 night end March Executive room . would thoroughly recommend executive room , access executive lounge breakfast snack throughout day . room clean , staff helpful friendly nothing much trouble . moan would bathroom small , extractor fan , therefore everywhere get steam . also , keep get smell cigarette smoke come small vent guest smoke room awful . 
 Apr 22 2008 	 Fantastic Hotel 	 go New York celebrate 25th wedding Anniversary . husband book NY Palace directly tell anniversary want good room . moment arrive staff friendly courteous . room 35th floor look directly St. Patricks Catheral , view great . room big Queen size bed , comfortable . shortly arrive room service arrive , hotel management send complimentary bottle champagne box choc , think nice touch much appreciated . stay NY 5 night thoroughly enjoy , great city . hotel perfect location , within easy reach main attraction course shopping . concierge give we good advise place eat . would definitely return NY Palace come back ny . 
 Apr 22 2008 	 great hotel great location 	 wonderful stay hotel . location great sightseeing shopping . New York Palace one block Fifth Avenue Saks . also Times Square , Central Park , theatre Broadway , Grand Central Station etc . within 10 - 15 min walk hotel . standard deluxe room 22nd floor , lovely view towards Fifth Avenue , St. Patrick 's Cathedral . room really spaceious , nice dark wood furniture well really comfortable bed . the room marble bathroom , tub , shower tub , one sink . clean delicate , modern style . marble black / white , shower / toilet / sink gold detail . maybe little bit outdated style , really nothing complain about . all love hotel . 
 Apr 21 2008 	 best ! 	 hotel live review . stay 4 night deluxe room . husband email couple day let know would 15th wedding Anniversary . give room wonderful view St Pats Cathderal . 1st night bring wine , cookie wonderful chocolate dip strawberry ever taste ! conceige fantastic help everything . also thing ask room deliver secondsThe location great - basically fault hotel - small thing maybe bathroom fitting could update really small issue . can not wait go back ! 
 Apr 14 2008 	 NY Palace Great ! 	 wonderful hotel . enjoy everything . room spacious , clean , comfortable . hotel staff treat guest wonderfully . view St. Pat 's amazing . hotel also locate around many attraction easy get around . would recommend stay anyone . 
 Apr 14 2008 	 love hotel 	 stay hotel husband 16 year old daughter . check -in quick porter take we luggage 18th floor ( much luggage leave Terminal 5 Heathrow return 2 week later ) view ok , cathedral side fine . room well appoint bed extremly comfortable . day hotel really use sleep not eat resturant . it handy Rockefellar Centre , Saks 5th Ave , Tiffanys etc .We 4 day love .Be wary taxi back airport ask price get .We pay $ 85 get Newark sure much driver ask we much pay arrive pre - pay transport UK naivelly tell this . all tell great experience would definately go back hotel 
 Apr 9 2008 	 Stellar Service ! 	 wonderful trip NYC - huge part due wonderful staff NYP . ava Reservations , Bellhop , George concierge , Carolyn ... count people make stay special experience . nothing much trouble , even disorganise traveller like we . thank much staff NYP - every cent well spend . Alison & amp ; Emma x 
 Apr 4 2008 	 love New York Palace 	 stay whole family ( 4children age 8,12,14,16 ) 6 day hotel really recommend . room executive floor . nice clean spacious room beautifull view St Patricks cathedral . executive room 39 floor private floor complimentary american breakfast . nice buffet ( every day enough choice fresh fruit , egg pastry ) .complimentary lunch also small buffet delicious wrap sandwich , soup dessert . really nice , meanly businessman comfortable family also . great location Madison avenue . staff also friendly efficient . definitely would go back ! 
 Apr 2 2008 	 luxurious Hotel great location 	 stay New York Palace Deluxe room long weekend March 28 celebrate 10th anniversary . hotel luxurious great location close Rockefeller Center , Times Square , St. Patricks Cathedral ( back courtyard ) Starbucks . room : bathroom oversize big problem vanity . small make up / toilettrie fit much less husband . not major inconvenience find little annoying . like bathroom light make mirror . the bed pillow however extremely comfortable ! also radio great selection pre - save music , work great not set music . the view water tower excpecting floor 11 imagine high floor offer well view city . ammenitie : internet free find $ 16 / day price excessive many cheap hotel offer service free . parking $ 50 / day payment include room bill , find convenient . tip : dinner hour , well hail cab half block away Madison Ave wait lobby 's exit , taxi wait time half hour . mention may already wait 10 minute empty elevator take lobby . 
 Mar 28 2008 	 Good Hotel First Timers NY 	 first , negative : book executive corner room , arrive allocate room 33rd floor . lock break door wait give another room 27th floor . we happy pay executive floor 31st floor . late tired agree use room night . follow morning get message say allocate another corner room 35th floor . complain ? well attitude porter unreal , use rude word lock , argumentative express unhapiness room time give apology member management . charge full amount 5 night stay nevertheless gesture goodwill would nice . the positive . excellent location , executive lounge good breakfast snack /drinks day . great view especially first timer like we . clean comfy bed . would write glowing report . 
 Mar 27 2008 	 absolutely superb 	 wife return five night stay New York Palace . even leave UK , hotel extremely helpful answer question book restaurant etc , arrive , check - in swift friendly within minute thirtieth floor executive room , spacious , extremely comfortable well equip fine view St Patrick 's Cathedral . would strongly recommend executive room benefit include use executive lounge , serve complimentary buffet breakfast , drink , lunch time snack , tea , evening snack etc etc . eat Gilt restaurant first night food superb standard . find hotel staff friendly efficient food excellent . hotel superbly locate . wife consider hotel excellent value money strongly recommend anyone visit New York . can not wait return 
 Mar 27 2008 	 Faultless experience beautiful hotel ........... 	 return first visit New York totally thrill hotel . initial check - in , immediately knew make right decision ; charming staff , quick faultless process , request meet ( non - smoking room , good view etc ) . room perfect - nicely decorate , excellent size totally spotless well spectacular view overlook St. Patrick 's Catherdral . package include breakfast serve 11.00am , real treat . turn - down service include chocolate bunny leave pillow ( Easter ! ) , background music turn arrival back room . the location also perfect leisurely 15 minute stroll take Central Park , less 5 min onto 5th Avenue . if hotel available , really would not consider stay anywhere else . can not imagine quality could beaten , reasonable rate ( get 4 night price 3 park New York Holiday Package ) . not bother waste time look elsewhere - top ! 
 Mar 27 2008 	 Adored New York Palace 	 visit New York first time last September delighted experience , especially hotel . staff courteous , polite helpful . room superb fact could fault hotel way . travel extensively throughout Europe good hotel date . 
 Mar 24 2008 	 NY Palace Awesome ! 	 hotel awesome . stay March 22 - 24 , town see Jersey Boys . birthday trip , hotel birthday cake fresh fruit check . stay executive level , lounge die . food drink , complimentary level , amazing . look forward stay ! 
 Mar 24 2008 	 Perfect every way 	 try get New York couple time year shop . almost always stay Central Park , decide try New York Palace . definitely good decision try excellent hotel . check - in check : arrive 11 able check we provide room right away . doormen front desk personnel helpful pleasant , check breeze . check right noon expect everyone would . issue able complete transaction minute . the room : space , comfort traditional elegance . book corner room , 350 sq ft , large NY standard . gorgeous view Cathedral , window two side . bed comfortable - firm , overly , bed bath linen nice . shower great water pressure Gilchrist & amp ; Soames toiletry . bedside control light , temp request privacy . room quiet never hear nosie street guest room . instead keycard almost every hotel use , Palace issue key . idea nice surprise - maybe novelty , maybe line elegance early era . hotel facility : fitness center spa eighth floor feature cardio machine look upon Cathedral equip individual cable tv screen . provide courtesy bottled water , earphone , towel full locker room . though bring , amuse find could borrow athletic shoe clothe forget ! gilt bar quite amazing mix old modern , ornate high vault ceiling , thoroughly modern bar feature light scuplture behind one end . eat room service breakfast , quite good ( available part package . ) elevator bit slow ' rush hour ' nothing different high - rise hotel . location : block Saks short walk good Fifth Avenue , include Henri Bendel Bergdorf Goodman . bit walk Barneys high end boutique Madison Ave . overall : hotel elegant , comfortable provide understated service . offer varied rate package par similarly rate locate hotel . could find fault hotel whatsoever look forward visit . 
 Mar 23 2008 	 great hotel great experience 	 upon arrival hotel check quickly give room upgrade show room , luggage arrive promptly room service explain . get tip culture sort hotel ( $ 2 move suitcase yard hail cab etc ) stay absolute pleasure . room well appoint , clean , tidy exceptional view . staff polite , friendly helpful . if / when return New York would use hotel great central location attraction , great room ( good size NY ) , service ammenitie . 
 Mar 20 2008 	 Fantastic Palace 	 back long weekend Paddy 's day hotel fine ever stay . staff happy help always meet we smile . the hotel fantastically place 1 block 5th Avenue 5 min Central Park . food excellent , however , preferred eat make trip . great hotel look around web see can not get cheap find first 
 Mar 12 2008 	 absolutely loved ! 	 husband stay tenth anniversary January head back weekend . staff amazing ! hat Stephanie ( Towers Front Desk Agent ) , David ( Towers Concierge ) Brian ( bellman ) . go make stay special . room large beautiful bed amazingly comfortable we . room overlook St. Pats could see ice rick Rockefeller Center . great location could walk many tourist spot . room service quick tasty , staff extremely helpful pleasant hotel hide gem . I highly recommend hotel ! ! 
 Mar 5 2008 	 Perfect Location ... Best Beds City ! ! 	 arrive Sunday noon room ready . stay till Wednesday 3/5 . stay 22nd floor overlook St Pats . past St Pats Rockafellar ( sp ? ) Center . see clearly short walk away hotel . photo hotel nice justice . lobby area busy maintain crisp look throughout day . management hotel commend cleanliness ! ! location Palace among good . 3 - 4 block Time Square , 5 - 6 block south Central Park , across street St Pats , 1 block Rock ... easy walk get cup coffee check today show .... know .. sounds goofy say cool coffee Dean Daluca check Ann Curry Al Roker ... Ann Curry ! 5 star restaurant nearby neighborhood deli 's around corner . easy eat $ 8 $ 80.the absolute good part Palace bedding . sure use exactly get bed right perfect . pillow full hard . sheet crisp comforter right weight . room temperature easy control bedside table . another neat feature always find 5 star hotel light control entire room bedside table . place hit cylinder . thing consider .. location , thing , cleanliness , comfort , service , anything else imagine , could good overall hotel ever experience . 
 Mar 5 2008 	 lovely hotel great location 	 get back new york palace . stay 4 night one standard room say new york good lot space comfy bed . undecided whether stay standard executive room would go standard . miss view breakfast . get good rate hotels.com € 254 + tax . mention hotel perfectly locate . eat whole time much choose . like breakfast want treat , book blt market restaurant ritz central park south . cheap worth every penny . breakfast well ever . also steak lover nowhere else Peter Lugers Brooklyn ( 15 min taxi ride ) . tell would well steak ever , tell Smith & amp ; Wollenskys ( poor ) , bit skeptical right . melt mouth please take trip warn book week advance , could get late table sunday night , apparently hard get fri sit . gilt bar hotel nice cocktail heading dinner . do not eat look nice . I would stay palace , find little complain . check area part lobby need bit update overall pleased . enjoy . 
 Mar 2 2008 	 Fantastic Palace ! ! ! 	 book hotel base strength tripadvisor review . my son , age 15 stay Palace 5 night . good value money . room size nice , large .and exec lounge ....... good american breakfast , light lunch , evening hor ` oeuvresjust fantastic . worth money . eat allso Gilt . good food , serviceis impeccable . we 5 course menu + wine . great .... doormen terrific , hotel othess staff . except one waiter restaurant Istana . must wait longtime food bill too . palace great ... 
 Feb 29 2008 	 Great Hotel 	 great hotel . not expect much pay good rate one last minute site . read many complaint thin wall noisy street lot ny hotel , pleasantly surprised find room quiet , also extremely large deluxe . add , 42 & quot ; plasma great view St Patrick 's church really could not ask more . my complaint service not great . first arrive , not help we luggage taxi not offer bring luggage room . lady serve we also rather moody not raise smile thoughout whole checking process . say , happy carry luggage room mean not tip anyone . expect kind service 5 star , prepare carry bag . overall though , come back ny , would happy stay . 
 Feb 29 2008 	 Great Hotel Great Location 	 hotel fantastic , staff friendly . e - mail hotel prior arrive ask possible room view cathedral boyfriend 30th want make special , upgrade we free large room view amazing - even leave birthday cake room . not eat hotel plenty choice around . would stay . late flight back home hotel look luggage offer we room freshen leave airport . location ideal - within walking distance Times Square , Central Park , Empire state ..... 
 Feb 28 2008 	 true palace New York City 	 hotel surely palace , ultimate customer service . husband treat parent opera overnight . valet remember husband full name , addition valet introduce parent , get sir name rememberd check . hotel room large NYC . location beat . would suggest ask bed breakfast package , include full american breakfast addtion overnight valet partking . treat , worth ! 
 Feb 28 2008 	 Fab weekend 	 hotel recommend agent although little want spend ' m glad . moment walk door hotel make feel good . room newly decorate , large luxurious . guy show room welcome proud hotel . lovely bathroom , big comfortable bed softest sheet great tv . even bring dvd player within 5 min request . good hotel ' ve stay New York . great location . 
 Feb 27 2008 	 way Nicer expect ! 	 overnight last month nine - year - old daughter . former NYC resident 16 year , completely predispose stay Four Seasons check price -- yikes ! know location Palace would terriffic theater plan shop , book standard room rate $ 295 -- price would get one travel site , less half get four season . Valet parking check friendly efficient . room bit small side , offer lovely view St. Patrick 's 24th floor . bed fluffy comfortable , everything clean -- trust , ' m picky account . amazing concierge able score we last - minute reservation Bobby Flay 's & quot ; Bar American & quot ; . Booked Saturday night 5:30 6:30 reservation . impressive . room service price would expect major metropolitan hotel -- opt $ 40 continental breakfast favor quick bite Dean Deluca Rock Center . overall pleasant experience would hesitate return NY Palace future . 
 Feb 26 2008 	 Excellent . highly Recommend . yes expensive worth ! 	 first , breakfast . many review focus , miss wonderful thought hotel . yes , breakfast outrageously expensive . include room rate , avoid . place nearby . rate , go . good ( although option american Breakfast , come toast croissant along egg , etc ) . line downstairs ? yes , . get around ( thank review warn long line ) order room service . breakfast read NY Times overlook St. Paul 's ..... tough beat . find tack bunch cost ( i.e. , tax , service ) ; worry include . now hotel . fantastic . room fantastic ; large , great ammenitie great view . pillow sheet wonderful . everyone pleasant helpful . lobby something see . definitely would stay again . our complaint great location subway . good location Central Park 5th Ave , subway block away . word walk . street street short walk ; avenue avenue long . tip : best way travel JFK take Air Train Jamica station e train . cost $ 7 . 
 Feb 25 2008 	 great location ! ! 	 wife stay one night good experience . check quick , offer upgrade room view St. Patrick 's Cathedral . however , turn would forgo king bed . room big enough , little small something would find Vegas , large ny standard . nice bathroom lux marble accent . love 42 & quot ; plasma screen tv . upon arrival find foyer light room work . way walk around city tell concierge problem , come back couple hour later , fix , quick response time . skip room service meal hotel must save hundred dollar , except $ 18 dollar drink ( berry patch ) GUILT , hotel restaurant bar . yes , feel guilty ( pun intend ) afterwards . great stay , location justifie price room . literally middle . 
