would 	 reason stay location . service not great , room so - so amenity average . afford go somewhere else , please . 
 love location room 	 good experience stay hotel , location excellent times square , experience good , would like stay hotel . 
 Great Location Great View 	 stay Millennium Broadway 3 night 22nd November . hotel simple find access 44th 45th street entrance . location could barely well , right next Times Square ( room overlook 30th floor , amazing ! ) close transport link . check quick efficient although need hotel service , appear staff always hand quick helpful . room good , huge bed , large flat screen tv ( room much watch ) good furniture . bathroom character low side bath ( remind 50 horror movie bath , quite charming ) . downside tea coffee make facility although short coffee shop outside hotel ( starbuck every corner ) . good hotel , fantastic location well worth stay . 
 fantastic location quiet safe however room / hotel need update 	 go Macy 's Thanksgiving Parade careful consideration choose hotel due 's location ability book one room family four . location great , step Times Square , yet quiet alley . it also close major attraction include Broadway theater Rockefeller ctr . price reasonable consider fact major holiday ( book Venere.com ) . room small comfortable , tiny , like room NY , 2 bed assume feel much big one bed . big flat screen t.v fairly comfortable ( bit hard ) bed . though clean , carpet stain bathroom need major remodeling fan , old fixture , etc . much housekeeper do . check front desk friendly accommodating , upgrade we premiere room per request , practically room high floor well view . it lobby , character like one review state . coffee room starbuck next door . this perfect hotel someone look clean place good location rest tire day outside . seem favorable family group woman , rightly , since safe ( doorman late hour ) relatively quiet ( ny ! ) . hotel offer concierge service bell man , feel like cater self sufficient tourist like . time use service friendly , helpful , professional . Plaza , crummy little hotel believe Millennium Company decide give face lift deserve price hike accordingly . check Patzzeria Pizza ( incredible ) Margon ( cuban food ) near . 
 great tourist location decent accomodation lack character 	 Millennium serve need well . mainly sightseeing , although event attend Madison Square Garden . locate half block Times Square , hotel also within easy walk distance Rockefeller Center subway . room 34th floor offer view Times Square ball . room comfortable decent size NYC . bathtub need refinish . flat screen television fine -- remote basic without sleep option function expect . bath product restock daily bath robe fan expect premier hotel . not dare open refrigerator fear charge one friend put Coke get elsewhere . I not rude interaction hotel staff . seem somewhat aloof chip shoulder . millennium lobby basically run somewhat narrowly street entrance 44th 45th street . hotel desk , concierge desk , bell desk , restaurant , small seating area . really expect large lobby sit people watch lack . seem lobby passageway lack great character elegance . would stay , location can not beat . 
 good location 	 stay hotel three night attend conference hold nearby hotel . pay conference rate ( $ 269 + taxis per night ) , think reasonable location . room spacious well furnished . 6 - outlet power strip work desk , convenient . king bed comfortable . AC noisy . stain spot carpet housekeeping apparently vacuum room everyday stay . luxury hotel ; tourist hotel opinion . , expect much hotel , would get disappoint . 
 Apr 23 2008 	 Great Hotel location .... 	 stay one night Millenium enjoy . worker staff friendly efficient . suppose able stay 27th floor maximun use priceline , ask high willing move we 34th . two double bed full size two people could fit pretty comfortably one . view room great , could see small part Times Square . window open bottom , nice look . right across street great deli / chienese / store . bathroom clean . however tv do not good picture sound , regular CRT . overall great hotel stay . 
 Apr 22 2008 	 great location nice staff 	 young daughter return three night stay Millennium . close everything - 50 step Times Square Toys r Us , make happy . Times Square subway station two block away , link train . bell staff wonderful , problem check . even let we check early ( 1 pm ) amazing room overlook Times Square . complaint TV fritz , not watch lot tv . view well . deli across street great . 
 Apr 13 2008 	 Great Hotel ; Great Price 	 daughter spend 3 night city 16th B - day . want view Times Square want comfort safety .......... well , hotel make we happy ! ! ! spend many hour searching & quot ; right & quot ; hotel good price . I get great internet deal hotel ; room recently re - do ; bed pillow comfortable ; could ask well staff ; helpful ; friendly ; efficient need ......... way request view room need pillow ; deliver 10 minute ........... ( say 15 - 20 ) .The catch , get fabulous Times Square view , sleep King size bed ; big deal . the location absolutely great ; convenient everything Times Square ; theatre ; far Central Park , shopping , etc . the work room small , adequate , good update machine cardio - equipment . would stay heartbeat ; especially higher price , well know hotel area . TIP : great local deli / fast food / buffet place right outside back entrance hotel , call & quot ; Cranberries & quot ; ......... 's local favorite . save money time quick meal . 
 Apr 13 2008 	 Modern cealn great location ! 	 great hotel middle . staff polite professional . amenity good : hair dryer , iron , etc ... room extremely clean modern 's decor . bed comfy view ( face south 30th floor ) incredible . pay $ 200 / night Priceline . definitely worth price . 
 Apr 9 2008 	 Comfortable Hotel Heart Times Square / Theater District 	 Millennium conveniently locate heart Times Square / Theater District area . be half block away Broadway , 1 - 4 block away theater . close subway stop 2 - 3 block away . we standard room spacious , comfortable clean . king size bed comfortable mattress lean towards firm side . clean bathroom average size lot countertop space make easy convenient get ready morning . downside room spite locate non - smoking floor , could smell smoke room two morning row , make allergy act . also , wireless internet access poor , although ' m sure connect right one . negative minor overall , highly recommend hotel . 
 Apr 8 2008 	 almost perfect 	 teenage daughter stay 4 night 2nd April . problem either check stay . ( ok , bathplug ( stopper ) fail , chambermaid fix we . ) staff deal polite helpful , meet request high , corner room . room 4411 great view Chrysler Building glimpse Times Sq light . also quiet . ( seem odd , however , not put blanket bed one per room ) .It convenient theatre able get cheap ticket two show , use international student ' union card . although , many thing within walk distance - Central Park , 5th avenue - get tire pound pavement , take Subway . go ' Rock ' , cost $ 20 , free say , worth , queue 11.00am . good local eatery include Ellen 's Stardust Diner ( singing waiter / waitress ) 1650 Broadway ; Applebees ( enormous portion ) , , W 45th St. , Trattoria Trecolori . Times Deli , opposite hotel 's front entrance , good snack , hot cold . a taxi Newark cost nearly $ 80 , inc toll tip . tube JFK , , considerably cheap , Airtrain @ $ 5 . , pleasant trip , help comfortable base Millennium Hotel . 
 Apr 7 2008 	 Disappointed Millennium Hotel 	 book reservation boyfriend 's brother wife stay Millennium Hotel honeymoon . effort make stay memorable possible ( first time NYC ) , pay Times Square view go hotel person confirm would able accommodate ( price ts view expensive nonts view ) . three MONTHS advance . three night , one night go smoothly . first , Times Square room view assure give . instead , view business building . second night , come back hotel room 11 pm find note room say would heat hot water 10 pm till 5 am next day . spend whole day walk around tired grungy come back . worried would happen third night aside housecleaning staff take leftover minibar would spoil , relatively uneventful . end visit , apology , compensation make discomfort go . disappointed hotel . 
 Apr 6 2008 	 satisfied millenium broadway 	 stay 2 night april 2008 . upgrade check - in , reservation priceline book we 2 twin bed . front desk staff polite . get impression treat different full fare customer . complaint . great location theatre subway . 
 Apr 3 2008 	 poor internet experience 	 internet room would work . wireless lobby available alternative extremely slow . move different room 2nd night Internet work next morning , long work . hey , ' m guy computer . highly dependent reliable internet access , beware . 
 Apr 2 2008 	 Fantastic Location 	 husband stay Millennium Broadway 4 night part honeymoon . check not problem delight upgrade superior room . room 42nd floor breathtaking view Chrysler Building . room clean , little batter place suitcase ! complaint would terrible water pressure shower ! location hotel fantastic - step Times Square Subway station . within easy walk distance Bryant Park , Chrysler Building , Grand Central Station , many fantastic shop Empire State Building . we eat breakfast hotel restaurant - okay , nothing write home - expensive lot ..... eat every morning Brooklyn Diner round corner hotel - reasonable really set day . we leave hotel day New York Marathon ( unexpected bonus not realise ! ) concierge arrange private car transfer we avoid traffic gridlock cause ! would recommend Millennium Broadway anyone want fairly decent centrally locate hotel . 
 Apr 1 2008 	 Perfect NYC Experience 	 stay Millenium Broadway 4 night March 08 . 32nd floor , overlook Times Square . room huge NYC standard beautifully appoint . also properly sound - proof street noise . we find staff courtious professional also friendly . good location .. within walk distance tourist attraction need step outside door experience slice real NYC life ! 
 Mar 30 2008 	 check- disaster 	 travel high school group . due new computer system , room reserve pay advance available . hotel book 4 teenager room 2 twin bed , adult room also request .. take 3pm 11:30 pm evening resolution problem . end room roll away room move . staff seem frustrated although make attempt make thing right . group 50 tired people , wait room , constantly deal different & quot ; manager & quot ; charge whose main goal seem try keep we stand lobby wait room . since chaperones high school group , ask mini bar lock -- staff seem know accomplish . seem lovely hotel disasterous computer system untraine seemingly uncare staff . 
 Mar 28 2008 	 Great Location 	 king size bed , 47th floor look Times Square . everything perfect . think must room renovate other bad shape . sure ask check - in renovate room . not eat , go Times Deli across main entrance . note two entrance helpful tired hurry . 
 Mar 28 2008 	 great location relax hotel 	 book Superior room room rate upgrade we Premier Room . Premier area reception locate bit building . staff lovely helpful . room good size , although queen room really want king room . 8th floor . construction go across road seem construction go everywhere ' notice noise street below . the room bright , spacious fresh looking room . really want stay somewhere would bit sanctuary hustle bustle NY , somewhere go back end day feel relaxed . place hit spot ! bathroom nice big bath separate shower great . room nice big plasma tv , mini bar ( expensive ! ) , safe , sofa , room service well usual stuff . the location hotel fantastic . come front hotel turn right take 100 step ( ) Times Square right middle great place position . a couple thing visit NY may help someone . plan go Empire States Building would suggest get express ticket advance website . get queue jump ( queue sometimes couple hour long ! ) try get get dark see daylight night . also get audio tour ( share ) make interesting . if want shopping go Woodbury Common Premium outlet mall . ' hour outside NY go bus station dedicated bus go every hour , ' really easy shop amazing ! spend 9 hour .... oh locker do not spend whole time carry bag round . 
 Mar 27 2008 	 Great 	 stay two night - get good discount ( great rate New York , good discount could pay .. ) like everyone else , wait bit check 7 pm weeknight . two people duty , one person problem hash , second person knock people quickly could . without problem give key within 90 second say hello , good . although clerk make sure say since book PRICELINE prepay , ask two bedded room acceptable . tell need one bed give corner room 48th floor view Broadway Times Square - could not ask . room basically clean , art deco decor plenty reading light . bathroom nice , great amenity , coffee maker plenty coffee tea , although iron . think room New York get much traffic unless 's brand new , 's hard keep room linen towel look well . there plenty decorative pillow bed two actual sleeping pillow king bed , bit cheap think . also blanket bed closet , decorative bed spread . Shower head like spray shower , like spray bottle always hot water . seem enough elevator , major problem big NYC hotel . not hear hallway noise , furth corner elevator , although many room per floor . overall , totally get great value pay consider location , get decent rate go property . 
 Mar 26 2008 	 great location 's ! 	 stay hotel twice , minor glitch past , decide hotel deserve another chance , especially great location . wrong ! make reservation late stay 2 month advance confirm detail hotel 1 week prior arrive . upon arrival , though , previously confirm detail find reservation . reserve 2 bed give 1 . reserve smoking room give non - smoking one . front desk manager say & quot ; reservation consider request never guarantee . & quot ; say would well move we next day smoking room 2 bed . next day move ..... another non - smoking room 2 bed . complain manager , move , finally , smoking room 2 bed . this 3rd room , though , malfunctioning sink make unusable . fix 2 day , despite repeat phone call person request front desk . throughout problem 4 day stay meet empty apology manager . one ever really try rectify problem . one go way actually provide customer service . smile nothing . the Millennium Broadway use & quot ; chance . & quot ; never stay ( ' m New York City 6 - 8 week every year ) . use recommend hotel many people also travel NYC alot long recommend hotel anyone . 
 Mar 25 2008 	 one night stand 	 arrive hotel 2:00 p.m , wait live 1 hour reach desk ; tell room would ready 4 . leave luggage bell man 's desk walk one block time square . return 4:30 , wait another line 45 minute get key . go room clean . call front desk say could wait clean ( ask long say someone 8:00 ) get new room . say will take new room . go back stairs wait line , time extremely angry lucky enough find someone walk office help , 60 people line happy . give another room think bad view entire hotel , least clean . pick luggage bell stand , find broken handle pull luggage . run room back use wire chain secure bag , ' m guess someone pull hard broke bag . try get someone talk imposable . ' m still deal problem 4 day later . would think twice book hotel , well one price . 
 Mar 24 2008 	 can not beat location 	 one half hour line check , new computer system . make question management would decide change system day Easter weekend , however , check , get room request , clean , look exactly like room website , great view . call housekeeping request coffee pot shortly plenty coffee packet . important , walk one two block see Broadway show come see . tip : may New York info . book kind room - look back coupon restaurant , etc . also like Times Deli right across street hotel 's 44th Street entrance starbuck right next door hotel 's 45th Street entrance . teenager eat Planet Hollywood right across 45th street entrance . , sure print coupon online use coupon city pass since food overprice ( great ) . find $ 199 rate hotel Travelzoo include upgrade superior room . 
 Mar 23 2008 	 rude inattentive service 	 first let say hotel nice rarely give negative review anything , place ridiculous . staff rude unaccommodate . arrive early morning expect able check afternoon . however , check - in Hotel 4:00 seem fairly late . 4:00 hundred people wait lobby check - in . finally wait 4:48 . staff unapologetic wait give we wrong type room . hassle wait till next day get right room . way , check - in line finally around 7:00 . next day speak three different people give right type room . apology give mistake . may 4 star hotel term amenity , service probably worst ever anywhere world . luckily get room $ 199 night , regular rate room $ 450 / night . several people complain exorbitant price hotel amount service . run joke among guest lousy service . 
 Mar 23 2008 	 great location 	 hotel recently change computer system check really slow -it take 1.5 hour . however , suspect temporary problem . second time stay not problem past . hotel amazing location .. walk theater , Times square 1/2 hour macy's - or go way central park . toy R US , Anne Taylor Loft , Gap , Starbucks , 2 movie theater , Ripleys museum wax museum 5 min walk . plenty deli 's around pick snack quick meal . staff ( especially doorman ) pleasant , room clean everything work . tad noisy realize window open -did not know possible high . congested area , lot hustle bustle times day night . 
 Mar 22 2008 	 Millenium Broadway - try ! 	 arrive 3 hour early check allocate room straight away ' slight upgrade ' . room comfortable . need little redecoration nothing spoil . room 42nd floor great view city - Chrysler building leave . hotel staff friendly ; nothing much trouble . eat hotel ; much choice elsewhere . O'Lunneys 45th street great food good atmosphere . 
 Mar 20 2008 	 worth pay 	 everything disappointment . take 2 hrs get we room . request 2 - bed get one bed . request non smoking room get smoking room . staff nice seem littke helpless . pay quite bit stay . next visit , definitely stay elsewhere . 
 Mar 14 2008 	 good hotel - even 's Times Square 	 attend conference hotel . satisfied one night stay . pro : comfortable bedsshower great water pressure temperaturevery nice view 30th floorcon : movie menu not workroom little stuffy first walk intemperature control little difficultI must say conference food much well rubber chicken usually get . nice selection happy lunch . I ' m fan Times Square area , since business pleasure , happy stay property . 
 Mar 12 2008 	 Great 	 need NYC hotel room short notice 1 night flight Rome . priceline $ 125 bid . like . reception check go smoothly enrique . give room 45th floor view Chrsyler Building . stone throw Times Square , lot restaurant nearby . mexican restaurant ( Viva Pancho ) BBQ ( Virgils ) across street favorite mine nyc.next morning fun walk around midtown leave airport . also close Port Authority catch bus JFK $ 15 $ 27 roundtrip . would recommend get good deal . great location . 
 Mar 9 2008 	 Nice hotel great location ! 	 husband stay Millennium Broadway 5 night ( March 2.-7 . ) 's nice hotel . will admit obvious wear n ' tear around hall room , enough make shabby nice look . room big standard , corner room 27th floor . nice enough view , could actually see Times Square . big , comfortable bed big , lovely bathroom . even complementary bathroom article soap , shampoo , conditioner bodylotion good . use everyday forgot home .. small hall closet minisafe . room bed , two comfortable chair , table , workdesk chair TV . bathroom tiles bathtub shower curtain . big mirror ! check - in desk subtle , even look like office building desk , nice quiet . experience friendly staff , check - in clerk , bellboy doorman . there great deli across street , Times Deli , serve delicious sandwich breakfast . hotel literally 20 second away Times Square . even close traffic , room quiet . least not hear noise Times Square bombing happen . negative thing say wake middle night fire alarm . false alarm course , wake enough sleep well last night journey home .. 
 Mar 9 2008 	 perfectly Fine Hotel 	 ' m sure negative review hotel past . hotel Priceline bid $ 125 hard complain , think average hotel NYC . room large New York standard tired hallway , nicely appoint . location could not well show transportation . staff great . 
 Mar 6 2008 	 wonderful wonderful wonderful ! 	 quiet , Quiet , Quiet ! right heart city . $ 10.00 taxi Battery Park , SoHo , Chinatown well north Bronxs . walk distance theater district . great place . let we check early . love . 
 Mar 5 2008 	 Front desk manager need customer service training 	 5:43 pm , check , Sasha convince we smoking room bad night stay . 5:46 call request room change , non - smoker , could not stay . night manager , Debbie , promise room , wait lobby 7 pm , give wait , assign we another room happen next one promise . see housekeeper leave room , rush call front desk tell room already assign someone else . say 3 minute front desk 49th floor give away room ! say yes . want explanation happen . Debbie night manager tell us:1 . hotel popular book room quickly.2 . great location.3 . 's fault . never , never tell customer wrong , explain situation polite way , diplomatic way . well word choice . no apologiie , compassion , arrogant , stay away face attitude . reiterate hotel hotel people hire work top notch . 
 Feb 28 2008 	 desperate need update right heart Times Square 	 terrible hotel , definitely 4 star experience . room desperate need updating . temperature control wall work well . room either cold stifle hot ability set temperature . carpet wear wall damagedin place . bed sheet thin top comforter . shower provide misting , stream water . could go . overall , quality room decor poor . thing go location . would personally recommend hotel . 
 Feb 26 2008 	 Good Hotel Great view ! ! ! 	 stay feb one night , fantastic view ! 22nd floor , however hotel go 52nd floor , request high floor book . hotel beautifully decorate , fancy inside , desk staff helpful . can not beat location hotel , right beside times square , safe night . room could see big advert bright light right middle times square . naked cowboy stand right bottom street ! ! room spacious , however room little dirty , big stain carpet dusty , obviously have not clean thoroughly . ask moved tell be not possible , one night . doorman helpful , somewhere store luggage check , remember tip guy want securely put away leave one side other ! 
 Feb 25 2008 	 blanket please 	 love location , view general value money . daughter book two bed room find sheet bed . look closet find one blanket ( February ) . request another blanket would like warm quilt option turn heating night . housekeeping also come tap door 8 am every day want know time go . actually come service room , plan schedule annoying ' ve arrive late holiday . do not let put . 's great place stay . 
 Feb 22 2008 	 Fantastic hotel 	 daughter , mother stay Millenium Broadway 14th 18th Feb 08 . fantastic location -situated stone throw Times Square could not really ask . Central Park ten minute walk north , 5th Avenue 5 minute east . the conceirge helpful friendly . room really nice , situated 30th floor view Times Square . well decorate , clean warm , everything work housekeeping spot on . I would definately recommend hotel anybody want brilliant hotel good place earth ! 
 Feb 21 2008 	 great hotel ! 	 stay 11 year old , 18 year old exchange student Norway . room clean , quiet nicely appoint . hardly know neighbor room next door , street noise minimal . concierge friendly helpful ( perfect we ... NYC long time ) . use gym every morning . new equipment area clean . ask room view ... will not disappoint . I would recommend friend , would certainly stay ! 
 Feb 20 2008 	 great weekend @ Millenium 	 Booked travelzoo get great rate $ 199 / night Valentine 's Day weekend . girl getaway weekend , need 2 single bed . flight delay , not arrive almost midnight . figured would get whatever room leave since late , boy surprised . ask view Times Square tell room king size room book since Valentine 's Day . friend ask good view tell & quot ; spectacular & quot ; ( read otherwise , bit hesitant ) . got room 47th floor open door spacious , clean nicely appoint corner room dozen long stem rose send husband along sparkle water large fruit arrangement . beautifully arrange front window corner overlook Chrysler Building ! ecstatic ! room plenty space 2 single bed , dresser flatscreen , desk chair , side table oversized leather chair , additional leather chair nice sized closet . bathroom clean hideously outdate patch wallpaper old tile , stay great . concierge wonderful atypical question never wait elevator complain . location beat . check take approximately 2 minute check even quick . town car wait depart airport price well cab . toiletry plentiful , room clean . bed comfortable , heater quiet , much enjoy dull drone nightlife city - even 47 floor ! horn , siren traffic part experience NYC can not hear occassionally , not book . come NY touristy thing , hotel perfect we centrally locate could hop subway drop bag , coat , etc quickly freshen show . terrific stay would stay . husband say delightful deal phone arrange delivery . great stay ! ! ! 
 Feb 19 2008 	 Great Location ... need update 	 use priceline get good rate . overlooks times square , thus location excellent.however , room tiny obviously need update . old tv , sloppy paint - job door , little wear - n - tear furniture . etc ... book 4 star hotel get 3 star experience . 
 Feb 18 2008 	 Great experience ! 	 hotel business tend critical hotel . also travel NYC three time year always disappointed stay . first time feel good value NYC . room comfortable clean , view great ( 34th floor ) location awesome . close enough subway , theater district great restaurant , quite street . book . 
 Feb 12 2008 	 wow ! be right Times Square ! 	 need hotel stay overnight could enjoy dinner show without worre rush back catch train upstate NY . decide book priceline already blow large amount $ ticket show ... surprised book hotel us right theater district ! everything could want hotel Manhattan ! stay 42nd floor although hotel really know view room spectacular view ! could see many cool building , people street even able see river spot peek behind skyscraper ! put we superior room , corner side room glass view pleasure . room decorate beautiful color great bed really neat headbord light side ... cool ! room clean lot nice soap lotion bathroom . concierge pleasant deal helpful ! plan go see show need place stay , Millenium Broadway place never forget special night . know will not ! 
 Feb 11 2008 	 never 	 NYC area travel lot family , shame pick hotel . location , great be Times Square scene , hotel horrible . husband , 2 daughter give small room suppose accommodate 4 people . bed & quot ; oversized twin bed & quot ; . small uncomfortable . staff helpful offer nothing complain room . heating system loud also . eat hotel 's restaurant breakfast , several table open , one busboy completely inept . wait 35 minute table one bus dirty table . send email hotel manager return home receive reply . many choice Times Square Area never stay . 
 Feb 9 2008 	 5 star stat millenium 	 husband travel Broadway Milleium via AMTRAK ( highly recommend ) 2 - day conference . immediately receive warm friendly greeting Edwin , bellman . Edwin excellent job show we room , show we around room , answer question . onkly 3 days/2 night , Edwin always make point say hello . top notch service ! room exceptionally large New York City - FABULOUS bathroom - comfortable bed - great housekeeping , location centrally locate - - close toy r Us , Time Square , subway , etc , thing slightly upset request late check ( due conference attend ) , would allow 1:00 p.m. late check . ask could stay 3:00 , say would cost additional $ 175 ( 2 hour - seem bit top ) .Overall , excellent experience - highly recommend . 
 Feb 9 2008 	 Location location location ! 	 Millennium hotel 1/2 block crossroad 7th Broadway location absolutely great spending time Times Square area . lobby stretch city block long . enter one street afford view straight next - typical many office building design NYC . feel lobby office building nature residence , tastefully decorate inviting . room excellent , corner wall , windowsill bathroom fixture seem ready makeover . bad , simply & quot ; tired . & quot ; bed comfortable temperature room nice . pillow could well . view outstanding , look Times Square view city scape . look across Marriott , felt make good decision stay Millennium - Marriott monolith hotel ... night nice turn room light let city light room . nice ambiance ! ; - ) Cocktails bar price right NYC breakfast miss Brooklyn Diner , one block away . get chocolate eggcream . bad thing park expensive limited strict 24 hour rule . make sure valet stamp ticket time get . great hotel , appropriately price location convenient everything Times Square area ! Woudl certainly stay . 
 Feb 5 2008 	 Perfect Location Times Square ! 	 husband book surprise trip New York 5 night 40th birthday . go another couple wonderful day . the hotel perfect location - know Times Square - 's Toys r Us Store , hotel locate metre 44th Street . room 37th floor lovely view Empire State Building could also see Paramount Building clock - could also look Times Square . our friend side - could look Chrysler Building - either way - lovely view - extremely convenient location . the hotel room really comfortable - reasonable size - acceptable en - suite facility . we enjoy every single minute trip - can not wait go - definitely book hotel . truly happy , memorable day . 
 Feb 5 2008 	 Great Location ! Great Hotel ! 	 name price priceline last minute hotel NYC . glad get hotel $ 137 night . location perfect ! right toy r Us Time Square . room big NYC . hotel beautiful staff accomidate . give we late checkout free . parking valet $ 45 24 hour . would love able stay ! 
 Feb 1 2008 	 fantastic location good hotel 	 hotel sell location . literally 20 second walk Times Square , starbuck right entrance , could need ? ! rom large , comfortable clean great view Chysler building . book travlezoo get really good deal , upgrade superior room ( 46 floor ) great price ( compare lot hotel midtown area ) issue stay arrive plate half eat food dirty glass outside room though wait collect room service team . not bother we , second night still - eventually call reception remove . bizarrely - room service every day fresh towel great standard cleanliness , also evident throughout rest hotel , apart item . maybe test something - nice regardless ! would recommend hotel friend .. 
 Feb 1 2008 	 great time Millenium 	 three gal stay Millenium Times Square view square 37th floor . room perfectly clean , spacious enough we put air mattress third bed . call extra blanket , blow fuse - two hair dryer , television heater go time . helpful staff respond quickly friendly funny . would recommend excellent location Broadway district , within walk distance St. Patrick 's Rockefeller Plaza , comfortable room couple night , great stop place trip NYC . 
 Jan 30 2008 	 Hated Millennium return . 	 stay Millennium Broadway one night weekend awful . room big NY standard everything else place subpar . first room give , 4008 , smell bad leave window open shopping . come back 4 hour stench still present . ask move another room , wait close hour , put we room 4010 , two door . room not smell view bad first room blanket look dirty . stay hotel year back , great view Times Square back , highly disappointed room . think room view Times Square room actually renovate room look exactly back 2003 first stay ( & quot ; renovation & quot ; ) . supposedly give free room upgrade travelzoo code room seem bottom barrel . bathroom definitely renovate either . can not really say anything good hotel except location . however , 100 's hotel area option . next time , pay extra money stay Sofitel . 
 Jan 28 2008 	 Good Hotel Great Location 	 hotel BEST location ever . hotel staff nice , friendly , helpful . check - in quick even give choice 2 full bed 1 King bed . common area art deco style cool looking , especially elevator . marble galore immense painting grace lobby , make place look super fancy , furnishing wait area lobby bit worn . room clean good shape . dresser nighstand scuff , major way . bathroom clean tile marble perfect shape . pretty good view room floor 21 . can not say enough location . right next Times Square ToysRUs , 44th St . hotel bargain Hotwire around $ 188 . loved ! sum : PROS : 1 . GREAT LOCATION- 2.Friendly & amp ; efficient employees- 3 . clean , comfortable rooms- 4 . PriceCon : 1 . area need refurb . 
 Jan 28 2008 	 Perfect Location Theater Weekend 	 daughter Millenium Broadway theater weekend wonderful stay ! corner room 51st floor fantastic view Chrysler Building , old New York Times build rest skyline . window almost floor ceiling . room spacious NYC hotel room two bed . staff friendly efficient -- room clean late morning day . hotel within easy walk distance Broadway theater well subway . eat dinner restaurant ( Charlotte ) one night enjoy well . hotel excellent weekend rate January February book hotel website . definitely recommend Millenium Broadway ! 
 Jan 28 2008 	 Location 	 check - efficient , polite , easy . front desk well staff 4PM Friday wait allthe Lobby - nice , couple couch front want sit wait cab / shuttle / car / etcelevators - 5 go floor , wait loner secondsthe room - old , definite wear tear furniture , clean . bed - comfortable , nice pillow , even blanket duvet cover . size - par NYC hotel price range . bathroom - usual basic amenity , shower good pressure . large fluffy towel . minibar - usual overprice junk foodlocation - pretty much right next Times Square . Broadway 7th Ave , half block , crowd roam front entrance . two entrance , front , W 44th Street , back W 45th street . right back entrance decent Irish Pub , lunch - good beer , lot space acceptable shepards pie . Duane Reed pharmacy east 44th 6th ( 2 min walk ) get drink , etc ... people complain check - breeze , less 10 second literally . 
 Jan 27 2008 	 Excellent stay 	 can not fault . great room , geat position , great service throughout stay . loved room design , make nice change bland offering chain hotel . definitely stay . 
 Jan 22 2008 	 Good Hotel Great Location 	 Booked hotel base $ 199 per night offer Travelzoo . review say , hotel fantastic location access Times Square Broadway Theaters . first visit City MLK weekend . hotel clean check - in check - out simple . desk staff , bellman concierge helpful occasion . see Hairspray Grease , great show . also enjoy 3 - hour night tour Manhattan New York Party Tours . tip : avoid restaraunt Times Square , since typically overprice chain . walk block get well food cheap price . enjoy Sosa Borella 8th 50th , Rue 57 5th 57th , Westway Diner 9th 44th inexpensive diner breakfast . 
 Jan 20 2008 	 Nice Hotel - Good Location 12/30 - 1/4/08 	 get pretty decent rate Hotwire New Years Day - pretty empty festivity NYE . location great - get room way high would probably see ball drop window ! check 12/30 - room finish properly ( lack toiletry , blanket bed ) otherwise fine . 20th floor remember correctly . service room slow , otherwise complaint . keep mind come specifically NYE 's big pain -- - get around evening - require police escort ( everybody stand around - body want escort we hotel ! ) good slow process . the free upgrade room 51st floor definitely awesome . room prettier ( see picture ) view awesome . would definitely stay ! 
 Jan 11 2008 	 stay 28th Dec - 1st Jan perfect NYE Times Square 	 Wife stay could NYE 100th Ball Drop Times Square . you ask well location . room little small , bed comfy bathroom nice enough ... not Burj Al Arab , need stay new york great . we 21st Floor , course go hear noise street , NEW YORK ! ! ! however enough keep awake . the resaurant ( Charlotte ) really nice , 3 course meal end Chocolate Strawberries .... can not go wrong ! ! go Magnolia Bakery good Cup cake NYC breakfast Cafeteria 17th 7th ( Sex City ) . helicopter flight well worth go stubhub.com get ticket go see Knicks basketball Madison Square Garden get send hotel .... well worth ... within walking distance . 
 Jan 10 2008 	 Great Location ! 	 good feature Millennium Broadway , far , location . locate half block Broadway , Times Square ( be step toy r Us ) . lobby hotel beautiful . not dine restaurant , drink bar . nice . front desk ( check in / out ) bell service good . as NYC hotel , room fairly small . room , 32nd floor , look onto Broadway . furnishing nice room seem clean . bathroom good sized , counter / vanity / sink area seem fairly new . negative point room would bath / shower . grout around tiled wall somewhat stain , enamel around tub wear away , expose metal . seem like entire room , include bathroom recently refurbish , exception tub / shower . 
 Jan 7 2008 	 Nice hotel great location ! 	 book 2 room travelzoo great rate $ 199 per room . location perfect - 1/2 block Times Square . book superior room , decent size , clean nice view . bed comfortable , pillow . doorman valet staff wonderful -- fast friendly . would stay , would definitely recommend hotel . 
 Jan 4 2008 	 spacious responsive close Times Square ! 	 overall , pleasantly surprised hotel . book 4 star theater district Priceline accept offer 189 / not 25 - 28 December , price usually rise due imminent ball drop upon checkin upgrade superior room . wall windows room impressive , offer nice view . location : literally 1 minute walk Times Sq . 2 1/2 block near subway . 5 minute cab ride Penn Station . coffee addict , Starbucks right next 47th St entrance hotel . room end 14 side hotel furthest away Times Square not see much room . lucky enough east side hotel pretty good view north side Times Square . check in / out : bellhop tell we check in / out Sundays could hectic line 8 - 10 people wait check right checkout time ( noon ) . strangely enough , not option inroom checkout . room : & quot ; Superior & quot ; ... nice sized NYC , bathroom big shower / bath roomy , great pressure nice / hot . fan bathroom . internet capable . bed firmly soft make sense . think pretty comfortable . tv decent size , station not come crystal clear . concierge : little lacking , not use book show , can not speak . get advice breakfast information statue liberty . two people consult limited information . Maid service : great . couple time need something extra call front desk item within 10 minute . area eat : not eat Times Sq ! price exorbitant . ( $ 18 hamburger TGIF ) . Red Flame , block east hotel 46th , fast service . Eggs ok , pancake pretty good . couple breakfast place east hotel north side 47th look pretty good , not get eat stop serve breakfast . the Heartland brewery directly south hotel 45th excellent steak . would stay again . hope help decision . question let know ! 
