great 	 hotel gem . like small hotel attentive service , place ! whole staff nice , polite , smile time , front desk housekeeper , breakfst staff etc . Breakfast include good , include good coffee . room clean bit small . but care , NY visit shop , stay room ! location perfect , litterally 2 block Penn station , Macy 's , Empire State building etc . even walk way Times Square , Broadway central park ( need time however ! ) go back recommend anytime ! price make even attractive : app . 250 $ US room 2 double bed ) . 
 Aug 5 2007 	 Loved Wingate Inn return 	 first trip NYC ( 07/05 - 07/08 ) Birthday surprise Husband . great time . Wingate Inn nice hotel friendly staff , extremely clean room , great location ! street hotel locate dead dark , nothing open , get end street close Macy 's , Starbucks , McDonalds kind little place stop quick bite . close Subway taxi everywhere . walk distance Macy 's , Time Square , Empire State building , Penn Station , Madison Square Garden , etc . the hotel quite , 6 room floor , always good - night 's sleep . get early morning wake trash truck , happen home too . breakfast morning great convenient . breakfast room bit small crowded time , 's hint : go early , make plate , take room , way avoid line waffle iron . the manager , Elvis , helpful ! ! ! kudo staff . always , wonder ever go home , LOL . always available suggest great restaurant point interest . definitely return Wingate Inn ! ! ! P.S . like Mexican Food , checkout Mi Nidito near Times Square Area . nice quaint little restaurant great atmosphere , great music , Best Margaritas food ! ! ! Margaritas , careful , get drunk ! ! ! LOL 
 Aug 1 2007 	 Excellent stay Wingate 	 stay Wingate 4 night begin July . select hotel read many positive review Tripadvisor certainly live comment . room , huge , fine 2 adult 2 teenager clean equip everything could need short stay . complimentary breakfast well experienced hotel stay , US . find staff helpful occasion ask anything . concern arrive read one review say area bite dark scary night time , find . find location ideal- less 5 minute walk Times Square , 2 minute walk bus pick point hop on / off bus tour , Macy 's around corner ( handy dropping parcel back room ) find nearby Starbucks Bread Cake factory great snack meal stay . 
 Jul 22 2007 	 Decent Place also victim movie fraud . 	 price good NYC , $ 179 . include real breakfast , & quot ; continental & quot ; crap , 100 yard Penn Station , clean new room , short walk Times Square , great friendly service ( except charge movie even room & quot ; investigate & quot ; manager credit card . happen lifetime raise loud hell checkout front many people possible ) . scam nice stay . cheat people $ 10.00 pretty petty hardly worth trouble . go steal make big time . 
 Jul 19 2007 	 greatcleanCLOSE everything 	 return 5 night 6 day stay New York City . what great place stay . free breakfast worth 's weight gold . ' m talk sausage , bacon , egg , waffle maker , juice , fruit . staff help every need . room spacious CLEAN . hotel 36th street . 5 block Broadway . subway 1 block away . close center everything . one good value hotel find state non - smoking . would recommend stay hearbeat . 
 Jul 19 2007 	 Wingate Winner ! 	 two sister recently stay Wingate 8 night . happy stay , find staff friendly accommodating . unlike reviewer , think staff friendly , people front desk sweet little housekeeper polish wood elevator greet we smile tell we enjoy day . the room cozy three we ( 2 double bed ) , understand hotel space NYC premium , prepared . decor update appeal , granite bathroom counter generously sized stuff , room bathroom clean , bed comfortable . shower strong , water hot , towel thick fluffy . even toilet upscale brand -- toto , one good market . microwave refrigerator come quite handy . admit bathroom fan loud , work well , room air conditioner noisy also ( many hotel A / cs like ) . discover curious thing -- realize not coincidence A / C come whenever enter room long day sightseeing . shut day energy saving measure , soon warm body come back room , A / C start . manager explain infrared sensor responsible curiosity . not problem ( cudo hotel conservation ) , fascinated . breakfast good , though personally not care scramble egg -- dry side . lot thing choose -- sausage , bacon , pastry , bagel , waffle , cereal , fresh fruit , yogurt , etc . location convenient , hotel easily accessible several different subway line ( 1 - 3 block away , depend line want . ) 1 block Macy 's , close Penn Station Madison Square Garden . now downside . hotel not perfect , look 4 Star hotel , not . dingy side street , view room look warehouse- type building . housekeeping hit miss , could due particular housekeeper . occasion , not get fresh mug glass ; toiletry not replace stay even though manager say ; one day , housekeeper forgot leave us towel . find call stuff like . however , management front desk always cheerfully apologetically take care request , can not complain much . , rate 5 , mainly good value compare NYC hotel . 
 Jul 16 2007 	 great first trip Big Apple 	 start , buddy ( early thirtys ) book hotel travelocity part package deal room air fare . choose hotel want garanteed two bed room . one hotel would we . fly Newark , take 20 min train directly penn station , happen block hotel . we walk hotel locate 35th st 7th 8th ave fashion district . reviewer state bad area beat path small street bunch textile fabric store perspective gem hotel . lobby clean small nothing fancy staff helpfull get we room zero problem . room 18th floor witch top floor 1806 . room two double bed flat screen tv . complimentary bottled water , desk area , small fridge , microwave , wireless internet access , room safe , importantly clean , good size bathroom . nice little workout room small buisness center also lobby floor . hotel locate block pen station , 7 block time square theater dist . 4 block empire state building subway access less 1/2 block . so hotel great homebase buddy get site , yankee game , would recomend hotel anybody . please remember hotel experience make . want positive likely . 
 Jul 11 2007 	 Wingate 's Scam ! 	 husband check mysterious movie charge room . never purchase pay - per - view movie . desk clerk state could not anything we provide specific & quot ; movie & quot ; Memo Manager state movie charge could adjust Manager . course , Manager not available check . seem like scam we . never stay chain hotel recommend hotel . 
 Jul 11 2007 	 great place stay 	 stay 5 night wife child please hotel . good free breakfast buffet hotel clean . location first look bad ok . room 1002 street noise big plus NYC . close everything would stay 
 Jul 10 2007 	 Excellent stay great value 	 3 - night stay Wingate wonderful experience . room spacious ( Manhattan standard ) , modern , clean , comfortable . suggestion improvement would 4 pillow thick fluffy -- bring require something thin comfort . 35th St. location fashion district not scenic quiet night , subway stop within block transit problem . complimentary breakfast fabulous , make stay overall great value . 
 Jul 4 2007 	 Wingate 's Winner 	 wonderful experience Wingate . room wonderfully cozy . need room unwind , fit bill . bed incredibly comfortable , flat screen tv nice touch , room impeccably maintain . absolutely mold crud restroom , ( tub either be o.k . ) , furnishing excellent repair , amenity describe . mean luxury hotel , great place stay cleanliness comfort important thing list . they also offer discount parking . make sure get sticker front desk . attendant kind enough let we know park , not go extra half centimeter tell we discount . otherwise great trip . within walk distance timesquare , empire state building , madison square garden , . often return room 1 2 morning . stay room 205 . enjoy ! ! 
 Jun 26 2007 	 everything need 	 New York standard , good size room much small ( ) would find elsewhere . refrigerator microwave room ; unfortunately , coffee maker one one - cup machine , mind , bring 4 cup drip pot . comfortable bed , good size bathroom , wall mount tv , although air conditioner bit noisy , tired walk walk stand musem ( evening show ) bother . breakfast also quite good . yes , scramble egg great , 's sausage bacon muffin New York bagel , English Muffins toast , waffle , hot cold cereal juice hard boil egg , yogart , coffee milk friendly staff make sure item replace . sure else one would want sure handful reviewer complain . sorry folk , hotel breakfast bar serve egg benedict , et . al . location convenient theater distrcit walk subway . course , Empire State buidle , Madison Square Garden Macys close . overall , like hotel well other stay , one Warwick . back . 
 Jun 19 2007 	 Impressed 	 husband go New York first time LOVED everything ! pretty much go know nothing New York except obvious sightseeing attraction . book hotel review ( positive experience other . ) arrive Monday hotel - first impression walk lobby - beautiful modern look . arrive 2hrs . check - in , think sure would say room not ready have stick luggage , surprise ready . king size bed ( comfortable ) room spacious . various review read several hotel - complaint usually : tiny room , air conditioner not work , dirty , bug etc . experience far . room clean , air conditioner always work ( fact - sometimes turn bit ) , never dirty not see one bug - plus room size hotel ' ve stay . breakfast good hotel staff helpful question . call extra pillow someone knock door 10 min . later . see exercise room ( nice ) use business office access email print ferry schedule . thinking would need access computer - helpful able use 's time need . the hotel nice location thing however think expect reach Times Square within 15 min . previously read , seem little long ( 25 min ) - maybe bit anxious seemed take long . I really complaint hotel except wish block close Times Square action , quality hotel - would happy stay . could not use exercise - walk good , right ? 
 Jun 18 2007 	 wonderful Vacation NYC 	 visit NYC Mid - June stay Wingate 7 night . WONDERFUL HOTEL ! could not ask overall well experience . the Hotel fabulous location within minute walk subway station , Penn train station ( daytrippe Philadelphia ) , Times Square . also many great restaurant within 5 - 10 minute walk hotel Starbucks end block . hotel complimentary breakfast wonderful ( stuff morning not know would able take time sight - see lunch ) . able easily walk Rockefeller Center 15 - 20 minute subway ride Central Park ( 5th Avenue shopping ) could easy . our room clean quiet . bed comfortable flat - screen tv great . hotel boutiquey feel ( despite chain ) find charming . we absolutely complaint definitely back Wingate next time visit New York City . 
 Jun 14 2007 	 Awesome ! 	 family return first trip NYC Wingate Inn could not well choice . location great ! close everything ! room nice spacious bed nice comfy . breakfast every morning excellent . 8yr old tow convenient . the staff extremely nice helpful . allow we store luggage early arrival late departure extremely great . could not recommend well place visit NYC ! definitely stay ! 
 Jun 14 2007 	 Fabulous hotel 5 - 10 minute Times Square ! 	 fabulous hotel 5 - 10 minute Times Square ! great hotel ( fantastic price , book website $ 180 - 209 per night ! ) . stay right Times Square much large hotel ( 4X price ) however far good hotel date NYC . room incredibly clean large spacious . post pic hotels picture exact replication hotel . one note reservation – book room may cancel ( 48 hour advance ) pay $ 20 per night – phone confirm ask prepaid reservation receive low rate save $ $ .the breakfast handy – free room include waffle ( really good ! ) , egg ( great ) , bacon , muffin , croissant , toast , etc . service hotel mediocre – do not expect small talk pleasantry . say helpful book we car get airport departure date speedy fixing room safe lock we . great feature breakfast , location ( half block Macys ) , cleanliness , price room size ( room safe big enough laptop ! great feature ! ) think point negative would location night . rather dark deserted walk back show . could remedie simply take taxi . 
 Jun 12 2007 	 Agree disappoint 	 study tripadvisor review New York City hotel select Wingate Midtown Manhattan . decide even though think price steep , would worth . fairly easily please unreasonable . though sound well . hotel locate dreary sidestreet close end work day little open . warn sign come fact & quot ; Wi & quot ; light sign . thought might offer help luggage staff tend stand around really look guest lobby . venture onto major street provide pizza joint , McDonalds , unappetize sandwich shop . terribly late ( hmmm maybe ten ) , gave get cheeseburger Burger King -- welcome New York ? room small . know one review get & quot ; roomy & quot ; . room two double bed , one might expect four people three suitcase barely fit . waste space large executive style chair unnecessary . air conditioner horribly noisy awaken cut night . exhaust fan also obnoxiously noisy . time need ear plugs . book four night . one morning breakfast one many . advertised & quot ; hot continental & quot ; hot item bad egg , tasteless sausage ( McDonald 's style ) , requisite generic waffle ( oop spray oill forget one ) , far convenience , third trip NYC first time near Macy 's -- must nothing else want area . , advice try another hotel . see anything would bring back . 
 Jun 12 2007 	 WONDERFUL FANTASTIC STAFF 	 book first trip NY Orbitz . choose Wingate Manhattan due review read tripadvisor . marvelous place . fancy place , new , clean within walk distance anything . review point . staff hotel amazing . courteous , helpful , delightful group people encounter within hotel . Elvis , manager , great . question , problem , see Elvis anyone matter . much chaos trip . upon arrival husband become ill staff assist we make arrangement local clinic . husband hospitalize ordeal far home ? .. friendly , wonderful staff NYU Medical Center assistance staff Wingate Manhattan , make fine without much difficulty . staff supportive , call check husband several time per day , always offer anything need . plan trip NY , highly recommend little treasure . 
 Jun 6 2007 	 Disappointing 	 base positive comment find TripAdvisor , couple location walk distance Penn Station , choose stay Wingate . ' slightly mystified review , experience nowhere near satisfactory other include . problem one – 17th floor , would normally welcome , since mean less street noise . place , greet non - stop hum / rattle kind huge industrial motor ' near room ( 18 floor ) . ' loud enough quite annoying . call complain tell would turn 8 . less ideal , ok . call 8:20 ' , tell someone would call right back , one . call around 9 , engineer come room , tell would automatically turn 10 ( seem ) . wake 7:30 , back . problem two – A / c unit extremely loud , much difficult - to - impossible telephone conversation unit ( , however , drown sound industrial motor ) . telephone interview conduct late afternoon , get sweat ( literally ) since ' turn A / c . problematic , A / c make difficult sleep . leave loud volume , hot night . problem three – hotel bill business hotel , chair desk extremely poor . ' big desk , ' get close desk . order simultaneously type talk phone , wrap odd ( uncomfortable ) position . mean rather work laptop desk , sit bed . ' expect business hotel . ' use business center gym , ' comment , note room service . , however , lot restaurant nearby . free breakfast nice , though quick look around suggest primary clientele hotel people business , tourist . free internet access plus , find work much well lobby room . all , unsatisfying stay , hotel would return . 
 Jun 4 2007 	 Terrific Location Perfect Hotel ! 	 read previous review Wingate Midtown , little nervous might set hope high . due fact hotel amazing , impossible ! room nice big , staff terrific , linen always clean fresh . could write book breakfast , will spare . say wonderful . many selection , pastry , waffle , fruit , yogurt , cereal , juice , bacon , egg , sausage , toast , bagel , english muffin ... could go . breakfast like would drop quite buck New York City . thank wingate staff make first trip New York wonderful experience . 
 May 29 2007 	 Awesome ! 	 friend stay hotel Memorial Day weekend 2007 . say enough nice thing hotel . first , hotel clean . room nice big , comfortable bed . bathroom large extremely clean . staff helpful . hold bag we let we check early ! locatation awesome ! 1 block Macy 's ! shop near room great ! several place eat nearby . overall , would recommend hotel anyone want friendly service great location city ! stay ! : ) disappoint ! 
 may 27 2007 	 wonderful ! 	 leery go get consider arrangement last minute ( day ? ) , hotel good price 3 person room available short notice . impressed ! room clean big , bathroom wonderfully stock service front desk throughout hotel friendly willing assist we . they wireless connection , computer can not pick ( like mine , haha ) courtesy computer lobby . the location also nice -- be right next quite karaoke bar shopping area 34th street . I move dorm use place keep stuff helpful get thing upstairs -- without , ' m pretty sure majority thing would stay lobby ! definitely recommend , may least expensive , be definitely get money 's worth ! 
 May 22 2007 	 Fantastic Hotel Great Location 	 friend choose hotel research reading alot hotel review book directly secure fix price time booking . our room great , clean , ample sized bed , great shower widescreen tv watch various channel short time room . also fridge , free water every day microwave come great use arrival night grab pizza around block take back eat . we room rear hotel 10th floor quiet , noise recall hear alarm forgot switch one night sound thunder ( loud due good double glazing ) .The breakfast great perk , get we way everyday fancy change great diner end street call & quot ; Andrews & quot ; great pancake , waffle , bacon , egg , basically anything want . the staff helpful recommend restaurant eat well place visit . Penn Street subway find either end street , Macy 's Empire State end street block away take 10 min walk Times Square . of course forget Starbucks , one end street . we visit tourist site would recommend trip Bronx Zoo ( take subway ) helicopter ride , expensive well worth experience . ( helicopter ) .Our trip New York brilliant great place like Wingate stay make difference , would highly recomend place definately stay return , hopefully distant future . 
 may 10 2007 	 everything need ! 	 Wingate Manhattan great location get around city - block north Penn Station / Madison Square Garden , block south Broadway / Times Square , enough happen vicinity make entertaining evening walkabout . the room clean quiet , staff friendly , business amenity provide advertise - include excellent breakfast selection . definitely recommend ! 
 May 10 2007 	 Fantastic Hotel 	 find hotel . read review book see minor issue people , see review glow correct . hotel brand new , clean , comfortable friendly staff . noise issue neither . know come New York City know city never sleep , much control hotel outside noise . stay many hotel New York get noise , city folk want quite go countryside , New York City . breakfast great , plenty great food free , reason complain get something free . want something different morning go , waste money get great stuff include . think would silly anyone stay somewhere else . location , Location , Location ... 12 subway line within walk distance walk Empire TimesSquare / Broadway area . Hotel Rocks ! 
 May 7 2007 	 another satisfied customer . 	 spend considerable amount time plan look various hotel Manhattan base first visit United States celebrate 25th wedding anniversary . after hour read various review , compare price , road seem lead back Wingate Inn Manhattan , build cost 2o million dollar , must new hotel Manhattan open sept.2006.i endorse evrythe write reviewer , location perfect Midtown Manhattan , Macys , Madison Square Garden , Times Square , Empire State Building , Etc Etc , within walk distance . the front staff relatively young crew , may detailed information specific restaurant , etc , always polite courteous . a special mention Keyla Answar right double act . we 17th floor request room high floor advise , previous reviewer , absolutely fine minimal background noise . save time spend read various hotel review , hotel price represent excellent value . we superb visit fantastic city wait return . 
 Apr 29 2007 	 wonderful position clean well - maintain 	 book hotel excellent review TripAdvisor amazingly low price ( work £ 31pppn b & amp ; b ) . disappointed . fitting hotel interior look new excellent condition . extremely clean throughout staff helpful . fitness suite free internet access communal pc bonus . breakfast wide variety choose , although room get little crowded time , tv constantly distraction . room offer two double ( unfortunately roll - out bed option ) comfortable . clean excellent efficient . high room back hear sound ( except air conditioning room come one morning ) week , even guest . hotel 's main selling point location . 100yards Macy 's , 150yds Madison Square Garden , 250 yds Empire State ; 100 yds one subway line , 150yds different line 250yds third line . ten minute walk Time Square . street outside may scruffy dirty ( many seem ny ) , 100 yard long , never threaten feel . wife daughter feel perfectly safe travel back ' Wicked ' 10.45 night subway . would definitely stay hotel , recommend . recommendation - Staten Island ferry ( free ) oppose Statue Liberty ferry ; walk Brooklyn Bridge ( subway station end ) ; book ticket theatre sport UK - go see Yankees , Mets Knicks - Ticketmaster 's ' WillCall ' system work well . finally wait twenty year return - difference - nycity safe ! 
 Apr 25 2007 	 gem ! 	 excellent hotel prime location . room faultless staff , breakfast bonus , great value would definitely return . 
 Apr 17 2007 	 another satisfied customer 	 go keep short people already cover point would make . the room good size price . bed comfy , unlike reviewer , problem pillow . we stay 3rd floor make little nervous street noise room back hotel noise . however , every morning 7 am without fail music start . loud insistent sound like sort music school . if find airconditione bit loud , , turn standby effectiverly switch off . breakfast pretty good , although 7 day get little bored . scramble egg , burger bacon weak element . I find staff extremely helpful throughout stay . the street bit unexciting problem give close attraction . underground station end block , handy get around . get taxi hotel first place , take underground plus Airtrain back . easy lot cheap taxi . I will not spend much time eat place review recommend Napa restaurant across road hotel eat luch time buffet . 
 Apr 12 2007 	 Recommend .... 	 Fabulous Hotel ! would recommend friend family … RoomsWe stay hotel April 7 April 11 … pay 237.00 night plus taxes.i use hotel website get rate early booking ( two month ) , refund . see hotels.com 239.00 night ... hotel let cancel day two ... cjose website instead . it husband parent . new , clean , well keep . 6 room per floor 16 floor hotel . two room , cousin another room also room look like picture website . coffee maker , microwave , refrigerator , LCD television , desk , comfy chair ottoman , leather office chair , two double bed like full sized bed , iron , iron board , alarm clock two telephone room . water would turn hot fast everything clean . every morning morning newspaper deliver room outside door . view outside room another tall building . heating air conditioning work well could hear ( ' bother though ) . location location less block away Macy ' , close many subway line ! Times Square five block away . Port Authority five block away also ( Greyhound bus drop pick ! ) … Subway Blimpie , Starbucks next hotel . Bread factory good breakfast , pizza , dessert , sandwich … well price cooked thing view you … it middle New York attraction . Breakfast Breakfast hotel okay . waffle really good , make fresh waffle iron wait 2 half minute do timer . ' pretty neat . there cereal , fresh whole fruit , hard boil egg , bagle , coffee , juice , toast , bacon English muffin . also eggs ( think egg beater ) sausage really yucky … . ' recommend egg especially … . tasteless … .. service internet hotel really fast . log wirelessly office chair room leather pretty comfy work . lot worker front desk helpful ! special thank kayla sweet hospitable … give direction almost everywhere … . print give suggestion place go , make arrangement pick drop airport ( JFK ) . arrange limo six people pick airport 130 plus toll 4.50 tip . book late ended bus . ride back airport , 65 dollar three us big SUV … choose go service lot luggage rate hotel airport taxi flat rate ride airport hotel . taxi ride ( JFK ) airport hotel flat forty five dollar . nice little gym small room business case ' bring computer print free . keep luggage check flight time luggage tag nothing get lose . laptop everything . arrive 7:30 A.M. go Top Rock ( highly recommend , worth 17.50 beautiful , warm good view attraction ) come back hotel 3 check . go leave bill door we leave luggage 9:30 A.M. could go attraction pick 2:00 … go Canada New York take 40 minute get airport traffic . activity New York go Top Rock , Brosdway Show ( Curtains , berlesk show ) , shop Chinatown ( Canal Street ) , Statue Liberty , Ellis Island , Jeckyll Hyde Restaurant , Day trip Atlantic City , Times Square , walk Central Park Tour , Lips Restaurant ( Transvestite Hosted Restraurant ) , Stomp , Natural History Museum , 5th Avenue , shopped lot … good souvenir buy Chinatown shoot glass two dollar well love NY T - shirt . day trip Atlantic City take great experience . bus ticket 31.00 dollar , get Greyhound Tropicana , give twenty two dollar cash trip end cost nine dollar round trip ! everything great experience . write attraction attraction spot . strongly recommend Lips .. hostess really fun . go Tuesday night , Karaoke Night . love ! food pretty good . appetizer . like Halloween place , Jekyll Hyde cool dining experience close 5th Avenue . 
 Apr 8 2007 	 good hotel good price Manhattan 	 husband NYC several time ' ve never stay anywhere well - good price ! visit NYC , definitely stay Wingate . our room well - sized Manhattan hotel ; clean well - decorate . everything look like picture web site . location great accessing subway Penn Station , walk distance many major shopping area . locate Garment District , not ton local restaurant , 's minor detraction . ( recommend Lazarro 's W. 38th St. 7th 8th nearby , casual italian restaurant good pizza . ) impress we Wingate efficient many amenity include ( $ 263 night , * include * tax ) inexpensive rate above - average Manhattan hotel . follow free inclusive : bottled water room every day ; wireless wire internet access room ; business room downstair internet - ready computer plus printer ; access small good gym downstairs ; warm cold breakfast buffet . also mini - fridge , microwave , coffee maker ( free coffee ) room . plus , hotel accommodating come store luggage ( check - have arrive early , check - evening flight ) . , hotel everything would expect find above - average business hotel - pretty amazing find price Manhattan ! 
 Apr 8 2007 	 good 	 wife stay Wingate 4 night . first visit NYC . location excellent . close tourist attraction subway . hotel room meet requirement ( ie . clean , big room , fridge / microwave , coffee maker , good tv , comfy bed ) . free breakfast average . probably well complimentary breakfast hotel . issue : window room would totally lock closed , thus allow street noise . ear plugs we not bother we would issue otherwise . computer business centre room two day , thus allow print Yankee ticket buy online . front desk staff friendly helpful ( could call cab departure give summary charge upon checkout , go back ask one ) . bellman good friendly cleaning staff . overall , really like Wingate would hesitate stay . 
 Apr 6 2007 	 great room great location new building room 	 great room , great location , new building room . breakfast little crowd , wait till ready close like everyone else . close Times Square , Penn Station , Broadway , attraction . would definetly stay . 
 Apr 5 2007 	 good lodging scuzzy street 	 's rare thing New York find new - build property , vermin infestation , dirt decay anything seemingly build less recently , make Wingate first choice . 3 night stay King room March 2007 run $ 845 include taxis , breakfast forth - bad Manhattan standard , criminally expensive other . it be important realise limited - service property , front desk not operate like five - star concierge room base Wingate 's experience design out - of - town on - airport business motel . I get large clean room plenty space luggage , shopping belonging . evidence repaint patch ceiling wall suggest maintenance eventually become issue , everything be nearly - new . flat - screen tv big enough bedside view , clear functioning , air con seem work temperature choosing , bathroom modern lavish . bath shallow soak tub power shower one cunne air - mix nozzle actually deliver less water turbo format leave bit cold . 's environmentally - friendly , also cheapskate , $ 300 night would quite like drench hot stuff . bathroom soapie poor ( bath / shower gel ) change daily , sheet towel certainly replace , little cajole front desk find two feather pillow replace foam brick supply standard . thank review , know enough request high floor , even 16th level , hear garbage truck 6 am . six room standard rectangular floor plate , be virtually identical size choose one back would not necessarily get small space . view front across street dull office building , much give advantage . the hotel offer laundry service high price , take stuff across street Bright Kim Cleaners # 254 W35 St pay $ 2 perfectly - launder dress shirt day service . 10 back 5 . pack many 's easy get wash ? enjoy buffet breakfast , really self - service may quickly tire toast bread make waffle city awash deli , cafe , bruncherie heartbeat . I arrive 9 pm say stretch West 35th St , 7th 8th avenue prettiest part New York . 's old part garment district wholesale store keep short hour shuttered bit forbid dark . way would think unsafe . night , woman , be perhaps nice approach hotel 7th Av end street , rather rather dingy stretch 8th av end . location great , subway entrance corner 8th well - connect everything touristic business - relate , spit Macy 's . 
 Apr 4 2007 	 wonderful Wingate 	 Excellent location , street Macys . couple block Times Square , 5th Avenue , Empire State one block away . hotel quite small perfectly form , room perfect need , fridge , microwave & amp ; coffee make facility . cleanliness average nothing much trouble maid , even 3 teenage boy one room ! stay 2 room back hotel 6th floor never hear noise . our criticism breakfast , cold selection fine scramble egg alarmingly send bag ( reconstitute ) one day serve burger breakfast ....... seem problem keep everything top eg fruit , yoghurt cutlery . whole staff helpful particularly manager . first visit New York would certainly stay . 
 Mar 31 2007 	 great stay 	 arrive Mar 13th stay 17th good time . room smallish challenge find place put luggage . negative maid service great -- -- carpet not vacuum entire time ( something floor watch see ) obvious . bed not even totally make maid -- -she one , sometimes . aside thing though -- -- feel clean arrive look new . close transportation ( although not able catch taxi street -- -we walk end street ) 's far subway , bus etc . be close everything essentially , great . think breakfast good choice roll , bread , egg , bacon , cereal , hot cereal , yogurt , waffle , juice , milk , hot chocolate , coffee etc . make sure time -- -breakfast 9 ! ! ! book room say go 10 , surpise go 9:10 already clean . overall , good stay would stay . 
 Mar 25 2007 	 great location great room 	 trouble book internet finally great stay Wingate . location top ! maids job absolutly perfect . room big ! complaint room , ventilation bathroom much loud turn , turn light . overall happy Hotel even though staff front desk not professional ... 
 Mar 21 2007 	 Great Location 	 scale 1 10 -- great location ( 7 ) , nice clean room ( 7 ) excellent staff ( 9 ) , helpful , Breakfast ok ( 6 ) . stay - Mar 10 - 15,2007 book line $ 239.00 not + taxis . block Time Square several Broadway Plays . pick location . 
 Mar 17 2007 	 Perfect stay heart Apple ! 	 nice prizeworthy hotel heart Manhattan close 7th Avenue . the room nice bed good may pillow hard . the thing little disepointment breakfast , american less continental ( european ) ok . good sevice att frontdesk , good cleaning , nice gymnasium internet facility . we fall we safe ! 
 Mar 16 2007 	 could not ask well 	 stay March 12th 15th . hotel nice great condition ( course brand new ) . location hotel great . 35th street 7th 8th . metro end block . upon check advise we trouble room card send staff member we make sure got okay . card work good staff member we . upon come back walk first day card work upon call phone elevator someone within minute issue key 's . room nice picture room hotels website show exactly . shower decent sized bed comfortable . someone mention early reveiw temprature room little hard manage , easy fix change thermastat . breakfast morning good consider othe hotel NYC breakfast . food waffle , egg , bacon , cereal , oatmeal , toast , bagel , english muffin , juice , coffee , tea , milk . overall staff nice housekeeping good job . 1 issue put wake call morning . well , time come go never get call . overall price , location , condition hotel could ask well . would stay heartbeat . 
 Mar 5 2007 	 good value well situate 	 Excellent value other say . arrive icestorm welcome staff . Friday night noise binman otherwise great weekend . HIgh sugar breakfast that s USA ! try international deli across road Dominican eat buffet $ 9.95 head . eat enough get charge one person ! 
 Feb 12 2007 	 Wingate Inn Rocks ! 	 highly recommend . pleasant surprise overall . great price , great room , great bathroom shower , everything new condition , nice staff , great hot breakfast , complimentary bottled water , fridge microwave room , great location , great little hotel , room per floor surround central elevator easy access , quiet although might want request rear room not hear street noise ( garbage truck 2 3 night ) . problem heat / AC hard regulate room , turn night ( even though 20 degree outside ) could sleep without break sweat . overall , great place . maybe not soo glowing ... maybe keep bit secret ... 
 Feb 6 2007 	 Wonderful Hotel 	 recently friend stay Wingate Inn Manhattan Feb.1 thru Feb. 4th ( 2007 ) . take pic hotel photo 's hotel provide 's website exactly like room check . room spacious housekeeper went above beyond duty keep room tidy ( tip well ) .The continental breakfast superb many hot item ( bacon , waffle , egg , toast , ect .. ) . staff excellant try help we direction , place eat night life . issue night theatre ( go see Color Purple ) ask taxi call front desk politely tell we not affiliation cab company could call we cab ( happy ) . tell walk street hail taxi heel rain . the hotel not affiliation restraunt , shopping sightseeing either readily give information ( confusing ) . hotel great location everything within walk distance . I friend enjoy stay hope review helps definitely stay hotel . 
 Feb 5 2007 	 great new hotel 	 back three night stay Wingate Inn recommend hotel enough . staff , without exception , pleasant helpful . hotel brand new , everything excellent condition . bedroom good size bathroom big New York . free breakfast real bonus . like shop Macy 's ( like we ) could not find well hotel ! definitely return . 
 Jan 27 2007 	 bad New York hotel 	 good : - Location near Penn Station- alot convenience stores- Food ( Starbucks , Mac 24hour ) close ard 6pm- shopping : Macy , 34th street big mall , Old Navy , Forever 21- wireless free fast . bad : - front desk service ignore request transfer phone room couple times- room reserve SUITE room , normal King Size bed type room instead 
 Jan 26 2007 	 Loved Wingate NYC 	 stay several hotel New York City area far good . everything room excellent . beautfully decorate , spotless , flat screen TV 's . location great . with - in walking distance many area attraction . staff friendly courteous continential breakfast awesome . not get anywhere NYC . can not wait go back . 
 Jan 22 2007 	 great value 	 agree Excellent reviewer : hotel great location , clean , friendly staff , good price . strongly recommend hotel . 
 Jan 19 2007 	 really nice spacious clean ...... 	 not let road hotel base put , not look nice , be absolutely fine central location fantastic . we allow check early . room spotless , spacious everything brand new . there little noise , fool think silent anywhere NY.Breakfast fantastic , serve 10 am , 9 am . hotel find offer breakfast free charge . price great , $ 240 two people per night . 's expensive NY.Staff friendly , would anything help . checked ask could leave bag day . absolutely problem , not charge we it . overall , great hotel great price . be luxurious , be everything else ! 
 Jan 15 2007 	 Perfect 	 read various review forum post general concensus choose accommodation New York priority location value money . common theme ' so long room clean ...... ' thought find Wingate Inn ! ! location : around corner Macys close many attraction . subway close - straight trip Ground Zero Century 21 . feel ease walk around even night ( five us ) .accommodation : consider would happy somewhere clean thrilled room spacious ( serious shopping ) , confortable well equip . room large wardrobe , safe , microwave , fridge ( empty stuff rather mini - bar ) coffee make machine , Flat Screen tv , clockradio , cordless phone . large desk comfie leather chair , chest drawer , armchair footstool , two large comfortable bed , load pillow - cuddly toy ...... ( ok maybe ! ! ) bathroom large , great power shower . not hear street noise . staff : moment arrive time leave staff could enough we . need extra towel get enough towel .... towel party ! ! helpful direction suggestion check accommodate we want pay cash other credit card . I would not think twice recommend hotel friend would definitely stay again . D 
