Fantastic 	 back 4 night stay Marriott Eastside . bit hesitant stay Lexington Ave previous trip NYC always stay close Times Square , good location ever . hotel locate less 5 minute walk 5th Ave less 10 minute walk Times Square . staff friendly efficient especially Irish Porter Donegal . pleasant helpful . room service one night could walk day shopping . food service great cost $ 70 dinner two beer tea include . never stay hotel close Times Square , will stay Marriott . concierge great organise ' town car ' we go airport cost $ 75 include toll tip - cheap fare ever pay airport hotel NYC . seventh trip NYC would say good trip ever far fantastic hotel stay . will back ! 
 Feb 28 2006 	 great hotel great location could want 	 stay Marriott 1 week . find room comfortable well equip . room immaculate clean every day . Showergel , shampoo , conditioner , body lotion mouth wash replace everyday . there safe , iron ironing board , television coffee maker request one . this hotel great location within walk distance midtown place . metro 1 street away . there complimentry Tea Coffee serve every morning lobby . the one draw back hotel , drink expensive bar automatically add tip bill - not say much tip want give ! , would stay flash would not hesitate stay here . PS one lift not work , slow catch lift day - apparently norm ! 
 Feb 27 2006 	 Nice Marriott great location Time Square 	 Marriott nice comfortable , beware good walk Times Square ( bad warm weather , terrible cold weather ) . want middle thing , hotel stay . however , close subway easy walk distance many popular place . get upgrade Superior Room small , near small standard room . would expect New York City . room decorate nice not much problem street noise . want safe comfortable place stay loyal marriott person , pick hotel . want middle Time Square , check Marriott Marquis ( look nice ) . 
 Feb 2 2006 	 nice 	 hotel clean , comfortable . one drawback- one upper floor ( include concierge level ) take two elevator . find elevator general fairly slow . view , however , upper floor awesome . bathroom large quite nice . the regular bed nice soft 9 year - old daugther want know & quot ; pullout bed really hard , wake , back sore . & quot ; good location couple block Grand central plenty NY price restaurant neighborhood . 
 Jan 28 2006 	 Typical Marriott ( bad ) 	 second time Marriott East Side . second time huge improvement first would stay . room two double bed good sized room NYC linen new comfortable . the staff friendly . my recommendation skip breakfast Marriott go next door Heartbeat restaurant W breakfast . be much cheap Marriott restaurant ( $ 6 less scramble egg ) , well service nice room . 
 Jan 13 2006 	 Good Hotel 	 good hotel . staff friendly . room exceptionally clean . bed great . bathroom & quot ; spic span & quot ; .A block Broadway . close many show . would stay next time ny.check check quick , friendly 100 % accurate . stay top floor good breakfast cocktail hour include room rate . 
 Jan 6 2006 	 great hotel 	 stay 12/30/05 - 01/02/06 . deluxe corner king room good size , clean , comfortable stylish . eat breakfast restaraunt every day , standard hotel fare excellent omlette . hotel staff exceptionally helpful friendly . downer number speed elevator . 
 Jan 5 2006 	 Excellent service good hotel 	 family visit New York first time weekend 16th 19th December . stay Marriott East Side 49th Lexington . double double bedroom adequate need . I praise hotel staff enough helpfulness . moment arrive meet Declan Mikey bellhop kindness house staff floor ( particular Rosie ) make feel welcome . the room could possibly update overall clean plenty big . unfortunately daughter become ill flight New York spend lot time hotel . despite excellent stay fall love Big Apple . hotel staff helpful throughout provide information doctor arrange room service ( go may make daughter chicken soup not room service menu ) . extend stay , daughter could not fly due illness , reception staff helpful ensure retain room provide late checkout extra cost finally leave 22nd . if need help theatre booking talk concierge , need cab limo talk guy door ( especially Mikey ) . marriott nothing problem . Suffice say despite daughter 's illness , transit strike small matter fire alarm , ball definitely return New York Marriott 
 Jan 3 2006 	 Awesome Stay 	 stay NY Marriott Eastside 12/26 - 12/31/05 teenage daughter neice . great hotel ! request early arrival able check 8:30am . nice sized corner room window . give king bed reqeste roll away arrive within hour check . Bathroom immaculate shower tub bath & amp ; body toiletry ! ! give extra towel pillow also bathrobe ! staff extremely pleasant helpful . lobby lounge plus want drink munchie . restaurant little pricey excellent food . elevator little slow peak time 2 - 3 minute wait . Rockefeller Plaza Times Square within walk distance . one Concierge staff rude . would definitely stay . 
 Dec 29 2005 	 great room great price -- mostly good service 	 visit New York Marriott East Side Dec 18 - 22 2005 . trip anniversary . book room though Marriott 's website prepay get great rate 169.00 per night . since anniversary , call couple week ahead let know celebrate . arrive hotel around 10 am front desk wish we happy anniversary right away , really nice . friendly say room ready yet . say excellent room come back couple hour check . bellhop store bag come back hour later . when check couple hour later get room overwhelmed . stay number Marriott Hotels quite pleased room give even relation new Marriott property . corner room view Rockefeller Center Lexington Ave 23rd floor . huge -- much large average king room new Marriott hotel actually pay per night . give we extra towel pillow like request , within fifteen minute arrival bring fridge request well . room like brand new , bed amazing , even bathroom wellsize great shower head marble around . overall could impress room -- way space much nicer even expect ( especially consider little pay ) ! turndown service every night street noise . overall room top notch . sure people nice hotel NYC pay much much less room . other hotel service use : -business center friendly helpful , though little overpriced internet 30bucks hour . -The bar lobby great -- good drink friendly service . trendy hip place mean good spot quick drink go . even well bet try W Hotel next door , bar call Whiskey blue terrific . really , complaint hotel concierge . see Michael Herbanski ( sp ? ) behind desk , not bother . rude unhelpful say least . concierge name Topher ( not remember last name ) much helpful . one great thing hotel location . really can not beat 49th Lexington ... block Rockefeller Center , theatre Times Square . overall , would give hotel great mark excellent stay great value . hear room vary widely size , call ahead make reservation might well bet good room . , go back city , definitely stay Marriott East Side ! 
 Dec 4 2005 	 exceed expectation 	 read many negative review hotel post site , seriously concerned stay first visit NYC . bottom line , stay hotel 5 night Thanksgiving absolutely stay . staff pleasant throughout stay , room fine , housekeeping fine , elevator fine , lobby fine , location excellent plan . landmark ( read : old ) hotel , cut slack . ' nice place great stay . tip gold member : plan use concierge lounge 35th floor , negotiate room 16th floor . otherwise , ' need take 3 elevator get top ( # 1 : 1 - 15 floor , # 2 : 16 - 32 floor , # 3 : 33 - 35 floor ) 's nice view get ! 
 Dec 1 2005 	 nice place 	 spend one night Marriot East Side pay $ 150 Priceline . great location right Lexington Ave . quick walk 5th Ave , Central Park , United Nations . also quick walk subway take right Broadway Carnegie Hall . also right next door W want drink trendy atmosphere . read review talk small room noisy Lexington Ave . think reviewer never stay New York . New York noisy , especially major avenue . hear taxi horn night , way avoid . frankly , ' like stay New York ' hear . also , room perfectly adequate , especially consider incredibly comfortable king - sized bed pass . Marriot East Side bit classic hotel , mean little old . however , feel like class dignity , rather weather . 
 Nov 30 2005 	 great Stay Marriott East Side 	 husband , mother - in - law stay Marriott East Side Thanksgiving weekend . 2 room , 2114 2102 . 2114 somewhat small size room fine . beautiful heavenly bed view Lexington Avenue . also refrigerator personal item Bath Body work bath item . upon check - in request upgrade possible corner room grant ( room 2102 ) . room 2 3 time size 2114 comfortable king size bed 4 window . one window could even see top Chrysler Building . upon check - in front desk staff friendly hot apple cider set guest lobby . morning complimentary Starbucks coffee lobby . order room service food good arrive promptly . pricey , room service expensive ? expect . we find difficulty elevator retrieve vehicle Parking Staff . consult concierge number occasion direction recommendation meet friendly helpful service . would definetely recommend hotel . great time . 
 Nov 26 2005 	 nice hotel fro price 	 stay hotel Thanksgiving nite ... get great deal Priceline ( $ 130 ) ... hotel fine ! ! .. standard Marriott hotel ... room good size mattresse quilt quite nice ... bathroom nice good shower ! ! , fantastic deal Priceline ... hotels.com charge $ 400 room ! ! ! happy get hotel ! ! .. not Four Seasons , fine anyway ! ! 
 Nov 25 2005 	 Good Location 	 stay Marriott East Side sale meeting April 2005 . room locate corner two window , one face Chrysler Building . far enough street sound issue . coworker locate 8th floor lower face front hotel bother street sound Lexington Avenue . room good size NYC . coffee maker , shoe shine machine , beautiful terry cloth robe lot towel comfortable sitting / desk area . water pressure bit less hope shower , good upper floor age building . far enough away elevator listen folk come . fair amount wait around elevator certainly pokey . meet appointment , factor extra ten minute case get stick wait hear elevator speed past floor even though stand call button light . restaurant service bit pokey , inform every morning bit hurry , accommodate well . food average , good hotel . Doorman , Mike , Galway Ireland exceptionally helpful friendly throughout stay . find informative , polite , friendly professional . also concierge team great help times suggestion helpful information thing . walk distance almost anything would want visit . 
 Nov 24 2005 	 Fantastic ! 	 stay Mariott one night , book priceline receive totally awesome service - allow check early , noon give room great view - extra charge . room small definately large lot NYC hotel comforter comfy . hotel even store bag day check could explore city leave NYC . would definately stay recommend hotel friend family . location hard beat , far walk Times Square , Rockfeller Center , Park even subway station . 
 Nov 12 2005 	 dissapointing stay 	 stay 1 night would never stay hotel . room small cramp ; décor nice enough room space . window leave open come room fly . bathroom small . food expensive . lobby small cramp . say however bed comfortable beyond belief hotel staff nice helpful . price less stay several well hotel Times Square . 
 Oct 25 2005 	 good deal 	 ' ve actually stay twice . ( previous time October 2001 ) service great room comfortable . room small , NYC , afterall . hotel clean bed comfortable . negative elevator . one operating section floor , many long wait . stay . 
 Oct 19 2005 	 absolutely love 	 call Marriott East Side one day prior arrival request room away elevator something special possible bringing good friend want extra special . upon arrival tell upgrade suite ! suite beautifully appoint . extra space much appreciate . bed old day disgusting bed spread go , place rich thread count sheet , comforter , beautiful blue throw blanket . bathroom large , especially NYC standard . request mini - refrigerator beverage , arrive five minute later . impressive . Sunday morning call ask New York Times , , tell manager would someone go get one , rain . say ok , insist . 15 minute later , paper arrive via manager gone get , customer service ! hotel lobby warm invite nice sized bar , offer coffee bagel . business center four computer high speed intenet . room service prompt food good . request late checkout , problem . location perfectly situate mid - town . go next door Bliss Spa good pedicure , highly recommend . definately go back . 
 Oct 8 2005 	 need look staff attitude 	 stay Marriott East side 10 - 14th September . United Nations conference middle security zone make noisy lot police general chaos around . despite happen every year ( understand ) staff Marriott give impression cope . Marriott fan stay hotel travalle US particularly . without doubt bad experience . other mention lift -- -- - actually work ? ? ? ? Sunday , one order , another one stuck floor queue go silly -- -- member staff seem bothered . lift get drop floor manage open door get report -- - no - one bother , . eventually someone take we floor service lift friend two year old pushchair . the room dull , bathroom towel look need washing ' ve use friend actually damp towel place room fresh . could get breakfast without wait / queue least 40 minute -- go round corner nice street resaurant get serve immediately . check meet word help whatsoever get suitcase bag taxi . location excellent , however attitude staff let Marriott name greatly . 
 Sep 27 2005 	 Great Location secure comfortable 	 stay 1 night Marriott East Side disembark cruise thrill allow check room 9:00 ! front desk professional kind , concierge helpful answering question transportation etc ... room actually quite large 2 double bed , bed fabulous ! new pillow top mattresse beautiful comforter duvet . bed great day run Manhattan ! elevator bite slow , common old building . experience problem telephone annoying , whatever reason wake - up call routed room , phone disconnect solve problem staff quite accomodate reduce bill inconvenience . would definately stay hotel . 
 Sep 11 2005 	 wow ! far exceed expectation ! 	 husband book room Priceline $ 150 per night . Marriott FAR EXCEEDED expectation . past experience , book discount internet company usually get we small room worst view tiny double bed . call advance ask non - smoking room King bed happy accomodate we . check busy , quick , people really friendly . room open spacious , compare NYC hotel ' ve stay . room bathroom clean . problem run broken hairdryer . call housekeeping replace , leave could bring we another one ( 10 minute wait though ) . surprsie , return replace hairdryer , also replace towel toiletry use , turn bed , leave chocolate pillow ! bed pillow comfortable , linen really soft , AC keep room nice cool . coffee maker room , not drink coffee not care . however , want coffee maker room could easily request housekeeping . location IDEAL ! 6 , e , v line couple short block away close go run Central Park . would HIGHLY RECOMMEND hotel would love stay . 
 Sep 8 2005 	 Nice hotel great location 	 stay property two night not problem . room large average nicely furnish . course be overprice like New York hotel . location great -- subway corner , walk bloomingdale , plus 's lot shopping area . starbuck around corner -- could want : ) 
 Sep 7 2005 	 work 	 spend four night Marriott East Side recently . originally assign small room face Lexington Avenue . although not bother husband , street noise loud could not sleep . be light sleeper , avoid side building . first night , advise staff problem cheerfully immediately relocate we another room large extremely quiet . room somewhat small , unusual New York . try W want see really small room price equal , , Marriott . agree elevator unbelievably slow . attribute fact one three elevator serve room low floor order . however , appear problem persist time . ' ve stay Marriott probably like location ' ve always treat well . 
 Aug 28 2005 	 Nice Hotel Great Location TINY room 	 , family 3 , finish stay Marriott East Side . 's great location , right 6 train , easy navigate city location . hotel clean , room tiny ' ve stay New York . king roll - away , roll - away , could barely navigate around bed . great rate though , worth . 
 Aug 5 2005 	 not stay Hotel ! ! ! ! read ... 	 though hotel great location , complete hassel many way hate Marriott general . elevator slow unreliable would wait 12 minute get elevator lobby . friend actually get stick elevator 25 minute drop 2 - 1/2 floor Marriott handle whole issue horribly . issue ... complain , hotel inform we 30 minute wait get extra hang typical . wished let we know front not sit room wait could sight - seeing . second request finally get hanger . also wait 40 minute car bring around . , warn we could plan accordingly . manager Nicole Ozan arogant ! ! strongly suggest stay elsewhere . always enjoy Martinique Holiday Inn , bad book . disappoint general lack care Marriott organization anything ( promise call we 3 - 5 follow complaint - 10 day call back - hold 23 minute - get tell not willing anything we - even appology ) . make mistake stay many hotel chain treat value customer . hotel Marriott organization care bad experience anything make . 
 Jul 28 2005 	 definitely would stay 	 stay numerous Marriott hotel comfortable book 3 night family . expect typical Marriott standard . however greatly disappointed aspect hotel . check hotel " hello " " welcome " , assistant simply say " name " . feel stay staff rude abrupt . change room originally due dullness lack space camp bed , email receive confirmation back find lack get room . second hotel ' much well brown grey colour lack space camp bed – try charge check never receive one , could fit room . second major problem hotel time get lift . assure exaggerate say wait 6 minute lift one morning . also room lack tea / coffee facility , wait 90 minute receive one . I could ' stay hotel think anyone read review gather enjoy stay Marriott eastside , especially ' exactly charge cheap price . 
 Jul 13 2005 	 nice hotel great location 	 nice hotel , though expensive . location superb . staff could friendly , talk New York City . room small - to - medium , comfortable clean . would recommend hotel , along Marquis . stay Marquis , be much easy get elevator East Side ! 
 Jul 10 2005 	 Disappointing 	 frequent traveler loyal Marriott , must say hotel certainly among dingy ever stay seem completely ignore come enhancement instal Marriott hotel across country . example , forget new lush bed instal Marriotts - old lumpy uncomfortable . stay three different & quot ; king & quot ; room question whether bed actually king ( mostly queen , circa 1960 ! ) .room small ( even NY ) , run carpet dirty furniture badly need replacement . bathroom tiny . basically , one Marriotts give bad idea chain ( unfounded , Marriotts excellent ) . elevator old slow , lobby space unimpressive , even gym could use new equipment . far well two Marriott mid - town location , west side ( Marquis Renaissance Times Square ) . hotel offer modern room nicer accomodation price . even Courtyard Marriott east side , new room renovation , much well choice . say staff good light unfortunate surrounding . tourist get great deal , maybe place . business traveler choice hotel , look elsewhere . one last thing - AAA automatically assign every large chain hotel least three star ? ? way two star hotel . 
 Jun 8 2005 	 Great Location Nice accommodation 	 return four night stay Marriott Eastside conjuction book writer convention . hotel exceed expectation , especially negative review read . room two double bed family four . room typical size . sink area locate outside bathroom nice . room clean , say carpet bit wear stained . need replace . location great , walk distance Times Square R.F . Center . boy love Nintendo Store . the concierge helpful . recommend great restaurant kid friendly . young concierge working weekend not much knowledge city still helpful . stay heartbeat ! 
 May 12 2005 	 great hotel 	 pretty much live hotel three week business . soon desk clerk see many night stay , decide upgrade room . take call around find something could give long , end large corner room nice view . try restaurant breakfast ( typical New York overcharge - $ 18.95 bacon & amp ; egg ) eat bar couple time ( $ 14.95 cheeseburger ) . not bother mini - bar ( $ 4.50 10 oz soda ) gift shop ( $ 2.00 12 oz Coke ) - take right front door deli corner wet whistle normal price . lot good restaurant within walking distance , be bad walk Times Square Rockefeller Center . subway close feel safe neighborhood even late night . knock place $ 12.95 high speed internet charge many hotel give free . bed extremely comfortable pillow , conforter , featherbe . 's good sleep ' ve hotel long time , ' m road lot . 
 may 11 2005 	 Excellent Stay 	 stay nice Marriott . location block away Times Square . room good size , nice , clean include refrigerator . use hotel parking garage expensive ( $ 45 per night ) able find street parking Friday , Saturday & amp ; Sunday evening without problem . concierge helpful well . 
 May 3 2005 	 expectation good past 	 stay hotel almost exactly year ago , say pretty disappointed second time around . room give last time ( rate level ) much large , size main room bathroom . also feel luxe room give time around . one hand , could due fact first time check around 10:00 a.m. second time check around 11:00 p.m . , stiil , disappointing . time , room tiny , much room around bed bathroom tiny almost size 1/2 bath . room dim get much light locate ( face Lexington Ave . ) . really bad change room first arrive trip . something bathroom door resemble nose & quot ; booger & quot ; stain fabric shower curtain either look like blood fece stain . really appalling . notify front desk clerk problem , expect might give upgrade consider problem . accommodate we give we another room , comprobable . end day , despite issue , meet need bed comfortable . one big problem hotel elevator . three go high level floor . extremely small could fit people . plus , seem hotel staff use service elevator use guest . normal , large size elevator , normally would big deal . , small cramp elevator problem . also run , slow . time wait 10 - 15 minute elevator . Sunday morning , wait long , time elevator would come we , would pack full people wait next one . frustrating . I not use amenity hotel , comment they . I say staff professional , polite helpful . certainly good customer service . one positive thing hotel good central location . lot good place eat shop within step hotel . also , great spa block away & quot ; W & quot ; Hotel , Bliss , able get last - minute pedicure . be also close 4 5 different subway line part city . all , stay ok , be give two circle . however , give well room like last time , would probably add another circle . may decide try another hotel next time instead return eastside . 
 May 3 2005 	 enjoy Marriott East Side 	 stay East Side 4/28 - 5/2 . arrive ask upgrade another couple travel . upgrade problem . yes room small , old hotel NYC . bed comfortable , nice linen clean . room nicely decorate . since special occasion send nice bottle wine appetizer . great location , stay many hotel New York , can not beat price location . would recommend property stay next trip . personable staff good service . 
 Apr 11 2005 	 terrific Stay Marriott East Side 	 pleasure stay Marriott East Side April 8th-10th , 2005.while regular check time 3 pm fortunate enough room ready wait arrive around 9 am ! pretty good consider hotel completely sell ( peak season - spring break ) . make reservation ask king bed , smoker 's room high floor . upon arrival informed smoking room locate 3rd floor . problem . room near front hotel noise level street quite acceptable ( partly due thick wall double pan glass window ) ; matter fact , whole floor surprisingly quiet . room spacious attractively decorate bath quite spacious well . surprised three telephone ( two room one bathroom ) . everything clean , orderly convenient . bed room extremely comfortable feather pillow top mattress feather comforter cover . heat air control locate wall real plus regulate temperature way like . hotel staff nice certainly go way make sure stay enjoyable . neighborhood safe . hotel location perfectly locate street subway stop within easy walk distance many popular site shop . side note : fully stock mini bar snack rack locate armoir careful ; sensor mini bar snack rack , grab something either location charge huge price item ( example : $ 3.75 bag chip popcorn would normally find vend machine $ .50 ) . would well pick something nearby deli store . all , stay Marriott East Side excellent will definately make reservation hotel . 
 Apr 8 2005 	 great hotel 	 Mum stay hotel thanksgiving find nice , problem . nice area close 5th Ave , spend alot time shopping window shopping . hotel staff helpful organised helicopter trip send we way taxi . breakfast good , room really nice bed comfortable . would stay , love love New York 
 Apr 5 2005 	 stay . 	 stay March 4 - 6 , 2005 , book room 4 people . arrive 11 am , tell room one queen size bed . girl tell Concierge Room 31st floor could give . room nice , extremely small 4 people . ask room would open later day say & quot ; , be book solid , & quot ; not believe not even bother check . offer bring 2 rollaway bed , , room even move room . good thing sleep . room cramp warm time , one small window . even call faxed confirm have 2 double bed accomodate 4 people keep tell could not guarantee . good thing nice area , close many attarction . probably would stay , go stay Hilton New York 54th last night room much nice , roomy . 
 Apr 4 2005 	 good service standard room 	 hotel 's location service excellent . husband surprised lady take care room call first name . the room pretty average , good enough need . 
 Mar 30 2005 	 DECENT 	 stay 5 night . location : bad couple block 51st , 6 train station walk several block grand central get subway access . busy around area compare Times Sqaure . HOTEL / ROOM : Room ( ) little small , room NYC , anyone ROGER WILLIAMS ? , be small ! room clean everything work expect . ' ve big room , Marriott Marquis example huge room comparison eastside , 1 2 people expect big room , may want stay disappointed . would consider KING size room well : cozy . there quite time walk hallway consider room non smoking , smell cigarette smoke one time , could swear smelled pot smoke . hotel overly quite night except typcial NYC sound like cop / firetruck / etc . would stay , likely , unless 1 - 2 day trip . look decent place beat path not keen space / amenity hotel / location meet need . want luxury / well location / MORE room , consider elsewhere . I ' ve well place NYC , ' ve bad . meet need . 
 Mar 23 2005 	 Decent local average room 	 hotel decent , however , stay nice place ... foremost , room small . unlike anything ' ve ever see . ask non - smoking room , yet , room smell cigarette . suppose air , forgot . issue another room , suffice . big complainer , maid serious door slammer . understandable , not care experience . , would go . decent location , simply , undesirable . 
 Mar 21 2005 	 avoid -- avoid 	 go NYC business meeting . Stayed Sofitel weekend ( great place ) move Marriott work weekend . Letdown not begin describe . tiny ( mean tiny NYC standard ) room , dirty / worn carpet , etc . certainly one would expect Marriott . elevator HORRIBLE . uncommon wait 10 minute . take take stair 21st floor room . next year return meeting , will avoid Marriott cost . Inter - Continental , W Waldorf corner . will one . 
 Mar 21 2005 	 Brutal Elevator 	 stay twice business hotel close local office . hotel ok ( bed well average Marriotts ) .Elevator ridiculous . wait average 8 - 10 minute morning get downstairs . first visit : colleage stay 15th floor suppose meet us concierge lounge breakfast 46th floor . go downstairs lobby , take different set elevator 42nd floor , another different set 46th floor . take almost 20 minute ! second stay : get bad . 1 3 elevator & quot ; supposedly & quot ; repair - obviously rush since 4 day break 4 day . wait crowd get angry enough , one bell hop would take people service elevator . it be amazing simple thing like elevator really ruin otherwise decent hotel . 
 Mar 17 2005 	 Terrible Room 	 stay hotel business trip . room terrible shape . carpet heavily stain ; hole wall ; wall , window sill , mold dusty , mold grow around vent ceiling . I get room late , go straight bed decide call change room morning . early breakfast 3 people , room similar condition . two try change room unsuccessfully . since stay two night , not try . needless say none we stay ( go back company send email warn other avoid hotel notify ( group ) company organize event attend - however , staff staying experience already know ! ) .I upset check TripAdvisor see hotel rate . , guess would not matter since many postive rating , would stay hotel . 
 Mar 17 2005 	 Disappointment Marriott Eastside 	 stay Marriott Eastside Nov. 26 27 , 2004 . give one small room possible hotel even though Marriott Platinum member . believe detailed amenity Marriott website coffee maker room , separate tub shower , bathtub spray jet . ask robe . bad Marriott stay NYC . Marquis , Rigah Royal , Renaissance Time Square far well choice . inform manager discrepancy web site say & quot ; oh website correct & quot ; . make effort get Marriott get website correct lie , month later still . reviewer claim great hotel obviously never stay great hotel . Marriotts D.C. , San Francisco , San Antonio , Nashville , even Indianapolis far outclass hotel . 
 Mar 8 2005 	 great Stay ! 	 stay hotel last weekend worried arrival tell hotel sell weekend might get two double bed request . arrive staff helpful although many room leave double bed able get one . room great size comfortable . definelty stay hotel ! 
 Mar 4 2005 	 Great Hotel .... 	 stay hotel 4 day November pleasure start end .... first greate welcome doorman ( do not get name red beard ! ) , helpful advise we good place eat course good irish bar town . 2nd night holiday bathroom slightly flood due fault toilet plumbing ( type thing cause ruin stay .... ) maintanence team straight fix although none belonging damage bathroom - small flood , upgrade well room room service bill clear .. would definatly stay ... 
 Feb 25 2005 	 great location 	 daughter 12 stay 4 night February . fabulous location , helpful staff . arrive early room ready . room dark do not matter lot . good location subway , close 5th Avenue Central Park . lovely hotel . 
 Feb 16 2005 	 Fantastic Marriott East Side ! ! 	 fantastic hotel location ! ! first trip Big Apple wife want really nice hotel central location travel hotel base review other site disappoint , room large enough handle bag shopping bring , staff friendly willing help especially concierge guy look bag book taxi us airport . hotel perfect location almost middle everything want see . not use resturant want try food outside hotel . return NYC come back . 
 Jan 15 2005 	 Excellent Location Good Value 	 stay week Christmas 2004 . staff come across efficient , helpful polite . room quite large New York problem throughout stay . location excellent . hotel 10 minute walk Grand Central , 5 minute walk nearest Subway stop . Central Park 20 minute walk Times Square pleasant 30 minute . Grand Central accessible , anywhere within Manhattan area easily access subway . not eat hotel plenty good eatery area , cover full range cheap fast food , expensive menu . go Christmas time , Rockefeller Centre amazing Christmas tree 10 minute walk away . whilst would say stay well hotel , location comfort excellent location New York , would highly recommend hotel . 
 Jan 1 2005 	 nice stay New York Marriott East Side 	 Christmas trip , choose Marriott East Side away Times Square crowd . hotel quiet night ( least room ! ) , bed duvet lovely comfortable . staff unfailingly friendly . location good , less two block entrance one major uptown / downtown subway line . additionally , one regular stop Grayline hop - on / hop - off tour right across Lexington Ave . Waldorf Astoria Hotel . negative room / bathroom arrangement standard room not really convenient family . son 14 , need room / bathroom arrangement vanity sink area locate outside bathroom , one person shower another ( i.e. , mom ) hair make - up thing without fog mirror . make get ready morning little time - consume . two people , standard room fine . stay hotel , venture around corner 50th Street enjoy dinner San Martin - lovely moderately - price ( New York ) italian restaurant . 
 Nov 21 2004 	 Shaky First Got well 	 booking request non - smoking room four two double bed . I arrive late due missed flight give instead room 1 king bed smoking floor , smell badly . ( tell bed , not tell beforehand room smoking room . ) go back front desk see could switch anything else . desk not helpful , ask could try switch room morning , man behind desk tell come back afternoon follow day maybe could get different room . I try get manager helpful never get even speak . least follow morning front desk helpful young woman get we switch out . the rest staff ( conceierge , bellhop ) good . restaurant staff good , , meal right . ( breakfast . ) room ok , even new room twice plumbing problem . not suprise , however , give age hotel -- build 1924 . aside smoking room , room tidy comfortable . size - wise , average . the location hotel great -- St. Patrick 's Cathedral Rockefeller Center couple block away . Bloomingdale 's , Grand Central , Chrysler Building right street . Times Square , Empire St. Building , main attraction also 15 minute away foot . despite shaky service first , overall hotel recommend , mostly prime location . 
 Nov 18 2004 	 bad .. 	 stay several nites business purpose . great room love marble bathroom . but tourist want something NYC , not think would stay here . not say 's good location close Grand Central far 5th Ave . downtown girl love charm downtown . never eat bar though .. overprice even nyker food even worse typical NYC diner . ton nice bar around area .. go 2nd ave . forget fancy looking bar Lexington ave . 's tourist . 
 Oct 11 2004 	 great stay .. great value ... close everything 	 book 2 room $ 209 via web arrive early flight ( 9 am ) hope drop luggage hotel check later . delight one room ready use freshen start journey . staff friendly helpful . beautiful lobby Starbucks coffee breakfast area . like quiet room ( try book room # 35 # 36 floor away elevator ) . hotel close 51st Street subway line . Lexington 6 block away ( walkable $ 5 cab fare ) Broadway . Glad not book right Times Square due 24/7 noise traffic . room comfortable well decorate interesting lighting goose duvet great pillow mattress . close everything yet far enough away get good night 's sleep . 
 Oct 5 2004 	 great hotel great stay 	 great location , great service ! first trip New York , glad decide stay hotel . think stay another hotel , base review read site , decide give one go . could not happy location , service speedy friendly . one morning get ready , room lose power due blow fuse . call front desk within five minute service man room problem fix second . one nice touch wake call give along quick forcast come day . easy decide dress ... 
 Sep 15 2004 	 nice 	 stay Labor Day weekend like hotel much . got decent rate via Orbitz . unfortunately , discover check - in Orbitz pass along bed request . ( call hotel ahead time check . ) ask 2 double wife 2 young kid . king . staff helpful bump we large king room allow plenty room roll - away . still end 3 king work okay . room nice high good view . staff nice prompt bag , car , etc . good location block east Rockefeller Center St Patrick 's Cathedral . nice exercise room . eat hotel many place eat New York . way , book ticket Statue Liberty tour phone ( web site ) . pay small service charge per ticket allow we book time advance . get observatory tour . free observatory tour let go top pedestal ( near foot ) whereas promenade tour let museum inside base . 
 Sep 6 2004 	 3 day girl trip ! 	 great hotel , great service , fridge advertise can not use remove something make room thingsyou automatically charge . also notice one purse steal luggage , lock suitcase ! ! ! ! trip fabulous new yorker find friendly , would avoid subway though , way confusing ! ! ! ! ! take cab bus ! shop awesome ! ! ! ! ! 
 Aug 27 2004 	 Ideal Mid - town Hotel 	 family 4 spend 3 nite Marriott East . hotel outstanding $ 149.00 rate . many family stay along usual business people . hotel Lexington obviously nice . many nearby restaurant , especially towards train station . Times Sq . walkable , Central Park well handle $ 8 cab ride . the hotel clean , newly decorate . light fare breakfast go . not use restaurant - want try place ' local ' eat - not disappointed . Mariott frequent flyer free hotel stay come ! 
 Aug 19 2004 	 Family Reunion Great Fun 	 husband , daughter meet family ( come California ) August 10 - 15 , 2004 , family reunion sightseeing trip - one 9 us NY good destination . book air / hotel Priceline California family . lucky enough get hotel . total 4 room comfortable clean . keep read comfy bed ' yes ' bed comfy . room 5th floor everyone happy except . room right Lexington street noise bit loud . happy A / C kick drown traffic noise . room Lexington would better . lamp plug break , shower head get stick massage mode , blowdryer break , room light go use iron blowdryer time staff fix replace everthing right away . staff friendly helpful , even doorman offer take picture family lobby last day - even pleasant ask use 5 different camera ! location hotel central convenient . good breakfast Deli block away . back NY hotel . 
