disappointing 	 always hear Cumberland Hotel many visit London never stay despite dine marvelous restaurant bar area within hotel look delightful especially night . tell room would upgrade room extremly small , dark pokey ... could barely move luggage .... maybe 3 m x 3 m . glass divide bath room bedroom hate . complain ask room change aseperate bathroom . arrange also small standrd 4 5 star hotel . spend evening lobby nice part . 
 great location 	 get back great weekend Cumberland . book double twin room checking , receptionist unable find two room floor call manager , upgrade we kingsize . pleasant surprise totally unexpected daughter age 17 12 although would inconvenient different floor we , be not major problem . can not comment food do not eat hotel . location fantastic . round corner tube station opposite Hyde Park Marble Arch . Saturday buy day travel card £ 17 we great value , tube fare London expensive pay journey . Sunday , go shop able leave case hotel , walk Oxford Street walk back . drawback hotel come leave , bit queue front get taxi although queue move fairly quickly , hotel size quality perhaps taxi rank great weekend . one thing , bed comfy ever hotel 
 enjoy trip staff could nice ! 	 daughter book hotel surprise trip . warn expect much way room size & quot ; London room small & quot ; wrong ! ! room right we . build away main hotel , quiet not like glass door not fit bathroom ! staff helpful - book dinner bistro check , find receptionist forget . breakfast arrangement chaotic . staff helpful . want poach egg , go counter order , tell go another one , went tell go back original correct one - one ! ! ! get scramble egg instead ! ! enjoy stay London , would stay hotel would go elsewhere eat return . 
 Apr 1 2008 	 Outstanding Location Language Staff Speak 	 stay seven night like previous reviewer go upselle bit try sell . price get decent back locational advantage can not dilute . complete absence housekeep one occasion towel use left floor remain , empty shopping bag discard take away , tv remote disappear thrice concierge get back take 1 hour . bad take away soap everyday not replace . could not care call housekeeping go one housekeeping trolley pull soap out . I call one day ask towel lady housekeeping ( not know country ) tell cut hand want ice call somewhere else . explain cut hand need bath mean need towel not put housekeeping . also provide 730 wake call not ask for . the breakfast well ideal example attitude . go hall basement call restaurant wait line 10 minute least . breakfast change stay line irritate other big time . nice hotel clean comfy important . line break , housekeeping , want upsell give negative . also wait 45 minute trolley come take luggage . finally , wheel three piece porter meet lift realise displeasure tell quite bluntly busy downstairs educate hotel big far superior not make people wait . another problem find lack restaurant hotel . okay two - Rhodes Brasserie overprice brit food rhode chap somehow earn michelin star open another restaurant onsite serve three course dinner crazy price . got sandwich accross road finally cause even room service like bad price . 
 Mar 31 2008 	 go read review read one ! 	 stay cumberland begin march 29 2008 stay 1 night would 100 % stay . arrive around 12.30 thankfully room ready allow go excellent checkin time 2 put good start visit . first look internet review worry book thankfully absolutely nothing worry . hotel clean tidy spacious room certainly small great feel modern . find staff helpful attentive always polite . the breakfast excellent book meal Gary Rhodes restaurant bit pricey food lovely staff polite helpful . hotel ideally locate London also quiet evening sleep peacefully complaint would pillow super soft comfortable . concierge nice always get we taxi 's wish we nice stay . overall excellent time booking go back not put review go experience hotel go open mind . 
 Mar 24 2008 	 could pretentious over - price youth hostel much bad ? 	 price per night stay $ 200 property give 4 star rating Expedia , expect ( give two factor alone great location ) relatively comfortable stay . Cumberland two thing : first , old circa 1999 dot com phenomenum & quot ; be cool hip not nice , polite professional & quot ; . second , opportunity up - sell go unexploited . room basic inoffensive , primary complaint reside incredibly awful staff . virtually everyone work Trainee non - english speak country sense service match abiltiy communicate effectively basic English - next nil . not mean sound prejudiced , UK one purport benefit touist need know foreign language . Cumberland appear future Pensione desk clerk Baltics . infuriate aspect stay check experience & quot ; Sylvia & quot ; repeatedly draw attention Expedia booking somehow justification put dark uncomfortable room . mannerism pure hatefulness fact book , intelligently , on - line resource . keep say & quot ; rate be pay can not offer & quot ; . humiliating frustrating , esp act follow passionate marketing effort get pay $ 200 already pay via Expedia & quot ; nicer & quot ; room free internet . scare we believe up - sell necessary go get sleep peace mind . later regret wonder commission up - selling do . overall would recommend hotel invest decent training staff actually cease ridiculous effort towards incremental revenue generation . offer something free charge nice surprise . , internet charge $ 30 per day . physical comfort would give thumb - room clean quiet . bs relate stay make really hate place day one . in sum : hotel badly run Faulty tower perfect large group travel ( high school student ) - appear bread butter . stay picky service , manner ability carry conversation anyone work hotel . 
 Mar 20 2008 	 Chic Cumberland 	 impressive foyer hotel - efficient staff . pleasent room - great plasma television lovely bathroom . superb location transport , shop place eat . restaurant hotel look great although little pricey overall . only downside hide cost - late checking charge £ 20 / additional hour ! surprisingly enough mention guestbook room ! ! 
 Mar 14 2008 	 great location lousy housekeeping 	 hotel fabulous location Marble Arch end Hyde Park , conveniently locate March Arch tube stop . breakfast buffet wonderful . & quot ; deluxe & quot ; room still rather small , view Hyde Park . ask park view make sure upper floor , otherwise will view souvenir across street . nice fitness room lobby level -- ask concierge card . but far big problem housekeeping -- well inconsistent , bad , terrible . 11 night often bathroom leave uncleaned , floor unvacuume trash dirty glass leave unattended . 
 Mar 11 2008 	 great location 	 hotel fantastic location look amazing outside . lobby modern completely different expect . hotel refurbish high standard everything would expect 4star hotel . room double , single occupancy ( away business ) , double bed push wall . room little small , perfectly fine . bathroom good size , bath shower . breakfast one good ' ve ever hotel much choice second , include fresh pancake , bagel , fruit , cereal , full English , hot porridge much . overall stay good staying give opportunity . 
 Mar 9 2008 	 decent stay cumberland 	 second stay Cumberland . time leave kid home . lobby impressive creat good impression . stay king size delux room hyde park view . downside room lack storage space stay couple night . last time family room allot big two double bed storage king size delux room . room LCD tv time assume away repair . room nice enough . end day though nothing flash modern clean . breakfast nice something look forward . eat meal hotel order room service can not comment . 
 Mar 7 2008 	 disappointment 	 would bar hotel couple occasion - fault . great cocktail , great service . not fool . stay utterly disappointing - apathetic staff front desk , room window , bed wall , rusty tired bathroom faulty air conditioning . think single positive thing say room ! go drink - find somewhere else sleep ! ! 
 Feb 26 2008 	 Nice 's well 	 lovely attitude staff . room quite small , request view Park Lane park honour would rather small corner room view . wonderful powerful shower good selection Molton Brown goody . I stay Saturday night , within comfortable walking distance many Mayfair restaurant ( would recommend Langhans Brasserie anyone come - end Park Lane ) make get back easy . however , not quite polished look hotel business customer . , would recommend , special deal company well hotel £ 200 night . 
 Feb 26 2008 	 mixed review 	 book lastminute double room £ 140 , room . get Hotel look modern quite lively atmosphere slightly like tidy carpark . disappointed room , promise extra like big flat screen tv contemporary bathroom , pokey bed squeeze wall hardly room move . rang reception ask upgrade cost another £ 30 . room much expect - nothing fancy could walk around side bed feel spacious . get feel upgrade request happen lot disappointing . 
 Feb 23 2008 	 alright . 	 stay Cumberland business . first impression good hotel lobby reflect modern artistic design . room however alright . fairly small cosy , adequate 1 person . bed pillow comfortable . bathroom double tray enclose shower bathtub . criticism poor view room ( face block wall ) location room opposite staff lift , every time someone come / floor , loud sound indicate lift arrive . 
 Feb 23 2008 	 satisfactory 	 arrive reception tell room building road . drag baggage . room 604 nice however carpet little stain . bathroom nightmare . Shower door shut properly everytime take shower flood entire bathroom . report housekeeping provide towel could mop flood , really understand actual problem . inside shower corner dirty . need quick scrub brush . nasty lump scum wash wall collect around foot shower drain properly either . food breakfast nice fresh . complaint leave table 2 min get banana clear table , coat , take coat away seat someone else . return coat however share table new person understand ! think obveous leave personal bellonging table minute intend return ! mini bar room empty . could check tv . experience much less satisfactory . stay lot hotel one good enough . 
 Feb 19 2008 	 Loved hotel 	 patner 20 's . arrive hotel awe wow factor ' lobby . stun anxious get room . tell come back 2 hour room ready . tell leave bag concierge . return delighted room . do not great view really please cleanliness etc . beautful mordern bathroom feel hotel give we home home feeling . I would definately recommend hotel anyone stay london shopping oxford street literally doorstep . ( primark opposite hotel ) would definately recommend hotel would return heartbeat . would also recommend look travelsupermarket.com well rate quite expensive booking room direct hotel . 
 Feb 18 2008 	 Great Location bad experience 	 book weekend husband look forward spoil nice hotel expensive restaurant . enter hotel freeze cold realise heating obviously break . arrive 11.30am expect room available . tell room ready , overlook Marble Arch park receptionist state would change reservation nice room . return hotel 4.30pm wait Q 15 min tell room still available , would another 45 min . show bar drink many people also await room ! still freeze cold least provide heater staff . 5.50pm go back reception find happen , rejoin Q 3rd time get check desk lady tap keyboard 5 min tell change reservation room 7th floor - exactly higher state . view enquire - yes . arrive room pretty small back hotel overlook old building ! phone speak manager , lady answer say knew - fact room ready - tell manager would call back within 3 minute . 10 minute call lady hung . return reception request see manager . ' security ' man ask speak reception insist speak manager go find . going offer free breakfast however package already include offer 50 % refund . one theatre restaurant reservation rely get room promptly get ready . breakfast something like holiday camp different kiosk queue everything . overall disappointing experience . need employ additional cleaner get room ready Guest relation staff cope queue disappointed customer . glad leave ....... 
 Feb 18 2008 	 Disappointing 	 impressive somewhat sterile lobby , staff walk aimlessly . check without problem , yet get room give single instead King book , great start . room clean comfortable , although muct vaunt entertainment system not work . no robe , water anything else . price ridiculous even London , selection service limit . staff deal friendly , however . to cap , man vomit die lobby stay , body leave several hour , guard staff . lovely . save disappointment money stay thistle next door . location , low price . 
 Feb 17 2008 	 bad write ... 	 hour experience Cumberland feel compel write other suffer misfortune ! deciding would treat Fiance night London posh dinner relax night break birthday book Cumberland colleague recommend ' unusual ' - indeed . we arrive 4.30pm Saturday , plenty time we check , get ready make 6.30pm reservation restaurant literally across road . quee 20 min finally get counter informed smoking room available , ideal thought probably mean smoking room ban come decor need TLC , ' m afraid , figure ridiculous lift system arrive floor room strong smell recent smoke - thought ws illegal totally amazed ! least attempe settle room 10 min inhale stale smoke electric working decide go back downstairs queue move well room . decide wait ' guest relation ' whilst Fiance re - join ever grow check queue . harrassse GR lady inform deal complaint would back shortly - wait 10 min come back queue behind grow big - one lady room short teenage son , another guy give key walk couple , another book large party 5 room short ! realise stage Guest Relations lady must hide join main queue see could move - eventually get counter tell absolutely room available evening could - whole thing complete mess worry although obviously stress check girl not seem overly new situation , even state like becuase everyone check time - silly we ! ! Upshot ask money back , cancel dinner reservation go home , luckily we live local - ish enough - feel sorry other meet though obviously come London special break ... 
 Feb 13 2008 	 get crash pad 	 stay one night - experience ok nothing outstandingthe hotel immediately round corner Marble Arch tube central easy get public transport anything London . on arrival hotel reception shockingly modern expect still shocked . modern homely least . queue check staff friendly . 12.30 room ready . room 113 tell build road . get lift one floor take corridor leave right end would get lift first floor hence find room . go one floor zig zagge along corridor past conference room find two lift . one lift serve even floor one odd , odd floor go room 8 13 . go back reception find right lift , guy say right lift would show we room . get first floor look two door guy find stair lead room 109 - 117 . low upper level every floor floor seven guy tell we not exist accord lift number ! ! get room deluxe double small side clean tidy . must recently decorate . must agree previous reviewer turn shower jump way , plus never hot . tea coffee make facility room though cup metal therefore drink metalic taste -look good practical ! eat restaurant drink bar can not comment n area . Sunday morning check bag conceige whilst went - problem . the staff encounter pleasent helpful . area hotel see clean tidy though maybe lack room sign . there reason would stay - although probably depend deal could get . 
 Feb 11 2008 	 number game 	 overall feel hotel leave with . so , stay business one night 31st January . first impression go number game ; right . approach desk check - in feel though deli counter ticket number hand wait call , honesty feel bit nuisance . check need ask room , find lift . my room ok , well , tv work ( sound ) , iron board big enough iron sock ( wish ) , shirt easy put floor towel , iron lead reach course . the bathromm attempt clever ; agree comment get drench freeze water walk right cubicle turn thing , run . trouble , shower warm , get back door without drench rest bathroom door open right opposite shower head can not swivel . good test be awake morning need puzzle . when return hotel evening sneak bottled beer bar , sign , go room relax retire . check - out follow day return check - in experience , great really pain be leave ! staff foreign not issue get level service smile would normally get fully train experience professional . they try charge £ 4.50 one bottled beer . although pay not pay . queue 20 minute bar get , 50 pence price service charge purely privalge 20 minute wait bar open bottle slam front . fair deal , tv not work could buy drink return . take 30 minute conversation agree take much time queue start form . breakfast mission . would advise take breakfast check depth basement five minute walk reception . check first , ask could store bag breakfast , drag . pain , advise leave corridor - fabulous security ! breakfast set manner could understand , need walk one end put breakfast together rather canteen like surround . example , toast one end , oragne juice , somehwere middle find rest . summary , number hotel , respected guest . plan stay plan use place rest head night . 
 Feb 11 2008 	 Spectacular Lobby - 's ! ! ! 	 book hotel weekend break London partner birthday 9th February 2008 1 night deluxe double room . on arrival lobby spectacular - big wow factor . however , sadly not extend rest hotel . give non smoking room request 6th floor . soon open door stunk smoke . go back lobby re - accomodated 5th floor . room quite small need redecoration . sure would book deluxe king size room get room like one photo . everything fine go dinner . return thing happen smoke - room next door smoke come inter connect door . approximately 11 pm get little annoyed time . call reception promptly move we another 5th floor room . everything fine approximately 4 am room next door proceed full blown party around 6.30am . not even bother complain point could not face move fourth time . apparently smoke floor 8th , ideally people adhere . really disappointed see conflict view people stay , think would give chance . yes , location central probably would not recommend . put dampener weekend . 
 Feb 8 2008 	 Cumberland Hotel - Good Location 	 husband recently stay Cumberland long weekend . bedroom not bad size , view right onto Marble Arch , traffic noise . however , bathroom small side , functional . think quite good value money location . would definitely stay . 
 Feb 8 2008 	 bad ! 	 1 night business purpose . lobby look great room bit small . room design nicely , complete ironing etc , well flat screen tv . bathroom ok , spacious shower , whoever design shower need know people hate walk shower , switch shower get drench freeze water sicne way avoid ; ) : ) overall god hotel london , much well stay frequent travel London ! 
 Feb 1 2008 	 not fool stylish lobby ! 	 book hotel 125 pound per night ( midweek ) last minute 's top secret hotel , not suppose expensive London standard , even amazed poor standard accommodation provide . the hotel seem blow entire refurb budget cavernous gallery - style lobby area kitte room sub - ikea style furnishing already look incredibly tired date . the first room show - apparently & quot ; deluxe double & quot ; incredibly cramp dark - even enough room two bedside table tv virtually bed close . carpet absolutely filthy , complain give upgrade kingsize room . this room well , still average . room face one several courtyard , be unikely view room opposite . also lot noise fan generator . the location great , would bother place . 
 Jan 28 2008 	 Great Lobby - Great room ... 	 Summary first : lobby look hotel excellent room 3 star standard . great functional hotel base London – want comfortable relaxing room spend time hotel . room standard great vary check offer . I stay Cumberland Dec 07 Jan 08 – both time single occupancy . dec - room great , standard size lovely view marble arch . bright airy . travel group 3 room resemble one : Jan - get single room , slightly large single bed - view window muff glass . room really badly light space front wardrobe completely dark . mini bar empty . room tiny . the bathroom room extremely small basic clean . toiletry provide nice- conditioner . extra like toothpaste , razor & amp ; foam available request . bed room really comfortable . the hotel exterior lobby really impressive . go small bar ( Kua Bar ) lobby small comfortable intimate . queue Carbon Bar Saturday night really long . once leave lobby go bedroom floor standard extremely disappointing – hallway look like 3 star . staircase could find back concierge desk really not suitable customer - ordeal embarrassing avoid use lift . overall cleanliness hotel good – although occasion people leave empty bag corridor remove . House keeping take 45mins 2 telephone call bring additional item . last morning housekeeping open ( bolt door ) 3 occasion despite 11am . I ' stay hotel – ok ' go try find well . 
 Jan 22 2008 	 nice buisness shopping oxford st 	 great hotel buisness shopping oxford street though 1st room offer # 1388 oh lord soo small mean small plain ask big room pay 245euros glad move we word , next room fantastic # 1186 great bathroom nice decor exspecte also can not get room till 2 pm busy enjoy stay oioi 
 Jan 17 2008 	 great hotel excellent location 	 stay hotel 2 night ( Jan 11 - 12th 2008 ) . be large hotel still offer personal experience - staff attentive courteous . reception area artistic contemporary lovely feel - will experience see mean ! room little small side not London stay room not problem . clean , contemporary also locate back hotel mean quiet ; siren hear ! hotel locate around Marble Arch tube station central line minute walk Bond Street tube station link line . equally pleasant walk Hyde Park Picadilly Line Knightsbridge Kensington stop away - perfect location . we eat Rhodes W1 restaurant whilst experience world - wonderful food , service , ambience , perfect ! ! definitely go back Cumberland . 
 Jan 15 2008 	 Modern hotel good location 	 stay Cumberland two night January 2008 . town business trip , Cumberland great location - central , near many shop right around corner tube stop . lobby hotel hip stylish . impressive . room much less impressive , standard twin 7th floor . good thing : comfy bed , good in - room coffee / tea selection , nice tv , modern bathroom fixture . bad : stain carpet ( ick ! ) , sink clog housekeeper 's visit ( although hotel fix ) . general , get lobby , thing look shabby . this say , would definitely stay next trip London . 
 Jan 14 2008 	 nothing bad say 	 hotel quite nice enjoy lobby bar . concierge make odd recommendation dining , etc . , -- nice hotel . room stay tiny , clean , efficiently - appoint comfortable . would stay . 
 Jan 4 2008 	 little different 	 Cumberland & quot ; do & quot ; make modern ( almost boutique hotel - see website ) . two different twin bedroom ; high grade & quot ; de luxe & quot ; room view Hyde Park superb & quot ; standard & quot ; twin nice without extra . good room Royal Auping bed ( good ) , acre space ( compare Paris hotel room ) , quadruple glaze onto Oxford Street ( shut noise ) . stay brilliant - early check - in book available time request , check - in formality problem , even predict breakfast queue minimal - get deal advance - rack rate absurd ! 
 Dec 31 2007 	 great hotel perfect location 	 scared stay Cumberland read review tripadvisor , stay could pleasant . staff friendly helpful ; conceirge give we good advice every day . room small clean modern ; empty fridge hot water kettle useful . lobby little noisy poorly light , husband use business center really like . pay internet room little expensive , be not expensive London ? bed extremely comfortable . room dark except green light bathroom do not turn , dark overslept couple time . book Priceline , pay $ 150 night , bargin experience excellent . pay average price $ 450 night , would probably expect little bang buck ( something like free breakfast , free internet , big room , etc . ) 
 Dec 20 2007 	 different fab 	 arrive hotel lunchtime . queue check left bag concierge pleasant helpful . reception unusual cold look also quite fascinating . Doorman point we right direction friendly . arrive back hotel 8 pm family room ready upgrade large double room provision camp bed daughter . room beautiful , camp bed put promptly , view window Marble Arch . could not fault . \d\aughter spend evee laptop , collapse comfortable bed ever . unbelievable - fall asleep 3 minute ! ! peaceful , clean . breakfast superb , strange set dining room different station obtain different type food like different . first hotel stay provide choice home make smoothie . check efficient left bag concierge evening . yes staff overseas friendly interested say . open top bus tour across road excellent plan 3 half hour full tour simply traffic . would definitely return . nothing not like 
 Dec 19 2007 	 good location weird hotel 	 move Cumberland hotel book encounter building problem . ie . not finish bloody thing ! Cumberland brilliant get . next Marble Arch tube station brilliant shopping Oxford Street . however , inside weirdness start . 's dazzle blue ( sometimes red ) staff barely speak word English try explain bit nightmare . not blue red whiteness disturb . add bizarre statue 's like funny dream . not get start tap dance water noise egg shape sofa . anyway , eventually get room pretty good fair ( apart blue lighs metal cup - be Potteries like china ! ) basically , somewhere ' just ' stay London 's fine want classy experience 's . modern liking . bed comfy though . 
 Dec 17 2007 	 FANTASTIC ! ! good bed ever ! 	 Thought owe Cumberland write review Cumberland 2 night stay weekend ... many people give hotel bad name , understandably hotel huge stay one particular area hotel fault all.£10 taxi Euston , entrance something Tate Modern , reception staff friendly plenty staff deal amount people check in . the twin room friend brilliant- get comfyiness bed ... brilliant ! location hotel excellent people come London shop come sightsee want bus tour , get bus across road hotel , marble arch ... , service , friendliness cleanliness staff faultless ... impressed definitely go back ! 
 Dec 10 2007 	 Excellent Location 	 read poor review tripadvisor bit anxious stay Cumberland however , disappointed . absolutely fabulous location - especially want shop - situate end Oxford Street opposite Marble Arch . marble Arch Tube station 30 second walk away . hotel fresh clean absolutely fabulous breakfast - variety food unbelievable ! ultra modern hotel - exactly cup tea would prefer traditional decor however go back London would certainly stay . 
 Dec 5 2007 	 over - rate over - price over - charge 	 Hotel superb location £ 165 night leave lot desire . the staff unfriendly unable string decent sentence together English . upon return hotel evening receptionist first finish text ( sms ) busy attend we . I do not think saw staff member smile stay . we double - charge room struggle obtain refund , somebody less basic grasp English . in addition also charge breakfast despite explicitly include booked hotel manager & quot ; unable see system & quot ; .The room nice , breakfast nice , hotel bar lobby nice , £ 165 night , would expect much . I would not stay love money . 
 Nov 30 2007 	 thoroughly enjoy stay 	 terrific location , ultra trendy design , great breakfast individual request pancake omelettes ( mmmmmmmm ) , good size room , clean bathroom chic Elemis toiletry , clean crisp linen , empty fridge . what say ; impressed despite window Oxford Street , good sleep ever London . I think Cumberland great value money definitely return . 
 Nov 28 2007 	 great stay Cumberland Hotel 	 certainly enjoy stay Cumberland Hotel , ask check room upgrade prove problem reception staff . although seem queue breakfast problem us 8.15 - 8.30am every morning . vast selection breakfast staff attentive . would certainly stay Hotel . 
 Nov 25 2007 	 Noisy smelly overprice unfriendly 	 would recommend hotel . room smell smoke air - freshener , stain carpet towel , light unpleasant green light could turn night . room ( travel group ) noisy , either fan , elevator disco . one we find metal key underneath sheet , another towel smell unmentionable thing .... staff , though probably well meaning , totally incompetent . there long wait line breakfast every day . 
 Nov 22 2007 	 Perfect location ... 	 last hour Cumberland . company travel agent book hotel night 20 - 22 November . let say reason hotel rank 301 TripAdvisor . the location perfect , perfect , perfect - shopping , sightseeing , business . room ... well , company book single , dread even see , upgrade call Deluxe Double inside view 8th floor 30 £ per night . unfortunately smoke room , despite quite tolerant smoke smoker could not stand . besides , room view hideous , actually face hotel 's wing . bathroom cell . call reception ask another room , inform option one Deluxe King 4th floor Park view - seem perfect , course come additional 25 £ per night [ actually say 20 phone , 25 afterwards reception , anyway ... ] . room slightly big , view much improve , give corner Marble Arch Hyde Park . bathroom bite big time - however serious struggle turn shower . well bed suppose king size , basically 2 mattress unite [ god , always hate ] , perhaps may convenient 2 person . mattrese ok , pillow average . also huge LCD tv room , lousy reception though . internet least come free - well , wire internet course ; wireless pay . Mow , must understand go boutique hotel - hotel huge , almost get lose finding room . breakfast area , well ... lucky find table rightaway [ one person ] , see people queue lot time . vast breakfast area , extremely busy noisy not . perhaps 3 4 friend would not minded ... next breakfast take room without extra thought . , seem not pass room collect in - room Breakfast menu phone spot morning . in - room breakfast extremely poor , charge 11,25 £ supplement ! ! ! room service menu , average boring - to - death , breathtakingly expensive . they also charge 10 £ guarantee adaptor . well , seem serious check credit card charge ... hotel staff nice , polite friendly . all , not quite see spend much money room hotel , fantastic happen fantastic location . check web - site , think rate room around 225 quid , ridiculously expensive price ... go ? Hmmm , not know ; pay , would not . business trip , might consider , give location alone ; would certainly give priority hotel ... 
 Nov 19 2007 	 Fantastic hotel 	 triple room Cumberland executive twin third bed add . even extra space take room still spacious . we eat Gary Rhodes brasserie meal fantastic reasonably price . yes drink bar expensive London hotel ! couple lift break Sunday cause problem nothing wait 5 min lift - 's problem be inpatient want everything ! queue seated breakfast morning queue move quickly allocate table queue actual food 5 people long max . I read lot negative review stay little apprehensive fantasic weekend staff could enough help . will definitely stay . 
 Nov 19 2007 	 ok 1 night 	 originally book Park Plaza County Hall open , book Cumberland charge rate £ 75 per room plus vat . room clean quiet shower bath Elmis toiletry . Did'nt eat hotel think price drink bar high . reception staff polite friendly . , enough lift . Sunday morning load coach party leave time could'nt get lift . everyone pour stair . ok we one small bag good people . 
 Nov 13 2007 	 Fantastic ! ! 	 book hotel Top Secret Hotels - have work hotel prior book due restaurant description ( Gary Rhodes W1 ) able check previous review trip ad booking ...... ' m glad negativity not put ..... picture lobby ideal location make proceed booking ..... ' m glad ! stay one night not really get chance explore whole hotel ( especially end wheel chair 9 pm due bad fall elsewhere ! ) although room small side , amenity require - bed lovely comfortable , tv good size , complimentry toiletry ' Molton Brown ! ' lovely power shower - one need . this hotel not pretend 5 * , pride damn good 4 * ! carbon bar fun , funky welcoming ! staff could not anymore helpful - contrast review ... check - in quick ever - 1 min check one concierge check we could head straight ! love much ' ve book 3 week time ! 
 Nov 10 2007 	 Great Location 	 nervous booking hotel know location would worth . right top Oxford St directly Marble Arch Tube Station . could well . People site moan size room , well massive fine 2 people day . long spend room anyway ? ! bed comfy , good shower ( flood bathroom though ) breakfast good , did'nt like long line ( like school canteen ) . there s Pret next door room . great modern lobby . shop around good deal - . 
 Nov 6 2007 	 little impersonal 	 hotel arrival look clinical . large modern lobby noisey check problematic reception could find detail . room ok dispite line breakfast well worth wait . sure would choose hotel . 
 Nov 5 2007 	 terrible 	 room okay ( although noice fan Urban Disco ) . terrible experience . credit - card work . double charge do no - one respond email even phone call . nothing do it.due issue hotel unpleasant stay London big trouble get home ! thank folk . so service get far decent behaviour ! price much high . avoid HOTEL ! 
 Nov 4 2007 	 bad deal earth - never stay ! ! ! 	 bad deal earth ! ! ! never stay hotel ! ! ! ! 's expensive , service i d TERRIBLE , room ridicusly small ... small hostel ... pay 600 dollar room ! ! ! not even tub . lobby nice moder crowd paddington station ... wait 30 minute evertime need ask question ... not even try room ohone ... put onhold forever . travel business 30 % time nd never stay small , run expesive rom life ! ! ! 
 Nov 2 2007 	 love cumberland ! ! ! ! ! ! 	 absolutely love hotel ! start ? hotel lovely , reception absolutely stunning . have call hotel arrival ask room upgrade read review site . definatly worth , room lovely . large , airy modern . complaint slightly noisy nite , can not forget central london ! location hotel brilliant ! right next tube ... brill ! ' ve read complaint hotel foreign employee hotel , although seem bit abrupt time find efficient enough ! try Carbon bar / club hotel , really good nite ! ! would definatly recommend hotel other , read review would definatly advise ask upgrade ! 
 Oct 25 2007 	 tube 	 stay Cumberland trip London last 10 year . hotel get bit tired prior Guoman makeover . improvement think . however standard consistently deteriorate since . english staff leave . current staff struggle english service standard appalling . customer profile change accordingly . after score night spend last decade , see last . 
 Oct 24 2007 	 overprice quality hotel 	 service appalling , receptionist interest answer telephone book guest , wait 10 minute receptionist phone . happen twice two day . room book double room staff give box room double bed ! give room big however stain floor carpet rattle window let cold air even close . there stain wall bathroom wall . heating could switch . get heat fan work instuction hotel repairman still blow cold air . use hair dryer warm room . shower cubicle door would close shower run . shower mixer tap start cold position close cold position . turn shower gauranteed cold freeze water hit ! ! . even though managed get well room next two night would use pay extortionist amount money third class hotel provide third class accommadation service mislead photographs INTERNET ! ! 
 Oct 24 2007 	 Meh . 	 Cumberland look good outside , flaw inside . great location - close Pret Manger Sainsbury Express , close Marble Arch tube 5 min Marks Spencer ! typically someone meet front door . tell room not ready arrve overnight flight - end give upgrade suite get one immediately . fine this . I write email ahead time make sure rez twin room . mother 's birthday surprise original arrival , come back find chocolate bottle wine ! nice right ? wrong - try charge mother bottle wine check - put foot make sure change make bill . the staff definately average language skill , hard understand lot . try , not cut mustard . line breakfast atrocious - not even bother . lobby visually stunning restaurant allegedly well regard ( fancy english chef run ) . however , hallway hotel look like abandon dorm room get lick paint night club lighting . room good size comfortable bed . shower bit tricky slippery manage . clean staff great job . overall decent hotel , would not stay . stay Trafalgar small far superior . also stay Thistle Charing Cross would not stay either ( nearly nice hotel ) . 
 Oct 22 2007 	 positive experience 	 quite hesitant stay Cumberland due negative review read traveller . however recent stay positive experience . true , arrival tell room available , get 10.30 common policy hotel worldwide check - in afternoon . however , soon accommodate decently sized room second floor overlook Oxford Street - , definitely noisy consider ' close ' busy road ! Decor ultra - modern might please conventional minded people , especially lobby , large bit bare . however , furnishing room well think . shower enormous enclose glass door - positive break shower curtain one still find hotel stick matter ! drawback get partially wet turn water tap . my complaint shower cap keep disappear day never replace thus would ring housekeeping bring another one - oblige replacement without delay . all staff come contact helpful , breakfast quite good although particularly bountiful . still , location hotel make minor shortcoming have . good thing much influence negative review change hotel . look hotel review good , thus one would get different opinion , think use guide since ultimately , depend expectation individual traveller . 
 Oct 18 2007 	 Wary Cumberland Hotel 	 disturb experience hotel would never recommend anyone . arrive around 11.00 morning 2 night stay room available unusual . got & quot ; special & quot ; rate room £ 300 two night . attendant Eastern Europe English so - so . ask room available whether could upgrade . suite say rate £ 275 night . think end think heck - travel 12 hour get London exhausted . , double check ask : total £ 550 . said & quot ; Yes & quot ; . come check , look bill show room charge £ 850 . ask go young girl say rate . try explain total £ 550 keep talk say amount upgrade fee . explain would never agree go £ 150 £ 425 night explain time . like & quot ; nothing & quot ; . finally lose temper make get supervisor phone . lot back forth , agree total would £ 550 . taxi wait 15 min point put line £ 550 upgrade charge , write £ 550 total sign hotel sheet . make sign Credit card receipt do not seem anymore , hotel sheet . run taxi driver threaten leave . get credit card statement - guess ? ! £ 850 charge . furious try speak 3 - 4 people get NOWHERE . every time ask someone call back , promise . joke ! avoid Cumberland Hotel - theive ! 
 Oct 17 2007 	 over - price room 	 book Cumberland anniversary weekend London husband . look picture online hotel site also expedia . look lovely , trendy modern . entrance hotel fabulous . check - in staff cheery helpful . everything go well give key room start treasure hunt find ! direction room complicate ask several people could find . order get room go 1 flight stair , one floor lift another floor another lift ..... quite incredible ! turn actually build across street main building . upgrade de - luxe king excite see room would like . upon enter room could tell anything deluxe . funiture modern guess reason call deluxe . look like furnish Ikea . huge pillar middle room prevent get inside wardrobe . wall outside window feeling trap basement . bathroom modern door shower close properly go shower put meaning soak cold water ! bed comfortable positive thing say . eat Gary Rhodes Brasserie lovely expensive . also coffee Kau lounge £ 3.50 plus 12.5 % service charge .... cheap ! would stay ...... , never ! 
