Leopard 	 husband London Thanksgiving week year try Rubens Hotel . hotel gracious , warm comfortable . room quite spacious London standard . ask turn service . chocolate yummy . favorte part stay meeting Said Mahri , manager Leopard Bar inside hotel . luxurious room wood panelling . romantic chic . say charming gracious host , knowledgeable London retaurant bar scene . 
 Pleasurable stay 	 fantastic location right next Palace , wonderful walk St James Park breakfast . stay catch couple show west end . bit way Covent Garden ( £ 15-£20 taxi ) ideal start point variety bar drink in . the service really good , consistent whoever meet whether reception , breakfast staff barman . standard room also good , bed one good ' ve ever stay ( wife want buy one ! ) . picky little pricey . lunch consist couple drink , salad , steak fry £ 50 . say plenty people eat drinking know ! really enjoy stay would go back . 
 Jun 29 2005 	 Loved Rubens - Great Location Great Staff . 	 return two week Rubens . family love hotel . perfect location - directly across Buckingham Palace ground easy walk Westminster Abby , Big Ben , etc . also close every transportation option . room split level suite . decor would expect english hotel . every room get nightly turn service . hotel bar call Cavalry restaurant beautiful . staff friendly , professional helpful , especially David concierge desk . definitely stay . 
 Jun 25 2005 	 wow creaky floor ! 	 business trip week outside London , stay Rubens day sightseeing weekend . location great , across back Buckingham Palace 2 block train / subway . staff excellent hotel nice look . the room , , small , single traveller spending time outside hotel , not problem . room well decorate , carpette seem fairly new . the EXTREMELY creaky underfloor problem though , creak loud , sure every step night would wake people floor . bad actually limit amount walking room . the bathroom clean , 's deal tissue ? maid take 2 3 tissue , shove empty box . cheap need ? one problem first night , pillow smell like old person 's apartment . mean , reek ... bad . ask new pillow next day , one fine . overall , bad place stay , extremely creaky floor , not know would stay ( yes , bad ) . 
 Jun 21 2005 	 Excellent Hotel 	 stay Rubens May 30 & amp ; 31 . stay great . regular room . decor bed linen scrumptous , even though towel little rough . americans wash cloth ! arrive 8:30 a.m. staff gracious keep luggage tuck ( room ready ) away room around London . next store little sandwich shop ( not want eat hotel restaurant ) . hotel across street Royal Mews short walk Victoria Station . convenient bus line well . within block reach mode transportation . eat restaurant , visit bar , nice relax busy day . lovely hotel imagine anyone bad stay . 
 Jun 13 2005 	 Rubens Nice Royal Room Small 	 husband stay Royal Room April 2005 . first , room ready upon arrival , understandable since arrive around 11 am . however , come back around check time room still ready . apparently , previous guest request late check . totally annoying put room 5 pm . pay close 200 pound room even able enjoy advertise check - in time . since take overnight flight States fall - out give we standard room couple hour around 3 pm . although standard room equally small , budget , recommend stay standard room oppose Royal Room . offend room rate discount complimentary item provide inconvenience . barely even apologize . therefore , impress use 5 Star service States , may disappoint Rubens . go Savoy something caliber . the Royal Room ( Henry VIII ) absolutely beautiful crown mold great attention detail . never stay room beautifully decorate . however , never stay room small . know room Europe small , would think Royal Rooms would least room least walk without bump something . read reviews Royal Rooms small , would know small would pay high price room . trust - room small . please take heed - go book Royal Room decor size . service average good location awesome . within walking distance Buckingham Palace , Queen 's Gallery , Big Ben , Westminster Abbey , Parliment , Cabient War Rooms , etc . 
 Jun 10 2005 	 Fair fair ! 	 stay last February ( 2005 ) not impressed . nice bar , staff could well . I find room , especially bathroom , small poky difficult navigate ( bathroom even step not safe place step ) .However , breakfast morning top notch . the hotel quiet central five min brisk walk away Victoria station . overall , would recommend hotel . 
 Jun 1 2005 	 average Stay Rubens 	 read positive report hotel , expect bit stay . husband stay Rubens three night . rather small double room one - window & quot ; view & quot ; interior courtyard fill mechanical work / duct , result room rather dark . decor nice enough although comforter bed stain . bed fairly comfortable sleep well . room quiet -- probably owe interior location . order room service one night ( dessert ) deliver quickly taste good . item room service menu grossly overprice could half price one many pub near hotel . husband find full english breakfast buffet mediocre . although lot variety shortage quantity , quality food seem lack . staff hotel courteous helpful . location hotel excellent probably strong point . 
 Jun 1 2005 	 Great Location - Small room 	 stay Hampton Suite 4th floor view Royal Mews great . room small though . sofa bed daughter . sofa bed make much room leave . although spend little time room . complimentary water room small amount fruit . nightly chocolate pillow , canape turn service . breakfast morning one well sample . , nice huge selection . hotel great location . close Victoria metro station . take tour Royals Mews get chance . take long informative . even see Queen stay open Parliament parade / celebration . bonus ! ! 
 may 30 2005 	 Great Location 	 wife recently stay Rubens Palace Hotel . hotel excellent location ( situate across Buckingham Palace ) . immediate area laidback relax , yet , many area London worth see ( Piccadilly Circus Trafalgar Square ) comfortable walk short cab ride ( 7 - 10 EURO ) away . hotel lobby common area impressive welcoming . stay standard " double - double room " . room ' décor traditional pleasant . marble wood bathroom particularly impressive . real drawback room limit size . day , probably would start feel cramp . notwithstanding , comfortable enough 3 - night stay . ruben solid 4 - Star hotel . staff professional try helpful . hotel exercise facility on - site , however , couple park locate nearby provide good location picturesque run . recommend hotel able get good deal . pay $ 300 ( usd ) night room consider good deal London . pay significantly , consider upscale competitor . ' go wrong Rubens , however , well alternative reach certain price point . 
 May 25 2005 	 Nice Hotel Decent Value Great Customer Service 	 customer service hotel excellent ! staff take time learn name ( even though hotel 3 day ) . provide we cot extra charge ; normally 25 lbs translate appx $ 50 / night . order room service late , around midnight not really par . call let know going go bed would not hear . credit we soup order send we complimentary sandwich would not go bed hungry . also would recommend utilize concierge much possible . get us high tea Savoy one day 's notice , get we London Eye ticket hour want go make sort reservation we . great . room large almost large enough 3 , little cramp , two would okay . room decorate rich color ( red green ) , could tell due refurbishing . location good , value good customer service great . travel tight budget would probably stay ( average room rate double appx $ 180 / night ) . 
 May 23 2005 	 First Impressions 	 first room small , change mind , get ! first impression important one good one . complain size room get new , adequate ( still small ) room . something walk room stumble bed ! stay many hotel throughout Europe , one get vote one small room . location great though . five minute walk Victoria Station . two minute front gate Buckingham Palace Royal Guard barrack ( good place see guard ! ! ) . 
 May 17 2005 	 good value London 	 Saturday evening Sunday morning London transit , want something close Victoria Station Gatwick Express . stay Thistle Victoria previously , fine , thought would try something else find Rubens Tripadvisor good - to - excellent review . want something reasonably price since much time London hang hotel . Got seem good deal single room continental breakfast ( usually 12 gbp ) 75 GBP come 89 gbp 17.5 % vat . Seemed ok want . pass London morning 2 week early ask hotel could leave luggage morning since would guest 2 week hence . Kinda silly request , kindly accomodate check reservation . make nice morning London . anyway , check , ask could get single view , tell room view since interior . nice young woman deske offer upgrade double ( one double bed ) room view front hotel additional 20 gbp , seem reasonable since include continental breakfast . room 112 first floor , terrific , 2 huge window , high ceiling , heavy drapery , plenty room one , fine bath ( though toilet odd since cabinet display amenity insert directly ) great water pressure hot water . noise problem since additional set interior window could open protect outer window . spend little time room , prefer explore London . hotel close everything , walk Waterloo Station , OXO building Tate Modern dinner . Breakfast serve 7:30 - 10:30 Sunday , standard buffet style excellent table service coffee / tea toast . great service ! apparently , also upgrade full english breakfast ( 15 GBP ) cost . wish hungry . check breeze , friendly , walk Victoria take 10 minute . wish stay long . cost $ 211 1.92 dollar pound . convert dollar desk . room slick , bed pillow exceptional . highly recommend hotel get reasonable deal breakfast include . safe , safe , safe convenient , expecially like walk . 
 May 15 2005 	 good hotel ' ve ever stay ! ! ! 	 recently stay Rubens exceed expectation far ! see one travel companion sleep floor , surprise we cot . ask could three bottle water , give we six . hungry city close , bring we soup , see not like , serve we sandwich house . every member staff sweet accommodating . location great , close walk distance beautiful St. James park . room spacious London decorate nicely . never service like recieve Rubens , return London , will not ever think stay another hotel . 
 may 7 2005 	 palace 	 stay one night ( election night ) . arrive late ( 2.30 ) . receptionist kind helpful , bar still open . general atmosphere little threadbare . worried first floor room would like - fine . curtain draw properly , quiet back hotel . however , fan ceiling outside bathroom keep cut night , clattering . four foot bed . ok , definitely first choice hotel . 
 Apr 30 2005 	 jolly good time ! ! 	 return 5 night stay , Rubens . staff attentive . call two occasion , ask something housekeep not leave bathroom . base previous posting , know room would small . twin , room rather small . closet , drawer space extremely limited , make due . spend little time room , large non - issue . location perfect , Victoria tube station three minute walk . concierge helpful make dinner reservation , tour . the full english Breakfast , include package , enough prepare we adventure sightseeing . prepare spend alot London lousy exchange rate right . would cerainly stay Rubens . 
 Apr 26 2005 	 Acceptable 	 spend 5 night Rubens March 2005 package deal . staff front desk concierge nice friendly . breakfast buffet good part stay . king room adequate . feel like 4 star hotel . & quot ; royal room & quot ; either . 
 Apr 26 2005 	 AbFab Stay Rubens ! 	 absolutely delighted Rubens . staff -- Dave concierge housekeeping staff -- could not helpful ( wish = I= good employee ! ) location superb . comfortable ( ny point view ) reasonable . certainly stay . wish could live permanently ! 
 Apr 24 2005 	 Rubens nice place stay 	 family stay hotel 5 day late March first week April , 2005 . book reviews Tripadvisor . disappointed . not expect view many room , well decorate , clean quite confortable . full breakfast include room good quite english way - e.g . use egg fry much oil . ruben location can not well . close Victoria station , bunch restraunt , Buckingham Place , easily walk many site within 1/2 mile Big Ben , Cabinet War Rooms St. James Park . staff friendly helpful . twin room mother son share small tiny . superior King room bit expensive great deal room . king room also come twin pullout sofa bed . while London , remember take day tour Stonehenge Bath , book discount London discount website catch bus Victoria Motor Coach Station 3 block hotel . 
 Apr 19 2005 	 Excellent service great location 	 return 9 - night stay Rubens . take wife 's parent London first time look something centrally - locate good service . rubens excellent count . from first time arrive every time thereafter , staff ( especially Dave , concierge ) greet we enthusiastically , ask day , see , anything could get we . room little late ready immediately offer we complimentary refreshment lounge . the location perfect see major sight Royal Mews literally right across street . Buckingham Palace less 2 minute walk , Picadilly Westminster less 15 minute walk royal park amazing time year . if get breakfast - inclusive deal Rubens , will not need lunch . 's amazing buffet spread full English Continental every morning -- well respectable breakfast Thistle Hyde Park previous trip . Bag ' Nails pub across intersection great place night fill mostly local King 's Arms street . solid menu great Fuller 's ales cask . yum . the standard room tad small US standard , clean nicely decorate . sort sight - see trip , basically need somewhere comfortable quiet sleep perfect . say street loud , may notice inside modern window shut sound come vintage single pane . in short , would definitely stay similar trip , especially late off - season rate good . 
 Apr 15 2005 	 Five Star Service 	 treat two night hotel birthday . present , staff lovely , helpful . eat library one night - impressed quality food service . really five star , can not wait go ! 
 Apr 13 2005 	 depends Think 	 think review hotel completely depend type room book . find great deal hotel 's website weekend getaway package include double room full english breakfast £ 93 per night . price expect room small , , adequate two people nicely decorate . request business ready , non - smoking room view Buckingham Palace , request fulfil . room quite ready arrive 3:30 pm , ready within 15 minute . as mention , room small , nice , view Palace 1st floor . bathroom incredibly large compare overall size room . huge bathtub / shower , trouble keep shower water floor ( partial shower door curtain ) . breakfast nice fill we . food pretty good ; nothing spectacular . overall , satisfied consider great deal get . however , would probably try somewhere else next time request Royal Room . 's room not nice . not get WOW feel everyone else get . 
 Apr 12 2005 	 Royal Experience 	 wife in - law go London seven day March 2004 ... awesome experience . ruben spendid location ( directly across Buckingham Palace , block Victory Station - a hub ground rail transportation , walk distance number attraction , ton eat place ) . service impecciable ! apparently , general manager start cordial , remember correctly run hotel Austrailia . front desk wait staff , bell - hop maid service , everyone tremendously courteous ! room small in - law 's , view palace coziness room wonderful . change would make would stay long ! 
 Apr 11 2005 	 wonderful Rubens 	 daughter stay Rubens spring break 2005 . choose Royal Wing stay & quot ; Mary Queen Scotts & quot ; room . excellent . Plasma T.V . bathroom pop one foot bed . wonderful staff , perfect location , near Victoria tube across Buckingham Palace . would stay . sure get full english breakfast include room price . 
 Apr 8 2005 	 Great Hotel 	 family three spend seven night Rubens early April . staff extraordinarily friendly , concierge service particularly helpful . full english breakfast include cost room excellent . location great . 
 Apr 8 2005 	 mixed blessing 	 book two night hotel back April ' 04 , hotel normally stay London ( Thistle Tower ) fully book . having read review , expect true greatness round , expect Rubens could become new ' normal ' London hotel . on arrival , doorman friendly ( find use live 5 mile we ! ) , front desk helpful concierge great . get room ... tiny , definetly small hotel room ' ve ever stay . view grey concrete . phone front desk , see large room available ; tell could upgrade quite high charge ( forget much ) , not prepare anything otherwise . decide live it . as go theatre night , decide dinner go ; would hear great thing carvery , disappoint well . food taste great , selection poor , service terrible . we breakfast hotel , disappoint . good selection food , freshly prepared - good value money . so , mixed hotel , will not stay . food good , good . staff great , restaurant staff let . 
 Mar 31 2005 	 incredible ! 	 get back today ( March 31st ) 5 day Rubens . spend 2 month research site try make decision hotel . ruben meet expectation . junior suite breakfast include . need anything , sure ask Nathan . everyone helpful great view Buckingham Palace . 
 Mar 30 2005 	 hotel ? 	 feel somewhat confused reading review . wife book hotel direct consequence review website . stay 2 night February book double room . arrival inform double room available , twin . room small dark . result view window obstruct balustrade . standing tiptoe view Buckingham Palace could obtain ! staff entirely average opinion , receptionist unable sort matter room , concierge unable book taxi particular time , state doorman would ' flag one ' doorman appoint time . breakfast take 2 waitress supervisor finally get order table . ( first one forget we , 2nd disappear supervisor come enquire ' everything alright ' ) . problem budget hotel hotel rate 3 5 ....... ? wife well travel , stay great place grotty place . give credit credit 's due hotel certainly worthy 's present rating base experience . average 3 4 star hotel maybe . Book hotel , enjoy stay , not go high expectation base review site . 
 Mar 27 2005 	 simply Class ! 	 stay durre Easter . location pretty central thing . first thing notice high standard service . staff wondefull , friendly , attentive helpfull people . room clean nicely decorate . din experience 's self . breakfast , lunch dinner . firstly service top class . chief cook good food - & quot ; experience art & quot ; taste bud ! food expensive - taste food doubt experience well worth . staff make stay relax cheerfull one . nice break . one word - short idea see London - well worry ! staff Rubens sort day . know go much cost . may even able get ticket many thing ! ! ! hard believe outside front door busy London - yet within door tranquil , peaceful , relax place great service , great room , great food & amp ; drink fantastic quality . 
 Mar 21 2005 	 Fantastic 	 stay Rubens January 2005 . pleased quality room friendly staff . worth check hotel 's website and/or phone hotel direct get good deal . breakfast well worth cost , £ 12 , food offer delicious set whole day . bar bit expensive , that s expect London . close Victoria Station , perfect get around . 
 Mar 7 2005 	 lovely hotel 	 stay Rubens 3 night February , king room , great place stay . Close Tube , easy get anyplace town , quiet hotel . breakfast incredible , lot variety selection . wonderful place enjoy London . 
 Mar 2 2005 	 pleasant short stay 	 return short 4 night stay Rubens . first stay hotel . centrally locate near Victoria . room pleasant , small , nice touch . coffe tea make facility . good toiletry . generally clean . floor creak night traffic noise outside . the public area hotel nice good bar dining facility . staff competent , exceptional . book online agency receive good rate include breakfast . sure package include breakfast program . full english Breakfast perfect way start day . care eat buffet , cook chef egg choice , one good London . real , fresh orange juice . full 4 - star establishment . 
 Feb 27 2005 	 fantastic good hotel I ve ever stay 	 I ve come back two night stay Rubens Palace , say WOW . hotel fantastic , food lovely service impeccable . nothing much staff , moment check leave pamper . stay lot hotel ( I m travel agent ) never impressed . can not wait go . 
 Feb 25 2005 	 small Closet : ) 	 get home stay Rubens laugh loud last review . also give & quot ; deluxe & quot ; double room small closet . small double bed take entire room place put luggage front bathroom door - forget open one us bed . ask change room due riduclously small size , tell could upgrade additional 50 pound / night . finally change we next day tho room much big either . also , hair dryer desk drawer totally riduculous unmanageable , especially place put suitcase desk ! staff however friendly pleasant easy walk Victoria Station . though , ridiculously expensive room offer . 
 Feb 9 2005 	 $ 350 closet ! 	 dutiful six month search London property , settle upon Reubens Palace . great location Buckingham Palace destination , aside , rather way . upon check August ( rare heat wave ! ) , ultra small space refer SUPERIOR ROOM ( 9 ' 6 & quot ; wide x 8 ' 3 & quot ; long ) ask bellman contols air conditioning locate . respond : & quot ; Air conditioning , certainly ! & quot ; proceed open closet take oscillate fan place dresser . much research review enormously mislead ! also disappoint ask front desk require coupon ticket & quot ; full english breakfast & quot ; enjoy follow 5 morning ; inform entitle & quot ; breakfast inclusion & quot ; room arrangement . damn fact hand , copy rental agreement direct website state indeed arrangement . Breakfast would 18 £ per person ! upon return , file write contest charge via credit card company . refuse request Red Carnation Hotels $ 1800 + billing issue resolve , hear nothing 6 month . try beat money , want live contractual agreement . seek another venue stay ! 
 Feb 6 2005 	 viste Nov ' 04 ... 3 night 	 nice , quiet boutique hotel . room / bed comfortable , little quirky like trouble locate blow dryer desk drawer stay hardwired . get hand knee use safe . beware room view light shaft 's something would not like . breakfast good , front desk pleasant helpful , property decorate rich color . close hotel Buckingham Palace ... get pass Royal Mews ( directly across street ) Queen 's Gallery . not miss either . bit far tube stop . Victoria one way , St. James Park . either 10 minute walk . 
 Feb 3 2005 	 Loved Rubens 	 wife simply please beyond expectation accomodation , service food quality . special thank doorman Nathan , pleasant person would hard find Dave , concergie man smile story would please anyone . definetly make point stay next trip . Sincere RegardsNorman & amp ; Claire Jourdenais 
 Jan 24 2005 	 Great Hotel ! 	 husband go London week stay Rubens . great location , close Victoria Station Buckingham Palace . excellent staff - great bar - great breakfast - great concierge ! definitely stay ! 
 Jan 24 2005 	 great location 	 spend 6 night Rubens January . location hard beat -- across Royal Mews little block Victoria Tube station . king room -- nicely furnish bit small . breakfst buffet average . staff friendly . two minor complaint . charge 1.5 pound every local call ( include connect toll free number ) . morning get Manchester paper instead request International Herald Tribune . stay . 
 Jan 16 2005 	 Great Hotel terrific location 	 stay Rubens eight night January 2005 . got terrific rate King room , incl . vat full breakfast . staff friendly helpful , guest seem mix Americans , Brits , variety Europeans , make nice mix bar breakfast room . hotel convenient Victoria Station Tube , easily walk many London highlight , include Buckingham Palance ( two block ) , Westminster Abbey , Houses Parliament , Trafalgar Square Knightsbridge . can not speak highly enough Rubens base spending time London ! 
 Jan 16 2005 	 really nice hotel 	 book hotel LondonTown.com , get good rate one night full english boyfriend . check 2oclock , quite surprised offer free upgrade executive suite ! staff friendly ask plan anything require . suite nice clean , everything need . even fax machine internet access . front desk even phone we 5mins make sure happy room , think nice touch . room biggest see , stay one night anyway , think perfect . the full english breakfast lovely . buffet good help whatever wish . good get include rate room , think may £ 17 otherwise ! ! nice , clean especially friendly hotel , think wonderfull , stay London , defintely go back ! 
 Jan 7 2005 	 great location nice room 	 return London , spend night Rubens . contrary other ' experience , give lovely , well - furnish room cheap internet rate . staff friendly helpful , great location speak . one drawback : price extremely high extra service , eg , breakfast , room service , pay per view movie . 
 Jan 7 2005 	 simply good 	 husband stay Rubens Dec. 20 - 22 , 2004 . choose hotel great review also husband trouble foot long period time location would enable feel like middle thing even spend time room . ' disappoint ! book web site 109 GBP include english breakfast . upon arrive 8:30 offer upgrade junior suite overlook Royal Mews additional 25 GBP . check - in fast easy immediately take room . lovely directly across front entrance Mews . could watch horse carriage come go see horse exercise . hear clop clop clop horse really make feel like old royal London . Dave , concierge , make stay absolutely perfect . ' anything ' we – send ice room , mail postcard , last minute ticket Mamma Mia , constantly help we map place go , get room change daughter arrive Budapest could stay we ( 10 extra gbp ) , even find Patriots game ! totally spoil we . every time enter hotel feel like come home . doorman , Nathan , absolutely charming . always smile ever ready help need . english breakfast large buffet kind choice chef cook egg order . sad leave Rubens definitely high point trip . 
 Jan 3 2005 	 real gem 	 Based Tripadvisor review , book week Christmas New Year 's Rubens . could not please . location wonderful , especially use Gatwick Express nearby Victoria Station . room comfortable , especially pay bit one new royal room . eccentricity ( hairdryer will not plug bathroom socket hidden tv face bed ) , quite nice overall . food good well , especially ample buffet breakfast start day ( get include room rate ; be expensive al carte ) . key , other point , staff . could not nicer helpful . anything make stay comfortable , Conrad , John Joseph concierge desk Estelle , outstanding assistant manager . would definetely stay friendly staff make welcome . many good restaurant recommendation -- -try nearby Shakespeare pub fish chip Albert roast beef carvery Bentleys seafood splurge . hotel excellent good value . maybe good city , everything need decide stay every visit London . 
 Dec 15 2004 	 Loved Ruebens 	 husband & amp ; stay first week September love . staff great great location thing not like housekeeping clean room even disturb sign . would highly recommend hotel anyone go London look nice hotel spend much money . 
 Dec 14 2004 	 Excellent hotel 	 fiance , 2nd day stay , early December 2004 . book Rubens website take advantage speical offer early booking include buffet breakfast . everything go well checkin , upgrade suite , excellent buffet , great concierge . staff always take care detail . buy fiance flower leave room more . find place nice vase return evening . plan stay Rubens honeymoon . 
 Dec 9 2004 	 bright clean friendly 	 minute arrive time unfortunately leave everything perfect 
 Dec 7 2004 	 Nice hotel staff need work .... 	 family stay 3 night Ruben October 2004 occupy total 3 room . hotel great location near Palace Victoria Station , not know would stay . mixed review staff . doorman Nathan man Concierge desk absolutely wonderful . front desk staff so - so . pay attention rate charging ! try charge high rate travel agent reserve . protest check - in , asst manager say nothing could would resolve get home . upon check express disappointment different asst manager immediately get discrepency resolve contact reservation office . room nicely decorate view interior rooftop air conditioner unit bathroom cramp could barely reach shower turn water . tell room transfer . complimentary breakfast wonderful . food hot , delicious plentiful wait staff friendly dining room . Ruben definitely need work staff attitude ... inconsistent . 
 Nov 19 2004 	 ruben palace 	 return london stay rubens palace , pleased hotel , everything great , staff helpful , room great hotel close victoria station , book travel agent recomend hotel anyone anytime , whenever go london hotel stay . 
 Nov 15 2004 	 good choice London 	 enjoy stay first trip London . hotel easy access Victoria station . staff excellent , receive free upgrade nice note anniversary , breakfast ( include rate ) plentiful . feel safe area , beautiful park walk way westminster sightseeing area . nightlife immediately outside door , like stay near Picadilly Circus , plenty pub restaurant around . ( Bumbles street good choice ) . prepared sticker shock matter stay - expensive town Americans right . 
 Nov 6 2004 	 great location avoid small cheap room 	 book 2 night break internet late book firm room reflect low price paid- much hotel heat / air con unit directly outside window although noise really loud prevent we sleep easily . inform reception hapily provide we different room ( also large previous one ) .Location perfect explore London especially close Victoria station attitude service staff high standard especially couple 20 year old obviously wernt go spend lot extra cash hotel . P.S hotel bar prices- know suppose expensive blimy ! ! 
 Oct 28 2004 	 pleased 	 first visit London . hour research , find hotel base recommendation TripAdvisor.com . great location , comfortable room . view rather unimportant . college age daughter stay room us sofa bed make room cramp unworkable . room bathroom clean ; reception concierge staff exceedingly helpful first time visitor ; dining room staff need lesson customer service . would definitely stay ! 
 Oct 19 2004 	 fine price small annoyance 	 preface say hadn´t London several year really don´t know hotel´s price - quality ratio compare other . rubens good location close Victoria Station , minute Piccadilly Circus , within walk distance London Eye & amp ; Parliament . room decor elegant , though tightly pack . bed comfortable , nice linen , zero street noise ( room give onto inner courtyard ) . concierge helpful . almost week , reservation people quite unsympathetic ask large room ( partner flying weekend , mention make reservation ) . realize negotiate low rate , bitchy & quot ; i´m give something free , & quot ; ask big room good way handle situation . room small stash suitcase closet . absence mini - bar inconvenient , important you´re couple day , eat get expensive can´t keep perishable snack drink refrigerator . breakfast adequate exactly every day . include rate , $ 20 it´ worth buy separately . final observation , maid strange habit replace empty Kleenex box . stuff wad Kleenex empty box day . odd . 
 Sep 27 2004 	 another stay Rubens 	 spent week August , least 5th 6th visit . time request room without stair get lovely , small , room view Royal Mews . buffet breakfast good service dining room morning much improve . Tom , concierge , welcome helpful always . feel much home would not want stay anywhere else . 
 Sep 27 2004 	 Good 	 Stayed Rubens March 04 use base Kraftwerk concert Brixton , general beer tour mooch around Belgravia , king Road Victoria . a superb hotel , good value money . spotlessly clean , huge bath , sort trimming expect hotel twice price . the buffet breakfast deserve mention - fry egg wait exact specification . all , highly recomende . 
 Sep 23 2004 	 Rubens right 	 Excellent service , great hotel . daughter stay 6 night September wonderful time see sight London . hotel close Victoria station Tube Bus stop . twin room cosy , quiet comfortable . bath really nice . book hotel website advance purchase special receive flower , candy , daily newspaper free BREAKFAST large buffet every day . food price expensive London , save money large late breakfast early dinner . Breakfast always include travelocity rate ( learn lesson last year stay Hyde Park Hilton , breakfast buffet $ 19.00 per person include Travelocity rate ) . concierge staff ruben friendly helpful . direct we right bus stop every day ride bus everywhere get view London top double decker bus rather take Tube . 
 Sep 21 2004 	 Comfortservicegood breakfast -and great ` ` Rubens coffee '' 	 husband stay Rubens last two nights- love . room pretty , bed comfortable , room clean twice day want , lovely bathtub . staff attentive helpful suggestion . Breakfast , buffet style , great- include fresh fruit , low - fat yogurt , cook - to - order egg well usual & quot ; full english breakfast & quot ; want . location convenient . we afternoon tea enjoy - also , suggestion scottish lady , try & quot ; Rubens coffee & quot ; bar- try , will like ! 
 Sep 4 2004 	 breath fresh air bunch b 	 Rubens locate great area . central everything . window & amp ; across street Buckingham Palace . stay hotel bunch B & amp ; B 's refreshing . the bathroom tile lot mirror . telephone bathroom along mirror shower . great . room little small problem . bed big comfortable room air conditioning . would say 2 problem 3 night stay Rubens floor bathroom bedroom clean would like . ask vacuum clean think idea clean idea clean different . still would stop stay . also incident bill check . use phone room call card think . check find everytime use card 1.50 pound charge . shocking advertise charge unfortunately hard time get state end keep try charge hotel add huge fee . but would still stay hotel great location , nice room , wonderful selection breakfast buffet , well helpful front desk staff . 
 Aug 31 2004 	 GREAT HOTEL ! 	 satisfied hotel . location excellent staff helpful . would definitely recommend stay Ruebens would definitely go back . 
 Aug 26 2004 	 great visit honeymoon ! 	 stay August 16 17 honeymoon London . arive Victoria Station via Gatwick Express walk 3 minute straight street get hotel . get around 7 am , woman reception welcome friendly problem let we check early . room air condition , hair dryer , iron , trouser press , bath / shower , television movie ( $ ) /internet ( $ ) /radio , electric tea kettle tea set , small table two chair . book hotel email website give great rate plus complementary upgrade king room since celebrate honeymoon . room nice -- fairly small US standard clean wonderful . shortly settle room , hotel send card congratulation complementary plate fresh strawberry . chocolate put pillow night . full english breakfast include price room . great . huge selection waffle , meat , fruit , cereal , yogurt , egg , hashbrown , juice , etc . location hotel excellent -- close Victoria Station , across street Buckingham Palace , within walk distance major site . would definitely recommend hotel anyone look wonderful place stay pretty good price London . 
 Aug 23 2004 	 absolutely fabulous 	 stay Rubens Palace last Christmas ( 2003 ) . love much return next April . staff wonderful , room exceptional , location perfect . can not say enough nice thing ! 
 Aug 21 2004 	 Excellent way 	 stay Rubens July 2004 . travel agent ( cover ! ) find hotel ... great location , attentive staff , good meal , reasonable price . highly recommend . 
 Aug 19 2004 	 Great Small Hotel Fabulous Location 	 spend three night two week apart extremely pleased room staff . everyone extremely nice willing make change need . first room take obviously smoke make switch non - smoker immediately even upgrade we charge . we plan return Rubens next trip . 
 Jul 29 2004 	 great location 	 back 2 night stay Rubens Palace . hotel attractive English feel . excellent location approximately 2 block Victoria Station train Underground Tube system locate . get anywhere London minute . Buckingham Palace 5 minute walk , Big Bus Tour ( highly recomende ) stop less block hotel door . triple room ( king bed plus pull sofa bed 16 year old son ) small U.S. standard comfortable nicely decorate -- view . bath green marble -- attractive , tub shower . air conditioning good . breakfast excellent ( cook order egg , pastry , sausage , ham , fruit , cereal , etc . ) quite expensive ( 15 gbp ) look room rate breakfast include . good rate find LondonTown . room expensive everthing London . Front desk personnel pleasant -- request early check - in room available 2:00 pm . receive non - smoking room request . eat Rubens restaurant except breakfast . unable find restaurant pub near - by non - smoking facility -- big complaint London . meal ( expensive ) ruin heavy smoking . generally people restaurant smoke . BBar restaurant next door nice atmosphere decor heavy smoke ruin experience . would stay Rubens -- would hesitate return London simply bad excperience smoke restaurant . 
 Jun 26 2004 	 great Stay Mom 	 purchase suite package LuxuryLink please Rubens . Mom go London 70th birthday . ruben package include suite , breakfast , evening canape , one night dinner , flower , champagne room , daily afternoon tea , hop hop bus tour . great deal $ 1000 US four night . suite large king size bed sofa bed . bathroom large great bath product . location excellent -- across street Royal Mews , street Buchingham Palace , within four block Victoria Station . room great sound proof window pleasant staff . London number time , favorite hotel location value get similar price / package . return . 
 Jun 24 2004 	 Rubens Palace Best 	 family five spend week Rubens . nothing praise accommodation excellent service receive stay . arrive one room quite ready . although wait minute , treat free drink Library make inconvenience . entire staff make we feel welcome week . concierge desk staff helpful recommend place eat , help we plan itinerary , direct we point interest . room exceptionally quiet . disturb street noise sound guest room . continental breakfast good . great location , right across Royal Mews Buckingham Palace . would recommend Rubens anyone . 
 Jun 4 2004 	 great initial snafu 	 stay Spring ' 03 week , book great - look rate hotel 's internet site . arrive , bit take aback front desk record reservation -- luckily keep printout internet booking ( prepaid ) , able show . let we , thank goodness ( apology make ) . , everything rose -- well - appoint room , good noise - proof busy street , view one end Buckingham Palace complex , friendly staff , great breakfast ( include ) . room A / C , , be nice casual bar downstairs . taste , touristy busy area London really love -- much happy stay Bloomsbury -- convenient lot sight . would definitely stay Rubens price right ( confirm reservation first ) . 
