Hidden 	 3rd visit Hooters . the staff freindly helpful , bed pillow comfortable . cable television complimentary bottle water room . Dan Marinos 9.95 prime rib 24 hrs Hooters hot wing great . price right . 
 cheap weekend getaway 	 get great deal slot club Sat Sun . make nice quick cheap getaway wife . 
 great view Excellent Housekeeping 	 wife really like prime rib special . enjoy breakfast buffet fresh fruit biscuit . the housekeeping service good thoughtful , bring daughter extra sheet w/o ask second night . hooter restaurant waitress friendly helpful . although menu different : price sauce choice minimum . food good beer too . Dixie bar great look lady picture , couple bartender guy . maybe seasonal ? casino girl nice nice looking . machine need update like MGM across street . the room AC old HARD maintain consistant temperature makeing sleep difficult time . loud either hot cold between . although , win $ $ $ , likely return price good . 
 Good Value good location 	 room could use attention peel paint slightly damage drain bathroom . hallway rather dingy feel welcome . casino good . sure , upscale many casino service excellent staff helpful welcoming . gem hotel / casino gym , though could not figure turn light . 
 get pay 	 suckere internet special . casino small relatively clean , room however dirty date . reccomend . 
 great place stay price .... one complaint ! 	 family always stay hooter ! always accomodate every need ! day n age , economics way u can not beat price room hooter ! ! 
 stay anywhere . 	 young man check not helpful , never mention kids area list survey card . hallway the10th floor offensive odor , room carpet tire adequate - certainly nothing write home . elevator ( garage & amp ; room ) frightful - always work . slot machine dirty . security , housekeeping , maintenance helpful pleasant . heat pool . bed comfortable . 
 bad price 	 expect total dump base price pay , pleasantly surpirse . small casino lot penny nickle slot . restraunt , club , show site . food pretty good , drink ( not buy drink , expensive consider sit machine get free . gym pretty good equipment small hotel . pool area cozy fire pit different seat area visit . room typical Howard Johnson equivalent . bed comfortable room clean . however , food tray sit outside someone door eleveator 2 day anoye . walk distance many big hotel nice . would stay not want spend money big hotel . 
 Perfect 	 good location stay south strip . one Vegas small hotel , prefer . it doesn´t take long time get access room . 
 Great Hotel Mates 	 stay five night trip mate UK . overall small friendly hotel mean not take 30 minute get back room forget camera . yes plush hotel , yes fascilitie date need hotel place crash mate place . the staff really friendly helpful , party go day , pool bar excellent , last least hooter bar top class . other review say strip , 100 yard strip ! locate next MGM real good spot get Vegas . would go back , hell yeah , would go Wife , Hell , butu say friend stay next year . 
 Jul 24 2007 	 room leave much desire 	 stay 3 night husband good friend weekend . first arrive get room ( problem ) head elevator . Bay View Tower one two slow elevator work . finally come get we , go floor walk room . notice carpets hallways stain everything feel dirty . room ok . view pool tiny balcony ( one person size ) two bed request . leave room wait 5 minute elevator come get we try stair . signage poor able figure passage outside ( parking garage ) could not get lobby level / casino . , go back stair wait elevator again . that night , long evening drinking , come bed . wake many time throughout night due incredibly uncomfortable bed . all - in - all pretty restless night sleep . , 12 pm ( know , noon , Vegas ) , awaken blaring music ! band start play pool chance sleep b / c everything could heard . the rest time well . hotel become trash weekend went never seem clean . individual room hallway remain disgusting . Sunday morning , trashcan vomit place hall elevator although see maid several time morning , still check 2 pm.on bright side , good drink , Nipper Juice knock 4 kind rum pool good time . also appreciate location b / c easy get MGM monorail . firm believer room room Vegas place pass ... can not get room ( ) due slow elevator , can not sleep b / c bed uncomfortable band playing hate walk thru hall , maybe well stay somewhere else . 
 Jul 22 2007 	 stay 	 moment get hooter , love . receive excellent service friendly staff -- -bradley be good . arrive 11:30 -- -checkin time 4:00 . ask quiet area ( can not sleep ) -- -we werre give room 1630 . immediately -- wait ! ! ! room nice , clean , bed comfy . safe , coffeemaker , table chair . huge towel great water pressure.there 2 pool 3 jacuzzi -- plenty chair . downside building block sun around 3:30 enough sun.we eat eat dam restaurant , get 99cent shrimp cocktail signing player card . eat hooter twice . enjoy meal service . talapia excellent.the casino small -- -did not bother we -- -the girl bring drink could even finish . figure crown royal drank make money lose machine not much -- -had fun playing.our last day tape tv show & quot ; good damn sport show period & quot ; . get pool -- manager Kim ask we give chair awhile -- -he give we drink make sure get chair . nipper juice awesome.we 5:30 flight ask room extension . would get one till 3 take till 2 friend take we lunch . chargethis 8th trip vegas . keep monstrosities strip . take we less time get strip pool would stay strip . stay tropicana , flamingo , harrahs , new frontier , monte carlo , aladdin , bally . , far , good . 5 star hotel -- -but get 5 star service . wonder 5 star place 5 star price really give pay . hooter see we . 
 Jul 22 2007 	 perfect 	 Booked bungalow room ( 49.00 ) upgrade ocean view room . room clean everything work fine . casino small , always able get blackjack table . dealer nice well look normal dealer . dam restaurant good late night breakfeast restaurant also nice . short walk strip monorail close . MGM , NY NY excalibur near offer wide variety entertainment restaurant . eat Excalibur , dick last resort roundtable buffet , excellent . I plan return Vegas 3 month stay hooter . 
 Jul 19 2007 	 spend extra money stay somewhere else 	 book three room three month advance weekend Hooters . read hotel seem get room wrong regularly decide call four hour arrival verify room request fact room would receive . tell problem phone . arrive ( 3 couple ) give wrong room . two room smoke ( non smoking request ) one room two bed ( one request ) . tell hotel available . room call main desk beg move ( smell awful ) , move hall room two bed . anniversary weekend want sleep seperate . call tell prior room available . let talk view room : second floor , view electrical box parking structure , friend view ventalation system bunch cigarette butts outside window . pretty . lay room nice bed comfortable . casino small , play casino table open . lastly film tv show pool pool open 2:30 Saturday , good be 115 outside . credit $ 30 dollar resturant ( whooo hew ) ! ! ! ! ! 
 Jul 16 2007 	 Good Time Hooters 	 go man 's weekend friend . true form delightfully tacky . hit $ 300 first slot machine play help set tone ( donate back course weekend ) . room clean complaint . would say hotel strip great place stay budget . pool area lively try remember stay hooter Four Season 's . mean people fun shall say adventuresome . like find . casino much small anticitpated enough table taste , plenty slot . bar toward back property greatplace kick evening look drink day , make sure look like tourist yard bar . $ 25 gigantic Jack Coke refill $ 15 . one hell deal . breakfast buffet ok spectacular . omelette make order potato great . could find one person work tere bad day everyone seem friendly helpful . one nice thing location right across street MGM . get day pass tram take far north end stip work way back foot . well worth price compare long would take get cab . 
 Jul 15 2007 	 Loved Hooters 	 husband call Hooters hotel back March ask could anything special 12th anniversary June . tell book tower room would upgrade . arrive , ( wait line ) upgrade we two - room , hot tub suite . room beautiful ! ! king size bed soft comfortable . l - shape couch along ( 42 inch ? ) flat screen tv make feel right home . like small apartment two bathroom . casino small- like mega - hotel , great atmosphere . server come around often . bad thing maintenance worker housekeeping use guest elevator service elevator use . 
 Jul 14 2007 	 great atmosphere hooter ! 	 stay Hooters Casino Hotel mid - June love . Decor casino room typical Hooters restaurant lot orange vinyl natural wood . little jarring look compare luxurious hotel Vegas , grow . drive , parking ramp immediately adjacent hotel access convenient . drive Tropicana snap . although technically strip , 5 minute walk Las Vegas Blvd hotel room . stay Bally 's , Luxor , Harrahs , strip property take long get elevator down . my room & quot ; Oceanview & quot ; tower ( use silver tower San Remo ) large , comfortable , clean , exactly request . hallway elevator little beat dreary , room great . arrive 2 hour early Sunday check - in able give King / no - smoking room request . contrast old review read , staff meet seem quite friendly knowledgeable . pool area lively live reggae - type band play Sunday . not see much cocktail service walk around , service fast pool bar . thing large draft $ 5 frozen drink $ 8 - $ 10 . lot lounge chair bench surround pool , seem always open . hooter restaurant porche area overlook pool get food . crowd mostly couple late 20 be - early 40 's drunken bachelor party group expect , Sunday . casino little small , table game good variety slot . find 9/6 JOB video poker decent pay table Dueces Wild . BJ mainly $ 10 minimum . . . never see low . lot 6/5 table placard state small , look carefully sit . cocktail service speedy wherever sit . to summarize : 3 - star place really fun atmosphere decent room , food , gaming . great place price , close enough consider Strip , plan return wife next vacation . 
 Jul 12 2007 	 great deal ! 	 girlfriend ( 40 ) ( 41 ) stay 5 days/4 night July 1 - 5 & quot ; Poolside Bungalow Room & quot ; $ 50 / not really love . room 264 overlook center pool area . complaint cleanliness . room decor resemble Hooters restaurant right orange barstool seat . ( sit chair well ) . bed fine ( little soft ) . room large . small balcony overlook pool area . pool busy , never crowded ( get spot waterfall & quot ; cool & quot ; spot shade ) . food , . breakfast good Dam Restuaurant ( not try Dan Marino 's ) . always room crap table - $ 5 min week . nipper Juice Pool Bar good ( slurpy kick ! ) .such incredible price location - behind Tropicana across MGM ( monorail stop ) . bet walk Strip fast many room inside MGM ! 4 night 200 buck steal . plus , ya get Hooter 's girl everywhere extra charge ! see Vegas Forum additional info Hooters experience trip . 
 Jul 10 2007 	 Happy Birthday Hooters ! 	 friend great time Hooters Hotel . atmosphere lay back lot fun . room comfortable staff wonderful . loved pool party . definitely happy Birthday . 
 Jul 10 2007 	 Great Place stay 	 read prior review , also think might make mistake book hooter . however , case . stay many casino Strip Hooters deliver good service yet . hooter girl always helpful friendly , front desk bell hop . restaurant , especially Hooters Dan Marion 's steakhouse excellent . room nice , clean comfortable ( love bed ) . casino floor small strip , way overwhelming , way , fun . table game relax Hooter girl dealer offer advice add fun game . pool great drink serve gamble much large serve Strip casino . add bonus $ 5 Blackjack table next door Tropicana , case particularly want & quot ; lose shirt & quot ; day . , wonderful experience . would absolutely stay . mention negative , would say elevator slow ' m use Sports Book tiny . 
 Jul 6 2007 	 Fun ! 	 stay Hooters hotel couple week ago please . room nice w/ big soft bed . casino size perfect do not worry getting lose like big casino . nice pool , 3 pm sun get block hotel get chilly . also great location , block strip . one negative thing would say dont eat hooter restaurant . service terrible rude . eat twice realize big mistake could make . spendy food get , waitrese anything friendly . overall would def . stay , avoid Hooters restaurant . 
 Jul 4 2007 	 Terrible Hotel 	 stay July 1 3 . call confirm non - smoking room day available get . stayed room 310 carpet dirty get stain . bathroom get peel paint cheap fixture rust valve behind toliet break tile . one elevator work whole time 2 other order . AC hallway elevator . Noisy AC wall . lack Management ! 
 Jul 4 2007 	 Hooterific Time 	 look review page expect real dump . case . hotel Wynn Bellagio , also not come attitude either . clean , staff helpful . check bit line , cocktail waitress offer we free drink . way pass short time ! hooter restaurant Dam Restaurant delicious ( especially heavy night partying ) . concierge helpful , give we good advice go Tuesday night . room comfortable equally clean . bed well hotel ' ve stay Vegas . pool decent size small waterfall . last day ask late check problem . 50 buck night Hooterific Package . hotel strip walk across MGM board monorail anywhere main drag . definitely recommend place . 
 Jul 3 2007 	 Hooters Las Vegas Nevada 	 arrive Hooters Thursday really enjoy stay . room nice soft bed . love casino . be not huge like rest , could find way around easily . would recomme go Hooters restaurant . service TERRIBLE . group eat twice literally go find waitress help we . pretty spendy good . girl look like 12 year old also . do not want terrible service spendy price , go elsewhere ! elevator work good never line get . hotel also good area , far strip . pool beautiful , sun block hotel early , need go pool 10 am get good hour . overall would sure stay , would never go Hooters restaurant ever ! 
 Jul 2 2007 	 LOVED ... 	 bit nervous ... husband want go vegas 10 year wedding anniversary get incredible deal hotel . read review ... get feedback other vegas ( first time ) still nervous bit bullet . WONDERFUL time . get early room ready .. drop bag bell desk go ... not mind hotel .. room clean bed comfy .. not spend enormous amount time room ... drawback ... elevator .. slow ... get stick hubby ... water shower would go scaulde hot cold entire shower ... old place ... money something willing tolerate ... would love go back location hotel close airport .. also right strip .. walk lot big casino ... something afraid ... staff nice .. great time ! 
 Jun 30 2007 	 w'owl time 	 spend 2 week Hooters Casino Hotel . book quick , wait 4.00pm get room . the room clean , well set large tv enough space clothing . bathroom adequate , one cup time coffee machine , , plenty room next sink .. room bar stool table corner , not use much , rather sit real bar . the bed extra large extremely comfortable , soft . side room noisy air conditioning unit , rattle away day night . the casino small comparison other strip , bar casino get noisy evening , hotel cater young crowd , noise expect . the pool nice could get near , struggle get sunbe time , 9.00 get one . no - one ask ID get pool area , anyone could use pool . the hotel five minute walk strip , five minute drive airport , rip taxi driver journey airport hotel , make sure pay around 10 dollar trip . we find beer expensive hotel bar , much cheap casino 's like Bills .Overall hotel clean room adequate , not feel could relax pool enjoy casino noise . 
 Jun 22 2007 	 Excellent Value Money - Good Location 	 slightly concerned choice hotel read mixed review ' worried . the staff check - in helpful friendly . tell ' king - size non - smoking room available would happy accept room two double bed instead option change king - size next day . long flight though happy accept . room fine – good size comfortable high bed . excellent view strip quiet ( well , except air - conditioning unit annoyingly loud ! ) . room nicely decorate obviously Bellagio Wynn standard , ' really complain ' pay £ 25 per night ! although everybody think Hooters ' party hotel ' ' experience excessive noise . one lift order day , prove bit pain , ' air - condition ' stop every floor 10th small lift get bit stuffy ! hotel ' huge amount amenity enough keep happy . casino small friendly make nice change ' super casino ' strip . plenty Hooter girl see although seem interested chatting customer rather serve drink . I ' definitely recommend stay , especially ' stay one big hotel fancy change . 
 Jun 21 2007 	 Great Value 	 wife stay Hooter ' Hotel Casino June 17 , 2007 June 20 , 2007 room 833 . take father Las Vegas Father ' Day present stay room 853 . never even dine Hooter ' Restaurant wife ' apprehension stay Hooter ' establishment , pleasantly surprise pleased accommodation . as need purchase two room , price major factor select Hooter ' . find great deal Expedia $ 33 night ! 3 star hotel good rank TripAdvisor ( . 68 240 ) . total price two room 3 night plus fee taxis $ 221.00 . extremely great value . stay elsewhere strip decent hotel would double cost entire trip . like location hotel right across monorail stop MGM Grand street mini - mart . elevator work usually wait long one . we check 2:00 pm able secure room official check - in time 3:00 pm . wait 8 - 10 minute check . give smoking room , nonsmoker could detect slightest odor cigarette smoke room . room clean , spacious , show sign age . like nice touch put large plant room , feel wooden décor little tacky . room nice view hotel southern part strip ( Luxor , MGM Grand , Excalibur , Tropicana ) . television large selection channel nicely position right front bed . bathroom clean average size come usual amenity include hair dryer vanity mirror . bed comfortable , air conditioner little noisy . hear noise adjoining room . room service every day , maid little quick open door knock . staff hotel polite friendly . drink service gaming table pool area good . much enjoy pool area , lively atmosphere . two pool two hot tub . however , one hot tub cold four day stay . plenty towel security always guard . eat Dam Restaurant lunch . food good , service poor . hear staff member state restaurant reduce " skeleton staff " save money , proportional impact customer service . price affordable . appreciate fact casino table limit low $ 10.00 . walk across parking lot play Blackjack Tropicana table limit low $ 5.00 . overall much enjoy stay believe get excellent value $ 33 night . stay Hilton Hotel trip Las Vegas give choice stay one hotel price , would choose Hooter ' . Marc T. Hardekopf 
 Jun 20 2007 	 Hooters place hole 	 Stayed Hooters June 15 - 18 , second night roof start leak .. top floor .. floor 19 ... get transfer 3rd floor comp ... Manager retard would even give we free night ... get 3rd floor room A / c bust someone show fix .. budget bad .. otherwise avoid hole . 
 Jun 12 2007 	 OK 	 arrive late Wednesday night able get room request ( king , nonsmoking ) . room clean view pool . say bed wonderful put metal box make high . hurt myselft twice part bed frame stick . one elevator 3 4 day make go long wait . 3rd day A / C go fix time return room . housekeep good several light never replace smoke detector leave desk whole stay . price hotel fine . issue casino crap dealer pull bet incorrectly twice , frustrating . budget hotel good not know would stay . 
 Jun 8 2007 	 Spot cash 	 check easy , room comfortable clean . staff generally happy personality lot casino play . can not knock location , short walk MGM New York New York . do not really know people moan .... expect 50 buck night ? ! ? ! ? long do not mind smell greasy chicken wing time do not eat ( food crap ) , can not go wrong 
 Jun 8 2007 	 bad hotel service not great ! 	 stay hooter fine ........... 's party place , definitely upbeat loud . 's expect be going style hotel ! room clean neat , view pool , nice . location not bad , either , 1 block strip . issue , arrive 11:30 , tell wait 3 pm receive room key ....... problem . 5 pm , 2 check clerk , still room , send maid clean room ( tell we send maid 2x already , start 3 pm originally come key . ) point frustrate , ticket show 8 , need get ready , etc . , ask option . reply , & quot ; not guarantee check - in time , guarantee room ' ve pay receive . will & quot ; Room & quot ; evening . & quot ; never hear thing ! earth one pay additional nice room , 's chance will get ? ? ? waste money without know ! , whether be response grouchy clerk , customary policy , would recommend base service level . otherwise , would decent , less expensive option pricey city .............. 
 Jun 6 2007 	 could Better 	 stay cheap go one timeshare thing , can not complain price . would never pay ask night $ 287 . hotel worth $ 80- $ 90 night . stay really really good deal . pro : -right strip across MGM , behind tropicana.-comfortable bed pillow - Casino lay back feel - room new furniture - SafeCons : -small casino -small simple pool - parking lot elevator sound like go break - only one hotel elevator working , order.-elevators hot air conditioning - you see part room remodel , paint peel behind wood mold bathroom floor damaged.-Several large carpet stain hallwayI believe would much nice hotel would knock old hotel build new one . seem like cheap way make hotel . 
 Jun 6 2007 	 never ! ! ! 	 look review experience similar another one post . reserve king size bed far advance arrive hotel learn two twin bed walk room . deal front desk management become common theme trip make effort make stay enjoyable . actually receive well customer service walk hotel strip even stay . ask bed set room also tell guarantee bed preference , room self hotel strip guarantee . call around test statement first two call prove wrong . convention town every hotel book would cancel reservation move another hotel . hooter hotel also less spectacular , paint peel ceiling , room small , little thing would come expect hotel strip find . expect thrive name alone . came stay cancel trip would cancel look another vacation spot . pretty frustrating come home serve country middle east , expect relax vacation wonderful time ruin horrible customer service hotel stay . never return hotel tell everyone know avoid , . 
 Jun 4 2007 	 Hooters - ok ... 	 Hooters hit strip . however several improvement need happen soon . casino - Small unique . really like music go atmosphere . however game limit high people stay budget . budget player would walk Tropicana play .... ' m sure poker room mostly play 2 table outside poker room ... come parking garage right next table . distract .... always people try get .. etc .... room - well .... think room ok ... view pool airport . however window dirty want picture slide open stick arm window . call 3 time get window clean management never call back ... care ... parking - well quick easy elevator .. honestly sound like literally come apart . must fix . parking abundant . bit hard get garage tight corner .. way way .. watch guy ..... expect clean place since recently redo . far true . quick paint job , new bed covering ... even still use ole door hinge San Remo year worth paint splatter .. good thing go hooter girl ... poker room joke .. management weak ... say think RIBS Marino 's good . eat $ 17 ... nice waiter .. good food ... 
 Jun 2 2007 	 extremely poor customer service 	 reservation book stay request king size bed . arrive check problem , go room find 2 double size bed . first agitation say nothing front desk . call problem fix less helpful , could say guarantee smoke preference room bed request . attitude staff extremely rude irritate clear could care less . tell call back next morning assistance switch new room . next morning call tell first come first serve . consider we first since day request king size room . would not even assist we , keep say not guarantee room start say would not even guarantee smoking preference . even manager treat we rudely would not thing satisfy situation . never stay , tell everyone know not worth . 
 may 28 2007 	 NEAR ENOUGH hooter GIRLS 	 Stayed suite top floor . room ok , Staff mostly friendly . drink service pool non existent . location good near enough staff volume people . 
 May 6 2007 	 service expectation 	 let preface say reflection average service Hooters restaurant locate Hotel . book non - smoking room king - sized bed . upon check - in , clerk behind desk tell we completely book solid , smoking room 2 bed . ask money back , tell possible . several minute argue later , non - smoking room kingsize bed & quot ; suddenly & quot ; become available . we think might isolate event , accord several guest speak , greate equally difficult time . 3 man book room 2 bed tell room kingsize bed available argue bit staff . come back pool towel bathingsuit , room key work , even ID housekeeping staff refuse let we room , one we walk whole lobby casino area , dripping wet towel fix key . besides complaint , hotel clean , bed comfy , casino , restaurant pool foster fun exciting atmosphere . far strip , would consider staying could get good deal . 
 May 1 2007 	 Awesome Time 	 date : 05 - 01 - 07from WisconsinI recently stay Hooter 's Hotel & amp ; Casino April 07 . surprised clean casino area . check go smooth fast . trouble find elevator , friendly staff member name Michael show we way . room nice clean , problem noise come pool area . excellent food service Dan Marnio 's .. also money Casino ! ! ! price right staying . 
 Apr 30 2007 	 hotel not take seriously 	 Stayed Hooters LV 2 night early October 06.firstly let get couple ground rule set . wish stay mega resort abundance shop , attraction restaurant , not waste time money come . however wish stay good quality mid range hotel get typical Hooters style food ( ie wing , burger beer ) whilst kick back beach style pool area , Hooters definately . locate site old San Remo , next Tropicana South end strip across road MGM Grand 's hotel entrance , hooter host family , elderly couple large array single woman ( well ubiquitous single man ) stay . possesse & quot ; Dan Marino Steakhouse & quot ; target want high end feed well generous buffet snack bar . convenience store / souvenir shop locate one end casino floor another souvenir shop locate end casino floor well . check quick efficient friendly . the room would expect mid range hotel Vegas hotel . neat , tidy two double bed adequate bathroom . room overlook pool area good location . problem noise either hallway outside . well appoint gymnasium locate pool cheap Vegas standard $ 10USD per day . overall happy stay Hooters . one word warn though . can not stand sight wood panelling run mile . will understand mean stay ! ! 
 Apr 30 2007 	 Loved Hooters 	 husband stay Hooters Easter week renew wedding vowel , could happy ! ! check breeze , girl counter offer we several room choose , take one 9th floor great view pool airport . could lay bed watch plane go . noise problem . room clean welcoming . bathroom sparkle plush , thick towel . housekeeping ball , would put desturb sign leave day , flip indicate room ready clean return . can not say enough casino , love ! ! small enough not get lose , big enough great time win enough continue play . stay place strip past , stay Hooters future . not worry & quot ; Hooters & quot ; girl , nice professional , college girl try earn money . actually pass drink gambling . location great , 2 block strip , sidewalk walk signal . all GREAT time go back future . & quot ; let POOR REVIEW SCARE , GREAT PLACE stay . 
 Apr 30 2007 	 Terrible Service 	 terrible service . would honour non - smoking even though email confrimation state . manager inflexible rude . room average . bedspread give we one entir 2 day stay . room window filthy whne open deep fry smell fill room . casino dingy girl average . would return . advice , spend extra $ 50 per night go elsewhere . 
 Apr 29 2007 	 Great Stay 	 group 6 people work happen man stay Hooters Las Vegas great deal . admit one book trip bite nervous booking room Hooters Hotel . stay turn much expectation . room new clean . well decorate bed comfortable . not know wife could get Hooters girl casino lobby however group guy place fantastic . would problem stay property would rate 4star great price pay 50 $ night quality premise . 
 Apr 22 2007 	 Fun ' Redneck ' Weekend 	 book stay Hooters previously visit casino look like fun place stay . offer two ticket Nascar race also help decision . already tkts Brooks & amp ; Dunn 's show take chance . despite iffy review , great time . bed great - want bring mine home . pool area nice . staff friendly . late check problem . would definitely stay . look small friendly place stay Vegas , give try . . 
 Apr 12 2007 	 hooter great ! 	 great stay Hooters . room neat , clean bed , comfortable . nice view end strip . room service prompt , courtious food excellent ! hamburger Pete Shorty 's awesome . the staff seem happy service excellent . definately stay . 
 Apr 11 2007 	 Fun place problem . 	 leery book Hooters close book Imperial Palace Tropicana ( budget ) instead end really glad go Hooters ( especially see Imperial Palace , eek ! ) . problem whatsoever Hooters , book guarantee bungalow room website upgrade tower room arrival , have hope would happen ! room fine , clean , bed comfortable , bathroom good , cute basic toiletry etc . issue noise , issue anything actually . eat Dam first night , good pizza drink , like price really reasonable . play slot little table , place would play little way back would hang hour . fun homely feel though nice place come back end long day night . find location really good we , especially hang New York New York , MGM , Aladdin Dessert Passage shopping centre , Bellagio etc . want near Wynns , TI 's venetian , Hooters wrong end would well stay close middle strip . not worry strip stay - hotel huge ( ie . MGM ) room could literally far back strip Hooters situate . take 4 5 minute walk onto strip not worry we . overall , be Bellagio budget , hooter decent choice . 
 Apr 3 2007 	 great value money ! 	 hotel remodel recently , update great . surfboard palm tree theme fun ! call early day tell hotel would arrive late , would still need non - smoking room due son 's asthma . front desk staff take call extremely helpful- ask would like view , reserve room would issue arrive late . add would put we late checkout since arrive midnight- extra point ! get , starve , order room service 1 be , low expectation . price standard room service rate , astounded fruit plate include yogurt , big muffin , granola , huge plate wonderful fresh fruit . large enough we good help everything . bathroom nice , clean , towel well towel big - buck hotel ! pool area look great- though not time enjoy . hotel great value ! 
 Mar 28 2007 	 great value service money 	 husband recently stay bit skeptical first , great time . 's positive negative trip . positive : great price - look Hooters website well ratesfriendly service - not everyone runnne around Hooters uniform - but everyone chambermaid say hello us daily basisSmall enough get lose in - if ' ve ever stay large hotel strip know mean ! lobby easy navigate fast check servicesmall engage gambling floor - lot slot pay lot table always busy - include hooter girl pit can not get enough ! ! great restaurant Hooters average compare local Hooters and - make sure try nachos Dam restaurant - HOLY COW - big enough 3 - 4 people really hungry - and be good ! ! ! twice theresup comfortable bed ! clean room great view ocean view towerhooter reward club - make sure join 's free -swipe card daily absis try million , not win , still get free point towards cash back well free hooter stuff like t - shirt , shoot glass , etc ! cheesy gift form Vegas shopping way ! negative : room little low budget Vegas - but still nice - just lot glamsmell smoke occasionally morning room -- -not sure ? ? ? Overpriced Hooters stuff - but 's overprice Vegas ! pool could use landscaping , be still super fun place , actual waterfall come . fun amotsphere , conviently locate food drink access . overall great low budget vacation Vagas , Hooters highlight ! wish stay Hooters whole time instead switch Hard Rock - we actually come back gamble eat Hooters stay Hard rock - be sure read review ! 
 Mar 27 2007 	 expectation 	 hotel old tell keep . room great ! book bungalow two queen . room large decor perfect . room even bar table orange top chair like Hooter 's Restaurant . bathroom even include sewing kit q - tip . thoughtful ! bed comfortable room quiet . oh , mention locate less block strip ? casino smoky , elevator old slow . free internet room , business center . 
 Mar 25 2007 	 bad price 	 stay husband 's 30th birthday ... choice . leery first see photo first open . obviously remodel since . impress cleanliness comfort room . 3 night enjoy . bed super comfortable bathroom clean . discrepancy bill , phone call accounting department solve within hour . casino small compare super casino strip , game . complaint would poor ventilation within casino . smoke heavy almost unbearable non - smoker weekend . overall , impressed quality happy choose hotel price instead expensive hotel room decent . 
 Mar 17 2007 	 Hooters Rocks 	 say . Hooters FANTASTIC ! casino small feel personal . cocktail waitress polite prompt ( easy eye ) hooter girl dealer distract . room , fantastic . heap room everything need . know previous reviewer issue noise neighbour . pool area good fire pit burn night mean could sit outside socialise beer 3 ! restaurant : hooter always busy trouble get spot Dam Restaurant . try Nachos . $ 8.95 3 we could finish . huge . stay Hooters , problem ! 
 Mar 16 2007 	 Loved Hooters 	 return stay week hooter hotel las vegas . first trip area be not sure expect . read review nervous , get great deal take chance . glad . room nice size comfortable . bed amazing . nice quick service . upon get room safe working , call front desk fix within 5 min . trouble hot water , never get noon . casino small compare other strip , do not wait comp . drink like big one . would stay , nice relaxed feeling . travel tip : see shark reef , ride monorail take public buss bye really comfortable shoe you ll alot walk . 
 Mar 14 2007 	 good value 	 stay two night , busy week Las Vegas price last minute stay outrageous nearly every resort , figure 50 buck night , go wrong ? check efficient room time . overall room clean .. couple issue ( step pretzel ! ) nothing terribly serious . bed fabulous ! great quality mattress . Roomy bathroom nice average toiletry good water pressure . towel nicer average hotel price range . pretty cool heated pool area , nice lounge chairsMy friend tease stay hooter , ( rest group MGM ) would stay , budget hotel nice . 
 Mar 7 2007 	 great time hooter 	 everything excellent husband go hockey team player wife ... really problem distance everything strip .... way way everything pool close WAY early .. go hockey team want go swim one night not open really suck . everyone friendly food good , bed comfortable water nice hot shower , , it also firepit pool really nice . all good stay would stay hooter 
 Mar 7 2007 	 see well 	 stay Hooters group girl end February . casino room look exactly like restaurant .. nothing spectacular . cheap great really get pay . room really cheesy look not stay decor . toilet overflow wipe towel . big complaint much entire casino smell like cigarette smoke . relief walk go nice smell casino strip . not place worth go casino food Dam not good . mess milkshake ? think Hotel good group guy , gambler cigarette smoker . not want spend lot money not mind smell like ashtray good place stay . 
 Mar 1 2007 	 enjoy one nite ... 	 book last minute jetblue cancel flight .. get room 59bucks , get hotel , put we tower room ... awesome ! everything clean , not smell smoke .. happy room pay .. plus 's quick walk see hottie deal card downstairs .. place full guy though .. u will not see many female customer ... great job hooter ! providing lay back hotel great price ! would stay ... check time noon ! compare 10 am 11 am hotels strip 
 Feb 27 2007 	 work progress 	 wife & amp ; stay property one night early Feb. town see concert MGM . choose property close proximity MGM price . 's old property need update , see try . room nicely decorate . bed super comfy bathroom good sized . however , room need new door new slide patio door ( old rickety ) . wall thin , hear lot noise . small / old property , corridor narrow , probably contribute noise factor . the front desk staff indifferent upon arrival checkout ( neither welcome rude ) . one meal cafe . waiter nice food good , bit pricey . overall , night 's stay fine , would not consider long stay . 
 Feb 24 2007 	 bad place price 	 stay night first part Feb . highly skeptical , especially since 2 female . extremely impressed ! decor cool , sort beachy , surfboard , etc . room really good size , plenty counter desk space . clean . stay many enormous hotel Vegas like hooter fact relatively small , lot walk check room , lot walk elevator room either . window room open , nice fresh air , really safe , low person could easly step right ! ! pool weather pool look pretty small , however not walk around know . 
 Feb 16 2007 	 ah ..... smell wing morning 	 1st time Vegas , blast . stay Hooter 's obvious reason , cheap . impression brand new hotel . think , well can not go wrong new . hotel new . old barley refurbish . alot great thing hooters.1 ) $ 10 table hard find elsewhere2 ) comfy beds3 ) resonable drink prices4 ) Lots cocktail gambling bacause casino small5 ) close MGM / NYNY6 ) hotwing good drunk7 ) Chicken Squak phonewith price come quite & quot ; get pay & quot ; negatives.1 ) shower hot & amp ; cold whole time shower . suck hungover want long warm shower2 ) carpet stain gross3 ) elevator stinky , small , tempermental4 ) can not get away smell wing cigarettes5 ) quite walk strip & amp ; cab get expensiveoverall , enjoy experience . probably stay one large hotel / casino next time . 
 Feb 16 2007 	 really enjoy 	 vist Las vegas every year way family also stop way back , try hotel far Hooters one return tell other central ever need get around L.V.The strip walk away also get metro link plus bus stop right outside ask . 21 + 50 + really enjoy stay people helpful room clean plesant well . 
