love 	 husband come hotel several year . location excellent , staff wonderful , room comfortable . lot old fashioned charm . hotel like home away home . also great access shopping , North Beach , public transit great restaurant . 
 Petite Auberge Hotel treasure ! 	 husband pleasure stay Petite Auberge Hotel recently . delight friendly courteous staff . room quaint , cozy comfortable . in - room fireplace add much charm hotel . breakfast delicious exceed expectation . petite auberge delightful change large , impersonal hotel . ' ve already recommend Petite Auberge friend . look forward stay San Francisco . Dr. E. Mr. J. Pieterse 
 Old Fashion Charm 	 stay Petite Auberge several time last year think home away home grand city San Francisco . centrally locate great resturant , entertainment , course shopping ! back visit San Francisco ! 
 Petite Auberge San Francisco Ca 	 one good hotel stay . fine service , friendly staff , excellent room great breakfast . would highly recomme next trip San Francisco 
 Nov 11 2004 	 Quite Charming 	 First , let state prefer big , swanky hotel chain , not stay . petite Auberge small , charming hotel appeal people like stay bed Breakfast type place . find well keep clean . room fireplace , yes , room small ( cozy ) . breakfast , although basically continental one , attractively present many choice yummy baked good . coffee great serve day long ( free ) . guest also take advantage free soda bottled water available . wine , cheese cracker serve crackle fire evening . staff accommodate , manager , Pam , especially helpful us pre - pay stay cut short due medical emergency , arrange credit we remain day future time . parking $ 30 day take time retrieve car park lot away hotel . plan accordingly . overall , think fine , small hotel good downtown location San Francisco . return Petite Auberge future . 
 Nov 4 2004 	 cheap cheerful 	 stay 3 night September . name suggest , room small . small ! clean enough though . quite loud outside include early morning ( central location ) . breakfast include price good – cereal continental fare . chargeable internet service hotel next door ( listen belch member staff ! ) . beware - thin wall though – could hear guest use bathroom next door ! 
 Oct 19 2004 	 delightful ! 	 second occasion stay Petite Auberge . daughter come last year wonderful room fireplace , bookcase fill book , spacious room . year return 78 year old mother 82 year old father , sister son show wonderful sight San Francisco . not think twice would stay ! enjoy six wonderful day Petite Auberge . time stay regular room much small , remember room last year , feel bit tight two people . decor antique shabby chic give warm cozy feeling . Breakfast morning slendid variety fruit , bread , muffin , scone , quiche , juice , coffee tea . able attend afternoon wine reception twice , however , wonderful touch . whoever bake Petite Auberge give A+++ . housekeeping staff always friendly great job tidying room . everyone staff helpful sightseeing question concern go way get information we . hotel well locate within walk distance Chinatown Union Square . several wonderful restaurant also area , cable car also nearby . popular cookie jar lobby fill day something different . look forward end day night dinner get cup tea coffee sit downstairs front fire retire bed . enough good thing can not say charming little hotel . look forward come back stay third time ! 
 Oct 13 2004 	 wonderful break beautiful city 	 thank Petite Auberge wonderful base visit San Francisco . hotel charming give we feel somewhere different special . particulary enjoy informal evening gathering downstairs lounge people gather sip wine , enjoy nibble chat . give we chance meet lot traveler , something hard hotel . the close proximety Union Square , cable car lot attraction also help we see lot San Francisco , lovely city visit . 
 Oct 8 2004 	 pleasantly exceed expectation ! A++++ 	 ' say enough great thing charm little bed breakfast ! experience Petite Auberge less outstanding ! stay 3 night wed October 1st pleasantly surprised . always element risk choose lodge internet state . open double french door " Petite Suite " overwhelm absolutely darling place ! balcony table chair pretty potted flower . inside cozy fireplace sit area book magazine , huge four - poster bed fluffy comforter pillow ( real treat hotel ) . another pleasant treat bathroom huge tub , outfit handmade oatmeal - mint soap , assortment Aveda bath product , Nivea body cream . mix antique furniture shabby chic décor really add market touch romance atmosphere room . day check , bottle champagne white " married " balloon room , mention delicious box Belgian chocolate gift hotel . Petite Suite also come stereo , cd player , VCR choose list movie CD ' borrow free . also mini - bar stock soda bottled water also complimentary . ' refreshing see place ' nickel dime every little thing . overall quality room hotel general sweet unexpected surprise . now let ' talk breakfast ! YUM capital " " ! Breakfast serve wonderfully furnish european - style breakfast room bring back memory travel abroad . food excellent . continental breakfast ! different variety homemade quiche day ; potato curry favorite . also nice variety fruit , homemade muffin , pastry , chocolate croissant , hot cold cereal , juice milk addition hot maple link sausage fresh country french bread high quality preserve marmalade ! Phew ! afternoon , hotel offer wine reception guest meet fireplace cozy den complimentary red white wine , assorted cheese fabulous homemade bundt cake ! mention freshly bake cookie available day lobby , fortunately waistline busy take advantage time ! staff impeccably efficient , genuinely thoughtful friendly helpful , Petite Auberge , sister hotel next door call White Swan ( seem lovely well ) . high commendation young concierge name Andy . personable knowledgeable city , also " master public transit " . give we lot great suggestion fun thing around town , know every single bus , BART , trolley line could get we ! real gem true asset hotel . wedding go flawlessly hotel staff helpful needed assistance . location fantastic ! feel area safe walk around night . brief , two block walk Union Square 3 - 4 block China town . equally convenient fact one main cable car line block away hotel . plenty good restaurant within walk distance many excellent one short cable car ride away . Location B & amp ; b premium , ' ask well . overall give Petite Auberge 10 star ! plan return every year October anniversary ' wait ! look quaint , boutique hotel whose staff go beyond , place , look . hope enjoy much ! 
 Sep 29 2004 	 gem ! ! 	 pleasantly surprised accomondation helpful attentive staff every need . breakfast good - cookie ! ! ! room lovely - clean comfortable . room front Bush Street make bit noisy take away enjoyment nice boutique hotel . definitely stay next time ! 
 Sep 14 2004 	 ruin trip San Francisco 	 wife return San Francisco ( Sept 6th ) . favourite place visit . usually stay Hyatt Fishermans Wharf , time , read review Petite Aurberge , decide take chance . disappointment . & quot ; Queen & quot ; bed turn unstable double bed . poorly furnish chair break leg . air conditioning . breakfast consist quiche everyday fruit muffin . one point need connect internet check flight . ask front desk phone charge local call , think know . ask 3 different staff member give answer . check , bill 3 night valet parking car 1 night . disappointment ! ! ! not waste money dump . next time , be Hyatt least sleep queen size bed comfortable ! ! ! 
 Sep 11 2004 	 ok money bit shabby chic 	 get back trip San Francisco week . room Petite Auberge EXTREMELY small decor quaint , place definitely need spruce bit . paint peel , carpet cleanest , blind break , unidentified stain blanket etc . etc . also get September heatwave beg front desk fan air conditioning . open window get air , deal noise street . inn central location ( close Chinatown , Union Square etc . ) , however step male strip club . breakfast good ( although hot item serve every day quiche , little variety ) . perk like free soda bottled water , free wine reception nice touch . meet couple pay twice pay room ( book approximately 6 month advance ) - , think get decent deal get . not expect much ... 
 Sep 4 2004 	 Perfect evey way 	 return wonderful three night stay Petite Auberge . report many other web site , breakfast amazing , room clean , charmingly decorate comfortable , staff attentive . particularly enjoy afternoon wine reception , able meet many interesting people part world US . street hotel locate nice , even woman travel alone , feel unsafe come back hotel evening . see street people , never approach panhandler . plan stay Petite Auberge would highly recommend other . 
 Jul 8 2004 	 Quaint locale close everything ! 	 stay three night absolutely problem get everywhere want go ! 2 block chinatown , cable car , Nob Hill , Union Station make ideal location . breakfast buffet fill delicious hostess especially helpful . room small , nicely appoint quaint make cozy comfortable instead stifle . get great rate boot ! would recommend hotel anyone think vacation San Francisco ! 
 Jun 24 2004 	 romantic Getaway 	 unexpected romantic get away would describe stay Petite Auberge . tuck away along San Francisco - Knob Hill city street , small hotel delightful , intimate , charming place spend first night San Francisco . like step another era walk front entrance take room . crackle fire , quaint decor wonderful breakfast next morning good memorie entire trip California ! 
 Jun 21 2004 	 pleasant surprise 	 book internet little afraid spend enough room . pleasantly surprised . photo inn exactly show internet . well possable location visit San Francisco . minute downtown , chinatown cable car Fisherman 's Wharf . room small ( cosy ) , spotlessly clean everything need . staff helpfull find we ice bucket wine buy next store . the breakfast great really enjoy afternoon wine tasting meet guest . let us forget teddy bear mascot ever present cookie jar . great city , great Inn , back sure . 
 Jun 21 2004 	 Charming Auberge ! 	 great place , super friendly stuff , wonderful hospitality great complimentary breakfast morning ! 
 Jun 9 2004 	 Delightful 	 pamper recent 4 night stay -- staff friendly , knowledgeable helpful -- bed wonderful fireplace relax -- excellent experience plan repeat fall .... 
 May 18 2004 	 Petite Auberge - AWESOME ! ! 	 location hotel , lovely room , teriffic atmosphere downstairs lobby make stay wonderful . wine hor de horve fantastic provide great set meet guest . breakfast serve delicious much expect ! room , small , beautifully decorate , complete teddy bear tuck bedcover ! certainly intend stay next trip San Francisco ! 
 May 1 2004 	 little slice Paris 
 Apr 9 2004 	 find earn return visit 
 Mar 7 2004 	 favorite hotel San Francisco 
 Feb 13 2004 	 sweet getaway 
 Feb 12 2004 	 wonderful experience 
 Feb 12 2004 	 little bit heaven 
 Feb 4 2004 	 home away home ... 
 Jan 14 2004 	 La Petite Auberge treat ! 
 Oct 16 2003 	 C'est bonne ! 
 Aug 30 2003 	 enjoy stay 
 Nov 6 2008 	 Non sono state tutte rise ... 
