dissapointe 	 stay venetian ten day November 2009 , long tire flight UK arrive busy check desk ( busy 24/7 ! ) quickly process find room easily . when open door , could cry ... absolutely fabulous ! bear mind one cheap suite , spotlessly clean , comfortable , flat screen tv 's lounge , bedroom bathroom , mini fridge / bar , safe , write desk internet access , massive comfortable bed usual free goody ! maid efficicient , food within hotel offer wide choice ridiculously expensive affordable basic . if return Vegas , would hesitate stay . enough say ! 
 disappointed 	 wife Vegas several time . make trip little different last add excitement try stay different hotel time . ' ve stay MGM Grand , New York , New York , Wynn . trip first stay Encore two night transfer Venetian take advantage Spa Package deal . wife always want stay mainly light , fragrance smell throughout hotel grand appearance lobby area . read great review hotel excited stay . check easy room we usual 3 pm check - in even though holiday weekend . please advise want strip view cost additional $ 50 per night . venetian like facade view back hotel pleasant . yes , lobby grand beautiful room , although consider & quot ; suite & quot ; hotel , small review lead believe especially compare room Encore , Wynn even suite New York , New York . think furniture old uncomfortable , although bed fine . one comment say dust item room find well . light dusting like not dust quite . especially disappointing noisiness hotel . door room SLAM shut force easily hear door closing hall . holiday weekend imagine annoyance . spa package include $ 50 discount toward spa treatment daily admission gym spa . well , $ 50 not take far Canyon Ranch Spa even 30 min . facial cost $ 100 . man 's spa nice always run fresh drinking water fresh fruit . one occasion find attendant remind refill . poker player must say venetian poker room one good strip . come back play poker far stay hotel will not come back . 
 Beautiful Room ever 	 particular could ask anything . 
 Best Place honeymoon ... get marry Vegas course ! 	 hotel truly unbelievable ! really like live Venetian Palace Venice ! beautiful , service great suite die . check indoor ( really indoor ) Venice outdoor theme experience . will not believe eye ! romantic place actually Venice . 
 lot fun ! ! ! 	 staff kind generous room service cater every need .. 
 second time stay herelove itwill stay every trip Vegas ! 	 Gorgeous hotel , relax , great service , clean , comfortable bed world ! ! staff always friendly accommodating , room large comfortable . lot amenity close . stay would recommend anyone stay Vegas . 
 would good never get beyond Wannabe . 	 way hotel try capture memorable site Venice one cluster area amazing . lobby nothing short grand . everything seem perfect , ... person check we say need pay $ 33 per night want two queen bed . remember specifically request 2 queen book package Continental , alas , much choice , really . get room -- 22 - 238 . like lobby , first look awesome -- spacious . notice CD player dusty . slipper . one set soap shampoo , etc . , toilet room smell like smoke . water taste like chlorine . coffee maker . tiny closet ( especially two woman ) . couch living room area wear . electrical socket loose wall . poor lighting . nothing seem genuine place . 's show . , Vegas , could one expect ? 
 Jul 31 2009 	 hype 	 hello globetrotter everywhere , friend want celebrate birthday decide trip Vegas . flight delay , arrive hotel 1 am . next day , notice suite dark . so mentionne friend realize light work . decide call front desk . take good 20 minute get someone phone , receptionist mentionne get problem . credit , come back light situation well . service venitian SUUUCKS .. say least . get anybody phone want .. hand , love fact beautiful restaurant , like Mario Batalli Emerial Lagassi something call Europe square remind Italy . ok term decor service SUCKS .... go risk . 
 Jul 29 2009 	 five diamond ? not think . 	 return recent weekend visit Venetian , honestly say much well five diamond hotel Vegas strip . cost , Bellagio Wynn much well alternative Venetian . unlike Venetian , hotel treat like value guest . venetian three diamond hotel , would explain condition room disrespectful way treat . five diamond , excuse . highlight thing sour experience follows:1 . Cattle call check pure chaos arrive – clear desk attendant try get everyone line quickly possible , appreciate , expense make hotel guest feel like ' matter.2 . newly program key card ' work door – four key . two worked.3 . wear condition room – room definitely see well day . stain couch miss button . light dim , even light . find face wash cloth previous guest hang door , bathroom door ' close.4 . disrespectful staff – husband twenty , reason think would explain repeatedly treat hotel staff like ' possibly guest . funny thing , venetian ' pricey Bellagio Wynn place make we feel welcome . ' know Venetian full . require show hotel room card charge room could enter elevator go room . understand appreciate security measure , nice way , mean way . consistently approach we like ' afford guest flashed card . even ID ' could charge room breakfast . funny thing particular restaurant , hotel guest even get restaurant ! 5 . charge " free " breakfast – package include daily complimentary breakfast two . call confirm two people prior place order . assure we . charge we $ 27 free breakfast . dispute claim check , mean stand long check line instead able use television check . front desk attendant nice , ' t / wouldn ' take charge make we file complaint guest service . two week later still ' get response . 6 . waiting hold – wait ten minute hold reach someone front desk acceptable five diamond hotel . none above - mention complaint ruin weekend , know amount money , stay hotel truly make we feel like guest , reason ever return Venetian . disappointment ! 
 Jul 28 2009 	 Amazing 	 first stop honeymoon boy well start ! small queue reception check worth wait room fantastic . bed really comfortable , bathroom huge , seperate living area . ( standard king suite ) .The hotel graet choice restaurant bar . dine Canaletto first eveing becuase book mention honeymoon give we priviate dining room without extra charge . nice . it also great romantic ambeinece . whole experience excellent . definately recommend . p.s . casino good ! 
 Jul 28 2009 	 nice stay 	 stay & quot ; Venezia Bella View Suite & quot ; Saturday Sunday night . overall pleasant stay , enjoy venetian quite bit . upside : -- -- -- -- -- -- -- -- -- -A ) interior combine Pallazo / venetian nice . numerous place shop / entertain / dine within complex , pleasant ( bit Disneyland - ish ) environment . hotel service good , timely , friendly . b ) room well appoint , spacious , comfortable . c ) ton good dining option abound Ventian / Pallazo . downside : -- -- -- -- -- -- -- -- -- -1 ) go anywhere real effort . leave Venezia suite involve * * lot * * walk chain elevator . walk distance go anywhere absurd . would swear walk less work downtown San Francisco take public transit everywhere . 2 ) hotel info list Venezia pool private pool Venezia tower guest . 's nothing private . anyone go . stay pool deck not overcrowded though . suspect not get overrun outsider afore - mention walking distance chain elevator . pool area nice , mislead refer private . 3 ) hotel checkin Venetian grossly understaffe , direction Venezia guest incorrect . arrive , checkin line look like line Space Mountain . least 100 people line . scanned area begin seethe anger , noticed sign direct Venezia tower guest another lobby . bit walk elevator ride get , find empty lobby concierge politely tell go back downstairs ; Venezia checkin combine Venitian checkin . almost lose . ask concierge really expect stand ridiculous check line . recommend go & quot ; special & quot ; line . , one person front . , check snappy . beware though ... ventian guest , prepare abusive checkin wait . line full nearly every time walk past stay . 4 ) room type & quot ; Venzia Bella View Suite . & quot ; view air conditioner fan McCarran Airport . Yay ! 6 possible view , 5 decent . crap one . 
 Jul 27 2009 	 Fabulous 	 stay virtually every hotel Strip ( ) favorite order favorite Caesar 's , Bellagio 's , Palazzo , Mandalay Bay , Hotel Paris .. top list Venetian . suite perfection every detail . bed beyond comfortable bathroom amenity beyond luxurious . also casino lot fun other choice restaurant fantastic . can not wait go back ! 
 Jul 26 2009 	 Place Stay 	 say WOW ! ! ! go Vegas first time celebrate 10th wedding Anniversary . allow register home left would check really late . girl phone give we free upgrade Luxury Suite View strip airport mountain . although stain couch , replace new cushion . bathroom gorgeous ! ! employee front desk security casino staff helpful friendly time . restaurant , shop show top notch exceed expectation . able see Blue Man Group Wayne Brady stay . it also nice able use , although not need , Palazzo amenity . we fantastic experience venetian plan stay next trip Vegas . 
 Jul 25 2009 	 wow ! 	 read review tripadvisor choose special place stay part 3 week trip around vegas- canyon- San Diego LA - the room WOW ! - massive - book 2 standard suite - enourmous ! seperate sunken lounge area tvs lounge , bedroom bathroomluxury everywhere room , massive desk fax machine etc high speed wifi - hotel enourmous , pool area 4th floor - really hot sit - 115degrees plus ! ! go pool around 5 pm day - find chair easily time , busy - load place eat hotel - cafe lux great - load choice massive portion - warn ! ! would stay would recommenddid get free slot credit play $ 50 per room gambling whole time ! ( 10 day ! ) one big dissapointment - son train ( gym ) day - gym own hotel - sublet charge $ 40 per day - ludicrouswe find local BJJ school train instead ! 
 Jul 24 2009 	 Customer Service Finest 	 arrive venetian 10hours prior schedule check time . greet bell hop smile ask would like check bag untill able check hotel . tell we probably go check line hotel often allow early check in room become available . would definately reccommend anyone arrive early try , hear call soon one become available . actually get lucky one wait we . queue check 3 partys deep get line time check back pretty far . get room amazed . picture give place justice . room pretty clean except one sticky spot toilet room wife could not avoid . try clean towel water would not come ! everything else immaculate feel comfortable well everything maintain . 5 minute room hear single knock door man houskeeping barge apologize profusely see we room , apparently quality inspection cleaning service . within 5 minute first knock hear another one time woman come reason . put security latch door avoid confusion . another 5 minute hear knock third time time bell hop baggage . nice becouse do not want spend whole morning room . we find ammenitie hotel offer top notch alittle pricey . would highly recommend Razul Ceremony Canyon Ranch Spa serious couple marry folk like . wife get intimate would one hot experience life , well worth $ 200 1 hour . also recommend couple massage . nothing great far massage go relax enjoy co ed enviroment spa offer free afterwards . pool nice overly crowd go morning . noon get pretty noisy due club enviroment Tao Beach . like 112 degree stay offer umbrella almost soon sit down . as far restraunt would recommend Dos Caminos simply like food . awsome tequila taste drink menu .... definately good haha ! Grand Lux Cafe good value meal food court casino shopping area good . interested fine dining Cut , Valentino 's . aquanox excellent pricey . one quam food faire , were buffet ? ! ? ! walk Wynn eat one . overall good experience , call concierge get reservation ticket always get want withing minute . Blue Man Group awsome . the good part trip think comp get $ 550 worth take bill end . I ve never happen never know ask . I m high roller would definately say bring $ 500 - 1000 day entertainment , food , gamble probably wrong place . stay somewhere fun enjoy money worth you ll appreciate . 
 Jul 23 2009 	 great deal bit crowded check overall ... good 	 complaint check take 30 - 45 minute around 5pm . line close 100 people yet 5 6 staff work . quite run around nothing . room spacious , comfortable , clean , well decorate design . view mind . bathroom tremendous complete large tub separate shower . staff friendly responsive ( check ) . casino buffet . ( go buffet Paris Hotel ) . overall one well LV hotel . 
 Jul 23 2009 	 Nice Rooms - Scary Environment 	 return 3 - night stay venetian elderly mother friend mid - July . even though rate low ( mid - July ) expect luxury hotel experience - could not wrong . we two room , nice size furnishing . mother 's room break safe , however . ask fix arrive ... never fix . fortunately could use safe room , expect well good hotel . clean another issue . room clean properly every day . mother 's room ( expensive room ) never properly clean , clean ask maid clean . bed never make . ask clean towel housecleaner 's cart . room 4 door away room - another issue since request adjacent adjoining room unable accomodate we . the staff general rude unhelpful . Checkin involve half - hour wait disney - style snaking line ; luxury hotel experience . check bad . electronic checkout available via tv , ability view bill . go check front desk 6:30 avoid crowd . 10 people line , one person front desk . huge hotel ? ? one person line call hotel cell phone request help ... 15 minute another person show front desk . 7 am line much long . really inexcusably bad . but bad part hotel scary environment clientele . stay venetian tower , adjacent Grand Canal food court self - parking garage . might reason bad crowd encounter . security guard post elevator entry casino level Grand Canal / food court level . grateful - although guard pay little attention came go , least deterrent . large crowd rowdy young people area . , know Las Vegas lot rowdy young people everywhere ... many people would certainly want meet alone hotel corridor . drunk kid inconvenience .... drunk kid ... sort people would expect find ' bad ' area US city , hang around group . perhaps 's tower adjacent free parking garage , uncomfortable walking room , particularly elderly mother . ' ve stay lot Vegas hotel - Mandalay , Monte Carlo , MGM , Mirage , caesar's- misfortune get stick Excalibur room town big trade show . venetian room nice , crowd area hotel bad ' ve ever experience Vegas hotel - even Excalibur . add crowd area hotel seem type people ... scary around venetian tower . decide stay venetian , suggest request room elsewhere . 
 Jul 23 2009 	 almost Perfect 	 visit Vegas Juy 4th weekend friend wed . decide Venetian get great deal hear many positive review . book Luxury View Suite . stay nearly perfect every way : quick check - in , superb accommodation , excellent service , great food everything could want hotel . staff friendly absolutely one problem ; however , time hotel almost unbearable due floral fragrance . read think silly complaint . step elevator parking garage husband start cough . cough nearly entire time Venetian 5 days/4 night . highly allergic whatever pump throughout entire hotel . not anything like happen . bother well , physical reaction . buy cough syrup Walgreen 's , help sleep night . almost comical day soon step venetian fine moment return start . friend could not believe ! issue casino visit weekend . shame hotel perfect every way . return Vegas unfortunately can not stay . 
 Jul 23 2009 	 Venetian - Good Bad 	 VENETIAN HOTEL & amp ; CASINO ( July 20 - 23 , 2009 ) GOOD Offer : stay Venetian Hotel Casino , July 20 23 , 2009 , $ 129.00 special rate per night include luxury suite Venetian Palazzo , two ticket Phantom Opera , 20 % several fine dining restaurant , 2 - for-1 drink one lounge , $ 50 80 - minute spa service $ 25 Free Slot play . usually stay Mandalay Bay regular deluxe room one bedroom suit $ 99 night could pass phantom ticket include venetian stay . room : stay Venetian Tower . 14th floor near end long hallway . room like advertise . pedestal type bed one semi - loft section follow second area two step include l - shape couch , desk , table chair . 110 degree outside set thermostat 65 keep room chilly . amenity : room lack amenity bath , call bar soap send room . send full double package amenity four soap , two shampoo conditioner , two lotion . ( ask . ) arrive within ten minute call exceptionally quick hotel service room , plus follow - up message phone making sure arrive . ' good customer service . Room Dining Card : in - room dining card breakfast ( similar hospital card fill meal next day ) hang inside door knob . fill , leave outer door knob breakfast order advance delivery next morning simply select breakfast , delivery time hang knob prior 1:00 . price similar hotel . bath : like new remodel hotel , bath separate shower large size tub , nice . shopping : outside elevator area room , coffee kiosk well mochas ' ever taste . ' pricey good . also carry sandwich heat ( $ 10.99 ) assortment gourmet breakfast roll , fruit cup , brownie , donut , etc ( $ 4- $ 8 ) absolutely delicious . Grand Canal Shoppes Shoppes Palazzo close ( escalator room elevator ground floor ) . shop pricey geared anorexic , shop discount rack find deal . wonderfully unique shop look something special include Brookstone store . also another Food Court Coffee Bean Tea kiosk . excellent Phantom ticket : since two ticket free room , expect ticket nose bleed section everyone look like ant stage . greatly surprised find offer seat chart large choice seat include side area seat way stage addition mezzanine . seat choose usually sell $ 137 . expect pay upgrade charge anything nose bleed seat . ticket section 3 , Aisle L , seat 63 64 . ' stage leave near aisle leave center section 11 row front . cool ! cancel little negativity experience . Room Office : desk area combination fax , scan , copi printer . need bring paper , exceptional extra . big bonus power strip five empty plug right beside desk . hunt place plug laptop cell phone charger ( Yay ! ) . ' figure free internet ' really need ' bother call get hooked . two phone : two wireless telephone room station bed desk . could keep phone beside ' jump answer . wake - up call : wake - up call live person automate . awaken pleasant female voice tell we time , temperature outside ask anything else could we . BAR Bell Service : arrive 1:00 pm , park Valet usually wait Bell Hop take luggage . Valet Ticket Handler call several time bell service . ten minute wait , Bell Hop come , tell Valet Ticket Holder leave lunch leave . one else come . Valet apologize drag luggage . check - in : line check 25 people long ( go quickly – maybe 10 minute ) lobby overfill noisy people wait " something . " tell check rep ' get Bell Service Valet . apologize , give we room key still call Bell Service desk assist luggage . drag luggage casino elevator , room . long walk arm fall time arrive room . noisy lobby check - in could understand hardly anything check - in rep say even though ask speak . continue mumble look downward speak . hand we paperwork include keyholder card forgot place room key inside call we back . recommendation : always ask room close elevator . amenity : tell room ready arrive amenity like hand soap . call Front Desk ask hand soap send . prior , attempt get bar soap housekeeping staff still clean room floor , one speak English ' clue ask even though pantomimed addition ask . lighting : big complaint would lack lighting room . ' old ( 56 ) need bright lighting see well . even light room blind completely open room still darken . plus take find light switch . food : food terribly over - price , even Food Courts . Casino Food Court : slice pizza drink $ 15 ; sandwich fry drink $ 22 ; Shoppes Food Court : two rice bowl fast food kiosk without drink $ 16 . eat Café $ 40 two people . purchase snack Walgreen 's store close ( also way over - price ) offset food charge pay $ 5.99 12 - pack Pepsi $ 5 chip . restaurant range $ 25 $ 150 per person small discount coupon practically useless . player ' club : ' call Grazie Club , new player get $ 25 Free Slot play . card come pretty gold chain attach short completely useless remembering take card slot slot . line card always 20 - 30 people long time check throughout day . finally get line endure wait . four rep work , still take 35 minute get card . recommendation : ask four card put extras wallet purse ' stand line . slot play : slot tight squeak . ' local play different casino almost every month . recommendation : stay venetian play slot across street Treasure Island slot loose . stay Treasure Island , ' dump worker rude , slot pay pretty well . Room Layout : room two large screen plasma tv tv 15 foot apart divide wall , tv , set station hear impossible . also , good change would track drape bed area close bed area livingroom area early sleeper go bed disturb light tv . bath : leave towel rag , really enough even two people . plus ' hang wet rag towel dry counter space minimal set hot hair setter make - up . Window covering : probably bad … take 20 minute figure open close window covering . finally realize remote control wall bedroom area , 20 - foot away window , thermostat , control curtain . Ice machine : ice machine locate behind door small " ice " sign circular lobby floor . ' kind hard find ' know look . room hall , way hall , ' bit hike ice . recommendation : carry gallon size Ziplocs purse grab ice travel back room . Valet Car Pick - up : retrieve vehicle 1:00pm go another casino gamble well slot payback . give valet ticket , tell would 20 - 30 minute wait car . ridiculous amount time wait car . casino ever make we wait long . full 25 minute wait 106 degree heat 55 % humidity car arrive . recommendation : summer month , carry personal mister Vegas . overall : since compe ticket room offer , great deal . ticket include would rather stay Mandalay Bay THEhotel one bedroom suite ongoing special price $ 99 night weekday . get room low price ( two queen bed , separate livingroom area two bathroom ) , valet offer bottle ice cold water check , service always exceptional slot looser . ' stay dozen time pleased . even deluxe room large , bed divine , deluxe room two large closet huge bath area , plus food court restaurant reasonable . 
 Jul 22 2009 	 excellent 	 great hotel , service outstanding , room huge , 24 hour room service , furniture great taste , overall , one good hotel stay , , picky 
 Jul 22 2009 	 enjoyable surprisingly relax 	 stay 3 night end 3 week trip experience Vegas . choose Venetian want 2 interconnect room wife 2 teenage daughter . valet parking arrival great never use car Vegas 15 minute wait check not seem bad . check busy take 10 minute . request Piazza suite connect Bella , non smoking look Strip check early seem may issue equivalent room available . however receptionist quickly contact manager within couple minute 2 interconnect room 32 floor overlook strip sort . room excellent , piazza suite huge although upgrade yet clean comfortable . room quiet never hear noise room . pool area excellent 14 pool choose include Palazzo spoil choice term sun bed etc . Breakfast Wolfgang Pucks beside pool one highlight price reasonable great location . staff friendly professional . location hotel great enjoy basically walk everywhere . great choice restaurant many expensive possible eat inexpensively visit Dennys Walgreens outside hotel . check breeze 5 minute wait bill exactly agree . overall great time would certainly reccommend family want convenience interconnect room , good pool area good strip location . 
 Jul 21 2009 	 wow ! ! ! 	 amazing hotel ever stay ! suite incredible ! walk , huge bathroom leave . 's bathtub seperate shower stall , two sink , vanity , flat screen tv , little room toilet . step bedroom find bed , nightstand , closet , flatscreen tv , dresser . rail near side bed step living room will find l shape couch , coffee table , armoire another flat screen tv , desk , table , chair . incredible ! check spa . ' ve many massage , BEST one ever ! ! ! friend not big gambler , spend quite bit time walk around magnificent shop . walk strip , check different hotel . see show , dinner great restaurant , take helicopter ride Grand Canyon . 
 Jul 21 2009 	 beautiful hotel however ..... 	 stay venetian year ago business impress gorgeous room fabulous service . the room still breathtake ( suite 's much space one person watch tv one side room another sit & quot ; living room & quot ; watch another show tv ! & quot ; ) service still perfect -- will not find unfriendly employee hotel . say , thing know.1 ) hotel enormous . mean , stop walk store get comfortable pair shoe unless be wear sneaker , foot hurt . 's great convention frustrating be family.2 ) concierge desk always busy enough people staff . wait 25 minute print boarding pass . always line , always wait Vegas well thing , know ? 3 ) food court right entrance swanky Grande Canal Shoppes . anyone would put low - class food court next shopping venue Barney 's beyond . food court bring unsightly character weekend . Saturday rough day , trying avoid sloppy college - age young man baseball cap wear backwards gangsta - type girl & amp ; guy hang Casino . make nervous . look like drug dealer . not belong five - star hotel . really think 's food court . overall , positive experience would stay Venetian , Bellagio book ! 
 Jul 21 2009 	 wedding honeymoon roll one - can not beat ! 	 spend 7 night Las Vegas , maybe day long move San Francisco could spend time , venetian gorgeous hotel , worth one stay see 
 Jul 21 2009 	 Incredible Amazing . romantic . wow . 	 I ve stay hotel three time year include honeymoon , splurge want treat , life do not get much well . luxurious hotel I ve ever set food boggle mind 1 ) people go Vegas stay anywhere else 2 ) Bellagio beat term romance ? ! could go well , will not , will say stay . incredible . 
 Jul 20 2009 	 Professional staff make stay relaxing . 	 check send room still occupy . naturally pass card not work leave wife head back front desk . clerk check we recognize motioned step inquire problem . tell story . quickly check computer , housekeeping graciously apologize . step back speak supervisor , come back upgrade we beautiful vip Suite incredible view strip . send bellhop retrieve wife help we move another floor upgrade say , & quot ; folk carry bag first time , will second time . & quot ; first class everything venetian . great three- night stay . 
 Jul 20 2009 	 Great Hotel 	 husband stay 4 night venetian end JunRooms amazing , room & quot ; standard & quot ; one can not even imagine room look like . 's huge beautifulcasino great , restaurant great , pool great , location pretty good .... excellent hotel ! bad thing point long wait check hotel , take we 45 min check Friday afternoon another 30 min check Tuesday morning . I bite disappointed guest also need pay gondolas tour , gurss 's way vegasnot cheap worth 
 Jul 18 2009 	 good suite value vacation . exceptional amenity . 	 Rialto suite family . spacious well appoint . one top resort Vegas . 
 Jul 17 2009 	 world ! 	 arrive first hotel honeymoon , travel around US . choose hotel primarily get engage Venice 2 year previously . intial problem due flight delay miss first night stay , eventually bargain way newly refurbish room . room amazing , large lovely living area , bedroom bathroom sink . tv three room . everything operate remote control , find quite novelty ! hotel could amuse we full week although stay 3 night . like resort 's . include theatre , madame toussaurd , mall , leisure centre , casino main attraction - a grand canal second floor ! although could compare Venice , sit outside one coffee shop mall , gondola go past water cloud move roof imitate sky , come quite close . the location great Vegas attraction , much could never get around everything 3 night , however we enough time get glimnpse Vegas satisfy curiosity like . 
 Jul 16 2009 	 Absolute top 	 good suite ever . exciting location strip - simply middle action . 
 Jul 16 2009 	 good hotel strip - would not stay anywhere else ! ! 	 recently stay venetian 3 night husband anniversary . first time Vegas we . walk entire strip see hotel ' m definitely glad choose Venetian . far nice hotel mixture everything . nightclub , show , restaurant , shopping , beautiful gondola ride , 's hotel every age ( unlike other definitely gear towards certain age ) . basic suite think beautiful . view Mirage nice b / c could see volcano eruption night . bathroom insane . want bring entire bathroom home , huge . the con would hotel huge . keep getting lose try find elevator get back room try get back strip . Postrio excellent dinner , Tao . also gondola ride go wax museum , ton fun . 
 Jul 16 2009 	 Tacky Splendour 	 first thing notice arrive awful smell hotel . 's nasty chemical air freshner smell waft around whole hotel . once get check make casino room . incredibly noisy casino worry loud would room . the room turn beautiful quiet ! two queen size bed enough 4 we . bathroom enormous view 4 swimming pool deck below . the room clean arrive . & quot ; bachelorette & quot ; banner hang top bed bit paper floor cupboard . call housekeeping came sort immediately . sloppy cleaning continue stay , mostly lack vacuum around bed , bathroom sheet spotless . we three tv , two room one bathroom - watch two tv one room ? kid love able watch different show time . the pool deck fabulous two big pool , one small pool lounger water one whirlpool . hang mostly big pool hour evening . virtually sun umbrella 's hot . wait till first shade evening go . drink service pool although take age get serve , 's good go get drink bar . pool definitely adult set kid , fun anyway . the service hotel wonderful time , wait time phone way long . I would also expect hotel like free wireless . 
 Jul 16 2009 	 Beware Valet Parking 	 love Venetian . elegant room , spacious , beware valet parking situation . wait approx . hour half bag pick room car bring around . mad house checkout time lucky not try catch flight . hindsight , would self park wait bellman valet . also , other comment smell hallway strong room fine long walk room multiple elevator ride figure , not bad . huge room easy access shoppe make perfect location family . 
 Jul 16 2009 	 beautiful room 	 room ordinary hotel room . split level enter decorate nicely . bathroom elegant spacious . negative make reservation well advance ask non - smoking room . check - in ... although confirmation number nothing assure room want . desk clerk tell room available smoking room . ask could , tell hotel book due convention . could explain get bump ... never offer deal pretty much ' take leave ' situation . not much care lose business . beautiful hotel . 
 Jul 15 2009 	 huge comfortable great value overall 5 star ! 	 really love hotel . room large , comfortable beautiful . bathroom Bella Suite ... well let say I m go work really hard able one like house . hotel well ventilate help notice LOT security . show room key go elevator , insert key press elevator button , 11 pm security guard check car come hotel even security around pool . feel safe . room big enough 5 girl stay comfortably . also get great rate wtih promotion stay two night tax $ 370 . service front desk , bellman conceierge great . complaint . couple pool , Tao Beach hipster cabana hear $ 400 weekend day . even escort find spot sit lay towel . can not wait go back soak room bathtub again . easy walk Palazzo nearby Wynn / Fashion Show mall . definately stay recommend little splurge . 
 Jul 13 2009 	 Beautiful room ! 	 stay Venetian March 5 - 8 really enjoy hotel . room beautiful extremely large . complain hotel big take forever walk ... 's Vegas , walk everywhere ! ! complaint perfume constantly pump air vent . bit nauseting could smell room nice . great restaurant / bar Venetian . Skip Madama Toussad 's though , overprice pretty lame . 
 Jul 13 2009 	 ok hotel good 	 stay venetian 3rd 10th July . honeymoon come via San Fran . initially look somewhere chill bit hindsight Vegas may good choice . venetian certainly good choice chillout . surprise many child around swimming pool . Vegas mean grow up seem lot kid really look , hear past Venetian really kid friendly - many time hear & quot ; Marco & quot ; & quot ; Polo & quot ; without go mad ! ! ! also get space around pool weekend nightmare . 6 pool problem get different music blare different angle mean noise . July 4th suppose expect crowd . room ok , house keeping knock 8:30 everyday annoying . restaurant hotel good , argue quality food either Venetian Palazzo . level restuarant casual fine dining amazing . casino floor lack atmosphere casino 's particular Wynn / Bellagio Freemont waitress little slow get around . whilst go see Phantom Opera - think subconcious decision play music lift time . would recommend show anyone , good show see , other LOVE Peepshow ( Holly Madison play bo peep - think stick day job ) big thing would say venetian expensive , even Vegas . term food drink help pound weak last go state . really want go TAO whilst put look crowd - imagine 1000 21 - 25 year old mission get waste ! ! ! ! club Wynn lot well , especially like music Blush bump Dolly Parton bonus Blush . I think go would stay Encore Wynn maybe Planet Hollywood . good thing Vegas get round see hotel / casino suppose stay place lie head . 
 Jul 12 2009 	 Venetian 	 recently stay Venetian Las Vegas . call day ask alright check two hour early go arrive early , person talk say would fine . however arrive wait two half hour page let know room ready . the room wonderful . 33 floor great view strip . room Rialto suite . originally ask smoking room get room find not . call front desk say could move room 9th floor . say say . note : find smoking room low floor upper floor non - smoking , will need decide important , smoke great view . the hotel wonderful choice restaurant amazing . I enjoy stay much Tuesday return stay Palazzo compare two . hopefully Palazzo nice Venetian ( will write experience return ) .Even two issue , check early smoking room , still give Venetian Excellent rating . 
 Jul 10 2009 	 Warning- stay away ... 	 recent stay venetian one disappoint frustrating hotel stay life . someone travel consistently , never experience arrogant offensive staff . would implore everyone consider stay , go elsewhere . on night stay , return hotel room find key card would let room . sick girlfriend curl floor front door , force run front desk figure go . front desk , Miguel Quintanilla indicate $ 357 outstanding balance account , consequently hotel lock room . locked room $ 357 balance unbelievable . could address morning ? venetian , Holiday Inn … $ 357 meaningful amount money . ' m multi - billionaire , ' m fortunate meaningful disposable income , display repeatedly casino floor . furthermore , miguel front desk manager audacity accuse pick phone Venetian call outstanding balance . out - and - out lie , phone call ever make . run charge , give new key , WORK . girlfriend shiver KNEES FLOOR , run back front desk get new key . time , Miguel indicate upon check - in , front desk clerk improperly swipe credit card . receive apology . never contact … lock room stupidity . this staff need hold accountable treat people without respect . stay elsewhere . teach large money grub corporation lesson spend hard earn money treat properly . 
 Jul 10 2009 	 Five Diamond ? 	 return four- day stay Venetian Las Vegas . make point review comment Tripadvisor stay hotel , must admit little nervous read venetian review . first , glad say experience well expect , necessarily excellent . let qualify travel lot work fun , spend fair amount time Las Vegas , ' new market . room 27 - 366 , 1,300 sqft+ Piazza Suite 27th floor hotel , get great rate ; nothing complain . room spacious large foyer powder room , dining room , large living room , bedroom master bathroom . 3 lcd television , 3 phone , fax printer , mini fridge mini - bar ( aware move anything around mini - bar get charge . however clear sign fridge let know ) , safe , wet bar cd player / clock radio . room appear update since property build 1999 show age ; however room clean adequately stock fresh towel wonderful toiletry . my arrival experience nothing special . pull valet busy time . valet attendant friendly take 15 minute car move . take much time also make check - in . big deal ; sort expect Las Vegas . wait however , another valet stiffed tip walk loudly state profanity , bit shocking say least . check - in busy take 15 minute get check . front desk staff friendly issue ; although check - out realize overcharged credit card ( later ) . offer additional upgrade large suite , since already book large suite decline offer . find room elevator bit adventure check first time . Venetian Palazzo complex believe big hotel world 7,000 + room , make property monster . take we 20 minute make front desk room . get room pass " security station " staff " costume " security person check make sure room key . even though give certain sense security , attitude guard necessarily good . ' recall single time walk area receive friendly " hello " ; time get image annoyed person pass time job . speak room key ; door really hard open . take several time time open door . sort annoying ! read many horror story housekeep Tripadvisor ; really ' big issue . imagine challenge keep hotel size par . general housekeeping staff friendly , say " hi " hallway servicing room job right . first day go breakfast around 9 am note door already housekeep already stop want come later call , . seem bit early . last day remove " disturb " sign door . general housekeeping knock come , person simply open door walk get ready . bed linen clean crisp , however one sheet king size bed hole . replace stay . also laundry bag closet room . opportunity see show , see " Phantom Opera " resort . set beautiful show worth every penny . set , costume especially talent , hat . price refreshment show Vegas high small bottle water cost $ 6 diet soda $ 5 . read horror story valet parking . aside early mention experience valet staff friendly efficient . short wait 10 minute , long 20 . due size Vegas hotel always bit wait valet , long know , wait ' bad . usually check room . process work we go check person . line long able check 10 minute . reason able check room mistake make upon check - in . credit card overcharge refund process person . front desk person surprise mistake manage check process refund smile . also learn reason able charge anything room . check - in information enter incorrectly result error try charge . we issue in - room safe . would lock . call service within 15 minute service person show fix issue . turn - down service seem include ; require service need call . experience Venetian ' bad one , expect 5 Diamond property service , room style , attention detail overall experience . 
