spend 	 stay wife anniversary . check upgrade harbor - view room , find chocolate wait us & quot ; happy anniversary & quot ; note ( tell special occasion make reservation ) . room spacious , spotless , look brand new , quiet - could hear noise room hallway . hotel quiet weekend - 's busy week weekend 's nice place get away . dine hotel 's restaurant pleasantly surprised get free dessert account special occasion - front desk communicate restaurant anniversary . think nice touch . room service breakfast next morning overlook statue liberty ellis island perfect way start day . highly recommend . 
 Dec 28 2005 	 true hotel luxury 	 enjoy come NYC 2 - 3 day getaway weekend . despite many people feel , almost always stay financial area trip ( love close Regent Wall Street ) . weekend great rate hotel much less crowded . take one cab one cab back day- $ 40 . compare price difference stay downtown weekend central park , cheap ! stay Club floor , water facing room $ 445 / night . club floor usual lounge free food drink time day . different quality food drink . not feel like ' free ' stuff- everything serve free would fit perfectly serve downstair restaurant . two special note , cheese board serve cheese Artisanal ( fantastic NYC cheese shop / bistro ) serve champagne , sparkle wine- suprise treat club lounge freebee . the room large fantastic view Battery Park Statue Liberty . telescope look good room , piece junk- nice pair binocular would well idea . bed great get bedding request right ( order different kind pillow mattress top ) . bathroom spacious well stocked . would expect upmarket chain hotel- personal , excellent taste . staff perfect . standard remember name thing drink , without seem strained . call we name always correct unsure , use ' sir ' ' ma'am ' . professional excellent job . my concern car serive . arrange hotel pick drop JFK . $ 150+tip ( way ! ) would expect something generic black sedan car service . mention concierge tell competitive rate .... ah well , time , polite , car clean . 
 Dec 12 2005 	 Quiet Downtown Luxury 	 luxury hotel lie far southern tip Manhattan mainly business traveler . build new , room elegantly appoint decently - sized public area attractive . right room , view New York Harbor stunning . this third fourth time stay never bad experience . work - out facility quite nice restaurant up - scale hotel fare . far away nice hotel available low Manhattan . Battery Park City quite oasis largely residential tranquility . stroll along water , might forget Manhattan . staff seem bit obsequious ( Ritz hallmark ) , quite competent helpful , generally well union - job - for - life attitude mid - town hotel employee . now , address gripe previous Tripadvisor review : first , want mid - town , mean stay mid - town instead grouse far away hotel ( be difficult walk couple block catch express train uptown two measely buck . ) second , want cheap breakfast ( meal ) , be go find upscale Manhattan hotel . bottom line , need downtown , Ritz place . 
 Dec 10 2005 	 reminder war - tear beirut 	 first thing first : nobody actually choose stay know NYC . stay everywhere else full . location ghastly , surround building site ( noisy dirty ) least 15 minute cab ride anything interesting ( apart Ground Zero , suppose ) . also , taxi take rank want airport fare only . room ordinary ( definitely 5 * ) small - ish whilst breakfast expensive . certainly would never dinner here . the staff seem resent work midtown brother , show . unfriendly , even NYC standard . for desperado . 
 Nov 23 2005 	 Nice Hotel 	 stay hotel 3 night . room well equip spacious New York . stay 11th floor club level benefit morning buffet breakfast early evening presentation include complementary wine champagne soft drink tee total ! . staff helpful courteous time top mark & quot ; max & quot ; serve club level also concierge arrange limo back airport we . view rise bar balcony great night { little chilly time year } although drink little pricey $ 8 bottle beer tax add . the disappointment food ground floor Restaurant . steak chewy chicken average . $ 150 3 meal drink poor value money would suggest eat elsewhere . whole would recommend hotel would happy stay again . taxi must winter month though ! remember factor cost . £ 10 . plus tip macey ! .Dermot . Jane Laurie Steve . 
 Nov 22 2005 	 first time New York 	 return ( bleary - eyed ) four night stay NYC . stay Ritz - Carlton Battery Park gorgous , really stunning place stay - lovely room wonderful view Statue Liberty lovely sunset ' ve see . side ; concierge mis - inform us location local bar , something would expect concierge hotel - sincere apology . secondly order breakfast room colder side warm - good , especially consider $ 85 ! finally might find location far main uptown attraiction . fact aside great time truly fantastic hotel enjoy thoroughly . room spacious spotless love . 
 Nov 14 2005 	 Delectable 	 recently stay Ritz two night business trip . moment check moment leave , feel power aura create staying . service excellent , staff obliging , furnishing appointment comfortable elegant . well care , money , be worthwhile experience . 
 Nov 8 2005 	 Spectacular ! 	 wonderful facility . tasteful design modern typical Ritz . first class facility locate southern tip City - nice retreat away typical hustle . service top - notch ( try Club Level ) , staff could professional ! make sure request room view Miss Liberty . 
 Nov 7 2005 	 Fool Money ... 	 mean , stay like : - awoken dawn sound backhoe , drill jackhammer construction outside window- inability fall asleep constant hum idle bus across street- Condescending snotty service- Mediocre room service menu price astronomical rates- far away ( e.g. , $ 15 cab ride ) panache action Manhattan- privilege pay $ 400 night , stay Sofitel New York . cheer . 
 Nov 1 2005 	 outstanding 	 second stay Ritz - Carlton Battery Park impress high level service . group us town Breeders Cup Belmont Park . concierge print map direction Hotel Track . valet even ask profitable day bet horse . Executive Suite flawless well large . bed perfect . food outsatnde high mark rise Bar . hotel sophisticated without overly trendy . also stay Four season New York well fine property say confidence New York 's fine Hotel 
 Oct 24 2005 	 Great Hotel ; Out - of - the - way Location 	 excellent hotel , attentive service , out - of - the - way location . upside : room large nicely appoint . bathroom huge luxurious . common area new , clean , lavish . fitness center fantastic -- well - equip room 14th floor overlook harbor . even food pretty good , bit expensive . downside : location , location , location . though near number subway line , much construction area , make difficult reach line . importantly , want take subway , cab part city expensive construction sometimes snarl traffic . fare range $ 20 midtown $ 10 tribeca . expect spend real money taxi way prefer get around . get expense account . Bottom Line : stomach cab fare not mind travel rather considerable distance anytime want eat outside hotel , can not go wrong hotel . 
 Oct 24 2005 	 bad experience new york restaurant 	 go Ritz breakfast near hotel . choice $ 45 buffet something light menu ... husband want buffet want light menu . lot discussion buffet , sit little cove like snack table , dining room . four level corporate governance later , finally decreed could indeed sit dining room cold . salad truly terrible glass ice tea . decide swap iced tea hot tea , course charge .. add 12 tea . honestly feel like hassle pay decide never go ... whatever happen level service could expect 60 breakfast ? bad experience new york whole weekend ! ! ! ! ! 
 Oct 16 2005 	 love Ritz 	 stay one night wife , we love , bit way , nice quiet night , , 14th floor rise bar nice , excellent view statue liberty , drink pricey , expect Ritz Carlton , would go back second 
 Sep 30 2005 	 Bliss 	 husband stay wedding weekend . stay one normal room 1st night move executive suite excellent view next night nicety . room service -- even 2 great -- bit slow . also eat dining room pretty impressed ( foodie ) . service excellent room impeccable . negative location -- convenient downtown event mean tie summer weekend traffic downtown go fro . west Side Highway ? forget ... Battery Park area always construction flood tourist ( sorry ) . Ritz put emphasis service certainly deliver . oh -- 5 - 10 min cab ride SoHo , West Village . beat . can not really walk anywhere low Financial District . 
 Sep 26 2005 	 Exceeded Expectation 	 return surprise 50th birthday NYC weekend complete fabulous broadway show , dinner , boat helicopter ride . stay Ritz add sumptuousness weekend commencing soon check find harbour room upgrade harbour suite . begin delight . room spacious impeccable bed heavenly . spend early evening terrace Rise cocktail delicious ( potent ! ) , food delicious plentiful serve , wait - staff friendly warm . ' ve read posting state price high ; think otherwise give set ambience . room service prompt friendly , food deliver hot tasty . upon return room one evening surprise bottle chill champagne , complimentary 50th birthday wish staff Ritz . Oftentimes high expectation meet disappointment ~ stay Ritz exceed expectation every way already back online book next stay ! 
 Sep 19 2005 	 Discrete Attentive Service Charm 	 book Harbor View room night Saturday , September 3 celebrate birthday Manhattan . send memo via Ritz - Carlton web site request service birthday promptly contact Guest Recognitions Coordinator Nicoletta next morning . recommendation , select rise petal turndown . check - in swift , efficient subtle . friend arrive Ritz prior arrival surprise . treat courteously welcome Rise Bar 14th floor wait . friend later mention enjoy view addition warm attentive service receive bar attendant . receive level service enjoy refreshing glass water ' patio ' area restaurant outside main entrance . area seem popular frequently use . the Harbor View room check immaculate . bathroom , course , spacious . bell staff quick room service assistant promptly bring extra towel request . , pleased . hallway silent be . if make recommendation hotel , suggest bring life lobby . ' recall music , fresh flower plant life . seem small unmemorable . truly receive farewell seem slip front door request cab myself . also , new city … area city course , quiet ! expect spend minute cab . course , low rate Ritz - Carlton location balance well . 
 Aug 29 2005 	 great experience ! 	 stay Ritz 7th 10th great experience ! hotel clean view statue liberty great ! telescope get close look ! add touch turn service nightly music play scenic display tv . calm long day ! staff great around helpful question ! food amazing hotel , consistant quite tasty ! complaint would shower set . almost flush floor , couple flood clean bathroom ! go shop , definately take lot cab walk distance . really downfall ! overall co - worker great experience ! 
 Aug 16 2005 	 Impressed - Spotty Service 	 husband stay birthday August 12 - 14th . stay hotel three weekend past month . well visit previous weekend , thus choose stay time hope good experience special weekend . wrong . initially , excite perhaps concierge plan small surprise ( ie . upgrade complimentary dessert ) call confirm reservation , know exact time arrival acknowledge Birthday . lovely bottle champagne ice husband one previous trip there . no one greet upon arrive hotel carry luggage bellman see we come hotel intercept luggage . check Ann ( pleasant reception clerk ) remember name previous trip . tell husband would something special occasion . give low floor city view look pile construction . across room plate raw salmon shrimp cocktail partially eat . hallway smell . after return dinner later evening , food still hallway bag garbage next another room sit outside . notice drain room clog decide report next morning . after return hotel 4 pm next day , clog drain fix , special amenity deliver , garbage bag morning still front guest room room clean ! call ask room could clean drain fix . husband also inquire separately gentleman guest reception assure we would fix additional special amenity . way dinner , gentleman elevator confirm hotel room number publicly ( must remember husband & quot ; & quot ; item list . return dinner night , plate chocolate cover strawberry room . unfortunately , could eat , warm dinner dessert , least room clean ( albeit haphazardly hastily ) , drain . figure since check morning , would refrain commenting problem yet ! overall , might stay hotel ( price , competitive ) , service majority hotel staff . would think four five star property , something simple unclog drain would go multiple request . bright light stay come Kamlyn Rise Bar . infectious laugh , great demeanor attentive mingle guest . perhaps disappointing stay anomaly , likely stay true 5 star property next time NY . 
 Aug 11 2005 	 Excellent Hotel 	 stay Ritz 2004 New Years girlfriend , treat incredible firework show harbor Statue Liberty back drop . , gifted harbor room broadway show newly wed sister stay past weekend , Ritz staff give complimentary chocolate cover strawberry champagne . awesome all - around hotel . , thoughtful staff ! 
 Aug 7 2005 	 Awesome Views Excellent Service 	 Ritz Carlton Battery Park excellent place stay . crowd tourist like Times Square . also , love hear boat harbor go night ( welcome change taxi honking ) . room decorate contemporary / art deco style shade green yellow , overly modern like hotel NYC . book harbor view room , definitely worth extra money ( go ) . love play telescope ! also , service OUTSTANDING ! tell really enjoy work . Anne another front desk person ( man black hair- forgot name ) exceptional . one thing seperate staff hotel fact actually care want memorable experience . love ! stay next time return NYC ! 
 Aug 3 2005 	 Great Hardware Bad Software 	 pay $ 359 harbor view room , bfast parking include . special weekend rate well NYC price . give hotel five star across board price point . however , Ritz , people travel week pay much , hotel fall short price normally demand . the good : - room large , mine spotless , quality excellent . Housekeeping outstanding.- Service throughout hotel attentive , almost overbearing . family make we feel welcome , even cranky two year old.- Location really great , soho tribeca close hand.- Property new , high quality , upscale . piano bar night great . the bad : - go breakfast Sunday morning buffet set 9am start . clear kitchen resource deploy effort . order menus 8:35 not get food 9am ... waited.- Wife bar Sat night . room aforementione two year old 4 month old . need mommy ASAP ... phone call downstair bar indicate one ... wife whole time ( least tell ) ugly : - check , standard Ritz big - to - do procedure , chaos forgot notice not return license credit card . figure get room . figure room bell hop unload gear- problem immediately get apology front desk via phone . Still- happen.- Got charge $ 100 parking though include . not notice check . call back day later resolve . in short , great property , particulalry not care MidTown ( SoHo Tribeca Walkable ) . prefer location midtown . weekend deal unbeatable . expect true 5 - star pay 5 - star price , may dissapointe . 
 Jul 27 2005 	 Welcome Marriott ! 	 stay Ritz Carlton terribly disappoint ! check quick easy feel talk robot . find true Ritz employee . also lobby dull small . upon enter harbor view room notice huge spot carpet ... apparently red wine . rest room ok feel Marriott .. bland decor . one good thing say bathroom nice ! room service deliver 30 minute quote time find food ok ... Ritz expect great ! Marriott hotel would expect indifferent service bland surrounding suppose & quot ; Ritz ! & quot ; pleasure stay many great hotel , favorite George V Paris high expectation Ritz NYC ... unfortunatly bad experience Ritz 's Washington DC property Buckhead property , never return another Ritz ! stay somewhere great like four season St. Regis NY ! 
 Jul 10 2005 	 Kids Loved Hotel 	 husband 3 kid stay kid love . husband think nice , not sure be worth $ 100 2 hotel ' ve stay . & quot ; maybe one night & quot ; , admit . get harborview room telescope . kid suprise find 12 & quot ; chocolate Statue Liberty room , . kid like bathroom ( separate shower ) extra toiletry provide . also like fact could work alongside Dad fitness center . breakfast expensive hotel never eat . husband say customer service outstanding check , great come time check - out . 
 Jun 27 2005 	 Excellent Choice Weekend stay 	 stay June anniversary . mention front desk staff person call 3 day arrival request early check - in . get everyone seem know wish we happy anniversary . get cab leave , bellhop ask good time anniversary . room great , bed wonderful , bathroom roomy , great view , etc . location seclude , park directly across street , also walk Esplanade along Hudson . Wall St. , 4 different subway line , ferry within 5 min walk . not think stay mid - town . stay , save $ 5 star hotel , catch subway wherever , enjoy NYC stay . highly recommended . 
 Jun 6 2005 	 great Stay ! ! ! ! ! 	 , fly Memorial Day weeeknd friend wedding .. realize also Fleet week .. lack service Ritz .. check check great experience . problem get cab want head Mid- town .. rise bar great way relax head evening town .. feel Ritz Carlton weight Waldorf Astoria landslide .. stay ... thank great trip ! ! ! oh Carmel car service great way get around city .. + service .. 
 May 29 2005 	 wonderful hotel wonderful view wonderful staff 	 husband stay Ritz Carlton Battery Park Memorial Day weekend ( arrive Friday , depart Sunday ) . although hotel busy , never felt neglect . anniversary ; let concierge know send chocolate cover strawberry personalize card . nice touch ... strawberry die ! view room ( Room 1027 ) wonderful ( see attached photo ) . decide order room service Friday set table front window could look dine . food arrive right time good . eat Rise bar Saturday night . view amazing . bit chilly rain stay inside , go outside sit . lovely balcony area sit drink take view bay Statue Liberty . the bed comfortable . bathroom nice size . large soaking tub , separate shower stall , separate water closet . room well common area clean . road construction go outside hotel , never hear hotel . taxi always available line right outside hotel convenience . never wait grab one . love fact hotel little way never feel like apart action place see . taxi ride SoHo around 5 minute approximately $ 7.00 . 's short walk World Trade Center site . 's also short walk area take ride ferry . we definitely return hotel . 's lovely property . 
 May 24 2005 	 Nice hotel little way 	 good hotel . disagree previous review rip hotel . someone claim know NYC , review not show . room average NYC size generally small . appointment nice , staff knowledgeable helpful location tolerable unless spend entire time midtown . contrary early write , cab line . problem get taxi . construction go next door . road around Battery Park mess . experience noise weekday Saturday 9 - 5 city view room . sensitive hotel noise . consider construction end evening , not bad . however , balance location construction need get room $ 350 . , would look somewhere else . especially go midtown day . find Ritz Carltons Four Seasons somewhat stiff term decor etc . expect service restaurant pricey , overall experience fine . one recommendation management , designate one two floor quiet area . prohibit people insist bring offspring stay visit floor . feel peole bring child category hotel looking tell anyone listen stay RizCarlton legitimate otherwise kid . keep away . 
 May 5 2005 	 overprice 	 wife stay 2 child business & amp ; pleasure trip . travel many place throughout world family unit consider well - verse art hotel critiquing . additionally , originally NY , good sense local NY hospitality market . the Ritz Carlton Battery Park new enough lack character general warmth . attribute far away location rather plain service , much also attribute small , low , sterile room ( despite over - hype view harbor Lady Liberty ) .We find price quite high room , basic service , food & amp ; beverage ( decent , worth 100 USD+ lunch ) . also get feel kid welcome ( least view source revenue ) .additionally , watch bellman whistle cab half mile way quite entertaining . hotel line cab . one night , take 40 minute get lobby dinner . overall , hotel good average Marriott , not pay receive Marriott - level accommodation service . 
 Apr 17 2005 	 good dang hotel evr you all 	 hotel good evr ! ! ! ! you all need stay ! ! 
 Apr 11 2005 	 nice place stay be adverse cab 	 return weekend Ritz . able check early give complimentary upgrade harbor view room nice touch . also send chocolate honor anniversary . since time spend Soho Tribeca , cab ride necessary , reasonable ( $ 8 per trip ) . however , midtown easily $ 20 matter time day head traffic distance . concierge desk helpful friendly . rise bar nice terrace face Statute Liberty , good drink decent appetizer . expensive , though , $ 100 drink appetizer platter two . plan Midtown theater , add least $ 50 per day cab tab . look see tourist attraction harbor area go Ellis Island , excellent base . 
 Apr 10 2005 	 special occassion package 	 great time Ritz .. staff perfect . time walk back shop sightseeing- greet & quot ; Welcome Home & quot ; - aspect view & quot ; Liberty & quot ; room service incredible . visit suggest anyone . Limo tour city arrange staff great- ny traffic make use bar . : ) 
 Apr 10 2005 	 Excellent 	 stay mid February four day break big apple . hotel situate low manhattan , near ground zero & amp ; overlooks statue liberty adjeacent Hudson bay . hotel immaculate , accomodate door staff porter everything . room spacious well equip satellite tv , Nintendo mini disc etc . aware though , cheap use facility phone home . make big mistake charge almost $ 30 connect call UK , leave we bill check - out nearly $ 750 . plan eat breakfast room would advise cost region $ 85 two . book hotel flight via Expedia catch bargin region £ 850 per couple include return flight Virgin Atlantic , consider 5 star hotel 's excellent value money . 
 Apr 6 2005 	 Overall Nice experience 	 stay Ritz - Carlton Battery Park two night early April , overall find positive . first check ( government rate ) suppose one back side room face west side highway , nice girl desk , Donette , upgrade harbor view room 6th floor . other note , view really lovely , yes , telescope room well see lady liberty , etc , . eat hotel restaurant Ritz - Carlton restuarant pretty steep , nice amish market block away behind decent expresso place , reasonable . want stay Battery Park area , hotel . three different subway line within walking distance , be fairly straightfoward get midtown Manhattan elsewhere . say , bit trek want spend time 42nd / Broadway area upscale restaurant Upper East West side . plus Chinatown , Village , Soho far away low Manhattan sweet designer bargain outlet : Century 21 Syms within walking distance . also Wall Street sightseeing acce Statue Liberty Ellis Island ferry . hotel newish , clean , mostly quiet , although noise Brooklyn tunnel access unavoidable , room big bathroom soaking tub separate shower , bed overstuff padding duvet , quite comfy . would recommend hotel romantic getaway short business trip . 
 Mar 30 2005 	 View - yes Young Children - 	 great view Statute Liberty hotel bill child friendly , yet would consider charge $ 14 ( tax service ) 2 fun size box Fruit Loops apple juice 4 year old unfriendly . breakfast 2 adult 4 year old , $ 91 ! ! stay 5 * hotel around world child never pay breakfast now . find use bus ( stop hotel ) great way get around city little one love look tall building . Recommend Carmel Car Service , good service sightseeing transfer back JFK . 
 Mar 14 2005 	 great stay Ritz 	 wife stay Ritz Battery Park 3 - 11 thru 3 - 13 . able check 10:00am . great , since fly night . staff professional courteous . Harbor View room unbelievable . worth extra money , order Ellis Island Statue Liberty view sip coffee tea room . hotel locate Lower Manhatten close Battery Park Wall Street . however , reach Midtown Uptown need take taxi ( $ 15.00 $ 20.00 one way ) subway . bowl Green subway ( 4,5 ) station within couple block take within general proximtiy destination Midtown Uptown . rise Bar hotel 14th floor nice Martini 's view unmatched . try food hotel restaurant . would recommend Uncle Jack 's Steahouse ( Midtown 9th ave- $ 12.00 cab ) dinner expensive . area around hotel feel safe , since Park Police around time . Ritz meet exceed expectation .... great stay return cold snowy . 
 Mar 9 2005 	 would stay ... 	 husband stay February 18 - 21 , 2005 . want stay downtown change choose Ritz part package Expedia . slightly worried read negative review website , however , pleasantly surprised . phone hotel ahead time request early check - in since flight arrive 0900 . not guarantee early check - in assure possible could least leave luggage hotel kill time . turn able give we early check - in great . husband mention town anniversary receive complimentary truffle tray first night . accuse overly harsh critique hotel really not anything bad say stay . feel clean , comfortable , safe , view Lady Liberty oh romantic . can not speak quality restaurant since eat hotel , room service pricing bit steep . make Rise bar ' m sure view spectacular . anyone plan stay February , inquire Chocolate Bar , seem decadent . reason might stay ... location . relatively far action midtown . hotel offer shuttle would stay everytime , question . lastly , check - out amish market across street ... great quick snack breakfast . 
 Feb 23 2005 	 Ritzy Ritz ! 	 stay daughter son law . stay 2 night October 2004 . room pricey one not worry gross creature bed etc . : ( room nice . view Harbor beautiful . could see Statue Liberty clearly . subway close - by taxi everywhere . hotel staff friendly remember name . wow ! ! think people like Trumpster get service . Ritz also close lot tourist spot , easily within walking distance . bathroom BEST ! ! ! workout area also great . choose Hotel . glad ! : ) 
 Feb 22 2005 	 stay elsewhere 	 Ritz Carlton chain continue grow , disappoint withthe hotel . exception . room okay serviceleave alot desire . staff well train greeting , etc , thatis . location , review state , poor . needto shuttle service mid - town . favor lookfor hotel . many outstanding hotel NYC thereis reason disappointed . 
 Feb 21 2005 	 Superb Stay 	 many advise would bad choice move hotel ( stay Sofitel also ) , anyway spend last night . outside Ritz - Carlton , Battery Park impressive find room go 14th floor rest building condo . however , inside hotel another story . reception area small lovely . whisk harbour view room 4th floor ( ' sound impressive ) personal butler . room huge gorgeous . direct view Statue Liberty though husband think telescope cheap side ' stop use . bed comfortable amenity nice . order room service son ( pizza , french fry milk ) expensive ( $ 38 ) need bottle milk charge we $ 10 ( ouch ! ) . stay several four Seasons never charge bottle milk . hotel bill child friendly , little sign . twice ask highly tout child ' menu one seem aware . besides find service bit contrive overdone . show two different staff member call husband wrong surname . first Mr. Patel Mr. Albertson . apparently , guest list cheat sheet wrong . never feel service Four Seasons top . location hotel perfect activity plan last day . easily walk Castle Clinton get ticket Statue Liberty . visit Statue Ellis Island walk Ground Zero pay respect become much . NYC US Open 2001 fly home 9/10 . applaud worked area prior 9/11 continue . must hard walk past site everyday . 
 Feb 20 2005 	 Ritz Carlton ! 	 yes , business hotel mean will not surround scream kid see lot man suit ! however , wife spend fabulous 2 night . harbour view room 6th floor magnificent view Statue Liberty Ellis Island . I spend hour watch ship go by . from moment step hotel everything perfect , even ice bucket fill CD resident lounge lizardette playing . MMMMM welcome indeed , although personally could do without ' roar log fire ' tv screen ! think enjoy excellent value hotel calibre . we pay $ 359 per night harbour view , bed breakfast package oh breakfast . the dining room nothing shout ( functional ) food first class . cook breakfast first morning good egg benedict ever taste second . sauce ! waitress really lovely bar staff excellent . cold hotel sophisticated . ' rise ' bar 14th floor busy , lively multi ethnic Saturday night undermine accusation hotel gear white man suit . the park dot interesting statue ( ' eye ' ! ) hotel perfect vantage point tour Statue Liberty Ellis Island . Quiet , Ritz Carlton bed excellent 5 star value . PS : sorry photo , still try find happy medium pixel density ! 
 Feb 18 2005 	 fabulous experience 	 stay three night get excellent weekend rate main hotel website . select city view room , 9th floor , wonderful bathroom . read review worried location , fine - holiday walk everywhere - not problem - infact probably good way see city . would recommend Ritz Carlton without hesitation . 
 Jan 23 2005 	 great hotel 	 r - c BP & quot ; high profile & quot ; NYC hotel . however , peaceful , beautiful lovely place stay . room spacious service great . location great business traveler , bit way explore city . however , hotel great value , especially next comparable hotel midtown . 
 Jan 20 2005 	 Fabulous 	 hotel absolute gem . regardless statement ! room quiet ( 5th floor ) , clean luxurious . staff welcome , competent pleasant . tender every need clinical precision courtesy . the hotel bar quite possibly one good bar world , location bad want stay near midtown . cost $ 10 taxi . stay midtown two year ago , ' notice difference taxi cost etc . area quite night , midtown ! ! ! plus , go everywhere taxi night anyway . there great Deli nearby ( past tgi ' toward Wall St ) amish market must see.10/10 , without doubt . 
 Dec 26 2004 	 disappointing far everything 	 hour research , book Ritz - Carlton instead high profile hotel city positive review read . I say , disappointed . fine , mean 5 star . travel writer , know good hotel see one ! even New York standard , expensive ; in - room dining bill US $ 56 pizza hamburger . tourist warn : three different local taxis add 15 % cost room . it also US $ 10- $ 25 cab ride downtown , ( cost depend much cab driver want rip . ) overall , quality hotel justify stay far away ' from action ' . 
 Dec 21 2004 	 Indifferent 	 friendly check - in , large , well - decorate room , spacious bathroom , comfortable bed , good room service , adequate gym . be business trip serve 's purpose - near Wall St , comfortable & amp ; clean . go tourist think location pretty good - near Statue Liberty , Ellis Island , subway uptown Bowling Green . be nice nightime - desert nothing open , also hard get cab . great deli - Amish market - across street not want pay usual extortionate room service price . I would not pick hotel special occasion though lack character charm . far business hotel go 's fine , can not say would rush go back anywhere else nothing bad , nothing outstanding either . stay downtown look place sleep Millenium Hilton well value money . want special spend $ 300 night somewhere else . 
 Nov 16 2004 	 Service Good Boring 	 Staff excellent professional . however , hotel completely lack character . room large large bathroom . wonderful shower might add . however , modern cool way . nothing hip . rise bar great view . , look like banquet room . food nothing special . Room Service late , cold , miss item . use stay Regent Wall Street even well bathroom 10 time character . impressed . would call nice Marriott . 
 Oct 17 2004 	 nice ! 	 let add positive comment . stay four night Harbour View room October 2004 . room good size , even though fourth floor , excellent view . bathroom large , full marble , separate door toilet separate bath shower . one buffet breakfast hotel well present lovely dining room , well value day go amish Market store / deli / cafe two minute walk away . transport issue . may bottom island , express subway line take midtown 5 - 6 stop . only criticism : slightly worn carpet , dvd player , plasma tv ( new hotel ) small public area ( shop etc on - site ) . 
 Sep 28 2004 	 lovely far everything else 	 stay early month business trip . 's lovely hotel . harbor view alone almost make worth stay there . I would definitely recommend hotel anyone meeting Wall Street area , whose bill pay corporate expense account . hotel will not work family vacation tourist , especially give distance major attraction NYC . hotel far everything except Financial District . plan shop dining outside area , realize ' $ 15 taxi ride anywhere midtown - one way . even get around Lower Manhattan dicey cabby not always familiar byzantine layout street . certainly try subway , station several block away street grid pattern ( easy get lose ) . walk back hotel late night scary . try get & quot ; high & quot ; floor avoid noise street . hotel part Ritz Carlton go 14th floor . remainder tower residential separate entrance . hotel great window , hotel sit directly exit ramp Battery Tunnel West Side Highway . be noisy . 
 Sep 1 2004 	 Beautiful Hotel 	 stay RC first wedding anniversary . get great deal harbor - view room accomodation really beautiful . one complaint . . . upon departure hotel , wait one hour valet retrieve car - horrible ! 
 Aug 4 2004 	 beautiful hotel ! 	 first , hotel really one beautiful hotel find New York . location heart Manhattan , really afford give hotel space money . bf stay anniversary , service receptionist valet extremely pleasant . one thing , wait hour half room ready .. unlike reviewer , drink house ! also , request room high floor , put onto 5th floor ... disappointing . room however , . Bathroom Gorgeous spacious ! even give complimentary plate chocolate . overall experience pleasant , despite con . definitely one good , value money hotel NYC . 
 Aug 2 2004 	 Service staff excellent thing inconsistent 	 overall , staff courteous helpful . however , would rate hotel 4 star , 5 several reason . first , room service quality inconsistent . service always good , food quality range so - so great . restaurant downstair consistently good . second , number time stay charge mini - bar charge incur . keep eye bill . third , matter many time ' ve raise mini - bar issue continue happen . hold high standard Ritz Carlton 's , one fall little short . 
 Jul 17 2004 	 Fabulous ! ! ! 	 stay attend wedding . arrive , receptionist inform we type room reserve overbooke . upgrade room suite ! ! ! however , suite ready . instead we wait lobby , personally escort we hotel bar great view Statue Liberty . room ready , receptionist come get we , tell we drink order house . needless say find service hotel first rate . moreover , suite exceptional . 
 Jul 11 2004 	 wonderful ! ! ! ! 	 hotel excellent every way possible . staff helpful kind . also love location , view Hudson River breathtaking . subway also easy get ( 3 min . walk ) . come back NY surely stay hotel . 
 Jul 10 2004 	 A+++ 	 excellent location -- -- -- great service . great brief family getaway ! 
 Jun 10 2004 	 uncare disorganized service 	 stay hotel fora business trip . welcome great , go downhill ... breakfast morning arrive 20 min late twice meeting really could not late . ROOM dine disaster general , selection limit , would not return call , would not bring extra ask for . they do not transfer call ( tell office ) make room . carry document , bag , suitcase do not open door several time . staredTHe doorman NY anytime ask anything , reply fact ... need cab since hotel far everything seem , valet rude , say would wait unpleasant caring manner . I stay several ritz carlton worldwide , especially travel business , do not want think problemsdont pay bad service , room nice , worth 
 Jun 3 2004 	 agree everyone else 	 return 2 night stay -- truly fine hotel . service outstanding moment arrive . husband 's special birthday mention reservation request . treat royally -- personal greeting , champagne cake ! slight flaw one concierge appear know water taxi service . minor compare everything else . 
 Jun 3 2004 	 good hotel . decent location 5 star ? 	 arrive May 28th check standard room , book though expedia & quot ; special & quot ; rate . * not * get FAO Schwarz bear part Ritz - kid club , booking not qualify . no - one tell we book . big deal really , be something may wish bear mind ( pun intended ) opt cheap rate , especially ' ve already tell kid be get one ! open curtain 4th floor room greet nice road maintenance work . noisy day , complaint evening . advice would ask room high possible , be good advice anywhere Manhattan , : - ) see review post hotel regard upgrade room , think would give try . joy . phone reception ask room upgrade . hold 10 minute give . professional . 2nd time call , girl reception tell not available time , worry , would get back let know . needless say , never . expect to . I ' m sure everyone rave wildly hotel . ' ve stay 5 star hotel year , one not anything spectacular . personally , would give 4 star , 5 . not really negative issue problem hotel , really not anything wrong . be really not special ... 
 Jun 1 2004 	 Ritz - Carlton Battery Park NYC - PERFECT ! 	 new husband return spend honeymoon New York City , stay Ritz Carlton Battery Park . staff hotel absolutely perfect moment arrive leave . one doorman would even remember name welcome we back would come back day city ! Champagne chocolate - cover strawberry room first afternoon . room gorgeous , would provide we slipper turn - down service . beautiful view statue liberty , order room service one night harbor backdrop ! husband get steak , say good have ever taste ! spoil hopefully able return point stay . would definitely recommend . whenever say & quot ; thank , & quot ; always say & quot ; pleasure . & quot ; really feel way ! 
