boutique 	 special atmosphere , moment welcome friendly professional staff happy help request matter small . Hotel Rex great location near action ambience special load personality character often lack multinational hotel . normal room small , brightly decorate eclectic style . big day San Fran wonderful relax bar glass complimentary wine - Fridays string quartet follow jazz ensemble ! ask room high level senstive traffic noise . 
 Fabulous ! 	 stay Hotel Rex four night early November . check staff extremely helpful friendly find staff high calibre . deluxe double double room find plenty big enough even case lay floor . bed comfy shower wonderful . would ' ve like coffee maker room complimentary tea coffee available bar area morning . also , miss complimentary breakfast . Cafe Andree , next door , serve breakfast quite pricy comparison local restarant . complimentary wine evening great though ! hotel great location , block Union Square cable car station adjoining street . hotel staff great recommend tour restaurant . would recommend Lori 's diner breakfast great coffee Puccini Pinetti dinner . overall , would recommend Hotel Rex stay wonderful city . 
 Nov 24 2005 	 get bad start overall happy stay 	 stay Hotel Rex three night . arrive , tired long flight lot luggage well two small child , doorman evidence . husband end carry luggage stand sidewalk kid , try prevent getting run . unhappy , especially bag steal somewhere airport hotel suspect happen thus distract . complain member staff front desk admit doorman couple thing ' wrap ' help we . however , think bad luck slack Sunday staff staff encounter rest stay unfailingly polite helpful . the room initially give ( 202 reader want avoid ) far ideal . pay high rate ' deluxe double double ' would room four we . however , room cramp dark . also extremely noisy . end corridor room either side could hear literally everything go adjacent room ( will not go detail ) . disturb night ask next morning could move give key room high floor light , large quieter . much happy room hotel 's responsiveness request . young daughter lose one doll stay staff helpful help we look it . the rest stay pass without incident satisfied quality service receive . hotel pleasantly furnish seem reasonably good value downtown San Francisco . 's handy shopping two BART station nearby . enjoy branch Lori 's diner street . I would definitely stay Hotel Rex , try avoid arrive Sunday ... room 202 . 
 Nov 22 2005 	 great boutique hotel ! 	 charming boutique hotel delightful moment arrival moment departure . easy get car use valet car whisk away duration stay . hotel conveniently locate walk everywhere . hotel european feel good design element everywhere . color choice unusual , elegant , restful . paint lampshade everywhere give hall room whimsical feel . room smallish crowd crush feeling . bath large ... almost vacant compare room . interior side build quiet - view course , view readily abundant city . like wine lobby evening . lobby like private club - nice inviting . stay Hotel Rex ... fact , & quot ; & quot ; hotel ! 
 Nov 16 2005 	 good value money 	 wife stay weekend shopping trip city , satisfied . close Union Square shopping , staff friendly helpful , room good -- firm bed hot powerful shower . like room SF , quarter tight , especially bathroom . caveat stay room face street , night noise little disturbing . one night street repair , something hotel control . overall , good choice , especially consider price . 
 Nov 9 2005 	 Best Bet San Fran ! 	 wife travel way Bahamas San Francisco conference / vacation honestly say feel home Hotel Rex . not let name fool , & quot ; dog & quot ; hotel . Rex actually short Kenneth Rexroth , famous poet author ; coincidentially , impressionistic art literary art theme around charming French Boutique hotel . wine reception lounge every evening great way relax gear dinner evening town . Cafe Andree , ( name Rexroth 's wife , Andree Dutcher ) hotel serve excellent food . business center , like private study , plus traveler wish stay touch want drag laptop around . hotel clean housekeeping excellent . however staff play good part trip . staff answer question , offer concierge service prediction would need . stay four five star hotel could staff take lesson staff Rex . really hope trend continue staff ( accord review read Rex , think expect continue ) . parent company hotel , Joie de Vivre Hospitality , proud . thank staff . make great experience . will see next time San Francisco . sincerely , Chris L . 
 Nov 5 2005 	 warning priceline bidder ! 	 priceline bid two room Hotel Rex , bid several month stay . immediately call hotel confirmation number , confirm book two room , one queen bed . upon arrival room , couple party trouble checking - get nice roome 7th floor queen bed . try check room , could find record reservation - , course , impossible give bid room one time . try explain much , desk clerk actually tell calm . figure 's long line work first reaction screw - up hotel tell customer calm . manage determine actually reservation , stick we tiny room second floor one double bed . conveniently locate two step stair elevator , could hear everyone come go . single - pane glass window also allow we hear everything go street , second floor location put right eye level street light , nice bright room night long . moral story- hope not & quot ; win & quot ; hotel priceline- call ahead confirm reservation not actually mean reservation exist get there.- lose reservation , be allow reaction situation.- not book hotel one person fine idea end double bed.- end hotel anyway , try pursuede desk clerk put high floor , ' m sure would help immensly noise light street . 
 Oct 27 2005 	 Pleasant Hotel 	 book Hotel Rex due review website . book hotel telephone sheer pleasure . gentleman incredibly helpful answered question accurately quickly . walk hotel , misgiving amount traffic outside , centrally locate . request quiet room , light sleeper long - haul jet - lag throw . give room 6th floor face road . however , traffic noise high bother much quieter night . the check - in staff friendly , knowledgeable professional . ticket SFMOMA ready answer query go etc . provide map remind we complimentary evening glass wine . the room look slightly run - down gather SF standard ( 3 star hotel ) place really quite good . bed pillow cosy comfortable room well clean every day Aveda toileterie renew every day . need raid expensive mini - bar nibble great cafe find Sutter St. Breakfast cafe next door include booking . good value money alternative meat - pack american breakfast provide . however , second day , breakfast take 30 min arrive cold front door keep open , wish put coat sit table . I would definitely recommend hotel stay . summary , staff outshine slightly run - down decor vibrant , central excellent hotel . SFMOMA package particularly good . 
 Oct 12 2005 	 Rex well ! ! ! 	 Hotel Rex -- 562 Sutter St. -- downtown sfofor small hotel & quot ; hotbed & quot ; hotel San Francisco , never treat well Hotel Rex . moment check - in , & quot ; southern hospitality & quot ; experience southern boy . location great ..... staff desk , service staff , fact , people make feel home . wife , food person , make aware restaurant -- excellent ! , beverage person , love people staff bar -- music Friday night great . as say letter -- - good thing say ... & quot ; will back ! & quot ; 
 oct 4 2005 	 Charmed Hotel Rex 	 husband spend anniversary Hotel Rex near Union Square San Francisco . great location , right center everything yet step inside quiet calm . interior rich full book artwork . staff helpful , quick friendly . know anniversary get special treatment . two free glass champagne bar , upgrade suite 7th floor , bottle champagne tray snack special note welcome we . special treatment help make weekend memorable . 
 Oct 1 2005 	 touch european flavor 	 want touch european flavor flair , stay ! wife travel Europe 35 year Arctic Circle , Spain , Greece point staying hostel , hotel , dump , dive , luxurious . walk Rex definitely pleasure sight , sound , style remniscent european attention small disctinct pleasure life simple experience typical large & quot ; cookie cutter & quot ; chain hotel dominate landscape accommodation domestically ; small intimate nice ! interestly enough , large contingency scandinavian physcian stay Rex too . we enjoy complimentary wine evening great egg scrambler morning Cafe Andree ( French - latino cuisine fusion ) . 
 Sep 25 2005 	 could live Rex ! 	 make great hotel experience ? opinion 's personal comfort level , suitability accomodation purpose well exemplary customer service , kind service anticipate need fulfill graciously . my business partner meet SF several time year day . three year ago lucke upon Hotel Rex . remodel not complete thing little crazy room perfect cozy hang business planning - spacious , arty literary furnishing - staff bend backwards compensate inconvenience . forget toothpaste none front desk - oh well - knock door came shortly stand hotel night manager bring we toothpaste ! hook ! since , remodel complete , Rex turn cosmopolitan home - away - from - home- stay 10 + time . restaurant fabulous , menu smallish , food impeccable ; bar downstair lounge perfect relax entertaining client ; staff little turnover remember we name treat we like family . the Rex boutique hotel - slick , high - end , luxury hotel . 's crave , try W St. Francis - wonderful . want place kick shoe 's close perfect location amble around City leave refresh happy , Hotel Rex place . 
 Sep 22 2005 	 friendly 	 staff friendly helpful . location fantastic . several coffee house close close Union Square . parking good . wine hour special treat . small room , spend much time room San Francisco . cd player CD 's nice touch . access 101 280 easy . would definitely stay . 
 Sep 20 2005 	 Adore hotel ! ! 	 stay Rex first visit San Francisco absolutely love ! location excellent , service warm reliable hotel comfortable stylish . check one appreciate unique hotel load character . 
 Aug 31 2005 	 Charming convenient nice price 	 boutique hotel artistic flair great location heart San Fran . loved wine happy hour , Aveda product , bath robe clean , unique room cd player . staff friendly attentive . hot water problem room day , staff quick try resolve , successfully . ( apparently , hit switch ( day ) activate hot water ) . room small , view , price really quite good . slight smell smoke non - smoking room . 
 Aug 19 2005 	 great place Union Square ! 	 husband stay last weekend honeymoon . beautiful hotel ! entire staff accomodate anything need moment walk door . room little small , nicely decorate , clean comfortable . highly recommend breakfast Cafe Andree ... delicious ! SF favorite city return stay . location fabulous ! 
 Aug 17 2005 	 wonderful place 	 wonderful place stay , staff friendly helpful , location wonderful powell even block away . room clean turn service aveda toiletry wonderfull , quiet quaint hotel ... love would stay . 
 Aug 6 2005 	 Benchmark Hospitality 	 fiancee fly SF Canada extremely impressed decorum class hotel . elevator completely cover page old book , complimentary Aveda shampoo ( fiancee particularly fond ) , timely valet service , exemplary service , stay Hotel Rex make stay SF flawless experience . base price , hospitality , location , would highly recommend hotel close friend hesitate stay again . Jim GintherSaskatoon , SK , Canada 
 Aug 3 2005 	 Hotel Rex Wonderful 	 usually make hotel reservation Priceline . know expect arrive Hotel Rex . arrive , hotel staff wonderful . girl front desk friendly informative . tell hotel area . room clean bed comfortable . unpacked , go back lobby relaxed complementary glass wine . front desk give map area . thrilled use car get around . within walking distance everywhere want go . China Town two block away . walk one block catch trolly car . great place eat lot place shop area . overall , great time Hotel Rex . would definitely recommend hotel . 
 Aug 3 2005 	 love Hotel Rex 	 fiance stay Rex end July , great experience . attend conference around corner Westin Union Square , bit pricey , even conference rate discount . book room Hotel Rex website , manage get deluxe queen 119.00 / night choice free breakfast parking . since rarely eat breakfast , hotel area charge least 35 - 40 / day parking , opt latter . staff extremely friendly welcoming . happy check we hour early ( exhaust early morning flight DC ) , seem like jolly bunch . room small side ( typical city hotel ) , perfectly adequate , wardrobe / closet , desk , minibar , chair , comfortable queen - sized bed . ( great cotton bed , . ) though not really hot enough A / C , would leave heat wave DC mood cold , room 's window unit trick . ( not usually care much window A / c unit , one new work really well without loud . ) room 's decor charming ; interesting art room bathroom , unusual lamp , wonderful uniqueness place . appeal cozy . bathroom old , perfectly functional spacious . nice thick towel Aveda tolietrie welcome touch . room extremely quiet -- never hear guest , though place fully book -- every staff member deal , check - in staff bartender maid , friendly . 's cute little bar call Vicious Circle ( hotel literary theme ) downstair , guest invite free glass wine 5 6 night . not eat restaurant , menu look interesting affordable , place seem good business . would definitely stay . location excellent room great . 's charming place . ( theatre cafe across street great morning coffee cheap internet access , delicious lunch Cafe Persimmon next door Rex . load bar , restaurant , coffeehouse , diner , shop immediate area -- 's heart theatre district -- be convenient . enjoy ! ) 
 Jul 23 2005 	 great value 	 's doubt great value Union Square area , can not really go wrong hotel . say - review hotel seem little overdone . sure , nice little place , be nice , touch let reading review . the public space hotel pretty dark little worn edge , tell 's old buildling . Athough 's redone , dark lobby / bar area look like hip cool hangout 's little past prime . still , be nice enough place get drink sit . our room clean comfortable , kitschy touch look Joie de Vivre Kimpton hotel chain . whatever reason , room slight bizarre odor - almost like smoker 's room never aerate fully . bed comfortable , homey bathroom look like could someone 's house rather hotel . overall , fixture room nothing special reason , expect little bit ... new ? nice ? give price room , right expect . GREAT value , would probably try another hotel area , recommend anyone look Union Square room $ 150 per night . 
 Jul 22 2005 	 great little hotel 	 first trip SF , choose Hotel Rex base largely upon review site , disappointed . location , many reviewer mention , excellent . close enough Union Square easy convenient , yet enough edge neighborhood quiet non - bustling . artsy , literary motif pleasant relaxing , room cozy inviting . jazz cd room nice touch , decor interesting attractive , bed one comfortable ' ve experience hotel . not interact much staff , though helpful friendly whenever engage . onsite restaurant serve great breakfast , though not eat dinner base limit menu . no place perfect ... easily overlook tiny elevator , noisy air conditioner , sound garbage truck street 7 , one complaint .... note staff : please clean pile cigarette butts fire escape outside bathroom window . ' m come back next year make sure ' ve do ! ! 
 Jul 20 2005 	 wonderful excellent perfect love . 	 hi everybody : never take time write review Hotel Rex deserve . live Mexico , anybody be know Mexico excellent service like treat well . go parent stay one two suite hotel , incredibly large , bed wonderful , pillow excellent , service ohhh God , concierge excellent get we reservation dinner every night short notice like Zuni Cafe really nice place . Breakfast Cafe Andree delicious , well time eat great , turn service every night , complementary wine every night , really attentive staff . can not even begin tell enjoy stay , decoration ecclectic somewhat odd 's fun . hotel conveniently locate block away Union Square , middle theatre district , close everything . parent reccomend everybody ! ! Hotel Rex sure bet great stay San Francisco ! 
 Jul 14 2005 	 Excellent experience ! 	 cut hotel ! husband stay weekend get away anniversary . love literary theme , decor nice . room little small , common SF . clean love two jazz cd 's provide room . restaurant magnificent -- highly recommend portobello mushroom egg benedict thing . 
 Jul 7 2005 	 Pretty Good 	 Finding hotel SF tough . see good review give try . price ok , bear mind parking fee $ 40 / night . typical SF , not get upset . later find parked car street ( cover dew , flower petal ) , someone get pretty good deal ! room small , clean , look like recently remodel . location key selling point . 3 block Union Square , 3 block chinatown gate , pretty safe nighttime walk either direction . 2nd floor , must admit considerable street noise ( glass bottle recycling seem occur morning stay ) , hey , expect downtown hotel ? not spend much time hotel sleeping , staff seem nice , restaurant look good . 
 Jul 6 2005 	 Excellent stay great price 	 stay Hotel Rex weekend getaway impressed . staff outstanding , assist we request . Rex Hotel locate central everything would want see either foot San Francisco 's famous trolley . reason would give Hotel top billing room slightly small modern hotel price whole lot small well worth minor comprimise . Rex style 1920s literary lounge fulfill ambiance exquisitely quiet lounge / bar area host nightly wine tasting . Rex Hotel big part make short trip one good weekend excursion wife take , ' ve quite . would highly recommend hotel couple look wonderful getaway nice ambiance great location anything town . probably hear review , leave car home possible not bother rent . parking expensive public transportation cab well deal . 
 Jul 5 2005 	 well expect 	 Rex Hotel excellent . usually stay another boutique hyatt , call hotel direct , gentleman give great rate , excellent quiet room , wonderful service . arrive welcome smile wine anniversary . love everything place . 
 Jun 27 2005 	 good stay San Francisco 	 spend night Hotel Rex 2 year anniversary good anniversary ever . hotel magnificent service world . lovely evening hard drag away hotel . room beautifully attention detail incredible felt enter another world . new anniversary room little package fill chocolate Champaign great . the hotel make reservation we restaurant Café Andre . restaurant feature Franco - Latino cuisine experience undesirable . food well ever quality taste incredible . restaurant big intimacy evening experience always stay . would definitely recommend Hotel Rex anyone see side live like . hotel warm ambiance staff extremely friendly helpful . thank great evening . 
 Jun 27 2005 	 great little hotel 	 Rex delightful boutique hotel , well locate couple block away Union Square . King Executive room spacious comfortable . room equip usual amenity , decor funky & amp ; interesting . staff hotel friendly attentive . , great place stay anyone want centrally locate hotel sensible price . one minor niggle , could take 30 minute get car back valet parking , although fairness hotel , make clear check - in . 
 Jun 21 2005 	 nice boutique hotel ! 	 Hotel Rex nice hotel we stay past week . front desk concierge friendly . room view , bed overall accommodation perfect ! highly recommend -- 4 - star property ! 
 Jun 21 2005 	 Hotel Rex great 	 husband stay Hotel Rex San Francisco twice . time happy everything hotel . isin great location Union Square ; art gallery samestreet easy walk Chinatown . the room clean , bed comfortable , art anddecor beautiful . elegant bar lounge . the attached restaurant / bistro excellent . food delicious isnot expensive large luxury chain hotel . the staff member provide one - page guide walk , shopping , food , etc . city . use one guide , go great walk throughnorth Beach hill Embarcadero first visit . thisis great hotel friendly staff lot character . 
 Jun 15 2005 	 dreadful ! stay elsewhere ! 	 phone work . air conditioner work . tv remote work . put smoking room . bartender exceptionally rude . wait hour room service . food nasty . drunk woman pass hallway ( ' m make ! ) . Nicole , front desk , unconcerned completely indifferent . bright spot John , concierge desk . timely assistance great sense humor , maid stay tolerable . 
 Jun 10 2005 	 write glow review ? ? ? ? 	 think must write someone work . spend entire night there . it begin drag suitcase front stair get hotel ( luggage ramp ) . not bring whole family will not fit elevator . I housekeeping change entire bed stain every bit linen . ' m write review midnight room dusty throat close . yes , try check . tell would charge room anyway . clearly not care be happy be here . the decor ecclectic -- fine . be tired , not calm environment . yes , may get good rate room , aware charge nearly $ 40 night park . fairness typical S.F.But really feel disclose . the Hotel Rex idea ideal place stay , ' m one entire series & quot ; glow review & quot ; . 
 Jun 5 2005 	 great Accomodations ! 	 wife fabulous time Rex Hotel San Francisco . the hotel intimate quaint decor do extremely well ... give homey feeling . the hotel personnel accomodate friendly ! location great ... everywhere wanted go close could walk catch short cab cable ride . the cd player room well honor bar nice have . we love wine get together night ... bar take really nice family feel hotel guest lounge around relaxingthe complimentary & quot ; Golden Gate Greeters & quot ; program highlight stay ... could believe tailor make tour base personal taste . guide Rick excellent really make we feel home ... answer question give we great historic perspective great city ! Chuck & amp ; Akemi Honolulu , Hawaii 
 Jun 4 2005 	 highly recommend hotel ! 	 hotel provide great service amenity ! take care we restaurant reservation store luggage go sightseeing . highly recommend hotel ! 
 May 28 2005 	 Great Location ! 	 Hotel REX provide great location ! be half block cable car line . I recommend hotel shopper people want feel beat City . love unique style , decor service Rex . highly recommend ! ! ! ! 
 May 26 2005 	 great stay Great Hotel 	 recently stay Hotel Rex friend 's wedding . hotel locate near Union Square within walk distance main spot San Fran . hotel small , cozy , quaint . service exceptional , people front desk bell hop , anything need take care . nice touch offer car service airport ( cheap taxi ) . would consider stay hotel next time visit San Francisco . 
 May 23 2005 	 's charming hotel 	 Hotel Rex delightful charming photo website . hotel small expect , create warm friendly feeling . hotel staff excellent , Cafe Andre pleasant surprise . remind restaurant San Francisco ! one big bonus -- room quiet . chance , take advantage Golden Gate Greeters Program . good time guide . ' ve attach couple photo interior City Hall , one building tour . would hesitation stay recommend Hotel Rex friend . 
 may 21 2005 	 Rex place stay ! 	 girlfriend get back stay Rex . live jazz , free wine , great amenity -- good place stay ! 
 May 13 2005 	 Great Hotel ! 	 Awesome Hotel ! ! ! ! ! ! 
 May 10 2005 	 great hotel S.F . 	 get back San Francisco enjoy stay boutique hotel call , & quot ; Hotel Rex . & quot ; be locate Union Square , near shopping district theatre . hotel great lobby offer complimentary wine hour every night . good thing provide home away home . 
 Apr 28 2005 	 Perfect ! 	 stay Rex 3 night think wonderful ! friendly staff , quiet room even though face onto Sutter Street , huge comfy bed , step away Union Square . not try hotel facility would definitely recommend ! 
 Apr 27 2005 	 happy stay 	 return 3 night stay Rex . originally plan stay Serrano find great last minute deal Travelocity Rex . glad end Rex , especially like location . last visit Warwick ( good w / kid small & quot ; suite & quot ; ) . warwick area definately fringe ! serrano even fringe ... rex couple block away feel much safe . enjoy hotel . room extremely clean . bed comfie A / C . view look bricke courtyard ( view ! ) give we really quiet room & amp ; lot privacy . front desk friendly maybe knowledgeable place go ( include restaurant , shopping , transporation issue ) . enjoy lounge & amp ; afternoon wine . Cafe Andre really good & amp ; reasonable ! great breakfast . go dottie breakfast - not seem good last time . take BART SFO . easy & amp ; cheap ! leave 6 am BART & amp ; kind nervous since dark problem . highly recommend BART . also ... dinner fantastic place call Cafe Zuni . good ! ! ! fun vibe . take bus cabbe back hotel . good place : Marios Bohemian Cigar North Beach . quick drink & amp ; split foccacia sandwich . good . take ferry Sausalito . nice trip ; avoid Scomas ( sp ? ) overprice & amp ; fair food , good . go Thirsty Bear : good beer , ok food ; pipperade great small place Battery Street - enjoy evening . walk along Union Street fun lot cute shop ( pricey , though ) . terrific weather able walk everywhere . bus easy , though . overall , Rex great place . stay . good location , great price , great room ( luxe , clean , cute & amp ; comfie ) , friendly guest & amp ; staff .... 
 Apr 19 2005 	 Hotel Rex -- Best keep secret 	 Shhhhhh ..... Hotel Rex well keep secret San Francisco . hide gem , quaint , romantic , practical , truly home away home . staff make feel home . 
 Apr 17 2005 	 leave Heart San Francisco .... 	 fall love hotel ... several week train new employer Los Angeles , ready start call new account San Francisco . begin new job many thing unfamiliar & quot ; new & quot ; . new product , new client base , new territory new San Francisco . trip like overwhelming exhausting sensory overload . Hotel Rex , give place character , charm , comfort familiarity . explore city every opportunity , recharged soul comfort wonderful room . find decor perfect image hotel great reflection city . Hotel Rex assemble group people love job well . favorite time , love delicious breakfast daily room prepare yet another & quot ; new & quot ; day . thank , Mike Sand 
 Apr 17 2005 	 Rex ` ` KING '' boutique hotel ! 	 love Rex ! staff front desk restaurant friendly efficient . family stay three night ' ve never receive personalized service hotel San Francisco stay . high speed internet lobby great ! lobby bar much character even live jazz Friday night . complaint white zone small us park . anyway , highly recommend boutique hotel . 's good City ! 
 Apr 10 2005 	 WOW ! good Hotel experience ' ve ever 	 wife honeymoon San Francisco experience incredible . wife book Expedia.com really attract & quot ; Modern & quot ; look Hotel Rex . arrive excellent location ( block shopping store ) , every one hotel staff friendly ready answer question . never rude always willing go way help we . mention front desk honeymoon return Dinner bottle complimentary bottle champagne & amp ; note wish we well . thoughtful . anyway , wife really enjoy , , modern look Aveda Toiletries ( shampoo & amp ; soap ) . every evening 5 - 6p free glass wine guest . really can not think one negative thing Hotel Rex . small hotel personal service ... can not get well . next time go San Francisco sure book reservation Hotel Rex . 
 Apr 7 2005 	 Royal treatment Hotel Rex 	 return great stay Hotel Rex San Francisco . Fabulous Art Deco interior touch , great quiet room , helpful staff , terrific breakfast Cafe Andree next door ... Annie gem .. ask caapucino ! check hand paint lampshade , cool print original artwork , clubby bar color scheme . highly recommend . 
 Apr 7 2005 	 Hotel Rex attitude ! positive one ! 	 check Hotel Rex blow away nice attitude staff member , room cleaner manager ! hotel locate block shopping area . 's small hotel , big amenity . nice lobby bar quaint cafe . staff greet we every day . room clean nice smile . new manager introduce offer we choice newspaper read morning . will definitely stay Rex . 
 Apr 5 2005 	 Loved Hotel Rex 	 family , two adult two teenager , recently stay Hotel Rex 562 Sutter Street San Francisco . one - bedroom suite pullout sofa , one full bath another half bath . drive 10 hour day arrive late Easter night , greet warm accommodate front desk bellman treat ! ! ! ! , husband offer complimentary glass wine ! room nicely tastefully decorate original art work gorgeous fabric linen . great night sleep , breakfast Cafe Andree first floor . fresh croissant pastry melt mouth . also welcome great pot coffee . family thoroughly enjoy stay Hotel Rex would certainly return recommend whole heartedly . 
 Apr 5 2005 	 great value 	 room ok greatthere well restauarantsTHE STAFF SUBERB . feel like home . 
 Apr 2 2005 	 Rex Rocks 	 Hotel Rex always first choice return SF , plan often possible . staff amazing . think be lose another time , time people actually take pride little touch . Smiles , manner , helpfulness , truly think have fall hit head dream : ) room : clean clean clean . spend past 15 year life hit NYC vacation , small room not bother frankly , hello , large bathroom show joint priority order : walk day night hill want ? good long soak . peace quiet cool tile . plus , value terrific . location : perfect . walk everything could long walk another step could least limp cab cheap . restaurant : quite fantastic hooked feature wine month ... ' m try figure move whole family Santa Cruz Mountains without lose income . Hurrah Syrah . one tiny gripe : slowwwwwww room service . tour book ungodly hour 8:30 a.m. SUNDAY morning pre - ordered room service breakfast . half hour late , yummy food world . say , Rex coffee dynamite will forgive lot coffee good . get fast , be ask .... couple straight gay : place . partner already decide honeymoon Rex , . 
 mar 30 2005 	 great place stay 	 location GREAT ! staff friendly . room adequate . would definitely stay would highly recommend . 's nice change big hotel . happy hour every night 5 - 6 even enjoy kid ( get Shirley temple fruit drink ) . check tripadvisor people say Hotel Rex ' m glad pick . 
 Mar 26 2005 	 Rex Hotel King 	 stay Rex many time always find staff friendly , capable pleasure deal . great location , edge Union Square , theater Chinatown . hill climb ! rex funky , fun not miss afternoon wine hour . special feature two suite top floor . accomodate four guest bedroom living room quite large . suite contain 1 1/2 bath certainly add comfort . computer room two computer , printer rarely busy - 's free . 
 Mar 25 2005 	 Comfort 	 4 night stay Hotel Rex exceed expectation . lowdown : Location - Perfect . Rex close Theater District Union Square , remote enough not feel like tourist . access cable car bus great . major downtown sight easy walk . also , Bart train far ; not mind walk 4 block not ton luggage , recommend use Bart get Rex airport . atmosphere - polished serene , european feel minus & quot ; attitude . & quot ; small , immaculate room second floor completely silent - absolutely view , really not care becase decor lovely fun . nice size bathroom . somehow , lucke window air conditioner , sure room this . service - Front desk staff attentive hardworking . Cafe Andree great food surprisingly low price . even room service inexpensive . business center convenient ( charge ) , room promptly clean every day . price - $ 175 per night book Rex website , receive voucher full breakfast morning ticket Asian Art Museum . well worth , regret . lastly , mistaken , chain own Rex maintain headquarters directly across street hotel . serve incentive keep hotel run smoothly , sure work ! 
 Mar 21 2005 	 Rex wonderful 	 Rex , great downtown location friendly staff , enhance San Francisco trip , especially like jazz . even though day stay busy staff , consistently pleasant hard - work . help create friendly , salon - like atmosphere hotel lounge . wine reception every evening add feeling festivity . room little warm , though , might want ask staff locate cooler section hotel . lie back , enjoy jazz CD 's provide room , feel like value guest . way , Andre Restaurant hotel serve interete food price guest appreciate . chocolate truffle tower definitely worth try ! 
 Mar 20 2005 	 want stay ! ! 	 husband attend academic conference stay Hotel Rex 3 night , begin March 16 . love hotel ! pro : 's middle town ( 2 block Union Square ) quiet ! ( recently stay New York , another hotel situate similar area .... extremely noisy ! ) . room Rex lot character , & quot ; cookie - cutter & quot ; , corporate looking . housekeep great . everything spotless . business center lobby 2 computer printer . concierge excellent . call arrange transportation Oakland Airport ( 20 - 30 minute ride Sat morning ) . plan hire well - know shuttle service area . concierge tell we shuttle service choose reputation show suggest alternative service actually less expensive dependable . way , Oakland Airport great alternative SF Airport . the Rex give additional discount find low rate offer website . find low rate hotel honor agreement ( $ 114 / night ! ! ) , problem . con : 2 minor complaint , case anyone care .... 's old building room small , plenty room 2 people . also , could use well read light bed ( table lamp not provide good reading light ) .The Hotel Rex perfect place stay San Francisco . wish one NY ! 
 Mar 17 2005 	 GREAT hotel- one good value find SF 	 rare find- hotel incredibly nice , class sophistication , great location , yet totally affordable . use live San Francisco whenever people would come visit would reccommend hotel . artwork hotel really neat , bar downstair fun , staff friendly- kind feel like travel back time hotel 1920 's . 
 Mar 15 2005 	 Charming hotel lovely staff 	 charming hotel artsy interior , locate perfect part town sightseeing . staff extremely helpful responsive . room lovely -- problem wall air conditioner not work well & quot ; low & quot ; set full - on cold air blast . room stuffy warm get blast cold air , not great . otherwise , comfy bed load amenity . definitely eat hotel 's cafe -- delicious high - end fare incredibly reasonable price . loved stay -- come back ... winter ! 
 Mar 14 2005 	 Great Hotel Fabulous Front Desk Staff 	 first visit Hotel Rex downtown San Francisco fabulous . hotel adorable , one block fabulous Union Square , amazing part front desk staff ! ! ! ! sweet , knowledgeable , FUN . feel home holiday visit family . great decor ... fabulous capuccino adjoining cafe morning ... can not say enough wonderful thing hotel ! ! thank great visit Sara H Baltimore MD 
 Mar 12 2005 	 top mark Rex 	 stay 3 night Rex guest Japan nothing positive comment . excellent room , amenity , , other write , staff superb . 3 different front desk clerk go beyond call duty help organize sightseeing , shopping , airport transport dining . one clerk 's recommendation restaurant Chinatown smash hit guest , ' m sure would never find place . also find & quot ; study & quot ; , free , 24 - hour computer / internet / print facility convenient useful . location also perfect activity . highly recommend . 
 mar 11 2005 	 Old World Charm Amenities 	 travel San Francisco business need stay financial district company consult 100 Pine . walk hotel instantly transform another era . lobby , bar , restaurant old heavy wood pillar panel dental around ceiling . deep black red tone accent room . feel warmth place shelter hustle bustle downtown . room comfy include amenity expect major hotel . hotel include free ride office . Hotel Rex offer price would expect high . stay Rex , will not disappoint . 
 Mar 7 2005 	 comfortable room great location 	 stay Hotel Rex two night . room smallish ( queen & quot ; promo rate & quot ; room quikbook ) comfortable -- appeal interesting decor , spotless room bathroom . room back , view , extremely quiet -- sleep great . decent ( luxe ) bed linen , great pillow comforter . cd player cd room nice touch , Aveda product . room also well stock mini bar , not touch -- 's Walgreen 's block away . Valet parking available hotel $ 30 / day , read Sutter / Stockton garage ( 2 block away ) go $ 18 / day , actually $ 25 / day , valet parking comparable . check - in / out quick staff pleasant efficient . complimentary wine hour ok -- mediocre wine pleasant lobby/ & quot ; library & quot ; . overall , think Rex good value would stay recommend other . place ate highly recommend : House Nanking ( Chinatown ) , Sears Fine Foods breakfast John 's Grill ( Union Sq . ) , Neptune 's Palace ( Pier 39 ) . 
 Feb 17 2005 	 Best Customer Service 	 book mid week night Rex Hotel surprise husband birthday . live San Francisco , ' ve never actually stay hotel . could not well experience . hotel room perfect , include cd local perform jazz musician , excellent pillow ( big criterion ) . charming quaint - cookie cutter room . compe we 2 glass champagne ! great price - great time . great experience around . highly recommend . can not wait friend family comeand visit . 
 Jan 28 2005 	 comfortable convenient 	 wife stay Hotel Rex birthday enjoyable experience make occasion even special . wife use wheelchair room , though room little small , problem wheeling bathroom use shower . king - sized bed comfortable , room clean welcoming . good , anyone annoy traffic noise stay Union Square area , room quiet peaceful two good night ' sleep hotel ever ( room toward back hotel , one near street might noisier ) . staff helpful friendly fault , breakfast Cafe Andree locate hotel wonderful . except fot size room , would give Hotel Rex 5 star . locate one block Union Square , area great restraunt eclectic shopping opportunity . not use valet parking ( $ 39 day ) , instead park Sutter / Stockton garage ( two block away $ 36 two day ) . good job Joie de Vivre group , hotel winner . Jim Myers 
