absoloutely 	 hotel pefect kid ! kiddie goody include : - color book check - in- fantastic rooftop pool kid - friendly policies- Cartoons elevators- huge ( 500 + sqf ) room plenty room play- close central park zoo playgroundsWe stay SPG point , can not beat ! also love adjacent restaurant ( Seppi 's ) , reasonable price food , especially Sunday brunch ! . 
 great hotel good location 	 second time stay hotel not let ! service always good friendly front desk staff . room spacious average NYC room great view Central Park . Norma 's ( hotel restaurant ) legendary breakfast bit pricey great starbuck directly opposite fab deli nearby . hotel bar lovely serve great prosecco ! burger bar also locate reception infamous , unfortunately not get eat queue always long . hotel concierge service second none , incredibly helpful recommend restaurant aswell book ticket tour . great place stay get good room rate . tip would give avoid room service work pricey , especially many great place eat nearby 
 ask Questions ... beware 	 would not think would ask hotel air conditioning ? 's warmer usual November . hotel warm . check thermostat room say , & quot ; be hot cold , call & quot ; . well , hot . set temperature 69 degree wait wait wait . end finally call . send engineer right . tell we Winter air conditioning hotel ... heat . want room cool open window . ( KIDDING ! ! ) . well , think cold drink mini bar might order . one .. full anything might like . except hotel unplugged ... worry . would willing bring one fee would actually cool drink . room advertise come 32 & quot ; flat screen tv . old Sony Trinitron . good side , midtown hotel terrific location . main desk always crowded elevator seem take forever . next time need midtown hotel , think will try something else . price like four star hotel certainly live billing . 
 Great Location -- Great Place Kids 	 okay .. 2 stay hotel times family ( long weekend time Thanksgiving City ! ! ! ) .. sincerely say GREAT place familie many different reason . # 1 Location , Location , Location . close Central Park , Close Rockefeller Center , Close Times Square , Close shopping list go ... # 2 Indoor pool : okay .. must admit set - up little weird first feel uncomfortable ... get ... INDOOR POOL Manhattan worth kid . Swimming Dinner Pool ... can not beat . # 3 Burger Joint Tons Restaurants close . little one easy meal good food mom dad must . Place Delivers ! . cold beer good burger City ! . pizza delivery Angelo 's Thai food Topaz Thai combine Mac Cheese Room Service great mix . okay -- 5 Stars ? & quot ; french & quot ; attitude staff front desk lack something issue , abilty apologize little lacking ... address issue ( little stuff , like extra pillow , jumble order room service ) not necessarily smile . say , , get way City Le Parker Meridien deliver family Junior Suite nice space family 4 , New York City standard . housekeep pleasant extra tip ever Thanksgiving City -- -Ruth 's Chris Price fixe menu AWESOME . $ 123 family 4 bottle wine ? can not beat ! 
 Better think 	 Hotel nothing special outside check take time , however room nice . see ceiling mold bathroom give old building New York probably expect . nothing personally notice ( husband point ) not affect stay . room quiet well maintain . hotel right behind Carnigie Hall 1 - 2 short block Central Park Madison/5th Avenue shopping . move another hotel half way trip experience two different location , say like Westin Times Square well . 
 Mar 30 2005 	 great hotel 	 decide get hitch NYC find top class hotel good restaurant / bar paramount , roughly 20 guest travel Ireland we . we not disappoint , we get free room upgrade suite arrival kick thing nicely . room much spacious average NYC hotel room killer plasma screen . location could not well , minute walk 5th Ave . , around corner Carnegie Hall . the staff obliging , food Seppi 's unbelievably good Burger Joint worth trip , even stay couple day . before go , see many negative review worry stay twice last month , can not see complaint come from . will definitely return , fact would not go anywhere else . 
 Mar 28 2005 	 go Junior Suite ! 	 hotel two entrance -- one 56th another 57th Street . be almost right next door Carnegie Hall . atrium lobby spacious , limited seating . amazing , huge basement gym ( call Gravity ) . enclose rooftop pool astounding view Central Park . room decor mute contemporary . suite build - in window seat sofa bed chair , desk great office type chair . good part swivel wall unit contain medium center ( include flat screened tv ) -- could turn face bedroom living room , functe sort room divider . bathroom shower -- huge . comfortable king bed , luggage storage closet huge wall mirror . great business traveler tourist alike . Norma 's Restaurant ( lobby , breakfast lunch ) superb . huge , expensive portion . breakfast 3 tip $ 105 . would stay minute . 
 Mar 28 2005 	 never ! 	 totally agree last comment . my friend return stay le parker meridien hotel awful . the staff unpleasant time rude dismissive ! room ok standard expect rate pay . the price basic service highly inflated may ok buisness traveller pleasure trip . we request USA adaptor use electrical appliance tell buy cost $ 15 ! buy one local store $ 1.the hotel atmosphere staff spoil dismissive unhelpful attitude ! e mail customer service make comment . needless say response . we plan return NY certainly Le Parker Meridien ! 
 Mar 26 2005 	 really quite good thought 	 stay match box room Schraeger hotel past ( Royalton / Paramount ) , Le Parker Meridien refreshing . the room largish plenty room work big desk overlook Central Park . bed large comfortable , big plasmas tvs great , bathroom stylish funtional . nora breakfast downstairs excellent expensive . I enjoy two night stay . 
 Mar 22 2005 	 favour stay elsewhere 	 generally prefer stay Le Meridien hotel travel good experience hotel . exception Le Parker Meridien New York . experience bad start , entrance shamble person design lobby obviously confuse create boutique atmosphere loft style apartment . the staff adequate go way make stay enjoyable . elevator nightmare , allow sufficient wait time . room small attempt create boutique atmposphere cluttered room fancy item really serve purpose . in short want hotel excellent customer service comfortable , spacious room avoid Le Parker Meridien cost . people Le Meridien strongly suggest stop people Le Parker use name , serve damage reputation . 
 Mar 20 2005 	 great experience 	 reading review Le Parker Meridien NYC , ready bail reservation , instinct lead hang give Meridien fair shake . great decision be . my husband love experience . room large comfortable decorate contemporary good taste . staff polite , friendly helpful breakfast Norma 's .. restaurant locate lobby ... incredible ... first time , eat twice hotel ; something normally . breakfast well , not miss burger Burger Joint .. small sport bar type grill lobby . amenity business traveler solidly place well pleasure traveler , giggle , 's classic cartoon play elevator . I will come back alone business well pleasure trip . give Meridien thumb up . Happy Campers ... Louisville , Kentucky 
 Mar 18 2005 	 bad well 	 stay Le Meridien first trip NYC 12thApril . lobby quite cavernous , good introduction . I upgrade junior suite - without park view . there tub , shower - expect suite ! bed however comfortable , room wasquiet . the include breakfast not cover whole menu , couple set selection - look disappoint whencappuccino offer , give free - ' m grateful ! breakfast Norma 's quite good , variable , one morning orange juice coffee top , next morning leave completely alone . the rooftop pool good heated , great view - not use much . all , bad , expect $ 375 ! 
 Mar 17 2005 	 bad people think 	 get hotel hotwire , read review . since first time NYC , worried would ruin experience . however , enjoyable experience hotel . fortunately , not go issue user review . room nicely do , modern chic . flat screen tv , dvd player , new modern furniture . Glass shower stall take half bathroom . gf call , & quot ; orgy shower & quot ; . Front desk staff friendly among nice people encounter NYC . though book Hotwire , still upgrade large room high floor , one penthouse . though 3 elevator , actually fast get time . feel slow , watch cartoon show elevator . problem room temp . 30 outside , yet room warm . explain heat winter AC offer send somebody open window . within matter minute . speedy service . nice room , courteous speedy service , terrific breakfast Norma 's , wonderful experience . complaint could slightly cheap . despite negative review , glad thing turn well . hope pleasant experience well ! ! ! 
 Mar 8 2005 	 Great Location 	 stay hotel 2 night Feb. 2005 . book site $ 345 & amp ; $ 365 Jr. suite . 2 different room leave day trip New York . first suite well far . 505sf 2 loveseat , one pull sofa bed 2 chair desk . shower large ( tub ) bathroom . suite 23rd floor view city . tell want park view , would move small room , big room way go . shower water pressure good hotel ever see , go suite . second suite much small tub / shower combo small bathroom . 26th floor small Jr. suite . tv large could turn well view room . think staff great concierge get we sell 700 Sundays ticket ( course high price , still cheap broker charge . ) hamburger palce great notice smell ever . eat Normas breakdast think price , good food . pool nice top building . location hotel reason stay . parking car $ 40 day . bed comfortable sheet . room modern clean . problem elavator , think fast . hall dark , quite . would stay . 
 Mar 1 2005 	 's adequate short stay 	 husband normally stay mega - hotel NYC avoid mid - town general , impulse weekend stay catch & quot ; Gates & quot ; bring . pro : ( 1 ) location great walk Central Park ( visit Mysterious Bookshop two door , way ) ; ( 2 ) book directly hotel via website get exactly request - park - view , high floor . not see significant price - break via discount website figure might get little bit well respect , maybe work ; ( 3 ) room stay quiet regard hear anyone room next we . think bed comfortable ; ( 4 ) lovely toiletry provide . ( 5 ) not huge problem service ( actually staff quite friendly professional we ) ; yes , lobby chaotic , big hotel take consideration . elevator take time , not big deal . con : ( 1 ) small room , small bathroom . like ultra modern , ; ( 2 ) coffee / tea maker ; ( 3 ) one can not control temperature room ! odd , consider air / heat controller wall . call downstairs front desk say hotel control temperature would send someone open window want cool air . swelter , even though 30 degress outside ; ( 4 ) turndown service , morning complimentary newspaper ; ( 5 ) expensive room service ; avoid eat local establishment , within walking distance . not expect great thing , ok . 
 Feb 27 2005 	 treat Poorly Le Parker Meridien 	 book weekend stay Le Parker Meridien NYC thru web . ask one room two people ( although together , two different last name ) . part deal , cost stay charge day booking . when get , different room book we we staying room . inform incorrect . time , send we room say would call we determine could anything we ( since pre - pay say normally would refund money ) .I ask least release one room case someone else would book room . refuse say hotel 20 % free . suprise since previous person line charge additional 1/2 day 's price check late . ask consideration , tell since hotel fully book , charge . well , will not go detail ( lot time talk number people ) , basically say could nothing among thing , different last name , room book different time ( ) , two different type ( imply enter separately - request ) , etc . it unpleasant particularly since keep imply try pull something . know would not ask two separate room , profit ? convince something wrong website especially discover afterword fact charge one room book , two . I would strongly recommend stay hotel interest make guest feel value . 
 Feb 26 2005 	 terrible elevator 	 stay Parker Meridien many time late 90 's , something terrible happen since . decide go ' trendy ' lose charm along way . besides lose reservation threaten charge ( already prepay 2 month early ) , boast ' free high speed internet ' , however forget tell need cable ( bring internet cable trip - especially stay 4 - 5 star hotel ) proceed charge $ 17 cable . Granted be still cheap long run ... really now . the three elevator take appx . ten minute reach floor wait 10 - 15 minute lobby elevator arrive ( plan dinner reservation accordingly ) .The mini fridge broken room , call 5 time ( twice hotel manager ) never fix . upon review bill charge $ 40 daily parking ( di dnot car ) ask front desk say ' assume ' everybody car ( NYC ? ? ) .There many hotel NYC , unfortunately Meridien downgrade low tier . 
 Feb 23 2005 	 ok expect 	 spend 4 day NYC Business really need Hotel / its employee ball . spend day meeting work , hotel like home - Problem free . the room give non - smoking twin company book King suite . 1st tell king avail could call reception morning move - also tell book room request guarantee get . suprise , booking make company ( large US blue chip ) use alot . however , 2nd night move room book . generally , staff helpful helpful enough . hotel ok .... room suit business traveler - fact could plug laptop get free fast internet access GREAT.Rooms Park view well City view . lobby constantly busy , guest private function etc . get great large tv , dvd player , video player cordless phone . plus instead common hotel choc , get twister ! ! ! ! Bathroom ok - expect - nothing special extra report . the hotel gift shop / cafe sell coffe / tea / cake etc fast food joint behind large drape ( curtain ) next check -in . burger joint serve straight forward burger fry - fancy gimick packaging get busy . note couple time ppl line wait go - close 11pm . location great ..... close NY Office , Central Park , 24hr chemist , nice eatery , FOA Schwabs , time square 10 min walk . overall - good great expect alot disappoint . 
 Feb 21 2005 	 less great 	 town one night Christo Jeanne Claude & quot ; gates & quot ; Central Park book tower park view breakfast late check $ 355 . end getting upgrade corner suite view park great . public space nice lobby smell like grease trap 3 restaurant locate . line everywhere , desk , concierge , elevator , restaurant . also , staff not really seem know go .... ask 3 time get breakfast coupon ( not see can not credit room breakfast ) , late check still get form letter door morning say leave 12 pm . also full breakfast juice , tea pancake egg sausage despite breakfast include get charge extra 8 $ whatever reason . find check point would rather pay $ 8 get argue . comment elevator true ...... sometimes wait forever . great location hotel come home ....... par giant conference hotel cater bulk tourist . 
 Feb 20 2005 	 Le Parker Meridien -- everyone ( Including ) 	 daughter return weekend Le Parker Meridien , feel compel share thought place . ( overall , review hotel website pretty accurate . ) 1 . room . room two twin bed . good thing room wonderful park view ; amenity soap , twizzler rather mint , etc . quite nice ; & quot ; jetson - type & quot ; feel ( modern ) . bad thing probably small room ' ve ever stay ( think cruise ship ) ; could hear conversation people next room ( glad not partier , particularly amorous ) ; safe bedside lamp break ; can not regulate heat , uncomfortably warm . also , assure reservation agent would late check 3:00 , instead give 1:00 since not note reservation . hand hotel price considerably less Four Seasons , St. Regis , Peninsula , etc . , equivalent , example , Sofitel ( ' ve read good thing , not try ) . pay $ 325 , breakfast include ( note elsewhere site , breakfast coupon entitle limited , yet adequate , selection Norma 's ) . 2 . facility . lobby nondescript , appear rehabbe office building ( example , corridor 56th 57th street separate appear kitchen door ) . reason business center close Sundays , ask conceirge could print boarding pass flight , inform would $ 10 per boarding pass ! ! ! conceirge also tell store daughter interested visting not exist New York ( track -- two , actually ) . elevator quite slow , sometimes lengthy line wait . not get chance use pool health club , can not speak element place.3 . food . Norma 's fantastic , be almost worth stay since make breakfast reservation ( lobby pack day people hotel wait endlessly table ) . really remarkable restaurant . room service ( Norma 's ) also quite excellent . Burger Restaurant great food , filthy ( rather like small college pub , window , food napkin , etc . litter floor ) .I contemplate writing review , concierge tried charge $ 10 printing sheet paper ( $ 20 , actually , since need two boarding pass ) put top . think review pretty accurate reflection hotel , maybe unfortunate enough pick weekend completely full . will not stay ( unless overnight get table Norma 's ! ) . 
 Feb 20 2005 	 first class hotel . 	 simply nothing bad post regard experience hotel . check check evrythe handle utmost professionalism reserve , informative , decorum would expect establishment . room superb ( give free upgrade park view room ) , furnishing immaculately clean comfortable , various amenity offer excellent . burger joint provide simply delectable burger , pool gym superb , rooftop view area afford beautiful vista park uptown manhattan . problem ( extra pillow , T.V movie poorly receive ) deal quickly efficiently general level staff , lot , inform courteous . would recommend highly stay hotel expereince anything go ; wonderful choice ! ! 
 Feb 20 2005 	 disappointing dull 	 thing enjoy hotel cartoon tv lift ! hotel lack one major asset ... window . room like office bed ; furnishing beechwood ( think clear varnish / lacquer finish ) black metal frame . tv large ( 34 ' think ) , average sized room 's powering 's position right end bed can not 6 7 foot away . check - in fine ; location hotel also pretty good . 's close Carnagie Hall , Central Park 's right next plenty decent eatery locate 7th avenue . 's major downside mention 's lack window , basically none window room ( unless be presidential suite ) look straight onto grey brick wall 's 4 foot away . unless company pay could not care less stay , not book . plenty expensive hotel area allow natural light building ! 
 Feb 13 2005 	 never 	 heed negative review see tripadivsor already book non - refundable room . get Jr. Suite 23rd floor . interior nothing special . great dissatisfaction come performance shower attitude management . minimalist shower seem permit water flow uphill , flood bathroom floor . stay two night , want spend time move another room , simply want token reduction rate acknowledgement problem real . Manager say chief engineer check shower problem . would move we another room offer rate reduction . worth time move . sure , take another shower bathroom flood . never stay . many superior choice , many less cost ! 
 Feb 8 2005 	 not believe bad review 	 spend night parker meridien several girlfriend fun girl weekend NYC - Hotel great ! allow we check early , rec would free room upgrade cater every whim . room clean modern room service quick yummy . great gym , great pool ! location hotel unbelievable - right heart midtown short walk central park - 5th ave shopping , times square . check burger joint lobby - good burger city ! grow right outside NYC stay many hotel - price location one good ! 
 Feb 8 2005 	 large room great find 	 room price reasonably size quality . staff pleasant , location amazing . great gym . Breakfast Norma 's absolute must . go everytime city . concierge put name head always wait . recommend hotel everyone know travel NYC . great around hotel . real find ! 
 Jan 22 2005 	 Appalling service 	 love Manhattan feel full price pay room extortionate service poor . feel like number rather value guest . complaint fall deaf ear . 
 Jan 20 2005 	 be not sure expect ! 	 read previous review hotel sceptical staying , first ever trip outside Europe . I impress ! hotel staff great everything ask speed politeness . room also pretty great . bed lumpy - fact comfortable hotel bed ' ve ever sleep ! DVD & amp ; VHS player room well N64 Console could not anything impressed . Norma 's birthday breakfast fantastic Topaz Thai Resturant locate almost next door good Thai ' ve ever . definately go would not hesitate reccommend hotel anyone . Great Hotel , great location ! 
 Jan 18 2005 	 well expected 	 read recent review hotel somewhat hesitant book Hotwire . hotel nice . location great plenty good food hotel nearby . Norma 's long wait , take reservation hotel guest , nice . platform bed comfy enough mattress topper . not like firm bed , would not . room clean one spot notice carpet . really like unscented bath product . room quiet not much road noise window open . staff friendly allow we check early . offer complimentary umbrella help greatly . also give we informational sheet upon check - in many tip hotel stay sight seeing . concierge give we tip cab would little shuttle back airport , double price . could tell huge difference 3 - star hotel stay previous night would stay problem . 
 Jan 10 2005 	 Great New Year 	 book hotel via internet UK March ' 04 getting seem great deal 4 star hotel overlook Central Park . read review start get little worried fear dissapeared check . NY wife , 2 child one friend book double triple room . check , desk clerk see child fact young woman early 20 be immediately upgrade room mini suite extra cost saying would find comfortable personaly go check room clean ready we . unheard UK . room spotless , duty manager came check happy one occasion need extra towel , duly arrive . our new year eve celebrate great atmosphere hotel restaraunt Seppias 11.30 able walk 50 yard 7 th avenue join crowd look towards Times Square - wonderful . my real negative Hotel could lounge bar . we would definately stay . 
 Jan 7 2005 	 expect ? 	 hotel & quot ; crunch & quot ; holiday time , like almost half world seem . hotel jump entire city ! wait everywhere , store cab , get attention . find Meridien attentive move quickly assist . please not tell reviewer not catch . 's holiday season New York ! ! check check , enjoy stay thoroughly . learn lesson book online , take BIG chunk money pay , expect well like everyone else , book small room . end lose book directly hotel . regret since . I book Junior Suite special rate upgrade high floor . agent check great fun really take time make feel welcome . bellman bag hurry ready unwind . room quite large , great design , comfortable bed , great television center ( complete dvd , VCR , Nitendo kid ) . elevator little slow little patience soon arrive . pool unbelievable ! else swim take look Central Park ? gym world , everything could want , treadmill nautilus like place . 's restuarant : Norma 's unbelievable . wait , call suggest came say . food mostly breakfast something will not find anywhere else . burger joint , joint . speak guy behind counter tell want look like ( not fit rest hotel design , chat , get ) . burger great cheap ! look previous review , find hard believe place . would certainly recommend place friend family . 
 Jan 5 2005 	 Christmas visit 	 stay gift Christmas giftgiver another room -- room impeccable large . pool great first day -- nice warm heater must ' ve Christmas -- temp dip 10 degree Christmas eve day . view spectacular atrium pool room overlook park -- fabulous restaurant recommendation concierge , breakfast Nora 's ( restaurant ) luxurious delicious ( albeit pricey ) . 3 & amp ; 5 year old warmly welcome enjoy premise thoroughly ! would definitley go -- PS- bring lock locker locker room 
 Jan 5 2005 	 Great Location Nice Staff Great Gym . 	 spend lot time room ( work ) say - not know naysayer want hotel . maybe people front checking never say & quot ; read hotel horrible , go give bad room ? & quot ; wow , introduction ! gym great . lot magazine two floor cardio weight equipment . housekeeping service always respectful wish never knock try get hurry could clean . ask help bag get . area wonderful , right crowded 5th Avenue ( plus book ) , within walking distance everything could want midtown - Central Park , Shopping , Rockefeller Center , Times Square . complaint elevator SLOW . three elevator enough 22 floor . would stay second ! 
 Jan 1 2005 	 good book $ 159 less 	 ' ve stay Parker Meridien 6 time past 3 year . get rate $ 159 less worth stay . rate higher , stay somewhere else 's value price equation drop rapidly . plus side : good location , modern architecture , free internet ( bring ethernet cable ) , pool , pretty good gym ( be bit gritty however ) , Norma 's restaurant ( great breakfast , big portion , big price ) , nice bathroom . negative : problem resolution , uncomfortable bed / pillow , not participate LeMeridien Moments program , not seem like full - service hotel many way , will not guarantee non - smoking room book anywhere direct , bellhop push tipsI generally like hotel LeMeridien chain general , problem reservation subsequent price gouge costly upgrade order get non - smoking room leave bad impression . take manager 3 week reply complaint email , lame response . not like modern / contemporary decor , definitely not stay . 
 Dec 24 2004 	 RIP 	 hotel one place get rip constatntly . hotel service terrible . people front desk bell boy every body try rip . extremely overprice low quality service provide you.if want stay decent place money worth , stay away hotel ! 
 Dec 22 2004 	 Ouch ! 	 direct hotel business last - minute week prime shopping season December ( i.e . first choice ) . book junior suite $ 325 night . initially , pleasantly surprised room size , bathroom , great location view . stay wore , uncomfortable bed , incredibly slow elevator , mob - scene lobby unpredictable service begin wear . guest join mid - week , despite three reminder front desk , deny check - in locate cell phone mid - meal important client . bad form . hallway always seem litter take - out tray , housekeeping show 5 pm , gym 's crack ( well walk three block Golds pay $ 10 ) . not expect Four Seasons , retrospect think thing would better Royalton . the burger bar miss . 
 Dec 18 2004 	 dreadful hotel 	 suppose stay six night Le Parker Meridien manage one check early could next morning . dreadful hotel husband ever stay . lobby cold impersonal . room way small dresser , place put clothe remain suitcase . result place sit walk around room suitcase either one chair floor . closet door comprise material small could not use . suffer night uncomfortable platform bed , hard pillow run toilet . mention trash floor get elevator ? well , still leave next morning . never . 
 Dec 11 2004 	 # 37 - not think ! ! ! ! ! ! ! ! ! 	 regret offer & quot ; star & quot ; option . single big mistake ever make choose hotel - small feat give stay hotel 100 night per year . without go detail experience go bad worse bad yet , let suffice say experience Holiday Inn Green Bay , WI ( yes , stay ) far superior . think stay , not . reservation , cancel . amazing New York City hotel $ 395 / night could lower depth service . outside lovely receptionist one tremendously helpful concierge service incompetent , negligent surprisingly , exceptionally hostile . enough say . 
 Dec 11 2004 	 ' ve less complicated check - in EconoLodge 	 husband come Queens stay weekend wedding , sort ' mini - moon ' . book two room , one us one husband 's cousin wife , come town . come Manhattan hour we , check hotel first . arrive check , give key headed room . upon enter , notice someone 's suitcase already . conclude belong husband 's cousin wife . head back desk , desk attendant initially understand have give key someone else 's room . think check . 20 minute second desk attendant attempt assist , give room . meanwhile , husband 's cousin wife return , room key work . frustrated check budget hotel never problem like . something like happen . otherwise , find hotel clean like decor , though overall would say ok . 
 Dec 1 2004 	 nice room great location 	 spend nice night Parker Meridien - great location . room little strange comfortable clean . upgrade park view nice . offer high speed interent , charge ethernet cable - bring . big tv . overall , nice time . compare Ritz Carlton lacking , almost half price , bad value . 
 Nov 30 2004 	 Le Parker Meridien c'est bon ! 	 spend weekend Le Parker Meridien thrill hotel . room 32nd floor fantastic view park . room 's design modern , also functional . many new , hip hotel go aesthetic , miss come functional design - one ! bathroom amentie first - rate , shower water pressure spot . find room quiet well organize . agree reviewer , room warm . luckily , window open able keep room comfortable temperature . eat Norma 's ( fantastic , huge portion , $ $ $ ) , Burger Joint ( perfect burger , super - friendly staff , cheap ! ) . gym huge plus - one big , good gym ' ve ever see hotel . loved little , fun touch like twizzler beside bed , late night craving , disturb sign read & quot ; Fuggedaboudit & quot ; . well , location perfect , 3 block newly re - opened moma . aside room temperature issue , love everything hotel . definitely stay next time ' m town . 
 Nov 28 2004 	 happy hotel 	 specifically make reservation hotel hotel info indicate rollaway available . ask two double bed rollaway . get room , one bed . several attempt call front desk , take luggage go back downstairs since sure mistake . tell rollaways allow room one bed ( fire hazard ) without discuss anything switch room one bed rollaway . $ 30 charge rollaway ' m sure well solution two bed request pay even price room . alternative point stick . restaurant promise 45 60 minute wait breakfast next morning . wait hour half seat . would recommend hotel bad enemy . 
 Nov 25 2004 	 ok 	 stay Parker Meridien find merely adequate . front desk quite snooty decor fray . however location good little extra $ $ get lovely view Central Park . 
 Nov 15 2004 	 anyone give place five ? 	 admit . book reservation expedia , never hear hotel bdfore . would usually stay Marriott Times Square , decide try something different . something not recommend . purchase room hotel , research hotel , familiar name . I happen upon site get mixed review Le Parker . afraid go disappoint , consider weekend planning propose girlfriend . , went think worse . I impress time walk hotel . staff friendly . day check call see type view room . inform book park view room , mistake part . ask could upgrade get like room ( consider bad review room ) . tell get room available could upgrade . get front desk , inform upgrade parkview room free . fault book parkview room , take upon upgrade , knew want . I good time New York City club ever , concierge staff recommend club . person take time print boarding pass , would pay buisness lounge . take care we . room contemprorary , like . could go . love place stay Manhattan stay there . this place stay . 5 star Hotel ! ! ! ! ! 
 Nov 15 2004 	 oddity 	 return Le Parker Meridien 's bit strange hotel . three year old pick Meridien close Central Park pool . arrive , night , tell upgrade room park view , shortly thereafter tell , , regular old room . seem bit disorganized , since make reservation week call confirm day before . the whole hotel seem rather dimly light . atmospheric first evening , downright bizarre , kind mausoleum - esque . low light give feeling could not see anything exactly right . Burger Joint mention previous review interesting - like burger shack might find middle nowhere , wooden table bench , great burger . also , guy work Burger Joint nice , earth friendly . not fit rest impression hotel seem try make- sort refined elegance , modern Versailles . impressive lobby reek fry food 11am-11pm , , , disconcert . I would agree room good size New York , much appreciate we little monkey . bed linen not well extra woolblanket much like SOS scour pad . the pool nicely situate , penthouse level , great view , bit worn around edge , like much hotel . my big complaint would little video moniter play cartoon / old serial elevator . 1 . be never elevator long enough understand be see 2 . every snippet see amount violence - problem adult , really not want little one see Elmer Fudd shoot Bugs Bunney , Tom chase Jerry hachet one Three Stooges physically abuse another - , course , draw , spend ride try shield , yelled & quot ; can not see , can not see ! & quot ; ask concierge try change even turn , hand complaint card , nothing happen - guess consider hip request , oh well . finallly , ( last complaint ) , eat Norma 's - yummy food , portion big 's nauseating look . woman come table seat , dress like patron , not introduce , address son , make promise would stay seated throughout meal & quot ; pinky swear & quot ; - 's three God 's sake ! not know talk , thankfully , think rude presumptious thing would ever experience , discipline patron 's child - have get not do anything . ' m guess restaurant manager - hotel might consider find someone manner tact . overall , think would probably stay , give good location ok price room , elevator video assuredly non - violent ( really huge request ) . 
 Oct 27 2004 	 say 	 unfortunately stay Le Parker Meridien city book , would recommend strongly . room large , price hotel worth . - uncomfortable bed , border futon . - sell computer cable connect internet $ 15 . ask borrow , allow could charge not return , hotel & quot ; sale & quot ; policy cables.- way room dinner , elevator 10th floor room jolt sudden , sharp stop , door open 2 foot short floor . climb elevator . mention bellman , say security stick elevator day well . mention front desk manager tell would check early , look right eye tell shock never problem elevator before.- room 2 thermostat , despite turn 63 , sweat night long . call downstairs , tell hotel central heating / cool system individual room temperature control operational . give window not open room , uncomfortable . check early would never stay . heat / hard bed bad elevator , primarily way front desk manager handle issue . problem , good hotel staff address issue sincerity make attempt rectify . keep smile give little speech handbook . 
 Oct 26 2004 	 mixed Bag 	 pros:1 . great location.2 . great restaurant next door , Topaz Thai . excellent pad thai shrimp around $ 11.00 . good restaurant amazing variety close.3 . great mystery bookstore next door.4 . Room seem small , ' m frequent NY traveler . Room do modern style crisp , clean look dull color . 5 . large , flat screen Sony TV . great football.6 . mention Priceline book check - in.7 . king bed comfortable.8 . great build - in ( window desk , drawer ) make room bigger.9 . Staff seem friendly . cons:1 . AC ! ! Reviews AC problem correct . Clerk admit & quot ; old building & quot ; problem AC season . add AC room room . price pay ( Priceline obtain close advertised web rate $ 325 ) 4 - star rating , AC work . lucky we window opened.2 . hot water would come go.3 . sheet great . 4 . many room view . room 11th . problem us may others.5 . shower curtain keep water . watch this.6 . take 2 call obtain extra pillow . overall : experience read review , believe get great deal , likely really enjoy stay . ( exception : need AC get . ) conversely , get great deal , less likely really enjoy stay . I dislike hotel definitely check hotel price next visit . 
 Oct 26 2004 	 good experience ! 	 visit n.y . long weekend pleasant stay . fitness nut highly recommend hotel great fitness facility - Gravity . helpful staff , excellent location , good french restaurant next hotel , good thai several door . large comfortable room nice bath . downfall lack temperature control room - hot whole time regardless thermostat setting . good certainly outweigh one negative . 
 Oct 25 2004 	 Great Hotel Near Carnegie Hall Central Park 	 stay day 4th July holiday weekend . Jr. King Suite - excellent room good rate . extremely spacious room large bathroom . large tv mount column swivel TV may view either living room bedroom . minuse Burger Joint lobby close holiday weekend price Norma 's lobby sky high . ( great breakfast though . ) excellent location - handy everything would want access . 
 Oct 12 2004 	 Pitiful room 	 extremely small uncomfortable room . expect good night sleep , try park bench . politely ask switch room 2 day row do not even get call back manager . would never stay although burger breakfast normas excellent 
 Oct 11 2004 	 great Location- Pretty Good Hotel 	 daughter get back hotel . see mixed review leave book anyway want location . enjoy stay problem deal management conceirge attitude not seem want bothered question although not busy . not warn minibar consequently daughter move drink cool overnight bill check - out move drink mention not drink clear bill immediately . stay 4 star hotel NYC find one average maybe little average . location perfect though make far concern . pretty nice hotel overall will keep look next visit . 
 oct 9 2004 	 Hot Hell Hole 	 last year flee awful hotel 1 night . antiquated Heating / AC system supply heat whole hotel A / c whole hotel . room like sauna A / c available . even Red Roof inn provide A / c demand place . the stated & quot ; Panoramic Manhattan Skyline View & quot ; balcony tower across street . one could die wait elevator arrive . the front desk unconcerned happy room . would describe attitude snotty . room wear nicked furniture . Modern Design require good care remain attractive . room look cheap wear . even window cake filth , seal double pane glass fail ; allow water dirt trap inside . upkeep . unusually large minority guest smoke constantly elevator door open smoking floor enough choke non - smoking guest . I check day early move infinitly well W Times Square . avoid creak pile like plague . 
