excellent 	 first trip New York unsure stay . location really important we since ticket concert Madison Square Gardens ( across road ) , decide Affinia Manhattan . Macy 's couple block away great local eating , thrilled choice . room large add bonus kitchenette make great place stay . can not thank concierge staff enough help ticket , sightseeing etc . local knowledge friendly service help make trip . yes , bathroom small perfectly adequate , yes noisy middle Manhattan - think add experience ! 
 Fabulous stay Affinia 	 stay 5 night Affinia Manhatten studio suite everything great . two comfortable double bed enough three adult . housekeep excellent problem anything need , quick phone call reception sort . room 25th floor noise bad , fire engine street , often . need good diner area good one go back entrance Madison squre garden call Stage door deli , thanksgiven dinner delicious . thank Amy help book , definitely recommend Affinia family friend , can not wait go back . 
 excellent city - great base hotel 	 stay Affinia 23rd 28th November . I do great deal research hotel find one thought would good bet . once get room sort ( change 3 time first one tub second overlook internal courtyard 3 foot away somebody else window ! ) - finally get room 8th floor overlook maddison square garden . great room . could see way times square buzz city life . the Concierge hotel fantastic - Maureen Ashley great ask advice help regard transportation etc buy UGG boot ( thank Ashley ! ) another lady ( sorry can not remember name ) recommend AMAZING Thai restaurant Chelsea - 10 minute walk hotel . food Spice good go twice ! - amazing cocktail , wait staff amazing never felt rush . chance go , go ! bar next door Niles great - reasonably price , great cocktail great service - include great banter bar staff ! ! ! love new york can not wait come back honeymoon although think would stay somewhere else inthe city - not love Affinia would like see something different . 
 love Affinia Manhattan ! 	 love hotel . room great ! room patio 26th floor . husband smoker work well kid hate smoke ! room spacious . bathroom small clean . bedroom great . living room kitchen spacious . problem noise . still hear siren taxi horn ! would recommend hotel family kitchen seperate bedroom . really enjoy first trip New York City ! 
 City Noise 	 teenage daughter stay one night 11/2009 . 17th floor face Madison Square Garden train station . the one negative hotel street noise . hear loud clear . ask room back away street high floor . room clean yes bathroom small planning speding lot time . tv old model , work city look tv . staff friendly helpful . locked room suitacase , room ready . room clean somewaht outdated decor . less $ 200 night 2 queen bed kitchenette well worth money . 
 Hotel need major makeover 	 Hotel book company 's travel agent , upon check realize make mistake , elevator old . arrive floor hall carpet dirty , wallpaper peel wall . continue room upon enter surprised , room big standard room NYC , furniture old . open bathroom killer , shower 3 foot 2feet wide whole bathroom maybe 4 foot wide , stay hotel . 
 warn ! ! ! 	 book 4 - star room Priceline ( first mistake ) . day check , call 1 - 800 reservation number confirm reservation ( base review TA ) request high - floor quiet room ( know well room high floor ) . confirm telephone agent . when check , give room 10th floor . point not match request , informed request note , high floor would extra $ 100 , special gesture , have give $ 50 . refuse pay extra , decide check room offer . room awful , say least . grant , room large ( especially Manhattan hotel ) , obviously date mid-80 good . carpet seem dirty , furniture old beat , overall one would expect two - star motel - 4 - star hotel pay for . I politely , firmly insist front desk manager want move room keep reservation request . move another , admittedly large , room , still calibre . , refuse offer , demand room least somewhat resemble room display hotel 's website ( use term & quot ; false advertizing & quot ; , feel case ) . eventually move room keeping pay , request , see hotel 's website . be warn : Afinia Manhattan renovation . renovate room good deal : large , offer small kitchenette , up - to - date furnishing hotel exceedingly convenient location . unrenovated room old tired . term & quot ; standard room & quot ; Afinia 's euphemism & quot ; dirty , old , decrepit room & quot ; . not accept & quot ; standard & quot ; room , not accept pay supplement renovated room . demand give room match hotel ' advertisement , pay for . business obligation truthful advertising . course , hotel always use photograph show amenity well , display photo update portion hotel expect guest accept less unacceptably misleading . btw , first last time book Priceline - another topic . 
 Dec 22 2008 	 Affinia Manhattan make great stay ny complete ! 	 stay Affinia Manhattan 4 night early Sept 2008 great stay . staff friendly , room spacious location excellent : hotel roughly equal distance ( around 14 block ) central park one direction Chinatown / Little Italy other . I would read review indicate area could noisy ( centre New York ! ) e - mail advance ask room high floor . result manager hold apartment 27th floor ( 28 floor ) . apartment hear New York standard positively huge . large bedroom , lounge / study , small kitchen , two bathroom plus view city Hudson river . room smartly decorate keep clean . nile restaurant definitely worth visit . experience averagely price food really lovely potion large . bar ( right next restaurant ) great base start evening bar staff friendly informative . ( need tip good day night guy , porter people main desk good tip ) .For reference book trip & quot ; BestatNewYork & quot ; offer good deal time . line holiday search facility work well people end phone know stuff help towards we problem free , fab trip . so thank staff Affinia Manhattan brilliant stay - ' emphasise friendly staff hotel ! ! would definitely recommend friend ' top list make return trip ny . 
 Dec 22 2008 	 great hotel 	 , partner another couple stay 4 night begin month disappointed hotel . hotel clean , staff friendly location brilliant short walk empire ste builing times sqaure macy . there plently place eat around hotel aswell , stay 1 bed suite lovely 2 bathroom small kitchen . maid evryday could fault cleanliness . 20th floor , yes noise expect big apple , never come way scotland peace quiet . would definitely recommend place stay come back 
 Dec 18 2008 	 one favorite 	 three friend book hotel Travelocity 's last Minute Package . prior trip , none we familiar hotel pleasantly surprise upon arrival . the lobby extremely nice large . flight put we city 8:30 morning check - in not later afternoon , happy hear hotel would store luggage extra cost room ready . the room large - studio suite 2 bed . four we bring ton luggage ( leave even ! ) yet room never seem crowded belonging . nice couch kitchen area . the drawback tiny , tiny bathroom . little room move around one inside joke entire trip bathroom actually closet . the actual location hotel convenient . be block away Madison Square Gardens , block away 1,2 , 3 line . Europe Cafe block , enjoy breakfast every morning . I highly recommend hotel anyone ! 
 Dec 17 2008 	 Perfect Garden . second time love ! 	 really say enough Affinia Manhattan . location absolutely phenomenal . travel Dec. ' 05 , Sept. ' 08 show Madison Square Garden 's perfection ! many restaurant area , nothing beat cross street performance . find staff incredibly lovely helpful . arrive early ( hungry ) sweet girl ( Amanda , think ) recommend Cosmic Cafe around corner . ultimate NYC experience , delish ! also , book wrong type room think , , bring attention , move want . completely error quickly place us room separate sleeping quarter ( keep snorer away ) . problem much appreciate help ! room , think nice spacious NYC keep well . bed die comfortable prepared great rest ! bellman sweetest man ever incredibly helpful friendly whenever see . overnight ( see concert ) , since Affinia centrally locate ( Empire State , Macy 's , bus tour right around corner ) , able MUCH limited time . see 24 hour weekend trip ' ve take elsewhere . travel show Madison Square Garden , would recommend place ! wait go back April . 
 Dec 17 2008 	 stay number 4 5 	 stay affinia manhattan week 's visit NYC trade show . stay 7 8 night fifth trip . I book convention site . upon booking not give option normal 1 bedroom suite usually get . book studio figuering would save bit money not really need one bedroom year anyway . when arrive resie studio one bed , think request two bed . tell staff do not really want share bed brother ! webpage week 1 bedroom suite available discount rate ! ... mention staff say would prefer 1 bedroom , dissapeare back room come back sayingk since stay 7 night could upgrade certain price convention . give choice room ready go wait 3 one two bathroom . tired flight Hawaii opt ready room , inspection turn 's floorplan stange bedroom window . problem response staff . check bag head Katz ' annual pastami fix . I return 3 pm room ready . room much well nice layout two bathroom . plus kitchen eat breakfast veryday room able utilize leftover NY & quot ; great eateriesSo settle ................ mention affinia locate next fire dept police station block ....... needless say quite bit street noise ...... hotel 's fault , 's way ....... year seem fire engine call quite bit previous year ........... Affinia great bed , nice linen well appoint small bathroom , pillow menu charge , doorman , concierge , bellman past 5 year ......... come penn station madness mellow hawaii , be really great see familiar face ............. affinia manhattan great place value location ..... hopefully return next year another thanksgive city ...... 
 Dec 15 2008 	 good hotel location 	 realise look review never leave mine . Stayed March 07 St Patricks weekend . wife always want see parade stuff fall saturday decide . previously stay Hampton 31st street want area feel ideally locate go anywhere Manhattan . also like could fly JFK , get airtrain round train Jamaica Penn Station . come Penn Station hotel . check nice easy , room great size , small kitchen good use fridge . bathroom shower small expected could make big serve purpose . could times Fire Trucks night part New York feeling . hallway lift also fine bar restaurant good well . wife maybe even kid come back New York would look stay everything would depend price time . pay $ 129 travelzoo per night think decent price . live Ayrshire , Scotland , can not wait till next time New York hopefully Affiinia Manhattan . 
 Dec 15 2008 	 Perfect Location shame thing make hotel extra special ! 	 book hotel week week research seem suitable hotel budget . want central hotel good standard accomodation , review tripadvisor help decision ( never stay anywhere without consult TA length ! ) .Our initial impression arrive good , check absolute farse . one , not enough staff front desk size hotel . book early flight UK , arrive hotel 1:45pm . tell room ( one bedroom suite ) not quite ready , wait behind pillar front reception call . wait patiently around 45 minute enquire , tell room go another hour ! nice inform we right start . decide hit hotel bar wait instead . ' m go bit tangent , hotel bar lovely . great atmosphere , brilliant friendly bar staff , great choice drink cocktail . ' m guess 's bit meeting place local bar pack evening . great choice bar nibble too . well , get comfy 90 minue later ( $ 50 light ) go back reception . tell another 45 minute ! ! well , imagine reaction . would hotel 3 hour still room . feel though waste entire afternoon checking mess around , time precious New York be City break . room not go ready 5 pm , TELL US hit City . well , blow top bit . receptionist give we free drink voucher have spend good money bar whilst have wait , promise come collect we have give green light room . credit , , another hour . totally ridiculous complete waste time . thank goodness pleased room ! ! room spacious , clean , looked newly refurbish . furnishing little basic sparce size room , bed comfortable enjoyable stay room 2003 30th floor . room small kitchenette completely unnecessary opinion , would rather do without fridge make right racket hour . New York not nosy enough ! ! rain quite heavily two day , constant drip drip outside air conditioning unit make good night sleep - - not come New York sleep , can not really complain much there . the location hotel sell we completely . two block Macy 's , 10 minute Empire State , 20 minute Times Square . plenty place eat drink nearby foot tired end day , Penn Station directly opposite access anywhere Manhattan beyond . think hotel trade 's location unfortunately , customer service level suffer result . one final note , drop email hotel week prior departure tell really look forward visit request room nice view . not even get acknowledgement , view pretty average . debarcle reception though , ' m surprised . hotel achieve term location , totally lack term customer service . normally complainer come hotel , would stay somewhere else next time . 
 Dec 13 2008 	 5 5 	 never New York tell book 3 3and half star hotel questionable ! ! could happy room ( suite ) occupy . Loved stay Manhattan would certainly stay .... cheap .... receive expect ... staff helpful .... superb service round . Val Brian .... Noosa / queensland/ Australia 
 Dec 10 2008 	 make sure ask ..... 	 .... room one high floor ! 3rd floor hotel noise really quite loud day & amp ; night . although expect peace quiet location hotel , floor noise siren / car horn signicant . room large spacious although little tired extremely clean . fridge , hob & amp ; microwave great bonus . plenty towel bathroom comfiest , big bed ' ve meet ! safe wardrobe , iron & amp ; iron board hairdryer . fantastic location . take we 20 minute walk Times Square Penn Station across road . the real complaint air con / heating . even turn noisy ! 
 Dec 9 2008 	 fantastic location explore NY 	 book hotel Thomson ( never ... ) package holiday ( Hotel , Flight , transfer ) .The hotel fantastic place , situate directly opposite Madison Square gardens Penn station . 5 minute Maceys 10 minute Times Square . the Hotel actualy go change nothing noisy drastic . start hotel staff extremely friendly helpful , book room kitchen facilities Thomson , arrive , give we guest room thomson instruction change room we , move we 27th floor . also extremely helpful check , Thomson failed tell we , need VISA card go deposit room ! , neither girlfriend visa stump lie cash deposit . staff helpful lowered rate do not dent cash flow . room , guest room originally put tiny , although look nice enough , way small small bathroom ever . 2nd room put huge , large queen size bed , big tv , nice size kitchen small bathroom big enough what s need . the aircon great heating work treat . noise complaint I ve read , expect NYC ? place always noisey , go lake district do not like noise . for we great homebase , small shop next door food , ton take away bar around , 5 minute shopping area Maceys etc . step subway lead anyway want go . definately advise USA new commer check small pizza shop door , head right leave hotel , past FUSE advert go 2nd pizza place , get Gyro sandwhich , rock ! .... would definately return , plan 2010 ! fantastic place ... 
 Dec 9 2008 	 Perfect girly getaway ! 	 stay Affinia Manhattan four night end November Thanksgiving weekend two girlfriend long weekend shopping sightseeing . we important thing look hotel location , price safety Affinia excel three . we 24th floor not problem noise although hotel really busy street ( excellent shopping , eat get cab easily ! ) . please large kitchen massive fridge fair fairly old clean usable . bathroom pretty tiny three girl hairdryer stuff manage ' m sure people not go NYC sit bathroom anyway ! bed mega comfortable do not problem all . the concierge helpful feel free use much want front desk kiosk check on - line return flight really useful leave luggage free afternoon evening flight . we please choice hotel , particularly spend £ 730 3 us 4 night would definitely recommend other want base centrally . 
 Dec 8 2008 	 Loved Affinia - Central - Walking Distance Attractions 	 book Affinia almost year going see poor review little concerned . travel agent tell we back hotel , speak highly say central , clean tidy , stuck , boy glad ! ! ok decor little date must negative thing say place . 26th floor , great view massive balcony , little cold sit nice get fresh air first thing morning , see bright light city late night . there Fire House one side Hotel Police Precinct rarely hear noise , must tired ! nice bathroom kitchen area actual room approx 9 metre x 5 metre . maid come every day place always spotless , leave fresh towel change bed linen . the staff super friendly , special thank Maureen one Concierge 's go way help we book seat return flight complimentary computer down . the hotel ideally situate directly across Penn Station mean Subway access right doorstep , top Penn Station Madison Sq Gardens Arena , block uptown Macy ' 34th Street , continue 7th Avenue Times Sq 42nd Street go along 34th Street Empire State Building , within 5 minute hotel . we take taxi airport JFK T7 , ample Taxis outside , $ 45 flat rate address Manhattan $ 5 Toll charge add onto price plus tip . next year going try Long Island Rail Road LIRR / AirTrain combo take we Penn Station 20 minute airport approx $ 12 . 
 Dec 7 2008 	 Brilliant Birthday Getaway 	 stop 4 night celebrate birthday fabulous time . hotel excellent , one bed suite lovely clean hotel overall . not find noisy . staff friendly helpful overall decor good . location wise , hotel excellent . travel Newark Airport via train Penn Station opposite hotel . couple block Macy 's 10 min walk Empire State . plenty eatery nearby . want good value break hotel comes highly recommend . 
 Dec 5 2008 	 average overprice 	 big old hotel nothing go really . room large , everything old , room smell old . window not shut , cold air , heating not work ( freezing week ) really noisy street noise . bathroom tiny kitchen dirty disgusting . finally WiFi unreliable , slow still $ 14 per night memory . would never stay could recommend anyone . maybe get really cheap deal would ok . pay $ 350 per night . 
 Dec 5 2008 	 love affinia 	 fantastic location superb clean room . large . staff friendly . 
 Nov 30 2008 	 family getaway 	 live Long Island want surprise wife two boy ( 10 15 ) Christmas season weekend Manhattan see Radio City Music Hall Spectacular . hotel PERFECT ! ! ! location perfect across Penn Station / MSG commute easy LIRR . check easy staff person pleasant helpful . surprised upgrade one bedroom balcony . wife expect balcony 5 ' x 5 ' 15 ' x 25 ' full set patio furniture . cost expensive low Manhattan begin holiday season . tell room old furniture amenity completely clean comfortable . may old definitely " seedy " , well care . consider another overnight trip spring definitely book room here . I note one review hotel remark street noise . recommend request room high floor remember , Midtown Manhattan rural Vermont . ' come peace quiet still feel like could relax room little enclave . : - ) 
 Nov 27 2008 	 Convenient 	 Booked Expedia , decent price location , cheap certainly expensive , look similar hotel area book hotel basis comment make guest . location great especially 1st time NYC , short walk Penn Station easy Newark Airport . hotel locate south Mid Manhattan across Madison Square Garden short distance Macy 's , everything touristy within walking distance ( empire state , Times square , Central Park etc ) get Subway low Manhattan really easily . hotel fine , room big expect bed really comfortable , hotel stare show sign age keep really clean . hotel overall well expect . would recommend 1st timer NYC . 
 Nov 25 2008 	 Great Location 	 stay hotel 7 night . location hotel could well , lot place close eat drink , across street Penn Station , couple block Macys , Empire State Times Square . really negative thing would say hotel , decor bit tired , could update , along kitchen area . apart room clean bed comfortable , much fact do not want come home bed ! do not find noise problem , sure 17th floor , tired end day . would stay . 
 Nov 25 2008 	 excellent hotel great location 	 Booked trip New York birthday treat . spend time review Trip Advisor decide Affinia Manhattan . good decision be . the hotel charm Old New York feel ( love mail chute elevator ) . exceptionally clean . lot activity place give real buzz . on enter hotel lobby impressive , speed check friendliness check staff reasurring . room 1515 , describe quiet room , back hotel . although decor bit date , spotlessly clean , kitchen , two bathroom , lounge- could fault one bit . fault room cold , window double glaze draughty , window mount air con help allow ingress cold air . temp stay 20 - 24 Nov 2008 freezing ( unusally cold period ) ; could look future upgrade . turne heater full blast , trick . all staff friendly helpful , concierge staff excellent , information , ticket general guidfance eatery . excellent point reference . appreciated luggage storage guest check 12 , fly late evening ( we ) . mean could maximise day , do . Best Bits New York : usual , plus trip Katz 's Deli ( famous scene ' when Harry Met Sally ' breakfast ( 3 Fred egg , sausage , toast , OJ , Coffee french fries 10:30am ) . walk back Union Sq , Flatiron Macy 's effort burn calorie . definitely worthe effort find place . blue Smoke busy atmospheric pit bar - b - q place , guide book decide check . wait hour table ( worth ) food great , huge rib massive amount brisket . whilst bar good see bar manager refuse serve customer feel much already . good he . any , would recomme Affinia Manhattan anyone go NYC : aboslutely 
 Nov 24 2008 	 Fantastic hotel 	 hotel great ! book one bedroom suite expedia cheap booking directly hotel . room massive huge bedroom living room , two bathroom , plenty cupboard space kitchen fully equip full size fridge , freezer , oven gas hob . Staff helpfu . room clean . coin operate laundry downstairs v. useful travel kid . hotel 5min walk macys Penn Station . 15mins Times Sqaure . 20 min Filenes Basement union square . Brilliant location- walk everywhere pram subway mix . nearest place get food:1 . jack 99c store . cheap cheerful . entrance 31st 32nd street . buy snack , bread , drink . sell everything apart form fresh food like fruit veg.2 . Whole FoodsWalk 10mins 7th Avenue away macys . expensive , all - organic nice . like Waitrose . fresh veg fruit , fish meat etc.3 . Delis around hotelvery expensive convenient want buy milk ice cream ! downside noise hotel 's fault . Centre new york go noisy . fire station next door extra noisy wake we baby night . would definatly stay would ask room opposite side building fire station get bit distance siren ! 
 Nov 22 2008 	 great location city not sleep 	 friend stay 3 night . hotel recommend we . check review site good excited go New York . book one bedroom suite glad extra space need somewhere store shopping . first impression room bit date could update however suite clean staff look we well . staff helpful pleasant important . yes could hear fire engine country . go New York expect quiet . great time NYC think expectation bite high . go short break impossible lot shopping sight seeing either one . find New Yorkers helpful nice accord one taxi driver accent . would recommend hotel want thick . 
 Nov 18 2008 	 Great Hotel 's fuss ? 	 well , experience . 8 Ladies , age , stay 4 night Affinia , previously contact Fayth Hotel express concern , review . ask high floor Fire Station underneath Hotel , requirement . arrive expect we everything sort per requirement . busy hotel bear mind , room 2401 , 2403 , 2410 clean tidy . threadbare carpet noisy aircon people compliane past review ? certainly complaint . noisy , NEW YORK , want peace , stay country ! already save go back ! ! ! 
 Nov 16 2008 	 great hotel . 	 book hotel read review site pleased choice . wife spend three night honeymoon love every minute . room clean spacious , bathroom little small , small cause problem , kitchen , apart use fridge , be go cook be New York ? ? location excellent,5 minute walk Macy 's 15 minute time square , mention Empire State around courner numerous shop resturant door step . much fun shopping locally , go outlet centre hour away , see much city . staff friendly helpful , especially Maureen , happy help anything need . would not hesitate stay good time . 
 Nov 15 2008 	 amazing 	 decide stay affinia cost restriction . , get say pleased hotel . it clean roomy , scarily quiet , yet totally relaxing . if ` know city newyork , ` never believe it . the general look hotel fantastic , staff include wonderfull cleaning lady friendly helpful . stay three night ` s. which find enough see want city . have , still complete shock sheer size city . Dont afraid take rickshaw ride , SCARY exillerate . oh do not want eat , try room service . food excellent ( try chocolate trilogy dessert ) complement chef . happy holiday Bon voyage . 
 Nov 12 2008 	 great location 	 book hotel special sale choose Affinia hotel 's location . prefer stay area Times Square . love close subway station Macy 's . coffee place , restaurant , etc around we . suppose get 2 bed studio ready check time offer take king bed instead give 1 bedroom suite w/ 2 bathroom ... great - NYC apartment . hear door voice night nothing horrible - like sound regular apartment building . the staff fantastic - friendly helpful . room clean decor wear , bathroom small use refurb think come . would definately stay ! ! 
 Nov 6 2008 	 Loved Loved Loved ! ! ! ! 	 absolutely love hotel . could fault way . on arrival tired , check quickly efficiently front desk . obviously excellent location .. huge suite well maintain , always clean , . polite helpful even clean staff greet sincerely . good experience especially suprise husband & quot ; special birthday & quot ; .I would & quot ; HIGHLY RECCOMMEND & quot ; hotel traveller big apple fussy find difficult find faultlt place ... go ENJOY .. ! ! ! . 
 Nov 4 2008 	 Love Affinia 	 Loved Affinia . booked hotel read review . find excellent rate via CSAA . Front desk staff friendly concierge , Maureen , dream . room fantastic- spacious . bathroom tiny extremely clean . try bagel place Penn Station ( recommend one concierge ) . definitely come back ! 
 Nov 4 2008 	 Cold . 	 stay last week 6 night , 3 lady 1 Bedroomed suite . & quot ; bathroom good , bed comfortable , Sofa Bed . Clean & amp ; tidy . nice staff . reception bit slow Check & amp ; . porter nice & amp ; efficient . main problem cold , fi9rst night request extra blanket . 2 day cold outside & amp ; heating turn still cold . great location , please sort heating will not back . go one affina Hotels warm 
 Nov 2 2008 	 Affinia save family 	 start wonderful hotel ! getting delay flight arrive newark airport phone La Quinta inn , Queens , wife 1 year daughter mean stay ( book 3 month advance ) La Quinta tell room give away ! ! ! ! ! take train penn station 8 pm saturday 25th oct ! rain hard see nowhere stay 3 case we ! turn right penn station go 1st hotel come pennsylvania hotel tell we room we ! ( let wife child stay reception go night ) ! next stop AFFINIA ! , 31st street , 7th Avenue ! ! posh look plan spending much take night , natalie helpful held room go back get family ! budget bit discount book whole week well glad pay plan ! give daughter teddy loves send bottle red wine wife ( bday ) ! matter time day every member staff great helpful . would definitely stay would say pay get . GOD BLESS AFFINIA save day make trip start nightmare wonderful relaxing stay . room spacious also kitchen , clean daily smell fresh view window Times Square amazing . great location 3 block Macey 's Empire State central everywhere . thank Affinia . 
 Nov 2 2008 	 Fantastic Location Comfortable 	 stay 5 night , two famile 4 , teenage child . hotel fantastic location , opposite Penn Station make extremely easy visit sight . the hotel large room although bathroom small clean functional . bed amazingly comfortable facility kitchen area , hotel brilliant stay New York . supermarket next door buy drink etc , really convenient . we problem admin reception partially error tour operator , apart time stand reception try resolve problem - sort satisfaction would definately stay hotel . conceriage staff extemely helpful , book ticket , restaurant etc . the hotel close fire station siren hear night , 1st night get use - seem quiet return UK ! hustle bustle part NYC.We rate hotel 9.5 10 would highly recommend . 
 Nov 2 2008 	 overall good 	 move Affinia price rate W Hotel thinking grade . much nicer , friendly , spacious , cheap altogether well W. Ask high floor try get away street noise . disabled accommodation much spacious . check bed size go room range small massive double . helpful concierge not book theater trip use agent charge big commission . overall good place stay ny go back . 
 Nov 2 2008 	 first trip New York 	 daughter return New York , stay 25th 30th October Affinia Manhattan . hotel part package deal travel agent , also recommend friend , previously stay Affinia Dumont . I call ahead arrange suite view , New York celebrate birthday forthcoming suite clean tidy not want make fuss . we share huge bed plenty room we , sheet clean clean towel everyday . the bathroom tiny bit tired amount time spend much room need ! ! concierge hotel staff polite , courteous helpful , hotel stone throw away attraction would wish visit . deli two door stock could ask friendly especially 4 am not adjust time change . noise bit annoying ' ve busy day not notice asleep . overall would rate hotel good , friendly , clean tidy . I surprise previous comment cleanliness hotel spotless whole time visit , OCD would definitely know something not clean ! ! ! 
 Nov 1 2008 	 read one ! 	 Brilliant Hotel , excellent location . room large well serviced . arrive Penn St station ( connection newark airport ) hotel sight . close Central Park , Times sq , Penn St subway , get anywhere . maybe pyromanicas convention , fire engine siren downside , ask room high ! Bagel place opposite excellent brekkie , Hartigans , sport bar / restaurant . only downside : HOTEL ADMIN AWFUL . fairness sure fault agent & quot ; letsgo2 & quot ; waste three hour sort sorrect configuration room party eight ! concierge efficient , book anything want , recomend place eat etc . 
 Oct 31 2008 	 average 	 specifically book one bedroom suite double sized sofa bed husband share room mother . mother get bedroom go sofabe . check go room , one bed suite , tiny , wear tired single person sofa bed . several phone call go back front desk finally get room book . however , move baggage new room . make we late evening reservation . this room much large nicer . however , still wear tired decor wise . kitchen area pretty old ! ! heating control also extremley outdate well . mother say bed comfortable sofa bed . bathroom small side , that s suprise NY . future , stay small room nicer hotel . 
 Oct 28 2008 	 great stay 	 boyfriend stay Affinia Manhattan 4 night October . book studio Suite disapointe . the room large clean plenty room relax long day shop Manhattan . have stay indoor long . I read review website prior book slightly worried noise level proximity room fire station . yes , 5th floor overlook fire station ( room 525 ) . noise ( windows single glaze ) nothing get worried . sleep soundly complaint . bed fantastic HUGE ! shower room quite small adequate clean . really , complaint hotel , staff could not nice , find clean staff polite . let know , last day fund run quite low need get airport hurry offer Town Car hotel airport Door Man flat rate $ 55 . cheap taxi far comfortable . location also fantastic . could centrally locate Madison Square Gardens across road . stay Affinia Manhattan recommend anyone . fantastic Stay ! ! ! ! 
 Oct 28 2008 	 good hotel location space 	 book Affinia Manhattan hotels.com great deal go one - bedroom suite price hotel could double bed studio . four us space key October 's really expensive time visit NY try every hotel , B & amp ; b etc month lead stay . end , come Affinia another hotel , speak people , really choice end ! contact hotel directly confirm reservation also request upgrade three four traveller celebrate birthday . we arrive around midnight check quickly however disappointed room . 6th floor , other mention , room decor extremely date kitchen could well straight student flat . room also dark window either block noisy air - conditioning unit , look straight building tower . one sheet hole basically , whole place tired . plus side , two bathroom make much easy four we pull - out sofa adequate . ( although linen leave 45 min two phone call past midnight get . ) late , not worry room 's fine sleeping . spend next day tour sight , speak reception change room agree reviewer ( surname large think ? ) reception fantastic . listen small complaint , deal quickly also arrange we move room follow day ( hotel full night ) . move another one - bedroom suite time king - sized bed , 27th floor sunshine view river . ( incidentally , mean move , room not ready get run - around bit person deal . phone reception ask would ready , get actually go room check call back update . ) similar decor first room , everything slightly clean fresher . would certainly recommend room price pay . the location really great - straight across road Penn station / Madison Square , one block Maceys , short walk Empire State etc ... whole , would stay request high level room seem bit well quality . staff friendly know fact could not get anything remotely close size location similar price hotel . 
 Oct 27 2008 	 Disappointing say least 	 parent , friend choose stay Affinia summer . select appear one well rate hotel site price range want pay good central location . enter lobby eveything look impressive . spacious seating , large tourist desk nicely decorate . check quickly staff seem nice . get lift one high floor request due noise fire station nearby . step lift bit shock state corridor . feel like hospital - dingy , grey wear carpet . bad thing incredibly musty smell throughout corridor . friend initally quite pleased entered room incredibly spacious 2 good sized double bed , round dining table , tv , kitchenette huge fridge , sink , etc . room view Madison Square Gardens great . bathroom disappoint clean . long black hair floor , bath sink . also incredibly date cupboard filthy inside . feel quite ill seeing . bed seem clean comfy rest room also clean enough . next morning head room instantly hit musty smell . get bad . New York 100 degree wonder make bad . walk lift lot breakfast tray outside door probably help smelll overlook consider breakfast .. return hotel late afternoon shock see dirty breakfast tray STILL sit floor - impressive ! ! surprisingly smell bad still . parent request new room unlike , smell musty inside . give master suite well pleased find also musty . complain tell hotel would undergo refurbishment soon . leave hotel wheeling case hallway huge laundry cart leave across corridor 2 cleaner chat . see we come could clearly see could not get past case instead move cart continue chat . mean move cart smile . not go hotel push laundry cart . . . overall disappointed cleanliness probably first thing want hotel . good point location - right Madison Square Gardens Penn station get train DC next part trip . Macy 's Times Sq also block away . room size excellent would good young family especially kitchenette etc . concierge helpful especially tourist desk help we theatre info book popular restaurant . restuarant attach hotel wonderful delicous Egg 's Benedict salmon 's worth go restaurant . cheap delicous ! we good point not outweigh bad staying . 
 Oct 26 2008 	 Fridge noise ruin 	 pretty average overall . good size room , nice bath , pleasant door man date lobby corridor . studio good size kitchen lot utensil good idea fridge seriously noisy . turn able sleep . bed linen high synthetic content wake every morning completely drench sweat . one lady information desk rude ( even NYC standard ) . able well shop around . 
 Oct 25 2008 	 expect ! 	 check hotel book 1 bedroome suite 3 girlfriend ... check process bit slow ... clerk advise get new system issue .. ok remain patiant .... get give key dismiss desk intruction get room ... question show location lift floor need on.when get room 1 bedroom suite 1 king bed living area chair desk 2 seater sofa.then separate bathroom kitchen . I think ok suppose sleep ? call front desk attempt explain seem bit prob 1 bed . the girl speak helpfull say well advertise room either 1 king 2 double bed . we rq 2 bed give ... advise hotel do not suite 2 double bed avail could not move another room.fine , accept rq obviously occation could fullfilled.she advise sofa fact sofa bed 2 we would sleep that . I advise linen room could least bring make bed we ? ? ! ! ! bring bedding ( consist 2 sheet itchy blanket ! ) bed sofabe unfortable bed ever pleasure sleeping ! ! ! ! slept floor sofabe cushion well matress sofabe ! ! ! room also dark little natural light make feel little dingey ..... positive side hotel really good location good bar downstairs cocktail ! do not let reveiw put stay .... go NYC least year amount pay good base explore city ... do not think personally would return . 
 Oct 24 2008 	 Great Hotel 	 stay 5 night wife birthday / anniversary holiday . large room 25th floor big bed ever sleep , plus choice pillow . bathroom small everything include powerful shower . also small kitchen cooker , fridge , coffee maker etc use fridge cool drink . neither we want cook holiday , even breakfast . also small store room suitcase etc , good sized wardrobe , plenty drawer drawer space , tv etc . Decor perhaps little tired slep perfectly acceptable . the hotel well situated , opposite Madison Square Gardens . great bar/ restaurant across road - Harringtons . great bar call seven door . well worth visit . staff courteous helpful . slight drawback fire station 31st police station 32nd , siren go night New York . all would thoroughly recommend hotel anyone . 
 Oct 21 2008 	 yes nice convenient 	 helpful doorman upon arrival entire 5 day , even though ugly man . room not lavish , date . big roomy shower , tub ; huge closet . internet 10 $ per day seem steep , give incentive surf ( work ) room . hotel still want 24 $ per day internet , not bad . convenient train excellent eatery donut shop c - store elegant dining . nice view Empire State Building room . would stay , rack rate . worth 125 - 150 $ per night . 
