great 	 stay 5 night dad November 14th-20th . check quick easy , give room 10th floor view Empire State Building . room good size , twin bedroom pleased size . also electronic safe cupboard free use room clean everyday . breakfast fine - thought would probably go buy breakfast continental plenty choice always enough food go around . buffet style breakfast muffin , cereal , toast , youghurt , bagel etc tea coffee could help throughtout day night . hotel great location wise - road macy 's empire state 5 - 10 minute walk time square . beware though city never sleep - not think night sleep straight without woken binman 3 be noisy people come back hotel . window also break first night mean noise awful staff fix straight away next day complaint that . the hotel also sell ticket attraction exactly price attraction themseleve handy mean queue ! ! staff friendly really helpful , reccommended boat trip not even know fantastic . main attraction walk . People quick tell get taxi get everywhere walk 10 minute ! ! walk central park hotel John Lennon 's old house people could not understand walk 20 minute get ... place get underground Ground Zero walk Statue Liberty dock around ten minute that . when get give map everything seem really far away ... 's . save money walk , really not take long much traffic road 's worth get taxi . the security immense prepare prod poke ! 's good consider everything happen make think Britain . Top Rock , Empire Statue Liberty get search go metal detector etc go , understandable make feel secure plus not actually take long . come airport book Supershuttle.com go . excellent service , tip book ( tip huge thing place go eat actually add tip .. ask want leave anymore ! ! ) . share ride 4 couple take hour get hotel give we time take sight sound not mind . going home last get pick ride take 20 min ! 's cheap get taxi flat rate $ 43 one way . one final thing ... reccommend Keen 's steak house . literally round block hotel good meal ' ve ! ! expensive well worth . not go around 5/6pm though businessman go dinner get stupidly busy . go Sunday quiet . lovely place , excellent staff fab food . 
 Aug 5 2007 	 lovely pleasant central NY Hotel 	 Hotel Metro 35th Street NY excellent hotel stay . we 4 night NY little time want stay city . the hotel well situate attraction , especially want pick hop_on_off bus terminal min . away , next empire state build . staff good , room clean , breakfast good , could one want . I could fault hotel , certainly go hotel . 
 Jul 31 2007 	 good Find ! 	 5 night trip New York include hotel . it great location - walk everywhere ! not get one taxi - lot blister though ! ! ! Macy be within 1 minute empire State Building within 5 min ! room large - bathroom small . hotel little need TLC - dissappointe roof terrace closed suppose hi light hotel . hotel bar great cold beer end day ! try Keens Chop House round corner - fabulous ! would return ? maybe ...... 
 Jul 26 2007 	 Art Deco much 	 stay hotel lovely experience . great location , friendly helpful staff wonderful art deco decor . free breakfast 24 hr coffee machine real bonus.the room clean daily , bed comfortable also change daily , another bonus . this first trip NYC return would definitely stay . 
 Jul 21 2007 	 not go Hotel Metro . 	 room extremely tiny . rude staff . one help we luggage getting settle . get horrible service ' ve long time . 
 Jul 21 2007 	 Perfect location great customer service 	 New York City four straight year stay average hotel first class hotel . favorite Hotel Metro staff , location , room . room clean spacious ( suggest upgrade double bed size - 's large consider other NYC ) . front desk staff helpful pleasant . hotel close Times Square , subway Macys . hint : rooftop bar popular , go early get seat . fitness center clean everything work . check different site rate get different price , check resources- not forget empty temporary file cookie computer check around , web site remember rate previously give will not change unless update every time go web site . 
 Jul 21 2007 	 not believe odd negative review 	 panic read negative review hotel stayed decide go pleased . yes area leafy Upper east side location amazing term subway Empire State . could not fault hotel staff excellent helpful . not believe negative go ! 
 Jul 16 2007 	 Loved Metro ! 	 boyfriend stay Metro Feb 2007 first trip NYC . absolutely loved ! ! staff always friendly , one particular , receptioninst George always helpful , always smile chatting . room clean , immaculately clean time get back night . breakfast nice , everyday , lot good set day walk around city ! go back NYC November , want stay Metro , little expensive time year , would definately reccommend ! ! 
 Jul 15 2007 	 would stay ! 	 stay Metro 4 night begin July 07 comfortable pleasant stay . room plenty big enough we , certainly roomy hotel stay previous visit New York , bathroom clean . great location , short walk subway Macys construction work not bother we unduly . enjoy breakfast not see sign mouse ! staff pleasant helpful , particularly George reception . would definitely stay . 
 Jul 13 2007 	 positive mostly neutral great location 	 please patience whilst get something chest - reviewer base tsome criticism neighbourhood property & amp ; hotel guest Far East origin ? ? ? think closed - minded traveller wish visit somewhere contain ' melting pot ' culture rather naive choose visit New York . afterall , not wonderful preponderance minority ethnic neighbourhood , culture & amp ; cuisine one truly great thing New York ? ? plus , restaurant refer ignorantly ' chinese ' actually korean . rubbish leave outside rubbish leave outside every NY restaurant every night ! ! ! ok , hotel - brilliant , bad either . luckily come across evidence mouse , may feel defirrently . hotel seem expensive compare US destination , pretty standard price London example , expect high price NY . room small ( expect ) clean . enjoy mp3 docking station / speaker unit , breakfast useful ( toast , bagel , fruit , yoghurt , chesse , ham , cereal , danish pastry , muffin , & amp ; C & amp ; juice ) , 24/7 & amp ; c useful . staff neither friendly rude , get job do quiet non - chatty way - nothing rave , crucially complaint either . lift limited & amp ; slow , often take stair , - wait 2 3 minute & amp ; would arrive . not problem noise & amp ; think location superb - v close subway stop / Macys / Empire State Building . area feel safe , often return 22.00 01.00 not feel worried so- 24 hour korean restaurant next door help always pretty lively crowd outside . newsagent leave hotel drink & amp ; paper , area slightly whiffy - take 1 minute walk & amp ; be back excitement New York . hotel perfectly decent place see NY , well ' basic ' luxurious , rooftop bar still close . want somewhere bed night , get decent shower , good air con , cup tea hit city & amp ; free breakfast get ready day - . not expect huge room , smiley ' have nice day ' service & amp ; low price . ( Extras - be buy iPod NY make sure actually gB requirement need - not accept seller reassurance ' this 8gb ' example - especially around Times Sqaure . bargain hard , walk away & amp ; price get knock $ $ $ - $ 150 ask price Sony camera we . half price ticket booth theatre tix well worth despite wait 2hrs - great seat , especially wed matinee - $ 55 . Chicago & amp ; Colour Purple superb - first polished , latter move . Washington Square wonderful people watch , dog watching , weekend . New York Water Taxi great way take trip Brooklyn , ~ $ 11 pp excellent view Statue Liberty ) 
 Jul 11 2007 	 Loved service 	 hotel general great . very clean comfortable , home away home . a smile everyone face . great location . a whopping five star go service . I forget valuable item room manage get Texas 2 day later . very helpfull hotel manager . shall recomend hotel fellow South Africans . 
 Jul 5 2007 	 Fab location 	 love ! brilliant location block away Empire State Building near subway . staff could not enough we . the room perfect twin bed room rather double . we would definitely stay . 
 Jul 3 2007 	 great hotel great price locaton 	 Hotel Metro great ! hotel room spacious clean . bed comfortable . shower one well ever use . location well , one block Macy 's block Empire State Building . subway block hotel . would highly recommend hotel plan go back future . 
 Jul 3 2007 	 great location free coffee ! 	 friend recommend we hotel pleased . friendly staff , clean room great location near Empire State , Macy 's , Time Sq Rockefeller Centre . area immediately around hotel not great - lot construction work noise dust always feel safe . roof terrace still close refurb although see little sign work go . room overlook multi - storey car park view clean comfortable shower wonderful ! one small criticism strict rule mini - bar fridge . not put test , info say even lift something look 20 second , charge room ! supply not fill third fourth day not realise chocolate stuff . try charge we refuse okay . could not use fridge store drink ( even water ) all . the breakfast room get pretty full great go find breakfast . anyone keep kosher , two three restaurant deli within couple block . 
 Jun 30 2007 	 good everybody say ... 	 , like many , decide hotel choose , tend spend hour hour place like find good hotel money . read lot excellent review hotel outside source hotel 's website mention . , even tough hotel little expensive other plan choose , decide book hotel base solely review read . hotel bad 's wonder people tend believe . locate block surround chinese / korean commerce ( course , kind place like Chinatown ) regular bar hotel almost 99 % asian clientele . room size good NYC point view , bathroom tiny . first day use bathroom , one towel tray go stay whole stay . not care ask desk repair clean personal saw tray break every day not iniative ask repair . hotel staff neutral , friendly , rude , except one day staff desk rude uninterested . hotel clean bed confortable , complimentary breakfast plus . let tell not find hotel nothing extraordinary charming doubt will back know equal even well hotel well price one . Hotel Metro good want believe . 
 Jun 27 2007 	 Love hotel ! ! 	 transform ' old Hollywood ' beautiful , charming , mention economical NYC coolest hotel - chain amenity - special ! great location much . cozy lounge - great martini ! not want leave ! staff friendly , helpful even fun . regret rooftop close rennovation could see - view - feel reach touch Empire State Bldg . can not wait go back another stay ! 
 Jun 22 2007 	 cute problem 	 decor charming , free breakfast excellent , room walk - in shower staff surprisingly friendly helpful NYC . hand , neighborhood little creepy , esp . pass gauntlet garbage pile high sidewalk every day night . not mislead & quot ; new plush top mattress & quot ; - apparently mean nice ticking , pillow top . bed hard . awoke back pain first time many year . Minibar coca - cola alcohol . store water , fruit , juice prohibit electronic alarm enforce . cheap plastic cup - glass . & quot ; Superior queen & quot ; sleep room 10'x12 ' , bath 4'x5 ' , pretty small 3.5 * even NYC . roof deck close . maybe one expect price NYC ( $ 310 weeknight ) next time try somewhere little expensive . 
 Jun 18 2007 	 great hotel 	 first time NYC April . booked hotel read review site . not disappointed . excellent hotel , breakfast good . bedroom great . back room , not great view quiet . can not wait return . 
 Jun 16 2007 	 Excellent Stay 	 stay week business trip . room clean little large expect NYC . room quiet outside noise , ; not even realize city . continental breakfast bagel muffin ; fruit yogurt well . great ! ! free interent nice . staff good . 
 Jun 7 2007 	 Perfect 	 Excellent quality hotel , particularly price pay . staff quick help we anything . breakfast morning complete ( allow we stock snack rest day ! ) . highly recommend hotel ! 
 Jun 6 2007 	 Quirky Great Geography 	 location 's be , may hotel ! Hotel Metro half block subway Harald Square / Macy 's , five minute walk Penn Station Madison Square Garden . nice thick cotton towel free internet access specify hour key - card room must procure pass front desk . 's good point end . major gripe strange rustling sound , may rodent wall , wake night room . first think air conditioner condensate dripping , mini bar sensor , turn A / c later unplugged frig . sound persist keep sleep much two night spend . noise day . kind creepy unsettling . room 710 average size , 16x12 cutout small bathroom almost counterspace bathtowel - sized floorspace . tell upgrade king , think talk , see tiny room almost walk space maid leave door open along hallway . furnishing carpet dingy gold , brown , orange , fake marbled bathroom incongruous plastic cup thick , comfy white cotton towel . rooftop everyone rave closed , heavy construction go immediately west building , block W. 35th seedy filthy . Location ok , 's overprice amenity questionable rodent problem . stay could not find room 4 stars+ city weekend due multiple event . 
 Jun 4 2007 	 HORRIBLE CUSTOMER SERVICE 	 front desk staff horrible ... especially afternoon . man ( george ) extremely rude unhelpful . something happen go miss hotel ... good luck get anyone help find . totally ruin trip . would reccommend hotel anyone . 
 Jun 2 2007 	 problem great location 	 first time book hotel NYC . read lot review lot hotel , sound scary , opt relatively expensive , safe bet . Hotel Metro match expectation . problem . single room king size bed . small comfortable . amenity ( bed , towel , toiletry , tv , etc . ) average hotel like Holiday Inn . staff professional particularly friendly helpful . location really great , half block subway Herald Square , plus quite place eat around hotel , especially korean food . 
 May 30 2007 	 Good Hotel 	 Metro central . empire State building , Macy ` near Penn Station Time Square within easy walk distance subway station cornerWe find hotel clean ( bed clothe change every day ) . staff friendly helpful room ( 601 ) overlook alley bit small . slightly noisy extractor fan nearby reataurant work night . air conditioning system work well also rather niosy . soon get use . breakfast well expect good choice plentiful . overall Metro great hotel would recomend friend stay . 
 May 27 2007 	 fabulous ! ! ! ! 	 wife stay 5 night late may , I ve get to say experience start finish excellent , hotel clean , staff great location brilliant . anyone go check andrews coffee shop street west 35th 7 avenue , moan roof terrace close due building work , check next stay ! 
 May 27 2007 	 Excellent - quiet great location 	 find . pick Metro wim massive range available accommodation MidTown New YorkThe street little dingy hotel quiet calm little oasis away noisy street bustle big city . lounge comfortable general decor theme consistently smart throughout whole hotel . continetal breakfast good value restaurant serve good value well prepare meal night . bedroom comfortable well maintain - though little cramp next bulde sitea major selling point location - round corner Times Square , Macys , Empire State Building Fifth avenue 
 May 25 2007 	 Fantastic hotel ! ! ! 	 stay hotel fiancee brother 5 night August 2006 . delight upgrade 2 bedroom apartment . first visit New York City wonderful experience ! small criticism internet room little hot free use internet make . muffin breakfast morning delicious ! highly recommend hotel definitely stay . 
 May 24 2007 	 right amount comfort lot convenience . 	 Metro Hotel right middle midtown , step away 34th St./6th / B'way subway . be fairly price ( thing relative Manhattan ) , adequate nicety : comfortable bed , clock / radio iPod dock , clean , clean , clean . room least excellent condition . free breakfast nice ( fact run 11 am -- evening NYC get late ! ) . staff interaction go well , real complaint hotel . say , 's old building ( shiny new clothe ) , not expect rocket - fast Big Hotel elevator heavy - duty water pressure , adequate . 
 May 17 2007 	 Wonderful Hotel 	 wonderful hotel reasonable price New York City . clean well keep . hotel staff customer service orient go beyond assist customer . location accessible subway tourist transportation . definately stay . PAF 
 May 15 2007 	 Great Hotel * 	 come back NYC ..... can not wait write review great place ... mom arrive around 2 morning .... staff night efficient take 5 min check we .. heart 24 hour coffe / tea service ... since convinience store near hotel .. not get go sun deck since construction time stay ........ Macys , victoria secert , forever21 etc 30 second away hotel .... korean town 2 block ( get yummmy food ) ... subway station around corner .... highly recommand would definitely stay .... 
 May 9 2007 	 fantastic stay Hotel Metro 	 stay Hotel Metro 4 night honeymoon end March 2007.Great hotel - no complaint ! could not ask well location , 2 minute away Macys 10 minute walk Times Square - everywhere easily accessible location . the hotel itself - we always find staff efficient helpful , room small fine otherwise decent shower bathroom . request room back great quiet able get good night sleep every night ! Breakfast also fine , always plenty choose 24 hour coffee / tea facility great idea . overall would highly recommend Hotel Metro traveller budget not want make many compromise ! btw - would also recomme 2 - day hop on - hop bus tour book reception - really resonable price get see much NY would foot ! 
 may 6 2007 	 good keep secret 	 Great Place stay new york . stay 4 time . never complaint . staff freindly helpful . room excellent . bit small . new york . all room refurbish . everything new . nice comfy bed . Brerakfast include . Tea & amp ; coffee free day reception . fantastic location . 100 yds Macys . time sqaure around corner . Dont bother try find well hotel budget . place stay ... 
 Apr 29 2007 	 great location great breakfast 	 husband stay Hotel Metro late April , 2007 . love . initially put smoking room , request change non - smoking room immediately grant . new room small least not smell like smoke . the room seem recently renovate , carpet new fluffy . bathroom marble . shower great - high pressure wait hot water . there free high - speed wireless , safe . , clock radio switch one mp3 hookup - nice touch ! bad not bring ipod . the good part location - near Macy 's Empire State building . central regardless want spend time Manhattan . subway stop step away . the continental breakfast free , fresh , good . overall , would recommend hotel , especially price . 
 Apr 28 2007 	 Great Hotel 	 Excellent location complementary buffet breakfast 24hr availability coffee tea real bonus . research hotels area booking , hotel disappoint . location superb - 5 min walk Macy 's 20 min walk Times Square . staff friendly room clean relatively spacious ( superior queen bed size ) come equip iron , hairdryer safe . much view rear hotel be use constant hum traffic night long probably good side locate . roof terrace currently refurbish gym well equipped . tip : travel road reach JFK leave 3.30 - 4.30 - rush hour , allow least 2 hour reach airport ! ! . 
 Apr 27 2007 	 stay ... 	 Location , Location , Location ... could not pick well hotel location first vist big apple . macys end road empire state build around block 10min walk times square , feel right thick action . hotel room , previous reviewer state , fairly small adequate clean . safe do not work report reception would sent man repair use reception instead . bathroom tiny clean adequate . lift abit pain , go week easter hotel busy still wait time would imagine right pain peak time ! ! do not get noise room think , think back hotel , great view multistorey carpark , be not room view do not bother we . abit gutte roof top terrace close repair miss . : ( must mention metros resturant next door . excellant service food relativley cheap hotel guest get discount , bonus ! one good thing hotel however breakfast . great selection bagel , bread , croissant soft cheese spread , jam , butter etc .. tea , coffee fruit juice boot , tea belly grateful allday tea coffee service . sadly mention poor service hotel reception . find quite rude time stop ask advice , do not spoil stay well service would make great hotel instead average one . must try hard ! .p.s please try steak brendan ( opposite hotel ) truely great ! ! ! 
 Apr 24 2007 	 Fab Location Great Breakfast ! 	 first time New York absolutely love hotel . the location fantastic- within spitting distance Macys Times Square . room quite large clean comfortable . nice bathroom walk - in closet plus ironing facility , mini bar snack basket . the breakfast morning one good bits- can not believethey throw free ! load fresh tasty muffin bagel aswell bread , spread , pastry cereal . hotel also comlpimentary tea coffee day long- another bonus ! another great feature hotel rooftop terrrace . enjoy view city include Macy 's Empire State Building . 's great suntrap even open bar certain time day . next indoor gym also handy drink vend machine ice machine . I would definitely stay . 
 Apr 21 2007 	 Unresistable Location ( less $ 10 cab fare almost anywhere city ) 	 Hotel review:1.location : hotel one block Macy ' ( Harold Square ) , know large store world contain every designer could ask . therefore , location amazing first time New York traveler . also right around Harold Square Victoria Secret store , many chain type store , even Daffy ' ( great find bargain little treasure . ) wake morning pass donut pastry cart way , afternoon way back pass hot dog sauerkraut stand . ' hard beat . ' also 8 - 10 block Times Square , many tourist like least see visit , block Empire State building.2.VIEWS : although room beautiful view , room view multi - level parking structure . realize New York , ' much could avoid view , luckily close curtain hear car alarm go once.3.ROOMS : room comfortable bed unlike many hotel bed . wake sore . room everything would need room perfect tourist basic hotel room need . complaint room wall thin disturb guest disturb likely , however tired time get room night never bother we personally . room also lack wireless internet full length mirror . also , make sure put privacy sign door , brother room walk around eight morning male maid wife ' happy about.4.continental breakfast : ' know could ever complain part hotel . breakfast lobby beautiful multiple couch , fireplace , flat screen lounge always open sit coffee tea . morning constantly refill selection item unlike , good stuff ' go ' late riser . also , quality food . 10 different type " Costco " style muffin ( unaware analogy , really big fresh one , stale little thing . ) also provide selection bagel Philadelphia cream cheese , little cheese , pastry , selection yogurt , fruit , hot chocolate , cereal , juices.5.SECURITY : get late every night always man desk security guard couch keep tab everyone . keep good eye everyone remember guest ask . impressed well pay attention coming going hotel . overall , hotel might trendiest modern stylish . also may luxurious comfortable bed really great amenity rate . would stay every time return New York , unless course want something slightly expensive / romantic . , hotel work variety people . ' late 20 ' mother 60 love hotel equally ' ever feel need stay elsewhere . cheer travel safe . 
 Apr 20 2007 	 fantastic stay 	 boooked hotel internet , something quite new we ( mature couple ) . arrive recieve warm welcome tell give room upgrade . reception staff really efficient , mention would like go jazz club evening , offer find club we would check price , availabillity etc . say would ring room detail , quickly . we could not fault room , great , spacious clean . breakfast plentiful thing could problem size lounge peak time - could take breakfast room . not experience difficulty . oh coffee available 24hrs day also great . all great place stay , would certainly go back . 
 Apr 20 2007 	 good location worth money ? 	 stay one night come Boston travel Long Island 's enough time form opinion . check - in possible mid - day - plus . Buffet breakfast OK . staff meet friendly . however , quite lot money room quality - recent stay Toronto five star cost much less ! central location , ideal though previous reviewer mention might worth pay little something much well ! 
 Apr 20 2007 	 Excellent experience 	 hotel update clean . room also spacious . stay wedding next day could walk see Empire State Building , great . would come . 
 Apr 18 2007 	 Great Value New York 	 stay 2 night April find hotel friendly . arrive 8.30am expect store luggage problem also tell we go ahead breakfast good extend buffet serve lovely lounge bedroom clean small noisy front hotel . safe work try repair safety box reception charge friendly staff breakfast make hotel ideal stay New York mention great location travel JFK Penn Street Airtrain Metro Howard Beach $ 7 walk Penn Street hotel Metro 
 Apr 18 2007 	 bad free breakfast time . 	 great position , near subway , Maceys etc - ideal nipping back whilst . even coffee available 24 hour lobby area . the room ok . 's 12th floor little pokey 1980 's let face be hardly room . staff ok , say much little contact . . warn watch breakfast time . peak breakfast time 8 - 9am enough chair , people stand eat crunchy nuts - bizzare ! peak time - Easter , still . fairness though , clean well run hotel . pretty much would expect money . city however ! fantastic .... Book ! ! Happy Holidays . 
 Apr 15 2007 	 worth every penny ! ! 	 stay go late night birthday party . read many previous review still pleasantly surprised hotel . front desk well staff helpful . complimentary coffee tea offer throughout day . arrive around 4 pm decide go shop . talk perfect location ! Herald Square less block away . room small , clean pleasant view rooftop back . minibar charge base weight item . remove anything unless expect charge item . aside basic cleanliness convenience location , surprised quality food Metro Grill . husband wonderful dinner ! atmosphere leave something desire , Ravioli Aurora Salmon excellent ! lot value location ! 
 Apr 15 2007 	 Great Location Unfriendly Staff ! 	 Fiance love New York . 's amazing city . book Hotel Metro extra holiday year bit budget . hotel good value 's location , trust , get pay ! hotel not bad staff unhelpful even borderline rude time ! not know eating get stage could not bother ask anything ! heating room keep say would fix never happen ! bare mind big freeze go ..... -10 ! ! room bad quite big New York . street noise always expect New York . nice quiet , comfortable room fainess . bathroom could update . location brilliant ! easy get around Subway end block well Macy 's ! overall , get pay staff could friendly ! would stay make mistake go budget go back New York . must admit sort person like stay nice hotel , even ' m go much . sort person not mind 's perfect . could not help think ...... another £ 200 could ' ve stay Waldorf . wish pay would make holiday another perfect one New York . 
 Apr 10 2007 	 nice stay 13 - 21 March 	 first thing first staff friendly especially one doorman recommend show Curtains ( old gentleman unfortunately can not recall name ) . show brillinat way . first night allocate room top floor wake 8 am next morning builder work terrace . inform reception staff move another room . might want question whether work complete terrace accept room 12th floor . whole hotel include room spotless . another bonus stay Metro free breakfast . bagel , toast , muffin , fruit , juice , tea , coffee forth yummy enough day . could also take breakfast room fancy breakfast bed ( breakfast staff happily organise tray ) . might bit repetitive breakfast hotel day save fortune . great location many people describe . Nearest metro stop 100 yard away 34th St / Herald Square . would recommend Brendans bar across street hotel . nice bar great atmosphere ( hotel bar nice usually empty ) . free wifi room - absolutely brilliant especially like can not live without laptop . hotel room also laptop size safe even wide screen laptop could fit . overall nice hotel would stay . recommend hotel family friend . 
 Apr 3 2007 	 Excellent Location 	 hotel excellent location - particularly first time visit . macy be directly across road end block Empire State Building one block . also handy metro station end street . the breakfast complementary - bagel muffin - good quality . there roof top restaurant open March . room back hotel slightly small side little street noise clean . staff helpful half hour free internet facility second floor ask reception key access internet room . overall good hotel . 
 Mar 28 2007 	 great Find ! ! 	 return first time trip NYC rave hotel . Hotel Metro excellent choice first - timer city . location excellent ... right around corner Empire State Building , short walk Herald Square one find Macy 's , Sephora , Victoria 's secret ton store . half street block away subway station connect major line take almost anywhere quickly . room quite spacious great view Empire State Building . continental breakfast perfect fill day city . lot choose plenty room sit enjoy . staff friendly always available hail cab give suggestion eat see . I would recommmend hotel anybody first time visitor overwhelmed choice . 
 Mar 25 2007 	 Quiet hotel great location 	 Staying Metro highlight recent five - night trip New York . unusual spring snowstorm . however , location Metro perfect . near Empire State Building within walk distance theater district . hotel wonderful breakfast every morning , keep overall expense low . request quiet room upper floor . room large expect roomy closet . clean quiet . look forward go back . 
 Mar 19 2007 	 Excellent Hotel . 	 come back magnificnet holiday NYC . hotel excellent . location , location , location alone make hotel number 1 choice . room big enough stay . People say room small , sleep never felt cramp . difference size horel room stay London . 5th floor back hotel . pleased . view room , honest building area size big . can not really see view could . would recommend stay back hotel , due street noise forever beep horn car . 5 min walk Empire State , 5 min Macy 's , 10 - 15 min walk Times Square . breakfast great lovely area eat relax long day . tea coffee 24/7 . staff friendly helpful . definately recommend hotel . can not wait go back . 
 Mar 15 2007 	 surprise ! 	 stay Hotel Metro along 6 friend 5 night stay shopping take sight . hotel functional really need long weekend . room small ( view ) clean . breakfast adequate . 24hr complimentary tea / coffee facility useful especially ' pitstop ' frantic shopping spree ! . lounge welcome retreat rest tired foot also ! .At first , arrive city long tiring journey London , entirely sure situate - visit rooftop terrace prove wonderful surprise ! . empire State Building close feel almost touch ! . talk great photo opportunity ! . 's one experience shall never forget wonderful trip New York . I would stay Hotel Metro 's convenient ( breathtaking ) location . 
 Mar 15 2007 	 Great Hotel Wonderful Location ........ 	 great time NYC & amp ; Hotel Metro help along way . upgrade kingsize room without ask , 8th floor back hotel , great room . bath plus shower , load floor space & amp ; walk wardrobe . trouble street noise . Breakfast heaven , great chioce , never overcrowded always plenty eat . coffee tap 24/7 , great take room . staff friendly & amp ; helpful . slight problem room safe , sort within 10 minute complete satisfaction . great location , 5 minute walk Empire State , 15 minute Times Square , 30 minute Central Park - wonderful . try Heartland Brewery bottom Empire State - great home brew beer & amp ; cider . tavern Green Central park mean Lemon Martini . irish Pub Playwright next Hotel nice & amp ; friendly & amp ; burger wonderful . can recommend Oyster Bar Grand Central Terminal - lovely food . Matthew door man , polite & amp ; arrange taxi airport good time check . 
 Mar 5 2007 	 Nice hotel .... good breakfast ! 	 review many hotel site , end choose Metro 4 night trip NYC mom cousin . mainly choose location fact breakfast include . nice continental breakfast option morning , save we buy breakfast coffee elsewhere . 24 hr . coffee / tea service lobby nice touch well . the location hotel awesome . quick walk next block Macy 's Empire State Bldg . usually take cab everywhere else weather cold . cab ride Times Square 6 dollar approx . 5 - 10 minute depend traffic . also $ time cab theatre . overall , hotel good value NYC standard . room happen wheelchair - accessible room , obviously large normal room size would . therefore , three us plenty space room two double bed . can not comment space issue average room . locate ( think ) back hotel , view window . not matter truly not room long enough anyway . want hang hotel NYC ? ? couple minor problem room though comment . toilet continue malfunction maintenance several time . also battery door lock start & quot ; go dead & quot ; middle night ( result constant low beep noise 2 leave room 9 ) . apparently front desk person unable change battery maintenance contact problem . bit irritate we , front desk not accomodate . overall , staff not helpful and/or friendly ( exception one bellman -- old gentleman unfortunately can not recall name ) .so summary , would recommend hotel price , location , breakfast / coffee -- -but hopefully will not problem require assistance front desk staff . fun city ! ! ! 
 Mar 4 2007 	 Nice Hotel Great Location 	 stay Hotel Metro last July business trip . room spacious clean ; bathroom clean well ( bit date look , still clean ) . gym facility ok - use treadmill fine . loved upper deck cocktail evening ! staff friendly helpful . lot good choice Breakfast room serve large comfortable tv 's around catch morning news . location great ! many destination within walking distance ... could not ask well . I would definitely recommend hotel business pleasure travel . look forward another stay Hotel Metro . 
 Mar 2 2007 	 great use 	 use love hotel , room get small terrific free refrigerator replace prestocke bar sensitive touch easy get extra charge bill . bad hotel money , great use . nice roof garden view Empire State Building people fairly friendly . 
 Mar 1 2007 	 Great Location 	 stay Hotel Metro honeymoon New Year 2003 - 2004 . hotel wonderful location close Macys Empire State Building . slightly disappoint actual room - certainly not would imagine honeymoon suite look like ( ! ) clean job ! staff helpful friendly - particularly luggage go miss 36 hour airport . the negative floor gym could hear people run treadmill . also absolutely view room . free breakfast not much , free not eat ! 
 Feb 28 2007 	 good 	 good : - get special discount book on - line- clean room- nice bathroom hot water- good bagel breakfast- helpful staff- central Manhattan locationThe Bad : - small room show website ( hate ! ) - noise front street ( window soundproof ! ) would stay front room weekend due street noise . weeknight well . overall might try would tempt try another hotel different location ( either Greenwich , Soho ) . 
 Feb 25 2007 	 's fine place stay - good value 	 stay three night Feb. 2007 . standard room , double bed , desk , two chair , closet . on positive side , room average size NYC . clean . bathroom good sized , hot water work well . desk staff friendly helpful . business center ( 2 computer ) w/ printer internet access , say hotel - wide wi - fi , not bring computer try . complimentary continental breakfast convinient , crowd . hotel short walking distance Empire State Building , Herald Square , Penn Station , Madison Square Garden . TImes Square slightly long walk . everything else , hotel convenient subway - station end block . couple asian restaurant nearby , couple irish pub . hotel bar make excellent cocktail . on side , experience many problem mention traveler review . room hot , even heater . around 20 degree F outside stay , able sleep crack window , degree warm outside , probably would unbearable . room safe not work , take valuable we . street noise slightly distrube ( even window close ) , even though back hotel 12th floor . elevator incredibly slow , person uniform presumably doorman , open door assist luggage . would problem , except wife eight month pregnant trouble open door ( REALLY windy ) luggage . guy watch struggle . lastly , tout rooftop terrace close construction . anyhow , price , suppose ok hotel . nothing awful stay . however , nothing really make want come back . probably try different hotel price range next time ' m NYC . 
 Feb 20 2007 	 Hotel Metro real find 	 lovely stay . kind people desk . surprisingly nice continental breakfast . room quite large . single traveler ' m often give closet . small bathroom perfectly nice . would stay minute . lot snow roof repair underway , amazing roof deck close . peek not prepare stunning view Empire State Building ! on - line price can not beat . 
 Feb 17 2007 	 Fantastic Location 	 book line , sure expect , pleasntly surprised . beautiful decor ( NYC ) view roof top bar night jawdroppe . we ( sister ) ask 2 bed , give double bed -we tell & quot ; request & quot ; automatically guarnatee ask hotel fault , book agent ! minute debating decide NY worry .. location hotel perfect ( Macy 's right , Empire State Building leave ) .The staff nothing courteous helpful hotel spotless . the shower hot bathroom clean . room clean fresh safe extra cost . free tea & amp ; coffee time decent breakfast set eager tourist day . Loved NYC help fact Metro Hotel less perfect ! ! ! back ..... Jackie Ryan , Galway , Ireland 
 Feb 15 2007 	 shopping 	 stay Metro Hotel 5 day two female friend 1st 5th Feb 2007 . hotel near beautiful Manhattan shop accessable tourist attractiction . staff wonderful helpful especially George . hotel clean room large ( give free uprgade suite ! ! ... love ) .The breakfast die ... wiill die stuff face muffin ... food offer . I rate hotel enough ... 10 10.i back NYC July 3 year old know stay ... yes .... Metro .. back . only joke love friend .... even come back club 5 am morning ! check outRegardsAllyson 
