nice 	 take kid NYC Thanksgiving holiday nice stay Belvedere . staff helpful room nice size four people . hotel locate couple block Times Square , Rock , Macy be got see sty midtown . rate reasonable compare hotel area . would recommend hotel look reasonably price , well cared hotel . 
 GREAT ! ! ! ! 	 nothing negative hotel bad good .. could way soft ... .. Location AWESOME .. 2 - 3 minute Time Square ( walk ) .. clean big room , nice Bathroom , quit .. place we next elevator bit loud .. go 10 minute get another room without problem , Valet parking reasonable 43 usd .. great experience .. sure return . 
 Dec 19 2007 	 good location 	 stay Belvedere quick weekend Christmas visit city . 's Westside location good get Newark Airport , be come La Guardia JFK may want eastside hotel . close theater district without middle , within easy walk Rock Center , Radio City Music Hall & quot ; holiday & quot ; stuff want . Hell 's Kitchen far west side ( 9th Ave , even 10th degree ) much well live 15 year ago -- great restaurant fairly safe -- belvedere good choice price , cleanliness , location . staff accommodate . room not large , view stink , spend time look hotel window NYC ? ? 
 Dec 19 2007 	 Nice Hotel .... 	 Nice Hotel , .... book Executive room . newly re - decorate / update room . take look standard room little run down . the executive room well appoint , good size , comfortable bed , flat screen tv.there room service , hotel surround many good place . nice staff , room clean , location convenient Time Square . would definitely stay ! ! 
 Dec 18 2007 	 Excellent location ! ! ! ! 	 intially sceptical base travel review read . upon arrival ( 8 am ) , give we good room w/o additonal charge . room generally clean though heater not quite work ( fast enuf ) warm room winter . location perfect close Times Square yet away hustle & amp ; bustle , be 5 min walk ! go .... definitely , hopefully find well rate ( pay US799 first nite approx US350 subsequent 2 nite ) .It first trip NY hotel enuf make we wan na come bck NY hotel . Siti Murni , SingaporeTravel Period 8 - 11 Dec 2007 
 Dec 11 2007 	 Excellent Value Service 	 return 4 night stay hotel . Budget hotel , clean , excellent helpful friendly staff . breakfast place around corner ( Olympia ) cheap hotel , fast efficient service cheap . negative factor slow elevator , everything excellent value money . couple block Times Square within walk distance Macy 's . Broadway doorstep . room microwave , coffee maker , fridge sink . 
 Dec 10 2007 	 Excellent value location need say ? 	 ' m back 4 night stay ( 3rd -7th Dec ) Belvedere hotel Midtown Manhatten . 3 we travel Dublin ; 2 sister ( 25 16 ) day sightseeing shopping . see hotel hotelconnect website try book unfortunately availability manage get book hotel web - site . can not rate hotel highly enough ; double double i.e room 2 double bed read review hotel concerned room might big enough 3 avid shopper plenty room we , belonging extra belonging pick along way . hotel literally 5 min walk Times Square 10 min walk 5th Avenue . walk everywhere ..... everything accessible ! load place eat street hotel although not try . hotel also restaurant although not eat either ; would however recomment La Pigalle corner downa bit hotel maxie next block . La Pigalle handy breakfast 's 2 min walk way site anyway . I d read review slow check - in wait lift experince not encounter problem .... fact check - in 4 pm prior leave Ireland email hotel see would possible room ready arrival expect arrive half 2 3 pm .... hear nothing figure mght lucky low behold room ready wait we . check - in room within 5 min , staff reception extremely friendly , professional helpful . room 5th floor ... find room little cold draught blow around air - conditioning unit easily fix place shoe curtain hold back draught not warrent complain management . one evening return room find chinese take - out menu door ...... little strange consider restaurant downstairs last evening shop could not manage leave comfort room order complaint ! top tip first - timer trip Big Apple : 1 : take open top bus first day will get bearing much quick get real feel city , try see city Top Rock Empire State , never get ESB unfortunately , 2 : like shopping go Woodbury Common Outlet .... $ 39 pp bus form Port Authority . get ticket hotel concierge get half hour befre th us leave might bit queue . journey hour drive upstate worth ! shopped til drop ..... literally ! ! ! 3 : cheap alternative Liberty / Ellis Island ferry Staten Island ferry ... miss last ferry hop SI communter ferry view good . go time year try get 4 pm ferry .... sunset amazing way get see city lighting come back . ( hope include photo later ) 4 : Rockefeller Centre amazing really get mood Christmas ! shop wise ; Woodbury Common worth , give Century 21 miss unless be fan TK Max like rummage ! ! bit disappoint Macys , maybe big busy look winter coat not see anything would wear maybe 's . never make Bloomies .... be always next time . can not go New York without visit Tiffany 's ...... will surprise actually afford ! forget Ambercrombie Fitch ... well worth visit photo half - naked male model door - way ! ! ! ! great time problem , fact be already plan return visit Belvedere . 
 Dec 7 2007 	 believe Reviews .... Belvedere Great Stay 	 wife return 4 night stay Belvedere . hotel exceed expectation . ROOM : room small tiny . first night stay standard room . next three night move 15th floor , renovate appear executive level floor . room much nice standard room marble floor , well spacing , nice furniture . specifically , corner room ( # 1501 ) slightly large two window . actually good view Hudson River room . pay $ 75 per night extra upgrade room would heartbeat . request room return . check & quot ; NY1 & quot ; internet rate hotel website ; include full breakfast buffet occupant morning . location : West 48th Street 8th 9th Avenues . like location well mononlithic 5th Avenue hotel stay last time . feel like neighborhood . within one block : Duane Read ( grocery / pharmacy chain store ) , Pigalle ( great casual french brasserie great beer selection , many restaurant . Theater District 's Restaurant row two block away 46th Street walk play attend . lot restaurant shop around . occasional ubiquitous emergency vehicle siren , noise factor . food : eat breakfast Belvedere Room several morning find pretty good lot selection . service : hotel doorman bellman ; also concierge . find staff friendly . gift shop newspaper , soft drink , toiletry , souvenir . think elevator run fine never wait minute two . lobby well appoint Art Deco furnishing . value : holiday rate average $ 500 per night many hotel , find Belvedere 's rate fairly economical New York standard . get unusually low rate name upscale hotel ( W , Renaissance , Westin , etc . ) would stray Belvedere . my complaint : Business Center four computer internet access , hire 0.25 per minute . actually bill acceptor credit card swiper one . sink $ 5 bill 20 minute e - mail reading , disappointed find service -- -l -- -o -- -w . take four minute open first e - mail . lockup frequent . in summary -- trust high rating Trip Advisor reviewer give Belvedere . 
 Dec 7 2007 	 Belvedere - Service 's good 	 stay Belvedere great experience . hotel beautiful . room spacious confortable . service expect . love everything stay . block corner florist . flower gorgeous really set mood everytime walk past back hotel . good feature pricing . block & quot ; hub & quot ; Manhattan , able pay low rate stay right near Times Square . however , close , minute walk area . ny , walk half fun . recommend hotel many friend family . look forward another visit . 
 Dec 4 2007 	 Brilliant ! 	 husband stay Belvedere 4 night honeymoon November . we arrive late evening delay flight staff friendly helpful . the nice king bed big tv , good kitchenette nice bathroom . also safe cupboard keep passport whilst there . the location excellent , walk distance attraction subway easy reach . breakfast also good especially pancake ! go middle theatre strike show watching cancel . theatre reopen last day BRILLIANT concierge manage get ticket orchestra stall really late notice we . I would highly reccomend hotel ! 
 Dec 1 2007 	 Excellent hotel 	 love every minute stay , daughter stay Belvedere 5 night trip , book directly hotel choose NY1 special include full american breakfast . hotel staff friendly helpful room clean two double bed . the hotel excellent location close time square rockerfeller centre broadway . we lovely holiday definitely go back New York stay Belvedere . would definitely recommend hotel . 
 Nov 27 2007 	 Excellent hotel 	 stay three night . hotel five minute Time Square . staff helpful room spacious , clean well furnish . try breakfast one morning nice wide choice different food . would hesitate stay . 
 Nov 26 2007 	 Loved Belvedere 	 stay Belvedere 5 night November , 6 lady ( age 29 48 ) 2 room , ample space 3 room never feel crowd even suitcase daily purchase make ! ! hotel clean , warm comfortable staff nice helpful . early every morning go full day sightseeing shopping time sit around hotel find fault much see city ! ! ! thoroughly enjoy experience hotel would defo go back . perfect location , block time square within walk distance Macy , 5th Avenue , Rockefellar centre central park . walk absolutely everywere well way get feel city ! ! would recommend La Pigelle corner breakfast Hurleys restaurant one block hotel steak ! ! ! also feel extremely safe around hotel city general . hotel perfect come back full day walk , sightseeing shopping . room clean everyday fresh towel place bathroom . also hop hop tour find great help get we place may see otherwise ! ! worth $ 50 48 hour useage . TOTR absolutely brilliant view amazing ! ! would also recomme use staten island ferry view Statue Liberty , free give excellent view . Woodbury Common also worth trip ! ! ! love everything city hotel perfect base we come back ! ! ! may first visit NYC Belvedere certainly last ! ! ! 
 Nov 25 2007 	 wonderful jewel 	 stay Belvedere three night first trip NYC find hotel much , much well expect . location Mid - town excellent base get major sight plan visit . executive double bed room clean withcomfortable bed amentitie exactly require . without exception , hotel staff friendly helpful . offer great restaurant suggestion Restaurant Row ( within 2 short block ) . bellman good , especially Louis David . store luggage upon check - out several hour flight arrange clean , safe car driver departure trip . read review slow elevator find problem . however , plan arrival departure around busy checkout hour . really appreciate , quiet location 48th Street . noise get around city , quiet restful back hotel . enjoy stay much , extend stay extra night . definitely stay . excellent value hotel NYC . 
 Nov 24 2007 	 Belvedere always Rocks ! 	 stay Belvedere third time October 5 night stay . norm , meet exceedingly friendly service everyone go beyond ensure stay comfortable . one experience portray first night , unable open bottle wine purchase . call front desk , someone promptly send room open bottle we ! ' definitely beyond make sure filled hotel run smoothly . everyone friendly accomodating , room . experience problem elevator other express , though may limit , run consistently long wait one 3 minute max . course location primo well . never stay anywhere else recommend Belvedere go NYC ! 
 Nov 23 2007 	 Belvedere great ! 	 ' ve read review say . stay Belvedere 3 time , 7 night time . every occasion never complaint make hotel . first 2 time mother extend shopping trip . Hotel conveniently locate 5 min walk Times Square 20 min walk Macys . easy get back deposit shopping get back sight without waste lot time . 3rd time family ( parent , husband 6 month old son ) . ask crib arrival one deliver within hour room . room spacious enough 2 double bed , plus floor space shopping - definitely take empty suitcase ! ! bathroom adequately size 2 people room . we never eat hotel great diner round corner , deli corner 24 hour . Food Emporium 2 min walk ave provide smorgasbord culinary delight . the subway block away ( A / c line ) course transfer line Times Square station . yes , fire station corner street , yes taxi honk night , yes bin man come every morning hey , 's New York . would not right noise ! ! fault hotel - would not go back problem . always reasonably price , within walk distance major attraction ( Statue Liberty subway ride away ) . check - in desk staff friendly , doormen wonderful , friendly polite ( especially stagger back early hour ! ) never use concierge advice many time . internet access available lobbby ( take dollar bill ) . lift slow be low floor able , walk up / down stair . alternatively , nip corridor use service lift ! seriously , think hotel great recommend several friend . ' m book week NY next Easter Belvedere top list . can not wait ! ! please feel free ask question stay ( ) trip , gladly answer . 
 Nov 20 2007 	 price get can not well NYC 	 get lucky pay $ 170 canadian . see $ 250 possible hotel , book wisely . price pay great deal location . Doorman valet ready arrival . could not check 11 am take bag ask want call room would ready . got back hotel 4 pm room ready . pleasantly surprised , New York good sized room king bed , nice simple furniture . bathroom nice , marble sink , microwave fridge small kitchen style space . decent size closet well safe . plently tv channel helpful staff . bellman always prompt . notice heating control centrally odd , one time feel room get cold heat come on . it block bit away Times Square , 3 star , prob good 3 star possible . try get deal , will well lot budget hotel NYC 2 star . 
 Nov 20 2007 	 terrible Expensive Zero Friendly Staff do not make Mistake ! 	 wife stay Belvedere , two night convention , option choose another hotel . as see hotel web page charge $ 600 , per night , obviously expect maximum service , comfort luxury price . we arrive 12 thursday / friday , receive , welcome two ZERO FRIENDLY employee one name Julio , tell we main desk problem reservation room , one could give we room day reparation wall ! smell little bit rare . ( strange large conventioonas get room 4th floor way , room small , lousy tv , ( plasma luxury , remember price ) window thin veri noisy street , ahh one little detail garbage truck pass 2 am night row , window imagine sound time . by time leave , also insult doorman , tell we , undertand english . a terrible experience , almost half price stay another hotel big chain , well location , check price , hotel , dont stay one . 
 Nov 15 2007 	 never ever ... big time disappointment ! ! ! ! ! ! 	 begin .... book manhattan club website ... request deluxe room 2 queen bed ... receive confirmation ... upon arrival , surprised room far deluxe 2 double bed ... promptly go front desk enquire tell room 2 queen bed . ask could upgrade room , not ask freebie , make crystal clear willing pay price switch room ... tell room superior quality .... ... 4 night stay become 1 night stay .... spend next 3 night Parker Meridien ... much expensive , least get pay ... experience leave wonder , exactly room show manhattan club website , actually look quite nice , like one give ... buyer beware , want economical room , may meet standard , however , expect much bitterly disappoint .... 
 Nov 15 2007 	 Excellent Location Great Price 	 stay 3 night lot search internet . great location Subway , Times Square , Shopping & amp ; feel safe time . room large enough 3 adult share . good powerful shower . would recommend hotel want spend fortune accommodation save money shop ! one problem annoying squeeky bed . 
 Nov 14 2007 	 Belvedere fab ! ! ! 	 husband stay Belvedere 7 night September part honeymoon . think hotel wonderful . excellent value money can not fault anything . staff polite helpful , roast New York air con unit break one day time get back room later afternoon , fix . breakfast good value money , choice full breakfast $ 16.00 ish continental $ 12.00 , self serve pretty much could eat . minor thing lift keep break , 3 other use occasion use stair 9th floor . location fab , great deli corner lovely restaurant nearby . Times Sqaure five minute walk away , one day walk Central Park , Empire State Building back hotel , not lazy not mind walk , location fab ! get feel people review Belvedere hard please never go satisfied plain picky ! ! fair , New York City - hotel somewhere sleep , that s . already plan next trip New York definitely stay , love ! ! 
 Nov 11 2007 	 good budget ! 	 return stay Belvedere , NYC value money wise quite pleased . let start good : £ 500 3 night . be pretty central , 3 - 5 minute walk Times Square , would well 1 block east whatever , walk good form see New York anyway . service good , Chris concierge helpful attraction ticket general NYC advice . room spacious , bathroom nice . the bad : room service , breakfast $ 17.50 bit rip - off , room stay forward face onto part 48th street I m even sure double glaze could hear every little noise . bear mind yellow cab honk well night , bin man come every morning prompty 5 am make racket wake anyone . overall though value money expect , reasonable hotel though definately well place stay New York , be budget however , Belvedere . 
 Nov 9 2007 	 Belvedere Hotel NY . ok choose choice 	 hotel locate 48th , beteween 8th 9th . one block East location would much well . room ok , bathroom . amenity . shampoo - conditioner body lotion , bad quality . even shower cap . but service . ask bell man bring luggage upstar wait one hour . time call would say way . finally decide go downstairs discover show ticket get luggage upstairs , ticket one ask . elevator crowd time slow . take time go down . Breakfast include ok . rate USD300,00 , although october seem pretty crowded season . if choice , won´t stay . 
 Nov 9 2007 	 sure check reservation million time 	 hotel really screw reservation . book AAA 3 people . even confirm reservation dept time phone . denine it . I write complain AAA upon return home . hotel long AAA 's list hotel NYC.I know instinct right ! want jump behind front desk rip AAA sign wall ! note : another party Scotland trouble reservation check in . beware ! make reservation . get name , call several time confirm ... reservation dept stink ! 
 Nov 4 2007 	 would consider stay 	 stay Belvedere one Saturday night . since last minute trip , trouble find hotel room available . Belvedere available pay nearly $ 600 Executive Room 15th floor . newly remodel room nice , elevator would stop floor , looked date , 15th floor nicer . everything fine . nothing terrible , nothing spectacular . location good popular thing people Manhattan . although probably try different hotel next time NYC , would problem stay . 
 Nov 4 2007 	 hesitation recommend Belvedere 	 thank previous recommendation excellent website return enjoyable stay Belvedere . warmly welcome reception staff delight large double double room 12th floor . hotel spotless book directly hotel excellent breakfast include price . hotel locate relatively quiet street within five min walk Times Square close subway master problem feel safe time . visit follow attraction etc base information trail New York forum section would like recommend follow ; New York Party Shuffle bus tour . Use [ -- ] discount printout theatre ticket . Hurleys restaurant . ( go front door turn leave , cross Pigalle walk straight RHS . ) reasonable excellent food . Top Rock fab view city . Jersey gardens shopping outlet . a walk central park snack Boat House restaurant . restaurant row west 46th street 8th avenue .... two minute walk away . macey ... lovely store good choice food downstairs . Carmel private car return journey airport . 
 Nov 4 2007 	 Good Hotel Great Location 	 wife stay Belvedere three night start 2 week vacation New England . we like hotel stay . staff friendly professional , room nice include microwave , fridge coffee filter machine . the downside elevator . two slow , 17th floor , like , prepared wait busy time . the hotel five minute walk Times Square two minute away ' Grayline ' tour bus terminal . there many nice restaurant nearby . like ' Sombrero ' next door Mexican ' Brazil Grill ' great steak . this first time New York bowl . thing surprise we nice New Yorker 's . see drunks street violence . feel safe New York London . Barry Sarah . Sheffield , UK 
 Nov 2 2007 	 would go BACK HEART BEAT 	 Location great , couple block time square , food shopping . can not say enough hotel staff -helpful , kind & amp ; clean room very.well . door man nice touch . greate smile whole staff .. concierge standing really help plan time many suggestion . room large well lay . mini kitchen area little grocery store around corner stock . suggest take tour bus approx . $ 35 per person . take hot spot . get bus take much time need sight see ( bus run every 20 min ) take extra cash eat cheap . keep thing munch little kitchen area eat one good meal . 
 Nov 1 2007 	 two thumb ! 	 book reservation directly hotel receive NY1 rate come full breakfast 2 , ( kid pay half full price around $ 9 ) breakfast exceptional . staff courtious helpful . hotel location quiet . walk everywhere without hassle . Broadway show - highly suggest use TKTS booth loacate Marriot Marquis 46st Braodway good ticket price . ( show avail , except popular one eg .. Jersey Boys , Wicked .. give great seat without ask ! ! note - Hotel concierge quote much high price Phatom ticket actually pay tkts booth ( booth open 3 pm line build , move along quickly ) . can not recommend restaurant around hotel eat ( italian food ) -- -they suck ! poor service , price food lack taste quality . Wished would try mexican food place next door though - food look good . recommend hot dog street cart . want eat HOP KEE chinatown ( recommend local ) , never make . room - get pay . comfortable , small bathroom , blah blah blah ... not come NY sit hotel room day . 2 adults/2 kid sleep great regardless air conditioner noise . Maids keep room clean , complaint . use service elevator end hall . workout room - pool think . WiFi not free signal good , could not find outside connection . final word - book hotel do . 
 Nov 1 2007 	 great stay ! ! ! ! ! ! 	 return NYC , belvedere perfect place stay . enough can not say location . close Times Square Broadway show . neighborhood hotel locate quite . also , Gray Line tour right around corner subway 3 block . say hotel staff heplful courteous . able get last minute show ticket help conciere . thank . staff everything could make stay enjoyable . next , arrival tell king size bed reserve . , would alright would upgrade newly renovate room . room decorate furnish elegantly . even though room somewhat small european style . comfortable . bed comfortable pleasure crawl day shopping sight seeing . finally , book NYC 1 rate . include breakfast buffet . buffet top notch food contenental breakfast . 
 Oct 30 2007 	 Location location location 	 want near Time Square Broadway , location beat . room clean , furnishing up - to - date bed comfortable . nothing fancy -- well appoint . noise hallway street average ( room face 48th Street ) -- bad consider New York city . Grab drink Mont Blanc restaurant next door ( take leave hotel ) -- swiss restaurant make feel like be Europe . 
 Oct 25 2007 	 good stay Belvedere 	 stay Belvedere 11 & amp ; 17 October . room clean , comfortable & amp ; large expect . bathroom small though & amp ; inconvenience report hotel . breakfast hotel several day & amp ; find good . plenty place eat suit taste , & amp ; price range , area . real strength hotel staff unfailingly cheerful , helpful , polite & amp ; welcome . problem deal without delay ie tv work someone ( we ) remove battery remote . problem lift . people mention , not miss Top Rock 
 Oct 23 2007 	 okay hotel definitely quirk ! 	 hotel okay price . one reasonably price hotel could find Manhattan definitely quirk . check one king - bed room leave couple travel settle 2 double . room 5th floor hallway smell horrible . luckily not notice smell room . get door swipe key would not work go back front desk get reset . instead apologize , said & quot ; well work ! & quot ; second day ask move king room move 17th floor . key not work . 16th floor - room nice enough odd layout . long hallway upon enter room . bathroom tiny - toilet literally 2 inch wall . great advice someone give use service elevator end hall - much fast . notice elevator stop 15th floor , look like floor recently remodel . dark wood door update carpet not get see room . hear might taxi strike day leave ask concierge book limo take us airport . half hour late ! nervous make flight guess not hotel 's fault . one evening bellman recommend nearby restaurant - Tremonti 's good pizza ' ve ever ! overall hotel experience not bad not really great either . two favorite thing trip NY new observation deck top Rockefellar Center ( buy ticket 5:30 have top sunset - incredible much nice top Empire State Bldg ) thing sit outdoor bar Boathouse Central Park ( gorgeous day blast ) . 
 Oct 23 2007 	 great place stay 	 Belvedere hotel 10/11 - 10/14/07 old high school girlfriend . pleasantly surprise size room . perfect mind . concierge wonderful give we advice secure Broadway ticket we ! staff friendly door man help transportation request .... hotel walking distance Time Square , subway theatre . negative would onsight bar / restaurant . , wonderful time would come back heartbeat ! 
 Oct 19 2007 	 great location . good value money New York . 	 partner spend 7 day total hotel month , ( Oct 2007 ) , pleased value service . location excellent ; central noise disturbance night . we stay 5 night executive room ; ( upgrade give free arrival ) . room spacious-6 ft bed load space around . room also fridge , microwave coffee maker . Clean newly decorate ; really comfortable welcoming place stay . staff pleasant helpful . we breakfast one morning plenty choice buffet . however , unless book bed breakfast deal 's point pin hotel breakfast vaste choice street around hotel . there night bar sit chill fantastic little restaurant / bar yard away , ( Mont Blanc ) ; eat time use stop last drink ( ) way home . lovely wall garden back intimate relaxed ambience . owner staff restaurant really friendly food wine good ! round corner , ( left ) , 8th Ave , 's coffee shop / supermarket internet access open 24hrs . two coffee pound ! round corner , right , 8th Ave information shop buy ticket tour . big saving buy multiple sight . not bother 3 hour boat trip . feel like go forever ! 100 yds past tour shop indian restaurant call Indian Fusion . restaurant open 2 month beautifully lay . food fantastic ! take wine / beer 's great saving . load eat place nearby short walk show . some site give Belvedere 3 star , other 4 . would say 31/2 ! stay 5 night go visit family Philadelphia return Belvedere last 2 night holiday . occasion give standard room book less roomy - though ' m tell friend do New York times reasonable size New York standard . still 6 ft bed less space around . bathroom small . still fridge , coffee maker microwave . the complaint air conditioning noisy first 5 night really struggle ignore . 2 night stay air conditioning reasonably quiet . we will go back U.S.A. next autumn hope spend night New York . definitely use hotel . Review submit middle - aged , ( lesbian ) , woman 
 Oct 11 2007 	 Great Location Comfortable Hotel 	 Belvedere Hotel situate side street 8th Ave . 10 min walk Time Sq 20mins Central Pk . staff helpful polite . request quiet room arrive exactly get ( apart air con tired walking will not notice ) . share 2 friend room good size city centre location . also fridge , microwave coffee machine . fly Newark airport catch train New York Penn Station , good 1/2 hr walk case catch cab back airport cost $ 70 much well . would recommend hotel . 
 Oct 8 2007 	 Loved ! 	 Classic hotel locate right heart Theatre District Manhattan . location service definitely worth price . stay 10 day hotel clean spacious . staff friendly helpful . walk distance almost everything location . would stay without doubt ! 
 Oct 2 2007 	 quirk 	 group four us & quot ; upgrade & quot ; executive room , nice , one chair . bed linen lovely , call every day ask two towel ( pay $ 30 extra four people room . ) also lovely bathroom cover mirror , mirror anywhere outside bathroom . create quite problem get dress go . agree previous reviewer lack cutlery , mug , etc . kitchenette . trash kitchen either . on positive side , bellman , doorman , desk clerk pleasant helpful . problem slow elevetor . 
 Oct 1 2007 	 Good Experience 	 pro : large , clean , newly redecorate room . very comfortable bed , lot pillow . beautiful dark marble bathroom . second sink outside bathroom . microwave refrigerator . friendly , helpful staff . great location two block Times Square . con : could hear everything go room next door . air conditioner noisy cycle off . overall good experience . call front desk respond courteously promptly . arrive hotel early Saturday morning hold bag room ready . go explore city . call cell phone room ready . also hold bag check , late flight . 
 Sep 30 2007 	 pleasantly surprised 	 book hotel Hotwire , first time kind scary . however , pay 269 per night hotel , find TripAdvisor , pleasantly surprised . previous review hotel fairly accurate . complain elevator slow , 6th floor , find wait long . room good size , bathroom little small , 2 people , adequate . warm visit , air conditioner use , work fine . front desk staff helpful accommodating . concierge give we good tip . bed comfortable , room clean . window open inch . room quiet window close . room face 48th Street , noisy seem would . hotel close Times Square area , five minute walk , Rockefeller Plaza , theater , several line subway . happy hotel room . hear construction go , although warn construction hotel . would stay price . door man other lobby helpful . Hotel loan we umbrella one day rain . good restaurant Olympic Restaurant around corner breakfast , inexpensive fast . leave Saturday , door man find we town car airport , $ 65 all - incl . airport , taxi least $ 40 plus tip toll . town Car much comfortable , pleasant . small complaint , hi - speed wireless be not exactly hi - speed , $ 10 per 24 - hour period . instead , ask 15 - minute complimentary pass use computer business center need print boarding pass ! 
 Sep 26 2007 	 love place - really good place stay ! 	 great little hotel ! come previous stay horrid New Yorker Plaza relief find much well similar price still central ( short walk Times Square ) . whilst especially impressive outside ( term ' wow - look ' ) fairly small nicely present lobby , room give 17th floor fantastic . good sized ( large ) , bright , clean , colourful , well decorate , comfortable lovely bathroom . also large fridge , microwave ice bucket small kitchenette area handy , safe room ( free ) plus flat screen tv dvd player . gym small good , could also laundry basement really useful . great find highly recommend anyone . one minor downside - lift wait often lengthy . 
 Sep 25 2007 	 great stay Belvedere 	 stay 6 night early September 07 . upon check - in tell upgrade deluxe room 17th floor . room modern comfortable big NY standard . bed comfortable bathroom excellent . complaint would air conditioner little noisy night . fantastic location within walking distance Times Square Broadway . coin operate washer dryer basement handy . cheap nowhere NY . hotel good value money . 
 Sep 24 2007 	 Hotel picture description mislaeade 	 two thing hotel really good , i'ts position cleanliness room . the good thing call kitchenette , fridge , microwave , coffee maker,2 mug 2 glass , cutlery , crockery , point device heat cook food plate put food tool eat with . there extractor fan bathroom inevitably bathroom steam could not see dry hair anrythe else . there one chair room use two people Breakfast either continental full buffet , English assume continental ham cheese , help self slice bread , ham cheese charge full buffet . the thing surprise room service bar.you could food room take , one old gentleman discover ask breakfast room service wife give pastry brown paper bag unlike Macdonalds bag . the staff reception , door man ok welcoming ask enjoy visit . the man little shop attach hotel could hardly bring speak , mumble . the maid friendly keep room clean 
 Sep 20 2007 	 Unaccommodating 	 arrive New York 24 hour travel time around 09:30am . tired need much needed shower bath . apparantly room available early check . also e - mail hotel 3 week arrival request early check , even reply . guarantee check time 4 pm . guess get room 4:10 pm . even try accommodate we . price - value money . hotel central attraction New York . room wall thin hear every sound guy next door . Aircon loud noisy . floor room extremely hot . Breakfast ok . will not stay . 
 Sep 20 2007 	 painfully slow dysfunctional lift 	 stay Belvedere January 2005 give five star great location also offer fine service two people . I decide review revisit hotel September 2007 Labor Day weekend three people travel party . despite book three people , room 2 queen bed two adult share one . cup , towel , coffee , chair two people despite pay three give staff constant reminder actually three us stop room . I forgive hotel poor service busy staff pressure cater large holiday crow forgive hotel failure spend time profit replace and/or upgrade lift . as reviewer write , 3 small lift cover hundred room 17 story time result wait 10 minute . second stay Belvedere ruin one three lift order entire duration stay ( 5 day ) . wait time remain two lift 15 minute . five hour five - day stay New York spend wait Belvedere 's painfully slow dysfunctional lift . 
 Sep 18 2007 	 Belvedere ; bad hotel experience ever ! 	 business leisure traveler put almost 250,000 mile past 28 month , stay place rank bad hotel experience ever ! room rate , taxis , hotel ding charge daughter also stay we , pay almost $ 400 per night room would make Hotel 6 look like Ritz . the facility look amazing exterior first floor interior ( ie . lobby ) , must run money . stay room 404 fourth floor room tiny . sure , kitchenette could not use fridge floor , counter unless get hand knee door hinge wrong side entire space probably large 4'x6 ' . bathroom small , small try , could touch four wall john . need wireless internet ? problem , unless expect work . can get bad ? oh yeah . step hallway time be floor foul oder . hotel staff say ? well apparently hotel tenant period become hotel can not anything they . at checkout , staff not even bother ask stay , leave comment card , be clueless overall dissatisfaction , not thing would care ... stay somewhere , anywhere else ; $ 400 / night , will happy ... 
 Sep 15 2007 	 completely satisfied 	 experience Belvedere completely positive . give 17th floor corner room . even though right next service elevator ( use occasionally ) , quiet . bed comfortable . kitchenette nice store beverage snack . small store next corner buy grocery . staff helpful friendly . great location . not afraid use subway , work well we , cover alot territory use ! suggestion hotel would add full length mirror closet door . 
 Sep 15 2007 	 perfectly situated time sq rockerfella etc 	 great hotel , idealy locate time square , couple block away . hotel offer bag storage nice touch . great feature room microwave , fridge , safe effective air con , side lack heat mirror extractor fan bathroom , ' ve get chance use mirror shower . only gripe hotel trash collection midnight , I m sure would not notice high , 7th floor sit hour noise be not fun . would highly recommend hotel . 
 Sep 11 2007 	 good deal NYC 	 great hotel money . stay 17th floor belvedere good size room nice view . room kitchenette king size bed . staff wonderful location great . located residential neighborhood within walking distance . several restaurant grocery store nearby . also refrigerator Microwave room additional charge . would stay . can not beat price location hotel . subway , theater , Times Square shopping nearby . hotel new furniture extremely clean . love everything hotel . 
 Sep 6 2007 	 Wonderful Hotel 	 ' ve stay Belvedere several time , usually 3 4 night time . ' ve thoroughly enjoy every stay . room comfortable , staff friendly , professional helpful , can not beat location . little kitchenette big plus be stay night want skip restaurant scene . the hotel rennovate , floor floor , last visit , give room brand newly - do 15th floor . first guest occupy 1501 , must say , re - do impressive . bath - tub deep enough good long soak , much need walking aisle Javits Center day day , bed linen simply delicious . re - do , glitch , nothing not - fixable : new wide - screen T.V . tempermental , be need full lenght mirror addition one bathroom , light make - up ... well , use window . all Belvedere wonderful place stay . 
 Sep 5 2007 	 positive experience overall 	 spend week Belvedere . overall , experience positive . room well sized , clean comfortable . staff helpful , particularly bellman ( prime tip ! ) . avoid breakfast , seem pricy side . however , niggle . arrival , tell room prepay , even though know . eventually , mixup trace hotel account office , rather panic - stricken call travel agent UK ( expense ) . good start . secondly , elevator slow crowd , other note . thirdly , although room provide fridge , microwave coffee - maker , cutlery crockery , apart coffee mug . provide request , put place ready ( Bedford e 40th ) ? however , great location , overall would recommend hotel . 
 Sep 3 2007 	 would stay ! 	 nice place stay visit Manhattan . close Time Square , Rock , Central Park . clean room although little small . nice gift shop plenty snack kid . the staff helpful courteous . the negative two small elevator ( fit maybe 10 people ) . would take stair 8th floor rather wait crowded elevator . 
