great 	 Location -- wonderful walking , shopping , dining go outservice -- extremely warm , friendly & amp ; helpfulatmosphere -- historic , elegant , uniqueroom -- modern , comfortable , spotlessly clean 
 Sep 25 2007 	 Nice Place ! 	 really like hotel . great neighborhood , near outside downtown . real Euro charm not usual issue experience & quot ; quaint & quot ; place ( noise , nothing work ) . comfortable , clean , quiet , staff unbelievably anxious take care guest . nice break corporate hotel . room bit small could use little updating . , however , like place would stay . 
 Aug 27 2007 	 nice stay . return ! 	 family stay Ambassador East 2 night early month . 2 & quot ; oversize bathroom & quot ; room . hotel lovely old , charming hotel . sure , could stand update soon , really detract one 's experience . room quiet , spacious clean . bed bed comfy . lovely view Hancock building room . hotel locate great neighborhood , quiet street , shop restaurant block 2 away . beach also short stroll hotel , Magnificent Mile . hotel restaurant also nice . eat breakfast , good . overall , nice hotel plan stay next time be Chicago . 
 Aug 10 2007 	 gem ! 	 feel lucky find place . Chicago 4 night Ambassador Hotel perfect need . lobby room classic formal decor . yes , tell hotel old ; furniture show wear , place keep clean . location prime . be shop Magnificent Mile walk beautiful Lincoln Park matter minute . also Rush / Division bar district right around corner . be 30 stay young sibling 20 ( like party ) parent ( like quiet ) . everyone could enjoy prime area . perhaps impressive aspect hotel employee . everyone incredibly polite , professional , quite knowledgeable hotel Chicago general . eat meal 3rd Coast , restaurant street serve fresh flavorful meal ! 
 Aug 9 2007 	 Nice hotel lot character 	 really love hotel . location great - within really easy walk distance magnificant mile , water tower place etc . 's little north magnificant mile really great want near Rush Division nightlife restaurant . also right beside beach . hotel old not go look modern . hall stuffy shabby look furnishing room well worn . however bed huge really comfortable , room clean , beautiful big window lot space . maybe lucky , huge room . pump Room restaurant seem really cool not end eat , except breakfast good although expensive breakfast . luckily pay water break stay hotel get freebie ! people relocate hotel water take chance stay luckily come back floor . overall really like hotel would reccommend like everything new modern ! 
 Aug 8 2007 	 elegant comfortable homey hotel 	 recently return two - night stay Ambassador East Hotel . look comfortable hotel stay visit family locate Chicago . Mission accomplish . would like quiet , comfortable hotel great area - . furnishing show sign age , detract elegant style room add comfortable home - like feeling . find staff friendly helpful . return guest many time future sure . 
 Aug 6 2007 	 must pay price old charm 	 location great , front desk staff professional courteous room spacious , clean nice . lobby maintain beautiful old charm building general feeling . problem though not upgrade room 's window treatment . sure area not noisy back hotel build , seriously comotion go area late night major sound proof necessary . first night without ear plug not get much sleep . fitness center consist work machine first introduce circa 1987 . getting build small manual rotate door suitcase annoying climb stair check not pleasant surprise . 
 Jul 30 2007 	 Ambassador East great ! ! 	 stay 4 night Omni Ambassador East . everything great . not stay old hotel , read review , afraid room would bad . two room , nice , clean large . bathroom update fine . wife big nice bed linen happy . air conditioner work great . staff nice helpful . not get eat PumpRoom , would like future . also nice neighborhood stay . Walgreens CVS block away . & quot ; El & quot ; two block away . lot restaurant choice start block away . 
 Jul 24 2007 	 Ambassador East need rehab 	 spend long weekend Ambassador East Hotel Chicago . weekend wonderful , be regret hotel choice . check room morning , decor somewhat shabby . importantly , bathroom towel fray , thin stained ( black smudge , yellowish tinge ) make notice old bed linen look . headed day , stop front desk request towel well condition . upon return get freshen dinner notice towel not switch yet . call front desk , towel arrive look bad one . send young man look something stain ... 15 minute later give good could find . ( great ... well one ) go bed around 10:30 - exhausted day 's early start 4 am et - awaken incessant whine bark dog room across hall . not realize pet allow hotel ... even not , clearly occupant disregarded policy . call front desk ; send someone & quot ; investigate & quot ; ; dog go nuts barking ; get call back next step . husband get dress go discuss . return say could not anything could not locate owner dog . good could offer another room . groggy , upset frustrated call front desk inquire inconvenience disruptive guest . night manager spun story block room ... know impossible . needless say , move could stand chance decent night 's sleep . night mgr also agree waive cost night 's stay , ensured convey front desk morning . staff assistance offer , move well room ( large , slightly well bed linen ) , bathroom tiny . , quiet uneventful rest stay . sure else night manager could do , research armed next hotel stay . hotel good location , hotel staff pleasant enough . dog incidicent , 3 quiet night sleep . would call dog incident freak occurance , hotel REALLY need rehab . rug guest room wear , linen need replace , shower / tub really bad condition , ceiling / wall need patching . definitely worth 4 star rating . 
 Jul 23 2007 	 nice location great service baaaaad room 	 stay attend wed th eChicago Historical Society , wedding party stay . location great . 3 mile south Wrigley Field , 3 block west lake . street Rush St , Hancock Building / North Michigan Ave , Lincoln Park Zoo Navy Pier . service good . accommodate staff . friendly valet , helpful front desk , helpful staff . room key initally not work need rollaway bed ... take care quickly ease smile . problem get room find tv cabinet one door , door tear . wet spot floor bathroom not clean . wallpaper come wall place well . ' ve never really stay historical hotel would think price pay room would much well shape .... disappointing room . sound like people wed party not problem room maybe ( # 432 ) ... sound like reviewer liked stay ... 
 Jul 17 2007 	 first rate 	 Travelzoo publicize great rate less $ 100 night usually 4 - star hotel . AAA list construction . stay July 4 construction oblivious . beautiful hotel safe area close bus train station . valet self parking cost , little street parking available anywhere . room spacious well appoint . bed comfortable . staff friendly . take bus Lincoln Park downtown train . fairly near beach . eat spot shop near hotel . would recommend . 
 Jul 15 2007 	 Desperatly need cleaning 	 spur moment trip husband pack bag headedto city . hotel first choice . want stay close shopping Michigan ave . however , hotel book evening . one hotel suggest hotel . hear Ambassador East Hotel never stay . tell 4 star hotel . could wrong . upon enter hotel staff friendly lobby clean well keep . decor date charming . arrivedat room charm quickly fade . room small stain worn carpet dirty bed linen bed . quickly go back downto desk advise room unacceptable . quickly move we much nice 2 room suite . please upgrade , use bathroom . upon close door itlooke someone urinate back door . hair dirt stick trim unknown substance stick tub . bad part hair soap dish . point late pack drive hour home . never stayhere would advise anyone stay . expect pay premium price walk $ 386.05 filthy room parking unacceptable . 
 Jul 11 2007 	 still Favorite 	 matter else stay Downtown Chicago , always end Ambassador . staff always wonderful know , even well , possible . like room , immediately change , problem . say hotel perfect staff make shortcoming . tub huge room decent size . also centrally locate close Clark / Division stop Red Line important close proximity State Street near Michigan close Lakeshore Drive beautiful . bus along Lakeshore go directly Michigan Avenue , five minute trip . food Pump Room great service . say enough good thing hotel . want avoid convention crowd encounter big hotel chain , place . personal truly aim please . stick overnight O'Hare Airport everyone go crazy hotel , immediately book room night standby favorite , Ambassador . always come . 
 Jul 9 2007 	 lovely historic hotel 	 take small group sight - see trip Chicago find excellent deal hotel four night stay July 2007 $ 99 night . read & quot ; mixed & quot ; review property since old , stay excellent ! book hotel , sign & quot ; prefer & quot ; loyalty program . entitle free internet access stay , plus give we $ 5 coupon hotel restaurant , Pump Room . non - smoking room 14th floor , nice city view downtown Chicago , include Sears Hancock Towers , three set window . room huge ! big hotel room ' ve ever stay . two double bed tall poster headboard . bed two plush comforter , many pillow , comfortable . bathroom look like recently re - do , nice sparkle white tile throughout . room normal amenity , include iron ironing board . daughter wife really enjoy Aveda rosemary mint soaps shampoo . thing think bit unusual room small television compare size room . look like little portable tv gigantic room . guess fit armoire , maybe be small . side room . room also desk , two chair sit , stock bar candy drink , ( not use ) . everything clean elegant . hotel quiet week ( July 4 ) , get little busy weekend . one time ever hear guest hotel room . hotel two elevator serve 17 story hotel , never much wait . give complimentary Wall Street Journals , USA Today , Chicago Tribune day . hotel lobby nice staff helpful . hotel locate believe & quot ; Gold Coast & quot ; section Chicago , quiet , elegant residential section Chicago one mile north incredible shopping Magnificent Mile ( N. Michigan Ave . ) . 7 - day visitor pass use CTA bus rail , often catch bus Goethe Lake Shore ( 3 block away ) journey downtown Chicago . take hour get hotel wherever go day sight - see . love walk neighborhood day way bus . north beach Lake Michigan 4 block east hotel . often walk beach , really enjoy watch July 4 firework ( hold Navy Pier ) beach viewing . excellent little restaurant street ( believe corner Dearborn Goethe ) . terrific breakfast ! also small CVS pharmacy one long block south State Division . Red Line subway four long city block away Clark Division . rode train Midway station , walk rest way hotel . would recommend ( luggage ) stair climb . decide take Continental Airport Express back Midway $ 12 per person . place visit include Museum Space Industry , Institute Art , Shedd Aquarium , Field Museum , Hancock Tower Sears Tower . also take architecture riverboat tour , excellent . Giordano 's Pizza Place Rush Ave ( one mile south hotel ) . Giordano ' well stuff crust pizza ' ve ever ! 's hour wait enjoy pizza , definitely worth walk wait . ( could take bus , choose walk instead ) . group impressed hotel , well cleanliness Chicago , friendliness people . everyone nice we . two senior adult lady group . every time get bus , full , someone always volunteer give lady seat . really impressed ! Chicago ... congrats visitor friendly city ! Ambassador East definitely worth $ 99 pay . however , say could get something Michigan Ave bit , would next time , Ambassador East little bit far away & quot ; action & quot ; downtown Chicago . 
 Jun 26 2007 	 great Stay Ambassador East 	 stay AE two night three generation & quot ; girl weekend & quot ; ( Grandma , mom daughter ) . look website idea rate look package might interest we . call property directly assist gracious man name Reece . rate bite high Saturday night portion stay request american Girl Package , happy honor advertise rate . american Girl package perfect we . 8 year old daughter thrill . give doll bed , backpack travel kit keep . match bathrobe girl doll ( not get keep ) . also get special welcome letter complimentary room service snack specially print menu . room , 1334 , large clean . two double bed nice linen , two chair , desk clean bathroom . employee friendly helpful . drink Pump Room eat . eat breakfast nearby great place call 3rd Coast . hotel north Michigan Ave . short , pleasant walk Mag . Mile . would definately stay Chicago . 
 May 3 2007 	 Desperate Renovation ! stained carpet dust mite dark room 	 stay hotel past , completely turn recent visit . room , # 351 , many stain carpet , chair room soil thread bare , corner room cake dust room light whatsoever . room unacceptable complain , receive typical response one get reservation book Expedia , & quot ; sorry , anything it . & quot ; credit , willing change room 3/4 way stay . would great hotel put money . area fabulous . hotel ! 
 Apr 7 2007 	 great value money 	 really enjoy stay business trip Feb . work non - profit , Ambassador East reasonably price hotel northern downtown Chicago area . room huge , bed comfortable , linen great , everything clean , staff friendly helpful . yes , carpet upholstered chair bit worn , enamel bathtub chip , say , everything clean 's matter . location fabulous- within walk distance numerous restaurant , museum , shopping , transit , etc . one caveat- not tempt breakfast Pump Room . $ 22 , get lukewarm food slow - as - molasse service . ' m sure would better lunch dinner , not try . 
 Apr 7 2007 	 PUMP ROOM MUST ! ! ! ! 	 Ambassador East awesome hotel ! ! ! understand hotel full history boutique hotel . family stay Ambassador two night suite . clean room great space . the good part Ambassador room though . staff extremely courteous , especially concierge . stay go Pump Room . restaurant full nostalgia , staff great , food excellent . great atmosphere music . 
 Apr 3 2007 	 Perfect we 	 4 woman excellent stay . everyone courteous helpful . room clean bed well appoint comfortable . heating / cool system quiet . nicely within walk distance shopping . advice give we staff helpful accurate . would definately stay . 
 Mar 28 2007 	 great hotel ! ! ! 	 return 4 night Ambassador East . gem ! location Gold Coast neighborhood perfect finding restaurant walk Magnificent Mile . train station 2 block away . room comfortable , nice amenity , free internet service 2nd floor . good bell lobby staff ! really go way helpful greet we warmly time leave arrive . would say nice hotel staff ' ve encounter travel . 
 Mar 19 2007 	 Old wear hotel . 	 ok . ' ve stay lot hotel poster site classify old wear . disagree many post resign people way picky . let tell post Ambassador East hotel wear tired spot . love stay old hotel , one way wear dire need makeover . & quot ; suite & quot ; , though spacious , separate living room , bedroom 2 full / queen bed , 3 huge closet bath , overall sad shape . vinyl blackout shade tear , fall dirty . lampshade also tear . furniture -- though nice ' m sure new -- fade fray . overall like back 80 Laura Ashley rage ... lot print floral brass fixture . I disappoint room . new washcloth morning 2 3 morning stay , would ' ve fine leave use one . Turndown service chocolate nice touch , staff friendly helpful . the lobby nice , smell lillie almost over - powering . the 17th floor fitness center run much equipment not work . the hotel 's restaurant -- dinner one night -- Pump Room , nice . live jazz , awesome cocktail , dinner good . menu limit , great chef come make sure everything ok . nice great late - night dinner take elevator room . 3 , include couple glass wine , dinner run $ 250 ... norm Chicago . the property 's location close Rush Division street . lot bar restaurant , walk Magnificent Mile shopping . 's Corner Bakery 's close coffee snack / breakfast . I read post make claim property renovate . confirm . pump Room menu say restaurant renovate March 2007 . ' m sure whether entire property , suppose would make sense once . that say , would stay renovation . defenitely , current state , 4 - star property . 
 Mar 12 2007 	 Classy Old Hotel 	 love history place . service excellent . room small clean well furnish . bathroom hotel really show age . small , tub - shower . room set much anything sink ... shaving kit , make - up etc . would stay . favorite part hotel Pump Room . famous old restaurant bar . ' eat , great quiet place couple drink friend wait wife get ready . 
 Feb 28 2007 	 perfect stay . 	 return 2 night Ambassador say happy choose hotel . it true old hotel . well keep lack style grandeur . ( think hotel shining , minus elevator blood creepy twin . ) check - in desk surprise turn service maid , make feel like royalty . a special acknowledgment go doorman help tourist question . also location hotel great . close action , quite residential street beautiful old mansion . I also get sweet $ 89 per night room book travelzoo . add bonus however . even pay $ 200 per night , impression Ambassador would change . highly , highly recommend . 
 Feb 19 2007 	 expect well could bad 	 wife stay Ambassador East ( AE ) recent Saturday night . book stay Hotwire pay $ 100 night . not pertain AE , little surprised AE qualifie & quot ; WaterTower & quot ; section Chicago , actually good walk WaterTower . hotel . lobby area quite nice marble floor appear well keep . large sit area fireplace piano , not make use stay , could nice . valet service leave much desire , not help luggage door upon arrival , slow get vehicle leave . another reviewer note lobby area fragrant fresh flower . check - in check - out quick efficient could ask . even let we check even though another person spend weekend , different last name , reserve room . actual room decent sized appear clean . bathroom lack sized towel fresh worn . ceiling room several spot plaster come lose fall away already . chair room could use major update . telephone jack room basically fall wall . little thing leave impression not really 4 - star hotel bill . be certainly could bad $ 100 probably worth . be look hit bar rush near rush division stay over - night can not beat location . 3 - star hotel expectation would meet . bed pillow alright , many drink not go notice much anyway . not overly impressed Pump Room , attach restaurant . go Sat . night late drink Sunday breakfast . though busy either time , service slow service staff seem annoyed presence . drink make wife 's drink must mixed rookie bartender . morning breakfast good , price well . not let give wrong impression . alright hotel , 4 - star , alright good location . 
 Feb 16 2007 	 bad could lot bad 	 recently spend two night Ambassador East , 9th 10th Feb. get pretty good rate via internet site look characterize & quot ; boutique & quot ; rather & quot ; 4 - star & quot ; . ' ve stay half dozen different hotel weekend getaway last six month well option comparable well price . first , access entrance logistically difficult ; street narrow , one seem man valet parking place disembark vehicle without parking half block away ... . bell help non - existent . not require help luggage rule temperature single digit struggle produce valet key parking guy ... little help bag would nice . finally get inside get check problem . pleasant desk help . beautiful lobby , fresh , fragrant bouquet flower stairway main lobby floor also lobby proper ... nice touch . room ok . furnish adequately extravagantly terribly large . carpet , wall , hardware , bathroom good repair mention read review people get threadbare carpet stain bed linen . see nothing like . pillow really not would expect place like ... flat virtually support mattress comfortable . Ambassador East portion Chicago know Gold Coast like downtown ( Michigan Ave , etc ) would work . ten minute cab ride get downtown , , not many restaurant within walking distance would consider good dining experience . back hotel . check Friday night , go lobby talk concierge restaurant ... find concierge desk unoccupie Friday night . desk clerk say not know concierge try recommend restaurant close , within walk distance taste skewed age ( mid 20 ) personal preference necessarily . get fed enjoy primarily life make like enjoy life ! next day , want go lunch way , stop concierge inquire make dinner reservation . , concierge , manager , one except desk clerk help . finally , bell captain take name restaurant choice leave concierge would presumably later ..... go shopping walk . upon return 4 pm still concierge learn bell captain personally try make we reservation restaurant choice could book . admired tenacity could help wonder world concierge since desk prominently display lobby big sign front denote purpose . end check Sunday morning never ever see even confirm existence aforementione concierge .... not think hotel actually employ anyone capacity ... think someone spare time , like desk clerk bell captain , valet , would sit assist people one dedicated job big mistake . People travel Chicago weekend town freqently want need advice night life restaurant . bottom line want good location access great restaurant , stay elsewhere . look cheap bed Chicago , work . 
 Feb 8 2007 	 Charming Old - Style Hotel 	 also return frigid weekend Chicago . book Ambassador East great rate , $ 89.00 AAA card delight . yes , room show sign wear , warmth charm far make . pleasant change sleek , modern look many chain boutique hotel . become member preferred program therefore eligible upgrade automatically get upon check . lovely suite lot sitting room comfortable bedroom bathroom . wonderful food Pump Room classic . oatmeal tastefully serve , would love right ! location great . normal winter weather , could easily walk Michigan Avenue shopping , due minus 20 degree windchill , opt cab less $ 5.00 fare . also enjoy glass wine around fireplace lobby find welcome cozy overcrowe . would definitely stay ! 
 Feb 5 2007 	 Excellent hotel 	 husband , ten year old daughter stay Ambassador East past weekend . although temp zero , hotel warm inviting . request large room arrive , place large room living area , modern bathroom , Aveda product two double bed . service excellent fireplace lounge cozy evening . pump room beautiful , even though child we invite we one evening , let we enjoy glass wine bring daughter special dessert listen live jazz . hear landmark hotel restaurant undergo serious change , although ' m sure renovation probably need , shame give charm history . definitely visit . 
 Jan 13 2007 	 Felt right home ... 	 recently force leave comfort Chicago condo due repair . neighbor mine reccommende Ambassador East Hotel . live several month move condo . seem hold hotel high regard take advice . never expect warm welcome environment . hotel unique . much character hotel see Chicago . say impressed would huge understatement . staff remember name end stay feel much like family . reccommend hotel . 
 Dec 19 2006 	 wonderful hotel 	 husband recently enjoyable trip Chicago , stay Ambassador East Hotel . first person speak book reservation last person see leave hotel staff friendliest encounter . room stayed feel warm home - like breath take view city . definitely stay Ambassador East Hotel . highly recommend hotel . 
 Nov 24 2006 	 nice stay hotel 	 lovely , historic hotel . liked & quot ; comfortable & quot ; room not black accent , weird color wall , nothing fluffy sight . lobby warm welcoming blustery , cold Chicago weekend , especially fireplace area . staff friendly accommodating . Friday evening concierge lobby staff particularly helpful husband come , literally , drench stand rain Shedd 's Aquarium wait cab . 35 degree , put lightly , miserable . offer order pizza & quot ; & quot ; could sit front fire eat change get warm . end take cab go eat pizza , remember we come back walk inquire & quot ; warm yet ? & quot ; perhaps carpet bit worn room , linen nice , bed comfortable room ( suite ) clean cozy . small TV , 's stay hotel , problem . 
 Nov 19 2006 	 way overrate 	 Hotel 40 year past due renovation ! ! ! ! ! Bathroom door knob break - door lock except use deadbolt . a / c unit rattle . Carpet need major cleaning . Bathtub surface peel . wall need new wallpaper . drafty window . furnature scratch worn . staff nice professional . money spend go elsewhere next time . stay Holiday inn be look well . hotel value condition . opinion three four star hotel ! 
 Nov 13 2006 	 impressed 	 impressed hotel . First Doorman acknowledge we upon arrival , get bag cab stand talk co - worker . check neutral , desk staff definitely friendly . stay greet maid staff see hallway upstairs . otherwise , pass Concierge , Front Desk , Bellman Doorman several time without ever greet ! room small locate side hallway big enough one person walk time . bed comfortable top w/ comforter w/ cover . bathroom small clean . & quot ; pubic & quot ; type hair tub floor , tub need reglaze . good thing bathroom mirror big , Avedo product sink cute , new free standing . call hair respond quickly maid not even get end rinse drain . pay $ 285 hotel Hotwire b / c went weekend pack full convention want scream realize get money . location not ideal either , way quite $ 5.00 cab ride Mag . mile walk 4 block subway station Clark / Division take $ 1.75 plus $ .25 transfer fee ( take train back within 2 hour window ) . 
 Nov 3 2006 	 pricey accommodation ! 	 Ambassador East would fine hotel pay half price room . room wear ... carpet seem dirty definitely see well day ( 20 year ago ) , bathroom small toilet tub crack . fortunately , linen bed fairly new comfortable ; however , 2 pillow provide bed comfortable extra room . end pay $ 300 ( taxis ) night hotel could not help feel little rip accommodation . location good front desk staff friendly , would stay get really good rate . 
 Oct 14 2006 	 good location price 10 minute walk Michigan Ave . 	 hotel locate upmarket end Chicago . find plesent 10 minute Michigan Ave . room , european standard large , twin two double bed , still ample space walk around , walk wardrobe , iron iroe borad provide comfortable large bath . clean comfortable . within walking distance many american style restaurant breakfast dinner . concierge staff really helpful booking tour suggestion might get around see city . we need hotel short city visit . 
 Oct 13 2006 	 Gem 	 allocate hotel Priceline reading review little concerned . okay say 's jewel , 's gem standard . call hotel day fly , ask non smoking room , nothing praise courteous way call handle . arrival , front desk staff also courteous helpful . quick word access : 5 6 step lobby another 5 6 bar restaurant . step problem , check hotel . room serve elevator . our room large , clean nicely appoint plenty drawer hanging space ( proper wardrobe ) . . location perfect - short block bar ( Division St ) restaurant ( N Rush St ) also bus ' El ' stop . lake 2 block away - get go busy main road ( step ) . restaurant pricey worth every cent : breakfast divine . could fault Ambassador East would like thank concerned making stay enjoyable . 
 Oct 13 2006 	 beautiful old hotel 	 reading review travel website , worry stay Ambassador East Chicago pleasantly surprise . moment step cab , staff ready serve . check - in fast smooth check - out . hotel old know upon arrival old school gorgeous ' architecture , light fixture , painting picture wall . suite large antique . bed new would say , one good night sleep hotel long time . bathroom tiny , tub drain slow clean HBA product Aveda , nice touch . dinner fame Pump Room . food service excellent . mouth watering think Wild Alaskan Salmon . cousin duel Soups starter say fantastic . Applebee 's price range keep mind . neighborhood gorgeous , . close lake far Wrigley Field . complaint still want charge $ 10 hook internet feel pay even check business . another complaint use valet service . hope put charge bill early morning try leave , valet jump vehicle take we ( 2 woman ) around corner parking garage pay . take note : outdoor self - park right across street . 
 oct 2 2006 	 Loved would return historic hotel Gold Coast 	 find Ambassador East great . location great , tuck away elegant neighborhood . hotel historic , lobby beautiful . midst renovation room stay room new bedspread , new bathroom amenity , etc . pretty picky hotel nevertheless would return Ambassador second . 
 Sep 21 2006 	 prime location great staff 	 stay Ambassador East company meeting September 2006 . organization require 30 room , plus meeting facility , extensive use catering restaurant service . , hotel great job . event coordinator staff general stellar . small exception wait staff / bar staff note work extreme shift - seem always , whether early late PM . endurance loud bunch seem little tax time , hardly blame . acknowledge surprise ( sympathy ) ubiquitous presence , seem warm we . hotel historic property - believe 100 + year old . Charm follow , certain unfortunate element persistent humidity throughout hotel . occasionally rain stay outside humidity around 70 % day , would still expect hotel room 's environment feel moist time . people group comment problem , note even clean clothe feel dewy right suitcase . remind feeling get go camping . maybe time year - know , business stay Ambassador move another hotel block away - Hotel Indigo - experience interior humidity issue . décor room date frumpy taste - noticeable general wear furnishing ( room 447 ) : stain carpet , threadbare / stain bedspread , bang - up wall . good news completely update fresh , boutique - like décor within six month . hotel finalize new appointment hotel event coordinator show company ' meeting coordinator " model " room . report come back favorable clean - lined furniture , wenge wood detail , neutral color palette . much well . complete , sound like new look warrant price AAA four - diamond rating . pump Room restaurant alright . historic photograph wine selection good thing go . since relegate catering menu , ' comment real menu offering , palatable satisfactory . concierge extremely friendly helpful . business center little lack high - speed wireless internet free . ' little behind peer detail hotel price range offer service extra cost . ' good property , generally great staff location prime . 
 Sep 6 2006 	 excellent choice good value 	 everything work great hotel , first time visit . prefer stay close lakeview area hotel book Labor day weekend . extensive shopping around find Ambassador East rate $ 143 night nice room king size bed . arrive professionally greet prompt service expedite room 17th floor ( top floor ) . nice large comfortable . notice smell chlorine chemical think might fitness room floor , pool whirlpool . chemical odor disappaite first day must room get good thorough cleaning . view city 17th floor quite spectacular . positive thing : nice fitness facility although never get around use , weather nice spend time outdoors , location - 3 block red line stop Clark Division walk distance shopping along magificent mile Ohio River . negative side , get hot water 17th floor take long time , 10 minute actually wait take shower , carpet room somewhat wear clean , tub bath could use resurfacing replacement . pleasant money spend , good value . 
 Aug 21 2006 	 good hotel money 	 fiance spend Memorial Day weekend visit Chicago , first time ever first since kid . book Hotwire $ 120 night little worried previous review . happily surprised . certainly Omni standard anymore : room bit old look ( bedspread bed cover clash loud floral forest green carpet ) . everything pretty clean bathroom great ! happy see Aveda product bathroom ! remote control work front desk send replacement . also forget razor happily send toiletry kit nice product . clean thorough ( except one little corner never get clean nothing gross bit dust ) . location hotel awesome ! walk metro ( not know El call underground ) 7 minute perfect also quick walk fun ( sort expensive ) bar trendy strip . enjoy Whiskey much . service hotel great know depend desk think also something customer bring situation . good experience definitely worth 120 / night though would pay 150 hotel . 
 Aug 8 2006 	 love love love 	 take 2 teenage girl trip back home Chicago area want stay city couple day show sight . wonderful hotel , area Chicago . walk distance everything . hotel stick right smack dab one wealthy neighborhood Chicago . classy , nice quiet old town Chicago . room clean nice , hall quiet pump room wonderful , welcome friendly . I recommend hotel anyone want real taste Chicago , go back visit home want really feel like home.wonderful staff great feeling way around . wait go . hotel 20 something party maniac , sophisticated fill old style class want loud control music drunk hang around hall go & quot ; W & quot ; hotel street . 
 Aug 2 2006 	 great hotel 	 book hotel Priceline worry read mixed review visitor . need not worry everything excellent moment step door splendid lobby area , pleasant reception staff friendly gentleman show we room . room large ( particularly english standard ! ) , beautifully decorate lack nothing . bit doubtful north wish area excellent . lovely quiet residential area two block lake block north Magnificent Mile plenty good quality good value restaurant within easy walk distance . thoroughly enjoy time Chicago - wonderful city make even well stay Ambassador East - would recommend anyone . 
 Jul 31 2006 	 dirtiest run hotel Chicago ! 	 please even consider stay . Chicago native use think hotel old , classic , grand hotel . ever wrong ! ! ! second walk , could tell guest type people find motel Atlantic City . walk room almost get sick . disgusting stain carpeting bedspread . sheet feel like sandpaper old stain . go try suck realize $ 475 ( 2 night ) , would rather sleep stand ! complain show we another room creepy , run dirty . since booked orbitz hotel could give we refund call orbitz speak manager , give we full refund credit card . I sad see hotel become unsanitary ... use Chicago landmark . 
 Jul 12 2006 	 Pass Windex 	 stay 3 night Abassador East . without charm enjoy old , boutique style hotel much experience 4 star hotel see hotel deserve anything 3 star rating . complaint thus:1 ) two smallish window room filthy . really look bad give dirty feel entire room.2 ) king size bed non - fitted bottom sheet barely tuck . throughout night would bunch expose we bare mattress . no comforter , pillow top mattress , 2 king - sized pillow . nohigh thread count sheets.3 ) really small television low quality audio.4 ) bathroom door would shut unless lock place.5 ) vent fan bathroom.6 ) single air conditioning / heating unit , room either hot cold thing always loud . nicer hotel use vent system , unit . on plus side , would say staff friendly , neighborhood charming convenient . 
 Jun 13 2006 	 Great Staff vintage hotel Omni anymore 	 historic hotel character . staff make stay enjoyable . June 8 - 12 , 2006 . arrive unhappy room , disappointed , room hot even A / c run MAX cool blackout curtain draw . bathroom fan . additional night stay Sun flight schedule ( hotwire hotel price go significantly time find good airfare price , plus Hotwire not know would end , even 4 star . ) immediately make reservation Drake Omni . ( use cell phone , local call $ 1.15 whether connect . ) Ambassador East Staff tenacious , yet courteous professional effort keep business Ambassador East . Oumania upfront want keep business upgrade room suite opposite side building ( afternoon sun ) .We receive upgrade whether stay extra night . decide spend entire time Ambassador East , partly cost significantly less Omni Drake also Ambassador East staff friendly helpful plus upgrade suite expect original booking Hotwire . exactly thrill Hotwire 's policy know hotel pay . try Hotwire friend going recommend Hotwire , get Drake less get Ambassador East . bottom line work stiff like we price . probably use Hotwire , book early possible . book 2 - 4 week friend ( use Hotwire timeframe get Palmer House time Drake , less pay Ambassador East ) pay $ 150 / night Ambassador East , pay $ 112 / night Drake . Ambassador East long Omni hotel . love Ambassador East 's Business Center ( 2nd floor ) , open 24hour , free internet free printing Yahoo ! maps area . could check e - mail importantly could print southwest boarding pass 24 hour advance . the Pump Room restaurant okay ( 2 comp breakfast ) pricey . would $ 47 plus tip Chef 's Table ( buffet ) , american Breakfast ( 2 egg , ham , potato , toast ) , coffee juice . pump Room cool , B / W pic celebrity & quot ; good old day & quot ; . staff also nice . we rent car , mostly high daily valet parking rate $ 36 / day in / out privilege , cover garage across street public parking lot $ 29 / day , sure in / out right . park Chicago expensive , $ 10 - 15 minimum , $ 20 - 30 / day rate . ) would stay Ambassador East , price right ( less $ 100 night ) . 
 Jun 1 2006 	 nice hotel nice location terrible service 	 first important requirement hotel able get good night 's rest . hotel provide avoid . hotel nice enough , like vintage hotel . location nice , easy walk distance Old Town , Rush St. , Hancock Center 3 block red line . but blow last night . somebody decide drunken party room next 1:30 . take four phone call front desk 30 minute get situation resolve . initial response call party room ask quiet ! give break ! never around drunk people ? response management unacceptable offer apology effort right issue . 
 Jun 1 2006 	 Way past 's prime 	 book hotel Hotwire , fortunately single night stay . though hotel interesting history , ' over hill ' . . .ambience equate comfort . room tiny bed comfy . bathroom need renovation . upon enter notice distinct ' toilet ' odor . ask move another room tell request could consider late afternoon . .so , stay short , remain assign room . ' m certain never book Ambassador East . rcommende ! 
 May 30 2006 	 Disappointed 	 make reservation several month ago two room two double bed attend wedding Pump Room Memorial Day weekend . arrive find not room reserve . single bed room offer roll - away bed . also pay $ 36.00 valet parking discover later rear bumper paint scrape also white latex paint . appear car back wall fence . hotel old date . door molding cover many lawer paint . Facet bath type press turn . water would remain run 50 second release . 
