change 	 stay downtown 2 - 3 time per year last 6 year , 6 year ago never think El Cortez would even consideration stay . dump , dirty delapidate , somewhat scary part downtown , 2 block east Fremont Street Experience . clientele seem fit place perfectly . smoke pour casino door open ( smoke notice haze inside ) foul odor hang air . over year , would drop moment curiousity . notice , unlike downtown property fall decay , El Cortez spiffe up . early year , convince well half come . vow 6 yr early never . end spend 3 hour , shocked turnaround ( still skeptical ) .We get offer stay new Cabana Suites ( agree would go elsewhere not decent , well research remodel , etc . web showing ) book , opt Tower room Suites non - smoking . ' m glad , Cabana Suites also across street , attach main building . the change superficial . service excellent around . book give we room number . arrive hour check - in time room ready ( room number give we month early ) . see smudge print elevator panel , anywhere ( although pet peeve mine , nearly every property nice big furnish hall exit elevator knicke good maid vacuum not touch . ) . room large , clean ( fear barefoot property ) well appoint . flat screen tv , big enough . except tv , look like picture website ( believe , many property room ) . bathroom kinda small , not problem . electronic safe mount near floor closet area . will not find amenity already place room , be available , call . need hairdryer offer bring frig well . not see happen often . old noisy heat / cool unit floor window . output air intake vent ceiling control wall near door . old ' popcorn ' ceiling . gambling fun , great mix new old machine ( still coin payout , old Vegas ) limit low table ( $ 3 BJ 3/2 25 cent roulette $ 1 minimum ) nice hit cold streak . casino clean times 3 + day stay . common see maintenance people pick around place , floor people , server , security well . machine wipe trash empty cup / bottle lay round . air clear odor . Carpet floor clean . fellow patron friendly , loyal following . we eat day Cafe Cortez . great food lot cheap ( frig come handy leftover ) . yes , Jackie around , eat next table Sunday morning . not try Flame hot dog cart , hear good . not want stop gambling eat , service deliver food . forgot try , see many people use it . there still character , 's typical downtown . security abundant , inside . see disturbance . short walk experience plenty safe , day night . walk one night Binion 's eat coffee shop ( sure glad , unfortunately go couple week ) problem . fact , enjoy El Cortez much , time leave property . bottom line , El Cortez rank # 2 far downtown property go ( Golden Nugget # 1 , much expensive ) . look hip crowd expensive dud , go GN . like we , average work class people , EC place go . 
 's ok returning 	 get room tower . room clean ( enough ) roomy sitting room . however , not like bathroom - kinda old tub slope . sink outside bathroom also slanty little counter space 's low . bad thing ventilation hotel - can not stay away smoke , even non - smoking room . air casino quite bad , even restaurant . section coin - operate slot machine think old - timer preferred substance sound coin . try restaurant hotel alright decent price . friend get room Expedia $ 42 / night , 3 - night stay special . room situate top parking structure 5th floor ( think convert ) , kinda weird new furnishing decor room . 's suitable look good price . finally , must mention El Cortez 2 parking structure , one attach , one detach . also separate building ( El Cortez Cabana Suites ) across street . excellent location want Fremont Street Experience . everthing ok stay , usually look comfort excitement probably will not return . 
 El Cortez 	 totally awesome host staff totally excellent ... nice room good slot play ... new ventilation nearly totally move old smokey casino problem ... Old Vegas well ! ! ! 
 May 2 2007 	 El Cortez : Great Value 	 stay two night El Cortez . currently major construction / renovation street around , aware . keep mind , OLD HOTEL , one oldest HOTEL / CASINOS STILL STANDING LAS VEGAS ( mean not expect & quot ; strip & quot ; style hotel 's be sell here . we rent car park free parking garage attach hotel . first impression dingy old elevator lead dingy part casino . first , kind nervous . travel casino hotel desk , notice remodeling casino one section time , think update within month . check - in great . get automatically & quot ; upgrade & quot ; pavillion room ( motel - style w/ exterior door ) room top tower overlook strip . great view . elevator tower room much nice elevator parking garage . marble , brass , etc . we smoke room husband smoke , can not comment whether room smell smoky Mr. Chimney smoke half time , yes , smell like smoke . : - ) room mix old new furnishing . carpet , bedspread , wall hanging seem new . blanket bedspread old plush anymore . wood furniture solid wood also old . bathroom old . Peach bathtub , peach tile , etc . however , clean . like little window tub . open let nice warm desert air one see placement window . ton water pressure shower . great . the room big even couch coffee table . there iron / iron board hair dryer room . call front desk send , want , call way need call hairdryer not come get bore waiting left go w/ wet hair . we eat careful Kitty Cafe good good price . location hotel great . one block Fremont Street experience Walgreens Neonopolis shopping mall , etc . nice actually Fremont Street strip ' m sure get noisy night . all thing consider , really fun trip . highly recommend rent car ( get one $ 12 / day ) also highly recommend rent car , bring gps rent one car rental place gps godsend . go place ease . would stay El Cortez heartbeat . 
 Apr 24 2007 	 El Cortez - Awesome Price Great Hotel ! 	 book hotel , expect frill , budget hotel . pay pavillion room parking garage . room clean , sheet pillow case change everyday . room show bit age , expect old hotel . also , bathroom fairly small , hair dryer - read review come , bring hairdryer . happy hotel , even though undergo construction , feel average price pay . area town great , warn taxi driver venture past hotel night , mainly stay freemont street ( 2 block away ) . however , feel safe walk around - even night . cameras security guard outside hotel time . after arrive back home , realized pay big money hotel strip , would disappoint . room long enough sleep shower . rest time sightseeing experience Vegas ! return Vegas , would hesitate book hotel ! 
 Apr 19 2007 	 good room great rate 	 stay two night Tower Room . room large , bathroom bite smallish side . room show bit age , everything clean great place get quiet night sleep . check - in quick friendly . price right not help pay volcano , pirate show , giant fountain . Fremont Street experience numerous casino couple block away . 
 Apr 11 2007 	 Nice room 	 stay old wing hotel . good value downtown Las Vegas . clean room , nice decor god service staff . 
 Apr 10 2007 	 great stay 	 great stay , clean , huge room . good area , cheap price ! nothing well car ( be 5 mile strip ) . be get shopping area ... 
 Apr 6 2007 	 truly classic old school Las Vegas charm 	 stay El Cortez late March 2007 . get non - smoking Tower room , # 1411 . $ 50.00 night comparable standard hotel room Downtown Las Vegas include Golden Nuggetand would stay El Cortez .. room fresh , tropical decor good view Strip even small balcony . request king room available , rather wait , get 2 queen bed , problem . bed comfortable appear nearly new , least one use good organizing stuff . general , carpet , furniture , tv fixture room appear nearly new show little wear . furniture include 2 queen bed , dresser new tv , small foldout desk , love seat near window coffee table , see photo . light good could use light desk . look like datum hookup near desk . remote tv die last day check battery find original tv , e.g . brand , know new tv . sink , mirror closet space alcove separate door shower toilet . shower small window open onto balcony . water pressure good step tub shower head come 5 foot 6 inch floor tub anyone much 6 foot would trouble use . usual small bottle useful stuff bathroom . ample towel soft Golden Nugget . Heat AC work fine thermostat seem old hard read . fridge one send problem extra cost . iron ironing board , one could sent issue . coffee pot room safe problem , coffee place near elevator free safe deposit box behind front desk . in general , hotel good shape middle major renovation matching neighborhood around . bug , mystery stain major issue . run owner elevator , live 15th floor . nice old gent trademark green tie , compliment hotel wish luck . casino lot table game few slot machine etc . recall year past . tell open upto avoid crowded look still find venerable GoldSpike . weather warm , 80 ' miss pool guest use pool Plaza anymore since change owner .. watch crane lift large air handle unit onto roof casino , operational , noticed real change air quality inside casino . eat buffet , ok great . subway sandwich shop standard Subway . Fun Book ok great . enjoy 3 bar , ask tall glass Sam Adams bar near check desk . also fancy round bar piano player normal bar near Fremont Street entrance . Casino / hotel security tight , include officer watch sidewalk outside property . security camera hotel hallway . stashed bag friend ' vintage room mine ready , big small bedroom old house maybe 12 foot square paint window . definitely go tower room cost dollar wellworth . general , area continue improve year past muchsafer reputation bad old day . walk street hour , bother much , panhandler miscreant one threaten . call Entertainment District , extend east 8th , parking lot western much money go civic improvement talk extend Canopy Western . trendy new nightspot like Griffin Beauty Bar open nearby . also old standard like Atomic Liquors , Bunkhouse Saloon funky old Western Casino / Hotel . new luxury condo ( ask , kind day ? ) call Streamline Toweris go north El Cortez help clean area far . much road work go soon sort historic neon sign see FSE advance eastward . lead disturb construction noise hour window balcony door open , part urban life soon . bottom line – although probably Vegas virgin seek glitz tourist trap Strip , combination truly classic old school Las Vegas charm new renovation inside property general upgrading surroundingarea , good place stay sure would stay . 
 Apr 3 2007 	 love 	 ok , let tell . may favorite hotel $ 60.00 . stay Saturday night hotel charge way $ 100.00 . book room go stay 1 night right downtown want . surprised nice room . book deluxe room tower wow nice . huge bed , really nice furniture , seperate sit area , huge balcony overlook downtown vegas , strip mountain . wish time spend . breakfast buffet morning great . casino old , dealer staff run nice . do not worry area , walk across street fremont street close . love hotel would recommend anyone . 
 Mar 23 2007 	 one night 	 hotel old insulation block road noise construction noise go around El Cortez . book El Cortez website could post construction occcuring . purchase ear plug help enough . stay 10 night exhausted time check . management appear interested whether comfortable . stay recommend other . 
 Mar 2 2007 	 Good Deal 	 hotel average price . book regular room give nice tower room instead . facility clean quiet . gambling fun cheap . Breakfast Kitty 's Cafe tasty good deal . not stay want bell whistle want good value like old Vegas , definitely winner . 
 Feb 24 2007 	 Loved ..... 	 book non - smoker get smoker room not smoke - smelly , clean , big , view strip , well clean every day think tiny bath big shower room excellent , especially price . whatever specify book go window arrive , include whether want single double bed , believe benefit outweigh risk . also , bit historic Downtown Bellagio etc never see . personally , not think much Fremont experience gambling facility Binions , Fitz Golden Nuggett second none . one last important bit advice ..... front desk personnel leave often know nothing ask guy girl work . instance , want rent car day . Front desk say ' try airport ! ' - ask someone work year say Fitz round corner enterprise Car Hire , get nice wheel . also front desk make complete mess ..... toooooo boring relate needless say little front desk possible - ask work while . for price one good bargain town . gamble El Cortez like smoke , poker ' room ' avoid , although guy run real character , really old school , look sound like know Bugsy Siegal ! ! pay good money get good people front desk would good . 
 Feb 19 2007 	 Excellent stay El Cortez 	 Plaza vs El Cortez ? see review recommendation ....... choose El . 2/8 - 2/123pm check time , early check problem . we great room ( tower ) double queen bed 12th floor ( Rm 1207 ) face strip . 2 - 4 - 1 coupon find American Casino Guide ( must buy , check book receive case miss coupon page buy thru Amazon E - bay ) meager slot play return , pay $ 277.20 5 night fantastic stay . soda ice machine floor . not put Vegas tap water water bottle save $ buy high cost water Fremont St strip . tap water taste horrid suitable brush tooth . front desk clerk sooo nice helpfull . lose information stay , thankfully bring copy confirmation do thru web site . recommend everyone print bring it . we ask fridge , roll nice size cart able set one cup coffee maker top . husband love . also love seat coffee table love relax long day walk . t.v big saw reviewer picture work great lot channel . , nice relax short time spend room . plenty super hot water , great water pressure ( even peak usage time ) tub drain quickly . water back up . the bathroom large window room open ( 4 inch ) ventilation . bed soooo comfy & amp ; clean . curtain darkened room never know time a.m. Housekeeping never bother us morning & quot ; disturb & quot ; sign door . great ! ! 5 night ( include weekend ) think whole floor run across two people hall last night . quiet room . the room ( rug , furniture , wall etc ) spotless believe , check mattress creepy - crawley thing find , picture prove reviewer , nice place like Bellagio ( mouse ) Luxor ( bed bug ) . nothing report ! ! ! yea ! ! ! case forget , provide shampoo , conditioner , mouthwash & amp ; hand soap . tip Housekeeping couple dollar day , leave bed note would know , leave last day . please show appreciation . also leave 2 - 4 - 1 coupon leftover downtown buffet ' m sure could use not player card . will not back another year use we . feel safe casino area ? yes .... sure . security walk around play slot 3 am husband retire back room sleep . also security corner Fremont & amp ; 6th Ave watch walker come back FSE . also corner wait Grayline shuttle back airport , feel safe . actually seem know regular coming go everyone respectfull . Grayline ( $ 14 pp ) round trip not know time flight booking El also provide shuttle . use El 's shuttle , please make rez request ? be mind reader need know ahead time need get plenty time get thru airport security . there be & quot ; lot & quot ; constuction go area El fix front door entrance . road tear , ' m assume new Streamline condo 's need big water / sewer line . not stop go El strip also always see lot construction 's fact life Vegas . the gift shop open 24 hrs munchie buy enjoy bed . 3 am every morning , security elevator get know do night wish pleasant beddy - bye never say & quot ; not let bed - bug - bite & quot ; LOL . sorry say can not comment food breakfast buffet . will find review other . breakfast buffet o.k . mess scramble egg , sausage , cinnamon roll coffee anyway . need basic a.m ........ & quot ; not stop coffee refill ! ! ! & quot ; plenty different denomination slot machine lot old favorite new one . yes ..... even penny & quot ; Cashman & quot ; . far , looser available ( less people ) strip loose & quot ; Fremont Casino & quot ; . one bonus round Fremont Cashman give $ 252 . sorry , secret one . LOL ! ! hit machine will not go review El . sorry can not comment card table , reviewer write . low bet etc . the Duece ( $ 5 24 hr pass also good CAT bus go casino strip ... Rio etc ) short one block walk El FSE quick 2 block walk . ride Duece go Strip , enjoy ride upper level . be 5 ' 7 & quot ; tall , duck head 's low ceiling . enjoyd sick humor watch people , especially man , smack head reach top stair realize ceiling height ..... even though 's sign state . funny ! LOLI hope cover everything might need know El . try talk thing & quot ; & quot ; might want ask go try new place hopefully cover all . go El , enjoy comfort & amp ; super clean room , feel secure save $ crazy thing see Vegas . Rocky 's Hun 
 Feb 12 2007 	 clean room safe neighborhood 	 get back El Cortez - first time stay first time stay downtown . hotel go renovation - sport book fantastic . front desk staff nice – read post friendly knowledgeable , ' experience . room nice – clean comfortable . request non - smoking king room receive . however , area surround El fairly undesirable . two - block walk Fremont Experience first block pretty shady . remember – hotel downtown . live Detroit , ' use shady downtown , somewhat surprised Vegas . never feel unsafe , ' walk alone , even day . also , dealer El could barely count . okay short period , majority gambling elsewhere . price room fantastic , want cheap trip , would stay . think would rate higher realize different downtown strip . stay downtown , would recommend El – save money room , cause Vegas definitely fun way spend ! 
 Feb 5 2007 	 Roberta 's wonderful prime rib 	 third stay El Cortez get well time . entire staff always wonderful friend stay . Roberta 's good meal Town . fair price fantastic service well . good gaming nice room . look forward next vacation another stop El Cortez . 
 Jan 25 2007 	 experience 	 book hotel want something cheap closed airport ( within 15 minute drive ) . use room catch 5 - 6 hour sleep flight leave next morning . we arrive Hawaii midnight get hotel shortly , tell computer system day manually check check guest need set aside wait could determine room available we . hushand throw fit tell girl need room catch hour sleep check next morning 6 am . finally , give we room key . 1:00 - needless say get 4 hour sleep night . room okay . HAIR DRYER WALL - will need call housekeeping bring regular one room . bathroom , small compare hotel room . bed comfortable . Decor little date really not concern we much . 
 Jan 17 2007 	 ` ` Hidden '' Treasure 	 be look fountain volcano , not hotel . go Strip spend $ $ $ . be look nice , clean , large ( except bathroom ) room great price not need hand hold , look . ElCo Tower room you . this place classic . & quot ; old school & quot ; great personality . 's wear run , 's . fact property clean well maintain , great service employee care . one thing impress talk employee many 20 year . ( except dealer ) ahhh dealer . crap geat low minimum , 21 dealer recent grad Joe Blow 's Dealers Academy look refine & quot ; skill & quot ; move Wynn . ( Good Luck ) short . looking stay downtown easy access Duece bus rest Fremont ( without noise ) great price , ( pay $ 25 per night ) favor give ElCo try . will not disappoint . 
 Dec 8 2006 	 Best 2 star Hotel town 	 Best 2 star Hotel las Vegas ! stay rest ! cheap room , good eat , easy comp . large room lot nice cherrywood furniture . ( average motel fiberboard junk ) big comfortable bed . employee glad help without attitude . yes low class part town , 1 block Fremont Street Expierence , night security guard corner . could find well place stay ! king room 10th floor , view strip . cost 19.00 ! look forward go Vegas stay ! ! ! ! 
 Oct 16 2006 	 good Hotel Vegas 	 hi fiance stay Cortez love . stay past tell place stay . get room tower amaze big . bed soo comfy do not want get morning . get married honeymoon . visit Casino / Hotels strip like bone ( elevator , bathroom , people , valet etc ) pricy one . valet awesome job take care car . one big thing Cortez leave hustle noise strip peaceful / romantic stay Vegas . great place eat Kittys cafe . food great price right . wife love everything Cortez . part love think stay place star 50 probably stay . cortez awesome . 
 Oct 12 2006 	 Glimpse past ! 	 El Cortez give glimpse glamour charm Las Vegas must early day . room El Cortez beautiful , antique leather - top mahogany furnishing , great sit area confortable sofa arm - chair . room surprisingly large , clean well maintain . staff courteous , helpful , friendly . food hotel restaurant good reasonably price , eat meal . meet many local regular customer hotel restaurant , speak favorably food price . El Cortez 2 short block Fremont Street experience , walk many time 4 - day stay without problem . bus - stop one block away buy 24 - hour Deuce pass day travel strip many , many time . recommend El Cortez everyone know . 
 Oct 11 2006 	 Fantastic stay EL CO 	 fantastic place stay . review read scared daylight . room clean . small issues:1 ) in - room safe2 ) thermostat hard read3 ) Bathroom small ( seriously , much time one spend bathroom anyway ? ) 4 ) weather channelwhat give : shampoo , lotion mouthwash . also , bar soap big compare hotel . read ask wireless internet tell available lobby . funny , full scale signal room ( cheetanetwork ) button webpage 30 free minute . if want great room great price , stay ! water pressure problem plenty hot water . 
 Oct 6 2006 	 Hidden Treasure ' Old Strip ' ! 	 diamond rough ! ! make sure stay ' Tower ' room ! good deal ok casino really win ! always wonderful time come El Cortez , negative front desk , friendly knowlegeable . change become hospitiable would rule strip ! 
 Sep 19 2006 	 well expected 	 stay Friday Saturday Pavillion room . previous review , expect seedy dive . well , case . room Pavillion like motel room outside entrance . 5th floor . room clean , towel big soft , bed comfy . tv unimportant go Vegas watch tv . hotel within walk distance Fremont street spend time . Played slot actually leave money arrive . also , wonderful dinner Roberta 's . 's bit pricey , worth . depart , bell man help load luggage front desk arrange airport shuttle . overall , LOVED El Cortez stay next trip . 
 Aug 27 2006 	 El Cheapo 	 $ 30 buck night- pretty much get pay . experience El Cortez : reserve non - smoking room , give opposite . put disturb sign outside door , three hour stay , maintenance man knock door tell fix bathtub drain properly faucet leaking . get hungry , think would try chinese Buffet downstairs ... bad chinese food ' ve ever . bad fast food chinese place neighborhood . location pretty ghetto slummy . hotel kinda dirty . like say , kinda expect thing be pay bargain basement price . 
 Aug 8 2006 	 ok price 	 book two night stay El Cortez website $ 30.00 night prepay taxis $ 65.00 total . room top floor parking garage , 20 room floor . absolutely nothing wrong room . quiet , comfortable clean . check - in 2:30pm since early , wait . Front desk staff pleasant check - in easy . old hotel , lobby gaming area look . , ok price , fact promtion go time , guest stay July August offer two free night Sept . able take advantage . low point go bufett breakfast morning , $ 5.99 , like would imagine go Salvation Army mission , bread line homeless . poor , least opinion , bottom line , get pay . would certainly stay , downtown , Fremont St. two block Fremont experience mall . 
 Jul 25 2006 	 Tower room fantastic ! ! 	 stay El Cortez two night end June pleasantly amazed room ! ! doubt , read bad thing room read Tower room recently renovate nice , give chance . top floor ( 15th ) king non smoking , request . room wonderful , dark wood , little sit area , bathroom little window ( similar room Orleans ) love ! ! comfortable bed , quiet would definitely stay again . now , area good outside hotel glamorous . parking garage not top notch , use valet parking problem solve . robertas steakhouse great restaurant there - the prime rib huge do perfectly ! ! can not beat price even luck slot casino . 
 Jun 17 2006 	 stay 	 El Cortez , find great place stay , room large cool facility great . the service great staff 1st class helpful , booked & quot ; Boots & quot ; book agent internet , problem book 15th floor , would reccomend hotel anyone . thank great stay . trevor & amp ; Val Service Hamilton New Zealand 
 May 23 2006 	 hate 	 El Cortez bad hotel ever stay . one bad experience another . stay two day . get elevator pavillion room know problem right away . get dirty elevator stare dirty window overlook dirty roof . begin , air conditioning suck , mention toilet . see people getting arrest woken fight couple next room . also put hold credit card even though pay cash room . staff rude , see bell boy tiredly carryng luggage even offer take . never stay . heaven get . Lori Canyon Country , CA 
 May 11 2006 	 difference 	 return 7 nites Vegas , usually stay Plaza downtown , however book week end find accomodation elsewhere , manage get Fitz 2 nite alternative week end El Cortez , El Cortez 3 year ago , .and enough get fast single woman think slummy . amazed change room second floor casino , new funiture / broadloom completely redone , actually well Plaza . would return wink . 
 May 10 2006 	 El Cortez improve .... still old - style charm 	 spend four - day trip Las Vegas not stay El Cortez , can not comment room , visit casino four day . El Cortez improve alot past year -- -- -they redone ceiling , lighting fixture replace blackjack table . place overall alot nice .... bar / lounge back casino think new really nice surprisingly good selection beer tap . the Tez still single - deck blackjack , bet $ 25 draw & quot ; check play & quot ; signal one dealer let pitboss know serious player table . prepare scrutinize pit - boss single - deck table . the real hide gem El Cortez & quot ; Roberta 's & quot ; restaurant ....... double lobster tail $ 40 worth , lobster tail big well - prepare . buddy mine prime rib like alot .... think $ 17 . meal come fresh bread , outstanding large bowl corn - chowder soup , rice pilaf , steamed spinach . rice pilaf mediocre .... actually not bad . plan order rack lamb list website $ 18 .... seem good true ..... instead , get lamb chop $ 30 .... opt lobster . service & quot ; Roberta 's & quot ; great ambience relax ..... spectacular , nice . like place alot think 's underrated great value . summary -- -the El Cortez fun stop downtown see & quot ; Old School & quot ; Vegas .... place really not crummy anymore nothing fear walk & quot ; Fremont Experience & quot ; overhang two block El Cortez . not bother go Gold Spike Western ( trashy ) , El Cortez worth look . 
 may 8 2006 	 absolutely horrible experience 	 wife , never Vegas , book we El Cortez thinking & quot ; strip & quot ; . not . seedy downtown Las Vegas - area might feel comfortable walk dark . although wife call ahead morning arrive confirm request nonsmoker room , save one we . give & quot ; vintage & quot ; room ( code word room update since 1950 ) . five fire alarm go 20 minute . announcement say evacuation unnecessary , allow alarm continue anyways . next morning , check , abandon already - pay next night . horrible experience hotel ANYWHERE world . bad Trip Advisor allow & quot ; zero & quot ; rating . 
 May 7 2006 	 vegas trip 	 go vegas third time april blast ! never get bored town . stay El Cortez night extremely impressed . staff could not nicer not quite sure expect hotel . would go back heartbeat . room nice . even see 4 different one . wonderful . would definitly recommend hotel anyone . also wed stain glass chapel find staff nice . wedding package not quite expect work ok . would definitly ask specific question next time service work ok . would never go las vegas wedding authority . mislead start . call since return rebate promise package & quot ; even answer phone call get back within minute set everything want money . totally ignore . not deal las vegas wedding authority . wonderful time plan go back aniversary fall . 
 may 3 2006 	 Surreal experience 	 go wedding 4.20.06 Vegas fly day early . due Atlanta Airport ' security scare ( software glitch ) arrive Vegas hour late . confirm internet reservation site ( find TripAdvisor ) room would still available . rental car leave hour early without we , hoof public bus $ 1.25 . drop we 1 block El Cortez . reserving room , read review many review similarly price hotel . & quot ; bet & quot ; El Cortez due location price . pro : price ( $ 35 incl . tax per night ) Location ( 1 block Freemont Experience , Public City Bus Strip Bus ) Amenities ( Gambling , Small C - Store , Restaurant , Barber shop site ) Ambiance ( Classic Vegas remember year ago ) Free Parking ( not use saw ) Room Toiletries ( nice assortment soap girly stuff miss ) HVAC ( window unit , function thermostat unit constantly blow ) con : elevator specific room ( old section , 2nd floor ) view room ( rooftop casino view privacy screen window ) Small Room ( problem us cruise lot ) due time difference wedding event back forth hotel every hour . feel safe hour . if confident person neighborhood fine . Nervous Mervis feel & quot ; funny & quot ; . necessarily unsafe , anxious person normal & quot ; safety & quot ; zone . never feel unsafe grateful reasonably price hotel downtown . police action Vegas . look police stay top crime possible crime proactive . large city similar situation . I would definitely stay without hesitation . good budget mind people . ' m understand expensive room much large nice view . perhaps next trip upgrade . Strip related business , must allow travel time . bypass traffic / crowd Strip / Bus take Public City Bus almost run loop around strip . drive , Maryland Ave . run parallel 5 block East Strip . vegas fun place visit interesting vacation . due 3 hour time change , travel delay , jet lag , bright light , noise , smell city , adult orient theme , wedding chapel almost every corner general humanity Surreal Experience . one hope experience soon ! ! ! 
 May 2 2006 	 great budget hotel / casino 	 absolutely love stay infamous El Cortez would definitely stay . arrive hotel eight thirty check take 10 - 15 min 's . go room ( # 1004 ) pleasantly surprise cleanliness size room , although bathroom pretty small . hotel 's casino good /cheap black jack $ 1.00 roulette lot fun two block Freemont st . experience . lot people complain neighborhood frankly not get . never feel unsafe venture hotel walk downtown bus stop block half away . $ 35 night place steal highly recommend . 
 Apr 29 2006 	 great place .. ... 	 get back spending week Vegas el Cortez . spend six day tower room excellent condition . tower room spacious clean definatly worth extra money . room look Valet parking ok cause could watch car . hear sirens party right Vegas room sleep anything . housekeeping come really early make sure hang sign door want sleep past 8 am . also spend 3 day pavillion room wich much small literally parking garage . lot camera security Guy severe limp . still feel safe though camera . downfall hotel staff . check staff short rude want encounter spend 31 hour car get . plus plan good half hour 45 min check one staff person huge line . cocktail waitress deal even ruder ... husband process change machine ( hour first waitress come around ) waitress come around ask coke refuse bring game ticket hand still machine . 12:30 check deactivate key noon . wait 25 min activate key 35 min check able get baggage . staff lady chew cause 1:15 reach front line check . build great condition , area secure , staff need learn curteous , much time spend staff Vegas . 
 Apr 27 2006 	 great value 	 23 y / o travel vegas one night need cheap place stay . not check casino , room adequate night . pay $ 5 extra stay tower could see room hallway recently renovate . room clean water hot , that s look . tv not even espn , will let slide since nobody spend much time watch tube . overall , would say want clean , quite room frill , place . ? oh ya , would stay , already plan book another room pretty soon . 
 Apr 27 2006 	 Old Vegas Charm 	 make reservation El Cortez well advance trip Vegas April 17 - 22 . family friend antidote El Cortez downtown area . find thi concern unfounded . reserve Jacuzzi suite impressive ; clean , comfortable , detail leave chance . desk staff , especially George , kind attentive every need . valet also equaly impressive . one afternoon meet family across town . ask direction , valet aware rush hour traffic freeway , kind enough provide simple helpful direction meeting place . eat Kittys find food good price reasonable . host , bus wait staff , exibite friendly attitude willingness serve . make couple trip gift shop find merchandize good quality value . nice feel like try gouge . gaming area , slot loose hope hostess offer drink often ; fact single drink serve we cocktail hostess . casio smoky times many casino visit . , El Cortez great bargain would hesitate stay . look old Vegas charm , El Cortez . 
 Apr 20 2006 	 Good Bad - Photos 	 fact : stayed weekday , Tower , corner room ( room corner number end 14 15 slightly large ) . good : 1 ) cheap place stay . $ 40 . 2 ) big standard room ' ve stay . corner room . 3 ) clean old room . 4 ) parking lot well light . 5 ) air conditioning work great . the BAD : 1 ) area surround suspect . recommend kid / elderly . 2 ) hear alot & quot ; security ... & quot ; casino worker walkie talkie . 3 ) parking free everyone , hard find night . upper level close night reason . 4 ) bathroom small , typical old hotel . 5 ) hot water like luke warm late morning . time fine . CONCLUSION : wife would stay look cheap place last minute . think room spacious generally clean , although can not attest carpet since travel slipper . stay Las Vegas Club Fremont night California night El Cortez much well Vegas Club , nice California ( review ) . not try restaurant El . check photo , excuse mess ! 
 Apr 14 2006 	 cheap Cheerful El Cortez 	 Booked El Cortez really cheap . stay begin April 06 . get Reception slow , however worth wait upgrade we Tower Room , new wing hotel . room nice , fruit , mint chocolate clean . minute walk Fremont Street . play roulette $ 1 minimum bet , fantastic , especially get free drink play table . do not put anyone say bit rough , ever London million time safe ! recommend hotel budget . 
 Apr 2 2006 	 great 	 stay four different hotel Vegas . El Cortez surprisingly big nice room . pool hotel strip 2 minute walk Freemont St . experience five minute walk city bus depot take anywhere bus $ 2 . service good . would definitely recommend hotel low price pay . satisfied . 
 Mar 5 2006 	 Fun stay El Cortez 	 husband stay El Cortez February 23 - March 1 , happy stay . stay queen vintage room casino , ' probably worth extra 5 buck upgrade tower king ( check tower , lot nice ) , like room – cute cozy , " vintage " accurate description . shower / bath clean good water pressure , room importantly bed linen clean . notice dust molding however . room quiet ; could hear casino noise room , woken noise , someone slam door room across hall . new flat screen tv decent amount cable channel . elevator queen room casino floor . $ 30 night , $ 50 weekend , feel get great deal . the front desk people brisk , unfriendly , rest staff nice . housekeeping excellent , new bedding , towel , glass , soap , etc . every day . parking easy . casino ok , authentic 60 ' décor . lay back , good place hang , gamble & amp ; relax long day run around sightseeing . ' try Roberta ' Kitty ' , breakfast buffet typical breakfast buffet , nothing great , bad either . it ' short walk Fremont Street Experience . feel safe whole time nobody approach we except time share shill inside downtown casino porn slapper strip , annoying . stay go Red Rock Canyon Valley Fire park , great daytrip . I think previous review right , depend type traveler . we El Cortez perfect , clean , comfortable , convenient cheap place hang stay , glamorous glitzy . 
 Feb 22 2006 	 Loved know expect ! 	 previous review note want classy , flashy , special occasion sort - of hotel El Cortez - need go onto Strip check Golden Nugget . however price ( generally $ 35 weekday , $ 65 weekend ) decent , old - style casino - hotel . main level seem divide two area almost tell old part ( front casino , Careful Kittys restaurant ) new part ( check - in , Robertas Steakhouse , Gift shop , etc ) - new area tasteful hold downtown property . casino little smokey ( bad though ) local seem outweigh tourist place . game cheap - $ 3 minimum lot table plenty up - to - date penny game . staff little curt ' m guess Brit seem little trouble understand sometimes ( doubt many Europeans stay downtown compare Strip ) - issue maid leave door open room ( shut correctly slam ) issue leave date ( get wrong ) - apology forthcoming fix good enough I . there free express airport shuttle early morning early afternoon ( ' m sure pick - seem drop ) cocktail waitress look property . poker player might like know poker room seem place downtown offer stud game . mention area . use street people that s ok - two block away Freemont Street Experience ( rest downtown casino ) one block Strip shuttle bus . two stay never trouble occasional request coin people may alarm . certainly would advise walk direction alone . 
 Feb 21 2006 	 El Cortez 	 front desk Rude note efficient ! not acccomadate request even though already list online reservation . tower room book online give we even though pay one . get rip off.the bath tub scary look shower head low , hard take shower tall.the bed soft side.the room hall way horrible smells.the good thing friendly maid.the wall thin , hear thing easily , even room shower head on . do not stay unless dirt poor place sleep . 
