stay 	 go 8th time Vegas , stay new hotel visit . however , friend Vegas newbie narrow - minded plan spend time lounge pool . sister advise we book stay Hard Rock Hotel . since yet try destination party atmosphere , concede suggestion . plan trip span Thursday Monday ensure would poolside Sunday Rehab party , still advertise prominent event website , though already enter Fall season . we arrive schedule Thursday afternoon confront lengthy check - in line . die get settle start trip , allow check prior 3 pm time . tell room ready await approval housekeeping manager , take one hour . drag luggage Pink Taco restaurant grab tasty mexican salad ( see separate review ) enjoy sun patio . return check desk hour later tell room still await approval , could immediately settle room low floor . point , eager get pool , agree less room , wound provide hideous view parking garage ! room funky wallpaper , spacious bathroom , iPod dock speaker , large flat - screen television . mixed feeling regard stay . first , website mention Sunday Rehab party season pool heat . , basically , everyone relax poolside 80 - degree weather , nowhere properly cool . regard crowd , friend think back home among Jersey shore guido . fist pump definitely scene ... final note pool waitress extremely friendly Thursday afternoon , become snooty pretentious weekend . try exude & quot ; cool & quot ; vibe rowdy Saturday - Sunday crowd . pretentiousness discourage impressive . additionally , hotel 's free shuttle Strip arrive every hour even stop anywhere close Las Vegas Boulevard . wind opt taxi service instead , save time cost $ 10 way . also annoy $ 20 day fee use fitness center , attach spa rather part hotel . large room pack equipment would perfect way counteract extravagant dinner evening cocktail , refuse pay & quot ; amenity & quot ; .The main reason stay Hard Rock crazy atmosphere , terrific nightlife option , large pool grotto . however , many thing negligible find property . would recommend stay Strip instead . 
 40 th birhtday getaway 	 Loved ... music great upbeat .. find singing time . staff could friendly helpful . book pink jeep Grand Canyon consierge fantastic . leave imp . paper safe ... already checked not realize several hour later ... go back hotel safe ... secruity . safe front desk server maid wonderful . miss bottle opener .. call desk minute . location couple block strip really enjoy ... access easy price definetly well place stirp . love small accessible . like either club .. high expectation read good . people firont desk say going put new club ... also ... sad able swim ... say consider pool open year round 
 hotel terrible ! ! ! stay far away . 	 begin .... 1 ) room single glass anywhere find . drink hand . several dirty glass sit floor outside door arrive check next day.2 ) television signal . zero channels.3 ) huge moth sheet . discover crawl leg get bed.4 ) room coffee pot.5 ) construction begin 8 room directly mine ( hotel less half full judging registration desk , put room construction ? ) .6 ) staff impolite.7 ) hotel charge $ 8 item mini - bar , not touch . know item never begin . 8 ) music registration desk loud ( casino floor ) can not hear employee say behind counter . as frequent business traveler stay lot hotel ( ' ve fly 50,000 air mile around US last 6 month business travel ) Las Vegas Hard Rock , without question , worst ! ' ve stay Best Westerns middle nowhere preferable . I ' ve also stay Hard Rock Hotel Biloxi find vastly superior amazed Hard Rock ' brand ' would allow disgusting property operate Las Vegas . do favor . be travel Vegas , avoid Hard Rock cost . will not sorry like . 
 Aug 26 2005 	 Hard Rock Rocks ! 	 visit Vegas numerous time past & amp ; hotel room pay employer , not quite care stay , visit make point cross Koval Lane & amp ; check Hard Rock . gambling & amp ; eat Mr. Lucky 's & amp ; Pink Taco . even make pool take look - which ' m sure manage gain access time , room key , check time recent visit - the pool amazing , & amp ; reason choose book room vacation Vegas . from 9 am 6 pm would lay sun pool & amp ; order Corona dive get hot . eye candy pool truely amazing ! hot girl everywhere ! like Spring Break Cancun ! not think pool someplace celebrity & amp ; model 30 , wide array different people hang pool . family even , kid . long not mind loud Rock music - which even hear underwater certain area pool - and feel comfortable Rock N ' roll , lay back atmosphere , will fit fine Hard Rock . one , love music play pool , 95 % seem fit & quot ; Rock & quot ; category , either alternative , Hard Rock , 90 's Grunge , 80 's , Classic Rock 60 's & amp ; 70 's . hear Dean Martin song one day , play right Scorpion 's & quot ; Rock like Hurricane & quot ; , interesting segue . the room Hard Rock equally awesome pool . flat screen Phillips TV 's large room picture Jimi Hendrix & amp ; Keith Richards wall , decorate nordic minimalist style . one cool thing tv , muisc pump several channel , well Music DVD 's sceen channel . cool watch old concert footage lead Zeppelin huge flat screen tv come back room gambling late one night ! youv ' e read review , youv ' e doubt hear mini barr room . Front Desk staff quick point motion sensor , & amp ; charge move anything , warn . $ 5 Corona bad , $ .50 bar downstairs . keep mind Vegas like New York LA , everything expensive , accept , & amp ; prepare trip ! observation hotel ; probably never room ready arrive 2 pm , early flight & amp ; get 11 am . give key could go hang pool , though . somthing keep mind arrive early . Sportsbook bar cool also . gamble least dollar per hand video machine , will comp drink , bad will gamble free half hour 45 minute & amp ; pay drink money lose ! love able watch like 8 baseball game , ! would love NFL season ! cool thing note nearby Hofbrau House ( german Beer Hall & amp ; Restaurant ) across street , well small market ( white building , red lettered sign ) sell sun tan lotion , aloe vera gel , soda , & amp ; almost anything else could buy Hard Rock half price ( suntan lotion @ hard Rock= $ 10.95 , market $ 5.95 ) . probably buy beer much cheap , would discreet bring back hotel , strictly forbid , & amp ; security watch elevator evening , guess must drink cheap possible , bring daytime ! prefer get drink circle bar sportsbook bar though , especailly gamble , & amp ; well , pretty much free anyways ! 2 beer minibar , though . one right check & amp ; another last night finish gambling . oh yeah , stripclub thing ( bachelor party , guy night , etc ) , Club Paradise also across street , walk versus pay $ 35 roundtrip cabfare somewhere else . decent club , although probably go winning quickly ! one thing certain last visit Hard Rock , never stay anywhere else Vegas ! awesome hotel 40 crowd ! 
 Aug 23 2005 	 Place will ever stay Vegas Future 	 check Mandalay Bay one day absolutely awful experience , Hard Rock AWESOME . entire staff friendly eager please , overall Resort Casino fantastic ! yes overall crowd young fun , , VEGAS ! middle - aged couple , never feel old - fact make we feel young . music expect , rocks.while mega - resort , restaurant dine superb , cheap Mexican Pink Taco ( fish taco ! ) , sushi Nobu , big find Simon 's , favorite place eat Hard Rock . not time hit AJ 's , sure next time . pool get crowd early , well & quot ; chair control & quot ; would helpful , bounce folk / towel chair vacant extended period time . murkiness reviewer refer sandy beach certain part pool , water crystal clear folk actually make pool rather look window would notice . would great pool large , however . week - end , however suspect Sunday Rehab party would bit much unless total party scene , quite obvioulsy place be . the off - Strip location plus , keep endless stream passerby 's away , general crowd Resort Casino limited people actually stay , noticeable absence stroller - still not understand stroller push Strip casino . will not find Hard Rock . alone reason enough stay here . I ' m look forward return ... 
 Aug 17 2005 	 fun Vegas ! 	 stay Sunday night experience & quot ; Rehab & quot ; pool - first time Hard Rock ( usually stay theHotel Mandalay ) . word : incredible ! Rehab beach party Sunday even well advertised . entire Hard Rock scene everyone - 25 - 35 year - old like see see feel home . casino small gambling seem by - product people hang ! eye - candy great beach party , impressed room . pay $ 100 , give huge two - room suite face pool area strip ( excellent view 5th floor ) . suite appear 800sf 2 large tv 's , double french door two mini - balcony , wet bar good audio sound system Vegas - complete receiver high - end Klipsch subwoofer , along separate main speaker , produce top - notch sound . perfect suite party . fact , Hard Rock party ... day night ! 
 Aug 17 2005 	 Hard Rock sinful Casino ! ! 	 stay Hard Rock many many time . ' ve stay quite Vegas hotel like Excaliber , NYNY , Tropicana , San Remo ( soon Hooters Casino ) , Orleans Palms . not know keep come back Rock . love pool Sundays pool party call Rehab . would stay Hard Rock pool open , 's know ... pool . would say service Hard Rock great know . 's good . 's party house . body english club ( formally Baby 's ) , Joint ( Beacher 's Madhouse Comedy Show great ) , circle bar . AJ 's steakhouse great .... good shrimp cocktail crabcake town . like say Rehab pool party sunday bomb ! ! ! lot eye candy man woman . 's worth take late flight back home leave Monday . Rehab open public would wait long long line ( sometimes 3 - 4 hour 3 day holiday ) . Hard Rock place want get sleep .... um be Vegas .... sleep get back home . will hear people crash symbol hall ( drum symbol wall ) , room party little naughty room action know mean . not offend smell strange cigarette smell hall . like say 's party house not bet get 1st class service . seem like half OC weekend . will see lot fake boob lot wanna - be Nick Jessica 's . will see lot whale tail ( thong show lady sit ) walk around . strip club across street ( Club Paradise ) girl come circle bar shift make extra $ $ $ . sinful casino Vegas . strip advise walk especially Vegas heat . shuttle drop MGM , Ceasars Forum shop , Fashion Mall . want take Taxi sometimes would cost lot depend want go bad traffic . good advice , probably share cab someone go another hotspot . yell & quot ; be go Drai 's , anyone wan na share cab Palms & quot ; etc . good way meet hottie night . taxi line get really long move fairly quickly . would try find taxi side casino walk way taxi line . many taxi 's drop people side grab taxi . need business work do print boarding pass flight , kinko 's nearby . print boarding pass morning leave therefore need get airport 2 hour early . 's time pool . well hope help . will back Rock labor day weekend ! ! ! 
 Aug 16 2005 	 Motel 6 guitar wall 	 decide rent two room request adjoin 13 - year old stepson , hubby , extra space plus joy two bathroom . check , room not ready , leave luggage one tell everyone would happily visit Cafe . one room carpet clean ( eew ... not wan na know ) , return lovely smell wet carpet . mountain view room ( really view airport mountain ) look bit worn . like many party occur . rug seem wash fade . purple satin comforter bed probably look regal first month , pretty beat . four pillow white pillowcase finish & quot ; bedding , & quot ; look like dorm room decor . mini - bar completely sensore could not use son 's medicine ( refrigerate ) . tell we could rent fridge $ 25 night . ? ! ? ! ? 's lame . view pool one top floor , tropical theme could great , water murky . go check , look dirty uninviting . whole place seem neglect . check two hour . staff amicable charge $ 75 per room cancel , could not help snidely add would able rent room someone else evening . smile say , & quot ; ' m sure will . & quot ; , skip Hotel Mandalay Bay heaven . ( Read review ... awesome place make trip enjoyable ! ) sorry , Hard Rock . Ya already need facelift . 
 Aug 5 2005 	 check day early . 	 went Vegas birthday think Hard Rock would fun . end check day early . pool area crowd friend could not find place sit . pool poorly lay shallow . people loud aggravate . room noisy listen jet arrive night . 
 Jul 29 2005 	 Loved Rock 	 absolutely love Hard Rock ... pit boss dealer could nice .. & quot ; vegas virgin & quot ; dealer teach play roulette blackjack ... great beautiful club ... would reccommend VIP table great view club beautiful people . great spa pool ... sure visit pool sunday ... hotel great young crowd perfect celebrity sighting since first trip , back 3 time , stayed & quot ; rock & quot ; time . enjoy trip ! 
 Jul 25 2005 	 Love Hard Rock ! 	 Hard Rock Hotel great place stay ! everyone staff could not friendlier we . smile everywhere . room nice bed comfortable . food terrific . cabanas nice place relax pool . check check breeze . early forty couple bring twenty - three year old son first visit . could not choose well hotel stay first time Las Vegas . feel welcome . hope return next year . 
 Jul 14 2005 	 Awesome upgrade ! 	 stay July 10 - 13 . upgrade suite face pool , charge ! awesome ! pool great ! music fantastic ! husband 32 & amp ; 34 really feel comfortable . not really lot gambling . mostly & quot ; hung pool & quot ; typical sight- seeing . 's definately place go planning & quot ; lot & quot ; gamble . 's party atmosphere like everyone else already say ! ! would definately stay recommend anyone . ! 
 Jul 7 2005 	 great specific audience 	 good time hard rock . place gear partying instead gambling . table limit south strip casino . food 24 hr diner relatively cheap location . also steak steakhouse restaurant good would get anywhere else . not like menu steakhouse b / c order everything one item . order steak certain price , vegetable certain price starch certain price . not make sense , one price meal . one thing aware hotel .7mi away MGM Grand ( near casino ) not car , need cab every trip . room nice Bose radio flat screen tv . , pay top dollar Saturday stay . hr customer mostly 25 - 35 . exceed age range probably look place . ' m sure Hard Rock take money , get old probably stay Manadalay Bay . 
 Jun 28 2005 	 one word describe - AWESOME ! ! ! 	 hand good hotel ' ve stay . comfortable bed around . music lover , must stop ! can not wait go back . bonus - there 3 music chanel feature live music . wake watch u2 concert coldplay show ( plasma tv 's less ) absoulty wonderul ! 
 Jun 25 2005 	 perfection 	 stay several time . blast every time . check flawless . lose wristband give new one without problem . rehab amazing crowd . staff friendly dealer way house keep bring we extra towel every day ask . people say cabanas 400 dollar , wrong . honestly think people come trash great hotel . maybe people uptight . eat restaurant property , spend much money fault . great service time food tasty . ' m 29 keep come back til ' m 40 's suppose . 
 Jun 23 2005 	 Rock Music 's good 	 great place . good , current rock music play throughout casino , boring stuff hear everywhere else . keep party mood . decor make feel like rock ' n roll museum , plenty look . pool fantastic , great service surrounding excellent pool bar food . room really nice confortable . must dinner Nobu , hotel pool entrance , like sushi ... , good , little pricey worth like kind thing . everyone helpful friendly , circle bar casino great place meet people . finally , try take show Joint , great venue see concert . always stay go Vegas . 
 Jun 23 2005 	 TRL ! 	 much add really , except stay hotel TRL film pool get see Mario , Shakira Hilary Duff ! internet access room shocking , really slow awkward use , though impressed huge screen wireless keyboard . would defo recommend hotel anyone , really nicely decorate well keep , pool clean well manage . 
 Jun 21 2005 	 take Local ! 	 take ( local ) . live Las Vegas 61/2 year , visit share Hotel Casino 's . Hard Rock Hotel Casino far one kewlest casino 's . become second home . know alot staff . come across bad apple attitude , never let effect opinion place general . staff Mr Lucky 's always awesome . Scott particular give good service ever receive . problem make even typical local feel like vip ! Kudo 's . dealer friendly , attitude deal thousand drunk tourest daily , people spill drink table , people bend card , smoking table ( dealer smoker ) well , get idea . anyone bad day . see guest 's pissed dealer . really want fun , track dealer name Bam Bam , guy -- -- -- sit table play . trust make fun experience . be usually Crap 's peacock lounge ( high stake room ) . ok , never spend night room , one day 's . dealing alot staff always treat friendly . find hotel town play 's well good old Rock Roll . body English , club hook get . 7 1 girl boy ratio . true high class club . OMG ! Rehab ? let tell . celebrate 35th Bday . HOOK pool party ever . hot chick bikini 's know . service Chris pool great . Drink 's , food , shot 's , water , hot chick 's , loud music , sun , else ask ? one thing though . attend Rehab , truly need rehab day . change name go partying week rehabilitate ! continuation party . Screw night club 's , get rest go Rehab . 
 Jun 18 2005 	 Pretty Cool 	 return Las Vegas business trip . Hard Rock really cool hotel . like anything else , pro 's con 's . Pro 's : clean - elevator polish least day . leather wall leopard print carpet , funky . room great shape , keep clean fresh looking . entire hotel spotless . security - night , security guard post elevator check roomkey . room key - elevator . the music rock . awesome hear classic rock everywehere go hotel . pool ........ whole beach club area amazing . sandy beach extend right pool , swimup bar blackjack table ........ great place hang out . the BOSE alarm clock room spectacular . 102.7 80 's radio station music clock radio every morning great way wake up . the entire staff tremendously upbeat accomondating . the pink Taco good mexican food ever . bed big pillow soooo comfortable . con : book room via web get great rate , however room face airport . tell mountain view room , ; mountain behind airport . extra charge everything . Room Servie add $ 3.00 delivery charge per order . hello ? ? ? be ROOM SERVICE . addition , automatic 18 % gratuity add bill . $ 9.95 breakfast quickly turn $ 14.the mini bar sensor . move anything around , charge . also , upon arrival , ice tea mini bar someone door within 15 minute re - stock . kind freaky know room somewhat monitor . I purchase sixpack beer room . expect ice bucket fill come home back work day , . assume go assist drink cheap property . the hotel strip complimentary shuttle stop run 7 pm . pay taxi 's get back forth , pretty good walk Hard Rock Las Vegas blvd . the pool open 9 am thru 7 pm . , business , go able take swm night enjoy awesome spot hotel . $ 5.00 per night resort fee add room suppose cover shuttle pool area . , , shutdown really early . the casino small comparison hotel Vegas . overall , glad get experience resort . group not mind split taxi 's every night , would recommend hotel great party place hang friend . prepare spend precious gambling $ $ $ $ tons miscellaneous fee . 
 Jun 17 2005 	 great place fun choose wisely 	 read bad news 10th anniversary feel bad people . invite mail twice weekend event . clearly go board invite everyone brother without consider 600 room lot celebrity clientel . smart enough toss invite trash . try hard rock Sunday thursday good month go November . do several time hard rock stay three time last 9 month . u check website deal actualy get email regularly . pay $ 69 per night . first stay pay $ 59 bump us suite top floor right next door bowling suite Jessica Simpson Nick Lachey stay large one bedroom suite beautiful free happen slow day despite Simpson Lachey clan . incredible time . make night club yet circle bar favorite place fun . well super fun 21 love game . pleaseure dine restraunt except steakhouse . pink Taco really good not eat bar 's usually dirty . Mr. Luckys well ask fo $ 7.77 deal steak shrimp yum cheap ny steak 3 shrimp do right . also hamburger great choc cake cheap . eat Simon cocktail bar well $ 14 dirty martini ' ve . okay favorite Nobu yes get cheap think husband share 3 different roll beer around $ 43 bill extremely reasonable place . noisy hall yo expect hotel like . bed comfortable view strip amazing . never stay Friday Saturday night rate near $ 299 room that s crazy . get player card saving lose stuff na dcoupon book u check save u dine Mr. Luckys free hard rock shot glass . walk place entertain music always right . time stay cool weather raining never get chance use pook area look unbeivablby great hear get crowd crazy . souds fun . 
 Jun 16 2005 	 great place great time ! 	 Loved , Loved , Loved ! ! ! visit June 05 first trip Vegas . ' m 40 's people keep tell hr cater young crowd . worried first might feel place . wrong worry . lot young kid 20 's early 30 's , also people age even old . hr place want stay definitely disappointed . booked room thru Expedia get great price . problem check within 20 minute arrive , room ready . room comfortable . great bed great pillow ! light bathroom great , three full length mirror wonderful shower head - one & quot ; rain & quot ; showerhead . within two hour arrive , run two celebrity - way cool . pool amazing ! crowded , uncomfortably clean . beautiful people everyone friendly . service restaurant bar great . Center Bar lot fun great place hang Friday night . security guy elevator night bothersome . would definitely stay ! 
 Jun 6 2005 	 Hard Rock place - least bachelor / ette party 	 get back bachelor party Hard Rock , June 2 5 , 2005 . let say take follow day work good idea life - need catch sleep stay basically 3 straight day ! ! ! ! & lt ; p & gt ; , be read review decide whether stay Hard Rock , be important understand hotel mean . part bachelor bachelorette party group buddy look great time , , hand , place . place rock 24 hour - every day , 7 a.m. gambling , drink casino bar hanging , 10:00 a.m. hang pool absolutely gorgeous woman ( 50 % fake breast , way ) . let emphasize , , GORGEOUS woman Hard Rock ( guy seem good - look well , lady ) . 24 hour day , really kick - a * mix rock music play casino pool . nightclub Hard Rock , Body English , awesome - 's kinda hard get , though , be group guy - get one guy major player casino . ( could not even get group 15 guy , 5 us - rest slip bouncer good wad $ $ get ) . MTV two day - one day see Black Eyed Peas , Fat Joe - miss Snoop day . another day see actress Shannon Elizabeth floor . hall we , Run DMC rent ridiculously lavish suite weekend , friend actually manage get party one night . , absolutely look , could well time . truly , bachelor party remember . be also look book bachelor party Vegas , not look anywhere else ! ! & lt ; p & gt ; however , be look go somewhere Vegas family kid , be part old crowd ( group late 20 's early 30 's ) , would advise stay somewhere else . get marry take family Vegas , be sure heck go to stay Hard Rock . be situation , place beat . 
 may 22 2005 	 Impressed 	 decide contact agent book Hard Rock inform would check July see still room ! ! book hotel back March year upon phone folk live states inform rebook another hotel also hear bad report travel way UK really do not need hassel place stay 14hrs travel . cancel book hard rock find place else stay . say hope Hard Rock get act together soon attitude staff report people treat rudely remember pay wage . 
 May 18 2005 	 well anticipate 	 hubby , another couple stay HRH 5/15/05 5/18/05 . standard room get Expedia $ 95 / nt . room well expect . decor contemporary furniture style color neutral . bed comfortable feather pillow heavenly . plasma screen tv give excellent picture . housekeep great job cleaning room early day respond quickly ask towel . bathroom average w/ shower head low 6 ' 2 & quot ; hubby duck get . also deep tub careful getting . bad thing room bathroom light . horrible . nearly impossible put makeup . put face right mirror small light even could not see . call see light makeup mirror tell . friend also note horrible time see bathroom . definitely could use update bathroom light . the casino nice . pleasantly surprised . small round . even well , lot $ 5 min . table thrill hard find place . pipe music much well alternative annoying slot bell whistle . music lot variety casino pool . dealer nice make gambling experience much fun . the pool really nothing great . care sand beach part . water temp great bar service pool fast efficient . lounger adequate pool towel nice big . we early 40 's lead beleive would feel place . . fact average age people stay gambling . enjoy stay immensely would definitely stay . next time however use hotel shuttle get strip . registration neglect tell we perk pay lot money taxi . 
 May 18 2005 	 Hard Rock place ! 	 stay Hard Rock past ten year never disappoint ! want fun , good look non - touristy hotel . restaurant fabulous , gamble fun overcrowded , room simple reserve pool view , view pool strip amazing . pool great cabanas $ 50 . always excellent service Rock . visit Mandalay Wynn past weekend could not stand kid tourist pack place . elated arrive back Hard Rock . want place hip , full hot people fun kid annoying tourist well Hard Rock . 
 May 16 2005 	 would not stay Rehab Sundays great . 	 spend 2 nights/3 day Hard Rock , would recommend stay , pay $ 20 $ 30 buck party Rehab Sundays . Pro 's : nice pool Sunday , ' . Con 's : nickel dime death . careful move anything refrigerator , electronic scale hook wireless network . room automatically charge anything move 15 second . miss 4 point sentence bottom price sheet , good luck explain apathetic guest service Gestapo fail read room ' fine print . want go pool , family friend town 2 people staying room . pay - up . $ 40 per additional person per day 2 per room . make sure not lose wristband issue check , assume guest liars issue new band without issue hard rock $ 40 . book say Expedia anything wrong , example get cot instead standard bed , ' Hard Rocks problem . seem thing obligate take $ 399 per night Expedia feel generous , offer book another room addional $ 399 . want go pool actually get lounge chair , prepared wake crack dawn reserve chair towel . go pool past 9:30 chair leave , $ 400 cabañas available . overall , disappointed . Sunday pool defiantly hot , seem hotel guest clientele mainly 20 30 something man . since pool policy restrictive , poolside Friday Sat lot man meander around look disappointment . ' stay Palms past plan return . 
 May 13 2005 	 Suite Deal ! 	 hand - down good time ' ve ever Vegas . check ask upgrade standard room give spectacular , rockin ' $ 600 suite COMPLIMENTARY ! wow , Cinco De Mayo . room dead center pool view 8th floor force leave room go swimming . pool , sun shine , water perfect , drink strong everyone state euphoria ! casino great circular layout bar center ( drink terrific , & amp ; expensive ) . love ! gripe win dime casino ! 
 May 10 2005 	 Lovin ' Hard Rock 	 six buddy plan bachelor party Hard Rock May 5th 9th . discuss option far hotel selection go , decide give Hard Rock try . man , glad ! ! ! ! ! look romantic getaway significant , quiet , peaceful resort ...... move along , cuz ' place be not . however , want feel like live beer comercial day , even & quot ; girl go wild & quot ; video & quot ; ( especially Sunday pool ) place . the room great , bed comfy , plasma TV 's , big tub .... blah blah blah ... not spend much time room place anyway . the dealer crazy friendly fun , even though take money . mention , people beautiful . black jack crap cabana pool swim black jack . food Mr Lucky 's good , Pink Taco . obviously , Rock Roll music play time . right beside airport , course go hear plane . light shade hallway cybel , gee ...... wonder anyone going hit . want quiet ........ do not go ......... want party great time ........ else go ! ! age range guest 22 40 , mostly 27 - 35 though . for give negative review room give away ...... stay , would pi $ $ ed , place awesome . hey Hard Rock ....... keep GIVIN'ER 
 Apr 30 2005 	 fantasy come true las vegas 	 staff excellent almost everybody beautiful . young , hip crowd try good time . pool fabulous decor ( throughout entire casino ) hip date . get see famous people , almost like movie . want reality vacation ? would highly recomend casino people not afraid party fun night long . staff helpful playful . good dealer ever see . night club exquisite , upscale . great experience around ! 
 Apr 27 2005 	 never stay ! 	 call 2 week schedule arrival see bon jovi ticket tell host room book January 10th anniversary wknd April 29th retract hotel . not call , never would tell would showed n vegas without place stay ! ! ! ! ! tell room pull go Brad Pitt , Owen Luke Wilson star come big wknd . great guy , great rest we . offer free weekend time access pool ... whatever . two week go trip , could not get place ( Bellagio , TheHotel , Venetian , Palms ) though palm really nice offer comp future trip ( way capitalize competition 's poor customer service , like ! ! ) . leave message hr 's manager president hotel , not return , tell rest save grief stay somewhere else . btw ... still dinner spa reservation HR , hope not charge room ' m no - show .... 
 Apr 22 2005 	 place -- -- - ! ! ! not stay ! 	 say , never ever stay hotel . crap service . course , get boot next weekend , Hard Rock get together suppose big weekend . book room month ago , call today read TripAdvisor happen another person , call confirm , find " record reservation . really quite rude . even confirmation number everything , explanation " someone forgot enter computer , oversold . " . opinion , unacceptable . plan big weekend , pay $ 300 see coldplay , unable either . oh , one last kick -- - , Nobu call cancel reservation due private function . way kiss celebrity -- - Hard Rock , forget real people . never stay crap hotel , neither . 
 Apr 19 2005 	 beware ! ! please read book hotel ! 	 AWFUL ! Hard Rock Hotel RUINED Birthday weekend ! ! ! assure first email kind read tripadvisor ... friend book three room Hard Rock 5 month ago 25th birthday . suppose stay next weekend . even call confirm two day ago . today get call hard ROck reservation overbooke ( claim over - book hundred ! ) move we block motel ... nothing ! could not beleive , call speak mangement , supervisor , etc , etc , nothing it- end story , . late replan trip friend spend hundred dollar suppose good party weekend random motel . Hard Rock graciously offer free pass pool- HA- thank , can not wait . honestly believe happen today . ? ? yup . one thing read post like do not think happen . well Hard Rock ! choose Palms Hard Rock big regret choose rotten place . still can not believe . horrible ! ! ! 
 Apr 18 2005 	 terrible experience hard rock . 	 not stay Sunday peak season . host bachelor party July , 2004 . group purchase ticket Hard Rock & quot ; Rehab Pool Party . & quot ; quite scary event , say least . fight break , paramedic call several time , way overcrowded ; feel unsafe . end hectic day pool , Hard Rock EMT staff run friend 's foot ( breaking ) stretcher load patient . management would provide medical attention friend unless sign Hard Rock release liability . hobble street await public ambulance . much Hard Rock 's & quot ; sight , & quot ; minimize risk injury policy ! , love stay Hard Rock every day except Sunday Pool visit . , want bachelor party hardrock , skip pool party , especially Sunday ! 
 Apr 2 2005 	 love place 	 not well casino food great Pink Taco Luckys . D. DeLoach Jacksonville Florida 
 Mar 31 2005 	 June 2004 Birthday Celebration ! 	 visit Hard Rock June 2004 host 30th birthday celebration time ' friend ' want stay desperately . mainly due celebrity exposure place get . ( i.e - Howard Stern . ) hotel ' nice ' , yet experience could much well . upon check , front desk staff extremely cold , & amp ; rude behavior offer sense well - being . pink Taco restaurant overrate , quality food serve hot . every morning breakfast & quot ; breffiss & quot ; ( s.e.r ) , Mr. Lucky 's restaurant seem deliver . find staff seem genuinely care presence money spend . another note , five minute return room , housemaid quietly knock door , offer verbal warning would enter , door slowly open attendant unexpectedly catch we spend ' quality time ' one another ! attention lover friend , beware Hard Rock 's quiet room maid ! late night party goer love bang Zildjian cymbal light sconce hallway 4 am ! set temporary drum kit guest hallway well ? pool mess ! synthetic sand bar pool make dirty feeling ! nothing like backstroke cesspool mud grit ! opinion , hotel could much well actually . 2005 , spend next vacation Vegas Hard Rock . 
 Mar 25 2005 	 nice 	 hotel convienently locate airport , far strip . hotel provide free shuttle strip top every hour , night . room nicely furnish , impressive widescreen flat tv wall . casino big , not get lose one strip , table minimum reasonable . 
 Mar 22 2005 	 great hotel 	 husband stay Hard Rock February 22 - 24 , 2005 . must say fall love hotel soon walk . Rock & amp ; roll atmosphere fabulous love music . front desk staff pleasant accommodate . room spacious bed comfortable . alot noise airport traffic , however , not bother we least . light sleeper , want request ear plugs . wish coffee room , not big deal . rent car time , not try shuttle Strip . want go Strip , drive & amp ; park Ballys . the complaint Hard Rock concierge desk . travel agent , make sure traveling , take notice other treat everyone hotel . go concierge desk ask question , gentleman phone . make attempt acknowledge we entire time stand front desk . stand front 5 minute finally give . something mention client recommend hotel . 
 Mar 6 2005 	 Loved ! 	 stay Hard Rock one night President 's Day weekend , love ! upon check - in , upgrade Suite separate living room huge tv , stereo system , wet bar , etc , etc . bedroom bathroom spacious , everything clean . despite cool temp , open set french door get fresh air room . no complaint kudo folk Front Desk know please guest ! ! 
 Mar 6 2005 	 noise sensitive 	 thing one tell hotel miles airport every five minute night treat 747 headed destination . light sleeper hotel . also , travel extensively not hotel coffee room . come ... Hampton Inn . think way make money pot coffee run $ 17 time get room service , tax tip . coffee lover can not live without end add $ 85 five day stay . 
 Mar 4 2005 	 Nice Place 	 nice , clean room . location problem . many might prefer stay strip . good distance away van strip infrequent end 7 pm ( terribly inconvenient ) .dealer gracious helpful , although might find try hard hip . however , appreciate kindness . pool nice , good get rid goofy sand shallow end . 's pool , beach . sand messy get way . some staff member unfriendly . cashier seem angry cash chip . lose ' tude . get good deal good time . however , stay stip action next time . Hard Rock far away relevancy Vegas . 
 Feb 22 2005 	 definitely recommend Overall Minor Caveats ..... 	 stay Hard Rock past Sunday night , President 's Day weekend . late-30 's financial exec New York City . pro : extremely efficient check - in check - out .... smart , fast , courteous staff registration desk . good staff around also , include casino dealer . everyone seem ball hard - work . eat breakfast Lucky 's , excellent . hotel look great inside room fantastic , except iffy water pressure shower . lot great - look woman walk around . room rate long - weekend night extremely reasonable good could find among top off - strip hotel . con : day check , sort massive motorcycle rally / concert parking lot room . incredibly noisy , top floor hotel . add brutally loud jetliner noise seem like right outside window ( hotel right next landing path McCarran ) ' ve get prescription major headache . & quot ; mountain view & quot ; side hotel , know would different side . take earplug bother , guess might buy there . overall : would stay , Strip side hotel since noise bother . think hotel note issue website inform guest make reservation may issue . tribute rest hotel despite , enjoy stay would go back . 
