Great 	 take girlfriend Chicago surprise anniversary present weekend Thanksgiving . unfamiliar Chicago , know want stay near museum Millenium Park . value travel website , find rate Hotel Blake less half advertised rate sell . review say 3 - 4 star , really not sure expect . when show , pleasantly surprised . 's good neighborhood , minute walk Michigan avenue . check late , desk staff courteous helpful , though unpack carry bag . Valet - parking available hotel , half price parking available literally street hotel . make room 9th floor , amazed room . large room , magnificent bed , good decoration , huge bathroom . train traffic noise 9th story , get excellent sleep comfortable mattress . free wifi , excellent soap , shampoo , body wash , etc ... even sew kit . room definitely deserve four star , minor quibble little mold shower stall otherwise impeccable bathroom . never really try tv , room clock connect ipod , think neat . the free breakfast great unexpected , recommend get early ran donut danish well post closing time . service uniformly cordial helpful , recommend good restaurant nearby attraction . ( awesome , get early ) . picture Chicago post Hotel Blake website representative actual view hotel , google map let know expect vicinity . overall , heartily recommend Hotel Blake probably stay get rate . 
 may 30 2006 	 Loved Hotel Blake surround area 	 read horrid review site one hesitate staying , even book hotel . call couple time hand get honest opinion status hotel . honest inform end remodeling , room not complete . arrive , Friday , May 26 amazed modern sophisticated hotel lobby . doormen nice helpful , front desk clerk great personality , informative . almost faint joy enter room . king size bed extremely comfortable , 2 trash can , tv , place clean . say favorite part hotel room bathroom . look 20 time well lot chain hotel bathroom ' ve stayed visit . marble galore , shower magnificant point tell , would show . every detail bathroom point . 2 thumb decorator hotel room . location perfect : 20 - 30 min walk lake ( perfect ) , 15 min walk Marshall Field 's , across street huge chicago library , 20 min walk museum King Tut exhibit display , 10 - 15 walk millenium park . need go .... personally would not eat Custom House restaurant ( although room service ) waaay overprice . recommend eat brekafast Orange restaurant around corner west harrison . people friendly , food reasonably price delicious ! ! ! would stay Hotel Blake ? heck yes ! ! ! person live work New York City ! ! ! P.S try visit Wrigley Field ... near ! ! ! 
 May 29 2006 	 easy access public transportion home $ 45.00 breakfast 	 check several hour early give handicap accessible room . soon learn room available . Handheld shower fall wall , holder bath tissue , since accessible shower floor slope river lead 2nd drain center bathroom floor . inform desk break shower go day . return shower fix give we new room . 2nd room size also desk , chair / footstool , double sink bath great shower . budget , not eat hotel . good poach egg partner ever , light breakfast 2 45 buck tip . hotel make room right , room large Chicago rate 189 include tax not bad room view . 
 May 25 2006 	 great stay 	 unexpected delay O'Hare decide head city night 's rest . walk Hotel Blake ask room 3:30 . clerk give we reduce rate check late . room wonderfully appoint . not see website beforehand , can not speak advertise . hotel restaurant fabulous breakfast reasonably price quality . hopefully will remodelle kink work soon ; would stay heartbeat ! one block away LaSalle stop Blue Line . 
 Apr 24 2006 	 need work 	 husband plan long weekend trip Chicago April two month . begin hotel search , everything seem least $ 300 / night downtown hotels- price unwilling pay outside New York Europe . find AAA rate Hotel Blake $ 171 , website look promising , book . couple week ago decide check review , unfortunately far good . look online every hotel chain could think addition hotels.com , expedia , etc . room find price . alas , leave Blake . concerned hotel would overbooke would left without room able check around 11:30 pm Thursday , re - confirmed reservation online call around 5 pm night go check - in . thankfully arrive , room available . however , restaurant adjacent hotel already close mini - bar room ( positively confirm read online , thought ) . tad disappointing consider birthday want celebratory night - cap without venture outside . room overly spacious , suffice tourist visit Chicago ( small room offer though ) . room bit noisy ( be huge space marble floor bottom door ) , especially happen near elevator . flat screen tvs mention website first book . quite obvious plan since another review mention , jacks wall room bathroom . husband say , great idea remodel hotel , run money . actually like shower sans tub , fact include room description must soak . problem towel , housekeeping replenish shampoo use toiletry . ice bucket tiny yes , one ice machine 12th floor . fitness room actually pretty nice- new equipment , towel , water cooler , flat screen tv . spa , even though sign hallway indicate one . overall , would say Hotel Blake certainly potential good hotel . location convenient hotel staff pleasant . however , would pay $ 150 / night room . give lack certain amenity ( room service , mini - bar , bathrobe , etc . ) , not think affiliate Preferred Group Hotels . hotel even close league Grand Hotel Minneapolis Marco Ocean Beach Resort Marco Island ( two & quot ; Preferred & quot ; hotel frequent ) .I think way would stay would offer room rate significantly cheap other loop / mag mile area . 
 Apr 23 2006 	 renovation complete 's lovely 	 one disregard bad review write prior completion renovation . hotel quite nice updating complete . room clean tastefully do . bed comfortable quite luxurious ! keep wonder many bad review great - look place , decide must write construction . far safe , not agree . nothing unsafe . agree , however , front desk staff little clueless , talk much not mind keep customer wait chat previous guest . hotel little south city center , still quite within walking distance everything , include Grant Park , acquarium , planetarium Soldiers Field . great walk near river every day , absolutely love stay location city . get good deal hotel , regret stay . lovely good value . 
 Apr 20 2006 	 New Hotel * Great experience 	 husband recently opportunity stay one Chicago 's new hotel downtown Chicago , Hotel Blake . take rapid transit O'Hare Arport surprise see hotel locate right Blue Line stop . walk block right hotel 's doorstep . hotel also walk distance Art Institute , Buckingham Fountain many sight area . the hotel room quite large nicely decorate fluffy comforter bed rich color decor absolutely beautiful . the hotel staff polite accommodate every request . find hotel comfortable like every way . I would highly recommend hotel anyone look great stay Chicago . 
 Apr 17 2006 	 avoid cost ! 	 could write book problem . hotel way book . 4 adult need room 2 bed . book double hotel website , call confirm week , front desk clerk tell check reservation guarantee room . specific room , even specific type room . offer king bed pull sofa , ask discount . tell could not discount room , one double left . lucky we . course get room king bed chair , even pull - out sofa . go wait line check ! end king room pull - out sofa , discount . problem towel , sheet , pillow , coffee mug , blanket ... second day house cleaning come locate extra towel . one two elevator keep break , ice machine 12th floor . Saturday spend day friend shopping return 1:00am find dead - bolt hold door latch . room open since housekeeping & quot ; clean . & quot ; plasma tv , wall bunch hole plasma tv might mount . intermittent cold water shower . one sheet housekeeping use make pull - out bed paint remodeling . every time front desk guest complaining . line people full guest want double room , pillow , towel , etc . call front desk ask manager Friday night checking , tell would Saturday morning leave contact info ask call . never . leave hand write message check , reply . leave voice mail , reply . email 8 people , return & quot ; unknown recipient & quot ; hear back two . my credit union disputing charge , everyone similar experience . 
 Apr 10 2006 	 safe ! 	 recently travel Chicago 17 - yr - old daughter look college area . book room Hotel Blake Hotels receive relatively high rating look well - situate need . although Hotels.com say hotel limited room service , fact none . restaurant building hotel , affiliated hotel limit hour ( i.e . stop serve breakfast 10 am weekday ! ) . , even though Hotels indicate otherwise , concierge service negligable provide staff unfamiliar city Chicago . get useful information regard restaurant , public transportation , shop hotel guest ! decide factor review , however , matter hotel security , , rather , lack thereof . daughter return room around 9:00pm second evening stay go directly elevator room . when get room , neither key would work lock . try several time , decide go back downstairs front desk . however , walk away door , young woman walk toward daughter ask name . tell we room wait roommate ( co - worker never meet ) check . go explain room ( room ! ) freshen go dinner ready call night . tell we go room early , notice suitcase , clothing , toiletry simply figure roommate already unpacked - say desk clerk would confirm deny whether roommate actually check hotel . after open room door we get thing room , young woman go back front desk . ask speak manager tell manager duty . tell desk clerk happen major security breech , agree apologize . issue new key room move young woman another room hotel . ask could sure one else key room . assure one ; however , little ease mind give stay hotel daughter . immediately go back upstairs daughter bolt door room . however , spend sleepless night worry someone would try get room . the next morning ( Saturday ) , go downstairs check hotel around 7:30am . ask speak manager tell manager duty manager would Monday ( 2 day away ) . briefly explain desk clerk duty happen night appal hotel could make gross error negligence . got & quot ; ' m sorry & quot ; clerk nothing else . I not know hotel manage make mistake . not know computer error human one . , not matter happen . fact hotel put three female guest ( young woman , daughter , ) potentially disastrous situation belonging could steal could physically harm . luckily we , young woman honest harmless , nothing terrible happen . never stay Hotel Blake , , ask , never recommend hotel anyone . 
 Apr 2 2006 	 Hotel Blake ? Hotel Half - baked ? 	 stay ( April 1 ) . experience nothing like advertised website - tv bathroom , minibar , door closet , fancy bath product , etc . second night , knock door & quot ; housekeeping & quot ; come install alarm clock , room not . remote control break , take 36 hour & quot ; engineer & quot ; come & quot ; fix & quot ; . heater louder airplane take off . there construction happen every floor , spa , one work elevator almost ten floor . . . pretty much nightmare . lucky , ' m city tour hotel . think would much happy Talbott Whitehall . wish stay . 
 Apr 1 2006 	 Hotel Blake : false advertising 	 Hotel Blake Chicago truly awful ! amenity advertise website nonexistent : flat - screen tv , room service , clock radio , shower / tub combination ( shower extremely slick ceramic tile floor - an accident wait happen ) electronic check - out , in - room safe , cd / dvd player , complimentary newspaper , guide tv channel list hotel service , in - room refreshment center , desk ergonomic chair . 1 restaurant next door affiliate hotel , serve artsy food sky - high price . great suppose simply must & quot ; veal cheek . & quot ; tv ' work fitness center , water cooler empty , exercise sound jack - hammer ! need cab , front desk tell we go hail one . check , call car bring around , wait 45 minute , & amp ; finally tell someone call & amp ; cancel request ! place ought Chevy Chase movie . especially toilet flush loud will run screaming room ! fine want buy breakfast White Hen eat lunch Taco Bell Subway ( across street ) . point disparity website promise grim reality , blow , say ' still construction & amp ; be nothing , i.e. , tough luck . course , website warn we ongoing construction . 
 Mar 28 2006 	 go back Hotel Blake 	 also decide stay even read everything online . nervous bad review , keep reservation call ahead insure reservation let request know ahead time . check Saturday evening leave late Sunday night . check - in check - out problem ; wait , room request available staff respectful . room second floor . quite lovely honest . thing window look onto brick wall . daughter laugh 10 minute never think twice . travel pleasure plan much room bathe sleep . bed excellent , sound heating / cool fan unusually loud . fitness center great . be locate second floor surround window view brick wall . 
 Mar 27 2006 	 quite yet ... 	 well , read everything online , decide stay , mostly could not beat price location , work tight schedule . tell truth , kind afraid would find reading review . luckily , picky people , able need - bathe sleep , really . place could still use lot work . we check Saturday afternoon leave Sunday morning . will say check - in check - out problem . go Expedia , get , wait problem , go room , well . in room , oddnesse . thing mention - trash , poor lighting - bunch little lamp provide & quot ; mood lighting , & quot ; drawer table / desk still tape shut . open one drawer bottom totally rip . phone book room . 1 ' 2 ' area ceiling paint . window look onto brick wall . tv huge , sit right desk - basically render useless desk . also , thank goodness exhausted , could hear people hallway loudly room . keep want check see closed door way ! , , catastrophe - room seem clean , least , none problem check - in , etc , mention , folk get get act together ! mean , would think would want get trash can room , least , would not leave garbage place ... 
 Mar 19 2006 	 horrible ! ! bait 	 well judgement ( base horrible review ) book room Hotel Blake base description online well fact renovation supposedly complete . arrive discover everything promote website total fabrication ! instead plasma tv 's room contain broken TV , radio , honor bar , light bathroom burn , etc ... upon contact front desk , inform fault contact hotel directly ( actually do ) confirm thing promote website exist . inform misrepresent hotel actually commit & quot ; bait switch & quot ; tactic ( highly illegal ) say would refund money could find room elsewhere . , willing help . stay Reward Devious , illegal , Business Tactics ! ! ! 
 Mar 7 2006 	 complete nightmare ! 	 let start begin ... reservation establish beautiful Palmer House Hilton cancel hotel 's website . sell ! great expectation plasma screen television , DVD / CD player , flat screen bathroom luxury accomodation . instead receive terrible service , dusty room bathroom small one home apartment ! stay February 24 - 27 , 2006.i arrive two friend one outside help we bag . lug bag hotel , wait least 40 minute check room . one friend stay double friend stay alone double . double twice size huge bathroom issue . eight floor seventh ... front desk clerk neglect tell would get 7th floor walk flight stair floor ! ! ! several basic item miss room . closet door , hanger , iron board , washcloth , trash , alarm clock , kleenex bath mat . immediately ask another room sudden not room give we . minute later say & quot ; queen room dirty wait housekeeping come shift . & quot ; completely sell overbooke . time go downstairs , see people go staffer one issue another . one woman lobby sunup sundown waiting room ! mother teenage son make reservation use Expedia suite tell & quot ; not suite complete yet . & quot ; front desk clerk unprofessionally dress , mean , rude nasty nothing make stay pleasant . ask manager say he / she would not back Wednesday . course leave Monday . read list miss , front desk clerk bring iron board hanger . want clean wash cloth housekeeper see hall notify we not . ask Sarah trash bring blue recycling bin trash ! ! take 20 towel housekeeping cart pad concrete hard bed average night 's sleep ! room dusty , cough fit every time open curtain morning . call downstairs either would let phone ring 50 time answer leave hold 30 minute . thank God cordless speaker phone . lamp broken desk room poorly light weekend . valet take 30 - 45 minute bring car front hotel . one day call way ahead time get ready time get downstair car still not outside ... next day call , bring within 30 minute take back & quot ; take long come downstair . & quot ; since plasma tv , tvs bathroom dvd / cd player , buy dvd player Target hook tv . not even room movie ! ! ! call complain ask refund day return home . find General Manager fire replace someone know nothing go weekened . person contact corporate figure compensate we . far bad hotel experience ' ve life . 
 Mar 1 2006 	 careful 	 careful decide stay . chaos - folk handle go . room double - booked ( people actually walk room people ) , one around help , room full dust construction go , light not work ..... get picture . check - in nightmare - clue . hour wait . the room nicely do , small . 
 Feb 27 2006 	 good potential terrible experience 	 recently take small group student Chicago competition . reservation five Hotel Blake . arrive 8 pm , one staffer work front desk . although kind polite , quite long line people complaint take long time help . reserve five room Orbitz , check , bear confirmation code , three us room . clerk try find room student send multiple room . one working lock , another unfinished bathroom ( plumbing still instal ) , another two still non - functional lock . informed room leave , female student sleep room male student decide sleep unlocked room . room & quot ; acceptable , & quot ; two miss light bulb ( room none ) , none trash can ( never get despite repeat request ) , one shower not work . the following night able obtain room two student without acceptable room . even one one room non - functional sink bathroom , point , least concern . assistant manager , Natalie , nice , could not even tell we would get money back could run computer . fact , one authority fix problem property ( lock eventually get fix Saturday night ) . one problem . weekend , front desk pummel irate guest demand towel , washcloth , trashcan , etc . feel sorry front desk staff , ever pleasant professional . the hotel , extent finish , lovely room promise ... though armoire mini - bar yet . highly recommend wait visit hotel do renovating . 
 Feb 7 2006 	 great Modern Motif ! 	 worry reading past review , great . room beautifully decorated- modern . bathroom huge great walk shower . restaurant seem close pretty early though ; never able make back early enough try . TIP : ' pretty close Millennium Parking garage cheap rate city 24 / hour parking . 
 Feb 1 2006 	 nice stay 	 not expect much read previous review , renovation largely complete , one nice hotel stay ' ve . room luxurious , staff helpful . food drink within walking distance . also nice quiet , except street noise ( face main street . ) place child , great business . 
 Jan 3 2006 	 nice .. dark one around 	 look haunted . one around i. nice room help . 
 Aug 2 2005 	 place lovely ! ! ! 	 hotel okay look outside . inside , whole different story . mess room reserve month advance.we want room two double bed . say one bed room two cots.that not go cut talk manager get want . never see body way not problem . staff people rude we . top one two elevator broke.the hallway smell musky damp . floor 4 . ice machine floor 12 . great . thing even little bit ok excerise room . nice except water jug not water . never stay long live . 
 Jul 27 2005 	 could stellar -- mixed review 	 wife suppose stay Hotel 71 weekend wedding attend past June ; Hotel 71 sister property Hotel Blake . due power outtage screw Hotel 71 's reservation system , put we Hotel Blake instead -- construction , lucke get huge suite $ 99 + tax first night compe ! room completely furnish modern decor , similar W Hotel . total 3 plasma tv : one living room , one bathroom , one bedroom . iron , iron board closet . minibar sink well , unfortunatley , fridge . mini - CD system living room dvd player hook giant plasma ( allow would stay watch dvd huge tv , alas , go wedding - drat ! mean , could throw killer after - party , wed Oak Groove digress .... ) .Printer 's Row , father south , still within walknig distance Michigan Ave park ( walk Taste Chicago stay ) . cab nearby attraction couple buck . 's restaraunt across street Starbucks corner well . so , room really excellent . staff kinda non - existent ( ask valet 's really clear pull car ; also aware 's valet past midnight : park rental car nearby lot walk back night wedding -- kinda drag ) staff also overall blah , non - customer centric attitude . woman work front desk let use computer print boarding pass checkout , kudo that . I think place completely finish renovate , could seriously kick ass -- room decor great ! depend staff restaraunt bar turn ( construction stay ) . also worth note : owner sell furnished condominium build different floor -- not know change atmosphere resident start move . guess new concept renovate hotel - see [ - ] would stay ? could get great price ( $ 125 /night ) . give summer convention go town , lucky get room -- 's NOTE MANAGEMENT Hotel 71 Hotel Blake : get together come reservation system : work award - win travel prodvider [ - ] know res system life blood . BACK MAN ! excuse tracking room inventory close backing power come back get back online immediately -- boot Hotel 71 -- can not comment hotel except wedding guest meet actually go back put elsewhere ( Le Meriden ) say room not great there . so overall , mixed bag we : GREAT room , so - so staff . 
 Jul 17 2005 	 hurry stay 	 yes , hotel construction , minor inconvenience . air conditioning unit loud , internet server , tv remote not work hot water tap bathroom lav almost take two people turn . check , woman not bother ask like room , think know . 
 May 27 2005 	 Hotel Bleak 	 ok , check Blake make reservation hotwire , past pretty consistant . entrance could find valet door man help luggage parking , big deal . check find valet Ii take luggage fifth floor . elevator open find construction zone . wallpaper paint wall half floor carpet , renovating , prblem , room . ok room nothing special , except wire everywhere workstation , light , tv , fridge work . call desk , send someone , mean time find power strip everything plug turn . turn everything except remote tv would work . maintence man program work . later evening try order room service tell restaurant . close several nice restaurant within walking distance . voice displeasure tell would get free parking list restaurant deliver hotel , mention & quot ; continental breakfast . & quot ; next morning 8a.m . continental ( lobby ) consist coffee 2 muffin , one chocolate one chocolate chip . toilet would flush properly , order food delivery $ 2.00 phone charge ( take ) , one soda ice machine 12th floor , indifferent staff , actually feel sorry , never see construction go . could nice , bleak . ) , 
 Apr 6 2005 	 so - so not actually stay 	 book expedia stay Hotel Blake . get undergo renovation . send Hotel 71 ' sister hotel ' tell hotel Blake would phone . Got Hotel 71 say one phone . finally get sorted room . continue review Hotel 71 section . check time give bill ( take directly account ) stay hotel 71 . go back hotel Blake get sort . still wait money . reception - look terrible - thick curtain around computer front desk . I not actually stay hotel Blake can not really say . 
 Dec 29 2004 	 Disappointed 	 think expect kind kitchy boutique hotel . . old hotel . think lot people like property . not . 
 Nov 16 2004 	 Hotel go major change FYI closing 	 hyatt Printers row go major renovation . sell , still available hotel stay . room begin upgrade . hotel chicago area 1 2 plasma tv screen room . long manage hyatt come first year . People make comment prairie style 80 's black laquer do not know talk conversion new renovation . find funny one user complain coffee mention starbuck across street .. FYI Prairie restaurant ( hyatt ) serve starbucks coffee .. see can not believe everything read hear ... find stay injoyable , staff happy food great ! 
 Nov 6 2004 	 sadly deteriorate : avoid 	 one favorite Chcago hotel year . location excellent ( South Loop , point interest short walk , include Art Institute , Grant Park , financial district ) , spacious room keep immaculately clean . nice restaurant , comfortable furniture , attentive staff . unfortunately , much change bad . apparently hotel 's day Hyatt number , build midst conversion Condominiums . I will start one remain positive : staff remain friendly , efficient , in - the - know ; would expect Hyatt . the room quite dirty : stain carpet , mildew shower , break lampshade fixture burn cold flourescent bulb . window need cleaning , wallpaper bathroom stain . got room change problem , second room well . furniture remove room : writing desk , couch loveseat , even comfortable easy chair . room glass table two plain , unpadded chair . furniture either room besides tv cabinet bed . the formerly classy restaurant & quot ; Prarie & quot ; also go way downhill . coffee yucky , suasage bacon taste like cleaning product . room service respond 10:30 pm . 's Starbucks accross street though , suoerb juice bar/ brunch place call & quot ; orange & quot ; block away . it be shame good hotel go bad , Chicago many fine option . suggest avoid Hyatt ( must ) 's final month operation . 
 Aug 21 2004 	 Perfect place .......... 	 read previous review place , figure put two cent . perfect hotel unless be look luxury . yeah , carpet little worn , little bit construction go , 's perfect location able get priceline 55 buck . I stay new building ( per previous review ) nice room . also free cable internet fitness room . since improve fitness room since previous review . 3 flat screen tv 's , cardio machine Bowflex type machine free weight . if be look stay place like Drake , stay , would like spend money something lie head night throw dirty clothe floor , stay ! ! ! Hope help ....... 
 Jul 5 2004 	 everyone -- pretty soon anyone 
 Jun 9 2004 	 decent place heart Chicago 
 May 15 2004 	 amenity great location 
 May 3 2004 	 spacious room Good Location 
 Apr 21 2004 	 bad hotel 
 Apr 12 2004 	 Clean Comfortable Stay 
 Mar 30 2004 	 Charming Place Heart Chicago 
 Dec 15 2003 	 not touch phone ! 
 Nov 26 2003 	 be desperate 
 Aug 12 2003 	 Comfy Quiet Convenient 
 Oct 6 2009 	 nel Loop eleganza e comfort 
 Sep 25 2009 	 Ottimo albergo sia per cordialità che per comodità ! 
 Aug 16 2009 	 breakfast al polistirolo 
