Kicking 	 stay Wynn 3 night ( midweek ) , part package include round trip travel Newark Continental , upgrade panoramic view room , $ 700 per person . check quick 5:30pm ; request view Strip , room 54th floor ( 5432 ) , outstanding . entire wall opposite bed glass , fabulous view day night . room huge impeccable , bed , bed pillow fabulous , bathroom ( especially deep soak tub ) die . husband , sophisticated traveler , uncharacteristically silent 10 minute , blurt : & quot ; can not stay whole week ? will kick scream 's time check out . & quot ; would agree many extra charge Wynn , example , gym ( $ 30 / day ) . alternative : get exercise walk everywhere ; first get leg shape trip , pack comfortable shoe . another extra hit wallet internet use ( $ 16 / day ) . alternative : two computer printer Fashion Show Mall 's food court ( 3rd floor , next Currency Exchange ) : online check - in print boarding pass $ 5 . continental breakfast : Starbucks , across Strip Fashion Show Mall , place . ( mall open 10AM , Starbucks outside ( ground level ) open air cafe open arrive , blearyeyed , 7AM , delicious coffee muffin two cost $ 8 , less half pay Wynn ) . Grand Luxe Cafe casino Palazzo ( next door ) excellent reasonably price menu , huge portion will need share . favorite show : Le Reve ( Wynn ) ; get day half price ticket Fashion Show Mall ( near Starbucks ) , start 10AM . go early . 
 Great restaurant 	 good : restaurant excellent price fair eye . room layout nice . nice lengthy pool allow good swimming . room 52nd floor great view . bad : room could use touch uop 4,5 year . door close airtight - lead noise due underpressure different AC system . addition , noise come AC weekend ... could hear night club 52nd floor ! please note everything cost extra : - internet 14 usd/ day- Gym 30 USD/ day- Shoe shine 6 usd/ pair- ... aware book . might get great room rate , hotel pretty expensive . 
 not stay ! 	 resort joke . pay everything daily . pool towel rent , gym outrageous go . never stay . great shop though , concierge terrible , none resteraunt good . 
 nothing special robotic help corporate attitude . pretty look end . 	 3rd 4th stay Thanksgiving holiday . return hotel . kid stay Wynn , wife Encore . visually stunning service , cleanliness food quality disappointment - well use . another big corporate hotel . employee complain hotel cut back $ 100 birthday gift well perk . could see disdain work face . monotone voice expressionless face morning Terrace cafe manager checkout person take almost 45 minute correct bill $ 63 overcharge - place opposite hospitality last stay family . 
 Jun 17 2009 	 Superb Hotel Bring lot cash 	 stay Wynn 1st leg honeymoon , May 2009 . really superb luxurious hotel enviroment definately cut edge hotel go week long stay vegas . my big pointer would bring lots lots cash , big limit credit card ! buffet excellent breakfast dinner , choice amazing quality food 5 star also . really reccomend buffet , hear good vegas would agree . the restaurant expensive ( la carte ) also superb , even little pricey ! table service stunning girl bar also lovely treat cost $ $ $ , $ 7 per beer / $ 15 per cocktail plus tip ! ! ! ! ! room lovely , mod con love open remote blind bed every morning look onto strip . noise - not know reveiw talk honest , hate noisy hotel honestly say not hear peep room nightclub 7 night . pool - lovely surround pretentious rich show off really . generally - lovely hotel definately one money talk know sure splash around receive lot attention relax enjoy slice holiday luxury . nixt time go would stay Encore next door . 
 Jun 16 2009 	 Bring earplug stay ! 	 horrible stay Wynn . local decide spend birthday strip select Wynn . we able sleep 2 am - 5 am techno - thumping noise come XS Nightclub ( ground floor ) keep we - even cottom ball pillow pile top head ! room 32nd floor ! call front desk say sound die 4:45am club close 5 am ! ? ? ? ? ? ? ? ? ? walk Five - Star hotel lack sleep ? ha ! prepare ! 
 Jun 16 2009 	 Lock door carefully rob middle night . 	 go Wynn long weekend . morning two wake find $ 600 steal room . do overnight wife sleep ! petrify woken situation . luckily thief take money leave without harm we . 10 day since report theft call back hotel security every time call status update investigator office . lack urgency concern appal . hotel manager would even comp anything fear & quot ; imply liability & quot ; . allegedly camera casino hotel hallway . yeah , sure . double charged room already pay Orbitz . place ridiculously expensive . bad memory Wynn . make sure push DOOR SHUT HARD ENSURE LOCKED DEADBOLTED . 
 Jun 14 2009 	 place stay Vegas ! 	 fiance stay Wynn 5 night ( Friday , March 13th Wednesday , March 18th ) celebrate birthday recent engagement . would normally price range , Expedia excellent deal going originally book January . although ' ve stay great hotel strip past , Wynn far good hotel overall . property one beautiful ' ve see , sophisticated rich exquisite detail . staff also accommodate request . request king - size bed view strip check - in , encounter problem . room ( standard resort room ) incredibly spacious elegantly decorate . feature wall - to - wall , floor - to - ceiling window allow we take breathtaking panoramic view strip . also able enjoy nightly & quot ; show & quot ; Lake Dreams window every night ! like many hotel area , food pricey , well worth incorporate budget . Breakfast Terrace Pointe Cafe delicious , get early long line . go Buffet , cost $ 40 person . be great deli fare , Zoozacracker 's hit spot . fine dining , will hard time choose one many restaurant ! dinner SW Steakhouse , one good steak dinner ' ve long time . casual quick service meal snack , Sugar Ice great cheap option . nightlife , go next door XS club Encore fabulous time . much would not able fit , nothing short amazing experience . will not Vegas unless ' m Wynn ! 
 Jun 14 2009 	 Nice hotel full stuffy people . 	 stay Wynn week whilst honeymoon . upon check tell early could either wait could not guarantee good room pay upgrade . not mind upgrade probably load newly wed Vegas however , unhelpful attitude find annoying . the room lovely great view . spacious . we find service Wynn irritating feel though speak robot pre - program answer . although service good not find personal . also , seem lot guest think important rude . however , ' e kind person wear stillettos swimming pool will probably love . 
 Jun 14 2009 	 simply excellent hotel Las Vegas 	 Stayed Towers suit May 2009 can not recommend enough . hotel different league other Vegas . tower suit 's private entrance lobby service excellent staff . feel nice lot plush furnishing everywhere . in tower suites area private breakfast room lift . room amazing spacious bathroom everything could need . bed comfortable wireless internet available good price ( can not remember ) .Not much say will not regret stay . 
 Jun 14 2009 	 not go anywhere else ! 	 Wynn exceed expectation . stay Wynn honeymoon wish long ! valet dealer , everyone nice professional . great shopping dining : ) back 
 Jun 13 2009 	 ` ` Bella '' .... say ! 	 love hotel , compare price London excellent value money . originally stay another hotel , walk Wynn , decide move . 5 star round , absolute beautiful room wonderful view . actually arrive early , kind let we go room . floor ceiling window , comfortable bed ever sleep bathroom amazing . separate double shower bath , two sink , t.v , marble enough towel . eat terrace restaurant near pool sip cocktail waterfall . relax massage , gentleman call Robert , professional . purchase couple decorative glass one shop , still can not decide gold plate panther ..... ! ! staff friendly professional . must admit Mr Wynn truly remarkable hotel , excellent design taste . thank wonderful stay , hope see soon . 
 Jun 12 2009 	 stay Wynn MUST 	 stay wynn 4 night ! not single thing complain . Wynn bit pricey get great value money . trust . upon arrival , ask want upgrade $ 25 extra pernight ! advice ! get private pool , cut line club buffet . also find staff helpfull . great exprience overall . def . stay wynn again.if be night club scene ... xs must ! ! ! great club . 
 Jun 11 2009 	 never return ! ! ! ! ! ! ! 	 suppose relax , fun get away , stay Wynn fully expect & quot ; Royal Treatment & quot ; ... well let tell , unless go Daddy Warbux , & quot ; High Mighty & quot ; , save money ! ! ! staff rude , accomodation though nice , even nicer Venetian . this truly trip hell ! ! ! room ready , travel hour half night , expect least get room ... start Migraine , funny would like upgrade , get room sick , go cost ! ! ! ensure luggage lock , even unloced lock attach , since convenietly decide help & quot ; locking & quot ; unlocked luggage borrow , adn take mere 2 hour cut lock & quot ; inadvertently lock & quot ; .The overall experince & quot ; rude & quot ; , would never reccommend Wynn bad enemy . after 4 day even want stay , extend trip , move Venitian truly get treat Dignity , respect , opinion much well choice hotel , vacation experience ! ! ! ! ! ! ! ! ! ! ! 
 Jun 9 2009 	 Beautiful Las Vegas Style 	 anyone planning get marry also enjoy honey moon town class ......... well nothing beat Las Vegas fab . Wynn Hotel . forget gambling enjoy show Hotel beautiful lay room especially glass front style . worth every second every penny . even visit Las Vegas fun Wynn would certainly add touch class . food buffet sever excellent . can not really fault anyone . wish vegetarian . waitress always serve nice big smile . would nice place hotel vegetarian . enjoy Wynn regret fun . 
 Jun 8 2009 	 love Wynn ! 	 usually stay TI , year get great rate Wynn , experience wonderful . 's expensive place stay , be beautiful , clean , not leave hotel anything not want . club really hip right , every night least one open . room almost big condo , view big window beautiful even not face strip . really can not find anything fault Wynn , unless blame noisy sex wake 8:30 Tuesday . , great stay . come work play hard , Wynn perfect base ! 
 Jun 5 2009 	 Wynn awesome ! ! 	 stay Wynn May 25th - May 31st love Wynn . 3 hour delay Cleveland finally arrive Wynn . Front Desk service excellent . get room right away excellent view strip . room beautiful floor ceiling window . loved bed pillow great sleep every night . bathroom big huge tub separate shower tv two sink . staff friendly housekeeping great . pool hot tub area beautiful . enjoyed stay much never problem . never hear noise night club . casino nice . nice stay play High Rollers . agree check little long wait not bad . even not high roller Wynn make feel special treat great . glad opportunity stay great place . 
 Jun 5 2009 	 Nice hotel need anything ask ask ask ! ! ! 	 think hotel beautiful . go friend nothing aggravation everything time check leave . room great deal hotwire everything else lack . know busy weekend ( Memorial Day ) reason ignorant staff . go 4 vacation year work hard play hard worry money . work lot extra hour enjoy self . check tell hotel sell 2 double bed request available . lie ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! people behind get room double bed . tell none leave night check back morning . morning probably 200 people check . went desk say nope , sorry sold never guarantee room 2 double bed request . tell double left , 5 guy next ask kind room get . say standard . say plan sleep bed together ? say , get 2 room . say well , tell room leave double bed . get irritated make comment check . get double bed upgrade room ! ! ! ! thank head . double bed . friend vacation diabetic insulin dependent . figure could something mini bar put insulin vacant spot . not .... mini bar charge 30 second item move . even not use item . front desk charge we $ 39.00 tiny champagne bottle move . call front desk ask refrigerator . explain dilemma insulin give option refrigerator $ 25.00 night . say ok refrigerator room minute . hotel forgot tell we offer medical refrigerator charge ! find irritated . refund we $ 50.00 2 day use fridge . find medical refrigerator . staff pool worst . ask could pick towel lawn chair . get later day people leave pool area staff go around collect towel lay around . care may use one bathroom something even item chair show one sit lawn chair . well , friend cell phone cover towel would get wet . phone end go laundry lose ever . hotel tell we problem make sure leave anything lay around . pool nightmare .... seat around pool & quot ; reserved & quot ; , never see fill end day . say 50 % never use . ask 8 different people pool direct location lawn chair . either work area say lunch whatever . know Las Vegas tipping tip ! tip well , always . staff would look decide mind tipper . would even get close enough find go tip . pool 3 hour nice lady work get we 2 chair . mean time other getting leave right still leave lay ground . 5 star hotel 5 star service . thing say hotel wonderful get idea .... oh , electrical outlet hang wall fix 3 time ... 
 Jun 5 2009 	 Fun time Wynn 	 girlfriend stay May 6th May 10th really enjoy stay . Wynn beautiful Casino / Hotel amenity ever need . huge bathroom tile floor . separate shower big jetted tub size two . little pricy expext less 5 star hotel . blackout drape work really good afternoon nap : 33rd floor strip view . great view . 
 Jun 5 2009 	 simply Best Hotel World 	 stay wynn 8 time last 3 year get well every time . room - King double floor cele window amazing view strip breath take night , bed sooooooo comfortable 300 thread count sheet feel like silk . the bathroom - large , luxurious , seperate bath shower even 19 in t.v . what ever anybody say hotel perfect . 
 Jun 5 2009 	 go signature instead 	 Wynn lovely hotel beautiful pool area . concierge helpful friendly room beautifully set out . however , hotel set fabulously wealthy . not think second anything see website beyond pool room include price . hotel provide fridge put water beer , wynn though , ensure space drink instead fill hugely expensive mini bar instead . whilst hotel let use gym , wynn charge princely sum $ 30 per day , & quot ; bargain & quot ; price $ 75 three day ! stay vegas 9 night one stay busy day ask dvd player available borrow , & quot ; yes course & quot ; reply friendly voice end phone , $ 75 dollar per night . use example show mentality place , captive customer base try squeeze every penny you . my tip would stay Signature MGM grand wonderful hotel . charge $ 20 resort fee fee plus room fee cheap hotel total price benefit jacuzzi bathroom , enormous bed , 3 quiet pool + access lively mgm grand pool locate close monorail really help get around vegas . attitude staff far superior , complain wynn hear listen effort make improve perception hotel , small query , even complaint signature corteously tell would take $ 75 bill . Wynn beautiful hotel money object enjoy , like people save hard visit vegas want stay luxury hotel visit signature mgm grand palm place get much well value rich experience 
 Jun 1 2009 	 Wynn - Best Hotel ' ve stay Vegas ! 	 never pose thing term absolute , say experience stay Wynn extraordinary clearly , , deserve five star rating . though pricey , feel Vegas , kind get pay . ' ve stay hotel strip ( even one ) say Wynn clearly outclass . run hotel room magnificent , floor ceiling window one side . bathroom shower large tub , television vanity sink . bed super comfortable . even fax machine room . the hotel beautifully keep . excersice room stack spa gorgeous . even layout casino floor seem surpass hotel seem lend airiness thick fog cigarette smoke hang it . everything little pricy Wynn , get extra dollar totally make difference . clear difference everything food room elevate Wynn make experience wonderful . I totally would recommend friend ( fact , already tell everyone 's ask trip hotel ) . 
 Jun 1 2009 	 say Steve Wynn man know design hotel 	 buddy go Vegas every year annual convention occasion know tag along enjoy fruit city 's stuck convention center . year manage score incredible deal Wynn right around NAB conference ( know 's one big annual convention LV ) good pass . background travel Las vegas twice year stay nearly every level hotel Sahara Bellagio . bottom line Wynn rank right venetian Bellagio Vegas 5 star resort . service top notch , exactly would expect Steve Wynn . hotel look great thankfully steer away particular theme ( Wynn guess ) . room ... well ... roomy . big many experienced floor ceiling window make Vegas almost part room . main floor layout bit well / simple resort strip make find way around lot easy . spa excellent pricey ( big surprise ) purchase service give access everything ( excercise room , sauna , etc . ) . one issue though pool area . although look large 's quite big enough hotel size . hotel busy expect chair availability minimum unless early . drink service also slow busy time . one area Bellagio Mandalay Bay advantage Wynn . bottom line though look luxury Vegas experience will not go wrong Wynn . 
 Jun 1 2009 	 ok great ... 	 go Las Vegas , guess Wynn hotel probably one well one . normally avoid Las Vegas . room great view room fantastic . food food Las Vegas hardly edible . also extremely expensive hotel . go Stratta cafe food horrible . pool area enormous invite noisy crowd . casino essentially like hotel Las Vegas , huge noisy . wall hotel room paper thin one night party next door make much noise could sleep . call front desk four time actually send someone around quiet . 
 May 30 2009 	 great hotel lack value substance . 	 Th Wynn hotel everyone love . think visit say okay . nothing bad happen nothing great except com ticket Le Reve ( amazing ! ! ! ) . room look like orange tent . bedskirt colorful . service FANTASTIC . recommend hot fudge sundae late night room service . Taste Wynn allow try several restaurant . stay average . spa Encore WOW . well facial ever facility lovely . spend whole day one day European Pool ( topless ) . 
 may 30 2009 	 great stay Wynn 	 stay Wynn Hotel 4 day , book thru Expedia get decent rate . upgrade get . room large , one wall nothing glass view strip mountain . bed comfortable . bathroom two sink / vanity , large soak tub seperate glassed shower . housekeeping keep everything spotless . overall Hotel lovely variety high end shop , restaurant . gamble pay attention casino . staff friendly attentative . would recommend buffett food fantastic . complaint would even though 53rd floor , could still hear muffled music one night club ( hard believe another reviewer mention also ) bother husband , end use ear plugs problem solve . would love stay town . 
 May 28 2009 	 Mixed Feelings 	 recently stay hotel convention . decor hotel beautiful . room nice size beautifully decorate . one wall entirely glass - floor ceiling one side room . room wonderful view mountain overlook Wynn golf course . bathroom large separate tub shower , double sink , tv bathroom , separate room toilet . twice day maid service nice also . I eat Wynn buffet , pricey - $ 35 - food could describe adequate , good . rather eat buffet , feel money , could get good meal elsewhere . also , go Blush Wynn . ok , nothing write home . warn hotel shy separate money . fact , shameless . package ship hotel charge $ 6 receive . also charge $ 35 per day use gym . understand charge use spa facility , price charge , least let use gym free . pool area nice . large quiet area part party - like atmosphere . plenty chair give free bottled water . negative get pool . take elevator spa level , walk throught spa get another elevator take pool area . end day , everyone leave pool , elevator , small , becomes cramp wait long . seem could could something that . on Friday night , although 55th floor , could still hear music indoor / outdoor nightclub . loud , enough distract . light sleeper , keep AC high . noise go 4 A.M.All , nice hotel , tacky many way . 
 May 28 2009 	 ok . 	 nice hotel , well service 4 star hotel , not expect much form them.when check - in person desk offer room upgrade $ 25 per night accept , look like good deal time , get room look like one book first place sure say anything get home see reservation charge extra give kind room , call say extra $ 25 high floor .. answer & quot ; ridiculous & quot ; 10 minute phone refund money charge room . if go pool get early get chair unless pay pool attend , way rude.and another thing , HBO ? ? ? kind hotel not HBO day .... wynn not.a lot cheap stuff expensive hotel . 
 May 28 2009 	 love Wynn back use personal ` ` red '' card . 	 overall good hotel experience ever , count experience outside Vegas , country , state .. Wynn beat . judge room , also amenity available within hotel club / restaurant / decor / great view ... first stay Wynn definitely will not last . check , ask first time print & quot ; Red Card & quot ; room key . Red Card get room , also serve player card whenever play Casino . use check another room future even name it . the room exactly look picture . book resort room feature king size bed , two tv , one room , one bathroom come pretty handy . 3 telephone , favorite one one next toilet . bad mean incoming call . also clear stand shower , huge bath tub . view Tryst strip face Treasure Island . air conditioning system superb . literally take 2 - 3 minute get room desire temperature . thing notice lighting room perfectly place bring decor . several abstract painting flower room make place look classy . room service great job cleaning , seem like brand new room second night stay . one small gripe tv remote running battery . possible way turn tv set . , possess demon would automatically turn back . make call front desk 3 come back club . wake 10 , tv still . guess not matter end since intoxicate notice whole time . another small gripe guest list Tryst XS unavailable holiday weekend . feel pay hotel guest least get sort priority would like attend club within hotel . come Steve , not want we spend money resort ? make place perfect summer pool . get chance enjoy Wynn pool privately accessible use resort elevator . pool area huge slightly small MGM 's , adult pool good part . adult meaning kid allow since gamble topless tanning . nice relaxing time absolutely nothing make vacation feel like vacation . love Wynn , back use personal & quot ; Red & quot ; card . 
 May 28 2009 	 luxurious relax undesirable part Vegas . 	 visit Wynn group friend Memorial Day weekend . get great deal discount website , otherwise probably would stay elsewhere base cost . stay , however , can not imagine stay anywhere else Vegas . ' ve stay Mandalay Bay , Paris , Planet Hollywood , Bally 's prior trip . staff attentive polite . check breeze get exactly want - two room close 2 bed . we spend lot time pool , gorgeous . staff good regulate chair situation help guest get chair whenever show . course , tip . fortunate enough get chair day . everybody seem get head lunch around 12 , group actually get pool . european Bathing pool great DJ walk bar , addition cocktail waitress grill . DJ great - fun music . drink actually bad . $ 14 rum runner , margarita , etc . $ 6.50- $ 8 beer , alcoholic sno - cone $ 10 extra shot $ 2 . take drink water bottle one day , see other , people . nice thing not feel nickel dimed pool . want go topless pool @ Mandalay Bay charge everyone , unless woman agree go topless , case get free drink . last time friend say check everybody 's bag people go topless appear stripper . case Wynn . many people actually topless , make uncomfortable , not worry . also , can not get pool unless guest Wynn Encore fee anything cabanas . search bag , bring snack want , bottle water , etc . guest Wynn also use Encore 's amenity . check one day make sure not miss anything . like Wynn 's pool well , well clientele . Encore 's casino bit ... bordello smokey . pool full people smoke ashing everywhere , case Wynn 's pool . Encore lower publish rate Wynn , seem draw bit different crowd - tad young , also bit wilder tackier . crowd Wynn pool predominantly 20s-30s , fairly attractive put together people . Encore heavy 20 ( ' m mid-20s ) sloppy wilder . eat Drugstore Cafe day breakfast / lunch dinner one night @ Red 8 . reasonably price food , good . satisfied . want go Buffet , line , long . not take advantage 3 course Prix Fixe menu available restaurant many require dine 5 7 , 10 . ok eating time , may nice deal . make sure see Orbs show Lake Dreams near Parasol up / Down , SW , Daniel Boloud Brasserie . be one coolest free show see Vegas , build like Bellagio fountain ( great ) . 's lot tourist cram around see . not ton gamble Wynn , , problem get drink , contrary review . also not experience rudeness staff notice preferential treatment & quot ; rich people . & quot ; friend early mid-20s certainly & quot ; rich . & quot ; treat server well , we . never problem get anything anywhere . room nice , see website . wall thin . security come room one night not even loud . could hear people room around we time well . be bit disappointing . will never stay anywhere else Vegas Wynn . 
 May 28 2009 	 Beautiful Hotel . 	 pro : beautiful hotel . very clean room . very large room . con : Nickel / Dime everything . ) charge internet access day , rate pay kinda annoying . b ) can not use refridgerator put personal item . weight sensor trigger automatically charge move item fridge around . c ) Checkout severly understaffed .. take 40 minute line .. hotel like , pull people break / out - of - shift see crowd . unacceptable hotel calibur people wait around like . 
 may 27 2009 	 beautiful oasis strip 	 Wynn definitely ride lap luxury . read review ahead time know expect term weight mini - bar , expensive restaurant like feel little prepared thing . check request mini - fridge room medication need refrigerate within 10 minute fridge bring . room 20th floor view strip ( great view Treasure Island pirate show ) Wynn waterfall . room spacious enough adjustable flat screen nice bonus . the bathroom amazing ! ! huge bathroom tub , separate glassed shower , two sink vanity chair mirror separate toilet area , like many european bathroom . great space lady get ready go ! ! nice hotel be look spend money feel like be hob knob star . three con stay ; 1 ) yes , be pay name . every place eat price WAY everyday price , even Vegas standard . cafe pick quick pastry coffee always line door coffee least $ 4 . skip take walk couple block Denny 's even Peppermill Lounge , great food price . Recommend go either big cheap breakfast splurge dinner later ! 2 ) check biggest pain ! apparently computer system not work right could not kind express check television , since not kind card fill express check ( like hotel book state ) wait huge line 2 minute process , ridiculous ! 3 ) want go anywhere strip 's quite walk , stand heat walk , great ! be limit long walk , tire easily , high high heel ... warning will shell buck taxi ride get anywhere go MGM , New York New York 's $ 13 - 15 trip , include tip . con minus hotel . 
 May 27 2009 	 Nice Hotel nice service 	 spend Memorial Day weekend Wynn . property impressive although service inside hotel less impressive . everyone exception parking valet pool side cocktail waitress appear try dissatisfied job . take away overall impression location . would return find really good deal . 
 May 26 2009 	 good . hotel . ever . 	 would live Wynn . bathroom ... omg ... bathroom . huge . gorgeous . mention huge ? room -- nicely appoint , amazing view Strip . problem location -- toward end Strip , even plus minus keep hotel set back craziness tourist look 99 cent prime rib dinner . love place . would go back time time . Wynn definitely loyal guest . 
 may 25 2009 	 place ever stay ! 	 nice experience ever stay Las Vegas . accomodation first class service outstanding ! never gorgeous view hotel window ! pool gorgeous restaurant remarkable ! even little money casino ! nothing short grand ! 
 may 25 2009 	 watch people ! 	 sure check registration card carefully ! ! ! ! ! ! ! offer & quot ; room upgrade & quot ; $ 25 / night . clearly decline know include cryptic notation card sign . end saying agree $ 25 / night charge . mistake check registration card carefully . people not sneak charge refuse remove later . will anything get buck board otherwise . 
 May 25 2009 	 Classy 	 Wynn five diamond hotel reason . ' m typically budget travel not get many chance stay place like Wynn . everything hotel scream luxury - lobby , casino , store , pool . room nice comfortable . location strip awesome . I get great deal Hotwire , problem can not afford $ 35 hamburger fancy expensive drink , will look elsewhere strip thing . afford , place . 
 May 22 2009 	 Loved ! ! ! ! 	 take advice another trip advisor ask room view strip . I certainly get one , top floor . view amazing . room lovely huge bathroom plenty great product . we could lie bed see whole strip night . I can not fault hotel . the staff helpful . we eat resturant waterfall view singe frog every night . could fault food ( although tad expensive due exchange rate ) .The pool area perfect . booked ticket show , Reve ...... world ! Wynn brash feel casino hotel read review hotel glad book it . this hotel last stop fly home .... love hotel love Vegas ! 
 May 22 2009 	 nice place would return 	 Wynn pretty outside , much less tacky inside many Vegas resort . however , money , Wynn really worth stay . upon check - in , make clear we resort management concerned make foreign tourist money happy . understand business , really necessary employee mention something like guest upon check ? king room face Strip - lovely . non - smoking room , however , not expect smoke pour vent bathroom , yet 's get every night . call reception complain , response & quot ; nothing guest privacy room . & quot ; Nice . stay hundred hotel resort business leisure - NEVER refuse late check - out , especially Sunday . Wynn refuse give we even hour . suppose not problem late return flight Vegas , casino 4 pm see folk come elevator luggage check ' ve tell hotel would honor late check - out day , miff bit . hotel certainly good job over - price everything room , restaurant , spa , shop , name . forget chair pool unless get 9 am . drink set back $ 14 poolside . suppose Wynn place see international jet - setter . respect , sure , 's place go be 25 , live parent money trust fund , problem pay double would anywhere else Vegas pedestrian meal , drink , etc ... , . upside Wynn kid ( offense mom dad little one ) physical environment truly beautiful . frankly , not necessarily get pay Wynn - 's overprice ( even 's regular price ) full superficial people . 
 May 22 2009 	 beautiful room -- -- everything need . staff friendly 	 stay Wynn Parlor Suite -- everything perfect -- prpblem . bathroom large -- living room bedroom great tv 's bed comfortable hotel ever stay . staff friendly helpful . housekeep great . hotel little far center strip -- take cab everytime want go somewhere else . , overall hotel beautiful complaint ! overall aaa+++ 
 May 21 2009 	 WYNN still WINwin four visit ! ! 	 Las Vegas , WYNN meet expectation plus .. four year row ... difficult compare ... hotel measure room restaurant however , none location Wynn . WYNN opposite end strip airport ... use take 20 minute reach , take 45 60 minute . check FUN BEGINS ! ! ! normal room beautiful ton amenity . elevator segment two division fast service floor / room . upon enter hotel , walk spectacular garden area , casino leave shop , pond , waterfall right . everything design put great mood . fantastic restaurant . dine , casual super elegant ... think one complaint . the employee must train ensure utmost elegance without snobbish attitude make feel uncomfortable . my favorite spot cafe , cafe terrace & amp ; store locate main concourse . price not average drugstore , good unique fun . I may bias think coffee WYNN delicious ever . crave cup moment ! location spectacular walker , like ! walk across bridge lead Fashion Mall , hotel outside shop . heat unbearable ... day shop til dropping , hour pool cool ... preferred American , young guest scope European . I call afternoon massage . Arabian Kevi & amp ; think ? spectacular ! casino host , server , employee go way accommodate . ( almost disney - like way organize friendly ) ... 4th year ( business pleasure ) ... even connect room adult child . I really enjoy wynn atmosphere . say enough great thing HOTEL . 
 May 21 2009 	 WYNN fabulous 	 return 4 night stay mother Vegas . great time overall , especially love stay Wynn . room beautiful , hotel gorgeous service outstanding . mother 's first time Vegas ( second ) want special . pleased get great deal booking trip travel agency ( well online ) , also find soon arrival , join ' red ' club gambling bit , first timer Wynn accumulate enough point club card entitle free buffet two . end eat dinner two night buffet free . buffet ! buffet , never like one . like eat gourmet restaurant . also get money back play credit . also take advantage sister hotel , Encore ( S. Wynn 's new ) amenity . connect Wynn . Vegas visit dozen hotel see various interior free attraction soon realize Wynn surpass opulence . happy day return long day strip . bed exceptionally comfy . two point warn .... want double bed view mountain strip ( fine ) not purchase anything mini bar . pay $ 4 Coke ! Wynn also situate nicely . across Fashion Show , huge mall food court . take advantage $ 7 24 bus pass deuce bus line . 3 day . allow jump different casino strip even take downtown . go Fremont Experience . light show go night . not miss seeing 're . would totally recommend stay Wynn would definitely . 
 May 21 2009 	 satisfy 	 stay tower suite . suppose 5 star definitely . room bit date lot stain carpet , dirty window bad view . stay 3 day suppose compe three night check tell 2 night compe ask sign paper pay 400 $ third night ( offer slot giveaway tournament clearly say three night complementary ? ? ? ) . anyway pay third night ask host ( bit irritating ) . last day housekeep clean room call housekeepingat 18h00 ( good five star hotel ) . 2 private pool guest Tower suite always full never get chance chair . food horrible Terrace point Café lunch . also breakfast Cafe Encore ( 75 $ US 2 people egg , toast , coffee orange juice believe ordinary ) .Spa nice . I not thing stay . disapointe . would probably try something else go back Palazzo . 
 May 21 2009 	 ' m spoil 	 first time stay room Wynn , although go club gamble . room resort tower room look right toward Treasure Island , good view . everything clean , nice comfortable . staff Wynn exceptional well . Blush Tryst 2 good club / lounge go Terrace Cafe good food . pool nice , get early want chair . even though would venture hotel gamble go club , would always find back Wynn long . LOVED ! feel 's pricey , least splurge stay , happy . 
 May 21 2009 	 beautiful hotel great service 	 Wynn one beautiful resort ever stay . however , 5 star resort , expect 5 star service quite disappointed . several problem hotel first day stay . staff much friendly other . enjoy overall stay Vegas , would definitely recommend resort other . 
 May 19 2009 	 full class ... Best Vegas ! 	 stay Wynn May 9 - 12 … pro : got great deal nwa.comupgrade $ 25 / day panoramic view … the room beautiful ( stay 53rd floor ) , bathroom wonderful view amazing ! food great ! terrace Point Café , Wynn Buffet , Zoozacrackers , Sugar & amp ; Ice , etc . staff friendly accommodating ! casino perfect … not dark smoky ! want go elsewhere , take quick walk Encore . nice pool ( find spot near european pool tree hot ) .Le reve truly outstanding ! Fashion Show Mall quick walk away . con : ear pop go 53rd floor . also , get quite annoying elevator stop every floor get . ask low floor bother you . Tryst XS huge line get line , area get quite clogged annoying walk want go Encore . no small refrigerator room put drink ( one room completely fill item purchase ) . 
 May 19 2009 	 great room excellent service - a+ 	 last weekend spend one - night mini vacation Wynn see Jimmy Buffett concert ( MGM ) . travel Vegas time per year want try Wynn sometime . book discount website get rate around $ 150 -- bad Saturday night . the check - in smooth . simply issue . ask high - up room give one 58th floor amazing view strip . reservation agent friendly answer question room option resort . offer suite upgrade fee , decline short stay . the room large spotless . decor simple , like small sitting area workstation . bathroom huge separate shower tub , separate toilet area small flat panel tv . mention , view could beat . automatic window shade nice touch . issue noise . bed comfortable sleep soundly . we gamble hotel use pool , wireless exercise amenity . also eat hotel otherwise visit bar / restaurant . primarily due one - night stay . , comment review express dissappointment feature . find ground immaculate . two critique would expense location . pay regular book rate , hotel pricey . also , tend spend time south end strip find walk Wynn MGM Mandalay chore . short , awesome property first class room service . would recommend Wynn definitley return -- assume find deal help price room . 
