far 	 first stay Rio , check four night . Rio seem intent get little money . friendly check - in receptionist try many trick trade get we agree upgrade : first ask we room upper floor view Strip would o.k . , later mention would cost ; engage we personal conversation present document signature state agree upgrade ( even though already say , & quot ; & quot ; ) . evening departure flight offer late checkout 4 pm $ 40 . decline offer noon checkout time additional fee . we happy & quot ; low floor & quot ; room . huge ! view Strip , view mountain light night sufficient . room clean . surprisingly quiet night even though Rio focus entertainment young adult look & quot ; good time & quot ; . ( think Brazil , Rio de Janeiro Mardi Gras . ) in - room coffee maker . call ask , told & quot ; low floor & quot ; coffee maker - & quot ; high floor & quot ; . arriive noon Thanksgiving Day find buffet open . option except pricey champagne buffet dinner since restaurant hotel close . even day restaurant open , option cheap fare . cafe open noon 1 pm , depend day week . starbuck seem least expensive dining option available . ( not accept Starbucks gift card ! ) Rio locate quite distance Strip . unless want good hike , car take Rio 's shuttle ( not start 10 ) sister hotel / casino Strip , be stuck . easy way go downtown without hire taxi . if look & quot ; adult - center & quot ; entertainment bar , Rio . many reasonable option gaming , meal , entertainment Strip . will stay next time . 
 hotel equivalent Wallmart . 	 like noise Casino , ' m talk usual casino hub - bub , love Rio . enjoy haul luggage escalator long distance crowd gaming area , Rio place . not mind wash hand cold water rest room ( man 's least ) , gripe . & quot ; huevos rancheros & quot ; breakfast café bore little resemblance eat anywhere . fairness , room large clean , staff friendly , bed reasonably comfortable . recognize always & quot ; different stroke different folk & quot ; , Rio major disappointment . 
 Jan 23 2008 	 bad great 	 live Las Vegas employer annual Christmas Party venue . arrange we get optional suite $ 99 night . wife decide would cheap round trip cap ride ( DUI ) . Rio many time year never stay there . the parking garage dirty compare Las Vegas resort . park ground level railroad track . feral cat run around everywhere come hole wall . elevator , notice someone vomit sidewalk . while walk front desk ( casino course ) , accost timeshare sale lady . ignore . even slightly attractive , may actually successful choose career . the check process quick compare Vegas hotel . time walk , take ten minute get key . one offer help we luggage . big deal though . during time stay , notice significant delay elevator . always seem wait normal go down . we make room notice clean half - drunk beer bottle paper table . walk room find housekeeper another room . apologize say paperwork indicate pervious resident stay another night . re - clean room wait . room nice good view look south . could clearly see Palms southern strip hotel . even small widow shower allow occupant see room view outside . pit group sofa fairly large tv . honor bar never open separate refrigerator near bathroom . the banquet facility Rio nice quite hike room . must take we twenty minute walk there . one thing mention – put tuxedo , notice forget pack stud shirt . go downstairs find store sell $ 10 . impressed . in morning , breakfast coffee shop . service slow . take twenty minute get coffee . pot bring table leak . 
 Jan 21 2008 	 Place fine 	 stay Ipenema tower , large suite . New York City love size room . be large 1 bedroom apt ... sad know true we NY'ers . roomservice fine , bit limited . not gamble can not comment table . starbuck lobby welcome long Vegas night . bathroom large well take care . not like fact wifi room , even charge . overall nothing spectacular . little far strip , be basically mini city 's large . 
 Jan 17 2008 	 rio change 	 Harrah 's corporate cost cutting reach RIO . coffee shop night . want late nite breakfast , go sport bar . steak house close . seafood buffet close . sushi restaurant could eat page rule reg . way enjoy . ask one hostess late breakfast , explain go sport bar . tell think REAL hotel . say real HARRAH 's hotel . imply comment clear . hotel nice 10 year ago downhill slide . spend time across street Gold Coast appreciate business good job . would consider stay next time . 
 Jan 14 2008 	 Rio always favorite 	 Rio always one favorite place , favorite place stay Vegas . great not want right strip close . always wonderful service . room always great . highly recommend stay . 
 Jan 10 2008 	 expect 	 husband go las vegas quick weekend getaway right christmas . usually stay strip time decide gamble much stay Rio . check - in pretty quick staff need brush customer service . know , know 's Vegas right expect & quot ; happy holiday merry christmas & quot ; ...... anyway suite nice clean , Ipenema tower . problem water turn hour . call tell not know long would take since pipe & quot ; broke & quot ; . wait hour . food Carnivale buffet ok , read great review impressed . go veag 1 2 time not think reture Rio . 
 Jan 8 2008 	 worth free night 	 friend recently stay Rio . terrible stay staff not much accommodate we . upon arrival not parking level structure close . since could not find parking try valet valet full accept car . drive around half hour find someone pull structure level far away hotel . check , mention parking issue check - in staff , nothing not seem care . give we room one bed instead two request month ago book room tell we hotel not guarantee room request . make wonder even ask preference booking instead check . 's point ? room find bulb bathroom burn . staff 's credit , act immediately call . we leave hotel hour return evening try play machine , not register Player 's Cards could not get point play . frustrated , go back room find water shut . call front desk , manager inform us pipe burst water whole tower shut . quite upset stay far Rio tell manager trouble would say would comp we water mini - bar could brush tooth . 's ? two over - price Aquafinas terrible stay ? ' ve never bad service Harrah 's hotel . have eager try Rio not stay sorely disappointed . try check via tv find have charge water . go front desk check promptly remove water ask stay . tell , much like girl check we , not seem care - ask 's part job . I follow Harrah 's offer free night Rio exchange difficulty . ask instead comp one night allow stay one property instead not care go back Rio . refuse . quite disappointing make question Harrah 's customer service whole . 
 Jan 2 2008 	 Good Hotel 	 stay Rio December 28th thru January 1st . room compe still would stay Rio even pay . generally go Vegas 3 -4 time year always stay Harrahs property . rio alot young people stay although ' m really sure not night club . must everyone like 's Rio vibe . Platinum Member 's new check area old Dimond vip lounge . old plantinum area promotion . customer service good everywhere go hotel . room InpenemaTower one remodle room really like . security person floor . slot tight usual drink free flowing . Black Jack table $ 25.00 . try new resturant R.U.B . old mexican restraunt second floor , great service food ( BBQ ) ok . go Buzio 's dinner one night superb , bit pricy well worth . new italian call Maurotanos ( sp ) hear popular server give much smart remark customer , guess try copy original back east west coaster not like pay get poor service rate enough we try . title Kilt close McFaddens open Kilt old Dragon Bar use time month . shuttle Ballys still free run every 1/2 hour take taxi Paris cost $ 8.00 . walk one morning Flamingo take we 20 minute . next time go ' m go try bowling alley look like lot fun get away VP . one pool 1 hot tub open even though 50 degree people use . look strip expereince stay strip look good customer service orientate hotel close strip stay Rio . question ask away . 
 Dec 29 2007 	 nice Room Overall Place 	 know little late , time premiume last quarter year , go last 2 visit Las Vegas . end September stay first time strip Rio . plane leave late Ohio delay arive Rio 10:30 pm . check person Pennsylvania cordial , good person problem check . suit Impo something tower , nice view mountain . little trouble get room , key would work . call check house phone elevator , say wait minute try , work , come back new room key . make long story short , new key work , security let room , maintenance fix problem next day . seemed battery door lock need change . time 2:00 since 25 straight hour , go bed split headache . eat 2 place property , first restraunt site , can not remember name , chicken noodle soup . Soup good helped recover headache . second place bowling alley onsite . hamburger taisty huge good . gambling casino tight , expect . overall like casino . dark see show sky , enough . show loud try order drink perform , well , strong voice cause shout waitress . also seem lot male server preference prefer . gaming area show high limit , lot low limit slot around . performer show good , enough . find adjacent property 's liking . Gold Coast casino well light , well serviced , loose slot , decent food . breakfast buffet 7 lunch buffet 9 dollar , food good . palm hotel , well , not see fuss , impressed . drink i - bar Rio . casino floor smoking allow . waitress put dance table every hour good . like I - Bar , good bartender , good service . total Rewards member , nice able go different location , comp get bad , get less free night , 2 free night time , weekend , plus discount rate also . still go property 's one give free night location besides Las Vegas . 
 Dec 27 2007 	 nice quite expensive 	 husband stay Rio Dec 15 - dec 19 . overall experience nice . room huge comfy floor ceiling window give add touch . pay strip view mostly get mountain . we really enjoy stay everything hotel expensive . also mention casino nice free masqerade show sky suberb place dead . I would return get great rate Total Rewards Program 
 Dec 26 2007 	 good 	 " Good & amp ; bad @ Rio " Dec 25 , 2007 stay @ Rio Dec 20th – 23rd year . flight Wichita fine transition new rental car area perfect , Love new centralized area . arrive Rio Lickety split ( via Albertson ' supply ) thank new Garmin GPS , map fool . check lady help we cordial overly friendly , tell anniversary wonder room jet tub room recently remodel . tell nothing available problem , say king request available either , ( fun anniversary sleep different bed ) . oh also ask pass VooDoo lounge get last year tell would see concierge next . go midnight room Masquerade tower , arrive room view good call luggage , show quickly , tip bellman Fiver commence unpack . finish unpack start look couch big stain like ' believe type low light ' noticeable turn light noticeable . pull table chair look someone sit do business . put towel decide deal am.kimberly suggest stop front desk way little gambling let know condition room would charge extra damage cleaning fee . stop front desk talk different clerk upset condition room poke around computer low behold room newly refurbish Impenana ( sp ) Tower king bed less produce Passes Voodoo Lounge we . also ' remark great Rates manage acquire . thirty Minutes later escort another bellman Luggage tow beautiful room 14th floor . CDS " " see miss experience lifetime Kimberly mesmerize beauty , athleticism , sheer man power take put performance caliber . would try explain would justice vocabulary put experience word . day trip Mt . Charleston well worth Hour take drive , beautiful , quite wild leave dessert floor drive snow cover mountain . great little restaurant lodge top nice hiking trail , go snow lack proper attire . Best Meal Smith & amp ; Woulensky ' probably one top two steak wife ever good Lobster Tail ever ( tristan Island Tail ) . bring appetite Wallet . Worst Meal ( almost ) try Rosewood grill strip nice inside besides we one table , menu grab we lobster Fritter appetizer sound great , well let say take one bite almost get sick . cook thoroughly inside ingredient look leave form someone else ' dinner . send back pay tab get heck . great trip back Vegas probably try different hotel next time . last piece advice rent car bring GPS rent one make life much easy getting lose . 
 Dec 25 2007 	 Smoky Big Disappointment 	 would recommend place anyone . husband decide stay suite Las Vegas . since venetian way expensive , choose Rio . first problem hotel strip walking distance . option car , taxi hotel shuttle every half hour strip . casino pretty small due low ceiling , cigarette smoke overpower . Vegas year several time year horrible . room non - smoking people next door smoke deal stink . room beautiful view mountain ... really suite . large room . bed room couch one tv . third problem food . tell buffet hotel good Las Vegas . except big eater want nice meal restaurant instead . italian , indian , japanese american menu restaurant . over - price popular guest eventhough hotel sell - out . decide eat American extremly disappointed . food fry , one type vegetarian plate mushroom burger . husband 's hamburger raw inside potato greasy fry . Sunday husband want watch football Rio sport book another disappointment tv screen large , seat close small tv 's take people without seat could barely see anything stand behind wall watch various game . end Caesar 's Palace Sports book instead . pretty much spend rest 4 day casino restaurant outside Rio regret booking room . 
 Dec 12 2007 	 24 hour fun fun fun 	 great hotel . end strip , like walk , everyone Vegas anyway , be far . shuttle bus take we Harrah 's Bally 's walk place . wish pedometer . see Cirque De Soleil ' Mystere ' show , wow ! ! ! get chance see , ! ! ! oh , hotel great . room big , clean comfortable . view two original hotel beyond Strip smoking room ( yes , still available city ) . get good deal ' reward ' program , well worth go couple time year . Harrah 's hote / casino 's connect Rewards Program , be easy start rack point . everyone friendly ( think Las Vegas everyone friendly , hand hold tip ) remember bring lot $ 1 bill , alot easy handle one dollar coin Canada . return Vegas , likely stay Rio Suites . 
 Dec 10 2007 	 disappointing 	 everything grossly overprice . bottle ordinary beer $ 5.00 ordinary mixed drink $ 8.00 ! ABSOLUTELY RIDICULOUS . touch reality . also go tothe show Tony Tina 's wedding . overprice waste time . GO ! ticket $ 80.00 . go bar get 2 margarita cost $ 20.00 ! ! also serve plastic cup , salt . joke . extremely disappointing say least . never step foot Rio . travel Vegas yearly find much well place go . recommend . 
 Dec 9 2007 	 wedding Rio Nevada 	 planning wedding easy task , anyone 's one know . organize wedding Nevada live Texas would denitely agonizyingly stressful ... wrong , wedding reception rio could not well . exceed everybody 's expectation . although husband celebrity , wedding attendee still talk about . the room , attention , everyhthe book high hostessing . Rio passionate place , high pace full energy everywhere turn around ! want 100 % traditional reception , like bowl room , since Texas , dinner extremely important , choose American Bar- Grill Rio attention perfect , waiter even perform couple excellent illusion toothpick fork . ah ! sirloin ... 's something remember . all twenty guest ouselve plan next trip next late summer stay week . five Star Plus Destination . 
 Dec 7 2007 	 be gambler probably like place well ... 	 finish stay Rio . 's fine place stay gambler ; however , attend business convention host site . not surprise place gear gambler , surprised inconvenience cause . first , like hotel:1 . room immaculate . except used bar soap find shower leave last guest stay room , housekeep great job.2 . staff friendly . concierege help throughout stay amazing , people work parking nice.3 . good selection restaurant . eat place twice stay ( all - American Bar & amp ; Grill ) , food excellent.4 . parking free . what not like hotel:1 . need cash shuttle airport . withdraw $ 20 ATM go cost $ 4.99 . like , walk ATM near hotel . close one 1/2 mile . grocery store little road that.2 . fitness center , cost $ 22 use part spa . work three day , get discount third day.3 . pay $ 1.25 toll free call made.4 . cocktail waitress dressed outfit see Disneyland . in fairness Rio casino hotel probably similar policy . convention attend host different casino hotel next year . attend , probably stay non - casino hotel Westin . , however , sure ask question thing not like find good possible arrangement . gambler not care thing mention , Rio would pretty good choice . 
 Dec 4 2007 	 Rio Hotel 	 husband stay Rio October 27 - October 30 stay Masquerade Tower . first stay Vegas hotel strip . think would give whirl since have hang several time previous trip really love Voodoo Lounge top ( awesome lounge FABULOUS view Vegas strip -- must see ! ) . hotel / casino big enough get bored be stay strip convenient free shuttle service stop Bally 's , Caesar 's Palace , Paris , believe . spa top good hot rock massage & quot ; Frenchie & quot ; . highly recommend , 's good masseuse ' ve experience yet . thing think so - so pedicure get , & quot ; Ok & quot ; , nothing special . room stay ok , decent view , first day , afternoon , seem like room next door party go . could hear lot voice , sound like young adutls / teen , could hear right wall . never encounter noise problem wall previous Vegas hotel ' ve stay . fortunately , must ' ve last day never hear peep remainder trip . many fine dining option Rio well . recommend open cafe ( can not remember name ) 's right casino -- best burger . also would recommend go Buzio 's , seafood restaurant . food absolutely fabulous . , contemplate stay strip , would recommend Rio . large ( probably little cheap ) like Palms & amp ; Hard Rock . 
 Nov 29 2007 	 large room extra 	 get back vegas , $ 49.00 special , thought would try . room large sofa , chair table chair , tv rotate view anywhere room . bathroom 2 sink , one inside bathroom one dress area granite countertop marble floor , frig safe closet add bonus . complaint stains carpet , otherwise great room mountain view starbuck downstairs . 
 Nov 25 2007 	 stay great 	 BF stay Thanksgiving break . request room Inpanema Tower get w/o hassle . check quick . room 1187 great condition . clean extremely spacious . regard towel , linen , bathroom , bed , carpet , etc . complaint . not gamble much Rio . one thing be lack good food court . quite number restaurant sit in , able find semi fast food place & quot ; Wetzel 's Pretzel 's . & quot ; yes , Starbucks Coffee Bean & amp ; Tea Leaf , hope subway , mc donald , burger king , etc . could grab quick inexpensive bite eat . 
 Nov 20 2007 	 like clown car explode ! 	 aside place ( casino ) look like clown car blow . kind color tacky LV casino . waitress wander around basically thong black lingerie top waiter look like belong male bar old star trek series . tight , cheesy ... feel bad wear . room amazing , big pretty soundproof ! complaint enough waitress go around . wait quite drink even be drop stupid money table . oh , pool close two day four & quot ; Private Functions & quot ; . WTF ? not get , oh well . be little bit strip sure , be cab right ? 
 Nov 19 2007 	 not believe Good Reviews ! 	 spend weekend , Nov.15 - 18 Rio . bad stay Vegas since first go 1982.had problem check , could get room renovate tower request , pay $ 25 extra per night strip view room , view etc.etc . check clerk go get supervisor , never even come back counter tell we elevator room , never put we direction customer service desk gambling card . supervisor tell we check back Friday morning regard room move . woke voice mail message receive 7:50 tell we would able move we . easily would known night , give we & quot ; lip service & quot ; . call room service cork screw , shower cap , soap towel ! maid not even empty hotel ashtray cleanup Friday , maid even show Saturday . arrive back room 7:00 pm nap get ready go , maid even room clean . call housekeeping supervisor , tell we would take $ 50 bill . arrive back hotel around 3:15 , intent partying gambling hotel , check registration late checkout , tell , phone back 6:00 7:00 . set alarm 6:00 finally get back room phone , late checkout either . , bunch & quot ; lip service & quot ; . never stay Rio , sure tell friend story , stay away . speak guest problem . casino empty ....... ' m sure positive review post staff hotel member . 
 Nov 14 2007 	 enjoy Rio 	 husband recently return stay early November . request check able get one renovate room . regardless nice room 28th floor nice size King size bed . love refrigerator room walk local grocery small thing put . even though strip take shuttle problem except heavy traffic unavoidable suppose . eat Voo Doo , Antonios , Tilted Kilt , American Grille . good Antonios world . recommend highly . Kilt good food huge quantity get money worth . gambling expensive time walk across street Gold Coast minimum little lower . we would definitely go back Rio . 
 Nov 14 2007 	 stay 8 Nights Loved ! 	 long drive Grand Canyon , accomodation disappointing say least , ask check 5 night early Rio . glad . room huge ... new bedding , carpet furniture . seem like suite . king size bed wonderful extra refrigerator thoughtful . the casino not cavernous ... easily navigate . casino restaurant personnel helpful friendly . Loved Voodoo restaurant club 51st floor even though be 40 + . spectacular view . strip not problem we ... walk take free shuttle feel like it . we end stay Vegas Paris 3 night wish stay Rio . 
 Nov 12 2007 	 will not return Rio 	 hotel look great online . fraudulent advertisment . room nothing like room show online . room filthy . stain sofa & amp ; carpet . wear bedspread & amp ; curtain . big surprise turn bed & amp ; see dry blood & amp ; black hair blanket , hole . call front desk , send housekeeping . housekeeping manager arrive . offer move , tell room . agree w/ hotel need redo . room 37th floor & amp ; music Voo Doo 50th floor could hear well feel ! conference , stuck . housekeeping get new blanket & amp ; change bed since not want sheet touch dirty blanket . also wrap sofa sheet not look stain . never close drape not want touch . nice view valley & amp ; mountain , work ok . never back . casino impressive . far hike strip . yes , shuttle , time walk entrance w/ shuttle bus , well walk strip . 
 Oct 31 2007 	 nice far Strip 	 husband stay Rio 10/13 - 10/16 friend attend conference . overall , Rio nice , little far away action . $ 10 taxi ride strip wait shuttle get Harrah property strip . definitely far walk . request recently update room upon check give one . room furnishing look brand new . classy , granite bathroom counter , clean pretty view mountain . use pool , brief walk around , decide need repair . hotel adequate , clean overprice . however , next visit , look stay Bellagio , Venetian Wynn . 
 Oct 25 2007 	 inspect room unpack ! 	 stay Rio annually last 3 year always impressed , year ... much . whilst check tried & quot ; twenty dollar trick & quot ; , agent seem handle smoothly ask expect answer nice strip view high floor . check monitor tell good room 31st floor . say great go ; unfortunately room stain carpeting sheet appear soil bad 2 sex toy lie end table drawer . immediately contact management profusely apologize give gift certificate sufficient cover 1 meal wife I. feel deserve get late yet hit table . accept upgrade suite ipanema tower , come ! ! ! room clean , large comfortable everything come expect Rio . slot seem tight . hard find low limit table crap roulette . overall probably back think staff could use training replace , alsom make slot little loose do not hit anything worthwhile stay . stratosphere good action opinion . 
 Oct 24 2007 	 Suites - Great Frequent Gamblers 	 visit Rio 4 night begin October , 2007 , wife 2 child ( age 11 & amp ; 15 ) business trip extend brief vacation . choose Rio 1 ) advertised & quot ; all - suite & quot ; would give we room , , 2 ) pool look good kid ( understand post child primary target guest - group especially kid - friendly ) .Arrived 10:00pm Wednesday evening & quot ; regular & quot ; suite available . compare regular hotel room room fairly large definitely suite . request advance confirm front desk room pull - out sofa . front desk clerk helpful think try find we large room . unfortunately sofa not sleeper ; front desk suggest roll - away bed , say ok long argument housekeeping linen . apparently rule room receive 6 pillow . official - look lady walkie - talkie come room ( be 11:00 pm Pacific time point ) , say basically way get pilow . ok ..... otherwise room fine - floor ceiling window nice , even though view parking deck , make room appear large . furnishing nice ( king ) bed comfortable . small - ish closet , mini - refrigerator ( handy uncommon ) large bathroom . hotel facility ok : pool except one close due season nice . several restaurant pricey poor value ( Vegas hotel restaurant ) . would recommend VooDoo Steak Lounge . expensive , great view access outdoor deck great atmosphere . the gaming area typical little spread - out casino . other post , find table minimum high - $ 25 blackjack , example . I find staff surprisingly pleasant . maybe ' ve get use poor service constantly hear & quot ; good morning & quot ; , & quot ; & quot ; , & quot ; good day & quot ; , etc . - refreshing . the valet parking inconveniently locate ( especially carry luggage ) busy time long delay retrieve car . one recur theme constant level high service , amemenitie , facility high - level member game reward Club - different line buffet , ability call valet car bring around , different valet - drop - off lane , preferred seating , well room , etc . even go theatre will - call pick telephone - purchse ticket ask level reward . unless Platinum & quot ; 7 - Diamond ( ? ) & quot ; not expect anything beyond basic service expect other request address . guess make good business sense occasional visitor begin resent treat second - class guest . 
 Oct 17 2007 	 Voo Doo average Joe ? 	 Las Vegas many option choose hotel riorate average mix accurate . stay business 3 night use facility pool , comment that . check timely , friendly room clean . furnishing little dated bathroom old . the bed comfortable , tv old .... room decent size , perhaps small Vegas . seafood restaurant good price tag go . five we eat late dinner drop $ 500with drink . restaurant casino floor lunch good reasonable great service . burger well ever restaurant . VOO doo lounge charge cover guest , seemedodd , especially week . view city fantastic ! drink , member comment , extremelyexpensive . view worth cover , take leave . this family hotel . cater convention andfor fine . overall , service good , people friendly , aregoe vacation Vegas , find room big , new less pricey many place . having stay venetian business , perhapsmy opinion Rio weight unfairly ...... VOO dooview great ! 
 Oct 14 2007 	 high money 	 hotel high price average consumer . husband make 100k year spend much money hotel week crazy . go luxury hotel somewhere else also would inclusive . the problem notice Rio . one pool 3 open . none jacuzzi work . waterfall pool work . shuttle always behind schedule . drink cheap . ( husband pay $ 10.00 pina colada ) . buffet reasonable hotel . cost we $ 54 one night $ 79.00 another night . ( get well seafood , near coast ) . also get hound everytime walk timeshare person . get point husband walk separately . walk hold hand , always hound . overall cost trip $ 2800 . -- include , hotel car , also gamble maybe $ 50.00 go 4 show . eat breakfast- eat lunch- buying grocery local grocery store ( room ) 
 Oct 11 2007 	 well expect ( business travel ) 	 pretty low expectation Rio base scary traveler photo site , say place really much well expect . business traveler , important thing 's quiet comfortable , thing ( least inside room ) . be hard relax really ugly room , glad find decor decent enough distracting . suite Ipanema Tower -- tell one tower not available internet access , be business traveler make sure ask check . also add catering service conference great . know probably vary widely depend conference host spending , personal experience hotel conference service good . as far non - business aspect go , ' m pleased report indian restaurant surprisingly good , especially mughlai dish ( consider aficionado ) . also please shuttle service strip . can not beat price ( free ) , be allow get strip catch famous sight show evening without fuss transportation . prepare spend minute bus listen retiree chatter away . : ) 
 Oct 7 2007 	 wonderful hotel -- bad 's strip 	 husband get home weekend RIo . occasionally get offer / free room Harrah 's hotel Rio good deal timeframe trip . be 10 year since ' ve stay think property be change well . 16th floor Ipanema tower newly renovate room . love room ( suite , however much hotel choose call room suite ) . first walk small marble foyer refrigerator / coffeemaker nook straight large room hold large corduroy cover sofa , comfortable easy chair , marble top coffee table good sized work desk . king - sized bed extremely comfortable soft linen duvet . bathroom pedestal sink -- separate door large sink vanity area . area also build - in chest drawer large closet . , would say one well design comfortable motel room ' ve stay long time . Vegas hotel , like Venetian , large room ( ie suite ) , livable nice come ' home ' night . room sparkle clean convenient elevator . I like Rio 's layout . 's huge 's easy navigate . little sport cafe connect Sports book good food easy grab bite take room . late night breakfast all - american Grille -- pretty inexpensive . also eat Seafood Buffet first night . slipper lobster soooo good . $ 36.95 , though , be pricey . I pleasantly surprise drink service gambling -- joke , friendly server come around least every 5 - 10 minute , even around penny machine . slot tighter anywhere else -- fact , $ 500 dollar machine last night there . the Rio -- except location . honestly , 's deal - breaker . feel like waste lot time search wait shuttle strip . gave time spring $ 10 ( tip ) one way cab fare . love casino hop Vegas like option go back hotel room little break day . not feasible Rio . Darn -- really enjoy place probably will not back unless offer free room . 
 Oct 2 2007 	 great experience 	 stay Las Vegas many time first time stay Rio Suites . Suite stay 17th floor Ipanema wing . separate section Rio main building . pleasantly surprised hotel room . section casino bowling alley GREAT quick food eat . also end use Room Service one night come set table linen everything . food FABULOUS ! worth money would definitely stay again . we get go pool one day okay pool . actually 4 different pool one sand . least 2 hot tub hot . time year ( late September ) say slow season pool open 5 pm get . also , pool go close 6 pm . 's typical pool close 7 pm since season close early small amount guest . something know know expect . if stay , though , make sure see Parade Sky main building . 's fun little free show . 
 Sep 25 2007 	 Bad 	 stay Rio 8/19/07 - 8/25/07 tax seminar go . Wife check airport waiting luggage . room 682 Ipanema wing . room huge clean . stock mini frig tv empty mini frig ( temp adjustment ) closet . cabbie stop minimart way hotel put thing empty frig . later find store call Green Grocer 5 min walk away road separate Rio Gold Coast price bad . pick breakfast snack chocolate . buy chocolate bar Rio $ 2 pop old . go Grocer chocolate . view nice one . could see Gold Coast , Palms , Orleans distant hill . problem AC . bathroom ok . frig cold enough . tv huge . Rio supply 3 shuttle 3 casino every 20 min . 1 Bally 's , 1 Harrah 's 1 Ceasar 's . driver friendly , polite helpful . guess seminar crowd shuttle large normal arrive , boy people rude . overall okay seminar crowd spend alot time wait get strip . Masquerade Sky show nice . we not plan go back Vegas ask Rio would say be okay want strip . 
 Sep 24 2007 	 ok room - many kid ! 	 stay last year want large room . Rio all - suite hotel , suite stay consist merely large room oppose true suite . , room service bad , great either . main problem family kid stay hotel . constantly would hear kid run hall yell early day - good sound wake 8 ! likewise , hard sit relax pool area , , large number kid run around , splash , scream , etc . notice large number family main casino floor first check harbinger thing come stay . , bad hotel , be look adult getaway Vegas ( Vegas - people leave kid home ) , look elsewhere , like Wynn THEhotel . 
 Sep 18 2007 	 Rio impress Us ! ! 	 stay Rio 4th year row impressed ! ! ! disappointment Masquerade Sky dark weekend due technical maintenance . beautiful , hot weather make perfect fantastic pool Rio offer . service everywhere great fabulous meal well . always think want try another property next trip Vegas , Rio we spoil want go somewhere else fear would live high bar Rio set we ! ! ! ! 
 Sep 11 2007 	 still fun place stay 	 stay last year ( 2006 ) absolutely love . little disappointed year . neglect specify room view & amp ; wound 4th floor view top roof . could upgrade - front desk say entire hotel book . coffee maker room . front desk say executive suite get coffeemaker & amp ; book well room . hard get drink slot night come every 10 minute 9:00 a.m . Loved American Grill ( get Chicken Caesar wrap ) ! shuttle great . next year may try Caesar 's . 
 Sep 8 2007 	 Great experience ! 	 Rio great hotel casino . everyone manager blackjack dealer polite friendly . bring child Vegas recommend hotel especially . pool great full drunk college kid . small fee access gym spa - which also recommend hard night poker . 
 Sep 5 2007 	 Rio August 	 stay Rio 8/19 - 8/24 . room roomy . casino loud busy time . registration quick friendly . player 's club people helpful . waitress good . food sport quick convenient . casino little way strip walk strip 20 minute take shuttle . overall , decent place Masquerade Sky show okay one time view . , show casino pretty much like casino . 
 Sep 2 2007 	 Fun Times 	 first time stay off - strip , great time Rio 8/27 - 9/1 . recommend rent car , be easy get anywhere on / off Strip . I-15 right there . I 8th floor Masquerade Tower . room nice big . importantly , keep clean . bathroom small side , ' vanity outside bathroom use . room safe fridge . also keyboard internet access , ' use ' comment . ( ' vacation , live without e - mail day . ) find staff friendly . good drink service casino . people 's comment casino extremely loud right money -- especially Show Sky happen . rub wrong way first , get use awhile . the food good , ' Vegas ' expensive . the Rio would not necessarily first choice ( prefer Strip . ) would go back get another great deal . 
 Aug 28 2007 	 Fun Place Memorable Stay 	 wife book room one , mid - week August night & quot ; Hot Deals & quot ; promotion Rio 's website . pleased price . on arrival , check - in go smoothly even though go height check - in rush hour . wait 10 - 15 minute . young man check make quick call get us suite 20th floor Ipanema tower . suite amazing . nice dining area , guest bathroom , view South Strip , huge master bath jacuzzi tub , his / her robe sandal , pretty impressive . drawback old tv 's issue color smell smoke . enjoy brief time pool . plenty space fun area kid play bring along . we be gambler can not really comment gambling scene . drink fairly expensive ( $ 8 - 9 mixed drink , $ 6 beer ) . eat Antonio 's bad dining experience Vegas . burn parmesan chicken would serve Olive Garden would $ 30 cheap . hear incredible view VooDoo Lounge disappoint . one well view Strip . tip : not pay $ 20 / person cover charge ! many shop Rio , VooDoo Lounge buisness card register serve free admission use 10:30 pm Sunday - Friday . great stay Rio obviously bias due upgrade top floor suite . impressed pool , VooDoo lounge hate Antonio 's . distance Strip really not bother we since car . would return Rio would tough realistic expectation memorable experience . 
 Aug 28 2007 	 Filthy Pool 	 appal lack cleanliness one pool . get pool area first thing morning , expect pool would clean crack dawn Saturday morning crowd . however , swimming pool & quot ; attacked & quot ; least three float plastic cup . underwater " reconnaissance " , lay bottom pool bloated lemon , clearly leftover least day . one rounded corner cove pool , near exit ladder , dirt leave collect , almost murky , muddy puddle . realize pool ' clean every single hour day , would expect morning would brought sparkling pool possible . 
 Aug 27 2007 	 Rio Las Vegas ... awesome time 	 Rio . one word ... awesome ! check fine ... late fall though . let start casino play . good payoff slot Rio . do not take word ti though ... know lady luck . casino atmosphere great . love layout . carnival sky back casino area great thing experience . everytime friend take see . do not know attraction consist float supende ceiling entertain dancing music theme together . also stage risse floor area go float . free show people enjoy . the room ... want romantic night one room see magazine wonderful skyline outside window ... . room suit big floor ceiling window book right strip view . hotel strip get veiw worth million dollar . friend get marry go stay Bellagio . even though honeymoon want stay room 24hrs day want money leave . suggest Rio get one standard room . come back thanking . take advice get strip view room say sooooo romantic new wife great time . love little window shower look room . room large sofas lounging area end bed situate leave curtain open night unforgetable view . the entertainment since change . use Club Rio show room 80 's night . 80 's nut entertainment awesome . sure entertainment set always seem able entertain well . still VooDoo lounge top tower do not want miss . spend time tarrace , drink steal kiss love one star romantic setting . I can not say enough Rio . want romance , fun , great time ... place . 
 Aug 26 2007 	 rio fab 	 stay many hotel las vegas hotel far good staff cleaner manager go far meet nice peoplethey beautiful suites affordable price season upgrade price fab free shuttle bus take strip every 20 minutestry love 
