move 	 husband shock standard room * first room bathroom window jammed open bathroom towel use block freeze night air * porter arrive assist we move second room - already unpacked * second room plug bath request one tell use towel plug bath plug available * double glaze room face onto Broadway could sleep ! * carpet passage filthy * one redeem feature receptionist allow we check hotel follow morning thus cancel 5night stay - thrilled move fantastic midtown hotel could relax superb room enjoy service facility high standard fraction price . 
 check today verdict still impressed though 	 check afternoon happy rate decor , first room show extremely small . , carpet need cleaning , shower , bath . think unusual superior room . see review warn standard room , book superior room , still small . small ask desk really superior room , say . also , tv mount wall apparently work , second tv place front desk , make desk unusable . call different room well treat give another room , slightly large , bath . however , window extremely drafty , horrible time get shower work , get hot water , eventually pipe make noise could wake dead take shower , realize hair dryer miss , luggage rack ( discover early bring ) tonight go wash hand , hot water ! call morning , water also look discolour ! say , decor fine , bed nice , clean , many thing look small . would recommend hotel ? probably -- -I usually recommend place impress one do that . also , business room small hot would impossible spend amount time computer $ 2 10 minute plus charge printing . let tell , eat dollar bill like one armed bandit . wireless room charge , need printer ! select hotel free parking package want leave car park . definite plus , need get something car hopefully cost we $ 55 . let us see tomorrow go . maybe thing get well ! 
 Apr 19 2005 	 cool hotel 	 check sister see show Beacon . wow ! ! ! cool hotel . decor sleek stylish . bed good part . sleep like baby . feather bed italion sheet , dowm pillow , would typical Ritz Carlton . Thy give complmentry Godiva coffee morning . fact stay Beacon hotel Lucerne ( parent live upper west side ) comparison , thing , never even know hotel exist . read New York Magazine . complete find highly reccomende . 
 Apr 18 2005 	 unique experience 	 one good experencie ' ve really long ! ! place great ! ! decore room great modern staff one friendly ! penthouse room great great view bed soo comfortable ! I m defintley come back ! thank guy 
 Apr 18 2005 	 another great experience Ave . 	 recently return second stay Ave . great first . staff ball understand mean Customer Service . moment fiancee check time leave staff treat we pay $ 2000 night instead $ 200 night . 's great location Upper West Side . be close enough everything , yet trample thousand tourist like would stay midtown . balcony 16th floor unique attraction . can not wait summer time take advantage . bad 20 degree last visit : ( 
 Apr 11 2005 	 Awlful give NYers Bad Name 	 photo sleek room come management style class , nice want money rude ignore . ask question suit , turn back . dreadful unhelpful . stay first open place renovate excuse unprofessionalism work kink year later 2nd time around , place arrogant nasty management , run . 
 Apr 8 2005 	 ' m glad question extremely negative review 	 spend two comfortable night nice little hotel 3/23 - 24 . really question extremely negative review post glad . really nice place stay . room spacious stylishly decorate cozy king bed . room ' ' large screen plasma tv nice sit area two comfy chair . bathroom smallish fine , suppose two guest would pretty tight . one suggestion , towel bar add . room quiet ' free ' high speed internet add plus . view none , suggest obvious , request one . provide helpful , friendly service , although also ' expect plan day . also let ' confuse hotel NYC cab driver . like another reviewer cab ' drop hotel entrance properly either , Broadway around corner . midtown within easy distance subway , although walk , want take sight sound include stroll Central Park . if ' expect ' Four Seasons ' experience go , otherwise update boutique hotel provide nice stay good price . 
 Mar 30 2005 	 two great Experiences 	 husband stay two time , love time . since family live Upper West Side , location ideal we . staff always helpful friendly ; different reason , upgrade additional charge time . ' ve stay luxious hotel , Ave everything need -- comfortable bed , calm , nice aesthetic , good location . type hotel would happy return . 
 Mar 19 2005 	 little bit away action good ! 	 good clean quiet hotel , Staff quite helpful . great Diner across street . subway couple block away . good place start introduction New York ! 
 Mar 17 2005 	 wonderful trip ! 	 good girlfriend never New York . spend quite bit time agree planning . love stay hotel time travel city make point try different place . normally prefer edgy boutique hotel , Ave great alternative . I book far advance possible manage snag one Queen / Queen Suites ... room include two queen bed , large sit area ( almost unheard New York hotel ! ) , marble bathroom flat screen television . locate Upper West side - walk distance Central Park many museum . I ' m avid theatre - goer often stay around Times Square , prefer stay tourist hub - bub , great way ! subway couple block away ( be afraid form transit ) be incredibly easy get destination city . the staff incredible ! arrive early actually offer we choice room already prepare room still make . even let we see room ! choose second room , corner lot window light . happy hold bag prepared room begin trip ! , hotel comfortable elegant way stay New York ! 
 Mar 8 2005 	 nice comfortable 	 view web site , afraid hotel describe , ! not book deluxe room , standard room . anyway , correspond expect , nice design , comfortable bed bathroom . tv big ( not expect plasma screen ! ) recent . get newspaper every morning . the bad point enough pressure shower , clim little bit noisy . ( remove one star ) neighborough cool , great breakfast manhattan restaurant front corner , nice dinner greek restaurant front entrance ( sorry not remember name ) 
 Mar 3 2005 	 quite pleasant long book service 	 get back & quot ; extended & quot ; mother - daughter weekend hotel . original booking ( expedia ) pretty good value - spacious room , great bedding , marble bathroom , ample toilettrie , big window though view , comfortable chair ottoman , Godiva in - room coffee , bathrobe ( one ) .... Ritz - Carlton mean , certainly decent pay ( CAD $ 220 ) , Manhattan . nothing wrong neutral colour . MoMA . standard room ( # 807 ) spacious Manhattan hotel . besides Queen bed , chair dresser side table , room easily 2 cot , need . shoe box big big foot ! ! ! location plus , across fabulous Manhattan Diner ( great vegetarian dish breakfast choice ) , around corner Zen Palate , street 2 great market - Fairway Zabar 's ..... every conceivable type shopping within easy walk distance . many family whose teenager ( ) audition Juilliard School , block away . warm weather , hotel would pleasant hike Time Square ( 30 block ) ; good way see New York City . also convenient public transit . also step away 2 great park - Central Park less know Riverside Park . our experience sour bit weather ( nothing wirte home , enough freak New Yorkers ) close LaGuardia Airport , scramble another night 's accomodation . 's hotel see opportunity & quot ; upgrade & quot ; we ! ! pay 50 % similiar room - difference bathtub King size bed , one chair ottoman room . second room ( # 524 ) front , face Broadway , prepare traffic siren noise throughout night get room high number ( 20 - 27 ) . slow pace , within easy reach everything New York , good choice book ahead , book service . 
 Feb 25 2005 	 Eeehh 	 trash dumpster front building not block door . prevent taxi 's access help street get busy . driver even get mad ask help dumspter . refuse help lack room . read one person state drop two building away , two door probably accurate , biggie though . now room - shoe box room duvet sheet rate around & quot ; C & quot ; ' m business cleanliness issue okay wall color drabin nutshell look save money place . walk around neighborhood come across well place . two actually let we view three room see difference 
 Feb 22 2005 	 Sweet sleeping 	 luxury hotel , fine hotel moderate price . three room -- 5th , 11th , 14th floor ( price ) ; high , nice . 14th floor roomy balcony stunning view . room immaculate . the good thing bed . incredibly comfortable . room selection quality pillow vary softness . sheet duvet luxurious . the shower lot pressure hot water . central heating , room thermostat . the room quiet . we would highly recommend hotel , would certainly stay again . Broadway 77th Street -- great location , right bus subway line . 10 - minute walk Central Park . surround good place eat . I not understand many extremely negative review hotel site -- suspect someone grudge hotel submit multiple review . negative review almost keep book hotel -- ' m glad not . party include five people three room , one us complaint . one review someone supposedly time mention dumpster block entrance . think awhile figure talk . work go ( hotel 's fault ) , large dumpster , block entrance , anything extremely minor inconvenience . reviewer 's taxi drive two building futher let , go wrong way 1 - way street . 
 Jan 28 2005 	 hotel management must write good review 	 agree place need help staff curt management clueless . room plasma TV 's advertised , maybe one room . bell boy slow help busy joke around open door timely fashion . wait could go three time . room cramp ( even NYC ) . one guy write could not swing dead cat without hit wall , hysterical unfortunatley true . 
 Jan 25 2005 	 Pleasant stay ! 	 hotel good location . lobby fabolous personnle kind efficient . choose hotel Expedia bargain price : standard room . although room small , comfortbale . nice bathroom , great bath - shower ! comfortable bed . sadly , AIR / CON noisy . coat hook break room , repair well within hour . nice stay ! 
 Jan 24 2005 	 not stay ! 	 Lets keep simple : hotel suck . I stay Ave begin January . one , bad hotel experience ever have . the room descibe website phone , plasma tv tv bathroom . staff terrible , time deliberately unhelpful misleading . ' concierge ' recommend we one two place already shut down . the management could not care less customer nothing rectify situation despite give several opportunity . nightly cookie exist . nothing go right note hotel ' refurbishment ' , will tell book . I never go back hotel . stay away ! stay Doubletree Suites be medium budget Intercontinental Barclay afford extra . excellent . 
 Jan 13 2005 	 Felt like Royalty ! ! ! ! 	 stay Honeymoon last year sorry not mention amazing . say truly feel like King Queen ( like wedding day ) stay top floor balcony suite , look NY skyline , walk around come home crash comfort style ..... can not say enough . staff helpful meet Manager , though can not remember name , want say thank pair red cookie ... still get use ! ! make special stay , hit bank little , sooooooooo worth it . thank OTAve.- demattio 's 1.5.04 
 Jan 6 2005 	 okaybut price get 	 hotel good location plus , however service room good value money all . we pay £ 1600 7 night hotels.com quality room not justify amount . the carpet dirty room suppose cater 4 adult case all . the term & quot ; can not swing cat & quot ; statement compare room stay in . I would strongly recommend anyone child unless age 5 stay one double room . also inquire much would stay ave would book directly them.it £ 900.for £ 1600 stay marriot.do book hotels.com 
 Jan 2 2005 	 love hotel 	 bit nervous reading review , say love hotel . husband stay superior room one business night NYC New Year 's Eve . staff wonderful ready we . piano player lobby play holiday song . every time walk hotel , someone open dooor we . hotel sell wait moment check . staff wonderful . lobby beautiful . balcony amazing . room great bed comfortable . happy , sad leave . would highly recommend hotel . go back sure . 
 Dec 29 2004 	 go penthouse 	 stay & quot ; Avenue & quot ; two year ago . reserve penthouse room $ 250.00 . renovation do time . give wrong room number key first open door tiny , dingy room ( someone stay already . ) mistake correct happy find penthouse room modern furnishing , immaculate include beautiful , ( renovate ) black marble bathroom balcony . even take modern chaise lounge room , phone , onto balcony short time . view great , renovate hotel room really nice ! consider stay , would suggest & quot ; penthouse & quot ; room other . 
 Dec 8 2004 	 double double small ok 	 4 guy Germany stay 7 night . get read critic curious . review : ok , bathroom quite clean , bed pleasently hard bed linen really neat . hand , double double room small : two bed , one chair table place walk , i.e . people one room baggage / shopping ... convenient . nevertheless way 9 a.m till 10 p.m therefore not really care . 
 Nov 27 2004 	 good 	 hair towel neat freak take tissue wipe one corner bathroom floor gross . thank God check . ask immediate room move get one next room tolerable , course mattress feel trampoline get . sink like two foot thing . housekeeping NEEDS big overhaul . 
 Nov 10 2004 	 $ 109 yes ! $ 229 ! 	 stay last time $ 109 . bad deal . time charge $ 249.00 per night less room . probably bad deal town $ 249 . advice get good deal stay elsewhere . 
 Nov 6 2004 	 literally right avenue 	 Rooms 2nd & amp ; 3rd floor small walk - up building overlook busy , loud street pub first floor . street noise fairly constant throughout night . bed linen dirt mattress hard rock . rest room clean . staff nice enough . stay , check sheet bring ear plug . 
 Oct 29 2004 	 Avenue Hotel really recommend 	 lovely little hotel . clean although room large , well present comfortable . roof terrace lovely . staff helpful . location super , corner 77th st Broadway . subway nearby access everywhere easy , quiet night . good local shop great little diner acrosss street good food sensible price , great breakfast . also room service hotel . would recommend hotel anyone would definitely stay . 
 Oct 29 2004 	 Hottest Place Upper Westside 	 search hotel online come across Ave see faboulous picture think good true price offer . take chance book room hotel afraid outcome . surprise beautiful place stay . front desk staff pleasant helpful . housekeeping keep clean room . standard room are large usual standard size room NYC . decor stylish modern . pianist play evening take request . definitely make Ave Hotel home away home ! ! ! 
 Oct 28 2004 	 one favorite place 	 stay Ave twice .... be say something consider nice hotel choose NYC . 's great hotel great location . one review state something hotel good location . be insane ! ! hotel nice residential area Upper West Side . 's corner 77th Broadway , be safe well light area well . yeah , know ! think ? maybe stay Times Square want people around ... 's 's nice location ... 's jammed pack ton people / tourist . also reviewer give hotel one star even say one thing hotel . come ! ! bad ! ! stay penthouse Ave must say room MUCH well regular room . pay little go wrong . NYC compact city hotel room ... matter stay . like penthouse . would stay regular room anyday ! * * * * * swing dead cat ? 
 Oct 23 2004 	 clean ...... 	 stay 4 night 14 Oct 2004 18 oct 2004 , sister 50th birthday . linen towel change everyday , need somewhere lay head 7 morning late night . loved city , see Dustin Hoffman , 12 14 year old say ! ! Felt safe , travel subway mostly walk everywhere , Times Square , oh god ! ! Receptionst Maggie always smile , male asian receptionist wear crown halloween , bellboy fabulous handsome ! ! fault hotel , mysister pleased , way fab fifty horseriding central park . definately go back two year daughter 25th birthday sister daughter 30th birthday , probably stay little close Times Square . well do NEW YORK .... 
 Oct 13 2004 	 pinch 	 stay everywhere else area sell . lucky lot room , move two time . plumbing issue one view wall . room okay worth rate . main drawback hotel barely find area 's side street . next time would book early try elsewhere 
 Oct 10 2004 	 great hotel ! 	 get back visit New York . spend 4 night Avenue hotel find lovely . we bite problem first arrive book Expedia room one double bed instead two single . the receptionist hotel lovely say happen lot give we freephone number Expedia . no joy upgrade double double room receptionist even find we freshly renovate room superb ! two giant bed load pillow good cotton bed linen . a bathroom die huge shower sink plasma television screen there . watch MTV shower treat ! load room fresh coffee maker normal tv large room also armchair footstool . we book fridge small extra cost room drink machine ice maker twelth floor . there ice bucket room perfect duty free champagne buy . we opposite fire station bonus we two lady watch hunky New York fireman go ! lovely area great restaurant etc.nearby . while New York cycle round Central Park . hire bike boathouse 10am . have superb meal Boathouse restaurant . get map ot Park stay day ! many thing city mention come 's definately Avenue hotel we ! paper thin wall , bad housekeeping cd player get chocolate evening . nearly forgot mention fit young doorman ! fantastic break big apple . Love Suzie Pauline England 
 Oct 8 2004 	 good 	 doubt stay read bad review . hotel great location far room concern ............ small , wall could tad thick cleanliness issue not bad thought go , ok . perhpa use prominent property . however fit bill short stay would not recommend night . TTFN 
 Oct 6 2004 	 good experience 	 Wife come visit relative long island , want stay int city night . pleasent experience hotle , room clean help kind courteous . hotel close everything , walk everywhere , museum , great food close great shopping . hotel locate area seem safe , lot activity . area noisy night that s city , problem wall thin , hear anything 
 Oct 4 2004 	 want balcony ok room FORGET ! 	 balcony view awesome , however not sleep shower balcony . room terrible . mold shower grout , box size room , cheap furniture see sq . . beige go puke ! housekeeping ashamed decorator need glass minumum 
 Sep 29 2004 	 happy visit 	 stay four night superior room , still pretty small , would call cramp . enough room bed space walk around . bathroom decent size , also walk - in closet shelf clothes.the view good part room though , corner room two window could see museum natural history beginning central park.the 16th floor balcony nice touch . definitely sell point website disappoint . service efficient bit cold . tell receptionist planning propose trip would not mind room nice view . ( okay , one thing not anything , not hurt ask ) seem unimpressed proposing , get nice room ... not receive chocolate , robe , cd promise website - minor detail . like everyone else not spend much time room anyway , since great location away times square yet acessible subway station two block away . ( especially good location food : H & amp ; H Bagels , Zabar 's , Gray 's Papaya Big Nick 's within walking distance ) overall find hotel less lived website , ask day . would definitely like go again.she say yes , way . 
 Sep 9 2004 	 great area hotel money 	 get back six day trip wife step kid . second time Ave actually improve . plus be include nice lobby grand piano ( include pianist ) , tasteful eclectic furnishing , free Hampton 's magazine ( will pay $ 8 otherwise ) , nice bathroom , great view 9th floor high . neighborhood incredible- within 5 minute walk Central Park restaurant Columbus Amsterdam Ave 's . Upper West Side nice offer dining proximity shop entertainment , provide relaxing break relentless pace area like Times Square . the downside room bit small ( especially bathroom ) , service generally uninspired , elevator painfully slow toilet finicky . overall though , would absolutely recommend Ave . money , be excellent value ensure great visit New York one city 's nice neighborhoods- Upper West Side . 
 Sep 9 2004 	 good . great . 	 stay february 3 night . hotel fabulous , fabulous location , other note . all - access balcony huge bonus . furnishing modern some - what swanky , though cheap poor quality ( not expect high - class ) . clean . , great stay . complaint wall way thin ( fine , not spend much time room ) . could hear everything neighbor , include restroom . bleh . probably will not stay , unless book one top floor suit private balcony . peek maid clean one . 
 Sep 1 2004 	 quiet clean comfy 	 great place , great neighborhood . hotel modern manly time ( dark wood clean line ) like 's location ( upper west side neighborly ( less touristy ) part City , ) really comfy bed , hide terrace 16th floor , visit briefly . 7th floor face street still pretty quiet . far great eatery - Zabar 's , Cafe Lalo , Gray 's Papaya 2 block 1/9 metro line . not get everything be list website ( suite ) 's bit pricy worth quiet , cleanliness , comfortability . try expedia orbitz good deal . would stay ! 
 Aug 25 2004 	 really good 	 stay 2 night . lovely hotel - receptionist lose reservation ( make website ! ) not problem . turn albanian receptionist call Paddy ( sound like Paddy anyway ) manager Irish make feel right home ! room not massive clean , bathroom stainless steel shower could spend 2 week , comfortable bed . hotel lack facility ( fitness stuff etc . ) really good place quality room NYC 
 Aug 8 2004 	 great little place 	 great hotel great deal . need last minute hotel 1 night stay excellent choice . superior room one standard great size . room nicely decorate front desk staff great . able see penthouse suite ... nice ( 2 balcony , plasma tv , etc ) . stay . 
 Jul 29 2004 	 fantastic location ! 	 organise we stay husband 's 30th birthday April , decide hotel due mainly review read . upgrade superior room give we slightly large room well view , definately worth . room clean modern could maybe little TLC . lobby great find staff friendly helpful . loocation main thing appeal we , come NY hang around hotel ? good main Times Square area definately felt chill many great delis , diner , restaurant close . easy catch cab jump subway area . would definately go back NYC stay Ave . 
 Jul 27 2004 	 Fantastic Location Great Room 	 stay Penthouse room 10 night honeymoon really enjoy hotel . room clean little chocolate pillow night nice touch . king size bed comfy linen crisp clean . room nice 42 & quot ; Plasma screen basic cable , A / C ( little noisy ) , great balcony , desk , chair plenty room . bathroom nice little crowded trying get ready would nice dresser room put clothe . the doorman friendly front desk staff helpful although really deal upon check - in check out . the location great . 's 5 minute walk 72nd Street Subway station Times Square 5 minute . visit Big Nicks across street good pizza ' ve ever have . I would definitely stay visit ny . 
 Jul 14 2004 	 enjoy stay 	 wife stay Ave first three night honeymoon . lobby lovely desk staff fine , unspectacular . initially give smoking room ( ask want ) , telephone desk move quickly non - smoking room , incidentally much well shape size . room nicely do , bathroom . also good CD player . room clean well every day , use little shampoo accumulate rest trip . the area exactly look - busy , easy get thing want see . know far famous place eat close , really like Manhatten Diner across street . try similar place area nothing come close term value service . I would certainly recommend hotel be feel stylish hotel reasonable price . 
 Jul 8 2004 	 Beige ... 	 ... beige sum . 7th floor room alright ; unexciting , cobwebs mainly clean . tired feel apart lobby nice spend much time ? ! penthouse room look good want pay . liked area though , particularly 's proximity Zabar 's deli out - of - this - world . EJ 's Luncheonette , Sarabeth 's Kitchen Big Nick 's diner closeby . would not stay unless could get penthouse room good price . 
 Jul 1 2004 	 good experience .... would definitely stay 	 great location , comfy bed linen , nice bathroom ! even standard room not abnormally small NY room . although disappoint not get room window facing , interior room prove nice quiet . 16th floor public terrace offer spectacular north - face view . super luxurious ( mini - bar , relief ) , uncluttered handome furnishing . friendly staff . could not find much like . Skip Manhattan Diner across street ... many interesting neighborhood place . try Zen Palate next door tasty reasonbaly price vegetarian . 
 Jun 26 2004 	 would go back ? 	 stay June 17 5 day - read mixed review Trip Advisor , enter intrepidation ! lobby nice quite arty , staff pleasant . book room Expedia - standard room - get ! 12th floor , room small clean clean everyday , bathroom lovely - bath shower enough room swing handbag ! wonder whether room one , one robe cupboard space tiny . yes air conditioning outside room noisy ! complaint area - without subway nearby would far long day , lovely safe area nice restaurant bar around . would go back ? price could probably get something bit well -or go penthouse room instead . hope help . 
 Jun 15 2004 	 's alright ... clean economical NYC . 	 hotel alright . stay June 3 - 7 2004 . clean customer service quite good . room look like picture old version . could tell bit & quot ; used & quot ; . lobby deck quite pretty contemporary . the location fabulous . convenient subway station surround neighborhood Upper West side quite nice . walk around night feel perfectly safe . also lot surround restaurant store walk around in . well , probably price , can not really get well deal NYC ... , still quite pricey . basically , pay less $ 150US night , would worth money ... ... perhaps get well deal elsewhere . Hope review help decision - making . 
 Jun 11 2004 	 Ave ok 	 friend stay Ave week May 17 , 2004 , say find Ave uneven . friend pay amount deluxe room 5th 6th floor 189.00 make reservation , 193.00 get there . her room much nice mine . bed nice clean . towel wear . many . housekeeping would take care something every day ( 5 day ) decaf coffee one day , wash cloth next , etc ... ( leave nice tip everyday ) go upstairs 14th-16th floor nice housekeeper show quite room ( great view , much nice furniture , clean room , well amenity . ) 16th deck nice spot . as reviewer say , great neighborhood . stay 4 Manhattan Hotels , say look buget place stay place ok . desk Doormen fine . not expect lot service price range . ask Robes , leave bag gift behind leave hotel come home , call next day never find , friend 's room charge credit card even though sign separately sign separately desk person go motion use card . uneven Service bug spend money thing wonderful city world stay Ave may . 
 Jun 11 2004 	 cramp posh Upper West Side dig 	 Ave nice , clean hotel . stay 5 night late Spring time . plus : great location 77th & amp ; Broadway - quick walk Central Park , 2 block subway , ton grocery store , restaurant bagel shop nearby . super clean , newly renovate room great linen , comforter & amp ; pillow ; cool lighting ; nice stainless - steel sink plenty surface space toiletry . plenty closet space stow away clothe , luggage shopping bag . the drawback relatively minor , keep hotel rank high ( base & quot ; standard & quot ; room queen bed ) : room quite small , little carpet area walk around bed . view speak 8th floor room face window . heater / AC unit obnoxiously noisy , definitely need keep sleep . bathroom TINY claustrophobic , 6 foot 4 foot ( kidding ) plus shower stall space - almost feel like be airplane bathroom stall , knee practically touching toilet facing sink . , overall plus definitely outweigh minus , staff friendly helpful . may , spend less time hotel room would compare winter anyway , instead day see sight . give Ave try , will not disappoint . 
 Jun 10 2004 	 great value 	 stay long weekend . able check early . lobby room decor decidedly & quot ; funky & quot ; , lot fun . desk staff pleasant helpful . room good size Manhattan standard , linen crisp clean , large fluffy pillow . love marble bathroom setup frosted window shower . pianist lobby evening . great area town - lot shopping dining nearby , two block Subway . Manhattan Diner next door reasonably price great dessert . would definitely stay . 
 Jun 6 2004 	 great hotel swanky atmosphere clean comfortable room 	 return five night Ave love . hotel decor clean modern , lobby room . room relatively large Manhattan standard plenty room move around bed . even set iron board corner day not bother we . bathroom spotless , marble shower , stainless steel sink clean modern well . neighborhood also charming friendly ton shop restaurant within short walking distance , subway stop 79th Street five - minute walk away . not try room service notice price not seem overly inflate comparable area restaurant . overall great experience , price ( $ 169 / night ) would definitely stay , either business pleasure . 
 May 17 2004 	 average economical 	 judging brochure ( surely mistake ) expect largish room great view lot window . room 4 large . two double bed , tv , 2 small table leave enough open floor space luggage set iron board .. carpet badly stain , give room overall " used " feel , ambience feel sparse , little wall decoration .. positive side , bed ( comforter pillow ) comfy . highlight bathroom - faux tile , albeit nicely , modernistic , stainless steel sink , clear glass shower door slide shower head . renovation result bath enclosure along outside wall , mean window frosted glass inside shower – kind fun generally bad arrangement . could decide whether stainless sink square basin feel much like kitchen sink feel & quot ; funky & quot ; modern , , suspect , intent . lobby small especially welcoming , although concierge efficient . mention elsewhere , hotel convenient subway ; Hertz garage next door offer good parking rate ; Manhattan Diner corner impressively large menu , fair price , friendly service . feel review website generally overrate hotel . 
 Apr 25 2004 	 great place stay 	 still ! cream puff place street Broadway ALWAYS line front . would definitely stay .... would Hector Elizondo , meet lobby first day . even friendly . treat ! 
 Apr 22 2004 	 back next visit sure 	 picky hotel room , often change room get want . extremely pleased moment see room . contrary another review , room large expect . carpet new clean , could walk barefoot . two bed queen , great sharing bed two room . linen incredible ! thick , fluffy white comforter . actually let linen touch face , instead put away closet . bathroom beautiful , white marble floor , black marble shower , huge sink , plasma tv wall . negative thing noise heating vent keep go . top everything , location great . make sure make reservation , ask renovated room . floor do , other not . 
 Apr 15 2004 	 good value 	 stay hotel Wednesday Thursday night last week . arrive noon able check early . staff helpful courteous throughout visit . heater noise could major issue middle winter . Door sound proof could well . room size amenity good . location great , particularly know way around city . good value -- will stay . 
 Apr 8 2004 	 good hotel 	 wife stay one penthouse room three night March 2004 . hotel excellent location we . quiet conveniently locate many thing . excellent grill right across street breakfast . subway 3 block away Central Park 3 block away . museum natural history also 3 block away visible room . side hotel , many people mention loud heater . learn first night turn heat go dinner turn get back hotel . way , never run sleep . the room small , room NYC . modern furniture nice , lack dresser sort little frustrating . impossible unpack anything except hang thing . balcony nice view fairly good . overlook many building could see fair distance north . mention , could even see Central Park balcony . overall , think good hotel attractive price . research , penthouse room less regular room hotel . hotel lack ammentie - restaurant , bar , pool , etc . thing really preferred get else anyway . would recommend hotel people look save dollar willing hop subway get distination city . 
 Apr 7 2004 	 cool alternative ... 	 return three night break NYC say place good . lovely neighbourhood , totally away tourist trash time square hotel , feel like live city . two block subway ice room sell peanut butter chocolate , heaven ! try mexican round corner , Gabriellas get big portion ! Manhattan Diner across street . we get engage snow ! perfection . 
 Mar 26 2004 	 Loved Ave 	 hotel excellent . first stay city . staff helpful . 
 Mar 25 2004 	 definately worth look 	 hotel definately worth stay look somewhere reasonably price ! end accident vacation rental appartment flood company move we . queen - queen suite room , two huge bed ! staff overly friendly check we prob offer we luggage help . location fabulous , really quiet easy get anywhere quickly . also surround great restaurants- try niko great greek food ! good touch little extras- plaza tv bathroom , chocolate classical music return night great toiletry ! 
 Mar 23 2004 	 excellent place reasonably situate attraction etc 	 get deal NYC Expedia well worth every penny . room allocate splendid . keep clean every day need stock complimentary shampoo stuff every day . two block Central Park superb place Museum Natural History . take frequent taxi 's heart Times Square not cost we alot either . would recommend hotel anyone look reasonably price , comfortable stay hustle bustle NYC . bed extremely comfortable heating could adjust hot . fantastic experience , can not wait second trip . go four night maybe would go bit long cram everything . see sight go shop Macy 's , department store ever see one , please remember door came get lose . pleasant experience . 
 Mar 18 2004 	 value 	 hotel clean comfortable room quite large although was'nt view window talk ! . transportation good , bus subway hand . downside ' curt ' personel front desk give impression everything much trouble bother , however porter professional could'nt helpful.the hotel bar lounge downside 
 Mar 15 2004 	 last minute deal 	 last minute deal reading review Howard Johnson 34 . good room , big room I ve hotel ( 5th floor ) . nobody help take luggage room , point lift . bed excellent view decent . noise next door problem , guest getting late wake early . back room , nice decor , nice view , cable television . desk staff grumpy hard understand . compare Howard Johnsons hotel rat , * * * * * * bellboy 
 Mar 15 2004 	 Great Place stay Upper West Side 	 return five night Ave , great experience . ' m bit baffle review complain thing like noisy heat rudeness desk staff . not experience . heat not noisy ! not know reviewer live live total silence , yes , heat make sound come . however , 's loud heat house make come . base review , expect freight train , be big deal all . as staff hotel , find nice helpful . sure , one two rather abrupt , expect ? certainly not rude surly . our room clean comfortable , must agree number reviewer bed great ! Upper West Side , opinion , good place stay NYC . 's neighborhood give relief touristy Midtown . lot restaurant market local go , Manhattan Diner ( across 77th Ave - great place breakfast ) , Zabar 's , West Side Market . by way , be drive , park car Hertz garage corner 77th Amsterdam will get discount hotel validate ticket - $ 25 per day . 
 Mar 12 2004 	 great location shame staff 	 see review site prepare small room ( get ) & amp ; noisy heater ( also get ) fine bed really fluffy white cloud dream shower die . room clean modern , look bit bash well use . location first time visit great . really feel like residential area , explore quite bit find great local bagel shop Amsterdam Ave bar call Citrus Cosmopolitan 's ' Sex City ' . Shark Bar great place Soul food OUEST live hype 5 * restaurant . side desk staff Ave . rude , unhelpfull , surly bad first & amp ; last impression New Yorkers . never speak quite badly hotel staff - put bell boy behind desk far nice helpfull . front desk staff stand cold like bell boy may learn nicer ! 
 Mar 8 2004 	 great $ 109 	 simply put great hotel pay $ 109 rate , maybe $ 139 , 's . time year room go , beware ! . location sweet , right heart beautiful upper west side . service ok , feel bit attitude , call ahead parking information day check , sevice smile use hotel . room small draw space next zero . water pressure weak bath tub . need cheap room 's clean , will not spend much time , place assume right rate ... pay high $ 109 , might place 
 Mar 6 2004 	 great place stay NYC 	 Great Hotel . staff friendly we , room clean nicely decorate . hotel 2 block away subway station . even hotel offer breakfast grab egg toast lot little restaurant close - by . location hotel great , would move neighborhood without second thought . there be 2 con . room wall pretty thin , thin could hear next door neighbor talk . also hotel & quot ; deal & quot ; local parking lot deal still cost yout 35 $ 24h . 
 Mar 1 2004 	 Pleased 	 stayed & quot ; Ave Hotel & quot ; last year March please room . hard person please come hotel stay especially bathroom . Ave Hotel stainless steel bath marble , bed crisp , neat clean . decor contemporary neighborhood would want live live ny . plan another trip ny room book - maybe get penthouse . 
 Feb 28 2004 	 lovely 	 far favorite NYC hotel . stay ever ' m town . see rate go bit since last stay still find low rate travelocity . 's really chick cute - 2 block subway . great neighborhood - can not say enough . LOVE upper west side . also important thing NYC - clean bathroom . first stay unsure get $ 99 rate . surprised continute go . 
 Feb 17 2004 	 perfect gem . 	 arrive cold New York first time fairly late around 10 pm . automatically bell staff open cab door welcome we hotel . grab bag nicely point continue . front desk superb ! ! ! room & quot ; cozy & quot ; . view brick wall , not bother we really care ? ! comforter soft , decor clean simple . feel safe . review concur say A / c heat vent LOUD . Everytime enter exit hotel always greet well . one night really want great steak house eat bell staff front desk go way take time help find perfect one . overall staff excellent make first stay New York impeccable . LOVE LOVE AVE ! ! ! ! 
