great 	 check check fab time Ny Ny - location central hotel ' ve stay new book . great room ( newly refurbish ) relatively low floor view unimportant casino bar great fun . lovely little coffee shop use bagel coffee breakfast round past starbuck piano bar . place buzz 24hour know not sleep 4 day visit . 
 great casino great people - not stay hotel 	 arrive Thanksgiving day San Diego , need family getaway ( say get away family : - ) book priceline put $ 90 four star well hotel , not lot choice hotel , price come back NY NY . read previous review online , want come open mind , prepare bad hope well ! arrive hotel , front desk extremely nice . not long line relatively painless . read previous review room , opt upgrade nice room $ 10 per night say remodel . enter room , like , way 4star hotel thank goodness upgrade . however , room noisy , every thirty second think hear roller coaster . imagine hear coaster Space Mountain pull , exact sound . call front desk ask time roller coaster stop run tell 11 pm . fine not plan room day , want make sure would able sleep . however , phone , bag arrive bellman informed roller coaster hearing , elevator shaft . ask move . accomodate . room ( moment write ) . room quieter , still hear elevator shaft . speak people work hotel , tell would not stay one room either & quot ; think design hotel room & quot ; . aestetecs ( sp ? ) , attempt remodel well state , update room . four star hotel Las Vegas strip - miss boat . new hotel go , getting completely revamp , afraid NY NY room look feel old Statue Liberty . popcorn ceiling , parquet panel armoire ( really , would think ? ) hideous bedspread look worn . sorry long write - up room , want let know expect stay . live forementione , good shape . the staff friendly throughout hotel , casino restaurant . absolutely would recommend gambling hear want play crap blackjack . table limit morning $ 5 11 am move $ 10 , depend busy . compare many 4 star hotel , great want play low limit . hotel minimum experience $ 15 friendly . huge shout Calvin Craps table , never miss bet chat everyone up . the nightclub ok , line . think indication economy location . club Encore hot spot Vegas time . NY NY hotel end strip , Excalibur , ideal location I . and , can not forget , LOVE LOVE love duel Piano Bar . go three night always fun ! always meet fun people really enjoy variety music . btw- ' m huge roller coaster fan , get talk go . sooooo much fun . however , everyone line agree not worth $ 14 per person . travel family , add quickly . in summary , recommend come NyNy little gambling duel Piano bar . , many GREAT deal strip , stay another hotel want peaceful night sleep . 
 great place stay . 	 nice location strip , many nearby attraction . hotel clean , nicely decorate , many thing . 
 great location okay price in - room coffee maker 	 stay NYNY , Las Vegas Halloween 3 night follow . excited 25th floor view diappoint . room clean modern , however bed uncomfortable . the air condite heat quick adjust comfort level bad part room probabaly reason stay return Vegas room coffee maker . call request one tell available . ( course could purchase pot coffee room service $ 9 plus $ 3 service fee ) . pool hot tub area clean entire casino . lot amenity site italian restaurant hotel excellent ! ! 
 Jan 2 2009 	 love NYNY 	 6th trip Las Vegas 4th stay NYNY . point reference also stay Mirage Aladdin ( Planet Holleywood ) . New York New York still remain favorite . sidenote , free hotel room offer we Hooters Casino . two day prior trip decide chance new hotel directly strip pay stay NYNY . great choice ! check room would Hooters ( ok would want trip Vegas ) .check easy . offer Players Club give we great rate Park Avenue Deluxe room . ask room good strip view get . corner hotel view strip , airport , mountain distance . love . room remember , comfortable , fairly contemporary , clean . 's need Vegas . we play mostly NYNY really like vibe . everything seem lay back . drink compe everytime sit table machine . service fast . ( tipper - so might account fast attentive service - we usually tip dollar drink ) mention bad experience Mirage - we find Mirage impressive style . can not describe sit 10 dollar table play 25 cent machine . high roller treat . hand always feel comfortable take care nyny.we eat ESPN Zone , Americana , Gonzales Gonzales . meal good . husband big sport bettor ESPN Zone work GREAT watch game . food good , great , sport bar expect . americana great choice breakfast . food good service excellent . Gonzales Gonzales really good margaritas GREAT . favorite new touch hotel circular bar middle casino . bartender great always seat available video poker . I think casino / hotel great want lay back , fun , young environment . want wow factor , casino . parent travel Vegas month , book Wynn ( that s style ) . we , NYNY perfect relax fun trip . 
 Jan 2 2009 	 really nice hotel . would definitely stay . 	 stay upgrade room quite large . complaint bed cover old fashioned bedspread probably use . , room clean , mattress , comfortable . bathroom modern large . problem guest might room overlook rollercoaster . noise rollercoaster problem scream rider could hear . rollercoaster stop run 12:00 p.m. light sleeper , might problem . we . 
 Dec 30 2008 	 okay 	 first stay hotel ( usually room MGM , Mirage Venetian ) , receive 3 - night stay NYNY Christmas holiday . room Park Avenue Deluxe corner hotel wrap around window . nice touch , room small compare hotel Strip , feel crowd even couple bag . linen fade wear , room get old need reno . hotel staff friendly , restaurant food would expect ( unenjoyable really ) over - price . nightlife always fun NYNY , trip couple bar / pub close 2009 . definitely good enough hotel get sleep since good location easy catch taxi , would recommend look hotel call home trip . would not stay gaming , eat entertainment . also - pool look incredibly small . would want stay pool open Vegas . would disappoint . enjoy waste well part afternoon pool , stay MGM , Venetian , Casears , etc . 
 Dec 28 2008 	 Decent much well option . rude staff uncomfortable astmosphere . 	 stay couple night New York , New York recieve promotion member playersclub . usually stay MGM property , figure would give New York , New York shoot casino hotel funky young feel . however , clear warning go along hotel sour experience ; first ; check - in / out . front desk hotel woefully under - staff inefficient . long line check . hotel check - in also visible casino seem experience different people ( even odd time day ! ) . glare example large line 7 am one morning . staff : quite shocked rudeness staff hotel casino . maybe take New York theme bit far ? reason overtly rude people . example completely ignore drink service ( one time actually ask drink dismiss waitress will get around ' - never come back several hour .. example people get chew front desk playersclub legit error ( observe wait obscenely long line ) . food : several food option Hotel , incredibly over - price ( even 20 % coupon dish ! ) . none appetizing . avoid ESPN Zone , completely smoke mirror place - one bad restaurant ever displeasure eat . frozen burger , really ? that s lazy , cheap stupid ( esp $ 15 ! ) .room : Decent well decorate room , terribly clean .. mold rampant bathroom . look cheap build , grout fall , mouldy silicon interface tub . sink counter - top instal properly . request new room first night put we directly beside elevator shaft - not bother accept room help , will not sleep . not really question we hard ask new room , other line ask reason . guess desk staff use it . value : well , unless give room extremely cheap free would suggest stay elsewhere . not vacation feel uncomfortable . Monte Carlo much well option usually comparable price .. although old subdued crowd . 
 Dec 27 2008 	 Loved New York New York 	 Daughter want see Las Vegas 21st birthday , alot research choose New York , New York . glad make right decision . get hotel airport easy - five minute taxi ride . arrive 10:30 Pacific Time little concerned able check hour , soon get cab bellman come , tag luggage , hold we room ready could call bring . check hour , not anyone registration desk check right away . ask roll way bed three people room queen size bed not go big enough three people . since book plane hotel reservation US Airways , charge rollaway registration clerk order we . wait room ready grab quick bite eat American Restaurant , check room rollaway already arrive . place call luggage take 5 minute arrive room . staff friendly accommodate . ambience hotel overwhelming . American Restaurant not great eat . twice Chin , Chin Cafe , like chinese food price reasonable . also eat breakfast . night daughter 's birthday splurge Gallagher 's . although food excellent , pricey . village eatery , array eatery ( Starbucks , Ben & amp ; Jerry 's , fish place , dessert eatery , Nathan 's hotdog ) picturesque table set throughout make appear eat outdoor cafe . could not hear noise casino , good place escape noise , smoke music want . roller coaster ok , good ride ever , bumpy . shoulder harness replace head / chest harness like roller coaster headrest cushion . shoulder 's neck hurt three day ride ride . would not ride . alot archade game kid second kid 21 - something keep busy . hotel across street MGM Grand catch monorail . hotel conveniently locate . 
 Dec 24 2008 	 incredible Views Excellent Service 	 check breeze . get 7 night , wait like 3 minute line . even though rate book & quot ; Room Upgrades 2009 Free & quot ; program , try $ 20 trick make sure get well room . person check we decline tip , give we upgrade . boy upgrade ! yeah , next room size , 400 sq foot total , view incredible - corner room , 20th floor , view strip airport - sunrise , care get early ( stay late ! ) . bed comfortable temperpedic home . yeah , tip multiple time baggage service - person take bag car , person bring room . hey , be Vegas . everyone talk knowledgeable . accidentally keep & quot ; Disturb & quot ; sign room one night , message phone get back late offering get we fresh towel , also excellent . casino big other Vegas hotel , easy navigate . never get lose , easy find restaurant within . and rate less Motel 6 road . excellent deal book ! 
 Dec 23 2008 	 Loved ... would recommend anyone 40 .... 	 great stay . ny NY something everyone . good food , great bar helpful staff ... would definately recommend Bar Times Square - drink expensive worth every penny atmosphere ... 
 Dec 23 2008 	 still like love old design 	 construction finally do hotel . first impression -- -big disappointment . love old hotel remind part NYC lobby . ' neon weird spacing . ' like forgot theme New York City . ' also impress new Central bar . look like something new modern stark . New York City . basically hotel lose personality try match new Vegas hotel . plus side , " 24 " bar next Coyote Ugly rock super friendly bartender Gallagher ' still cook mean steak . also suggest go Il Fornaio lobby quick casual bite … sandwich , salad , pasta … I ' think ' ever anything bad . simply fantastic food ' know pass . club -- -The nightclub ROK also finally open . , woman lol , get free free champagne night . let help -- -buy drink . cheap champagne = nasty ! club , small side , fun service fast . bathroom unisex ready walk . crowd lean toward fun , drunk ready party vs. poser ' ala Pure nightclub like . hotel room — I ' stay enough know stay Broadway room . old much big new room . ' still clean decent age ' show badly . hate pay internet whatever . would stay ? sure , fun 30 - ish people stay , lol . be go take second forgive go neon tacky . 
 Dec 17 2008 	 NYNY leave something desire 	 arrive hotel , player club inform we long play , would comp food drink . husband bring could afford budget wise due economy play blackjack entire time . last day , husband go player club inform would compe anything . turn , start comp spend $ 1000 gambling . spend time hotel card applicable , make sure eat well - reason ! deal money not need comp , get reimburse . disappointing see business run like . dealer hotel rude rarely smile despite we try get joke we . one actually make feel downright uncomfortable left table . gaming area incredibly small compare hotel . good thing say room nice , though friend ' run . Gallegher 's good restuarant bartender Bar Times Square excellent . say , go back hotel . 
 Dec 14 2008 	 great stay 	 get great deal book hotel 's website . upgrade Park Ave Deluxe room 2 free drink voucher , 2 - for-1 rollercoaster ride offer . room two queen bed comfortable . bathroom small fridge ice maker hidden sink . shower 's water pressure well ! room bathroom clean . service magnificent . pool area not big enough . not able use drink voucher poolside bar , even though tell able . go rollercoaster late night . great experience . food / restaurant great . overall , great stay . 
 Dec 13 2008 	 Cool hotel 	 good buzz hotel , love walkway connect MGM Excalibur , make explore easy ! stayed one player suit , huge room , view carpark , do not spend much time look window ! hotel slightly old , would not put place . food court great , pizza slice die ! good thing hotel however duel piano bar time square . one highlight stay , can not express much fun ! guy talente great entertainer ! prepare bring cash want get song play ! ! do not let $ 15 charge sit put u - stand free , make dance easy ! ! 
 Dec 12 2008 	 great time ! 	 stay Nov 30 Dec 3rd love every minute . arrive quite early morning , around 10 am , room ready prepare we . room clean , quiet nice view Rollercoaster , kind fun . bathroom pretty big shower great bed super comfortable . we get good deal room love location , could catch bus side pedestrian bridge MGM . casino / gambling not top notch many casino gamble , suffice . look play poker , walk across street MGM play poker room , be nice switch Casino Casino anyway . check easy , & quot ; food court & quot ; area downstairs plenty offer hour day overall experience great . would definitely recommend be look good place stay Vegas close everything need . 
 Dec 11 2008 	 try another hotel next time 	 location : excellent . south end strip close casino / activity want see / do . main shopping area mid - strip though , would stay intention shop ( 30 - 40 minute walk shopping area though ) . take tram . room : stay Park Avenue Deluxe . nicely decorate , quite clean . request non - smoking room king bed receive non - smoking room two queen bed fine . main complaint noise . book hotel fear would get room close coaster . bad other describe , depend room high . could hear coaster tv , stop run midnight , huge deal , something aware constant rumbling . wall paper thin could hear every conversation go next door even talk normally . drive crazy since wee hour morning talk . also find mattress pillow extremely uncomfortable . overall : noise coaster / hotel neighbor , extremely uncomfortable bed , would stay . pay $ 100 US night though pretty good experience base pay . pay though would thought worth . like location ( elevator room fast ) try MGM Grand next time . 
 Dec 9 2008 	 okay guess 	 stay hotel Dec 4 - 7 2008 . get , right away smell smokiness inside .. blah . check not problem . room okay bathroom small . 1st check hotel .... mainly go Las Vegas Strip . busy since Rodeo event plus De la Hoya - Pacquiao fight MGM Grand ( next door NY NY Hotel ) . wall & quot ; paper thin & quot ; hear neighbor . plus also people loud hallway wake we 3 am morning , hey be Vegas ! overall may go back NY NY price ... prefer find well hotel . 
 Dec 8 2008 	 NY NY - take Leave 	 husband stay NY NY November 26th thru Novemebr 29th . check - in breeze .... plane land we bit 11:00am hotel 12:00 . room ready we ... standard / king . ask strip view wanted charge $ 15 per day . tell clerk mountain fine look ... go LV view , anyways . room nice ... nothing special . bed comfortable room clean . problem , happy medium temperature ... either cold hot . one morning , could hear neighbor clearly , think room , leave go onto strip , bothersome ... advise , wall thin . bit disappointed casino . table game great ... friendly dealer , good minimum , etc . however , enjoy play slot well slot special . fun game ... like Elvis , Wheel Fortune , Top Dollar , etc . seem nothing WOW . casino , however , table game well slot , go elsewhere majority time ... Monte Carlo $ 5 table limit well slot . as little restaurant NY NY , nothing write home . pizza shop disgust ... bottom supreme slice greasy pizza actually soggy . leave bad taste mouth say least . Nathans much well quick bite eat . eat pretzel shop upstairs snack unless taste cardboard . disappoint Thanksgiving ... buffet good special NY NY . walk MC eat CAFE great turkey dinner . cash point free dinner . food yummy ! ! ! ! stay , check - out simple . request later check - out grant noon check - out instead 11:00am . , NY NY okay ... stay well , stay bad . think NY NY lose pizazz begin opening ... go downhill . hope pick back use enjoy ! 
 Dec 3 2008 	 New York New York 1st anniversary Vegas 	 skeptical stay hotel review random . must say nice experience . nothing extra special extra horrible . room Park Ave Deluxe room say upgrade we well view . must say room lot small use make due . really nice view MGM roller coaster . staff rather pleasant love pizza shop hotel . roller coaster ride AWESOME ! native New Yorker think cute rendition city . Vegas wonderful hotel cool nothing write home . room clean bed hard room service rather quick . 
 Dec 2 2008 	 Sept trip Las Vegas 	 stay middle Sept two night New York New York . unfortunately lobby construction create high noise factor detract gambling experience . staff polite misunderstanding on - line booking grant Strip View Room . roller coaster disturb sleep . also spend one night Treasure Island . bed wonderful . great View . Ana New York check we . read bad review attitude courteous we . great experience Treasure Island . enjoy casino . TI breakfast buffet delicious . 
 Dec 2 2008 	 Decent good . 	 stay NYNY Nov 24 - 26 . book flght hotel NWA.com , pay $ 305 flight hotel , get great deal . previous trip always like go NYNY want stay . unfortunately change coolest part place . casino use theme Central Park , tree green park - like structure play table . tree go structure replace top weird neon light . upon check ask room away roller coaster , front desk person say problem . put room 2101 , Park Avenue room . get 21st floor room happen far end hallway , long walk elevator . room nothing special , little small side . appear decor recently redone , tv still old tube style . bathroom tiny . last time go Vegas stay Planet Hollywood bathroom almost 3 time size NYNY 's . towel seem quite old , lose softness . seem like towel would get Holiday Inn Express . shower also combo tub , prefer seperate that s big deal , good water pressure . bed decently comfortable , little firm , guess personal preference . course look window , overlook pool , & quot ; drop & quot ; roller coaster . noise not bad could hear , especially people scream . get room , go casino . Vegas 's tourism way , limit lowest see NYNY , almost anytime could get $ 5 blackjack table . grant usually auto - shuffler . sport / racebook suck . small individual monitor race bettor . espnzone next , seem way around give drink bettor , since ESPN 's dinning room , look like sportbook . go Bellagio watch Saints - Packers MNF game put $ 50 Saints . give free drink ( Jameson / Cokes , Vodka / Redbulls . ) entire length game , without server even care put bet not . I eat two place NYNY , one great . one good reason visit NYNY pizza place . great pizza expensive . able get regular slice peppironi beer $ 8 . place eat espnzone . good quite expensive . ask cheeseburger get sort mayo . place usually go mayo , aside burger not good . sad since night able get great burger Kahunaville , NYNY 's sister hotel Treasure Island . go hot tub tuesday morning , mostly soak foot day night walk around , planning go back later , close 4 pm . find odd , would figure pool Vegas would open almost 24 hour , well least hot tub , whatever , maybe way get upgrade suite . overall impressed NYNY . think way would stay go fight MGM , right across street . would stay farther north strip . 
 Dec 1 2008 	 low end hotel 	 hotel 3 4 week . stay 3 other could see whole strip experience different thing week . we arrive early , long walk hotel parkade able check early . upon check desk staff push spend extra 20 night big room , definitely worth . room almost big , worth money . whole floor smell bad , not appear even dust . bed good enough sleep , shower quite tiny , not look vent shower , really disgusting pack mean literally packed dust . shower not drain well , neither sink . food horribly price , not good . end walk Luxor Excalibur , own company . 2 hotel amazing , Excalibur great food court , Luxor . shop well 2 hotel , reason pushy time share people , seem even bad new york new york . 's good location would never stay , would stay Excalibur 's much . location ok , walk across MGM grand catch monorail , great value way . strip way 's much easy feel safe . get walk Bellagio watch fountain , begin half hour walk back new york new york , really not look far ! gamble waste time , 3 we lose 60 buck 15 minute , PENNY MACHINES . much fun Luxor , even Caesars palace . , hotel worth money . old , dirty , plain boring . lot hotel , not much shopping Excalibur Luxor . thing recommend stay , walk across MGM look lion , amazing . 
 Nov 30 2008 	 New York New York - Nice ` ` Vibe '' 	 wife recently return four - night stay New York New York Hotel celebrate birthday . stay November 17th November 21st although tenth trip Vegas , first stay NYNY . worst well , hotel ' ve stay - Circus Circus , Bally 's , Planet Hollywood , Treasure Island , Mirage , Venetian . among hotel , would place NYNY Bally 's Planet Hollywood . look NYNY quite impressive , find over - all vibe somewhat lacking . later . hotel design mixture 1920 's art deco modern New York style , combination work . valet area taxi drop we look like grand entrance 1920 's hotel . front desk locate short walk valet entrance front desk personnel , well valet , friendly . book 5th Avenue Deluxe package give we free upgrade standard Skyline room Park Avenue Deluxe room believe , room look nice website . hotel room divide among four tower - Century tower , Empire tower , Chrysler tower , New Yorker tower stay . tower 's bank elevator ten elevator bank serve certain floor . result short wait elevator go , come . hall room look apartment building . small last two digit room number , elevator . room 1408 pretty far . room , although kind small , nice cozy . feel like apartment hotel room . room king - size bed , two cushion chair , ottoman , marble table , two bedside table lamp , ihome radio iPod dock ( radio will not work iPhone ) , write desk chair large mirror lamp , additional lamp corner , large armoire closet space side hold iron ironing board three large drawer . armoire also hold 32 & quot ; T.V. , be flat screen like many hotel upgrade . bathroom marble shower / tub combo slide glass frosted door . bathroom not big , water pressure leave something desire , nice . room foyer like not . free safe wall foyer . punch four - digit code use much want . safe will not fit anything big , work small valuable . room wall window south side face Flamingo Ave , east side face Las Vegas Blvd . armoire front east windows though , okay still nice view lot sunlight morning lot neon light night . also direct view roller coaster couple hundred yard away , noise level barely whisper . nice room , encounter problem . comforter bed questionable stain hair underside . call housekeeping change comforter , change sheet well . housekeeper tell we change sheet guest , comforter , new guest request . also burn - out light armoire , iron not work . problem , along comforter situation , handle quickly professionally . comfort bed okay , bad - great . feel like regular bed , nothing like bed TI good bed ever sleep . package , along free upgrade , also include two free drink redeemable nine Fine Irishmen pub , Pour 24 , 24 - hour bar mezzanine level , 2 1 ticket roller coaster , discount spa treatment , 2 1 breakfast patio italian restaurant Il Fornaio . coupon entree . side beverage . order french toast delicious . great coffee , egg , bacon well . definitely worth try . although not swim , visit pool open early December . pool small shadow noise roller coaster . relax without much sun . say early NYNY lack & quot ; vibe & quot ; , mean 's much keep . 's nice walk recreation neighborhood , ' ve take Central Park replace casino bar , write , still construction . shop virtually non - existent consist souvenir shop , watch shop one & quot ; upscale & quot ; clothing store look like another souvenir shop , find equal well food choice hotel . buffet although Asian theme Chin Chin daily breakfast buffet . bar like nine Fine Irishmen duel piano bar live music , buy two drink afternoon , night become another pretentious spot doorman cover . Coney Island arcade cool , be kid video game cheap prize ticket not thing will not care . casino well organize , sport book tiny . also time - share rental property seller practically entrance - inside hotel . ' ve see hotel , inside hotel jump come go annoying . one thing say though , time weather amazing ( sunny warm every day - cool night ) crowd incredibly thin hardly kid around . line club short chance get good . fact , practically beg people come . check - out quick , fact , check t.v . drop key key deposit elevator , not incur room charge . check - out normally 11:00 a.m. , need extra hour call front desk request 12 noon check - out extra charge . like say early , NYNY nice hotel try , right price , aside fact wife not like visit hotel many time anyway , can not really see return NYNY exciting hotel choice . way , look entertainment food choice , can not go wrong - burger N Burger way go . good burger ever taste visit every time visit Vegas . far less expensive over - rate fatburger many , many time well . also , may believe although Circus Circus hardly one good hotel Vegas , absolute good steakhouse . steakhouse Circus Circus vote well many time eat see . good atmosphere , good service , good food . many steakhouse la carte mean purchase entree , salad , potato , vegetable separately , get , include bread , purchase steak . can not begin describe delicious every morsel food , love steak try Steakhouse Circus Circus . also fan magic would well check Steve Wyrick show Planet Hollywood . ' ve see Lance Burton four time ' ve love time . lance endear , engaging , fun personality fast pace show perfectly suit classic magic illusion . ' ve also see David Copperfield , amazing trick , find show slow , dull , personality feel phoning . Steve Wyrick mixture two . combine Lance 's personality David Copperfield 's amazing illusion . Steve 's trick , though , feel well . theater intimate every seat good seat even though show hardly fill capacity , act play full house . simply put , amazing . check . hope enjoy review , try thorough possible , review use guideline never really know experience . enjoy ! 
 Nov 29 2008 	 New York New York city never sleep ! 	 boyfriend decide get away Thanksgiving holiday . really enjoy 3 night stay . upgrade Broadway room $ 20 extra per night . room NY Tower 6 gigantic window line whole side room . wonderful view ! plenty option want grab quick bite - NY Pretzel , Nathans , Pizza ( yummy , stick thin crust ) , 2 Starbucks ( one open 24 hrs ) , mexican irish fare , much . eat dinner famous Gallaghers ( since 1927 NYC ) . delicious ! would not even think casino . miss Times Square Bar duel piano ... ' ve place like ( Pat O'briens ) not hold candle excitement . true professional ! would definitely stay ! 
 Nov 28 2008 	 good service room middle road 	 stay 10/23 10/24 . Park Avenue RoomService good , valet staff front desk staff other encounter . likes- room clean- iPod dock clock radio- comfortable bedlike less : - room near elevator , large resort . however , design hotel felt like keep walk around corner eventually find room . bit disorienting- 18 floor view right side window another part hotel . much see- Bathroom - little bit date worn , still clean- hotel buffet , one restaurant - food good small selection price Vegas strip standardswould stay price right . find since like strip , end walk lot go back hotel room rest ... 
 Nov 28 2008 	 ' ve stay many Times Recent Visit probably last 	 stay New York New York many time past year , ' ve always enjoy . last stay recent one year ago , thing definitely change hotel . November 23rd 25th , 2008 . disappoint discover midst redecorate retheming casino . go many artificial tree make seem like one Central Park . even rip stream bridge , be cover floor carpet ! instead many graceful tree , add garish , modernisitic sculpture gaming table throughout casino . strip light top change color . look tacky non - descript , ugly . talk one game operator , say try go modern , sleek , hi - tech look casino . also build circular bar center casino feature many , many flat screen tv blare rock music add sleek , hip , modern feel . bar call & quot ; Rok Vegas . & quot ; previous bar , believe , call & quot ; Big Apple . & quot ; room still decorate . mine good condition . 30th great view Strip ( request make online reservation month ago ) . always enjoy eat restaurant call & quot ; nine Fine Irishmen & quot ; . food always delicious . price bite high side , be worth . eat couple day ago , live entertainment downstair play irish - type music singing . fun ! buffet New York New York , recommend go Planet Hollywood Hotel 's buffet call & quot ; Spice Market Buffet & quot ; . $ 30 dinner , get food around world ! mexican , italian , Mid - Eastern , chinese , japanese , american , dessert section . food incredible ! high - end delicious . I really disappoint New York New York 's casino process totally re - design rethemed look & quot ; modern & quot ; . think Central Park theme really unique make one - of - a - kind . look ugly plain . lose charm , opinion . not think stay due drastic theme change casino . also , get charge twice in - room internet access . catch billing error upon checkout . fix immediately . still fun place stay ( ride roller - coaster ! ) , casino undergo major change think really detract overall experience . like say , probably begin stay elsewhere visit Las Vegas . 
 Nov 27 2008 	 HOPE see everything NEX TIME 	 could not pick well place stay Vegas ; much see enjoy New York New York ... window watch sunrise montain crash partying night . sure every room great view . zumanity Show awesome ! ! little thing share perhaps 's good , fact restrict floor 36th . floor ; floor access anyone Vegas , surprise . sure great security , mean time , know could happen drunk person try make hotel room ... may ' m use away L.A. huh ? anyways , great place look forward stay next time visit Vegas .... 
 Nov 26 2008 	 Good Hotel Good Location 	 nice hotel . part group celebrate 40th birthday party 10 couple attend stay hotel . overall hotel clean , need nit pick do not spend much time room anyways . staff friendly , out - go , friendly option dining entertainment fulfilling . duel pianos fun , ESPN Sportszone always happen college NFL game go . gaming area would say , could use pick ( Blah ) . much excitement , exception sport book location next Zone . Club Rok , none we ever make , hear nice place see / be late hour . however enjoy nice meal @ galagher enjoy sit outside patio @ nine Fine Irishmen Pub / Snug . would not even know outside patio . previously see Zumanity , cool sassy show . the location hotel 15 - 30 minute casino attraction . make point stop @ Harrahs Carnival court O'Sheas . offer different level entertainment , O'Sheas bar / casino Carnvial Court outdoor area shop / bar / stage / band etc . in closing , New York - New York nice , elaborate ( Venitian ) , adequate fun stay Las Vegas would definitely stay . 
 Nov 23 2008 	 always something going 	 stay two night 11/20 - 11/21 great time .... wife play alot build lot table comp quickly ... make sure use leave .... expire leave . eat Gallaghers Steak House liked try ESPN Zone lunch so - so , wait food come long wing raw .... pay comp not get mad . location great see rest strip .... good couple night 
 Nov 20 2008 	 Great Value money 	 NYNY good value money , sum . read : actually book price $ 130 night , bur day suppose check - in , go online see price show $ 100 . call ask would honor new price , great . we check Satday afternoon , minus see 15 check - in counter , 5 open ridiculous . wait 20 minute , be ok . the room neat , contemporary spacious . get Park Avenue Strip View awesome . linen clean comfortable , nothing complain room . only minus feel internet access room . day age , would kind expect free . 's place hotel take printout free , atleast take printout ticket etc . other , great stay , good value money ! ! ! 
 Nov 17 2008 	 frustration 	 husband spend four night New York New York celebrate 20th anniversary , honesty would probably return . six week prior visit phone request king bed room long walk elevator . explain due health reason sometimes make difficult walk long distance . check 10 pm , finally get room 10:30 . could away ! phone immediately tell would move we morning . upon receive new room , notice exact suite number , ten floor high ! , explain . third time . solution ? could take elevator far end casino , would not far walk room . Hmmm . make sense . ( ! ? ) room issue , restaurant good . room ok . light bathroom pathetic . casino fairly quiet , fine we . hindsight , would prefer strip central . take cab everywhere ( walk issue ) impress gentleman work cab desk outside ... lot good tip suggestion . one last annoyance time share people work hotel . steer clear ! 
 Nov 17 2008 	 good point bad point 	 stay NY NY part honeymoon late October 2008 . Vegas pick NY NY know central strip walk numerous option dining etc . plus want see Zumanity , figure good place stay . positive - central strip . theatre Zumanity interesting quite funny Cirque Du Soleil show . room big , clean comfortable . bed huge need day walk strip . the negative - hotel staff really disintereste serve we . alot little food place downstairs never seem open staff fairly rude . famous bar duel piano somehte really want , $ 10us cover charge , sit bar - think would make enough drink etc would not need charge . check explicitly tell front desk person check go back room get bag . go back upstairs keycard would not work tell would call security . another couple & quot ; ? & quot ; phone call finally let back room ubrupt rude security person feel like troubled even though mistake . also cause we miss shuttle bus airport . overall , hotel good spot good point . staff big let really spoilt experience . 
 Nov 16 2008 	 good value 	 stay 2 night get & quot ; Las Vegas experience & quot ; . Hated Las Vegas glad go see . hotel comfortable . good sized room bathroom ( although well elsewhere money ) clean . fridge room - presumably want buy drink downstairs ! ! iron iron board room . upgrade Park Avenue deluxe room view strip airport . hotel one end strip long way end want see Freemont area . we eat dinner breakfast hotel restaurant . food fine busy second night ( Monday ) difficulty get table . several fast food outlet want sort thing . valet parking efficient . overall good option not want go top price stay Bellagio . 
 Nov 12 2008 	 not waste money 	 ' r recommend hotel .. many nice hotel price . arrive tell prior arrive check vip , attempe check tell sorry vip close .. basically go wait everyone else .... ok problem . not room book available . finally got settle went play table , asian dealer ask son ID provide throw back land carpet .... totally rude not gamble hotel 7 day thi . good luck trying find chair pool u not get 8:00 .. massive hotel one tiny pool roller coaster zipping around head . call management express concern regard stay consider not cheap holiday . speak director hotel basically tell would address concern staff ... offer come back try get act together .... think might get comp dinner show take sour taste mouth , nothing . understand thing go wrong ... save one holiday year 's cheap u except well ... special Vegas . so turn would never recommend hotel anyone . cheer , 
 Nov 12 2008 	 Short Stay NYNY 	 since not gamble , really Las Vegas person . however , wife attend brief sorority reunion New York New York Las Vegas , basically demand come along . New York New York seem fairly typical huge Strip hotel - thousand room , numerous restaurant shop , casino . Las Vegas appear hurt financially right ( fall 08 ) . upgrade 2nd tier room basic price give free 2 - for-1 coupon . several local say business way last 6 month , hotel may hurt business room fill . the room nice enough , comfortable bed . chintzy touch - shower door not work properly television receive surprisingly channel , major problem . stay NYNY probably similar stay big Strip hotel , shop around . 
 Nov 12 2008 	 New York New York : good room Weak Casino 	 room clean spacious hotel room , casino lack luster . 
 Nov 11 2008 	 could well 	 husband stay honeymoon . like previous review mention , basic room super small . upgrade first morning woken construction . be right ... recent review mention construction . well look like year later be still . still require hotel guest leave credit card number use internet . can not believe huge casino still charge internet use . get program . needless say hang casino long . venture room . oh yeah ... steer clear roller coaster . shoulder rest leave indention pop vein husband 's shoulder bright red week ride thing . 
