after 	 customer - orient hotelvery low service levelboor reception 
 hotel brilliant ideal theatre break 	 friend stay theatre break . hotel clean , staff helpful , room comfortable , breakfast superb . could not fault thing . great location tube cram fair amount sightseeing short time . london aquarium , natural history museum harrod name either short walk tube ride away . nice pattiserie couple minute away tesco 's express . tube less minute away .It good stay early 2010 couple night another theatre break . I would recommend hotel anyone . 
 expecto Holiday Inn 	 arrive 23,30 hour could recommend restaurant decide go Tesco , limited choice hingry carenext day rang bell 8,00 hour clean room , nice waken earlyevery day give we candy bar two bottlet water whic nice touch . all , normal chain hotel nice location ( close chelsea , 45 minute walk Picadilly ) , back find anthe close picadilly well price ... 
 Great Price Terrific Location 	 stay Kensington Forum October , visit London mother . room two double bed surprisingly roomy , consider small hotel room previous trip London . the room quiet , clean , bed pillow comfortable , service adequate . service issue speak , be overly - friendly hotel . ( expect Holiday Inn . ) location absolutely wonderful . number coffee shop small restaurant nearby , well grocery store mall next hotel . pick apple fruit , add coffee muffin / pastry cafe . subway within one block hotel , could not ask convenient . well , good weather , walk everywhere ( probably average 10 kms day ) . be nice neighbourhood safety concern . our main focus book look low price good location . absolutely find Kensington Forum would hesitate stay . . .or recommend friend . 
 Sep 25 2005 	 Brilliant 	 stay Kensington Forum say good hotel stay London price . book use voucher find Yorkshire Post pay £ 60 night double room breakfast . amazing deal London . hotel 100 yds th Gloucester Road tube Piccadilly line ( straight route king cross ) .We check friendly efficient member staff . room small clean modern . everything neeede . after short queue breakfast enjoy excellent buffet style English breakfast . although dining room busy do not seem like cattle market . recommend highly enough hotel . stay London many time pay full range price room . say every time disappoint either value , standard , cleanliness , service hotel . time . certainly back . 
 Sep 22 2005 	 Awsome Hotel ! ! ! ! ! ! ! 	 cousin ( 2 single girl ) stay hotel week spring break March 2005 . love . location perfect , minute Gloucester Rd . tube station . easily able navigate city location . 98 % concierge perfect , always pleasant extremely helpful . grocery store quite convenient people like we limited fund . room neat , clean adequate size . mattress bit soft , everything else great . would stay always recommend other . truly awsome experience . 
 Sep 13 2005 	 Great Value 	 stay Holiday Inn Kensington Forum 3 night third week august 2005 . standard room clean seem new newly renovate . room small however , space tight two people . Hotel conveniently locate near gloucester road tube stop upscale part city . front desk wait staff continental europe . one rude , many staff cold , distant . good part hotel 's value . London expensive city . hotel clean , modern , excellent location . Perfect visit London budget . 
 Sep 11 2005 	 great location 	 one night stay arrange cruise line can not comment price . room small include amenity . plus , truly non - smoking room , one & quot ; freshen . & quot ; first experience elevator require room card take guest appropriate floor . the continental breakfast okay . would definitely stay hotel 's location . easy get around since Gloucester Rd . tube station short walk . terrific waitrose grocery store across street , Tesco Express Burger King nearby . Delhi Brasserie restaurant recommend hotel 's concierge short walk , food delicious reasonable . 
 Sep 10 2005 	 Excellent 	 say enough good thing hotel . check breeze . room nice size , clean modern . the staff always friendly helpful . probably one good bargain central London ! ! ! ! ! 
 Aug 31 2005 	 solid well run hotel 	 stay hotel night August lie London . give double room . single person , find room size adequate , though spacious . 2 peple luggage , would cramp . aside , location great furnishing modern comfortable . hotel right around corner tube station , be convenient travel around city . food good service good . 's & quot ; purpose build & quot ; hotel , mean not suffer poor renovation standard sometimes encounter old London hotel use private home . price , would say one good bargain go , caveat room size , would recommend hotel highly . 
 Aug 27 2005 	 absolutely Loved Place 	 far good place stay London . guess Kensington Close next bad Grosvenor Kensington . our room actually enough room turn around .. bathroom clean ammenitie . actually face cloth . we arrive noon check suppose 2p.m . find room we right away . consierge helpful . huge breakfast buffet not eat somewhat expensive .. remember correctly around 11 pound continental whole thing 14 pound .. little high breakfast we . also bar area dining area directly lobby . fitness center ... everything immaculate . very good .. definitely stay .... close shopping underground .. restaurant close laundromat also close . 
 Aug 23 2005 	 Excellent location service 	 stay family Aug 18 - Aug 21 . location excellent , short walk Gloucester Road tube station lovely neighborhood . arrive official check time immediately give room . room comfortable , roomy clean . concierge helpful ; do not take english breakfast downstair bar offer croissant starbuck coffee service nice . hotel seem hotel choice flight crew pass London ; take sign decent , dependable hotel ( London standard ) expensive . would hesitate stay . good value price . 
 Aug 23 2005 	 Functional efficient 	 massive hotel cater everyone business people , tour group , airline crew . service efficient far personal , could place large ! executive room clean reasonable size , however bathroom one small ever see . overall average hotel base location price ( GBP 45 inc tax ) one romantic get - away ! 
 Jul 24 2005 	 Nice 	 really like hotel . second trip London want stay neighborhood also want give wallet rest . this first stay hotel . meet expectation - clean room w / pleasing modern decor , average housekeeping service , accomodate staff . room also roomy . hotel also upscale expect HOLIDAY INN . defintely stay . 
 Jul 17 2005 	 great hotel great location ! 	 get great price via priceline first worried Holiday Inn- usually not care much chain U.S. - hotel , however , far exceed expectation - clean hotel stay London , good size room , lovely bathroom . location fantastic - bus line underground , many useful store Gloucester Rd . view high room fantastic male desk person check nice give room high floor . the two thing dislike somewhat unfriendly german female staff ( determine flag lapel ) deal with- brusque certainly rude , helpful friendly - refer simple question other , even act like bother query -and smoke first floor due bar area . minor issue , consider great room be . additionally , one problem room service inefficient - request menu bring room take 45 minute guy actually audacity suggest read phone instead send one , call three time . I not consider problem big deal , however , becuase positive hotel numerous great stay ! 
 Jul 10 2005 	 good basic hotel 	 good basic hotel terrific location . Gloucester underground station around corner within easy walk distance . additionally , numerous restaurant everywhere range fast food upscale . hotel concierge desk helpful . room nice beware room refrigerator . unit room seem run endlessly quite noisy , particularly early morning hour . additionally , refrigerator computerize remove item look automatically result charge room bill . not believe , read warn sticker inside refrigerator door . check - in time 2pm hotel will not bend inch . arrive Heathrow 1:50 force sit lobby 10 minute would give we room . 
 Jun 28 2005 	 quite nice Holiday Inn 	 partner stay Kensington Forum June 20 - 23 , 2005 find well adequate . yes , room small Americans use expect , average size european hotel . room clean , bed comfortable . will admit bit confusing first use room key turn light select floor elevator , not big imposition - different Americans expect . continental breakfast fine - lot fresh pastry , dry cereal , juice , etc . , full english breakfast buffet look good , . inclined huge breakfast , would indulge . the least adequate aspect fitness center - smallish not provide kind exercise equipment hotel sort offer . good part : concierge - whose name Gladstone - great . knowledgeable restaurant , give great advice get ticket show , give flawless direction . tip fairly handsomely extraordinarily helpful . oh - great location . block Tube station . 
 Jun 26 2005 	 amazing location ! 	 stay HILK ( great acronym ) 4 day May 2005 . will give brief rundown plus minus : great : - check we 11 transatlantic flight- room large average , compare continental Europe travel- location , location , location ... moment Gloucester Road underground station , mean super - easy access Heathrow much Zone One- concierge helpful provide direction - air - condition ! not - so - great : - price ... feel quite well London $ 200 cdn- phone call ... local call expensive , even landlineswould stay ? sure , would work little hard ( Priceline , etc ) find well deal . 
 Jun 21 2005 	 good hotel 	 really enjoy stay Kensington Forum February . room spotless comfortable , bathroom . location right next Picadilly line tube stop , convenient get around town also airport . also several restaurant pub nearby , well shopping center grocery store snack drink . eat buffet breakfast several morning good - though day , somewhat bored skip pastry coffee tea shop around town . want heart London action , really place stay . , nice time hotel . 
 Jun 9 2005 	 free WiFi Internet Lobby 	 not stay , come everyday stay London . free wireless internet access lobby . ( hotel want charge 8 pound day . ) lobby smoky , internet access fast free . also number power outlet available . 
 Jun 9 2005 	 excellent stay 	 girlfriend stay hotel 3 night early May . arrive hotel long sleeples overnight flight 8:30 relieve find room ready . guess 900 + room one available . high 19th floor great view , window open 10 tv channel . concierge front desk staff helpful direction , tour eatng . major complaint hotel except cigarette smoke hotel pub , hard eat meal use smoke . great location , grocery store open 24 hour within 5 min walk friendly international staff , stay . 
 Jun 5 2005 	 great location - executive room worth ! 	 enjoy trip London - location Holiday Inn Kensington Forum terrific . couple minute walk Gloucester tube , close Waitrose , Sainsburys , post office , laundromat ( mostly bring clothe hand - washing , husband not - clothe 4 day , $ 30.00 total wash landromat - London expensive ! ) staff hotel not anything write home , especially lovely stay Kempinski airport hotel Munich . get 9 am Holiday Inn , room not ready yet ( not expect , also think executive room , part reason not get room close noon ) . honeymoon , get good deal Travelocity end splurge executive room - sound pamper . not care room size , say include bathrobe , chocolate , orange juice , mineral water , etc . pay $ 45 night upgrade . the room adequately size - two we , not look much . bathroom small , well equipped . however , & quot ; free chocolate , orange juice , mineral water & quot ; entail : could one orange juice minibar day . small bottle water . chocolate ? could share one kit - kat mini - bar , remember put one . put ad , would never upgrade . one bathrobe . supposedly suppose pillow menu , never see one . read site internet free , business center close first couple day - price post . use internet cafe street ( 20 minute pound ) .I recommend hotel - clean , excellent location , ice top floor along one microwave , etc . would stay . would not splurge executive room - not worth ! could buy ton chocolate , orange juice , even meal spend upgrading . 
 Jun 4 2005 	 good value 	 although States , would never stay Holiday Inn , pleasantly surprise HI Kensington Forum . right Piccadilly Circle tube line , location excellent . get special American Airlines ' website $ 1300 7 night stay . consider horrible exchange rate GBP / usd time London , believe price fair . room normal size european hotel pleasantly surprise free wireless internet hotel lobby . Breakfast include room utilize morning , hotel restaurant adequate . continental breakfast cereal , croissant , yogurt , fruit . also expensive english breakfast many hot food include room price . , go London need reasonably price hotel , would stay . neighborhood residential , Tesco Starbucks block hotel , hotel high 3 star establishment . 
 Jun 2 2005 	 thinking stay HIKF ? 's lot detail 	 base review site , friend book 9 night HIKF ( May 21 - 30 ) Priceline . research hotel find lot helpful information scatter among post , ' go try pull together kind information wish find one post . fly Gatwick take Gatwick Express Victoria station , taxi hotel . 7.80 pound go hotel Victoria Station , 10 pound go back . ' pretty sure driver take direct route hotel , sure difference price . traffic issue either time , cheap one Saturday … no idea matter . arrive around 9 be able check immediately room 1403 . standard room ( two twin bed ) view London Eye window . check fast efficient , lobby clean modern . lot place sit . gift shop concierge desk also . see quite airline pilot / flight attendant get bus come hotel morning . need room key active elevator , nice security touch , reader one elevator particular ( one close lobby ) sensitive ' always work . room key also necessary turn electricity , people complain . big deal – unlock door stick room key slot inside door . do ! least never worry lose key way ! small refrigerator room space mark " personal use " hold 6 can soda . annoying thing mini - bar jiggle item already , get add bill , although housekeeping always reverse charge check room . placard warn move item may charge . frig ' keep item cold enough food safety – ' merely slightly chill . bathroom spotless clearly recently renovate . two large towel , two hand towel , two washcloth daily . tiny bar bar soap provide , also dispenser soap near sink , tub . warning ! ' big step get tub extremely slippery . use rubber bath mat risk break neck . water pressure great , always plenty hot water . electrical outlet desk work U.S. appliance – big plus ! use friend ' hair dryer adaptor converter necessary . room also come small hair dryer tuck desk . iron board room . safe . little drawer space , closet small plenty hanger . bed comfortable , although request second pillow first night . instead top sheet ' sheet - cover duvet / comforter , be … well , comfortable ! individual temperature control room , great . first part trip window open Friday temp 85 , run air conditioning . view window fun ( Victoria Albert museum , London Eye distance , mention ) window unfortunately extremely dirty outside . coffee maker room neither we use . room service bring bucket ice time , ' machine 25th floor . never disturb housekeeping – one day come back early actually room day , ' come 4 pm . little later would like . buy groceries grocery store around corner ( Waitrose ) open until … .I wan na say 9 pm night , 12 - 6 Sunday . mostly snack room , soda , stuff breakfast . apple yum - yum particularly good . since breakfast room morning ' comment hotel ' spread . dinner restaurant first night , good , waiter particularly entertaining . two night eat Tavern ( great fish n chip ) , bar attach hotel ( past elevator ) . Gloucester Road tube stop block hotel . serve Circle , District , Piccadilly line , get touristy thing little switch necessary . across tube stop Tesso / Tesco ( name ? ) drug store open 24 hour . Burger King KFC also . ' cute pub outside seating call Stanhope Arms , little Black Blue ( torch outside ) nice dinner one night . steak dinner two people , plus couple glass wine dessert come 37 pound , recall . ' contemplate take tour Premium Tours ( three ! ) , pickup site Millennium Gloucester hotel , right across Holiday Inn . also first drop point evening . much convenient get Victoria Coach Station ( , regardless anyone tell , close Victoria Station . ' least 3 block , find one day run get one , give time get ) would stay HIKF without hesitation . neighborhood pretty , good store , feel safe , hotel clean , etc . 
 Jun 1 2005 	 Basic fare 	 visit Kensington Forum three night May . next time need remember turn leave Gloucester Road Underground avoid walk right round hotel . slow check . good security lift . typical London impersonal service staff . excellent room good bathroom . fantastic view overlook central London . lot traffic noise despite double glaze seeming shut . Kettle overheat replace . nice ironing board , have work use iron . tv work except one channel . bed comfy . slow checkout . nice free paper like & quot ; Independant & quot ; .Ate restaurant one evening function room . food fine . 
 May 1 2005 	 nice place ; great location 	 stay 5 night room whose price second low . senior rate quite attractive ; pay average $ 200 include weekend . room size fine bathroom good . clean hotel pleasant desk staff . block away Gloucester Road tube nice . neighborhood lively reasonable place breakfast . send friend wife happy . this second stay . good value London . wish could say restaurant price . less attractive New York 's . 
 Apr 3 2005 	 great location nice hotel 	 use site decide stay Holiday Inn Kensington Forum . disappoint hotel . arrive hotel 9 a.m. get room right away even though check time 2 p.m . relatively new hotel , clean great location close underground 3 connect line , give advantage go anywhere without change lot train . three we stay executive room , little bit crowd though horrible previous post declare . guess depend spoil demand . think good idea use room card get elevator move , security issue . there lot store restaurant area well . would defenetly return London stay . 
 Mar 30 2005 	 impressed 	 unimpressed hotel , cut two night trip short stay one . arrive hotel , greet friendly valet park car we ( charge ) able leave luggage early room ready . arrive back check , notice main lobby full business people laptop along lot flight attendant ( seem hotel use Quantas Airlines staff stopover ) smoky ! nice ! make way room real pain fact every time use lift put key card button work . open door room real disappointment . read reviews impression room would quite adequate . wrong could ? TINY . sofa huge make daughter . maid eventually come make bed ( quite awkward situation three we maid cramp space ) astounding fact bed , space drawer get bathroom . word , need bathroom night would literally clamber double sofa bed - surely safety hazard . thankfully bed retract fully back sofa even make sheet duvet not get night last possible minute . bad point - smelly pillow , stain bedspread ( duvet main bed sheet old blanket ) , one tiny wardrobe noise night . every time people room next door go wardrobe , sound like ! repeatedly wake night people talk room around we . good point - clean bathroom although refurb would not expect anything less . fantastic location right next Gloucester Rd tube station . not stay want comfort . double check reception really stay ' executive ' room . inform standard room even small ! Heaven help poor soul stay ! 
 Mar 25 2005 	 good value dollar 	 fortunate get Holiday Inn London Forum last two visit London ( Jan 10 - 17 March 14 - 22 ) bid $ 74 . bed comfortable . room immaculate . staff helpful . hear train nw facing room . 1706 . room face SW quiet . location superb . two bus , tube right there . the Waitrose Market sell yummy food . make salad night . room refrigerator . I certainly hope fortunate stay . 
 Mar 4 2005 	 # 1 good value hotel anywhere world 	 face , London expensive , room US standard ( even luxury hotel ) hotel PERFECT American want clean , comfortable , reliable room without spend fortune . I want close proximity tube station , starbuck , food . want clean modern room minibar . this place fit Bill . I travel London twice year , past 2 year stay . love hotel . it ritz , value money make # 1 value money hotel world 
 Feb 11 2005 	 Excellent location service cleanliness price Holiday Inn Kensington Forum . 	 book hotel priceline.com shocked value , pay $ 80/ night say do . willing pay $ 120 ( keep mind cheap ) . September / October 2004 . arrive hotel 8:30 morning , well check - in . People converse clean , modern , lobby drinking morning tea coffee , read paper , husband agree would mind wait room . however , much surprise front desk clerk take credit card immediately give we request non - smoking room . step room even great relief , 17th floor wonderful view Earl ' Court georgian architecture , favorite visual advertisement smoking , cigarette half un - wrap appear fatty clogged artery inside . room smell fresh clean bed comfortable- lot come spine condition . bathroom BRANDNEW clean even bathe tub , ordinarily would hotel . clean people come daily change sheet towel day , AMAZING London standard . wish could remember waiter ' name , superb always let stop grab creamer , napkin , plastic ware long promise bring back plate creamer way back hotel . tight budget understand make breakfast dinner hotel room . also book shuttle airport hotel . conceirge nice helpful . however , BOOK THEATRE ticket HOTEL , ( unless money throw away ) 2X much TKTS , good deal TKTS booth Leicester Square afraid line , go quickly , even not well worth wait ! would recommend Holiday Inn Kensington Forum grandparent , parent , nephews niece , friend heartbeat . 
 Jan 28 2005 	 delighted HIKF 	 husband spend weekend late January HIKF . little apprehensive arrival phone booking 100 % guarantee non - smoking , double bed preference . however need fear check midday , preference accomodate , showered flight take sight - seeing . Room clean fresh towel etc upon return later afternoon . room small perfectly kitte - spotless thoughtful facility like retractable clothe line bath , mini - bar , hair - dryer etc . breakfast include room rate - great feast - lot fresh fruit , interesting sausage , japanese breakfast option - big dining room nice buzzy holiday feel it . check brilliant view big window fire escape 26th floor . great location - nice restaurant nearby , nicely pitch service . reliable would expect Holiday Inn - will back . 
 Jan 20 2005 	 great value 	 get $ 70 / night range Priceline . even though price not include breakfast still great value . double bed large room ( London standard ) . problem bathroom . agree skip use hotel meal not problem . Right Gloucester Road tube find plenty sit down takeaway meal option -- breakfast , lunch dinner . speak tube , location really great 1 block away ! also within block two launderette ( not use hotel will get reemed ) , internet cafe well sainsbury supermarket Tesco Xpress mini mart . definitely would stay again . plus tavern good deal want pint two highly recommend go happy hour . yes 's hotel pub seem decent mix hotel guest plus local . 
 Jan 17 2005 	 Great Facility ... bad Bad Service 	 stay Holiday Inn Kensington Forum ( Jan. 6 13 ) . facility great end pay Priceline . location hotel excellent . block away tube stop - though sort hear one tube line ( even window close ) .what bring rating hotel service . still can not figure 's difference & quot ; service & quot ; US UK standard 's hotel . first room unbearable odor unflushed toilet make think , & quot ; else use room guest use they . & quot ; course get different room ( 4 hour later ) , not clean ? ? experience concierge desk make wonder even offer . even simple question weather like elicit guess conversion celcius farenheit . least 25 - degree . overall , great value money . would definitely stay - come Priceline . would limit ask ( e.g. , extra towel , look time table train schedule , etc . ) . would stay away put 25th floor linger odor microwave people . avoid purchase anything hotel cater business traveler charge arm - and - a - leg everything include breakfast . 
 Jan 15 2005 	 well locate helpful 	 friend stay hotel late December . book package & quot ; Cheap Tickets . & quot ; like other , like location restaurant , Glouster tube station , small grocery store -- -and internet cafe within easy walk distance . Kensington Forum close american style hotel one reasonably hope find London reasonable price . problem concern room , staff . food expensive , true London now . we book December 27 January 2 , near diaster strike . unfortunate foolish enough passport , ID , credit card steal tube Dec. 31 . nothing could done passport January 4 , American Embassy reopen long New Year 's weekend . hotel helpful book we three night room low rate could ( low reason expect ) . gentleman concierge desk helpful considerate , helping find necessary phone number call placing number call . excellent job . if return London , stay Holiday Inn London Kensington . 
 Dec 28 2004 	 recommend friend - great place ! 	 stay Holiday Inn Dec. 9 - 13 , pay usd 75 , -- / room priceline . nice staff check , priceline mention , receive standard room twin bed - king size bed available standard room ( be say check - in ) . everything nice clean . good concierge service - recommend good restaurant - italian indian - us - walk distance hotel . the location hotel excellent - one block tube Gloucester Rd surround neighborhood fantastic - take walk High Street Kensington hotel - would love live ! 
 Dec 24 2004 	 Great Hotel Great Location Great Value ! 	 Holiday Inn Kensington Forum London wonderful . hotel staff helpful provide excellent service . pay $ 70 usd per night hotel per priceline . rate include breakfast . arrive 8:30 A.M. allow check . room small well equipped . two twin bed , sit chair , desk , minibar , etc . bed comfortable bathroom spotless . shower small strong water pressure . thing really complain cold draft floor night limited selection channel TV . would stay , question ask . wonderful hotel . 
 Dec 23 2004 	 Location Location Location 	 wife spend five night , end December 22 , 2004 . second stay . big advantage hotel 's excellent location Gloucester Road Kensington , Undergroud one block away , along several nice restaurant pub area . find hotel room clean , especially recently refurbish bathroom . double bed , however , comfortable hotel ; stiff little cushioning . note review , Continental Breakfast wonderful , possible , one upgrade full english Breakfast . lobby always smell cigarette smoke due high volume people check . bottom line : British Airways always attractive package include hotel value . pay $ 122.00 per night . 
 Dec 22 2004 	 comfortable hotel excellent value 	 return 5 night Holiday Inn Kensington Forum , book British Airways $ 110 / night include taxis continental breakfast morning . price , hotel terrific value . 's Ritz , 's comfortable pleasant hotel would not hesitate stay . hotel spotlessly clean staff helpful . although location bit remove West end , block away Gloucester Road underground , three train line take almost anywhere city 15 minute less . convenient . general , decor uninspired hotel lobby pink & amp ; gray granite floor look bit like 1950 's bank lobby . guest room ( recently renovate ) quite pleasant , room 15th floor nice view city . room fairly large London standard , storage space ( closet / drawer ) minimal . bathroom smallest ' ve ever see , include full - size tub / shower combination . real complaint king - size bed , bit firm taste . 
 Dec 9 2004 	 great location good large tourist hotel 	 stay Thanksgiving week . location great convenient . easy access Undergroud ( Gloucester Rd . ) . number restaurant neighborhood . also free ATM Post Office corner Cromwell Gloucester . waitrose supermarket many take food option . woman travel alone , also find area safe . couple night come home underground 10 11 night feel completely safe walk 2 block hotel . the hotel clean well maintain large tourist hotel ( 25 floor ) fairly impersonal . employee efficient pleasant nothing outstanding . room clean large . look much assistance hotel ( place sleep ) . like another review , experience concierge employee sit comfortable chair chat early morning hour bother get appear . also lobby restaurant / lounge allow smoking lobby ( elevator ) smell smoke , particularly morning hour . also lobby morning ( around 9 ) generally wall wall tourist wait tour bus guest checking ( try & amp ; get information time day ) .i like convenience breakfast hotel continental breakfast include room . upgrade english breakfast day ( another 4 pound ) . english breakfast besides egg , meat , mushroom & amp ; baked bean also well fruit generally available continental breakfast . fairly costly get trade convenience . also easy help understand want pot tea tea bag . specifically ask , get prebrewe weak tea . the location great many hotel area might try other would certainly consider come back . 
 Dec 7 2004 	 small - quite pleasant ! 	 ' ve London several time . time try stay different area . afford great visibility . this time , along family , select hotel air hotel combo Priceline . cost three us Thanksgiving holiday could not make well selection . location perfect . Gloucester Tube # 74 bus block away . tube support access three train line come London Heathrow Airport use Piccadilly Line . the hotel easy find , Kensington ambiance delightful hotel check - in joy . room small american standard comfortably furnish , new infact , pull sofa size love seat two twin bed . bathroom also new beautifully tile . liquid soap dispenser attach wall shower next sink . choice LUX DOVE soap . however , think state ad hotel cable one would expect MTV Cartoon Network . peeve housekeeping staff knock door 8:30 want access . already plan rise early noisy work habit would inspire you . having say -- doubt mind would stay again . perhaps next trip US dollar yield well rate return US $ 1.80 1 gbp . 
 Dec 3 2004 	 definately return . 	 return 9 night stay . room bite small modern decor cleanliness make . agree * * * * * * * * * review . experience small problem check , next day bowl fresh fruit leave room management . another reviewer mention smell food 25th floor . room 2519 ice machine microwave locate . convenient , not stay floor smell heating food waft corridor . experience staff excellent , front desk dining room . amazing ( v.expensive ) dining experience , try 1880 Bentley , one block away . 
 Nov 25 2004 	 absolutely loved ! 	 can not beat location , room , value view ! second trip London staying value hotel Earl 's Court first time , place superior every way . select review would definitely come back ! well keep secret fact standard US electrical outlet every room . wonderful recharge digital camera , use hair dryer electric shaver ! good food deal area local grocery store street - get breakfast lunch dine nightly . anyone want cheap London breakfast lunch forget . 
 Nov 20 2004 	 good Value Nice Hotel Fantastic Location 	 stay Holiday Inn Kensington Forum two night November 10 - 12 2004 , Crowne Plaza St. James week later , also two night . overall , would choose HIKF CPlaza . Holiday Inn KF location beat . one block tube , half block nice grocery store essential like bottled water , snack takeaway prepare food , tissue , etc . restaurant area not fabulous , not fine dining . VandA , Science Natural history Museums less 10 min . walk . room twin ( two single bed ) . small , highly efficient , brand - new looking , spotless . bath also small , white , chrome gleaming . problem hot water demand , well flush Europe . especially appreciate electricity conservation program : enter room place room cardkey slot leave side wall . activate electricity room , light turn . leave , take cardkey light , tv , etc . automatically shut 30 second , give ample time leave room . conservationist , applaud HIKF use method save energy . we treat courtesy stay , ever feel like & quot ; second class & quot ; visitor would book Priceline . use room service one night excellent . ( steak sandwich caramelize onion really good . ) food quality good , service prompt , everything prepare order . the drawback elderly concierge duty early morning . helpful securing taxi seem interested conversation service guest . also , cash machine lobby connect Cirrus network , commonly use United States , ATM card probably would not work . one commercial type machine charge hefty fee withdraw cash . not use machine , able get cash taxi Victoria Station ( Eurostar catch ) . ask concierge duty please call taxi could pay credit debit card , actually refuse . ( lodge complaint Holiday Inn -- not hear anything yet . ) struggle street belonging find bank ATM , withdraw money hail cab street , barely make connection Paris . lazy unhelpful employee , however , find hotel quite modern Jetson 's kind way , clean , wonderfully situated . $ 75 night , good value stay next time go London would certainly stay . 
 Nov 18 2004 	 hotel ? 	 wonder whether stay hotel reviewer . mother arrive back six night stay . check bit disaster receptionist ask want queen two double bed . reply two bed . ( name Oedipus ! ) go room second floor discover Queen bed . back reception . assign fourteenth floor . give key card 1417 mother take luggage 1427 . quickly sort . standard room somewhat cramp mold rubber mat shower . next morning , breakfast ask room , reply 1417 indicate another resident . ( think record show still 1427 ! ) breakfast fairly good include cold meat pleasant surprise continental breakfast . one server truly excellent throughout stay . next day , mother try card enter room open door . go reception provide description content room Manager duty inspect room ascertain our . one evening telephone indicate message wait we push button telephone retrieve unsuccessful . telephone arrange wake call find Operator one press four digit code indication telephone . the hotel close Underground station one availability three different line bonus . the portion hotel 's Cromwell Pub generous . 
 Nov 15 2004 	 awesome everything free wireless 	 could happy hotel . free wireless lobby , 10 pound per day wireless room . definitely location want . think 3 different line stop , take direct train anywhere . tube stop block away . get bottled water 24 - hour store next tube stop . 
 Nov 11 2004 	 great location love hotel 	 return London daughter delight Kensington Forum . room clean bathroom good London hotel . although small , twin bed coffee / tea make facility great come back . england like spend lot money restaurant delighted find lot take - out , grocery etc , right hotel . tube station right location great get around London . continental breakfast include price nice serve dining room , pleasant time dash around city . service great lot coffee tea toast bring table . definately return hotel highly recommend discern visitor . 
 Nov 9 2004 	 great hotel great location 	 stay Kensington Forum 5 night October 2004 . terrific . room large London hotel great bathroom - nice tub great shower . hotel conveniently locate next tube stop ( Gloucester Road ) also number restaurant area . addition , grocery store close 24 hour shop soda snack . could beat location price . book priceline get room $ 70 US per night steal ! hotel concierge could get ticket show , arrange tour , rent car provide simple direction . laundromat nearby shop hotel daily newspaper . hotel bar , restaurant , cafe tea , coffee muffin , etc . also starbuck pastry shop nearby morning breakfast not want spend money hotel breakfast . also hotel extra like choice pillow ! could happy Forum ! 
 Nov 4 2004 	 great hotel great hotel 	 bad experience hotel london , would definitely stay again . the room quite large , clean beautiful view London . price moderate service location . 
 Nov 2 2004 	 Holiday Inn London Kensington Forum 	 Holiday Inn London Kensington Forum excellent hotel except fact problem . I book trip package deal include online information state & quot ; continental breakfast & quot ; free day . info also state & quot ; cable TV & quot ; .Well , upon checkin , tell room available & quot ; full night & quot ; would wait . flight include layover , awake close 24 hour . settle lobby least 2 hour . after word finally inquire would able receive room . request room non smoking floor , end take room smoking floor end hall . happen room near maid come went always hear thump door open slamming , plus whoever occupy room next always coming go well night . I inform upon checkin & quot ; free continental breakfast & quot ; quote free , due & quot ; deal gotten & quot ; . & quot ; deal & quot ; cost close $ 1000 stay . cable tv turn 17 channel , four german , french , japanese , arabic . true cable channel MTV Cartoon network , plus Sky news . also satellite , weather came go , signal would disappear . room bar extremely expensive use . 4 pound coke ( $ 2 ) .The food pub far sandwich etc , reasonable . however , continental breakfast cost 11.95 ( roughly $ 22 american dollar ) cereal , bread , thinly slice meat fruit . online info also state computer internet access , partially true . two computer business center close time . I say hotel wonderful location , right across gloucester tube station stop two away Notting hill , Harrods , Kensington High street . there plenty eat place also couple block far reasonable hotel . KFC , Burger King several nice restaurant get full english breakfast 4.95 . also internet cafe brilliant , 30 computer internet cost .50 penny per half hour . also grocery store arcade next tube station . I give hotel okay rating problem , plus bed comforter stiff , hard feel duvet . staff average wanting help , say , hotel match online brochure promise . also , inroom movie indicate part package cost 8 pound ninety five PER view , playstation game 5 pound ninety five per view . overall , going try another hotel vicinity next trip . 
 Nov 2 2004 	 Location 	 stay place 5 night . think get good deal british airways holiday 100 pound night .. hotel bright busy good front office concierge . breakfast awesome . stay triple room suppose big . small comfortable . amazed see knid feature could pack tiny bathroom . good part hotel spotless clean find trait hotel stay whether holiday inn holiday inn express . the hotel close Gloucester Road tube station also 24 hr grocery store close . actually buy day travel card airport take picadilly line tube . get Gloucester Road pull luggage hotel . save atleast 40 pound taxi day . I think truly enjoy stay London lot due Holiday Inn 
 Oct 30 2004 	 Holiday Inn Forum 	 Oct24,2004 Third stay hotel three month . location convienent tube grocery . food Pub excellent value . 
