rude 	 second time short hotel . will not come back ! state other , would hard pressed find well location . also , room clean tiny . tiny ok 's expect , complaint there . on occasion however , staff less helpful . accentuate fact simply know much English . eastern european accent clearly shine , problem English stretch beyond basic vocabulary . sadly , doesn't . this make conversation difficult , open misunderstanding galore . also , never offer extra be suppose IPrefer member ( even ask ) . not bother try explain expect ' ve promise thing book , 1 ) understand 2 ) seem simply care anyway . 
 mixed feeling 	 hotel location make several inconvenience ! put ' spare ' room first 2 night : small washing table , bed corner room shower design disabled person . also bad smell come airco . finally get well room : spacy bit noisy . tv set small need binocular watch tv . breakfast disappointing breakfast staff unprofessional . Wifi available extra cost , find strange expensive hotel like . say : be locate close shopping street Bond Street Underground station make disappointment . 
 Feb 5 2007 	 Lovely Hotel Great Location ! 	 stay partner end January 2007 weekend away ( pay £ 130 1 night twin / double room , book online holiday company ) .absolutely love interior Hotel , well design unusual contemporary seem new clean ! loved interior Restaurant bar especially . drink bar quite expensive ( i.e . £ 8 bottle beer glass juice ) expect hotel central London . Breakfast include stay nice . buffet different cereal , yogurt , fruit , bread / roll / toast , jam , ham / salami cheese , juice , tea / coffee etc . nice filling ! room average size well decorate comfortable . mini bar lot choice fairly price . bathroom nice clean . unlike expect read review go . glass shower door fine cause bathroom overflow ( maybe change door since last review leave ) door bathroom frosted glass think quite nice design , could see door . all staff deal stay helpful polite . the location hotel fabulous ! lot lovely cafe / restaurant street open day night . mediterranean restaurant serve beautiful food reasonable price ( shame service not great ) .The street hotel one street Oxford Street , right Selfridges Bond Street Tube station ( 3 - 5 Min 's walk hotel ) .In general great hotel , would stay ! pic room : ( look website photo : [ - ] ) 
 Jan 28 2007 	 nice value money 	 mid week stay cost we £ 109 book airmile £ 350 room . room equip high standard , extremely small would feel aggrieve pay £ 350 . location fantastic though fantastic part London great shop restaurant nearby . drink Hotel bar be feel wealthy ! 
 Jan 22 2007 	 Perfect location ok hotel 	 Booked hotel website . great location , close Bond Street underground station , shop . load restaurant bar around area too . room small bathroom door sheet frosted glass - privacy share friend really . clean . pillow lovely not sleep well night , sure bed though . tv pain use channel not work . lift take age come one night not work . Doormen friendly helpful . bar look great , expensive drink ever - £ 9 gin tonic . restaurant good , 3 course special menu £ 23 ifyou can not afford menu . 
 Jan 17 2007 	 great room great location 	 book deluxe room via lastminute.com £ 130 reception offer upgrade junior suite £ 30 ( also manage get 2 continental breakfast include well - worth £ 30 ! ) . well worth upgrade , friend stay night superior room word ' could not swing ' ' cat ' spring immedietly mind . further review would read prior stay anticipate fairly horrendous welcome , whole find fine friendly , reception staff say pretty faultless . look bag checkout could enjoy day London without lumbered , one door staff half kill run road hail us taxi . say DeVille bar staff ( price ! ) pleasant ( £ 1.25 service charge open 2 small bottle beer even smile ! ) .The room great , nice roomy fantastic bed , really comfortable , 2 tv 's , mini bar ( £ £ £ £ 's - give miss ) , air - con , slipper , robe , umbrella , write desk , chair sofa , superb bathroom lovely big shower bath . not great view window dark raining almost visit care ! quiet night - central london expect much bad . nice area , close shop attraction taxi rank right outside . continental breakfast lovely , really enjoy , nice big selection pastry , fruit cold meat cheese choose . whole would definately go back , stay terrible room london much less , lovely . 
 Jan 11 2007 	 small room good experience 	 great welcome smile , check door staff appear italian , pretty well sorted . room superior double , sure superior quality could navigate around bed . tight comfortable . good bed cotton , great shower bath , wi fi £ 12 x 24hrs . clean , air con ok fan bath work . bar busy good buzz . pricey £ 9.00 G & amp ; ! ! breakfast additional £ 15 continental good range item . location great restaurant west end £ 109 good value money . 
 Jan 7 2007 	 disappointment 	 stay see superb furniture atmosphere lobby last August . room was- although exquisitely furnish good comfortable beds- great let - down : first floor look backyard , poor window , terrible air - condition fill room kitchen odour , exceptionally small even London standard . staff friendly , price general exorbitantly high , although book DER Tours Germany room rate high regard quality . change room safe not work move . would recommend visit lounge instead stay hotel . 
 Jan 4 2007 	 Location location location ! ! ! ! ! 	 already consider stay Mandeville prepare stump ridiculous price ... find bargain last Minute.com , deluxe room would normally cost £ 300 per night , £ 129 . plus point hotel firstly amazing location , set Oxford Street close square tell call Leicester Square/ Court ( lot little boutique shop lovely restaurant close ) room clean , extremely modern , fab shower , flat screen tv , bathrobe , lot nice clean towel , big window overlook street outside , bar downstairs gorgeous ! try french beer brew champagne yeast ... wow ! Kasteel Kru something like . bad point ..... ' boutique ' hotel , service atmosphere much lacking . small place , yet somehow attention detail guest appear overlooked . yes everything , ' warmth ' make sense ? maybe expect much , perhaps Manchester make difference ( seem distinct divide term friendliness hotel seem highlight point ) . room also small price paid- £ 300 . want somewhere guarantee clean , tidy , good facility , nice bar , maybe dirty weekend away go . Mandeville need find way add extra something .... would say need start customer service training staff .... nice smile chit chat go long way book . 
 Jan 1 2007 	 great location good value money 	 location fantastic , design good , room comfortable size expect Central London . one big complaint window poorly soundproof important Central London . even window replace still terrible fit properly , still noisy . old window appallingly draughty well . reception staff great either . must stay 10 time still take trouble remember greet . however great value money . 
 Dec 29 2006 	 good location 	 husband friend stay Mandeville 12/20 12/26 . hotel nicely furnish good location . people comment , double check reservation . encounter problem one room check tell nothing could do . ask speak Relationship Manager check able find room within half hour . staff accommodate maid friendly . can not beat location . ton restaurant nearby . like La Sirena - Italian . family own run . good risotto . would pay normal rate hotel . bar also nice , $ $ $ compare place drink . 
 Dec 12 2006 	 disappointed 	 boyfriend plan Christmas weekend away London book show hotel well advance due time year . we leave disappointed receive call Mandeville advise we & quot ; fire alarm fault & quot ; meant guest could stay hotel 10 day period whilst repair . assure we contigency plan reserve room similar hotel - fortunately look suggest hotel decide recommendation offer type experience ( boutique personal ) hope for . we find great hotel pay way normal price day play with . we give assurance next time visit Mandeville experience worthwhile , leave feeling quite let lack similar hotel recommend . 
 Dec 2 2006 	 maybe nice place beware overbooke 	 Mandeville probably good , get find hotel lose booking . whole affair bit unpleasant staff management reception clearly unprepared deal kind thing somewhat aggressive , mistake . ultimately put another hotel nearby , assume responsbilty additional expense several day later . credit , quite polite apologetic sorted , help think place suffer incompetent management . make sure double - confirm booking Mandeville . 
 Nov 26 2006 	 quite nice 	 return 2 night stay Mandeville . husbund stay hotel Anniversary , overall think hotel nice . room small clean nicely decorate . good thing hotel location , be surround nice bar restaurant , go Sofra first night square lovely , ( turkish food ) . second night go Le Puerta Sen , bit pricey nice indian food , lot palm tree waterfall inside . Gary Concierge deserve gold medal , always seem work really helpful anything may need . bar hotel bit expensive , £ 5.75 small glass wine , serve Renato think could learn manner , arrogant rude . breakfast good , lot choose , fruit , cereal , toast , pastry , good coffee . sandwich room service , although £ 7.50 nice . ' m sure would stay hotel overall quite good London . 
 Oct 31 2006 	 Nice Hotel - Fab Location 	 stay Mandeville 20th / 21st October 06 search 4 - star hotel central London enjoy weekend away . overall really pleased choice , hotel clean tidy , room large enough comfortable . stay Deluxe room rate £ 300 pound night , would never pay , book two night weekend break hotel £ 150 night . staff friendly enough , restaurant OK . 1/2 price lunch voucher ( give check - in ) use arrival . ok , would not liked pay full price . not bother eat london much offer . HINT : try ' Soho Spice ' Soho ... top Curry house .. chic .. lovely . good thing hotel ( be elegant hip style ) location . 2 - 3 minute walk Bond Street tube , away enough busy Oxford Street , right top fabulous bar restaurant . 
 Oct 25 2006 	 Great Hotel bit disappoint 	 hotel 's good feature location . close retaurant , underground shop Oxsford Street . clean well keep hotel art deco feel . the hotel over - price . room okay certainly advertise . website claim deluxe room upgrade & quot ; great space luxury & quot ; . go say & quot ; add attraction seperate walk shower . clearly case & quot ; deluxe room & quot ; give . small , bathroom tiny tub shower half piece glass allow entire floor flood . rediculous setup ever see . good thing drain middle floor . flat screen tv tiny , lose satellite signal throughout stay . internet extra work well part afternoon try work . breakfast buffet average well ... thing note would construction building across road . wake we every morning around 6:30 . ask front desk put opposite side construction , worth it . the bed comfortable , room clean . concierge helpful polite . front desk personel learn helpful quite distant . overall , disapointe especially pay much get little . would stay rate drop half . 
 Oct 16 2006 	 great choice hotel 	 partner stay Mandeville 13 14 October delighted choice . great room third floor everything spotless beautifully decorate appoint . the staff helpful friendly welcoming . continental breakfast fine coffe pretty dire tasted stew several hour . service breakfast Sunday not quite slick could tweak - make sure buffet table fully stock etc . many customer keep ask thing . not really spoil stay though overall everything great . would certainly stay would recommend hotel anyone want something bit special . 
 Sep 26 2006 	 Excellent Hotel 	 Hotel Mandeville make excellent place stay 5 night trip London . hotel locate step quaint little street provide several pub afternoon drink many cute restaurant . block away wa Bond St tube entrance shopping could ever care . room spacious comfortable . bathroom large soak tub seperate shower stall . decor contemporary sexy . staff attentive chamber maid excellent job fix room daily leave plenty towel tolietrie . would stay hotel . hear thru grapevine room small , ask view room accept key . pay we . 
 Sep 21 2006 	 great location service room 	 great 8 - night stay Mandeville . other say , location convenient lot shop restaurant . hotel small , quiet street without excessive traffic passerby noise night . the staff always helpful friendly , especially concierge Ian bellman Dan . upon checkin mistakenly assign single room book small double . reception staff immediately move nice double apology mistake . since hotel filling , put double actually quite large London . there two drawback : ear - pierce false fire alarm two eight night stay . wireless keyboard internet access not work not fix thrid request write description problem . problem minor comparison positive aspect stay . I would highly recommend hotel would happily stay . 
 Sep 19 2006 	 Good Experience 	 return three - night stay , business London . try economize client , reject standard 5 star fare take leep faith . favorably impressed , particularly average room rate 135 pound / night ( room , b'fast , tax ) . large enough corner room flat screen tv , quiet window , great a / c ventilation great shower pressure . nicely mix global clientele staff ; nice continental breakfast . convenient location , allow hubbub Oxford St quietude Marylbone village . all - in - all , not need cloying pamper quintessential Englishness high - end place , try place like Mandeville ( Montcalm ) . 
 Sep 14 2006 	 great location helpful staff 	 husband stay 7 night happy . rate include breakfast , adequate selection cold cereal / pastry , meat & amp ; cheese . cool black statue long dine room ... darn . amazed fabulous location . side street block Oxford 3 minute walk Bond Street Tube station . hotel near soooo many great little restaurant , hard choose . eat mostly Carluccios street . starbuck close . staff helpful friendly . room like one website . yes , reviewer right shower water get everywhere ... leave towel floor fine . 
 Sep 1 2006 	 huge disapointment 	 Halfway check we receptionist answer phone start laugh chat conversation whilst stand like couple lemon . apology interuption acknowledgement ! book superior double huge disapointment . room small , furniture miserable carpet filthy cover stain . could not believe superior double 4 star hotel go back reception double check have give right room . sadly right room . receptionist agree move we another superior double , little well carpet also filthy room . think Mandeville seriously need consider get carpet clean ! tea coffee make facility ..... even b & amp ; b 's basic luxury ! mini bar empty . hotel receive 4 star beyond . fortunately get reasonable deal room , have pay actual rate would seriously angry ! book hotel read good review website . either people stay penthouse suite severe bad luck ! 
 Aug 31 2006 	 great location friendly staff 	 bit worry european colleague recommend hotel dud rating site . right . great location staff could friendly helpful - point good gift store , restaurant , stop we see thing going walk . would definitely go back need night London . 
 Aug 27 2006 	 Excellent hotel perfect location 	 great stay August great deal GTA hotel booking site include superb breakfast . location perfect shopper Oxford St 30 second away ! ! room v.modern comfortable quibble bathroom frost door . 
 Aug 25 2006 	 want cuppa 	 hotel lovely fantastic area Oxford St load cafe restaurant 2 minute walk hotel . I encounter problem stay go now.1 . walk around hotel bring lovely cake ( coconut flan ) fantastic patisserie around corner . think know go room eat lovely cake lovely cup tea room- good idea . get room look around try find tea coffee make facilite could not find . basically turn room upside decide phone recepetion see hiding . tell hotel facility want cup tea would order room service £ 4.00 per cup . shocked stunned suppose 4 * hotel day expect least kettle room . usually annoy go hotel biscuit kettle- world come to.2 . first night get kettle incident go restaurant dinner order burger chip £ 14.50 think bit rip really.3 . hotel 's specifie corporate traveller mind however iron iron board available room . want borrow iron wait queue one . phone reception morning around seven borrow iron tell would not one availbale nine really we corporate traveller nine . but apart issue ok hotel 
 Aug 12 2006 	 bad ... London 	 stay numerous London hotel recently business , Mandeville one well choice make . compare ' up - market ' property Hilton Metropole , far well ( economical ) choice . previous comment make site staff unfounded find professional , helpful welcoming . particular , collegue need help hire car pushchair Ian ( Concierge ) go extraordinary length make happen . charismatic bar manager Jose also get mention cheerful welcome always feel personal attentive . sort service ' ve come expect London day ... room smart , contempory well - equip though single room little small side . big deal . room come easy - to - connect internet ( essential us business user day ) in - room tv seem comprehensive ( not really use ) . excellent shower ( possibly comprehensive mechanism ' ve ever see though ! ) comfortable bed ( , important item we business traveller ) .For need quick easy access West - end reasonable cost , Mandeville not get much well . vast array boutique restaurant trendy bar doorstep also deserve mention spend many evening kick back people - watch busy pavement James Street . 
 Aug 10 2006 	 Loved Mandeville 	 great time hotel stylish area near Marlebone concierge helpful although room mini bar problem ask wine glass evening . Junior suit stylish spacious bit luxury London . Junior suit 3 shower head 2 bath seperate walk shower . cocktail devigne bar expensive side £ 9 London standard , well worth want spoil recommend chunky chip light bite menu . 
 Aug 8 2006 	 amazing location - Cool hotel 	 stay hotel June .... firstly encounter different experience writer .... check - in fast , efficient friendly . concierge excellent notably Ian . check hotel 's website first , impressive , often website 's deceive ... case ! hotel meet exceed expectation ... stay deluxe room , decor comfortable fashionable public area incredible ... good location though . second away selfridge , bond street , hyde park , marylebone high street christopher place couple stop ( 10/15min walk ) tube picadilly , leicester square , covent garden westminster . be look something personal , fashionable , friendly little bit norm , place would highly recommend ... know return ! 
 Aug 6 2006 	 Great Hotel 	 Hotel get & quot ; wow factor & quot ; ! stay 5 night July 2006 far favorite hotel . Breakfast deliver wake call . wonderful room , beautifully decorate , even bar restaurant attractive ! food restaurant , deVille , great , drink bar good . build beautiful location believe , one good . 
 Jul 31 2006 	 Night Manager Nightmare ! 	 stay Mandeville six night period . location great , however would never stay . state treatment receive , sure management owner possibly care repeat guest . one particular desk manager liar , rude , annoying , intimidating , uncaring attitude almost seem like skit Saturday Night Live . dare question make feel like idiot . room air conditioning jerk make feel like right asking ( politely ) might ad AC could fix . move we room even small one . never want move . pack pain . tell new room big , street airconditione system work . course move much small room refridgerator bad possible location overlook kitchen ! room overlook kitchen hear scream bang pot night . bathroom shower ... waterfall bathroom floor consider one towel per person , difficult sopping water . never receive telephone call friend . course Mandeville desk manager say & quot ; message & quot ; . double bill event concierge book we course , nightmare manager say be not fault begrudginly amend bill upon check . seventh visit London never ever treat terrible manner desk manager . Mandeville never answer email rude behavior . beyond employed . really folk , stay Mandeville , many nice place stay . 
 Jul 19 2006 	 rude lie Front Desk Manager 	 location decor great 2 night stay badly affect front desk manager . parking , american boyfriend check . noon say ( politely ) front desk guy know early check - in , wonder room ready ? guy say & quot ; oh PEOPLE always want room early & quot ; ( not joke ) . sure refer americans book room discount website - although $ 340 night not exactly cheap . specifically reserve deluxe room large size , get room seem small . go front desk later day ask different employee difference superior & amp ; deluxe tell & quot ; deluxe room MUCH comfortable large & quot ; give room number ask deluxe . become visibly uncomfortable point guy check we came shoo away . condescendingly tell go one porter look different room & quot ; might like well & quot ; . go room ( exactly 5 sq ft big ) say porter expect big . & quot ; well also deluxe room & quot ; say ! ask might different realise ask embarassedly say something deluxe room suppose stand - alone shower ( room far tub shower attachment ) . return front desk say ' manager ' expece seperate shower tell deluxe room . loudly try embarass lobby full people loudly announce much pay room say since not happy would take 9 pound . original difference price superior & amp ; deluxe point di not want whole issue affect vacation . could go , basically lie face room deluxe , obviously could not move we booked sell out . apart staff lovely helpful . eg . start use hammer & amp ; drill room next us 8 am call concierge get stop hour . also , shower attachment spray water small bathroom matter direct since half - screen bathdespite nice hotel , great location , nice staff , would not return base front desk manager . 
 Jul 18 2006 	 Warm welcome 	 spend past day Manderville say much enjoy wonderful service receive every member staff . meet customer focusse team make stay total pleasure . hotel clean well style . would recommend call make reservation though double check booking make internet ensure log . 
 Jul 12 2006 	 great Stay Mandeville 	 book Mandeville long week - end London combine business short break Wife . recommend hotel colleague stay often book deluxe room hotel 's online reservation system . hotel seem extremely busy recommend other since , hotel seem constantly full ... reason ! moment walk door pretty georgian terrace , everything beautifully stylishly decorate . suppose well describe cosy chic . staff friendly particularly Ian Carlos concierge . room - read review room small . deluxe , must say , price certainly excellent value London . room much large expect , marble bathroom luxurious bed soft furnishing exemplary . peek standard / superior room , although small , seem par London well furnish look comfortable ... public area .... well , suppose hotel really shine wonderful bar , beautiful restaurant ... , positive , big selling point hotel isit location ! personally ' ve always stay side Oxford St Mayfair rather staid ... marylebone village far happen close shop attraction Mayfair Oxford St ! return asap would hesitate recommend hotel other . 
 Jun 25 2006 	 Modern no - frill business property - clean modern - amenity 	 get back three night Mandeville London . on plus side : ( 1 ) seem good location . marylebone clean , safe , interesting thing see close Underground . ( 2 ) room nicely decorate though small big city hotel day . ( 3 ) bathroom nice - clean , new fixture , nice large towelson negative side : ( 1 ) tiny elevator - airconditione - slow hot ( 2 ) front desk staff helpful - two three night accidently turn room key necessitating trip back five flight hot elevator correct & quot ; mistake - sorry & quot ; . ( 3 ) suppose get breakfast room not honor ( 4 ) discuss problem hotel desk ( include chane bed linen adequately vacuum room one night ) meet absolutely zero attempt correct problem . ( 5 ) website brochure make hotel look posh . reality - seem small . would prefer much large hotel perhaps amenity . some thing not like hotel may standard european hotel compare expect US hotel - however , quite dissapointed people try helpful . overall clean , modern well locate hotel pleasant place sleep - luxury property would spend time vacation . good business rest stop perhaps . 
 Jun 18 2006 	 Love ! ! ! 	 ' ve stay Mandeville Hotel London , UK absolutely excellent . good price , perfectly locate 5 min walk Oxford Street / Bond Street tube . nice designer hotel , friendly staff . James Street St. Christopher 's place nearby load restaurant cafe . room small ( be London ) amenity perfect , since honestly , be enjoy city ! will definitely stay ! 
 Jun 12 2006 	 rude reception reasonable room 	 agree previous reviewer- must encounter middle - aged Manager reception downright rude almost intimidate . room , petit double , suitable single person . clean , smell terribly bathroom drain . location central decor fairly new stylish , however please not book special occasion feel sure disappointed . quick visit business , probably beat usual , tired , so - call four star chain hotel , make sure get deal rack rate would value money . short , hotel pretension ! 
 Jun 8 2006 	 poor reception 	 already live London Birthday treat partner take Mandeville weekend , use live Marylebone village absoultely love . reception receive one manager absolutely appalling , attitude towards we unbelievably rude . however , thing improve slightly room lovely . however , breakfast awful - cold toast , hard pastry greasy look English breakfast . email hotel number occassion follow visit express concern regard manager 's attitude never receive reply . unfortunately would recommend hotel people look special weekend . next time think will pay bit go elsewhere . 
 Jun 7 2006 	 gem hotel 	 stay mandeville couple night may , book lastminute . location bonus , track near enough crowd want . plenty wine bar nice restaurant within 5 min stroll . staff friendly , helpful always acknowledge . breakfast good bar pretty impressive . room average size london , decor classy plush , bathroom modern spotless . really enjoy stay would definately return , represent excellent value money boutique hotel without attitude . 
 May 25 2006 	 Nice hotel weird bathroom door 	 back 5 night stay . friend although room small , comfortable . bed comfy , flatscreen tv teeny tiny job . bathroom nice door bathroom - frost glass ! certainly much privacy & quot ; duty & quot ; still see frosted glass door , never really close latched sort & quot ; closed & quot ; leave big gap around door frame . , end use one bed comforter cover door privacy . befuddle have put frosted glass door door bathroom . since 's shower door tub / shower either , ya careful shower otherwise everything get good soaking . seem like bad design I . the staff excellent , nice . concierge helpful always welcome smile get back sightseeing . I would highly recommend tapas bar street , La Tosca . go twice good ! 
 May 20 2006 	 2 day Mandeville 	 spend two night Mandeville even though good review Trip Advisor still skeptical ( although London never impress general level service receive ) . however , Mandeville excellent . staff helpful pleasant . restaurant staff cheerful attentive . - hat ! position hotel ( hundred yard behind Selfridges ) good thing ( shop anything ) . room pretty small guess par course London . clean decent bathroom complaint . all - good job Mandeville . would stay . 
 May 19 2006 	 good quality location 	 deluxe room , check hotel website special offer . London room decent size , modern nicely furnish . good quality bathroom comfy bed . Flatscreen tv big . inclusive breakfast reasonable continental buffet , certainly enough people . hotel locate close numerous restaurant bar handy Oxford Street tube . overall good quality recommend good value money . 
 May 2 2006 	 great stay Mandeville 	 stay one night Mandeville score highly ! staff pleasant attentive . ask quiet room book reception reserve lovely superior room fifth floor . good room size , especially London . check website price sure check ' special ' could miss good rate available . pay £ 125B & amp ; b two adult superior room . location great , Oxford Street close Bond Street tube . form hotel towards Oxford Street lot nice look restaurant ( time try Tapas Bar ) cafe 's . would definetely stay ! 
 Apr 30 2006 	 lovely Room Great Staff 	 wonderful time Mandeville . staff welcoming give we room upgrade . room crispy clean nicely decorate . bathroom modern Penhaligon bath product . ( issue find shower stall , stylish , flood whole bathroom unless use bathmat dam . ) bar lobby pretty , bartender chatty nice . concierge help we lot information reservatiion . mere 99 pound night . definitely stay next time be London . 
 Apr 18 2006 	 pleasure come back Mandeville hotel 	 Mandeville several time enjoy location cosyness room , nothing beat service get last time stay Mandeville early March . nightmare flight Boston wait hour taxi arrive Paddington . affraid day not go get well , despite delay , still early check . however , relieved arrive able go straigh room also receive free upgrade large room . room really comfortable always . also impress next morning great breakfast downstairs ( egg benedict really good ) . next day , dinner , stop hotel bar friend much enjoy trendy athmosphere well mix cocktail . else ask ? 
 Apr 11 2006 	 Unbeatable Location Value Money 	 certainly unbeatable location two block selfridge Oxford Street . Bond Street Tube Station two block away . nice spacious room , friendly staff overall good value money ( hotel expensive London need complain write ) . overall excellent boutique hotel . 
 Apr 4 2006 	 great style something miss 	 friend expect something really fabulous photo web site . book Laterooms rate £ 129 per night twin room without breakfast . look wise great . service good little contrived . room small , enough toiletry two , shower cap , body lotion . power shower absolutely soak bathroom floor . tea coffee make facility mean get dress less leisurely way would like , lovely breakfast Paul 's Marlebone High Street . drink bar expensive , £ 15 2 gin tonic . although place look great , feel old hotel underneath wear borrow clothe ! stay . 
 Mar 30 2006 	 disappointing 	 book hotel view uniformly good review Trip Advisor fact could upgrade & quot ; luxury & quot ; room additional £ 20 . disappointed . arrival tell room not ready ( despite fact half hour state check - in ) . go shop 45 minute return find room still not available ( not many other number people wait reception ) . think would least offer we complimentary drink wait little effort make make situation well . finally get room hour half state check - in . room ok certainly not fit & quot ; luxury & quot ; label . check whether put right room tell difference luxury room bathrobe provide , turn , fridge mini bar , something would tell would . inform staff effectively tell lie . want chill bottle champagne ! one enquire want fridge make effort help . ask someone could speak tell would send email . end quite nice stay hotel staff ( exception friendly concierge ) rude unhelpful . location good 's positive . 
 Mar 26 2006 	 good location clean smart trendy 	 stay Mandeville last night husband , comfy clean double room , great location , good buffet breakfast . great plasma tv , fridge room ( although father law room across corridor us fridge ) . good quality toiletry enough 2 people , like shower day . no tea / coffee facility bedroom shame small detail like stop return mum later year , important she . I book 2 room promotional rate hotel website arrival , 1 reserve expensive rate . however another room find online rate honour ( £ 99 per room cold buffet breakfast ) .The porters/ concierge good , one guy particular attentive offer umbrella rain quickly hail we cab . friendly , clean hotel , room brew lover ! 
 Mar 21 2006 	 Location Style 	 Booked weekend stay Mandeville ( - ) arrive really appreciate full value ; £ 300 generously sized well appoint twin room three night ! hotel ultimately style ; literally minute stroll Oxford St. , staff friendly , helpful ultimate professional without exception . consierge secure us table Hakkasan hour notice bar staff pro mix fantastic martini ! recommend friend & amp ; family definately visit . 
 Mar 19 2006 	 definitely recommend other 	 stay one night deluxe room . pleased location , decor room size . bed extremely comfortable . staff friendly efficient provide personal touch often miss London hotel . 
 Mar 19 2006 	 business traveller 	 business traveller hotel great dressing table & amp ; chair totally unsuitable working desk ergonomically . gripes- tea & amp ; coffee make room -very poor 4 star hotel bathrobe , even though pay superior room ( apparently deluxe get robe ) . bed comfortable large . room small nicely design . warm air heating not work well , particularly cold weather . would stay ok people want hotel near Oxford Street . 
 Mar 17 2006 	 terrific boutique hotel great staff 	 stay one night business . highly recommend hotel . location fantastic 4 minute walk Oxford Street . DEVIGNE ( hotel bar ) really buzzy serve great martini . definiteley stay recommend colleague friend 
 Mar 9 2006 	 ideal location 	 book standard double £ 110 lateroom , pretty good bargain . room fairly small ( enough space 2 people couple bag ) wardrobe huge , real hanger ( include padded one ! ) , bathroom clean shower lovely hot . bed one comfortable hotel bed ' ve encountered - usually prefer duvet , blanket soft . breakfast massively expensive ( £ 18 buffet + cook ) good much like fresh fruitm pastry etc . the location fantastic - Oxford Street Selfridges end . parking , offer 25 % discount nearby NCP ( not mention website concierge tell we ) 5 minute walk away . 
 Feb 19 2006 	 great value 	 book lastminute.com get great rate . room , superb bathroom , lovely . breakfast probably good . cold buffet good , cook breakfast even well . staff friendly attentive . slight negative traffic noise quite loud , hard day not problem go sleep . 
 Feb 14 2006 	 totally recommend ! ! ! 	 first time writing review feel like absolutely love hotel .. want recommend everyone ! amazingly friendly staff .. make feel like vip ! n boyfriend stay hotel 2 nights.with tesco promotional offer .. pay £ 240 deluxe room breakfast two night .. although breakfast offer do not cuz lazy get early breakfast stop 10 ! restaurant look nice outside ! hotel ... room serivice do not come cheap .. £ 5 portion chip ! well food shopping want snack night.the side , there s tea coffee maker kettle ! leisure facility .. think hotel would perfect people shopping trip . cuz hotel bond street oxford street , within minute walk Bond street tube station within one minute walk London infamous Selfridge department store.there newsagent good restaurant nearby ! picture deluxe room stay in.i think size reasonable hotel central london .. big small ! toilet door bit weird .. stylish proper door n do not mean close properly.so would quite embrasse stay hotel friend . can not complain bed king size really comfy .. make fall asleep soon lie ! good long tiring day ! yerr give free toiletry mags.i actually quite like design hotel.the room lounge restaurant.quite stylish ! sneaky peep superior room ( small room ) clean room n look quite small .. much space.so wud recommend deluxe room ! ! ! , really enjoy stay ! want stay london offer .. definately stay mandeville ! 
 Feb 10 2006 	 fabulous sanctuary ! ! 	 WOW ! ! fabulous find ! ! stay many London hotel ( Metropolitan , Sanderson , Myhotel , Lennox ) quite fussy . I trawl review Trip Advisor find Mandeville read much other love place , decide give whirl . slightly apprehensive seem cheap ( £ 180 suite ) turn excellent value money ! ! enter hotel outside bussle London automatically feel safe . hotel welcome interior design die . staff great hotel suite delicious . we plan eat hotel restaurant empty ( Thursday night ) opt 5th Floor Harvey Nics . bar pack . full business man , student overseas visitor . wonderfully happy vibe return bar midnight , even busy happy rather tipsy character . great atmosphere ! not breakfast serve 10 overslept comment that . we definately return , amazing place , super clean stunning interior fabulous location . 
 Feb 8 2006 	 Love Mandeville ! 	 go Mandeville hotel 30th birthday December 2005 expect great stay ... way beyond ! location ... well , 2 minute walk selfridge , Oxford Bond Street , ask ? still quiet . staff accomodate , helpful nice ever meet hotel . concierge call cab , open door , carry luggage . decoration impressive : sharp , cosy . room ... amazing ! decoration awesome , bed linnen soft , carpet thick could drown ( spotless ) , english breakfast must , serve right minute room . , ' quiet ... hear noise corridor room , think alone hotel . bar great ( try russian Spring punch champagne ... ) . fact , want leave ... sure go back ! 
 Jan 27 2006 	 hate cold shower ! 	 really impressed Mandeville time move head beautifully appoint bathroom shower . hot water worse lukewarm , really dissapointing pay extra Luxury Room walk shower ( not know hate shower bath wet curtain cling ) . apologetic check promise get problem solve . would go back , great location , lovely room comfortable bed bedding . would 5 star ........... 
 Jan 20 2006 	 absolutely spoil Mandeville staff 	 stay Mandeville boyfriend shopping trip London . small chic hotel right doorstep well shop London . we reserve Suite length stay , surprise , upgrade Penthouse Suite . luxurious room fantastic upstairs bathroom , seclude rooftop balcony lovely view area . the nightly ritual bubble bath thoroughly relax bed one comfortable one ' ve sleep . staff extremely attentive helpful suggestion restaurant , bar local shop , pay full attention every detail , absolutely spoilt rotten . definitely return Mandeville future visit London . 
 Nov 29 2005 	 Good Central London Hotel 	 stay Mandeville Hotel 3 night weekend . room small stylish comfortable bed . tea / coffee make facility mini bar room , although work empty fridge . find heating noisy always seem case city hotel . the reception staff friendly helpful . central location 5 minute walk Bond St tube station . bar lovely cool decor excellent cocktail . whole good would return . 
 Sep 17 2005 	 Great Location 	 stay many time since discover march . travel london twice month business try many ' business ' hotel . good point : location fantastic ( 3 min walk bond st take u canary wharf city 1q5 min - perect ! ) .huge number bar restaurant within 100 yd . selfridge 100 yds away - wife love place reason alone ! room spotless - lovely modern decor great bathroom . staff friendly helpfulIt still reasonably price - altho success may change that . high speed internet room work well . bad point : tv system worst ever come across - shock picture rubbisg selection channel - take approx 5 sec press channel button change actually happen drive u mad ! room service rubbish 2300 take eternity arrive . overall : good totally outweighs bad ( altho ur tv addict u may didsagree ) .Its great 4 star hotel . 
