trendy 	 like traveler , scour web guidebook great advice come hotel stay . expecially crucial booked room Priceline ( case ) . want correctly set expectation prior arrival . instance , really get small room mindset check Hudson . arrival : hotel not sign . sure look pic website know be going come via subway train . small line check - in front desk staff great job keep everyone move . one important woman ( trendy i - think - I'm-20 - but - i - am - really-45 ) feel compel jump front & quot ; ask question & quot ; course attempt jump line . go ! yay front desk . make joke take pity we get we high level room face atrium . : - ) score ! room : ok . know . be small . 's end world . unpack stuff . organize plenty room . not throw stuff room . will need sit toilet sideways take turn bathroom .... good part ? incredible water pressure roomy shower plus comfortable bed . not come New York hang hotel room ? well , shower bed top notch . do . husband sleep like log Queen size usually challenge . think really pillow . noise : try get room 6th floor . street noise . 's ny . buy freaking Tylenol PM 's big deal . big issue nightclub . be loud . loud popular . therefore Floor 6 , probably hear . join fun get something knock . location : say real estate .... superb location . subway close get need go quickly . walk Columbus Ave visit Natural History Museum really enjoy . great shop , bar restaurant al way . lots dog local give nice neighborhood feel . be great 24 hour diner pizza place right corner 58th 9th . open late . enjoyed stay much . appreciated think design work go place . staff friendly except one woman carry clipboard look like deer headlight ask question check .. overall good bet . even well one score Priceline . 
 great explore Manhatten great party 	 hotel 30 second walk Columbus circle south west corner Central Park - great location . room small , New York hotel room budget small . despite size room , comfortable , clean good ( compact ) en - suite facility . lobby area hotel two bar . popular . rather noisy night noise affect room upstairs . this hotel great base explore Manhatten , great party well . 
 Dec 26 2008 	 ok $ 	 hotel ok . take hour room ready . pay upgrade never get one . lobby construction pain get anywhere . room tiny . be not clean . purpose , far west . go broadway , great location . loud close show . everything east side far . hotel loud inside . make sure garden room sit night .... hear everything ! ! 
 Dec 26 2008 	 pretentious poor value 	 hotel pride iteself & quot ; hip & quot ; merely pretentious . & quot ; standard & quot ; room small closet ' ve see . hall dark barely see put keycard . bathroom provide low light include light makeup mirror whose lighting set crypt level . call & quot ; canteen & quot ; merely vend machine not come close like call & quot ; whimsical Concierge floor & quot ; ... even Motel 6 offer tea coffee service room ... place not . first check remark name number building tell & quot ; not know not belong & quot ; . towel good quality front desk staff pleasant , however . location great . 
 Dec 26 2008 	 not meet high opinion 	 hotel try desperaely cut edge . hence dark corridor room . advice : bring flashlight see content suitcase . when arrive chaos outside drag case lobby ( bitter cold evening 12 hour flight - not happy ) . leave next afternoon hail cab outside drag bag chaos again . check efficient perfunctory . eventually find room endless litter - strew dark hallway find occupy . back front desk give another room , supposdely & quot ; upgrade & quot ; think mean high floor , large room . street noise loud . room tiny . hotel need focus guest service rather decor try hip . get good rate would much unhappy have pay regular rate . not think would stay unless great deal . 
 Dec 20 2008 	 warning ! proceed caution 	 firstly stay wonderful hotel around world include & quot ; cool school place like Hudson . like reviewer bar area good £ 100 8 drink ( champer ) little & quot ; rich & quot ; side . the staff well whole good concierge great . now important stuff , * queen delux room book shower need bath , generator terrible noise ( ask 4/5/6th floor noisy . put we standard room , one night upgrade we studio second ( nice thought ) . standard room joke . put suitcase could fit bathroom door without go side ( ' m overly wide ! ) . friend also try pass standard room deluxe - move happy . in first night room ( 2345 ) coat hook fall , bath tap fall , caravan effect wood pannelle loose door frame , spot light come away ceiling , shower rail screw hole protude mess installation . say well shoe box really see & quot ; design & quot ; theme artex ceiling . bed single matress frame ( sheet good ) , towel ymca size qualityIt shoddy , claustrophobic , cynical attempt house people get nail bar would not notice room size quality . the hallway dark two fire exit sign 23rd floor loose . on second night & quot ; studio & quot ; room reasonable size normal room . apparantly & quot ; seat area & quot ; ( read two person sofa back room ) make studio . room 1617 . well fitting room , floor board raise look damp sometype poor fix shower bed spring wire frame bed noisynow piece really seal fate hotel perspective . our friend stay hotel think buy botttle champer room service ( $ 165 bottle Veuve anyone ? ) wife buy another present , ask cancel bottle ( sign ) . open perfect condition friend room , could retrieve . two manager tell sign would take back , even though request 10mins signing offer pay $ 18 service $ 4 delivery charge . ' m still dispute one . ( 3 dispute going check ) know long want precise descriptive . in summary , price , poor quality , cynically small room , generally nice staff . stay somewhere else really ust , enjoy bar . 
 Dec 18 2008 	 Hip cramp good business travel 	 second stay Hudson . first good thing . lobby , restaurant , bar hip fun . view rooftop awesome . location super . coffee pot room , Time Warner Center right across street Starbucks block away . close Central Park Lincoln Center . also , bed like big fluffy futon ( wooden platform ) really comfortable . I hear lot european accent elevator , must favorite international traveler . now good . staff catch hip forget be suppose take care guest . ( however , bellman super -- offer lock computer safe meeting . ) regular room small inside cabin cruise ship . sit toilet bathroom , bump knee opposite wall . really , be small . be alone , be bad . last time spouse 3 day get tight . 's place put 2nd suitcase , put floor beside bed step walk around . hallway paint charcoal gray feel like be move cave . little creepy . also much cold air noise window checked see open . bring earplug want sleep . this easy hotel business traveller . business center ok ( 4 - 5 computer station , 2 printer , unattended ) . go 8:30 pm print presentation next morning b / w printer toner . not get message swipe credit card pay 15 minute computer time . concierge say & quot ; well not know soon get someone & quot ; ( sound like yawning ) . tell would come desk use printer . not refuse , request refund card . , card charge double quote rate make multiple call get credit . think be much concerned run swanky bar keep business traveller comfortable . make lot money bar . something good know be try work room . the business traveller office love Le Parker Meridien . cost $ 25 Hudson . next time be will go . 
 Dec 17 2008 	 think twice 	 hi , stay hotel honeymoon would like warn . room small price pay , staff friendly piece jewellery go missing room . even bad attempt report miss jewellery treat like joke reception security despite file 4 report hotel security follow call , still wait response . ask speak hotel management keep put security take detail say get back ( occur ) .would feel safe leave personal belonging ? 
 Dec 15 2008 	 terrible horrible Sleepless Bugs 	 awful experience Hudson ! Lets see- first room cock roach ( wait 20 minute speak manger never came follow ) . second room- smell like smoke ( front desk never mention ) , heater break , shelf fall bathroom , floor bubble sink bathroom . third room- another broken heater one sound like someone inside bang wrench pipe night ! ! ! plus mini bar barely stock ( take picture make copy thing miss would hold responsible ) . check - out FINALLY manager & quot ; time & quot ; discuss situation us comp parking- whole $ 110 . two night , three horrible room .... check credit card end week $ 94.24 charge Hudson- mini bar ! ! * * stay ! lobby lounge beautiful ( maybe put money back keep room maintenance ) , concierge valet amazing- rest headache even comparable worth . Jennifer Price 
 Dec 15 2008 	 Super Cool Spot 	 ' ve stay several place NY cool spot city . ok , room little small side lobby area feel like nightclub dark , 's make place funky . price high side ( especially we poor Brits ) 's great location near Central Park . 's awesome little diner across road ( Flames ) serve great comfort food really low price . much within walking distance - will definitely come back next trip . 
 Dec 15 2008 	 Okay - Location make negative 	 location great - super - close Columbus Circle , Central Park , Broadway , walk Times Square , Rockefeller Center , . hotel safe somewhat clean place sleep . treat respectfully indifferently staff , bellhop really great . beyond not much good say . get decor suppose funky , modern , edgy , downright weird two area - outside hotel hallway . outside sign , indication hotel . 's good thing taxi driver know go . look photo hotel website take away bright yellow light cleanliness , 's look like . entire hotel much dark . seriously consider take flashlight along ! ! ! hallways yuck . tight , dark , almost scary - paint dark gray color floor ceiling , trim door . can not even tell elevator paint dark color everything else lighting . feel dirty , . seem like super - dark hide run - down dirty . hotel 's website say room model ship cabin . teeny tiny size thing room resemble ship cabin . hallway definitly like hallway navy submarine ! room one big one space end bed , side table , tiny desk chair . pillow matress wear , floor dusty , window useless keep cold wind noise . heater loud clangy . bathroom ridiculously small , though clean enough . sit sideways toilet not enough room knee regular way . get teeny shower , climb toilet . really not like hotel b / c not come near description company webiste , sooo dark ! ! ! location great . 
 Dec 13 2008 	 be okay . 	 hip hotel really small room . walk distance central park restaurant short cab ride go shop . Christine Baranda 
 Dec 11 2008 	 overrate 	 pay via Expedia pay far rate show website . the manager refuse address concern offer discount say book Expedia . the room dark , poorly equip electical socket near mirror one three room stay next control A / c generator noisy night . in third room heating break , mid winter too . the bad element state size bathroom . a bath small squat , toilet cram knee hit wall sit down . no space put toiletry overall disgrace . this ex girl dormitory hotel pass quaint trendy . the public room may pass 3 room stay sub standard charge £ 350 per night . we still fight refund . take advice avoid hotel price . 
 Dec 10 2008 	 Hudson - Hip Hop Happenning ! 	 well , say Hudson not already say ? ... quite possibly funky hotel ever stay . 's great location close Central Park Columbus Circle subway station great amenetie nearby ( diner / drug store etc ) . bar restaurant great welcome get outstanding ... food ... wow ! yes , room small let us face , be city never sleep else need apart bed rest weary head hard day / night ? ! 
 Dec 9 2008 	 waste money - end black eye room small 	 book hotel weekend break New York . arrive doorman friendly efficient , impressed . sadly good experience hotel . arrive check desk alone , partner arrive hour . ask credit card , not one say partner would along one hour check could card detail . tell could not check credit card $ 150 deposit . tiere long trip angry treat like would empty mini bar runner one hour . pay £ 1200 4 night stay , impressed . I finally manage check leave $ 100 deposit ( ) arrive room . Hudson website say style cabin old fashioned yacht , forgot mention room size cabin yacht , tiny . end black eye get bed smacking eye tv wall close bed ! next bathroom , absolutely tiny , ' m 5 ft tall quite small . sit loo knees nearly touch wall front . shower head shower absolutely black scum ( look like never clean ) base bath wear away reveal concrete underneath enamel . hair wall around bath too . as dust cleaning , not think room clean least couple week thick dust everywhere mark side guest spilt drink etc . the Hudson couple good point . bar trendy although pricey , 2 glass champagne nearly £ 100 . breakfast hotel good , although canteen dark hardly see be eat . fact whole hotel dark include corridor room recommend take torch ! 
 Dec 8 2008 	 kind Nice would not stay 	 boutique hotel stay 2 night , Priceline booking . good : Location , modern decor , friendly staffthe bad : street sound noisy , mattress could soft , room extremely small . this room want stay lounge around , enough room bathroom , one suitcase , bed . tv flatscreen hang wall , little table- . bad thing street noise . need upgrade window make room quieter , awake several time night due car alarm honking , 14th floor . location great . walk MOMA , public library , Bryant Park , Times Square , step away Central Park . would stay however , tight quarter noisy street sound filter easily . 
 Dec 6 2008 	 Great Hotel friendly 	 recently stay Hudson 5 night love ! ok room not huge read review expect tiny room comfortable two us plenty hang space clothe etc . bathroom small ' ve see small ! New York hotel sleep change clothe ! staff unfriendly could not disagree - experience receptionist helpful & amp ; friendly , doorman always say good morning welcome back return . we thanksgive ask get lot advice reception go etc ( say ! ) could not helpful . we night flight home ask late check - TOP TIP ! extend check time 2 pm extra cost pay half day 's rate opt 2 pm check & amp ; leave bag doorman that . we 19th floor can not comment noise bar etc suggestion room ask rear face room street ( New York ) quite noisy quieten later , get earplug ! breakfast go place corner block first day would absolutely recommend cross one opposite call ' Flame ' - much well value , service comfort ! 
 Dec 5 2008 	 Great Night Town 	 stay Hudson Hotel enjoy night New York City . great location event Midtown , close Columbus Circle subway station quick connection Grand Central Terminal . stay small room . area small , cleanliness every thing worth . tall man find bed comfortable . small room good one night ; happily pay big room stay long . 
 Nov 29 2008 	 excellent hotel 	 one thing make visit hotel rooftop garden ! sip cocktail whilst watch sunset Manhatten wonderful beginning end fantastic holiday . moment walk hotel impressed facility staff could helpful . location upper west side fantastic see city - near subway end block accompany shopping mall excellent shop . room although compact clean , modern stereo . restaurant excellent cafeteria style could watch food cook . really could recommend hotel high enough - stay hotel new york hotel hand great base see new york . 
 Nov 26 2008 	 yes Small room Nice Hotel 	 read review look picture internet good idea get . also bar previous visit know find hotel . ( Hint - look flame bush ) room small small stay NYC . pay $ 179 stay one night . parameter , fine . would also say base review would thought property run , . room well appoint amenity fine . I would check hotel 's website look one room , book . give great idea . real complaint bed low floor get course night pain ( ' m get old ) . 
 Nov 25 2008 	 great time NYC Hudson 	 book 4 night Hudson Priceline sceptical due lot negative review site . however , not put - good time hotel . yes , room compact side - spotless ( clean daily ) well design never felt cramp . plenty space 2 adult , 2 large suitcase plenty shopping . shower hot variety power setting . the lobby bit dark , check speedy efficent . drink food expensive hotel ( bar room service / minibar ) plenty reasonably price diner nearby . location superb - round corner Central Park 2 minute walk Columbus Circle Subway easy access sight . recommend 
 Nov 25 2008 	 Mediocre stay bad service 	 hotel eclectic fun , issue . first not know , never find . sign . thing see yellow light come door ... . bar fun amazing . lot pretty people . hotel room leave lot desire . small size need renovation . clean thought . amenity ok . Valet parking 1 hour $ 55 drink regular NY price $ 15.00 pop . staff rude , accomodate slow . food good , yet expensive . $ 500 night rather small room view , would think staff would nice . one want help ! 
 Nov 23 2008 	 okay room small - location ace 	 ' ve read review Hudson site , one thing will know room small . small . if trawl around , someone post video show small . short though , bedroom , double bed maybe foot two around three side , bathroom nudge , maybe four foot two - and - a half . but come ; 's New York . unless be willing pay fortune , room go tiny . my girlfriend stay five night mid November pay $ 300 per night ( include taxis ) actually , size room never problem . and plus side room , quiet get , bed really comfy , heat good cold New York night , want bit fresh air could throw window open suck 58th Street air . elsewhere , hotel great . library bar cool , worth visit cocktail ( although price probably mean 's treat rather regular occurrence ) , chandelier check - in desk holographic light bulb worth close look . good thing place location . right Columbus Circle three ( four - forget ) subway line run . be go stay , shell $ 25 week 's subway pass travel everywhere tube . will save fortune taxi fare shoe leather , get practically everywhere Manhattan ten minute train ride ten minute walk . 
 Nov 22 2008 	 Pros Cons 	 pro : -The location Hudson ideal . walk lot popular sight restaurant easy taxi ride rest.-the staff professional efficient . use help several time direction reservations.-the bar downstairs trendy popular . 's sort thing great place go right hotel . con : -Yes , room small . Hudson 's defense , book online give exact size room booking . -Our room cold . one first cold spell winter room never warm 60 degree F though thermostat turn way up.-drink bar expensive . expect NYC price $ 25 / drink ? -breakfast mediocre . hope well . so , be good hotel NYC 's bad either . stay bad enough consider move another hotel stay . 
 Nov 21 2008 	 New york new york 	 Hudson clean unfriendly bedroom small dull . also find hotel hard find . near theatre whole dissappointe . 
 Nov 20 2008 	 acceptable small room weird lobby 	 know something strange walk right Hudson : sign outside door . two doorman muttering & quot ; Hudson Hotel ? & quot ; furtive sotto voce usually associate sidewalk dealer ask & quot ; Want herb ? & quot ; .Once locate hotel , ascend long escalator lobby . entrance , lobby , common area light creepy yellow - green fluorescent . perhaps ' m old understand chic , resemble Minas Morgul Lord Rings movie . lobby dim almost walk guest once . these small room NYC . stay Paramount even small . bed occupy almost entire room , shower foot bed , separate curtain , toilet far side shower . actually rather impressed room 's utilization space , put stereo closet tv hinge wall . remind room japanese hotel ( except Japan , bed also short ) .I get hotel Priceline 3 - 1/2 star . price ( ) right , extra half - star compare listing bogus . experience contrast unrefurbished hotel large room ( e.g. , Salisbury Wellington ) ; balance think prefer latter . I also mention female staff ( check - in , concierge , restaurant hostess , waitress ) cheery wonder many male guest get wrong idea . 
 Nov 11 2008 	 shocked need chiropractor 	 stay various Morgen hotel group hotel throughout year always impressed time seriously underwhelme . the lobby cool chic hall remind othe boutique Hotels go room open door like closet . barely enough room double bed whose mattress glorify futon . body still hurt sleep . HVAC unit run loud swung wildly 's temperature range impossible get comfortable . flat screen tv position whereby slant towards bed could see . ; lose valuable walk space around bed mention fact still crook neck see . bathroom petite round bowl toilet male 5 ' 10 ' try sit knee would jammed wall . could easily stay almost anywhere NYC $ 500 clean modern accommodation . would ever . certainly inclusive parking cafeteria style Old Country Buffet breakfast . place fill european traveler might acustome small dig think even take back . 
 Nov 9 2008 	 nice idea terribly small room 	 lovely , modern hotel great location NYC . intriguing lobby bar . , get room go hill . room small ( mine 136 sq ft ) . laptop not fit & quot ; desk & quot ; enough outlet power laptop w/o unplug thing . can not imagine one would eat room service . noise also problem . check make certain window not open street noise incredible . also hear everything hall . bottomline , place business traveler . unless plan spend 99 % time outside room pleasure trip , Hudson Hotel may either . will stay . 
 Nov 6 2008 	 maybe be 5 ft tall . 	 agree public space nice , be well visit non - guest . room small badly design . bathroom small foot would even fit wall edge toilet bowl . make airplane toilet look spacious comparison . get tired bang knees wall hit head stand go lobby go . the large mirror wall undoubtedly give sense space , not work . placement tv awkward . candy dish mount side room remote control holder - stupid . husband bang head tv get bed . mattress comfortable prefer 12 inch ground . be 5 ' 5 weigh less 130 not clausterphobic might like hotel . veer description , less pleasant will find . 
 Nov 4 2008 	 business traveller go Hudson 	 travel business last thing need tiny room ( one metre around size double bed ) place put suitcase , unless travel small trolley . even trolley enough space take inside room . stay ... tiny closet corridor . one tiny table size laptop tiny ( sic ! ) bathroom . lobby weird dark odd plant grow ceiling wall . maybe cool place one night ... spend mostly outside hotel . staff also rude unhelpful . overall , 's pretentious hotel try cool .... rather high rate ! one bad experience travel business . 
 Oct 22 2008 	 trendy clean - get pay 	 husband stay hotel Sunday night . service staff friendly , room clean amenity describe . place look exactly like photo website . european style hotel trendy decor small room . baggage check hold bag free check - out spend day city . location great close subway near central park . 
 Oct 21 2008 	 rude impolite arrogant presumptuous haughty 	 definition might want add . plan meet another couple drink one lobby bar . first club , cartoonish & quot ; doorman & quot ; red vest matching red sneaker state enough room accomodate we although could see plenty seat available . proceeded & quot ; library & quot ; drink . although crowd able secure table 4 we promptly tell table reserve . ask could sit talk reservation show . well , .... one hour late .... summarily ask leave . carry extremely expensive drink lobby area find three seat together . pull fourth chair accomodate us inform permit move chair lobby . carry drink restaurant bar inform could enter drink form another establishment ( bar across lobby ? ) .In summary , desire snotty presumptuous staff over - hype over - price establishment ; .... otherwise steer clear Hudson Hotel . 
 Oct 19 2008 	 Great Place Girl Trip ! 	 never bother writing review before- however , feel obligate share positive experience read negative ! come back 3 night stay- skeptical review ..... first , cab driver problem get we , problem identife building .... problem check in- ( approx 1 min . wait line - around 2:30 p.m. ) David polite professional : ) . standard room locate 10th floor nice city view . room cozy , limit amount luggage bring ! problem manuvere around room- keep tidy ! room CLEAN , bed COMFY ... bathroom / shower good enough get job do ! 20 & quot ; flat screen tv & amp ; nice stereo could jam get ready night ! -bring cd 's . hotel staff friendly , housekeep fantastic job ! share large tasty shrimp dish hotel restraunt $ 23 . bar scene like bunch ny ' ers high school reunion- local party ( make interesting ! ) . leary @ first , - last night , tear dance floor ! buy mixed drink $ 12.- make bar room ! hotel location GREAT- 1 blk subway . central park 2 blk away . plenty local place eat decent price especially split meal co - traveler ! great time , would stay ..... negative hardly worth mention dimly light hall could use little touch - up ! over - all .... ' perfect place leisure . not think place family reunion work related activity : ) 
 Oct 18 2008 	 fashionable Great Location Compact Rooms ... 	 will bullet point thought rather write novel:1 . Hudson trendy - check late Friday night like check nightclub ( dark , trendy people everywhere loud music ) ... bad thing different ! 2 . 15th floor roof terrace lovely do not feel obliged buy anything - lie sunshine3 . bedroom small bright however bed comfortable , shower great room cleverly do maximise space available . queen room fine - honest city break sleep hang around day.4 . service great - everyone reception concierge cleaner friendly.5 . hotel relax bring food - something UK hotel hate ... often people lift pizza beer etc . ( much cheap buying in - house ) 6 . location fantastic - couple great diner close breakfast - try Route 66 . also walk central park / rockerfeller centre / time square etc . Tube also nearby . cabby know hotel ( even though do not look like hotel signage outside ) remember address cos one cabbie idea . overall downside size room dark corridor cool hotel perfect city break - think young heart though see couple old people look little perplexed & amp ; definitely place little kid even though see . 
 Oct 17 2008 	 sure 	 stay Hudson friend 4 night girly trip nyc.fabulously tendy yes , really much else recommend it . we pay around £ 150 / night Deluxe ( big standard ) Expedia , upgrade double double room additional $ 60 twin bed room available . room pretty good size , 2 queen sized bed , seem world apart standard room . 's enough hang space ( open rail door ) enough hanger , drawer , space put suitcase & amp ; shopping . lovely crisp cotton bed feather pillow & amp ; duvet , request change allergic & amp ; not actually happen 2nd day . obviously stylish decor decent flat screen tv ( , well standard room ) .The bathroom ok size ( another benefit large room ) not glass partition instead real solid wall door . top tip - hairdryer hang back bathroom door ! lot trendy luxurious accessory , beware cost - scent candle complimentary ! minibar extortionately - price snack soft drink . although stylish , room really standard average Travelodge start need refurbishment . as other comment , public area incredibly dark actually quite depressing , especially corridor . Rooftop terrace outside bar quite lovely , former advantage resident only . elsewhere , garden bar main bar , absolutely preferential treatment hotel resident - willingness commit bottle service appear way secure table , $ 300 bottle vodka ! probably element make quite dislike Hudson . weekend bar pack , velevet rope entry policy . garden bar , chance table queue $ 18 drink . quiet Monday , ' allow ' table bar small one could decent table party 5 ( even though place empty ) want purchase bottle spirit champagne . overall , ok 3 * standard approach customer service beyond pretentious ! 
 Oct 15 2008 	 's scam 	 book hotel Priceline . read review little disappointed . room extreamely small , read review upgrade large room $ 30 extra per night . ( Staff origianally ask $ 60 negotiate $ 30 ) . sister check assign queen bed , entire hotel room 150 sq . ft . ask upgrade . give we room king bed , 230 sq . ft , additional $ 60 per night tell book directly hotel would pay less Priceline . felt scamme . check room especially compact . unacceptable . return front desk tell another staffer would chepaer book direct . ask speak manager say happy would cancel reservation . take offer . within 15 minute , Priceline refund money rebooke we Hilton Millenium price . 
 Oct 14 2008 	 Dreadful 	 stay 3 night bad experience NYC ! hotel room ready , non - smoking room leave check . hotel try offer viable solution we -- & quot ; sorry , check back we tomorrow & quot ; ) . hotel try hard trendy hip . nothing big noisy nightclub thump techno music 24 hour day ! wall paper - thin hear everything go surround room hallway ( hotel seem book mostly 20 year old , fill - in - the - blank type noise hear hour night ) . street noise also loud , well music club / bar hotel . room build comfort , one tiny electric heater / AC unit wall ( unit also noisy ) . drink bar $ 16 ( cheap ? go rate drink ? ) . highlight hotel locate diagonal Columbus Circle subway stop . please stay elsewhere save headache . 
 Oct 13 2008 	 Great Design can not Sleep Lobby 	 design student , ' ve hear rave review Hudson . public space amazing recommend visit bar outside space . however , would recommend stay . travel NYC quite often , travel ton work . small room ever see city , frankly , room last cruise big ; example , negotiate toilet bowl climb shower -- beware handicapped traveler ! average stay : 1 ) staff greet we smoking room , make clear & quot ; less & quot ; book Priceline ( turn full price ) , 2 ) room service housekeeping ( call daily ) , 3 ) bathroom pocket - door not work ( cause bit intimacy want ) - call desk 3 time bathroom tell engineering & quot ; way . & quot ; -- engineering never show . 
 Oct 7 2008 	 bad hotel ever stay £ 120 night 	 heating - aparently put heating reach 45F . sit blanket room ! DARK DINGY CORRIDORS - yes maybe trendy 25 's . 40 kid , dont stay here.corridor look like prison . ROOMS - PRISON CELL SIZE . YOUTH HOSTELS WARMER larger . CURTAINS - can not keep cold out . no TEA / COFFEE.IT 's convert government apartment building show ( thats CANT PUT heating ) check one day . bad . Book Park Central around corner . wamer , large cheap . all pay Hudson ' trendy ' paint gloomy ' hip ' lighting . we also stay Club Quarters Rockfeller centre . pure luxary compare dump , 45 go one child . can not even begin think would happen mother anyone poor eyesight book hotel , probably would fallen something . 
 Oct 2 2008 	 like 	 book via Expedia get really small room next noisy airco unit . room small go back reception ask big room . pay 60 $ /day extra could bring 30 $ - room little big ! interior really cool , nice reception , nice restaurant nice bar . one big disappointment main bar turn club evening , every night ! ! dinner hotel lobby crowded music really loud . small bar also crowd difficult get drink Friday Saturday night hotel . breakfast great . ny great city enjoy stay ny . 
 Oct 1 2008 	 great hotel find deal 	 husband stay 5 night Hudson Hotel April tourist thing NYC . apprehensive arrive read not - so - great review hotel , really enjoy stay . would definitely return , full sticker price . thing consider book stay : yes , ' true . room tiny , efficiently lay - out . room also dim due low lighting , dark wood panel small outside window , clear glass pane bright ( tiny ) bathroom bedroom help lighten room . yes , ' also true hallway dark , never problem we . ' trendy bar lobby ' hopping weekend , make sure request high room ' worried noise . btw - impressed hotel security check make sure guest ride elevator night . check - in efficient , reception staff friendly - upgrade we large room first night ( tell truth hard tell difference , small ! ) concierge really helpful , even get us restaurant ( Babbo ) ' try book month ahead arrival ' get table . doorman safely store luggage checking - out could still spend last day explore NYC baggage - free . else , location absolutely terrific – close Central Park , 10 min . walk Time Square , 2 block subway . however , ' true sign outside Hudson , sure look picture hotel exterior arriving find easily . say , would stay recommend hotel ? yes , ' okay , find deal $ 200 night well . 
 Sep 26 2008 	 like Hobbit Jail Cell 	 great location , small room / bathroom ' ve ever seen.- ' expect work room . table hobbit size ; could barely get laptop mouse nowhere put overpriced bottle water table . - ' expect kick back relax watch tv – seriously , IPhone large screen tv room … and channel ! - ' expect stretch room . ' pretty tall swear could touch wall , floor ceiling simultaneously ! - ' expect relax experience whilst perform ablution ; bathroom small knee touch wall sit think ! really , bathroom probably 4 foot wide ! - ' expect able find entrance without spirit guide , entranceway well hide entrance ministry magic Harry Potter Movies - complain eventually find hotel name number outside , receptionist tell part character hotel . tell bloody foolish give guest psychic . - ' bring child entrance area – dark could easily kill small child rolling luggage even know . take small child ' recommend flash beacon hat flashlight careful . know think cool really make place feel dingy . do not get wrong , get room good price fine – location great room clean enough . not bring much luggage many friend . 
 Sep 25 2008 	 cool hotel 	 return 3 night stay 19and 20 year old son daughter love it . bedroom small rest hotel make it . it fantastic ambiance , good music , good food . check quick taxi always readily available . I would recommend husband struggle bedroom size , , not stay standard room . do not put staying bedroom size cool place stay enjoy 
 Sep 24 2008 	 amazingly different experience ! 	 despite might read review please let description small room decide wether stay night . wife stay hudson 4 day NYC getaway simply love . hotel locate right columbus circle great park one sit people watch well access central park . overall look hotel amazing . greet front door Hudson staff take escalator lobby . different unique lobby Hudson create . somewhat dark cozy great music selection play speaker . yes room small way set room layout decoration one really think twice size . pleased room especially tv wall stereo system . also pod docking station . Library bas must go drink especially rooftop terrace relax catch great view city . Hudson club pack Saturday night great DJ . suggest request floor high level . also recomend restaurant Hudson succulent menu . try garlic potato fry . talk wow ! 
 Sep 24 2008 	 pay $ $ $ $ $ $ designer name 	 ' ve stay hotel two nite September 2008.tiny bathroom og room feature shower . can not 2 people bathroom time : ( ( ( double size bed ( queen king ) low floor . nice furniture quite fanky worth price.spectacular lobby , garden , sky lounge bar good food downstairs restaurant ( great burger ) ok helpfull reception ok customer servicewill choose stay hotel againB 
 Sep 24 2008 	 Nice Hotel Small Room Nice Decoration 	 stay Hudson December 2006 finacee . the hotel well decorate staff friendly helpful regard restaraunt recomendation general service . stay 4 day eat restarant nice experience , generally sit long table people add social aspect food good quality enjoy night out . we stay standard bedroom small , not unusual New York take something away stay . the Hotel quite trendy bar downstair seem frequent revel goer night night may everyone 's cup tea venture good atmosphere . the location pretty good near south west corner central park time square within easy walk distance . all nice stay would look go different hotel return New York future . 
 Sep 23 2008 	 Avoid Hotel be Larger Person 	 Hudson Hotel room small ' ve ever see , include Europe . ( management must make killing - think take room renovation slice two , not charge anywhere near half rate . ) room 8 foot 16 foot total . bathroom tiny , use toilet size use pre - school . find difficult , ahem , get bit reading , toilet tiny close wall knee touch wall . be 6 foot , might physically capable use toilet . shower stall small , barely turn around . bedroom small , be hard regulate temperature humidity room . ( HVAC system use lousy control . ) bed one mattress , low ground . desk chair metal , desk tiny . ninth floor , hear boom boom music downstairs , window close . , 3:00 a.m. bunch car honk horn wake . need well window . pleasant stay . could use sign front . 
 Sep 19 2008 	 Recommended - Overpriced 	 room extremely small . even NYC , way small ... bed also small close ground ... comfortable . bathroom tiny tiny , tiny not enough space make bag ! funny fact : 15 '' tv hide closet take find , literally 17 '' , remember really old tv ? yes , one , old attach electronic device would work remote control ... friend big LCD wall room , opposite mine . the theme hotel nice , dim light good touch , feel stay youth hostel europe , ten time price . I pay almost $ 400 per night , totally oveprice , totally worth 
 Sep 17 2008 	 poor maintenance 	 stay Hudson business stay many Morgans Group hotel ( clift , Mondrian LA , Royalton , Morgans , Delano ) . first night , room 's air conditioning not work check maintenance come four time fix . turn issue circuit breaker could not fix hotel sell could not move another room . 1:30 point , not want move . call multiple time finally speak manager since none voice mail message return . they move new room next day guess , fan A / C not work room . Maintenance spend 45 minute working unit ( 11 pm ) not new unit replace - hotel sell - another night without air conditioning . addition , try access wireless internet get & quot ; many connection & quot ; error finally able connect speed low ( similar 56 K modem measure Speakeasy 's speedtest ) maddening . overall , disappointing experience ' ve many enjoyable experience Morgans Group hotel . 
 Sep 17 2008 	 cool ' ve forget important stuff 	 hotel fine much effort gone make cool not & quot ; work & quot ; . 's dark see anything , freeze , wait 10 minute empty lift , take 1 hour check 11 pm , service appalling , room tiny etc . its clean though good location nice bar . definitely worth money though . 
 Sep 17 2008 	 beautiful design hotel 	 Hudson hallmark Philippe Starck design , beautiful common space , really stunning , light bar particularly special . overall theme hotel college , big library room , many place sit , see see . the room small , even space lay suitcase , see - through glass shower may everyone 's cup tea . roombody , stunningly beautiful hotel . service great , food pricey , delicious . drink expensive bar , pay amazing space . 
