great 	 stay weekend 28th Nov , 3 lady . brilliant room , great value money . can not knock anything , fab . would definitely recommend . location ideal tube right outside door . staff could not enough , deserve 4 star . Kensington lovely place , quiet safe . 
 Jan 23 2006 	 Good Hotel could well 	 area around hotel excellent , close Museums , good bar restaurant close Tube . staff friendly Bar Restaurant spacious , relaxed nicely decorate , hotel fall Rooms Breakfast . the first room get tiny request suite , cost we extra £ 25 , good sized large room . the tv bit old , bad picture tv channel facility buy movie . bit modernisation would go long wayThe breakfast morning English breakfast cold , oh cold ... egg suppose hard soft ... 's pity , thing look would perfect 
 Jan 20 2006 	 's everything say ! 	 spend 7 night early January Holiday Inn London - Kensington delight find hotel exactly describe review site . indeed , base trip - advisor review elect hotel certainly disappoint . ( 3 adult - one couple one single ) stay duplex suite 6th floor face garden . perfect set - up we , couple accommodate king bedroom upstairs single accommodate downstair reasonably comfortable sofa - bed . opposite bathroom second level suite small balcony overlooking garden . pleasant surprise mention balcony previous review Holiday Inn 's description duplex suite . balcony especially welcome three us smoker . aside provide outdoor area smoke ( yes - know disgusting habit ! ) also grateful able open door night heating system unable adjust great extent room control generally find room warm , particularly up - stair level . inefficient climate control seem common theme complaint many hotel guest UK elsewhere Europe guess place different . generally find hotel convenientally locate traveller give generous size duplex suite , great value money . reception concierege staff helpful friendly . three we agree would stay without think twice . 
 Jan 8 2006 	 would stay 	 arrive Hotel car , ( Mid December 2005 ) parking ideal car park underground , across busy a4 , easy access due one way system direct access case hotel , parking obtain card hotel , frustrating parking outside hotel . good travel rail , next time . hotel staff friendly , arrive early complimentary coffee restaurant . impressed restaurant efficiency staff although friendly . restaurant empty lacked atmosphere although decor OK , order lunch , snack , not seem understand want take long time arrive although nice . not use restaurant except breakfast . fairness would not use restaurant anyway time . we upgrade suite 6th floor , one lift action 3 day little annoying ( mid week ) .The suite two level , lounge extra bed downstairs , main bedroom upstairs via spiral staircase say wife find quite difficult , old ! clean , spacious bed comfortable . quiet , ask room overlook garden back away road . concierge helpful , book we Theatre ticket . location : would probably stay like area , near underground also could walk Harrods , Museums , Hyde Park , also many restaurant area . 
 Jan 4 2006 	 great value top location superb service ! 	 hotel offer excellent service . impressed everyone 's willingness please . arrive early reception staff problem get we room . hotel across road Waitrose pick snack drink , also Post Office foot away - good topping mobile phone card . lobby modern clean , back garden treat . 's little Chapel garden , make wodnerful afternoon setting . ask garden facing room front hotel get loud busy Cromwell Road never go sleep . good part hotel though great price . 's five star , comfortable . 
 Jan 1 2006 	 Good Value 	 stay 3 night early December find Hotel Trip Advisor . great location Gloucester Road Station across road , several good restaurant nearby friendly helpful staff . room good size Hotel spotlessly clean . excellent value book on - line . will stay next month ! 
 Dec 16 2005 	 great stay especially family 	 stay 8 night , choose base positive review Trip Advisor . great stay . hotel comfortable quiet room fairly spacious London standard reasonable price . even pillow menu choice 5 different type . location convenient - across street Tube station 3 line , include picadilly line direct Heathrow airport , 10 minute walk three major museum ( natural history , Science Victoria Albert . ) Kensington Park Kensington Palace 15 minute walk . right neighborhood plenty restaurant two great patisserie sainsbury grocery store plenty choice dining snack . buffet breakfast include room rate quite good egg , bacon , fresh fruit , yogurt , cereal . slighlty big selection weekday weekend . breakfast rather pricey pay , 12.95 pound , well choice would nearby patisserie . finally , staff helpful make reservation supply information . 
 Nov 25 2005 	 perfect base family stay 	 hotel absolutely perfect family vacation . wife 2 kid ( 8 9 year old ) steye 5 night . excellent room cable tv small fridge . dvd player something kind excited play DVD 's UK . not bother bring movie U.S. clean bathroom great shower plenty room we . location unbelievable . tube station literally around corner make easy access every site visit . neighborhood great bakery / coffee house breakfast roll quiche morning , grocery store , ASK pizza place Garfunkels restaurant , Fish Chips take , pub , Burger King , KFC , newstand , couple nice italian place internet cafe within couple minute front door . never feel unsafe kid get back long day leave morning . walk dinner night long day see site jump tube couple time dinner . walk Science natural history museum ( 20 minute ) take Tube everything London . staff extremely friendly helpful . can not think one thing hotel , location staff totally acceptable . 
 Nov 14 2005 	 word .. excellent 	 first time stay hotel ... book twin room ... come two large double bed , well fit , clean , surprisingly large room . Booked Hotel direct.com give great rate handle book professionlly . check pleasure .. take breakfast excellant great choice pleasant staff .... step away tube great area .... stay 12 hotel per year ... great find Central london 
 Oct 31 2005 	 Great Value Great Location 	 wife along two friend ( we mid 20 's ) book 4 - person room early September touristy weekend trip . location : perfect convenience . hotel literally accross Gloucester Rd Station well one block Red / blue tourist bus line take around city . Gloucester Rd Station easily reach area city via tube . Adjacent station number bakery cafés grab morning coffee croisant . Hotel Cleanliness : everything satisfactory maid come late morning clean change towel . lobby lounge hotel always appear clean well . Rooms / Comfort : bed ( 2 Queen ) big enough , mattresse firm mean wear . bathroom clean , one sink pretty standard . room two window face street heavy traffic flow hour , however window double pan keep noise low . staff : everyone concierge attendent bar put good face pleasant deal . arrival departure feel could get answer question advice tackle sight tour interested in . value : base date manage get hotel mere £ 100 per night , experience London bargain location quality . overall : not let rating throw , would absolutely stay hotel , believe high two rating reserve truly exceptional luxerious hotel resort . 
 Oct 5 2005 	 great stay great location 	 wife finish Europe trip London . stay Holiday Inn Kensington two night great stay . smallish european hotel room , nice treat large room big bathroom . location terrific although busy . Harrod 's mile away High Street nice walk Gloucester Road . can not beat tube across street direct connection Picadilly Line Heathrow ( 40 min ) . great patisserie , Paul , locate corner ... great coffee pastry . try book chain 's website , net rate quite resonable London 's standard . definitely ask courtyard facing room . 
 Oct 4 2005 	 perfect place stay london 	 look many week online hotel London come upon website describe people review hotel . tell review read hotel excellant take chance book hotel . locate block away tube , walk distance Victoria Albert musuem , several restaurant choose nearby , safe neighborhood . terrific stay staff helpful , room lovely clean , breakfast spread fantastic . price reasonable room . conceige terrific suggustion place see , get ticket show , direction , ticket special place . would definitely return location . family vacation one adult 2 teenager , also think great hotel . 
 Sep 25 2005 	 great hotel family 4 	 great hotel family 4 . room big enough , two double bed nice quality bed linen . bathroom large clean . staff pleasant , even offer free wine beer fire alarm go middle day stand outside . professional apologized incovenience . super location , right major tube line right across street major grocery store . London expensive buying supply store helped keep cost . & quot ; room service & quot ; buy thing store eat breakfast room . easy walk Kensington Garden Victoria Albert Natural History Museum . get Garden view room , nice quiet . would definately stay visit London . 
 Sep 11 2005 	 HI Kensington- great location nice place stay 	 tonight last night stay Holiday Inn Kensington . two other stay executive room 5 night . pick hotel good rating receive site . stay great , room big room london . large Bathroom shower / tub . locate across street nice cafe , restuarant fast food place . also across street Underground station Gloucester Road . would definately stay . hard find room london 2 double bed . executive room 2 dbl . beds white linen bed comfortable . complaint use key access electricity . first time ever see . maybe standard london hotel .. quite sure . also staff speak english do not give many good recommendation / advise . besides stay enjoyable . 
 Aug 23 2005 	 great hotel good location 	 spend night hotel v impressed . good service , clean room , adequate Gym facility , also nice cocktail bar . try get room overlook courtyard much quieter overlook cromwell road . room rate buy breakfast restaurant excellent little deli across road ( turn leave hotel turn right cross road Traffic light ) rack rate high , book guarantee advance secure room half daily rate . hotel west london relatively easy get to / from heathrow . cab centre town £ 10 , tube station 5 min walk . 
 Aug 20 2005 	 Fantastic ! 	 spend good part 5 day here- say- absolutely fantastic ! 2 floor room top floor build back- private little terrace / balcony . slept french door onto terrace open night remarkably quiet- excellent give a4 one main route london . probably due we back building ! use holiday inn place , far nicest- also big regard room - which surprising give right central london . Kensington nice well heeled area- easy access tourist stuff that s thing ( zone 2 station 10 second front door ) , good helpful staff . one thing half complain air conditioning good * ( american good air con everywhere ! ) I m english use all . parking expensive @ £ 25 day- everywhere london that s go rate , secure safe . happy pay risk back street . as place , check store luggage securely charge late flight / travel . major point , useful nonetheless . absolutely complaint whatsoever - will definately back . make hilton etc look poor overpriced comparison . in fact- make london flat look small overpriced comparison ! ! ! ! area get well room price , struggle get well room price even remotely near one . highly recommend . 
 Aug 12 2005 	 Loved Holiday Inn Kensington 	 return 9 day trip London . stay Holiday Inn , Kensington . choose hotel mainly need room two double bed . loved hotel . look like London townhouse outside whereas Holiday Inn Kensington Forum high rise across street . staff hotel friendly helpful , ( mostly young nationality English ) location wonderful . walk distance museum Harrods . eat breakfast hotel buffet little expensive . great little Patisserie across Cromwell Road Gloucester Road sit open air every morning fresh baguette coffee . Gloucester Road tube station directly across street . beware 40 p charge every time pick room phone call . internet room hard use . computer room main level - charge . upgrade half stay 20 pound night suite upstairs downstairs really nice . recommend hotel . 
 Aug 8 2005 	 mostly Good 	 recently return UK / Ireland , eight day London Holiday Inn London - Kensington ( confused Holiday Inn Forum two block away ) . overall good experience . location great -- across street Gloucester Road Station , Picadilly Line . location around hotel generally clean , safe , generally quiet night ( hotel room quiet . never hear anyone adjoining room ) . Kensington area fine walk around . even late night , never problem . however , upon arrive ( 10:15 pm ) room uncomfortably hot , light bathroom work . a / c unit ( pass A / C London anyway ) well anemic , little air expel warm air . upon contact desk manager , commenced tell normal -- A / C UK USA . stare amazement , continued say & quot ; Air Cooling & quot ; , air conditioning understand USA . point write room description state & quot ; Air Conditioning & quot ; & quot ; Air Cooling & quot ; -- response definitely pay grade . of course , BS . ask different room four we . room . ask manager ( BTW Norway , staff mostly former soviet eastern block country -- problem , observation ) . manager confirm nothing available . time , tired continue , spend first night stuffy hot room ( bring we fan request ) .Then , 7:15 , awaken deafen fire alarm entire Hotel evacuate building . exit street join half asleep , half - dress tenant , think book place good idea all . that morning request still on - duty night manager meet head HVAC mechanic , build engineer , discuss A / c problem . come room morning ( first actual british person meet Hotel ) apologize condition . explain two A / c compressor recently fail , agree particular room A / C unit work . go say another room go available , A / c much well , manager get ready we ( finally honesty ) want move . our reassign room , though cool USA standard , definitely well first room . sum , staff generally respond well work solve problem . deserve credit . , truthfulness front would much well . garden back nice . bar O.K. , expensive . eat dining room , get room service dinner one night quite good , although course expensive . also , plenty place eat around hotel , Gloucester Road Cromwell road ( a4 Heathrow ) . starbuck coffee across street . concierge helpful , book many tour event directly . great location , helpful staff , clean surrounding . overall good choice London stay . family four two teenage son , honest thought room well describe . -- one pay . 
 Aug 5 2005 	 amazing value London 	 TripAdvisor come gem inexpensive hotel heart London . look something cheap , clean convenient get lot expect . base review , ask courtyard - face room . since hotel right busy road ( Cromwell ) , might reason room quiet . staff helpful arrival , important give arrival . four we ( 2 adult , 16yo 11yo ) travel multiple , small bag ( 4 knapsack , 4 small suitcase ) wife 11yo get dump doorstep hotel take 16yo special side trip . challenge staff not step help - time , turn pleasant non - event . the room London - small ( North American 's travel european capital get pretty claustrophobic not prepared ) . room wiring bit confuse - one light switch bedside turn everything ( include tv internet ) . internet work TV . one accessible plug situate make nearly impossible use north american power convertor ( pull desk . internet pricey ( like european hotel ) around L12 / night . access mention L16 package include internet one & quot ; adult & quot ; movie . the room clean comfortable , large bathroom ( shower / tub ) . not stick around breakfast courtyard look lovely room 's window . the hotel situate across street Gloucester tube station 's Tesco Express grocery / snack purpose . get airport hotel 35min cost L40.We quad room L115 include VAT have certainly happy stay . 
 Jul 27 2005 	 Handy Location 	 spend 3 night Holiday Inn Kensington London . book Holiday Inn reading / hear horror story dingy , rundown hotel want avoid . quite satisifed hotel . hotel half block tube entrance quite easy get . room clean staff helpful . room book spiral staircase get bed bathroom ( pull couch table chair downstairs ) trouble walk stair would hotel . find different price hotel look online worth check . also , grocery store deli nearby pay price eat breakfast hotel . grocery store street cheap one right across hotel . unfortunately stay time second bombing attempt tube bus , quite impressed presence british police watchfulness citizen police . ask room face courtyard much quieter one face street want open window , although hotel air condition . 
 Jul 10 2005 	 Perfect Combination ! 	 visit London business twice year stay many different part city . fan tube find useful get around , even though expense account would pay taxi trip . summer 2004 2005 take family , tirp ( 2005 ) stay Holiday Inn Kensington high - quality review TripAdvisor . let us face , unless want part LOT money , London hotel exercise compromise . choose HI - Kensington across street Gloucester station Picadilly line , go directly Heathrow . spend forever London drag suitcase , far convenient find ( one note -- one set stair Gloucester station escalator elevator ) . room spacious , garden - view request definitely way go , be plenty close - by amenity -- grocery store , wine shop , late - nite store , Starbucks , coffee shop -- convenience factor alone make one winner , mention 's comfortabel reasonably price . ' ve pay much much less London , ' m glad find one . 
 Jun 23 2005 	 great choice ! 	 get back Holiday Inn - Kensington . stay week . small Holiday Inn , Forum . look affordable place stay , room accomodate , husband , 5 year old daughter . easy thing London without pay fortune . garden view room , size perfect . two double bed , little bit room toy . staff wonderful , room clean . toiletry , warn . several grocery store , supermarket restaurant area . right across street convenient tube station . garden daughter play . air conditioning room ( need , since heat wave . ) AC break one night . complain , bill adjust . Kensington beautiful . little bit away crowd , close enough . usually stay much nice hotel , would definately stay . 
 may 26 2005 	 adequate 	 not often stay overnight London first time . pleasant hotel typical Holiday Inn . executive room clean reasonably large - London ! staff polite helpful . hotel 's big advantage location - right oposite Gloucester Road tube station lot great restaurant bar vicinty . 
 Apr 14 2005 	 perfect spot we 	 get back first trip London . stay 9 night Holiday Inn . perfect ! perfect size 3 we , perfect location across tube stop , restaurant late hour , great grocery store . nice , safe neighborhood . helpful courteous staff . nice cocktail lounge first floor stay open later area pub . would definitely stay ! 
 Apr 12 2005 	 would stay - great location nice hotel ! 	 family stay Holiday Inn ( remember locate 100 Cromwell , tower holiday Inn 97 Cromwell ) week mid - March , 2005 . hotel well run , clean great service personnel . write note concern breakfast grocery store . IMPORTANT note : decide make reservation request room face nice garden . three reason : much quieter side face busy street , nice view look large garden area beautiful old church great air circulation open large window . location name game London . conveniently locate within 100 yard Gloucester Tube branches three different tube line ( important get around - we purchase tube pass good several day - really save money transportation ) . great little grocery store call Waitrose directly across street make easy purchase soft drink , fruit , snack take back hotel quick breakfast . not purchase breakfast option - expensive taste . also , two restaurant grocery store . think Garfunkels well two - tastier food reasonable ( England ) price . bank ATM machine right around corner . would definitely stay - go - ENJOY ! ! ! 
 Apr 10 2005 	 Excellent Buffet Breakfast ! ! 	 spend 5 day Holiday Inn Kensington husband 2 child age 7year . super location - Gloucester Road Tube 2 minute across road . right opposite hotel large Waitrose supermarket , Garfunkels restaurant around various sandwich bar , small supermarket etc . nice , modern lobby nice , modern , look recently refurbish bar area . beautifully tend gardens lovely old church ground . stay standard room not overly large . room overlook Cromwell Road major route , say noisy . - double - double - glaze window system excellent window shut could hear noise atall . would liked ask room overlook garden wake disturbed night 's sleep husband think would take long repack ! future reference , especially young child , request room overlook garden . a / c overnight , even low setting make distinct ' hum ' . room , say , hot . would much rather able window wide open . bathroom fair sized , fairly plain , nothing special clean serviceable quite nice power shower . husband think room lack storage space tend agree - 2 adult 2 kid April quite fleece , jean , gilet , etc problem find place store wardrobe ( x 1 ) small 4 small drawer . room 2 double bed please kid previously sofa bed complain spring feel mattress . thing notice bed ' springy ' , light sleeper , feel every turn husband make night ! ! good bit buffet breakfast , include price ( book central reservation 3 - day flex option ) . kid eat free . offer fry - up , sort croissant / muffin , toast , roll , cereal , grain , fresh fruit , juice , cold meat , etc , etc . first 2 morning ( mid week ) eat modern , refurbish , restaurant overlook garden weekend morning , open one conference suite , obviously cater increase number weekend guest , room ( Buckingham Suite think call ) little tired look old fashioned swirly carpet . hotel good value , clean , comfortable super location . not usual extra bathroom take home , sign say have ' forget ' anything like shampoo , shower cap , etc , would provide ask . pay £ 480 think , 4 night include breakfast ( ' kid eat free ' ! ) receive confirmation booking realise price not include VAT . another Holiday Inn Kensington - Kensington Forum , could see room . high , ugly building , almost sky - scraper like , lady central reservation tell time booking prolifically use air staff Heathrow stay overnight , not charm personal touch Kensington Holiday Inn . would imagine right . incidentally , hotel lovely , old building lovely white facade , would say victorian age . 
 Mar 31 2005 	 Excellent Value location helpful staff 	 highly recommend hotel . Holiday Inn Kensington make feel like stay hotel New York City . lot Americans stay , include American Airlines personnel . fact , seem like airline employee ubiquitous . address give 97 Cromwell Rd not get confuse another Holiday Inn across street . Holiday Inn , 20 + floor large building neighborhood , 2 block Gloucster Rd underground station . main entrance hotel Cromwell Rd , back . lobby quite spacious modern plenty room sit . lobby also wireless internet . staff knowledgable , helpful , enthusiastic young . seem enjoy chat help guest really appear love work . staff seem really cater make foreigner feel comfortable . room clean modern , well keep large London standard . always taxis wait main entrance , even early 5:00am . March 30 , 2005 , international call US 3.60 pound / minute . local call 50p per minute . 
 Mar 12 2005 	 not Holiday Inn 	 location exellent Gloucester Rd . tube stop Piccadilly line direct access Heathrow . numerous restaurant shop nearby . build nice back large garden . lobby bar / restaurant area pleasant . staff helpful . room , unfortunately , Holiday Inn classic , tacky plastic advertisement every surface , deep green color scheme ... mattress sag bathroom unattractive . bathroom amenity non - existent . get one tiny bar soap whole 7 day . 
 Feb 28 2005 	 Simple reasonable 	 wife , 2 child stay Holiday Inn Kensington week around new year . one hotel could find central London room two double bed , rate ( 117 pound include GST ) reasonable London . exorbitant anywhere else , reasonable London . our room cosy quite adequate . overlook park North spare noise Cromwell Road enjoy nice view old church ground . bathroom could retile clean good size even speaker could listen tv news shaving ! not eat hotel restaurant . breakfast 12 pound think spend $ 100 would even set foot outside hotel much . supermarket across road good selection cereal , fruit , pastry , yoghurt , fruit juice , etc . Beware & quot ; cheap & quot ; italian restaurant 100 metre road . one small roll table arrive charge pound tell waitress remove . ask water bring 4 small bottle 2 pound . read small print menu ! hotel location beat . jump tube Heathrow , alight Cromwell Road without change train , simply walk 40 metre hotel . get around London could hardly well locate . all happy hotel . 
 Feb 23 2005 	 Excellent room . excellent service . great location 	 February 23rd.2005.spent four night last weekend . perfectly situate directly opposite Gloucester Rd . tube station main 74 bus route Oxford St / Baker St. Bars , restaurant , coffee shop food store within step hotel . classy modern hotel typical Chelsea building . occupy duplex suite spiral staircase upper floor king size bedroom . amazingly large accomodation central London price range . despite artic temperature London , hotel cosy . discover window latch break could open window . on report , faulty lock immediately replace provide fan cool separate area suite ! great service .. congratulation excellent front office maintenance staff . always choose hotel future bi - annual trip London already recommend friend . 
 Feb 8 2005 	 well worth consider 	 minor problem fail stop we enjoy three - night stay competently - run hotel would consider future . hotel excellent location , within two minute ' walk Gloucester Road tube station , notably convenient shop foreign currency exchange good rate . check - in three night stay start January 2005 polite . although pay double room check - in offer we choice either smoke king - size room immediately non - smoking king - size room hour . suspect due Priority Club member specify preference king bed . decide wait non - smoking room visit prominent internet cafe near Victoria station pass time . unfortunately partner wallet steal . blame hotel , even though ruin day . call card ( 0800 , & quot ; free & quot ; ) call free hotel room , though charge bill relatively reasonable 40p . room decent size , long desk one side , minibar , round table , selection news magazine two chair . bathroom typically size - , small - amenity fine shower excellent . bed indeed king size , single soft mattress , one good british bed ' ve sleep . breakfast decent ; rate ( ninety pound per night include tax ) include breakfast not charge we room service , even though clear either way whether would charge . cleanliness entirely fine . entertainment well british hotel : selection channel approximately equal Freeview service charge , plus 4 hour ' internet computer game eight pound . little sticker shock price - phone box outside give 15 minute one pound , internet cafe cheap still - even not going use two hour , able surf ' net indoor pyjama well worth premium rate . internet access display tv use slightly backwards browser less - than - wonderfully - crisp font , be certainly adequate overall . downside , room quite long thin long bed stretch across point would like extra six twelve inch ' walkway bed immovable desk opposite wall . be carry laden breakfast tray , be rather precarious gap squeeze you'ld like . additionally , staff seem completely familiar detail either room service practice ; menu list impressive selection ice cream sorbet , actual choice bear little resemblance not sure actually deliver order . either can not tell blackcurrant plum . incidental downside , though ; price competitive London standard , offer respectable value , location excellent consistently rest well . , add hotel well worth consider return visit . 
 Jan 11 2005 	 good reliable place stay 	 return week London - stay Holiday Inn Kensington . Priority Club platinium member , automatically upgrade Executive Bedroom extra charge . normally upgrade would cost 20 pound per night . similarly price upgrade available something call Oversize Bedroom additional 40 pound per night suite available . Executive Bedroom size typical american hotel room - assume & quot ; regular & quot ; room would small . bathroom quite large european hotel . base read early review , request receive room garden side hotel . hotel main thoroghfare quite busy morning , garden side room definitely something try get . as note several early review , heating system BIG problem . room extremely hot . complain get run around . first tell AC would repair . not . second attempt repair also fail . insist maintenance person come room , story change - AC system allegedly entire building ! offer fan help . not able open window mechanism break could not seem repair . on plus side , location great ! 's Tube station across street plus Starbucks , great patisserie number decent restaurant within walking distance ( stay away Garfunkel 's however ) .I ' m return London April probably stay - though email manager Priority Club heating problem . 
 Jan 6 2005 	 Loved Holiday Inn Kensington 	 15 year old son , husband recently spend 5 night Christmas hotel ! wonderul stay . even receive Christmas present Christmas eve ! absolutely would stay ! 
 Dec 18 2004 	 close piccadilly line central london 	 stay past week three night parent happy hotel . everything clean , room expect ( european standard , american ) staff encounter friendly helpful . only problem encounte heating / cool system room . room extremely warm entire time , despite try adjust air system . winter , open window . most importantly we location ... mother slightly handicapped trouble walk , hotel 1/2 block tube station . ( Piccadilly line go direct Covent garden , Piccadilly Circus , Leister Square less 10 minute direct ... also go Heathrow direction ) .I would recommend hotel anyone want safe friendly neighborhood quick access center London . 
 Nov 24 2004 	 Holiday Inn Kensington 20 - 22 Nov 2004 	 family spend 2 night hotel . book family room get standard sized room 2 double bed . room clean dingy dark feeling . bathroom also clean need updating- ie tap rusty , tile grout grey etc . location wise we great- within walk distance natural history Science museum well harrod ... place plan & quot ; & quot ; . breakfast good , lot choice hot cold . dinner saturday fine- food edible good had- service slow even though 7 empty table tell & quot ; 2 chef duty & quot ; - problem guest ! ! pudding take age manager offer we free coffee try ! decide eat sunday many reason , one kid eat free , kid tired thought could go rom eat allow husband half hour couple ! order Bacon Avocado Ceaser salad ... AWFUL ... dress full vinegar mouthfull salad tasted vinegar , complain tell waitress & quot ; dress always use & quot ; tell train chef ceaser dressing . take plate away soon bring back manager argue correct- tone dreadful actually leave table upset . eventually change dish cold salmon home make chunky chip . salmon fine chip undercooke middle- decide sign bill leave meal evening spoilt . basically would stay upgrade room do not eat Garden Restaurant . ASK Garfunkles opposite would use even tired kid ! 
 Oct 18 2004 	 great location good room- do not forget add VAT . 	 stay Holiday Inn 4 night two week ago happy . check late check early due air movement LHR , problem & amp ; staff helpful & amp ; courteous . as able get early bird rate internet standard room , comfortable importantly - quiet . thing remember internet booking add vat 17.5 % advertised room rate- even allow , still pay well standard tariff . other note location excellent Gloucester Road Tube station 2 minute walk away , well cafe , patisserie , supermarket bar well ! . back London stay . 
 Oct 16 2004 	 Americans expect much ? ? ? ? 	 stay Holiday Inn Kensington 5 night early August . reason choose hotel 's official website say Air Conditioning room . a / c cool room entire stay . report lack A / c front desk first day say work restore . ( ice machine working floor either . ) temperature high 80 's high humidity . able sleep . report problem management every day . assured would work soon . a / C never cool room . & quot ; suffer : 5 night . pack move another hotel prepaid room entire stay . HOLIDAY INN policy states official website & quot ; problem stay , reimburse . & quot ; write manager Holiday Inn return States . explain carefully problem encounter Kensington Holiday Inn . receive surly letter return state & quot ; Americans expect much stay would reimburse . & quot ; official Kensington Holiday Inn website state A / c public area . change take place stay ! please AWARE HOLIDAY INN stand HOLIDAY INN POLICY . gee , wonder Kensington Hotel heat winter ..... ? ? ? ? ? 
 Sep 27 2004 	 Basic Functional 	 Stayed overnight last Sat 18th September 2004certainly ritz pay Ritz ! perfect family , problem 2 adult + 3 kid 1 room be not easy get time . leisure facilite pretty poor , jacuzzi + steam room action . Buffet Breakfast excellent ! ! ! you d select hotel affordable clean accomodation excellent location great breakfast anything else look elsewhere . be sure book holiday inn website good rate 
 Sep 7 2004 	 Great Place stay Travelling Family 	 return September 3 , 2004 3 week holiday UK , spend 4 day London . book last minute . travel two daughter , 16 20 , find difficult London find accommodation 4 adult last minute . sure look every hotel London internet . lucky find Holiday Inn , Kensington recommendation Trip Advisor amazing price 4 we . fit need . dissappointe . room size use North America , quite large , two double bed . large bathroom great shower , lot hot water black granite floor . ask room overlook garden grant request . exceptionally quiet . think one stay hotel ! hotel right across street tube , make travel around London easy . street hotel Sainsbury grocery store , quite large . yet another grocery store tube station another build across street . internet cafe around corner , restaurant , etc . , within walking distance . make hotel appeal location ... away crowd London , easy access ! would definitely stay . 
 Sep 5 2004 	 excellent choice 	 get back trip london ... hotel great location across street tube mini shopping center restaurant supermarket.very clean hotel great service , update well kept.try get room face garden .very good breakfest.it good choice stay 2 kid room.we go back next time . 
 Sep 1 2004 	 Loved Hotel 	 stay hotel 4 night August , 2004 . hotel great location tube line . the room large north american style room , rather small european room usually find London . hotel clean , air condition quiet . manage get rate include nice buffet breakfast . 
 Aug 12 2004 	 great time .. 	 return weekend London daughter ( 6 ) stay Holiday Inn Kensington . first away together not want deal hassle regard hotel must say need never arise . staff friendly helpful . request family ( 2 twin bed ) room view overlook garden rear hotel ( joy ) happy request meet . room sizeable necessary requirement nicely furnish . 's obviously family orientate hotel many kid adult residence win point I . I would easily recommend hotel anyone child stay London definitely come back stay . 
 Jul 21 2004 	 great location comfortable hotel 	 nice hotel great location . not confuse hotel 100 Cromwell Rd one street 97 Cromwell ( HI Forum ) . one 27 story one ice machine . one boutique hotel ice machine every floor ( obviously important ) .Ask room face garden quieter lovely view . the location ideal . within walking distance Kensington Palace Victoria & amp ; Albert . directly across street Gloucester Road tube station ( serve Circle , District Piccadilly line ) . ton restaurant within one block range Burger King extremely elegant , laundry within block , two internet cafe within block , gift shop full Post Office next door , Waitrose ( grocery store ) directly across street , boot ( drug store ) directly across street , 24 hour small grocer within block . room comfortable spacious . ' ve find good rate deal offer Holiday Inn website . ' ve pay little 80 pound , moderately price hotel London book web site . walk - in pay 225 pound . tv pretty dreadful , get 12 station time nothing worth watch tv . 's bar pub hotel . concierge pretty useless . bed soft backboard ask . safe room set code . hairdryer desk drawer definitely lowpowere . 's clothespress room send iron ironing board request . tea / coffee maker room . if travel computer check front desk hold back office staff access . 
 Jul 10 2004 	 Good Transition European Hotels 	 hotel great transition Europe . room large enough three confortable . convenient - block tube stop . strange part staff French , English . 
 Jun 27 2004 	 exceed Expectations ... wonderful ! 	 be family five , thrilled find room would accomodate we ( rollaway ) . upon check - in , felt genuinely welcome , desk clerk actually spend several minute we give we advice plan sightseeing . upon reach room , pleasantly surprised . thought have shoehorn , room actually quite large european hotel . bath clean , large well , although agree other mile - high tub . room also french door allow plenty ventilation , give nice view back garden . location , less 5 minute walk Tube station , could well . eat breakfast hotel every morning 4 - night stay since include 99 GBP / night rate . find consistantly good . plenty fresh fruit pastry , well traditional egg , bacon , sausage , cold cereal , etc . actually , since additional person room , pay one us morning . staff never bill we , ask , tell we problem . also order room service couple time , find service quick food good horribly overprice ( relatively speak , course ! ) .Overall , feel get great value money . ' ve always thrill Holiday Inn chain US , glad choose hotel . highly recommend ! 
 Jun 25 2004 	 Pleasant Stay Holiday Inn Kensington 	 stay Holiday Inn Kensington June 12 16th pleasant overall . except intial delay get room . request early checkin . however , upon arrive hotel approximately 12 noon , informed desk clerk ( pleasant member staff deal ) room ready . problem , leave bag concierge ( friendly accommodating ) go lunch . upon return 2pm informed room still ready . ask could checkin 2PM ( accord Holiday Inn 's website ) inform desk clerk checkin & quot ; 2pm & quot ; not know room would ready . happy not going let spoil vacation go sightseeing time return ( almost midnight ) room ready . room nice clean , little small comfortable double bed roomy bathroom . a / c work pretty well despite hot weather . ice machine hall . problem despite 3 people room , day housekeeper leave 2 towel . day request additional towel . great place eat near hotel , patisserie breakfast Pizza Piazza italian two favorite . Waitrose across street great market . 
 Jun 20 2004 	 wonderful service ........ 	 wife 18 21 year old child stay Kensington Holiday Inn June 12 - 18 . upon arrival 2 p.m. tell room not ready ask return one hour . return room still not ready immediately upgrade room two level suite prepare . room terrific , kid sleep downstairs upstairs . staff quickly respond request roll away bed , iron bowl breakfast . hotel small gym area good selection free weight . also sauna spa use several time , especially walk step Eiffel tower . hotel cafe serve excellent grill chicken sandwich fry , cole slaw coke 5 GBP . review accurate reference easy access tube , grocery store etc ... ( good grocery store Sainsbury two block Cromwell ) . many restaurant nearby ( Lonestar steakhouse play country music ..... ) internet cafe laundry mat two block street , ATM intersection . hotel staff outstanding , even though may seem like & quot ; Griswolds & quot ; time answer question . side note pub quit serve 11 . hotel bar serve 1 ...... experience hotel positive reccomend friend 
