Roomy 	 stay room one standard room ( free upgrade ) . room super roomy , various furniture feel comfortable . remember great view cityscape night spotlessly clean bathroom . forget pjs sleep really comfy robe . 's also free wifi room lobby . elegant room , staff super nice . locate right near market street - pretty good base go explore city . 
 Jun 3 2006 	 disappoint 	 $ 239 & quot ; special rate & quot ; wedding hold hotel . locate right Montgomery station BART F Streetcar stop , block Union Square . the lobby non - descript , small , side chair . original lobby turn Garden Court restaurant . the room small , modern standard . would feel claustrophobic not high ceiling give illusion room big . luggage rack available place one suitcase , not enough space room second without use 1 seat ottoman . closet even small . adequate apppropriate hangar ( wooden bar , wooden clip , padded ) , closet space really enough one person . , second luggage would fit . the bathroom equally small . two people could get ready bathroom time . additionally fan available , air bathroom shower . because travel companion wedding party , rent car . parking available valet $ 48 day ! locally garage none remain open weekend could retrieve car . price within hotel outrageous . chip salsa room service fee automatic gratuity come $ 15 . ( decline order ) . high speed internet service $ 15.99 day . print 2 page $ 5.the staff service courteous competent , nothing spectacular . while appreciate cost luxury , also expect value feel receive . give hotel choice right area Union Square , be unlikely would choose return Palace . 
 May 29 2006 	 great room location 	 family stay 3 night May 06 great time . receive deluxe room spacious many hotel stay whilst visit California . room great bed modern bathroom . hotel crown glory main dinning area , 's atrium like glass roof . minor service issue solve effectively manager overall staff great . in short great room , great location , particularly intend shopping . 
 May 25 2006 	 great hotel location 	 despite negative review hotel , friend find delight . hotel lobby area beautiful grand . pool area nice relaxing . room fine . ample size , bathroom roomy marble sink , shower yummy , room overall clean comfortable . staff fine - polite helpful . hotel great location downtown San Francisco make easy get main attraction . drawback hotel noise level .... could hear neighbor wall next door fortunately not noisy . overall great hotel worth stay . 
 may 25 2006 	 Plush air 	 fault Palace . service great . staff tend bit & quot ; hootie & quot ; get drift always willing help . room nothing say much . honor bar safe . but must understand first full day , return lobby . nice one way , look like thing cat 's drag hope cat 's drag back . make horrid mistake take WHALE watch tour local tour company apparently middle man local fishing boat captain . the tour miserable day life . tell we dress warmly . North Face jacket , two scarf , glove , tell we dress dryly . perhaps one else may seem common sense . mountain . use cold one hose 's go . boat Captains interest seem get we back set time . seven long hour . boat smell fish . cup holder beverage still handrail force let go ever foot . . little room part boat warm . would hold maybe ten people pack . way back one turn heat room . tour route wsa change . find self victim old & quot ; Switch Bait & quot ; web site , promote Farallon Islands , take quickly sade bay point back . & quot ; Naturalist & quot ; spot whale . none passenger speak spot one . captain never let trottle , & quot ; Naturalist & quot ; say boat motor would scare whale , stop . oddly enough fishing boat bay . theory know whale would part water . say bay think coast line parrallell US 1 . boat / ship ( vessel hade ) stop one time view harbor seal . could see field glass . & quot ; Naturalist & quot ; tell we Grey Whale see . could get cheesier course . crew & quot ; Naturalist & quot ; stay wheel well way coast boat ram wave . warm cozy . pay passenger wet rat . seat limited . rain ponchos offerre sell wise . blanket offer . nerve , Captain solict tip . save money . ticket cheap tour . give option opt Tour find go FARALLON ISLANDS . take mind call provide number night check condition boat would go . tell great . & quot ; Naturalist & quot ; tell we specie could cross specie list , one great invisible grey WHALE . Palace . return make puddle step . elevator , partner go & quot ; never see look bad & quot ; . thing hair . service staff never change . room service prompt . table do well vase rise . nice touch . lobby great . beautiful hotel guest treat well . pay 300 ask . got Travelzoo $ 139.00 night . Fri / Sat . enjoy Palace . safe room . free paper . Wall Street think . would expect . 
 May 18 2006 	 Beautiful Hotel Great Service 	 room large luxurious , high ceiling thick wall door . furnishing traditional tasteful . hotel restaurant superb , service outstanding , breakfast , lunch Sunday brunch famous Garden Court glass roof crystal chandelier spectacular . staff efficient , hotel offer 24 hour room service , concierge , even indoor swimming pool . location perfect -- short walk Union Square cable car , financial district , North Beach Telegraph Hill immediate access BART , underground Muni line , major bus line . room reasonably quiet -- would happily stay Palace . note : security palace good , large hotel downtown large city , guest cautious late night hotel adjacent city street . 
 May 9 2006 	 complaint 	 stay Palace Hotel conference husband attend not know expect . ultimately , complaint ! check - in , request room face street honor . prefer fresh air decent view quiet . difficulty sleep dislike street noise , may advise , though great we . everything clean attractive . bed linen far soft prettier find large hotel . bathroom pleasant accommodation sufficiently spacious ( huge ) .The pool sauna enjoyable amenity friendly staff . towel , water dispenser , apple , orange , coffee offer -- nice touch ! would not normally eat & quot ; hotel restaurant , & quot ; especially city many excellent option . one night tired , hungry , rainy tried attach japanese restaurant . Delicious sushi unique , yummy shrimp appetizer ! location convenient ( near MUNI / BART within walk distance much ) . would describe Palace Hotel classic good quality . personal taste lean toward small establishment individualized personality might , reason , choose stay elsewhere future . would probably depend price , happy . 
 May 8 2006 	 everything perfect 	 Perfect stay . every staff member contact welcoming , friendly efficient . order room service Deluxe Continental breakfast delicious . fruit select perfectly ripe beautifully present , coffee great pastry . room well - decorate comfortable . especially like porcelain tub bathroom high quality bath product . the Palace Hotel offer everything would need expect downtown location add attraction historical landmark . Garden Court close , unfortunately , beautiful public space hope return try brunch buffet . thank Palace Hotel staff ! 
 May 4 2006 	 Caruso still carouse corridor 	 stay Palace convention April 2006 . block Moscone Center , pleasantly situate stroll shop around Union Square , take Powell line Cable Car halfway star Nob Hill . ( not miss stained glass Grace Cathedral California St Nob Hill , way ! ) palace room comfortable clean , staff helpful . conventioneer , always dine elsewhere , comment food . night however singe patron stroll corridor 1 - 2am go back room ( guess ) - perhaps even hear strain great Enrico Caruso ( stay Palace 1906 Earthquake strike ) . neverthless , could do sleep ! time , not try hotel pool - impressed last time stay year back . 
 Apr 27 2006 	 lore history 	 famous hotel , succumb firestorm 1906 earthquake , opulent ideally situate . choose hotel mainly history catch glimpse gild age . reserve room four day bump drastically reduce hotel rate book online select bed size preference . upon check , learn smoking room available , room could refresh need . standard room seventh floor able air opening window . high ceiling throughout Palace add overall atmosphere historic building . note previous poster , room well furnish public area truly magnificent . us history buff , wish hotel air documentary illustrious past . eat two meal Palace . breakfast rococo Garden Court restaurant . although expensive , bill come $ 60 , buffet plentifully good . restaurant certainly push breakfast buffet waiter mention . later , hear someone ask menu . dinner Maxfield 's Piped Piper . food delicious atmosphere prefect . our problem occur 2 two people go hall yell nonsense sound . deliberately try wake people succeed . stunt surprise we . fitting college dorm upscale hotel . palace pricey , comparable accommodation cheap rate . however , splurge stay Palace beauty , history , overall high quality , especially find discount rate . 
 Apr 25 2006 	 enjoy stay 	 ( wife , daughter ) stay Palace 5 night April . stay 2 room suite ( little pricey thought , $ 850 night tax ) wonderful time . room 's decoration ok , service recive amazing . everyone deal nice helpful . also quick room service quick bell boy call . feel charge $ 45 night parking unreasonable , alternative pay it . the hotel romantic high ceiling room nice . corner suite wonderful view way Market Street . Noisy funthe room flashy well take care enjoy amenetie come suite . we enjoy pool spa , clean crowd . would definately go back again . be prepared spend money hotel meal expensive , delicious . 
 Apr 13 2006 	 terribly impressed 	 beautiful hotel , great location ! concierge give great dining recommendation map surround area . nice big room bust side table housekeeping would forget leave we bottled water . also notice 2nd day mini bar fridge quit working & amp ; keep check see use never notice not cold . problem bartender bar make sarcastic remark we . mention front desk immediately credit we 2 drink leave . try bar next night thing go well allow family 2 young kid come sit table next we . kid loud obviously not want parent want drink . kind weird bring kid bar , 9 pm . room 7th floor could still hear street noise . wall thin , could hear every word woman 's phone conversation next room . maid make much noise hall bang cart around yell back forth different room . never get sleep past 8:30am morning . one morning actually storm hall pj 's ask stop yell . not seem really care . will not stay & amp ; ' m get frustrated Starwood program . seem reoccurre theme constantly fall short . 
 Jan 30 2006 	 Royal Reception 	 Palace disappoint . welcome front desk door man check fantastic . room spacious well appoint . dare say fit queen . reviewer complain noise . room overlook Market St . little street noise never hear anyone hall adjoining room . pie Piper Bar famous martinis good time . Garden Court one beautiful elegant dining room San Francisco . luxury hotel price high service delicious food make worth money . one demerit -- pool jacuzzi spa need good cleaning . classic hotel one miss . 
 Jan 22 2006 	 Northern California December 	 CaliforniaSan Franisco : Palace HotelNapa - Bed & amp ; BreakfastDate : Decmeber 2004reviewer : TripAdvisor Member , New York City , NYIn December 2004 , financee decide spend Christmas December - figured let us head towards warm weather great wine . spend several day San Francisco view site head Napa . San Francisco , stay Palace Hotel . absolutely wonderful property . decorate beautifully holiday season . room comfortable heavinly bed ! hotel conveniently locate site within city . able inner - city travel via foot nice give weather . overall would say wonderful trip would highly recommend property anyone look visit San Francisco . 
 Jan 11 2006 	 would love revisit Palace 	 stay Palace first base california tour trip husband 3 kids- 15 , 12 +8yr . elegant gorgeous hotel . great interconnect room , bed sooo comfortable ( good whole trip ) , clean , well furnished good bathroom etc Location perfect- glad not stay Fisherman 's Wharf , area much classier . staff really helpful intrusive . restaurant excellent breakfast dinner- waitress really sweet especially jet - lag kid ( even 8yr old fall asleep table ! ) negative point pool- surround tile dangerously slippy . fall badly get pool walk lounger - lucky escape horrible bruise . think clumsy see two people slip sit side- dangerous . overall would love go back Palace would reccommend anyone- even vfussy mum ! 
 Jan 10 2006 	 Palace Indeed ! 	 mother , daughter , go visit Bay Area winter break . decide book room Palace Hotel one night , ' m glad go ahead decision ! hotel locate right next Montgomery BART station , muni bus stop well . hotel lavishly decorate inside , home gourmet restaurant bar . there fitness center , indoor pool , sauna , jacuzzi locate inside hotel . room good size comfortable bed . bathroom beautiul , shower good water pressure . hotel bit pricy , get lucky find special deal internet $ 149.00 night . could find bargain like , would definitely stay . 
 Jan 4 2006 	 Palace Bay 	 would return hotel Jan. terrible ? , hotel one charming hotel ever stay . husband book also another prior guest say SPG web site . far get hotel . simply take Bart SFO airport around $ 5 per person . take around 30 minute easy connect . bart stop outside hotel easy & gt ; enjoy pricey holiday brunch Christmas price hurt less know something special . room overlook blvd . nice . tiny bathroom plan live bathroom entire time . great space Deluxe room . ask nicely upgrade check able accomodate we . one thing do , ask close way Powell street . fact walk Market 6 block see could turn side street Union Sq short hop vs 6 plus block walk . use map hotel give Jan. Palace hotel conventient , clean , great staff , great food , weak bar chocolate martinie though . not order one . beautiful look . never go city bay stay Palace ever . would anyone want miss chance stay palace . 
 Jan 2 2006 	 elegant beautiful ..... 	 beautiful hotel ! problem paper thin wall ... coffee room ... call room service . ... 's beautiful place employee attentive . 
 Dec 4 2005 	 beautiful hotel locate perfect area 	 pleasure book hotel directly Starwood web page , link hotel . quote 199.00 per night , think reasonable deal . read comment , take grain salt . stay Palace Madrid Spain , think anywhere near , would happy . location 40 minute SFO . hire cab take date , cost one way 45.00 . upon leave hotel 2 night stay , offer doorman black Town car return SFO $ 50 , plus tip 10 . staff friendly serve smile . concierge life saver . order strech limo guest go dinner club hopping . cost bill room $ 210 include tip . moment walk , take absorb architecture building . ornate , simular might find Venice Rome . avenue spotless . room small , marble , shower , tub , necessity one would need , include free bottled water . side refrid . room , mini bar . wonderfully do bed , comfortable . schedule romantic lunch Gardens . opulant grand . lunch around $ 100 . even sprinkleed table rise pedal , something ask , make look like hero ... thanks ! ! ! ! ! go sushi rest . adjoin hotel . wonder dinner , sushi etc $ 150 . morning , go Starbucks 150 foot hotel . would absolutly stay . sign age , would rate hotel 4 5 . wharf 11 dollar taxi ride . enjoy ... . 
 Nov 9 2005 	 posh 	 beautiful hotel , renovate , locate financial district , close china town south market street . stay business meeting , be expensive , would probably never shell buck stay otherwise . nice feather pillow comforter , quiet , would expect great food concierge service . television station limit go watch tv ? ? 
 Oct 30 2005 	 average good 	 return stay Palace say disappointing . room small . two people cross room time . view office building . parking $ 40 / day , mini bar empty internet access $ 15.99 . price per night , would expect bit . 
 Oct 27 2005 	 Hotel character / snooty front desk staff 	 hotel charming , husband room lovely furniture , update bathroom crack floor knob miss window shutter . clean ; housekeeper efficient quiet hall . bed comfortable cozy - nice linen . convenient location walk everywhere catch charming trolley . Bart underground train hotel doorstep could hear night - light sleeper may bother try get room not overlook street . the two front desk gentleman check we snooty - come long flight Seattle wear jean back pack luggage weekend . helpful friendly not make much eye contact . think surprised credit card accept ..... good place stay feel safe . many beggar homeless within block hotel – try avoid walk night get quite aggressive . 
 Oct 21 2005 	 Disappointing 	 name like Palace , expect something pretty special . however , room small run , bathroom tiny . somewhere would stay . 
 Oct 17 2005 	 perfect weekend getaway 	 get back two night stay Palce Hotel love every minute . staff extremely helpful friendly allow we check - in early assure we would notify we soon fax expect arrive , . member Starwood , stand room upgrade benefit , give we lovely CLEAN large room ( view however ) , bathrobe ( read early none give ) , comfortable bed , luxurious linen . conceirge helpful need direction / address , recommend japanese restaurant not fancy , sushi delicious fine we ' ve do research ahead time want find good sushi city . location wise , be block two away great shop short cab ride ( $ 10.00 ride ) away great restaurant . overall , truly enjoy stay recommend Palace Hotel first timer city look comfortable / clean stay excellent service . 
 Oct 16 2005 	 wear 	 ' ve write Palace , recently stay convenience office visit . impression even less favorable before . a lot nice people work , public space truly grand . say . , room bland : view . bathroom small , old - fashioned , clean . television work half channel . air conditioning strong enough cool room . heavy , clumsy duvet make bed hot . comfortable chair read watch tv . food mediocre room service one two restaurant . mouse run across mosaic floor Maxwell 's Restaurant dinner . seem perfect symbol hollow shell hotel be . I not know whether turn around . maybe hotel wear . thing stand , look spectacular public space , will well elsewhere . ' m certainly go back . 
 Oct 8 2005 	 Elegence superb service 	 sumptous elegance outstanding service moment arrive . high cielinge room spacious luxurious . pie Piper Bar one bar ever food match beautiful setting . brunch main dining area exceptional on - site japanese restaurant world class . service , especially concirge , Blaine , make stay SF even enjoyable . return , 
 Sep 8 2005 	 Superb Luxurious 	 hotel gorgeous , elegant , quiet , well locate . lobby restaurant among stunning City . interior room find luxurious comfortable . People complain room tiny wrong . small suburban standard , yes , plenty room . high ceiling make seem large small size increase elegance room . bed extremely comfortable . decor fantastic include solid , dark furniture marble top , interesting photograph , large desk , gorgeous bathroom marble tile . pool area fantastic include jacuzzi dry sauna . wonderful hotel . 
 Sep 6 2005 	 beautiful ... 	 family ( 2 adult 2 kid ) recently stay Palace Hotel San Francisco . 's classic , old hotel smack dab middle . stone throw Union Square catch $ 5 trolley go deep find BART . guest room nice old world charm . public area equally beautiful display history hotel . receive fairly decent deal affiliation Starwood.com site belong . staff come contact kind curtious . nice stay truthfully would go back get deal . here be brief breakdown think hotel could improve : -close door room clean . can not believe loud vacuum cleaner . arrive late ( 10:30 pm ) try sleep . -give guest break parking . $ 40 much . park around corner Hearst Parking Center $ 19 night . call ahead get hour operation . close Sundays . 415 - 989 - 4000.-cleanup locker room pool . towel overflow locker break . put fresh flower want will not hide type maintainence issue . that be . folk front desk nice comp have we roll - away 12 yr old son . staff wait we breakfast first class Concierge . nice attentive . give try take note . 
 Aug 23 2005 	 make 3 4 star ... 	 first surprise arrive Palace Hotel 40 $ daily parking fee . 's busy part city 's nowhere park immediate neighborhood . even though appear garage , ( Palace Parking Garage ) , pass cost addition room rate . sort set tone . once inside find pool jacuzzi service , want walk three city block sister hotel , could use . walk across downtown SF flip flop , wrap towel not appeal , table . the room fine lobby beautiful , really , 4 star hotel be pay service - like parking pool . I would pass palace next time around . 
 Aug 11 2005 	 Palace Fit Queen 	 stay Palace Hotel August 4 - 9 , 2005 . boyfriend attend conference near airport , move Palace hotel Financial district long weekend San Francisco . arrive Thursday cab , receive help luggage cab , hotel room . unfortunately , laptop bag , well two piece luggage . arrival well receive help way . little disappointed size room bathroom . closet space small hold clothe long weekend bathroom small , elegant old hotel . room quiet , view second build large hotel . view might better front side hotel , may less quiet . bed comfortable , bedding worn usually see new hotel . one big disappointment pool jacuzzi area . picture beautiful internet , completely empty . tell could go five block away & quot ; W & quot ; use room key ; however , feel like walk far , since not hotel shuttle , swim relax jacuzzi walk back . hang Maxwell 's Pied Pipper Bar get good service drink . good part Palace concierge desk . begin get information Malia arrive . other , helpful available question phone person time . overall enjoy San Francisco wonderful help guidance concierge desk great restaurant , plan return Palace Hotel . 
 Aug 8 2005 	 average 	 wife stay one night . pay $ 209 & quot ; superior & quot ; room directly thi website ( cheap rate could find ) . two day later email offer upgrade Deluxe room $ 20 . not bother . arrive car greet friendly , welcome doorman . luggage quickly bring room . room small . clean elegant . view roof top airconditioner unit . bathroom small clean . coffeemaker bathrobe room . bed comfortable great linen . guess low rate ( $ 209 ) get small room . dinner Maxfield 's . service outstanding . attentive , though bothersome . food excellent good overall value . outstanding Angus filet $ 19 . would reccommend restaurant quiet evening do not feel like leave hotel . want use pool 4th floor , change enter pool area , find empty ! water . accord post notice , unexpected repair neccessary . nobody bother inform we check . fairness , offer use sister property , W hotel pool . 3 block walk pretty disappointing . breakfast buffet $ 21.95 ( brunch $ 59.99 ) Garden Court restaurant . spectacular room dine food good . service excellent . stay one night much complain . room close elevator morning paper steal door . provide free coffee lobby near front desk . hotel nice , somewhat boring . leave complaint size room . park hotel , $ 40 24 hour , include privledge . if stay , try get good deal least try get large room feel cramp kind disappointed . 
 Aug 2 2005 	 many problem 	 really want like Palace , glimmer public space welcome bell staff . stay quickly devolve one thos truly awful stay ruin vacation . detail lack staff amateur well . room attractive enough fade around edge . bathroom tiny . concierge service pathetic . first , wife ask recommendation fresh sashimi Japantown . send ramen noodle joint ! ? ! ? woman say one & quot ; two place could recommend , & quot ; apparently must ply cheap sake , dollar raman , california roll . one joint elbow stick table . Ghastly . mention return concierge future , may want send people search japantown first - rate sushi experience raman joint , ask chance try two place recommend , stomach cavernous pit go around sample different lunch option afternoon . , make tour reservation we , tell we wait lobby , we leave behind tour operator & quot ; pick another couple instead . & quot ; race cab ensue Pier 43 1/2 could pick last tour day . not even come explain , send colleague issue non - apology instead . next , break hotel dinner Gary Danko ( fantastic , show ' m curmudgeon ) . back room . minibar midnight drink snack . quiet neghborhood = empty night option . complaint would include paper - thin wall ( expect hear neighbor 's phone ring wake expect call ) . early review bill door find bill prepaid reservation . long conversation night manager , decide would take meaningful action rectify situation . insist pay , pay forfeit deposit ( change reservation different date ) . turn Starwood Gold guest card say would need address matter . ' ve conclude ' m do starwood experience , except couple property would like remain loyal . clue treat guest particular place , ' ve stop try . conclusion concierge reservation either taste and/or bad yet , bribe food drink recommendation . recommendation stay far , far away hotel . service insult evidence Starwood not care . 
 Jul 29 2005 	 Ghastley Palace 	 Palace ..... upon arrival dodge verbal physical insult hotel striker ; worse come endure stay call palace . would well hanging striker ; least show emotion . check Mr Spock hope get sleep . great ...... striker make kind noise night long . went change room find Scotty beam Mr Spock ! night guy like Klingon . mean combative . change room sparsley decorate bland room ; college dorm well furniture ! next night , enjoyable evening away hotel , run gauntlet crazie striker ; hotel security ! ! palace guard break . place wear OVERPRICED . couple shiney copper metal piece antique bathroom make lack shiny happy staff . three day cognitive dissonnance regard could stay money check . alas , striker clap tell checking ; believe lot happy . 
 Jul 17 2005 	 Palace 	 return visit USA take San Francisco . choose Palace Hotel reading reveiws tripadvisor . this wonderful hotel helpful curtious staff , luxury accomodation fantastic food . bedroom large comfortable location good . would return would hesitation recommend hotel . well worth stay . 
 Jul 15 2005 	 Ideal conference venue 	 go Supernova tech conference . spectacular dining area ' ve see hotel . tell place use movie set , 100 foot ceiling highly articulate architecture , quite extraordinary . room nice , much way ac though , everything else superb . 
 Jul 7 2005 	 restful room elegant lobby 	 Palace Hotel San Francisco . find room quite pleasant . extremely comfortable bed , 14 foot ceiling , 13 foot high drape , elegant bathroom marble accent . complimentary terry robe room , side chair ottoman . 4th floor indoor pool treat . free coffee pool ( 10 ) fruit complimentary bottled water . day greet poolside sincere & quot ; welcome & quot ; great staff . Garden Court Restaurant public space elegant . notice flaw hotel , somewhat beat - up furniture , spot two bed ruffle , wear lobby furniture , nick dent . perhaps hotel & quot ; Luxury Collection & quot ; preclude blemish like , certainly not detract enjoyment . Montgomery BART station door . close cable car , Chinatown , Union Square . also- aware terrible homeless problem San Franciso , Palace , Montgomery Street , block west main concentration street folk . 
 may 31 2005 	 Classic Elegance Palace 	 get back 5 night stay Palace . check long cross - country flight quick efficient , great since baby tow . crib request arrive upgrade room minute . room beautiful , high ceiling , beautiful molding , nice bath amenity , classic hotel , definetely small side , particularly baby paraphenalia . notice bedspread bedding appear bit worn side . concierge , front desk , room service , bell service door attendant polite , timely , handle request ( car rental , special dietary requirement , etc . ) aplomb . resolution problem bill ( always one , not ? ) quickly resolve . breakfast beautiful Garden Court good , $ 17.95 buffet , certainly cheap option breakfast . indoor pool , workout , spa facility also nice , come handy weather uncooperative . overall , think Palace right well , unlimited budget prefer four Seasons , Mandarin , Ritz Carlton . 
 Apr 20 2005 	 Pleased Palace 	 book Palace assign company via convention housing bureau , deal ! $ 239 / night , stay pleasant , room clean , service excellent . onsite coordinator group , front desk staff Palace helpful make sure group receive package message timely . bellman even one hotel car -- Lincoln Towncar -- take airport trip home . cab ride would cost same . I order room service two night row pleasantly surprised time . also dinner pie Piper Bar , serve fine martini . some group stay Marriott San Francisco Downtown two event site . wish logistics permit event Palace , staff much helpful atmosphere bright pleasant . my room sixth floor , face alley , view not important . not bother loud noise neighbor although one group , 7th floor , complain noisy neighbor . I wish time check spa . this first stay Luxury Collection hotel definitely keep Starwood brand mind book upcoming trade show . 
 Mar 19 2005 	 Nice Luxury Collection standard 	 Palace Hotel lovely build beautiful public space . room high - celing nice ( bit worn ) empire furniture , not seem grand rest building not live Luxury Collection expectation check . service merely adequate , bad , really good either . , frankly , surprised , experience Luxury Collection property mark good excellent service . stay Palace ( early month ) fine , doubt would stay . would suggest Starwood either rebrand hotel Sheraton , work hotel 's owner freshen room revitalize service . 
 Feb 14 2005 	 good combination quality convenience city 	 stay Palace multiple time , time find perfectly fine . location far good hotel San Francisco , Market Street right next Montgomery BART station . room quiet , comfortable , clean , perfectly big enough . shower excellent . lobby cool . free newspaper . people fine . remarkably cheap , book Expedia . the glitch experience electrical power shut part San Francisco ( whole neighborhood , hotel ) quite hour one evening night . elevator not operate climb stair . far concerned hotel deal fine . example hand glowstick . 
 Feb 2 2005 	 grand common area ; not - so - grand room 	 pro : central location , amazing lobby common area . bed comfortable room clean . room quiet although face street ( instead , unappeale view brick wall ) .cons : room small tall ceiling make less claustrophobic feeling . room small , buffer space door bed could easily hear go hallway . could problem happen get noisy neighbor hear occasional door close ( guess avoid street noise aforementione brick wall - view room ) . bathroom also small ; barely fit two people tub . room service menu price discrepancy all - day Menu Late - Night Menu . call room service alert price difference , say mentioned manager nothing do fix it . if care room lobby / common area , get well deal Omni . 
 Jan 12 2005 	 Pretty good -- someone else pay 	 stay Jan. 8 - 9 , 2005 . agree user entry / foyer / lobby amazing . really beautiful . got room third floor . business trip , pay company . room lovely -- high ceiling , nicely decorate . view -- could call -- roof . bathroom floor look like not mop age . room excessively noisy -- poor friend awake night sound siren door slam hallway . company cater party ( food palace hotel ) . food average -- much typical hotel food . warm - over chafing dish , pretty bad . would furious pay $ 229 night charge company , free could not really complain . would say get good deal ( $ 150 night ) mean go . good location . 
 Jan 7 2005 	 Palace Spectacular 	 spend two night Palace Hotel love ! hotel beautiful historic . room nice bed wonderful - heavenly - slept like log ! nice quiet room 8th floor along Montgomery St . employee treat we like royalty , concierge service terrific . 's great location near financial district , Union square , shopping , Chinatown . not order room service eat restaurant , though look invite . ( Sunday brunch $ 65 per person , rich we . ) eat lot great restaurant take Alcatraz tour coach bus tour city . would love return Palace San Francisco . 
 Jan 6 2005 	 good experience fine room 	 stay December 2004 one night arrive S.F . early expect . find room Expedia pay & lt ; $ 150 king room . good bargain . room small - ish , expect large city . high ceiling , comfortable bed , overall clean . decent bathroom nothing extravagant . hotel lobby common space grand , indoor pool , hot - tub , fitness center ( bit small , adequate ) , really well - utilize we . park $ 40 high , seem easy choice . , good deal seem good overall experience . would definitely stay , especially price . 
 Dec 31 2004 	 totally Positive experience 	 stay Christmas night Palace rather travel back Sonoma County live . yes , room small side ( old , though totally elegant , hotel ) tastefully furnish . have request , receive , quiet room , read someone 's unpleasant experience room face Market Street ( , agree , might unpleasant ) . room also floor pool spa ( also request receive ) . room service , quick pizza salad go party , find service prompt , food price also satisfactory . spa pool attendant gracious , employee come contact . complaint would pool need additional water - water level low . indoor ( many California hotel pool outside pool , ) thoroughly enjoy swim , sauna jacuzzi . yes , park another $ 40 plus tip . heart City , parking garage around corner would time period stay . must report thoroughly positive experience , would return Palace . 
 Dec 27 2004 	 Sheraton Palace : location good rest so - so 	 return four - night stay Palace . , nice certainly room improvement . good thing hotel location — near SFMOMA , Bart ( fact station corner allow easily go airport ) , Ferry Plaza Terminal , Chinatown , etc .. health club exercise room also nice wonderful welcoming staff . find concierge somewhat lacking , perhaps way much plate . know nothing holiday restaurant hour hotel ' well verse good dining option near hotel . agree parking top $ 40 per day . include gratuity give valet time get car . room ok , deluxe room , small side lamp awkwardly position around room . difficult walk around room without crash lamp . bathroom small side . I ' stay location health club . ' spend dime hotel food many option within walking distance . 
 Dec 23 2004 	 ` ` Palace truly Palace feel like Royalty '' 	 appreciate point service quiet reserve atomosphere allow we basically enjoy time unimpede ... also room service taste 5 star , one hand able really relax did'nt get expierience Frisco 's dining everyone want live & quot ; Palace & quot ; . 
 Dec 18 2004 	 palace awesome 	 live bay area 25 year stay SF hotel time . partial Monaco Campton Place . stay relevant hotel , St. Francis , Fairmont , Ritz . I always want stay Palace , never . wife stay Friday finish Christmas shopping . location improve dramitically . public area hotel unparralle . Garden Court get one beautiful dining area world . pie Piper huge Maxfield Parrish original behind bar tha must worth 2 - 3 million . slab marble everywhere . truly awesome american hotel . our room inexpensive $ 139 , great . large , bed great , furniture actually pretty nice hotel detail awesome . ceiling cove 14 foot tall . remodel recently clean date . service good . in addition hotel host JFK , Oscar Wilde , royalty around world , really almost everyone interest 1870 1970 . pretty cool . I read review website really surprise special . appreciate great architecture US stay . really nothing bad say , parking , room service , etc , increase cost bit , care $ 135 PALACE . 
 Dec 11 2004 	 Palace - really ` ` palace '' 	 wife recently stay five night Palace SF . foyer , restaurant common area quite gourgeous well - appoint . individual room satisfactory - paint peel ceiling , carpet clean several location room , charge additional item like ethernet connection ( $ ! 5.99 / day ) , fax receipt ( $ 5 ) ( even ) toll free call ( $ 2 / each ) outlandish top & quot ; discount & quot ; room rate $ 300 / day ( include taxis ) .A request wake call 30 minute late notify incoming fax . bright spot stay responsive , politie helpful concierge staff ; particularly Debbie Lew . would stay San Francisco ? . 
 Dec 6 2004 	 Old World Charm 	 place crash christmas party last weekend , turn Expedia help . 2 minute , find king non - smoking room Palace Hotel $ 129 . little wary expect reading review post , overall , think definitely wonderful hotel great part city . thing find lack , especially hotel caliber . ( get rock bottom price , not room complain rather minor annoyance , many people pay upwards $ 300 per night , need know expect . ) first , parking service $ 40 per night , outrageous . look nearby parking garage $ 20 . secondly , doorman , door heavy difficult open . ( struggle heavy 20 foot door stiletto heel cold winter 's night look chic - especially martini 's ... ) . although door cumbersome , entrance gorgeous ( palatial , exact ) . stun exquisite architecture lovely furnishing . service desk painfully slow ( check - in take almost 30 minute ) , staff pleasant enough . room fifth floor , ooze pomp grandeur . although room small hotel caliber , well decorate , bed oh - so comfy ( comforter , anyone ? ) . 14 foot high ceiling ( complete gorgeous crown moulding ) lend airy feel otherwise small room . bathroom closet huge , showerhead / bathtub nondescript ( think : Holiday Inn ) toiletry sub - par ( kudos whomever mention trashy toiletry early ) . , hotel definitely worth every penny $ 220 per night , want pay , well place stay . hotel would worth $ 300 price tag well service people , upgrade showerhead / bathtub , offer well toiletry selection . oh , also lower crazy $ 40 night parking fee . 
 Nov 29 2004 	 Wrong Choice 	 wife stay last week October 04 . large convention , Palace middle strike virtually worker . the protester loud wake we every 6 start . Service ok & quot ; regular & quot ; hotel . first class hotel $ 300 per night good . they change towel daily beg . take till 4 pm get clean anyway . for little cost , could offer breakfast buffet free strike . instead $ 24.00 PER person plus tax tip charge . almost impossible get coffee refill . or low room rate agree originally contract . I try another downtown SF hotel future . lot choice . 
