hotel 	 hotel prime location right across Buckingham Palace heart London . short walk Green Park Victoria Station . service accomodate , though price little steep , be travel budget . probably ideal couple small group friend 
 impeccible service lavish setting perfect location . a+ 	 pleasure stay girlfriend weekend away London anniversary , recommend highly enough . arrive late ( 11 pm ) friday night due flight delay arrival greet manager ( Andrew ) warm welcome greet we name . hotel actually 5th floor reuben hotel mean order gain entry hour ( without room key ) one must go reception adjoining hotel . check - in fast , efficient friendly . book king - size room hindsight good idea even king size room small expect however finish touch amazing . hot water bottle bed ( sound silly cold london night November welcome surprise ! ) small cake & quot ; Happy Anniversary & quot ; ice waiting room . detail room brilliant everything little bit well would expect ( even 5 star hotel ) , toiliterie dainty bottle ornate screw top , toothbrush toothpaste set good quality design , shaving set excellent razor ( gold wooden finish ! ) ample towle , dress gown ( one cloth / cotton one one lounge one per guest ) . mini - bar well stock little pricey- 5 pound sterling portion cashew nut 5pounds bottle beck alcoholic beer . entertainment provide in - room fantastic movie literally cinema available on - demand . free wifi , tv - internet ethernet , guest service wake call etc course available . from moment arrival staff exemplary- absolute credit hotel . decide day arrival would like take show westend- & quot ; Wicked & quot ; performance- sell every online source could find rang hotel see could arrange ticket we . , find ticket sell show get we ticket four row front , centre - stage ! ( show fantastic anyone get opportunity try catch ) . similarly recommend italian restaurant near Apollo ( request ) organise reservation time show finish ( 10:45 ) even though restaurant usually not take reservation ten thirty ! summary , hotel lavishly decorate modern black white theme , staff amazingly professional accomodate location hotel perfect ( 2 minute walk Victoria tube station ) .The drawback ( call ) room small one would expect arrive late evening gain entry must go adjoining Reubens 4star hotel . 
 good hotel ' ve ever stay 	 Hotel 41 elegance charm without stuffy upper class attitude . greet name throughout hotel add nice personal touch . spend last night honeymoon upgrade suite complete fresh bowl fruit special dessert . room amazing - spacious , luxurious , comfortable . fireplace , two tv equip surround sound . shower incredible pressure , robe / slipper nice amenity . afford , ! ! 
 Mar 26 2006 	 wow wow wow wow wow ! ! ! ! 	 wow fabulous hotel ! ! great location right buckingham palace ( buckingham palace road ) stay conservatory suite stylish , comfortable , big , full amenity . 3 t.v.s include one one small first floor suite quaint dining table . second sort bureau go ( flat screen lcd phillip tv w/ dvd player . third bathroom another large flat screen phillip . bathroom huge big jucussi bathtub + handhelp shower , comfortable relaxing ! ! ! ! well shower wonderful waterfall spray . bed king - size , great bedding , extremely cmfortable . well slide plastic cover ( similar pool cover white ) taht reveal beautiful atrium could watch sky day ( hence conservatory suite ) room service incredible , beautifully serve , great food , quick . people always friendly . lounge useful afternoon tea always come immediately delicious even ask 7:00 pm.we originally ruben right next door think absolutely horrible go next door 41 happen own company room consider upgrade . good hotel ever ! ! ! ! ! ! 
 Mar 14 2006 	 absolutely amazing hotel . 	 everything hotel perfect . stay 1 night anniversary , perfect place spend ! service excellent , turn night , room service breakfast paper morning ! bathroom lovely , separate shower bath . fire be not work shame , complaint . definately come back . 
 Mar 2 2006 	 Chantal 41 absolutely lovely ! 	 return yesterday stay 41 , admit never , ever , look another place stay visit London . partner go 30th birthday , book 3 day 41 London , 2 B & amp ; b call Main House . suffice say cancel reservation Main House spend entire trip chantal rest fabulous staff 41 London . room perfectly appoint , spotlessly clean , service go unrivaled . bathroom stock Penhaligon 's , nite , turn service inlcude lovely carnation . add hotel 's ambience beautiful charming Chantal . funny go back read review today , idea popular , surprise ... stay 41 tell possibly fall love young lady . make stay 41 worth every last cent , thank Chantal thank 41 London make 30th birthday good one yet . -- - Otis M. Face 
 Jan 19 2006 	 Entrancing Hotel 	 moment walk door entrance ! room lovely , service charming breakfast excellent . book website call Tablet Hotels easy use gladly use . 
 Jan 11 2006 	 Chantal make stay ! ! 	 stay one night hotel wish could stay long . Chantal welcome we arrival show room . outset give impression nothing much trouble . little extra duly notice . 's nice stay hotel not impersonal can not reccommend highly enough . never stay hotel twice bit picky always find something moan , mildew around bath shard glass leave bathroom floor . quite honestly say could not find anything complain . really enjoy trip London . ( like peppermint tea try ! ! ) seriously plunder pantry return see Cirque du Soleil Albert Hall , lovely end evening . the Tower London well worth visit cost £ 14 adult . Buckingham Palace open September return visit it . please note lady sale season shop open 11 am ! ! 12 noon Sundays . ( 10 thought ) .Chantal ever read .... make hotel thank kind we . 
 Dec 27 2005 	 Wonderful hotel 	 beautiful small hotel within five minute walk distance Buckingham Palace Victoria Station . pick hotel review read Trip Advisor disappoint . room beautifully decorate immaculately clean . delicious snack always available extra charge library , well great tea , coffee , continental breakfast , sandwich making availble 8PM . wine alcoholic beverage course , extra , always available . the staff wonderful , friendly helpful . someone available 24/7 library offer assistance need . always fire fireplace fresh flower . Assistant Manager , Lonneke Verhaegh especially helpful enjoyable . we use free internet connection library loft access email surf web daily , convenient . my reservation recommend hotel could anyone difficulty stair . go four step get elevator take hotel , locate 5th floor Rubens Hotel . computer locate loft stairs library . main reason mention bathtub raise require care agility get safely . however , separate shower bathroom , think room . bathroom exceptionally nice . 
 Dec 25 2005 	 love room stay away drink food lounge 	 room one good ' ve stay London , price can not beat weekend getaway . downside kingsize bed make two single put together frame give uncomfortable seam centre , fireplace working feel like anyone interupt we try fix it . the room top notch , service good . bathroom everything could ever need kitte plush towel robe well good toiletry ever see hotel . 
 Dec 9 2005 	 Unbelievable london hotel 	 stay wedding night two night fantastic experience remember rest live . we arrive around 2 am wedding reception finish . upon arrival , greet butler / receptionist congratulate we take we straight room . room decorate rise petal bed bunche rose , float candle everywhere ! romantic need end exciting day . we inform butler absolutley starve ( eaten little reception ) quickly put together tray goody ( cheese , toast , chocolate , yoghurt etc ) bring room . the bed comfortable bed planet ! bathroom equisite - two shower , heat towel rail , large sink , lot lotion etc . in morning bring breakfast bed , still sleep , not even notice butler bring breakfast place bed time wake . breakfast huge delicious . really not feel like middle central london . we would definately stay , need another excuse give actually live London . 
 Nov 17 2005 	 treat ! 	 stay one night end month - long european tour . compare average hotel stay , heaven . we spoil moment press buzzer . private entrance , buzz , come elevator greet lead room . seat room front fireplace , give choice complimentary glass wine , give orientation room . show executive library butler ' pantry ( stocked goody , complimentary 8:30 pm ) . oh yes , show ' anything , time ' button phone , would summon personal butler . the room nice , turn - down service lovely . turn bed , course , chocolate pillow , slipper place beside bed way get bed morning , foot would slide right . light candle bathroom , turn towel warm ! lovely . bed amazing bed ' ever sleep find comfortable . it convenient able walk siteseee . fantastic location . bit disappoint pay view Palace , see far back end complex . not view front , stand see Buckingham Palace tourist . really negative comment though . the complimentary breafkast delightful . order dinner room , surprised delicious , really good price . expect high food price , give type hotel . use executive library send email , enjoy peace quiet . not run many guest . private quiet . we manage get excellent rate , feel definitely get pay . would definitely come back . 
 Nov 14 2005 	 love 41 	 hotel great location . love small feel attention guest . chantal , manager , top . welcome we assist every need . staff really make feel special . room spacious , clean , large , comfortable . stay London . 
 Nov 5 2005 	 elegant sedate ... 	 walk hotel morning leave Queen drive one Royal car ' ( Bentley ) – complete Lady Waiting attendance - obviously way official engagement . this give indication close Royal Mews / Buckingham Palace Hotel 41 locate . however , hope sneak peak hotel window royal ' going - on ' ' disappointment , none 16 room view – certainly towards Royal Mews . arrive hotel , entrance next door reuben ' Hotel , rang intercom member staff come meet we . stand several minute wind rain less wonderful , maybe miss opportunity actually gain entry foyer … or security ensure member staff actually let gain access build first occasion ? anyone concern safety note door always lock room key swipe - card need enter . way hotel floor via lift . entrance hall pre - curser style hotel wood panelling , brass marble fixture couple antique style , high back black leather chair . lift take 5th floor ( small , huge dependant luggage ) , room ready , Hette escort we straight Executive Room ( number 4111 ) . say first actually go check - in process sit desk room . show we around various feature operation free explore surrounding ourselves . the black white , animal print , dark wood furniture décor much ambience gentleman ' club come colonial theme . room reasonable size small window look office block opposite onto Bressenden Place . voile curtain ensure daytime privacy ' roman blind curtain ( drape ) evening . there large 6 ' bed – one mattress two together another reviewer note – plenty pillow , black chenille throw selection toning throw cushion . little firm side otherwise comfortable . main room include small round table 2 chair , large desk fax machine , internet connection , drawer bijoux selection little black leather box contain eraser , paperclip , pencil sharpener ( pencil though ! ) , post - it note , scissor plus stapler hole - punch . kettle , tea & amp ; coffee supply hide cupboard large mirror desk - useful anyone need dressing - table desk . work gas fireplace nice touch although ' need use . air - conditioning seem efficient anyone stay hotel summer month . a large corner cupboard contain flat screen tv ( dvd ' request one ) also internet facility . ' also Honour Bar , , good selection glass ( champagne , wine tumbler ) . around 6 pm Butler arrive ice - bucket ice plus lemon slice canapés . cork screw , bottle opener , ' sure ' whatever , whenever ' call button phone would see one arrive fairly quickly . the wardrobe squeeze anyone travel item hang . largely due amount item store closet ... fold luggage rack , iron ironing board , hairdryer , 2 umbrella , shoe - horn clothe brush safe plus bag laundry , iron dry cleaning plus drawer . useful lack storage ( room least ) could issue . one ball - gown ' do ! decorative chest room would work place leave small suitcase . complementary ' mobile ( cell ) phone ' use within hotel ie expect call think may sit Executive Lounge Reuben ' next door out - and - about . again bathroom huge reasonable size , bright clean continued black white theme monogramme Hotel 41 linen . one bath tub huge shower rise plus hand hold shower attachment . bath fill quickly , anyone mobility issue might struggle get , , safely fear . rather high - sided , least long enough deep enough relax follow Jet Lag avoidance tip note bathroom shelf manage get . good - size walk - in shower ( shower rise plus hand hold attachment combo ) bath shower full - size bar Penhaligon ' soap well plentiful selection Penhaligon ' toiletry . good supply tissue ( Kleenex ) cotton wool . return evening bowl water float candle soft lighting leave bathroom . bathroom also contain big efficient magnifying mirror ' come across – tad scary see oneself close - up ! numerous elegant thoughtful touch stay . selection fresh fruit left room afternoon . 6 pm ice canapés deliver room butler . return evening , along bathroom candle mention , bed turn back , robe leave lie bed slipper linen mat side bed . Room Service menu leave open cocktail page TV Guide night ' tv , bottled water glass bedside table along Room Service breakfast menu next day ' weather forecast little bag marshmallow Evening Standard newspaper classical music play radio . confusion Plunder Pantry facility previous review hotel . seem quite simple know , 8.30pm anything take food wise free – drink always charge , whatever time day - food snack time , include breakfast . we take advantage plunder pantry return night . offering include bread , ham , chicken , salad , relish , nuts nibble , fruit yoghurt . nice young man , call rollof , hand offer assistance make drink cocktail require . Breakfast take Executive Lounge – fully expect find Aubrey Beardsley one corner Oscar Wilde ( actually would Cadogan Hotel ! ) gentleman ' club décor feel . include breakfast tea , coffee , juice , toast , pastry , fruit , cereal , cheese ham . cook English breakfast available 15 pound . overall like sedate elegant atmosphere attentive staff good attention detail place - give feel stay private club . if want something little lively hip - along glorious view - maybe . 
 Oct 26 2005 	 Nice Suite worth $ $ $ 	 boyfriend return three night stay Hotel 41 . overall hotel great would like pass couple tip . we stay suite $ 700 cdn/ night ( 335 GBP ) . room nice view . ask could change room ' look roof manager tell we room hotel view . suite split level downstairs portion functional . tv , mini bar small uncomfortable sofa downstairs spend time upstairs find downstair uninviting . basically , would recommend get suite normal room . boyfriend spend lot time ( get ready etc … ) Executive Lounge , snack , drink etc . prefer go lounge hang downstair suite . another problem bed . look big great actually two bed push together . often see european hotel bed extremely uncomfortable . mattress level , create ½ height difference middle bed . sleep opposite side bed kind defeat purpose romantic getaway . ask well bed say would fix . third night gap/ height difference bad ' wait good night sleep bed home . the staff pretty great . always eager serve please . location also great- across street Royal Mews quick walk Victoria Station . hotel room improvement though . would suggest management invest large comfortable sofas downstair suite . wise , split level become nuisance run stair . bed also make level . anyway , overall , hotel good . boyfriend travel fair bit like stay nice boutique hotel . hotel rank amongst top list sweet hotel many unique feature . hopefully improvement , hotel progress several area include make suite functional . P.S- want write review negative . however , want pass tip . already book hotel reading review … ' panic ! ... ' lovely time , ' great hotel fabulous city . if question , feel free email : jayegordon1 @ hotmail.com 
 Oct 21 2005 	 wonderful cozy room 41 	 stay Hotel 41 late September base review site pleased choice . long day tour London , treat come & quot ; home & quot ; wonderful room . bed , fluffy white duvet pillow , comfortable inviting . every evening would return room , bed turn , slipper robe lay , soft classical music play bedside radio . float candle light bathroom tray canape leave table . treat soothe ! thing possibly negative we quiet whole place . rarely run guest , even executive lounge . could plus , prefer little lively atomosphere . room wonderful ( staff great ) would stay . 
 Oct 7 2005 	 minus 	 positive staff helpful , reach someone 24 hour day question may . also , breakfast include price room , deliver extra charge . room stayed beautifully decorate great bathroom big tub separate stall shower . however , tv average , dvd player ( seem would review . ) fact , call request one , tell already use another room . internet access room , fee . ( could go lounge , though , use free . ) fact , drink food get & quot ; Plunder Pantry & quot ; program charge room , free -- be almost like fancy honor bar . executive lounge nice ( be internet access , pantry , helpful staff find ) , be kind remote . example , walk hotel , enter tiny isolated lobby -- people see . take elevator 4th floor walk corridor room enter Executive lounge -- 's feel roomer large private home , hotel vibe might actually meet someone conversation -- 's much feeling alone staff . ' m glad get room mile not pay -- unlively feel place . hand , great direction , currency exchange , etc . ( stay Dorset Square find staff helpful much less $ $ . pay money , would probably opt go 41 . ) really nice , guess ' m surprised 's rate # 4 right tripadvisor . 
 Sep 18 2005 	 Hotel Remember 	 luxurious lavish accommodation make two night hotel stay memorable one . welcome hotel staff , awesome room amenity , cozy bed help make visit London enjoyable . extra touch include complimentary bowl fruit , bottled water place nighstand evening turndown , night light bathroom & quot ; whatever whenever & quot ; button available every need contribute make stay great outstanding . comfortable cozy bed provide one good night 's sleep genuinely need two week Europe . location perfect first tour right across street Buckingham Palace . restaurant , shop transportion close include tube Victoria Station . hotel make top good hotel stay look forward stay next visit . although price overly expensive , get money 's worth always remember stay Hotel 41 . 
 Sep 15 2005 	 Top Drawer 	 adore everything hotel : location , staff , breakfast , late night cappucino , specutacular furnishing room . ' ve travel around world , hotel rank top three , time , . 
 Sep 7 2005 	 diamond rough 	 wonderful little find hotel . husband stay pre post cruise take cruise Queen Mary 2 August . second arrive service impeccable . offer cold drink , ask need dinner plan , give hot towel . like family member greet we hotel staff . room delight ! ( little small like european hotel ) one good equip room ever stay . everything 2 different type bath robe even pencil sharpener desk drawer . bed comfortable 350 + theard count sheet . go room . even turn , leave light candle bathroom glass fresh bottled water bed side . discern clientele hotel ! ! 
 Aug 28 2005 	 Service room beyond compare 	 husband stay January 2005 good hotel ever stay . expensive typically look , every day well previous one . plus every hotel London expensive , resign fact would spend lot money . walk luggage Victoria Station close . early Sunday morning since fly US , give temporary room freshen start day town . temporary room beautiful ! manager discover first visit London suggest doubledecker bus tour acquaint city . arrange concierge get ticket send we way . time return hotel later day room ready . room black white . corner room 15 foot ceiling fireplace . bath tub / shower separate shower . bed sooo comfortable . first night could not get fireplace work pilot light go . manager come room one butler tow . apologize appearance - evening gown go party . sweep floor get fireplace light we . receive level service throughout stay . staff butler wonderful extremely helpful . man library / lounge day attend drink need anything else want . every night return room something little different . one night float candle light crystal bowl bathroom . another night white orchid bedside . one evening butler bring selection canape room . mention like marmalade serve breakfast every morning find small cache wrap room night . feel privilige stay . location wonderful hotel cozy , creepy bed breakfast way . quiet peaceful ( course , January ) . would love stay return London . 
 Aug 18 2005 	 wonderful 	 return stay 41 . moment arrive treat special , staff fantastic , special thank Chantel ( inhouse manager ) make stay magical.when arrive ask visit london , explain anniversary , treat Champayne canape's . there 18 room 41 , stay room 4111 fantastic . decorate black white theme amazing , comfortable large king size bed , count 3 telephone fax machine ect , plasma tv , dvd player even Marble work fireplace . fresh orchid . bathroom less three shower , two large bath seperate shower cubicle , luxury soap bubble bath , shampoo 's ect supply well bathrobe slipper . tea coffee make facility well full bar 24 hr room service . we book seat theatre hotel , get back evening , help ( pantry ) free charge , include fruit , bread , cheese , meat . perfect end perfect day . when time check , Chantel , present we card lovely gift . we stay hotel world , rate top ten good . however service unrivaled , staff could enough ensure fantastic time . want leave , deffinately return . 
 Aug 18 2005 	 boare 	 much money charge hotel boaring .... entrance look like enter old egyption tomb ... staff young act like ard summer job .. black white theme not work we ... find diffrent hotel rest visit london .. like slow place , hotel would great ... big disappointment 
 Aug 12 2005 	 fabulous service great location 	 stay Hotel 41 daughter make feel like princess queen ! room charm extremely well appoint plasma tv , candlelit turndown butler deliver whatever want ( whenever ) . executive lounge lovely ( take aback charge thing believe complimentary ) .planning return November ! 
 Aug 8 2005 	 absolutely Loved Hotel ! 	 wife stay 41 anniversary July absolutely love ! much research hotel city , decide take chance base partly review site . pleased upon arrival ! location outstanding , room extremely comforable cozy , staff nice , general feel hotel , comfortable . concern another reviewer site , time beverage snack actually cost something oppose ' free ' . wife confuse well , hotel address . otherwise , perfect stay wonderful city ! would recommend hotel anyone everyone ! ! 
 Aug 6 2005 	 suberb boutiuqe luxury hotel 	 41 Hotel delightful unique hotel experience . conveniently set across street Buckingham Palace Mews , small , boutique luxury hotel enthusiastic commitment servicing , indeed pamper , guest . elegant two - floor atrium lobby - dining room abound skylight , leather binding , pad chair ; serene club - like atmosphere permeate throughout . richly appoint room ( typically european small side ) innovative , contemporary flair contrast well build 's old architechture . room extremely comfortable many design feature impressed . lighting , internet connectivity in - room & quot ; home theater & quot ; state art . marble bathroom brillilantly design shower must one good ever ... anywhere ! short , , memorable hotel experience . come London visit two day important business meeting . 41 provide calm , relax luxurious setting grateful . can not imagine stay anywhere else next trip London . 
 Aug 4 2005 	 Best ever 	 husband stay 41 four night late July find everything brochure say . believe gentleman say food available & quot ; plunder pantry & quot ; hour not look glass - front refrigerator counter -- fully stock sliced meat , cheese , yogurt , fruit , etc . breakfast beautiful array fruit , cheese , yogurt , fresh european - style bread , pastry , meat , etc . , plus coffee , tea , cappacinos , juice serve friendly polite staff . general , staff superb -- arrive mid - morning room not quite ready sit sky - light lounge enjoy coffee short bread . soon room ready ( well stated check - in time ) asleep luxurious bed . room rather small , bed high quality bathroom well - appoint . night , fresh bottled water sweet deliver . complaint lack communication charge food lounge . upon check - out 50 pound food charge afternoon tea snack . , think hour 11 am 8 pm be charge , . event , highly recommend hotel want feel special pampered . staff take care everything . stay Milestone three day 41 lovely hotel , be nearly special 41 . 
 Aug 3 2005 	 pretentious hotel 	 expect something really special base review website hugely disappointed . room small poor natural light window one side huge ugly piece furniture contain tv . possible walk round king size bed . also , hardly wardrobe hang space due another large piece furniture contae safe . tv reception poor inferior Philips LCD picture quality whole system overcomplicate . bathroom well kitte small . main complaint room however noise people move along adjacent main corridor intermittant loud plumbing rumble . noise combine disturb throughout night . ' executive ' lounge small enjoy quiet drink without top guest . receptionist desk locate reduce available space . Most book display fake sum place . Breakfast however good . try stay Chancery Court hotel Holborn really luxury hotel decent sized room . 
 Jul 10 2005 	 nice price 	 stay Rubens hotel several time hear buzz 41 next door , decide try time . unfortunately , feel worth rate pay . staff courteous , room amenity seem lack . & quot ; suite & quot ; split - level , low level suite tiny little loveseat across tv small comfortably sit back relax one person certainly big enough two ( large people . ) , consequently , use part suite except pass way . rest time room spend upstairs , equally difficult navigate absolutely room baggage . fold baggage stand would help one bag , alas , not even . ... bag remain middle floor else room store . try hang many clothe closet could avoid even open bag , could not take everything bag literally stack take floor space . view windows room amount nothing . thing bother little amenity everyone , include friend stay 41 , seem rave lack stay . light candle night receive first night four night . jelly beans , dvd , cd ... little extra ... non - existant room . plunder pantry lounge evening truly nothing bag nibble ( cheese cracker , crisp , wrap candy put pillow turn - down night . ) disappointing much plunder . drink whilst lounge , charge room . day all - inclusive , friend visit , . say , becomes nicely decorate over - price hotel service / amenity could get number hotel throughout London , possibly less , price . make wonder glow review post site legit . would recommend 41 perhaps get stellar deal via internet . pay full price leave feeling slighted . favourite London continue Rubens Draycott least pay suite , truly get one . 
 Jun 28 2005 	 Outstanding ! 	 big jewel London going find Tower London 41 Buckingham Palace Road ! hotel become , benchmark upon future stay measure . recently spend four day London . every staff member go way help make stay incredible . room immaculate , housekeeping , top - notch . recent stay Rancho Mirage , Ritz Phoenix , St. Francis San Francisco even reach level service enjoy . ( think big name business need send manager see hotel run . ) location absolutely perfect , especially come Gatwick . hotel discreetly locate next Ruben . 30 minute walk first time arrive end 5 minute master route . trick disembark Gatwick Express walk straight station . outside , make leave half block Buckingham Palace Road . ( black iron gate along road set apart form other . ) turn right proceed three short block . last block passageway go road take crosswalk yard . ) look something special , place . truly . thank Chantel staff kind helpful . look forward many happy return future trip Europe . enjoy ! 
 Jun 22 2005 	 Amazing personal service amazing location great room . 	 travel 40 - 60 day per year . always expense account . always buisness . usually stay Westins can . great service matter . quiet clean room matter . nice bed quietness matter . if matter , 41 Hotel right place you . I wonderfull 3 day stay . complimentary food around clock available . honor bar lounge staff attend every need . free internet . more like stay good friend house . I back return London . 
 Jun 5 2005 	 good hotel stay ! 	 stay boyfriend birthday . stay executive room perfect . good part ' turn - down ' include leave candle light bathroom , fruit , ice bucket , slice lemon lime drink newspaper table , robe breakfast menu place bed slipper place near bed light dim curtain close . also open tv guide correct page put bedside table . show pillow take bed also . brilliant come back long day around london . hotel seem think everything even unbrella wardrobe lot stationary desk . near victoria underground station useful , hard we find go direction give book . not know hotel like good change & quot ; classical English & quot ; design london hotel . bathroom also great . room always restock anything use . service also great . staff friendly always smile . manager seem know guest name . thing like would impossible big hotel . however not put fresh flower room dvd library cd library room . bothered not go London watch dvds provide say . overall 41 seem personal compare hotel . would stay without doubt . 
 Jun 4 2005 	 Perfection ! ! ! 	 stay Hotel 41 first 3 night european honeymoon find good hotel either we ever stay . feel though be stay private club service staff member excellent . room nice good size . bathroom contain tub seperate shower huge powerful showerhead ( high - end toiletry also provide ) . honeymoon , give welcome bottle champagne ( Veuve - cheap stuff expect ) . hotel 's location good - 3 minute walk Victoria tube Palace . breakfast include good continental ( cereal , fruit , yogurt , pastire etc . ) . order full breakfast Rubens Hotel ( sister hotel attach 41 ) kitchen will pay dearly - 15 pound ! dinner Library restaurant high tea Lounge Rubens - excellent . see Billy Elliot musical playing theatre 5 minute 41 - good highly recommend . Elton John write music sit 5 row behind we night . would like small intimate hotel great location great service stay 41 ! ! ! 
 Jun 3 2005 	 simply fabulous 	 ' m midst two night stay 41 . not much add not already say reviewer , want throw positive review 41 well . lounge area incredible - sure guest not seem take advantage . stay definitely like stay private club - 's relaxing wind - down european trip . return London , definitely return 41 . 
 Apr 6 2005 	 comfort need 	 stay Hotel 41 end March , begin April 2005 . staff incredibly helpful accomodating . Chantal , PJ , Tonya , Pierre make stay lovely . hotel 41 occupy one floor Reubens hotel . intimate , quiet enjoyable . peak travel time , able get room around $ 325 night Expedia . usually , room start well $ 400 . room elegant bathroom spacious european standard . good part Executive Lounge . continental breakfast include nightly rate . later evening also provide cheese , fruit , ham , bread , nuts chip . easy make sandwich not feel like eat . easy access Victoria Underground station . walk distance many theater attraction . executive lounge also computer station available , free charge , internet access . rare find many extra include distinctive , elegant hotel . 
 Mar 23 2005 	 good hotel ever ! 	 good hotel ' ve ever stay ( ' ve stay quite ) ! room beautifully decorate black & amp ; white , amazing bathroom . staff friendly attentive , could not enough we ( try ' whatever whenever ' button phone ) . really make stay special attention detail : fluffy bathrobe lay bed , scented candle , staff address name etc . location also ideal explore sight London , right across road Buckingam Palace . 
 Mar 22 2005 	 true excellence ! 	 much research , decide stay Hotel 41 visit London ( March 13 - 17 ) . location wonderful accolade website decide factor . location incredibly convenient . literally 2 block Victoria Station arrive Gatwick Airport take Gatwick Express Victoria Station walk hotel . importantly , walk distance mother load tourist attraction . obvious Buckingham Palace 2 - 3 block away . Mews Queen 's Gallery directly across street hotel . walk Mall Trafalgar Square lovely day admire beautiful St. James Green Parks . addition , walk War Rooms , Westminster Abbey , Parliament London Eye . attraction bit far take 20 minute . facility staff ... mention previously site , 41 well know cab driver always ask let Rubens . entrance 41 simply foyer elevator take 5th floor . arrive mid - morning greet . manager , Chantal , offer we large room available later afternoon ; however , offer we use another room freshen store bag visit Mews . first room really small side grateful offer . room actually stayed nicely appoint . bed really comfortable people claim nice effect fireplace . hotel food quite good service prompt . hotel use Rubens concierge quite helpful knowledgable . able get good seat Producers week notice . absolute pleasure stay . especially grateful truly nice staff dine Claridge 's deal snooty doorman would not even look eye . question , happy quiet convenient location attentive service . 
 Feb 5 2005 	 Fantastic 	 travel frequently business , always stay hotel . safely say hotel well ever stay . service personalise , everyone know name , make feel important guest ever stay . resident manager , Chantal , take interest guest , take time chat . room really luxurious , computer . strikingly decorate black white , someone come around evening icebucket drink intend mixing , well turn bed , etc . pantry , great show , come back midnight really healthy food refrigerator lounge . location fantastic - directly opposite Buckingham Palace , less boundary exclusive Belgravia . clincher - get bang buck stay Dorchestor Claridges . 
 Jan 3 2005 	 wonderful new year 	 girlfriend , teenager stay 41 new year . hotel extremely intimate room quite small delicate black white decor . staff nice , serve every need . really spoil back future . 
 Dec 22 2004 	 want feel like princess ? ? ? ? ? 	 room small size , ish ! ! ! intimate , big enough , everything could need . staff attentive personal friendly . lounge fantastic birthday treat choice perfect . could not recommend ENOUGH . self service bar , pantry , friendly staff , fire room make great trip well . thoroughly recommend . 
 Nov 20 2004 	 stay anywhere else ! 	 spend one night 40th birthday wonderful 41 Victoria ( Buckingham Palace Road ) . 18 room mean service personal time . staff know , address , name . constant supply fresh towel . nice selection fresh fruit room . bathrooom stun amazing walk shower plus full bath yet another shower . bed - start ? huge , sumptuous , incredibly comfotable , lovely bed linen . lovely selection freshly squeeze juice breakfast , starbuck coffee , leaf tea whatever combination breakfast item desire . check 11 am happy look bag later day . fact return , exhausted trawl round London 6ish . insist sit chill lounge bring we coffee biscuit charge . ok , yes expensive £ 300 night thereabout . plenty London hotel charge amount money give kind service attention detail 41 give . 41 tranquility stone throw hustle bustle central London . 
 Oct 21 2004 	 awesome hotel earth 	 enter , might feel go heaven ! escort room welcome least 5 staff know us name ! immediately bring snack drink luxurious jr . suite . travel world intimate hotel ever stay . small ( 18 room ) 5 star hotel london . everything take care need meet know ! want drink supply make staff go bar next door bring drink . next day , supply make drink . bed heavenly shower incredible . can not say enough hotel -- - chance , well worth every penny spend stay hotel ! ! ! ! 
 Oct 19 2004 	 bit disappointed ! 	 quite disappointed stay Hotel 41 . think cause website promise comfort comfort . little thing like jelly bean coffee make facility room not big thing like bring we champagne part package non - working fireplace lead overall feel dissatisfaction . website promise fresh flower dvd player every room , neither . afternoon tea , specifially mention package . personal butler suppose see need nice young man , obviously not train mixing drink . cd dvd library , also high - light website . plunder pantry consist pretzel mix couple mini snicker bar set glass plate . little disappointment little disappointment lead two unhappy guest . the room gorgeous , bathroom luxurious , would never stay . promise lot , thing deliver nice room . 
 Oct 7 2004 	 Great Little Base - problem 	 really want give 41 Hotel 5 star rating ( read previous review could not wait get ) . everything extremely nice , glitche hotel . 1 ) several service problem require one call ( one day ) anything even do . small example ( other ) - pay champagne room upon arrival = 3 day ( several request ) , champagne bring room . might small item complain , be pay item not get be suppose . not order pizza think maybe person bring 3 day now.2 ) contrary everything write brochure etc . , dvd player cd player every room . fact , request item several time 2 different room - deny every time ( room ) request . ' m try nitpick , advertise utilize extensive dvd / cd library use room 's dvd / cd system be go give dvd / cd system . 's want spend time London hotel room , would nice ( late night early morning ) able utilize system advertise several publications.3 ) first room give king deluxe room w / fireplace . room charming , absolutely room put luggage away . ' m exaggerate - none ( stack front window ) .4 ) second room give , neighbor across hall turn section hotel one big noisy party request another room , fireplace ( little room luggage ) , desk chair position make get one side bed difficult ( especially middle night go bathroom ) . stub toe 3 time . I ' m trying say not good time 41 Hotel ( first visit London whole trip , include trip Paris prior trip London , simply awesome ) . chantal extremely nice , lounge nice place sit drink , everyone extremely friendly , room appoint well - problem not happen be pay top dollar ( least want get 5 star ) . want like lot ( maybe receive type room ameinitie think go receive reason , even though pay king deluxe room , give so - so room add amenity ) . whatever case may , nice hotel , kink need work . 
 Oct 7 2004 	 perfect 	 Mu husband short layover London stay one night . back ! ! great location , one floor next another hotel . private , quiet , wonderful service spiffy decor ! look internet good deal 
