Great 	 staff great . breakfast excellent . room comfortable . internet spotty well sometimes non - existent . enough elevator , help now . the price keep go level service keep go down . the two night & quot ; social & quot ; amusing . will not .... 
 Care 	 's probably hokey , sell point consider book hotel manager check review respond person review . seem like something someone concern guest satisfaction hotel 's reputation would . hokey flawed logic , maybe , factor book . I ' ve stay New York several time measure well hotel ' ve stay business . like Marriott Marquis , slow elevator truly issue hotel much cheap . internet access free fitness room not world - class , deck plenty free , too . the room well - sized bathroom small . kitchen area well - equip modern appliance ( microwave , refrigerator , dishwasher ) . travel business arrive late , lack room service probably would issue . eat breakfast ( free ) full - feature warm buffet . overall , hotel heart thing , New York anyway , moderately price ( 2 night tax $ 480 , AAA discount ) . pay much , little thing impact satisfaction pretty sure would not surprise manager , , track site . pleased stay . 
 Dec 12 2006 	 Great Place Stay 	 daughter stay property weekend December 8th Christmas shopping . place wonderful . hotel staff superb ( helpful ) . ' ve stay many hotel throughout NYC area ( upper manhattan , times square , Soho , etc ) . , far property good . not let price fool . hotel locate within walk distance major shopping ( Macy 's , Lord & amp ; Taylor , H & amp ; , ) Bryant Park . room emmaculate , Granite counter top , stainless applicance ( microwave fridge ) . wonderful bed , flat screen tv . not pass propery ! ! ! 
 Nov 23 2006 	 Great Location amenity good night 's sleep ! 	 group , 2 mom 2 teen - aged daughter , stay hotel 3 night week Thanksgiving . hotel clean modern . never stay hotel NYC not hear horn car night long . hear anything hotel , amazing ! extremely quiet bed heaven ! two girl say couch sleeper sofa great , seem sleep fine . size double , queen . elevator work fast , free breakfast morning plentiful high quality . free dinner awesome . eat one night could go dessert Serendipity later night . room little crowd 4 woman . sink toilet room shower , prep time morning little slow . use mirror closet door , someone else take portable make mirror , help . use sink kitchen brush tooth plug next bed closet mirror fix hair ! luggage stand find room bag challenge ! room good size NYC standard , small city . location short walk Times Square , one block subway stop . , love hotel would definitely stay ! 
 Nov 20 2006 	 Great Value New Hotel Good Location Clean 	 great location , great room , lot glamor glitz , bed wonderful , rate great $ 209.00 . wife , 2 kid come NYC weekend value great ! clean room . small bathroom . new hotel . flat Screen tv . across Street Bryant Park . close Times Square . concierge good helpful . 
 Nov 4 2006 	 Excelent Hotel ! ! 	 return 5 - day stay Marriott Times Square , New York . hotel wonderful never experience incredible service . good news : everything complimentary Marriott Residence Inn ( include breakfast , dinner internet access ) . New York several time time Marriott far well other . still understand people ellecte Sofitel # 1 New York . honest opinion Marriott good hotel available class service . pay $ 299 per night great room ( fridge microwave ) 22nd floor . last least , bed like soft cloud . 
 Oct 30 2006 	 Fantastic Time 	 stay 3 night absolutely love . not care read anywhere else , staff terrific , room clean 4 - 5 huge security guard onsite time plain view . area perfect -- perfectly safe . short block Times Square . room 30th Floor quiet home country ! kitchenette sparkling -- granite top . would recommend place day long . price also great downtown Manhattan . take subway everywhere -- safe good way get Downtown Central Park everywhere . absolutely need take cab ! favorite restaurant : Tony 's di Napalo , Carmines , Ruths Chris , Blue Fin . 
 Oct 26 2006 	 hotel amazing option ! ! ! 	 wow ! ! ! choice hotel ! ! ! really Times Square two three block . hotel fashion district , safe walk anyhour . late check - out ask front desk leave . another cool thing : four block Macy 's another cool store buy everything ( GAP . Victoria 's Secret , Old Navy , Sephora , Sketchers , Manhattan Mall , etc ) .I stay NYC another two friend six day ( aug 25 aug 30 ) love hotel . staff ? friendly . breakfast much start day energy : scramble egg , fruit , waffle , yoghurt , muffin , baggel , milk , coffee , soda ice tea take eat ! ! ! bed pillow like little cloud sleep like baby without noise ! ! ! come Newark Airport take bus ( 23 dll round trip ) airport Bryant Park station block half hotel ! ! ! know love New York City want go ! ! ! want plan trip will stay Residence Inn ! ! ! course ! ! ! 
 Oct 23 2006 	 Great Choice 	 return 2 night stay little gem heart Manhattan . use point stay Marquis previous visit want get away hustle bustle Times Square . great choice location still walk distance everything , Bryant Park tranquil oasis lot place shop eat right nearby within easy stroll . staff wonderful , friendly helpful . appreciate evidence security greet everyone walk hotel 's one entrance . request high floor corner room 20th floor . room clean , quiet , contemporary ok size . bed wonderful allow good night 's sleep . bathroom bite small side , single sink minimal counter space . , work couple night . wonder cut back full size fridge empty kitchen cabinet increase closet and/or bathroom space . even pot pan stove , go figure ! Breakfast 3rd flor nice ample selection . agree previous poster try get 9:15 's mad rush staff close place right dot 9:30am . would definately stay hotel would highly recommend ! 
 Oct 13 2006 	 Ditto - Great Place ! 	 wife stay 5 night first week October . wonderful stay . reserve corner studio suite locate 7th floor . room quiet . bed one comfortable ' ve sleep . staff friendly efficient first step door departure . like presence security lobby . the location great - near subway close Times Square actually . suite comfortable price good ( face - everything New York go bit pricey ) . use concierge couple time direction restaurant reservation - great service . head give - not head include buffet breakfast last 30 minute service . complete zoo two time try ! wake early blow find light breakfast one many excellent cafe shop nearby . visit NYC twice year visit daughter live definitely return next visit . 
 Oct 11 2006 	 Perfect Oasis City 	 stay Residence Inn 5 time since open January 2006.the Hotel excellent midtown location across Bryant Park . 6th AVe . 38th street . subway front door . hotel room TOP NOTCH . flat panel tv comforter Comfy triple sheeted bed , beautiful Kitchen furnish stainless steel appliance . hotel staff friendly , pleasent deal . even call cell phone room clean , ready occupy . place clean . enough offer free Buffet breakfast every morning consist Eggs , Sausage , Oatmeal , assorted pastery , Bagles , Toast . coffee , tea assortment beautiful dinge room overlook street . Free New York TImes , Free Wall Street Journals . hotel must NYC . highly reccomede . disappointed . 
 Oct 11 2006 	 must stay ! 	 recently return wonderful 4.5 day trip ny . booked hotel follow extensive research similarly price hotel Times Sq / Mid town area . hotel live positive none negative post Trip Advisor review . staff superb - one pass we without cheerful word security / reception personnel great knowledge good place eat , show see general tourist information . room decent size city request give room 15th floor view Empire State . could also see Macys sign , bear shopper great comfort ! ! ! . loved room / bed / linen / kitchenette / storage / safe . everything immaculately clean 24 hour coffee available 3rd floor always welcome . looking somewhere reasonably price , great location good sized clean room - look . 
 Oct 10 2006 	 well find Manhattan 	 husband redeem Marriott Certificates , confirm 3 night worth approximately $ 430 , originally book Courtyard , even confirm via e - mail phone several times- upon get tell room we , & quot ; upgrade & quot ; Residence Inn around corner . one desk clerk kindly walk we hotel promptly check midnight . fast easy . steaming bump & quot ; cheap & quot ; hotel , assure upgrade . could not help feel cheat shuffle another hotel , meanwhile $ 430 per night certificate redeem totally different hotel plan month . as soon walk door room worry vanish . regradless original value certificate Courtyard , Residence Inn blow away . husband warn NYC hotel room extremely small . thrilled size room well everything room offer . # 1001 , lovely corner room three , yes three set window . full kitchen absolutely perfect , although think full size dishwasher overkill . large crock pot sit counter , plenty appliance , full size fridge , separate small dining area , sofa ( like loveseat ) , coffee table chair , flat screen tv , absolute favorite part ........ bed simply amazing , comfortable ever sleep life picky . pillow ( least 8 bed ) varied firmness , etc . favorite latex foam pillow . enjoy much hunted exact brand return home , ( case be wonder , Talaylay Latex Foam Pillows , Simmons Beautyrest makes also find identical one Dillard 's $ 40 ) . bed comfortable trouble get morning . actually miss free breakfast every single day , report . bathroom small , consider limited amount time , really issue . especially like dual shower head bathroom , separate detachable head perfect rinse hair , shaving leg , etc . would feel little less cramp bathroom pocket door versus regular door take mucy room make awkward get bathtub without climb commode . towel big , fluffy soft . although exhaust fan bathroom , never experience type problem steam otherwise . the room extremely quiet , never hear noise hallway , street , guest . upon check - out , happy hold bag we secure area get airport . doorman always available hail cab we . never really encounter staff hotel , come contact polite friendly . all , room completely perfect , especially NYC . return , definitely use Residence Inn # 1 choice . pay regular price hotel , would still feel like get great deal , especially see hotel rate available area . 
 Oct 4 2006 	 almost perfect great price . 	 ' m typically budget traveller much important stay . always well get clean , convenient mostly affordable accommodation . hit jack pot hotel . ' ve NYC quite time - 4 - 5 day weekend . usually sub - let flat know friend , late decision go Apple time make hotel option . check B & amp ; b 's well Inn 's , think would another great way go , nothing available 4 night need past weekend . put onto Marriott figure would way much . start dig . the residence Courtyards cheap lot . deal get hotel awesome - especially make request Marriott Customer service Hotel 's customer service dept . like person , book two night 219 teh advance purchase guarantee price 219 / per fpr King Studio pull - out sofa - really two we would need use & quot ; base operation & quot ; 4 day night . room availbale rate 4 night bit bullet book 2 $ 299 / per - much wished pay . follow change price week prior departure see room 209 / night . cancel 299 night explain hotel . ten kind enough change & quot ; guarantee - cancellation rate $ 219 / night make pay $ 209 / night 4 night . nice . now hotel : clean , bed one comfortable have sleep night get - 2 4 . although think totally unlikely , actually get view Empire State Building . though previous picture Tripadvisor loooong shot guess ' ve get least 25 % chance right side . nice plus . great fridge microwave , keep refreshment . Granite counter top good addition . minor thing not bothersome , likely would not occur 4 5 star . tub would hold water , gave tough . slide glass closet door loose one fall . also , hold toilet handle 15 second get proper flush . , well minor , inconvenience room itself . while breakfast well bar place , neither great . breakfast end 10 , be late night tough . one day manage get , average , except package yogurt , fresh fruit coffee . still , bad free . bar nice quiet . 2 time drop cocktail hour one two people . location excellent hit Soho , Greenwich Village , Upper Westside , Chelsea Lower eastside ease . even head see Yankees game easily . be one thing make Manhattan great . nothing far . think go , might stay long , might stay quieter location ( Greenwish , Upper Westside ) , short intense stay , perfect . right next hotel Bryant Park find nice lunch extremely reasonable price . moma stone 's throw many great thing see . all - in - all , great experience , make fact hotel willing well price even not need . bit work get deal , ' r willing keep check website , get get $ 300- $ 400 room Residence Inn $ 200 . great deal , especially be two sharing . search net long time , even cheap b & amp ; b around price . do Marriott Courtyard Times Square , kitchenette . one last thing : hotel seriously consider Milford Plaza Times Square Marrakech Upper Westside . neither compare see review & quot ; candid photo & quot ; read review . may great place stay price , give short time book good , affordable room ( 2 week ) feel like score . 
 Oct 3 2006 	 fantastic UK 22nd - 25th SEP 2006 	 arrive hotel 22nd September 3pm . check smooth give 33rd floor 3304 exact , fantastic view ESB downtown ( see picture ) , bed like nothing choice 3 type pillow real cover ! ! kitchen great , would need , actually nothing fault . great stay would go back hotel ! issue free Breakfast always two helping ! ! ! staff always friendly security perfect . you can not go wrong hotel unless much moaner find fault like & quot ; window OPEN could hear traffic & quot ; & quot ; dear sir , New York farm & quot ; ! ! ! ! one thing - towel room fine - gold weave , fine - shed perfect job dry ! hope help decision ! 
 Oct 1 2006 	 love - bargain ! ! ! 	 everyone entitle opinion / experience could let last review go without comment . stay 2 night Friday Saturday . rate $ 219 usd per night 14 day advance book Marriott website . ( book day rate drop $ 209 's gamble take - wait hotel full ? ) rate quote get queen bed & amp ; rollaway kitchen dishwasher / microwave / LCD tv everything else describe review . bed comfortable come 10 pilow . room feel new , clean modern . Bathroom could big however . hotel right corner W39th St 6th Ave EASY 10 minute walk theatre Times Square . breakfast free excellent . for price pay hestiation recommend hotel anyone . also must visit tkts half price broadway show tix sale day performance . get excellent seat broadway show Saturday night - top stay ! ! ! 
 Sep 21 2006 	 Gem place ! 	 travel NYC business read many review decide book Residence Inn Marriott . extremely please everything little gem ! service polite helpful ( front desk help order food 2 arrive West Coast ) . Studio Suite clean spacious ( sit room kitchen ) well handsomely appoint . hotel convenient everything around corner , middle , madness Times Square . room unbelievably quiet finally , breakfast buffet include price room ! indeed stay return New York City . 
 Sep 21 2006 	 stay Marriott Residence Inn ! 	 hotel subpar good price pay stay . one easily find well hotel space rate charge . charge $ 399 King Size Bed , room size apparently . mattress firm towel cheap kind shed . view hotel pretty crappy - build wall stand outside window . claim smoke free hotel , room smell like cigarette get , top , charge additional $ 250 check claim smoke room ! ! manager indifferent charge refuse take . thing like stay location since 's right heart midtown ( near theater district Macys / shopping area ) , , worth . usually stay hotel Times Square ( like Marquis , Millenium , W , etc ) , near Times Square , never stay hotel . ' m quite surprised & quot ; great & quot ; reviews hotel get . frequent travelerfirenze , Italy 
 Sep 17 2006 	 great find . 	 originally book courtyard time sq , full transfer we here- 1 min walk . piece good luck ! got upgrade queen suit- excellent . big bed , LCD tv , fridge / freezer / microwave / coffee maker . like kitchen room ( proper oven ) .. fine self catering tourist . good location close bryant park , acceptable time sq , ESB mid - town stuff . close subway . new hotel clean nice interior , include waterfall foyer . staff polite helpful . breakfast free me- get this- take .. eat want , may get busy ( although labor weekend ) . small bar overlook 6th ave , nice pool table . 4 night cost 895usd , cheap usual queen suit 300usd per night . expensive know shop around see get less . check official website- tell need , be correct ! 
 Sep 10 2006 	 world ! 	 great hotel family . seven day July 4th great time . staff helpful friendly three four year old . would reccomend hotel everyone . 
 Sep 4 2006 	 Loved every Minute ! 	 stay Labor Day weekend . hotel fantastic ! stay 16th Floor Queen Studio . room everything ! ! great Queen Size bed ton pillow ! small sofa cocktail table . kitchenette fridge , dishwasher , microwave toaster . , include room rate all - you - can - eat breakfast buffet . continental style , scramble egg , sausage , fried potato , one day , pancake , next , french toast . also , cereal , bagel , yogurt , fruit , bread toasting , hot coffee , juice , great . hotel 5 star book . definitely book again . P.S . location excellent . walk distance Macy 's , Time Square , subway line , Penn Station . 
 Aug 27 2006 	 Strong Recommendation Marriott 's Residence Inn 6th Ave 	 hotel disappoint . staff friendly , room review other nice . my queen studio large terribly small well lay - new clean . suitable one two people , . bed exceptionally comfortable , great full fridge ( well dishwasher microwave ) granite counter eat bar ( separate eating area , though suite ) . sofa bed , open would make room cramp , certainly 2 . sure suit 2 queen bed , ( check Doubletree Times Square ... two - room suite large pay , get free breakfast ) . bed exceptionally comfortable even clock radio include cd player . location : corner 39th Street 6th Avenue ( aka Avenue Americas ) .. 4 block Macy 's south ( also close Empire State Building ) 3 block 42nd Street ( next Avenue Broadway heart Times Square ) . hotel well situate theatre goer prefer midway top attraction reach subway walk - block NYC short . technically fashion district , store sell button , ribbon garment around hotel . Bryant Park 42nd Street 6th nice respite city . film Good Morning America concert also film Home Garden television show last day . hotel $ 50 $ 100 per night cheap comparable room right Times Square ( though large none aware include free breakfast ) .The large breakfast lounge 3rd floor nice one ever see ( table chair also couch lounge chair modern tasteful setting , may use ) . free breakfast 6:30 - 9:30 weekday 7:00 - 10:00 weekend . food every day ... fresh hot , great coffee juice . New York Times U.S.A. Today make available well . also large LCD tv certain area . other indicate free social hour meal 5 - 7 weekday ( Thursdays ) ... taco night , soup salad ... etc . hotel hour take advantage . hear people complain elevator service , breakfast quite early never problem . never stay hotel NYC elevator service slow occasion . the lobby long narrow , bit congest many checking . free internet access pc end front desk printer . come incredibly handy misplace e - ticket need print new one . Kudos Marriott think everything . , staff helpful allow email print e - ticket pdf file could open pc . definitely worth reasonable price ( NYC standard ) top 3 7 different hotel stay NYC . definitely back . nothing particularly special store thing right beside hotel ... good location refer three short block away South North . tip : pack container bring breakfast back room , prefer eat breakfast room . coffee cup go plastic plate , may keep food warm . a couple suggestion make well : luggage rack , NYC tourist mag room . crazy hallway decor ... big deal . enjoy hotel , staff NYC . 
 Aug 27 2006 	 wonderful place 	 book trip directly Marriott stay great rate $ 209.00 . ( Friday - Tuesday ) room queen bed , sofa , dining table two chair full kitchen . appliance stainless steel kitchen stock everything need , include toaster crock pot . bed delcious sheet duvet cover one comfortable ' ve ever sleep . feel exactly like wonderful bed Hilton Millenium early trip . bathroom spotless modern , small . location can not beat . concierge extremely helpful . staff member totally courteous competent . I definitely check hotel price right . 
 Aug 14 2006 	 great place family 	 Family stay King Studio ; 2 young kid sleep sofabe . hotel clean ( new ) , include room . friendly service front desk , bellman , security , etc . reasonable rate . studio large refrigerator , microwave , sink , plate , glass , etc . nice want keep thing around . very convenient free breakfast available ... save time morning . week light dinner ( soup salad ) additional cost ; not use , always dinner . need it . a block two walk Times Square ; walk back hotel theater never feel unsafe . it be nice close Time Square , yet . Bryant Square subway station convenient . while use service ... hotel directory / information book say shop grocery free , give list ( pay grocery , service ) .Great stay . next time bring family NYC , first hotel list . 
 Aug 11 2006 	 Great Hotelk 	 stay teenager . right bat bellman ( huge guy ) great . got gear direct Avis site point everything close would need ( grocery etc . ) . room well Renaissance 49th street . totally modern flat screen . air conditioning weak send guy right away replace filter get go . subway across street Times Square blo9ck away . would definitely stay 
 Aug 4 2006 	 summer NY 	 family go Times Square Manhattan , NY July . this hotel near everything ( Bryant Park across street ) .It around corner times square , herald square theatre district . staff excellent , security hotel ever present . hotel offer nice breakfast , except long duration . NY'rs , wife accustom poor service bad customer relation , hotel nice experience . 
 Aug 1 2006 	 yes be good - ... 	 ok good place reasonable bargain NYC . however fall young man 's pitch front counter fix room & quot ; lot space & quot ; view Empire State Bldg . put wheel chair access room . yeah sure lot space ... furniture ! also closet . end change room broadband not work discover spaceous room exactly like except furniture closet spaceous bathroom , make spaceous cupboard / counter top sink . otherwise hotel ok . in - room broadband really hassle require often reset ( turn turn ) modem and/or computer ... pause couple minute ( maybe 3 ) get log server . 
 Jul 26 2006 	 absolutely fantastic ! ! 	 hotel absolute gem ! wife , sister , return 3 night stay Residence Inn , everything great . initially hear hotel one co - worker , decide give try , disappointed way . location perfect . leave hotel , exactly 3 short block 42nd street , 1 block begin Times Square . Rockefeller Center 8 block away , right 6th Avenue . subway right across street , Bryant Park diagonally across . the room immaculate , spacious . please consider corner room 3 window , dissatisfied . breakfast wonderful plentiful , social dinner ( week night 5:30 7:00 ) . well hotel staff New York , would like see . check - in staff maid service , helpful cordial every aspect . little suggestion traveler come Newark Airport - bus service ( Coach USA ) run round trip bus every 15 minute Newark Midtown . bus drop Bryant Park , close hotel . roundtrip cost $ 23 ! ! might save money . hope help . David & amp ; Vickie HickmanGadsden , Alabama 
 Jul 26 2006 	 deal ! 	 Residence Inn ( locate Ave . Americas 38th ) really deal . Marriott Rewards member get good rate find include buffet breakfast weeknight , small supper . 's great location , handy everything . seem almost new , non - smoking friendly . can not say enough good thing would definitely stay . 
 Jul 16 2006 	 nutshell ... wonderful ! 	 Residence Inn / Time Square one nice place ' ve stay ! arrive car park front along side hotel go inside . will send valet park car . not lot room need cautious traffic . not make mistake go parking garage around corner . will pay $ 10.00 per day . take time valet retrieve car , especially check - out , call ahead room . the room consider studio suite truthfully 's much large regular hotel room . kitchen area full fridge , microwave coffee maker . cooktop think offer room . room beautifully decorate , even kitchen dining area . refrigerator stainless steel counter top shiny black . curtain , rug linen gorgeous ! not usually comment decor room beautiful mention ! small sleeper sofa horribly uncomfortable ! could feel every spring matteress ! much effort put rest room , would think could invest quality sleeper sofa mattress . good part ... bed ! comfortable bed ' ve ever sleep . pillow great linen soft . mattress thick pillow topper envelop . shower great massaging shower head along & quot ; rainshower & quot ; head . soap provide remind favorite Crabtree Evelyn soap . regualr handheld hairdryer provide 's one weak dryer attach wall . the breakfast nice locate third floor plenty table chair . also vend machine small bar area . Breakfast consist scramble egg , sausage patty , homefrie , danish , cinnamon roll , bagel , english muffin , bread . conveyer type commercial toaster quick . would nice waffle maker pancake even , selection nice . coffee delicious ! instead make room go coffee hotel provide . really good available 24 hour day . the concierge extremely helpful rest staff . manager always lobby ready help answer question headphone contact bellhop valet . hotel animal friendly hear barking , meow etc . ask certain room reserve pet tell room available . room evidence pet clean . 's additional fee seven day . Bryant Park block away next New York Public Libarary . park plenty cafe table chair . nice sit cup coffee enjoy view . Bryant Park also free movie every Monday summber huge screen . get early lawn fill fast . across street hotel ice cream shop yummy . see off - Broadway show , Slava 's Snow Show fun , especially kid . $ 7.00 taxi get theater . we pay $ 220.00 per night almost unheard Mid - town even unbelievable quality hotel . 
 Jul 13 2006 	 great place stay 	 stay July 4th long weekend year . nice clean hotel . well position NY easy access everything within walking distance Times Square . cool lounge area relax eat food watch whatever want several flat screen tv locate different area . friendly staff . negative room small usual major issue . recommend get high floor avoid street noise . would definitely stay . 
 Jul 10 2006 	 Residence Inn ... 	 first let say , reservation middle city rain boot . go city hard enough get room even hard . walk Residence Inn Marriot ask anything available immediately give room floor choice . arrive room , breathtaking say least . full kitchen dishwasher ; everything brand new sparkle brand new look . bathroom immaculate dual shower head make enjoyable invigorate shower . towel thick soft bring home . bed beyond comfortable ; want take check . sheet clean fresh ; way . even supply room flat screen plasma tv pleasure . staff great check check fact valet parking plus -- - find parking city . tell give 30 minute retrieve car , car front within 15 minute call . overall good stay ever city become hotel choice day forth . 
 Jul 9 2006 	 home away home ( Times Square ) 	 first time ever stay Marriott Residence Inn ; will not last . completely modern , clean , comfortable , accommodate hotel . two room locate end hall 15th floor . since also door hall able close lock , able keep room door open accessible we ( 3 adult , 3 teen , 9 year - old , 14 month - old . ) ideal set - up ! room queen bed ( wonderfully comfortable ! ) sofa bed ( so - so comfort ) , small bathroom kitchenette ( microwave , refrigerator , sink , coffeemaker , cabinet , utensil , dish , etc . dishwasher . ) Decor attractive lighting functional . the inn provide complete complimentary breakfast day . although food ordinary ( scramble egg , potato , fruit , sausage patty , yogurt , cereal , bagel , etc . ) , fill plentiful . dining buffet area constantly clean since many folk utilize service . the staff attentive accommodate . check - in simple quick . arrive NYC early thought would simply ask check luggage hotel , however , pleasantly surprised find room ready noon ! couple small annoyance : hotel one laptop available guest use internet . day many folk want check Email , reservation , etc . via Internet think one unit completely inadequate since 357 suite hotel . also , one person man concierge desk many people wait assistance small lobby . also , return room evening , see housekeeping stop . call desk learn not offer daily cleaning , offer & quot ; light refreshing .. & quot ; however , not receive anything . , room , find paper state housekeeping work . however , not paper room , idea . not mind bed not make , etc . trash receptacle overflow have use towel not hang dry someone stop take trash replenish towel . one thing want mention : inn Times Square . think good thing inn extremely noisy night . think misleading since & quot ; Times Square & quot ; part name . not far away ( couple block ) .We get stay two night , think excellent choice folk ( especially stay several day since will enjoy many comfort home . ) relatively easy walk around site public transportation easily accessible , . 
 Jun 26 2006 	 Residence Inn well ! 	 stay month ago New York Palace huge expectation stay Residence Inn , previous comment encourage . well , certainly surpass expectation ! typical & quot ; cookie cutter & quot ; Residence Inn . new , modern clean . staff extremely friendly helpful . request fresh bed sofa bed get less 5 minute . ask even number room 15th floor truly get great view Empire State building . leave curtain open night enjoy sight . travel family , ask handicapped room , available , slightly large . the luggage porter helpful correct information provide . tip $ 20 even though ' m really cheapskate . breakfast great free unlike $ 40 pay oatmeal coffee Palace . chinese / Japanese / Thai restaurant around corner ( 39th ) deliver food room . otherwise , go . also friendly price right . 
 Jun 23 2006 	 Outstanding Service Experience ! ! ! 	 first time NYC honeymoon , not know expect . business traveller typically stay & quot ; value & quot ; hotel Holiday Inn Express 40 - 50 night / year . usually stay premium luxury hotel 10 - 12 night / year well . never stay Residence Inn Marriott Hotels usually first choice ( due poor past experience ) stay hotel new wife impress staff , level service emenitie NYC Marriott Residence Inn Manhattan / Times Square . start bellman right housekeeping staff , front desk agent etc ... stellar ! 1 . bellman spend 15 minute unload luggage tell we good restaurant . hungry get late , take suggestion direction enjoy recommendation.2 . leave privacy please tag door housekeeping staff actually not come next morning . instead even knock , leave message voicemail ask we call back want service ( hate housekeeping staff knock try sleep ! ) 3 . free breakfast great . experience would amazing without breakfast , large selection , great atmosphere even bring food back wife take - out container one day feel well enough come down.4 . manager ( think might GM ) hotel lobby shake hand welcome we original bellman introduce we . 5 . security guard / doorman helpful direction hail cab we numerous occasion tell cab driver exactly go . 6 . front desk staff amazingly pleasant complete check - in minute two . everything ready even grant request top ( 34th floor ) .7 . location , Location , Location ! hotel step Times Square , Theatre great shopping ! always feel safe.8 . room huge ! expect small room , kitchen area nice , bathroom adequate bed / living area comfortable . amazing bed linen ! make every effort stay hotel NYC , also willing give Marriott 's chance many year boycott . 
 Jun 23 2006 	 Residence Inn Manhattan / Times Square 	 would definitely recommend hotel . 20 minute walk 5 min taxi Grand Central Station get catch airport shuttle La Gaurdia JFK $ 21.00 round trip . also far walk Times Square . many attraction . nice walk Byrant Park look relax . staff always friendly helpful . room nice change choice room able obtain one soon arrive 9:30 a.m . end wheel chair accessable room fine view esb . side large fan roof build next door would want open window . want open anyways . bed pillow extremely comfortable . comment would say room way cold come fix we . breakfast buffet nice way start day end meal day everyday . look something eat near cross Avenue Americas go 39th Street Cafe 39 door great Chicken Wrap small chip pickle $ 5.36 tax incl . fill last two meal . 
 Jun 17 2006 	 Wonderful staff 	 stay great . hotel clean confortable . bed much . not great view . odd number room . not much room comfortable . staff great room maintenance great desk staff . honest , helpful fun . could walk eveywhere . good location . great shopping . would highly recommend would stay . 
 Jun 13 2006 	 Wow 	 new clean hotel . room fifth floor view Empire State Building . believe room end even number Empire State view . room quiet even though near elevator . good insulation . our suite little large size regular hotel room . king size bed sofabe face . separate room - bathroom . refrigerator , micro , dishwasher nice feature . one tv provide here . the lobby quite small . however , third floor massive lounge area sofas , table , chair , tv , book . also breakfast evening reception take place . coffee , tea , hot chocolate available 24/7 . bar level open midnight . bottom floor laundry room . plenty washer dryer . also coin changer $ 5 $ 1 bill . laundry detergent provide front desk upon request . floor also fitness center , Treadmills , cycle , eliptical machine 3 - 4 . ice vend machine locate . we love location hotel . walk distance 2 subway station , Times Square , Broadway show , Bryant Park , PublicLibrary , Lord Taylor , Macy 's , Empire State Building , Yankees Club Store . always plenty staff duty . service prompt friendly . 
 Jun 12 2006 	 Great Hotel ! 06/09/06 - 06/11/06 	 arrive a.m. room ready , allow complete paperwork store bag . rain forecast , desk clerk offer we umbrella case . day walk around Times Square SoHo , come back hotel . get key head room . nice . little kitchen area sink , refrigerator crock pot . imagine huge need crock pot room , . nice sitting area . flat screen tv could swivel toward bed sit area . view directly onto Ave . america 20th floor . nice ! bathroom okay . average size . shower head high , nice tall person . showerhead many adjustment option ( i.e . massage , shower , single jet ) . wish shower curtain rod curve . bed excellent ! nice lot pillow . choice feather polyfill . usually difficulty sleep hotel , problem . tired time visit fitness center , not even check . morning breakfast nice . selection egg , sausage , potato pancake . also selection different type bread two toaster wel fruit cold cereal option . it be right Times Square , couple block away . close Bryant Park New York City Library . would definitely recommend hotel would plan stay . 
 Jun 5 2006 	 fabulous marriot 	 wife return City , Residence Inn Time Square fabuolus right minute arrive leave , even stay extra night due bad weather . staff friendly helpful , room comfortable , great fridge micrwave sit area . great view Empire state building 8th floor . great market 20 step outside front door , grab beer wine snack good go . mention hot buffet breakfast every morning Monday Thursday happy hour third floor lounge ( entire third floor ) 5 - 7pm Lasagna Ceasar Salad one evening include price . mention yes New York City get extra include one price . thank Marriot , wife travel everywhere world rate hotel 3 - star Hotel 20 year marriage wife take shoe hotel room . front Lobby small must reason three star Hotel . 
 May 22 2006 	 Great Location 	 return trip Manhattan , NY . hotel open January , everything still new nice . room really big , comfortable well thought . little pricey , Manhattan standard probably average . else NY get free breakfast ? great , comfortable bed , nice shower . kitchen ! full fridge , nice microwave dishwasher ; fully load need utensil . even toaster . cook top bring pot pan room . high floor great view ; takes little long get elevator , come empty , nice . staff extremely nice helpful . , good place ever stay ny . great location MidTown . close Time Square without right outside door . Jack 's restaurant right around corner , great place eat . highly recommend Residence Inn ! 
 May 20 2006 	 Love place 	 stay numerous time business . staff service level truly outstanding security excellent . room beautiful spacious . hotel always flexible get nice room gorgeous view ( nothing like Empire State Building rise outside window ! ) . extensive free breakfast offer nice environment . son - in - law also travel New York regularly try stay often possible . 
 may 16 2006 	 Excellent Stay Value 	 stay May 6th - 9th Residence Inn close Time ' Square . lobby exciting staff friendly correspond service excellent . room well set kitchen , great bed clean . hotel serve hot breakfast buffet every day could meet please anyone 's need . location accessible upper low Manhattan theater district . front desk excellent service , maid service available magically come like elf request . wait service . concierge helpful , patient knowledgeable New York . street noises windows open fresh air . linen fine , bed excellent feather pillow request plenty towel . bathroom small side product ok room sit area compensate . hot water always present money safe clean oasis New York City . 
 May 15 2006 	 great People Great Bed Great experience 	 hotel fantastic location Manhattan . everyone security guard hotel manager friendly extremely helpful . breakfast great bed awesome . phenomenal job , Marriott ! 
 May 8 2006 	 complaint - excellent property 	 one hotel stay never sinlge complaint . even press criticism hotel , could list even one . location perfect , check - in friendly efficent , room well - appoint impeccably clean , elevator always work well little waiting , staff member greet even engaged conversation , complimentary breakfast buffet afternoon snack great treat . importantly noticeable security time tremndous reassurance safe . affordable hotel NYC ( $ 300.00 ) well ever stay , definitely stay . 
